English,Bengali
Gamut,গামুট
Gang condenser,গ্যাং কনডেনসার
Gap,ফাঁক
Gateway,প্রবেশপথ
Gauge,গেজ
Gaussian curve,গাউসিয়ান বক্ররেখা
Gaussian white noise,গাউসিয়ান সাদা শব্দ
Generator,জেনারেটর
Generic name,জেনেরিক নাম
Geostationary satellite,জিওস্টেশনারি স্যাটেলাইট
Geosynchronous satellite,জিওসিনক্রোনাস স্যাটেলাইট
Glitch,গ্লিচ
Graphic art,গ্রাফিক আর্ট
Graphic equalizer,গ্রাফিক ইকুয়ালাইজার
Graphics,গ্রাফিক্স
Graticule,গ্র্যাটিকুল
Gravitational acceleration,মহাকর্ষীয় ত্বরণ
Gray scale,ধূসর স্কেল
Grid,গ্রিড
Grid bias,গ্রিড পক্ষপাত
Grid driving power,গ্রিড ড্রাইভিং শক্তি
Grid emission,গ্রিড নির্গমন
Grid modulated class C amplifier,গ্রিড মডুলেটেড ক্লাস সি পরিবর্ধক
Grill,গ্রিল
Grinding,গ্রাইন্ডিং
Groove,খাঁজ
Ground conductivity,স্থল পরিবাহিতা
Ground return circuit,গ্রাউন্ড রিটার্ন সার্কিট
Ground rod (earth rod),গ্রাউন্ড রড (আর্থ রড)
Ground scatter propagation,গ্রাউন্ড স্ক্যাটার প্রচার
Ground segment,গ্রাউন্ড বিভাগ
Ground wave,গ্রাউন্ড ওয়েভ
Ground wave propagation,স্থল তরঙ্গ প্রচার
Ground wave signal,গ্রাউন্ড ওয়েভ সিগন্যাল
Grounded,গ্রাউন্ডেড
Group delay,গ্রুপ বিলম্ব
Growth of network & coverage,নেটওয়ার্ক এবং কভারেজ বৃদ্ধি
Guard band,গার্ড ব্যান্ড
Guard interval,গার্ড ইন্টারভাল
Gunn diode,গুন ডায়োড
Guy,গাই
Guy wire,গাই ওয়্যার
Guyed aerial mast (guyed antenna mast),গাইড এয়ারিয়াল মাস্ট (গ্যালেড অ্যান্টেনা মাস্ট)
Hack,টাট্টু
Hacker,হ্যাকার
Half adder,অর্ধেক সংযোজন
Half duplex,অর্ধেক দ্বৈত
Half power bandwidth,হাফ পাওয়ার ব্যান্ডউইথ
Half wave dipole,হাফ ওয়েভ ডিপোল
Half wave rectification,অর্ধ তরঙ্গ সংশোধন
Halftone,হাফটোন
Hamming distance,হামিং দূরত্ব
Hard disc crash,হার্ড ডিস্ক ক্র্যাশ
Hard disk based audio delivery system,হার্ড ডিস্ক ভিত্তিক অডিও বিতরণ সিস্টেম
Hard disk based recording,হার্ড ডিস্ক ভিত্তিক রেকর্ডিং
Hardware,হার্ডওয়্যার
Hardware address,হার্ডওয়্যার ঠিকানা
Harmonic,সুরেলা
Harmonic distortion,সুরেলা বিকৃতি
Harmonic emission,সুরেলা নির্গমন
Harmonic filter unit,সুরেলা ফিল্টার ইউনিট
Harmonic generator,সুরেলা জেনারেটর
Harmonic suppressor,সুরেলা দমনকারী
Harmonics,সুরেলা
Hazard,বিপত্তি
Head phone,হেড ফোন
Head room,হেড রুম
Headend,হেডেন্ড
Header,শিরোনাম
Hearing mechanism,শ্রবণ ব্যবস্থা
Heat absorber,তাপ শোষণকারী
Heat balance,তাপ ভারসাম্য
Heat barrier,তাপ বাধা
Heat conductor,তাপ কন্ডাক্টর
Heat sink,তাপ সিঙ্ক
Hertz (Hz),হার্টজ (এইচজেড)
Heterodyne,হেটেরোডিন
Heterodyne receiver,হেটেরোডিন রিসিভার
Heterodyne whistle (heterodyne interference),হেটেরোডিন হুইসেল (হেটেরোডিন হস্তক্ষেপ)
Heuristic,হিউরিস্টিক
Hexadecimal,হেক্সাডেসিমাল
Hierarchical modulation,শ্রেণিবদ্ধ মড্যুলেশন
Hi-Fi (high fidelity),হাই-ফাই (উচ্চ বিশ্বস্ততা)
High boost,উচ্চ উত্সাহ
High frequency,উচ্চ তরঙ্গ
High frequency oscillation,উচ্চ ফ্রিকোয়েন্সি দোলন
High frequency response,উচ্চ ফ্রিকোয়েন্সি প্রতিক্রিয়া
High level programme language,উচ্চ স্তরের প্রোগ্রামের ভাষা
High pass filter,উচ্চ পাস ফিল্টার
High power transmitter,উচ্চ শক্তি ট্রান্সমিটার
High quality reception,উচ্চ মানের অভ্যর্থনা
High speed connectivity,উচ্চ গতির সংযোগ
High speed data system,উচ্চ গতির ডেটা সিস্টেম
Histogram,হিস্টোগ্রাম
Home page,হোম পেজ
Hook,হুক
Hook up wire,হুক আপ তার
Horizontal blackout period,অনুভূমিক ব্ল্যাকআউট সময়কাল
Horizontal blanking,অনুভূমিক ব্ল্যাঙ্কিং
Horizontal definition (horizontal resolution),অনুভূমিক সংজ্ঞা (অনুভূমিক রেজোলিউশন)
Horizontal deflection oscillation,অনুভূমিক ডিফ্লেশন দোলন
Horizontal line,অনুভূমিক রেখা
Horizontal section,অনুভূমিক বিভাগ
Horizontal sweep circuit,অনুভূমিক সুইপ সার্কিট
Horn loudspeaker,হর্ন লাউডস্পিকার
Host,হোস্ট
Hot spot,হট স্পট
House keeping,গৃহস্থালি
Hub,হাব
Hue,হিউ
Huffman coding,হাফম্যান কোডিং
Hum,হুম
Human audio perception,মানব অডিও উপলব্ধি
Human audio system,মানব অডিও সিস্টেম
Human hearing mechanism,মানব শ্রবণ ব্যবস্থা
Human video perception,মানব ভিডিও উপলব্ধি
Humidity,আর্দ্রতা
Hybrid,হাইব্রিড
Hybrid circuit,হাইব্রিড সার্কিট
Hybrid intergrated circuit,হাইব্রিড ইন্টারগ্রেটেড সার্কিট
Hydrometer,হাইড্রোমিটার
Hyper,হাইপার
Hyper media,হাইপার মিডিয়া
Hyper text,হাইপার টেক্সট
Hyperlink,হাইপারলিঙ্ক
Icon,আইকন
Identification,পরিচয়
Identifier,সনাক্তকারী
Ignite,প্রজ্বলিত
Ignition,ইগনিশন
Illuminance,আলোকসজ্জা
Illumination,আলোকসজ্জা
Image,চিত্র
Image antenna,চিত্র অ্যান্টেনা
Image capture,চিত্র ক্যাপচার
Image iconoscope,চিত্র আইকনোস্কোপ
Image map,চিত্র মানচিত্র
Image orthicon,চিত্র orthicon
Image processing,চিত্র প্রক্রিয়াকরণ
Image setter,চিত্র সেটার
Imaginary,কাল্পনিক
Impedance,প্রতিবন্ধকতা
Impedance matching,প্রতিবন্ধকতা ম্যাচিং
Impedance matching circuit,প্রতিবন্ধকতা ম্যাচিং সার্কিট
Impedance mismatch,প্রতিবন্ধকতা অমিল
Impedance of free space,মুক্ত স্থান প্রতিবন্ধক
Impedance transformation,প্রতিবন্ধকতা রূপান্তর
Import,আমদানি
Impregnated,গর্ভবতী
Impress voltage,ইমপ্রেস ভোল্টেজ
Impulse,প্ররোচিত
Impulse response,আবেগের প্রতিক্রিয়া
Impurity conductivity,অপরিষ্কার পরিবাহিতা
Impurity semiconduction,অপরিষ্কার অর্ধপরিবর্তন
Inactive,নিষ্ক্রিয়
Inactive window,নিষ্ক্রিয় উইন্ডো
Inaudible,শ্রবণযোগ্য
Incandescence,উদ্বিগ্নতা
Incident ray,ঘটনা রে
Inclusion,অন্তর্ভুক্তি
Incoming signal,আগত সংকেত
Indicator,সূচক
Indigenous,আদিবাসী
Inductance,আনয়ন
Inductive-reactance,ইনডাকটিভ-রিঅ্যাক্ট্যান্স
Inflammable material,প্রদাহজনক উপাদান
Infor patch,ইনফোর প্যাচ
Information,তথ্য
Information architecture,তথ্য আর্কিটেকচার
Information bit,তথ্য বিট
Information digit,তথ্য অঙ্ক
Information kiosk,তথ্য কিওস্ক
Information process,তথ্য প্রক্রিয়া
Information technology,তথ্য প্রযুক্তি
Infotainment,ইনফোটেইনমেন্ট
Infrared radiation,ইনফ্রারেড বিকিরণ
Infrastructure,অবকাঠামো
Ingest,ইনজেস্ট
Ingredients,উপাদান
Initialization word (IW),সূচনা শব্দ (আইডাব্লু)
Inner codes,অভ্যন্তরীণ কোড
Innovation,উদ্ভাবন
Input,ইনপুট
Input line,ইনপুট লাইন
Input unit,ইনপুট ইউনিট
Input voltage,ইনপুট ভোল্টেজ
Input-output,ইনপুট আউটপুট
Insert,.োকান
Insertion loss,সন্নিবেশ ক্ষতি
Installation,স্থাপন
Instantaneous voltage,তাত্ক্ষণিক ভোল্টেজ
Instruction,নির্দেশ
Insulating material,অন্তরক উপাদান
Insulation,নিরোধক
Insulation resistance,নিরোধক প্রতিরোধ
Insulator,ইনসুলেটর
Integrated circuit,সমন্বিত বর্তনী
Integrating network,একীভূত নেটওয়ার্ক
Integrator,ইন্টিগ্রেটার
Intelligence,বুদ্ধি
Intensity,তীব্রতা
Intensity of speech,বক্তৃতা তীব্রতা
Inter channel interference,আন্তঃ চ্যানেল হস্তক্ষেপ
Interleave,ইন্টারলিভ
Interaction,মিথষ্ক্রিয়া
Interactivity,ইন্টারেক্টিভিটি
Intercom,ইন্টারকম
Interconnectivity,আন্তঃসংযোগ
Interface,ইন্টারফেস
Interface scanning,ইন্টারফেস স্ক্যানিং
Interference,হস্তক্ষেপ
Interference zone,হস্তক্ষেপ অঞ্চল
Interfering channel,হস্তক্ষেপ চ্যানেল
Interfering frequency,হস্তক্ষেপ ফ্রিকোয়েন্সি
Interfering radio frequency signal,রেডিও ফ্রিকোয়েন্সি সিগন্যাল হস্তক্ষেপ
Interframe,ইন্টারফ্রেম
Interleave,ইন্টারলিভ
Interleaved,ইন্টারলিভড
Interleaved stream,ইন্টারলিভড স্ট্রিম
Interleaver,ইন্টারলিভার
Interleaving,ইন্টারলিভিং
Interleaving,ইন্টারলিভিং
Interleaving period,ইন্টারলিভিং পিরিয়ড
Interlock circuit,ইন্টারলক সার্কিট
Interlock switch,ইন্টারলক সুইচ
Interlocking,ইন্টারলকিং
Intermediate failure,মধ্যবর্তী ব্যর্থতা
Intermediate frequency,মধ্যবর্তী ফ্রিকোয়েন্সি
Intermediate frequency oscillator,মধ্যবর্তী ফ্রিকোয়েন্সি দোলক
Intermittent,বিরতি
Intermittent current,মাঝে মাঝে বর্তমান
Intermodulation,ইন্টারমোডুলেশন
Intermodulation distortion,ইন্টারমোডুলেশন বিকৃতি
Intermodulation emission,ইন্টারমোডুলেশন নির্গমন
Intermodulation test,ইন্টারমোডুলেশন পরীক্ষা
Internet,ইন্টারনেট
Internet broadcasting,ইন্টারনেট সম্প্রচার
Internet chatting,ইন্টারনেট চ্যাট
Internet protocol stack,ইন্টারনেট প্রোটোকল স্ট্যাক
Internet radio,ইন্টারনেট রেডিও
Internet streaming,ইন্টারনেট স্ট্রিমিং
Internet video,ইন্টারনেট ভিডিও
Interoperability,আন্তঃব্যবহারযোগ্যতা
Interpolation,ইন্টারপোলেশন
Interpreter,দোভাষী
Interrupt,বাধা
Interruption,বাধা
Interruptor,বাধা
Interval,অন্তর
Intracoding,ইন্ট্রাকোডিং
Intraframe,ইন্ট্রাফ্রেম
Intranet,ইন্ট্রানেট
Intrapicture,অন্তঃসত্ত্বা
Intraweb,অন্তঃসত্ত্বা
Intrinsic semiconductor,অভ্যন্তরীণ অর্ধপরিবাহী
Inverse current,বিপরীতমুখী
Inverse spatial operate,বিপরীত স্থানিক পরিচালনা
Inverted,উল্টানো
Inverted L antenna,উল্টানো এল অ্যান্টেনা
Inverted V antenna,উল্টানো ভি অ্যান্টেনা
Inverter,বৈদ্যুতিন সংকেতের মেরু বদল
Irregular,অনিয়মিত
Irrelevant element,অপ্রাসঙ্গিক উপাদান
Isolation network,বিচ্ছিন্ন নেটওয়ার্ক
Isolator,বিচ্ছিন্ন
Jammer,জামার
Jamming,জ্যামিং
Jargon file,জারগন ফাইল
Java script,জাভা স্ক্রিপ্ট
Jingle,জিংল
Jitter,জিটার
Joiner,যোগদানকারী
Joint,যৌথ
Jointed,সংযুক্ত
Jumper,জাম্পার
Junk,জাঙ্ক
Junk mail,আজাইরা মেইল
Kernel,কার্নেল
Key,চাবি
Keyboard,কীবোর্ড
Keyer,কীয়ার
Keynote,মূল বক্তব্য
Kilocycle,কিলোসাইকেল
Kilovolt,কিলোভোল্ট
Kilowatt,কিলোওয়াট
Kinematics,গতিবিজ্ঞান
Knee point voltage,হাঁটু পয়েন্ট ভোল্টেজ
Knob,গিঁট
Knowledge base,জ্ঞানভিত্তিক
Knowledge representation,জ্ঞান উপস্থাপনা
L network,L নেটওয়ার্ক
L section filter,এল বিভাগ ফিল্টার
Lag and lead,ল্যাগ এবং সীসা
Lagging current,পিছিয়ে থাকা বর্তমান
Lagging power factor,পিছিয়ে থাকা পাওয়ার ফ্যাক্টর
Laminated,স্তরিত
Lamp,প্রদীপ
Laptop,ল্যাপটপ
Laser frequency,লেজার ফ্রিকোয়েন্সি
Latent error,সুপ্ত ত্রুটি
Latent heat,সুপ্ত তাপ
Latitude,অক্ষাংশ
Layer,স্তর
Layout,বিন্যাস
Layout plan,বিন্যাস পরিকল্পনা
Lead,নেতৃত্ব
Leading phase,শীর্ষস্থানীয় পর্ব
Leak proof,ছিদ্র নিরোধক
Leakage,ফুটো
Leased circuit,ইজারা সার্কিট
Lens,লেন্স
Level indicator,স্তর সূচক
Light control,আলো নিয়ন্ত্রণ
Light pen,হালকা কলম
Lightning arrester,বিজলীদণ্ড
Limiter,সীমাবদ্ধ
Limiting amplifier,পরিবর্ধক সীমাবদ্ধ
Line loss,লাইন ক্ষতি
Line noise,লাইন শব্দ
Line of sight,দর্শন লাইন
Line phase,লাইন পর্ব
Line transmission,লাইন সংক্রমণ
Line unloaded,লাইন আনলোড
Linear quantiser,লিনিয়ার কোয়ান্টিজার
Linearity,লিনিয়ারিটি
Line-coaxial,লাইন-কোঅ্যাক্সিয়াল
Line-equaliser,লাইন-সমতুল্য
Line-frequency,লাইন-ফ্রিকোয়েন্সি
Line-impedance,লাইন-ইমিডেন্স
Line-quarter wavelength,লাইন-কোয়ার্টারের তরঙ্গদৈর্ঘ্য
Link,লিঙ্ক
Linker,লিঙ্কার
Lip-microphone,লিপ-মাইক্রোফোন
Live broadcast,সরাসরি সম্প্রচার
Live circuit,লাইভ সার্কিট
Live programme,লাইভ প্রোগ্রাম
Load,ভার
Load capacity,ধারণ ক্ষমতা
Load carrying capacity,বহন ক্ষমতা লোড
Load characteristic,লোড বৈশিষ্ট্য
Load impedance,লোড প্রতিবন্ধকতা
Loaded,লোড
Loader,লোডার
Loading,লোড হচ্ছে
Loading coil,লোডিং কয়েল
Load-test,লোড পরীক্ষা
Lobe,লব
Lobe antenna,লোব অ্যান্টেনা
Local area network,স্থানীয় নেটওয়ার্ক
Local battery,স্থানীয় ব্যাটারি
Local oscillator,স্থানীয় দোলক
Log,লগ
Log book,লগ বই
Log in (log on),লগ ইন (লগ অন)
Log off (log out),লগ অফ (লগ আউট)
Log sheet,লগ শিট
Logarithm,লগারিদম
Logarithmic amplifier,লগারিদমিক পরিবর্ধক
Logarithmic ratio,লগারিদমিক অনুপাত
Logarithmic response,লগারিদমিক প্রতিক্রিয়া
Logarithmic scale,লগারিদমিক স্কেল
Logging,লগিং
Logic,যুক্তি
Logic gate,লজিক গেট
Logic operation,যুক্তি অপারেশন
Logical,যৌক্তিক
Logical frame,যৌক্তিক ফ্রেম
Logo inserter,লোগো সন্নিবেশ
Longitude,দ্রাঘিমাংশ
Loop,লুপ
Loop antenna,লুপ অ্যান্টেনা
Loop gain,লুপ লাভ
Loop test,লুপ পরীক্ষা
Loose contact,আলগা যোগাযোগ
Loose coupling,আলগা সংযোজন
Lossless antenna,লসলেস অ্যান্টেনা
Lossless compression,ক্ষতিহীন সংকোচনের
Lossy compression,ক্ষতিগ্রস্থ সংকোচনের
Loudness (sound),জোরে (শব্দ)
Loudspeaker,লাউডস্পিকার
Low frequency,কম কম্পাঙ্ক
Low level language,নিম্ন স্তরের ভাষা
Low loss feeder,কম লোকসান ফিডার
Low loss flexible coaxial cable,কম লোকসান নমনীয় কোক্সিয়াল কেবল
Low noise receiver,কম শব্দ রিসিভার
Low orbitting satellite,কম কক্ষপথ স্যাটেলাইট
Low pass filter,লো পাস ফিল্টার
Low reactance earthing,কম রিঅ্যাক্ট্যান্স আর্থিং
Low resistance path,কম প্রতিরোধের পথ
Lug,লগ
Luminance,আলোকসজ্জা
Lumped,লম্পট
Macro block,ম্যাক্রো ব্লক
Macro definition,ম্যাক্রো সংজ্ঞা
Macro vision,ম্যাক্রো ভিশন
Magic eye,ম্যাজিক আই
Magnet,চৌম্বক
Magnetic field,চৌম্বক ক্ষেত্র
Magnetic flux,চৌম্বকীয় প্রবাহ
Magnetic pole,চৌম্বকীয় মেরু
Magnetic storm,চৌম্বকীয় ঝড়
Magnetic switch,চৌম্বকীয় সুইচ
Magnetic tape,চৌম্বকীয় টেপ
Magnetism,চৌম্বকীয়তা
Mail merge,মেইল মার্জ
Mailing list,মেইলিং তালিকা
Main carrier,প্রধান ক্যারিয়ার
Maintain,রক্ষণাবেক্ষণ
Maintenance,রক্ষণাবেক্ষণ
Maintenance team,রক্ষণাবেক্ষণ দল
Majority carrier,সংখ্যাগরিষ্ঠ ক্যারিয়ার
Make contact relay,যোগাযোগ রিলে করুন
Make-and-break switch,মেক-অ্যান্ড-ব্রেক সুইচ
Male-connector,পুরুষ সংযোগকারী
Man made noise,মানুষ শব্দ করেছে
Management information system (MIS),পরিচালন তথ্য সিস্টেম (এমআইএস)
Manipulated,ম্যানিপুলেটেড
Manual control,মূল নিয়ন্ত্রণ
Manual method,ম্যানুয়াল পদ্ধতি
Manual of safety precaution,সুরক্ষা সতর্কতা ম্যানুয়াল
Manually operated,ম্যানুয়ালি পরিচালিত
Manufacturer,প্রস্তুতকারক
Mask,মুখোশ
Maskee,মাসকি
Masker,মাস্কার
Masking,মাস্কিং
Masking behaviour,মাস্কিং আচরণ
Masking effect of audio,অডিওর মাস্কিং প্রভাব
Masking threshold,থ্রেশহোল্ড মাস্কিং
Masking tone,মাস্কিং টোন
Mast,মাস্ট
Mast radiator,মাস্ট রেডিয়েটার
Master control,মাস্টার নিয়ন্ত্রণ
Master oscillatror,মাস্টার অসিলট্রোর
Match-impedance,ম্যাচ-ইমিডেন্স
Matching network,ম্যাচিং নেটওয়ার্ক
Matching stub,ম্যাচিং স্টাব
Matching transformer,ম্যাচিং ট্রান্সফর্মার
Material-procurement,জিনিষ পত্র সরবরাহ
Matrix,ম্যাট্রিক্স
Maximization,সর্বাধিককরণ
Maximum demand indicator,সর্বাধিক চাহিদা সূচক
Maximum power density,সর্বাধিক শক্তি ঘনত্ব
Maximum sensitivity,সর্বাধিক সংবেদনশীলতা
Maximum temperature,সর্বাধিক তাপমাত্রা
Maximum usable frequency,সর্বাধিক ব্যবহারযোগ্য ফ্রিকোয়েন্সি
Maximum value,সর্বোচ্চ মূল্য
Mean time to failure,ব্যর্থতার গড় সময়
Mean value,গড় মান
Measured signal,পরিমাপ সংকেত
Measurement,মাপা
Measuring device,পরিমাপ যন্ত্র
Measuring equipment,পরিমাপ সরঞ্জাম
Measuring instrument,পরিমাপক যন্ত্রপাতি
Measuring instrument of field strength,ক্ষেত্রের শক্তি পরিমাপের সরঞ্জাম
Measuring tape,পরিমাপের ফিতা
Mechanism,পদ্ধতি
Media server,মিডিয়া সার্ভার
Medium,মধ্যম
Medium frequency,মাঝারি ফ্রিকোয়েন্সি
Medium frequency wave,মাঝারি ফ্রিকোয়েন্সি তরঙ্গ
Medium wave (MW),মাঝারি তরঙ্গ (মেগাওয়াট)
Mega-ohm,মেগা-ওহম
Megger,মেগার
Memory,স্মৃতি
Mentoring,পরামর্শদাতা
Menu bar,মেনু বার
Mercury switch,বুধ সুইচ
Merging,মার্জিং
Message,বার্তা
Metadata,মেটাডেটা
Metal-oxide semiconductor diode,ধাতব অক্সাইড সেমিকন্ডাক্টর ডায়োড
Metal-sheathed cable,ধাতব-শেথযুক্ত কেবল
Meter,মিটার
Metering panel,মিটারিং প্যানেল
Mica,মিকা
Mica-insulation,মাইকা-ইনসুলেশন
Micro-,ক্ষুদ্র-
Micro component,মাইক্রো উপাদান
Micro computer,মাইক্রো কম্পিউটার
Micro-controller,মাইক্রো-কন্ট্রোলার
Micro-electronics,মাইক্রো-ইলেক্ট্রনিক্স
Microphone,মাইক্রোফোন
Microphonics,মাইক্রোফোনিক্স
Microprocessor,মাইক্রোপ্রসেসর
Micro-volt (mV),মাইক্রো-ভোল্ট (এমভি)
Microwave,মাইক্রোওয়েভ
Microwave antenna,মাইক্রোওয়েভ অ্যান্টেনা
Microwave beam,মাইক্রোওয়েভ মরীচি
Mid-band,মিড-ব্যান্ড
Migration,স্থানান্তর
Migration path,মাইগ্রেশন পাথ
Miniature,ক্ষুদ্রাকার
Miniaturized,মিনিয়েচারাইজড
Minimum,সর্বনিম্ন
Minimum temperature,ন্যূনতম তাপমাত্রা
Minimum usable field strength,সর্বনিম্ন ব্যবহারযোগ্য ক্ষেত্র শক্তি
Minority carrier,সংখ্যালঘু ক্যারিয়ার
Miscue,ভুল
Mix,মিশ্রণ
Mixed blanking,মিশ্রিত ফাঁকা
Mixed sync,মিশ্র সিঙ্ক
Mixer,মিক্সার
Mixer tube,মিক্সার টিউব
Mixing,মিশ্রণ
Mixing circuit,মিশ্রণ সার্কিট
Mnemonic,স্মৃতিচারণ
Mnemonics,স্মৃতিসৌধ
Mobile,মুঠোফোন
Mobile multimedia application,মোবাইল মাল্টিমিডিয়া অ্যাপ্লিকেশন
Mobile TV,মোবাইল টিভি
Mode,মোড
Mode of failure,ব্যর্থতার মোড
Mode of propagation,প্রচারের পদ্ধতি
Model,মডেল
Modem,মডেম
Modern FM transmitter,আধুনিক এফএম ট্রান্সমিটার
Modern trends,আধুনিক প্রবণতা
Modes of configuration,কনফিগারেশন মোড
Modify,সংশোধন করুন
Modulated continuous wave,মডুলেটেড অবিচ্ছিন্ন তরঙ্গ
Modulated signal,মোডুলেটেড সিগন্যাল
Modulated waveform,মডুলেটেড ওয়েভফর্ম
Modulation,মড্যুলেশন
Modulation amplitude,মড্যুলেশন প্রশস্ততা
Modulation capability,মড্যুলেশন ক্ষমতা
Modulation frequency,মড্যুলেশন ফ্রিকোয়েন্সি
Modulation index,মড্যুলেশন সূচক
Modulation linearity,মড্যুলেশন লিনিয়ারিটি
Modulation meter,মড্যুলেশন মিটার
Modulation monitor,মড্যুলেশন মনিটর
Modulation percentage,মড্যুলেশন শতাংশ
Modulator,মডুলেটর
Module,মডিউল
Moisture,আর্দ্রতা
Momentum,গতি
Monitor,মনিটর
Monitoring,পর্যবেক্ষণ
Monitoring and analysis techniques,পর্যবেক্ষণ এবং বিশ্লেষণ কৌশল
Monitoring and control,পর্যবেক্ষণ এবং নিয়ন্ত্রণ
Monitoring station,মনিটরিং স্টেশন
Monochrome,একরঙা
Monophonic transmission,মনোফোনিক সংক্রমণ
Morph,মরফ
Morphing,মরফিং
Morphism,মরফিজম
Mosaic,মোজাইক
Motherboard,মাদারবোর্ড
Motion compensation,গতি ক্ষতিপূরণ
Motion estimation,গতি অনুমান
Motion vector,গতি ভেক্টর
Motion video,গতি ভিডিও
Motor,মোটর
Motor operator,মোটর অপারেটর
Motor starter,মোটর স্টার্টার
Mount,মাউন্ট
Mouse,মাউস
Mouse interface,মাউস ইন্টারফেস
Movement,আন্দোলন
Multi channel extension,মাল্টি চ্যানেল এক্সটেনশন
Multicasting,মাল্টিকাস্টিং
Multichannel signals,মাল্টিচ্যানেল সংকেত
Multidirectional microphone,মাল্টিডাইরেকশনাল মাইক্রোফোন
Multilingual commentary,বহুভাষিক ভাষ্য
Multimedia,মাল্টিমিডিয়া
Multimedia kiosk,মাল্টিমিডিয়া কিওস্ক
Multimeter,মাল্টিমিটার
Multipath,মাল্টিথ
Multipath reception,মাল্টিথ রিসেপশন
Multiphase,মাল্টিপেজ
Multiple,একাধিক
Multiple access system,একাধিক অ্যাক্সেস সিস্টেম
Multiplex,মাল্টিপ্লেক্স
Multiplexer,মাল্টিপ্লেক্সার
Multiplexing,মাল্টিপ্লেক্সিং
Multistage amplifier,মাল্টিস্টেজ পরিবর্ধক
Multitasking,মাল্টিটাস্কিং
Multivibrator,মাল্টিভাইবারেটর
Mute,নিঃশব্দ
Mutual conductance,পারস্পরিক আচরণ
Mutual impedance,পারস্পরিক প্রতিবন্ধকতা
Mutual inductance,পারস্পরিক আবেশাঙ্ক
Mutual interference,পারস্পরিক হস্তক্ষেপ
Nano-technology,ন্যানো-টেকনোলজি
Narrowband,সংকীর্ণ
Narrowcasting,সংকীর্ণতা
Natural draft,প্রাকৃতিক খসড়া
Navigator,নেভিগেটর
Negative,নেতিবাচক
Negative bias,নেতিবাচক পক্ষপাত
Negative charge,নেতিবাচক চার্জ
Negative feedback,নেতিবাচক প্রতিক্রিয়া
Negative peak,নেতিবাচক শিখর
Negative resistance,নেতিবাচক প্রতিরোধ
Net gain,নেট লাভ
Net loss,নেট ক্ষতি
Netiquette,নেটটিকেট
Network,অন্তর্জাল
Network analyzer,নেটওয়ার্ক বিশ্লেষক
Network file system,নেটওয়ার্ক ফাইল সিস্টেম
Network planning,নেটওয়ার্ক পরিকল্পনা
Network termination,নেটওয়ার্ক সমাপ্তি
Networking,নেটওয়ার্কিং
Neutral,নিরপেক্ষ
Neutralising,নিরপেক্ষ
News room automation,নিউজ রুম অটোমেশন
Nibble,নিবল
Niche,কুলুঙ্গি
No load test,কোনও লোড পরীক্ষা নেই
Node,নোড
Noise,শব্দ
Noise figure,শব্দ চিত্র
Noise filter,শব্দ পরিশোধন
Noise floor,শব্দ মেঝে
Noise gate,শব্দ গেট
Noise immunity,গোলমাল অনাক্রম্যতা
Noise killer,শব্দ কিলার
Noise level,শব্দ স্তর
Noise power,শব্দ শক্তি
Noise shaping quantizer,শব্দ শেপিং কোয়ান্টাইজার
Noise source,শব্দ উত্স
Noise suppression circuit,শব্দ দমন সার্কিট
Noise suppressor,শব্দ দমনকারী
Noise temperature,শব্দের তাপমাত্রা
Noise temperature,শব্দের তাপমাত্রা
Noise triangle,শব্দ ত্রিভুজ
Noise voltage,শব্দ ভোল্টেজ
Noiseless,গোলমাল
Noiseless coding,শোনা যায় না কোডিং
Noisy reception,গোলমাল অভ্যর্থনা
Nominal usable field strength,নামমাত্র ব্যবহারযোগ্য ক্ষেত্র শক্তি
Non-direcitonal microphone,নন-ডাইরিসিটোনাল মাইক্রোফোন
Non-inductive load,অ-প্ররোচিত লোড
Non-inductive resistance,অ-প্ররোচিত প্রতিরোধ
Non-sinosoidal wave,অ-সিনোসয়েডাল তরঙ্গ
Non-volatile memory,অনুদ্বায়ী মেমরি
NOR gate,না গেট
Normal speed,সাধারণ গতি
Normal supply,সাধারণ সরবরাহ
Notch,খাঁজ
Notch filter,খাঁজ ফিল্টার
Numerical,সংখ্যাসূচক
Numerically controlled oscillator,সংখ্যাগতভাবে নিয়ন্ত্রিত দোলক
Nut-bolt,বাদাম বোল্ট
Nyquist-Shannon theorem,Nyquist-শ্যানন উপপাদ্য
Object-oriented,অবজেক্ট ওরিয়েন্টেড
Octal,অক্টাল
Octave of frequency,ফ্রিকোয়েন্সি অষ্টভ
Octet,অক্টেট
Off-line,অফ-লাইন
Offset,অফসেট
Ohm,ওহম
Ohm meter,ওহম মিটার
Oil circuit breaker,তেল সার্কিট ব্রেকার
Oil filter,তেলের ছাঁকনি
Oil immersed,তেল নিমগ্ন
Oil level gauge,তেল স্তর গেজ
Omni-directional antenna,ওমনি-দিকনির্দেশক অ্যান্টেনা
Omni-directional microphone,ওমনি-দিকনির্দেশক মাইক্রোফোন
On demand,চাহিদা সাপেক্ষে
On-demand streaming,অন-ডিমান্ড স্ট্রিমিং
On-line (online),অন-লাইন (অনলাইন)
Online analytical processing,অনলাইন বিশ্লেষণাত্মক প্রক্রিয়াজাতকরণ
On-off,অন-অফ
On-off keying modulation,অন-অফ কীইং মড্যুলেশন
Open circuit,খণ্ডিত বর্তনী
Open source,মুক্ত উৎস
