English,Punjabi
joint probability,ਸੰਯੁਕਤ ਸੰਭਾਵਨਾ
join (=union),ਸ਼ਾਮਲ ਹੋਵੋ (=ਯੂਨੀਅਨ)
jump,ਛਾਲ
jump discontinuity,ਛਾਲ ਬੰਦ
justification,ਜਾਇਜ਼
justify,ਜਾਇਜ਼ ਠਹਿਰਾਓ
Karnaugh map,Karnaugh ਨਕਸ਼ਾ
kernel,ਕਰਨਲ
kernel of the mapping,ਮੈਪਿੰਗ ਦਾ ਕਰਨਲ
kinematics,ਕਿਨੇਮੈਟਿਕਸ
kinetic energy,ਗਤੀਆਤਮਿਕ ਊਰਜਾ
kinetics,ਗਤੀ ਵਿਗਿਆਨ
Kolmogoroff Smirnov test,ਕੋਲਮੋਗੋਰੋਫ ਸਮਿਰਨੋਵ ਟੈਸਟ
Kronecker delta,ਕ੍ਰੋਨੇਕਰ ਡੈਲਟਾ
kurtosis,kurtosis
Lagrange's function,Lagrange ਦੇ ਫੰਕਸ਼ਨ
Lagrange's multipliers,Lagrange ਦੇ ਗੁਣਕ
lamina,ਲਾਮਿਨਾ
Laplace transform,ਲੈਪਲੇਸ ਟ੍ਰਾਂਸਫਾਰਮ
large number,ਵੱਡੀ ਗਿਣਤੀ
latent root(=characteristic root),ਅਪ੍ਰਤੱਖ ਮੂਲ (= ਵਿਸ਼ੇਸ਼ਤਾ ਜੜ੍ਹ)
lateral surface,ਪਾਸੇ ਦੀ ਸਤਹ
latin square,ਲਾਤੀਨੀ ਵਰਗ
latus rectum ,latus ਗੁਦਾ
law,ਕਾਨੂੰਨ
law of adding velocities,ਵੇਗ ਜੋੜਨ ਦਾ ਕਾਨੂੰਨ
law of additivity,ਜੋੜਨ ਦਾ ਕਾਨੂੰਨ
law of diminishing return,ਵਾਪਸੀ ਨੂੰ ਘਟਾਉਣ ਦਾ ਕਾਨੂੰਨ
law of gravitation,ਗੁਰੂਤਾਕਰਸ਼ਣ ਦਾ ਨਿਯਮ
law of homomorphism for groups,ਸਮੂਹਾਂ ਲਈ ਸਮਰੂਪਤਾ ਦਾ ਕਾਨੂੰਨ
law of homomorphism for rings,ਰਿੰਗਾਂ ਲਈ ਸਮਰੂਪਤਾ ਦਾ ਕਾਨੂੰਨ
law of increasing costs,ਵਧਦੀ ਲਾਗਤ ਦਾ ਕਾਨੂੰਨ
law of indices,ਸੂਚਕਾਂਕ ਦਾ ਕਾਨੂੰਨ
law of inertia,ਜੜਤਾ ਦਾ ਕਾਨੂੰਨ
law of large numbers,ਵੱਡੀ ਗਿਣਤੀ ਦਾ ਕਾਨੂੰਨ
law of probability,ਸੰਭਾਵਨਾ ਦਾ ਕਾਨੂੰਨ
law of sines,ਸਾਈਨਸ ਦਾ ਕਾਨੂੰਨ
laws of exponents,ਘਾਤਕ ਦੇ ਨਿਯਮ
laws of motion,ਗਤੀ ਦੇ ਨਿਯਮ
layer,ਪਰਤ
leading coefficient,ਮੋਹਰੀ ਗੁਣਾਂਕ
leading diagonal,ਮੋਹਰੀ ਵਿਕਰਣ
leading submatrix,ਮੋਹਰੀ ਸਬਮੈਟ੍ਰਿਕਸ
leading term,ਮੋਹਰੀ ਮਿਆਦ
least,ਘੱਟੋ-ਘੱਟ
least common multiple (LCM),ਘੱਟੋ-ਘੱਟ ਆਮ ਮਲਟੀਪਲ (LCM)
least element,ਘੱਟੋ-ਘੱਟ ਤੱਤ
least square,ਘੱਟੋ-ਘੱਟ ਵਰਗ
least upper bound,ਘੱਟੋ-ਘੱਟ ਉਪਰਲੀ ਸੀਮਾ
left coset,ਖੱਬੇ coset
left handed,ਖੱਬੇ ਹੱਥ
left handed screw,ਖੱਬੇ ਹੱਥ ਦਾ ਪੇਚ
left inverse,ਖੱਬੇ ਉਲਟ
left multiplication,ਖੱਬਾ ਗੁਣਾ
Leibnitz formula,ਲੀਬਨਿਟਜ਼ ਫਾਰਮੂਲਾ
length,ਲੰਬਾਈ
leptokurtic,leptokurtic
leptokurtic curve,leptokurtic ਵਕਰ
leptokurtosis,leptokurtosis
level curve,ਪੱਧਰ ਕਰਵ
level of confidence,ਵਿਸ਼ਵਾਸ ਦਾ ਪੱਧਰ
level of significance,ਮਹੱਤਤਾ ਦੇ ਪੱਧਰ
lexicographically,ਸ਼ਬਦਕੋਸ਼ ਦੇ ਰੂਪ ਵਿੱਚ
lexicographical order,ਕੋਸ਼ਿਕ ਕ੍ਰਮ
likelihood function,ਸੰਭਾਵਨਾ ਫੰਕਸ਼ਨ
likelihood ratio test,ਸੰਭਾਵਨਾ ਅਨੁਪਾਤ ਟੈਸਟ
limit,ਸੀਮਾ
limiting,ਸੀਮਿਤ ਕਰਨਾ
limiting value,ਸੀਮਤ ਮੁੱਲ
limiting velocity,ਸੀਮਤ ਗਤੀ
limit in mean,ਮਤਲਬ ਵਿੱਚ ਸੀਮਾ
limit of integration,ਏਕੀਕਰਣ ਦੀ ਸੀਮਾ
limit of sequence,ਕ੍ਰਮ ਦੀ ਸੀਮਾ
limit point (=cluster point),ਸੀਮਾ ਬਿੰਦੂ (= ਕਲੱਸਟਰ ਪੁਆਇੰਟ)
limit velocity,ਸੀਮਤ ਗਤੀ
line,ਲਾਈਨ
linear,ਰੇਖਿਕ
linear algebraic,ਰੇਖਿਕ ਬੀਜਗਣਿਤ
linear algebraic equation,ਰੇਖਿਕ ਬੀਜਗਣਿਤ ਸਮੀਕਰਨ
linear approximation,ਰੇਖਿਕ ਅਨੁਮਾਨ
linear asymptote,ਰੇਖਿਕ ਲੱਛਣ
linear coefficient,ਰੇਖਿਕ ਗੁਣਾਂਕ
linear combination,ਰੇਖਿਕ ਸੁਮੇਲ
linear constraints,ਰੇਖਿਕ ਸੀਮਾਵਾਂ
linear dependence,ਰੇਖਿਕ ਨਿਰਭਰਤਾ
linear differential equation,ਰੇਖਿਕ ਅੰਤਰ ਸਮੀਕਰਨ
linear dimension,ਰੇਖਿਕ ਮਾਪ
linear equation,ਰੇਖਿਕ ਸਮੀਕਰਨ
linear form,ਰੇਖਿਕ ਰੂਪ
linear fractional transformation,ਲੀਨੀਅਰ ਫਰੈਕਸ਼ਨਲ ਪਰਿਵਰਤਨ
linear function,ਰੇਖਿਕ ਫੰਕਸ਼ਨ
linear functional,ਲੀਨੀਅਰ ਫੰਕਸ਼ਨਲ
linear group,ਰੇਖਿਕ ਸਮੂਹ
linear independence,ਰੇਖਿਕ ਸੁਤੰਤਰਤਾ
linear independent relation,ਰੇਖਿਕ ਸੁਤੰਤਰ ਸਬੰਧ
linear inequality,ਰੇਖਿਕ ਅਸਮਾਨਤਾ
linear inhomogeneous differential equation,ਲੀਨੀਅਰ ਇਨਹੋਮੋਜੀਨੀਅਸ ਡਿਫਰੈਂਸ਼ੀਅਲ ਸਮੀਕਰਨ
linear integral equation,ਰੇਖਿਕ ਅਟੁੱਟ ਸਮੀਕਰਨ
linear interpolation,ਰੇਖਿਕ ਇੰਟਰਪੋਲੇਸ਼ਨ
linear least square regression analysis,ਲੀਨੀਅਰ ਨਿਊਨਤਮ ਵਰਗ ਰਿਗਰੈਸ਼ਨ ਵਿਸ਼ਲੇਸ਼ਣ
linearity,ਰੇਖਿਕਤਾ
linearly dependent,ਰੇਖਿਕ ਤੌਰ &#39;ਤੇ ਨਿਰਭਰ
linearly independent,ਰੇਖਿਕ ਤੌਰ &#39;ਤੇ ਸੁਤੰਤਰ
linear mapping,ਰੇਖਿਕ ਮੈਪਿੰਗ
linear order,ਰੇਖਿਕ ਕ੍ਰਮ
linear ordering,ਰੇਖਿਕ ਕ੍ਰਮ
linear programming,ਰੇਖਿਕ ਪ੍ਰੋਗਰਾਮਿੰਗ
linear programming algorithm,ਲੀਨੀਅਰ ਪ੍ਰੋਗਰਾਮਿੰਗ ਐਲਗੋਰਿਦਮ
linear programming problem,ਰੇਖਿਕ ਪ੍ਰੋਗਰਾਮਿੰਗ ਸਮੱਸਿਆ
linear regression,ਰੇਖਿਕ ਰਿਗਰੈਸ਼ਨ
linear regression coefficient,ਲੀਨੀਅਰ ਰਿਗਰੈਸ਼ਨ ਗੁਣਾਂਕ
linear relation,ਰੇਖਿਕ ਸਬੰਧ
linear space (=vector space),ਰੇਖਿਕ ਸਪੇਸ (= ਵੈਕਟਰ ਸਪੇਸ)
linear subspace,ਰੇਖਿਕ ਉਪਸਪੇਸ
linear transformation,ਰੇਖਿਕ ਤਬਦੀਲੀ
linear trend,ਰੇਖਿਕ ਰੁਝਾਨ
linear unbiased estimate,ਰੇਖਿਕ ਨਿਰਪੱਖ ਅਨੁਮਾਨ
linear velocity,ਰੇਖਿਕ ਵੇਗ
line integral,ਲਾਈਨ ਅਟੁੱਟ
line of intersection,ਇੰਟਰਸੈਕਸ਼ਨ ਦੀ ਲਾਈਨ
line of regression,ਰਿਗਰੈਸ਼ਨ ਦੀ ਲਾਈਨ
localised vector,ਸਥਾਨਕ ਵੈਕਟਰ
local optimum,ਸਥਾਨਕ ਸਰਵੋਤਮ
locus,ਟਿਕਾਣਾ
log,ਲੌਗ
logarithmic,ਲਘੂਗਣਕ
logarithmic accuracy,ਲਘੂਗਣਕ ਸ਼ੁੱਧਤਾ
logarithmic calculation,ਲਘੂਗਣਕ ਗਣਨਾ
logarithmic curve,ਲਘੂਗਣਕ ਵਕਰ
logarithmic derivative,ਲਘੂਗਣਕ ਡੈਰੀਵੇਟਿਵ
logarithmic differentiation,ਲਘੂਗਣਕ ਅੰਤਰ
logarithmic function,ਲਘੂਗਣਕ ਫੰਕਸ਼ਨ
logarithmic mean (=geometric mean),ਲਘੂਗਣਕ ਮੱਧਮਾਨ (= ਜਿਓਮੈਟ੍ਰਿਕ ਮੱਧਮਾਨ)
logarithmic normal distribution,ਲਘੂਗਣਕ ਆਮ ਵੰਡ
logarithmic relationship,ਲਘੂਗਣਕ ਸਬੰਧ
logarithmic scale,ਲਘੂਗਣਕ ਸਕੇਲ
logarithmic series,ਲਘੂਗਣਕ ਲੜੀ
logarithmic spiral (equiangular spiral),ਲਘੂਗਣਕ ਸਪਿਰਲ (ਸਮਾਨ-ਕੋਣੀ ਸਪਿਰਲ)
logarithmic table (=log table),ਲਘੂਗਣਕ ਸਾਰਣੀ (=ਲੌਗ ਟੇਬਲ)
logarithm (log),ਲਘੂਗਣਕ (ਲਾਗ)
logic,ਤਰਕ
logically equivalent,ਤਰਕ ਨਾਲ ਬਰਾਬਰ
logistic curve,ਲੌਜਿਸਟਿਕ ਕਰਵ
lognormal distribution,ਸਾਧਾਰਨ ਵੰਡ
longitude,ਲੰਬਕਾਰ
loop,ਲੂਪ
lottery,ਲਾਟਰੀ
lower bar,ਹੇਠਲੀ ਪੱਟੀ
lower bound,ਹੇਠਲੀ ਸੀਮਾ
lower Riemann integral,ਹੇਠਲੇ ਰੀਮੈਨ ਅਟੁੱਟ
lower sum,ਘੱਟ ਰਕਮ
lower triangular matrix,ਹੇਠਲਾ ਤਿਕੋਣੀ ਮੈਟ੍ਰਿਕਸ
Maclaurin's expansion,ਮੈਕਲੌਰਿਨ ਦਾ ਵਿਸਥਾਰ
magic number,ਮੈਜਿਕ ਨੰਬਰ
magic square,ਜਾਦੂ ਵਰਗ
magnitude limit (=limiting magnitude),ਤੀਬਰਤਾ ਸੀਮਾ (=ਸੀਮਤ ਤੀਬਰਤਾ)
mailed questionnaire,ਮੇਲ ਕੀਤੀ ਪ੍ਰਸ਼ਨਾਵਲੀ
mail survey,ਡਾਕ ਸਰਵੇਖਣ
majorant (upper bound),ਮੇਜਰੈਂਟ (ਉੱਪਰੀ ਸੀਮਾ)
major arc,ਪ੍ਰਮੁੱਖ ਚਾਪ
majorised set,ਵੱਡਾ ਸੈੱਟ
many valued function,ਬਹੁਤ ਸਾਰੇ ਕੀਮਤੀ ਫੰਕਸ਼ਨ
map,ਨਕਸ਼ਾ
map into the set,ਸੈੱਟ ਵਿੱਚ ਨਕਸ਼ਾ
mapping of a set,ਇੱਕ ਸੈੱਟ ਦੀ ਮੈਪਿੰਗ
marginal probability,ਮਾਮੂਲੀ ਸੰਭਾਵਨਾ
mathematical analysis,ਗਣਿਤਿਕ ਵਿਸ਼ਲੇਸ਼ਣ
mathematical argument,ਗਣਿਤਿਕ ਦਲੀਲ
mathematical centre,ਗਣਿਤ ਕੇਂਦਰ
mathematical complexity,ਗਣਿਤਿਕ ਗੁੰਝਲਤਾ
mathematical economics,ਗਣਿਤਿਕ ਅਰਥ ਸ਼ਾਸਤਰ
mathematical expectation,ਗਣਿਤਿਕ ਉਮੀਦ
mathematical form,ਗਣਿਤਿਕ ਰੂਪ
mathematical formulation,ਗਣਿਤਿਕ ਸੂਤਰੀਕਰਨ
mathematical identity,ਗਣਿਤ ਦੀ ਪਛਾਣ
mathematical logic,ਗਣਿਤਿਕ ਤਰਕ
mathematical model,ਗਣਿਤਿਕ ਮਾਡਲ
mathematical notion,ਗਣਿਤਿਕ ਧਾਰਨਾ
matrix digonalisation,ਮੈਟਰਿਕਸ ਵਿਭਾਜਨੀਕਰਨ
matrix inverse,ਮੈਟ੍ਰਿਕਸ ਉਲਟ
matrix inversion,ਮੈਟ੍ਰਿਕਸ ਉਲਟਾ
matrix iterative method,ਮੈਟ੍ਰਿਕਸ ਦੁਹਰਾਓ ਵਿਧੀ
matrix method,ਮੈਟ੍ਰਿਕਸ ਵਿਧੀ
matrix multiplication,ਮੈਟ੍ਰਿਕਸ ਗੁਣਾ
matrix of constants,ਸਥਿਰਾਂਕ ਦਾ ਮੈਟ੍ਰਿਕਸ
matrix of effectiveness,ਪ੍ਰਭਾਵ ਦਾ ਮੈਟ੍ਰਿਕਸ
matrix operator,ਮੈਟਰਿਕਸ ਆਪਰੇਟਰ
matrix polynomial,ਮੈਟਰਿਕਸ ਬਹੁਪਦ
matrix printing,ਮੈਟ੍ਰਿਕਸ ਪ੍ਰਿੰਟਿੰਗ
matrix product,ਮੈਟਰਿਕਸ ਉਤਪਾਦ
maximized,ਵੱਧ ਤੋਂ ਵੱਧ
maximum,ਵੱਧ ਤੋਂ ਵੱਧ
maximum absolute value,ਅਧਿਕਤਮ ਸੰਪੂਰਨ ਮੁੱਲ
maximum F-ratio,ਵੱਧ ਤੋਂ ਵੱਧ F- ਅਨੁਪਾਤ
maximum likelihood,ਵੱਧ ਤੋਂ ਵੱਧ ਸੰਭਾਵਨਾ
maxmin,ਵੱਧ ਤੋਂ ਵੱਧ
maxmin criterian,ਵੱਧ ਤੋਂ ਵੱਧ ਮਾਪਦੰਡ
max of a function,ਇੱਕ ਫੰਕਸ਼ਨ ਦਾ ਅਧਿਕਤਮ
Maxwell-Boltzmann statistics,ਮੈਕਸਵੈੱਲ-ਬੋਲਟਜ਼ਮੈਨ ਦੇ ਅੰਕੜੇ
mean deviation,ਮਤਲਬ ਭਟਕਣਾ
mean square deviation,ਮਤਲਬ ਵਰਗ ਭਟਕਣਾ
mean square error,ਮਤਲਬ ਵਰਗ ਗਲਤੀ
mean value,ਮਤਲਬ ਮੁੱਲ
mean value theorem,ਮਤਲਬ ਮੁੱਲ ਸਿਧਾਂਤ
measure of kurtosis,kurtosis ਦਾ ਮਾਪ
median,ਔਸਤ
median centre,ਮੱਧ ਕੇਂਦਰ
mesokurtic curve,mesokurtic ਵਕਰ
mesokurtosis,mesokurtosis
message,ਸੁਨੇਹਾ
method,ਢੰਗ
method of elimination,ਖਤਮ ਕਰਨ ਦੀ ਵਿਧੀ
method of inversion,ਉਲਟ ਦੀ ਵਿਧੀ
method of iteration,ਦੁਹਰਾਉਣ ਦੀ ਵਿਧੀ
method of least squares,ਘੱਟੋ-ਘੱਟ ਵਰਗਾਂ ਦੀ ਵਿਧੀ
method of moments,ਪਲ ਦੀ ਵਿਧੀ
method of similar triangles,ਸਮਾਨ ਤਿਕੋਣਾਂ ਦੀ ਵਿਧੀ
method of steepest descent,ਸਭ ਤੋਂ ਉੱਚੀ ਉਤਰਾਈ ਦਾ ਤਰੀਕਾ
method of summation,ਸਾਰ ਦੀ ਵਿਧੀ
method of undetermined coefficient,ਅਨਿਸ਼ਚਿਤ ਗੁਣਾਂਕ ਦੀ ਵਿਧੀ
metric space,ਮੀਟਰਿਕ ਸਪੇਸ
metric system,ਮੀਟਰਿਕ ਸਿਸਟਮ
metric unit,ਮੀਟ੍ਰਿਕ ਯੂਨਿਟ
micro theory,ਮਾਈਕਰੋ ਥਿਊਰੀ
middle,ਮੱਧ
middle term,ਮੱਧ ਮਿਆਦ
mid point,ਮੱਧ ਬਿੰਦੂ
mid point formula,ਮੱਧ ਬਿੰਦੂ ਫਾਰਮੂਲਾ
minimal polynomial,ਨਿਊਨਤਮ ਬਹੁਪਦ
minimax principle,ਘੱਟੋ-ਘੱਟ ਸਿਧਾਂਤ
minimum,ਘੱਟੋ-ਘੱਟ
minimum point (of curve),ਘੱਟੋ-ਘੱਟ ਬਿੰਦੂ (ਕਰਵ ਦਾ)
minimum polynomial,ਘੱਟੋ-ਘੱਟ ਬਹੁਪਦ
min of a function,ਇੱਕ ਫੰਕਸ਼ਨ ਦਾ min
minor arc,ਮਾਮੂਲੀ ਚਾਪ
minor axis,ਮਾਮੂਲੀ ਧੁਰੀ
minorised subset,ਨਾਬਾਲਗ ਉਪ ਸਮੂਹ
minus,ਘਟਾਓ
minus sign,ਘਟਾਓ ਦਾ ਚਿੰਨ੍ਹ
mixed fraction,ਮਿਸ਼ਰਤ ਭਾਗ
mixed strategy,ਮਿਸ਼ਰਤ ਰਣਨੀਤੀ
mode,ਮੋਡ
modulus,ਮਾਡਿਊਲਸ
modulus of a complex number,ਇੱਕ ਮਿਸ਼ਰਿਤ ਸੰਖਿਆ ਦਾ ਮਾਡਿਊਲਸ
moment,ਪਲ
moment generating function,ਪਲ ਪੈਦਾ ਕਰਨ ਵਾਲਾ ਫੰਕਸ਼ਨ
moment of a force,ਇੱਕ ਤਾਕਤ ਦਾ ਪਲ
moment of frequency distribution,ਬਾਰੰਬਾਰਤਾ ਵੰਡ ਦਾ ਪਲ
moment of inertia,ਜੜਤਾ ਦਾ ਪਲ
moment of momentum,ਗਤੀ ਦਾ ਪਲ
momentum,ਗਤੀ
monomial,monomial
monomorphic,ਮੋਨੋਮੋਰਫਿਕ
monomorphism,ਮੋਨੋਮੋਰਫਿਜ਼ਮ
monotone,ਮੋਨੋਟੋਨ
monotone increasing sequence,ਮੋਨੋਟੋਨ ਵਧਣ ਦਾ ਕ੍ਰਮ
monotonically,monotonically
monotonically increasing net,monotonically ਵਧਦਾ ਜਾਲ
monotonically increasing sequence,monotonically ਵਧ ਰਹੀ ਕ੍ਰਮ
monotonic function,ਮੋਨੋਟੋਨਿਕ ਫੰਕਸ਼ਨ
Monte Carlo calculation,ਮੋਂਟੇ ਕਾਰਲੋ ਦੀ ਗਣਨਾ
Monte Carlo method,ਮੋਂਟੇ ਕਾਰਲੋ ਵਿਧੀ
morra (game),ਮੋਰਾ (ਖੇਡ)
mortality statistics,ਮੌਤ ਦੇ ਅੰਕੜੇ
most probable,ਸਭ ਤੋਂ ਸੰਭਾਵਿਤ
motion,ਮੋਸ਼ਨ
moving average,ਮੂਵਿੰਗ ਔਸਤ
M-space,ਐਮ-ਸਪੇਸ
M-test for integral,ਇੰਟੀਗਰਲ ਲਈ ਐਮ-ਟੈਸਟ
multidecision problem,ਬਹੁ ਨਿਰਣਾਇਕ ਸਮੱਸਿਆ
multidimensional normal distribution,ਬਹੁ-ਆਯਾਮੀ ਆਮ ਵੰਡ
multidimensional random variable,ਬਹੁ-ਆਯਾਮੀ ਬੇਤਰਤੀਬ ਵੇਰੀਏਬਲ
multi-index transportation problem,ਮਲਟੀ-ਇੰਡੈਕਸ ਆਵਾਜਾਈ ਸਮੱਸਿਆ
multinomial,ਬਹੁਨਾਮੀ
multinomial distribution,ਬਹੁਨਾਮੀ ਵੰਡ
multiple,ਮਲਟੀਪਲ
multiple choice problem,ਬਹੁ-ਚੋਣ ਸਮੱਸਿਆ
multiple connected domain,ਮਲਟੀਪਲ ਜੁੜਿਆ ਡੋਮੇਨ
multiple correlation,ਮਲਟੀਪਲ ਸਬੰਧ
multiple frequency table,ਮਲਟੀਪਲ ਬਾਰੰਬਾਰਤਾ ਸਾਰਣੀ
multiple integral,ਮਲਟੀਪਲ ਅਟੁੱਟ
multiple integration,ਮਲਟੀਪਲ ਏਕੀਕਰਣ
multiple regression,ਮਲਟੀਪਲ ਰਿਗਰੈਸ਼ਨ
multiple regression analysis,ਮਲਟੀਪਲ ਰਿਗਰੈਸ਼ਨ ਵਿਸ਼ਲੇਸ਼ਣ
multiple regression coefficient,ਮਲਟੀਪਲ ਰਿਗਰੈਸ਼ਨ ਗੁਣਾਂਕ
multiple regression equation,ਮਲਟੀਪਲ ਰਿਗਰੈਸ਼ਨ ਸਮੀਕਰਨ
multiple root,ਮਲਟੀਪਲ ਰੂਟ
multiplication,ਗੁਣਾ
multiplication by columns (of determinant),ਕਾਲਮਾਂ ਦੁਆਰਾ ਗੁਣਾ (ਨਿਰਧਾਰਕ ਦਾ)
multiplication by rows (of determinant),ਕਤਾਰਾਂ ਨਾਲ ਗੁਣਾ (ਨਿਰਧਾਰਕ ਦਾ)
multiplication factor,ਗੁਣਾ ਕਾਰਕ
multiplicative function,ਗੁਣਾਤਮਕ ਫੰਕਸ਼ਨ
multiplicative group,ਗੁਣਾਤਮਕ ਸਮੂਹ
multiplicative inverse,ਗੁਣਾਤਮਕ ਉਲਟ
multiplicity,ਬਹੁਲਤਾ
multiplicity of roots,ਜੜ੍ਹਾਂ ਦੀ ਬਹੁਲਤਾ
multiplicity of zero,ਜ਼ੀਰੋ ਦੀ ਬਹੁਲਤਾ
multiplier,ਗੁਣਕ
multiply,ਗੁਣਾ
multivariate distribution,ਬਹੁ-ਵਿਭਿੰਨ ਵੰਡ
multivariate normal distribution,ਮਲਟੀਵੈਰੀਏਟ ਸਧਾਰਣ ਵੰਡ
multivariate population,ਬਹੁਭਿੰਨ ਆਬਾਦੀ
mutual,ਆਪਸੀ
nabla,ਨਾਬਲਾ
Napierian,ਨੇਪੀਅਰੀਅਨ
Napierian logarithm,ਨੇਪੀਅਰੀਅਨ ਲਘੂਗਣਕ
natural logarithm,ਕੁਦਰਤੀ ਲਘੂਗਣਕ
natural number,ਕੁਦਰਤੀ ਨੰਬਰ
nautical mile,ਸਮੁੰਦਰੀ ਮੀਲ
n-dimensional,n-ਆਯਾਮੀ
n-dimensional vector space,n-ਅਯਾਮੀ ਵੈਕਟਰ ਸਪੇਸ
necessary and sufficient condition,ਲੋੜੀਂਦੀ ਅਤੇ ਲੋੜੀਂਦੀ ਸਥਿਤੀ
necessary condition,ਜ਼ਰੂਰੀ ਹਾਲਤ
negation,ਨਕਾਰਾ
negative,ਨਕਾਰਾਤਮਕ
negative curvature,ਨਕਾਰਾਤਮਕ ਵਕਰਤਾ
negative definite form,ਨਕਾਰਾਤਮਕ ਨਿਸ਼ਚਿਤ ਰੂਪ
negative definite matrix,ਨੈਗੇਟਿਵ ਨਿਸ਼ਚਿਤ ਮੈਟ੍ਰਿਕਸ
negative semi-definite form,ਨਕਾਰਾਤਮਕ ਅਰਧ-ਨਿਸ਼ਚਿਤ ਰੂਪ
neighbourhood,ਗੁਆਂਢ
nested sampling,ਨੇਸਟਡ ਨਮੂਨਾ
net reproduction rate,ਸ਼ੁੱਧ ਪ੍ਰਜਨਨ ਦਰ
Newtonian mechanics,ਨਿਊਟੋਨੀਅਨ ਮਕੈਨਿਕਸ
Newton's divided difference formula,ਨਿਊਟਨ ਦਾ ਵਿਭਾਜਿਤ ਅੰਤਰ ਫਾਰਮੂਲਾ
Newton's laws of motion,ਨਿਊਟਨ ਦੇ ਗਤੀ ਦੇ ਨਿਯਮ
Neyman allocation,ਨੇਮਨ ਦੀ ਵੰਡ
Neyman Pearson theory,ਨੇਮਨ ਪੀਅਰਸਨ ਥਿਊਰੀ
nilpotent element,ਨਿਰਪੱਖ ਤੱਤ
nilpotent matrix,ਨੀਲਪੋਟੈਂਟ ਮੈਟਰਿਕਸ
node,ਨੋਡ
non-Abelian group,ਗੈਰ-ਅਬੇਲੀਅਨ ਸਮੂਹ
non-absolute convergence,ਗੈਰ-ਪੂਰਨ ਕਨਵਰਜੈਂਸ
non-algebraic,ਗੈਰ-ਬੀਜਗਣਿਤ
non-degenerate,ਗੈਰ-ਡਿਜਨਰੇਟ
non-degenerate basic feasible solution,ਗੈਰ-ਡਿਜਨਰੇਟ ਬੁਨਿਆਦੀ ਸੰਭਵ ਹੱਲ
non-dense,ਗੈਰ-ਸੰਘਣੀ
non-dense set,ਗੈਰ-ਸੰਘਣੀ ਸੈੱਟ
non-denumerable infinity of points,ਅੰਕਾਂ ਦੀ ਗੈਰ-ਗਿਣਤੀਯੋਗ ਅਨੰਤਤਾ
non-denumerable set,ਗੈਰ-ਗਿਣਤੀਯੋਗ ਸੈੱਟ
non-differentiable,ਗੈਰ-ਭਿੰਨਤਾਯੋਗ
non empty subset,ਗੈਰ-ਖਾਲੀ ਉਪ-ਸੈੱਟ
non-Euclidean geometry,ਗੈਰ-ਯੂਕਲੀਡੀਅਨ ਜਿਓਮੈਟਰੀ
non-homogeneous,ਗੈਰ-ਸਰੂਪ
non-intersecting,ਗੈਰ-ਇੰਟਰਸੈਕਟਿੰਗ
non-linear algebraic equation,ਗੈਰ-ਲੀਨੀਅਰ ਬੀਜਗਣਿਤ ਸਮੀਕਰਨ
non-linear differential equation,ਗੈਰ-ਲੀਨੀਅਰ ਅੰਤਰ ਸਮੀਕਰਨ
non-linear equation,ਗੈਰ-ਲੀਨੀਅਰ ਸਮੀਕਰਨ
non-linear programming,ਗੈਰ-ਲੀਨੀਅਰ ਪ੍ਰੋਗਰਾਮਿੰਗ
non-linear regression,ਗੈਰ-ਲੀਨੀਅਰ ਰਿਗਰੈਸ਼ਨ
non-linear relationship,ਗੈਰ-ਲੀਨੀਅਰ ਸਬੰਧ
non-negative integer,ਗੈਰ-ਨੈਗੇਟਿਵ ਪੂਰਨ ਅੰਕ
non-negative variable,ਗੈਰ-ਨੈਗੇਟਿਵ ਵੇਰੀਏਬਲ
non-parametric test,ਗੈਰ-ਪੈਰਾਮੀਟਰਿਕ ਟੈਸਟ
non-probabilistic approach,ਗੈਰ-ਸੰਭਾਵਨਾਵਾਦੀ ਪਹੁੰਚ
non-singular matrix,ਗੈਰ-ਇਕਵਚਨ ਮੈਟ੍ਰਿਕਸ
non-symmetric matrix,ਗੈਰ-ਸਮਮਿਤੀ ਮੈਟ੍ਰਿਕਸ
non-trivial,ਗੈਰ-ਮਾਮੂਲੀ
non-vanishing determinant,ਗੈਰ-ਲੁਪਤ ਨਿਰਣਾਇਕ
non-void,ਗੈਰ-ਰਹਿਤ
non-void subset,ਗੈਰ-ਰਹਿਤ ਉਪ ਸਮੂਹ
non-zero determinant,ਗੈਰ-ਜ਼ੀਰੋ ਨਿਰਧਾਰਕ
NOR gate,ਨਾ ਹੀ ਗੇਟ
normal,ਆਮ
normal acceleration,ਆਮ ਪ੍ਰਵੇਗ
normal angle,ਆਮ ਕੋਣ
normal curve,ਆਮ ਕਰਵ
normal density function,ਆਮ ਘਣਤਾ ਫੰਕਸ਼ਨ
normal distribution,ਆਮ ਵੰਡ
normal distribution function,ਆਮ ਵੰਡ ਫੰਕਸ਼ਨ
normal form for the matrix,ਮੈਟ੍ਰਿਕਸ ਲਈ ਸਧਾਰਨ ਰੂਪ
normal frequency,ਆਮ ਬਾਰੰਬਾਰਤਾ
normalized curve,ਸਧਾਰਣ ਕਰਵ
normalized floating point number,ਸਧਾਰਣ ਫਲੋਟਿੰਗ ਪੁਆਇੰਟ ਨੰਬਰ
normalizer,ਸਧਾਰਣ ਕਰਨ ਵਾਲਾ
normal matrix,ਆਮ ਮੈਟ੍ਰਿਕਸ
