Punjabi,Odiya
ਲਾਈਨ ਸੰਪਾਦਨ,ରେଖା ସମ୍ପାଦନା |
ਲਾਈਨ ਪ੍ਰਿੰਟਰ,ରେଖା ପ୍ରିଣ୍ଟର୍ |
ਰੇਖਿਕ,ରେଖା
ਲਾਈਨਾਂ ਪ੍ਰਤੀ ਮਿੰਟ (LPM),ପ୍ରତି ମିନିଟରେ ରେଖା (LPM)
ਲਿੰਕ,ଲିଙ୍କ୍ |
ਲਿੰਕ ਕੀਤੀ ਸੂਚੀ,ଲିଙ୍କ୍ ତାଲିକା |
ਲਿਨਕਸ,LINUX
ਤਰਲ ਕ੍ਰਿਸਟਲ ਡਿਸਪਲੇ (LCD),ତରଳ ସ୍ଫଟିକ୍ ପ୍ରଦର୍ଶନ (LCD)
ਸੂਚੀ ਦੀ ਕਾਰਵਾਈ,ତାଲିକା ପ୍ରକ୍ରିୟାକରଣ |
ਸ਼ਾਬਦਿਕ,ଆକ୍ଷରିକ
ਲਾਈਵ,ଲାଇଭ୍ |
ਲਾਈਵ ਨੋਡ,ଲାଇଭ୍ ନୋଡ୍ |
ਲੋਡ ਕਰੋ,ଲୋଡ୍ କର |
ਲੋਡ ਮੋਡੀਊਲ,ଲୋଡ୍ ମଡ୍ୟୁଲ୍
ਸਥਾਨਕ,ସ୍ଥାନୀୟ
ਸਥਾਨਕ ਪਹੁੰਚ,ସ୍ଥାନୀୟ ପ୍ରବେଶ
ਲੋਕਲ ਏਰੀਆ ਨੈੱਟਵਰਕ (ਲੈਨ),ସ୍ଥାନୀୟ କ୍ଷେତ୍ର ନେଟୱାର୍କ (ଲାନ୍)
ਸਥਾਨਕ ਪਰਿਭਾਸ਼ਾ,ସ୍ଥାନୀୟ ପରିଭାଷା |
ਸਥਾਨਕ ਮੁਦਰਾ,ସ୍ଥାନୀୟ ବିନିମୟ |
ਸਥਾਨਕ ਮੈਮੋਰੀ,ସ୍ଥାନୀୟ ସ୍ମୃତି
ਸਥਾਨਕ ਮੋਡ,ସ୍ଥାନୀୟ ମୋଡ୍ |
ਸਥਾਨਕ ਵੇਰੀਏਬਲ,ଲୋକାଲ୍ ଭେରିଏବଲ୍ |
ਤਾਲਾ,ଲକ୍ କରନ୍ତୁ |
ਤਾਲਾਬੰਦ ਫਾਇਲ,ଲକ୍ ହୋଇଥିବା ଫାଇଲ୍ |
ਲੌਗ ਇਨ = ਲੌਗ ਇਨ ਕਰੋ,ଲଗ୍ ଇନ୍ = ଲଗ୍ ଇନ୍ କରନ୍ତୁ |
ਲੌਗ-ਆਉਟ-ਲੌਗ ਆਊਟ,ଲଗ୍ ଆଉଟ୍ ଆଉଟ୍ କରନ୍ତୁ |
ਲਾਗਿੰਗ,ଲଗିଂ
ਤਰਕ ਵਿਸ਼ਲੇਸ਼ਕ,ତର୍କ ବିଶ୍ଳେଷଣକାରୀ |
ਤਰਕ ਬੰਬ,ଲଜିକ୍ ବୋମା |
ਤਰਕ ਕਾਰਡ,ଲଜିକ୍ କାର୍ଡ |
ਤਰਕ ਚਾਰਟ (ਪ੍ਰਵਾਹ ਚਾਰਟ),ଲଜିକ୍ ଚାର୍ଟ (ଫ୍ଲୋ ଚାର୍ଟ)
ਤਰਕ ਸਰਕਟ,ଲଜିକ୍ ସର୍କିଟ୍ |
ਤਰਕ ਡਿਜ਼ਾਈਨ,ତାର୍କିକ ଡିଜାଇନ୍ |
ਤਰਕ ਚਿੱਤਰ,ତାର୍କିକ ଚିତ୍ର
ਤਰਕ ਪ੍ਰਵਾਹ ਚਾਰਟ,ତର୍କ ପ୍ରବାହ ଚାର୍ଟ |
ਤਰਕ ਫੰਕਸ਼ਨ,ତାର୍କିକ କାର୍ଯ୍ୟ
ਤਰਕ ਗੇਟ,ତାର୍କିକ ଫାଟକ
ਤਰਕ ਪ੍ਰੋਗਰਾਮਿੰਗ,ଲଜିକ୍ ପ୍ରୋଗ୍ରାମିଂ |
ਤਰਕ ਤਬਦੀਲੀ,ତର୍କ ପରିବର୍ତ୍ତନ
ਤਰਕ ਸਥਿਤੀ,ତର୍କ ସ୍ଥିତି |
ਤਰਕ ਸਵਿੱਚ,ଲଜିକ୍ ସୁଇଚ୍ |
ਤਰਕ ਇਕਾਈ,ତର୍କ ଏକକ |
ਲਾਜ਼ੀਕਲ,ଯୁକ୍ତିଯୁକ୍ତ |
ਲਾਜ਼ੀਕਲ ਕੁਨੈਕਸ਼ਨ,ଯୁକ୍ତିଯୁକ୍ତ ସଂଯୋଗ |
ਲਾਜ਼ੀਕਲ ਡਾਟਾ ਬਣਤਰ,ତାର୍କିକ ତଥ୍ୟ ଗଠନ
ਲਾਜ਼ੀਕਲ ਚਿੱਤਰ,ତାର୍କିକ ଚିତ୍ର
ਲਾਜ਼ੀਕਲ ਸਮੀਕਰਨ,ଯୁକ୍ତିଯୁକ୍ତ ଅଭିବ୍ୟକ୍ତି |
ਲਾਜ਼ੀਕਲ ਪ੍ਰਵਾਹ ਚਾਰਟ (ਪ੍ਰਵਾਹ ਚਾਰਟ),ଲଜିକାଲ୍ ଫ୍ଲୋ ଚାର୍ଟ (ଫ୍ଲୋ ଚାର୍ଟ)
ਲਾਜ਼ੀਕਲ IF,ଯୁକ୍ତିଯୁକ୍ତ IF
ਲਾਜ਼ੀਕਲ ਕਾਰਵਾਈ,ଲଜିକାଲ୍ ଅପରେସନ୍
ਲਾਜ਼ੀਕਲ ਆਪਰੇਟਰ,ଲଜିକାଲ୍ ଅପରେଟର୍ |
ਲਾਜ਼ੀਕਲ ਸਬੰਧ,ଯୁକ୍ତିଯୁକ୍ତ ସମ୍ପର୍କ |
ਲਾਜ਼ੀਕਲ ਸਕੀਮ,ଲଜିକାଲ୍ ସ୍କିମ୍ |
ਲਾਜ਼ੀਕਲ ਪ੍ਰਤੀਕ,ଯୁକ୍ତିଯୁକ୍ତ ପ୍ରତୀକ |
ਲਾਜ਼ੀਕਲ ਕਿਸਮ,ଲଜିକାଲ୍ ପ୍ରକାର |
ਲਾਜ਼ੀਕਲ ਮੁੱਲ,ତାର୍କିକ ମୂଲ୍ୟ
ਲਾਜ਼ੀਕਲ ਵੇਰੀਏਬਲ,ଲଜିକାଲ୍ ଭେରିଏବଲ୍ |
ਅੱਗੇ ਦੇਖੋ ਕੈਰੀ,ଆଗକୁ ଦେଖ
ਸੈੱਟ ਅੱਗੇ ਦੇਖੋ,ଆଗକୁ ସେଟ୍ ଦେଖନ୍ତୁ |
ਝਾਂਕਨਾ,ଉପରୁକୁ ଦେଖ
ਲੂਪ,ଲୁପ୍ |
ਲੂਪ ਕੰਟਰੋਲ,ଲୁପ୍ କଣ୍ଟ୍ରୋଲ୍ |
ਲੂਪ ਸ਼ੁਰੂਆਤ,ଲୁପ୍ ପ୍ରାରମ୍ଭିକରଣ |
ਲੂਪ ਸੋਧ,ଲୁପ୍ ପରିବର୍ତ୍ତନ
ਲੂਪ ਨੈੱਟਵਰਕ,ଲୁପ୍ ନେଟୱାର୍କ |
ਲੂਪ ਸ਼ੁਰੂ,ଲୁପ୍ ଆରମ୍ଭ
ਲੂਪ ਸਮਾਪਤੀ,ଲୁପ୍ ସମାପ୍ତି |
ਲੂਪ-ਬੈਕ ਟੈਸਟ,ଲୁପ୍-ବ୍ୟାକ୍ ପରୀକ୍ଷା |
ਢਿੱਲੀ ਜੋੜੀ,ଖାଲି ଯୋଡି |
ਨੁਕਸਾਨ ਰਹਿਤ ਸੰਕੁਚਨ,କ୍ଷତିହୀନ ସଙ୍କୋଚନ |
ਨੁਕਸਾਨਦੇਹ ਕੰਪਰੈਸ਼ਨ,କ୍ଷତିକାରକ ସଙ୍କୋଚନ |
ਘੱਟ ਬਾਈਟ,କମ୍ ବାଇଟ୍ |
ਹੇਠਲੇ ਪੱਧਰ ਦੀ ਭਾਸ਼ਾ,ନିମ୍ନ ସ୍ତରର ଭାଷା |
ਘੱਟ ਪਾਸ ਫਿਲਟਰ,ନିମ୍ନ ପାସ୍ ଫିଲ୍ଟର୍ |
ਹੇਠਲੀ ਸੀਮਾ,ନିମ୍ନ ବନ୍ଧା |
ਮੈਕ ਪ੍ਰੋਟੋਕੋਲ (ਮੀਡੀਅਮ ਐਕਸੈਸ ਕੰਟਰੋਲ),ମ୍ୟାକ୍ ପ୍ରୋଟୋକଲ୍ (ମଧ୍ୟମ ପ୍ରବେଶ ନିୟନ୍ତ୍ରଣ)
ਮਸ਼ੀਨ,ମେସିନ୍
ਮਸ਼ੀਨ ਦਾ ਪਤਾ,ଯନ୍ତ୍ର ଠିକଣା
ਮਸ਼ੀਨ ਕੋਡ,ମେସିନ୍ କୋଡ୍
ਮਸ਼ੀਨ ਚੱਕਰ,ମେସିନ୍ ଚକ୍ର |
ਮਸ਼ੀਨ ਨਿਰਭਰ ਭਾਸ਼ਾ,ମେସିନ୍ ନିର୍ଭରଶୀଳ ଭାଷା |
ਮਸ਼ੀਨ ਨਿਰਭਰ ਸਾਫਟਵੇਅਰ,ମେସିନ୍ ନିର୍ଭରଶୀଳ ସଫ୍ଟୱେର୍ |
ਮਸ਼ੀਨ ਗਲਤੀ,ମେସିନ୍ ତ୍ରୁଟି |
ਮਸ਼ੀਨ ਦਾ ਵਿਹਲਾ ਸਮਾਂ,ମେସିନ୍ ନିଷ୍କ୍ରିୟ ସମୟ |
ਮਸ਼ੀਨ ਸੁਤੰਤਰ ਭਾਸ਼ਾ,ମେସିନ୍ ସ୍ୱାଧୀନ ଭାଷା |
ਮਸ਼ੀਨ ਦੀ ਹਦਾਇਤ,ଯନ୍ତ୍ର ନିର୍ଦ୍ଦେଶ
ਮਸ਼ੀਨ ਬੁੱਧੀ,ଯନ୍ତ୍ର ବୁଦ୍ଧି
ਮਸ਼ੀਨ ਭਾਸ਼ਾ,ମେସିନ୍ ଭାଷା
ਮਸ਼ੀਨ ਸਿਖਲਾਈ,ଯନ୍ତ୍ର ଶିକ୍ଷା
ਮਸ਼ੀਨ ਦੀ ਕਾਰਵਾਈ,ମେସିନ୍ ଅପରେସନ୍
ਮਸ਼ੀਨ ਅਧਾਰਿਤ ਭਾਸ਼ਾ,ମେସିନ୍ ଆଧାରିତ ଭାଷା |
ਮਸ਼ੀਨ ਰਨ,ମେସିନ୍ ଚଲାଇବା |
ਮਸ਼ੀਨ ਸਿਮੂਲੇਸ਼ਨ,ମେସିନ୍ ଅନୁକରଣ
ਮਸ਼ੀਨ ਖਰਾਬ ਸਮਾਂ,ମେସିନ୍ ନଷ୍ଟ ହୋଇଥିବା ସମୟ |
ਮਸ਼ੀਨ ਅਨੁਵਾਦ,ମେସିନ୍ ଅନୁବାଦ
ਮਸ਼ੀਨ ਸ਼ਬਦ,ମେସିନ୍ ଶବ୍ଦ |
ਮੈਕਰੋ (=ਮੈਕ੍ਰੋ ਹਦਾਇਤ),ମାକ୍ରୋ (= ମାକ୍ରୋ ନିର୍ଦ୍ଦେଶ)
ਮੈਕਰੋ ਆਰਗੂਮੈਂਟ,ମାକ୍ରୋ ଆର୍ଗୁମେଣ୍ଟ୍ |
ਮੈਕਰੋ ਅਸੈਂਬਲੀ ਪ੍ਰੋਗਰਾਮ,ମାକ୍ରୋ ଆସେମ୍ବଲି ପ୍ରୋଗ୍ରାମ୍ |
ਮੈਕਰੋ ਕਾਲ,ମାକ୍ରୋ କଲ୍ |
ਮੈਕਰੋ ਕੋਡ,ମାକ୍ରୋ କୋଡ୍ |
ਮੈਕਰੋ ਕਮਾਂਡ,ମାକ୍ରୋ କମାଣ୍ଡ୍ |
ਮੈਕਰੋ ਘੋਸ਼ਣਾ,ମାକ୍ରୋ ଘୋଷଣା
ਮੈਕਰੋ ਪਰਿਭਾਸ਼ਾ,ମାକ୍ରୋ ସଂଜ୍ଞା
ਮੈਕਰੋ ਫਲੋ ਚਾਰਟ,ମାକ୍ରୋ ଫ୍ଲୋ ଚାର୍ଟ |
ਮੈਕਰੋ ਜਨਰੇਟਰ,ମାକ୍ରୋ ଜେନେରେଟର
ਮੈਕਰੋ ਹਦਾਇਤ,ମାକ୍ରୋ ନିର୍ଦ୍ଦେଶ
ਮੈਕਰੋ ਭਾਸ਼ਾ,ମାକ୍ରୋ ଭାଷା |
ਮੈਕਰੋ ਲਾਇਬ੍ਰੇਰੀ,ମାକ୍ରୋ ଲାଇବ୍ରେରୀ |
ਮੈਕਰੋ ਪੈਰਾਮੀਟਰ,ମାକ୍ରୋ ପାରାମିଟର |
ਮੈਕਰੋ ਪ੍ਰੋਸੈਸਿੰਗ,ମାକ୍ରୋ ପ୍ରକ୍ରିୟାକରଣ |
ਮੈਕਰੋ ਪ੍ਰੋਸੈਸਰ,ମାକ୍ରୋ ସଞ୍ଚାଳକ |
ਮੈਕਰੋ ਪ੍ਰੋਗਰਾਮਿੰਗ,ମାକ୍ରୋ ପ୍ରୋଗ୍ରାମିଂ |
ਮੈਕਰੋ ਪ੍ਰੋਟੋਟਾਈਪ,ମାକ୍ରୋ ପ୍ରୋଟୋଟାଇପ୍ |
ਮੈਕਰੋ-ਕੋਡਿੰਗ,ମାକ୍ରୋ-କୋଡିଂ |
ਮੈਗਾਬਾਈਟ (MB),ମାଗାବାଇଟ୍ (MB)
ਜਾਦੂ ਅੱਖਰ,ଯାଦୁ ଚରିତ୍ର |
ਮੈਜਿਕ ਨੰਬਰ,ଯାଦୁ ସଂଖ୍ୟା
ਚੁੰਬਕੀ ਬੁਲਬੁਲਾ ਮੈਮੋਰੀ,ଚୁମ୍ବକୀୟ ବବୁଲ୍ ସ୍ମୃତି
ਚੁੰਬਕੀ ਕਾਰਡ,ଚୁମ୍ବକୀୟ କାର୍ଡ |
ਚੁੰਬਕੀ ਸੈੱਲ,ଚୁମ୍ବକୀୟ କକ୍ଷ |
ਚੁੰਬਕੀ ਅੱਖਰ,ଚୁମ୍ବକୀୟ ଚରିତ୍ର |
ਚੁੰਬਕੀ ਕੋਰ ਸਟੋਰੇਜ਼,ଚୁମ୍ବକୀୟ କୋର ସଂରକ୍ଷଣ
ਚੁੰਬਕੀ ਡਿਸਕ,ଚୁମ୍ବକୀୟ ଡିସ୍କ |
ਚੁੰਬਕੀ ਡਿਸਕ ਪਤਾ,ଚୁମ୍ବକୀୟ ଡିସ୍କ ଠିକଣା
ਚੁੰਬਕੀ ਡਿਸਕ ਮੈਮੋਰੀ,ଚୁମ୍ବକୀୟ ଡିସ୍କ ସ୍ମୃତି
ਚੁੰਬਕੀ ਡਰੱਮ,ଚୁମ୍ବକୀୟ ଡ୍ରମ୍ |
ਚੁੰਬਕੀ ਇੰਕੋਡਿੰਗ,ଚୁମ୍ବକୀୟ ଏନକୋଡିଂ |
ਚੁੰਬਕੀ ਸਿਰ,ଚୁମ୍ବକୀୟ ମୁଣ୍ଡ
ਚੁੰਬਕੀ ਸਿਆਹੀ,ଚୁମ୍ବକୀୟ ଇଙ୍କି |
ਚੁੰਬਕੀ ਸਿਆਹੀ ਅੱਖਰ ਪਛਾਣ (MICR),ଚୁମ୍ବକୀୟ ଇଙ୍କି ବର୍ଣ୍ଣ ଚିହ୍ନ (MICR)
ਚੁੰਬਕੀ ਮੀਡੀਆ,ଚୁମ୍ବକୀୟ ମିଡିଆ |
ਚੁੰਬਕੀ ਰੀਡਿੰਗ,ଚୁମ୍ବକୀୟ ପଠନ |
ਚੁੰਬਕੀ ਰਿਕਾਰਡਿੰਗ,ଚୁମ୍ବକୀୟ ରେକର୍ଡିଂ |
ਚੁੰਬਕੀ ਸਟੋਰੇਜ਼,ଚୁମ୍ବକୀୟ ସଂରକ୍ଷଣ
ਚੁੰਬਕੀ ਪੱਟੀ,ଚୁମ୍ବକୀୟ ଷ୍ଟ୍ରିପ୍ |
ਚੁੰਬਕੀ ਟੇਪ,ଚୁମ୍ବକୀୟ ଟେପ୍ |
ਚੁੰਬਕੀ ਟੇਪ ਕਾਰਤੂਸ,ଚୁମ୍ବକୀୟ ଟେପ୍ କାର୍ଟ୍ରିଜ୍ |
ਚੁੰਬਕੀ ਟੇਪ ਡਰਾਈਵ,ଚୁମ୍ବକୀୟ ଟେପ୍ ଡ୍ରାଇଭ୍ |
ਚੁੰਬਕੀ ਟੇਪ ਹੈਡਰ,ଚୁମ୍ବକୀୟ ଟେପ୍ ହେଡର୍ |
ਚੁੰਬਕੀ ਟੇਪ ਲਾਇਬ੍ਰੇਰੀਅਨ,ଚୁମ୍ବକୀୟ ଟେପ୍ ଲାଇବ୍ରେରିଆନ୍ |
ਚੁੰਬਕੀ ਟੇਪ ਆਵਾਜਾਈ,ଚୁମ୍ବକୀୟ ଟେପ୍ ପରିବହନ |
ਚੁੰਬਕੀ ਟੇਪ ਯੂਨਿਟ,ଚୁମ୍ବକୀୟ ଟେପ୍ ୟୁନିଟ୍ |
ਚੁੰਬਕੀ ਪਤਲੀ ਫਿਲਮ,ଚୁମ୍ବକୀୟ ପତଳା ଚଳଚ୍ଚିତ୍ର |
ਚੁੰਬਕੀ ਟਰੈਕ,ଚୁମ୍ବକୀୟ ଟ୍ରାକ୍ |
ਮੈਗਨੇਟੋ ਆਪਟਿਕ ਸਟੋਰੇਜ਼,ଚୁମ୍ବକୀୟ ଅପ୍ଟିକ୍ ଷ୍ଟୋରେଜ୍ |
ਮੈਗਨੇਟੋਗ੍ਰਾਫਿਕ ਪ੍ਰਿੰਟਰ,ଚୁମ୍ବକୀୟ ପ୍ରିଣ୍ଟର୍ |
ਮੈਗਨੇਟੋਸਟ੍ਰਿਕਸ਼ਨ,ଚୁମ୍ବକୀୟ
magnetostrictive ਗੋਲੀ,ଚୁମ୍ବକୀୟ ଟାବଲେଟ୍ |
ਮੇਲ ਬਾਕਸ,ମେଲ୍ ବାକ୍ସ
ਮੇਲ ਅਭੇਦ,ମେଲ୍ ମିଶ୍ରଣ |
ਮੁੱਖ ਕੰਟਰੋਲ ਯੂਨਿਟ,ମୁଖ୍ୟ ନିୟନ୍ତ୍ରଣ ଏକକ |
ਮੁੱਖ ਫਰੇਮ,ମୁଖ୍ୟ ଫ୍ରେମ୍ |
ਮੁੱਖ ਫਰੇਮ ਸਿਸਟਮ,ମୁଖ୍ୟ ଫ୍ରେମ୍ ସିଷ୍ଟମ୍ |
ਮੁੱਖ ਮੈਮੋਰੀ,ମୁଖ୍ୟ ସ୍ମୃତି
ਮੁੱਖ ਪ੍ਰੋਗਰਾਮ,ମୁଖ୍ୟ ପ୍ରୋଗ୍ରାମ୍
ਮੁੱਖ ਸਟੋਰੇਜ਼,ମୁଖ୍ୟ ଭଣ୍ଡାର |
ਮੁੱਖ ਸਵਿੱਚ,ମୁଖ୍ୟ ସୁଇଚ୍
ਰੱਖ-ਰਖਾਅ,ରକ୍ଷଣାବେକ୍ଷଣ
ਰੱਖ-ਰਖਾਅ ਪੈਨਲ,ରକ୍ଷଣାବେକ୍ଷଣ ପ୍ୟାନେଲ୍ |
ਰੱਖ-ਰਖਾਅ ਦਾ ਸਮਾਂ,ରକ୍ଷଣାବେକ୍ଷଣ ସମୟ
ਮੁੱਖ ਚੱਕਰ,ପ୍ରମୁଖ ଚକ୍ର |
ਮੁੱਖ ਜੰਤਰ,ପ୍ରମୁଖ ଉପକରଣ
ਮੁੱਖ ਕੁੰਜੀ,ମୁଖ୍ୟ ଚାବି |
ਪ੍ਰਮੁੱਖ ਰਾਜ,ପ୍ରମୁଖ ରାଜ୍ୟ |
ਮੁੱਖ ਬਣਤਰ,ପ୍ରମୁଖ ଗଠନ
ਮੁੱਖ ਕੰਮ,ପ୍ରମୁଖ କାର୍ଯ୍ୟ
ਬਹੁਮਤ ਤੱਤ,ସଂଖ୍ୟା କିମ୍ବା ପ୍ରତୀକ ସହିତ ଅକ୍ଷର ମଧ୍ଯ ବ୍ୟବହାର କରି
ਬਹੁਗਿਣਤੀ ਗੇਟ,ସଂଖ୍ୟା କିମ୍ବା ପ୍ରତୀକ ସହିତ ଅକ୍ଷର ମଧ୍ଯ ବ୍ୟବହାର କରି
ਬਹੁਮਤ ਕਾਰਵਾਈ,ସଂଖ୍ୟା କିମ୍ବା ପ୍ରତୀକ ସହିତ ଅକ୍ଷର ମଧ୍ଯ ବ୍ୟବହାର କରି
ਮੇਕਅਪ ਦਾ ਸਮਾਂ,ମେକଅପ୍ ସମୟ |
ਖਰਾਬ ਰੁਟੀਨ,ତ୍ରୁଟି ନିତ୍ୟକର୍ମ |
ਪ੍ਰਬੰਧਨ ਵਿਕਾਸ,ପରିଚାଳନା ବିକାଶ
ਪ੍ਰਬੰਧਨ ਸੂਚਨਾ ਪ੍ਰਣਾਲੀ (MIS),ପରିଚାଳନା ସୂଚନା ବ୍ୟବସ୍ଥା (MIS)
ਪ੍ਰਬੰਧਨ ਵਿਗਿਆਨ,ପରିଚାଳନା ବିଜ୍ଞାନ |
ਮਾਨਚੈਸਟਰ ਕੋਡਿੰਗ,ମଞ୍ଚେଷ୍ଟର କୋଡିଂ |
ਮੈਨੀਫੋਲਡਿੰਗ,ମନିଫୋଲ୍ଡିଂ |
ਹੇਰਾਫੇਰੀ ਵੇਰੀਏਬਲ,ମନିପ୍ୟୁଟେଡ୍ ଭେରିଏବଲ୍ |
ਇੰਡੈਕਸਿੰਗ ਨੂੰ ਹੇਰਾਫੇਰੀ ਕਰਨਾ,ଇଣ୍ଡେକ୍ସ କରିବା
ਮਨੁੱਖ-ਮਸ਼ੀਨ ਸਿਮੂਲੇਸ਼ਨ,ମ୍ୟାନ୍-ମେସିନ୍ ଅନୁକରଣ |
ਦਸਤੀ ਪਤਾ ਸਵਿੱਚ,ମାନୁଆଲ୍ ଠିକଣା ସୁଇଚ୍ |
ਦਸਤੀ ਵਿਸ਼ਲੇਸ਼ਣ,ମାନୁଆଲ ବିଶ୍ଳେଷଣ |
ਦਸਤੀ ਜਵਾਬ,ମାନୁଆଲ ଉତ୍ତର
ਦਸਤੀ ਇੰਦਰਾਜ਼,ମାନୁଆଲ ପ୍ରବେଶ
ਦਸਤੀ ਵਟਾਂਦਰਾ,ମାନୁଆଲ ବିନିମୟ
ਦਸਤੀ ਇੰਪੁੱਟ,ମାନୁଆଲ୍ ଇନପୁଟ୍ |
ਦਸਤੀ ਕਾਰਵਾਈ,ମାନୁଆଲ୍ ଅପରେସନ୍ |
ਬਹੁਤ ਸਾਰੇ ਰਿਸ਼ਤੇ,ଅନେକ ସମ୍ପର୍କ ପାଇଁ ଅନେକ |
ਕਈ ਤੋਂ ਇੱਕ ਡੀਕੋਡਰ,ଅନେକରୁ ଗୋଟିଏ ଡିକୋଡର୍ |
ਨਕਸ਼ਾ ਵਿਧੀ,ମାନଚିତ୍ର ପଦ୍ଧତି
ਮੈਪਿੰਗ,ମ୍ୟାପିଂ
ਹਾਸ਼ੀਏ,ମାର୍ଜିନ୍
ਹਾਸ਼ੀਏ ਦੀ ਗਲਤੀ,ମାର୍ଜିନ୍ ତ୍ରୁଟି |
ਮਾਮੂਲੀ ਜਾਂਚ,ମାର୍ଜିନାଲ ଯାଞ୍ଚ
ਮਾਮੂਲੀ ਟੈਸਟ,ମାର୍ଜିନାଲ ପରୀକ୍ଷା
ਨਿਸ਼ਾਨ ਖੋਜ,ଚିହ୍ନ ଚିହ୍ନଟ
ਮਾਰਕ ਰੀਡਿੰਗ,ପ reading ଼ିବା ଚିହ୍ନ |
ਮਾਰਕ ਸਕੈਨਿੰਗ,ମାର୍କ ସ୍କାନିଂ
ਮਾਰਕ ਭਾਵਨਾ,ଚିହ୍ନ ଚିହ୍ନ
ਮਾਰਕਰ,ମାର୍କର
ਨਿਸ਼ਾਨਦੇਹੀ,ମାର୍କିଂ
ਮਾਰਕਿੰਗ ਲਹਿਰ,ତରଙ୍ଗ ଚିହ୍ନିତ
markov ਚੇਨ,ମାର୍କୋଭ୍ ଶୃଙ୍ଖଳା |
markov ਸਰੋਤ,ମାର୍କୋଭ ଉତ୍ସ |
ਮਾਰਕ-ਅੱਪ ਭਾਸ਼ਾ,ମାର୍କ ଅପ୍ ଭାଷା |
ਮਾਸਰ,ମାସର
ਮਾਸਰ,ମାସର
ਮਾਸਕ,ମାସ୍କ
ਮਾਸਕ ਬਿੱਟ,ମାସ୍କ ବିଟ୍ |
ਮਾਸਕ ਪ੍ਰੋਗਰਾਮੇਬਲ ਡਿਵਾਈਸ,ମାସ୍କ ପ୍ରୋଗ୍ରାମେବଲ୍ ଡିଭାଇସ୍ |
ਮਾਸਕ ਰਜਿਸਟਰ,ମାସ୍କ ରେଜିଷ୍ଟର |
ਮਾਸਕ ਕੀਤਾ ROM,ମାସ୍କଡ୍ ROM |
ਮਾਸਕਿੰਗ,ମାସ୍କିଂ |
ਪੁੰਜ ਡਾਟਾ,ବହୁ ତଥ୍ୟ
ਪੁੰਜ ਮੈਮੋਰੀ,ଜନ ସ୍ମୃତି
ਵੱਡੇ ਪੱਧਰ &#39;ਤੇ ਸਮਾਨਾਂਤਰ,ବହୁଳ ଭାବରେ ସମାନ୍ତରାଳ |
ਮਾਸਟਰ,ଗୁରୁ
ਮਾਸਟਰ ਕਾਰਡ,ମାଷ୍ଟର କାର୍ଡ |
ਮਾਸਟਰ ਘੜੀ,ମାଷ୍ଟର ଘଣ୍ଟା |
ਮਾਸਟਰ ਕੰਸੋਲ,ମାଷ୍ଟର କନସୋଲ୍ |
ਮਾਸਟਰ ਡਾਟਾ,ମୂଖ୍ୟ ତଥ୍ୟ |
ਮਾਸਟਰ ਚਿੱਤਰ,ମୂଖ୍ୟ ଚିତ୍ର
ਮਾਸਟਰ ਫਾਈਲ,ମାଷ୍ଟର ଫାଇଲ୍ |
ਮਾਸਟਰ ਗਰੁੱਪ,ମାଷ୍ଟର ଗ୍ରୁପ୍ |
ਮਾਸਟਰ ਕੁੰਜੀ,ମାଷ୍ଟର କି
ਮਾਸਟਰ ਲਾਇਬ੍ਰੇਰੀ ਟੇਪ,ମାଷ୍ଟର ଲାଇବ୍ରେରୀ ଟେପ୍ |
ਮਾਸਟਰ ਪ੍ਰੋਸੈਸਰ,ମାଷ୍ଟର ସଞ୍ଚାଳକ |
ਮਾਸਟਰ ਪ੍ਰੋਗਰਾਮ,ମାଷ୍ଟର ପ୍ରୋଗ୍ରାମ୍ |
ਮਾਸਟਰ ਸਟੇਸ਼ਨ,ମାଷ୍ଟର ଷ୍ଟେସନ୍ |
ਮਾਸਟਰ ਟੇਪ,ମାଷ୍ଟର ଟେପ୍ |
ਮਾਸਟਰ ਟਰਮੀਨਲ,ମାଷ୍ଟର୍ ଟର୍ମିନାଲ୍ |
ਮਾਸਟਰ/ਗੁਲਾਮ ਜੰਤਰ,ମାଷ୍ଟର / ଦାସ ଉପକରଣ |
ਮਾਲਕ / ਗੁਲਾਮ ਸਿਸਟਮ,ମାଷ୍ଟର / ଦାସ ପ୍ରଣାଳୀ |
ਮੈਚ,ମ୍ୟାଚ୍
ਮੇਲ ਖਾਂਦਾ,ମେଳ ଖାଉଛି
ਗਣਿਤ ਪ੍ਰੋਗਰਾਮਿੰਗ,ଗାଣିତିକ ପ୍ରୋଗ୍ରାମିଂ
ਗਣਿਤਿਕ ਸਿਮੂਲੇਸ਼ਨ,ଗାଣିତିକ ଅନୁକରଣ
ਮੈਟਰਿਕਸ,ମାଟ୍ରିକ୍ସ
ਮੈਟਰਿਕਸ ਪ੍ਰਿੰਟਰ,ମ୍ୟାଟ୍ରିକ୍ସ ପ୍ରିଣ୍ଟର୍ |
ਮੈਟਰਿਕਸ ਸਵਿੱਚ,ମ୍ୟାଟ୍ରିକ୍ସ ସୁଇଚ୍ |
ਮੈਟ੍ਰਿਕਸ ਸਾਰਣੀ,ମ୍ୟାଟ୍ରିକ୍ସ ଟେବୁଲ୍ |
ਮੈਕਸੀ ਕੰਪਿਊਟਰ,ମ୍ୟାକ୍ସି କମ୍ପ୍ୟୁଟର |
