Assamese,Bengali
অভ্যন্তৰীণ বিপৰীত কোণ,অভ্যন্তর বিপরীত কোণ
অভ্যন্তৰীণ গ্ৰহ,অভ্যন্তরীণ গ্রহ
অভ্যন্তৰীণ বিন্দু,অভ্যন্তরীণ পয়েন্ট
অন্তৰ্বৰ্তী,মধ্যবর্তী
মধ্যৱৰ্তী বিন্দু,মধ্যবর্তী বিন্দু
মধ্যৱৰ্তী মূল্য উপপাদ্য,মধ্যবর্তী মান উপপাদ্য
আভ্যন্তৰীণ দ্বিখণ্ড,অভ্যন্তরীণ দ্বিখণ্ডক
ইন্টাৰপোলেচন,ইন্টারপোলেশন
ইন্টাৰপলেচন সূত্ৰ,ইন্টারপোলেশন সূত্র
ছেদ কৰা,ছেদ করা
ছেদ কৰা বক্ৰ,ছেদকারী বক্ররেখা
ছেদ কৰা ৰেখা,ছেদকারী লাইন
ছেক্সন,ছেদ
ছেদক বক্ৰ,ছেদ বক্ররেখা
বক্ৰৰ ছেদ,বক্ররেখার ছেদ
গোটৰ ছেদ,সেটের ছেদ
ব্যৱধান,অন্তর
ব্যৱধান অনুমান,ব্যবধান অনুমান
inteval অনুমান,inteval অনুমান
ব্যৱধানৰ মধ্যবিন্দু,ব্যবধান মধ্য-বিন্দু
ইন্ট্ৰা-ব্লক ইফেক্ট,ইন্ট্রা-ব্লক প্রভাব
আন্তঃশ্ৰেণী সম্পৰ্ক,ইন্ট্রাক্লাস পারস্পরিক সম্পর্ক
অবিৱৰ্তনশীলতা,invariance
অপৰিৱৰ্তিত,অপরিবর্তনীয়
অপৰিৱৰ্তিত ব্যৱস্থা,অপরিবর্তনীয় সিস্টেম
বস্তুৰ তালিকা,জায়
তথ্য-পাতি আবণ্টন,জায় বরাদ্দ
তথ্য নিয়ন্ত্ৰণ,জায় নিয়ন্ত্রণ
তথ্য নিয়ন্ত্ৰণ আৰ্হি,জায় নিয়ন্ত্রণ মডেল
তথ্য নিয়ন্ত্ৰণ ব্যৱস্থা,জায় নিয়ন্ত্রণ ব্যবস্থা
তথ্য-পাতি চক্ৰ,জায় চক্র
ইনভেণ্টৰী ধৰি ৰখা খৰচ,ইনভেন্টরি হোল্ডিং খরচ
ইনভেণ্টৰী পইণ্ট,ইনভেন্টরি পয়েন্ট
তথ্য-পাতি নীতি,জায় নীতি
তথ্য-পাতিৰ পৰিস্থিতি,জায় পরিস্থিতি
বিপৰীতমুখী,বিপরীত
বিপৰীত সম্পৰ্ক,বিপরীত পারস্পরিক সম্পর্ক
বিপৰীত ফলন,বিপরীত ফাংশন
বিপৰীত হাইপাৰবলিক ফলন,বিপরীত হাইপারবোলিক ফাংশন
বিপৰীতভাৱে সমানুপাতিক,ব্যস্তানুপাতিক
বিপৰীত মেপিং,বিপরীত ম্যাপিং
বিপৰীত সংখ্যা,বিপরীত সংখ্যা
এটা মেট্ৰিক্সৰ বিপৰীত,একটি ম্যাট্রিক্সের বিপরীত
বিপৰীত ক্ৰমবিন্যাস,বিপরীত ক্রমাগত
বিপৰীত অনুপাত,বিপরীত অনুপাত
বিপৰীত ত্ৰিকোণমিতিক ফলন,বিপরীত ত্রিকোণমিতিক ফাংশন
ওলোটা সূত্ৰ,বিপরীত সূত্র
ক্ৰমৰ ওলোটা,আদেশের বিপরীত
ওলোটাব পৰা মেট্ৰিক্স,ইনভার্টেবল ম্যাট্রিক্স
ওলোটা ৰূপান্তৰ,বিপরীতমুখী রূপান্তর
অযুক্তিকৰ,অযৌক্তিক
অযুক্তিকৰ সমীকৰণ,অযৌক্তিক সমীকরণ
অযুক্তিকৰ প্ৰকাশ,অযৌক্তিক অভিব্যক্তি
অযুক্তিকৰ সংখ্যা,অমূলদ সংখ্যা
অযুক্তিকৰ মূল,অযৌক্তিক মূল
অকমাব নোৱাৰা,অপরিবর্তনীয়
ঘূৰ্ণনশীল ভেক্টৰ,ইরোটেশনাল ভেক্টর
ঘূৰ্ণনশীল ভেক্টৰ ফলন,irrotational ভেক্টর ফাংশন
ঘূৰ্ণনশীল বেগ,ইরোটেশনাল বেগ
সমভুজ,আইসোগোনাল
আইসোকুৰ্ট&#39;ছিছ,isokurtosis
বিচ্ছিন্ন অপৰিহাৰ্য এককতা,বিচ্ছিন্ন অপরিহার্য এককতা
বিচ্ছিন্ন বিন্দু,বিচ্ছিন্ন বিন্দু
সমমিতি,আইসোমেট্রিক
isosceles বিন্যাস,সমদ্বিবাহু কনফিগারেশন
পুনৰাবৃত্তি কৰা অখণ্ড,পুনরাবৃত্ত অবিচ্ছেদ্য
পুনৰাবৃত্তিমূলক আন্তঃপ্ৰক্ষেপণ,পুনরাবৃত্তি ইন্টারপোলেশন
পুনৰাবৃত্তি,পুনরাবৃত্তি
পুনৰাবৃত্তি সূত্ৰ,পুনরাবৃত্তি সূত্র
পুনৰাবৃত্তিমূলক সংহতি সূত্ৰ,পুনরাবৃত্তিমূলক একীকরণ সূত্র
পুনৰাবৃত্তিমূলক পদ্ধতি,পুনরাবৃত্তিমূলক পদ্ধতি
পুনৰাবৃত্তিমূলক কৌশল,পুনরাবৃত্তিমূলক কৌশল
জেকবিয়ান,জ্যাকোবিয়ান
জেকবিয়ান নিৰ্ণায়ক,জ্যাকোবিয়ান নির্ধারক
জেকবিয়ান মেট্ৰিক্স,জ্যাকোবিয়ান ম্যাট্রিক্স
গোটসমূহৰ যোগদান,সেট যোগদান
গাঁঠি,যৌথ
সংযোগ ঘনত্বৰ কাৰ্য্য,যৌথ ঘনত্ব ফাংশন
যৌথ কম্পাঙ্ক কাৰ্য্য,যৌথ ফ্রিকোয়েন্সি ফাংশন
যৌথভাৱে নিৰ্ভৰশীল চলক,যৌথভাবে নির্ভরশীল পরিবর্তনশীল
যৌগিক সম্ভাৱনা,যৌথ সম্ভাবনা
যোগদান কৰক (=ইউনিয়ন),যোগদান (=ইউনিয়ন)
জাপ মৰা,লাফ
জাম্প বিচ্ছিন্নতা,জাম্প বিরতি
ন্যায্যতা প্ৰদান কৰা,ন্যায্যতা
ন্যায্যতা দিয়া,ন্যায্যতা
কৰ্ণাউৰ মানচিত্ৰ,Karnaugh মানচিত্র
কাৰ্ণেল,কার্নেল
মেপিঙৰ কাৰ্ণেল,ম্যাপিং এর কার্নেল
গতিবিদ্যা,গতিবিদ্যা
গতিশক্তি,গতিসম্পর্কিত শক্তি
গতিবিদ্যা,গতিবিদ্যা
কলমোগ’ৰফ স্মিৰ্নভ পৰীক্ষা,কোলমোগোরফ স্মিরনভ পরীক্ষা
ক্ৰ&#39;নেকাৰ বদ্বীপ,ক্রোনেকার ব-দ্বীপ
কুৰ্ট&#39;ছিছ,কুরটোসিস
লেগ্ৰেঞ্জৰ কাৰ্য্য,Lagrange এর ফাংশন
লেগ্ৰেঞ্জৰ বহুগুণক,ল্যাগ্রেঞ্জের গুণক
লেমিনা,ল্যামিনা
লেপ্লেচ ৰূপান্তৰ,ল্যাপ্লেস রূপান্তর
বৃহৎ সংখ্যা,বড় সংখ্যা
latent root(=বৈশিষ্ট্যমূলক মূল),সুপ্ত মূল (= বৈশিষ্ট্যযুক্ত মূল)
পাৰ্শ্বীয় পৃষ্ঠ,পাশর্্বীয় পৃষ্ঠ
লেটিন বৰ্গক্ষেত্ৰ,ল্যাটিন বর্গক্ষেত্র
লেটাছ মলদ্বাৰ,ল্যাটাস মলদ্বার
আইন,আইন
বেগ যোগ কৰাৰ নিয়ম,বেগ যোগ করার আইন
যোগকৰণৰ নিয়ম,সংযোজন আইন
হ্ৰাস পোৱা লাভৰ নিয়ম,হ্রাস প্রত্যাবর্তনের আইন
মহাকৰ্ষণৰ নিয়ম,মহাকর্ষ আইন
গোটৰ বাবে সমৰূপতাৰ নিয়ম,গোষ্ঠীর জন্য সমকামীতার আইন
আঙঠিৰ বাবে সমৰূপতাৰ নিয়ম,রিং জন্য হোমোমরফিজম আইন
খৰচ বৃদ্ধিৰ আইন,ব্যয় বৃদ্ধির আইন
সূচকাংকৰ নিয়ম,সূচকের আইন
জড়তাৰ নিয়ম,জড়তা আইন
বৃহৎ সংখ্যাৰ নিয়ম,বড় সংখ্যার আইন
সম্ভাৱনাৰ নিয়ম,সম্ভাবনার আইন
পাপৰ নিয়ম,সাইন আইন
সূচকৰ নিয়ম,সূচকের আইন
গতিৰ নিয়ম,গতির আইন
স্তৰ,স্তর
লিডিং সহগ,অগ্রণী সহগ
লিডিং তিৰ্যক,অগ্রণী তির্যক
লিডিং চাবমেট্ৰিক্স,নেতৃস্থানীয় সাবম্যাট্রিক্স
লিডিং টাৰ্ম,নেতৃস্থানীয় শব্দ
সবাতোকৈ কম,অন্তত
নূন্যতম সাধাৰণ বহুগুণ (LCM),সর্বনিম্ন সাধারণ একাধিক (এলসিএম)
নূন্যতম মৌল,সর্বনিম্ন উপাদান
নূন্যতম বৰ্গক্ষেত্ৰ,অন্তত বর্গ
সৰ্বনিম্ন ওপৰৰ সীমা,অন্তত উপরের আবদ্ধ
বাওঁফালৰ coset,বাম coset
বাওহাতেৰে,বাঁ হাতী
বাওঁহাতৰ স্ক্ৰু,বাম হাতের স্ক্রু
বাওঁফালৰ বিপৰীত,বাম বিপরীত
বাওঁফালৰ গুণন,বাম গুণন
লেইবনিটজৰ সূত্ৰ,লাইবনিটজ সূত্র
দৈৰ্ঘ্য,দৈর্ঘ্য
লেপটকুৰ্টিক,leptokurtic
লেপটকুৰ্টিক বক্ৰ,লেপ্টোকারটিক বক্ররেখা
লেপটকুৰ্ট&#39;ছিছ,লেপ্টোকুরটোসিস
স্তৰৰ বক্ৰ,স্তর বক্ররেখা
আত্মবিশ্বাসৰ স্তৰ,আস্থা স্তর
তাৎপৰ্য্যৰ স্তৰ,তাত্পর্যের স্তর
আভিধানিকভাৱে,অভিধানগতভাবে
অভিধানৰ ক্ৰম,বর্ণানুক্রম
সম্ভাৱনা ফলন,সম্ভাবনা ফাংশন
সম্ভাৱনা অনুপাত পৰীক্ষা,সম্ভাবনা অনুপাত পরীক্ষা
সীমা,সীমা
সীমিত কৰা,সীমাবদ্ধ
সীমিত মূল্য,সীমিত মান
সীমিত বেগ,সীমিত বেগ
গড়ত সীমাবদ্ধতা,গড় সীমা
সংহতিৰ সীমা,একীকরণের সীমা
ক্ৰমৰ সীমা,অনুক্রমের সীমা
সীমা বিন্দু (=থুপ বিন্দু),সীমা বিন্দু (= ক্লাস্টার পয়েন্ট)
সীমিত বেগ,সীমা বেগ
ৰেখা,লাইন
ৰৈখিক,রৈখিক
ৰৈখিক বীজগণিতীয়,রৈখিক বীজগণিত
ৰৈখিক বীজগণিতীয় সমীকৰণ,রৈখিক বীজগণিত সমীকরণ
ৰৈখিক আনুমানিককৰণ,রৈখিক অনুমান
ৰৈখিক এছিম্পট&#39;ট,লিনিয়ার অ্যাসিম্পটোট
ৰৈখিক সহগ,রৈখিক সহগ
ৰৈখিক সংমিশ্ৰণ,রৈখিক সংমিশ্রণ
ৰৈখিক বাধাসমূহ,রৈখিক সীমাবদ্ধতা
ৰৈখিক নিৰ্ভৰশীলতা,রৈখিক নির্ভরতা
ৰৈখিক অৱভেদ্য সমীকৰণ,লিনিয়ার ডিফারেনশিয়াল সমীকরণ
ৰৈখিক মাত্ৰা,রৈখিক মাত্রা
ৰৈখিক সমীকৰণ,একঘাত সমীকরণ
ৰৈখিক ৰূপ,রৈখিক ফর্ম
ৰৈখিক ভগ্নাংশ ৰূপান্তৰ,রৈখিক ভগ্নাংশ রূপান্তর
ৰৈখিক ফলন,রৈখিক ফাংশন
ৰৈখিক কাৰ্য্যকৰী,রৈখিক কার্যকরী
ৰৈখিক গোট,লিনিয়ার গ্রুপ
ৰৈখিক স্বাধীনতা,রৈখিক স্বাধীনতা
ৰৈখিক স্বাধীন সম্পৰ্ক,রৈখিক স্বাধীন সম্পর্ক
ৰৈখিক বৈষম্য,রৈখিক অসমতা
ৰৈখিক অসমতাপূৰ্ণ অৱভেদ্য সমীকৰণ,রৈখিক অসংগত ডিফারেনশিয়াল সমীকরণ
ৰৈখিক অখণ্ড সমীকৰণ,রৈখিক অবিচ্ছেদ্য সমীকরণ
ৰৈখিক আন্তঃপ্ৰক্ষেপণ,রৈখিক ক্ষেপক
ৰৈখিক নূন্যতম বৰ্গ ৰিগ্ৰেছন বিশ্লেষণ,রৈখিক সর্বনিম্ন বর্গক্ষেত্র রিগ্রেশন বিশ্লেষণ
ৰৈখিকতা,রৈখিকতা
ৰৈখিকভাৱে নিৰ্ভৰশীল,রৈখিকভাবে নির্ভরশীল
ৰৈখিকভাৱে স্বাধীন,রৈখিকভাবে স্বাধীন
ৰৈখিক মেপিং,লিনিয়ার ম্যাপিং
ৰৈখিক ক্ৰম,লিনিয়ার অর্ডার
ৰৈখিক ক্ৰমবিন্যাস,লিনিয়ার অর্ডারিং
ৰৈখিক প্ৰগ্ৰেমিং,রৈখিক প্রোগ্রামিং
ৰৈখিক প্ৰগ্ৰেমিং এলগৰিদম,লিনিয়ার প্রোগ্রামিং অ্যালগরিদম
ৰৈখিক প্ৰগ্ৰেমিং সমস্যা,লিনিয়ার প্রোগ্রামিং সমস্যা
ৰৈখিক ৰিগ্ৰেছন,লিনিয়ার রিগ্রেশন
ৰৈখিক ৰিগ্ৰেছন সহগ,রৈখিক রিগ্রেশন সহগ
ৰৈখিক সম্পৰ্ক,রৈখিক সম্পর্ক
ৰৈখিক স্থান (=ভেক্টৰ স্থান),রৈখিক স্থান (=ভেক্টর স্থান)
ৰৈখিক উপস্থান,লিনিয়ার সাবস্পেস
ৰৈখিক ৰূপান্তৰ,রৈখিক রূপান্তর
ৰৈখিক ধাৰা,রৈখিক প্রবণতা
ৰৈখিক নিৰপেক্ষ অনুমান,রৈখিক নিরপেক্ষ অনুমান
ৰৈখিক বেগ,রৈখিক বেগ
ৰেখাৰ অবিচ্ছেদ্য,লাইন অবিচ্ছেদ্য
ছেদক ৰেখা,ছেদ লাইন
ৰিগ্ৰেছনৰ ৰেখা,রিগ্রেশন লাইন
স্থানীয়কৃত ভেক্টৰ,স্থানীয় ভেক্টর
স্থানীয় অনুকূল,স্থানীয় সর্বোত্তম
locus,অবস্থান
কুণ্ডা,লগ
লগাৰিদমিক,লগারিদমিক
লগাৰিদমিক সঠিকতা,লগারিদমিক নির্ভুলতা
লগাৰিদমিক গণনা,লগারিদমিক গণনা
লগাৰিদমিক বক্ৰ,লগারিদমিক বক্ররেখা
লগাৰিদমিক ডেৰাইভেটিভ,লগারিদমিক ডেরিভেটিভ
লগাৰিদমিক পাৰ্থক্য,লগারিদমিক পার্থক্য
লগাৰিদমিক ফলন,লগারিদমিক ফাংশন
লগাৰিদমিক গড় (=জ্যামিতিক গড়),লগারিদমিক গড় (=জ্যামিতিক গড়)
লগাৰিদমিক স্বাভাৱিক বিতৰণ,লগারিদমিক স্বাভাবিক বন্টন
লগাৰিদমিক সম্পৰ্ক,লগারিদমিক সম্পর্ক
লগাৰিদমিক স্কেল,লগারিদমিক স্কেল
লগাৰিদমিক শৃংখলা,লগারিদমিক সিরিজ
লগাৰিদমিক সৰ্পিল (সমকোণীয় সৰ্পিল),লগারিদমিক সর্পিল (সমকোণাকার সর্পিল)
লগাৰিদমিক টেবুল (=লগ টেবুল),লগারিদমিক টেবিল (=লগ টেবিল)
লগাৰিদম (log),লগারিদম (লগ)
তর্ক শাস্ত্র,যুক্তি
যুক্তিগতভাৱে সমতুল্য,যৌক্তিকভাবে সমতুল্য
লজিষ্টিক বক্ৰ,লজিস্টিক বক্ররেখা
lognormal বিতৰণ,স্বাভাবিক বিতরণ
দ্ৰাঘিমাংশ,দ্রাঘিমাংশ
খান্দৰি,লুপ
লটাৰী,লটারি
তলৰ বাৰ,নিম্ন বার
নিম্ন সীমা,নিম্ন সীমা
নিম্ন Riemann অখণ্ড,নিম্ন Riemann অবিচ্ছেদ্য
কম যোগফল,কম যোগফল
তলৰ ত্ৰিকোণীয় মেট্ৰিক্স,নিম্ন ত্রিভুজাকার ম্যাট্রিক্স
মেকল’ৰিনৰ সম্প্ৰসাৰণ,ম্যাকলরিনের বিস্তার
যাদু সংখ্যা,জাদু সংখ্যা
যাদু বৰ্গক্ষেত্ৰ,জাদু বর্গ
মাত্ৰা সীমা (=সীমিত পৰিমাণ),মাত্রার সীমা (=সীমাবদ্ধতা)
মেইল কৰা প্ৰশ্নাৱলী,মেইল করা প্রশ্নাবলী
মেইল জৰীপ,মেল জরিপ
majorant (উপৰ সীমা),মেজরেন্ট (উপরের সীমানা)
মুখ্য চাপ,প্রধান চাপ
majorised ছেট,বড় সেট
বহুতো মূল্যৱান কাৰ্য্য,অনেক মূল্যবান ফাংশন
মানচিত্ৰ,মানচিত্র
চেটটোত মেপ কৰক,সেট মধ্যে মানচিত্র
এটা গোটৰ মেপিং,একটি সেটের ম্যাপিং
প্ৰান্তীয় সম্ভাৱনা,প্রান্তিক সম্ভাবনা
গাণিতিক বিশ্লেষণ,গাণিতিক বিশ্লেষণ
গাণিতিক যুক্তি,গাণিতিক যুক্তি
গাণিতিক কেন্দ্ৰ,গাণিতিক কেন্দ্র
গাণিতিক জটিলতা,গাণিতিক জটিলতা
গাণিতিক অৰ্থনীতি,গাণিতিক অর্থনীতি
গাণিতিক প্ৰত্যাশা,গাণিতিক প্রত্যাশা
গাণিতিক ৰূপ,গাণিতিক ফর্ম
গাণিতিক প্ৰণয়ন,গাণিতিক গঠন
গাণিতিক পৰিচয়,গাণিতিক পরিচয়
গাণিতিক যুক্তি,গাণিতিক যুক্তি
গাণিতিক আৰ্হি,গানিতিক প্রতিমাণ
গাণিতিক ধাৰণা,গাণিতিক ধারণা
মেট্ৰিক্স ডাইগনালাইজেচন,ম্যাট্রিক্স ডিগোনালাইজেশন
মেট্ৰিক্স বিপৰীত,ম্যাট্রিক্স বিপরীত
মেট্ৰিক্স ওলোটা,ম্যাট্রিক্স ইনভার্সন
মেট্ৰিক্স পুনৰাবৃত্তিমূলক পদ্ধতি,ম্যাট্রিক্স পুনরাবৃত্তি পদ্ধতি
মেট্ৰিক্স পদ্ধতি,ম্যাট্রিক্স পদ্ধতি
মেট্ৰিক্স গুণন,ম্যাট্রিক্স গুণ
ধ্ৰুৱকসমূহৰ মেট্ৰিক্স,ধ্রুবকের ম্যাট্রিক্স
ফলপ্ৰসূতাৰ মেট্ৰিক্স,কার্যকারিতার ম্যাট্রিক্স
মেট্ৰিক্স অপাৰেটৰ,ম্যাট্রিক্স অপারেটর
মেট্ৰিক্স বহুপদ,ম্যাট্রিক্স বহুপদী
মেট্ৰিক্স প্ৰিন্টিং,ম্যাট্রিক্স প্রিন্টিং
মেট্ৰিক্স উৎপাদন,ম্যাট্রিক্স পণ্য
সৰ্বাধিক কৰা হৈছে,সর্বাধিক করা
নিচেই সৰহ ভাগ,সর্বোচ্চ
সৰ্বোচ্চ নিৰপেক্ষ মান,সর্বোচ্চ পরম মান
সৰ্বোচ্চ F-অনুপাত,সর্বোচ্চ F-অনুপাত
সৰ্বোচ্চ সম্ভাৱনা,সর্বাধিক সম্ভাবনা
maxmin,maxmin
maxmin মাপকাঠী,সর্বোচ্চ মানদণ্ড
এটা ফাংচনৰ সৰ্বোচ্চ,একটি ফাংশনের সর্বোচ্চ
মেক্সৱেল-বল্টজমেনৰ পৰিসংখ্যা,ম্যাক্সওয়েল-বোল্টজম্যান পরিসংখ্যান
গড় বিচ্যুতি,বিচ্যুতি
গড় বৰ্গ বিচ্যুতি,বর্গাকার বিচ্যুতি
গড় বৰ্গ ভুল,মানে বর্গাকার ত্রুটি
গড় মূল্য,গড় মান
গড় মূল্য উপপাদ্য,গড় মান উপপাদ্য
কুৰ্ট&#39;ছিছৰ পৰিমাপ,কার্টোসিসের পরিমাপ
মধ্যমীয়া,মধ্যমা
মধ্যম কেন্দ্ৰ,মধ্যম কেন্দ্র
mesokurtic বক্ৰ,mesokurtic বক্ররেখা
mesokurtosis,mesokurtosis
বাৰ্তা,বার্তা
প্রণালী,পদ্ধতি
নিষ্কাশনৰ পদ্ধতি,নির্মূল পদ্ধতি
ওলোটা পদ্ধতি,বিপরীত পদ্ধতি
পুনৰাবৃত্তিৰ পদ্ধতি,পুনরাবৃত্তি পদ্ধতি
নূন্যতম বৰ্গৰ পদ্ধতি,সর্বনিম্ন বর্গক্ষেত্রের পদ্ধতি
ক্ষণৰ পদ্ধতি,মুহুর্তের পদ্ধতি
একেধৰণৰ ত্ৰিভুজৰ পদ্ধতি,অনুরূপ ত্রিভুজ পদ্ধতি
ঠেকতম অৱতৰণৰ পদ্ধতি,খাড়া বংশধর পদ্ধতি
যোগফলৰ পদ্ধতি,সমষ্টি পদ্ধতি
অনিৰ্দিষ্ট সহগ পদ্ধতি,অনির্ধারিত সহগ পদ্ধতি
মেট্ৰিক স্থান,মেট্রিক স্থান
মেট্ৰিক ব্যৱস্থা,মেট্রিক সিস্টেম
মেট্ৰিক একক,মেট্রিক ইউনিট
মাইক্ৰ’ তত্ত্ব,মাইক্রো তত্ত্ব
মাজ,মধ্যম
মধ্যকালীন কাৰ্যকাল,মধ্যবর্তী মেয়াদ
মিড পইণ্ট,মধ্য বিন্দু
মিড পইণ্ট সূত্ৰ,মধ্যবিন্দু সূত্র
নূন্যতম বহুপদ,ন্যূনতম বহুপদ
minimax নীতি,minimax নীতি
নূন্যতম,সর্বনিম্ন
নূন্যতম বিন্দু (বক্ৰৰ),ন্যূনতম বিন্দু (বক্ররেখার)
নূন্যতম বহুপদ,সর্বনিম্ন বহুপদ
এটা ফাংচনৰ min,একটি ফাংশনের মিনিট
ক্ষুদ্ৰ চাপ,গৌণ চাপ
ক্ষুদ্ৰ অক্ষ,ছোট অক্ষ
ক্ষুদ্ৰকৃত উপগোট,ক্ষুদ্র উপসেট
বিয়োগ,বিয়োগ
বিয়োগ চিহ্ন,ঋণচিহ্ন
মিশ্ৰিত ভগ্নাংশ,মিশ্র ভগ্নাংশ
মিশ্ৰিত কৌশল,মিশ্র কৌশল
ধৰণ,মোড
মডুলাছ,মডুলাস
এটা জটিল সংখ্যাৰ মডুলাছ,একটি জটিল সংখ্যার মডুলাস
মুহূৰ্ত,মুহূর্ত
মুহূৰ্ত সৃষ্টিকাৰী ফলন,মুহূর্ত উৎপন্ন ফাংশন
এটা বলৰ মুহূৰ্ত,একটি শক্তির মুহূর্ত
কম্পাঙ্ক বিতৰণৰ মুহূৰ্ত,ফ্রিকোয়েন্সি বিতরণের মুহূর্ত
জড়তাৰ মুহূৰ্ত,নিষ্ক্রিয়তা মুহূর্ত
গতিবেগৰ মুহূৰ্ত,গতির মুহূর্ত
গতিবেগ,গতিবেগ
monomial,একচেটিয়া
একৰূপী,মনোমোরফিক
একৰূপতা,মনোমোর্ফিজম
monotone,একঘেয়ে
একস্বৰ বৃদ্ধি কৰা ক্ৰম,একঘেয়ে ক্রমবর্ধমান ক্রম
monotonically,একঘেয়ে
একঘেয়ামীভাৱে বৃদ্ধি কৰা নেট,একঘেয়ে নেট বাড়ছে
একস্বৰত বৃদ্ধি কৰা ক্ৰম,একঘেয়ে ক্রমবর্ধমান
একঘেয়ামী কাৰ্য্য,একঘেয়ে ফাংশন
মন্টে কাৰ্লো গণনা,মন্টে কার্লো হিসাব
মণ্টে কাৰ্লো পদ্ধতি,মন্টে কার্লো পদ্ধতি
morra (খেল),মোরা (খেলা)
মৃত্যুৰ পৰিসংখ্যা,মৃত্যুর পরিসংখ্যান
আটাইতকৈ সম্ভাৱ্য,সবচেয়ে সম্ভাব্য
গতি,গতি
চলন্ত গড়,চলন্ত গড়
এম-স্পেচ,এম-স্পেস
অখণ্ডৰ বাবে M-পৰীক্ষা,অখণ্ডের জন্য এম-পরীক্ষা
বহু সিদ্ধান্তৰ সমস্যা,বহু সিদ্ধান্ত সমস্যা
বহুমাত্ৰিক স্বাভাৱিক বিতৰণ,বহুমাত্রিক স্বাভাবিক বিতরণ
বহুমাত্ৰিক যাদৃচ্ছিক চলক,বহুমাত্রিক র্যান্ডম পরিবর্তনশীল
বহু-সূচকাংক পৰিবহণ সমস্যা,মাল্টি-ইনডেক্স পরিবহন সমস্যা
বহুপদ,বহুপদ
বহুপদ বিতৰণ,বহুপদ বন্টন
একাধিক,একাধিক
বহু পছন্দৰ সমস্যা,একাধিক পছন্দ সমস্যা
একাধিক সংযুক্ত ডমেইন,একাধিক সংযুক্ত ডোমেইন
একাধিক সম্পৰ্ক,একাধিক পারস্পরিক সম্পর্ক
একাধিক কম্পাঙ্ক টেবুল,একাধিক ফ্রিকোয়েন্সি টেবিল
একাধিক অখণ্ড,একাধিক অবিচ্ছেদ্য
একাধিক সংহতি,একাধিক ইন্টিগ্রেশন
বহুবিধ ৰিগ্ৰেছন,একাধিক সংশ্লেষণ
বহুবিধ ৰিগ্ৰেছন বিশ্লেষণ,একাধিক রিগ্রেশন বিশ্লেষণ
বহুবিধ ৰিগ্ৰেছন সহগ,একাধিক রিগ্রেশন সহগ
বহুবিধ ৰিগ্ৰেছন সমীকৰণ,একাধিক রিগ্রেশন সমীকরণ
একাধিক মূল,একাধিক রুট
গুণন,গুণ
স্তম্ভৰ দ্বাৰা গুণন (নিৰ্ধাৰণকাৰীৰ),কলাম দ্বারা গুণ (নির্ধারক)
শাৰীৰে গুণন (নিৰ্ণায়কৰ),সারি দ্বারা গুণ (নির্ধারক)
গুণন গুণক,গুণনীয়ক
গুণনীয়ক ফলন,গুণক ফাংশন
বহুগুণী গোট,গুনগত দল
বহুগুণী বিপৰীতমুখী,গুণক বিপরীত
বহুগুণতা,বহুগুণ
মূলৰ বহুগুণতা,শিকড়ের বহুগুণ
শূন্যৰ বহুগুণতা,শূন্যের বহুগুণ
বহুগুণক,গুণক
গুণ কৰা,গুণ
বহুচলকীয় বিতৰণ,মাল্টিভেরিয়েট ডিস্ট্রিবিউশন
বহুচলকীয় স্বাভাৱিক বিতৰণ,মাল্টিভেরিয়েট স্বাভাবিক বন্টন
বহুবিকল্পিত জনসংখ্যা,বহুমুখী জনসংখ্যা
উমৈহতীয়া,পারস্পরিক
নবলা,নাবলা
নেপিয়াৰিয়ান,নেপিয়েরিয়ান
নেপিয়াৰিয়ান লগাৰিদম,নেপিয়েরীয় লগারিদম
প্ৰাকৃতিক লগাৰিদম,প্রাকৃতিক লগারিদম
প্ৰাকৃতিক সংখ্যা,স্বাভাবিক সংখ্যা
নটিকেল মাইল,নটিক্যাল মাইল
n-মাত্ৰিক,n-মাত্রিক
n-মাত্ৰিক ভেক্টৰ স্থান,n-মাত্রিক ভেক্টর স্থান
প্ৰয়োজনীয় আৰু পৰ্যাপ্ত চৰ্ত,প্রয়োজনীয় এবং পর্যাপ্ত শর্ত
প্ৰয়োজনীয় চৰ্ত,প্রয়োজনীয় শর্ত
অস্বীকাৰ কৰা,অস্বীকার
ঋণাত্মক,নেতিবাচক
ঋণাত্মক বক্ৰতা,নেতিবাচক বক্রতা
ঋণাত্মক নিৰ্দিষ্ট ৰূপ,নেতিবাচক নির্দিষ্ট ফর্ম
ঋণাত্মক নিৰ্দিষ্ট মেট্ৰিক্স,ঋণাত্মক নির্দিষ্ট ম্যাট্রিক্স
ঋণাত্মক অৰ্ধনিৰ্দিষ্ট ৰূপ,নেতিবাচক আধা-নির্দিষ্ট ফর্ম
ওৰচ চুবুৰি,পাড়া
নেষ্টেড নমুনা সংগ্ৰহ কৰা,নেস্টেড স্যাম্পলিং
নেট প্ৰজনন হাৰ,নেট প্রজনন হার
নিউটনৰ বলবিজ্ঞান,নিউটনিয়ান মেকানিক্স
নিউটনৰ বিভক্ত পাৰ্থক্যৰ সূত্ৰ,নিউটনের বিভক্ত পার্থক্য সূত্র
নিউটনৰ গতিৰ নিয়ম,নিউটনের গতির সূত্র
নেইমেন আবণ্টন,নেইমান বরাদ্দ
