Tamil,English
இலை மற்றும் துண்டு துரு,Leaf and strip rust
இலை கத்தி,Leaf blade
இலை சுருட்டை,Leaf curl
இலை நோக்குநிலை,Leaf orientation
இலை காற்று,Leaf venation
இலை,Leaf
இலை-பிளேட்,Leaf-blade
இலை இல்லாதது,Leafless
பாய்ச்சல்,Leaping
தோல் இலை,Leathery leaf
இடது பெருநாடி வளைவு,Left aortic arch
இடது இருதய தமனி,Left cardiac artery
பருப்பு ஆலை,Leguminous plant
பருப்பு,Legume
எலுமிச்சை புல்,Lemon grass
லெமூர்,Lemur
லென்ஸ் செல்,Lens cell
லென்ஸ்,Lens
பயறு,Lentil
சிறுத்தை,Leopard
லெபாஸ்,Lepas
லெபிஸ்மா (வெள்ளி மீன்),Lepisma (silver fish)
தொழுநோய்,Leprosy
லெப்டோகோரிசா,Leptocorisa
லெப்டோனெமா,Leptonema
லெப்டோடின்,Leptotene
ஆபத்தான,Lethal
மரணம் பிறழ்வு,Lethal mutation
லுகோசைட்,Leucocyte
லுகோடெர்மா,Leucoderma
லுகோபிளாஸ்ட்,Leucoplast
லுகேமியா,Leukemia
நெம்புகோல்,Lever
லெய்டிக்கின் செல்,Leydig's cell
லியானா,Liana
லியனஸ்,Lianous
பேன்,Lice
லிச்சென்,Lichen
வாழ்க்கை சுழற்சி,Life cycle
ஆயுள் எதிர்பார்ப்பு,Life expectancy
வாழ்க்கை மரபணு,Life gene
வாழ்க்கை வரலாறு,Life history
வாழ்க்கை ஆதரவு திறன்,Life supportive capacity
வாழ்க்கை துணை அமைப்பு,Life supporting system
உயிரற்ற,Lifeless
தசைநார்,Ligament
லிகேஸ்,Ligase
லிகேஷன்,Ligation
லிகர்,Liger
ஒளி காயம்,Light injury
ஒளி நுண்ணோக்கி,Light microscope
மின்னல்,Lightening
லிக்னின்,Lignin
லிகுலேட்,Ligulate
லிகுல்,Ligule
லிலியாகே,Liliaceae
லிலியம்,Lilium
லிலம் (லிலஸ்),Lilum (lilus)
லில்லி குடும்பம்,Lily family
லிம்ப்,Limb
லிம்ப்,Limb
லிம்ப்,Limb
மூட்டு எலும்பு,Limb bone
லிம்பிக் லோப்,Limbic lobe
உணர்வு செயலி,Limbic system
ஒளிராத ஆம்பிபியன்,Limbless amphibian
சுறுசுறுப்பான பல்லி,Limbless lizard
லிம்பஸ்,Limbus
லிம்னெடிக் மண்டலம்,Limnetic zone
லிம்னெடிக்,Limnetic
லிமுலஸ்,Limulus
வரி,Line
வரி,Line
பரம்பரை,Lineage
நேரியல் வரிசை,Linear sequence
நேரியல்,Linear
லைனரைஸ் பிளாஸ்மிட்,Lineraized plasmid
இணைப்பு இனங்கள்,Link species
இணைப்பு,Linkage
லிபேஸ்,Lipase
கொழுமியம்,Lipid
லிப்பிட் பிளேயர்,Lipid bilayer
லிப்பிட் வால்,Lipid tail
லிபோபோலிசாக்கரைடு,Lipopolysaccharide
லிப்போபுரோட்டினேசியஸ் சவ்வு,Lipoproteinaceous membrane
திரவ நீர்த்துளி,Liquid droplet
மதுபான ஃபோலிகுலி,Liquor folliculi
லித்தோஃபைட்,Lithophyte
லித்தோஸ்பியர்,Lithosphere
குப்பை,Litter
குப்பை வீழ்ச்சி,Litter fall
சிறிய பெருமூளை,Little cerebrum
லிட்டோரல் மண்டலம்,Littoral zone
கல்லீரல்,Liver
கல்லீரல் ஃப்ளூக்,Liver fluke
கல்லீரல் வடிவ,Liver shaped
கல்லீரல் வோர்ட்,Liver wort
வாழ்கின்ற உயிரினம்,Living organism
வாழும் மக்கள் தொகை,Living population
வாழ்க்கை வளங்கள்,Living resources
வாழும் உலகம்,Living world
எல்.என்.ஜி - 20,LNG - 20
களிமண் (சிலி),Loam (silt)
இரால்,Lobster
லோபுலாரியா,Lobularia
லோகோமோஷன்,Locomotion
வெட்டுக்கிளி,Locust
லோடிகுல்,Lodicule
மடக்கை இயல்பு,Logarithemic nature
லாஜிஸ்டிக் வளர்ச்சி,Logistic growth
லோலிகோ,Loligo
பதிவு நாள் ஆலை,Log day plant
நீளமான அச்சு,Longitudinal axis
நீளமான பைனரி பிளவு,Longitudinal binary fission
நீளமான பிளவு,Longitudinal fissure
லூப்,Loop
லூப்,Loop
லூப் பொறி,Loop trap
லோஃபியம்,Lophium
லோராந்தேசி,Loranthaceae
லோராந்தஸ்,Loranthus
கீழ் கை,Lower arm
கீழ் தாடை,Lower jaw
லஃபா,Luffa
இடுப்பு முதுகெலும்புகள்,Lumbar vertebrae
மரம் வெட்டுதல்,Lumbering
லம்ப்ரிகஸ்,Lumbricus
லுமேன்,Lumen
லம்பர்,Lumper
நுரையீரல்,Lung
லூபின்,Lupin
லூபினஸ் ஆர்க்டிகஸ்,Lupinus arcticus
ஹார்மோன் (எல்.எச்),Luteinizing hormone (LH)
லைஸ்,Lyase
லைகோபோடியம்,Lycopodium
லைகோப்சிடா,Lycopsida
லிம்ப் கப்பல்,Lymp vessel
நிணநீர் சுரப்பி,Lymph gland
நிணநீர்முடிச்சின்,Lymph node
நிணநீர்,Lymphocyte
லிம்பாய்டு உறுப்பு,Lymphoid organ
லிம்பாய்டு திசு,Lymphoid tissue
நிணநீர்,Lymphoma
லைட்,Lyrate
லைசெர்ஜிக் அமிலம் டைத்லைமைடு (L.S.D.),Lysergic acid diethlamide (L.S.D.)
லைசின்,Lysine
லைசோசோம்,Lysosome
லைசோசைம்,Lysozyme
மக்காக்கா,Macaca
மேக்ரோபிராச்சியம்,Macrobrachium
மேக்ரோ எவல்யூஷன்,Macroevolution
மேக்ரோஜெனெஸிஸ்,Macrogenesis
மேக்ரோமோலிகுலர் கூழ்,Macromolecular colloid
மேக்ரோமிகுலூல்,Macromolecule
மக்ரோநியூக்ளியஸ்,Macronucleus
மேக்ரோனூட்ரியண்ட்,Macronutrient
மேக்ரோபேஜ் (பெரிய ஈட்டர்),Macrophage (big eater)
மேக்ரோபாகோசைட்,Macrophagocyte
மேக்ரோபாகஸ்,Macrophagous
மேக்ரோபாகி,Macrophagy
மாக்ரோஃபைட்,Macrophyte
மேக்ரோபஸ்,Macropus
மாகுலா,Macula
மாகுலா லூட்டியா,Macula lutea
வெளிமம்,Magnesium
காந்த அதிர்வு இமேஜிங்,Magnetic resonance imaging
பெரிதாக்குதல்,Magnification
பெரிதாக்கப்பட்ட படம்,Magnified image
பூதக்கண்ணாடி,Magnifying glass
பெரிதாக்கும் சக்தி,Magnifying power
மாக்னோலியா,Magnolia
மாக்னோலியாசி,Magnoliaceae
மாகூர்,Magur
முதல் முடி ஃபெர்ன் (அடென்டம்),Maiden hair fern (Adiantum)
முக்கிய பள்ளம்,Major groove
முக்கிய ஹிஸ்டோகாம்பாட்டிபிலிட்டி வளாகம்,Major histocompatibility complex
மேஜர் ஆஸ்மோலைட்,Major osmolyte
பெரிய உச்சநிலை,Major peak
ஆண்,Male
ஆண் கூம்பு,Male cone
ஆண் கேமோட்டோபைட்,Male gametophyte
ஆண் பிறப்புறுப்பு துளை,Male genital aperture
ஆண் உச்சநிலை,Male pronucleus
தவறாக இலை,Malformed leaf
மாலிக் அமிலம்,Malic acid
வீரியம் மிக்க செல்,Malignant cell
வீரியம் மிக்க கட்டி,Malignant tumour
மல்லார்ட்,Mallard
மல்லிகஸ்,Malleus
மால்பிஜியன் கார்பஸல்,Malpighian corpuscle
மால்பிஜியன் குழாய்,Malpighian tubule
மால்டோஸ்,Maltose
மால்வால்ஸ்,Malvales
பாலூட்டி,Mammal
பாலூட்டி,Mammalia
பாலூட்டி கரு,Mammary foetus
பால் சுரப்பி,Mammary gland
மும்மில்லா,Mammiform
கட்டாய,Mandible
மண்டிபுலர் சுரப்பி,Mandibular gland
மாங்கனீசு,Manganese
மங்கிஃபெரா இண்டிகா,Mangifera indica
சதுப்புநிலம்,Mangrove
மனிதனால் உருவாக்கப்பட்ட விவசாய சுற்றுச்சூழல் அமைப்பு,Man-made agricultural ecosystem
மனிதனால் உருவாக்கப்பட்ட தானியங்கள்,Man-made cereal
மன்னன்,Mannan
மேன்டில்,Mantle
மனுஸ்,Manus
மேப்பிள்,Maple
மார்ச்சான்டியா,Marchantia
ஓரளவு,Marginal
மரிஜுவானா,Marijuana
கடல்சார் உயிரியல்,Marine biology
கடல் பறவை,Marine bird
கடல் சமூகம்,Marine community
கடல் முதுகெலும்புகள்,Marine invertebrates
மரினோ ராம்,Marino ram
மார்க்கர்,Marker
சந்தை கழிவு,Market waste
மஜ்ஜை குழி,Marrow cavity
சதுப்பு நிலம்,Marsh
மார்ஷ்-மெடர் நிலை,Marsh-meadow stage
தாவரங்கள் இல்லாமல் சதுப்பு நிலம்,Marsh without vegetation
மார்சுபியல் மோல்,Marsupial mole
மார்சுபியல் கதிர்வீச்சு,Marsupial radiation
மார்சுபியல் எலி,Marsupial rat
மார்சுபியம்,Marsupium
வெகுஜன அழிவு,Mass extinction
வெகுஜன ஓட்டம்,Mass flow
வெகுஜன ஓட்ட கருதுகோள்,Mass flow hypothesis
மாஸ்ட் செல்,Mast cell
மாஸ்டர் அகர் தட்டு,Master agar plate
முதன்மை தட்டு,Master plate
தாய்வழி இறப்பு விகிதம்,Maternal mortality rate
இனச்சேர்க்கை,Mating
அணி,Matrix
முதிர்ந்த முடிச்சு,Mature nodule
Mauve color,Mauve color
மாக்ஸில்லா,Maxilla
மேக்சில்லரி பேம்ப்,Maxillary palp
அதிகபட்ச சுமக்கும் திறன்,Maximum carrying capacity
INSEDRINA,Meandrina
மருத்துவ அறிவியல்,Medical science
கர்ப்பத்தின் மருத்துவ முடித்தல் (எம்டிபி),Medical termination of pregnancy (MTP)
மருத்துவ படியெடுத்தல்,Medical transcription
மருத்துவ உதவி வழங்கல்,Medically assisted delivery
மருந்து,Medicine
மருந்து,Medicine
மருந்து,Medicine
மெடுல்லா,Medulla
மெடுல்லா ஒப்லோங்காட்டா,Medulla oblongata
மெடுல்லரி பிரமிட்,Medullary pyramid
மெடலேட்டட்,Medullated
மெதுசா,Medusa
மெகா கரியோசைட்,Mega karyocyte
மெகாபிளாஸ்மிட்,Megaplasmid
மெகாஸ்போரங்கியம்,Megasporangium
மெகாஸ்போரோபில்,Megasporophyll
மீபோமியன் சுரப்பி,Meibomian gland
மியோசைட்,Meiocyte
ஒடுக்கற்பிரிவு,Meiosis
மெட்டஜெனெஸிஸ்,Metagenesis
மெலனிக் அந்துப்பூச்சி,Melanic moth
மெலனோசைட்,Melanocyte
மெலனோசைட் தூண்டுதல் ஹார்மோன் (எம்.எஸ்.எச்),Melanocyte stimulating hormone (MSH)
மெலனோசைட் தூண்டுதல் வெளியீட்டு ஹார்மோன் (எம்.எஸ்.ஆர்.எச்),Melanocyte stimulating releasing hormone (MSRH)
மெலனோமா,Melanoma
மெலோயிடோஜின் மறைநிலை,Meloidogyne incognita
சவ்வு பிணைக்கப்பட்டுள்ளது,Membrane bound
சவ்வு லிப்பிட்,Membrane lipid
சவ்வு ஊடுருவக்கூடிய தன்மை,Membrane permeability
சவ்வு சாத்தியம்,Membrane potential
சவ்வு தளம்,Membranous labyrinth
சவ்வு தாள்,Membranous sheet
நினைவக செல்,Memory cell
மெண்டலின் சட்டம்,Mendel's law
மெண்டிலியன் கோளாறு,Mendelian disorder
மெனிங்,Meninge
மூளைக்காய்ச்சல்,Meningitis
மாதவிடாய் சுழற்சி,Menstrual cycle
மன அன்பே,Mental dearrangement
மனநல குறைபாடு,Mental retardation
மெர்குரி விஷம்,Mercury poisoning
மெரிஸ்டெம்,Meristem
மெரிஸ்டெமடிக் செல்,Meristematic cell
மெரிஸ்டெமடிக் பகுதி,Meristematic region
மெரிஸ்டெமடிக் வளர்ச்சி,Meristematic growth
மெரோக்ரைன் சுரப்பி,Merocrine gland
மெரோமோமியோசின்,Meromyosin
மெரிகிப்பஸ்,Merychippus
மெசார்சியம்,Mesarchium
மெசென்ஸ்பாலன்,Mesencephalon
மெசன்கிமல் திசு,Mesenchymal tissue
மெசென்டெரோன்,Mesenteron
மெசென்டரி,Mesentery
மெசிக் நிலை,Mesic condition
மெசோகார்ப்,Mesocarp
மீசோடர்ர்,Mesoderm
மெசோகுளோயா,Mesogloea
மெசோஹெப்பஸ்,Mesoheppus
மெசோபில் செல்,Mesophyll cell
மீசோசோம்,Mesosome
மீசோதோராசிக்,Mesothoracic
மீசோதோராக்ஸ்,Mesothorax
மெசோவாரியம்,Mesovarium
மெசோசோயிக் சகாப்தம்,Mesozoic era
மெசஞ்சர் ஆர்.என்.ஏ,Messenger RNA
வளர்சிதை மாற்ற பாய்வு,Metabolic flux
வளர்சிதை மாற்ற பாதை,Metabolic pathway
வளர்சிதை மாற்றப்பட்டது,Metabolised
வளர்சிதை மாற்றம்,Metabolism
வளர்சிதை மாற்ற ஒருங்கிணைப்பு,Metabolic assimilatory
மெட்டகார்பல்,Metacarpal
மெட்டாசென்ட்ரிக்,Metacentric
மெட்டாச்ரோமடிக் கிரானுல்,Metachromatic granule
உலோக ஊசி,Metal needle
உலோக ஆக்சைடு,Metallic oxide
மெட்டாமெரிஸம்,Metamerism
உருமாற்றம்,Metamorphosis
மெட்டானெஃப்ரிடியம்,Metanephridium
மெட்டாஃபேஸ்,Metaphase
மெட்டாஃபாஸ் தட்டு,Metaphase plate
மெட்டாஃபாசிக் தட்டு,Metaphasic plate
அணுகல்,Metapopulation
மெட்டாஸ்டாஸிஸ்,Metastasis
மெட்டாஸ்டாஸிஸ்,Metastasis
மெட்டாடார்சல்,Metatarsal
மெட்டாதோராசிக்,Metathoracic
மெட்டாடோராக்ஸ்,Metathorax
மெட்டாசோவான்கள்,Metazoans
மெட்டென்ச்பாலன்,Metaencephalon
மெட்டாஸ்டாசைஸ்,Metastasize
மெதடோன்,Methadone
மெத்தமோகுளோபின்,Methaemoglobin
மெத்தமோகுளோபினீமியா,Methaemoglobinemia
மீத்தேன்,Methane
மெத்தனோபாக்டீரியம்,Methanobacterium
மெத்தனோஜன்,Methanogen
மீதில் மெர்குரி,Methyl mercury
மெத்திலேட்டட் தொப்பி,Methylated cap
மெத்திலீன் நீலம்,Methylene blue
மெத்திலோபிலஸ்,Methylophilus
மெத்திலோட்ரோபஸ்,Methylotrophus
நுண்ணூட்டச்சத்து,Micronutrient
நுண்ணுயிர்,Microorganism
மைக்ரோபாகேஷன்,Micropropagation
மைக்ரோடெக்னிக்,Microtechnique
மைக்ரோஆர்கிடெக்சரல் சரிவு,Microarchitectural deterioration
நுண்ணுயிர் (நுண்ணுயிர்),Microbe (microorganism)
நுண்ணுயிர் குளோனிங்,Microbial cloning
நுண்ணுயிர் தாவரங்கள்,Microbial flora
நுண்ணுயிரியல்,Microbiology
மைக்ரோபோடி,Microbody
மைக்ரோக்ளைமேட்,Microclimate
மைக்ரோர்வ்யூஷன்,Microrevolution
மைக்ரோஃபிலமென்ட்,Microfilament
மைக்ரோஃபோசில்,Microfossil
மைக்ரோ இன்ஜெக்ஷன்,Microinjection
நுண்ணுயிர்,Microorganism
மெத்திலோட்ரோபஸ்,Methylotrophus
நுண்ணூட்டச்சத்து,Micronutrient
நுண்ணுயிர்,Microorganism
மைக்ரோபாக்ட்ஸ்,Microphagous
நுண்ணிய,Microphagy
மைக்ரோபிலார் முடிவு,Micropylar end
மைக்ரோபைல்,Micropyle
மைக்ரோபைல்,Micropyle
மைக்ரோபைல்,Micropyle
மைக்ரோசாட்லைட்,Microsatellite
நுண்ணோக்கி,Microscope
நுண்ணோக்கி,Microscopy
மைக்ரோஸ்பெர்மே,Microspermae
மைக்ரோஸ்பியர்,Microsphere
மைக்ரோஸ்போரங்கியம்,Microsporangium
மைக்ரோஸ்போர் டெட்ராட்,Microspore tetrad
மைக்ரோஸ்பார்பில்,Microsporphyll
மைக்ரோஸ்போரம்,Microsporum
மைக்ரோடோம்,Microtome
மைக்ரோடபிள் மும்மடங்கு,Microtuble triplet
மைக்ரோடூபூல் இரட்டிப்பு,Microtubule doublet
மைக்ரோவில்லி,Microvilli
Micturtion,Micturition
மிட்பிரைன்,Midbrain
நடுத்தர சிறுமூளை பென்குல்,Middle cerebellar peduncle
நடுக்காது,Middle ear
மத்திய லேமல்லா,Middle lamella
மிட்கட்,Midgut
மருத்துவச்சி தேரை,Midwife toad
குடியேறியவர்,Migrant
இடம்பெயர்வு,Migration
பால் சர்க்கரை,Milk sugar
பால் உற்பத்தி செய்யும் சுரப்பி,Milk-producing gland
தினை,Millet
ஒரு லிட்டருக்கு மில்லியோஸ்மோல்,Milliosmole per liter
மில்வஸ்,Milvus
மிமிக்ரி,Mimicry
மினாமாட்டா நோய்,Minamata disease
கனிமம்,Mineral
கனிம உறுப்பு,Mineral element
கனிம ஊட்டச்சத்து,Mineral nutrition
கனிமமயமாக்கல்,Mineralisation
கனிம கார்டிகாய்டு,Mineralo corticoid
மினியேச்சர் காந்தம்,Miniature magnet
சுரங்க செயல்பாடு,Mining operation
Minisatellite,Minisatellite
சிறிய பள்ளம்,Minor groove
மியோசீன்,Miocene
Miohippus,Miohippus
மிராபிலிஸ்,Mirabilis
தணிப்பு,Mitigation
மைட்டோகாண்ட்ரியா,Mitochondria
மைட்டோகாண்ட்ரியல் மேட்ரிக்ஸ்,Mitochondrial matrix
மைட்டோசிஸ்,Mitosis
மிட்ரல் வால்வு (பைசஸ்பிட் வால்வு),Mitral valve (bicuspid valve)
கலப்பு சுரப்பி,Mixed gland
கலப்பு நரம்புகள்,Mixed nerves
மிக்ஸோட்ரோபிக்,Mixotrophic
மொபைல் கேரியர்,Mobile carrier
மொபைல் மூல,Mobile source
இயக்கம்,Mobility
மிதமான காயம்,Moderate injury
நவீன மருத்துவம்,Modern medicine
நவீன சமுதாயம்,Modern society
மாற்றியமைத்தல்,Modifiability
மாற்றியமைக்கப்பட்ட டிஹிபேர்ட் விகிதம்,Modified dihybird ratio
மாற்றியமைக்கப்பட்ட வேர்,Modified root
மாடுலேட்,Modulate
செயலின் மாடுலேஷன்,Modulation of action
மாடுலேட்டர் பொருள்,Modulator substance
ஈரப்பதம்,Moisture
ஈரப்பதம் பற்றாக்குறை,Moisture deficit
மோலார் பற்கள்,Molar teeth
மோலார்,Molar
மச்சம்,Mole
மச்சம்,Mole
மச்சம்,Mole
மோல் (மோல்),Mole (mol)
மூலக்கூறு உயிரியல்,Molecular biology
மூலக்கூறு மரபணு பகுப்பாய்வு,Molecular genetic analysis
மூலக்கூறு நிலை,Molecular level
மூலக்கூறு தூதர்,Molecular messenger
மூலக்கூறு இயக்கம்,Molecular motion
மூலக்கூறு நைட்ரஜன் வாயு,Molecular nitrogen gas
மூலக்கூறு அமைப்பு,Molecular organization
மூலக்கூறு கத்தரிக்கோல்,Molecular scissor
மூலக்கூறு அறுவை சிகிச்சை அணுகுமுறை,Molecular surgical approach
மூலக்கூறு தையல்,Molecular suture
மூலக்கூறு,Molecule
Mollusc,Mollusc
Molluscualies,Molluscivorous
மாலிப்டினம்,Molybdenum
மோமார்டிகா,Momordica
மோனாண்ட்ரியா,Monandria
மோனண்ட்ரி,Monandry
மோனாஸ்கஸ் பர்பூரியஸ்,Monascus purpureus
மோனெரா,Monera
மோனிலிஃபார்ம்,Moniliform
கண்காணிக்கவும்,Monitor
கண்காணிக்கவும்,Monitor
மோனோ லேயர்,Mono layer
மோனோடெல்பஸ்,Monoadelphous
மோனோபாசிக் பாஸ்பேட்,Monobasic phosphate
மோனோபிளாஸ்டிக்,Monoblastic
ஒரு மோனோசேஷியல்,Monochacial
மோனோச்லேடியஸ்,Monochlamydeous
மோனோசிஸ்ட்ரானிக்,Monocistronic
மோனோக்ளோனல் ஆன்டிபாடி,Monoclonal antibody
மோனோகாக்கஸ்,Monococcus
மோனோகோடைலெடன்,Monocotyledon
மோனோசிஸ்டிக்,Monocystic
மோனோசிஸ்டிஸ்,Monocystis
மோனோசைட்,Monocyte
மோனோசியஸ்,Monoecious
மோனோகிராஃப்,Monograph
மோனோஹைப்ரிட்,Monohybrid
மோனோமர்,Monomer
மோனோமெரிக் ஜி-ஆக்டின்,Monomeric G-actin
மோனோசாக்கரைடு,Monosaccharide
மோனோசோடியம் உப்பு,Monosodium salt
மோனோசோமிக்,Monosomic
மோனோஸ்பெர்மி,Monospermy
ஏகபோக வளர்ச்சி,Monosporic development
மோனோட்ரோபா,Monotropa
மோனோசைகோடிக் ஒரே மாதிரியான இரட்டை,Monozygotic identical twin
மாண்ட்ரீல் ஒப்பந்தம்,Montreal treaty
மனநிலை கோளாறு,Mood disorder
மோரிங்கா,Moringa
மோர்பாலாக்சிஸ் (மார்பல்லாக்டிக்),Morphallaxis (morphallactic)
மார்பின்,Morphine
மார்போஜெனெஸிஸ்,Morphogenesis
உருவவியல் தழுவல்,Morphological adaptation
உருவவியல்,Morphology
மோர்ஸ் குறியீடு,Morse code
இறப்பு,Mortality
இறப்பு,Mortality
இறப்பு,Mortality
மொசைக்ஸம்,Mosaicism
மொசைக் பார்வை,Mosaic vision
பாசி,Moss
அந்துப்பூச்சி,Moth
தாய் அச்சு,Mother axis
மையக்கருத்து,Motif
மோட்டல் வடிவம்,Motile form
மோட்டல் வித்து,Motile spore
மோட்டார் ஃபைபர்,Motor fibre
மோட்டார் நியூரான்,Motor neuron
அச்சு,Mould
இயக்கம்,Movement
லோகோமோஷனின் இயக்கம்,Movement of locomotion
எம்-கட்ட ஊக்குவிப்பு காரணி (எம்.பி.எஃப்),M-phase promoting factor (MPF)
மிரிகல்,Mrigal
மியூகோபெப்டைட்,Mucopeptide
மியூகோபுரோட்டீன்,Mucoprotein
மியூகோர்,Mucor
சளி தொடர்புடைய லிம்பாய்டு திசு,Mucosa associated lymphoid tissue
சளி சவ்வு,Mucosa membrane
சளி சுரப்பி,Mucous gland
சளி சவ்வு,Mucous membrane (mucosa)
சத்தம்,Muffling noise
முல்லரியன் மிமிக்ரி,Mullerian mimicry
மல்டிசெல்லுலர் உயிரினம்,Multicellular organism
மல்டிகலர் ஃப்ளோரசன்,Multicolour fluorescence
மல்டிகோஸ்டேட்,Multicostate
பன்முகத்தன்மை,Multifission
மல்டிலோட் - 375,Multiload - 375
மல்டிநியூக்ளீட்,Multinucleate
மல்டியோவுலாட்டே நிலப்பரப்பு,Multiovulatae terrestress
மல்டியோவுலேட்,Multiovulate
மல்டிபரசிடிசம்,Multiparasitism
பன்முகத்தன்மை கொண்ட,Multiparous
பன்முகத்தன்மை கொண்ட,Multiparous
பல அலீல்,Multiple allele
பல அலெலிசம்,Multiple allelism
பல பிளவு,Multiple fission
பல அண்டவிடுப்பின் கரு பரிமாற்ற நுட்பம் (MOET),Multiple ovulation embryo transfer technique (MOET)
பெருக்கல்,Multiplication
பெருக்கல் வளர்ச்சி,Multiplicative growth
மல்டிபோலார் நரம்பு செல்,Multipolar nerve cell
மல்டிபோலார் நியூரான்,Multipolar neuron
பல்நோக்கு கருவி,Multipurpose instrument
Mumps,Mumps
மியூரின்,Murein
மஸ்கா டொமெஸ்டிகா,Musca domestica
மஸ்கிடே,Muscidae
தசை நார்,Muscle fibre
தசை தளர்வு,Muscle relaxtion
சதை திசு,Muscle tissue
தசை,Muscular
தசைநார் தேய்வு,Muscular dystrophy
தசைநார் தேய்வு,Muscular dystrophy
தசை கால்,Muscular foot
தசை இயக்கம்,Muscular movement
தசை பதற்றம்,Muscular tension
தசைநார்,Muscularis
Muscularis Extera,Muscularis extrema
தசை,Musculature
காளான்,Mushroom
மஸ்ஸல்,Mussel
பிறழ்வு,Mutagen
பிறழ்ந்த அலீல்,Mutant allele
பிறழ்வு,Mutation
பிறழ்வு இனப்பெருக்கம்,Mutation breeding
பிறழ்வு கோட்பாடு,Mutation theory
பரஸ்பரம்,Mutualism
பரஸ்பரம் நன்மை பயக்கும்,Mutually beneficial
மயஸ்தீனியா கிராவிஸ்,Myasthenia gravis
மைசீலியம்,Mycelium
மைக்கோபாக்டீரியம்,Mycobacterium
MyCobiont,Mycobiont
மைக்கோயிக் அமிலம்,Mycoic acid
மைக்கோபிளாஸ்மா,Mycoplasma
மைக்கோரைசா,Mycorrhiza
மைக்கோரைசல்,Mycorrhizal
மெய்லென்ஸ்ஃபாலன்,Myelencephalon
மெய்லின் உறை,Myelin sheath
Myilinated,Myilinated
மாரடைப்பு நார்ச்சத்து,Myocardial fibre
மாரடைப்பு,Myocardial infarction
மயோர்கார்டியம்,Myocardium
Myoepithelium,Myoepithelium
மயோஃபைப்ரில்,Myofibril
மயோஜெனிக் வழிமுறை,Myogenic mechanism
மயோகுளோபின்,Myoglobin
மயோமெட்ரியம்,Myometrium
மயோசின்,Myosin
Myristicaceae,Myristicaceae
மைர்மகோபிலி,Myrmecophily
MyXOMYCETES உறுப்பினர்,Myxomycetes member
மெட்டாடார்சஸ்,Metatarsus
என்-அசிடைல் கேலக்டோசமைன்,N-acetyl galactosamine
நஜா,Naja
நானோகிராம்,Nanogram
நாப்தாலீன்,Naphthalene
நாபிஃபார்ம் ரூட்,Napiform root
நாரவேலியா,Naravelia
போதைப்பொருள்,Narcotic
நாசி சாக்,Nasal sac
நாசோபார்னக்ஸ்,Nasopharynx
நாஸ்டிக் (நாஸ்டிசம்),Nastic (nastism)
நாஸ்டிக் வகை,Nastic type
இயற்கை (பிறப்பு விகிதம்),Natality (birth rate)
தேசிய எய்ட்ஸ் முரண்பாடான அமைப்பு (NACO),National AIDS Contral Organisation (NACO)
தேசிய பூங்கா,National park
தேசிய விதை கழகம் (என்.எஸ்.சி),National seed corporation (NSC)
சொந்த ஆன்டிஜென்,Native antigen
பூர்வீக பாறை,Native rock
பூர்வீக இனங்கள்,Native species
இயற்கை தொடர்பு,Natural affinity
இயற்கை வயதான,Natural ageing
இயற்கை அழிவு,Natural extinction
இயற்கை அதிகரிப்பு,Natural increase
இயற்கை கொலையாளி செல்,Natural killer cell
இயற்கை இதயமுடுக்கி,Natural pacemaker
இயற்கை பூச்சி கட்டுப்பாடு,Natural pest control
இயற்கை அறிவியல்,Natural science
இயற்கை தேர்வு,Natural selection
இயற்கை உலகம்,Natural world
இயற்கை மண்டலம்,Natural zone
இயற்கை ஆர்வலர்,Naturalist
குமட்டல்,Nausea
கழுத்து,Neck
கழுத்து,Neck
நெக்ரோசிஸ்,Necrosis
தேன் உறிஞ்சும்,Nectar sucking
தேன்,Nectarifarous
அமெக்டரி,Nectary
அமெக்டரி,Nectary
நெக்டூரஸ்,Necturus
எதிர்மறை (தடுப்பு) தொடர்பு,Negative (inhibition) interaction
எதிர்மறை ஊட்டம் மீண்டும்,Negative feed back
எதிர்மறையாக கட்டணம் வசூலிக்கப்படுகிறது,Negatively charged
Nemathaleminthes,Nemathaleminthes
நூற்புழு,Nematode
நியானோபிளாசம்,Neoplasm
நியானோபிளாசம்,Neoplasm
நேபென்டேசி,Nepenthaceae
நேபென்டெஸ்,Nepenthes
நெஃப்ரிடியா,Nephridia
நெஃப்ரிடியல் கால்வாய்,Nephridial canal
நெஃப்ரிடியோபோர்,Nephridiopore
நெஃப்ரான்,Nephron
நெஃப்ரோஸ்டோம்,Nephrostome
நெப்டியூன் கோப்பை,Neptune's cup
நெரியம்,Nerium
நரம்பு செல்,Nerve cell
நரம்பு தூண்டுதல்,Nerve impulse
நரம்பு வளையம்,Nerve ring
நரம்பு மண்டலம்,Nervous system
நெசாதர்,Nesoderm
நெசீரியா கோனோரியா,Nesseria gonorrhoea
நிகர கட்டணம்,Net charge
நிகர முதன்மை உற்பத்தித்திறன்,Net primary productivity
நிகர உற்பத்தி திறன்,Net production efficiency
நெட்வொர்க் இனங்கள்,Network species
நரம்பியல் தட்டு,Neural plate
நரம்பியல்,Neurasthenia
நியூரிலெம்மா,Neurilemma
நியூரோ ஹைப்போபிஸிஸ்,Neuro hypophysis
நியூரோஎண்டோகிரைன் அமைப்பு,Neuroendocrine system
நியூரோபிதெலியம்,Neuroepithelium
