Tamil,Punjabi
1. பாலி 2. சித்தா 3. முண்டக் 4. மேல் 5. தலை 6. சிரா,1. ਬਲੀ 2. ਸੀਤਾ 3. ਮੁੰਡਕ 4. ਸਿਖਰ 5. ਸਿਰ 6. ਸਿਰਾ
பள்ளத்தின் முடிவு,ਝਰੀ ਦਾ ਅੰਤ
மேல் கத்தரித்து,ਚੋਟੀ ਦੀ ਛਾਂਟੀ
வேலி,ਵਾੜ
காவலில்,ਹਿਰਾਸਤ
குண்டலினி,ਕੁੰਡਲਨੀ
ஹெமாடைட்,hematite
1. மூலிகை 2. மூலிகை,1. ਜੜੀ ਬੂਟੀ 2. ਜੜੀ ਬੂਟੀ
1.தாவரவியல் சேகரிப்பு 2.தாவரவியல் அருங்காட்சியகம்,1.ਬੋਟੈਨੀਕਲ ਕਲੈਕਸ਼ਨ 2.ਬੋਟੈਨੀਕਲ ਮਿਊਜ਼ੀਅਮ
களைக்கொல்லி,ਜੜੀ-ਬੂਟੀਆਂ ਨਾਸ਼ਕ
பரம்பரை,ਖ਼ਾਨਦਾਨੀ
பரம்பரை,ਖ਼ਾਨਦਾਨੀ
இருபாலினம்,ਲਿੰਗੀ
ஹீட்டோரோக்ரோமடிக்,heterochromatic
பன்முக கருத்தரித்தல்,heterofertilization
1. ஹைபிரிடோஸ் 2. ஹெட்டோரோசிஸ்,1. ਹਾਈਬ੍ਰਿਡੋਜ਼ 2. ਹੇਟਰੋਸਿਸ
செக்ஸ்க்ரோமோசோம்கள்,ਸੈਕਸਕ੍ਰੋਮੋਸੋਮ
பராமரிக்கவில்லை,ਪਾਲਣ ਪੋਸ਼ਣ
பதினாறுமாதம்,ਹੈਕਸਾਡੈਸੀਮਲ
குளிர் உறக்கம்,ਠੰਡੀ ਸੁਸਤਤਾ
அதிக அடர்த்தி நடவு,ਉੱਚ ਘਣਤਾ ਲਾਉਣਾ
1. பிண்டலாக் 2. மலை (நெல்),1. ਪਿਂਡਲਕ 2. ਪਹਾੜੀ (ਝੋਨਾ)
ஹிஸ்டோகிராம்,ਹਿਸਟੋਗ੍ਰਾਮ
உயர் தொழில்நுட்ப தோட்டக்கலை,ਉੱਚ ਤਕਨੀਕੀ ਬਾਗਬਾਨੀ
1.தயிர் 2. ஹைவ்,1. ਦਹੀਂ 2. ਛਪਾਕੀ
1. களையெடுத்தல் 2. களையெடுத்தல்,1. ਨਦੀਨ 2. ਨਦੀਨ
வைத்திருக்கும்,ਹੋਲਡ
தனியார் பண்ணை,ਪ੍ਰਾਈਵੇਟ ਫਾਰਮ
ஹோமியோஸ்டாஸிஸ்,ਹੋਮਿਓਸਟੈਸਿਸ
தாயகம்,ਵਤਨ
ஒருமைப்பாடு,ਸਮਰੂਪਤਾ
1. ஒரே மாதிரியான 2. ஒரே மாதிரியான,1. ਸਮਰੂਪ 2. ਸਮਰੂਪ
அனுதாபம்,ਹਮਦਰਦ
ஓரினச்சேர்க்கை,ਸਮਰੂਪ
1. குர்லிகா 2. உணவுப் பாத்திரம் 3. ஹாப்பர்,1. ਖੁਰਲਿਕਾ 2. ਭੋਜਨ ਦਾ ਡੱਬਾ 3. ਹੈਪਰ
1. அடுக்கு 2. அடிவானம்,1. ਪਰਤ 2. ਹੋਰਾਈਜ਼ਨ
தோட்டக்கலை பயிர்கள்,ਬਾਗਬਾਨੀ ਫਸਲ
1. தோட்டக்கலை 2. தோட்டக்கலை 3. தோட்டக்கலை 4. தோட்டக்கலை,1. ਬਾਗਬਾਨੀ 2. ਬਾਗਬਾਨੀ 3. ਬਾਗਬਾਨੀ 4. ਬਾਗਬਾਨੀ
