English,Hindi,Assamese,Bengali,Gujarati,Kannada,Malayalam,Marathi,Odiya,Punjabi,Tamil,Telugu 
parietal art,"भित्ति कला, भित्तिचित्र कला",parietal শিল্প,প্যারিটাল শিল্প,પેરિએટલ આર્ટ,ಪ್ಯಾರಿಯಲ್ ಕಲೆ,പരിയേറ്റൽ ആർട്ട്,पॅरिएटल कला,ପ୍ୟାରିଟାଲ୍ କଳା,ਪੈਰੀਟਲ ਕਲਾ,parietal கலை,ప్యారిటల్ కళ
paring stone,कर्तक पाषाण,পেৰিং ষ্টোন,প্যারিং পাথর,પેરિંગ પથ્થર,ಪಾರಿಂಗ್ ಕಲ್ಲು,പാറക്കല്ല്,पेरिंग स्टोन,ପଥର ଖଣ୍ଡ,ਛਾਂਗਣ ਦਾ ਪੱਥਰ,பாரிங் கல்,పరింగ్ రాయి
parleys,संधिवार्ता/सुलह की बातचीत/विमर्श,parleys,আলোচনা,વાર્તાલાપ,ಪಾರ್ಲಿಗಳು,പാർലികൾ,संवाद,ପାର୍ଲେସ୍,ਗੱਲਬਾਤ,பார்லிகள்,చర్చలు
Parliament,"पार्लियामेंट,संसद,पार्लियामेंट",সংসদ,সংসদ,લોકસભા,ಸಂಸತ್ತು,പാർലമെന്റ്,संसद,ସଂସଦ,ਸੰਸਦ,பாராளுமன்றம்,పార్లమెంట్
parliamentarian,"सांसदिक, संसदविज्ञ,संसदीय पद्धति का समर्थक, पार्लियामें",সংসদ সদস্য,সংসদ সদস্য,સંસદસભ્ય,ಸಂಸದೀಯ,പാർലമെന്റേറിയൻ,संसद सदस्य,ସଂସଦୀୟ,ਸੰਸਦ ਮੈਂਬਰ,பாராளுமன்ற உறுப்பினர்,పార్లమెంటేరియన్
parole,"पैरोल,संबंध मुक्‍ति",পেৰ&#39;ল,প্যারোল,પેરોલ,ಪೆರೋಲ್,പരോൾ,पॅरोल,ପାରୋଲ୍,ਪੈਰੋਲ,பரோல்,పెరోల్
parquest (=parquet flooring),काष्ठ-कुट्टिम,পাৰ্কেট (=পাৰ্কেটৰ মজিয়া),পারকুয়েস্ট (=পারকুয়েট মেঝে),પર્ક્વેસ્ટ (=પાર્કેટ ફ્લોરિંગ),ಪಾರ್ಕ್ವೆಸ್ಟ್ (=ಪಾರ್ಕ್ವೆಟ್ ಫ್ಲೋರಿಂಗ್),പാർക്ക്വെസ്റ്റ് (=പാർക്ക്വെറ്റ് ഫ്ലോറിംഗ്),पार्क्वेस्ट (=पार्केट फ्लोअरिंग),ପାର୍କୁଷ୍ଟ (= ପାର୍କେଟ୍ ଚଟାଣ),ਪਾਰਕਵੇਟ (= ਪਾਰਕਵੇਟ ਫਲੋਰਿੰਗ),பார்க்வெஸ்ட் (=பார்க்வெட் தரையமைப்பு),పార్క్వెస్ట్ (=పార్కెట్ ఫ్లోరింగ్)
parquetry,काष्ठ-कुट्टिमकारी,পাৰ্কেটৰী,কাঠবাদাম,લાકડી,ಪಾರ್ಕ್ವೆಟ್ರಿ,പാർക്ക്വെട്രി,छाटणी,ପାର୍କେଟ୍ରି,ਪਾਰਕਵੇਟਰੀ,பார்க்வெட்ரி,పార్క్వెట్రీ
parricide,"पितृहंता,गुरुजनहंता",parricide,প্যারিসাইড,પેરિસાઈડ,ಪಾರಿಸೈಡ್,പാരിസൈഡ്,पॅरिसाईड,ପାରିକାଇଡ୍ |,ਪੈਰੀਸਾਈਡ,பாரிசைட்,హత్య
particularly,विशेषरूप में/खासतौर से,বিশেষকৈ,বিশেষ করে,ખાસ કરીને,ನಿರ್ದಿಷ್ಟವಾಗಿ,പ്രത്യേകിച്ച്,विशेषतः,ବିଶେଷ ଭାବରେ |,ਖਾਸ ਤੌਰ &#39;ਤੇ,குறிப்பாக,ముఖ్యంగా
partisan,"पक्षपाती, पक्षधर,लड़ाका,गुरिल्ला",পক্ষপাতমূলক,পক্ষপাতমূলক,પક્ષપાતી,ಪಕ್ಷಪಾತಿ,പക്ഷപാതപരമായ,पक्षपाती,ଦଳୀୟ,ਪੱਖਪਾਤੀ,பாகுபாடான,పక్షపాతం
parvis (=parvise),"अहाता, वाटक, बाड़ा",পাৰভিছ (=পাৰ্ভিচ),পারভিস (=পারভিস),parvis (=parvise),ಪರ್ವಿಸ್ (=ಪಾರ್ವೈಸ್),പർവിസ് (=പാർവിസ്),parvis (=parvise),parvis (= parvise),parvis (=parvise),பர்விஸ் (=பார்வைஸ்),పర్విస్ (=పార్వైస్)
parwana,परवाना,পৰৱানা,পারওয়ানা,પરવાના,ಪರ್ವಾನಾ,പർവാന,परवाना,ପରୱାନା |,ਪਰਵਾਨਾ,பர்வானா,పర్వాణ
pass,"दर्रा, गिरि-द्वार",উত্তীৰ্ণ,পাস,પાસ,ಉತ್ತೀರ್ಣ,കടന്നുപോകുക,पास,ପାସ୍ କର |,ਪਾਸ,பாஸ்,పాస్
pass word,संकेत शब्द,পাছৱৰ্ড,পাস শব্দ,શબ્દ પસાર કરો,ಗುಪ್ತಪದ,password,शब्द पास करा,ପାସ୍ ଶବ୍ଦ,ਪਾਸ ਸ਼ਬਦ,கடவுச்சொல்,పాస్ పదం
passage,"मार्ग, गली, गलियारा",পাঠাংশ,উত্তরণ,માર્ગ,ಅಂಗೀಕಾರ,കടന്നുപോകൽ,रस्ता,ପାସ୍,ਬੀਤਣ,பத்தியில்,ప్రకరణము
passage dolmen,भूमिगत डोलमैन,পেচেজ ডলমেন,উত্তরণ ডলমেন,પેસેજ ડોલ્મેન,ಪ್ಯಾಸೇಜ್ ಡಾಲ್ಮೆನ್,ചുരം ഡോൾമെൻ,रस्ता dolmen,ପାସ୍ ଡଲମେନ |,ਬੀਤਣ dolmen,பத்தியில் dolmen,ప్రకరణము dolmen
passage grave,सुरंग-कब्र,passage কবৰ,উত্তরণ কবর,પેસેજ કબર,ಅಂಗೀಕಾರದ ಸಮಾಧಿ,പാത ശവക്കുഴി,रस्ता कबर,ପାସ୍ କବର,ਬੀਤਣ ਕਬਰ,பாதை கல்லறை,మార్గం సమాధి
paste bead,काचित मनका,পেষ্ট বিড,গুটিকা পেস্ট করুন,પેસ્ટ મણકો,ಪೇಸ್ಟ್ ಮಣಿ,പേസ്റ്റ് ബീഡ്,मणी पेस्ट करा,ବିଡ୍ ପେଷ୍ଟ କରନ୍ତୁ |,ਪੇਸਟ ਬੀਡ,பேஸ்ட் மணி,పేస్ట్ పూస
pastel,"वर्तिका, चित्र,सूखे रंग; रंगीन खडि़या, पेस्टल",পেষ্টেল,প্যাস্টেল,પેસ્ટલ,ನೀಲಿಬಣ್ಣದ,പാസ്തൽ,रंगीत खडू,ପେଷ୍ଟେଲ୍ |,ਪੇਸਟਲ,வெளிர்,పాస్టెల్
pastoral nomadic tribal communities,घुमन्तु पशुचारक जनजाति समाज,পশুপালন যাযাবৰী জনজাতীয় সম্প্ৰদায়,যাযাবর যাযাবর উপজাতীয় সম্প্রদায়,પશુપાલન વિચરતી આદિવાસી સમુદાયો,ಕುರುಬ ಅಲೆಮಾರಿ ಬುಡಕಟ್ಟು ಸಮುದಾಯಗಳು,ഇടയ നാടോടി ഗോത്ര സമൂഹങ്ങൾ,खेडूत भटके आदिवासी समुदाय,ପାଳକ ନାମମାତ୍ର ଆଦିବାସୀ ସମ୍ପ୍ରଦାୟ |,ਪੇਸਟੋਰਲ ਖਾਨਾਬਦੋਸ਼ ਕਬਾਇਲੀ ਭਾਈਚਾਰੇ,ஆயர் நாடோடி பழங்குடி சமூகங்கள்,పాస్టోరల్ సంచార గిరిజన సంఘాలు
patch work,चप्पाकारी; पैबंदकारी,পেচ ৱৰ্ক,প্যাচ কাজ,પેચ વર્ક,ಪ್ಯಾಚ್ ಕೆಲಸ,പാച്ച് വർക്ക്,पॅच काम,ପ୍ୟାଚ୍ କାମ,ਪੈਚ ਵਰਕ,இணைப்பு வேலை,ప్యాచ్ వర్క్
paten,रकाबी,পেটেন,পেটেন,પેટન,ಪೇಟೆನ್,പേറ്റൻ,paten,paten,paten,காப்புரிமை,పేటన్
patera,"पतेरा, रकाबी, अलंकृत रकाबी,शराब",পাতেৰা,পেটরা,પટેરા,ಪಟೇರ,പതേര,पटेरा,ପାଟେରା |,ਪਟੇਰਾ,படேரா,పటేరా
patina,छदिमा,পাটিনা,প্যাটিনা,પેટિના,ಪಾಟಿನಾ,പാറ്റീന,पॅटीना,ପାଟିନା,ਪੇਟੀਨਾ,பாட்டினா,పాటినా
patinated,हरिमा युक्त,পেটিনেটেড,patinated,પેટિનેટેડ,ಪೇಟಿನೇಟೆಡ್,പാറ്റിനേറ്റഡ്,patinated,patinated,patinated,பாட்டினேட்,పాటినేటెడ్
patinated coin,मोर्चा-लगा सिक्का,পেটিনেটেড মুদ্ৰা,patinated মুদ্রা,પેટિનેટેડ સિક્કો,ಪೇಟಿನೇಟೆಡ್ ನಾಣ್ಯ,പതിച്ച നാണയം,patinated नाणे,ପାଟିନେଡ୍ ମୁଦ୍ରା |,patinated ਸਿੱਕਾ,பாட்டினேட் நாணயம்,పేటినేటెడ్ నాణెం
patination,पैटिनीकरण; छदिमा लगना,পেটিনেচন,প্যাটিনেশন,પેટિનેશન,patination,പറ്റിനേഷൻ,पॅटिनेशन,ପ୍ୟାଟେସନ୍,ਪੇਟੀਨੇਸ਼ਨ,patination,పటినేషన్
patio,आँगन,পেটিঅ&#39;,বহিঃপ্রাঙ্গণ,પેશિયો,ಒಳಾಂಗಣದಲ್ಲಿ,നടുമുറ്റം,अंगण,ଅଗଣା,ਵੇਹੜਾ,உள் முற்றம்,డాబా
Patjianian culture,पाटजितान संस्कृति,পাটজিয়ানিয়ান সংস্কৃতি,পাটজিয়ান সংস্কৃতি,પટજિઅનિયન સંસ્કૃતિ,ಪಟ್ಜಿಯಾನ್ ಸಂಸ್ಕೃತಿ,പാറ്റ്ജിയാനിയൻ സംസ്കാരം,पटजियन संस्कृती,ପାଟଜିଆନ୍ ସଂସ୍କୃତି |,ਪੈਟਜੀਅਨ ਸੱਭਿਆਚਾਰ,பாட்ஜியானிய கலாச்சாரம்,పట్జియానియన్ సంస్కృతి
patriarch,कुल-पिता,পিতৃপুৰুষ,patriarch,પિતૃસત્તાક,ಕುಲಪತಿ,ഗോത്രപിതാവ്,कुलपिता,ପିତୃପୁରୁଷ,ਕੁਲਪਤੀ,தேசபக்தர்,జాతిపిత
patriarchal,पितृसत्‍तात्मक/पित्रात्मक/पितृप्रधान,পিতৃতান্ত্রিক,পিতৃতান্ত্রিক,પિતૃસત્તાક,ಪಿತೃಪ್ರಧಾನ,പുരുഷാധിപത്യം,पितृसत्ताक,ପିତୃପୁରୁଷ,ਪਿਤਾ-ਪੁਰਖੀ,ஆணாதிக்க,పితృస్వామ్య
patrician,कुलीन,পেট্ৰিচিয়ান,প্যাট্রিশিয়ান,પેટ્રિશિયન,ದೇಶಪ್ರೇಮಿ,പാട്രീഷ്യൻ,कुलीन,patrician,ਦੇਸ਼ ਭਗਤ,தேசபக்தர்,పాట్రిషియన్
patrimonial,पैतृक,patrimonial,দেশপ্রেমিক,દેશહિત,ಪಿತೃಪ್ರಧಾನ,പിതൃസ്വത്തായ,देशभक्तीपर,ପିତୃପୁରୁଷ,ਦੇਸ਼ ਭਗਤੀ,பரம்பரை,పితృస్వామ్య
patrimony,"पैतृकी, पि‍तृदाय",পৃষ্ঠপোষকতা,patrimony,વતન,ಪಿತೃತ್ವ,പിതൃസ്വത്ത്,पितृत्व,ପିତୃପୁରୁଷ,ਪਤਿਤਪੁਣਾ,பரம்பரை,పితృస్వామ్యం
patronize,संरक्षण करना,পৃষ্ঠপোষকতা,পৃষ্ঠপোষকতা,સમર્થન આપવું,ಪೋಷಣೆ ಮಾಡು,രക്ഷാധികാരി,संरक्षण देणे,ପୃଷ୍ଠପୋଷକତା,ਸਰਪ੍ਰਸਤੀ,ஆதரவளிக்கவும்,ఆదరించు
patronymic,गोत्रीय/पितृनाम/वंशनाम,পৃষ্ঠপোষকতামূলক,পৃষ্ঠপোষক,આશ્રયદાતા,ಪೋಷಕ,രക്ഷാധികാരി,आश्रयस्थान,ପିତୃପୁରୁଷ,ਸਰਪ੍ਰਸਤ,புரவலர்,పోషకుడు
pattee cross,अंतर्भुज क्रूस,pattee ক্ৰছ,প্যাটি ক্রস,પેટી ક્રોસ,pattee ಅಡ್ಡ,പട്ടേ കുരിശ്,पॅटी क्रॉस,ପ୍ୟାଟି କ୍ରସ୍ |,ਪੈਟੀ ਕਰਾਸ,பட்டே குறுக்கு,పట్టీ క్రాస్
pattern,नमूना,নমুনা,প্যাটার্ন,પેટર્ન,ಮಾದರಿ,മാതൃക,नमुना,ନମୁନା,ਪੈਟਰਨ,முறை,నమూనా
paved floor,कुट्टिम फर्श,পকী মজিয়া,পাকা মেঝে,મોકળો માળ,ಸುಸಜ್ಜಿತ ನೆಲ,പാകിയ തറ,पक्का मजला,ପକ୍କା ଚଟାଣ |,ਪੱਕੀ ਮੰਜ਼ਿਲ,நடைபாதை தரை,చదును చేయబడిన నేల
pavement,"खडंजा, फर्श, पटरी, कुट्टिम",ফুটপাথ,ফুটপাথ,પેવમેન્ટ,ಪಾದಚಾರಿ,നടപ്പാത,फरसबंदी,ରାସ୍ତା,ਫੁੱਟਪਾਥ,நடைபாதை,కాలిబాట
pavement light,भूगृह वातायन,ফুটপাথৰ পোহৰ,ফুটপাথ আলো,પેવમેન્ટ લાઇટ,ಪಾದಚಾರಿ ಬೆಳಕು,നടപ്പാത വെളിച്ചം,फुटपाथ प्रकाश,ପକ୍କା ଆଲୋକ,ਫੁੱਟਪਾਥ ਰੋਸ਼ਨੀ,நடைபாதை விளக்கு,పేవ్మెంట్ లైట్
pavilion,मंडप,পেভিলিয়ন,প্যাভিলিয়ন,પેવેલિયન,ಮಂಟಪ,പവലിയൻ,मंडप,ପ୍ୟାଭିଲିୟନ୍,ਪਵੇਲੀਅਨ,பெவிலியன்,మంటపం
pavimentum,पथ-रोड़ी कुटाई,pavimentum,প্যাভিমেন্টাম,પેવિમેન્ટમ,ಪೆವಿಮೆಂಟಮ್,പാവ്മെന്റം,पॅव्हिमेंटम,ପାଭିମେଣ୍ଟମ୍ |,ਪੈਵੀਮੈਂਟਮ,நடைபாதை,పేవిమెంటు
paving,"फर्शी,फर्श; कुटि्टम",পকীকৰণ,পাকা,ફરસ,ನೆಲಗಟ್ಟು,നടപ്പാത,फरसबंदी,ପକ୍କା ଘର,ਫੁੱਟਪਾਥ,நடைபாதை,సుగమం
Pax Britanica,"पैक्‍स ब्रिटेनिका,ब्रितानी विश्‍व प्रभुत्व",পেক্স ব্ৰিটানিকা,প্যাক্স ব্রিটানিকা,પેક્સ બ્રિટાનિકા,ಪ್ಯಾಕ್ಸ್ ಬ್ರಿಟಾನಿಕಾ,പാക്സ് ബ്രിട്ടാനിക്ക,पॅक्स ब्रिटानिका,ପ୍ୟାକ୍ସ ବ୍ରିଟାନିକା |,ਪੈਕਸ ਬ੍ਰਿਟੈਨਿਕਾ,பாக்ஸ் பிரிட்டானிகா,పాక్స్ బ్రిటానికా
Pax Romana,"पैक्स रोमना, रोमन साम्राज्य द्वारा स्थापित शांति",পেক্স ৰোমানা,প্যাক্স রোমানা,Pax Romana,ಪ್ಯಾಕ್ಸ್ ರೊಮಾನಾ,പാക്സ് റൊമാന,पॅक्स रोमाना,ପ୍ୟାକ୍ସ ରୋମାନା |,ਪੈਕਸ ਰੋਮਾਣਾ,பாக்ஸ் ரோமானா,పాక్స్ రొమానా
peace and tranquillity,"सुख-शान्‍ति, शान्‍ति एवं नि:शब्‍दता",শান্তি আৰু শান্তি,শান্তি এবং প্রশান্তি,શાંતિ અને શાંતિ,ಶಾಂತಿ ಮತ್ತು ನೆಮ್ಮದಿ,സമാധാനവും സമാധാനവും,शांतता आणि शांतता,ଶାନ୍ତି ଏବଂ ଶାନ୍ତି,ਸ਼ਾਂਤੀ ਅਤੇ ਸ਼ਾਂਤੀ,அமைதி மற்றும் அமைதி,శాంతి మరియు ప్రశాంతత
peach loom,अरुणाभ मृद्भांड,পীচ তাঁতশাল,পীচ তাঁত,આલૂ લૂમ,ಪೀಚ್ ಮಗ್ಗ,പീച്ച് തറി,पीच लूम,ପିଚ ଲୁମ୍ |,ਆੜੂ ਲੂਮ,பீச் தறி,పీచు మగ్గం
pearl shell inlaid bowl,सीपजटित कटोरा,মুকুতাৰ খোলা ইনলেইড বাটি,মুক্তার খোল জড়ানো বাটি,મોતી શેલ જડિત વાટકી,ಮುತ್ತಿನ ಚಿಪ್ಪು ಕೆತ್ತಿದ ಬಟ್ಟಲು,മുത്ത് തോട് പൊതിഞ്ഞ പാത്രം,मोती कवच जडलेला वाडगा,ମୋତି ଶେଲ୍ ଆଚ୍ଛାଦିତ ପାତ୍ର |,ਮੋਤੀ ਸ਼ੈੱਲ ਜੜਿਆ ਕਟੋਰਾ,முத்து ஓடு பதித்த கிண்ணம்,ముత్యపు చిప్ప పొదిగిన గిన్నె
peasant,कृषक,কৃষক,কৃষক,ખેડૂત,ರೈತ,കർഷകൻ,शेतकरी,କୃଷକ,ਕਿਸਾਨ,விவசாயி,రైతు
peasantry,कृषक वर्ग,কৃষক,কৃষক,ખેડૂત વર્ગ,ರೈತಾಪಿ ವರ್ಗ,കർഷകർ,शेतकरी,କୃଷକ,ਕਿਸਾਨੀ,விவசாயிகள்,రైతాంగం
peat brick,पीट ईंट,পিট ইটা,পিট ইট,પીટ ઈંટ,ಪೀಟ್ ಇಟ್ಟಿಗೆ,തത്വം ഇഷ്ടിക,पीट वीट,ପାଇଟ୍ ଇଟା |,peat ਇੱਟ,கரி செங்கல்,పీట్ ఇటుక
pebble,बटिकाश्म,শিলগুটি,নুড়ি,કાંકરા,ಬೆಣಚುಕಲ್ಲು,ഉരുളൻ കല്ല്,खडे,ପଥର,ਪੱਥਰ,கூழாங்கல்,గులకరాయి
pebble bed,बटिका संस्तर,শিলগুটিৰ বিচনা,নুড়ি বিছানা,કાંકરાનો પલંગ,ಬೆಣಚುಕಲ್ಲು ಹಾಸಿಗೆ,പെബിൾ ബെഡ്,गारगोटी,ପଥର ଖଟ |,ਪੱਥਰ ਦਾ ਬਿਸਤਰਾ,கூழாங்கல் படுக்கை,గులకరాయి మంచం
pebble chopper,बटिका खंडक,শিলগুটি চপাৰ,নুড়ি হেলিকপ্টার,કાંકરા ચોપર,ಬೆಣಚುಕಲ್ಲು ಚಾಪರ್,പെബിൾ ചോപ്പർ,खडे हेलिकॉप्टर,ପଥର ଚପର |,ਕੰਕਰ ਹੈਲੀਕਾਪਟਰ,கூழாங்கல் வெட்டுபவர்,గులకరాయి ఛాపర్
pebble scraper,"बटिका खुरचनी, बटिका क्षुरक",শিলগুটি স্ক্ৰেপাৰ,নুড়ি স্ক্র্যাপার,કાંકરા તવેથો,ಬೆಣಚುಕಲ್ಲು ಸ್ಕ್ರಾಪರ್,പെബിൾ സ്ക്രാപ്പർ,गारगोटी स्क्रॅपर,ପଥର ସ୍କ୍ରାପର୍ |,ਕੰਕਰ ਖੁਰਚਣ ਵਾਲਾ,கூழாங்கல் சீவுளி,గులకరాయి పారిపోవు
pebble tool,बटिका औजार,শিলগুটিৰ সঁজুলি,নুড়ি হাতিয়ার,કાંકરાનું સાધન,ಬೆಣಚುಕಲ್ಲು ಉಪಕರಣ,പെബിൾ ഉപകരണം,गारगोटीचे साधन,ପଥର ସାଧନ |,ਕੰਕਰ ਸੰਦ,கூழாங்கல் கருவி,గులకరాయి సాధనం
pebble-dash (=rock dash),दानेदार गच,pebble-dash (=শিল ডেচ),নুড়ি-ড্যাশ (= রক ড্যাশ),પેબલ ડેશ (= રોક ડેશ),ಪೆಬ್ಬಲ್-ಡ್ಯಾಶ್ (=ರಾಕ್ ಡ್ಯಾಶ್),പെബിൾ-ഡാഷ് (=റോക്ക് ഡാഷ്),खडे-डॅश (=रॉक डॅश),ପଥର-ଡ୍ୟାସ୍ (= ପଥର ଡ୍ୟାସ୍),ਕੰਕਰ-ਡੈਸ਼ (=ਰੌਕ ਡੈਸ਼),கூழாங்கல்-கோடு (=ராக் கோடு),పెబుల్-డాష్ (=రాక్ డాష్)
pecking,"टोंचना, टाँकना; टँकाई",pecking,pecking,pecking,ಪೆಕಿಂಗ್,പെക്കിംഗ്,चोचणे,pecking,pecking,பெக்கிங்,పెకింగ్
pecking mark,टंकन चिह्न,পেকিং চিহ্ন,পিকিং চিহ্ন,પેકિંગ માર્ક,ಪೆಕಿಂಗ್ ಗುರುತು,പെക്കിംഗ് അടയാളം,पेकिंग मार्क,ପେକିଂ ମାର୍କ |,ਚਿੱਕੜ ਦਾ ਨਿਸ਼ਾਨ,பெக்கிங் குறி,పెకింగ్ గుర్తు
pecking technique,टंकन प्रविधि,পেকিং কৌশল,পেকিং কৌশল,પેકિંગ તકનીક,ಪೆಕಿಂಗ್ ತಂತ್ರ,പെക്കിംഗ് ടെക്നിക്,पेकिंग तंत्र,ପେକିଂ କ techni ଶଳ |,pecking ਤਕਨੀਕ,பெக்கிங் நுட்பம்,pecking టెక్నిక్
pectoral ornament,उर: अलंकरण,পেক্টোৰেল অলংকাৰ,পেক্টোরাল অলঙ্কার,પેક્ટોરલ આભૂષણ,ಪೆಕ್ಟೋರಲ್ ಆಭರಣ,പെക്റ്ററൽ ആഭരണം,पेक्टोरल अलंकार,ପେକ୍ଟାଲ୍ ଅଳଙ୍କାର |,pectoral ਗਹਿਣਾ,பெக்டோரல் ஆபரணம்,పెక్టోరల్ ఆభరణం
pedestal,"पीठिका, पादपीठ, चौकी; आधार, आसन",পেডেষ্টেল,পাদদেশ,પગથિયું,ಪೀಠ,പീഠം,पादचारी,ପେଡେଷ୍ଟାଲ୍ |,ਚੌਂਕੀ,பீடம்,పీఠము
pedestalled bowl,साधार कटोरा,পেডেষ্টেলযুক্ত বাটি,পাদদেশের বাটি,પેડેસ્ટલ વાટકી,ಪೀಠದ ಬಟ್ಟಲು,പീഠമുള്ള പാത്രം,पादचारी वाटी,ପେଡେଷ୍ଟାଲ୍ ପାତ୍ର |,ਚੌਂਕੀ ਵਾਲਾ ਕਟੋਰਾ,பீடங்கள் கொண்ட கிண்ணம்,పీఠముగల గిన్నె
pedestalled cup,साधार चषक,পেডেষ্টেলযুক্ত কাপ,পেডেস্টাল কাপ,પેડેસ્ટેલ્ડ કપ,ಪೀಠದ ಕಪ್,പീഠമുള്ള പാനപാത്രം,पादचारी कप,ପେଡେଷ୍ଟାଲ୍ କପ୍ |,ਚੌਂਕੀ ਵਾਲਾ ਕੱਪ,பீடம் கொண்ட கோப்பை,పీఠముగల కప్పు
pedigree,अभिजात/वंशानुक्रम/वंश-वृक्ष/वंशावली,বংশবৃক্ষ,বংশ,વંશાવલિ,ವಂಶಾವಳಿ,വംശാവലി,वंशावळ,ପୀଠ,ਵੰਸ਼ਵੰਸ਼,பரம்பரை,పూర్వీకుల నుండి వంశక్రమము
pediment,"त्रिकोण शीर्ष, पेडिमन्ट",পেডিমেন্ট,পেডিমেন্ট,પેડિમેન્ટ,ಪೆಡಿಮೆಂಟ್,പെഡിമെന്റ്,पेडिमेंट,ପେଡିମେଣ୍ଟ,pediment,பெடிமென்ட்,పెడిమెంట్
pedological analysis,मृदावैज्ञानिक विश्लेषण,পেড&#39;লজিকেল বিশ্লেষণ,পেডলজিকাল বিশ্লেষণ,પેડોલોજીકલ વિશ્લેષણ,ಪೆಡಲಾಜಿಕಲ್ ವಿಶ್ಲೇಷಣೆ,പെഡോളജിക്കൽ വിശകലനം,बालवैज्ञानिक विश्लेषण,ପେଡୋଲୋଜିକାଲ୍ ଆନାଲିସିସ୍ |,pedological ਵਿਸ਼ਲੇਸ਼ਣ,குழந்தையியல் பகுப்பாய்வு,పెడలాజికల్ విశ్లేషణ
peel,सीमाबुर्जी; बुर्जी दुर्ग,বাকলি,খোসা,છાલ,ಸಿಪ್ಪೆ,പീൽ,सोलणे,ଚୋପା,ਛਿਲਕਾ,தலாம்,పొట్టు
peeling,छीलना,খোলা খোলা,পিলিং,છાલ,ಸಿಪ್ಪೆಸುಲಿಯುವುದು,പുറംതൊലി,सोलणे,ପିଲିଂ |,ਛਿੱਲਣਾ,உரித்தல்,పొట్టు
peer,"पियर,समपदस्थ",সহকৰ্মী,সমকক্ষ ব্যক্তি,સાથીદાર,ಪೀರ್,സമപ്രായക്കാരൻ,समवयस्क,ସହକର୍ମୀ,ਸਾਥੀ,சக,తోటివాడు
peg-footed vase,पायेदार कलश,পেগ-ফুটযুক্ত ফুলদানি,পেগ-ফুটেড ফুলদানি,પેગ-ફૂટેડ ફૂલદાની,ಪೆಗ್-ಪಾದದ ಹೂದಾನಿ,കുറ്റി-കാലുള്ള പാത്രം,peg-footed फुलदाणी,ପେଗ୍ ଫୁଟ୍ ପାତ୍ର |,peg-footed ਫੁੱਲਦਾਨ,ஆப்பு-கால் குவளை,పెగ్-పాదాల వాసే
Pegasus,सपक्ष घोड़ा,পেগাছাছ,পেগাসাস,પેગાસસ,ಪೆಗಾಸಸ್,പെഗാസസ്,पेगासस,ପେଗାସସ୍ |,ਪੇਗਾਸਸ,பெகாசஸ்,పెగాసస్
pegged stick,"खूँटीदार लकड़ी, कीलक यष्टि",পেগ কৰা লাঠি,পেগড লাঠি,પેગ્ડ લાકડી,ಪೆಗ್ಡ್ ಸ್ಟಿಕ್,കുറ്റിയുള്ള വടി,पेग केलेली काठी,ଖଣ୍ଡିଆ ବାଡି |,ਪੈੱਗਡ ਸਟਿੱਕ,ஆப்பு குச்சி,పెగ్డ్ కర్ర
peggy,"लघु खरपैल, छोटी खपरैल",পেগি,পেগি,પેગી,ಪೆಗ್ಗಿ,പെഗ്ഗി,पेगी,ପେଗି,ਪੈਗੀ,பெக்கி,పెగ్గి
pele tower,अंतकोट,পেলে টাৱাৰ,পেলে টাওয়ার,પેલે ટાવર,ಪೀಲೆ ಗೋಪುರ,പെലെ ടവർ,पेले टॉवर,ପେଲେ ଟାୱାର |,pele ਟਾਵਰ,பீலே கோபுரம்,పీలే టవర్
pellet,"गोली, गोफन-गोली",পেলেট,গুলি,છરો,ಗುಳಿಗೆ,പെല്ലറ്റ്,गोळी,ପେଲେଟ,ਗੋਲੀ,உருண்டை,గుళిక
pellet bow,गुलले धनुष,পেলেট ধনু,ছুরি নম,પેલેટ ધનુષ્ય,ಗುಳಿಗೆ ಬಿಲ್ಲು,പെല്ലറ്റ് വില്ലു,गोळ्याचे धनुष्य,ପେଲେଟ ଧନୁ,ਗੋਲੀ ਕਮਾਨ,உருண்டை வில்,గుళిక విల్లు
pellets and fillets design,गुलिका-पट्ट अभिकल्प,পেলেট আৰু ফিলেটৰ ডিজাইন,pellets এবং fillets নকশা,ગોળીઓ અને ફીલેટ ડિઝાઇન,ಗೋಲಿಗಳು ಮತ್ತು ಫಿಲೆಟ್ ವಿನ್ಯಾಸ,ഉരുളകളും ഫില്ലറ്റുകളും ഡിസൈൻ,गोळ्या आणि फिलेट्स डिझाइन,ପେଲେଟ ଏବଂ ଫିଲେଟ୍ ଡିଜାଇନ୍ |,ਪੈਲੇਟ ਅਤੇ ਫਿਲਲੇਟ ਡਿਜ਼ਾਈਨ,துகள்கள் மற்றும் ஃபில்லெட்டுகள் வடிவமைப்பு,గుళికలు మరియు ఫిల్లెట్లు డిజైన్
penannular brooch,छल्लाकार पिन,পেনানুলাৰ ব্ৰচ,পেনানুলার ব্রোচ,પેનન્યુલર બ્રોચ,ಪೆನ್ನನ್ಯುಲರ್ ಬ್ರೂಚ್,പെനനുലാർ ബ്രൂച്ച്,पेनान्युलर ब्रोच,ପେନାନୁଲାର୍ ବ୍ରୋଚ୍ |,penannular ਬਰੋਚ,பென்னனுலர் ப்ரூச்,పెనాన్యులర్ బ్రోచ్
