Punjabi,Telugu
ਚੁੰਬਕੀ ਟੇਪ ਕਾਰਤੂਸ,మాగ్నెటిక్ టేప్ గుళిక
"ਚੁੰਬਕੀ ਟੇਪ
 ਕੈਸੇਟ","అయస్కాంత టేప్
 క్యాసెట్"
"ਚੁੰਬਕੀ ਟੇਪ
 ਡੈੱਕ (= ਚੁੰਬਕੀ)
 ਟੇਪ ਡਰਾਈਵ)","అయస్కాంత టేప్
 డెక్ (= అయస్కాంతం
 టేప్ డ్రైవ్)"
"ਚੁੰਬਕੀ ਟੇਪ
 ਚਲਾਉਣਾ","అయస్కాంత టేప్
 డ్రైవ్"
ਚੁੰਬਕੀ ਟੇਪ ਫਾਈਲ,మాగ్నెటిక్ టేప్ ఫైల్
"ਚੁੰਬਕੀ ਟੇਪ
 ਲੇਬਲ","అయస్కాంత టేప్
 లేబుల్"
"ਚੁੰਬਕੀ ਟੇਪ
 ਨੇਤਾ","అయస్కాంత టేప్
 నాయకుడు"
"ਚੁੰਬਕੀ ਟੇਪ
 ਲਾਇਬ੍ਰੇਰੀਅਨ","అయస్కాంత టేప్
 లైబ్రేరియన్"
"ਚੁੰਬਕੀ ਟੇਪ
 ਸਟੇਸ਼ਨ","అయస్కాంత టేప్
 స్టేషన్"
ਚੁੰਬਕੀ ਟੇਪ ਸਟੋਰੇਜ,మాగ్నెటిక్ టేప్ నిల్వ
"ਚੁੰਬਕੀ ਟੇਪ
 ਸਬ ਸਿਸਟਮ","అయస్కాంత టేప్
 ఉపవ్యవస్థ"
"ਚੁੰਬਕੀ ਟੇਪ
 ਅਖੀਰੀ ਸਟੇਸ਼ਨ","అయస్కాంత టేప్
 టెర్మినల్"
"ਚੁੰਬਕੀ ਟੇਪ
 ਟ੍ਰੇਲਰ","అయస్కాంత టేప్
 ట్రైలర్"
"ਚੁੰਬਕੀ ਟੇਪ
 ਆਵਾਜਾਈ
 (ਚੁੰਬਕੀ ਟੇਪ
 ਚਲਾਉਣਾ)","అయస్కాంత టేప్
 రవాణా
 (అయస్కాంత టేప్
 డ్రైవ్)"
ਚੁੰਬਕੀ ਟੇਪ ਯੂਨਿਟ,మాగ్నెటిక్ టేప్ యూనిట్
ਚੁੰਬਕੀ ਪਤਲੀ ਫਿਲਮ,మాగ్నెటిక్ సన్నని చిత్రం
"ਚੁੰਬਕੀ ਪਤਲੀ ਫਿਲਮ
 ਸਟੋਰੇਜ","మాగ్నెటిక్ సన్నని చిత్రం
 నిల్వ"
ਚੁੰਬਕੀ ਟਰੈਕ,మాగ్నెటిక్ ట్రాక్
"ਚੁੰਬਕੀ ਤਾਰ
 ਸਟੋਰੇਜ","అయస్కాంత వైర్
 నిల్వ"
"ਮੈਗਨੇਟਰੇਗਨਿਕ
 ਪ੍ਰਿੰਟਰ","మాగ్నెటోగ్రాఫిక్
 ప్రింటర్"
"ਮੈਗਨੇਟੋ-ਆਪਟਿਕ
 ਡਿਸਕ ਸਟੋਰੇਜ","మాగ్నెటో-ఆప్టిక్
 డిస్క్ నిల్వ"
ਮੈਗਨੋਸਟ੍ਰਿਕਸ਼ਨ,మాగ్నెటోస్ట్రక్షన్
ਮੈਗ ਟੇਪ,మాగ్ టేప్
ਮੇਲ ਬਾਕਸ,మెయిల్ బాక్స్
"ਮੇਲ ਮੇਲ (= ਫਾਈਲ)
 ਮਿਲਾ ਕੇ)","మెయిల్ విలీనం (= ఫైల్
 విలీనం)"
"ਮੁੱਖ ਬੈਟਰੀ
 ਸੰਚਾਲਿਤ ਮਸ਼ੀਨ","ప్రధాన బ్యాటరీ
 శక్తితో కూడిన యంత్రం"
ਮੁੱਖ ਕੰਟਰੋਲ ਯੂਨਿਟ,ప్రధాన నియంత్రణ యూనిట్
"ਮੁੱਖ ਵੰਡਣਾ
 ਫਰੇਮ ਫਰੇਮ","ప్రధాన పంపిణీ
 ఫ్రేమ్"
ਮੇਨਫ੍ਰੇਮ,మెయిన్‌ఫ్రేమ్
"ਮੇਨਫ੍ਰੇਮ
ਕੰਪਿ computer ਟਰ","మెయిన్‌ఫ్రేమ్
కంప్యూటర్"
"ਮੇਨਫ੍ਰੇਮ ਸਿਸਟਮ
 (= ਮੇਨਫ੍ਰੇਮ
 ਕੰਪਿ computer ਟਰ)","మెయిన్ఫ్రేమ్ సిస్టమ్
 (= మెయిన్‌ఫ్రేమ్
 కంప్యూటర్)"
ਮੁੱਖ ਲੋਬ,ప్రధాన లోబ్
ਮੁੱਖ ਯਾਦਦਾਸ਼ਤ,ప్రధాన మెమరీ
"ਮੁੱਖ ਯਾਦਦਾਸ਼ਤ
 ਮੈਪਿੰਗ","ప్రధాన మెమరీ
 మ్యాపింగ్"
ਮੁੱਖ ਕਾਰਵਾਈ,ప్రధాన ఆపరేషన్
ਮੁੱਖ ਮਾਰਗ,ప్రధాన మార్గం
"ਮੁੱਖ ਸੰਚਾਲਿਤ
 ਮਸ਼ੀਨ","ప్రధాన శక్తితో
 యంత్రం"
ਮੁੱਖ ਪ੍ਰੋਗਰਾਮ,ప్రధాన కార్యక్రమం
ਮੁੱਖ ਸਟੇਸ਼ਨ,ప్రధాన స్టేషన్
ਮੁੱਖ ਸਟੋਰੇਜ,ప్రధాన నిల్వ
ਮੁੱਖ ਸਟੋਰੇਜ ਯੂਨਿਟ,ప్రధాన నిల్వ యూనిట్
ਮੁੱਖ ਸਵਿਚ,ప్రధాన స్విచ్
ਮੇਨਟੇਨੈਂਸ ਪੈਨਲ,నిర్వహణ ప్యానెల్
"ਰੱਖ ਰਖਾਵ
 ਪ੍ਰੋਗਰਾਮ ਚੇਨ","నిర్వహణ
 ప్రోగ్రామ్ గొలుసు"
"ਰੱਖ ਰਖਾਵ
 ਸਟੈਂਡਬਾਏ ਦਾ ਸਮਾਂ","నిర్వహణ
 స్టాండ్బై సమయం"
ਦੇਖਭਾਲ ਦਾ ਸਮਾਂ,నిర్వహణ సమయం
"ਮੁੱਖ
 (ਰੱਖ-ਰਖਾਅ)","నిర్వహణ
 (నిర్వహణ)"
ਵੱਡਾ ਕੰਟਰੋਲ ਖੇਤਰ,ప్రధాన నియంత్రణ క్షేత్రం
ਪ੍ਰਮੁੱਖ ਚੱਕਰ,ప్రధాన చక్రం
ਬਹੁਮਤ,మెజారిటీ
ਬਹੁਮਤ ਤੱਤ,మెజారిటీ మూలకం
"ਬਹੁਗਿਣਤੀ ਗੇਟ
 (= ਬਹੁਗਿਣਤੀ
 ਤੱਤ)","మెజారిటీ గేట్
 (= మెజారిటీ
 మూలకం)"
ਬਹੁਗਿਣਤੀ ਕਾਰਵਾਈ,మెజారిటీ ఆపరేషన్
ਪ੍ਰਮੁੱਖ ਕੁੰਜੀ,ప్రధాన కీ
ਪ੍ਰਮੁੱਖ ਲੋਬ,మేజర్ లోబ్
ਮੁੱਖ ਰਾਜ,ప్రధాన రాష్ట్రం
ਪ੍ਰਮੁੱਖ structure ਾਂਚਾ,ప్రధాన నిర్మాణం
ਵੱਡਾ ਕੰਮ,ప్రధాన పని
ਮੇਜਰ,ప్రధాన మొత్తం
"ਬਰੇਕ ਬਣਾਓ
 ਓਪਰੇਸ਼ਨ","విరామం చేయండి
 ఆపరేషన్"
ਵਿਅਸਤ ਬਣਾਓ,బిజీగా ఉండండి
ਮੇਕਅਪ ਟਾਈਮ,మేకప్ సమయం
"ਖਰਾਬੀ
 ਰੁਟੀਨ","పనిచేయకపోవడం
 దినచర్య"
ਪ੍ਰਬੰਧਨ,నిర్వహణ
"ਪ੍ਰਬੰਧਨ
 ਜਾਣਕਾਰੀ
 ਸਿਸਟਮ","నిర్వహణ
 సమాచారం
 వ్యవస్థ"
"ਪ੍ਰਬੰਧਨ
 ਵਿਗਿਆਨ","నిర్వహణ
 సైన్స్"
"ਮੈਨਚੇਸਟਰ
 ਕੋਡਿੰਗ","మాంచెస్టర్
 కోడింగ్"
"ਲਾਜ਼ਮੀ ਹੈ
 ਕ੍ਰਿਪੋਟੋਗ੍ਰਾਫਿਕ
 ਸੈਸ਼ਨ","తప్పనిసరి
 క్రిప్టోగ్రాఫిక్
 సెషన్"
ਖੁਸ਼ਹਾਲੀ,మానిఫోల్డింగ్
"ਹੇਰਾਫੇਰੀ
 ਵੇਰੀਏਬਲ","మార్చబడింది
 వేరియబుల్"
"ਹੇਰਾਫੇਰੀ
 ਇੰਡੈਕਸਿੰਗ","మానిప్యులేటివ్
 ఇండెక్సింగ్"
"ਆਦਮੀ-ਮਸ਼ੀਨ
 ਸਿਮੂਲੇਸ਼ਨ","మ్యాన్-మెషిన్
 అనుకరణ"
"ਮੈਨੂਅਲ ਐਡਰੈੱਸ
 ਸਵਿੱਚ","మాన్యువల్ చిరునామా
 స్విచ్"
ਮੈਨੁਅਲ ਵਿਸ਼ਲੇਸ਼ਣ,మాన్యువల్ విశ్లేషణ
ਮੈਨੂਅਲ ਜਵਾਬ ਦੇਣਾ,మాన్యువల్ సమాధానం
ਮੈਨੁਅਲ ਕਾਲਿੰਗ,మాన్యువల్ కాలింగ్
ਮੈਨੁਅਲ ਕੰਟਰੋਲ,మాన్యువల్ నియంత్రణ
ਮੈਨੂਅਲ ਐਂਟਰੀ,మాన్యువల్ ఎంట్రీ
ਮੈਨੂਅਲ ਐਕਸਚੇਜ਼,మాన్యువల్ ఎక్స్ఛేంజ్
ਮੈਨੂਅਲ ਫੰਕਸ਼ਨ,మాన్యువల్ ఫంక్షన్
ਮੈਨੂਅਲ ਇੰਪੁੱਟ,మాన్యువల్ ఇన్పుట్
ਮੈਨੂਅਲ ਆਪ੍ਰੇਸ਼ਨ,మాన్యువల్ ఆపరేషన్
"ਮੈਨੁਅਲ ਸ਼ਬਦ
 ਜੇਨਰੇਟਰ","మాన్యువల్ పదం
 జనరేటర్"
"ਬਹੁਤ ਸਾਰੇ ਲਈ
 ਭਾਸ਼ਾ","చాలా వరకు
 భాష"
"ਬਹੁਤ ਸਾਰੇ
 ਡੀਕੋਡਰ","చాలా వరకు
 డీకోడర్"
ਮੈਪ ਵਿਧੀ,మ్యాప్ పద్ధతి
ਮੈਪਡ ਬਫਰ,మ్యాప్డ్ బఫర్
ਮੈਪਿੰਗ ਗਲਤੀ,మ్యాపింగ్ లోపం
ਹਾਸ਼ੀਏ,మార్జిన్
"ਹਾਸ਼ੀਏ-ਵਿਵਸਥ
 ਮੋਡ","మార్జిన్-సర్దుబాటు
 మోడ్"
ਹਾਸ਼ੀਏ ਦੀ ਜਾਂਚ,ఉపాంత తనిఖీ
ਹਾਸ਼ੀਏ ਦੀ ਗਲਤੀ,ఉపాంత లోపం
ਹਾਸ਼ੀਏ ਦਾ ਟੈਸਟ,ఉపాంత పరీక్ష
ਹਾਸ਼ੀਏ ਦਾ ਨਿਯੰਤਰਣ,మార్జిన్ నియంత్రణ
"ਹਾਸ਼ੀਏ ਨੇ ਮੁੱਕਾ ਮਾਰਿਆ
 ਕਾਰਡ","మార్జిన్ పంచ్
 కార్డు"
ਮਾਰਕ,మార్క్
ਮਾਰਕ ਖੋਜ,మార్క్ డిటెక్షన్
ਮਾਰਕਰ,మార్కర్
ਮਾਰਕ ਹੋਲਡ,మార్క్ హోల్డ్
ਮਾਰਕਿੰਗ,మార్కింగ్
ਮਾਰਕਿੰਗ ਬਿਆਸ,మార్కింగ్ బయాస్
"ਮਾਰਕਿੰਗ-ਅੰਤ
 ਭਟਕਣਾ","మార్కింగ్-ఎండ్
 వక్రీకరణ"
ਮਾਰਕਿੰਗ ਵੇਵ,మార్కింగ్ వేవ్
ਮਾਰਕ ਮੇਲ,మార్క్ మ్యాచింగ్
ਮਾਰਕੋਵ ਚੇਨ,మార్కోవ్ గొలుసు
ਮਾਰਕੋਵ ਸਰੋਤ,మార్కోవ్ మూలం
ਮਾਰਕ ਰੀਡਿੰਗ,మార్క్ రీడింగ్
ਮਾਰਕ ਸਕੈਨਿੰਗ,మార్క్ స్కానింగ్
ਮਾਰਕ ਦੀ ਭਾਵਨਾ,మార్క్ సెన్స్
"ਮਾਰਕ ਸੈਂਸਿੰਗ
 ਕਾਲਮ","మార్క్ సెన్సింగ్
 కాలమ్"
ਸੈਂਸਿੰਗ ਕਤਾਰ ਨੂੰ ਮਾਰਕ ਕਰੋ,మార్క్ సెన్సింగ్ రో
"ਮਾਰਕ-ਸਪੇਸ
 ਅੱਖਰ","మార్క్-స్పేస్
 పాత్ర"
"ਸਪੇਸ ਵੱਲ ਨਿਸ਼ਾਨ
 ਗੁਣਕ","స్థలానికి గుర్తించండి
 గుణకం"
"ਸਪੇਸ ਵੱਲ ਨਿਸ਼ਾਨ
 ਅਨੁਪਾਤ","స్థలానికి గుర్తించండి
 నిష్పత్తి"
"ਸਪੇਸ ਵੱਲ ਨਿਸ਼ਾਨ
 ਤਬਦੀਲੀ","స్థలానికి గుర్తించండి
 పరివర్తన"
ਮੇਸਰ,మాజర్
ਮਾਸਕ,ముసుగు
ਮਾਸਕਬਲ ਰੁਕਾਵਟ,ముసుగు అంతరాయం
ਮਾਸਕ ਬਿੱਟ,మాస్క్ బిట్
ਨਕਾਬਪੋਸ਼ ਰੋਮ,మాస్క్డ్ రోమ్
ਮਾਸਕ ਮੇਲ ਖਾਂਦਾ,మాస్క్ మ్యాచింగ్
"ਮਾਸਕ
 ਪ੍ਰੋਗਰਾਮਯੋਗ
 ਜੰਤਰ","ముసుగు
 ప్రోగ్రామబుల్
 పరికరం"
ਮਾਸਕ ਰਜਿਸਟਰ,మాస్క్ రిజిస్టర్
ਮਸਾਜਿੰਗ,మసాజ్
ਪੁੰਜ ਡਾਟਾ,మాస్ డేటా
ਸਮੂਡੀ ਮੈਮੋਰੀ,మాస్ మెమరీ
ਭੰਡਾਰ,సమూహ నిక్షేపన
"ਭੰਡਾਰ
 ਜੰਤਰ","సమూహ నిక్షేపన
 పరికరం"
"ਮਾਸ ਸਟੋਰੇਜ ਫਾਈਲ
 ਖੰਡ","మాస్ స్టోరేజ్ ఫైల్
 విభాగం"
"'ਤੇ ਮਾਸ ਸਟੋਰੇਜ
 ਲਾਈਨ","సామూహిక నిల్వ
 లైన్"
ਮਾਸਟਰ,మాస్టర్
ਮਾਸਟਰ ਕਾਰਡ,మాస్టర్ కార్డ్
ਮਾਸਟਰ ਘੜੀ,మాస్టర్ క్లాక్
"ਮਾਸਟਰ ਘੜੀ
 ਬਾਰੰਬਾਰਤਾ","మాస్టర్ క్లాక్
 తరచుదనం"
ਮਾਸਟਰ ਕੰਸੋਲ,మాస్టర్ కన్సోల్
"ਮਾਸਟਰ ਕੰਟਰੋਲ
 ਵਿਘਨ","మాస్టర్ కంట్రోల్
 అంతరాయం"
ਮਾਸਟਰ ਡਾਟਾ,మాస్టర్ డేటా
ਮਾਸਟਰ ਫਾਈਲ,మాస్టర్ ఫైల్
"ਮਾਸਟਰ ਫਾਈਲ
 ਵਸਤੂ ਸੂਚੀ","మాస్టర్ ఫైల్
 జాబితా"
ਮਾਸਟਰ ਫਾਈਲ ਅਪਡੇਟ,మాస్టర్ ఫైల్ నవీకరణ
ਮਾਸਟਰ ਬਾਰੰਬਾਰਤਾ ਜਰਨੇਟਰ,మాస్టర్ ఫ్రీక్వెన్సీ జనరేటర్
ਮਾਸਟਰ ਸਮੂਹ,మాస్టర్ గ్రూప్
"ਮਾਸਟਰ ਹਦਾਇਤ
 ਚੇਪੀ","మాస్టర్ ఇన్స్ట్రక్షన్
 టేప్"
ਮਾਸਟਰ ਲਾਇਬ੍ਰੇਰੀ ਟੇਪ,మాస్టర్ లైబ్రరీ టేప్
ਮਾਸਟਰ ਮੋਡ,మాస్టర్ మోడ్
ਮਾਸਟਰ ਪ੍ਰੋਸੈਸਰ,మాస్టర్ ప్రాసెసర్
ਮਾਸਟਰ ਪ੍ਰੋਗਰਾਮ,మాస్టర్ ప్రోగ్రామ్
"ਮਾਸਟਰ ਪ੍ਰੋਗ੍ਰਾਮ
 ਫਾਈਲ","మాస్టర్ ప్రోగ్రామ్
 ఫైల్"
ਮਾਸਟਰ ਰਿਕਾਰਡ,మాస్టర్ రికార్డ్
ਮਾਸਟਰ ਸ਼ਡਿ r ਲਰ,మాస్టర్ షెడ్యూలర్
"ਮਾਸਟਰ / ਸਲੇਵ
 ਜੰਤਰ","పెద్ద ఖైది
 పరికరం"
"ਮਾਸਟਰ / ਸਲੇਵ
 ਫਲਿਪ ਫਲਾਪ","పెద్ద ఖైది
 ఫ్లిప్-ఫ్లాప్"
"ਮਾਸਟਰ / ਸਲੇਵ
 ਮਲਟੀਪ੍ਰੋਗ੍ਰਾਮਿੰਗ","పెద్ద ఖైది
 మల్టీప్రోగ్రామింగ్"
"ਮਾਸਟਰ / ਸਲੇਵ
 ਸਿਸਟਮ","పెద్ద ఖైది
 వ్యవస్థ"
ਮਾਸਟਰ ਸਟੇਸ਼ਨ,మాస్టర్ స్టేషన్
ਮਾਸਟਰ ਟੇਪ,మాస్టర్ టేప్
ਮਾਸਟਰ ਟਰਮੀਨਲ,మాస్టర్ టెర్మినల్
ਮੈਚ,మ్యాచ్
"ਗਣਿਤ
 ਚੈਕ","గణిత
 తనిఖీ"
"ਗਣਿਤ
 ਫੰਕਸ਼ਨ","గణిత
 ఫంక్షన్"
"ਗਣਿਤ
 ਸ਼ਾਮਲ","గణిత
 ఇండక్షన్"
ਗਣਿਤ ਦਾ ਤਰਕ,గణిత తర్కం
"ਗਣਿਤ
 ਮਾਡਲ","గణిత
 మోడల్"
"ਗਣਿਤ
 ਸਿਮੂਲੇਸ਼ਨ","గణిత
 అనుకరణ"
ਮੈਟਰਿਕਸ,మాతృక
ਮੈਟ੍ਰਿਕਸ ਆਦਰਸ਼,మాతృక ప్రమాణం
ਮੈਟ੍ਰਿਕਸ ਪ੍ਰਿੰਟਰ,మ్యాట్రిక్స్ ప్రింటర్
ਮੈਟ੍ਰਿਕਸ ਸਟੋਰੇਜ,మ్యాట్రిక్స్ స్టోరేజ్
ਮੈਟ੍ਰਿਕਸ ਟੇਬਲ,మ్యాట్రిక్స్ టేబుల్
"ਮੈਟ੍ਰਿਕਸ ਅਪਡੇਟ ਕਰ ਰਿਹਾ ਹੈ
 ਵਿਧੀ","మ్యాట్రిక్స్ అప్‌డేట్
 విధానం"
ਮੈਕਸੀ ਕੰਪਿ computer ਟਰ,మాక్సి కంప్యూటర్
"ਵੱਧ ਤੋਂ ਵੱਧ ਲੰਬਾਈ
 ਤਰਤੀਬ","గరిష్ట పొడవు
 సీక్వెన్స్"
"ਵੱਧ ਤੋਂ ਵੱਧ
 ਓਪਰੇਟਿੰਗ
 ਬਾਰੰਬਾਰਤਾ","గరిష్టంగా
 ఆపరేటింగ్
 తరచుదనం"
"ਮੈਕਸਟਰਮ
 (= ਸਟੈਂਡਰਡ ਜੋੜ
 ਮਿਆਦ)","మాక్స్టర్మ్
 (= ప్రామాణిక మొత్తం
 పదం)"
ਮਤਲਬ ਐਂਟਰੋਪੀ,మీన్ ఎంట్రోపీ
"ਮਤਲਬ ਜਾਣਕਾਰੀ
 ਸਮੱਗਰੀ","సగటు సమాచారం
 విషయము"
ਮਤਲਬ ਮੁਰੰਮਤ ਦਾ ਸਮਾਂ,రిపేర్ సమయం సగటు
"ਮਤਲਬ / ਅੰਤ
 ਵਿਸ਼ਲੇਸ਼ਣ","మార్గాలు/చివరలు
 విశ్లేషణ"
"ਮਤਲਬ ਸਮਾਂ
 ਅਸਫਲਤਾਵਾਂ ਦੇ ਵਿਚਕਾਰ","సగటు సమయం
 వైఫల్యాల మధ్య"
"ਦਾ ਮਤਲਬ ਹੈ
 ਅਸਫਲਤਾ","సగటు సమయం
 వైఫల్యం"
"ਦਾ ਮਤਲਬ ਹੈ
 ਮੁਰੰਮਤ","సగటు సమయం
 మరమ్మత్తు"
ਮਾਪੀ ਸੇਵਾਵਾਂ,కొలిచిన సేవలు
"ਦਾ ਮਾਪ
 ਜਾਣਕਾਰੀ","యొక్క కొలత
 సమాచారం"
"ਦਾ ਮਾਪ
 ਟਿਕਾਣਾ","యొక్క కొలత
 స్థానం"
"ਦੇ ਉਪਾਅ
 ਪਰਿਵਰਤਨ","యొక్క కొలతలు
 వైవిధ్యం"
"ਮਕੈਨੀਕਲ
 ਕੈਲਕੁਲੇਟਰ","యాంత్రిక
 కాలిక్యులేటర్"
"ਮਕੈਨੀਕਲ
 ਸ਼ਬਦਕੋਸ਼","యాంత్రిక
 నిఘంటువు"
"ਮਕੈਨੀਕਲ
 ਅਨੁਵਾਦ","యాంత్రిక
 అనువాదం"
"ਮਕੈਨੀਕਲ
 ਵੈਰਿਫਾਇਰ","యాంత్రిక
 వెరిఫైయర్"
"ਮੀਡੀਆ ਡਰਾਈਵ
ਸਿਲੈਕਟ","మీడియా డ్రైవ్
సెలెక్టర్"
"ਮੀਡੀਆ ਨਿਵਾਸੀ
 ਸਾਫਟਵੇਅਰ","మీడియా నివాసి
 సాఫ్ట్‌వేర్"
"ਦਰਮਿਆਨੀ ਸਕੇਲ
 ਏਕੀਕਰਣ","మధ్యస్థ స్థాయి
 అనుసంధానం"
ਦਰਮਿਆਨੀ ਗਤੀ,మధ్యస్థ వేగం
"ਦਰਮਿਆਨੀ ਮਿਆਦ
 ਸਟੋਰੇਜ਼ ਡਿਵਾਈਸ","మధ్యస్థ పదం
 నిల్వ పరికరం"
ਓਪਰੇਟਰ ਨੂੰ ਮਿਲੋ,ఆపరేటర్‌ను కలవండి
ਮੈਗਾਬਾਈਟ,మెగాబైట్
Megycle,మెగాసైకిల్
"ਝਿੱਲੀ
 ਕੀਬੋਰਡ
 (= ਟੱਚ ਕੁੰਜੀ
 ਫੱਟੀ)","పొర
 కీబోర్డ్
 (= టచ్ కీ
 బోర్డు)"
ਮੈਮੋ ਪੋਸਟਿੰਗ,మెమో పోస్టింగ్
ਯਾਦਦਾਸ਼ਤ,మెమరీ
"ਮੈਮੋਰੀ ਪਤਾ
 ਰਜਿਸਟਰ","మెమరీ చిరునామా
 రిజిస్టర్"
ਮੈਮੋਰੀ ਅਲੋਕੇਸ਼ਨ,మెమరీ కేటాయింపు
ਮੈਮੋਰੀ ਅਨੀਕਸ,మెమరీ అనెక్స్
ਮੈਮੋਰੀ ਐਰੇ,మెమరీ శ్రేణి
ਮੈਮੋਰੀ ਬੈਂਕ,మెమరీ బ్యాంక్
"ਮੈਮੋਰੀ ਬਫਰ
 ਰਜਿਸਟਰ","మెమరీ బఫర్
 రిజిస్టర్"
ਮੈਮੋਰੀ ਬੱਸ,మెమరీ బస్సు
ਮੈਮੋਰੀ ਸਮਰੱਥਾ,మెమరీ సామర్థ్యం
ਮੈਮੋਰੀ ਸੈੱਲ,మెమరీ సెల్
"ਮੈਮੋਰੀ ਅੱਖਰ
 ਫਾਰਮੈਟ","మెమరీ పాత్ర
 ఫార్మాట్"
"ਯਾਦਦਾਸ਼ਤ
 ਸੰਕੁਚਨ","మెమరీ
 సంపీడనం"
ਮੈਮੋਰੀ ਕੋਰ,మెమరీ కోర్
ਮੈਮੋਰੀ ਚੱਕਰ ਦਾ ਸਮਾਂ,మెమరీ సైకిల్ సమయం
"ਮੈਮੋਰੀ ਡਾਟਾ
 ਰਜਿਸਟਰ","మెమరీ డేటా
 రిజిస్టర్"
"ਮੈਮੋਰੀ ਅਯੋਗ
 ਇਸ਼ਾਰਾ","మెమరీ డిసేబుల్
 సిగ్నల్"
"ਮੈਮੋਰੀ ਯੋਗ
 ਇਸ਼ਾਰਾ","మెమరీ ఎనేబుల్
 సిగ్నల్"
ਮੈਮੋਰੀ ਐਕਸਚੇਂਜ,మెమరీ ఎక్స్ఛేంజ్
ਮੈਮੋਰੀ ਭਰੋ,మెమరీ ఫిల్
ਮੈਮੋਰੀ ਗਾਰਡ,మెమరీ గార్డ్
ਮੈਮੋਰੀ ਲੜੀ,మెమరీ సోపానక్రమం
"ਯਾਦਦਾਸ਼ਤ
 ਪ੍ਰਬੰਧਨ","మెమరీ
 నిర్వహణ"
ਮੈਮੋਰੀ ਦਾ ਨਕਸ਼ਾ,మెమరీ మ్యాప్
"ਮੈਮੋਰੀ ਮੈਪ ਕੀਤੀ ਗਈ
 I / o","మెమరీ మ్యాప్ చేయబడింది
 I/o"
"ਮੈਮੋਰੀ ਮੈਪ ਕੀਤੀ ਗਈ
 ਵੀਡੀਓ","మెమరీ మ్యాప్ చేయబడింది
 వీడియో"
ਮੈਮੋਰੀ ਮੈਪਿੰਗ,మెమరీ మ్యాపింగ్
ਮੈਮੋਰੀ ਮੋਡੀ .ਲ,మెమరీ మాడ్యూల్
"ਦੀ ਯਾਦਦਾਸ਼ਤ
 ਯਾਦਦਾਸ਼ਤ
 ਹਦਾਇਤ","యొక్క మెమరీ
 మెమరీ
 సూచన"
ਮੈਮੋਰੀ ਪੇਜ,మెమరీ పేజీ
ਮੈਮੋਰੀ ਸਮਾਨਤਾ,మెమరీ పారిటీ
"ਯਾਦਦਾਸ਼ਤ ਪੁਆਇੰਟਰ
 ਰਜਿਸਟਰ","మెమరీ పాయింటర్
 రిజిస్టర్"
ਮੈਮੋਰੀ ਪਾਵਰ,మెమరీ శక్తి
"ਮੈਮੋਰੀ ਪ੍ਰਿੰਟਆਉਟ
 (= ਯਾਦਦਾਸ਼ਤ
 ਡੰਪ)","మెమరీ ప్రింటౌట్
 (= మెమరీ
 డంప్)"
"ਯਾਦਦਾਸ਼ਤ
 ਸੁਰੱਖਿਆ","మెమరీ
 రక్షణ"
"ਮੈਮੋਰੀ ਹਵਾਲਾ
 ਹਦਾਇਤ","మెమరీ రిఫరెన్స్
 సూచన"
ਮੈਮੋਰੀ ਰਜਿਸਟਰ,మెమరీ రిజిస్టర్
ਮੈਮੋਰੀ ਯੂਨਿਟ,మెమరీ యూనిట్
"ਯਾਦਦਾਸ਼ਤ
 ਵਰਕਸਪੇਸ","మెమరీ
 వర్క్‌స్పేస్"
ਮੇਨੂ,మెను
ਮੀਨੂ ਚੋਣ,మెను ఎంపిక
ਪਾਰਾ ਦੇਰੀ ਦੀ ਲਾਈਨ,మెర్క్యురీ ఆలస్యం లైన్
"ਪਾਰਾ ਗਿੱਲਾ
 ਰਿਲੇਅ","మెర్క్యురీ తడిసినది
 రిలే"
ਮਾਰਜ,మార్జ్
ਅਭੇਦ ap ੇਰ,విలీనమైన కుప్ప
"ਰਿਲੀਡ ਟ੍ਰਾਂਜ਼ਿਸਟ
 ਤਰਕ","విలీనం చేసిన ట్రాన్సిస్టర్
 లాజిక్"
"ਐਕਸਚੇਂਜ ਨੂੰ ਮਿਲਾਓ
 ਕ੍ਰਮਬੱਧ","మార్పిడిని విలీనం చేయండి
 క్రమబద్ధీకరించండి"
ਕ੍ਰਮਬੱਧ ਕ੍ਰਮ,క్రమాన్ని విలీనం చేయండి
ਕ੍ਰਮਬੱਧ ਕ੍ਰਮਬੱਧ,క్రమబద్ధీకరించండి
ਮਰਜਣਾ,విలీనం
ਜਾਲ ਨੈੱਟਵਰਕ,మెష్ నెట్‌వర్క్
"ਸੁਨੇਹਾ
 ਪ੍ਰਮਾਣਿਕ","సందేశం
 ప్రామాణీకరణ"
ਸੁਨੇਹਾ ਬਲਾਕ,సందేశ బ్లాక్
ਸੁਨੇਹਾ ਬਫਰਿੰਗ,సందేశ బఫరింగ్
ਸੁਨੇਹਾ ਸਰਕਟ,సందేశ సర్క్యూట్
"ਸੁਨੇਹਾ ਸਰਕਟ
 ਸ਼ੋਰ","సందేశ సర్క్యూట్
 శబ్దం"
"ਸੁਨੇਹਾ ਨਿਯੰਤਰਣ
 ਝੰਡਾ","సందేశ నియంత్రణ
 జెండా"
ਸੁਨੇਹਾ ਡਾਟਾ ਸੈਟ,సందేశ డేటా సెట్
"ਸੁਨੇਹਾ ਪ੍ਰਦਰਸ਼ਤ
 ਕੰਸੋਲ","సందేశ ప్రదర్శన
 కన్సోల్"
