ab initio,আৰম্ভৰপৰা
interrogate,"জেৰাকৰ, জবানবন্দীল"
interrupt,"1.বাধাদে, ব্যাঘাতজন্মা2.বিচ্ছিন্নকৰ"
interruption,"বাধা, ব্যাঘাত"
intervene,1.বাধাহ2.মাজতসোমা3.মধ্যস্থতাকৰ
intervention,"হস্তক্ষেপ, মধ্যস্থতা"
interview,সাক্ষাৎকাৰ
interviewee,সাক্ষাৎকাৰদাতা
interviewer,সাক্ষাৎকাৰলঁওতা
intimate,1.অন্তৰঙ্গ2.অৱগতকৰ
intimation,অৱগতকৰণ
intimidation,ভীতিপ্রদর্শন
intolerance,অসহিষ্ণুতা
intoxication,নিচাগ্রস্তহোৱা
intricacy,জটিলতা
intricate,জটিল
introduce,1.উত্থাপনকৰ2.উপস্থাপিতকৰ3.পৰিচিতকৰ4.হাজিৰকৰ
introduction,"1.প্রস্তাৱনা, মুখবন্ধ2.অৱতাৰণা, উত্থাপন, উপস্থাপন3.পৰিচয়দান"
invalid,"1.ভিত্তিহীন, ৰদকৰা, বাতিলকৰা2.দুর্বল, পঙ্গু3. 4. 5."
invalidity,"ৰদকৰণ, বাতিলকৰণ"
invariably,সর্বদা
investigation,"1.অনুসন্ধান, তদন্ত, নিৰীক্ষণ2.জিজ্ঞাসা, গৱেষণা"
investment,বিনিয়োগ
invitation,"আমন্ত্রণ, নিমন্ত্রণ"
involuntary,অনৈচ্ছিক
involved,"1.পাকখোৱা2.জটিল3.জড়িত, লিপ্ত4.আউললগা"
ipso facto,"স্বয়ংসিদ্ধভাৱেই, স্বভাৱতেই"
ipso jure,বিধিগতভাৱেই
irrational,"বিবেকহীন, অযুক্তিকৰ"
irrecoverable,"অপূৰণীয়, পুনৰুদ্ধাৰঅসাধ্য"
irregular,1.অনিয়মিত2.নিয়মবর্হিভূত
irrelevant,অপ্রাসঙ্গিক
irresponsible,দায়িত্বহীন
irrevocable,"অমোঘ, অপৰিবর্ত্তনীয়"
issue,"1.মুঠউৎপাদন, মুঠলাভ2.নির্গমন3.সন্তান4.পৰিণাম5.বিচার্য্যবিষয়6.প্রকাশ, সংস্কৰণ"
issue order,নির্গমনআদেশ
issue price,নির্গমনমূল্য
item,"1.পদ2.দফা, পৰিচ্ছেদ3.স্বতন্ত্রসংবাদ"
Job,চাকৰি2.কাম
job description,কার্য্যবিৱৰণ
job evaluation,কার্য্যমূল্যাংকন
job freeze,ভর্ত্তিবন্ধ
job hunting,চাকৰিৰসন্ধান
job rotation,কার্য্যচক্রানুক্রম
job satisfaction,কার্য্যসন্তুষ্টি
job security,"কার্য্যনিৰাপত্তা, কার্য্যসুৰক্ষা"
job specification,"কার্য্যবিনির্দেশ, কার্য্যবিশিষ্টতা"
job study,কার্য্যঅধ্যয়ন
job work,সৰু–সুৰাকাম
job-oriented,কার্য্যোন্মুখ
jobless,"কৰমহীন, বেকাৰ, নিবনুৱা"
join,"কার্য্যভাৰগ্রহণকৰ2.সংলগ্নকৰ3.যোগদে, লিপ্তহ4.সভ্যহ, সদস্যহ5.একগোটহ"
joining date,কার্য্যগ্রহণতাৰিখ
joining pay,কার্য্যগ্রহণবেতন
joining period,কার্য্যগ্রহণঅৱধি
joining report,কার্য্যগ্রহণৰিপোর্ট
joining time,কার্য্যগ্রহণঅৱধি
joint,"সংযুক্ত, যৌথ"
joint account,"সংযুক্তজমাবহী, যৌথজমাবহী"
joint cadre,"সংযুক্তসংবর্গ, যৌথসংবর্গ"
joint committee,"সংযুক্তসমিতি, যৌথসমিতি"
joint consultative committee,"সংযুক্তপৰামর্শদাতাসমিতি, যৌথপৰামর্শদাতাসমিতি"
joint family,"সংযুক্তপৰিয়াল, যৌথপৰিয়াল"
joint ownership,যৌথমালিকীস্বত্ব
joint responsibility,"যৌথদায়িত্ব, যৌথউত্তৰদায়িত্ব"
joint venture,যৌথউদ্যম
jointly,"সন্মিলিতভাৱে, একত্রে, যৌথভাৱে"
jointly and severally,যৌথআৰুপৃথকৰূপত
journal,"দিনপঞ্জী2.দৈনিকবাতৰিকাকত3.আলোচনী, পত্রিকা"
journalist,"সাংবাদিক, পত্রকাৰ"
judgement,"সিদ্ধান্ত, ৰায়"
judicial,ন্যায়িক
judicial custody,ন্যায়িকজিম্মা
judicial enquiry,ন্যায়িকতদন্ত
judicial notice,"ন্যায়িকজাননী, ন্যায়িকবিজ্ঞপ্তি"
judicial power,ন্যায়িকক্ষমতা
judicial service,ন্যায়িকসেৱা
judiciary,ন্যায়পালিকা
judicious,"সুবিবেচনাপূর্ণ, সুবিচাৰপূর্ণ"
junior administrative grade,"অৱৰপ্রশাসনিকগ্রেড, অধস্তনপ্রশাসনিকগ্রেড"
junior clerk,কনিষ্ঠকেৰাণী
junior in rank,পদমর্য্যাদাতকনিষ্ঠ
junior most,"সর্বকনিষ্ঠ, কনিষ্ঠতম"
junior scale,অৱৰবেতনমান
juniority,কনিষ্ঠতা
jurisdiction,"বিচাৰাধিকাৰ, ক্ষেত্রাধিকাৰ, এক্তিয়াৰ"
Just,"ন্যায়সঙ্গত, উচিত, সমীচীন"
Justice,ন্যায়2.ন্যায়াধীশ
Justiciable,বিচাৰসাধ্য
Justify,ঔচিত্যপ্রমাণকৰ2.কৈফিয়ৎদে3.নির্দোষিতাপ্রমাণকৰ
Key,"সঁচাৰকাঠী, চাবি2.ৰহস্যভেদ্রউপায়3.মূলব্যক্তিবাঘটনা4.সহায়কবস্তু(গ্রন্থআদি)"
keynote address,মূলভাষণ
kick back,"চালামী, ঘোচ, উৎকোচ"
kin,"সম্বন্ধীয়, আত্মীয়"
kith and kin,"মিত্র-কুটুম্ব, আত্মীয়-পৰিজন"
know-how,"কাৰিকৰীজ্ঞান, ব্যৱহাৰিকজ্ঞান"
knowledgeable,"বিজ্ঞ, জ্ঞানী"
labour,"শ্রম2.শ্রমিক, বনুৱা, মেহনতী3.প্রসৱবেদনা"
labour charges,মজুৰী
labour contract,শ্রমিকচুক্তি
labour court,শ্রমন্যায়ালয়
labour dispute,শ্রমবিবাদ
labour force,শ্রমিকশক্তি
labour laws,"শ্রমবিধি, শ্রমিকআইন"
labour room,প্রসূতিকক্ষ
labour union,"শ্রমিকসংঘ, শ্রমিকসন্থা"
labour welfare,শ্রমিককল্যাণ
land aquisition,"ভূমিঅধিগ্রহণ, ভূমিঅর্জন"
land mark,"সীমাচিহ্ন2.বৈশিষ্ট, নির্দেশক3.বিখ্যাতঘটনা, স্মৰণীয়ঘটনা"
land records,ভূমিলেখ্য
land reforms,ভূমিসংস্কাৰ
land revenue,"মাটিৰকৰ, ভূমিৰাজস্ব"
land settlement,"বন্দোৱস্ত, ভূমিব্যৱস্থাপনা"
land tenure,পট্টাৰম্যাদ
land use certificate,ভূমিউপযোগিতাপ্রমাণপত্র
Lapse,"সৰু-সুৰাভুল, ত্রুটি2.অধিকাৰ, চুক্তিবাস্বত্ববাতিল3.অতিবাহিতহোৱা"
large scale,"বিশাল, বিস্তীর্ণ, ব্যাপ্ত"
last date,"অন্তিমতিথি, শেষতাৰিখ"
last payment,অন্তিমধনদান
lasting,স্থায়ী
lastly,শেষত
late,"দেৰিকৰা, পলমহোৱা2.শেষঅংশৰ3.প্রাক্তন, ভূতপূর্ব4.মৃত, স্বর্গীয়"
late attendance statement,বিলম্ব-উপস্থিতিবিৱৰণ
late duty,অধিকসময়ৰডিউটি
late payment,বিলম্বিতধনদান
latest,নবীনতম
laudable,প্রশংসনীয়
launch,"নিক্ষিপ্তকৰ, ক্ষেপনকৰ2.আৰম্ভকৰ, সূত্রপাতকৰ"
law,"আইন, বিধি"
law and order,আইনআৰুশৃংখলা
law breaker,আইনভংগকাৰী
law court (=court of law),ন্যায়ালয়
lawsuit,"মোকর্দমা, মাম্‌লা"
lawyer,"উকীল, অধিবক্তা"
layoff,"কর্মচ্যুতি, কার্যবিৰতি"
layout,নক্সা2.বিন্যাস3.মুদ্রণসজ্জা
leader,"নেতা, নায়ক, অগ্রণী"
leadership quality,নেতৃত্বৰগুণ
leaflet,"পত্রিকা, এপতীয়াইস্তাহাৰ"
leak,"নিজৰিযা, উৰুখ2.ফাদিলকৰ, প্রকাশকৰ"
leap year,অধিবর্ষ
learning,"শিক্ষা, বিদ্যা, শিকণ, প্রশিক্ষণ"
lease,"লীজ, একচনীয়ামাটিৰপট্টা, ভেৰোণচুক্তি, ইজাৰ"
leased accommodation,পট্টাআবাস
leasehold,"সাময়িকপত্তন, লীজৰকাল"
leaseholder,সাময়িকপট্টাধাৰী
leasing,"ইজাৰতদিয়া, ভেৰোণলৈদিয়া, লীজতদিয়া"
leave,"অনুমতি, অনুজ্ঞা2.ছুটী3.প্রস্থান4.এৰিদিয়া"
leave encashment,"ছুটীৰনগদীকৰণ, ছুটীৰনগদধনদান"
leave salary,ছুটীৰবেতন
leave vacancy,ছুটীজনিতখালীপদ
leave with pay,"বেতনসহিতেছুটী, সবেতনছুটী"
leave without pay,"বেতনবিহীনছুটী, অবেতনছুটী"
lecture hall,বক্তৃতাকক্ষ
ledger,"খতিয়ন, খতিয়নবহী, হিচাপৰবহী"
ledger balance,বহীউদ্বৃত্ত
legacy,"ইচ্চাপত্রযোগেপোৱাধন-সম্পদ, ৰিক্‌থগ্রাহী, সাহোন, বাপতিসাহোন"
legal,"বৈধ, ন্যায়িক, আইনগতঃ"
legal practice,"ওকালত, বিধিব্যৱসায়"
legality,বৈধতা
legalization,বৈধীকৰণ
legally,"বৈধভাৱে, আইনৰদৃষ্টিৰে"
legatee,ইচ্ছাপত্রৰসম্পত্তিপাবলগীয়াব্যক্তি
legible,"পঠনসাধ্য, স্পষ্ট"
legislative,"বিধানমণ্ডলীয়, বিধানিক"
legislative business,বিধানিককার্য্য
legislature,বিধানমণ্ডল
legitimacy,"বৈধতা, ন্যায়সঙ্গতা, ন্যায্যতা"
legitimate,"বৈধ, ন্যায়সঙ্গত, ন্যায্য"
leisure,"আজৰি, অৱসৰ"
leniency,"কাৰুণ্য, উদাৰতা"
lessee,"পট্টাদাৰ, ইজাৰদান"
letter,"পত্র, চিঠি2.আখৰ, আক্ষৰিকঅর্থ3.সাহিত্যচর্চা"
letter pad,পত্রপেড
levy,"আৰোপণ, উদ্‌গ্রহণ"
liability,"দেনা2.দায়িত্ব, বাধ্যবাধকতা3.গলগ্রহ, বোজা4.সম্ভাৱনা"
liable,"দায়ী, জবাবদিহী2.বাজেয়াপ্তকৰিবপৰা, ক্রোককৰিবপৰা3.আইনতঃবাধ্য, বাধ্যবাধকতাথকা4.সম্ভাৱনাপূর্ণ, সম্ভাব্য"
liaison,ঘনিষ্ঠসম্পর্ক
library,"পুথিভঁৰাল, গ্রন্থাগাৰ"
licence,"কার্য্যানুমতি, কার্যসন্মতি2.লাইচেন্স, অনুমতিপত্র, অনুজ্ঞাপত্র3.নিয়ন্ত্রণহীনতা, স্বেচ্ছাচাৰিতা"
licence holder,"অনুজ্ঞাধাৰী, লাইচেন্সপ্রাপ্তলোক"
licensed,"অনুজ্ঞাপিত, লাইচেন্সপ্রাপ্ত"
licensee,"অনুজ্ঞাধাৰী, লাইচেন্সপ্রাপ্তলোক"
lien,"গ্রহণাধিকাৰ, পূর্বস্বত্ব2.সম্পত্তিবন্ধকদান3.পদঋণ, লীয়েন"
life certificate,জীৱনপ্রমাণপত্র
limit,"সীমা, হদ, পৰিসীমা2.নিয়ন্ত্রণ, বন্ধন, নিষেধ3.ম্যাদ4.যুক্তিবাতর্কৰপৰিসীমা5.সহ্যৰসীমা"
limitation,সীমা2.অৱধি
limited,"সীমিত, নিয়ন্ত্রিত2.পৰিমিত, স্বল্পপৰিমাণৰ3.সীমিতক্ষমতাসম্পন্ন4.সঙ্কীর্ণমনা"
limited concern,"পৰিসীমিতনিকায়, লিমিটেডকোম্পানী"
limited liability,পৰিসীমিতদেনা
limited tender,সীমিতনিবিদা
link,"শিকলিৰজোৰা2.সংযোগ, যোগাযোগ3.বন্ধনী, গ্রন্থি4.ধাৰাবাহিকতা"
link language,সংযোগীভাষা
linked,"সংলগ্ন, সম্বন্ধ"
linked file,"সংলগ্নফাইল, সম্বন্ধফাইল"
liquidated damages,"ধনেৰেনির্দ্ধাৰণকৰালোকচান, পৰিনির্দ্ধাৰিতলোকচান"
liquidation,পৰিনির্দ্ধাৰণ2.পৰিসমাপন(বিশেষকৈহত্যাআদি)
liquidator,পৰিনির্দ্ধাৰক2.পৰিসমাপক
list,"তালিকা, সূচী"
list of business,কার্য্যসূচী
literate,সাক্ষৰ
litigant,"গুচৰীয়া, বাদী-বিবাদী"
litigation,"মোকর্দমা, মাম্‌লা"
livery allowance,"উর্দিভাট্টা, খোৰাকি-পোছাকিভাট্টা"
livestock,পশুধন
living standard,"জীৱনধাৰণৰমান, জীৱননির্বাহৰমান"
living wage,"নির্বাহমজুৰী, নির্বাহবেতন"
loading,"ভাৰতোলা, বোজাইকৰা2.মুঠবোজাৰপৰিমাণ"
loan,"ঋণ, ধাৰ, কর্জ্জা, হাওলাৎ"
loaner,ঋণলওঁতা
loaning department,প্রদাতাবিভাগ
lobby,"ল’বি, উপকক্ষ, উপশালা2.বিশেষউদ্দেশ্যেৰেআইনপ্রণেতাবাচৰকাৰীকর্মচাৰীকপ্রভাৱিতকৰিবলৈচেষ্টাকৰা"
lobbying,বিশেষউদ্দেশ্যেৰেআইনপ্রণেতাবাচৰকাৰীকর্মচাৰীকপ্রভাৱিতকৰা
lock in period,পৰিবন্ধনঅৱধি
lock out,"দ্বাৰবন্ধ, তলাবন্ধ, অপ্রৱেশ"
locus standi,হস্তক্ষেপঅধিকাৰ
lodging,"থকাৰব্যৱস্থা, নিবাস"
log book,যানৰসঞ্চালনবহী
logic,"ন্যায়শাস্ত্র, যুক্তিবিদ্যা, যুক্তিশাস্ত্র2.যথার্থতা, যুক্তি"
logo,"প্রতীকচিহ্ন, ল’গ’"
long distance call,"দূৰস্থকল, দীর্ঘপ্রসাৰীকল"
long hand,"হাতেৰেলিখা, হস্তলেখন"
lot,"চিঠিখেলৰচিঠিবাগুটি2.ভাগ্য, কপাল, দশা3.ভূমিখণ্ড4.নিলামৰলট5.দল, শ্রেণী6.প্রচুৰপৰিমাণ"
low grade,"নিম্নশ্রেণী, অমার্জিত, অপৰিশীলিত"
lower,"নিম্নতৰ, অধস্তন, অধীন2.তলৰ, নামনিৰ"
lowest rate,"ন্যূনতমদৰ, ন্যূনতমহাৰ"
loyal,"অনুগত, বিশ্বস্ত"
lump sum,একত্রধনৰাশি
lumpsum grant,একত্রধনৰাশিৰঅনুদান
machinery,"যন্ত্র-পাতি2.তন্ত্র, ব্যৱস্থা"
machinery of government,শাসনব্যৱস্থা
magazine,"গুদাম, গোলা, ভঁৰাল2.খাৰঘৰ, বাৰুদখানা3.আলোচনী, পত্রিকা4.মেগাজিন(বন্দুকৰ), মজুতপ্রকোষ্ঠ"
mailing list,ডাক-সূচী
maintain,"তদাৰককৰ, ৰক্ষণাৱেক্ষণদে2.পালনকৰ3.অটুটৰাখ, অক্ষুণ্ণৰাখ4.ভৰণ-পোষণদে, পোহপালদে5.দৃঢ়ভাৱেক, নদিক"
maintenance,"তদাৰকী, ৰক্ষণাৱেক্ষণ2.ভৰণ-পোষণ, পোহপাল"
major,"বয়স্ক, সাবালক2.মুখ্য, প্রধান3.মেজৰ(পদ)"
major works,"ডাঙৰনির্মাণকার্য্য, গুৰুত্বপূর্ণসাহিত্যকীর্ত্তি"
majority,"সাবালকত্ব, পূর্ণবয়স্কতা2.সংখ্যাগৰিষ্ঠলোক, সংখ্যাগৰিষ্ঠতা"
make up,"1.ঘাটীপূৰা, নাটনিপূৰা, ক্ষতিপূৰণদে2.সংগ্রহকৰ3.সাজিক, মিছাইক4.মিতমাতকৰ5.প্রসাধনকৰ"
maladjustment,"কুসমাযোজনা, অসমঞ্জসতা"
maladministration,কুপ্রশাসন
malafide,"অসৎউদ্দেশ্যপূর্ণ, দুৰাভিসন্ধিমূলক"
malice,"অসদিচ্ছা, বিদ্বেষ, বৈৰিতা"
malpractice,"কুবৃত্তি2.স্বজনতোষণ3.ঘোচগ্রহণ4.ভ্রষ্টাচাৰ, দুর্নীতি"
maltreatment,দুর্ব্যৱহাৰ
man-to-man ranking,ব্যক্তিনির্ভৰশ্রেণীকৰণ
management,"পৰিচালনা, ব্যৱস্থাপন"
manager,"পৰিচালক, ব্যৱস্থাপক, মেনেজাৰ"
mandate,"আজ্ঞা, আজ্ঞাপত্র2.পৰৰাষ্ট্রকার্য্যাধিকাৰচনদ3.নির্বাচনীসমর্থন"
mandatory,"বাধ্যতামূলক, আজ্ঞাসংক্রান্ত2.পৰৰাষ্ট্রকার্য্যাধিকাৰচনদসম্বন্ধীয়"
mandays,শ্রমদিন
manhours,শ্রমঘণ্টা
manifesto,"জ্ঞাপনপত্র, ঘোষণাপত্র, ইস্তাহাৰ"
manipulation,"হস্তকৌশল2.কায়দা, চক্রান্ত3.হেৰফেৰকৰণ4.প্রকলন(কম্পিউটাৰ)"
manoeuvre,সৈন্যসঞ্চালন2.কৌশলপূর্ণপৰিচালনা3.ছলনা4.বাগি
manpower,"লোকবল, জনবল, শ্রমিকশক্তি"
manual,"হাতপুথি, ব্যৱস্থাপুথি2.ছাবিফলক3.হস্তসম্বন্ধীয়, দৈহিক, কায়িক"
manual labour,শাৰীৰিকশ্রম
manufacture,"প্রস্তুতকৰ, তৈয়াৰকৰ, উৎপাদনকৰ2.উদ্ভাৱনকৰ3.নির্মাণকৰ, সৃষ্টিকৰ"
manufacturer,"প্রস্তুতকাৰী, শিল্পপতি"
manuscript,"পাণ্ডুলিপি, হস্তলিপি"
map,"মানচিত্র, নক্সা, বিতংজৰীপ"
margin,"মার্জিন, দাঁতি, প্রান্ত2.সম্ভাব্যহেৰফেৰৰবাবেৰখাঅতিৰিক্তধন3.লাভালাভ"
marginal,"পার্শ্বলিখিত2.প্রান্তীয়, সীমাৱর্ত্তী3.অৱচেতন4.পার্যান্তিক, উপান্ত5.কিঞ্চিৎ"
marital status,বৈবাহিকস্থিতি
mark,চিহ্ন
marketing,বিপণন
marketing economy,বজাৰঅর্থব্যৱস্থা
marks obtained,প্রাপ্তঅঙ্ক
marksheet,অঙ্কপত্র
mass,"সমূহ, থূপ, গোট2.জনসাধাৰণ3.সমূহীয়া, সামূহিক4.সাধাৰণ, সস্তীয়া5.বিস্তীর্ণ, ব্যাপক"
mass communication,গণযোগাযোগ
mass consumption,"গণউপভোগ, ব্যাপকউপভোগ"
mass immunization,গণপ্রতিৰক্ষণ
mass media,গণমাধ্যম
mass production,"বজাৰীমাল, সামূহিকউৎপাদন"
master file,"মাষ্টাৰফাইল, (কম্পিউটাৰ)প্রধানসঞ্চিকা"
master of ceremonies,"ৰঙ্গাধ্যক্ষ, সূত্রধাৰ"
master plan,"মাষ্টাৰপ্লেন, মহাযোজনা"
matching grant,অনুৰূপঅনুদান
material,"সামগ্রী, দ্রব্য, উপকৰণ"
maternity,"প্রসূতি, মাতৃত্ব"
maternity leave,প্রসূতিছুটী
matriculate,মেট্রিকপাচ
matrimonial,বৈবাহিক
mature,"পৈণত, পূৰঠ, পৰিপক্ব2.পূর্ণতাপ্রাপ্ত3.অভিজ্ঞ4.ম্যাদপূর্ণ"
maturity date,ম্যাদপূর্ণতাৰতাৰিখ
maximum,"সর্বাধিক, সর্বোচ্চ, উর্দ্ধতম"
means,"সাধন, উপায়"
measure,জোখ2.জোখল
measurement,জোখ
measures,উপায়
mechanic,"মেকানিক, মিস্ত্রী, যন্ত্রচালক"
mechanical,যান্ত্রিক
mechanism,"প্রক্রিয়া, কার্য্যপ্রণালী"
media,"মাধ্যম, গণমাধ্যম"
mediate,মধ্যস্থতাকৰ
medical,চিকিৎসা
medical benefit,চিকিৎসাহিত
medical examination,স্বাস্থ্যপৰীক্ষা
medico-legal,চিকিৎসা-বিধিক
medium,মাধ্যম
meeting in camera,ৰুদ্ধদ্বাৰবৈঠক
member,সদস্য
memo,"মেমো, স্মাৰ, জ্ঞাপন"
memorial,"স্মৃতিচিহ্ন, স্মাৰক2.স্মাৰকপত্র, অভ্যাবেদন, আর্জি"
mental ability,মানসিকযোগ্যতা
menu,"ব্যঞ্জনতালিকা, মেনু"
merger,"চামিলকৰণ, এককৰণ"
merit,"গুণ, যোগ্যতা, মেধা"
merit list,যোগ্যতাক্রমসূচী
merit scholarship,"যোগ্যতাছাত্রবৃত্তি, মেধাছাত্রবৃত্তি"
meritorious,"প্রশংসনীয়, গুণসম্পন্ন, যোগ্য"
merits,গ্রহণযোগ্যতা
message,বার্ত্তা
method,"বিধি, প্রণালী, পদ্ধতি"
methodology,কার্য্যপ্রণালী
metropolitan area,"মহানগৰক্ষেত্র, মেট্রোপলিটানএলেকা"
middle income group,মধ্যআয়বর্গ
middleman,"মাজৰমানুহ, ফালেঙী"
midwifery,প্রসূতিতত্ত্ব
migrant,"পমুৱা, বহিঃপ্রব্রজক, পৰিভ্রমী"
mileage,1. মাইলৰহিচাপতদূৰত্ব2.মাইলৰহিচাপতভ্রমণবানচ3.লাভ
militancy,"যুদ্ধংদেহীমনোভাৱ, আপোচহীনতা2.উগ্রবাদ"
millennium,সহস্রাব্দ
miniature,"ক্ষুদ্রাকাৰ, সূক্ষ্ম"
minimum,"ন্যূনতম, সর্বনিম্ন"
mining,খনন
ministerial,মন্ত্রী/মন্ত্রীত্বসম্বন্ধীয়2.প্রশাসনিক3.ৰাষ্ট্রদূতসম্বন্ধীয়
ministry,"মন্ত্রীমণ্ডলী, মন্ত্রীদপ্তৰ, মন্ত্রালয়"
minor,"অপ্রাপ্তবয়স্ক, নাবালক2.গৌণ, তুচ্ছ3.সৰুসুৰা, গুৰুত্বহীন"
minor works,লঘুনির্মাণকার্য্য
minority,"1.অপ্রাপ্তবয়স্ককাল, নাবালককাল2.সংখ্যালঘিষ্ঠতা3.সংখ্যালঘুসম্প্রদায়"
minutes,"কার্য্যবিৱৰণী, টিপ্পনী"
misappropriation,"অপপ্রয়োগ, আত্মসাৎ"
misbehaviour,"অসদাচৰণ, দুর্ব্যৱহাৰ"
miscarriage of justice,ন্যায়ৰস্খলন
miscellaneous,"বিবিধ, সানমিহলি"
mischief,"ক্ষতি, অন্যায়, দুষ্কর্ম"
misclassification,ভুলশ্রেণীবিভাজন
misconduct,"কর্ত্তব্যচ্যুতি, অসদাচৰণ"
mislead,"বিপথেপৰিচালনাকৰ, বিভ্রান্তকৰ"
mismanagement,"কুব্যৱস্থাপনা, অপচালন, কুশাসন"
misrepresentation,মিথ্যাবাভুলধাৰণাৰসৃষ্টিকৰা
misstatement of facts,তথ্যৰভুলবিবৃতি
misunderstanding,ভুলবুজাবুজি2.মনোমালিন্য
misuse,"অপব্যৱহাৰ, অপপ্রয়োগ"
mixed economy,মিশ্রঅর্থব্যৱস্থা
mob,"বিশৃংখলজনতা, আইনভংকাৰী"
mobile,"ভ্রাম্যমাণ, গতিশীল"
mobility,গতিশীলতা
mode,"ধাৰা, ধৰণ, ৰীতি, প্রথা"
model,আদর্শ
moderator,মধ্যস্থতাকাৰী2.সভানিয়ন্ত্রক3.পৰীক্ষানিয়ন্ত্রক
modification,"পৰিমিতকৰণ, পৰিৱর্ত্তন, ৰূপান্তৰ"
modus operandi,কার্য্যসাধনপ্রণালী
monetary grant,আর্থিকঅনুদান
money,"ধন, মুদ্রা"
monitor,"ছাত্রনায়ক2.নীৰিক্ষক, নীৰিক্ষণকৰ"
monogamy,একগামিতা2.একবিবাহ
monogram,স্বনামাংকিতমোহৰ
monopoly,"একচেটিয়াকাৰবাৰ, এদনীয়াব্যৱসায়2.একাধিপত্য, একাধিকাৰ"
monotony,"1.বৈচিত্রহীনতা, গতানুগতিকতা2.একৰূপতা"
month to month,মাহেমাহে
monthly tour diary,মাহেকীয়াভ্রমণদিনলিপি
moral,1.নৈতিকতাবোধ2.নীতিশিক্ষা
moral turpitude,নৈতিকনীচতা
morale,"মনোবল, আত্মবিশ্বাস"
moratorium,"স্থগনাজ্ঞা2.অপেক্ষাকাল3.স্থগন, বন্ধকৰণ"
mortality,"মৰণশীলতা, মৃত্যুসংখ্যা"
mortgage,বন্ধক
most confidential,অতিগোপনীয়
mother tongue,মাতৃভাষা
motion,প্রস্তাৱ
motion study,গতিঅধ্যয়ন
motivation,অনুপ্রেৰণা
motive,"লক্ষ্য, উদ্দেশ্য, অভিপ্রায়"
motto,"নীতিবাক্য, নীতিলেখ, মূলমন্ত্র"
mouthpiece,মুখপাত্র
movable,অস্থাৱৰ
move,1.গমনকৰ2.হস্তান্ত্রকৰ3.বিচলিতহ4.উত্থাপনকৰ5.সক্রিয়কৰ6.আবেদনকৰ
movement,"1.সঞ্চালন2.আন্দোলন, আলোড়ন3.কার্য্যতৎপৰতা4.ধাৰা, শৈলী"
multifarious (duties),"বহুমুখী, বহুধা, বিচিত্র"
multipurpose,"বহুমুখী, বহুউদ্দেশ্যমুখী"
municipal tax,নগৰপালিকাকৰ
museum,সংগ্রহালয়
muster roll,"কর্মীতালিকা, কর্মীউপস্থিতিতালিকা"
mutation,1.উৎপৰিৱর্ত্তন2.নামজাৰী
mutatis mutandis,যথাযথপৰিৱর্ত্তনসহিতে
mutual understanding,পাৰস্পৰিকবুজাবুজি
name card,নামকার্ড
narcotic,নিচাযুক্ত(দ্রব্য)
narrative apporaisal,বিৱৰণাত্মকমূল্যাংকন
narrator,1.বর্ণনাকর্ত্তা2.বাচক
nation,ৰাষ্ট্র
national,ৰাষ্ট্রীয়
national language,ৰাষ্ট্রভাষা
national savings certificate,ৰাষ্ট্রীয়সঞ্চয়পত্র
nationalism,ৰাষ্ট্রীয়তাবাদ
nationality,ৰাষ্ট্রীয়তা
nationalization,ৰাষ্ট্রীয়কৰণ
native,"1.জন্মগত, প্রাকৃতিক, সহজ2.স্থানীয়, থলুৱা, খিলঞ্জীয়া3.দেশজ, ভূমিজ, দেশীয়4.সৰল, অকপট5.মৌলিক, নিভাঁজ"
natural,"1.প্রাকৃতিক, নৈসর্গিক2.স্বাভাৱিক"
naturalization,"দেশীয়কৰণ, নাগৰিককৰণ"
naval force,নৌসেনাবাহিনী
navigable,নৌপৰিবহণসাধ্য
navigation,"1.জাহাজ, বিমানবামহাকাশযানচালনা2.নৌচালনবিদ্যা3.দিশনিয়ন্ত্রণবিদ্যা4.নৌপৰিবহণ"
nayes,‘নহয়’বোলাপক্ষ
necessary action,প্রয়োজনীয়কার্য্যব্যৱস্থা
needful,1.কৰণীয়2.প্রয়োজনীয়
negative,"নেতিবাচক, ঋণাত্মক"
neglect,"উপেক্ষা, অৱজ্ঞা, অৱহেলা"
negligence,"অসাৱধনতা, অৱহেলা, অমনোযোগিতা"
negligible,নগণ্য
negotiability,1.আলোচনাসাধ্য2.হস্তান্তৰসাধ্য3.অতিক্রমসাধ্য
negotiable instrument,হস্তান্তৰসাধ্যদলিল
negotiation,"আলাপ-আলোচনা, আপোচ-মীমাংসা"
negotiator,আলোচনাকাৰী
nepotism,স্বজনতোষণ
net,"1.জাল2.সমুদায়, শেষ, চূড়ান্ত3.শুদ্ধ"
net investment,সমুদায়বিনিয়োগ
neutral,"1.নিৰপেক্ষ2.মাজৰ, মধ্যম3.ক্লীৱ4.প্রশম, অক্রিয়, বিযুক্ত"
news,বাতৰি
news reader,বাতৰিবাচক
newsletter,সংবাদপত্র
newspaper,বাতৰিকাকত
next of kin,নিকটতমআত্মীয়
night duty,নৈশডিউটি
nil report,শূন্যৰিপোর্ট
no admission,প্রৱেশনিষিদ্ধ
no demand certificate,বাকীনথকাৰপ্রমাণপত্র
no objection certificate,অনাপত্তিপ্রমাণপত্র
"no profit, no loss",নালাভনালোকচান
no smoking,ধূম্রপাননিষেধ
nomenclature,"নামকৰণ, নামৰতালিকা, নামমালা"
