Hindi,Telugu
निवेश अनुभाग,ఇన్పుట్ విభాగం
निवेश अवस्था,ఇన్పుట్ స్థితి
निवेश केंद्र,ఇన్పుట్ స్టేషన్
निवेश भंडारण,ఇన్పుట్ నిల్వ
निवेश शृंखला,ఇన్పుట్ స్ట్రీమ్
निवेश अनुभादक,ఇన్పుట్ అనువాదకుడు
निवेश एकक,ఇన్పుట్ యూనిట్
निवेश मान्यकरण,ఇన్పుట్ ధ్రువీకరణ
पूछताछ एंव संचालन संसाधन,"విచారణ మరియు
 లావాదేవీ
 ప్రాసెసింగ్"
पूछताछ संप्रतीक,విచారణ పాత్ర
पूछताछ प्रदर्श अंतक,"విచారణ ప్రదర్శన
 టెర్మినల్"
पूछताछ/उत्तर,విచారణ/ప్రత్యుత్తరం
पूछताछ/अनुक्रिया प्रचालन,"విచారణ/ప్రతిస్పందన
 ఆపరేషన్"
पूछताछ/अनुक्रिया संक्रिया पूछताछ केंद्र,విచారణ స్టేషన్
पूछताछ संचालन,విచారణ లావాదేవీ
पूछताछ एकक,విచారణ యూనిట్
चिरांकन,లిఖితం
निवेशन,చొప్పించండి
निवेशन चित्र संप्रतीक,"చొప్పించే చిత్రం
 పాత్ర"
निवेशन छाँट,చొప్పించడం క్రమబద్ధీకరణ
अभ्यंतर संयंत्र,మొక్క లోపల
अंतःस्पूलन क्षेत्र,స్పూల్ ప్రాంతంలో
अधिष्ठापन शुल्क,సంస్థాపనా ఛార్జ్
अधिष्ठापन संसाधन कियंत्रक,సంస్థాపనా ప్రాసెసింగ్ నియంత్రణ
अधिष्ठापन टेप क्रमांक,"సంస్థాపనా టేప్
 సంఖ్య"
अधिष्ठापन काल,సంస్థాపనా సమయం
शृंखलाबद्ध प्रक्रिया,ఇన్-స్ట్రీమ్ విధానం
अनुदेश,సూచన
अनुदेश पता,సూచన చిరునామా
अनुदेश पता पंजी,"సూచన చిరునామా
 రిజిస్టర్"
अनुदेश पता विराम,"సూచన చిరునామా
 ఆపు"
अनुदेश क्षेत्र,బోధనా ప్రాంతం
अनुदेश कूट,ఇన్స్ట్రక్షన్ కోడ్
अनुदेश अचर,"సూచన
 స్థిరాంకం"
अनुदेश नियंत्रण एकक,"సూచన నియంత్రణ
 యూనిట్"
अनुदेश गणित्र,ఇన్స్ట్రక్షన్ కౌంటర్
अनुदेश गड्डी अनुदेश कूटवाचक,ఇన్స్ట్రక్షన్ డెక్ ఇన్స్ట్రక్షన్ డీకోడర్
अनुदेश संरूप,ఇన్స్ట్రక్షన్ ఫార్మాట్
अनुदेश मिश्रण,ఇన్స్ట్రక్షన్ మిక్స్
अनुदेश आपरिवर्तक,"సూచన
 మాడిఫైయర్"
अनुदेश गड्डी,ఇన్స్ట్రక్షన్ ప్యాక్
अनुदेश पंजी,ఇన్స్ట్రక్షన్ రిజిస్టర్
अनुदेश परिसमुच्चय,"సూచన
 కచేరీలు"
अनुदेश समुच्चय,ఇన్స్ట్రక్షన్ సెట్
अनुदेश कथन,"సూచన
 ప్రకటన"
अनुदेश भंडारण,సూచనల నిల్వ
अनुदेश शब्द,సూచన పదం
पूर्णांक अचर,పూర్ణాంక స్థిరాంకం
पूर्णांक प्रोग्रामन,"పూర్ణ సంఖ్య
 ప్రోగ్రామింగ్"
पूर्णांक चर,పూర్ణాంక వేరియబుల్
पूर्णांकीय परिसीमा,సమగ్ర సరిహద్దు
एकीकृत अनुकूलित्र,ఇంటిగ్రేటెడ్ అడాప్టర్
एकीकृत संलग्निका,"ఇంటిగ్రేటెడ్
 అటాచ్మెంట్"
एकीकृत संचार अनुकूलित्र,"ఇంటిగ్రేటెడ్
 కమ్యూనికేషన్
 అడాప్టర్"
एकीकृत आँकड़ा संचय,"ఇంటిగ్రేటెడ్ డేటా
 బేస్"
एकीकृत आँकड़ा संसाधन,"ఇంటిగ్రేటెడ్ డేటా
 ప్రాసెసింగ్"
एकीकृत अंकीय जालक्रम,"ఇంటిగ్రేటెడ్ డిజిటల్
 నెట్‌వర్క్"
एकीकृत चक्रिका,ఇంటిగ్రేటెడ్ డిస్క్
एकीकृत यंत्रानुकारी,"ఇంటిగ్రేటెడ్
 ఎమ్యులేటర్"
एकीकृत संचिका अनुकूलित्र,"ఇంటిగ్రేటెడ్ ఫైల్
 అడాప్టర్"
एकीकृत मोडेम,ఇంటిగ్రేటెడ్ మోడెమ్
एकीकृत प्रक्रिया सामग्री,"ఇంటిగ్రేటెడ్
 సాఫ్ట్‌వేర్"
एकीकृत शब्द संसाधन,"ఇంటిగ్రేటెడ్ పదం
 ప్రాసెసింగ్"
एकीकृत शब्द संसाधित्र,"ఇంటిగ్రేటెడ్ పదం
 ప్రాసెసింగ్
 పరికరాలు"
समाकलनी मोटर,మోటారును సమగ్రపరచడం
अभिज्ञ नियंत्रक,"తెలివైన
 నియంత్రిక"
अभिज्ञ प्रतिलिपिक,ఇంటెలిజెంట్ కాపీయర్
अभिज्ञ अंतक,"తెలివైన
 టెర్మినల్"
बोधगम्य अप्रासंगिक सिग्नल,"అర్థమయ్యే క్రాస్
 చర్చ"
अन्योन्यक्रिया,పరస్పర చర్య
अन्योन्यक्रिया आलेखिकी,"పరస్పర
 గ్రాఫిక్స్"
अन्योन्यक्रिया कुंजीपटल मुद्रित्र,"పరస్పర
 కీబోర్డ్ ప్రింటర్"
अन्योन्यक्रिया नेमका,ఇంటరాక్టివ్ రొటీన్
अन्योन्यक्रिया तंत्र,ఇంటరాక్టివ్ సిస్టమ్
अंतराखंडक अंतराल,ఇంటర్‌బ్లాక్ గ్యాప్
अपरोधित अंतर,"అడ్డగించబడింది
 టెర్మినల్"
अपरोधक ट्रंक,ట్రంక్ అడ్డగించడం
अपरोधक प्रचालन,ఇంటర్‌సెప్ట్ ఆపరేటర్
अपरोध सेवा,సేవ సేవ
अन्योन्यसंचारी तंत्र,ఇంటర్‌కమ్యూనికేషన్ సిస్టమ్
अन्योन्यसंचारी सेवा,ఇంటర్‌కామ్ సేవ
परस्पर संबंधक एकक,"ఇంటర్‌కనెక్టింగ్
 యూనిట్"
अंतराचक्र,ఇంటర్ సైకిల్
अंतराकेंद्रीय प्रणाल,"ఇంటర్‌ఎక్స్‌చేంజ్
 ఛానెల్"
अंतरापृष्ठ,ఇంటర్ఫేస్
अंतरापृष्ठ संसाधित्र,"ఇంటర్ఫేస్
 ప్రాసెసర్"
अंतरापृष्ठ नेमका,ఇంటర్ఫేస్ రొటీన్
अंतरापृष्ठ विनिर्देश,"ఇంటర్ఫేస్
 స్పెసిఫికేషన్"
अंतर्लग्न,ఇంటర్‌ఫిక్స్
अंतरिक लेबल,ఇంటీరియర్ లేబుల్
अंतरभाषा,ఇంటర్లాంగేజ్
अंतःपत्रण,ఇంటర్‌లీవ్
अंतःपत्रित सारणी,ఇంటర్‌లీవ్డ్ శ్రేణి
अंतःपत्रित पादाक्षर,"ఇంటర్‌లీవ్డ్
 సబ్‌స్క్రిప్ట్"
अंतःपत्रण,ఇంటర్‌లీవింగ్
विष्कंभक,అంతరాయ
मध्यवर्ती चयक,"ఇంటర్మీడియట్
 బఫర్"
मध्यवर्ती वितरण फ्रेम,"ఇంటర్మీడియట్
 పంపిణీ
 ఫ్రేమ్"
मध्यवर्ती उपकरण,"ఇంటర్మీడియట్
 పరికరాలు"
मध्यवर्ती आसंधि,ఇంటర్మీడియట్ నోడ్
मध्यवर्ती पारक (शाटन),"ఇంటర్మీడియట్ పాస్
 (సార్టింగ్)"
मध्यवर्ती योगफल,ఇంటర్మీడియట్ మొత్తం
अंतरासंदेश विलंब,ఇంటర్మీడియట్ ఆలస్యం
अंतरायिक त्रुटि,అడపాదడపా లోపం
अन्तर्मिश्र टेप,ఇంటర్‌మిక్స్ టేప్
आंतरिक खंडक,అంతర్గత బ్లాక్
आंतरिक संरूप,అంతర్గత ఆకృతి
आंतरिक खंडन,"అంతర్గత
 ఫ్రాగ్మెంటేషన్"
आंतरिक अंतरायन,అంతర్గత అంతరాయం
आंतरिक लेबल,అంతర్గత లేబుల్
आंतरिक स्मृति,అంతర్గత జ్ఞాపక శక్తి
आंतरिक निदर्श,అంతర్గత మోడల్
आंतरिक नाम,అంతర్గత పేరు
आंतरिक प्रक्रिया,అంతర్గత విధానం
आंतरिक पठित्र,అంతర్గత రీడర్
आंतरिक विवरणिका,అంతర్గత స్కీమా
आंतरिक शाटन,అంతర్గత విధమైన
आंतरिक भंडारण,అంతర్గత నిల్వ
आंतरिक पाठ्यांश,అంతర్గత వచనం
आंतरिक कालद,అంతర్గత టైమర్
आंतरिक लिपिक,అంతర్గత రచయిత
आंतर्राष्ट्रीय बीजीय भाषा,"అంతర్జాతీయ
 బీజగణితం
 భాష"
अंतर्राष्ट्रीय सीधा डायलन,"అంతర్జాతీయ
 దిశ దూరం
 డయలింగ్"
अंतर्राष्ट्रीय मानकीकरण संघ (आइसो),"అంతర్జాతీయ
 సంస్థ కోసం
 ప్రామాణీకరణ
 (ISO)"
अंतर्राष्ट्रीय अभिलेख वाहक,"అంతర్జాతీయ
 రికార్డ్ క్యారియర్"
अंतराकेंद्र प्रणाल,ఇంటర్‌ఆఫీస్ ట్రంక్
अंतरास्थापन,ఇంటర్‌పోజిషన్
अंतरास्थापन ट्रंक,ఇంటర్‌పోజిషన్ ట్రంక్
निर्वचक,వ్యాఖ్యాత
निर्वचक कूट,ఇంటర్ప్రెటర్ కోడ్
निर्वचनात्मक कूट,ఇంటర్‌ప్రెటివ్ కోడ్
निर्वचनात्मक निष्पादन,"వ్యాఖ్యాన
 అమలు"
निर्वचनात्मक क्रमादेश,"వ్యాఖ్యాన
 ప్రోగ్రామ్"
निर्वचनात्मक नेमका,"వ్యాఖ్యాన
 దినచర్య"
निर्वचनात्मक अनुरेख क्रमादेश,"ఇంటర్‌ప్రెటివ్ ట్రేస్
 ప్రోగ్రామ్"
अंतरा अभिलेख अंतराल,ఇంటర్‌కార్డ్ గ్యాప్
अधिमुद्रण,ఇంటర్‌రోబాంగ్
प्रश्नसंचारण,ప్రశ్నించడం
प्रश्नन,విచారణ
प्रश्नित्र,ప్రశ్నించేది
अंतरायन निवेदन-संकेत,"ఇంటర్‌ఆర్ట్‌పుట్ అభ్యర్థన
 సిగ్నల్"
अंतराय चालित्र,అంతరాయం డ్రైవర్
अंतराय हस्तक,అంతరాయ హ్యాండ్లర్
अंतरायनीय नेमका,"అంతరాయం
 దినచర్య"
अंतरायनीय तंत्र,"అంతరాయం
వ్యవస్థ"
अंतरायन जालक्रम,"అంతరాయం
 నెట్‌వర్క్"
अंतरायन विलंबता,అంతరాయం జాప్యం
अंतरायन बंधता,అంతరాయం అనుసంధానం
अंतरामयन आच्छद,అంతరాయ ముసుగు
अंतरायन प्राथमिकता,అంతరాయం ప్రాధాన్యత
अंतरायन चित्तीयन,అంతరాయ స్టాకింగ్
अंतरायन प्रपाश,అంతరాయ ఉచ్చు
अंतरायन प्रवर्तक संकेत,"అంతరాయ ట్రిగ్గర్
 సిగ్నల్"
अंतरायन सदिश,అంతరాయం వెక్టర్
अंतरा उपग्रह कड़ी,ఇంటర్‌సాటెలైట్ లింక్
अंतरा अवस्था छिद्रण,"అంతరాష్ట్రం
 గుద్దడం"
अंतरा प्रतीक व्यतिकरण,"ఇంటర్‌సింబోల్
 జోక్యం"
अंतराल सेवा मान,"విరామ సేవ
 విలువ"
अंतराल कालद,విరామ టైమర్
अंतरा प्रचालन,ఇంటర్‌వర్కింగ్
घनिष्ठ संपर्क,సన్నిహిత
राज्यांतर्गत शुल्क,ఇంట్రాస్టేట్ టోల్
अतिक्रमण टोन,చొరబాటు స్వరం
अमान्य संप्रतीक,చెల్లని పాత్ర
अमान्य अपवर्जी संदर्भ,"చెల్లని ఎక్స్‌క్లూజివ్
 సూచన"
अमान्य कुंजी अवस्था,"చెల్లని కీ
 కండిషన్"
तालिका मुख्य संचिका,"ఇన్వెంటరీ మాస్టర్
 ఫైల్"
प्रतिलोमन,విలోమం
प्रतिलोमित संचिका,విలోమ ఫైల్
प्रतिलोमित्र,ఇన్వర్టర్
नियंत्रण सूची,ఆహ్వాన జాబితా
उत्क्रियण,ఆహ్వానం
उत्क्रिय करना,సహాయం కోరు
उत्क्रियित प्रक्रिया,ఇన్వోక్డ్ విధానం
उत्क्रियण खण्डक,ఇన్వోకింగ్ బ్లాక్
अंतरायन संकेत,అయాంటరెంట్ సిగ్నల్
अपुनःप्राप्य त्रुटि,"తిరిగి పొందలేనిది
 లోపం"
असंगति,అసంబద్ధత
अनुत्क्रमणीय चुंबकीय प्रक्रम,"కోలుకోలేని
 అయస్కాంత ప్రక్రియ"
विलग स्थान,వివిక్త స్థానం
आइसो आमाप,ISO పరిమాణం
आइसो मानक,ISO ప్రమాణం
मद अग्रेषण,అంశం అడ్వాన్స్
मदगणना,అంశం గణన
मद आमाप,అంశం పరిమాణం
पुनरावर्तन,మళ్ళి
पुनरावृत्ति,మరల
पुनरावृत्ति गुणक,పునరావృత కారకం
पुनरावृत्ति नेमका,పునరావృత దినచర్య
पुनरावर्ती कुरु समूह,పునరుక్తి డూ-గ్రూప్
पुनरावर्ती संक्रिया,పునరుక్తి ఆపరేషన్
आइवर्सन संकेतन,IVERSION సంజ్ఞామానం
आकंप,జిట్టర్
कार्य प्रचय,జాబ్ బ్యాచ్
कार्य संवर्ग,జాబ్ క్లాస్
"कार्य नियंत्रण, कार्य आख्यापन",ఉద్యోగ నియంత్రణ
कार्य आख्यापन भाषा,"ఉద్యోగ నియంత్రణ
 భాష"
"कार्य नियंत्रण कथन, कार्य आख्यापन कथन","ఉద్యోగ నియంత్రణ
 ప్రకటన"
कार्य परिभाषा,ఉద్యోగ నిర్వచనం
कार्य प्रवाह नियंत्रण,జాబ్-ఫ్లో కంట్రోల్
कार्य निवेश युक्ति,ఉద్యోగ ఇన్పుట్ పరికరం
कार्य निवेश संचिका,జాబ్ ఇన్పుట్ ఫైల్
कार्य निवेश धारा,ఉద్యోగ ఇన్పుట్ స్ట్రీమ్
कार्य क्रमादेश संग्रह,జాబ్ లైబ్రరీ
कार्य प्रबंध,ఉద్యోగ నిర్వహణ
कार्य नाम,ఉద్యోగ పేరు
कार्यान्मुख भाषा,"ఉద్యోగ-ఆధారిత
 భాష"
कार्यान्मुख अंतक,"ఉద్యోగ-ఆధారిత
 టెర్మినల్"
कार्य निर्गम युक्ति,ఉద్యోగ అవుట్పుట్ పరికరం
कार्य निर्गम संचिका,ఉద్యోగ అవుట్పుట్ ఫైల్
कार्य निर्गम धारा,ఉద్యోగ అవుట్పుట్ స్ట్రీమ్
कार्य संकुल क्षेत्र,జాబ్ ప్యాక్ ప్రాంతం
कार्य प्रथमिकता,ఉద్యోగ ప్రాధాన్యత
कार्य संसाधन,ఉద్యోగ ప్రాసెసింగ్
कार्य क्रमादेश विधा,జాబ్ ప్రోగ్రామ్ మోడ్
कार्य पुन: प्राप्ति नियंत्रण संचिका,"ఉద్యోగ-రికవరీ
 నియంత్రణ ఫైల్"
कार्य पृथक्कारी पृष्ठ,జాబ్ సెపరేటర్ పేజీ
कार्य कथन,ఉద్యోగ ప్రకటన
कार्य चरण,ఉద్యోగ దశ
कार्य चरण समारंभन,ఉద్యోగ దశ దీక్ష
कार्य चरण पुनः प्रारंभन,ఉద్యోగ దశ పున art ప్రారంభం
कार्य उत्तोलक,జాబ్ స్టిక్
कार्य धारा,ఉద్యోగ ప్రవాహం
कार्य सहाय क्रमादेश,ఉద్యోగ మద్దతు పని
सुस्थितिकरण,కామాంగు
सम्मिलन,చేరండి
संयुक्त अभिगम लागत,ఉమ్మడి ప్రాప్యత ఖర్చు
संयुक्त सुचना अंतर्वस्तु,ఉమ్మడి సమాచార కంటెంట్
जोसेफसन संथि,జోసెఫ్సన్ జంక్షన్
यथारूप,జర్నల్
यथारूपता,జర్నలింగ్
यथारूप प्रतिवेदन,జర్నల్ రిపోర్ట్
यथारूप टेप,జర్నల్ టేప్
जंबो समूह,జంబో గ్రూప్
झंपक,జంపర్
झंप वरणीय,జంపర్ ఎంచుకోదగినది
झंपक अनुदेश,జంప్ ఇన్స్ట్రక్షన్
संधिक,జంక్టర్
कबाड़,జంక్
औचित्य,సమర్థన
औचित्य परिसर,సమర్థన పరిధి
उचित उपांत,జస్టిఫైడ్ మార్జిన్
कारनाफ प्रतिचित्र,కర్నాగ్ మ్యాప్
कटकना वर्णमाला,కటక్నా
न्यूनन क्षमता,కెర్నింగ్
कुंजीपटल,కీబోర్డ్
कुंजीपटल अभिकलित्र,"కీబోర్డ్
 కంప్యూటర్"
कुंजीपटल प्रविष्टि,కీబోర్డ్ ఎంట్రీ
कुंजीपटल पूछताछ,కీబోర్డ్ విచారణ
कुंजीपटल तालाबंदी,కీబోర్డ్ లాకౌట్
कुंजीपटल अवछिद्रित्र,"కీబోర్డ్
 పెర్ఫొరేటర్"
कुंजीपटल छिद्रित्र,కీబోర్డ్ పంచ్
कुंजीपटल प्रेषण प्राप्ति,"కీబోర్డ్
 పంపండి/స్వీకరించండి"
कुंजी टक,కీ క్లిక్
कुंजी टक निस्यंदक,కీ-క్లిక్ ఫిల్టర్
कुंजी-परिचालित,కీ-నడిచే
कुंजीयित सीधा अभिगम,"కీడ్ డైరెక్ట్
 యాక్సెస్"
कुंजी-गुढ़लेखन कुंजी,కీ-గుప్తీకరించే కీ
कुंजी प्रविष्टि,కీ ఎంట్రీ
दुतान्वेषण,"కీ మడత =
 హాషింగ్"
कुंजीरव,కీయింగ్ చిర్ప్
कुंजीयन तरंग,కీయింగ్ వేవ్
कुंजी आवरण,కీ మత్
कुंजी पैड,కీ ప్యాడ్
मुख्य वाक्यांश,కీ దశ
कुंजी स्पंद,కీ పల్స్
कुंजी स्पंदन संकेत,కీ-పల్సింగ్ సిగ్నల్
कुंजी छिद्रित्र,కీ పంచ్
कुंजी शाटन,కీ సార్టింగ్
कुंजी आघात,కీ స్ట్రోక్
कुंजी आघात सत्यापन,"కీ-స్ట్రోక్
 ధృవీకరణ"
कुंजी टेप,కీ టేప్
कुंजी दूरभाष सेट,కీ టెలిఫోన్ సెట్
कुंजी दूरभाष-तंत्र,"కీ టెలిఫోన్
 వ్యవస్థ"
कुंजी से चक्रिका,కీ-టు-డిస్క్
कुंजी से नम्यिका,ఫ్లాపీకి కీ
कुंजी से टेप,టేప్ చేయడానికి కీ
कुंजी रूपांतरण,కీ ట్రాన్స్ఫర్మేషన్
प्रांसगिक मुख्य शब्द,"కీ పదం
సందర్భం"
मुख्य शब्द प्राचल,"కీ-పదం
 పరామితి"
किलोवॉड,కిలోబాడ్
किलोबाइट,కిలోబైట్
किलोमेगा,కిలోమెగా
किप्स,కిప్స్ (కిలోఇన్స్ట్రక్షన్స్-పెర్సెకండ్)
लेबल अचर,లేబుల్ స్థిరాంకం
लेबलित सार्व व्यंजक,సాధారణం అని లేబుల్ చేయబడింది
लेबनल,లేబులింగ్
लेबल सूची,లేబుల్ జాబితా
लेबल अभिलेख,లేబుల్ రికార్డ్
लेबल चर,లేబుల్ వేరియబుల్
अधिछिद्रित पत्रक,లేస్డ్ కార్డ్
थल-लाइन सुविधा,భూ-లైన్ సౌకర్యం
भाषा (कोबोल),భాష (కోబోల్)
भाषा परिवर्तित्र,"భాష
 కన్వర్టర్"
भाषा निर्वचक,"భాష
 వ్యాఖ్యాత"
भाषा संसाधक,"భాష
 ప్రాసెసర్"
भाषा कथन,"భాష
 ప్రకటన"
भाषा उपसमुच्चय,భాషా ఉపసమితి
भाषा अनुवाद लक्षण,"భాష
 అనువాదం
 లక్షణం"
भाषा अनुवादक,"భాష
 అనువాదకుడు"
विशाल एकीकरण,"పెద్ద ఎత్తున
 అనుసంధానం"
लेसर संचार,"లేజర్
 కమ్యూనికేషన్"
लेसर पायस भंडारण,"లేజర్ ఎమల్షన్
 నిల్వ"
लेसर प्रधार मुद्रित्र,లేజర్ జెట్ ప్రింటర్
सिटकनी,గొళ్ళెం
सिटकन,లాచింగ్
प्रसुप्ति (काल),జాప్యం (సమయం)
पाशर्व अतिरिक्तता जाँच,"పార్శ్వ పునరావృతం
 తనిఖీ"
पार्श्व उत्क्रमण,పార్శ్వ రివర్సల్
अग्रग,నాయకుడు
अग्रग अभिलेख,లీడర్ రికార్డ్
प्रधान नियंत्रण,ప్రముఖ నియంత్రణ
प्रधान नियर्णय,ప్రముఖ నిర్ణయం
अग्रग कोर,ప్రముఖ ముగింపు
अग्रग आलेखिकी,ప్రముఖ గ్రాఫిక్స్
अग्रग शून्य,ప్రముఖ సున్నా
प्लुति परीक्षण,లీప్‌ఫ్రాగ్ పరీక్ష
पट्टायित प्रणाल,లీజుకు తీసుకున్న ఛానెల్
पट्टायित परिपथ आँकड़ा-संचार सेवा,"లీజుకు ఇచ్చిన సర్క్యూట్
 డేటా-ట్రాన్స్మిషన్
 సేవ"
पट्टायित लाइन,లీజుకు తీసుకున్న పంక్తి
पट्टायन,లీజింగ్
अल्पतम उपयोजित स्मृति,"తక్కువ తరచుగా
 ఉపయోగించిన మెమరీ"
अध्यतन उपयोजित स्मृति,"కనీసం ఇటీవల ఉపయోగించబడింది
 మెమరీ"
अल्पतम सार्थक,తక్కువ ముఖ్యమైనది
अल्पतम सार्थक संप्रतीक,"తక్కువ ముఖ్యమైనది
 పాత్ర"
अल्पतम सार्थक अंक,"తక్కువ ముఖ్యమైనది
 అంకె"
वाम उपांत मांग पत्र,"ఎడమ చేతి మార్జిన్
 ఇండెంట్"
याम औचित्य,ఎడమ సమర్థన
पाद,కాలు
लंबाई,పొడవు
लंबाई विनिर्देश,"పొడవు
 స్పెసిఫికేషన్"
अक्षर,లేఖ
अक्षर कूट,లెటర్ కోడ్
अक्षर लोप,లేఖ అవుట్
अक्षर गुणता,అక్షర నాణ్యత
अक्षर विस्थापन,లెటర్ షిఫ్ట్
स्तर,స్థాయి
स्तर समायोजित्र,స్థాయి పరిహారం
स्तर सूचक,స్థాయి సూచిక
स्तर संख्या,స్థాయి సంఖ్య
अभिगम स्तर,ప్రాప్యత స్థాయి
पताभिगम स्तर,చిరునామా స్థాయి
संरचना बास्य चर,స్థాయి-వన్ వేరియబుల్
स्तर क्रम,స్థాయి క్రమం
स्तर अधिभार,స్థాయి ఓవర్లోడ్
स्तर स्रोत भाषा,"స్థాయి మూలం
 భాష"
स्तर अवस्थिति पंजी,"స్థాయి రాష్ట్రాలు
 రిజిస్టర్"
शब्दिम,లెక్సీమ్
शब्द कोश,నిఘంటువు
क्रमादेश संग्राहक,లైబ్రేరియన్
क्रमादेश संग्राहक क्रमादेश,లైబ్రేరియన్ ప్రోగ్రామ్
क्रमादेश संग्रह,గ్రంధాలయం
क्रमादेश संग्रह सूची,లైబ్రరీ డైరెక్టరీ
क्रमादेश संग्रह सुविधा,లైబ్రరీ సౌకర్యం
क्रमादेश संग्रह संचिका संपादक,లైబ్రరీ ఫైల్ ఎడిటర్
क्रमादेश संग्रह क्रमादेश,లైబ్రరీ ప్రోగ్రామ్
क्रमादेश संग्रह नेमका,లైబ్రరీ రొటీన్
क्रमादेश संग्रह उपनेमका,లైబ్రరీ సబ్‌ట్రౌటిన్
क्रमादेश संग्रह टेप,లైబ్రరీ టేప్
क्रमादेश संग्रह पथ,లైబ్రరీ ట్రాక్
लाइसेन्सप्राप्त प्रलेखन,"లైసెన్స్
 డాక్యుమెంటేషన్"
लाइसेन्सप्राप्त प्रकाशन,"లైసెన్స్
 ప్రచురణ"
प्रकाश बटन,లైట్ బటన్
प्रकाश सन्नाल,లైట్ కండ్యూట్
प्रकाश उत्सर्जक डायोड,"లైట్-ఎమిటింగ్
 డయోడ్"
प्रकाश उत्सर्जक डायोड प्रदर्श,"లైట్-ఎమిటింగ్
 డయోడ్ ప్రదర్శన"
प्रकाश पथक,లైట్ గైడ్
प्रकाश गन,లైట్ గన్
प्रकाश लेखनी,లైట్ పెన్
प्रकाश लेखनी अवधान,లైట్ పెన్ శ్రద్ధ
प्रकाश लेखनी संसूचन,లైట్ పెన్ డిటెక్షన్
प्रकाश लेखनी संसूचन,లైట్ పెన్ హిట్
प्रकाश लेखनी संसूचन,లైట్ పెన్ సమ్మె
प्रकाश लेखनी पथ रेखन,లైట్ పెన్ ట్రాకింగ్
प्रकाश स्थायित्व,కాంతి స్థిరత్వం
सीमा जाँच,పరిమితి తనిఖీ
सीमित दूरी अनुकूलित्र,"పరిమిత దూరం
 అడాప్టర్"
सीमक,పరిమితి
सीमक परिपथ,పరిమితి సర్క్యూట్
"लाइन, रेखा",లైన్
लाइन अनुकूलित्र,లైన్ అడాప్టర్
लाइन अनुकूलित्र एकक,లైన్ అడాప్టర్ యూనిట్
रैखिक परिबद्ध स्वचल प्ररूप,"సరళ సరిహద్దు
 ఆటోమాటా"
रैखिक संयोजित्र,లీనియర్ కాంబినర్
रैखिक विरूपण,సరళ వక్రీకరణ
रैखिक एकीकृत परिपथ,"లీనియర్ ఇంటిగ్రేటెడ్
 సర్క్యూట్"
रैखिकता,సరళత
रैखिक भाषा,సరళ భాష
रैखिक सूची,సరళ జాబితా
रैखिक इष्टतमीकरण,సరళ ఆప్టిమైజేషన్
रैखिक प्रोगामन,"సరళ
 ప్రోగ్రామింగ్"
रैखिक नियामक,లీనియర్ రెగ్యులేటర్
रैखिक निरूपण,"సరళ
 ప్రాతినిథ్యం"
रैखिक खोज,సరళ శోధన
रैखिक वरण,సరళ ఎంపిక
रैखिक एकक,సరళ యూనిట్
रेखा मुद्रित्र,"లైన్-ఎట్-ఎ-టైమ్
 ప్రింటర్ (= లైన్
 ప్రింటర్)"
रेखा संप्रतीक,పంక్తి అక్షరం
लाइन कूट,లైన్ కోడ్
लाइन सांद्रण,లైన్ ఏకాగ్రత
लाइन नियंत्रण,లైన్ నియంత్రణ
लाइन नियंत्रण खंडक,లైన్ కంట్రోల్ బ్లాక్
लाइन सदेशाचार,"లైన్ నియంత్రణ
 క్రమశిక్షణ (= లైన్
 ప్రోటోకాల్"
रेखा गणित्र,లైన్ కౌంటర్
मुद्रेय आँकड़ा समुच्चय,లైన్ డేటా సెట్
रेखा विलोपन प्रतीक,లైన్ తొలగించు చిహ్నం
रेखा विलोपन संप्रतीक,"లైన్ తొలగింపు
 పాత్ర"
लाइन सदेशाचार,"లైన్ క్రమశిక్షణ
 (= లైన్ ప్రోటోకాల్)"
रेखा चित्रण प्रदर्श,"లైన్ డ్రాయింగ్
 ప్రదర్శన"
लाइन चालित्र,లైన్ డ్రైవర్
रेखा संपादन,లైన్ ఎడిటింగ్
रेखांत समायोजन,"లైన్-ఎండ్
 సర్దుబాటు"
रेखांत नियंत्रण कुंजी,"లైన్-ఎండ్ నియంత్రణ
 కీ"
रेखांत क्षेत्र,లైన్-ఎండింగ్ జోన్
रेखांत क्षेत्र,లైన్-ఎండ్ జోన్
लाइन उपकरण,లైన్ పరికరాలు
रेखा भरण,లైన్ ఫీడ్
रेखा भरण संप्रतीक,లైన్ ఫీడ్ అక్షరం
लाइन निस्यंदक संतुलन,లైన్ ఫిల్టర్ బ్యాలెన్స్
लाइन अन्वेषी,లైన్ ఫైండర్
रेखा जनित्र,లైన్ జనరేటర్
लाइन समूह,లైన్ గ్రూప్
लाइन व्यतिकरण,లైన్ హిట్
लाइन प्रतिबाधा,లైన్ ఇంపెడెన్స్
रेखा सूचकांक,పంక్తి సూచిక
लाइन अंतरापृष्ठ आधार,లైన్ ఇంటర్ఫేస్ బేస్
रेखा कुंजी,లైన్ కీ
लाइन स्तर,లైన్ స్థాయి
लाइन शृंखलन स्पंदन,లైన్ లింక్ పల్సింగ్
लाइन भार,లైన్ లోడ్
लाइन पाश,లైన్ లూప్
लाइन पाश प्रतिरोध,"లైన్ లూప్
 ప్రతిఘటన"
रेखा अपपंजीयन,"లైన్
 తప్పు నమోదు"
