Marathi,Hindi
"कप्पा मेसन्स, के-मेसन्स","कापा मेसॉन, के-मेसॉन"
कॅथोड,कैथोड
घानायन,घनायन
के-बँड,के-बैंड
के-कॅप्चर,के-प्रग्रहण
k-रिसेप्टर,के-प्रग्राही
केल्विन अंदाजे,केल्विन सन्निकटन
एकजिनसीपणाचे एकक,समाकारिता की अष्ठि
केर सेल,केर सेल
"किल्ली, पडदा, किल्ली","कुंजी, पर्दा, की"
"की बोर्ड, पडदा बार","कुंजी पटल, पर्दा पट्टी"
सुरुवातीचा स्वर,आरम्भक स्वर
की नाडी,कुंजी स्पंद
मुख्य संज्ञा,मुख्य शब्द
प्रक्षेपण,प्रक्षेप
प्रतिकार,प्रतिधाव
किलो,किलो
किलोज्युल,किलोजूल
किलोपारसेक,किलोपारसेक
किलोटन बॉम्ब,किलोटन बम
किनेमॅटिक,शुद्धगतिकीय
पूर्णपणे गतिमान,शुद्धगतिकतः
"गतीशील, गतिमान","गतिज, गतिक"
गतिमानपणे,गतिकतः
फ्रॅक्चर,"विभंग, निकुंच"
klystron,क्लाइस्ट्रॉन
तीक्ष्ण धार,क्षुर धार
kruskal सीमा,क्रुशकल सीमा
थर्मोजेनिक,निम्नतापजनक
लेबल,लेबल
"चिन्हांकित, कोरलेले, लेबल केलेले","चिह्नित, अंकित, लेबल लगा हुआ"
प्रयोगशाळा,प्रयोगशाला
शिडी,लेडार
घड्याळाच्या उलट दिशेने,वामावर्तन
"घड्याळाच्या उलट दिशेने, डावी ध्रुवीयता","वामावर्त, वामध्रुवण घूर्णक"
पुढे आणि मागे,पश्चता और अग्रता
Lagrange प्रसारण,लग्रांज प्रसारण
Lagrangianism,लग्रांजीपन
कोकरू निर्मिती,लैम्ब सृति
फळी बोर्ड,"स्तरिका, पटल"
पृष्ठीय प्लेट,पृष्ठीय पटल
"पृष्ठभाग प्रवाह, पातळी प्रवाह","पटलीय प्रवाह, स्तरीय प्रवाह"
"प्लेटिंग, पॅनेल, लेव्हल, लेयर बाँड","पटलन, पटल, स्तर, परत बंध"
स्तरीकरण,"स्तरिकाकर, स्तरिकायन"
लॅमिना,"पटल, स्तरिका, स्तरिकायन, पटलन, स्तरण"
"दिवा, दिवा","दीप, लैम्प"
"काजल, दीप काजल","काजल, दीप कज्जल"
lande-interval नियम,लान्डे-अंतराल नियम
लांडे विभाजन घटक,लान्डे विपाटन गुणक
लँडिंग,अवतरण
"सूक्ष्म घर्षण, लॅमिनेशन, पोशाख","सूक्ष्म घर्षण, लैपन, लेहन"
larmore वारंवारता,लारमोर आवृत्ति
larmore precession,लारमोर पुरस्सरण
लेसर,लेसर
लेझरायझेशन,"लेसन, लेसरीकरण"
गुप्त,गुप्त
"पार्श्व, बाजूकडील, बाजूकडील","पार्श्व, पार्श्विक, पार्वीय"
"अक्षांश, अक्षांश","अक्षांश, लैटीट्यूड"
"जाळी, जाळी","जालक, लैटिस"
laue वर्ग,लाउए वर्ग
प्रक्षेपण,प्रमोचित्र
प्रक्षेपण,प्रमोचन
लाँच प्लॅटफॉर्म,प्रमोचन मंच
वस्तुमान गुणोत्तर कायदा,द्रव्य अनुपाती क्रिया-नियम
एकाधिक गुणोत्तर नियम,गुणित अनपात-नियम
"स्तर, स्तर","परत, स्तर"
एल-बँड,L- बैंड
"आघाडी, आघाडी, आघाडी, आघाडी, आघाडी","लेड, सीसा, लेड, अग्रता, अग्र होना"
पुढे,अग्रग
"चुना, गळती (Cr.), Risen Line, च्यवन","चूना, लीक करना (क्रि.), रिसन रेखा, च्यवन"
"चघळणे, गंजणे, गळणे","च्यवन, क्षरण, लीक"
"किमान, किमान, किमान","न्यूनतम, अल्पतम, लघुतम"
किमान गणना,अल्पतमांक
कुंडीची तार,लैचर-तार
Leduc प्रभाव,लेडुक प्रभाव
वैध ओम,वैध ओम
- इलेक्ट्रॉन,ळ्-इलेक्ट्रॉन
लांबीची मर्यादा,दैर्घ्य संकोच
वाढवणे,दीर्धीकरण
लेन्स,लेन्स
लेन्झचा कायदा,लेन्ज नियम
सपाट बोगदा,समतल सुरंग
क्षैतिज उड्डाण,क्षैतिज उड़आन
"समतल करणे, समतल करणे","तल-मापन, समतलन"
"क्षैतिज स्क्रू, लेव्हलिंग स्क्रू","क्षैतिजकारी पेंच, समतलन पेंच"
आत्मविश्वास पातळी,विश्वास्यता स्तर
महत्त्व पातळी,सार्थकता-स्तर
"क्षैतिज पृष्ठ, सपाट पृष्ठ, समतुल्य पृष्ठ","क्षैतिज पृष्ठ, समतल पृष्ठ, समविभव पृष्ठ"
"लीव्हर, लीव्हर","उत्तोलक, लीवर"
आभासी दोलन,आभासी दोलन
"लिडर, लेझर इन्फ्रारेड रडार","लिडार, लेसर अवरक्त रेडार"
"आयुष्य, वय","जीव, आयु"
"लिफ्ट, लिफ्ट","लिफ्ट, उत्थापक"
विमोचन क्षण,मोचन क्षण
"लहान, प्रकाश, मंद, लहान, लहान, 6 प्रकाश","लघु, हल्का, मंद, अल्प, लघुक, 6प्रकाश"
"समशीतोष्ण., प्रकाश","तापानुशीतन., प्रकाश करना"
वीज,तडित्
प्रकाश वर्ष प्रकाश वर्ष,"प्रकाश वर्ष, लाइट ईयर"
"एकसंध, एकसंध, एकसंध","सदृश, सजातीय, समदिश"
"मर्यादा, किरकोळ","सीमा, सीमान्त"
"मर्यादा, मर्यादा, टोक","सीमक, सीमांत, चरम"
वर्तमान मर्यादा,कांतिमान सीमा
"रेषा, रेषा, लंबवर्तुळाकार","रेखा, लाइन, दीर्घतन्तु"
"रेखीय, रेखीय, रेखीय","रेखीय, रैखिक, रेखाकार"
रेखीयकरण,रैखिकीकरण
"एकसंधता, रेखीयता","एकघातता, रैखिकता"
"एकेरी, रेखीय","एकघातत:, रैखिकतः"
ओळ संभाव्य,लाइन विभव-पात
रेखीय अपूर्णता,रैखिक अपूर्णता
स्ट्रोक लाइन,आघात-रेखा
रेखीय स्पेक्ट्रम,रेखिल स्पेक्ट्रम
लाइन व्होल्टेज,लाइन वोल्टता
"बंध, तार, साखळी, ग्रंथी, दुवा","बंध, कड़ई, शृंखला, ग्रंथिका, लिंक"
द्रवीकरण,"द्रवण, द्रावण"
द्रवरूप,द्रवित
द्रवरूप,द्रावित्र
द्रवपदार्थ,द्रव
द्रव साठा,"द्रव-मज्जपात्र, द्रव-कुंड, द्रव-अवगाह"
लिक्विड क्रिस्टल,द्रव क्रिस्टल
तरलता,द्रवता
द्रव-चालित रॉकेट,द्रव-नोदित रोकेट
lisaju आकडेवारी,लिसाजू की आकृतियाँ
"यादी, यादी","लिस्ट, सूची"
"सूची, सूची","सूचीकरण, लिस्टिंग"
कचरा,लिटर
थेट कार्यक्रम,जीवंत कार्यक्रम
इलेक्ट्रिक वायर,विद्युन्मय तार
"भार, भार, भार, भार, भार","उभारण, बोझ, उद्भार, भार, लोड"
चुंबक दगड,चुंबक-पत्थर
"स्थानिक, स्थानिक","स्थानगत, स्थानीयित"
स्थानिक मॅक्सवेल,स्थानीय मैक्सवेली
"स्थान, स्थान, स्थान, स्थान, स्थान","स्थान, अवस्थिति, स्थान निर्धारण, स्थिति निर्धारण, अवस्थापन"
संलग्न दोष,अभिबद्ध प्रभ्रंश
"तलाक, माल","तालकन, अभिबंधन"
"locus, locus","बिन्दुपथ, रेखापथ"
चुंबक दगड,चुंबक-पत्थर
लॉगरिदमिक,लघुगणकीय
तर्कशास्त्र,तर्क
वाजवी,तर्कसंगत
"लॉजिस्टिक्स, ऑपरेशन्स सायन्स","संभार तंत्र, सप्रचालन विज्ञान"
लंडन वेंडरवाल आकर्षणे,लंदन वान्डरवाल्स आकर्षण
रिमोट ट्रान्समिशन,सुदुर संचारण
"रेखांश, रेखांश","रेखांश, देशान्तर"
रेविनेचचे रेखांश,रविनीच का रेखांश
"रेखांशाचा, रेखांशाचा","देशांतरीय, अनुदैर्घ्य"
लांब स्वर,दीर्घ स्वर
"loop, loop, loop (ed.), loop (v.), prasand","पाश, लूप, फंदा (सं.), पाशन (क्रि.), प्रस्पंद"
सैलपणे बांधलेले,शिथिल बद्ध
"विरळ पॅक, पॅक","विरल संकुलित, कुसंकुलित"
lorents fittsgerald आकुंचन,लोरेन्ट्स फिट्सजेरल्ड संकुचन
तोटा मुक्त ओळ,हास रहित लाइन
सडलेले डायलेक्ट्रिक,क्षययुक्त डाइलेक्ट्रिक
शक्ती,प्रबलता
"कमी दाबाचे क्षेत्र, नैराश्य","अल्प दाब क्षेत्र, अवदाव"
"तिरस्कार, कमी","अवनमन, निम्नन"
"सर्वात कमी, सर्वात लहान","निम्नतम, लघुतम"
निकृष्ट व्हॅक्यूम,हीन निर्वात
प्रकाशमानता,ज्योतिर्मयता
संदीप्ती,संदीप्ति
तेजस्वी,संदीप्तिशील
ज्योत.,ज्योति
"दीप, प्रदीपी, ज्योती-","दीप्त, प्रदीपी, ज्योति-"
चंद्र दिवस,चांद्र-दिन
चंद्रग्रहण,चंद्र-ग्रहण
चंद्र उपग्रह,चंद्र उपग्रह
चंद्र टप्प्यात बदल,चंद्रकला परिवर्तन
लक्स,लक्स
लिमन मालिका,लाइमैन श्रेणी
स्थूल,स्थूल
स्थूल,स्थूल
"मॅजिक लँटर्न, सचित्र कंदील","मैजिक लालटेन, चित्रप्रक्षेपी लालटेन"
"माया क्रमांक, जादूचा क्रमांक, स्थायी क्रमांक","माया संख्या, मैजिक संख्या, स्थायित्व संख्या"
चुंबकीयदृष्ट्या,चुंबकीयतः
चुंबकीय,चुंबकीय
चुंबकीय प्रतिरोधक,चुंबकीय संरोधिका
चुंबकीकरण,चुंबकनशील
चुंबकीकरण,चुंबकन
चुंबकत्व,चुंबकत्व
चुंबक थर्मल प्रभाव,चुंबक ऊष्मीय प्रभाव
चुंबक हायड्रोडायनामिक्स,चुंबक द्रवगतिकी
चुंबक हायड्रोस्टॅटिक्स,चुंबक द्रवस्थैतिकी
मॅग्नेटोमीटर,चुंबकत्वमापी
मॅग्नेटन,मैग्नेटॉन
चुंबक मंडळ,चुंबक मंडल
स्थिर चुंबकत्व,स्थिर चुंबकिकी
मॅग्नेट्रॉन रेक्टिफायर,मेग्नेट्रॉन दिष्टकारी
मोठे केलेली प्रतिमा,आवर्धित प्रतिबिम्ब
भिंग,आवर्धक
"मोठे करणे, मोठे करणे","आवर्धन करना, आवर्धित करना"
"भिंग, मोठेपणा-","आवर्धक, आवर्धन-"
आवर्धक लेन्स,आवर्धक लेन्स
"विशालता, विशालता","परिमाण, कांतिमान"
मॅग्नॉन,मैगनॉन
मुख्य बँड,मुख्य बैंड
"मुख्य रस्ता, मुख्य मार्ग","प्रमुख मार्ग, मुख्य लाइन"
"मुख्य तार, मुख्य नळ","मुख्य तार, मुख्य नल"
"देखभाल, पोषण, देखभाल","अनुरक्षण, पोषण, संधारण"
mayorana अर्क,मायोराना निष्पत्ति
प्रमुख अक्ष,दीर्घ अक्ष
मुख्य दोष,मुख्य दोष
बहुविध,बहुसंख्यक
मास्टर टोन,गुरु टोन
संपर्क आणि खंडित,संपर्क और विच्छेद
लवचिकता,"आघातवर्ध्यता, आघात वर्धनीयता"
कौशल्ये,कौशल
मॅन्युअल हाताळणी,"हस्त कौशल, हेरफेर"
ऑपरेटर,परिचालक
मानवयुक्त फुगा,मानवयुक्त बैलून
"बॅरोमीटर, मॅनोमीटर","दाबांतरमापी, मैनोमीटर"
पॉलीहेड्रॉन,बहुपिंडी
माणूस माणूस वर्षे,मानवश्रम वर्ष
"सीमांत, सीमांत, सीमांत","सीमांत, उपांतस्थ, उपांत"
सीमांत एन्ट्रॉपी,उपांत ऐन्ट्रॉपी
सुरक्षित परिसर,निरापद परिसर
नाविक Dsuichak,नाविक द्सूइचक
"गुण, गुण, गुण","अंक, चिह्न, निशान"
मार्कर,चिह्नक
maser,मेसर
"मुखवटा, मुखवटा, आवरण","मास्क, मुखौटा, आवरण, अवगुंठ"
झाकणे,"गोपन, प्रच्छादन"
"वस्तुमान, वस्तुमान, मोठ्या प्रमाणात","द्रव्यमान, संहति, स्थूल"
वस्तुमान विपुलता,द्रव्यमान बाहुल्य
वस्तुमान गुणोत्तर प्रतिक्रिया,द्रव्यमान अनुपाती अभिक्रिया
"वस्तुमान एकाग्रता, वस्तुमान एकाग्रता, वस्तुमान एकाग्रता, वस्तुमान विपुलता","संहति सांद्रण, संहति बाहुल्य, द्रव्यमान सांद्रण, द्रव्यमान बाहुल्य"
वस्तुमान नुकसान,द्रव्यमान क्षति
मास्टर न्यूक्लियस,गुरु नाभिक
वस्तुमान गती,संहति गति
वस्तुमान प्रतिरोधकता,द्रव्यमानी प्रतिरोधकता
"मास्टर प्लेट, मास्टर प्लेट","प्रधान प्लेट, मास्टर प्लेट"
जुळणे,सुमेल
जुळले,सुमेलित
जुळणारे,सुमेलन
"मॅट्रिक्स, मॅट्रिक्स, मॅट्रिक्स, मॅट्रिक्स","आव्यूह, मैट्रिक्स, आधात्री, मैट्रिक्स"
"पदार्थ, पदार्थ","द्रव्य, पदार्थ"
कमाल,उच्चिष्ठ
"सर्वोच्च, सर्वोच्च, सर्वोच्च, सर्वोच्च, सर्वोच्च","महत्तम, अधिकतम, उच्चतम, भूयिष्ठ, उच्चिष्ठ"
जास्तीत जास्त परवानगी,अधिकतम अनुज्ञेय
मॅक्सवेल-वोल्ट्समन वितरण कायदा,मैक्सवेल-वोल्ट्समान बंटन नियम
मॅक्सवेल वितरण,मैक्सवेली वितरण
"मॅक्लिओड गेज, मॅक्लिओड गेज","मैकलियोड गेज, मैकलियोड प्रमापी"
अर्थ,माध्य
"म्हणजे मुक्त मार्ग, म्हणजे मुक्त मार्ग","औसत मुक्त पथ, माध्य मुक्त पथ"
सरासरी वय मध्यम वय,"माध्य आयु, औसत आयु"
म्हणजे आयुष्यभर,माध्य जीवनकाल
बेड मोजा,"माप, संस्तर"
"मोजणे, मोजणे, मोजणे","नाप, माप, मापन"
"शक्ती, यांत्रिक","बलकृत, यांत्रिक"
यांत्रिक फायदा,यांत्रिक लाभ
"बल विज्ञान, यांत्रिकी, यांत्रिकी","बलविज्ञान, यंत्रविज्ञान, यांत्रिकी"
यांत्रिकीकरण,यंत्रीकरण
"यंत्रणा, यांत्रिकी","क्रियाविधि, यांत्रिकत्व"
"मध्यक, मध्य, मध्य, मध्य","मध्य, मध्यस्थ, माध्यिका, मीडियन"
"स्थूल, गुरु, महा, स्पष्ट, नियुत (दशलक्षा)","स्थूल, गुरु, महा, स्पष्ट, नियुत (दशलक्ष)"
मेगाक्युरी,मेगाक्यूरी
मॅगोम,मैगोम
मॉसनर प्रभाव,माउस्नर प्रभाव
एम-इलेक्ट्रॉन,M-इलेक्ट्रॉन
"स्वर, ताल","स्वरानुक्रम, लय"
"वितळणे (adj.), वितळणे, वितळणे (ver.)","गलित (सं.), पिघलना, गलना (क्रि.)"
"वितळणे, वितळणे","गलन, पिघलना"
द्रवणांक,गलनांक
"मेमरी, मेमरी सिस्टम","स्मृति, स्मृति तंत्र"
"meniscus, meniscus","नवचन्द्रक, मनिस्कस"
"pariya, murial","पारीय, मयुरियल"
"mercury-barometer, mercury-barometer","पारद-वाययुदाबमापी, पारद-बैरोमीटर"
"पारडिक, मयुरनिक","पारदिक, मयूंरिक"
मेरिडियन,"याम्योत्तर, ध्रुववृत्त"
गुणांक,गुणतांक
गवंडी,मेसॉन
"मासोनी पोल, युकावा पोल","मेसॉनी विभवकूप, युकावा विभवकूप"
संदेश,संदेश
"धातू, मूलभूत पदार्थ","धातु, मौलिक द्रव्य"
"धातूकाम, धातूचे चित्रण","धातुवर्णना, धातु चित्रण"
मेटाफिजिक्स,तत्वमीमांसा
काटकसरी,मितस्थायी
उल्का,उल्कापिंड
उल्का,उल्का
हवामानशास्त्रीय,मौसमविज्ञान सम्बन्धी
हवामानशास्त्रज्ञ,मौसमविज्ञ
"मीटर पूल, मीटर पूल","मीटर-सेतु, मीटर ब्रिज"
"अंतर, मीटर","दूरीक, मीटरी"
मिशेलसन इंटरफेरोमीटर,माइकेलसन का व्यतिकरणमापी
microampere,माइक्रोऐम्पीयर
सूक्ष्म विश्लेषण,सूक्ष्म विश्लेषण
मायक्रो-कॅनोनिकल संच,सूक्ष्म-विहित समुच्चय
मायक्रो कॅनॉनिकल समुदाय,सूक्ष्मविहित समुदाय
सूक्ष्म सर्किट,सूक्ष्म परिपथ
मायक्रो फिशर,सूक्ष्म विदर
मायक्रॉन,माइक्रॉन
मायक्रोफोन,माइक्रोफोन
"मायक्रोफोटोग्राफ, मायक्रोस्कोप फोटो","सूक्ष्मफ़ओटोग्राफ, सूक्ष्मदर्शीफ़ओटो"
सूक्ष्म भौतिकशास्त्र,सूक्ष्मभौतिकी
"सूक्ष्मदर्शक, सूक्ष्मदर्शक","सूक्ष्मदर्शी, माइक्रोस्कोप"
"सूक्ष्मदर्शक, सूक्ष्मदर्शक, सूक्ष्मदर्शक","सूक्ष्म, सूक्ष्मदर्शीय, सूक्ष्मदर्शनी"
छान बाब,अतिसूक्ष्म अपद्रव्य
सूक्ष्मदर्शक,सूक्ष्मदर्शिकी
"मायक्रोस्टेट, मायक्रोस्टेट","सूक्ष्म अवस्था, माइक्रोस्टेट"
मायक्रोटॉर,माइक्रोटॉर
सूक्ष्म लहर,सूक्ष्म तरंग
मेरिडियन,मध्याह्न
मधला,मध्य
येणारे आयन,अभिगामी आयन
मैल,मील
"आकाश गंगा, मिल्खा मेखला","आकाश गंगा, दुग्धमेखला"
मिलर निर्देशांक,मिलर सूचकांक
खनिजे,खनिज
शॉर्ट सर्किट,लघु परिपथ
लहान करणे,लघुरूपण
किमान मार्ग,अल्पिष्ठ पथ
"सर्वात कमी, सर्वात कमी, सर्वात कमी, सर्वात कमी","न्यूनतम, अल्पतम, निम्नतम, निम्निष्ठ"
सर्वात कमी आयनीकरण,निम्नतम आयनन
अल्पसंख्याक वाहक,अल्पांश वाहक
अल्पसंख्याक उत्सर्जित करणारे,अल्पसंख्यक उत्सर्जक
लहान टोन,लघु टोन
"कला, मिनिट, मिनिट","कला, मिनट, मिनट"
मारिचिका,मरीचिका
"आरसा, मुकूर","दर्पण, मुकुर"
"प्रतिप न्यूक्लियस, प्रतिप न्यूक्लियस","प्रतीप नाभिक, प्रतीप न्यूक्लियस"
मिसळण्याची क्षमता,मिश्रणीयता
न जुळलेल्या ओळी,कुमेलित लाइनें
कुमेलोन,कुमेलन
"ओरिएंटियरिंग, टेली ओरिएंटेशन","कुदिग्विन्यास, दूरभिविन्यास"
"क्षेपणास्त्रे, क्षेपणास्त्रे","प्रेक्षेपणास्त्र, मिसाइल"
अनुपस्थित इलेक्ट्रॉन,"अनुपस्थित, इलेक्ट्रॉन"
गहाळ ओळी,लुप्त रेखाएँ
असभ्यता,"अपस्वरता, अपस्वरण"
"मिक्सर, मिक्सर, मिक्सर (व्यक्ती)","मिश्रित, मिश्रण यंत्र, मिश्रक (व्यक्ति)"
एमके. s पद्धत,एम. के. एस. पद्धति
"हलवणे, हलवणे, हलवणे","गतिशील, चलिष्णु, चल"
पोर्टेबल अँटेना,सुवाह्य ऐन्टेना
गतिशीलता,गतिशीलता
"पद्धत, पद्धत, प्रणाली, मोड, पॉलिमर, मोड, स्टेज, 8. मोड","विधि, रीति, प्रणाली, विधा, बहुलक, मोड, अवस्था, 8.मोड"
विमानमंडन,विमंदन
नियंत्रक,विमंदक
चमकणारी जाळी,मंथरक जालक
"बदल, रूपांतर, परिवर्तन","आपरिवर्तन, रूपांतरण, रूपांतर"
रूपांतरित घातांकीय वक्र,आपरिवर्तित चरघातांकी वक्र
"कनवर्टर, कनवर्टर, कॅलिब्रेटर","आपरिवर्तक, रूपांतरक, अंशान्तरक"
रूपांतरित करा,रूपांतर करना
मॉड्यूलर सर्किट,माड्यूली परिपथ
"संगीत, मोड्युलेटेड","मूर्छनायुक्त (music), माडुलित"
"संगीत, मॉड्युलेशन","मूर्छना (music), माडुलन"
मॉड्युलेटर,माडुलक
"मॉड्यूल, मॉड्यूलर","मॉड्यूल, प्रतिरूपक"
"मापांक, मापांक","मापांक, माड्यूलस"
झुंड प्रभाव,म्वार प्रभाव
ओलसर,नमी
"gram molecular, molar, mole","ग्राम अणुक, मोलर, मोलीय"
"ग्राम आण्विकता, molarity","ग्राम अणुकता, मोलरता"
"ग्राम रेणू, तीळ","ग्राम अणु, मोल"
आण्विक रेणू,"आणिवक, अणु"
रेणू,अणु
क्षण,आघूर्ण
क्षण हात,आघूर्ण भुजा
क्षणिक,क्षणिक
आवेग,संवेग
मोनोअॅटॉमिक,एकपरमाण्विक
"मॉनिटर, मॉनिटर, डायनॅमिक विश्लेषक","मॉनीटर, मॉनीटर करना, गतिक विश्लेषक"
देखरेख,मानीटरन
मोनोक्रोमॅटिक,एकवर्णी
"monochromator, monochromator","मोनोक्रोमेटर, एकवर्णित्र"
मोनोक्रोमॅटिक,एकवर्णी
नीरसपणा,एकनताक्ष
मोनोक्युलर मायक्रोस्कोप,एकनेत्री सूक्ष्मदर्शी
सामोरजी,समोर्जी
वेगवान,समवेगी
"एकजिनसीपणा, एकसंधता","एकरूपता, एकैक समाकारिता"
monopolar,एकध्रुव
मोनोक्युलर,एकदिष्ट
मोर्स की,मोर्स कुंजी
मोज़ेक-क्रिस्टल,मोज़एक-क्रिस्टल
"MOSFETs, मेटल ऑक्साइड सेमीकंडक्टर","मोस्फेट, धातु आक्साइड अर्धचालक"
बहुधा,प्रायिकतम
आई क्रिस्टल,मातृ क्रिस्टल
आकृतिबंध सूत्र,मोटिफ़ सूत्र
अंतर रूपांतरण गती,"अनुदूरीक रूपांतरण, गति"
चित्रपट,चल चित्र
प्रेरक शक्ती,अभिप्रेरक बल
मोटर,"प्रेरक, मोटर"
"माउंट, माउंट, धारक, आरोपकर्ता, टेकडी","आरोपण, आरो, धारक, आरोप्य, पहाड़ई"
"तोंड, तोंड","मुख, मुँह"
प्रमुख स्पीकर,"मुखिका, प्रवक्ता"
एसपी संपर्ककर्ता,सपी संपर्कक
एसपी संपर्ककर्ता,सपी संपर्कक
जंगम कप्पी,चल घिरनी
चित्रपट,चलचित्र
चित्रपट कॅमेरा,चलचित्र-कैमरा
मोबाईल,गतिमान
एकाधिक छिद्र उपकरण,बहुछिद्री युक्ति
बहुघटक,बहुघटक
अनेक केबल्स,बहुतारी केबल
मल्टीमीटर,बहुलमापी
polymath अमूर्तता,बहुगणित अवशोषण
"एकाधिक संपर्क, एकाधिक संपर्क","बहुसंस्पर्श, बहुसंपर्क"
एकाधिक अनुनाद,बहुलित प्रतिध्वनि
मल्टी ionized,बहु आयनित
मल्टीटास्किंग ऑपरेशन,बहुकार्य प्रचालन
एकाधिक प्रतिक्रिया,बहुगुण अभिक्रिया
एकाधिक प्रतिबिंब,बहुलित परावर्तन
गुणाकार,गुणन
प्रचारात्मक प्रभाव,संवर्धनी संघट्ट
गुणाकार प्रभाव,गुणनात्मक प्रभाव
गुणक,गुणक
अनेकत्व,बहुकता
गुणक,गुणक
"गुणाकार, गुणाकार","गुणा करना, संवर्धन"
"मल्टीस्टेज रॉकेट, मल्टीस्टेज रॉकेट","बहुक्रम राकेट, बहुचरणी राकेट"
"mu-meson, μ-meson","म्यू-मेसॉन, ”, μ -मेसॉन"
"muon, mumason","म्यूऑन, म्यूमेसॉन"
muoni,म्यूऑनी
संगीत,संगीत
"संगीत, संगीत","संगीत, संगीतिक"
स्वारा हरभरा,स्वर ग्राम
"परस्पर, परस्पर","पारस्परिक, अन्योन्य"
"दूरदृष्टी, मायोपिया","निकटदृष्टिता, मायोपिया"
"नखे, नखे","नख, कील"
आणि पूरक,तथा पूरक
नॅनो,नैनो
"नैसर्गिक, नैसर्गिक","स्वाभाविक, प्राकृतिक"
नॉटिकल मैल,समुद्री मील
"ऑपरेशन्स, नेव्हिगेशन","संचालन, नौसंचालन"
नेव्हिगेटर,नौसंचालक
जवळचे,निकटतम
नेबुला,नीहारिका
सुई यादी,"सुई, सूची"
"नकारात्मक, नकारात्मक, नकारात्मक","ऋण, ऋणात्मक, नेगेटिव"
उपेक्षणीय,उपेक्षणीय
"शेजारचा बिंदू, शेजारचा बिंदू","प्रतिवेशी बिंदु, निकटवर्ती बिंदु"
निऑन दिवा,निऑन लैम्प
नेपच्यून,नेप्ट्यून
सर्वात चांगला प्रभाव,नेनस्ट प्रभाव
निव्वळ शुल्क,नेट चार्ज
जाळी (सर्किट),जाल (परिपथ)
नैमन विभव,नॉयमान विभव
मूडी,उदासीन
विरघळणारा अणू,अनाविष्ट परमाणु
तटस्थीकरण पत्रिका,निष्प्रभावन कुंडली
उदासीनता,उदासीनता
"नॉन-डिस्चार्ज मेसन, चार्जलेस मेसन","अनाविष्ट मेसॉन, आवेशहीन मेसॉन"
न्यूट्रिनो,न्यूट्रिनो
न्यूट्रॉन,न्यूट्रॉन
बातम्या प्रसारित,समाचार प्रसारण
न्यूटनी,न्यूटनी
काढा,निकाल
वेंट प्रिझम,निकाल प्रिज्म
निळी उष्णता,नील ताप
बारीक धातू,उत्कृष्ट धातु
फिल्टर आकृती,निस्पंद आरेख
"नोड, पॉइंट, नोड पॉइंट, क्लीवेज पॉइंट, फिल्टरेशन पॉइंट, ड्रॉप पॉइंट","नोडीय, बिन्दु, आसंधि बिन्दु, निर्नति बिंदु, निस्पंद बिंदु, पात बिंदु"
"नोड, नोड, पाईप","नोड, आसंधि, पात, निर्नति, निस्पंद"
"आवाज, आवाज","शोर, रव"
शून्य लोड स्थिती,शून्य लोड अवस्था
शोषून न घेणारे माध्यम,अनवशोषी माध्यम
मुळसंख्या,अयोज्य संख्या
प्रतिष्ठा,"अश्रेण्य, चिरप्रतिष्ठितेतर"
नॉन-कुलंब स्कॅटरिंग,कूलॉमेतर प्रकीर्णन
दूषित,अनप्रभ्रष्ट
अविनाशी,अविनाशी
ऊर्जा संवर्धन,ऊर्जा संरक्षी
अनिलेक्ट्रॉनी,अनिलेक्ट्रॉनी
नॉन-हायड्रोजन प्रणाली,अ-हाइड्रोजनवत् तंत्र
अपूर्णांक संख्या,अपूर्णांक
निनावी संपर्क,अनोमीय संपर्क
न विभाज्य जाळी,अविभाज्येतर जालक
संधीसाधू,अदिष्टकारी
नातेवाईक नसलेले,अनापेक्षिकीय
अलौकिक,ज्यावक्रेतर
सुपर कंडक्टर,अनतिचालक
नॉन-ट्रान्झिशनल घटक,संक्रमणेतर तत्व
असमान अभिसरण,नैकसमान अभिसरण
शून्य नसलेली फिरकी,शून्येतर प्रचक्रण
किंवा पूरक,अथवा पूरक
सामान्य प्रवेग,अभिलंब त्वरण
"उत्तेजित अणू, सामान्य अणू","अनुत्तेजित परमाणु, सामान्य परमाणु"
"सामान्य, सामान्य, सामान्य","अभिलंब, सामान्य, प्रसामान्य"
सामान्यीकरण,प्रसामान्यीकरण
सामान्य चुंबकत्व,अभिलंबी चुंबकशीलता
मानक दबाव,मानक दाब
मानक तापमान,मानक ताप
साधा geman triad,सरल जेमान त्रिक
उत्तर द्या,उत्तर
"nasa, नाकपुड्या, नाक","नासा, नासिका, नाक"
"नोटेशन, नोटेशन, नोटेशन पद्धत, नोटेशन पद्धत","संकेतन, अंकन, अंकन-पद्धति, संकेत पद्धति"
स्वर,स्वर
गेट नाही गेट नाही,"NOT गेट, न गेट"
चंकी,"तुंड, चंचु"
"आण्विक, आण्विक","नाभिकीय, न्यूक्लीय"
"न्यूक्लियस ऑर्गन, न्यूक्लियस एग्रीगेट","केन्द्रकीय अंग, केन्द्रक समुच्चय"
अणुबॉम्ब अणुबॉम्ब,"नाभिकीय बम, न्यूक्लीय बम"
आण्विक स्फोट,नाभिकीय विस्फोट
"आण्विक आयसोमेरिझम, आण्विक अणुभट्टी","नाभिकीय समावयवता, न्यूक्लीय रिऐक्टर"
