English,Assamese
integration by differentiation,ডিফাৰেন্সিয়েলৰ দ্বাৰা সংহতি
integration by parts,ছেগমেণ্টেল সংহতি
integration by rationalisation,যুক্তিবাদৰ দ্বাৰা সংহতি
integration by substitution,প্ৰতিস্থাপনৰ দ্বাৰা সংহতি
integration by successive reduction,প্ৰগতিশীল সমতুল্যতাৰ দ্বাৰা সংহতি
integration by series,স্তৰভিত্তিক সংহতি
integration of vector,ভেক্টৰ সংহতি
integration over a closed surface,বন্ধ পৃষ্ঠাত সংহতি
integrator,ইন্টিগ্ৰেটৰ
integrator component,অবিচ্ছেদ্য উপাদান
integro - differential equation,অখণ্ড-অভেদ সমীকৰণ
intercept,"ইন্টাৰচেপচন, ইন্টাৰচেপ্ট"
interchangable operation,কমিউটেটিভ অপাৰেচন
interchange,বিনিময়যোগ্য
interclass correlation,আন্তঃশ্ৰেণী সম্পৰ্ক
inter correlation,আন্তঃসম্পৰ্ক
inter correlation coefficient,সম্পৰ্ক সহগ
interdependency,"আন্তঃনিৰ্ভৰশীলতা, আন্তঃনিৰ্ভৰশীলতা"
interdependent,আন্তঃনিৰ্ভৰশীল
interest,সুত
interface,আন্তঃপৃষ্ঠ পৃষ্ঠা
interfacial angle,আন্তঃপৃষ্ঠ কোণ
integrand,অবিচ্ছেদ্য
integrated,সংহত
interior,"inner, inner, inner (adj.), ভিতৰৰ, ভিতৰৰ, ভিতৰৰ (v.)"
interior angle,অভ্যন্তৰীণ কোণ
interior area,অভ্যন্তৰীণ অঞ্চল
interior domain,আন্তঃপ্ৰদেশ
interior element,আভ্যন্তৰীণ উপাদানসমূহ
interior of a set,চেটৰ ভিতৰৰ অংশ
interior opposite angle,অভ্যন্তৰীণ কোণৰ সন্মুখীন হোৱা
interior planet,ভিতৰত
interior point,অভ্যন্তৰীণ বিন্দু
intermediate,"মধ্যৱৰ্তী, গৌণ, মধ্যম, মধ্যম"
intermediate point,মধ্যৱৰ্তী বিন্দু
intermediate value theorem,মধ্যৱৰ্তী মূল্য উপপাদ্য
internal bisector,আভ্যন্তৰীণ দ্বিখণ্ড
interpolation,আন্তঃপ্ৰক্ষেপণ
interpolation formula,সন্নিৱিষ্ট কৰা সূত্ৰ
intersecting,ছেদ কৰা
intersecting curves,ছেদ কৰা বক্ৰ
intersecting lines,ছেদ কৰা ৰেখা
intersection,"ছেদ, ছেদ, ছেদ"
intersection curve,ছেদক বক্ৰ
intersection of curves,বক্ৰৰ ছেদ
intersection of sets,গোটৰ ছেদ
interval,"ফাঁক, ফাঁক"
interval estimate,ব্যৱধান অনুমান
inteval estimation,ব্যৱধান অনুমান
interval mid-point,ব্যৱধানৰ মাজৰ বিন্দু
intra-block effect,ইন্ট্ৰা-ছেকচনেল ইফেক্ট
intraclass correlation,আন্তঃশ্ৰেণী সম্পৰ্ক
invariance,নিস্তব্ধতা
invariant,নিশ্চয়
invariant system,ফিক্সড চিষ্টেম
inventory,মেজ
inventory allocation,টেবুল নিযুক্তি
inventory control,টেবুল নিয়ন্ত্ৰণ
inventory control model,টেবুল নিয়ন্ত্ৰণ মডেল
inventory control system,টেবুল নিয়ন্ত্ৰণ ব্যৱস্থা
inventory cycle,টেবুল চক্ৰ
inventory holding cost,টেবুল ধৰি ৰখা খৰচ
inventory point,টেবুল পইণ্ট
inventory policy,টেবুল নীতি
inventory situation,টেবুলৰ অৱস্থান
inverse,"বিপৰীত, বিপৰীত, বিপৰীত"
inverse correlation,বিপৰীত সম্পৰ্ক
inverse function,বিপৰীত ফলন
inverse hyperbolic function,হাইপাৰবলিক ফাংচন প্ৰতি ফেন
inversely proportional,বিপৰীতভাৱে সমানুপাতিক
inverse mapping,বিপৰীত মানচিত্ৰ
inverse number,পাৰস্পৰিক সংখ্যা
inverse of a matrix,বিপৰীত মেট্ৰিক্স
inverse permutation,বিপৰীত ক্ৰমবিন্যাস
inverse proportion,বিপৰীত অনুপাত
inverse trigonometrical function,বিপৰীত ত্ৰিকোণমিতিক ফলন
inversion formula,বিপৰীত সূত্ৰ
inversion of order,ক্ৰমৰ কপি
invertible matrix,বিপৰীত মেট্ৰিক্স
invertible transformation,বিপৰীত ৰূপান্তৰ
irrational,অযুক্তিকৰ
irrational equation,অযুক্তিকৰ সমীকৰণ
irrational expression,অযুক্তিকৰ প্ৰকাশ
irrational number,অযুক্তিকৰ সংখ্যা
irrational root,অযুক্তিকৰ মূল
irreducible,"অপ্ৰত্যাহাৰযোগ্য, অকমাব নোৱাৰা, অতুলনীয়"
irrotational vector,ঘূৰ্ণনশীল ভেক্টৰ
irrotational vector function,ঘূৰ্ণনশীল ভেক্টৰ ফলন
irrotational velocity,ঘূৰ্ণনৰ বেগ
isogonal,সমমিতি (v.) সোঁ ৰেখা (v.)
isokurtosis,syncretism
isolated essential singularity,বিচ্ছিন্ন আৱশ্যকীয় অদ্ভুততা
isolated point,বিচ্ছিন্ন বিন্দু
isometric,"সমমিতি, ট্ৰাইটেজ’ল, ঘন, সমমিতি"
isosceles configuration,isosceles বিন্যাস
iterated integral,পুনৰাবৃত্তিমূলক অখণ্ড
iterated interpolation,পুনৰাবৃত্তিমূলক সন্নিৱিষ্ট
iteration,পুনৰাবৃত্তি
iteration formula,পুনৰাবৃত্তি সূত্ৰ
iterative integration formula,পুনৰাবৃত্তিমূলক সংহতি সূত্ৰ
iterative procedure,পুনৰাবৃত্তিমূলক পদ্ধতি
iterative technique,পুনৰাবৃত্তিমূলক পদ্ধতি
Jacobian,jacobian
Jacobian determinant,জাকোবি সাৰনিক
Jacobian matrix,জেকবি মেট্ৰিক্স
join of sets,গোটৰ সংমিশ্ৰণ
joint,"সংযোগ, সংযোগ (ed.) সংযোগ (v.)"
joint density function,সংযোগ ঘনত্বৰ কাৰ্য্য
joint frequency function,সংযুক্ত কম্পাঙ্ক কাৰ্য্য
jointly dependent variable,যৌথ নিৰ্ভৰশীল চলক
joint probability,যৌগিক সম্ভাৱনা
join (=union),সন্নিৱিষ্ট কৰা
jump,"কুঠাৰ, জাম্প, প্লুটি"
jump discontinuity,প্লুটি বিচ্ছিন্নতা
justification,"ন্যায়পৰায়ণতা, ন্যায্যতা"
justify,ন্যায্যতা দিয়া
Karnaugh map,carnafe মানচিত্ৰ
kernel,"গুটি, ছাই"
kernel of the mapping,মেপিং পইণ্ট
kinematics,"বিশুদ্ধ গতিশীলতা, বিশুদ্ধ গতিশীলতা"
kinetic energy,গতিশক্তি
kinetics,"গতিবিদ্যা, গতিবিদ্যা"
Kolmogoroff Smirnov test,কলমোগ’ৰফ-স্মিৰ্নভ পৰীক্ষা
Kronecker delta,ক্ৰ&#39;নেকাৰ বদ্বীপ
kurtosis,তিঁয়হ
Lagrange's function,লেগ্ৰেঞ্জ ফাংচন
Lagrange's multipliers,লেগ্ৰেঞ্জ বহুগুণক
lamina,"তক্তা, বোৰ্ড"
Laplace transform,লেপ্লেচ ৰূপান্তৰ
large number,ডাঙৰ সংখ্যা
latent root(=characteristic root),বৈশিষ্ট্যপূৰ্ণ উৎপত্তি
lateral surface,কাষৰ পৃষ্ঠা
latin square,লেটিন বৰ্গক্ষেত্ৰ
latus rectum ,"নাভিৰ ৰচী, লেটাছ মলদ্বাৰ"
law,"নিয়ম, নীতি"
law of adding velocities,বেগ সংমিশ্ৰণ নিয়ম
law of additivity,সামঞ্জস্যতা নিয়ম
law of diminishing return,হ্ৰাস পোৱা ৰিটাৰ্ণৰ নিয়ম
law of gravitation,মাধ্যাকৰ্ষণৰ নিয়ম
law of homomorphism for groups,গোটৰ বাবে সমৰূপতা নিয়ম
law of homomorphism for rings,আঙঠিৰ বাবে সমৰূপতা নিয়ম
law of increasing costs,বৃদ্ধি পোৱা খৰচৰ আইন
law of indices,ঘাতকৰণ নিয়ম
law of inertia,জড়তা নিয়ম
law of large numbers,বৃহৎ সংখ্যাৰ নিয়ম
law of probability,সম্ভাৱনা নিয়ম
law of sines,"চাইন নিয়ম, চাইন নিয়ম"
laws of exponents,সূচকৰ নিয়ম
laws of motion,গতিৰ নিয়ম
layer,"স্তৰ, স্তৰ"
leading coefficient,ফৰৱাৰ্ড সহগ
leading diagonal,সন্মুখৰ তিৰ্যক
leading submatrix,ফৰৱাৰ্ড উপ-মেট্ৰিক্স
leading term,ফ্ৰন্ট পোষ্ট
least,"নূন্যতম, নূন্যতম, নূন্যতম"
least common multiple (LCM),কম সাধাৰণ সাধাৰণ (LCM)
least element,নূন্যতম উপাদানসমূহ
least square,সৰ্বনিম্ন শ্ৰেণী
least upper bound,নূন্যতম ওভাৰহেড সীমা
left coset,বাওঁফালে ছেট কৰা হৈছে
left handed,ঘড়ীৰ কাঁটাৰ বিপৰীত দিশত
left handed screw,ঘড়ীৰ কাঁটাৰ বিপৰীত দিশত স্ক্ৰু
left inverse,বাওঁফালৰ বিপৰীত
left multiplication,বাওঁফালৰ গুণন
Leibnitz formula,লাইবনিজৰ সূত্ৰ
length,দৈৰ্ঘ্য
leptokurtic,টুংগাকুদি
leptokurtic curve,ট্ৰেগাছ বক্ৰ
leptokurtosis,হাওঁফাওঁৰ মাছ
level curve,স্তৰৰ বক্ৰ
level of confidence,আত্মবিশ্বাসৰ স্তৰ
level of significance,তাৎপৰ্য্যৰ স্তৰ
lexicographically,কালক্ৰমিকভাৱে
lexicographical order,অভিধানৰ ক্ৰম
likelihood function,সম্ভাৱনা ফলন
likelihood ratio test,সম্ভাৱনা অনুপাত পৰীক্ষা
limit,"সীমা, প্ৰান্তীয়"
limiting,"প্ৰান্তীয়, চৰম"
limiting value,প্ৰান্তীয় মূল্য
limiting velocity,প্ৰান্তীয় বেগ
limit in mean,গড়ত পৰিসৰ
limit of integration,সংহতিৰ সীমা
limit of sequence,ক্ৰমৰ সীমা
limit point (=cluster point),"ক্লাষ্টাৰ পইণ্ট, সীমা বিন্দু"
limit velocity,প্ৰান্তীয় বেগ
line,"ৰেখা, ৰেখা, উপবৃত্তাকাৰ"
linear,"ৰৈখিক, ৰৈখিক, ৰৈখিক"
linear algebraic,ৰৈখিক বিজাবল্লী
linear algebraic equation,ৰৈখিক বীজগণিতীয় সমীকৰণ
linear approximation,ৰৈখিক আনুমানিককৰণ
linear asymptote,ৰৈখিক এছিম্পট&#39;ট
linear coefficient,ৰৈখিক সহগ
linear combination,শ্বক সঞ্চয়
linear constraints,শ্বক নিষেধাজ্ঞা
linear dependence,ৰৈখিক নিৰ্ভৰশীলতা
linear differential equation,ৰৈখিক অৱভেদ্য সমীকৰণ
linear dimension,"ৰৈখিক মাত্ৰা, ৰৈখিক জোখ, ৰৈখিক দৈৰ্ঘ্য-প্ৰস্থ"
linear equation,"ৰৈখিক সমীকৰণ, দ্বিঘাত সমীকৰণ"
linear form,ৰৈখিক সমতা
linear fractional transformation,ৰৈখিক ভগ্নাংশ ৰূপান্তৰ
linear function,ৰৈখিক ফলন
linear functional,ৰৈখিক ফলন
linear group,ৰৈখিক গোট
linear independence,ৰৈখিক স্বাধীনতা
linear independent relation,ৰৈখিক স্বাধীন সম্পৰ্ক
linear inequality,ৰৈখিক বৈষম্য
linear inhomogeneous differential equation,ৰৈখিক অসমজাতীয় অৱভেদ্য সমীকৰণ
linear integral equation,ৰৈখিক অখণ্ড সমীকৰণ
linear interpolation,ৰৈখিক আন্তঃপ্ৰক্ষেপণ
linear least square regression analysis,ৰৈখিক নূন্যতম বৰ্গ ৰিগ্ৰেছন বিশ্লেষণ
linearity,"এককভাৱে, ৰৈখিকভাৱে"
linearly dependent,ৰৈখিকভাৱে নিৰ্ভৰশীল
linearly independent,ৰৈখিকভাৱে স্বাধীন
linear mapping,ৰৈখিক মেপিং
linear order,ৰৈখিক ক্ৰম
linear ordering,ৰৈখিক ক্ৰমিককৰণ
linear programming,ৰৈখিক প্ৰগ্ৰেমিং
linear programming algorithm,ৰৈখিক প্ৰগ্ৰেমিং এলগৰিদম
linear programming problem,ৰৈখিক প্ৰগ্ৰেমিং সমস্যা
linear regression,ৰৈখিক ৰিগ্ৰেছন
linear regression coefficient,ৰৈখিক ৰিগ্ৰেছন সহগ
linear relation,"ৰৈখিক সম্পৰ্ক, ঘাতীয় সম্পৰ্ক"
linear space (=vector space),ৰৈখিক জনসংখ্যা
linear subspace,ৰৈখিক উপস্থান
linear transformation,ৰৈখিক ৰূপান্তৰ
linear trend,ৰৈখিক ৰিগ্ৰেছন
linear unbiased estimate,ৰৈখিক অৱভেদ্য অনুমান
linear velocity,ৰৈখিক বেগ
line integral,ৰেখাৰ অবিচ্ছেদ্য
line of intersection,ছেদক ৰেখা
line of regression,ৰিগ্ৰেছনৰ ৰেখা
localised vector,স্থানীয় ভেক্টৰ
local optimum,স্থানীয় অনুকূল
locus,"locus, লোকাছ"
log,লগ লগ লগ
logarithmic,"লগাৰিদমিক, লগাৰিদমিক"
logarithmic accuracy,লগাৰিদমিক সঠিকতা
logarithmic calculation,লগাৰিদম গণনা
logarithmic curve,"লগাৰিদমিক বক্ৰ, লগাৰিদমিক বক্ৰ"
logarithmic derivative,লগাৰিদমিক ডেৰাইভেটিভ
logarithmic differentiation,লগাৰিদমিক ডিফাৰেন্সিয়েল
logarithmic function,"লগাৰিদমিক ফলন, লগাৰিদমিক ফলন"
logarithmic mean (=geometric mean),"লগাৰিদমিক গড়, জ্যামিতিক গড়"
logarithmic normal distribution,লগাৰিদমিক স্বাভাৱিক বিতৰণ
logarithmic relationship,লগাৰিদমিক সম্পৰ্ক
logarithmic scale,লগাৰিদমিক স্কেল
logarithmic series,"লগাৰিদম শৃংখলা, লগাৰিদম শৃংখলা"
logarithmic spiral (equiangular spiral),"লগাৰিদমিক সৰ্পিল, লগাৰিদমিক সৰ্পিল"
logarithmic table (=log table),"লগাৰিদম টেবুল, লগাৰিদমিক টেবুল"
logarithm (log),"লগাৰিদম, লগাৰিদম"
logic,তর্ক শাস্ত্র
logically equivalent,যুক্তিগতভাৱে সমতুল্য
logistic curve,"বৃদ্ধিৰ বক্ৰ, পাৰ্ল-ৰিড বক্ৰ"
lognormal distribution,"log স্বাভাৱিক বিতৰণ, log স্বাভাৱিক বিতৰণ"
longitude,"দ্ৰাঘিমাংশ, দ্ৰাঘিমাংশ"
loop,"লুপ, লুপ, ফাঁচ (নং.), লুপ (ver.), প্ৰস্পন্দ"
lottery,"নিৰ্বাচনী প্ৰচাৰ, লটাৰী"
lower bar,আণ্ডাৰলাইন কৰক
lower bound,নিম্ন সীমা
lower Riemann integral,লো ৰিমেন-ইন্টিগ্ৰেল
lower sum,কম ৰাশি
lower triangular matrix,ত্ৰিকোণীয় মেট্ৰিক্স অনুসৰণ কৰা
Maclaurin's expansion,mclarin বিয়পি পৰে
magic number,"মায়া নম্বৰ, মেজিক নম্বৰ, টেকসইতা নম্বৰ"
magic square,যাদু বৰ্গক্ষেত্ৰ
magnitude limit (=limiting magnitude),ৰেডিয়েন্ট সীমা
mailed questionnaire,মেইলিং প্ৰশ্নাৱলী
mail survey,ডাকযোগে জৰীপ কৰা
majorant (upper bound),ওভাৰহেড সীমা
major arc,দীঘল চাপ
majorised set,বাউণ্ড ছেট
many valued function,বহুমূলীয়া ফলন
map,"মানচিত্ৰ, মানচিত্ৰ, মানচিত্ৰ"
map into the set,গোটত মেপিং কৰা
mapping of a set,গোটসমূহৰ মেপিং
marginal probability,প্ৰান্তীয় সম্ভাৱনা
mathematical analysis,গাণিতিক বিশ্লেষণ
mathematical argument,গাণিতিক যুক্তি
mathematical centre,গাণিতিক কেন্দ্ৰ
mathematical complexity,গাণিতিক জটিলতা
mathematical economics,গাণিতিক অৰ্থনীতি
mathematical expectation,গাণিতিক প্ৰত্যাশা
mathematical form,গাণিতিক ৰূপ
mathematical formulation,"গাণিতিক বিন্যাস, গাণিতিক বিন্যাস"
mathematical identity,গাণিতিক পৰিচয়সমূহ
mathematical logic,"গাণিতিক যুক্তি, গাণিতিক যুক্তি"
mathematical model,গাণিতিক আৰ্হি
mathematical notion,গাণিতিক উদ্দেশ্য
matrix digonalisation,মেট্ৰিক্স তিৰ্যকীকৰণ
matrix inverse,মেট্ৰিক্স বিপৰীত
matrix inversion,মেট্ৰিক্স ওলোটা
matrix iterative method,মেট্ৰিক্স পুনৰাবৃত্তিমূলক পদ্ধতি
matrix method,মেট্ৰিক্স পদ্ধতি
matrix multiplication,মেট্ৰিক্স গুণন
matrix of constants,ধ্ৰুৱকসমূহৰ মেট্ৰিক্স
matrix of effectiveness,প্ৰধান মেট্ৰিক্স
matrix operator,মেট্ৰিক্স অপাৰেটৰ
matrix polynomial,মেট্ৰিক্স বহুপদ
matrix printing,মেট্ৰিক্স প্ৰিন্টিং
matrix product,মেট্ৰিক্স উৎপাদন
maximized,সৰ্বাধিক কৰা হৈছে
maximum,"সৰ্বোচ্চ, সৰ্বোচ্চ, সৰ্বোচ্চ"
maximum absolute value,সৰ্বোচ্চ নিৰপেক্ষ মান
maximum F-ratio,সৰ্বোচ্চ F-অনুপাত
maximum likelihood,সৰ্বোচ্চ সম্ভাৱনা
maxmin,মহলপিষ্ঠা
maxmin criterian,মহান সিদ্ধান্ত
max of a function,ফাংচনৰ সৰ্বোচ্চ
Maxwell-Boltzmann statistics,মেক্সৱেল-বল্টছমেন পৰিসংখ্যা
mean deviation,গড় বিচ্যুতি
mean square deviation,বিচ্যুতি বৰ্গ গড়
mean square error,বৰ্গ গড় ভুল
mean value,"গড়, গড় মূল্য"
mean value theorem,গড় উপপাদ্য
measure of kurtosis,বুদবুদযুক্ত জোখ
median,"মধ্যম, মধ্যম, মধ্যম, মধ্যম"
median centre,মধ্যম কেন্দ্ৰ
mesokurtic curve,মধ্যম বক্ৰ
mesokurtosis,মেছ&#39;থেলিঅ&#39;মা
message,বাৰ্তা
method,"কাষ্টম, পদ্ধতি"
method of elimination,ডিলিচন পদ্ধতি
method of inversion,ওলোটা পদ্ধতি
method of iteration,পুনৰাবৃত্তি পদ্ধতি
method of least squares,নূন্যতম বৰ্গক্ষেত্ৰ
method of moments,টৰ্ক পদ্ধতি
method of similar triangles,একেধৰণৰ ত্ৰিভুজ পদ্ধতি
method of steepest descent,ঢাল অৱনমিত পদ্ধতি
method of summation,সংকলন পদ্ধতি
method of undetermined coefficient,অনিৰ্দিষ্ট সহগ পদ্ধতি
metric space,দূৰত্বৰ জনসংখ্যা
metric system,মেট্ৰিক ব্যৱস্থা
metric unit,মেট্ৰিক একক
micro theory,মাইক্ৰ’ তত্ত্ব
middle,মাজ
middle term,মধ্যমীয়া
mid point,কেন্দ্ৰীয় বিন্দু
mid point formula,মধ্যবিন্দুৰ সূত্ৰ
minimal polynomial,নূন্যতম বহুপদ
minimax principle,ন্যূনতম তত্ত্ব
minimum,"নূন্যতম, সৰ্বনিম্ন, সৰ্বনিম্ন"
minimum point (of curve),নিম্ন বিন্দু
minimum polynomial,নূন্যতম বহুপদ
min of a function,কাৰ্য্যৰ নূন্যতম
minor arc,চুটি চাপ
minor axis,চুটি চিঠি
minorised subset,সীমাবদ্ধ উপগোট
minus,"বিয়োগ, ঋণ"
minus sign,বিয়োগ চিহ্ন
mixed fraction,মিশ্ৰিত ভগ্নাংশ
mixed strategy,বিকল্প যন্ত্ৰ
mode,"ধৰণ, ধৰণ, পদ্ধতি, পদ্ধতি, ব্যৱস্থাপ্ৰণালী, ধৰণ"
modulus,"মডুলাছ, মডুলাছ"
modulus of a complex number,জটিল সংখ্যাৰ মডুলাছ
moment,মুহূৰ্ত
moment generating function,টৰ্ক ফাংচন
moment of a force,বলৰ মুহূৰ্ত
moment of frequency distribution,কম্পাঙ্ক-বিতৰণ ক্ষমতা
moment of inertia,জড়তাৰ মুহূৰ্ত
moment of momentum,গতিশীলতা মুহূৰ্ত
momentum,ইম্পলছ
monomial,এটা পোষ্ট
monomorphic,একক সংহতি
monomorphism,"সমতা, একৰূপতা"
monotone,এককক্ষী
monotone increasing sequence,একদিশীয় আৰোহী ক্ৰম
monotonically,আউটৰাইট
monotonically increasing net,একদিশে অৰ্ধচন্দ্ৰ জাল
monotonically increasing sequence,এককভাৱে বৃদ্ধি কৰা ক্ৰম
monotonic function,একচলকীয় ফলন
Monte Carlo calculation,মন্টে-কাৰ্লো গণনা
Monte Carlo method,মণ্টে-কাৰ্লো পদ্ধতি
morra (game),মোৰা (ক্রীড়া)
mortality statistics,মৃত্যুৰ পৰিসংখ্যা
most probable,যতদূৰসম্ভৱ
motion,গতি
moving average,চলন্ত গড়
M-space,এম-জনসংখ্যা
M-test for integral,অখণ্ডৰ M-পৰীক্ষা
multidecision problem,একাধিক সিদ্ধান্ত-সমস্যা
multidimensional normal distribution,বহুপদ স্বাভাৱিক বিতৰণ
multidimensional random variable,বহুপদ যাদৃচ্ছিক চলক
multi-index transportation problem,মাল্টিপ্লেক্স পৰিবহণৰ সমস্যা
multinomial,বহুপদ
multinomial distribution,বহুপদ বিতৰণ
multiple,"বহু, বহু, বহু, বহু (v.), বহু, বিবৰ্তন (n.)"
multiple choice problem,বহু পছন্দৰ সমস্যা
multiple connected domain,কনফেডাৰেট প্ৰদেশসমূহ
multiple correlation,একাধিক সম্পৰ্ক
multiple frequency table,একাধিক কম্পাঙ্ক টেবুল
multiple integral,একাধিক অখণ্ড
multiple integration,একাধিক সংহতি
multiple regression,বহুবিধ ৰিগ্ৰেছন
multiple regression analysis,বহুবিধ ৰিগ্ৰেছন বিশ্লেষণ
multiple regression coefficient,বহুবিধ ৰিগ্ৰেছন সহগ
multiple regression equation,বহুবিধ ৰিগ্ৰেছন সমীকৰণ
multiple root,বহু মূল
multiplication,গুণন
multiplication by columns (of determinant),(নিৰ্ধাৰণকাৰীৰ) স্তম্ভৰ গুণন
multiplication by rows (of determinant),(নিৰ্ধাৰণকাৰীৰ) ৰৈখিক গুণন
multiplication factor,গুণন গুণক
multiplicative function,গুণনীয়ক ফলন
multiplicative group,গুণগত গোট
multiplicative inverse,বহুগুণী বিপৰীতমুখী
multiplicity,বহুত্ব
multiplicity of roots,বহুত্ব
multiplicity of zero,শূন্যৰ বহুগুণতা
multiplier,বহুগুণক
multiply,"গুণ কৰা, গুণ কৰা"
multivariate distribution,একাধিক বিতৰণ
multivariate normal distribution,বহুচলকীয় স্বাভাৱিক বিতৰণ
multivariate population,বহুবিকল্পিত জনসংখ্যা
mutual,"পাৰস্পৰিক, পাৰস্পৰিক"
nabla,নবলা
Napierian,নাপিৰীয়া
Napierian logarithm,"নেপিয়াৰ লগাৰিদম, নেপিয়াৰ লগাৰিদম"
natural logarithm,"প্ৰাকৃতিক লগাৰিদম, প্ৰাকৃতিক লগাৰিদম"
natural number,"ধনাত্মক পূৰ্ণসংখ্যা, ধনাত্মক পূৰ্ণসংখ্যা"
nautical mile,নটিকেল মাইল
n-dimensional,ন-ভিম
n-dimensional vector space,n-vim ভেক্টৰ-স্পেচ
necessary and sufficient condition,প্ৰয়োজনীয় আৰু পৰ্যাপ্ত নিষেধাজ্ঞা
necessary condition,প্ৰয়োজনীয় নিষেধাজ্ঞা
negation,নিষেধাজ্ঞা
negative,"ঋণাত্মক, ঋণাত্মক, ঋণাত্মক"
negative curvature,ক্ৰেডিট বক্ৰতা
negative definite form,ঋণাত্মক নিৰ্দিষ্ট একাকাৰীতা
negative definite matrix,ঋণাত্মক স্থিৰ মেট্ৰিক্স
negative semi-definite form,ঋণাত্মক অৰ্ধনিৰ্দিষ্ট সমতা
neighbourhood,"চুবুৰী, সান্নিধ্য"
nested sampling,"একাধিক নমুনা সংগ্ৰহ, অন্তৰ্ভুক্ত নমুনা সংগ্ৰহ"
net reproduction rate,নেট জন্মৰ হাৰ
Newtonian mechanics,নিউটানি মেকানিক্স
Newton's divided difference formula,নিউটনৰ বিভক্ত পাৰ্থক্য সূত্ৰ
Newton's laws of motion,নিউটনৰ গতিৰ নিয়ম
Neyman allocation,নাম নিযুক্তি
Neyman Pearson theory,নেইমান-পিয়ৰচন-প্ৰিন্সিপল
nilpotent element,শূন্য বিভৱ মৌল
nilpotent matrix,শূন্য বিভৱ মেট্ৰিক্স
node,"ন&#39;ড, ন&#39;ড, পাত, নিব, ফিল্টাৰ"
non-Abelian group,আন-আবেলি গ্ৰুপ
non-absolute convergence,আপেক্ষিকতাবাদী অভিসৰণ
non-algebraic,অতিক্ৰমণীয়
non-degenerate,অক্ষুণ্ণ
non-degenerate basic feasible solution,অক্ষুণ্ণ ভিত্তি সামঞ্জস্যপূৰ্ণ সমাধান
non-dense,আঘন
non-dense set,ঘন সমষ্টি
non-denumerable infinity of points,বিন্দুৰ অগণন অসীমতা
non-denumerable set,অগণ্য ছেট
non-differentiable,অতুলনীয়
non empty subset,অ-উপগোট
non-Euclidean geometry,ইউক্লিডিয়ান জ্যামিতি
non-homogeneous,"অসমতাপূৰ্ণ, অসমতাপূৰ্ণ"
non-intersecting,অ-ছেদক
non-linear algebraic equation,অৰৈখিক বীজগণিতীয় সমীকৰণ
non-linear differential equation,অৰৈখিক অৱভেদ্য সমীকৰণ
non-linear equation,অৰৈখিক সমীকৰণ
non-linear programming,অৰৈখিক প্ৰগ্ৰেমিং
non-linear regression,অৰৈখিক ৰিগ্ৰেছন
non-linear relationship,অৰৈখিক সম্পৰ্ক
non-negative integer,অঋণাত্মক পূৰ্ণসংখ্যা নন ঋণাত্মক পূৰ্ণসংখ্যা
non-negative variable,অঋণাত্মক চলক
non-parametric test,নন-পেৰামেট্ৰিক পৰীক্ষা
non-probabilistic approach,অ-সম্ভাৱ্যতাবাদী পদ্ধতি
non-singular matrix,বিপৰীত মেট্ৰিক্স
non-symmetric matrix,অসমতাপূৰ্ণ মেট্ৰিক্স
non-trivial,গুৰুত্বহীন
non-vanishing determinant,অ-শূন্য নিৰ্ণায়ক
non-void,খালী
non-void subset,অ-উপগোট
non-zero determinant,অ-শূন্য নিৰ্ণায়ক
NOR gate,বা পৰিপূৰক গেট
normal,"স্বাভাৱিক, স্বাভাৱিক, মানক, স্বাভাৱিক, স্বাভাৱিক, স্বাভাৱিক, স্বাভাৱিক"
normal acceleration,স্বাভাৱিক ত্বৰণ
normal angle,স্বাভাৱিক কোণ
normal curve,স্বাভাৱিক বক্ৰ
normal density function,স্বাভাৱিক ঘনত্বৰ কাৰ্য্য
normal distribution,স্বাভাৱিক বিতৰণ
normal distribution function,স্বাভাৱিক বিতৰণ ফলন
normal form for the matrix,মেট্ৰিক্সৰ স্বাভাৱিক ৰূপ
normal frequency,স্বাভাৱিক কম্পাঙ্ক
normalized curve,স্বাভাৱিক বক্ৰ
normalized floating point number,স্বাভাৱিককৃত ভাসমান বিন্দু সংখ্যা
normalizer,নৰ্মেলাইজাৰ
normal matrix,স্বাভাৱিক মেট্ৰিক্স
normal probability curve,সাধাৰণ সম্ভাৱনা বক্ৰ
normal probability distribution,স্বাভাৱিক সম্ভাৱনা বিতৰণ
normal subgroup (=distinguished subgroup),"সাধাৰণ উপগোট, নিৰ্দিষ্ট উপগোট"
normed linear space,প্ৰামাণিককৃত ৰৈখিক স্থান
norm of a vector,ভেক্টৰ মানদণ্ড
NOT gate,"GATE নহয়, GATE নহয়"
nowhere dense set,নিশাৰ ঘন সমষ্টি
null hypothesis,শূন্য অনুমান
null matrix,শূন্য মেট্ৰিক্স
null set,খালী ছেট
null vector,শূন্য ভেক্টৰ
number,সংখ্যা
number axis,সংখ্যা অক্ষ
number system,সংখ্যা ব্যৱস্থা
numeral,"সংখ্যাগত (নং), সংখ্যাগত (V.)"
numeration,"সংখ্যা কৰা, সংখ্যা কৰা"
numerator,অংশ
numerical coefficient,সংখ্যাগত সহগ
numerical computation,সংখ্যাগত গণনা
numerical differentiation,সংখ্যাগত পাৰ্থক্য
numerical method,সংখ্যাগত পদ্ধতি
n-vector,"n-ভেক্টৰ, n-ভেক্টৰ"
n-vector space,n-ভেক্টৰ স্থান
object,"বস্তু, শৰীৰ, বস্তু"
