Abatement,"ଛାଡ଼,ହ୍ରାସ,ଉପଶମନ"
Interruption,"ବିଘ୍ନ, କ୍ରମଭଙ୍ଗ କରିବା, ବ୍ୟାହତ କରିବା"
Inter se,ପରସ୍ପର ମଧ୍ୟରେ
Intervene,"ମଧ୍ୟକ୍ଷେପ କରିବା, ହସ୍ତକ୍ଷେପ କରିବା"
Intervention,"ମଧ୍ୟକ୍ଷେପ, ହସ୍ତକ୍ଷେପ"
Interview,"ସାକ୍ଷାତ୍କାର, ମୌଖିକ ପରୀକ୍ଷା"
Interviewee,ସାକ୍ଷାତକାର ଦ୍ରାଦା
Interviewer,ସାକ୍ଷାତ କର
Intimate,"ଘନିଷ୍ଠ, ସୃହୃଦ, ଅନ୍ତରଙ୍ଗ, ଜଣାଉବା, ବିଜ୍ଞାପନ କରିବା"
Intimation,"ଜ୍ଞାପନ, ସୂଚନା"
Intimidation,ଭୀତି ପ୍ରଦର୍ଶନ କରିବା
Intolerance,ଅସହିଷ୍ଣୁତା
Intoxication,"ନଶା, ମଉତା"
Intricacy,ଜଟିଳତା
Intricate,"ଜଟିଳ, ଛନ୍ଦାଛନ୍ଦି, ବିଜଡ଼ିତ"
Introduce,"ଉପସ୍ଥାପନ କରିବା, ପରିଚୟ କରାଇଦେବା, ପ୍ରଚଳନ କରିବା"
Introduction,"ପ୍ରସ୍ତାବନା, ଉପକ୍ରମ, ପ୍ରବର୍ତ୍ତନ, ଆୟତନ, ପରିଚୟ ପ୍ରଦାନ, ଉପସ୍ଥାପନା"
Invalid,"ଅକାମୀ, ଅକର୍ମଣ୍ୟ, ଅସିଦ୍ଧ"
Invalidity,ଅକର୍ମଣ୍ୟତା
Invariably,ସବୁବେଳେ
Investigation,"ଅନୁସନ୍ଧାନ, ତଦନ୍ତ"
Investment,"ପୁଞ୍ଜିଲଗାଣ, ବିନିଧାନ"
Invitation,ନିମନ୍ତ୍ରଣ
Involuntary,"ଅନୈଚ୍ଛିକ, ଅନଭିପ୍ରେତ"
Involved,"ସାମିଲ୍, ଜଡିତ, ସଂଶ୍ଲିଷ୍ଟ"
Ipso facto,ତଥ୍ୟତଃ
Ipso jure,ବିଧିତଃ
Irrational,"ଅଯୌକ୍ତିକ, ଅବିବେକୀ"
Irrecoverable,"ଅସୁଲ ଅଯୋଗ୍ୟ, ଅପୁନଃପ୍ରାପ୍ୟ, ଅଭରଣୀୟ"
Irregular,"ଅନିୟମିତତା, ଅବ୍ୟବସ୍ଥା"
Irrelevant,"ଅପ୍ରାସଙ୍ଗିକ, ଅସଙ୍ଗତ, ଅବାନ୍ତର"
Irresponsible,"ଦାୟିତ୍ୱହୀନ, ଦାୟିତ୍ୱଜ୍ଞାନଶୂନ୍ୟ"
Irrevocable,"ରଦ୍ଦ ଅଯୋଗ୍ୟ, ଅପ୍ରତ୍ୟାହାରୀ"
Issue,"ନିର୍ଗମ କରିବା, ବାହାର କରିବା, ପ୍ରଚଳନ କରିବା, ଜାରି କରିବା, ବାଦ ବିଷୟ, ସନ୍ତାନ, ବିଷୟ, ପ୍ରଦାନ, ନିର୍ଗମ"
Issue order,"ନିର୍ଗମ ଆଦେଶ, ଆଦେଶ ପ୍ରଦାନ"
Issue price,"ନିର୍ଗମ ମୂଲ୍ୟ, ନିର୍ଗମଦର"
Item,"ସ୍ୱତନ୍ତ୍ର ବସ୍ତୁ, ଦଫା, ସ୍ୱତନ୍ତ୍ର ସମ୍ବାଦ"
Job,"ଠିକାକାମ, ଚାକିରି"
Job description,କାର୍ଯ୍ୟ ବିବରଣ
Job evaluation,କାର୍ଯ୍ୟ ମୂଲ୍ୟାଙ୍କନ
Job freeze,କାର୍ଯ୍ୟ କୀଳନ
Job hunting,ଚାକିରି ଖୋଜିବା କାର୍ଯ୍ୟ ଅନ୍ୱେଷଣ
Jobless,"ବେକାର, କର୍ମହୀନ"
Job-oriented,କାର୍ଯୋଳୁଖ
Job rotation,କାର୍ଯ୍ୟ କ୍ରମାବର୍ତ୍ତନ
Job satisfaction,କାର୍ଯ୍ୟ ସନ୍ତୁଷ୍ଟି
Job security,କାର୍ଯ୍ୟ ସୁରକ୍ଷା
Job specification,"କାର୍ଯ୍ୟ ବିଶିଷ୍ଟ, କାର୍ଯ୍ୟ ବିନିର୍ଦେଶ"
Job study,କାର୍ଯ୍ୟ ଅଧ୍ୟୟନ
Job work,ଛୋଟ ମୋଟ କାର୍ଯ୍ୟ
Join,"ଯୋଗଦେବା, ଯୋଡିବା"
Joining date,ଯୋଗଦାନ ତାରିଖ
Joining pay,କାର୍ଯ୍ୟାରମ୍ଭକାଳୀନ ବେତନ
Joining period,କାର୍ଯ୍ୟାରମ୍ଭ ଅବଧି
Joining report,ଯୋଗଦାନ ରିପୋର୍ଟ
Joining time,ଯାଗଦାନ ସମୟ
Joint,"ସନ୍ଧି, ଯୋଡ଼, ସଂଯୁକ୍ତ, ଯୌଥ, ମିଳିତ, ଏକାଧିକ ବ୍ୟକ୍ତି ଅଧିକୃତ"
Joint account,"ସଂଯୁକ୍ତ ହିସାବ, ସଂଯୁକ୍ତ ଜମାଖାତା"
Joint cadre,ସଂଯୁକ୍ତ ସଂବର୍ଗ
Joint committee,ସଂଯୁକ୍ତ କମିଟି
Joint consultative committee,ସଂଯୁକ୍ତ ପରାମର୍ଶଦାତ୍ରୀ ସମିତି
Joint family,"ସଂଯୁକ୍ତ ପରିବାର, ଯୌଥ ପରିବାର"
Jointly,ମିଳିତ ଭାବରେ
Jointly and severally,ମିଳିତ ଭାବରେ ଓ ପୃଥକ୍ ଭାବରେ
Joint ownership,"ସଂଯୁକ୍ତ ମାଲିକତ୍ୱ, ସଂଯୁକ୍ତ ସାମିତ୍ୱ"
Joint responsibility,ସଂଯୁକ୍ତ ଉତ୍ତର ଦାଯିତ୍ୱ
Joint venture,ସଂଯୁକ୍ତ ଅଦ୍ୟମ
Journal,"ପତ୍ରିକା, ଦୈନନ୍ଦିନୀ, ଜର୍ଣ୍ଣାଲ୍"
Journalist,ସମ୍ୱାଦିକ
Judgement,"ରାୟ, ବିବେଚନା, ନିର୍ଣ୍ଣୟ, ନିଷ୍ପତ୍ତି"
Judicial,"ନ୍ୟାୟିକ, ବିଚାର ବିଭାଗୀୟ, ବିଚାର ସମ୍ୱନ୍ଧୀୟ, ବିଚାରରଯୋଗ୍ୟ"
Judicial custody,ନ୍ୟାୟିକ ହିରାସତ
Judicial enquiry,ବିଚାର ବିଭାଗୀୟ ତଦନ୍ତ
Judicial notice,ନ୍ୟାୟିକ ଅବେକ୍ଷଣ
Judicial power,ନ୍ୟାୟିକ କ୍ଷମତା
Judicial service,ନ୍ୟାୟିକ ସେବା
Judiciary,ନ୍ୟାୟପାଳିକା
Judicious,"ବିବେକୀ, ବିଚାରବନ୍ତ"
Junior administrative grade,କନିଷ୍ଠ ପ୍ରଶାସନିକ ସ୍ତର
Junior clerk,କନିଷ୍ଠ କିରାଣି
Junior in rank,ପଦରେ କନିଷ୍ଠ
Juniority,କନିଷ୍ଠତା
Junior most,କନିଷ୍ଠତମ
Junior scale,କନିଷ୍ଠ ବେତନମାନ
Jurisdiction,"ଇଲାକା, ଅଧିକରିତା, କ୍ଷେତ୍ରାଧିକାର, ଅଧିକାର ସୀମା"
Just,"ନ୍ୟାଯ୍ୟ, ଠିକ୍, ଉପଯୁକ୍ତ, ଯଥାର୍ଥ, ନ୍ୟାୟପରାୟଣ, ନ୍ୟାୟସଙ୍ଗତ"
Justice,"ନ୍ୟାୟ, ବିଚାରପତି, ନ୍ୟାୟମୂର୍ତ୍ତି"
Justiciable,"ବିଚାରଯୋଗ୍ୟ, ନ୍ୟାୟ ପ୍ରଦାନଯୋଗ୍ୟ"
Justify,ଯଥାର୍ଥତା/ସତ୍ୟତା ପ୍ରତିପାଦନ
Key,"ଚାବି, କଞ୍ଚି"
Keynote address,"ଆଧର ଭାଷଣ, ଆଧାର ଉଦବୋଧନ"
Kick back,ଉତ୍କୋଚ
Kin,"ଜ୍ଞାତି, ସ୍ୱଜନ, କୁଟୁମ୍ୱ"
Kith and kin,ବନ୍ଧୁ ଓ ଜ୍ଞାତି
Know-how,"କାର୍ଯ୍ୟଜ୍ଞାନ, ବ୍ୟାବହାରିକ ଜ୍ଞାନ"
Knowledgeable,"ବିଜ୍ଞ, ଜ୍ଞାନୀ, ବହୁଦର୍ଶୀ, ଜାଣିବା-ଶୁଣିବା"
Labour,"ଶ୍ରମ, ଶ୍ରମିକ ବର୍ଗ, ସନ୍ତାନ ପ୍ରସବ କଷ୍ଟ, ଶ୍ରମ କରିବା, ଖଟିବା"
Labour charges,"ମଜଦୁରୀ, ମଜୁରୀ"
Labour contract,ଶ୍ରମିକ ଠିକା
Labour court,ଶ୍ରମନ୍ୟାୟାଳୟ
Labour dispute,ଶ୍ରମିକ ବିବାଦ
Labour force,ଶ୍ରମିକ ଶକ୍ତି
Labour laws,ଶ୍ରମିକ ଆଇନ
Labour room,ପ୍ରସୂତି କକ୍ଷ
Labour union,ଶ୍ରମିକ ସଂଘ
Labour welfare,"ଶ୍ରମ କଲ୍ୟାଣ, ଶ୍ରମ ମଙ୍ଗଳ"
Land aquisition,ଭୂ-ଅର୍ଜନ
Land mark,"ଭୁଚିହ୍ନ, ବିଶିଷ୍ଟ ସ୍ଥାନ, ଯୁଗାନ୍ତକାରୀ ଘଟଣା"
Land records,"ଭୂ- ଅଭିଲେଖ, ଜମି-ଦଲିଲ"
Land reforms,"ଭୂ-ସଂସ୍କାର, ଭୂମି-ସୁଦାର"
Land revenue,ଭୂ-ରାଜସ୍ୱ
Land settlement,ବନ୍ଦୋବସ୍ଥ
Land tenure,ଭୂ-ସ୍ୱତ୍ୱ
Land use certificate,ଭୂ-ଉପଯୋଗ ପ୍ରମାଣ ପତ୍ର
Lapse,"ବିତିଯିବା, ସମାପ୍ତ ହେବା, ଚ୍ୟୁତ ହେବା, ଚ୍ୟୁତି, ସମାପ୍ତି, ତ୍ରୁଟି ପ୍ରମାଦ, ଭ୍ରମ, ଅସାବଧାନତା"
Large scale,"ବୃହଦାକାର, ବ୍ୟାପକ, ବହୁଳ"
Last date,ଶେଷ ତାରିଖ
Lasting,ଦିର୍ଘସ୍ଥାୟୀ
Lastly,"ସର୍ବଶେଷରେ, ପରିଶେଷରେ"
Last payment,ଅନ୍ତିମ ପ୍ରଦତ୍ତ ଅର୍ଥ
Late,"ବିଳମ୍ୱିତ, ସ୍ୱର୍ଗତ, ଦିବଂଗତ, ବିଳମ୍ୱରେ, ସମ୍ପ୍ରତି"
Late attendance statement,ବିଳମ୍ୱିତ ଉପସ୍ଥାନ
Late duty,ବିଳମ୍ୱିତ କାର୍ଯ୍ୟ
Late payment,ବିଳମ୍ୱିରେ ପ୍ରଦତ୍ତ ଅର୍ଥ
Latest,"ଶେଷମତ, ଅଧୁନାତନ, ସବ୍ୟତମ"
Laudable,"ପ୍ରଶଂସନୀୟ, ପ୍ରଶଂସାର୍ହ"
Launch,ପ୍ରାରମ୍ଭ କରନା
Law,"ବିଧି, ଆଇନ୍, ନିୟମ"
Law and order,"ଆଇନ ଓ ଶୃଙ୍ଖଳା, ବିଧି ଓ ବ୍ୟବସ୍ଥା"
Law breaker,ଆଇନ ଭଙ୍ଗକାରୀ
Law court (=court of law),ନ୍ୟାୟାଳୟ
Lawsuit,ବାଦ
Lawyer,"ଓକିଲ, ବିଧିବକ୍ତା"
Layoff,"ଛଟେଇ, ଛଟେଇ କରିବା"
Layout,"ଅଭିନ୍ୟାସ କରିବା, ବନେଇବା, ଅଭିନ୍ୟାସ, ସଜ୍ଜୀକରଣ"
Leader,"ନେତା, ଅଗ୍ରଲେଖା, ଦଳମୁଖ୍ୟ"
Leadership quality,ନେତୃତ୍ୱ କ୍ଷମତା
Leaflet,"ପର୍ଣ୍ଣିକା, ପ୍ରଚାର ପତ୍ରିକା"
Leak,"ଗଳିବା, ଗୁପ୍ତତଥ୍ୟ ପ୍ରକାଶ ହେବା, କଣା, ଗଳନ, କ୍ଷରଣ, ଗୁପ୍ତତଥ୍ୟ ପ୍ରକାଶ"
Leap year,ଅଧିବର୍ଷ
Learning,"ପାଣ୍ଡିତ୍ୟ, ଜ୍ଞାନ, ବିଦ୍ୟା"
Lease,"ଚୁକ୍ତି, ଭଡ଼ା, ପଟ୍ଟା, ପଟ୍ଟା ଦେବା, ଭଡ଼ାଦେବା"
Leased accommodation,ପଟା ଆବାସ
Leasehold,"ପଟ୍ଟାଦାରି, ପଟ୍ଟାଜମି"
Leaseholder,ପଟ୍ଟାଦାର
Leasing,"ପଟାଦେବା, ରିଜଦେବା"
Leave,"ଅନୁମତି, ଛୁଟି, ବିଦାୟ, ଅବସର, ତ୍ୟାଗ କରିବା, ଛାଡିବା, ଛାଡ଼ି ଚାଲିଜିବା, ବିଦାୟ ନେବା"
Leave encashment,ଛୁଟି ଭଙ୍ଗାଇବା
Leave salary,ଛୁଟି ଦରମା
Leave vacancy,ଛୁଟିଜନିତ ଶୂନ୍ୟସ୍ଥାନ
Leave without pay,ବିନା ବେତନ ଛୁଟି
Leave with pay,ବେତନ ଛୁଟି
Lecture hall,"ବକୃତା କକ୍ଷ, ଭାଷଣ ପ୍ରକୋଷ୍ଠ, ଅଧ୍ୟାପନା କକ୍ଷ"
Ledger,"ଲେଜର୍, ଖାତା"
Ledger balance,ଖାତା ହିସାବ
Legacy,"ବସିୟତ, ଇଚ୍ଛାପତ୍ର"
Legal,"ବୈଧ, ବୈଧାନିକ, ବିଧିକ, ବିଧି, ଆଇନସମ୍ମତ"
Legality,ବୈଧତା
Legalization,ବୈଧିକରଣ
Legally,ବୈଧ ଭାବରେ
Legal practice,ଆଇନ ପେଶା
Legatee,ବସୀୟତଦାର
Legible,"ସ୍ପଷ୍ଟ, ସୁପାଠ୍ୟ"
Legislative,"ବିଧାୟୀ, ବିଧାନସ ବୈଧାନିକ"
Legislative business,ବୈଧାନିକ କାର୍ଯ୍ୟ
Legislature,ବିଧାନ ମଣ୍ଡଳ
Legitimacy,ବିଧିସଙ୍ଗତି
Legitimate,"ବିଧିସଙ୍ଗତ, ଆଇନସଙ୍ଗତ"
Leisure,"ଫୁରୁସତ୍, ଅବକାଶ, ଅବସର"
Leniency,"ସଦୟତା, କୋହଳ ଭାବ"
Lessee,"ପଟ୍ଟାଧାରୀ, ଭଡ଼ାଟିଆ"
Letter,"ପତ୍ର, ଚିଠି, ଅକ୍ଷର"
Letter pad,ପତ୍ର ପେଡ୍
Levy,"କରବସାଣ ଯୋଗ୍ୟ, କର ନିର୍ଦ୍ଧାରଣ ଯୋଗ୍ୟ"
Liability,"ଦାୟିତ୍ୱ, ଦାୟ, ଋଣ"
Liable,"ଉତ୍ତରଦାୟୀ, ଜିମ୍ମାଦାର, ଦାୟୀ"
Liaison,"ଯୋଗସୂତ୍ର, ସଂପର୍କ ରକ୍ଷା, ସଂଯୋଗ, ଯୋଗାଯୋଗ"
Library,"ଗ୍ରନ୍ଥାଗାର, ପାଠାଗାର"
Licence,"ଅନୁଜ୍ଞପ୍ତି, ଲାଇସେନସ"
Licence holder,ଅନୁଜ୍ଞପ୍ରାପ୍ତି ଅଧିକାରି
Licensed,ଲାଇସେନସ ପ୍ରାପ୍ତ
Licensee,"ଅନୁଜ୍ଞପ୍ତ ବ୍ୟକ୍ତି, ଲାଇସେନସୀ"
Lien,"ଧାରଣାଧିକାର, ସ୍ୱସ୍ଥାନ ଦଖଲ ଅଧିକାର"
Life certificate,ଜୀବନ ପ୍ରମାଣପତ୍ର
Limit,"ସୀମିତ କରିବା, ଆକଟ କରିବା, ସୀମା"
Limitation,"ସୀମା ବନ୍ଧନ, ପରିସୀମା, ଆକଟ"
Limited,"ସସୀମ, ସମାବଦ୍ଧ, ସୀମିତ"
Limited concern,ନିୟନ୍ତ୍ରିତ ପ୍ରତିଷ୍ଠାନ
Limited liability,ସୀମିତ ଦାୟିତ୍ୱ
Limited tender,"ସୀମିତ ନିବେଦ, ସୀମିତ ଟେଣ୍ଡର"
Link,"କଡ଼ି, ସଂଯୋଗ, ଯୋଡିବା"
Linked,ସଂଯୋଗକୃତ
Linked file,"ସଂଯୋଗକୃତ ଫାଇଲ୍, ସଂଲଗ୍ନ ନଥି"
Link language,ସଂଯୋଜନ ଭାଷା
Liquidated damages,ସମାପିତ କ୍ଷତି
Liquidation,"ସମାପନ, ଦେବାଳିଆ, ସପତ୍ତିର ହିସାବ ନିକାଶ, ଋଣ ପରିଶୋଧକ"
Liquidator,"ସମାପକ, ଦେବାଳିଆ, ସଂପତ୍ତିର ଋଣ ପରିଶୋଧକ"
List,"ତାଲିକା କରିବା, ତାଲିକା, ଚିଠା"
List of business,କାର୍ଯ୍ୟସୂଚୀ
Literate,"ସାକ୍ଷର, ଲିଖନ-ପଠ କ୍ଷମ"
Litigant,"ମକଦ୍ଧମାରେ ଜଡ଼ିତ ପକ୍ଷ, ବିବଦମାନ, ମକଦ୍ଦମାଖୋର"
Litigation,"ମାଲିମକଦ୍ଦମା, ମକଦ୍ଦମାବାଜି"
Livery allowance,ପେଷାକ ଭତ୍ତା
Livestock,ପଶୁସମ୍ପଦ
Living standard,ଜୀବନ ସ୍ତର
Living wage,ଜୀବୀକା ନିର୍ବାହ ଖର୍ଚ୍ଚ
Loading,"ବୋଝେଇ, ଲଦନ"
Loan,"କରଜ, ଧାର, ଋଣ"
Loaner,କରଜ ନେବା ଲୋକ
Loaning department,କରଜ ଦେବା ବିଭାଗ
Lobby,"ଲବି, ଗୋଷ୍ଠୀ କକ୍ଷ, ଅପେକ୍ଷାଗୃହ ବାରଣ୍ଡା, ଗୋଷ୍ଠୀମତ ପ୍ରଚାର କରିବା"
Lobbying,ସମର୍ଥନ ମୋଗାତ କରିବା
Lock in period,ତାଲାବନ୍ଦ ସମୟ
Lock out,"ତାଲାବନ୍ଦୀ, ତାଲାବନ୍ଦ ଘୋଷଣା"
Locus standi,"ବୈଧ ସ୍ଥିତି, ସ୍ଥିତି ଅଧିକାର"
Lodging,"ଭଡ଼ା ଘର, ଲଜିଂ"
Log book,"କାର୍ଯ୍ୟପଞ୍ଜି, ଯାତ୍ରା ପୁସ୍ତକ, ଲଗ୍ ବୁକ୍"
Logic,"ତର୍କ ଶାସ୍ତ୍ର, ଯୁକ୍ତି"
Logo,ସଂସ୍ତାର ଚିହ୍ନ ବା ପ୍ରତୀକ
Long distance call,ଦୂରସ୍ଥ ଡାକରା
Long hand,ହସ୍ତଲିପି
Lot,ପ୍ରଚୁର
Lower,"ତଳ, ନିମ୍ନତର, କମାଇବା, ଖସାଇବା"
Lowest rate,"ନିନ୍ମତମ ଦର, ସର୍ବମିମ୍ନ ଦର"
Low grade,ନିମ୍ନ ଶ୍ରେଣୀ
Loyal,ନିଷ୍ଠାବାନ
Lump sum,ଥୋକ ଧନ
Lumpsum grant,"ଏକକାଳୀନ ପ୍ରଦତ୍ତ ଅନୁଦାନ, ଥୋକଦାନ"
Machinery,"ଯନ୍ତ୍ରପାତି, କଳକବ୍ଜା"
Machinery of government,ସରକାରୀ କଳ
Magazine,"ଆୟୁଧାଗାର, ବାରୁଦଖାନା, ପତ୍ରିକା, ଗୁଳିଖୋପ"
Mailing list,ଚିଠି ଯିବା ବ୍ୟକ୍ତିଙ୍କ ତାଲିକା
Maintain,"ଭରଣପୋଷଣ କରିବା, ବଜୟ ରଖିବା, ଅନୁରକ୍ଷଣ କରିବା"
Maintenance,"ଭରଣପୋଷଣ, ରକ୍ଷା, ରକ୍ଷଣାବେକ୍ଷଣ"
Major,"ସାବାଳକ, ପ୍ରାପ୍ତବୟସ୍କ, ମୁଖ୍ୟ, ବୃହତ୍, ବଡ଼, ମେଜର୍, ଗୁରୁତର"
Majority,"ସାବାଳକତ୍ୱ, ବହୁମତ, ସଂଖ୍ୟାଧିକ୍ୟ"
Major works,ବଡ଼ ନିର୍ମାଣ କାର୍ଯ୍ୟ
Make up,ପୁରଣ କରିବା
Maladjustment,"କୁବ୍ୟବସ୍ଥା, ବେଖାପ ଅବସ୍ଥା"
Maladministration,କୁ-ଶାସନ
Malafide,"ଦୁରାଶୟ, ଅସଦ୍"
Malice,"ଅହିତ ଇଚ୍ଛା, ଦ୍ୱେଷ"
Malpractice,"ଅସଦାଚାର, ଅସଦାଚରଣ, କୁକ୍ରିୟା, ଅବୈଧ କର୍ମ"
Maltreatment,"ଦୁର୍ବ୍ୟବହାର, ଅତ୍ୟାଚାର"
Management,"ପରିଚାଳନାବର୍ଗ, ପରିଚାଳନା"
Manager,"ପରିଚାଳକ, ନିର୍ବାହକ"
Mandate,"ଜନାଦେଶ, ଆଦେଶନାମା"
Mandatory,"ଜନାଦିଷ୍ଟ, ଅବଶ୍ୟ ପାଳନୀୟ, ବାଧ୍ୟତାମୂଳକ, ଆଦେଶାତ୍ମକ"
Mandays,"କର୍ମ ଦିବସ, ଶ୍ରମଦାନ ଦିବସ"
Manhours,"ଶ୍ରମ ଘଣ୍ଟା, ଶ୍ରମ ସମୟ"
Manifesto,"ଘୋଷଣାପତ୍ର, ଇସ୍ତାହାର"
Manipulation,"କାରସାଦି, କୂଟକୌଶଳ"
Manoeuvre,"ଚାଲ କପଟ ଉପାୟ, ଚାଲ୍ କରିବା"
Manpower,"ଜନଶକ୍ତି, ଲୋବ-ବଳ"
Man-to-man ranking,ବ୍ୟକ୍ତିଶଃ ଶ୍ରେଣୀକରଣ
Manual,"ହସ୍ତଚାଳିତ, ହସ୍ତକୃତ, ଶାରୀରିକ, ନିୟମ ବହି, ପ୍ରକରଣ ପୁସ୍ତିକା"
Manual labour,ଶାରୀରିକ ଶ୍ରମ
Manufacture,"ନିର୍ମାଣ କରିବା, ପ୍ରସ୍ତୁତ କରିବା"
Manufacturer,"ନିର୍ମାତା, ପ୍ରସ୍ତୁତକର୍ତ୍ତା"
Manuscript,ପାଶୁଲିପି
Map,"ମାନଚିତ୍ର, ମାନଚିତ୍ର ଅଙ୍କିତ"
Margin,"ଧାରା, ହାସିଆ, ପ୍ରାନ୍ତ, ଅନ୍ତର, ମୁଖ୍ୟ ପାର୍ଥକ୍ୟ"
Marginal,"ଧାରୀୟ, ଧାରସ୍ଥ, ପ୍ରାନ୍ତିକ, ପାର୍ଶ୍ୱଲିଖିତ, ନାମମାତ୍ର, ଅଳ୍ପ"
Marital status,ବୈବାହିକ ସ୍ଥିତି
Marketing,ବିପଣନ
Marketing economy,ବଜାର ଅର୍ଥବ୍ୟବସ୍ଥା
Mark,"ଚିହ୍ନ ଦେବା, ଦାଗ ଦେବା, ଲକ୍ଷ୍ୟ କରିବା, ଚିହ୍ନ, ବିଶିଷ୍ଟତା, ମାର୍କ, ଅଙ୍କ, ସୀମା"
Marksheet,"ଅଙ୍କ ତାଲିକା, ନମ୍ବର ତାଲିକା"
Marks obtained,ପ୍ରାପ୍ତ ଅଙ୍କ
Mass,"ପିଣ୍ଡ, ଗଣ, ରାଶି, ମୁଖ୍ୟ"
Mass communication,ଗଣ ଯୋଗାଯୋଗ
Mass consumption,ବ୍ୟାପକ ଉପଭୋଗ
Mass immunization,ବ୍ୟାପକ ପ୍ରତିରକ୍ଷଣ
Mass media,ଗଣ ମାଧ୍ୟମ
Mass production,ବହୁଳ ଉତ୍ପାଦନ
Master file,ପ୍ରଧାନ ଫାଇଲ
Master of ceremonies,ସାମାଜିକ ଉତ୍ସବ ର ପରିଚାଳକ
Master plan,ମହାଯୋଜନା
Matching grant,ଅନୁରୂପ ଅନୁଦାନ
Material,"ସାମଗ୍ରୀ, ବସ୍ତୁ, ଭୌତିକ, ପାର୍ଥିକ, ସାରବାନ, ବାସ୍ତବ"
Maternity,"ପ୍ରସୂତି, ମାତୃତ୍ୱ"
Maternity leave,ପ୍ରସୂ ତି ଛୁଟି
Matriculate,ମେଟ୍ରିକ ପାସ
Matrimonial,ବୈବାହିକ
Mature,"ପାକଳ, ପୂର୍ଣ୍ଣ ବିକଶିତ, ପରିପକ୍ୱ"
Maturity date,ପରିପକ୍ୱ ତାରିଖ
Maximum,ଅଧିକତମ
Means,"ସାଧନ, ମାଧ୍ୟମ, ଆର୍ଥିକ ସମ୍ବଳ, ଧନସଂପତ୍ତି"
Measure,"ମାପ, ଉପାୟ, କାର୍ଯ୍ୟପନ୍ଥା, ପରିମାଣ, ମାପକ, ମାପିବା"
Measurement,"ପରିମିତ, ମାପଚୁପ"
Measures,"କାର୍ଯ୍ୟପନ୍ଥା, ଉପାୟ"
Mechanic,"ଯାନ୍ତ୍ରିକ, ଯନ୍ତ୍ରବତ୍, ମେକାନିକ୍, କାରିଗର, ମିସ୍ତ୍ରୀ, ଯନ୍ଦ୍ରସାଳ"
Mechanical,"ଯନ୍ତ୍ରଚାଳିତ, ଯ଼ାନ୍ତ୍ରିକ"
Mechanism,"ଯନ୍ତ୍ରକ୍ରିୟା, ସଂକ୍ରିୟା, ଯନ୍ତ୍ର ବିନ୍ୟାସ, ଯନ୍ତ୍ରବାଦ"
Media,"ମାଧ୍ୟମ, ଯୋଗଯୋଗ, ମାଧ୍ୟମ ସଂସ୍ଥା"
Mediate,"ମଧ୍ୟସ୍ଥତା କରିବା, ମଧ୍ୟସ୍ଥିତ"
Medical,"ଡାକ୍ତରୀ, ଚିକିତ୍ସାବିଦ୍ୟା ସଂପର୍କୀୟ"
Medical benefit,ଚିକିତ୍ସା ସୁବିଧା
Medical examination,ଡାକ୍ତରୀ ପରୀକ୍ଷା
Medico-legal,ନ୍ୟାୟ ବୈଦ୍ୟକ
Medium,"ମାଧ୍ୟମ, ମଧ୍ୟମ"
Meeting in camera,ଗୁପ୍ତ ବୈଠକ
Member,"ସଦସ୍ୟ, ଲୋକ, ସଭ୍ୟ"
Memo,ସ୍ମାରକପତ୍ର ଜ୍ଞାପନ
Memorial,"ସ୍ମାରକୀ, ସ୍ମାରକୀ ପ୍ରତିଷ୍ଠାନ, ସ୍ମୃତି ରକ୍ଷକ, ସ୍ମୃତି ସମ୍ବନ୍ଧୀୟ"
Mental ability,ମାସକିକ ସାମର୍ଥ୍ୟ
Menu,ବ୍ୟଂଜନ ସୂଚୀ
Merger,"ବିଲୟନ, ମିଶ୍ରଣ, ଏକୀକରଣ"
Merit,"ଯୋଗ୍ୟତା, ଗୁଣ, ଉତ୍କର୍ଷ, ଗୁଣ ସମ୍ପନ୍ନ ହେବା, ଯୋଗ୍ୟ ହେବା"
Merit list,ଯୋଗ୍ୟତା ତାଲିକା
Meritorious,"ଗୁଣବନ୍ତ, ଗୁଣସଂପନ୍ନ"
Merits,ଗୁଣାଗୁଣ
Merit scholarship,ଯୋଗ୍ୟତା ଛାତ୍ରବୃତି
Message,"ବାର୍ତ୍ତା, ସନ୍ଦେଶ, ସମ୍ବାଦ"
Method,"ପଦ୍ଧତି, ପ୍ରବିଧି"
Methodology,"ପଦ୍ଧତି ଶାସ୍ତ୍ର, ପ୍ରଣାଳୀ ବିଜ୍ଞାନ"
Metropolitan area,ମହାନଗର କ୍ଷେତ୍ର
Middle income group,ମଧ୍ୟମ ଆୟବର୍ଗ
Middleman,"ଭଲଲୋକ, ମଧ୍ୟସ୍ଥ, ଦଲାଲ"
Midwifery,ପ୍ରସୂତି ବିଦ୍ୟ
Migrant,"ପ୍ରବାସୀ, ଦେଶାନ୍ତରୀ"
Mileage,"ମାଇଲ-ବଡ଼ା, ମାଇଲ ଦୂରତା"
Militancy,ଲଡାକୁ ବୃତ୍ତି
Millennium,ସହସ୍ରାବ୍ଦି
Miniature,"କ୍ଷୁଦ୍ରକାର, କ୍ଷୁଦ୍ର ରୂପ"
Minimum,"ନ୍ୟୂନତମ, ନ୍ୟୂନତମ ସଂଖ୍ୟା"
Mining,"ଖଣି ବିଦ୍ୟା, ଖଣନ"
