Kannada,Punjabi
ಇಂಟರ್ಪ್ರೊಸೆಸ್ ಸಂವಹನ,ਇੰਟਰਪ੍ਰੋਸੈੱਸ ਸੰਚਾਰ
ಅಂತರಾಯಕ್,ਅੰਤਰਯਾਕ
ಅಡ್ಡಿ ಹ್ಯಾಂಡ್ಲರ್,ਰੁਕਾਵਟ ਹੈਂਡਲਰ
ಅಡ್ಡಿ ಕವರ್,ਵਿਘਨ ਕਵਰ
ಅಡ್ಡಿ ಸಂಕೇತ,ਰੁਕਾਵਟ ਸਿਗਨਲ
ಅಡ್ಡಿಪಡಿಸು ವೆಕ್ಟರ್,ਰੁਕਾਵਟ ਵੈਕਟਰ
ಅಡ್ಡಿಪಡಿಸಿ,ਵਿਘਨ
ಛೇದಕ,ਚੌਰਾਹੇ
"1.ಅಂತರ್ಜಾಲ, 2.ಅಂತರ್ಜಾಲ","1.ਇੰਟਰਨੈੱਟ, 2.ਇੰਟਰਨੈੱਟ"
ಬದಲಾಗದ,ਅਟੱਲ
ದಾಸ್ತಾನು ಮುಖ್ಯ ಫೈಲ್,ਵਸਤੂ ਮੁੱਖ ਫਾਇਲ
ವಿಲೋಮ ಮಲ್ಟಿಪ್ಲೆಕ್ಸರ್,ਉਲਟ ਮਲਟੀਪਲੈਕਸਰ
ವಿಲೋಮ ಸ್ಕ್ಯಾನಿಂಗ್,ਉਲਟ ਸਕੈਨਿੰਗ
ರಿವರ್ಸ್ ಫೈಲ್,ਉਲਟਾ ਫਾਇਲ
ರಿವರ್ಸ್ ಪಟ್ಟಿ ಫೈಲ್,ਉਲਟ ਸੂਚੀ ਫਾਇਲ
ವಿಲೋಮ ಪುಟ ಕೋಷ್ಟಕ,ਉਲਟ ਪੰਨਾ ਸਾਰਣੀ
"1. ವಿನಿಮಯಕಾರಕ, 2. ಚಿಹ್ನೆ","1. ਇੰਟਰਚੇਂਜਰ, 2. ਪ੍ਰਤੀਕ"
ಕಾರ್ಯ ನಿರ್ವಹಣೆ,ਕਾਰਜ ਪ੍ਰਬੰਧਨ
ಕ್ರಿಯೆ ಆಧಾರಿತ ಭಾಷೆ,ਕਾਰਵਾਈ ਅਧਾਰਿਤ ਭਾਸ਼ਾ
ಕಾರ್ಯ ಆದ್ಯತೆ,ਕੰਮ ਦੀ ਤਰਜੀਹ
ಕೆಲಸದ ವೇಳಾಪಟ್ಟಿ,ਨੌਕਰੀ ਦੀ ਸਮਾਂ-ਸਾਰਣੀ
ಕಾರ್ಯ ಅನುಕ್ರಮ,ਕਾਰਜ ਕ੍ਰਮ
ಕೆಲಸದ ವೇಳಾಪಟ್ಟಿ,ਕੰਮ ਦਾ ਕਾਰਜਕ੍ਰਮ
ಅಳವಡಿಕೆ,ਸੰਮਿਲਨ
ಜಂಟಿ ಛಾಯಾಗ್ರಹಣ ಗುಂಪು (JPG),ਜੁਆਇੰਟ ਫੋਟੋਗ੍ਰਾਫੀ ਗਰੁੱਪ (JPG)
ಪತ್ರಿಕೆ,ਮੈਗਜ਼ੀਨ
ಸಂತೋಷ ಕೋಲು,ਖੁਸ਼ੀ ਦੀ ਸੋਟੀ
"1.ಮೌಲ್ಯಮಾಪನ, 2.ನಿರ್ಧಾರ","1. ਮੁਲਾਂਕਣ, 2. ਫੈਸਲਾ"
ನೆಗೆಯುವುದನ್ನು,ਛਾਲ
ಜಂಪ್ ಸೂಚನೆ,ਛਾਲ ਮਾਰਨ ਦੀ ਹਦਾਇਤ
ಜಿಗಿತಗಾರ,ਜੰਪਰ
"1. ಸಂಗಮ, 2. ಸಂಧಿ, 3. ಜಂಟಿ","1. ਸੰਗਮ, 2. ਸੰਧੀ, 3. ਸੰਯੁਕਤ"
ಕಸದ,ਰੱਦੀ
ಸಮರ್ಥನೆ,ਜਾਇਜ਼
ಕಿಲೋ ಬೈಟ್,ਕਿਲੋ ਬਾਈਟ
ಕಾರ್ನಾಫ್ ನಕ್ಷೆ,Karnoff ਨਕਸ਼ਾ
ಕಾರ್ನಾಫ್ ಚಿತ್ರ,karnoff ਤਸਵੀਰ
ಕೆಬಿ (ಕಿಲೋಗ್ರಾಂ ಬೈಟ್),KB (ਕਿਲੋਗ੍ਰਾਮ ਬਾਈਟ)
"1. ಅಷ್ಟಿ, 2. ಕರ್ನಲ್‌ಗಳು, 3. ಕಲಂ","1. ਅਸ਼ਟਿ, 2. ਕਰਨਲ, 3. ਕਰਨਲ"
ಎಂಟು ಮೋಡ್,ਅੱਠ ਮੋਡ
ಒಗ್ಗಿಕೊಳ್ಳುವಿಕೆ,ਅਨੁਕੂਲਤਾ
ಕೀ,ਕੁੰਜੀ
ಕೀಬೋರ್ಡ್,ਕੀਬੋਰਡ
"1.ಕೀ ಬೌನ್ಸ್, 2.ಕೀ ರಿಜೆಕ್ಟ್","1.ਕੁੰਜੀ ਉਛਾਲ, 2.ਕੁੰਜੀ ਅਸਵੀਕਾਰ"
ಕೀ ಕ್ಲಿಕ್,ਕੁੰਜੀ ਕਲਿੱਕ
ಕೀ ಸಂಕೋಚನ,ਕੁੰਜੀ ਕੰਪਰੈਸ਼ਨ
"1.ಕೀ ಡಿಸ್ಕ್, 2.ಕೀ ಡಿಸ್ಕ್","1.ਕੁੰਜੀ ਡਿਸਕ, 2.ਕੀ ਡਿਸਕ"
ಕೀ ಎನ್ಕೋಡಿಂಗ್,ਕੁੰਜੀ ਇੰਕੋਡਿੰਗ
ಮುಖ್ಯ ಪ್ರದೇಶ,ਮੁੱਖ ਖੇਤਰ
"1.ಕೀ ಫೈಲ್, 2.ಕೀ ಫೈಲ್","1.ਕੁੰਜੀ ਫਾਈਲ, 2.ਕੁੰਜੀ ਫਾਈਲ"
ಮುಖ್ಯ ರಚನೆ,ਮੁੱਖ ਬਣਤਰ
ಪ್ರಮುಖ ನಿರ್ವಹಣೆ,ਕੁੰਜੀ ਪ੍ਰਬੰਧਨ
ಕೀ ಪ್ಯಾಡ್,ਕੁੰਜੀ ਪੈਡ
ಕೀ ಪ್ಯಾಡ್,ਕੁੰਜੀ ਪੈਡ
ಪ್ರಮುಖ ನುಡಿಗಟ್ಟು,ਮੁੱਖ ਵਾਕਾਂਸ਼
ಪ್ರಮುಖ ನಾಡಿ,ਕੁੰਜੀ ਨਬਜ਼
ಕೀ ಪಂಚರ್,ਕੁੰਜੀ puncher
ಪ್ರಮುಖ ರೀತಿಯ,ਕੁੰਜੀ ਲੜੀਬੱਧ
"1.ಕೀ ಸ್ಟ್ರೋಕ್, 2.ಕೀ ಸ್ಟ್ರೋಕ್, 3.ಕೀ ಒತ್ತಡ","1.ਕੁੰਜੀ ਸਟ੍ਰੋਕ, 2.ਕੀ ਸਟ੍ਰੋਕ, 3.ਕੀ ਦਬਾਅ"
ವಿಳಾಸ ವರ್ಗಾವಣೆ ಕೀ,ਪਤਾ ਟ੍ਰਾਂਸਫਰ ਕੁੰਜੀ
"1. ಡಿಸ್ಕ್ ಕೀ, 2. ಡಿಸ್ಕ್ ಕೀ","1. ਡਿਸਕ ਕੁੰਜੀ, 2. ਡਿਸਕ ਕੁੰਜੀ"
ಫ್ಲಾಪಿ ಕೀ,ਫਲਾਪੀ ਕੁੰਜੀ
ಟೇಪ್ ಕೀ,ਟੇਪ ਕੁੰਜੀ
ಪ್ರಮುಖ ಪದ,ਮੁੱਖ ਸ਼ਬਦ
"1.ಕಿಕ್, 2.ತಂಪ್","1.ਲੱਤੀ, 2.ਥੰਪ"
ಗುಡಿಸಲು,ਝੌਂਪੜੀ
ಕಿಲೋ ಬಿಟ್,ਕਿਲੋ ਬਿੱਟ
ಗಂಟು,ਗੰਢ
ಜ್ಞಾನ ಆಧಾರಿತ ಮಾಹಿತಿ ಸೇವೆಗಳು,ਗਿਆਨ ਅਧਾਰਤ ਜਾਣਕਾਰੀ ਸੇਵਾਵਾਂ
ಜ್ಞಾನದ ಅನ್ವೇಷಣೆ,ਗਿਆਨ ਦੀ ਖੋਜ
ಜ್ಞಾನ ಹುಡುಕಾಟ ಡೇಟಾಬೇಸ್,ਗਿਆਨ ਖੋਜ ਡੇਟਾਬੇਸ
ಜ್ಞಾನ ಎಂಜಿನಿಯರಿಂಗ್,ਗਿਆਨ ਇੰਜੀਨੀਅਰਿੰਗ
ಜ್ಞಾನ ನಿರ್ವಹಣಾ,ਗਿਆਨ ਪ੍ਰਬੰਧਨ
ಜ್ಞಾನ ಕಾರ್ಯಕರ್ತ,ਗਿਆਨ ਕਰਮਚਾਰੀ
ಲ್ಯಾನ್ ಅಡಾಪ್ಟರ್,ਲੈਨ ਅਡਾਪਟਰ
"1.LAN ಸರ್ವರ್, 2.LAN ಸರ್ವರ್","1.LAN ਸਰਵਰ, 2.LAN ਸਰਵਰ"
LAN ಕಾರ್ಯಸ್ಥಳ,LAN ਕੰਮ ਵਾਲੀ ਥਾਂ
ಸಮತಲ ಚಿತ್ರ,ਖਿਤਿਜੀ ਤਸਵੀਰ
"1. ಅಡ್ಡ ಚಿತ್ರ, 2. ಭೂದೃಶ್ಯ","1. ਹਰੀਜੱਟਲ ਚਿੱਤਰ, 2. ਲੈਂਡਸਕੇਪ"
ಭಾಷೆ,ਭਾਸ਼ਾ
ಭಾಷಾ ಬೋಧಕ,ਭਾਸ਼ਾ ਸਿੱਖਿਅਕ
ಭಾಷಾ ಸಂಸ್ಕಾರಕ,ਭਾਸ਼ਾ ਪ੍ਰੋਸੈਸਰ
"1. ಭಾಷಾ ವರ್ಗಾವಣೆ, 2. ಭಾಷಾ ಅನುವಾದಕ","1.Language Transferr, 2.Language Translator"
ಲ್ಯಾಪ್ಟಾಪ್,ਲੈਪਟਾਪ
ಸಮಗ್ರ ಏಕೀಕರಣ (LSI),ਵਿਆਪਕ ਏਕੀਕਰਣ (LSI)
ಸಾಮೂಹಿಕ ಏಕೀಕರಣ (LSI),ਪੁੰਜ ਏਕੀਕਰਣ (LSI)
ಲೇಸರ್,ਲੇਜ਼ਰ
ಲೇಸರ್ ಮುದ್ರಕ,ਲੇਜ਼ਰ ਪ੍ਰਿੰਟਰ
ಕೊನೆಯ ಇನ್‌ಪುಟ್ ಮೊದಲ ಸಂಚಿಕೆ (LIFO),ਆਖਰੀ ਇਨਪੁਟ ਪਹਿਲਾ ਅੰਕ (LIFO)
ಪದರ,ਪਰਤ
"ನೀಲನಕ್ಷೆ, ವಿನ್ಯಾಸ","ਖਾਕਾ, ਖਾਕਾ"
"1. ಎಲೆಗಳು, 2. ಎಲೆಗಳು, 3. ಪತ್ರ","1. ਪੱਤੇ, 2. ਪੱਤੇ, 3. ਪੱਤਰ"
ಎಲೆ ನೋಡ್,ਪੱਤਾ ਨੋਡ
ಎಲೆ ಚುಕ್ಕೆ,ਪੱਤਾ ਸਪਾਟ
ಗುತ್ತಿಗೆ,ਲੀਜ਼
"1.ಲೀಸ್ ಚಾನಲ್, 2.ಲೀಸ್ ಸಿಸ್ಟಮ್","1.ਲੀਜ਼ ਚੈਨਲ, 2.ਲੀਜ਼ ਸਿਸਟਮ"
"1.ಲೈನ್, 2.ಲೀಶ್ ಲೈನ್","1.ਲਾਈਨ, 2.ਲੀਸ਼ ਲਾਈਨ"
ಕನಿಷ್ಠ ಅರ್ಥಪೂರ್ಣ ಬಿಟ್ ಶೆಲ್.ಎಸ್ಬಿ),ਘੱਟੋ-ਘੱਟ ਅਰਥਪੂਰਨ ਬਿੱਟ shell.sb)
ಕನಿಷ್ಠ ಗಮನಾರ್ಹ ಸ್ಕೋರ್,ਘੱਟੋ-ਘੱਟ ਮਹੱਤਵਪੂਰਨ ਸਕੋਰ
"1. ಆನುವಂಶಿಕ ವ್ಯವಸ್ಥೆ, 2. ಆನುವಂಶಿಕ ವ್ಯವಸ್ಥೆ","1. ਵਿਰਾਸਤੀ ਪ੍ਰਣਾਲੀ, 2. ਵਿਰਾਸਤੀ ਪ੍ਰਣਾਲੀ"
"1. ಲೆಮಾ, 2. ಪ್ರಮೇಯ","1. ਲੇਮਾ, 2. ਪ੍ਰਮੇਯ"
ಅಕ್ಷರದ ಗುಣಮಟ್ಟ (LQ),ਅੱਖਰ ਗੁਣਵੱਤਾ (LQ)
ಮೌಖಿಕವಾಗಿ,ਸ਼ਬਦਾਵਲੀ
ನಿಘಂಟುಶಾಸ್ತ್ರ,ਕੋਸ਼ ਵਿਗਿਆਨ
"1.ಆರ್ಕೈವ್, 2.ಲೈಬ್ರರಿ","1.ਆਰਕਾਈਵ, 2.ਲਾਇਬ੍ਰੇਰੀ"
"1.ಲೈಬ್ರರಿ ಪ್ರೋಗ್ರಾಂ, 2.ಆರ್ಕೈವ್ ಪ್ರೋಗ್ರಾಮಿಂಗ್","1.ਲਾਇਬ੍ਰੇਰੀ ਪ੍ਰੋਗਰਾਮ, 2.ਆਰਕਾਈਵ ਪ੍ਰੋਗਰਾਮਿੰਗ"
ಗ್ರಂಥಾಲಯ ಡೈರೆಕ್ಟರಿ,ਲਾਇਬ੍ਰੇਰੀ ਡਾਇਰੈਕਟਰੀ
"1. ಪರವಾನಗಿ ಒಪ್ಪಂದ, 2. ಪರವಾನಗಿ ಒಪ್ಪಂದ","1. ਲਾਇਸੈਂਸ ਇਕਰਾਰਨਾਮਾ, 2. ਲਾਇਸੈਂਸ ਇਕਰਾਰਨਾਮਾ"
ಲೈಟ್ ಎಮಿಟಿಂಗ್ ಡಯೋಡ್‌ಗಳು (ಎಲ್‌ಇಡಿ),ਲਾਈਟ ਐਮੀਟਿੰਗ ਡਾਇਡਸ (LEDs)
ಲಘು ಗನ್,ਹਲਕਾ ਬੰਦੂਕ
ಬೆಳಕಿನ ಪೆನ್,ਹਲਕਾ ਕਲਮ
ರೇಖೀಯ ಅಡಾಪ್ಟರ್,ਰੇਖਿਕ ਅਡਾਪਟਰ
ಸಾಲು ಸಂಪಾದನೆ,ਲਾਈਨ ਸੰਪਾਦਨ
"1.ಲೈನ್ ಪ್ರಿಂಟರ್, 2.ಲೈನ್ ಪ್ರಿಂಟರ್","1.ਲਾਈਨ ਪ੍ਰਿੰਟਰ, 2.ਲਾਈਨ ਪ੍ਰਿੰਟਰ"
"1.ರೇಖೀಯ, 2.ರೇಖೀಯ","1.ਰੇਖਿਕ, 2.ਰੇਖਿਕ"
ಪ್ರತಿ ನಿಮಿಷಕ್ಕೆ ಸಾಲುಗಳು (LPM),ਲਾਈਨਾਂ ਪ੍ਰਤੀ ਮਿੰਟ (LPM)
"1. ಲಿಂಕ್, ಲಿಂಕ್, 2. ಚೈನ್, 3. ಕರಾರುಪತ್ರ","1. ਲਿੰਕ, ਲਿੰਕ, 2. ਚੇਨ, 3. ਬਾਂਡ"
ಚೈನ್ಡ್ ಪಟ್ಟಿ,ਜੰਜੀਰੀ ਸੂਚੀ
ಲಿನಕ್ಸ್,ਲੀਨਕਸ
"1.ಲಿಕ್ವಿಡ್ ಕ್ರಿಸ್ಟಲ್ ಡಿಸ್ಪ್ಲೇ, 2.ಲಿಕ್ವಿಡ್ ಕ್ರಿಸ್ಟಲ್ ಡಿಸ್ಪ್ಲೇ (LCD)","1.ਤਰਲ ਕ੍ਰਿਸਟਲ ਡਿਸਪਲੇ, 2.ਲਿਕਵਿਡ ਕ੍ਰਿਸਟਲ ਡਿਸਪਲੇ (LCD)"
ಪಟ್ಟಿ ಪ್ರಕ್ರಿಯೆ,ਸੂਚੀ ਦੀ ਕਾਰਵਾਈ
"1.ಅಕ್ಷರ, 2.ಅಕ್ಷರ","1. ਅੱਖਰ, 2. ਸ਼ਾਬਦਿਕ"
"1. ಸಕ್ರಿಯ, 2. ದೇಶ, 3. ವಿದ್ಯುತ್, 4. ಚಲಿಸುವ","1. ਕਿਰਿਆਸ਼ੀਲ, 2. ਜੀਵਤ, 3. ਬਿਜਲੀ, 4. ਚਲਦਾ"
ಲೈವ್ ಗಂಟು,ਲਾਈਵ ਗੰਢ
"1.ಲೋಡ್, 2.ಲೋಡ್","1. ਲੋਡ, 2. ਲੋਡ"
"1.ಲೋಡ್ ಮಾಡ್ಯೂಲ್, 2.ಲೋಡ್ ಮಾಡ್ಯುಲೇಟರ್","1.ਲੋਡ ਮੋਡਿਊਲ, 2.ਲੋਡ ਮੋਡਿਊਲੇਟਰ"
"1.ಸ್ಥಳೀಯ, 2.ಸ್ಥಳೀಯ","1.ਸਥਾਨਕ, 2.ਸਥਾਨਕ"
ಸ್ಥಳೀಯ ಪ್ರವೇಶ,ਸਥਾਨਕ ਪਹੁੰਚ
ಲೋಕಲ್ ಏರಿಯಾ ನೆಟ್‌ವರ್ಕ್ (LAN),ਲੋਕਲ ਏਰੀਆ ਨੈੱਟਵਰਕ (LAN)
ಸ್ಥಳೀಯ ಸ್ಪಷ್ಟತೆ,ਸਥਾਨਕ ਸਪੱਸ਼ਟਤਾ
"1. ಸ್ಥಳೀಯ ನೆಟ್‌ವರ್ಕ್, 2. ಸ್ಥಳೀಯ ಕೇಂದ್ರ 3. ಸ್ಥಳೀಯ ವಿನಿಮಯ","1. ਸਥਾਨਕ ਨੈੱਟਵਰਕ, 2. ਸਥਾਨਕ ਕੇਂਦਰ 3. ਸਥਾਨਕ ਮੁਦਰਾ"
ಸ್ಥಳೀಯ ಸ್ಮರಣೆ,ਸਥਾਨਕ ਮੈਮੋਰੀ
ಸ್ಥಳೀಯ ಮೋಡ್,ਸਥਾਨਕ ਮੋਡ
ಸ್ಥಳೀಯ ವೇರಿಯಬಲ್,ਸਥਾਨਕ ਵੇਰੀਏਬਲ
"ಲೂಪ್, ಲಾಕ್","ਲੂਪ, ਲਾਕ"
ಲೂಪ್ ಫೈಲ್,ਲੂਪ ਫਾਈਲ
ಅಧಿವೇಶನ ಆರಂಭ,ਸੈਸ਼ਨ ਸ਼ੁਰੂ
ಅವಧಿಯ ಅಂತ್ಯ,ਮਿਆਦ ਦੇ ਅੰਤ
ಲೇಖಕರು,ਲੇਖਕ
ತರ್ಕ ವಿಶ್ಲೇಷಕ,ਤਰਕ ਵਿਸ਼ਲੇਸ਼ਕ
ತರ್ಕ ಬಾಂಬ್,ਤਰਕ ਬੰਬ
ಲಾಜಿಕ್ ಕಾರ್ಡ್,ਤਰਕ ਕਾਰਡ
ಲಾಜಿಕ್ ಚಾರ್ಟ್ (ಫ್ಲೋಚಾರ್ಟ್),ਤਰਕ ਚਾਰਟ (ਫਲੋਚਾਰਟ)
ಲಾಜಿಕ್ ಸರ್ಕ್ಯೂಟ್,ਤਰਕ ਸਰਕਟ
ತರ್ಕ ವಿನ್ಯಾಸ,ਤਰਕ ਡਿਜ਼ਾਈਨ
ತರ್ಕ ರೇಖಾಚಿತ್ರ,ਤਰਕ ਚਿੱਤਰ
ತಾರ್ಕಿಕ ಫ್ಲೋಚಾರ್ಟ್,ਲਾਜ਼ੀਕਲ ਫਲੋਚਾਰਟ
ತರ್ಕ ಕಾರ್ಯ,ਤਰਕ ਫੰਕਸ਼ਨ
ಲಾಜಿಕ್ ಗೇಟ್,ਤਰਕ ਗੇਟ
"1. ಲಾಜಿಕ್ ಪ್ರೋಗ್ರಾಮಿಂಗ್, 2. ಲಾಜಿಕ್ ಪ್ರೋಗ್ರಾಮಿಂಗ್","1. ਤਰਕ ਪ੍ਰੋਗਰਾਮਿੰਗ, 2. ਤਰਕ ਪ੍ਰੋਗਰਾਮਿੰਗ"
ತರ್ಕ ಸ್ಥಳಾಂತರ,ਤਰਕ ਵਿਸਥਾਪਨ
ತರ್ಕ ಸ್ಥಿತಿ,ਤਰਕ ਸਥਿਤੀ
ತರ್ಕ ಸ್ವಿಚ್,ਤਰਕ ਸਵਿੱਚ
ತರ್ಕ ಘಟಕ,ਤਰਕ ਇਕਾਈ
ತಾರ್ಕಿಕ,ਲਾਜ਼ੀਕਲ
ತಾರ್ಕಿಕ ಸಂಯೋಗ,ਲਾਜ਼ੀਕਲ ਜੋੜ
ತಾರ್ಕಿಕ ಡೇಟಾ ರಚನೆ,ਲਾਜ਼ੀਕਲ ਡਾਟਾ ਬਣਤਰ
ತಾರ್ಕಿಕ ರೇಖಾಚಿತ್ರ,ਲਾਜ਼ੀਕਲ ਚਿੱਤਰ
ತಾರ್ಕಿಕ ಅಭಿವ್ಯಕ್ತಿ,ਲਾਜ਼ੀਕਲ ਸਮੀਕਰਨ
ತಾರ್ಕಿಕ ಫ್ಲೋಚಾರ್ಟ್,ਲਾਜ਼ੀਕਲ ਫਲੋਚਾਰਟ
ತಾರ್ಕಿಕ IF (ತಾರ್ಕಿಕ ವೇಳೆ),ਲਾਜ਼ੀਕਲ IF (ਲਾਜ਼ੀਕਲ ਜੇ)
ತರ್ಕಬದ್ಧ ಕಾರ್ಯಾಚರಣೆ,ਤਰਕਸੰਗਤ ਕਾਰਵਾਈ
ತರ್ಕಬದ್ಧ ಆಪರೇಟರ್,ਤਰਕਸ਼ੀਲ ਆਪਰੇਟਰ
ತರ್ಕಬದ್ಧ ಸಂಪರ್ಕ,ਤਰਕਸ਼ੀਲ ਕੁਨੈਕਸ਼ਨ
ತಾರ್ಕಿಕ ಯೋಜನೆ,ਲਾਜ਼ੀਕਲ ਯੋਜਨਾ
"1. ತರ್ಕಬದ್ಧ ಪಾತ್ರ, 2. ತಾರ್ಕಿಕ ಪಾತ್ರ","1. ਤਰਕਸ਼ੀਲ ਅੱਖਰ, 2. ਤਰਕਸ਼ੀਲ ਅੱਖਰ"
ತಾರ್ಕಿಕ ಮಾದರಿ,ਲਾਜ਼ੀਕਲ ਪੈਟਰਨ
ತಾರ್ಕಿಕ ಮೌಲ್ಯ,ਲਾਜ਼ੀਕਲ ਮੁੱਲ
ತಾರ್ಕಿಕ ವೇರಿಯಬಲ್,ਲਾਜ਼ੀਕਲ ਵੇਰੀਏਬਲ
ಸಾಧಿಸಿದ ಅವಲೋಕನ,ਸੰਖੇਪ ਜਾਣਕਾਰੀ ਪ੍ਰਾਪਤ ਕੀਤੀ
ಪೂರ್ವವೀಕ್ಷಣೆ ಸೆಟ್,ਝਲਕ ਸੈੱਟ
ವೀಕ್ಷಣೆ,ਨਿਰੀਖਣ
"1.ಲೂಪ್, 2.ಲೂಪ್","1.ਲੂਪ, 2.ਲੂਪ"
ಲೂಪ್ ನಿಯಂತ್ರಣ,ਲੂਪ ਕੰਟਰੋਲ
ಲೂಪ್ ಆರಂಭಿಸುವಿಕೆ,ਲੂਪ ਸ਼ੁਰੂਆਤ
ಲೂಪ್ ಬದಲಾವಣೆ,ਲੂਪ ਪਰਿਵਰਤਨ
"1.ಲೂಪ್ ನೆಟ್ವರ್ಕ್, 2.ಲೂಪ್ ನೆಟ್ವರ್ಕ್","1. ਲੂਪ ਨੈੱਟਵਰਕ, 2. ਲੂਪ ਨੈੱਟਵਰਕ"
ಲೂಪ್ ಆರಂಭಿಸುವಿಕೆ,ਲੂਪ ਸ਼ੁਰੂਆਤ
ಲೂಪ್-ಎಂಡಿಂಗ್,ਲੂਪ-ਐਂਡ
ಕೌಂಟರ್-ಲೂಪ್ ಪರೀಕ್ಷೆ,ਵਿਰੋਧੀ-ਲੂਪ ਟੈਸਟ
ಸಡಿಲವಾಗಿ ಜೋಡಿಸಲಾಗಿದೆ,ਢਿੱਲੀ ਜੋੜੀ
ನಷ್ಟವಿಲ್ಲದ ಸಂಕೋಚನ,ਨੁਕਸਾਨ ਰਹਿਤ ਸੰਕੁਚਨ
ಹ್ಯಾಸ್ಸೆ ಕಂಪ್ರೆಷನ್,ਹੈਸ ਕੰਪਰੈਸ਼ਨ
ಕಡಿಮೆ ಬೈಟ್,ਘੱਟ ਬਾਈਟ
ಕಡಿಮೆ ಮಟ್ಟದ ಭಾಷೆ,ਹੇਠਲੇ ਪੱਧਰ ਦੀ ਭਾਸ਼ਾ
ಕಡಿಮೆ ಪಾಸ್ ಫಿಲ್ಟರ್,ਘੱਟ ਪਾਸ ਫਿਲਟਰ
"1.ಕಡಿಮೆ ಸ್ಥಿತಿ, 2. ಕೆಳಗೆ ಬಂಧಿಸಲಾಗಿದೆ","1. ਘੱਟ ਕੰਡੀਸ਼ਨਡ, 2. ਹੇਠਾਂ ਬੰਨ੍ਹਿਆ ਹੋਇਆ ਹੈ"
"1.MAC ಪ್ರೋಟೋಕಾಲ್, 2.MAC ಎಥಿಕ್ಸ್ (ಮಧ್ಯಮ ಪ್ರವೇಶ ನಿಯಂತ್ರಣ)","1.MAC ਪ੍ਰੋਟੋਕੋਲ, 2.MAC ਨੈਤਿਕਤਾ (ਮਿਡਲ ਐਕਸੈਸ ਕੰਟਰੋਲ)"
"1. ಯಂತ್ರ, 2. ಯಂತ್ರ","1. ਮਸ਼ੀਨ, 2. ਮਸ਼ੀਨ"
ಯಂತ್ರದ ವಿಳಾಸ,ਮਸ਼ੀਨ ਦਾ ਪਤਾ
"1. ಮೆಷಿನ್ ಕೋಡ್, 2. ಮೆಷಿನ್ ಕೋಡ್","1. ਮਸ਼ੀਨ ਕੋਡ, 2. ਮਸ਼ੀਨ ਕੋਡ"
ಯಂತ್ರ ಚಕ್ರ,ਮਸ਼ੀਨ ਦਾ ਚੱਕਰ
ಯಾಂತ್ರಿಕೃತ ಭಾಷೆ,ਮਸ਼ੀਨੀ ਭਾਸ਼ਾ
ಯಾಂತ್ರಿಕ ತಂತ್ರಾಂಶ,ਮਕੈਨੀਕਲ ਸਾਫਟਵੇਅਰ
ಸಾಧನ ದೋಷ,ਜੰਤਰ ਗਲਤੀ
ಯಂತ್ರ ನಿಷ್ಕ್ರಿಯ ಸಮಯ,ਮਸ਼ੀਨ ਦਾ ਵਿਹਲਾ ਸਮਾਂ
ಯಂತ್ರ ಭಾಷೆ,ਮਸ਼ੀਨ ਭਾਸ਼ਾ
ಕೈಪಿಡಿ,ਮੈਨੁਅਲ
ಯಂತ್ರ ಅರ್ಥ,ਮਸ਼ੀਨ ਦੀ ਭਾਵਨਾ
"1.ಯಂತ್ರ ಭಾಷೆ, 2.ಯಂತ್ರ ಭಾಷೆ","1.ਮਸ਼ੀਨ ਭਾਸ਼ਾ, 2.ਮਸ਼ੀਨ ਭਾਸ਼ਾ"
ಯಂತ್ರ ಕಲಿಕೆ,ਮਸ਼ੀਨ ਸਿਖਲਾਈ
ಯಂತ್ರ ಕಾರ್ಯಾಚರಣೆ,ਮਸ਼ੀਨ ਦੀ ਕਾਰਵਾਈ
ಯಂತ್ರ ಭಾಷೆ,ਮਸ਼ੀਨ ਭਾਸ਼ਾ
ಯಂತ್ರ ಕಾರ್ಯಕ್ಷಮತೆ,ਮਸ਼ੀਨ ਦੀ ਕਾਰਗੁਜ਼ਾਰੀ
ಯಂತ್ರ ಸಿಮ್ಯುಲೇಶನ್,ਮਸ਼ੀਨ ਸਿਮੂਲੇਸ਼ਨ
ಯಂತ್ರ ಅಪಹರಣ ಸಮಯ,ਮਸ਼ੀਨ ਅਗਵਾ ਕਰਨ ਦਾ ਸਮਾਂ
ಯಂತ್ರ ಅನುವಾದ,ਮਸ਼ੀਨ ਅਨੁਵਾਦ
ಯಂತ್ರ ಪದಗಳು,ਮਸ਼ੀਨ ਸ਼ਬਦ
ಮ್ಯಾಕ್ರೋ ಸೂಚನೆ,ਮੈਕਰੋ ਹਦਾਇਤ
ಮ್ಯಾಕ್ರೋ ಸ್ಕೇಲ್,ਮੈਕਰੋ ਸਕੇਲ
ಸಾಮೂಹಿಕ ಜೋಡಣೆ ಕಾರ್ಯಕ್ರಮ,ਮਾਸ ਅਸੈਂਬਲਿੰਗ ਪ੍ਰੋਗਰਾਮ
ಒಟ್ಟು ಕರೆ,ਕੁੱਲ ਕਾਲ
"1.ಮ್ಯಾಕ್ರೋ ಕೋಡ್, 2.ಮ್ಯಾಕ್ರೋ ಕೋಡ್","1.ਮੈਕਰੋ ਕੋਡ, 2.ਮੈਕਰੋ ਕੋਡ"
