abatement,"తొలగింపు, ముగింపు, తగ్గింపు"
number,సంఖ్య
numbering,"సంఖ్యా నిర్ధారణ, సంఖ్యా క్రమము"
numeral,"లెక్క, సంఖ్య"
oath,"ప్రమాణం, శపథం"
oath of allegiance,భక్తి విశ్వాస పూర్వక ప్రమాణం
oath of office,పదవీ స్వీకార ప్రమాణం
obedience,విధేయత
obituary,"మృత్యువార్త, మృత్యువు సూచన"
object,1. వస్తువు 2. లక్ష్యం 3. ఆక్షేపణ చెప్పు
objection,"ఆక్షేపణ, అభ్యంతరం"
objective,"1. ఉద్దేశం, లక్ష్యం 2. వస్తుపర, వస్తుగత"
objects and reasons,"ఉద్దేశ్యాలు, కారణాలు"
Obligatory,"విధ్యుక్త, ధర్మవిధి బద్ధ, అనివార్య"
obscene,"అశ్లీలమైన, అసభ్యమయిన"
obscene gesture,అశ్లీలమైన అభినయము
observer,పరిశీలకుడు
obsolete,"వ్యవహారములో లేని, వాడుకలో లేని"
obstruction,"ఆటంకము, అడ్డంకి"
obvious,స్పష్టమైన/వ్యక్తమైన
occasional,"అప్పుడప్పుడుతటస్థించే, అడపాదడపా"
occupancy,"1. అనుభోగం, స్వాధీనత, దఖలు 2. ఆక్రమణ"
occupant,స్వాధీనదారు
occupation,"వృత్తి, స్వాధీనం, అధీనం"
occupy,"ఆక్రమించుకొను, స్వాధీనం చేసుకొను"
octroi duty,రవణా పన్ను
off day,ఖాళీ రోజు (సెలపు రోజు)
off duty,విధి నిర్వహణలో లేకుండటం
off the record,రికార్డుకు వెలుపలి
offensive,"1. అపరాధక 2. ఆక్రమణాత్మక 3. అప్రియ, హానికర"
offer,"1. ప్రతిపాదన, అర్పణ 2. ప్రతిపాదన చేయు"
offer of appointment,నియమం కోసం ప్రతిపాదన
office,"కార్యస్థానము, కార్యాలయం"
office of profit,"లాభసాటి పదవి, ప్రతి ఫలయుక్తమైన పదవి"
official,"1. అధికారి, ఉద్యోగి 2. అధికార, ఆధికారిక"
official duty,అధికార విధి
official language,అధికార భాష
official report,అధికార నివేదిక
official version,అధికార కథనం
officialdom,అధికారుల వర్గము
officialese,కార్యాలయ పరమయిన
officially,అధికార రీత్యా
officiating,పదవీ నిర్వహణ చేయు
okay (O.K.; okey),1. సరే2. సమర్థించు
ombudsman,"ఓంబుడ్స్ మాన్, ప్రభుత్వమునకు చెందని పరిశోధకుడు"
on account grant,ఖాతా కింద మంజూరు
on demand,అడిగినప్పుడు
on duty,"విధి నిర్వహణలో, డ్యూటిలో"
on line,ఆన్ లైన్
on the job training,కార్యగతమైన శిక్షణ
on-special duty,ప్రత్యేక విధి నిర్వహణ పై
one sided,"ఏకపక్షం, ఒక వైపు"
onus,భారం
open day,1. పని దినము 2. తెరిచిన దినము
open learning,సార్వత్రిక విద్య
open letter,బహిరంగ లేఖ
open system,ముక్త వ్యవస్థ
open university,సార్వత్రిక విశ్వవిద్యాలయం
opening,"1. ప్రారంభం2.ప్రారంభోత్సవం, 3, ఖాళీ స్థలము"
opening balance,ప్రారంభ మిగులు/నిలవ
opening hours,"తెరిచి ఉంటే గంటలు, తెరిచి ఉంచే సమయం"
operating cost,పనిచేయుటకు ఖర్చు
operating staff,కార్యనిర్వహణ సిబ్బంది
operation,"1. నిర్వహణ, కార్యవర్తన 2. శస్త్రచికిత్స 3. అమలు"
operative,"అమలులో ఉన్న, కార్యవర్తన సంబంధ"
opinion,"అభిప్రాయం, ఉద్దేశం"
opposition,1.విరోధం 2. ప్రతిపక్షం
option,"ఐచ్ఛికం, వికల్పం"
oral,"నోటిమాటగా, మౌఖికంగా"
order,"1. ఉత్తరువు 2. క్రమం 3. శ్రేణి, వరస 4. వ్యవస్థ, 5. శాంతి"
order cheque,ఆర్డర్ చెక్
order of reservation,రిజర్వేషన్ క్రమము
ordinance,"అధ్యాదేశం, అత్యవసరాదేశం"
organization,"సంస్థ, వ్యవస్థ, వ్యవస్థాపన, ఏర్పాటు, సంఘటితం"
organization chart,వ్యవస్థాపర పటం
organizer,"1. కార్యకర్త, సమావేశకర్త 2. వ్యవస్థాపకుడు"
oriented,ఉన్ముఖమైన
original,"1. మూల, ఆద్య, మొదటి 2. అసలు, మాతృక"
original department,"మూల విభాగము, ఆద్య విభాగము"
original sale deed,మూల విక్రయ దస్తావేజు
ostensible owner,కనిపించే యజమాని/కామందు
out of court,న్యాయాలయం వెలుపల
out of date,"కాలం చెల్లిన, ఆచరణలో లేని"
out of order,1. క్రమవిరుద్ధం 2. చెడిపోయిన/మూలబడ్డ (యంత్ర సం.)
out of print,"అచ్చుప్రతులు అయిపోయిన, లభ్యము కాని"
out of turn,వంతు లేని
out of turn allotment,వంతు లేకుండా ఇచ్చుట
outbreak,"బ్రద్దలగుట, పగిలి బయట పడుట"
outfit allowance,సరంజామా భత్యము
outgoing file,బయటకు వెళ్ళే ఫైలు/మిసలు
outgoing member,విరమించే/బయటికి వెళ్ళే సభ్యుడు
outlay,పరివ్యయం
outlet,1. బైటికి దారి2.విక్రయ కేంద్రం
outline,1. రూపురేఖ 2. సంక్షేపం
outlook,"దృష్టి, దృక్పథం"
outpost,"సరిహద్దు చౌకీ (పోలీసు, సైనిక సం.)"
output,ఉత్పత్తి
outright purchase,స్పష్టమయిన కొనుగోలు
outsource,మూల ఉత్పత్తి
outstanding,"1. మిగిలిన (బాకీ, చెల్లింపుల సం) 2. ప్రసిద్ధ, ఉత్కృష్ట, శ్రేష్ఠమైన"
over age,"ఎక్కువ వయస్సు గల, వయస్సు మించిన"
over-rule,"నియమమును అతిక్రమించు, వ్యతిరేకముగా నిర్ణయించు"
overall,"సమగ్ర, మొత్తం"
overall billing,పూర్తి ఖర్చుల వివరణ
overall deficit,"పూర్తి, నష్టము"
overcharge,అధిక బాధ్యత
overdue,గడువు మీరిన (చెల్లింపు/బాకి సం)
overestimate,"ఎక్కువగా ఊహించుట, అధిక అంచనా"
overhead charge,పై ఖర్చు
overlapping,అతి వ్యాప్తి
overriding priority,అత్యధికమైన ప్రాముఖ్యత
oversight,"పొరపాటు, అనవధానత"
overtime pay,అదనపు కాలవేతనం
overvaluation,అధిక విలువ కట్టటం/అధిక మూల్యాంకనం
ownership,"స్వామ్యం, యాజమాన్యం, స్వామిత్వం, సొంతహక్కు"
package,"ప్యాకేజ్, అన్నీ కలిపిన ఏర్పాటు"
package deal,"మొత్తంగా స్వీకరించదగిన బేరం, టోకుబేరం"
packing and marking,"కట్టకట్టటము, గుర్తువేయటము"
packing list,ప్యాకింగ్ పట్టిక
pact,"ఒప్పందం, ఒడంబడిక"
paid,"చెల్లించిన, చెల్లించింది"
paid up capital,చెల్లించిన మూలధనం
pamphlet,కరపత్రం
panel,"జాబితా, పట్టిక"
paper,"కాగితం, పత్రం"
par excellence,ఉత్కృష్ట
par value,సమాన విలువ/మూల్యం
para,"పరిచ్ఛేదము, పేరా"
paramount,"సర్వోన్నత, సర్వాధిక ప్రాధాన్యం గల"
parent,"1. తల్లి/తండ్రి (పితృ సం. పోషక సం.) 2. మూల, అసలు"
parent office,మూల కార్యాలయం
parental,"మూలము, తల్లిదండ్రులకు సంబంధించిన"
pari passu,"సమానవేగంతో, దామాషాలో"
parity,"సామ్యం, సమార్హత"
parliament,"పార్లమెంటు, కేంద్ర శాసన మండలి"
part,"భాగం, అంశం, పక్షం, వంతు"
part file,ఫైలు భాగం
part payment,"భాగాంశ చెల్లింపు, ఆంశిక చెల్లింపు"
part-time,"భాగకాలిక, పార్ట్ టైమ్, పాక్షిక"
partial,"పాక్షిక, ఆంశిక, అసంపూర్ణ"
participate,పాల్గొను
particular,"ప్రత్యేక, విశేష, నిర్ధిష్ట"
particulars,"వివరాలు, తబ్సీళ్ళు, వివరణాంశాలు"
partition,"విభాగం, విభజన"
partner,"భాగస్థుడు, భాగస్వామి"
partnership deed,భాగస్వామ్య పత్రం/దస్తావేజు
party,"1. పక్షం, పార్టీ 2. కక్షిదారు 3. విందు భోజనము"
pass,"1. నెగ్గు, ఉత్తీర్ణుడవు, ఉత్రీర్ణునిచేయు 2. అనుమతి 3. అందించు"
passage,"దారి, తోవ, అంగీకారం"
password,"సంకేత వచనం, సంకేత శబ్దం/పదం"
patent,"పేటెంట్, సర్వహక్కులు"
patron,పోషకుడు
pay,"జీతం, వేతనం, జీతమిచ్చు, చెల్లించు"
pay bill,వేతనపట్టిక/బిల్లు
pay certificate,వేతన ప్రమాణ పత్రము
pay day,జీతాల రోజు
pay off,చెల్లింపు కార్యాలయం
pay order,చెల్లింపు ఉత్తరువు
pay roll,జీతాల పట్టి
pay scale,"వేతనశ్రేణి, స్కేలు"
payee,చెల్లింపు గ్రహీత
payer,చెల్లింపుదారు
payment,చెల్లింపు
pecuniary,"ధనసంబంధ, ధనరూప"
pen down strike,కలంబందు సమ్మె
penal,"శిక్ష, దండన (సంబంధం), అపరాధపు"
penal code,శిక్షాస్మృతి
penal interest,అపరాధ వడ్డీ
penalize,"శిక్షించుట, దండించుట"
penalty,"శిక్ష, దండన"
pending,"పెండింగు, విచారణలో ఉన్న, పరిష్కారంలో ఉన్న"
pension,పింఛను
pension scheme,ఫించను యోజన
pensionable,పింఛనుయోగ్య
pensioner,పింఛనుదారు
per annum,"సాలు ఒక్కంటికి, సాలుకు"
per bearer,తెచ్చే వ్యక్తి ద్వారా
per capita (=per head),తలసరి
per mensem,"నెలకు, మాసానికి"
percent,"నూటికి, శాతం"
perennial,"నిత్యం, ఎడతెగని, శాశ్వత"
perform,"నిర్వహించు, పాటించు, ఆచరించు"
performance,నిర్వహణ
period,"కాలావధి, కాలం, వ్యవధి"
period under review,"పునరీక్షణ సమయము, పునర్విమర్శన సమయము"
periodical,"పత్రిక, నియతకాలిక"
perjury,అబద్ధపు సాక్ష్యం
perks,"లాభసాటి అయిన, ప్రత్యేకమయిన"
permanent,"శాశ్వతమైన, స్థిరమైన, ఖాయమైన"
permissible,అనుమతించదగిన
permission,అనుమతి
permit,"అనుమతి పత్రం, పర్మిటు"
permitted,అనుమతింపబడిన
perpetual,శాశ్వత
perpetuity,"శ్వాశ్వతత్వం, నిరంతరత్వం (శాసనం ఒప్పుకోదు)"
perquisites (=perks),"పరిలబ్ది, అనుషంగిక లాభం"
persona non grata,ఆమోదయోగ్యం కాని వ్యక్తి
personal,"వ్యక్తిగత, వ్యక్తిపర, స్వయం"
personal assets,సొంత ఆస్తులు
personal bond,"వ్యక్తిగత ప్రవర్తన, శీలం"
personality,మూర్తిమత్వం
personnel,సిబ్బంది కార్మికులు
personnel policy,"సిబ్బంది విధానం, కార్మిక విధానం"
perspective,"సూక్ష్మ దృష్టి, సమ్యగ్దృష్టి"
persuasion,"బోధన, బోధించుట, నమ్మకము"
pertinent,"సంగతమైన, యుక్తమైన"
perusal,"పరిశీలన, చదవటం"
petition,"అర్జీ, విజ్ఞాపన పత్రం, ఫిర్యాదు, అర్జీ పెట్టుకొను"
petitioner,"అర్జీదారు, పిటిషనుదారు"
phase,"దశ, విడత"
photograph,"దృగ్విషయం, ఫోటో"
photostat,ఫోటోస్టాట్
physical checking,"భౌతిక పరీక్ష, ప్రత్యక్ష పరీక్ష"
physical defect,శారీరక లోపం
physical education,వ్యాయామ విద్య
physical verification,ప్రత్యక్ష సరినిరూపణ
physically handicapped,వికలాంగుడు
piece rate,శాల్తీ రేటు
piecemeal,"కొద్దికొద్దిగా, క్రమక్రమంగా చేసిన"
pilgrim,యాత్రికుడు
pilot programme,"ముఖ్య కార్యక్రమము, ప్రయోగాత్మక కార్యక్రమము"
PIN (postal index number),పిన్
place of birth,జన్మస్థలం
place of work,"పని స్థానము, ఉద్యోగ స్థానము"
placement service,ఉద్యోగస్థాన సేవ
plaintiff,వాది
plan,"నమూనా, ఏర్పాటు, పద్ధతి"
planning,"ఏర్పాటు చేయు, అపాయము చేయు"
plant,"దావాపత్రం, వాదపత్రం, అర్జీదావా"
player,"క్రీడాకారుడు, ఆడెడు వాడు"
plea,"సాకు, హేతువు, వాదం మనవి"
Pleader,"వకీలు, ప్లీడరు"
plebiscite,ప్రజాభిప్రాయం
pledge,"తాకట్టు, కుదువ, గిర్వి, ప్రతిజ్ఞ"
plenary session,సంపూర్ణ సమావేశం
plenipotentiary,సర్వాధికారి
plinth area,అడుగు నిర్మాణ విస్తీరణం
policy,"పాలసీ, యోచన, యోచన"
political,రాజకీయమైన
political activity,రాజకీయ కార్యకలాపం
poll,"వోటు వ్యవహారం, వోటు చేయు, లెక్కించు"
pollution,కాలుష్యం
pool,"మడుగు, గుంట"
portfolio (of a minister),"మంత్రిత్వ శాఖ, పోర్ట్ ఫోలియో"
position,"స్థితి, హోదా, అంతస్తు"
positive,"సానుకూల, పొందికగల, ధనాత్మక, సకారాత్మక"
post,"పదవి, స్థానం, టపా, తపాలా, తరవాతి"
post mortem examination,శవపరీక్ష
post-dated,జవాబు తేదీ
post-facto sanction,తరవాతి తేదీ
post-graduate,స్నాతకోత్తరుడు
posthumous,మరణానంతర
posting,"పదవిలో ఉంచటం, పోస్టు చేయటం"
postpone,"వాయిదా వేయు, స్థగితంచేయు"
postscript (P.S.),తరవాత రాసింది
power,"అధికారం, శక్తి, విద్యుచ్ఛక్తి"
power of attorney,"పవరాఫ్ అటార్నీ, ముఖ్త్యార్ నామా, పవర్ పట్టా"
practicable,"ఆచరణీయ, ఆచరణ సాధ్య"
practice,"అభ్యాసం, సాధన, అభ్యాసకుశలత, ప్రాక్టీస్"
pre-audit,పూర్వ ఆడిట్
pre-planned,ముందస్తు యోజన
pre-receipted bill,రశీదుతో ఇచ్చిన బిల్లు
precaution,ముందు జాగ్రత్త
precedent,"పూర్వదృష్టాంతం, ప్రమాణం, పూర్వవర్తి"
precis,సారాంశం
precise,"నిర్దిష్టమైన, స్పష్టమైన"
preclude,"ఆటంకపరచు, నిరోధించు"
preconception,పూర్వభావన
predecessor,"పూర్వవర్తి, పూర్వికుడు, పూర్వాధికారి"
predominant,"ప్రబలమయిన, ప్రధానమైన"
preface,"పీఠిక, ఉపోద్ఘాతం"
prefer,"ప్రాధాన్యం చూపు, దాఖలుచేయు (కేసు)"
preferential purchase,ప్రాముఖ్యతను బట్టి కొనుగోలు
Prejudice,"దురభిమానము, పక్షపాతము"
preliminary,"ప్రారంభిక, ముందు ఏర్పాటు"
premature,"గడువు పూర్వ, అకాల, అపరిపక్వ"
premises,"ఆధారాంశం, పూర్వ సిద్ధాంతం"
premium,"(భీమా)కిస్తు, ప్రీమియం, అధిక విలువ"
prepaid,"ముందస్తు చెల్లింపు, ముందుగా చెల్లించిన"
prepaid card,ముందస్తు చెల్లింపు చీటీ
prepone,ముందుకి జరుపుట
prerogative,విశిష్టాధికారం
prescribe,"విహితపరచు, విధించు, నిర్ణీతంచేయు"
prescribed,నిర్ణీతం చేయబడిన
prescribed form,నిర్ణీతఫారం/నమూనా
presentation,"బహూకరణ, కానుక, సమర్పణ"
preside,అధ్యక్షత వహించు
president,"రాష్ట్రపతి, అధ్యక్షుడు"
press,"పత్రికారంగం, ముద్రణ యంత్రం, ముద్రణశాల"
press copy,ముద్రణ ప్రతి
press gallery,విలేఖరుల స్థానము
presumed,"ఊహించిన, తలచిన"
presumptive pay,పురోభావ్య వేతవం
presupposed,ముందుగా ఊహించిన
pretext,"సాకు, మిష, నెపం"
prevail,"అమలవు, వర్తమానమవు, ప్రభావం చేయు"
prevent,"నివారించు, అడ్డగించు"
prevention,"నివారణ, అడ్డగింపు"
preventive,నివారక
price fluctuation (=price movements),ధరల హెచ్చుతగ్గులు
pricing,ధర నిర్ణయించు
prima facie,"ప్రథమ దృష్ట్యా, చూడగానే కనిపించే"
primarily,"ప్రధానంగా, ప్రథమంగా"
primary,"ప్రాథమిక, ప్రధాన"
primary receipt,ప్రాథమిక రసీదు
principal,"ప్రధాన అధ్యాపకుడు, అసలు, ప్రధాన, ముఖ్య"
principal debtor,అసలు బాకీదారు
printer,ముద్రాపకుడు
printing,ముద్రించు
prior indication,అగ్రప్రాధాన్య
priority grading,ప్రాధన్యతా విభజన
prison,"జైలు, కారాగారం, ఖైదు"
prisoner,"ఖైదీ, బందీ"
privacy,"ఏకాంతం, వివిక్తత"
private and confidential,"వ్యక్తిగతము మరియు ఆంతరంగికము, రహస్యమైన"
privilege,"ప్రత్యేక హక్కు, విశేష హక్కు, విశేషాధికారం"
privilege committee,విశేషాధికారాల సంఘం (శాసన సభ సం.)
prize,బహుమానం
pro-rata,"దామాషా ప్రకారం, వంతు ప్రకారం"
pro-rata quota,"దామాషా కోటా, వంతు ప్రకారం ఇచ్చు కోటా"
probability,సంభావ్యత
probate,ప్రాబేట్:వీలునామా ధ్రువపత్రం
probation,"ప్రాబేషన్, పరివీక్ష, పరీక్షాధీనమయిన"
probationary,ప్రాబేషనరీ పరీక్షాధీన
probationer,"ప్రాబేషనరు (క్రిమినల్ న్యాయ సంబంధ), పరివీక్ష ఉద్యోగి"
probe,"దర్యాప్తు, సమగ్రంగా పరిశోధించు"
procedural rules,"కార్యపద్ధతి నియమాలు, ప్రక్రియాత్మక నియమాలు"
procedure,"కార్యపద్ధతి/విధానం, కార్యసరళి"
proceedings,"కార్యవ్యవహరాలు, ఉపక్రమణాలు"
process,"సమన్లు, కోర్టు వ్యవహరాదేశం, కోర్టుపిలుపు"
Processing,"పద్ధతిలో, ఆచరణలో, విచారణలో"
Procession,ఊరేగింపు
Proclaim,"చాటు, ప్రకటించు"
proclamation,"అధికార ప్రకటన, అధి ప్రఖ్యానం"
Procurement,సేకరించు
Product,"పంట, ఫలసాయం, దాఖలు చేయు"
Production,ఉత్పత్తి
Profession,వృత్తి
professional achievement,"వృత్తిపరంగా లభించిన, వృత్తి ఉపలబ్ధి"
proficiency certificate,ప్రావీణ్యతా ధ్రువపత్రం
Profile,"ఆకృతి, ఆకారము"
Profit,లాభం
Programme,కార్యక్రమము
programme schedule,కార్యక్రమ అనుసూచి
programming,కార్యక్రమ రచన/నిర్దేశం
Progress,"ప్రగతి, క్రమవృద్ధి"
Progressive,"ప్రగతిశీల, అభ్యుదయ"
Prohibited,"నిషిద్ధ, నిషేధించిన"
prohibited area,నిషిద్ధ ప్రదేశం/ప్రాంతం
Prohibition,"నిషేధం, మద్యనిషేధం"
prohibitory order,నిషేధాత్మక ఆజ్ఞ/ఉత్తరువు
Project,"ప్రాజెక్టు, పరియోజన, పథకం"
Projection,లంబాగ్రం:ముందుకు పొడుచుకొని వచ్చిన భాగం
Prominent,"ప్రముఖ, ఉన్నతమైన"
Promise,వాగ్ధానం
promissory note (pronote),అప్పు పత్రము
Promote,"పదోన్నతి చేయు, పెంపు చేయు"
Promoter,"ప్రవర్ధకుడు, ప్రవర్ధనారంభకుడు (కంపెనీలు, వ్యవస్థ సం.)"
Promotion,"పెంపు, పదోన్న తి, ఉన్నతి, ప్రోత్సాహనం"
Promt,"శీఘ్రముగా, వెంటనే"
Promulgate,ప్రకటన చేయు
pronounce,"ఉచ్చరించు, తీర్మానముగా చెప్పు"
pronouncement,ప్రకటన
proof,"రుజువు, నిరూపణ, నిరోధకం"
proof of despatch,డిస్పాచ్ రుజువు
proof reading,అచ్చు చిత్తుప్రతి దిద్దటం
propagate,"ప్రచారంచేయు, వృద్ధి పొందించు"
propagation,"ప్రచారం, వృద్ధి"
proper,"సముచిత, ఉపయుక్త, తగిన"
property,"ఆస్తి, గుణం, ధర్మం"
proposal,ప్రతిపాదన
propose,ప్రతిపాదించు
propound,"ఎదుట బెట్టు, యోచనకు దెచ్చు"
proprietary,"యాజమాన్య, ప్రొప్రయిటరీ"
propriety,ఔచిత్యం
prorogue,"ప్రోరోగ్, సమావేశ సమాపనం"
pros and cons,"ముందు, వెనకలు"
proscribe,దేశము నుండి వెళ్ళగొట్టు
prosecution,"అభియోజనం, అభియోగం"
prospectus,"వివరణిక, ప్రాస్పెక్టస్"
protempore appointment,స్వల్పకాల నియుక్తి
protocol,అసలు ముసాయిదా (దస్తావేజు సం)
prove,"రుజువు చేయు, నిరూపించు"
provided,"అట్లాఅయితే, షరతుపై, సిద్ధము చేయు"
provident fund,భవిష్యనిధి
provision,"పొందుబాటు, సదుపాయం, ఏర్పాటు"
provisional,తాత్కాలిక
provisional list,తాత్కాలిక జాబితా
proviso,"నిబంధన, షరతు మినహాయింపు"
proximity,"సామీప్యము, సన్నిహితము, దగ్గర"
proxy,పరోక్షి (ప్రాతినిధ్య సం)
public,"ప్రజ, జనసామాన్యం, ప్రభుత్వ"
public duty,"ప్రజలపట్ల కర్తవ్యం, ప్రభుత్వ సేవావిధి"
public interest litigation (PIL),ప్రజాహితార్థ వివాదం
publication,"ప్రకటన, ప్రచురము"
publicity,ప్రచారం
publish,"ప్రచురించు, ప్రకటించు"
punctual,వేళను పాటించే
punishment,"శిక్ష, దండన"
purchase,కొనుగోలు
purely temporary,కేవల తాత్కాలిక
purpose,"ప్రయోజనం, ఉద్దేశం, నిమిత్తం"
pursue,"అనుసరించు, వెంబడించు"
pursuit,"వృత్తి, వెంటాడటం, అన్వేషణ"
purview,"అవకాశము, ఉద్దేశింపబడిన యావద్విషయము"
put up,"రాసి పంపు, సమర్పించు, పెట్టు"
put-up slip,సమర్పణ చీటి
qualification,"అర్హత, యోగ్యత"
qualified candidate,అర్హత ఉన్న అభ్యర్థి
qualify,"అర్హతపొందు, పరిమితంచేయు"
qualifying examination,అర్హత పరీక్ష
qualifying test,అర్హత పరీక్ష
qualitative techniques,గుణాత్మక సాంకేతికములు
quality,"వాసి, గుణం, లక్షణం, రకం, నాణ్యత"
quality control,నాణ్యత నియంత్రణ
quantity,"పరిమాణం, రాశి, మొత్తం"
quarantine leave,వ్యాధి సంక్రమింపు నిరోధ సెలవు
quarterly,"త్రైమాసిక, త్రైమాసిక పత్రిక"
quash,"రద్దుచేయు, కొట్టివేయు:కిందికోర్టు ఉత్తరువును పై కోర్టు రద్దు చేయటం"
quasi,"క్వాజీ, అర్ధ, సదృశ, ప్రాయ"
quasi-permanency,శాశ్వతప్రాయ
query,"ప్రశ్న, ప్రశ్నవేయు"
question,"వాదప్రసక్తి, ప్రశ్న, సమస్య, సందేహం"
question hour,ప్రశ్నోత్తర సమయం (శాసన సభల్లో)
questionable,ప్రశ్నించదగిన
questionnaire,ప్రశ్నావళి
quit,"తొలగు, తొలగమను, ఖాళీచేయు"
quorum,"కోరం:నిర్దిష్ట పూరక సంఖ్య, సమావేశ పూరక సంఖ్య"
quota,కోటా:నిర్దిష్ట భాగం
quotation,"కొటేషన్, ధరపట్టి"
quote,"ధరచెప్పు, ఉటంకించు"
race,"జాతి, పందెం"
racial discrimination,"జాతి వివేకము, జాతి భేదమునుపాటించుట"
rack,"చిత్రహింసా యంత్రం, చిత్రహింస, అర"
raid,దాడి
railway,రైలు మార్గం
raise (pay),"పైకి ఎత్తు, ఉన్నత స్థానము"
random,"యాదృచ్ఛిక, అనియత"
random sampling,యాదృచ్ఛిక నమూనా తీయడం
range,"రేంజి, శ్రేణి, పరిధి, సీమ, అవధి, క్షేత్రం"
rank,"పదవి స్థాయి, హోదాస్థానం"
rank and file,"సామాన్య సైనికులు, సామాన్య ప్రజానీకం"
ranking,శ్రేణికరణం
rapid action force (RAF),శీఘ్ర కార్యాచరణ దళము (ఆర్.ఎ.ఎఫ్.)
rare,"అరుదైన, దుర్లభమైన, అపురూపమైన"
rash,"దురుసు, దుడుకు"
ratable value,పన్ను యోగ్యతా వెల
rate,"రేటు, వెల, ధర, దామాషా ప్రమాణం"
rate contract,"రేట్ కాంట్రాక్టు, రేటు గుత్తా"
rate list,ధరల పట్టిక
ratification,"ఆమోదం, అనుసమర్థన"
rating,"రేటు నిర్ధారణ, రేటింగు, స్థానక్రమ నిర్ణయం"
ratio,"నిష్పత్తి, దామాషా"
ration,"దినవెచ్చం, రేషన్"
ration allowance,రేషన్ భత్యం
rational,"హేతుబద్ధ, సహేతుక"
rationalization,సక్రమ వ్యవస్థీకరణం
raw material,"ముడిసరుకులు, పదార్థాలు"
raw product,ముడి ఉత్పత్తి
re-employment,పునర్నియామకం
re-entry,పునః ప్రవేశం (కౌలు సం.)
reaction,"ప్రతిక్రియ, ప్రతిచర్య, ప్రతి సంచలనం"
reading,చదువుట
readjust,"పునః సమాయోజన చేయు, తిరిగి అమర్చు, దిద్దు"
ready reckoner,"జంత్రి, అప్పటికప్పుడు లెక్కకట్టేది"
ready-made plan,"తయారైన, వాడుకకు సిద్ధమైన యోజన"
real,"వాస్తవిక, అసలు, యథార్థ, స్థిర"
real earning,వాస్తవిక ఆదాయము
real estate,"స్థిరాస్థి, స్థావర సంపత్తి"
reality,"వాస్తవికత, యథార్థం"
realization,"పరిష్కారం, వసూలు"
realize,"వాస్తవము చేయు, నిజపఱచు"
reappointment,"తిరిగి నియమించు, మరల నియుక్తి చేయు"
reappropriation,"పునర్వినియోగం, పునః ధన వినియోగం"
reason,"కారణము, హేతువు"
reassessment,"పునర్నిర్ధారణ, తిరిగి వాదింపు"
rebate,తగ్గింపు
recall,"వెనక్కి రప్పించటం, పిలవటం"
recede,"వెనుకకు బోవు, ఉపసంహరించుకొను"
receipt,"రసీదు, వసూలు, జమ రాబడి"
receipt book,రసీదు పుస్తకము
receipts and disbursements,రసీదులు మరియు చెల్లింపులు
receive,"స్వీకరించు, పుచ్చుకొను"
receiver,"రిసీవరు, స్వీకర్త, గ్రహీత"
recent,"ఇటీవలి, నూతనమైన"
reception,"స్వాగతం, స్వాగత సమారోహం"
receptive,"గ్రహించునట్టి, తనలోపట్టునట్టి"
recess,విరామం
recipient,గ్రహీత
reciprocal,"పరస్పర, ఇచ్చిపుచ్చుకునే, వ్యుత్ర్కమ"
reciprocal demand,పరస్పర అధికారముతో అడుగు
reciprocate,పరస్పరం ఇచ్చిపుచ్చుకొను
reciprocity,"పరస్పరత, పరస్పరము జరిగించుట"
reckless,"లక్ష్యము లేని, జాగ్రత్త లేని, ఆలోచన లేని"
reckon,"పరిగణించు, ఎంచు"
reckonable service,పరిగణనీయ సేవ
reclamation,"గుర్తింపు, పరిగణనపొందింన"
recognition,"గుర్తింపు, గుర్తించు"
recognized,"గుర్తించబడిన, పరిగణసపొందిన"
recollect,"స్మరించు, జ్ఞప్తికి దెచ్చుకొను"
recommend,సిఫారసు చేయు
recommendation,సిఫారసు
recommendatory letter,సిఫారిసు లేఖ
reconcile,సమాధానము చేయు
reconciliation,"సఖ్యపడడం, రాజీ, సమన్వయం, సమాధానము"
reconsideration,పునః పరిశీలన
reconstitution,పునస్సంఘటనం
reconstruction,పునర్నిర్మాణం
reconstruction of file,పునర్నిర్మాణ ఫైలు
record,"నమోదు, రికార్డు, రికార్డుచేయు"
record book,నమోదు పుస్తకము
record of service,"సర్వీసు రికార్డు, ఉద్యోగపు రికార్డు"
recourse,"సహాయము కోరుట, ఆశ్రయము"
recover,"వసూలు చేయు, తిరిగి సంపాదించుకొను"
recovery,"వసూలు, రాబట్టుకోవటం"
recreation,"ఉల్లాసము, మనోరంజనము"
recruit,భర్తీచేయు
recruiting authority,నియామక అధికారి
recruitment,"నియామకము, భర్తీ"
recruitment rules,భర్తీ నియమాలు
rectification,"సరిద్దిద్దటం, పరిశుద్ధి"
recurring,ఆవర్తనమయ్యే
red-tapism,ఉత్తర ప్రత్యుత్తరాలలో కాలయావన
redeem,"విడిపించుకొను, విమోచనం చేయు"
redemption,విమోచన
redirected,"తిరిగి నిర్దేశించు, మరల నిర్దేశించిన"
redress,"నివారణ, దూరము చేయు"
redressal,నివారణ చేసి
reduction,తగ్గింపు
redundant,"అనవసరమైన, మితిమీరిన"
refer,"నిర్దేశమిచ్చు, సంప్రదింపు కోసం అప్పగించు"
reference,"నిర్దేశం, పరామర్శ, ప్రసక్తి"
referral,పునఃఆదేశము
refixation of pay,వేతన పునర్నిర్దారణ
