Bengali,Tamil
স্থানীয় স্মৃতি,உள்ளூர் நினைவகம்
স্থানীয় মোড,உள்ளூர் முறை
স্থানীয় পরিবর্তনশীল,உள்ளூர் மாறி
"লুপ, লক","வளைய, பூட்டு"
লুপ ফাইল,லூப் கோப்பு
অধিবেশন শুরু,அமர்வு ஆரம்பம்
মেয়াদ শেষ,கால முடிவு
রচনা,எழுதுதல்
যুক্তি বিশ্লেষক,தர்க்க பகுப்பாய்வி
যুক্তি বোমা,தர்க்க வெடிகுண்டு
লজিক কার্ড,தர்க்க அட்டை
লজিক চার্ট (ফ্লোচার্ট),தர்க்க விளக்கப்படம் (பாய்வு விளக்கப்படம்)
লজিক সার্কিট,தர்க்க சுற்று
লজিক ডিজাইন,தர்க்க வடிவமைப்பு
লজিক ডায়াগ্রাম,தர்க்க வரைபடம்
লজিক্যাল ফ্লোচার্ট,தருக்க பாய்வு விளக்கப்படம்
লজিক ফাংশন,தர்க்க செயல்பாடு
লজিক গেট,தர்க்க வாயில்
"1. লজিক প্রোগ্রামিং, 2. লজিক প্রোগ্রামিং","1. லாஜிக் புரோகிராமிங், 2. லாஜிக் புரோகிராமிங்"
যুক্তি স্থানচ্যুতি,தர்க்க இடப்பெயர்ச்சி
যুক্তি অবস্থা,தர்க்க நிலை
লজিক সুইচ,தர்க்க சுவிட்ச்
লজিক ইউনিট,தர்க்க அலகு
যৌক্তিক,தருக்க
যৌক্তিক সংযোগ,தருக்க இணைப்பு
যৌক্তিক তথ্য কাঠামো,தருக்க தரவு அமைப்பு
লজিক্যাল ডায়াগ্রাম,தருக்க வரைபடம்
যৌক্তিক অভিব্যক্তি,தருக்க வெளிப்பாடு
লজিক্যাল ফ্লোচার্ট,தருக்க பாய்வு விளக்கப்படம்
লজিক্যাল IF (যৌক্তিক যদি),தருக்க IF (லாஜிக்கல் என்றால்)
যুক্তিসঙ্গত অপারেশন,பகுத்தறிவு செயல்பாடு
যুক্তিবাদী অপারেটর,பகுத்தறிவு இயக்குபவர்
যুক্তিসঙ্গত সংযোগ,பகுத்தறிவு இணைப்பு
যৌক্তিক পরিকল্পনা,தர்க்கரீதியான திட்டம்
"1. যুক্তিবাদী চরিত্র, 2. যৌক্তিক চরিত্র","1. பகுத்தறிவு தன்மை, 2. தருக்க தன்மை"
যৌক্তিক প্যাটার্ন,தருக்க முறை
যৌক্তিক মান,தருக்க மதிப்பு
যৌক্তিক পরিবর্তনশীল,தருக்க மாறி
অর্জিত ওভারভিউ,கண்ணோட்டத்தை அடைந்தது
পূর্বরূপ সেট,முன்னோட்ட தொகுப்பு
পর্যবেক্ষণ,கவனிப்பு
"1.লুপ, 2.লুপ","1.லூப், 2.லூப்"
লুপ নিয়ন্ত্রণ,வளைய கட்டுப்பாடு
লুপ ইনিশিয়ালাইজেশন,வளைய துவக்கம்
লুপ বৈচিত্র,வளைய மாறுபாடு
"1.লুপ নেটওয়ার্ক, 2.লুপ নেটওয়ার্ক","1.லூப் நெட்வொர்க், 2.லூப் நெட்வொர்க்"
লুপ ইনিশিয়ালাইজেশন,வளைய துவக்கம்
লুপ-এন্ডিং,வளைய-முடிவு
পাল্টা লুপ পরীক্ষা,எதிர்-லூப் சோதனை
ঢিলেঢালাভাবে মিলিত,தளர்வாக இணைக்கப்பட்டது
ক্ষতিহীন কম্প্রেশন,இழப்பற்ற சுருக்கம்
হ্যাসে কম্প্রেশন,ஹஸ்ஸே சுருக்கம்
কম বাইট,குறைந்த பைட்
নিম্ন স্তরের ভাষা,குறைந்த அளவிலான மொழி
কম পাস ফিল্টার,குறைந்த பாஸ் வடிகட்டி
"1.নিম্ন শর্তযুক্ত, 2. নীচে আবদ্ধ","1.குறைந்த நிலை, 2. கீழே பிணைக்கப்பட்டுள்ளது"
"1.MAC প্রোটোকল, 2.MAC নীতিশাস্ত্র (মিডল অ্যাক্সেস কন্ট্রোল)","1.MAC நெறிமுறை, 2.MAC நெறிமுறைகள் (நடுத்தர அணுகல் கட்டுப்பாடு)"
"1. মেশিন, 2. মেশিন","1. இயந்திரம், 2. இயந்திரம்"
মেশিন ঠিকানা,இயந்திர முகவரி
"1. মেশিন কোড, 2. মেশিন কোড","1. இயந்திரக் குறியீடு, 2. இயந்திரக் குறியீடு"
মেশিন চাকা,இயந்திர சக்கரம்
যান্ত্রিক ভাষা,இயந்திரமயமாக்கப்பட்ட மொழி
যান্ত্রিক সফ্টওয়্যার,இயந்திர மென்பொருள்
ডিভাইস ত্রুটি,சாதன பிழை
মেশিন অলস সময়,இயந்திரம் செயலற்ற நேரம்
মেশিন ভাষা,இயந்திர மொழி
ম্যানুয়াল,கையேடு
মেশিন সেন্স,இயந்திர உணர்வு
"1.মেশিন ল্যাঙ্গুয়েজ, 2.মেশিন ল্যাঙ্গুয়েজ","1.இயந்திர மொழி, 2.இயந்திர மொழி"
মেশিন লার্নিং,இயந்திர வழி கற்றல்
মেশিন অপারেশন,இயந்திர செயல்பாடு
মেশিন ভাষা,இயந்திர மொழி
মেশিন কর্মক্ষমতা,இயந்திர செயல்திறன்
মেশিন সিমুলেশন,இயந்திர உருவகப்படுத்துதல்
মেশিন হাইজ্যাকিং সময়,இயந்திர கடத்தல் நேரம்
যন্ত্রানুবাদ,இயந்திர மொழிபெயர்ப்பு
মেশিন শব্দ,இயந்திர வார்த்தைகள்
ম্যাক্রো নির্দেশ,மேக்ரோ அறிவுறுத்தல்
ম্যাক্রো স্কেল,மேக்ரோ அளவுகோல்
গণ সমাবেশ কর্মসূচি,வெகுஜன அசெம்பிளிங் திட்டம்
স্থূল কল,மொத்த அழைப்பு
"1.ম্যাক্রো কোড, 2.ম্যাক্রো কোড","1.மேக்ரோ குறியீடு, 2.மேக்ரோ குறியீடு"
ম্যাক্রো কমান্ড,மேக்ரோ கட்டளை
ম্যাক্রো ঘোষণা,மேக்ரோ பிரகடனம்
ম্যাক্রো সংজ্ঞা,மேக்ரோ வரையறை
ম্যাক্রো ফ্লো চার্ট,மேக்ரோ ஓட்ட விளக்கப்படம்
ম্যাক্রো জেনারেটর,மேக்ரோ ஜெனரேட்டர்
ম্যাক্রো নির্দেশ,மேக்ரோ அறிவுறுத்தல்
স্থূল ভাষা,மொத்த மொழி
ম্যাক্রো লাইব্রেরি,மேக்ரோ நூலகம்
ম্যাক্রো প্যারামিটার,மேக்ரோ அளவுரு
ম্যাক্রো প্রক্রিয়াকরণ,மேக்ரோ செயலாக்கம்
"1.ম্যাক্রো প্রসেসর, 2. ম্যাক্রোপ্রসেসর","1.மேக்ரோ செயலி, 2. மேக்ரோப்ராசசர்"
ম্যাক্রো প্রোগ্রামিং,மேக்ரோ நிரலாக்க
স্থূল প্রোটোটাইপ,மொத்த முன்மாதிரி
"1.ম্যাক্রো এনকোডিং, 2.ম্যাক্রো কোডিং","1.மேக்ரோ என்கோடிங், 2.மேக்ரோ கோடிங்"
মেগাবাইট (MB),மெகாபைட் (MB)
জাদু প্রতীক,மந்திர சின்னம்
জাদু সংখ্যা,மந்திர எண்
চৌম্বকীয় বুদ্বুদ মেমরি,காந்த குமிழி நினைவகம்
চৌম্বক কার্ড,காந்த அட்டை
"1.ম্যাগনেটিক সেল, 2.ম্যাগনেটিক সেল","1.காந்த செல், 2.காந்த செல்"
চৌম্বকীয় প্রতীক,காந்த சின்னம்
চৌম্বকীয় কোর স্টোরেজ,காந்த மைய சேமிப்பு
"1. ম্যাগনেটিক ডিস্ক, 2. চৌম্বকীয় ডিস্ক","1.காந்த வட்டு, 2. காந்த வட்டு"
চৌম্বকীয় ডিস্ক ঠিকানা,காந்த வட்டு முகவரி
চৌম্বকীয় ডিস্ক মেমরি,காந்த வட்டு நினைவகம்
চৌম্বক ড্রাম,காந்த டிரம்
"1. ম্যাগনেটিক এনকোডিং, 2. ম্যাগনেটিক কোডিং, 3. ম্যাগনেটিক কোডিং","1.காந்த குறியாக்கம், 2.காந்தக் குறியீட்டு முறை, 3.காந்தக் குறியீட்டு முறை"
চৌম্বক শীর্ষ,காந்த மேல்
চৌম্বক কালি,காந்த மை
ম্যাগনেটিক ইঙ্ক ক্যারেক্টার রিকগনিশন (MICR),காந்த மை எழுத்து அங்கீகாரம் (MICR)
চৌম্বক মাধ্যম,காந்த ஊடகம்
চৌম্বকীয় পড়া,காந்த வாசிப்பு
চৌম্বকীয় রেকর্ডিং,காந்த பதிவு
চৌম্বকীয় স্টোরেজ,காந்த சேமிப்பு
তরিৎ - চৌম্বকীয় ফিতা,காந்தப் பட்டை
চৌম্বকীয় টেপ,காந்த நாடா
চৌম্বক টেপ কার্তুজ,காந்த நாடா கெட்டி
চৌম্বকীয় টেপ ড্রাইভ,காந்த நாடா இயக்கி
চৌম্বক টেপ অগ্রদূত,காந்த நாடா முன்னோடி
চৌম্বক টেপ গ্রন্থাগারিক,காந்த நாடா நூலகர்
চৌম্বকীয় টেপ অ্যাক্সেস,காந்த நாடா அணுகல்
চৌম্বকীয় টেপ ইউনিট,காந்த நாடா அலகு
"1.চৌম্বকীয় পাতলা স্তর, 2.চৌম্বকীয় পাতলা ফিল্ম","1.காந்த மெல்லிய அடுக்கு, 2.காந்த மெல்லிய படலம்"
চৌম্বক পথ,காந்த பாதை
চৌম্বক অপটিক্যাল স্টোরেজ,காந்த ஒளியியல் சேமிப்பு
"1. চুম্বক প্রিন্টার, 2. চুম্বক প্রিন্টার","1.காந்த அச்சுப்பொறி, 2.காந்த அச்சுப்பொறி"
চৌম্বকীয় বিকৃতি,காந்த விலகல்
চৌম্বকীয়ভাবে বিকৃত ট্যাবলেট,காந்தமாக சிதைக்கக்கூடிய மாத்திரை
"1. মেইল বক্স, 2. মেইল বক্স","1. அஞ்சல் பெட்டி, 2. அஞ்சல் பெட்டி"
মেইল মার্জ,அஞ்சல் இணைப்பு
"1. প্রধান নিয়ন্ত্রণ ইউনিট, 2. প্রধান নিয়ন্ত্রণ ইউনিট","1. தலைமைக் கட்டுப்பாட்டுப் பிரிவு, 2. தலைமைக் கட்டுப்பாட்டுப் பிரிவு"
প্রধান ফ্রেম,முக்கிய சட்டகம்
"1. মেইন ফ্রেম সিস্টেম, 2. মেইন ফ্রেম মেকানিজম","1.முதன்மை சட்ட அமைப்பு, 2.முதன்மை சட்ட அமைப்பு"
"1. প্রধান মেমরি, 2. প্রধান মেমরি","1.முதன்மை நினைவகம், 2.முதன்மை நினைவகம்"
"1. প্রধান প্রোগ্রাম, 2. প্রধান প্রোগ্রাম","1.முதன்மை திட்டம், 2.முதன்மை திட்டம்"
প্রধান স্টোরেজ,முக்கிய சேமிப்பு
"1. প্রধান সুইচ, 2. প্রধান সুইচ","1.மெயின் ஸ்விட்ச், 2.மெயின் ஸ்விட்ச்"
"1. রক্ষণাবেক্ষণ, 2. রক্ষণাবেক্ষণ","1.பராமரிப்பு, 2.பராமரிப்பு"
রক্ষণাবেক্ষণ প্যানেল,பராமரிப்பு குழு
রক্ষণাবেক্ষণ সময়,பராமரிப்பு நேரம்
বড় বৃত্ত,பெரிய வட்டம்
কী ডিভাইস,முக்கிய சாதனம்
প্রধান কী,முக்கிய விசை
মূলমঞ্চ,முக்கியமான கட்டம்
প্রধান কাঠামো,முக்கிய கட்டமைப்பு
প্রধান কাজ,முக்கிய வேலை
সংখ্যাগরিষ্ঠ উপাদান,பெரும்பான்மை கூறு
সংখ্যাগরিষ্ঠ গেট,பெரும்பான்மை வாயில்
সংখ্যাগরিষ্ঠ অপারেশন,பெரும்பான்மை செயல்பாடு
প্রতিদান সময়কাল,திருப்பிச் செலுத்தும் காலம்
ভুল অপারেশন রুটিন,தவறான நடைமுறை
ব্যবস্থাপনা উন্নয়ন,மேலாண்மை வளர்ச்சி
ম্যানেজমেন্ট ইনফরমেশন সিস্টেম (MIS),மேலாண்மை தகவல் அமைப்பு (எம்ஐஎஸ்)
ব্যবস্থাপনা বিজ্ঞান,மேலாண்மை அறிவியல்
ম্যানচেস্টার এনকোডিং,மான்செஸ்டர் குறியாக்கம்
গুণ,பெருக்கல்
আনুমানিক পরিবর্তনশীল,மதிப்பிடப்பட்ட மாறி
অনুমানমূলক সূচক,மதிப்பிடப்பட்ட குறியீடு
মানুষের মেশিন সিমুলেশন,மனித இயந்திர உருவகப்படுத்துதல்
ম্যানুয়াল ঠিকানা সুইচ,கையேடு முகவரி சுவிட்ச்
ম্যানুয়াল বিশ্লেষণ,கையேடு பகுப்பாய்வு
ম্যানুয়াল কল,கைமுறை அழைப்பு
ম্যানুয়াল এন্ট্রি,கைமுறை நுழைவு
"1.ম্যানুয়াল সেন্টার, 2.ম্যানুয়াল সেন্টার","1. கையேடு மையம், 2. கையேடு மையம்"
"1. ম্যানুয়াল ইনপুট, 2. ম্যানুয়াল ইনপুট","1. கைமுறை உள்ளீடு, 2. கைமுறை உள்ளீடு"
সংক্ষিপ্ত কাজ,கைமுறை செயல்பாடு
বহু থেকে বহু সম্পর্ক,பல-பல உறவு
মাল্টি-ডিকোডার,பல குறிவிலக்கி
মানচিত্র পদ্ধতি,வரைபட முறை
ম্যাপিং,விவரணையாக்கம்
মার্জিন,விளிம்பு
প্রান্তিক ত্রুটি,விளிம்பு பிழை
প্রান্তিক তদন্ত,விளிம்பு விசாரணை
প্রান্তিক পরীক্ষা,விளிம்பு சோதனை
প্রতীক সনাক্তকরণ,சின்னம் கண்டறிதல்
সাইন রিডিং,கையெழுத்து வாசிப்பு
প্রতীক স্ক্যানিং,சின்னம் ஸ்கேனிங்
সাইন সেন্স,அடையாள உணர்வு
চিহ্নিতকারী,குறிப்பான்
চিহ্নিত করা,குறிக்கும்
মার্কার তরঙ্গ,மார்க்கர் அலை
মার্কভ চেইন,மார்க்கோவ் சங்கிலி
মার্কভ উৎস,மார்க்கோவ் ஆதாரம்
মার্কআপ ভাষা,மார்க்அப் மொழி
maser,மேசர்
maser,மேசர்
"1. মুখোশ, 2. পর্দা, 3. পর্দা","1.முகமூடி, 2.முக்காடு, 3.முக்காடு"
"1. কভার বিট, 2. কভার বিট, 3. মাস্ক ডবল ডিজিট","1. கவர் பிட், 2. கவர் பிட், 3. முகமூடி இரட்டை இலக்கங்கள்"
মাস্ক প্রোগ্রামেবল ডিভাইস,முகமூடி நிரல்படுத்தக்கூடிய சாதனம்
কভার রেজিস্টার,கவர் பதிவு
"1. কভার রম, 2. কভার রম","1. கவர் ரோம், 2. கவர் ரோம்"
আবরণ,கவர்
বিশাল পরিসংখ্যান,பெரிய புள்ளிவிவரங்கள்
"1. ভর মেমরি, 2. ভর মেমরি","1. நிறை நினைவகம், 2. நிறை நினைவகம்"
ব্যাপকভাবে সমান্তরাল,பெருமளவில் இணையாக
প্রধান,தலைவன்
মাস্টার কার্ড,முதன்மை அட்டை
"1.মাথা ঘড়ি, 2.কন্ট্রোলার ঘড়ি","1.ஹெட் வாட்ச், 2.கண்ட்ரோல் வாட்ச்"
প্রধান কনসোল,முக்கிய பணியகம்
প্রধান তথ্য,முதன்மை தரவு
মাস্টার ডায়াগ্রাম,முதன்மை வரைபடம்
প্রধান নথি,முதன்மை கோப்பு
প্রধান গ্রুপ,முதன்மை குழு
প্রধান চাবি,முதன்மை விசை
প্রধান লাইব্রেরি টেপ,முக்கிய நூலக நாடாக்கள்
প্রাইম প্রসেসর,முதன்மை செயலி
ফ্ল্যাগশিপ প্রোগ্রাম,முதன்மை திட்டம்
প্রধান কেন্দ্র,முக்கிய மையம்
"1.মাস্টার টেপ, 2.মাস্টার টেপ","1.மாஸ்டர் டேப், 2.மாஸ்டர் டேப்"
"1.প্রিন্সিপাল টার্মিনাল, 2.প্রধান টার্মিনাল","1.முதன்மை முனையம், 2.முதன்மை முனையம்"
প্রধান অধস্তন ডিভাইস,முதன்மை துணை சாதனம்
প্রধান অধস্তন ব্যবস্থা,முதன்மை துணை அமைப்பு
"1. মিল, 2. মিল, 3. দেখা","1. போட்டி, 2. போட்டி, 3. சந்திப்பு"
ম্যাচ,பொருத்துக
গাণিতিক প্রোগ্রামিং,கணித நிரலாக்க
গাণিতিক সিমুলেশন,கணித உருவகப்படுத்துதல்
"1.ম্যাট্রিক্স, 2.ম্যাট্রিক্স","1.அணி, 2.அணி"
"1.ম্যাট্রিক্স প্রিন্টার, 2.ম্যাট্রিক্স প্রিন্টার","1.மேட்ரிக்ஸ் பிரிண்டர், 2.மேட்ரிக்ஸ் பிரிண்டர்"
ম্যাট্রিক্স সুইচ,அணி சுவிட்ச்
ম্যাট্রিক্স টেবিল,அணி அட்டவணை
ম্যাক্সি কম্পিউটার,அதிகபட்ச கணினி
ম্যাক্সি কম্পিউটার,அதிகபட்ச கணினி
শীর্ষ উপাদান,உச்ச உறுப்பு
যোগপ্যাড,யோகாபேட்
ম্যাক্সওয়েল ড্যামন,மேக்ஸ்வெல் டாமன்
"1.মান, 2.অর্থ","1.அர்த்தம், 2.அர்த்தம்"
মানে পুনরুদ্ধারের সময়,மீட்பு நேரம் என்று பொருள்
ব্যর্থতা মানে সময়,தோல்வி நேரம் என்று அர்த்தம்
ব্যর্থতার মধ্যবর্তী সময় (mt b f),தோல்வி சராசரி நேரம் (m t b f)
ব্যর্থতার সময় মানে,தோல்விக்கான நேரம் என்று அர்த்தம்
মেরামতের গড় সময়,பழுது சராசரி நேரம்
সংশোধন গড় সময় (MTTR),சரிசெய்தல் சராசரி நேரம் (MTTR)
মিডিয়াম স্কেল ইন্টিগ্রেশন (MSI),நடுத்தர அளவிலான ஒருங்கிணைப்பு (MSI)
মিডিয়াম ইন্টিগ্রেশন (MSI),நடுத்தர ஒருங்கிணைப்பு (MSI)
মানে টার্ম স্টোরেজ ডিভাইস,சராசரி சேமிப்பு சாதனம்
প্রতি সেকেন্ডে মেগা বিটস (Mbps),ஒரு நொடிக்கு மெகா பிட் (Mbps)
উপাদান বস্তু,கூறு பொருள்
উপাদান রেকর্ড,கூறு பதிவு
"1.স্মৃতি, 2.স্মৃতি","1.நினைவு, 2.நினைவு"
"1.মেমরি অ্যারে, 2.মেমরি অ্যারে","1.நினைவக வரிசை, 2.நினைவக வரிசை"
"1. মেমরি ফান্ড, 2. মেমরি ব্যাংক","1.மெமரி ஃபண்ட், 2.மெமரி பேங்க்"
"1.মেমরি বাফার রেজিস্টার, 2.মেমরি বাফার রেজিস্টার","1.memory buffer Register, 2.memory buffer Register"
"1.মেমরি বাস, 2. মেমরি বাস","1.மெமரி பஸ், 2. நினைவக பேருந்து"
মেমরি কার্ড,மெமரி கார்டு
মেমরি সেল,நினைவக செல்
স্মৃতিশক্তি হ্রাস,நினைவாற்றல் இழப்பு
"1.মেমরি কোর, 2.মেমরি কোর","1.மெமரி கோர், 2.மெமரி கோர்"
মেমরি চক্র,நினைவக சுழற்சி
"1.মেমরি ডেটা রেজিস্টার, 2.মেমরি ডেটা রেজিস্টার","1.நினைவக தரவுப் பதிவு, 2.நினைவக தரவுப் பதிவு"
"1.মেমরি ডাম্প,2.মেমরি ডাম্প","1.நினைவக திணிப்பு, 2.நினைவக திணிப்பு"
"1.মেমরি এক্সচেঞ্জ, 2.মেমরি এক্সচেঞ্জ","1.நினைவகப் பரிமாற்றம், 2.நினைவகப் பரிமாற்றம்"
"1.মেমরি অনুক্রম, 2.মেমরি অনুক্রম","1.நினைவகப் படிநிலை, 2.நினைவகப் படிநிலை"
মেমরি নির্দেশনা,நினைவக அறிவுறுத்தல்
"1.মেমরি ম্যানেজমেন্ট, 2.মেমরি ম্যানেজমেন্ট","1.நினைவக மேலாண்மை, 2.நினைவக மேலாண்மை"
"1.মেমরি ম্যাপ, 2.মেমরি ম্যাপ","1.நினைவக வரைபடம், 2.நினைவக வரைபடம்"
"1. মেমরি ম্যাপ করা আউটপুট, 2. ইনপুট, 3. মেমরি ম্যাপ করা I/O","1. நினைவக மேப் செய்யப்பட்ட வெளியீடு, 2. உள்ளீடு, 3. நினைவகம் மேப் செய்யப்பட்ட I/O"
"1.মেমরি মডেল, 2.মেমরি মডেল, 3.মেমরি মডেল","1.மெமரி மாடல், 2.மெமரி மாடல், 3.மெமரி மாடல்"
"1.মেমরি মডিউল, 2.মেমরি মডিউল","1.நினைவக தொகுதி, 2.நினைவக தொகுதி"
"1.মেমরি ইনডেক্স রেজিস্টার, 2.মেমরি ইনডেক্স রেজিস্টার","1.மெமரி இன்டெக்ஸ் பதிவு, 2.மெமரி இன்டெக்ஸ் பதிவு"
স্মৃতি শক্তি,ஞாபக சக்தி
মেমরি সুরক্ষা,நினைவக பாதுகாப்பு
"1.মেমরি রেফারেন্স নির্দেশ, 2.মেমরি রেফারেন্স নির্দেশ","1.நினைவக குறிப்பு அறிவுறுத்தல், 2.நினைவக குறிப்பு அறிவுறுத்தல்"
"1.মেমরি প্রোগ্রাম, 2.মেমরি প্রোগ্রাম","1.நினைவக திட்டம், 2.நினைவக திட்டம்"
"1.মেমরি ইউনিট, 2.মেমরি ইউনিট","1.நினைவக அலகு, 2.நினைவக அலகு"
তালিকা,பட்டியல்
মেনু বার,மெனு பார்
মেনু চালিত,மெனு இயக்கப்படுகிறது
মেনু নির্বাচন,மெனு தேர்வு
প্রধান চালিত প্রোগ্রাম,முக்கிய உந்துதல் திட்டம்
"1. অন্তর্নিহিত, 2. একত্রিত","1. உள்ளார்ந்த, 2. ஒன்றிணைக்கப்பட்ட"
মার্জার এক্সচেঞ্জ বাছাই,இணைப்பு பரிமாற்ற வரிசையாக்கம்
"1. একত্রীকরণ বাছাই, 2. ক্যাটালগ নির্বাচন","1. வரிசைப்படுத்தல் இணைப்பு, 2. பட்டியல் தேர்வு"
"1. একত্রীকরণ, 2. একত্রীকরণ","1. இணைத்தல், 2. இணைத்தல்"
জালি নেটওয়ার্ক,லட்டு நெட்வொர்க்
মেসেজিং,செய்தி அனுப்புதல்
বার্তা,செய்தி
বার্তা প্রমাণীকরণ,செய்தி அங்கீகாரம்
বার্তা সেল,செய்தி செல்
বার্তা সার্কিট,செய்தி சுற்று
বার্তা বিন্যাস,செய்தி வடிவம்
বার্তা পোর্ট,செய்தி தலைப்பு
বার্তা মোড,செய்தி முறை
মেসেজিং,செய்தி அனுப்புதல்
"1.বার্তা বাছাই, 2.বার্তা বাছাই","1.செய்தி வரிசைப்படுத்தல், 2.செய்தி வரிசைப்படுத்துதல்"
বার্তা লাইন,செய்தி வரி
বার্তা সুইচ,செய்தி சுவிட்ச்
বার্তার পাঠ্য,செய்தி உரை
বার্তা স্থানান্তর এজেন্ট,செய்தி பரிமாற்ற முகவர்
সুপার অ্যাসেম্বলার,சூப்பர் அசெம்பிளர்
মেটাক্লাস,மெட்டாகிளாஸ்
"1. আরও সংকলন, 2. আরও ব্যাখ্যা","1. அதிக தொகுப்பு, 2. அதிக விளக்கம்"
"1. আরও দোভাষী, 2. আরও কম্পাইলার","1. அதிக மொழிபெயர்ப்பாளர்கள், 2. மேலும் தொகுப்பாளர்கள்"
উপভাষা,பேச்சுவழக்கு
"1.মেটা নেটওয়ার্ক, 2.মেটা নেটওয়ার্ক","1.மெட்டா நெட்வொர்க், 2.மெட்டா நெட்வொர்க்"
একনায়কত্ব,சர்வாதிகாரம்
প্রক্রিয়া,செயல்முறை
মেট্রোপলিটন এরিয়া নেটওয়ার্ক (ম্যান),பெருநகரப் பகுதி நெட்வொர்க் (MAN)
মাইক্রো,மைக்ரோ
"1.মাইক্রোকোড,2.মাইক্রোকোড","1.மைக்ரோகோட், 2.மைக்ரோகோட்"
মাইক্রোকম্পিউটার,நுண்கணினி
মাইক্রো কন্ট্রোলার,நுண் கட்டுப்படுத்தி
মাইক্রো চক্র,நுண் சுழற்சி
মাইক্রোইলেক্ট্রনিক মেকানিক্যাল মেকানিজম (MEMS),மைக்ரோ எலக்ட்ரானிக் மெக்கானிக்கல் மெக்கானிசம்ஸ் (MEMS)
মাইক্রো ইলেকট্রনিক্স,மைக்ரோ எலக்ட்ரானிக்ஸ்
মাইক্রো মিনিয়েচারাইজেশন,மைக்ரோ மினியேட்டரைசேஷன்
মাইক্রো অর্ডার,மைக்ரோ ஆர்டர்
"1.মাইক্রো, 2.মেনফ্রেম লিঙ্ক","1.மைக்ரோ, 2.மெயின்பிரேம் இணைப்பு"
মাইক্রো চিপ,மைக்ரோ சிப்
মাইক্রো কোবল,மைக்ரோ கோபால்
মাইক্রো কোড,மைக்ரோ குறியீடு
"1.মাইক্রোফাইল, 2.মাইক্রোফিশ, 3.মাইক্রোফাইল৷","1.மைக்ரோஃபைல், 2.மைக்ரோஃபிஷ், 3.மைக்ரோஃபைல்"
মাইক্রো ফ্লপি,மைக்ரோ நெகிழ்
মাইক্রোফর্ম রিডিং ডিভাইস,மைக்ரோஃபார்ம் வாசிப்பு சாதனம்
মাইক্রো ফ্রেম,நுண் சட்டகம்
মাইক্রোগ্রাফিক্স,மைக்ரோகிராபிக்ஸ்
মাইক্রোফোন,ஒலிவாங்கி
মাইক্রোফটোগ্রাফ,மைக்ரோஃபோட்டோகிராஃப்
"1.মাইক্রোপ্রসেসিং ইউনিট, 2.মাইক্রোপ্রসেসিং ইউনিট","1.மைக்ரோ பிராசசிங் யூனிட், 2.மைக்ரோ பிராசசிங் யூனிட்"
মাইক্রোপ্রসেসর,நுண்செயலி
মাইক্রোপ্রসেসর চিপ,நுண்செயலி சிப்
মাইক্রোপ্রসেসর ইন্টারপ্রেটার,நுண்செயலி மொழிபெயர்ப்பாளர்
মাইক্রো প্রসেসর ইউনিট (MPU),மைக்ரோ ப்ராசசர் யூனிட் (MPU)
"1. মাইক্রোপ্রোগ্রাম, 2. মাইক্রো প্রোগ্রাম","1. மைக்ரோ புரோகிராம், 2. மைக்ரோ புரோகிராம்"
মাইক্রো ক্রম,மைக்ரோ வரிசை
মাইক্রোসফট,மைக்ரோசாப்ட்
মাইক্রোসফট উইন্ডোজ,மைக்ரோசாப்ட் விண்டோஸ்
মাইক্রো তরঙ্গ,மைக்ரோ அலை
মাইক্রো ওয়েভ লিঙ্ক,மைக்ரோ அலை இணைப்பு
মাইক্রোওয়েভ ট্রান্সমিশন,நுண்ணலை ஒலிபரப்பு
মধ্যম ব্যবস্থাপনা,நடுத்தர மேலாண்மை
"1.মিডলওয়্যার, 2. মধ্যম জিনিসপত্র","1. மிடில்வேர், 2. நடுத்தர பொருட்கள்"
মিডি কম্পিউটার,மிடி கணினி
কেন্দ্রীয় বিন্দু,மைய புள்ளி
মধ্যমা,சராசரி
মাইগ্রেশন রুট,இடம்பெயர்வு பாதை
প্রতি সেকেন্ডে মিলিয়ন নির্দেশনা (MIPS),வினாடிக்கு மில்லியன் வழிமுறைகள் (MIPS)
মিনি কম্পিউটার,மினி கணினி
ছোট ডিস্কেট,சிறிய வட்டு
"1.ছোট কোলন, 2.Little Asht","1.சிறிய பெருங்குடல், 2.சிறிய ஆஷ்ட்"
সর্বনিম্ন পণ্য,குறைந்தபட்ச தயாரிப்பு
বিক্ষিপ্ত গাছ,அரிதான மரம்
"1.মিনিম্যাক্স অ্যালগরিদম, 2.অ্যালগরিদম৷","1.மினிமேக்ஸ் அல்காரிதம், 2.அல்காரிதம்"
ক্ষুদ্রকরণ প্রক্রিয়া,மினியேட்டரைசேஷன் செயல்முறை
সর্বনিম্ন খরচ এক্সটেনশন গাছ,குறைந்த விலை நீட்டிப்பு மரம்
"1.লো লেটেন্সি এনকোডিং, 2.লো লেটেন্সি কোডিং৷","1.குறைந்த தாமதக் குறியாக்கம், 2.குறைந்த தாமதக் குறியீட்டு முறை"
সংক্ষিপ্ত ডিভাইস,குறுகிய சாதனம்
"1. গুণ, 2. গুণ, 3. গুণের পদ","1. பெருக்கல், 2. பெருக்கல், 3. பெருக்கல் கால"
ক্রেডিট কার্ড,கடன் அட்டை
ক্রেডিট কার্ড,கடன் அட்டை
ক্রেডিট এলাকা,கடன் பகுதி
মিররড ডিস্ক,பிரதிபலித்த வட்டு
