Punjabi,Gujarati
ਨਿਵੇਸ਼ ਕਰੋ,રોકાણ કરો
ਨਿਵੇਸ਼ ਕਰੋ,રોકાણ કરો
ਨਿਵੇਸ਼ ਕਰੋ,રોકાણ કરો
ਨਿਵੇਸ਼,રોકાણ
ਨਿਵੇਸ਼,રોકાણ
ਨਿਵੇਸ਼,રોકાણ
ਨਿਵੇਸ਼ ਸਮਾਰੋਹ,રોકાણ સમારોહ
ਕੌਮੀਅਤ ਦੇ ਨਾਲ ਨਿਵੇਸ਼ ਕਰੋ,રાષ્ટ્રીયતા સાથે રોકાણ કરો
ਅਜਿੱਤ ਆਰਮਾਡਾ,અજેય આર્મડા
ਅਸਹਿਣਸ਼ੀਲਤਾ (ਰਾਜ ਦੀ),ઉલ્લંઘન (રાજ્યની)
ਉਲੰਘਣਾ ਰਾਜ,ઉલ્લંઘન રાજ્ય
ਅਭੁੱਲ ਕਿਲ੍ਹਾ,અભેદ્ય કિલ્લો
ਲੋਹੇ ਦੀ ਉਮਰ,આયર્ન યુગ
ਲੋਹੇ ਦਾ ਪਰਦਾ,લોખંડનો પડદો
ਆਇਰਨ ਗਾਰਡ,આયર્ન ગાર્ડ
ਲੋਹੇ ਦੇ ਰਾਸ਼ਨ,આયર્ન રાશન
ਲੋਹੇ ਦੇ ਪਾਸੇ,આયર્ન બાજુઓ
ਲੋਹੇ ਵਾਲਾ ਤੀਰ,આયર્ન ટીપેડ તીર
ਇਸਥਮੀਅਨ ਗੇਮਾਂ,ઇસ્થમિયન રમતો
ਜੈਨੀਸਰੀ,જેનિસરી
ਦਰਬਾਨ,દરવાન
ਦਰਬਾਨ,દરવાન
ਜੈਵਲਿਨ,જેવલિન
ਜਿਮ ਕਰੋ ਕਾਨੂੰਨ,જિમ ક્રો કાયદા
ਜਿੰਗੋ,જિંગો
ਜਿੰਗੋ,જિંગો
ਜਿੰਗੋ,જિંગો
ਜਿੰਗੋਇਜ਼ਮ,જિન્ગોઇઝમ
ਸਾਂਝੀ ਕਾਰਵਾਈ,સંયુક્ત કાર્યવાહી
ਸੰਯੁਕਤ ਕੰਟਰੋਲ,સંયુક્ત નિયંત્રણ
ਸੰਯੁਕਤ ਕਬਜ਼ਾ,સંયુક્ત કબજો
ਜਿਊਰੀ,જ્યુરી
ਹੁਣੇ ਹੀ ਕਾਰਨ,માત્ર કારણ
ਰੱਖੋ,રાખવું
ਪੁਰਾਲੇਖ ਦੇ ਰੱਖਿਅਕ,આર્કાઇવ્સ કીપર
ਕੇਤਲੀ-ਡਰੰਮ,કેટલ-ડ્રમ
ਮੁੱਖ ਸ਼ਬਦ,મુખ્ય શબ્દ
ਰਾਜਾ,રાજા
ਰਾਜ,રાજ્ય
ਕਿੰਗਲੇਟ,કિંગલેટ
ਕਿੰਗ ਮੇਕਰ,રાજા નિર્માતા
ਬਾਦਸ਼ਾਹਤ,કિંગશિપ
ਬਾਦਸ਼ਾਹਤ,કિંગશિપ
ਰਸੋਈ ਦੀ ਕੈਬਨਿਟ,રસોડા નો કબાટ
ਨਾਈਟ,નાઈટ
ਬਾਦਸ਼ਾਹਤ,રાજાપણું
ਕਿੰਗਹਟਸ ਹਸਪਤਾਲ ਵਾਲੇ,Kinghts હોસ્પિટલર્સ
ਸੇਂਟ ਜੌਨ ਦੇ ਨਾਈਟਸ,સેન્ટ જ્હોનના નાઈટ્સ
ਨਾਈਟ ਟੈਂਪਲਰ,નાઈટ ટેમ્પ્લર
Ku Klux Klan (KKK),કુ ક્લક્સ ક્લાન (KKK)
ਕੁਮਿੰਟੰਗ,કુમિન્તાંગ
ਲੋਕਾਈ,સમાજ
ਲਾਂਸ,લાન્સ
ਲੈਂਸਰ,લેન્સર
ਬਾਅਦ ਵਿਚ ਗੁਪਤਾ,બાદમાં ગુપ્તા
ਕਾਨੂੰਨੀ ਵਾਰਸ,કાયદેસર વારસદાર
ਕੁਧਰਮ (=ਵਿਕਾਰ),અધર્મ (= અવ્યવસ્થા)
ਕੁਧਰਮ (=ਵਿਕਾਰ),અધર્મ (= અવ્યવસ્થા)
ਕਾਨੂੰਨ ਦੇ ਮਾਲਕ,કાયદાના સ્વામીઓ
ਪਵਿੱਤਰਤਾ ਦਾ ਕਾਨੂੰਨ,ધર્મનિષ્ઠાનો કાયદો
ਰਾਸ਼ਟਰ ਦੀ ਲੀਗ,લીગ ઓફ નેશન્સ
ਵਿਰਾਸਤ (= ਵਸੀਅਤ),વારસો (=વીસિયત)
ਵਿਰਾਸਤ (= ਵਸੀਅਤ),વારસો (=વીસિયત)
ਕਾਨੂੰਨੀ ਵਾਰਸ,કાનૂની વારસદાર
ਕਾਨੂੰਨੀ,લેગેટ
ਕਾਨੂੰਨੀ,લેગેટ
ਕਾਨੂੰਨੀ,લેગેટ
ਦੰਤਕਥਾ,દંતકથા
ਦੰਤਕਥਾ,દંતકથા
ਫੌਜ,લીજન
ਫੌਜ,લીજન
ਲੀਜਨ ਆਫ਼ ਆਨਰ,લીજન ઓફ ઓનર
Lese majesty (= Lese majeste),લેસ મેજેસ્ટી (=લેસે મેજેસ્ટી)
ਘੱਟ ਰਾਜ,ઓછા રાજ્યો
ਭਰੋਸੇ ਦੇ ਪੱਤਰ,વિશ્વાસના પત્રો
ਲੀਗ-ਪ੍ਰਭੂ,લીગ-સ્વામી
ਲੀਗ ਆਦਮੀ,લીગે માણસ
ਲੀਗ ਆਦਮੀ,લીગે માણસ
ਉਮਰ ਕੈਦ,આજીવન કેદ
ਵੰਸ਼,વંશ
ਲਿਟਲ ਇੰਗਲੈਂਡਰ,લિટલ ઈંગ્લેન્ડર
ਛੋਟਾ ਵਾਹਨ (= ਘੱਟ ਵਾਹਨ),નાનું વાહન (= ઓછું વાહન)
ਲਿਟੋਰਲ ਰਾਜ,દરિયા કિનારે રાજ્ય
ਲੀਟੁਰਜੀ,ઉપાસના
ਲਿਟੁਰਜੀ,ઉપાસના
ਸਥਾਨਕ ਵਫ਼ਾਦਾਰੀ,સ્થાનિક નિષ્ઠા
ਸਥਾਨਕ-ਸਵੈ ਸਰਕਾਰ,સ્થાનિક-સ્વ સરકાર
ਲੰਬੀ ਸੰਸਦ,લાંબી સંસદ
ਨੀਵੇਂ ਦੇਸ਼,નીચા દેશો
ਵਫ਼ਾਦਾਰ,વફાદાર
ਵਫ਼ਾਦਾਰੀ,વફાદારી
ਮੈਕਿਆਵੇਲੀਅਨ ਨੀਤੀ,મેકિયાવેલિયન નીતિ
ਮੈਗਨਾ ਕਾਰਟਾ,મેગ્ના કાર્ટા
ਮੈਗਨਮ ਕਨਸਿਲੀਅਮ,મેગ્નમ કોન્સિલિયમ
ਮਲਮ ਮਨਾਹੀ,માલુમ નિષેધ
ਮੰਦਾਮਸ,મેન્ડમસ
ਆਦੇਸ਼,આદેશ
"ਹੁਕਮ, ਕਲਾਸ &#39;ਏ&#39;","આદેશ, વર્ગ &#39;A&#39;"
"ਹੁਕਮ, ਕਲਾਸ &#39;ਬੀ&#39;","આદેશ, વર્ગ &#39;બી&#39;"
"ਹੁਕਮ, ਕਲਾਸ &#39;ਸੀ&#39;","આદેશ, વર્ગ &#39;C&#39;"
ਆਦੇਸ਼ ਪ੍ਰਣਾਲੀ,આદેશ સિસ્ટમ
ਲਾਜ਼ਮੀ ਰਾਜ,ફરજિયાત રાજ્ય
ਮੰਗੋਨਲ,મેંગોનેલ
ਮੈਨੀਫੈਸਟੋ,મેનિફેસ્ટો
ਚਾਲਾਂ,દાવપેચ
ਜੰਗ ਦਾ ਮਨੁੱਖ,મેન ઓફ વોર
ਮਨੋਰ,મનોર
ਮਨੋਰ,મનોર
ਮਨੁੱਖ-ਸ਼ਕਤੀ,માનવશક્તિ
ਮਨੁੱਖ-ਸ਼ਕਤੀ,માનવશક્તિ
ਮੈਨੂਮਿਸ਼ਨ,મેન્યુમિશન
ਮਨੁਮਿਤ,મનુમિત
ਹੱਥ-ਲਿਖਤ,હસ્તપ્રત
ਹੱਥ-ਲਿਖਤ,હસ્તપ્રત
ਹੱਥ-ਲਿਖਤ,હસ્તપ્રત
ਲੁਟੇਰਾ,લૂંટારા
ਸਮੁੰਦਰੀ ਪੱਟੀ,દરિયાઈ પટ્ટો
ਸਮੁੰਦਰੀ ਸਭਿਅਤਾ,દરિયાઈ સંસ્કૃતિ
ਸਮੁੰਦਰੀ ਝੰਡਾ,દરિયાઈ ધ્વજ
ਸਮੁੰਦਰੀ ਸ਼ਕਤੀਆਂ,દરિયાઈ સત્તાઓ
ਸਮੁੰਦਰੀ ਪ੍ਰਭੂਸੱਤਾ,દરિયાઈ સાર્વભૌમત્વ
ਸਮੁੰਦਰੀ ਯੁੱਧ,દરિયાઈ યુદ્ધ
ਮਾਰਕੁਇਸ,માર્ક્વિસ
ਮਾਰਕਿਸੇਟ,માર્ક્વિસેટ
ਮਾਰਸ਼ਲ ਲਾਅ,લશ્કરી કાયદો
ਮਾਰਸ਼ਲ ਦੌੜ,માર્શલ રેસ
ਸ਼ਹੀਦ,શહીદ
ਕਤਲੇਆਮ,હત્યાકાંડ
ਚਾਲ ਦਾ ਪੁੰਜ,દાવપેચનો સમૂહ
ਮਾਸਟਰ-ਐਟ-ਆਰਮਸ,માસ્ટર-એટ-આર્મ્સ
ਰਸਮਾਂ ਦਾ ਮਾਲਕ,વિધિના માસ્ટર
ਘਰ ਦਾ ਮਾਲਕ,ઘરના માસ્ટર
ਘੋੜੇ ਦਾ ਮਾਸਟਰ,ઘોડાનો માસ્ટર
ਰੋਲਸ ਦੇ ਮਾਸਟਰ,રોલ્સનો માસ્ટર
ਮੈਚ,મેચ
ਮੈਚ,મેચ
ਮੈਚਲਾਕ,મેચલોક
ਵਿਆਹੁਤਾ ਗਠਜੋੜ,વૈવાહિક જોડાણ
ਮੈਡੀਟੇਰੀਅਨ ਸ਼ਕਤੀਆਂ,ભૂમધ્ય શક્તિઓ
ਮੇਨਸ਼ੇਵਿਕ,મેન્શેવિક
ਭਾੜੇ ਦੀ ਫੌਜ,ભાડૂતી સૈન્ય
ਕਿਰਾਏਦਾਰ ਸਿਪਾਹੀ,ભાડૂતી સૈનિક
ਵਪਾਰੀ,વેપારી
ਵਿਚਕਾਰਲਾ ਯੁੱਗ,મધ્યમ વય
ਮਧਿਅਪੂਰਵ,મધ્ય પૂર્વ
ਮੱਧ ਬੀਤਣ,મધ્ય માર્ગ
ਮੱਧ ਮਾਰਗ,મધ્ય માર્ગ
ਮੱਧ ਰਸਤਾ (= ਮੱਧ ਕੋਰਸ),મધ્ય માર્ગ (=મધ્યમ અભ્યાસક્રમ)
ਪਰਵਾਸੀ,સ્થળાંતર
ਪਰਵਾਸ,સ્થળાંતર
ਪਰਵਾਸ,સ્થળાંતર
ਪਰਵਾਸ,સ્થળાંતર
ਮਿਲਟਰੀਵਾਦ,લશ્કરવાદ
ਮਿਲਟਰੀਵਾਦ,લશ્કરવાદ
ਮਿਲਟਰੀਵਾਦ,લશ્કરવાદ
ਮਿਲਟਰੀਵਾਦ,લશ્કરવાદ
ਫੌਜੀ,લશ્કરવાદી
ਫੌਜੀ,લશ્કરવાદી
ਫੌਜੀਕਰਨ,લશ્કરીકરણ
ਫੌਜੀਕਰਨ,લશ્કરીકરણ
ਫੌਜੀਕਰਨ,લશ્કરીકરણ
ਫੌਜੀ ਰਣਨੀਤਕ (= ਰਣਨੀਤਕ),લશ્કરી વ્યૂહરચનાકાર (= વ્યૂહરચનાકાર)
ਫੌਜੀ ਰਣਨੀਤਕ (= ਰਣਨੀਤਕ),લશ્કરી વ્યૂહરચનાકાર (= વ્યૂહરચનાકાર)
ਫੌਜੀ ਰਣਨੀਤੀ (= ਰਣਨੀਤੀ),લશ્કરી રણનીતિ (= વ્યૂહરચના)
ਮਿਲੀਸ਼ੀਆ,મિલિશિયા
ਮਿਲੀਸ਼ੀਆ,મિલિશિયા
ਕੁਸ਼ਾਸਨ,કુશાસન
ਗੁੰਮ ਲਿੰਕ,લિંક ખૂટે છે
ਮਿਸ਼ਨ,મિશન
ਮਿਸ਼ਨ,મિશન
ਮਿਸ਼ਨ,મિશન
ਮਿਸ਼ਰਤ ਦੌੜ,મિશ્ર જાતિ
ਆਧੁਨਿਕ ਇਤਿਹਾਸ,આધુનિક ઇતિહાસ
ਵਿਧੀ ਵਿਵੇਂਡੀ,મોડસ વિવેન્ડી
ਮੋਨਾਚਿਜ਼ਮ,મોનાકિઝમ
ਮੋਨਾਰਕ,રાજા
ਮੋਨਾਰਕ,રાજા
ਰਾਜਸ਼ਾਹੀਵਾਦ,રાજાશાહી
ਰਾਜਸ਼ਾਹੀਵਾਦ,રાજાશાહી
ਰਾਜਸ਼ਾਹੀ,રાજાશાહી
ਰਾਜਸ਼ਾਹੀ,રાજાશાહી
ਮੱਠ,મઠ
ਮੱਠ,મઠ
ਮੱਠ,મઠ
ਮੱਠਵਾਦ,સાધુવાદ
ਮੱਠਵਾਦ,સાધુવાદ
ਭਿਕਸ਼ੂ,સાધુ
ਮਾਤਾ ਦੇਸ਼,માતૃ દેશ
ਮਾਤ ਭੂਮੀ,માતૃભૂમિ
ਸੰਸਦਾਂ ਦੀ ਮਾਂ,સંસદની માતા
ਮੁਕਰਕਰਸ,મકરાકર્સ
ਮੰਮੀ,મમી
ਅਜਾਇਬ ਘਰ,મ્યુઝિયમ
ਮਸਕਟ,મસ્કેટ
ਮਸਕਟੀਅਰ,મસ્કિટિયર
ਮਸਕੈਟਰੀ,મસ્કેટ્રી
ਮਸਕੈਟਰੀ,મસ્કેટ્રી
ਮਾਸਟਰ ਮਾਸਟਰ,માસ્ટર માસ્ટર
ਮਸਟਰ-ਰੋਲ,મસ્ટર-રોલ
ਮਸਟਰ-ਰੋਲ,મસ્ટર-રોલ
ਬਗਾਵਤ,વિદ્રોહ
ਬਗਾਵਤ ਐਕਟ,બળવો અધિનિયમ
ਰਹੱਸਮਈ ਜਹਾਜ਼,રહસ્ય જહાજ
ਬਿਰਤਾਂਤ,વર્ણનાત્મક
ਕੌਮ,રાષ્ટ્ર
ਮੂਲ,મૂળ
ਮੂਲ ਰਾਜ,મૂળ રાજ્ય
ਕੁਦਰਤਵਾਦ,પ્રાકૃતિકતા
ਕੁਦਰਤੀ ਅਧਿਕਾਰ,કુદરતી અધિકારો
ਨਾਜ਼ੀ,નાઝી
ਨਾਜ਼ੀ ਇਨਕਲਾਬ,નાઝી ક્રાંતિ
ਨਾਜ਼ੀਵਾਦ,નાઝીવાદ
ਪੂਰਬ ਦੇ ਨੇੜੇ,પૂર્વની નજીક
ਨੀਗਰੋ,હબસી
ਨੇਗਰੋਫਿਲ,નેગ્રોફિલ
ਨੇਗਰੋਫਿਲਿਜ਼ਮ,નેગ્રોફિલિઝમ
ਨੇਗਰੋਫੋਬੀਆ,નેગ્રોફોબિયા
ਨਿਰਪੱਖ,તટસ્થ
ਨਿਰਪੱਖ ਦੇਸ਼,તટસ્થ દેશ
ਨਵੀਂ ਡੀਲ,નવી ડીલ
ਨਵੀਂ ਦੁਨੀਆਂ,નવી દુનિયા
ਕੁਲੀਨਤਾ,ખાનદાની
ਨੇਕ,નોબલ
ਨੇਕ,નોબલ
ਨਾਮਵਰ,વિચરતી
ਖਾਨਾਬਦੋਸ਼ ਭੀੜ,વિચરતી ટોળું
ਖਾਨਾਬਦੋਸ਼,વિચરતી
ਗੈਰ-ਹਮਲਾਵਰ ਸਮਝੌਤਾ,બિન-આક્રમકતા કરાર
ਗੈਰ-ਹਮਲਾਵਰ ਸੰਧੀ,બિન-આક્રમકતા સંધિ
ਗੈਰ ਜੁਝਾਰੂ ਰਾਜ,બિન-યુદ્ધરહિત રાજ્ય
ਅਸਹਿਯੋਗ,અસહકાર
ਅਸਹਿਯੋਗ ਅੰਦੋਲਨ,અસહકાર આંદોલન
ਉਲਟ,સામે
ਉਲਟ,સામે
ਲੋਕਤੰਤਰ (=ਲੋਕਸ਼ਾਹੀ),લોકશાહી (=મોબોક્રસી)
ਓਕਲੋਕ੍ਰੇਟ,ઓક્લોક્રેટ
ਅਧਿਕਾਰਤ ਦਸਤਾਵੇਜ਼,સત્તાવાર દસ્તાવેજ
ਪੁਰਾਣੀ ਦੁਨੀਆਂ,જૂની દુનિયા
ਕੁਲੀਨਤਾ,ઓલિગાર્કી
ਹਮਲਾ,આક્રમણ
ਖੁੱਲ੍ਹੀ ਗੱਲਬਾਤ,ઓપન વાટાઘાટ
ਖੁੱਲ੍ਹਾ ਸਵਾਲ,ખુલ્લો પ્રશ્ન
ਰਿਕਾਰਡ ਖੋਲ੍ਹੋ,ઓપન રેકોર્ડ્સ
ਪੂਰਬੀ,ઓરિએન્ટ
ਪੂਰਬੀਵਾਦ,પ્રાચ્યવાદ
ਪੂਰਬੀਵਾਦ,પ્રાચ્યવાદ
ਪੂਰਬੀ,પ્રાચ્યવાદી
ਮੂਲ,મૂળ
ਮੂਲ,મૂળ
ਆਰਥੋਗ੍ਰਾਫੀ,ઓર્થોગ્રાફી
ਦੁਸ਼ਮਣੀ ਦਾ ਪ੍ਰਕੋਪ,દુશ્મનાવટનો ફાટી નીકળવો
ਆਊਟ-ਪੋਸਟ,આઉટ પોસ્ટ
ਅਪਰ-ਪ੍ਰਭੂ,ઓવર-લોર્ડ
ਓਵਰ-ਰਾਈਡ,ઓવર-રાઈડ
ਓਵਰ-ਰਾਈਡ,ઓવર-રાઈડ
ਮੂਰਤੀ,મૂર્તિપૂજક
ਮੂਰਤੀ,મૂર્તિપૂજક
ਮੂਰਤੀਵਾਦ,મૂર્તિપૂજક
ਮੂਰਤੀਵਾਦ,મૂર્તિપૂજક
ਪਗੋਡਾ,પેગોડા
ਪਗੋਡਾ,પેગોડા
ਪਗੋਡਾ,પેગોડા
ਮਹਿਲ ਸਾਜ਼ਿਸ਼ਾਂ,મહેલ ષડયંત્ર
ਪੈਲੇਟਿਨੇਟ,પેલેટિનેટ
ਤਾੜ-ਪੱਤੀ,તાડ-પાન
ਪਾਮ ਐਤਵਾਰ,પામ રવિવાર
ਪੈਨੇਗਰਿਸਟ,પેનેગિરિસ્ટ
ਘਬਰਾਹਟ,ગભરાટ
ਘਬਰਾਹਟ,ગભરાટ
ਘਬਰਾਉਣ ਵਾਲਾ,ગભરામણ કરનાર
ਪੋਪਸੀ,પોપસી
ਪੋਪਸੀ,પોપસી
ਪੋਪਸੀ,પોપસી
ਪੋਪਸੀ,પોપસી
ਪਾਪਲ ਬਲਦ,પાપલ બળદ
ਪੋਪਵਾਦ,પોપવાદ
ਪੋਪਵਾਦ,પોપવાદ
ਪੋਪਵਾਦੀ,પોપલિસ્ટ
ਪੋਪ ਰਾਜ,પાપલ રાજ્ય
ਪੈਪਿਜ਼ਮ (=ਪੈਪਿਸਟ੍ਰੀ),પેપિઝમ (=પેપિસ્ટ્રી)
ਪਾਪੀ,પેપિસ્ટ
ਪਪਾਇਰਸ,પેપિરસ
ਦ੍ਰਿਸ਼ਟਾਂਤ,ઉપમા
ਸਰਬੋਤਮ,પેરામાઉન્ટ
ਸਰਵਉੱਚਤਾ (=ਸਰਵ ਸ਼ਕਤੀ),સર્વોપરીતા (= સર્વોપરી શક્તિ)
ਸਰਬੋਤਮ ਇਸਤਰੀ,સર્વોપરી મહિલા
ਪਰਮ-ਪ੍ਰਭੂ,સર્વોપરી સ્વામી
ਪਰਚਮ,ચર્મપત્ર
ਪਰਚਮ,ચર્મપત્ર
ਪਰਚਮ,ચર્મપત્ર
ਮਾਫ਼ ਕਰਨਾ,ક્ષમા
ਪਾਰਲੇ,વાર્તાલાપ
ਪਾਰਲੇ,વાર્તાલાપ
ਸੰਸਦ (=ਸੰਸਦ),સંસદ (=સંસદ)
ਸੰਸਦ,લોકસભા
ਸੰਸਦ,લોકસભા
ਸੰਸਦ,લોકસભા
ਸੰਸਦ ਐਕਟ,સંસદ અધિનિયમ
ਸੰਸਦ ਮੈਂਬਰ,સંસદસભ્ય
ਸੰਸਦ ਮੈਂਬਰ,સંસદસભ્ય
ਸੰਸਦੀ ਏਜੰਟ,સંસદીય એજન્ટ
ਪਾਰਨੇਲਿਜ਼ਮ,પાર્નેલિઝમ
ਪੈਰੋਲ,પેરોલ
ਪੈਰੋਲ,પેરોલ
ਪੈਰੀਸਾਈਡ,પેરિસાઈડ
ਪੈਰੀਸਾਈਡ,પેરિસાઈડ
ਪੱਖਪਾਤੀ,પક્ષપાતી
ਪੱਖਪਾਤੀ,પક્ષપાતી
ਪੱਖਪਾਤੀ,પક્ષપાતી
ਪਾਸ,પાસ
ਪਾਸ ਸ਼ਬਦ (= ਵਾਚ ਸ਼ਬਦ),પાસ શબ્દ (=વોચ શબ્દ)
ਪਤਿਤ,પિતૃસત્તાક
ਪਤਿਤ,પિતૃઓ
ਪੈਟਰੀਸ਼ੀਅਨ,પેટ્રિશિયન
ਪਤਿਤ,દેશભક્તિ
ਪੈਕਸ ਬ੍ਰਿਟੈਨਿਕਾ,પેક્સ બ્રિટાનિકા
ਪੈਕਸ ਰੋਮਾਣਾ,પેક્સ રોમાના
ਵੰਸ਼,વંશાવલિ
ਵੰਸ਼,વંશાવલિ
ਵੰਸ਼ ਪ੍ਰਾਪਤ ਵਿਅਕਤੀ,વંશાવલિ વ્યક્તિ
ਪੀਰ,પીઅર
ਪੀਰ,પીઅર
ਪੀਰੇਜ,પીરેજ
ਪੀਰੇਜ,પીરેજ
ਪੀਰੇਜ,પીરેજ
ਆਇਰਲੈਂਡ ਦੇ ਹਾਣੀ,આયર્લેન્ડના સાથીદારો
ਸਕਾਟਲੈਂਡ ਦੇ ਹਾਣੀ,સ્કોટલેન્ડના સાથીદારો
ਪ੍ਰਾਇਦੀਪ ਦੀ ਮੁਹਿੰਮ,દ્વીપકલ્પ ઝુંબેશ
ਪ੍ਰਾਇਦੀਪ ਯੁੱਧ,દ્વીપકલ્પ યુદ્ધ
ਪੈਨੈਂਟ,પેનન્ટ
ਲੋਕ ਚਾਰਟਰ (=ਰਾਸ਼ਟਰੀ ਚਾਰਟਰ),પીપલ્સ ચાર્ટર (=રાષ્ટ્રીય ચાર્ટર)
ਲੋਕਾਂ ਦਾ ਮੋਰਚਾ (= ਪ੍ਰਸਿੱਧ ਫਰੰਟ),લોકોનો મોરચો (=લોકપ્રિય મોરચો)
ਧੋਖਾਧੜੀ,બેફામ
ਮਿਆਦ,સમયગાળો
ਮਿਆਦ,સમયગાળો
ਪਰੀਫੇਰੀ,પરિઘ
ਸਥਾਈ ਬੰਦੋਬਸਤ,કાયમી સમાધાન
ਸਦੀਵੀ ਜਾਗੀਰ,શાશ્વત જાગીર
ਫਾਲੈਂਕਸ,ફાલેન્ક્સ
ਫਲੈਂਕਸ,ફાલેન્ક્સ
ਫਰੌਨ,ફેરો
ਪਿਕਟੋਗ੍ਰਾਮ,પિક્ટોગ્રામ
ਪਿਕਟੋਗ੍ਰਾਫ,પિક્ટોગ્રાફ
ਪਿਕਟੋਗ੍ਰਾਫ,પિક્ટોગ્રાફ
ਤੀਰਥ,યાત્રાળુ
ਸ਼ਰਧਾਲੂ ਪਿਤਾ,યાત્રાળુ પિતા
ਲੁੱਟ,લૂંટ
ਲੁੱਟ,લૂંટ
ਥੰਮ੍ਹ,સ્તંભ
ਥੰਮ੍ਹ ਦੇ ਹੁਕਮ (ਅਸ਼ੋਕ ਦੇ),સ્તંભના આજ્ઞાઓ (અશોકના)
ਥੰਮ੍ਹ ਦੇ ਹੁਕਮ (ਅਸ਼ੋਕ ਦੇ),સ્તંભના આજ્ઞાઓ (અશોકના)
ਥੰਮ੍ਹ ਦੇ ਹੁਕਮ (ਅਸ਼ੋਕ ਦੇ),સ્તંભના આજ્ઞાઓ (અશોકના)
ਸਮੁੰਦਰੀ ਡਾਕੂ,ચાંચિયો
ਸਮੁੰਦਰੀ ਡਾਕੂ,ચાંચિયો
ਖੜੀ ਲੜਾਈ,પીચ યુદ્ધ
ਪਲਾਟ,પ્લોટ
ਪੋਲਿਸ,પોલિસ
ਪੋਲਿਸ,પોલિસ
ਰਾਜਨੀਤਿਕ,પોલિટાર્ક
ਸਿਆਸੀ ਏਜੰਟ,પોલિટિકલ એજન્ટ
ਸਿਆਸੀ ਸ਼ਰਨ,રાજકીય આશ્રય
ਰਾਜਨੀਤਿਕ ਨਿਵਾਸੀ,રાજકીય નિવાસી
ਸਿਆਸੀ ਅੱਤਵਾਦ,રાજકીય આતંકવાદ
ਪੋਲ ਟੈਕਸ,મતદાન કર
ਪੋਂਟੂਨ,પોન્ટૂન
ਪ੍ਰੀਮੀਅਰ,પ્રીમિયર
ਪ੍ਰੀਮੀਅਰ,પ્રીમિયર
ਪ੍ਰੀਮੀਅਰਸ਼ਿਪ,પ્રીમિયરશિપ
ਪ੍ਰਧਾਨਗੀ,પ્રમુખપદ
ਪ੍ਰਧਾਨਗੀ,પ્રમુખપદ
ਪ੍ਰਧਾਨ,રાષ્ટ્રપતિ
ਪ੍ਰਧਾਨ,રાષ્ટ્રપતિ
ਪ੍ਰਧਾਨਗੀ ਮੰਡਲ,પ્રેસિડિયમ
ਪ੍ਰਧਾਨ ਮੰਤਰੀ,પ્રધાન મંત્રી
ਪ੍ਰਿਮੋਜਨੀਚਰ,પ્રિમોજેનિચર
ਪ੍ਰਿੰ,રાજકુમાર
ਪ੍ਰਿੰ,રાજકુમાર
ਪ੍ਰਿੰਸ ਬਿਸ਼ਪ,પ્રિન્સ બિશપ
ਪ੍ਰਿੰਸ ਕੰਸੋਰਟ,પ્રિન્સ કોન્સોર્ટ
ਪ੍ਰਿੰਸ ਰੀਜੈਂਟ,પ્રિન્સ રીજન્ટ
ਪਿੰਸ ਰੀਗਨੈਂਟ,પિન્સ રેગ્નન્ટ
ਰਾਜਕੁਮਾਰੀ ਰੀਜੈਂਟ,પ્રિન્સેસ રીજન્ટ
ਰਾਜਕੁਮਾਰੀ ਰਾਇਲ,પ્રિન્સેસ રોયલ
ਰਿਆਸਤ,હુકુમત
ਰਿਆਸਤ,હુકુમત
ਰਿਆਸਤ,હુકુમત
ਇਨਾਮ,ઇનામ
ਇਨਾਮ,ઇનામ
ਇਨਾਮੀ ਰਕਮ,ઈનામની રકમ
ਪੇਸ਼ੇਵਰ ਸਿਪਾਹੀ,વ્યવસાયિક સૈનિક
ਵਾਅਦਾ,વચન
ਪ੍ਰੋਮੋਨਟਰੀ ਕਿਲਾ,પ્રોમોન્ટરી કિલ્લો
ਰੱਖਿਅਕ,સંરક્ષક
ਰੱਖਿਅਕ,સંરક્ષક
ਰੱਖਿਅਕ,સંરક્ષક
ਪ੍ਰੋਟੇਜ,પ્રોટેજી
ਉਪਦੇਸ਼,ઉત્પત્તિ
ਉਪਦੇਸ਼,ઉત્પત્તિ
ਪ੍ਰੋਵੇਨੈਂਸ ਸਿਸਟਮ,પ્રોવેન્સ સિસ્ટમ
ਪ੍ਰੋ-ਜ਼ੀਓਨਿਸਟ,ઝાયોનિસ્ટ તરફી
ਜਨਤਕ ਦੁਸ਼ਮਣ,જાહેર દુશ્મન
ਜਨਤਕ ਦੁਸ਼ਮਣ,જાહેર દુશ્મન
ਵਿਰਾਮ,વિરામચિહ્નો
ਪੁਨਿਕ ਯੁੱਧ,પ્યુનિક યુદ્ધો
ਪਿਉਰਿਟਨ,પ્યુરિટન
ਪੁਸ਼,પુશ
ਕਵਾਡਰਿਗਾ,ક્વાડ્રિગા
ਚੌਗੁਣਾ ਗਠਜੋੜ,ચારગણું જોડાણ
ਕਵੇਕਰ,ક્વેકર
ਰਾਣੀ,રાણી
ਰਾਣੀ ਪਤਨੀ,રાણીની પત્ની
ਰਾਣੀ ਦਾਜ ਦੇਣ ਵਾਲਾ,રાણી દાવેદાર
ਮਹਾਰਾਣੀ,ક્વીનડમ
ਮਹਾਰਾਣੀ,ક્વીનડમ
