Marathi,Kannada
पत्ता हस्तांतरण की,ವಿಳಾಸ ವರ್ಗಾವಣೆ ಕೀ
"1. डिस्क की, 2. डिस्क की","1. ಡಿಸ್ಕ್ ಕೀ, 2. ಡಿಸ್ಕ್ ಕೀ"
फ्लॉपी की,ಫ್ಲಾಪಿ ಕೀ
टेप की,ಟೇಪ್ ಕೀ
मुख्य संज्ञा,ಪ್ರಮುಖ ಪದ
"1.किक, 2.थांप","1.ಕಿಕ್, 2.ತಂಪ್"
झोपडी,ಗುಡಿಸಲು
किलो बिट,ಕಿಲೋ ಬಿಟ್
गाठ,ಗಂಟು
ज्ञान आधारित माहिती सेवा,ಜ್ಞಾನ ಆಧಾರಿತ ಮಾಹಿತಿ ಸೇವೆಗಳು
ज्ञान शोध,ಜ್ಞಾನದ ಅನ್ವೇಷಣೆ
ज्ञान शोध डेटाबेस,ಜ್ಞಾನ ಹುಡುಕಾಟ ಡೇಟಾಬೇಸ್
ज्ञान अभियांत्रिकी,ಜ್ಞಾನ ಎಂಜಿನಿಯರಿಂಗ್
ज्ञान व्यवस्थापन,ಜ್ಞಾನ ನಿರ್ವಹಣಾ
ज्ञान कार्यकर्ता,ಜ್ಞಾನ ಕಾರ್ಯಕರ್ತ
लॅन अडॅप्टर,ಲ್ಯಾನ್ ಅಡಾಪ್ಟರ್
"1.LAN सर्व्हर, 2.LAN सर्व्हर","1.LAN ಸರ್ವರ್, 2.LAN ಸರ್ವರ್"
LAN कामाची जागा,LAN ಕಾರ್ಯಸ್ಥಳ
क्षैतिज चित्र,ಸಮತಲ ಚಿತ್ರ
"1.क्षैतिज प्रतिमा, 2.लँडस्केप","1. ಅಡ್ಡ ಚಿತ್ರ, 2. ಭೂದೃಶ್ಯ"
इंग्रजी,ಭಾಷೆ
भाषा प्रशिक्षक,ಭಾಷಾ ಬೋಧಕ
भाषा प्रोसेसर,ಭಾಷಾ ಸಂಸ್ಕಾರಕ
"1.भाषा हस्तांतरणकर्ता, 2.भाषा अनुवादक","1. ಭಾಷಾ ವರ್ಗಾವಣೆ, 2. ಭಾಷಾ ಅನುವಾದಕ"
लॅपटॉप,ಲ್ಯಾಪ್ಟಾಪ್
सर्वसमावेशक एकत्रीकरण (LSI),ಸಮಗ್ರ ಏಕೀಕರಣ (LSI)
मास इंटिग्रेशन (LSI),ಸಾಮೂಹಿಕ ಏಕೀಕರಣ (LSI)
लेसर,ಲೇಸರ್
लेसर प्रिंटर,ಲೇಸರ್ ಮುದ್ರಕ
लास्ट इनपुट फर्स्ट इश्यू (LIFO),ಕೊನೆಯ ಇನ್‌ಪುಟ್ ಮೊದಲ ಸಂಚಿಕೆ (LIFO)
थर,ಪದರ
"खाका, मांडणी","ನೀಲನಕ್ಷೆ, ವಿನ್ಯಾಸ"
"1. पाने, 2. पाने, 3. पत्र","1. ಎಲೆಗಳು, 2. ಎಲೆಗಳು, 3. ಪತ್ರ"
लीफ नोड,ಎಲೆ ನೋಡ್
पानांची जागा,ಎಲೆ ಚುಕ್ಕೆ
भाडेपट्टी,ಗುತ್ತಿಗೆ
"1. लीज चॅनेल, 2. लीज सिस्टम","1.ಲೀಸ್ ಚಾನಲ್, 2.ಲೀಸ್ ಸಿಸ್ಟಮ್"
"1.लाइन,2.लीश लाईन","1.ಲೈನ್, 2.ಲೀಶ್ ಲೈನ್"
किमान अर्थपूर्ण बिट shell.sb),ಕನಿಷ್ಠ ಅರ್ಥಪೂರ್ಣ ಬಿಟ್ ಶೆಲ್.ಎಸ್ಬಿ)
किमान लक्षणीय स्कोअर,ಕನಿಷ್ಠ ಗಮನಾರ್ಹ ಸ್ಕೋರ್
"1. इनहेरिटेड सिस्टम, 2. इनहेरिटन्स सिस्टम","1. ಆನುವಂಶಿಕ ವ್ಯವಸ್ಥೆ, 2. ಆನುವಂಶಿಕ ವ್ಯವಸ್ಥೆ"
"1. लेमा, 2. प्रमेय","1. ಲೆಮಾ, 2. ಪ್ರಮೇಯ"
अक्षर गुणवत्ता (LQ),ಅಕ್ಷರದ ಗುಣಮಟ್ಟ (LQ)
शब्दशः,ಮೌಖಿಕವಾಗಿ
शब्दकोषशास्त्र,ನಿಘಂಟುಶಾಸ್ತ್ರ
"1.संग्रहण,2.लायब्ररी","1.ಆರ್ಕೈವ್, 2.ಲೈಬ್ರರಿ"
"1.लायब्ररी प्रोग्राम, 2.अर्काइव्ह प्रोग्रामिंग","1.ಲೈಬ್ರರಿ ಪ್ರೋಗ್ರಾಂ, 2.ಆರ್ಕೈವ್ ಪ್ರೋಗ್ರಾಮಿಂಗ್"
लायब्ररी निर्देशिका,ಗ್ರಂಥಾಲಯ ಡೈರೆಕ್ಟರಿ
"1. परवाना करार, 2. परवाना करार","1. ಪರವಾನಗಿ ಒಪ್ಪಂದ, 2. ಪರವಾನಗಿ ಒಪ್ಪಂದ"
प्रकाश उत्सर्जक डायोड्स (एलईडी),ಲೈಟ್ ಎಮಿಟಿಂಗ್ ಡಯೋಡ್‌ಗಳು (ಎಲ್‌ಇಡಿ)
हलकी बंदूक,ಲಘು ಗನ್
हलकी पेन,ಬೆಳಕಿನ ಪೆನ್
रेखीय अडॅप्टर,ರೇಖೀಯ ಅಡಾಪ್ಟರ್
ओळ संपादन,ಸಾಲು ಸಂಪಾದನೆ
"1.लाइन प्रिंटर, 2.लाइन प्रिंटर","1.ಲೈನ್ ಪ್ರಿಂಟರ್, 2.ಲೈನ್ ಪ್ರಿಂಟರ್"
"१.रेखीय, २.रेखीय","1.ರೇಖೀಯ, 2.ರೇಖೀಯ"
लाइन्स प्रति मिनिट (LPM),ಪ್ರತಿ ನಿಮಿಷಕ್ಕೆ ಸಾಲುಗಳು (LPM)
"1. दुवा, दुवा, 2. साखळी,3. बंध","1. ಲಿಂಕ್, ಲಿಂಕ್, 2. ಚೈನ್, 3. ಕರಾರುಪತ್ರ"
साखळीबद्ध यादी,ಚೈನ್ಡ್ ಪಟ್ಟಿ
लिनक्स,ಲಿನಕ್ಸ್
"1.लिक्विड क्रिस्टल डिस्प्ले, 2.लिक्विड क्रिस्टल डिस्प्ले (LCD)","1.ಲಿಕ್ವಿಡ್ ಕ್ರಿಸ್ಟಲ್ ಡಿಸ್ಪ್ಲೇ, 2.ಲಿಕ್ವಿಡ್ ಕ್ರಿಸ್ಟಲ್ ಡಿಸ್ಪ್ಲೇ (LCD)"
यादी प्रक्रिया,ಪಟ್ಟಿ ಪ್ರಕ್ರಿಯೆ
"1.अक्षर, 2.अक्षर","1.ಅಕ್ಷರ, 2.ಅಕ್ಷರ"
"1. सक्रिय, 2. जिवंत, 3. इलेक्ट्रिकल, 4. हालचाल","1. ಸಕ್ರಿಯ, 2. ದೇಶ, 3. ವಿದ್ಯುತ್, 4. ಚಲಿಸುವ"
थेट गाठ,ಲೈವ್ ಗಂಟು
"1.लोड, 2.लोड","1.ಲೋಡ್, 2.ಲೋಡ್"
"1.लोड मॉड्यूल, 2.लोड मॉड्युलेटर","1.ಲೋಡ್ ಮಾಡ್ಯೂಲ್, 2.ಲೋಡ್ ಮಾಡ್ಯುಲೇಟರ್"
"1.स्थानिक, 2.स्थानिक","1.ಸ್ಥಳೀಯ, 2.ಸ್ಥಳೀಯ"
स्थानिक प्रवेश,ಸ್ಥಳೀಯ ಪ್ರವೇಶ
लोकल एरिया नेटवर्क (LAN),ಲೋಕಲ್ ಏರಿಯಾ ನೆಟ್‌ವರ್ಕ್ (LAN)
स्थानिक स्पष्टता,ಸ್ಥಳೀಯ ಸ್ಪಷ್ಟತೆ
"1. स्थानिक नेटवर्क, 2. स्थानिक केंद्र 3. स्थानिक विनिमय","1. ಸ್ಥಳೀಯ ನೆಟ್‌ವರ್ಕ್, 2. ಸ್ಥಳೀಯ ಕೇಂದ್ರ 3. ಸ್ಥಳೀಯ ವಿನಿಮಯ"
स्थानिक स्मृती,ಸ್ಥಳೀಯ ಸ್ಮರಣೆ
स्थानिक मोड,ಸ್ಥಳೀಯ ಮೋಡ್
स्थानिक व्हेरिएबल,ಸ್ಥಳೀಯ ವೇರಿಯಬಲ್
"पळवाट, लॉक","ಲೂಪ್, ಲಾಕ್"
लूप फाइल,ಲೂಪ್ ಫೈಲ್
सत्र सुरू,ಅಧಿವೇಶನ ಆರಂಭ
मुदत समाप्त,ಅವಧಿಯ ಅಂತ್ಯ
संलेखन,ಲೇಖಕರು
तर्क विश्लेषक,ತರ್ಕ ವಿಶ್ಲೇಷಕ
लॉजिक बॉम्ब,ತರ್ಕ ಬಾಂಬ್
लॉजिक कार्ड,ಲಾಜಿಕ್ ಕಾರ್ಡ್
लॉजिक चार्ट (फ्लोचार्ट),ಲಾಜಿಕ್ ಚಾರ್ಟ್ (ಫ್ಲೋಚಾರ್ಟ್)
लॉजिक सर्किट,ಲಾಜಿಕ್ ಸರ್ಕ್ಯೂಟ್
तर्कशास्त्र रचना,ತರ್ಕ ವಿನ್ಯಾಸ
तर्कशास्त्र आकृती,ತರ್ಕ ರೇಖಾಚಿತ್ರ
तार्किक फ्लोचार्ट,ತಾರ್ಕಿಕ ಫ್ಲೋಚಾರ್ಟ್
तर्कशास्त्र कार्य,ತರ್ಕ ಕಾರ್ಯ
लॉजिक गेट,ಲಾಜಿಕ್ ಗೇಟ್
"1. लॉजिक प्रोग्रामिंग, 2. लॉजिक प्रोग्रामिंग","1. ಲಾಜಿಕ್ ಪ್ರೋಗ್ರಾಮಿಂಗ್, 2. ಲಾಜಿಕ್ ಪ್ರೋಗ್ರಾಮಿಂಗ್"
तर्क विस्थापन,ತರ್ಕ ಸ್ಥಳಾಂತರ
तर्क स्थिती,ತರ್ಕ ಸ್ಥಿತಿ
लॉजिक स्विच,ತರ್ಕ ಸ್ವಿಚ್
तर्कशास्त्र युनिट,ತರ್ಕ ಘಟಕ
तार्किक,ತಾರ್ಕಿಕ
तार्किक संयोजन,ತಾರ್ಕಿಕ ಸಂಯೋಗ
तार्किक डेटा संरचना,ತಾರ್ಕಿಕ ಡೇಟಾ ರಚನೆ
तार्किक आकृती,ತಾರ್ಕಿಕ ರೇಖಾಚಿತ್ರ
तार्किक अभिव्यक्ती,ತಾರ್ಕಿಕ ಅಭಿವ್ಯಕ್ತಿ
तार्किक फ्लोचार्ट,ತಾರ್ಕಿಕ ಫ್ಲೋಚಾರ್ಟ್
लॉजिकल IF (तार्किक असल्यास),ತಾರ್ಕಿಕ IF (ತಾರ್ಕಿಕ ವೇಳೆ)
तर्कशुद्ध ऑपरेशन,ತರ್ಕಬದ್ಧ ಕಾರ್ಯಾಚರಣೆ
तर्कसंगत ऑपरेटर,ತರ್ಕಬದ್ಧ ಆಪರೇಟರ್
तर्कसंगत कनेक्शन,ತರ್ಕಬದ್ಧ ಸಂಪರ್ಕ
तार्किक योजना,ತಾರ್ಕಿಕ ಯೋಜನೆ
"1. तर्कशुद्ध वर्ण, 2. तार्किक वर्ण","1. ತರ್ಕಬದ್ಧ ಪಾತ್ರ, 2. ತಾರ್ಕಿಕ ಪಾತ್ರ"
तार्किक नमुना,ತಾರ್ಕಿಕ ಮಾದರಿ
तार्किक मूल्य,ತಾರ್ಕಿಕ ಮೌಲ್ಯ
लॉजिकल व्हेरिएबल,ತಾರ್ಕಿಕ ವೇರಿಯಬಲ್
विहंगावलोकन प्राप्त केले,ಸಾಧಿಸಿದ ಅವಲೋಕನ
पूर्वावलोकन सेट,ಪೂರ್ವವೀಕ್ಷಣೆ ಸೆಟ್
निरीक्षण,ವೀಕ್ಷಣೆ
"1.लूप, 2.लूप","1.ಲೂಪ್, 2.ಲೂಪ್"
पळवाट नियंत्रण,ಲೂಪ್ ನಿಯಂತ್ರಣ
लूप आरंभीकरण,ಲೂಪ್ ಆರಂಭಿಸುವಿಕೆ
लूप भिन्नता,ಲೂಪ್ ಬದಲಾವಣೆ
"1.लूप नेटवर्क, 2.लूप नेटवर्क","1.ಲೂಪ್ ನೆಟ್ವರ್ಕ್, 2.ಲೂಪ್ ನೆಟ್ವರ್ಕ್"
लूप आरंभीकरण,ಲೂಪ್ ಆರಂಭಿಸುವಿಕೆ
लूप एंडिंग,ಲೂಪ್-ಎಂಡಿಂಗ್
काउंटर-लूप चाचणी,ಕೌಂಟರ್-ಲೂಪ್ ಪರೀಕ್ಷೆ
सैलपणे जोडलेले,ಸಡಿಲವಾಗಿ ಜೋಡಿಸಲಾಗಿದೆ
दोषरहित कॉम्प्रेशन,ನಷ್ಟವಿಲ್ಲದ ಸಂಕೋಚನ
हॅसे कॉम्प्रेशन,ಹ್ಯಾಸ್ಸೆ ಕಂಪ್ರೆಷನ್
कमी बाइट,ಕಡಿಮೆ ಬೈಟ್
निम्न पातळीची भाषा,ಕಡಿಮೆ ಮಟ್ಟದ ಭಾಷೆ
कमी पास फिल्टर,ಕಡಿಮೆ ಪಾಸ್ ಫಿಲ್ಟರ್
"1.कमी कंडिशन, 2. खाली बांधलेले","1.ಕಡಿಮೆ ಸ್ಥಿತಿ, 2. ಕೆಳಗೆ ಬಂಧಿಸಲಾಗಿದೆ"
"1.MAC प्रोटोकॉल, 2.MAC नीतिशास्त्र (मध्यम प्रवेश नियंत्रण)","1.MAC ಪ್ರೋಟೋಕಾಲ್, 2.MAC ಎಥಿಕ್ಸ್ (ಮಧ್ಯಮ ಪ್ರವೇಶ ನಿಯಂತ್ರಣ)"
"1. मशीन, 2. मशीन","1. ಯಂತ್ರ, 2. ಯಂತ್ರ"
मशीन पत्ता,ಯಂತ್ರದ ವಿಳಾಸ
"1. मशीन कोड, 2. मशीन कोड","1. ಮೆಷಿನ್ ಕೋಡ್, 2. ಮೆಷಿನ್ ಕೋಡ್"
मशीन चाक,ಯಂತ್ರ ಚಕ್ರ
यांत्रिक भाषा,ಯಾಂತ್ರಿಕೃತ ಭಾಷೆ
यांत्रिक सॉफ्टवेअर,ಯಾಂತ್ರಿಕ ತಂತ್ರಾಂಶ
डिव्हाइस त्रुटी,ಸಾಧನ ದೋಷ
मशीन निष्क्रिय वेळ,ಯಂತ್ರ ನಿಷ್ಕ್ರಿಯ ಸಮಯ
मशीन भाषा,ಯಂತ್ರ ಭಾಷೆ
मॅन्युअल,ಕೈಪಿಡಿ
मशीन सेन्स,ಯಂತ್ರ ಅರ್ಥ
"1.मशीन लँग्वेज, 2.मशीन लँग्वेज","1.ಯಂತ್ರ ಭಾಷೆ, 2.ಯಂತ್ರ ಭಾಷೆ"
मशीन लर्निंग,ಯಂತ್ರ ಕಲಿಕೆ
मशीन ऑपरेशन,ಯಂತ್ರ ಕಾರ್ಯಾಚರಣೆ
मशीन भाषा,ಯಂತ್ರ ಭಾಷೆ
मशीन कामगिरी,ಯಂತ್ರ ಕಾರ್ಯಕ್ಷಮತೆ
मशीन सिम्युलेशन,ಯಂತ್ರ ಸಿಮ್ಯುಲೇಶನ್
मशीन अपहरण वेळ,ಯಂತ್ರ ಅಪಹರಣ ಸಮಯ
मशीन भाषांतर,ಯಂತ್ರ ಅನುವಾದ
मशीन शब्द,ಯಂತ್ರ ಪದಗಳು
मॅक्रो सूचना,ಮ್ಯಾಕ್ರೋ ಸೂಚನೆ
मॅक्रो स्केल,ಮ್ಯಾಕ್ರೋ ಸ್ಕೇಲ್
मास असेंबलिंग कार्यक्रम,ಸಾಮೂಹಿಕ ಜೋಡಣೆ ಕಾರ್ಯಕ್ರಮ
एकूण कॉल,ಒಟ್ಟು ಕರೆ
"1.मॅक्रो कोड, 2.मॅक्रो कोड","1.ಮ್ಯಾಕ್ರೋ ಕೋಡ್, 2.ಮ್ಯಾಕ್ರೋ ಕೋಡ್"
मॅक्रो कमांड,ಮ್ಯಾಕ್ರೋ ಆಜ್ಞೆ
मॅक्रो घोषणा,ಮ್ಯಾಕ್ರೋ ಘೋಷಣೆ
मॅक्रो व्याख्या,ಮ್ಯಾಕ್ರೋ ವ್ಯಾಖ್ಯಾನ
मॅक्रो फ्लो चार्ट,ಮ್ಯಾಕ್ರೋ ಫ್ಲೋ ಚಾರ್ಟ್
मॅक्रो जनरेटर,ಮ್ಯಾಕ್ರೋ ಜನರೇಟರ್
मॅक्रो सूचना,ಮ್ಯಾಕ್ರೋ ಸೂಚನೆ
ढोबळ भाषा,ಸ್ಥೂಲ ಭಾಷೆ
मॅक्रो लायब्ररी,ಮ್ಯಾಕ್ರೋ ಲೈಬ್ರರಿ
मॅक्रो पॅरामीटर,ಮ್ಯಾಕ್ರೋ ಪ್ಯಾರಾಮೀಟರ್
मॅक्रो प्रक्रिया,ಮ್ಯಾಕ್ರೋ ಸಂಸ್ಕರಣೆ
"1.मॅक्रो प्रोसेसर, 2. मॅक्रोप्रोसेसर","1.ಮ್ಯಾಕ್ರೋ ಪ್ರೊಸೆಸರ್, 2. ಮ್ಯಾಕ್ರೋಪ್ರೊಸೆಸರ್"
मॅक्रो प्रोग्रामिंग,ಮ್ಯಾಕ್ರೋ ಪ್ರೋಗ್ರಾಮಿಂಗ್
एकूण प्रोटोटाइप,ಒಟ್ಟು ಮೂಲಮಾದರಿ
"1.मॅक्रो एन्कोडिंग, 2.मॅक्रो कोडिंग","1.ಮ್ಯಾಕ್ರೋ ಎನ್ಕೋಡಿಂಗ್, 2.ಮ್ಯಾಕ್ರೋ ಕೋಡಿಂಗ್"
मेगाबाइट (MB),ಮೆಗಾಬೈಟ್ (MB)
जादूचे प्रतीक,ಮ್ಯಾಜಿಕ್ ಚಿಹ್ನೆ
जादूची संख्या,ಮ್ಯಾಜಿಕ್ ಸಂಖ್ಯೆ
चुंबकीय बबल मेमरी,ಮ್ಯಾಗ್ನೆಟಿಕ್ ಬಬಲ್ ಮೆಮೊರಿ
चुंबकीय कार्ड,ಮ್ಯಾಗ್ನೆಟಿಕ್ ಕಾರ್ಡ್
"1.मॅग्नेटिक सेल, 2.चुंबकीय सेल","1.ಮ್ಯಾಗ್ನೆಟಿಕ್ ಸೆಲ್, 2.ಮ್ಯಾಗ್ನೆಟಿಕ್ ಸೆಲ್"
चुंबकीय चिन्ह,ಕಾಂತೀಯ ಚಿಹ್ನೆ
चुंबकीय कोर स्टोरेज,ಮ್ಯಾಗ್ನೆಟಿಕ್ ಕೋರ್ ಸಂಗ್ರಹಣೆ
"1.चुंबकीय डिस्क, 2. चुंबकीय डिस्क","1.ಮ್ಯಾಗ್ನೆಟಿಕ್ ಡಿಸ್ಕ್, 2. ಮ್ಯಾಗ್ನೆಟಿಕ್ ಡಿಸ್ಕ್"
चुंबकीय डिस्क पत्ता,ಮ್ಯಾಗ್ನೆಟಿಕ್ ಡಿಸ್ಕ್ ವಿಳಾಸ
चुंबकीय डिस्क मेमरी,ಮ್ಯಾಗ್ನೆಟಿಕ್ ಡಿಸ್ಕ್ ಮೆಮೊರಿ
चुंबकीय ड्रम,ಕಾಂತೀಯ ಡ್ರಮ್
"1.मॅग्नेटिक एन्कोडिंग, 2.मॅग्नेटिक कोडिंग, 3.मॅग्नेटिक कोडिंग","1.ಮ್ಯಾಗ್ನೆಟಿಕ್ ಎನ್ಕೋಡಿಂಗ್, 2.ಮ್ಯಾಗ್ನೆಟಿಕ್ ಕೋಡಿಂಗ್, 3.ಮ್ಯಾಗ್ನೆಟಿಕ್ ಕೋಡಿಂಗ್"
चुंबकीय शीर्ष,ಮ್ಯಾಗ್ನೆಟಿಕ್ ಟಾಪ್
चुंबकीय शाई,ಕಾಂತೀಯ ಶಾಯಿ
मॅग्नेटिक इंक कॅरेक्टर रेकग्निशन (MICR),ಮ್ಯಾಗ್ನೆಟಿಕ್ ಇಂಕ್ ಕ್ಯಾರೆಕ್ಟರ್ ರೆಕಗ್ನಿಷನ್ (MICR)
चुंबकीय माध्यम,ಕಾಂತೀಯ ಮಾಧ್ಯಮ
चुंबकीय वाचन,ಕಾಂತೀಯ ಓದುವಿಕೆ
चुंबकीय रेकॉर्डिंग,ಮ್ಯಾಗ್ನೆಟಿಕ್ ರೆಕಾರ್ಡಿಂಗ್
चुंबकीय संचयन,ಕಾಂತೀಯ ಸಂಗ್ರಹ
चुंबकीय पट्टी,ಕಾಂತೀಯ ಪಟ್ಟಿ
चुंबकीय टेप,ಮ್ಯಾಗ್ನೆಟಿಕ್ ಟೇಪ್
चुंबकीय टेप काडतूस,ಮ್ಯಾಗ್ನೆಟಿಕ್ ಟೇಪ್ ಕಾರ್ಟ್ರಿಡ್ಜ್
चुंबकीय टेप ड्राइव्ह,ಮ್ಯಾಗ್ನೆಟಿಕ್ ಟೇಪ್ ಡ್ರೈವ್
चुंबकीय टेप अग्रदूत,ಮ್ಯಾಗ್ನೆಟಿಕ್ ಟೇಪ್ ಪೂರ್ವಗಾಮಿ
चुंबकीय टेप ग्रंथपाल,ಮ್ಯಾಗ್ನೆಟಿಕ್ ಟೇಪ್ ಲೈಬ್ರರಿಯನ್
चुंबकीय टेप प्रवेश,ಮ್ಯಾಗ್ನೆಟಿಕ್ ಟೇಪ್ ಪ್ರವೇಶ
चुंबकीय टेप युनिट,ಮ್ಯಾಗ್ನೆಟಿಕ್ ಟೇಪ್ ಘಟಕ
"1.चुंबकीय पातळ थर, 2.चुंबकीय पातळ फिल्म","1.ಮ್ಯಾಗ್ನೆಟಿಕ್ ಥಿನ್ ಲೇಯರ್, 2.ಮ್ಯಾಗ್ನೆಟಿಕ್ ಥಿನ್ ಫಿಲ್ಮ್"
चुंबकीय मार्ग,ಕಾಂತೀಯ ಮಾರ್ಗ
चुंबकीय ऑप्टिकल स्टोरेज,ಕಾಂತೀಯ ಆಪ್ಟಿಕಲ್ ಸಂಗ್ರಹಣೆ
"1.चुंबक प्रिंटर, 2.मॅग्नेट प्रिंटर","1.ಮ್ಯಾಗ್ನೆಟ್ ಪ್ರಿಂಟರ್, 2.ಮ್ಯಾಗ್ನೆಟ್ ಪ್ರಿಂಟರ್"
चुंबकीय विकृती,ಕಾಂತೀಯ ಅಸ್ಪಷ್ಟತೆ
चुंबकीय विकृत टॅबलेट,ಕಾಂತೀಯವಾಗಿ ವಿರೂಪಗೊಳಿಸಬಹುದಾದ ಟ್ಯಾಬ್ಲೆಟ್
"1. मेल बॉक्स, 2. मेल बॉक्स","1. ಮೇಲ್ ಬಾಕ್ಸ್, 2. ಮೇಲ್ ಬಾಕ್ಸ್"
मेल विलीनीकरण,ಮೇಲ್ ವಿಲೀನ
"1. मुख्य नियंत्रण एकक, 2. मुख्य नियंत्रण एकक","1. ಮುಖ್ಯ ನಿಯಂತ್ರಣ ಘಟಕ, 2. ಮುಖ್ಯ ನಿಯಂತ್ರಣ ಘಟಕ"
मुख्य चौकट,ಮುಖ್ಯ ಚೌಕಟ್ಟು
"1.मुख्य फ्रेम प्रणाली, 2.मुख्य फ्रेम यंत्रणा","1.ಮುಖ್ಯ ಚೌಕಟ್ಟಿನ ವ್ಯವಸ್ಥೆ, 2.ಮುಖ್ಯ ಚೌಕಟ್ಟಿನ ಯಾಂತ್ರಿಕ ವ್ಯವಸ್ಥೆ"
"1.मुख्य मेमरी, 2.मुख्य मेमरी","1.ಮುಖ್ಯ ಸ್ಮರಣೆ, 2.ಮುಖ್ಯ ಸ್ಮರಣೆ"
"1.मुख्य कार्यक्रम, 2.मुख्य कार्यक्रम","1.ಮುಖ್ಯ ಕಾರ್ಯಕ್ರಮ, 2.ಮುಖ್ಯ ಕಾರ್ಯಕ್ರಮ"
मुख्य स्टोरेज,ಮುಖ್ಯ ಸಂಗ್ರಹಣೆ
"1.मुख्य स्विच, 2.मुख्य स्विच","1.ಮುಖ್ಯ ಸ್ವಿಚ್, 2.ಮುಖ್ಯ ಸ್ವಿಚ್"
"1. देखभाल, 2. देखभाल","1.ನಿರ್ವಹಣೆ, 2.ನಿರ್ವಹಣೆ"
देखभाल पॅनेल,ನಿರ್ವಹಣೆ ಫಲಕ
देखभाल वेळ,ನಿರ್ವಹಣೆ ಸಮಯ
मोठे वर्तुळ,ದೊಡ್ಡ ವೃತ್ತ
की डिव्हाइस,ಪ್ರಮುಖ ಸಾಧನ
मुख्य की,ಮುಖ್ಯ ಕೀ
प्रमुख मंच,ಮುಖ್ಯ ಹಂತ
मुख्य रचना,ಮುಖ್ಯ ರಚನೆ
मुख्य काम,ಮುಖ್ಯ ಕೆಲಸ
बहुसंख्य घटक,ಬಹುಪಾಲು ಘಟಕ
बहुसंख्य गेट,ಬಹುಪಾಲು ಗೇಟ್
बहुसंख्य ऑपरेशन,ಬಹುಪಾಲು ಕಾರ್ಯಾಚರಣೆ
परतफेड कालावधी,ಮರುಪಾವತಿ ಅವಧಿ
चुकीचे ऑपरेशन नित्यक्रम,ತಪ್ಪಾದ ಕಾರ್ಯಾಚರಣೆಯ ದಿನಚರಿ
व्यवस्थापन विकास,ನಿರ್ವಹಣೆ ಅಭಿವೃದ್ಧಿ
व्यवस्थापन माहिती प्रणाली (MIS),ನಿರ್ವಹಣಾ ಮಾಹಿತಿ ವ್ಯವಸ್ಥೆ (MIS)
व्यवस्थापन विज्ञान,ನಿರ್ವಹಣಾ ವಿಜ್ಞಾನ
मँचेस्टर एन्कोडिंग,ಮ್ಯಾಂಚೆಸ್ಟರ್ ಎನ್ಕೋಡಿಂಗ್
गुणाकार,ಗುಣಾಕಾರ
अंदाजे चल,ಅಂದಾಜು ವೇರಿಯಬಲ್
अनुमानित निर्देशांक,ಊಹೆಯ ಸೂಚ್ಯಂಕ
मानवी मशीन सिम्युलेशन,ಮಾನವ ಯಂತ್ರ ಸಿಮ್ಯುಲೇಶನ್
मॅन्युअल पत्ता स्विच,ಹಸ್ತಚಾಲಿತ ವಿಳಾಸ ಸ್ವಿಚ್
मॅन्युअल विश्लेषण,ಹಸ್ತಚಾಲಿತ ವಿಶ್ಲೇಷಣೆ
मॅन्युअल कॉल,ಹಸ್ತಚಾಲಿತ ಕರೆ
मॅन्युअल एंट्री,ಹಸ್ತಚಾಲಿತ ಪ್ರವೇಶ
"1.मॅन्युअल सेंटर, 2.मॅन्युअल सेंटर","1.ಹಸ್ತಚಾಲಿತ ಕೇಂದ್ರ, 2.ಹಸ್ತಚಾಲಿತ ಕೇಂದ್ರ"
"1. मॅन्युअल इनपुट, 2. मॅन्युअल इनपुट","1. ಹಸ್ತಚಾಲಿತ ಇನ್ಪುಟ್, 2. ಹಸ್ತಚಾಲಿತ ಇನ್ಪುಟ್"
मॅन्युअल ऑपरेशन,ಹಸ್ತಚಾಲಿತ ಕಾರ್ಯಾಚರಣೆ
अनेक ते अनेक संबंध,ಹಲವು-ಹಲವು ಸಂಬಂಧ
मल्टी-डिकोडर,ಬಹು-ಡಿಕೋಡರ್
नकाशा पद्धत,ನಕ್ಷೆ ವಿಧಾನ
मॅपिंग,ಮ್ಯಾಪಿಂಗ್
समास,ಅಂಚು
किरकोळ त्रुटी,ಕನಿಷ್ಠ ದೋಷ
किरकोळ चौकशी,ಕನಿಷ್ಠ ವಿಚಾರಣೆ
किरकोळ चाचणी,ಕನಿಷ್ಠ ಪರೀಕ್ಷೆ
चिन्ह ओळख,ಚಿಹ್ನೆ ಪತ್ತೆ
साइन वाचन,ಸೈನ್ ಓದುವಿಕೆ
चिन्ह स्कॅनिंग,ಚಿಹ್ನೆ ಸ್ಕ್ಯಾನಿಂಗ್
चिन्ह अर्थ,ಸಂಕೇತ ಅರ್ಥ
मार्कर,ಮಾರ್ಕರ್
चिन्हांकित करणे,ಗುರುತು ಹಾಕುವುದು
मार्कर लाट,ಮಾರ್ಕರ್ ತರಂಗ
मार्कोव्ह साखळी,ಮಾರ್ಕೊವ್ ಸರಣಿ
मार्कोव्ह स्त्रोत,ಮಾರ್ಕೊವ್ ಮೂಲ
मार्कअप भाषा,ಮಾರ್ಕ್ಅಪ್ ಭಾಷೆ
maser,ಮೇಸರ್
maser,ಮೇಸರ್
