Malayalam,Odiya
സഞ്ജിനി ശേഖരം,ସଞ୍ଜିନୀ ସଂଗ୍ରହ |
ജനിതകശാസ്ത്രം,ଜେନୋମିକ୍ସ
ജനിതകരൂപം,ଜେନୋଟାଇପ୍
1. ജീൻ ഘടന 2. ജീൻ തരം,1. ଜିନ୍ ଗଠନ 2. ଜିନ୍ ପ୍ରକାର |
വംശാവലി,ଲିନେଜ୍ |
1. ജനുസ്സ് 2. വംശം,ବଂଶ 2. ବଂଶ
1. ബീജം 2. ബീജം,1. ଜର୍ମ 2. ଜର୍ମ
അണുനാശിനി,ଜୀବାଣୁ
മുളപ്പിക്കൽ,ଅଙ୍କୁର
1. ജെർംപ്ലാസ്ം 2. ജെർംപ്ലാസം,1. ଜର୍ମପ୍ଲାସ୍ 2. ଜର୍ମପ୍ଲାସ୍ |
ഗിബ്ബെറലിക് ആസിഡ്,ଗିବରେଲିକ୍ ଏସିଡ୍ |
പെറുക്കുക,ସଂଗ୍ରହ
തുഷ്,ତୁଷ
1. ഗ്ലൂറ്റൻ 2. ഗ്ലൂട്ടണി,1. ଗ୍ଲୁଟେନ୍ 2. ଗ୍ଲୁଟନ୍ |
ഗ്ലൈക്കോളിസിസ്,ଗ୍ଲାଇକୋଲିସିସ୍
കൊള്ളാം,ଭଲ
സുവർണ്ണ വിപ്ലവം,ସୁବର୍ଣ୍ଣ ବିପ୍ଳବ |
1. വർഗ്ഗീകരണം 2. വർഗ്ഗീകരണം 3. വർഗ്ഗീകരണം,1. ବର୍ଗୀକରଣ 2. ବର୍ଗୀକରଣ 3. ସ୍ତରକରଣ
1. ഒട്ടിച്ച ചെടി 2. പെൻബ്രൽ ചെടി,1. ଗ୍ରାଫ୍ଟେଡ୍ ପ୍ଲାଣ୍ଟ 2. ପେନୁମ୍ବ୍ରାଲ୍ ପ୍ଲାଣ୍ଟ |
പേന പൊരുത്തമില്ലാത്ത,କଲମ ଅସଙ୍ଗତ |
ഗ്രാന,ଗ୍ରାନା
ഗ്രാനുലേഷൻ,ଗ୍ରାନ୍ୟୁଲେସନ୍
പച്ചിലവളം,ସବୁଜ ଖତ
ഹരിത വിപ്ലവം,ସବୁଜ ବିପ୍ଳବ |
വളർച്ചയും വികസനവും,ଅଭିବୃଦ୍ଧି ଏବଂ ବିକାଶ
1. മോണരോഗം,1. ଗୁଣ୍ଡ ରୋଗ
ഭിന്നലിംഗക്കാരൻ,ହେଟେରୋଜକ୍ସୁଆଲ୍ |
1. പ്രകൃതി 2. പ്രകൃതി 3. രൂപഗുണ 4. ഭാവം,1. ପ୍ରକୃତି 2. ପ୍ରକୃତି 3. ରୂପଗୁନା 4. ଦୃଶ୍ୟ |
1. ഓല 2. കർക്കപ്പട്ട് 3. കർക്ക,1. ଓଲା 2. କରକାପତ୍ 3. କର୍କା |
റോമിൽ വാച്ച്,ରୋମିଲୱାଚ୍ |
സലൈൻ സിസ്റ്റ്,ସାଲାଇନ୍ ସିଷ୍ଟ୍ |
ഹാരോ,harrow
1. വിളവെടുപ്പ് സൂചിക 2. വിളവെടുപ്പ് സൂചിക,1. ଅମଳ ସୂଚକାଙ୍କ 2. ଅମଳ ସୂଚକାଙ୍କ |
1. വിളവെടുപ്പ് 2. വിളവെടുത്ത വിള 3. പൂർത്തിയായ വിള 4. വിളവ്,1. ଅମଳ 2. ଅମଳ ହୋଇଥିବା ଫସଲ 3. ସମାପ୍ତ ଫସଲ 4. ଅମଳ |
1. പറിക്കൽ 2. വിളവെടുപ്പ് 3. പറിക്കൽ,1. କାଟିବା 2. ଅମଳ 3. ଅମଳ କରିବା |
1. മുട്ടയിടൽ 2. മുട്ട ശക്തി,1. ଅଣ୍ଡା ଦେବା 2. ଅଣ୍ଡା ବଳ |
ഉണങ്ങിയ പുല്ല്,ଶୁଖିଲା ଘାସ |
ഉണങ്ങിയ തീറ്റ,ଶୁଖିଲା ଫିଡ୍ |
ഗഞ്ചി,ganji
മൂടൽമഞ്ഞ്,କୁହୁଡି
മൂടൽമഞ്ഞ്,ଦୁର୍ବଳ
1. ബാലി 2. സിത്ത 3. മുണ്ടക് 4. ടോപ്പ് 5. തല 6. സിറ,1. ବାଲି 2. ସୀତା 3. ମୁଣ୍ଡକ 4. ଶୀର୍ଷ 5. ମୁଣ୍ଡ 6. ସିରା |
തോടിന്റെ അവസാനം,ଗଭୀରର ଶେଷ
മുകളിൽ അരിവാൾകൊണ്ടു,ଉପର ଛେଦନ
വേലി,ବାଡ଼
കസ്റ്റഡി,ହେପାଜତ
കുണ്ഡലിനി,କୁଣ୍ଡାଲିନି |
ഹെമറ്റൈറ്റ്,ହେମାଟାଇଟ୍ |
1. സസ്യം 2. സസ്യം,1. b ଷଧ 2. b ଷଧ |
1.ബൊട്ടാണിക്കൽ ശേഖരം 2.ബൊട്ടാണിക്കൽ മ്യൂസിയം,1. ବଟାନିକାଲ୍ କଲେକ୍ସନ୍ 2. ବଟାନିକାଲ୍ ସଂଗ୍ରହାଳୟ |
കളനാശിനി,b ଷଧୀୟ
പാരമ്പര്യം,ବଂଶାନୁକ୍ରମିକ
പാരമ്പര്യം,ବଂଶାନୁକ୍ରମିକ
ബൈസെക്ഷ്വൽ,ସମଲିଙ୍ଗୀ
ഹെറ്ററോക്രോമാറ്റിക്,ହେଟେରୋକ୍ରୋମାଟିକ୍ |
heterofertilization,ହେଟେରୋଫର୍ଟିଲାଇଜେସନ୍ |
1. ഹൈബ്രിഡോസ് 2. ഹെറ്ററോസിസ്,1. ହାଇବ୍ରିଡୋଜ 2. ହେଟେରୋସିସ୍ |
സെക്സ്ക്രോമസോമുകൾ,ସେକ୍ସକ୍ରୋମୋଜୋମ୍ |
വളർത്തി,ପୋଷଣ
ഹെക്സാഡെസിമൽ,ଷୋଡେସିମାଲ୍ |
തണുത്ത സുഷുപ്തി,ଶୀତଳତା
ഉയർന്ന സാന്ദ്രത നടീൽ,ଉଚ୍ଚ ସାନ୍ଦ୍ରତା ବୃକ୍ଷ ରୋପଣ |
1. പിൻഡ്ലക്ക് 2. കുന്ന് (നെല്ല്),1. ପିଣ୍ଡଲକ୍ 2. ପାହାଡ (ଧାନ)
ഹിസ്റ്റോഗ്രാം,ହିଷ୍ଟୋଗ୍ରାମ୍ |
ഹൈടെക് ഹോർട്ടികൾച്ചർ,ଉଚ୍ଚ ବ tech ଷୟିକ ଉଦ୍ୟାନ କୃଷି |
1.തൈര് 2. കൂട്,1.curd 2. hive
1. കളനിയന്ത്രണം 2. കളനിയന്ത്രണം,1. ତୃଣକ 2. ତୃଣକ
പിടിക്കുന്നു,ଧରିବା
സ്വകാര്യ ഫാം,ଘରୋଇ ଚାଷ
ഹോമിയോസ്റ്റാസിസ്,ହୋମିଓଷ୍ଟାସିସ୍ |
മാതൃഭൂമി,ମାତୃଭୂମି
ഏകതാനത,ଏକତା
1. ഏകതാനമായ 2. ഏകതാനമായ,1. ସମଲିଙ୍ଗୀ 2. ସମଲିଙ୍ଗୀ |
സഹതാപം,ସହାନୁଭୂତି
ഹോമോസൈഗസ്,ସମଲିଙ୍ଗୀ
1. ഖുറിക്ക 2. ഭക്ഷണ പാത്രം 3. ഹാപ്പർ,1. ଖୁରଲିକା 2. ଖାଦ୍ୟ ପାତ୍ର 3. ହାପର୍ |
1. പാളി 2. ചക്രവാളം,1. ସ୍ତର 2. ରାଶି
ഹോർട്ടികൾച്ചറൽ വിളകൾ,ଉଦ୍ୟାନ କୃଷି ଫସଲ |
1. ഹോർട്ടികൾച്ചർ 2. ഹോർട്ടികൾച്ചർ 3. ഹോർട്ടികൾച്ചർ 4. ഹോർട്ടികൾച്ചർ,1. ଉଦ୍ୟାନ କୃଷି 2. ଉଦ୍ୟାନ କୃଷି 3. ଉଦ୍ୟାନ କୃଷି 4. ଉଦ୍ୟାନ କୃଷି
