Gujarati,English
ઘટતા વળતરનો નિયમ,law of diminishing return
ગુરુત્વાકર્ષણનો નિયમ,law of gravitation
જૂથ માટે હોમોમોર્ફિઝમનો નિયમ,law of homomorphism for groups
રિંગ્સ માટે હોમોમોર્ફિઝમનો નિયમ,law of homomorphism for rings
વધતી કિંમતનો કાયદો,law of increasing costs
ઘાતીકરણ નિયમ,law of indices
જડતા કાયદો,law of inertia
મોટી સંખ્યામાં કાયદો,law of large numbers
સંભાવના નિયમ,law of probability
"સાઈન નિયમ, સાઈન નિયમ",law of sines
ઘાતાંકનો કાયદો,laws of exponents
ઝડપ નિયમો,laws of motion
"સ્તર, સ્તર",layer
આગળ ગુણાંક,leading coefficient
આગળનો કર્ણ,leading diagonal
ફોરવર્ડ સબ-મેટ્રિક્સ,leading submatrix
ફ્રન્ટ પોસ્ટ,leading term
"ન્યૂનતમ, ન્યૂનતમ, ન્યૂનતમ",least
લેસ્ટ કોમન કોમન (LCM),least common multiple (LCM)
ન્યૂનતમ ઘટકો,least element
સૌથી નીચો વર્ગ,least square
ન્યૂનતમ ઓવરહેડ મર્યાદા,least upper bound
ડાબો સમૂહ,left coset
ઘડિયાળની વિરુદ્ધ દિશામાં,left handed
કાઉન્ટરક્લોકવાઇઝ સ્ક્રૂ,left handed screw
ડાબું ઊલટું,left inverse
ડાબું ગુણાકાર,left multiplication
લીબનીઝ સૂત્ર,Leibnitz formula
લંબાઈ,length
તુંગાક્કુડી,leptokurtic
ત્રાંસી વળાંક,leptokurtic curve
લંગફિશ,leptokurtosis
સ્તર વળાંક,level curve
આત્મવિશ્વાસનું સ્તર,level of confidence
મહત્વનું સ્તર,level of significance
કાલક્રમિક રીતે,lexicographically
શબ્દકોશ ક્રમ,lexicographical order
સંભાવના કાર્ય,likelihood function
સંભાવના ગુણોત્તર પરીક્ષણ,likelihood ratio test
"મર્યાદા, સીમાંત",limit
"સીમાંત, આત્યંતિક",limiting
સીમાંત મૂલ્ય,limiting value
સીમાંત વેગ,limiting velocity
સરેરાશ શ્રેણી,limit in mean
એકીકરણની મર્યાદા,limit of integration
ક્રમ મર્યાદા,limit of sequence
"ક્લસ્ટર બિંદુ, મર્યાદા બિંદુ",limit point (=cluster point)
સીમાંત વેગ,limit velocity
"રેખા, રેખા, લંબગોળ",line
"રેખીય, રેખીય, રેખીય",linear
રેખીય બિજવલ્લી,linear algebraic
રેખીય બીજગણિત સમીકરણ,linear algebraic equation
રેખીય અંદાજ,linear approximation
રેખીય એસિમ્પ્ટોટ,linear asymptote
રેખીય ગુણાંક,linear coefficient
આંચકો સંચય,linear combination
આઘાત પ્રતિબંધ,linear constraints
રેખીય અવલંબન,linear dependence
રેખીય વિભેદક સમીકરણ,linear differential equation
"લીનિયર ડાયમેન્શન, લીનિયર મેઝરમેન્ટ, લીનિયર લેન્થ-પહોળાઈ",linear dimension
"રેખીય સમીકરણ, ચતુર્ભુજ સમીકરણ",linear equation
રેખીય એકરૂપતા,linear form
રેખીય અપૂર્ણાંક રૂપાંતર,linear fractional transformation
રેખીય કાર્ય,linear function
રેખીય કાર્ય,linear functional
રેખીય જૂથ,linear group
રેખીય સ્વતંત્રતા,linear independence
રેખીય સ્વતંત્ર સંબંધ,linear independent relation
રેખીય અસમાનતા,linear inequality
રેખીય બિન-સમાન વિભેદક સમીકરણ,linear inhomogeneous differential equation
રેખીય અભિન્ન સમીકરણ,linear integral equation
રેખીય પ્રક્ષેપ,linear interpolation
લીનિયર લીસ્ટ સ્ક્વેર રીગ્રેસન એનાલિસિસ,linear least square regression analysis
"એકવચનમાં, રેખીય રીતે",linearity
રેખીય રીતે નિર્ભર,linearly dependent
રેખીય રીતે સ્વતંત્ર,linearly independent
રેખીય મેપિંગ,linear mapping
રેખીય ક્રમ,linear order
રેખીય ક્રમાંકન,linear ordering
રેખીય પ્રોગ્રામિંગ,linear programming
લીનિયર પ્રોગ્રામિંગ અલ્ગોરિધમ,linear programming algorithm
રેખીય પ્રોગ્રામિંગ સમસ્યા,linear programming problem
રેખીય રીગ્રેસન,linear regression
રેખીય રીગ્રેસન ગુણાંક,linear regression coefficient
"રેખીય સંબંધ, ઘાતાંકીય સંબંધ",linear relation
રેખીય વસ્તી,linear space (=vector space)
રેખીય સબસ્પેસ,linear subspace
રેખીય પરિવર્તન,linear transformation
રેખીય રીગ્રેસન,linear trend
રેખીય વિભેદક અંદાજ,linear unbiased estimate
રેખીય વેગ,linear velocity
રેખા અભિન્ન,line integral
આંતરછેદની રેખા,line of intersection
રીગ્રેસનની રેખા,line of regression
અવકાશી વેક્ટર,localised vector
સ્થાનિક શ્રેષ્ઠ,local optimum
"લોકસ, લોકસ",locus
લોગ લોગ લોગ,log
"લઘુગણક, લઘુગણક",logarithmic
લઘુગણક ચોકસાઈ,logarithmic accuracy
લઘુગણક ગણતરી,logarithmic calculation
"લઘુગણક વળાંક, લઘુગણક વળાંક",logarithmic curve
લઘુગણક વ્યુત્પન્ન,logarithmic derivative
લઘુગણક વિભેદક,logarithmic differentiation
"લઘુગણક કાર્ય, લઘુગણક કાર્ય",logarithmic function
"લઘુગણક સરેરાશ, ભૌમિતિક સરેરાશ",logarithmic mean (=geometric mean)
લઘુગણક સામાન્ય વિતરણ,logarithmic normal distribution
લઘુગણક સંબંધ,logarithmic relationship
લઘુગણક સ્કેલ,logarithmic scale
"લઘુગણક શ્રેણી, લઘુગણક શ્રેણી",logarithmic series
"લઘુગણક સર્પાકાર, લઘુગણક સર્પાકાર",logarithmic spiral (equiangular spiral)
"લઘુગણક કોષ્ટક, લઘુગણક કોષ્ટક",logarithmic table (=log table)
"લઘુગણક, લઘુગણક",logarithm (log)
તર્કશાસ્ત્ર,logic
તાર્કિક રીતે સમકક્ષ,logically equivalent
"ગ્રોથ કર્વ, પર્લ-રીડ કર્વ",logistic curve
"સામાન્ય વિતરણ લોગ કરો, સામાન્ય વિતરણ લોગ કરો",lognormal distribution
"રેખાંશ, રેખાંશ",longitude
"loop, loop, noose (no.), loop (ver.), praspanda",loop
"ચૂંટણી પ્રચાર, લોટરી",lottery
રેખાંકિત,lower bar
ના જેટલું કે તેનાથી ઓછું,lower bound
લો રીમેન-ઇન્ટિગ્રલ,lower Riemann integral
ઓછી રકમ,lower sum
ત્રિકોણાકાર મેટ્રિક્સને અનુસરે છે,lower triangular matrix
mclarin ફેલાય છે,Maclaurin's expansion
"માયા નંબર, મેજિક નંબર, ટકાઉપણું નંબર",magic number
જાદુઈ ચોરસ,magic square
તેજસ્વી મર્યાદા,magnitude limit (=limiting magnitude)
મેઇલિંગ પ્રશ્નાવલી,mailed questionnaire
મેઇલ દ્વારા સર્વેક્ષણ,mail survey
ઓવરહેડ મર્યાદા,majorant (upper bound)
લાંબી ચાપ,major arc
બંધાયેલ સમૂહ,majorised set
બહુમૂલ્ય કાર્ય,many valued function
"નકશો, નકશો, નકશો",map
સેટમાં મેપિંગ,map into the set
સેટનું મેપિંગ,mapping of a set
સીમાંત સંભાવના,marginal probability
ગાણિતિક વિશ્લેષણ,mathematical analysis
અંકગણિત તર્ક,mathematical argument
ગાણિતિક કેન્દ્ર,mathematical centre
ગાણિતિક જટિલતા,mathematical complexity
ગાણિતિક અર્થશાસ્ત્ર,mathematical economics
ગાણિતિક અપેક્ષા,mathematical expectation
ગાણિતિક સ્વરૂપ,mathematical form
"મેથેમેટિકલ ફોર્મેટ, મેથેમેટિકલ ફોર્મેટ",mathematical formulation
ગાણિતિક ઓળખ,mathematical identity
"ગાણિતિક તર્ક, ગાણિતિક તર્ક",mathematical logic
ગાણિતિક મોડેલ,mathematical model
ગાણિતિક ઉદ્દેશ,mathematical notion
મેટ્રિક્સ કર્ણકરણ,matrix digonalisation
મેટ્રિક્સ વ્યસ્ત,matrix inverse
મેટ્રિક્સ વ્યુત્ક્રમ,matrix inversion
મેટ્રિક્સ પુનરાવર્તિત પદ્ધતિ,matrix iterative method
મેટ્રિક્સ પદ્ધતિ,matrix method
મેટ્રિક્સ ગુણાકાર,matrix multiplication
સ્થિરાંકોનું મેટ્રિક્સ,matrix of constants
પ્રભાવશાળી મેટ્રિક્સ,matrix of effectiveness
મેટ્રિક્સ ઓપરેટર,matrix operator
મેટ્રિક્સ બહુપદી,matrix polynomial
મેટ્રિક્સ પ્રિન્ટીંગ,matrix printing
મેટ્રિક્સ ઉત્પાદન,matrix product
મહત્તમ,maximized
"મહત્તમ, મહત્તમ, સર્વોચ્ચ",maximum
મહત્તમ નિરપેક્ષ મૂલ્ય,maximum absolute value
મહત્તમ F- ગુણોત્તર,maximum F-ratio
મહત્તમ સંભવિત,maximum likelihood
મહાલપિસ્તા,maxmin
મહાન નિષ્કર્ષ,maxmin criterian
કાર્યની મહત્તમ,max of a function
મેક્સવેલ-બોલ્ટ્સમેન સ્ટેટિસ્ટિક્સ,Maxwell-Boltzmann statistics
સરેરાશ વિચલન,mean deviation
વિચલન સ્ક્વેર મીન,mean square deviation
ચોરસ સરેરાશ ભૂલ,mean square error
"સરેરાશ, સરેરાશ મૂલ્ય",mean value
સરેરાશ પ્રમેય,mean value theorem
બબલી માપન,measure of kurtosis
"મધ્ય, મધ્ય, મધ્ય, મધ્ય",median
મધ્ય કેન્દ્ર,median centre
મધ્ય વળાંક,mesokurtic curve
મેસોથેલિયોમા,mesokurtosis
સંદેશ,message
"કસ્ટમ, પદ્ધતિ",method
કાઢી નાખવાની પદ્ધતિ,method of elimination
વ્યુત્ક્રમ પદ્ધતિ,method of inversion
પુનરાવર્તન પદ્ધતિ,method of iteration
ઓછામાં ઓછો ચોરસ,method of least squares
ટોર્ક પદ્ધતિ,method of moments
સમાન ત્રિકોણ પદ્ધતિ,method of similar triangles
ઢાળ ઉતરવાની પદ્ધતિ,method of steepest descent
સંકલન પદ્ધતિ,method of summation
અનિર્ધારિત ગુણાંક પદ્ધતિ,method of undetermined coefficient
અંતર વસ્તી,metric space
મેટ્રિક સિસ્ટમ,metric system
મેટ્રિક એકમ,metric unit
સૂક્ષ્મ સિદ્ધાંત,micro theory
મધ્ય,middle
મધ્ય,middle term
કેન્દ્રીય બિંદુ,mid point
મધ્યબિંદુ સૂત્ર,mid point formula
ન્યૂનતમ બહુપદી,minimal polynomial
લઘુત્તમ સિદ્ધાંત,minimax principle
"ન્યૂનતમ, સૌથી નીચો, સૌથી નીચો",minimum
નીચા બિંદુ,minimum point (of curve)
ઓછામાં ઓછા બહુપદી,minimum polynomial
કાર્યનું ન્યૂનતમ,min of a function
ટૂંકા ચાપ,minor arc
ટૂંકો પત્ર,minor axis
બાઉન્ડેડ સબસેટ,minorised subset
"માઈનસ, દેવું",minus
બાદબાકીનું ચિહ્ન,minus sign
મિશ્ર અપૂર્ણાંક,mixed fraction
વૈકલ્પિક ઉપકરણ,mixed strategy
"મોડ, મોડ, પદ્ધતિ, પદ્ધતિ, સિસ્ટમ, મોડ",mode
"મોડ્યુલસ, મોડ્યુલસ",modulus
જટિલ સંખ્યાનું મોડ્યુલસ,modulus of a complex number
ક્ષણ,moment
ટોર્ક કાર્ય,moment generating function
બળની ક્ષણ,moment of a force
આવર્તન-વિતરણ ક્ષણ,moment of frequency distribution
જડત્વની ક્ષણ,moment of inertia
મોમેન્ટમ ક્ષણ,moment of momentum
આવેગ,momentum
એક પોસ્ટ,monomial
એકલ સંકલન,monomorphic
"એકરૂપતા, મોનોમોર્ફિઝમ",monomorphism
મોનોક્યુલર,monotone
દિશાહીન ચડતો ક્રમ,monotone increasing sequence
સંપૂર્ણ,monotonically
દિશાહીન રીતે અર્ધચંદ્રાકાર મેશ,monotonically increasing net
મોનોટિકલી વધતો ક્રમ,monotonically increasing sequence
અવિભાજ્ય કાર્ય,monotonic function
મોન્ટે-કાર્લો ગણતરી,Monte Carlo calculation
મોન્ટે-કાર્લો પદ્ધતિ,Monte Carlo method
મોરા (રમત),morra (game)
મૃત્યુના આંકડા,mortality statistics
મોટે ભાગે,most probable
ગતિ,motion
મૂવિંગ મીન,moving average
M-વસ્તી,M-space
એમ-ટેસ્ટ ઓફ ઇન્ટિગ્રલ,M-test for integral
બહુવિધ નિર્ણય-સમસ્યા,multidecision problem
બહુપદી સામાન્ય વિતરણ,multidimensional normal distribution
બહુપદી રેન્ડમ ચલ,multidimensional random variable
મલ્ટિપ્લેક્સ પરિવહન સમસ્યા,multi-index transportation problem
બહુપદી,multinomial
બહુપદી વિતરણ,multinomial distribution
"બહુવિધ, બહુવિધ, બહુવિધ, ઘણા (વિ.), બહુવિધ, પ્રત્યાવર્તન (એન.)",multiple
બહુવિધ પસંદગીની સમસ્યા,multiple choice problem
સંઘીય પ્રાંતો,multiple connected domain
બહુવિધ સહસંબંધ,multiple correlation
બહુવિધ આવર્તન કોષ્ટક,multiple frequency table
બહુવિધ અભિન્ન,multiple integral
બહુવિધ એકીકરણ,multiple integration
બહુવિધ રીગ્રેસન,multiple regression
બહુવિધ રીગ્રેસન વિશ્લેષણ,multiple regression analysis
બહુવિધ રીગ્રેશન ગુણાંક,multiple regression coefficient
બહુવિધ રીગ્રેસન સમીકરણ,multiple regression equation
બહુમૂળ,multiple root
ગુણાકાર,multiplication
(નિર્ધારકનું) સ્તંભાકાર ગુણાકાર,multiplication by columns (of determinant)
(નિર્ધારકનું) રેખીય ગુણાકાર,multiplication by rows (of determinant)
ગુણાકાર પરિબળ,multiplication factor
ગુણાકાર કાર્ય,multiplicative function
ગુણાત્મક જૂથ,multiplicative group
ગુણાકાર વ્યસ્ત,multiplicative inverse
બહુમતી,multiplicity
બહુમતી,multiplicity of roots
શૂન્યની ગુણાકાર,multiplicity of zero
ગુણક,multiplier
"ગુણાકાર, ગુણાકાર",multiply
બહુવિધ વિતરણ,multivariate distribution
બહુવિધ સામાન્ય વિતરણ,multivariate normal distribution
બહુવિધ વસ્તી,multivariate population
"પરસ્પર, પરસ્પર",mutual
નાબલા,nabla
નાપીરીયા,Napierian
"નેપિયર લઘુગણક, નેપિયર લઘુગણક",Napierian logarithm
"કુદરતી લઘુગણક, કુદરતી લઘુગણક",natural logarithm
"ધન પૂર્ણાંક, ધન પૂર્ણાંક",natural number
નોટિકલ માઇલ,nautical mile
n-vim,n-dimensional
n-vim વેક્ટર-સ્પેસ,n-dimensional vector space
જરૂરી અને પર્યાપ્ત પ્રતિબંધો,necessary and sufficient condition
જરૂરી પ્રતિબંધો,necessary condition
પ્રતિબંધ,negation
"નકારાત્મક, નકારાત્મક, નકારાત્મક",negative
ક્રેડિટ વક્રતા,negative curvature
નકારાત્મક ચોક્કસ એકરૂપતા,negative definite form
નકારાત્મક નિશ્ચિત મેટ્રિક્સ,negative definite matrix
નકારાત્મક અર્ધનિશ્ચિત સજાતીય,negative semi-definite form
"પડોશ, નિકટતા",neighbourhood
"મલ્ટિપલ સેમ્પલિંગ, ઇન્ક્લુઝિવ સેમ્પલિંગ",nested sampling
ચોખ્ખો જન્મ દર,net reproduction rate
ન્યૂટેની મિકેનિક્સ,Newtonian mechanics
ન્યુટનનું વિભાજિત તફાવત સૂત્ર,Newton's divided difference formula
ન્યુટનના ગતિના નિયમો,Newton's laws of motion
નામ સોંપણી,Neyman allocation
નેઇમન-પિયર્સન-સિદ્ધાંત,Neyman Pearson theory
શૂન્ય સંભવિત તત્વ,nilpotent element
શૂન્ય સંભવિત મેટ્રિક્સ,nilpotent matrix
"નોડ, નોડ, પર્ણ, નિબ, ફિલ્ટર",node
એન-અબેલી જૂથ,non-Abelian group
રિલેટિવિસ્ટિક કન્વર્જન્સ,non-absolute convergence
ગુણાતીત,non-algebraic
અશુદ્ધ,non-degenerate
અનકરપ્ટેડ બેઝિસ કોન્સ્ટન્ટ સોલ્યુશન,non-degenerate basic feasible solution
અઘાન,non-dense
ગાઢ એકંદર,non-dense set
પોઈન્ટની અગણિત અનંતતા,non-denumerable infinity of points
અસંખ્ય સમૂહ,non-denumerable set
અજોડ,non-differentiable
બિન-સબસેટ,non empty subset
યુક્લિડિયન ભૂમિતિ,non-Euclidean geometry
"અપ્રમાણસર, અપ્રમાણસર",non-homogeneous
બિન છેદાય છે,non-intersecting
બિન-રેખીય બીજગણિત સમીકરણો,non-linear algebraic equation
બિન-રેખીય વિભેદક સમીકરણ,non-linear differential equation
બિન-રેખીય સમીકરણ,non-linear equation
બિન-રેખીય પ્રોગ્રામિંગ,non-linear programming
બિન-રેખીય રીગ્રેસન,non-linear regression
બિન-રેખીય સંબંધ,non-linear relationship
બિન ઋણ પૂર્ણાંક બિન નકારાત્મક પૂર્ણાંક,non-negative integer
બિન-નેગેટિવ ચલ,non-negative variable
બિન-પેરામેટ્રિક પરીક્ષણ,non-parametric test
બિન-સંભવિત અભિગમ,non-probabilistic approach
વ્યસ્ત મેટ્રિક્સ,non-singular matrix
અસમપ્રમાણ મેટ્રિક્સ,non-symmetric matrix
નજીવા,non-trivial
બિન-શૂન્ય નિર્ણાયક,non-vanishing determinant
ખાલી,non-void
બિન-સબસેટ,non-void subset
બિન-શૂન્ય નિર્ણાયક,non-zero determinant
અથવા પૂરક દરવાજા,NOR gate
"સામાન્ય, કુદરતી, પ્રમાણભૂત, સામાન્ય, સામાન્ય, સામાન્ય, સામાન્ય",normal
સામાન્ય પ્રવેગક,normal acceleration
સામાન્ય કોણ,normal angle
સામાન્ય વળાંક,normal curve
સામાન્ય ઘનતા કાર્ય,normal density function
સામાન્ય વિતરણ,normal distribution
સામાન્ય વિતરણ કાર્ય,normal distribution function
મેટ્રિક્સનું સામાન્ય સ્વરૂપ,normal form for the matrix
સામાન્ય આવર્તન,normal frequency
સામાન્યકૃત વળાંક,normalized curve
સામાન્ય ફ્લોટિંગ પોઈન્ટ નંબર,normalized floating point number
નોર્મલાઇઝર,normalizer
સામાન્ય મેટ્રિક્સ,normal matrix
સામાન્ય સંભાવના વળાંક,normal probability curve
સામાન્ય સંભાવના વિતરણ,normal probability distribution
"સામાન્ય પેટાજૂથ, ચોક્કસ પેટાજૂથ",normal subgroup (=distinguished subgroup)
પ્રમાણિત રેખીય જગ્યા,normed linear space
વેક્ટર ધોરણ,norm of a vector
"ગેટ નહીં, ગેટ નહીં",NOT gate
નિશાચર ગાઢ એકંદર,nowhere dense set
નલ પૂર્વધારણા,null hypothesis
શૂન્ય મેટ્રિક્સ,null matrix
ખાલી સેટ,null set
શૂન્ય વેક્ટર,null vector
સંખ્યા,number
સંખ્યા અક્ષ,number axis
સંખ્યા પદ્ધતિ,number system
"સંખ્યાત્મક (વિ.), સંખ્યાત્મક (વિ.)",numeral
"નંબર માટે, નંબર માટે",numeration
ભાગ,numerator
સંખ્યાત્મક ગુણાંક,numerical coefficient
સંખ્યાત્મક ગણતરી,numerical computation
સંખ્યાત્મક તફાવત,numerical differentiation
સંખ્યાત્મક પદ્ધતિ,numerical method
"n-વેક્ટર, n-વેક્ટર",n-vector
n-વેક્ટર જગ્યા,n-vector space
"પદાર્થ, શરીર, પદાર્થ",object
ઉદ્દેશ્ય કાર્ય,objective function
"ત્રાંસુ, ત્રાંસુ",oblique
ત્રાંસી એસિમ્પ્ટોટ,oblique asymptote
ત્રાંસી અક્ષ,oblique axis
"ક્રોસ સેક્શન, ક્રોસ સેક્શન",oblique section
અવલોકન,observation
અવલોકન કરેલ આવર્તન,observed frequency
અસ્પષ્ટ કોણ,obtuse angle
અષ્ટકોણ,octagon
અષ્ટકોણ,octahedron
ઓક્ટલ સિસ્ટમ,octal system
અષ્ટક,octant
એકી,odd
અસમપ્રમાણ વળાંક,odd curve
એકી સંખ્યા,odd number
વિચિત્ર ક્રમચય,odd permutation
વિચિત્ર બહુપદી,odd polynomial
"ઓગિવ, તોરણ",ogive
એકાંત સંગઠન,one to one correspondence
એક-એક કાર્ય,one to one function
એક નકશો,one to one map
એક-માર્ગી વર્ગીકરણ,one-way classification
ઓવરલેપ નકશો,onto map
"ખુલ્લું, ખુલ્લું (v.)",open
ખુલ્લો ગોળો,open ball
ખુલ્લું અંતરાલ,open interval
ઓપન સેમિલાઇન,open ray
ઓપન સેટ,open set
સંચાલન,operation
ઓપરેશન વિજ્ઞાન,operational research
ઓપરેશન વિજ્ઞાન,operations research
"ઓપરેટર, ઓપરેટર, ઓપરેટર",operator
વિરોધી કોણ,opposite angle
વિપરીત ઘટના,opposite event
શ્રેષ્ઠ આધાર સુસંગત ઉકેલ,optimal basic feasible solution
શ્રેષ્ઠ સ્થિતિ,optimal condition
શ્રેષ્ઠ આઉટપુટ કદ,optimal lot size
શ્રેષ્ઠ મૂલ્ય,optimal value
"શ્રેષ્ઠ, શ્રેષ્ઠ",optimum
વર્ગ,orbit
"ઓર્ડર, ઓર્ડર, પાવર, રેડિક્સ, ગ્રુપ નંબર",order
ઓર્ડર કરેલ જોડી,ordered pair
"વર્ગીકૃત સમૂહ, છટણી કરેલ સમૂહ",ordered set
"વર્ગીકરણ, વર્ગીકરણ",ordering
"નિર્ધારકનો હુકમ, નિર્ધારકનો હુકમ",order of a determinant
જૂથ ગ્રેડ,order of a group
મેટ્રિક્સનો ક્રમ,order of a matrix
તત્વોનું જૂથ,order of an element in a group
વિભેદક સમીકરણનો ક્રમ,order of differential equation
ઓપરેશન ક્રમ,order of operation
શૂન્ય ક્રમ,order of zero
ઓર્ડિનલ નંબરો,ordinal number
સરળ વિભેદક સમીકરણ,ordinary differential equation
ગ્રેડ,ordinate
અનુકૂલનક્ષમતા,oreintability
ઓરિએન્ટેશન,orientation
પૃષ્ઠ અભિગમ,orientation of surface
"મૂળ, મૂળ, મૂળ",origin
મૂળ બિંદુ,origin of coordinates
ઘેટાંનું કેન્દ્ર,orthocentre
"ઊભી કોણીય, લંબ",orthogonal
ઓર્થોગોનલ અક્ષ,orthogonal axes
લેમ્બિક કુટુંબ,orthogonal family
"Lumbik Group, Lumbik Group",orthogonal group
ઓર્થોગોનાલિટી સ્થિતિ,orthogonality condition
ગતિશીલતા,orthogonalization
ઓર્થોગોનલ મેટ્રિક્સ,orthogonal matrix
"ઓર્થોનોર્મલ, સામાન્ય ઓર્થોનોર્મલ",orthonormal
સામાન્ય ઊભી આધાર,orthonormal basis
ઓસિલેશન,oscillation
કાર્યનું ઓસિલેશન,oscillation of a function
ઓસીલેટરી કાર્ય,oscillatory function
asleshi,osculating
બાહ્ય ઉત્પાદન,outer product
"આઉટપુટ, આઉટપુટ, આઉટપુટ, આઉટફ્લો",output
અતિનિર્ધારિત એન્ટિટી,overdetermined system
જોડી કરેલી સરખામણી,paired comparision
જોડાયેલું,pairwise disjoint
દંપતી સ્વતંત્ર,pairwise independent
સમાંતર બળ,parallel forces
સમાંતરગ્રામ,parallelogram
બળ સમાંતરગ્રામ,parallelogram of forces
વેગ સમાંતરગ્રામ,parallelogram of velocities
સમાંતરગ્રામ,parallelopiped
"પરિમાણો, આંતરછેદીય ગુણોત્તર, પરિમાણો",parameter
બિન-માનક,parameter free (=nonparametric)
વિતરણ પરિમાણ,parameter of distribution
પરિમાણ,parametric
પરિમાણ કોઓર્ડિનેટ્સ,parametric coordinate
પેરામેટ્રિક વળાંક,parametric curve
પેરામેટ્રિક સમીકરણ,parametric equation
પેરામેટ્રિક લીનિયર પ્રોગ્રામિંગ,parametric linear programming
પરિમાણ પદ્ધતિ,parametric method
પેરામેટ્રિક ઉદ્દેશ્ય કાર્ય,parametric objective function
પેરામીટર પ્રોગ્રામિંગ,parametric programming
પરિમાણ રજૂઆત,parametric representation
પરિમાણીકરણ,parametrization
"કૌંસ, બંધનકર્તા",parenthesis
કૌંસ,parenthesis notation
પિતૃ વસ્તી,parent population
pareto-વળાંક,Pareto curve
સમાનતા તપાસ,parity check
આંશિક વર્ણસંકરીકરણ,partial confounding
આંશિક સહસંબંધ,partial correlation
આંશિક ડેરિવેટિવ્ઝ,partial derivative
આંશિક વિભેદક સમીકરણ,partial differential equation
આંશિક વિભેદક,partial differentiation
અપૂર્ણાંક અપૂર્ણાંક,partial fraction
આંશિક એકીકરણ,partial integration
અંશતઃ ક્રમાંકિત,partially ordered
આંશિક રીતે ઓર્ડર કરેલ સેટ,partially ordered set
આંશિક ઓર્ડર,partial order
આંશિક રીગ્રેસન ગુણાંક,partial regression coefficient
આંશિક રકમ,partial sum
કણ,particle
ચોક્કસ પરિસ્થિતિ,particular case
ખાસ અભિન્ન,particular integral
ખાસ હળ,particular solution
"વિભાજન, વિતરણ",partition
મેટ્રિસિસનું વિભાજન,partitioning of matrices
વિભાગીય મૂલ્ય,partition value
પાસ્કલ ત્રિકોણ,Pascal triangle
"આકૃતિ, પ્રતિ મૂલ્ય, પ્રતિ ફોર્મ, પેટર્ન",pattern
કાઉન્ટર ફંક્શન,pattern function
નકલ સમસ્યા,pattern problem
પેલોડ વેગ,payload velocity
ચુકવણી કાર્ય,payoff function
ચુકવણી મેટ્રિક્સ,payoff matrix
પી-બેઝ,p-basis
p-અક્ષર,p-chart
પિયાનો-વળાંક,Peano curve
પિયાનો સમૂહ,Peano space
શબ્દ સમીકરણ,pedal equation
ટકા,percent
ટકાવારી,percentage
ટકાવારી ભૂલ,percentage error
ટકાવારી આવર્તન,percentage frequency
ટકાવારી વધારો,percentage increase
ચોકસાઈ ટકાવારી,percentage of error
ટકાવારી અવમૂલ્યન,percent decrease
ટકાવારી,percentile
સંપૂર્ણ સમઘન,perfect cube
આદર્શ ગેસ,perfect gas
સંપૂર્ણ સંખ્યા,perfect number
સંપૂર્ણ સેટ,perfect set
સંપૂર્ણ ચોરસ,perfect square
સંપૂર્ણ ચોરસ અભિવ્યક્તિ,perfect square expression
પરિમિતિ,perimeter
"સામયિકતા, સામયિકતા, સામયિકતા, સામયિક અનુક્રમણિકા (ત્રિકોણમિતિ), અવધિ, અવધિ",period
સામયિક વળાંક,periodic curve
પુનરાવર્તિત વિક્ષેપ,periodic disturbances
સામયિક કાર્ય,periodic function
રિકરિંગ ગતિ,periodic motion
પરિભ્રમણ સમયગાળો,period of revolution
પરિભ્રમણ સમયગાળો,period of rotation
આવર્તન વળાંક,periodogram
"પેરિફેરલ, પેરિફેરલ, પેરિફેરલ",peripheral
"અનુમતિપાત્ર, અનુમતિપાત્ર",permissible
અશુદ્ધતાની અનુમતિપાત્ર મર્યાદા,permissible limit of error
ક્રમચય,permutation
ક્રમચય જૂથ,permutation group
ક્રમચય મેટ્રિક્સ,permutation matrix
ક્રમચય પદ્ધતિ,permutation method
લંબ,perpendicular
વિલંબ,perpendicularity
"ઊભી, ઊભી",perpendicularly
વર્ટિકલ પ્લેન,perpendicular plane
કર્મચારી સોંપણી સમસ્યા,personnel-assignment problem
pert,PERT (program evaluation review technique)
ચીડ,perturbation
ચીડ,perturbation problem
હેરાન કરતી સમસ્યા,perturbed problem
"તબક્કો, તબક્કો, કોણ",phase
કોણ,phase angle
સમયસર,phase difference
કલા વિસ્થાપન,phase displacement
ભૌતિક ખગોળશાસ્ત્ર,physical astronomy
શારીરિક સ્થિરતા,physical constant
ભૌતિક પરિમાણ,physical parameter
ભૌતિક લોલક,physical pendulum
ભૌતિક જથ્થો,physical quantity
ભૌતિકશાસ્ત્ર,physical sciences
ચિત્ર,pictograph
ચિત્રકાર,pictor
વિભાગીય રીતે સતત કાર્ય,piecewise continuous function
સેગમેન્ટલી રેખીય,piecewise linear
વિભાજિત રેખીય કાર્ય,piecewise linear function
ટુકડા દ્વારા ટુકડો,piecewise smooth
વર્તુળ,pie diagram
માર્ગદર્શન વસ્તી ગણતરી,pilot census
માર્ગદર્શિકા સર્વેક્ષણ,pilot survey
"પીવટ, રિવેટ",pivot
આધાર તત્વ,pivotal element
પ્લાન્ક સતત,Planck's constant
પ્લાન્કનો કાયદો,Planck's law
"માળ, સ્તર",plane
કોપ્લાનર કોણ,plane angle
સપાટ સીમા,plane boundary
સપાટ વળાંક,plane curve
છબીને સપાટ કરો,plane figure
પ્લેન ભૂમિતિ,plane geometry
