ab initio,"મૂળથી, પ્રારંભથી"
opening,"ઉદ્દઘાટન, પ્રારંભ, આરંભ, અવસર"
opening balance,ખુલતી સિલક
opening hours,"કાર્ય સમય, કાર્યના કલાકો"
operating cost,"પ્રચલન ખર્ચ, સંચાલન ખર્ચ"
operating staff,સંચાલક સ્ટાફ
operation,"શલ્યચિકિત્સા, પરિચાલન"
operative,"પરિચાલક, પ્રવર્તનશીલ"
opinion,"અભિપ્રાય, મત"
opposition,"વિપક્ષ, પ્રતિપક્ષ"
option,વિકલ્પ
oral,"મૌખિક, વાચિક"
order,"આદેશ, હુકમ"
order cheque,આદેશ ચેક
order of reservation,અનામત ક્રમ
ordinance,પરિપત્ર
organization,"સંગઠન, આયોજન"
organization chart,સંગઠન ચાર્ટ
organizer,"આયોજક, સંગઠનકાર"
oriented,અભિમુખ
original,અસલ
original department,"અસલ વિભાગ, મૂળ વિભાગ"
original sale deed,અસલ વેચાણ દસ્તાવેજ
ostensible owner,હયાત માલિક
out of court,ન્યાયાલય બાહ્ય
out of date,"કાલબાહ્ય, વાસી, જૂનું"
out of order,"અવ્યવસ્થિત, અકાર્યક્ષમ, અપ્રચલિત"
out of print,"અપ્રાપ્ય, અનુપલબ્ધ"
out of turn,"વારા વિના, અ-ક્રમિક"
out of turn allotment,વારા વિના ફાળવણી
outbreak,"અચાનક આરંભ, વિદોહ, ભડકવું"
outfit allowance,ગણવેશ ભથ્થું
outgoing file,જાવક ફાઈલ
outgoing member,"વિદાય લેતા સભ્ય, નિર્ગમિત સભ્ય"
outlay,વધારાનો ખર્ચ
outlet,"નિર્ગમ, વેચાણ કેન્દ્ર"
outline,"રૂપરેખા, પ્રારૂપ"
outlook,"દૃષ્ટિકોણ, દૃષ્ટિબિંદુ"
outpost,"સીમા થાણું, સીમા ચોકી"
output,"ઉત્પાદ, નિર્ગત, પરિણામ"
outright purchase,એકસાથ ખરીદી
outsource,બાહ્ય સ્રોત
outstanding,"ઉત્કૃષ્ટ, બાકી"
over age,અધિક આયુ
over-rule,પલટાવવું
overall,સમગ્રપણે
overall billing,"વધારાનું બિલ, સમગ્ર બિલ"
overall deficit,સમગ્ર ખાધ
overcharge,અધિક પ્રભાર
overdue,અતિદેય
overestimate,અતિ અનુમાન
overhead charge,ઉપરનો ખર્ચ
overlapping,અમુક ભાગ ઢાંકવો કે આચ્છાદિત કરવો
overriding priority,અધિક પ્રાથમિકતા
oversight,"ચૂક, ક્ષતિ, ભૂલ"
overtime pay,"વધારાનું વેતન, સમયાધિકનું ચૂકવણું"
overvaluation,અતિમૂલ્યન
ownership,"માતિકી, સ્વામીત્વ"
package,"પેકેજ, સંપુટ"
package deal,"સંપુટ સોદો, પેકેજ સોદો"
packing and marking,પેક કરીંને ચિહ્નો લગાવવા
packing list,પેકિંગ સૂચિ
pact,સમાધાન
paid,"ચૂકતે, સવેતન"
paid up capital,ચૂકવેલી મૂડી
pamphlet,"પુસ્તિકા, પેમ્ફલેટ"
panel,"નામિકા, નામસૂચિ, પેનલ"
paper,"કાગળ, પ્રશ્નપત્ર, સમાચારપત્ર, અખબાર, દૈનિક"
par excellence,સર્વોત્કૃષ્ટ
par value,સમમૂલ્ય
para,પરિચ્છેદ
paramount,"પરમોચ્ચ, પરમ"
parent,"માતાપિતા, મૂળ, અસલ"
parent office,"મૂળ કાર્યાલય, અસલ વિભાગ"
parental,પૈતૃક
pari passu,"સમાન ગતિથી, સમરૂપ"
parity,સમાનતા
parliament,"સંસદ, લોકસભા"
part,"હિસ્સો, ભાગ, અંશ, ખંડ"
part file,આંશિકફાઈલ
part payment,આંશિક ચૂકવણી
part-time,"ખંડ સમય, અંશકાલિક"
partial,"આંશિક, પક્ષપાતપૂર્ણ"
participate,"ભાગ લેવો, હિસ્સેદારી કરવી"
particular,"વિશેષ, ખાસ, સવિશેષ"
particulars,"વિગતો, વિવરણ"
partition,"વિભાજન, ભાગલા"
partner,"ભાગીદાર, હિસ્સેદારી"
partnership deed,ભાગીદારી દસ્તાવેજ
party,"પક્ષ, પક્ષકાર, દાવત, સ્નેહભોજન"
pass,"પસાર, ઉત્તીર્ણ, મંજૂર, ઘાટ(પર્વતનો)"
passage,"ગલી, ગલિયારું, યાત્રા, પ્રવાસ, પરિચ્છેદ"
password,"સંકેતશબ્દ, પાસવર્ડ"
patent,"એકસ્થ, પેટન્ટ, સર્વાધિકાર, સુરક્ષિત હક્ક્વાળું, સનદ"
patron,"ગ્રાહક, સંરક્ષણ"
pay,"વેતન, ચૂકવણું, પગાર"
pay bill,"વેતન બિલ, પગાર બિલ"
pay certificate,"વેતન પ્રમાણપત્ર, પગાર પ્રમાણપત્ર"
pay day,"વેતન દિવસ, પગાર દિવસ"
pay off,ચૂકતે કરવું
pay order,"ચૂકવણાનો હુકમ, ચૂકવણાનો આદેશ"
pay roll,પગારપત્રક
pay scale,"વેતનમાન, પગારધોરણ"
payee,"મેળવનાર, પ્રાપ્ત કરનાર"
payer,ચૂકવનાર
payment,ચૂકવણું
pecuniary,"ધનવિષયક, મૂડીવિષયક"
pen down strike,કલમ મુકો હડતાલ
penal,દંડવિષયક કાર્યવાહી
penal code,દંડ સંહિતા
penal interest,દંડ સ્વરૂપ વ્યાજ
penalize,દંડિત કરવું
penalty,દંડ
pending,"લંબિત, અનિર્ણિત, અટકાવેલું, બાકી, અધૂરું"
pension,પેન્શન
pension scheme,પેન્શન યોજના
pensionable,પેન્શનયોગ્ય
pensioner,પેન્શનભોગી
per annum,"પ્રતિવર્ષ, વાર્ષિક"
per bearer,વાહક દ્વારા
per capita (=per head),"પ્રતિવ્યક્તિ, વ્યક્તિદીઠ"
per mensem,"માસિક, પ્રતિમાસ"
percent,ટકા
perennial,"ચિરસ્થાયી, કાયમી"
perform,"પાલન કરવું, પ્રસ્તુત કરવું, નિષ્પાદિત કરવું"
performance,"પ્રસ્તુતિ, પ્રસ્તુતિકરણ"
period,"સમય, સમયગાળો, તાસ, અવધિ"
period under review,સમીક્ષાધીન સમયગાળો
periodical,"સામાયિકી, સામયિક, સમયેસમયે"
perjury,"ખોટા પુરાવા, ઉપજાવી કાઢેલા પુરાવા"
perks,"ભથ્થું, આત્મશ્રધ્ધા"
permanent,"સ્થાયી, કાયમી, સદૈવ"
permissible,"અનુમતિપરક, મંજૂરીક્ષમ"
permission,"અનુમતિ, મંજૂરી"
permit,"પરમિટ, મંજૂરી, અનુમતિ"
permitted,"અનુમતિપ્રાપ્ત, મંજૂર"
perpetual,"શાશ્વત, સદૈવ, નિરંતર"
perpetuity,"ચિરકાળ, શાશ્વતકાળ"
perquisites (=perks),See perks
persona non grata,પ્રતિબંધિત વ્યક્તિ
personal,"વ્યક્તિગત, વૈયક્તિક"
personal assets,વ્યક્તિગત સંપત્તિ
personal bond,"વ્યક્તિગત બોન્ડ, જાતમુચરકા"
Personality,વ્યક્તિત્વ
personnel,"કર્મી, કર્મચારી"
personnel policy,કાર્મિક નીતિ
perspective,પરિપ્રેક્ષ્ય
persuasion,"અનુનય, સમજાવટ"
pertinent,"પ્રાસંગિક, સુસંગત"
perusal,અવલોકન
petition,"અરજી, યાચિકા"
petitioner,અરજદાર
phase,"તબક્કો, ચરણ"
photograph,"તસવીર, ફોટો, છબિ"
photostat,ફોટોસ્ટેટ
physical checking,"પ્રત્યક્ષ તપાસ, ભૌતિક ચકાસણી"
physical defect,"શારીરિક ખામી, શારીરિક ખોડખાંપણ"
physical education,શારીરિક શિક્ષણ
physical verification,"પ્રત્યક્ષ ચકાસણી, ભૌતિક સત્યાપન"
physically handicapped,"વિકલાંગ, અપંગ"
piece rate,આંશિક વેરો કે કર
piecemeal,"ટુકડાઓમાં, ખંડખંડ"
pilgrim,"તીર્થયાત્રી, જાત્રાળુ"
pilot programme,મુખ્ય કાર્યક્રમ
PIN (postal index number),પીન કોડ નંબર
place of birth,"જન્મસ્થળ, જન્મસ્થાન"
place of work,"કાર્યસ્થળ, કામની જગ્યા"
placement service,નોકરી અપાવતી સેવા
plaintiff,"વાદી, પક્ષકાર"
plan,"યોજના, આયોજના"
planning,આયોજન
plant,સંયંત્ર
player,"વાદક, ખેલાડી, રમતવીર"
plea,"તર્ક, દલીલ"
Pleader,"વકીલ, ધારાશાસ્ત્રી"
plebiscite,"જનમત, લોકમત"
pledge,પ્રતિજ્ઞા કરવી
plenary session,"પૂર્ણ બેઠક, પૂર્ણ અધિવેશન"
plenipotentiary,પૂર્ણ અધિકારી
plinth area,"પાયાનું ક્ષેત્રફળ, બુનિયાદી વિસ્તાર"
policy,"નીતિ, વીમાની પોલિસી"
political,"રાજકીય, રાજનૈતિક"
political activity,"રાજકીય પ્રવૃત્તિ, રાજનૈતિક ગતિવિધિ"
poll,"મતદાન, ચૂંટણી"
pollution,પ્રદૂષણ
pool,"પૂલ, સેતુ"
portfolio (of a minister),"વિભાગ, ખાતુ, મંત્રાલય"
position,"સ્થાન, પદ, સ્થિતિ"
positive,"સકારાત્મક, હકારાત્મક"
post,"પદ, થાંભલો, કેન્દ્ર, ચોકી, હોદ્દો"
post mortem examination,શબપરીક્ષા
post-dated,ઉત્તર દીનાંકિત
post-facto sanction,કાર્યોત્તર મંજૂરી
post-graduate,અનુસ્નાતક
posthumous,"મરણોત્તર, મરણોપરાંત"
posting,તૈનાતી
postpone,"સ્થગિત, મૂલતવી રાખવું"
postscript (P.S.),"પુનશ્ચ:, ફરીવાર"
power,"શક્તિ, ઊર્જા, અધિકાર"
power of attorney,કુલમુખત્યારનામું
practicable,વ્યવહાર
practice,"વ્યવહાર, પદ્ધતિ, પ્રથા"
pre-audit,પૂર્વ-લેખપરીક્ષા
pre-planned,પૂર્વયોજિત
pre-receipted bill,"રસીદવાળું બિલ, રસીદયુક્ત બિલ"
precaution,"સાવચેતી, ગમચેતી"
precedent,"ઉદાહરણ, દાખલો, દૃષ્ટાંત"
precis,"સારલેખન, સારાંશ"
precise,"યથાવત્, યથાતથ"
preclude,"રોકી પડવું, સ્થગિત કરવું"
preconception,"પૂર્વ સંકલ્પના, પૂર્વ સંકલ્પના, પૂર્વવિભાવના"
predecessor,પૂર્વવર્તી
predominant,"મુખ્ય, પ્રબળ, જોરાવર"
preface,"પ્રસ્તાવના, આમુખ, ઉપોદ્દઘાત"
prefer,પસંદ કરવું
preferential purchase,"અધિમાની ખરીદી, પસંદગીનુસાર ખરીદી"
prejudice,પૂર્વગ્રહ
preliminary,પ્રાથમિક
premature,"સમયપૂર્વ, કાચું, અપરિપક્વ"
premises,પરિસર
premium,"વધારો, વીમાનું પ્રીમિયમ"
prepaid,પૂર્વ ચૂકવણી
prepaid card,પૂર્વચૂકવણી કરેલું કાર્ડ
prepone,"પૂર્વિત કરવું, આગળ (નિર્ધારિત સમયથી) કરવું"
prerogative,"પરમ અધિકાર, સર્વોચ્ચ અધિકાર"
prescribe,"લખવું, સૂચવવું, સંકેત કરવો, નિર્ધારિત કરવું"
prescribed,"નિર્ધારિત, લખેલું, સૂચવેલું"
prescribed form,નિર્ધારિત આવેદનપત્ર
presentation,"પ્રસ્તુતિ, પ્રસ્તુતિકરણ"
preside,અધ્યક્ષતા કરવી
president,"અધ્યક્ષ, પ્રમુખ, રાષ્ટ્રપતિ"
press,"મુદ્રણાલય, છાપખાનું, અખબાર, પ્રેસ, દૈનિકપત્ર"
press copy,"અંતિમ પ્રત, અંતિમ વાચના"
press gallery,પત્રકાર દીર્ઘા
presumed,"પ્રકલ્પિત, કથિત, સ્વીકાર્ય, પ્રતિષ્ઠિત, માન્ય, પ્રચલિત"
presumptive pay,"પ્રકલ્પિત વેતન, પ્રકલ્પિત પગાર/ચૂકવણું"
presupposed,પૂર્વકલ્પિત
pretext,"બહાનું, કારણ, ખોટું બહાનું"
prevail,"પ્રચલિત થવું, પ્રચલિત કરવું"
prevent,"નિવારણ કરવું, રોકવું, અટકાવવું"
prevention,"રોકાવું, નિવારણ"
preventive,"નિવારણ, પ્રતિરોધક"
price fluctuation (=price movements),કિંમતમાં વધારોઘટાડો
pricing,મૂલ્યનિર્ધારણ
prima facie,"પ્રાથમિક ઢબે, પ્રથમ દૃષ્ટિએ"
primarily,"મુખ્યતઃ, પ્રધાનતઃ, પ્રાથમિક રીતે"
primary,પ્રાથમિક
primary receipt,"મૂળ રસીદ, મૂળ પાવતી"
principal,"મુખ્ય, આચાર્ય, પ્રાચાર્ય, માલિક, ધણી"
principal debtor,"મુખ્ય દેવાદાર, મૂળ દેવાદાર"
printer,"મુદ્રક, મુદ્રણયંત્ર, છાપયંત્ર"
printing,"મુદ્રણ, છાપકામ"
prior indication,પૂર્વ સંકેત
priority grading,પ્રાથમિક્તાની કક્ષા/ કોટિઓ
prison,"જેલ, કારાગાર, બંદીઘર"
prisoner,કેદી
privacy,એકાંત
private and confidential,ખાનગી અને ગોપનીય
privilege,વિશેષાધિકાર
privilege committee,વિશેષાધિકાર સમિતિ
prize,"પુરસ્કાર, ઈનામ"
pro-rata,યથાનુક્રમ
pro-rata quota,યથાનુક્રમ કોટા
probability,સંભવિતતા
probate,વસિયતનું અધિકૃત પ્રમાણપત્ર
probation,"પરખ, પરખાધીન"
probationary,"પરખાધીન, પરખકાળ"
probationer,"પરખાધીન, પરખ પરક"
probe,"તપાસ, તરતપાસ"
procedural rules,"કાર્યવિધિ, નિયમાવલિ, કાર્યવાહી સંબંધી નિયમો"
procedure,પ્રક્રિયા
proceedings,"પ્રક્રિયા, કાર્યવાહી"
process,પ્રક્રિયા
processing,"પ્રક્રિયા, પ્રસંસ્કરણ"
procession,"શોભાયાત્રા, વરઘોડો"
proclaim,ઉદ્દઘોષણા કરવી
proclamation,ઉદ્દઘોષણા
procurement,વસૂલી
product,"ઉત્પાદ, ઉપજ, ઉત્પન્ન"
production,"ઉત્પાદન, નિર્માણ"
profession,"વ્યવસાય, ધંધો, કામધંધો"
professional achievement,વ્યાવસાયિક ઉપલબ્ધિઓ
proficiency certificate,પ્રવીણતા પ્રમાણપત્ર
profile,વ્યક્તિ/બાબતની રૂપરેખા
profit,નફો
programme,"કાર્યક્રમ, ક્રમાદેશ"
programme schedule,"કાર્યક્રમ વિવરણ, કાર્યક્રમ સૂચિ"
programming,કાર્યક્રમ આયોજન
progress,પ્રગતિ
progressive,"પ્રગતિશીલ, પ્રગતિવાદી"
prohibited,"પ્રતિબંધિત, નિષેધયુક્ત, નિષિદ્ધ"
prohibited area,"પ્રતિબંધિત ક્ષેત્ર, પ્રતિબંધિત વિસ્તાર, નિષેધ વિસ્તાર"
prohibition,"નિષેધ, નશાબંધી, દારૂબંધી, મદ્યનિષેધ"
prohibitory order,"નિષેધઆજ્ઞા, મનાઈ હુકમ"
project,"પરિયોજના, પ્રકલ્પ"
projection,"પ્રક્ષેપ, પ્રક્ષેપણ"
prominent,"પ્રમુખ, અગ્રગામી, અગ્રદૂત"
promise,"વચન, વચન આપવું"
promissory note (pronote),"વચનપત્ર, રુક્કો, પ્રોમિસરી નોટ"
promote,"આગળ કરવું, પદોન્નત કરવું"
promoter,પ્રવર્તક
promotion,"પદોન્નતિ, આગળ કરવું, જાહેરાત કરવી"
promt,"તરત, તુરંત, શીઘ્ર, ત્વરિત"
promulgate,"લાગુ પાડવું, અમલમાં લાવવું"
pronounce,"સંભળાવવું, નિર્ણય આપવો"
pronouncement,"નિર્ણય આપવો, ચુકાદો આપવો, ફેંસલો આપવો"
proof,"સબૂત, આધાર, પ્રમાણ, પુરાવો(લેખનનું) પ્રૂફ"
proof of despatch,રવાનગીનો પુરાવો
proof reading,પ્રૂફવાચન
propagate,પ્રચાર કરવો
propagation,પ્રચાર
proper,"ઉચિત, સમુચિત"
property,સંપત્તિ
proposal,"દરખાસ્ત, પ્રસ્તાવ"
propose,"પ્રસ્તાવ મૂકવો, દરખાસ્ત મૂકવી"
propound,પ્રતિપાદિત કરવું
proprietary,"માલિકીને લગતું, માલિકી સંબંધી"
propriety,"ઔચિત્ય, ઉચિતતા"
prorogue,"સત્રાવસાન, સ્થગિત કરવું"
pros and cons,"લાભાલાભ, આગળપાછળ, હાનિલાભ"
proscribe,"અભિનિષિદ્ધ, આગળથી રોકી દેવું"
prosecution,"અભિયોજન, વાદી પક્ષ"
prospectus,"વિવરણ પત્ર, વિવરણ પત્રિકા"
protempore appointment,કામચલાઉ નિયુક્તિ
protocol,શિષ્ટાચાર
prove,સાબિત કરવું
provided,પરંતુ
provident fund,ભવિષ્યનિધિ
provision,"જોગવાઈ, વ્યવસ્થા, શરત"
provisional,"કામચલાઉ, વચગાળાનું"
provisional list,"કામચલાઉ યાદી, વચગાળાની સૂચિ"
proviso,"પરંતુ, પણ"
proximity,"સામીપ્ય, નૈકટ્ય, નિકટતા"
proxy,"પરોક્ષી, -ને વતી, –ને બદલે"
public,"જનતા, પ્રજા, લોકો, જાહેર, સાર્વજનિક, સરકારી"
public duty,"જાહેર સેવા, સરકારી સેવા"
public interest litigation (PIL),જાહેર હિતની અરજી
publication,પ્રકાશન
publicity,પ્રચાર
publish,પ્રકાશિત કરવું
punctual,સમયનિષ્ઠ
punishment,"સજા, દંડ"
purchase,"ખરીદી, ખરીદ"
purely temporary,વિશુદ્ધ કામચલાઉ
purpose,પ્રયોજન
pursue,"હાથ પર લેવી, (કામ) ઉપાડવું, પાછળ પડવું"
pursuit,"કામકાજ, શોધ, સંશોધન"
purview,"કાર્યક્ષેત્ર, ક્ષેત્ર"
put up,"રજુ કરવું, પ્રસ્તુત કરવું"
put-up slip,"રજૂઆતપરક ચિઠ્ઠી, પ્રસ્તુતિ સંબંધી નોંધ"
qualification,યોગ્યતા
qualified candidate,યોગ્ય ઉમેદવાર
qualify,યોગ્યતા પ્રાપ્ત કરવી
qualifying examination,"યોગ્યતા પરીક્ષા, યોગ્યતા કસોટી"
qualifying test,યોગ્યતા કસોટી
qualitative techniques,"ગુણપરક પ્રવિધિ, ગુણલક્ષી ટેકનીક, ગુણપરક પ્રયુક્તિ"
quality,ગુણવત્તા
quality control,ગુણવત્તા નિયંત્રણ
quantity,"જથ્થો, માત્રા, પરિમાણ, રાશિ"
quarantine leave,"સંગરોધ રજાઓ, બીમારીથી બચવાની રજા"
quarterly,ત્રૈમાસિક
quash,પ્રમાદિત કરવું
quasi,"દેખીતું, યથાર્થ રીતે નહિ, ‘લગભગ’એવો અર્થ સૂચવનાર ઉપસર્ગ"
quasi-permanency,"સ્થાયિત્વ, હંમેશા"
query,"પૃચ્છા, પૂછપરછ, પ્રશ્ન"
question,પ્રશ્ન
question hour,પ્રશ્નકાળ
questionable,"સંદિગ્ધ, શંકાસ્પદ, પ્રશ્ન જન્માવે તેવું"
questionnaire,પ્રશ્નાવલિ
quit,"છોડવું, ભાગવું, ત્યજવું"
quorum,"ગુણપૂર્તિ, કોરમ, અપેક્ષિત સંખ્યા, નિયમાનુસારની સંખ્યા"
quota,"કોટા, ફાળવણી, ફાળવેલું"
quotation,"ભાવ ઉદ્ધરણ, દર"
quote,"ઉદ્ઘૃત કરવું, ટાંકવું, ટપકાવવું, નોંધવું"
race,"પ્રજાતિ, હોડ, પ્રતિસ્પર્ધા, હરીફાઈ"
racial discrimination,જાતિગત ભેદભાવ
rack,"રેક, છાજલી, અભરાઈ"
raid,"ધાડ, છાપો"
railway,"રેલ્વે, ટ્રેન"
raise (pay),વેતન વધારો
random,"યાદ્ચ્છિક, અનિયમિત, ઉપલક"
random sampling,"યાદ્ચ્છિક નમૂનો, અનિયમિત પ્રતિચયન"
range,"પરિસર, હદ, ક્ષમતા"
rank,"શ્રેણી, પંક્તિ, હોદ્દો"
rank and file,જનસાધારણ
ranking,શ્રેણીકરણ
rapid action force (RAF),ત્વરિત કાર્યવાહી દળ
rare,"દુર્લભ, જૂજ, વિરલ"
rash,"અંધાધુંધ, આડેધડ, ઉતાવળે, ઉડઝૂડ"
ratable value,"કરયોગ્ય મૂલ્ય, કરપાત્ર કિંમત"
rate,"ભાવ, દર"
rate contract,ભાવ કોન્ટ્રાક્ટ
rate list,"દરસૂચિ, ભાવસૂચિ"
ratification,સુધારા વધારા
rating,"દરનિર્ધારણ, ભાવનિર્ધારણ, કોટિનિર્ધારણ"
ratio,"દર, પ્રમાણ"
ration,"રસીદ, રેશન"
ration allowance,રેશન ભથ્થું
rational,"તાર્કિક, યુક્તિસંગત"
rationalization,"યુક્તિકરણ, તાર્કિકીકરણ"
raw material,કાચો માલ
raw product,કાચું ઉત્પાદન
re-employment,"પુનઃરોજગાર, પુનરોજગાર"
re-entry,પુનઃપ્રવેશ
reaction,પ્રતિક્રિયા
reading,"વાંચન, પઠન"
readjust,"પુનઃસમાયોજિત, ફરી ગોઠવવું"
ready reckoner,"રેડી રેકનર, તૈયાર ગણક, તત્કાલ સંદર્ભ"
ready-made plan,તૈયાર યોજના
real,"વાસ્તવ, વાસ્તવિક"
real earning,"વ્યાવસાયિક કમાઈ, વ્યાવસાયિક ઉપાર્જન"
real estate,સ્થાવર સંપત્તિ
reality,"વાસ્તવિકતા, અસલિયત"
realization,"અનુભૂતિ, અહેસાસ, વસૂલી"
realize,"અનુભવવું, વસૂલ કરવું, ઉઘરાવવું"
reappointment,પુનઃનિયુક્તિ
reappropriation,"પુનઃવિનિયોજન, ફરી માળખું તૈયાર કરવું"
reason,"કારણ, તર્ક"
reassessment,પુનનિર્ધારણ
rebate,છૂટ
recall,"પ્રતિઆહવાન, પાછું બોલાવવું, પાછું માંગવું"
recede,"પીછેહઠ, ઓછું થવું"
receipt,"રસીદ, પાવતી"
receipt book,રસીદ બૂક
receipts and disbursements,રસીદ અને સંવિતરણ
receive,"મેળવવું, પ્રાપ્ત કરવું"
receiver,પ્રાપ્ત કરનાર
recent,"તાજેતરનું, નવું"
reception,"સ્વાગત, સત્કાર, સ્વાગત સમારોહ"
receptive,ગ્રહણશીલ
recess,વિરામ
recipient,પ્રાપ્તકર્તા
reciprocal,"પરસ્પર, પારસ્પરિક, અન્યોન્ય"
reciprocal demand,પારસ્પરિક જરૂરિયાત
reciprocate,આદાન-પ્રદાન કરવું
reciprocity,પારસ્પરિકતા
reckless,"લાપરવાહી, ઉતાવળ, અંધાધૂંધ"
reckon,"ગણવું, ગણતરી કરવી"
reckonable service,ગણતરીપરક સેવા
reclamation,"ઢંઢેરો, પુનર્પ્રાપ્તિ"
recognition,"માન્યતા, ઓળખાણ"
recognized,"માન્ય, માન્યતાપ્રાપ્ત"
recollect,"સ્મરણ કરવું, યાદ કરવું, પુનઃપ્રાપ્ત કરવું"
recommend,"સંસ્તુતિ, ભલામણ કરવી"
recommendation,"ભલામણ, સંસ્તુતિ"
recommendatory letter,ભલામણ પત્ર
reconcile,સમાધાન કરવું
reconciliation,પુનર્ગઠન
reconsideration,પુનર્વિચાર
reconstitution,"પુનઃબંધારિત, પુનર્ગઠન"
reconstruction,પુનઃનિર્માણ
reconstruction of file,ફાઈલની નવરચના
record,"અભિલેખ, દસ્તાવેજ"
record book,"અભિલેખ બૂક, રેકોર્ડ બૂક"
record of service,"સેવા અભિલેખ, સેવાભિલેખ, સેવા રેકોર્ડ"
recourse,"આશ્રય, વસૂલી હક"
recover,"સાજા થવું, વસૂલી કરવી"
recovery,"વસૂલી, સ્વાસ્થ્યલાભ, પુનઃપ્રાપ્તિ"
recreation,"મનોરંજન, આનંદપ્રમોદ"
recruit,"ભરતી, રંગરુટ"
recruiting authority,"ભરતી, અધિકરણ"
recruitment,ભરતી
recruitment rules,ભરતી નિયમો
rectification,"પરિશોધન, પુનઃશોધન"
recurring,"ફરીફરીને આવનારું, જેનું વારંવાર પુનરાવર્તન થતું હોય તેવું"
red-tapism,તુમારશાહી
redeem,"મોચન, છોડાવવું, નિવારણ કરવું"
redemption,છોડાવવું
redirected,પુનઃપ્રેષિત
redress,"નિવારણ, પુનઃઆયોજન, દૂર કરવું"
redressal,"નિવારણ, પુનયોજન"
reduction,"કમી, છૂટ, કપાત"
redundant,"અનાવશ્યક, બિનજરૂરી"
refer,"સંદર્ભ, ઉલ્લેખ, સંદર્ભ જોવો, વિચાર માટે મોકલવું"
reference,"સંદર્ભ, હવાલો, નિદેશ"
referral,સંદર્ભ/નિર્દેશ સંબંધી
refixation of pay,પગારનું/વેતનમાનનું પુનનિર્ધારણ
reform,"સુધાર, સુધારો, સુધારણ"
refrain from,"અલગ રહેવું, અલિપ્ત રહેવું"
refreshment,"નાસ્તો, અલ્પાહાર, જલપાન"
refund,"રિફંડ, ધન પાછું આવવું, પ્રતિદેય"
refundable,"પ્રતિદેય, પરત આપવા યોગ્ય"
refusal,"અસ્વીકૃતિ, ઇનકાર"
refuse,"ઇનકાર કરવો, અસ્વીકાર કરવો"
refused leave,નકારેલી રજાઓ
refutation,ખંડન
regard,"માન, તત્સંબંધી, આદર, તે વિશે, સમજવું"
region,"પ્રદેશ, વિસ્તાર, ક્ષેત્ર"
regional,"પ્રાદેશિક, ક્ષેત્રીય"
register,"દફતર, નોંધવહી, ખાતાવહી"
registered,"નોંધાયેલું, પંજીકૃત"
registered office,પંજીકૃત દફતર
registering authority,"પંજીકરણ પ્રાધિકરણ, નોંધણી અધિકરણ"
registration form,"નોંધણી ફોર્મ, નોંધણી આવેદન"
registrtion fee,"પંજીકરણ શુલ્ક, નોંધણી ફી"
registry,દસ્તાવેજ
regret,ખેદ
regrouping,પુનવર્ગીકરણ
regular,નિયમિત
regular cadre,નિયમિત સંવર્ગ
regular service,નિયમિત સેવા
regularization,નિયમિતીકરણ
regulations,નિયમો
rehabilitation,"પુનર્વાસ, પુનઃસ્થાપન"
rehearsal,પૂર્વાભ્યાસ
reimburse,પ્રતિપૂર્તિ
reinstate,બહાલ કરવું
reiterate,"દોહરાવવું, પુનરુક્તિ"
reject,"રદ, બાતલ, અસ્વીકાર"
rejection,"અસ્વીકૃતિ, રદીકરણ"
rejoinder,પ્રત્યુતર
relation,સંબંધ
relative,સંબંધી
relative valuation,સાપેક્ષ મૂલ્યાંકન
relaxation,"છૂટછાટ, ઢીલ, રાહત"
relaxation of rules,નિયમોમાં છૂટછાટ
release,"મુક્ત, છૂટકો, વિમોચન, લોકાર્પણ"
release date,લોકાર્પણ તારીખ
relevant,"સુસંગત, પ્રસ્તુત"
relevant papers,સુસંગત કાગળો
reliable,"ભરોસાપાત્ર, વિશ્વસનીય"
relief,રાહત
relief and rehabilitation,સહાય અને પુનર્વસન
relief list,"રાહત યાદી, સહાય યાદી, રાહત સૂચિ"
relief works,રાહતકામ
relieve,મુક્ત
reliever,મુક્ત કરનાર
relinquishment,"ત્યાગ, છોડી દેવું"
relinquishment of charge,કાર્યભાર ત્યાગ
relocation,ફરી સ્થાપના કરવી તે
reluctance,"અનિચ્છા, નામરજી"
remark,"ટિપ્પણી, નોંધ"
remarks column,"ટિપ્પણીસ્થાન, નોંધ કોલમ"
remedial action,ઉપચાર કાર્યવાહી
remedial measures,ઉપચાર ઉપાયો
remedial transfer,ઉપચારી બદલી
reminder,"સ્મરણ, સ્મૃતિપત્ર"
remission,"પરિહાર, માફી, ક્ષમા"
remit,"મોકલવું, પ્રેષિત કરવી, માફ કરવું, ત્યાગવું"
remitee,"મેળવનાર, પ્રાપ્ત કરનાર"
remittance,"પ્રેષણ, મોકલેલી રકમ"
remote,"દૂરસ્થ, પરોક્ષ, સુદૂર"
remote control,"સુદૂર નિયંત્રણ, રિમોટ કન્ટ્રોલ"
removal,"હટાવવું, દૂર કરવું"
remuneration,"પારિશ્રમિક, મેહનતાણું"
render,"ગાવું, પ્રસ્તુત કરવું, પઠન, વાચન, રજુ કરવું"
renewal,નવીનીકરણ
renewal of demand,માંગનું નવીનીકરણ
renounce,"ત્યાગ કરવો, છોડવું"
renovation,જિર્ણોદ્ધાર
rent,"ભાડું, લાગત"
rented space,ભાડાની જગ્યા
reopening,"પુનઃઆરંભ, પુનઃપ્રારંભ"
