English,Telugu
Harmonic  Telephone ringer,హార్మోనిక్  టెలిఫోన్ రింగర్
Hash,హాష్
Hash index,హాష్ సూచిక
Hashing,హాషింగ్
Hashing algorithm,హాషింగ్ అల్గోరిథం
Hashing function,హాషింగ్ ఫంక్షన్
Hashing technique,హాషింగ్ టెక్నిక్
Hash total,హాష్ మొత్తం
Hash value,హాష్ విలువ
Header,శీర్షిక
Header card,హెడర్ కార్డ్
Header label,హెడర్ లేబుల్
Header segment,హెడర్ విభాగం
Header sheet,హెడర్ షీట్
Head gap,తల అంతరం
Heading,శీర్షిక
Heading records,శీర్షిక రికార్డులు
Held over,పట్టుకుంది
Hesitation,సంకోచం
Heterodyne  Reception,హెటెరోడిన్  రిసెప్షన్
Heterodyne  Repeator,హెటెరోడిన్  పునరావృతం
Heterogeneous  Multiplex,వైవిధ్య  మల్టీప్లెక్స్
Heterogeneous  Network,వైవిధ్య  నెట్‌వర్క్
Heuristic,హ్యూరిస్టిక్
Heuristic method,హ్యూరిస్టిక్ పద్ధతి
Hexadecimal,హెక్సాడెసిమల్
Hexadecimal  Constant,హెక్సాడెసిమల్  స్థిరాంకం
Hexadecimal  Notation,హెక్సాడెసిమల్  సంజ్ఞామానం
Hex pad,హెక్స్ ప్యాడ్
Hidden line,దాచిన లైన్
Hidden line  Removal,దాచిన లైన్  తొలగింపు
Hierarchical  Classification,క్రమానుగత  వర్గీకరణ
Hierarchical  Computer  Network,క్రమానుగత  కంప్యూటర్  నెట్‌వర్క్
Hierarchically  Synchronized  Network,క్రమానుగతంగా  సమకాలీకరించబడింది  నెట్‌వర్క్
Hierarchical  Network,క్రమానుగత  నెట్‌వర్క్
Hierarchical  Structure,క్రమానుగత  నిర్మాణం
Hierarchy,సోపానక్రమం
Hierarchy of  Operations,యొక్క సోపానక్రమం  కార్యకలాపాలు
High address,అధిక చిరునామా
High byte,అధిక బైట్
High density,అధిక సాంద్రత
High frequency  Distribution  Frame,అధిక పౌన .పున్యం  పంపిణీ  ఫ్రేమ్
High level compiler,అధిక స్థాయి కంపైలర్
High level data link control,అధిక స్థాయి డేటా లింక్ నియంత్రణ
High level  Assembler,ఉన్నతమైన స్థానం  సమీకరించేవాడు
High level source  Code,అధిక స్థాయి మూలం  కోడ్
High lighting,అధిక లైటింగ్
High order  Position,హై ఆర్డర్  స్థానం
High pass,అధిక ప్రవాహం
High performance  Equipment,అధిక పనితీరు  పరికరాలు
High punch,హై పంచ్
High speed carry,హై స్పీడ్ క్యారీ
High speed reader,హై స్పీడ్ రీడర్
High usage group,అధిక వినియోగ సమూహం
Highway,హైవే
Hi-lo tariff,హాయ్-లో టారిఫ్
Hiragana,హిరాగానా
History file,చరిత్ర ఫైల్
History run,చరిత్ర రన్
Hit,కొట్టుట
Hit on the fly  Printer,ఫ్లైలో కొట్టండి  ప్రింటర్
Hit on the line,లైన్‌లో కొట్టండి
Hit ratio,హిట్ నిష్పత్తి
Hold facility,సౌకర్యాన్ని పట్టుకోండి
Holding beam,పుంజం పట్టుకోవడం
Holding time,సమయం పట్టుకోవడం
Hold instruction,సూచనలను పట్టుకోండి
Hold pattern,నమూనాను పట్టుకోండి
Hollerith card,హోలెరిత్ కార్డ్
Hollerith code,హోలెరిత్ కోడ్
Hologram,హోలోగ్రామ్
Holographic based  System,హోలోగ్రాఫిక్ ఆధారిత  వ్యవస్థ
Home address,ఇంటి చిరునామ
Home key,హోమ్ కీ
Home loop,హోమ్ లూప్
Home numbering  Plan area,హోమ్ నంబరింగ్  ప్రణాళిక ప్రాంతం
Homeostatis,హోమియోటిస్
Home position,ఇంటి స్థానం
Home record,హోమ్ రికార్డ్
Homogeneous  Network,సజాతీయ  నెట్‌వర్క్
Hopper,హాప్పర్
Horizontal feed,క్షితిజ సమాంతర ఫీడ్
Horizontal raster  Count,క్షితిజ సమాంతర రాస్టర్  కౌంట్
Horizontal system,క్షితిజ సమాంతర వ్యవస్థ
Horizontal table,క్షితిజ సమాంతర పట్టిక
Horizontal  Tabulation  Character,క్షితిజ సమాంతర  పట్టిక  పాత్ర
Horizontal  Wraparound,క్షితిజ సమాంతర  ర్యాపారౌండ్
Host,హోస్ట్
Host application  Program,హోస్ట్ అప్లికేషన్  ప్రోగ్రామ్
Host computer,హోస్ట్ కంప్యూటర్
Host interface,హోస్ట్ ఇంటర్ఫేస్
Host node,హోస్ట్ నోడ్
Host switch,హోస్ట్ స్విచ్
Host system,హోస్ట్ సిస్టమ్
Hot chassis,వేడి చట్రం
Hot standing,హాట్ స్టాండింగ్
Hot zone,హాట్ జోన్
House keeping,హౌస్ కీపింగ్
House keeping  Operation,హౌస్ కీపింగ్  ఆపరేషన్
Hub,హబ్
Hub layout,హబ్ లేఅవుట్
Human aided  Machine  Translation,మానవ సహాయంతో  యంత్రం  అనువాదం
Human oriented  Language,మానవ ఆధారిత  భాష
Hunting,వేటాడు
Hybrid coil,హైబ్రిడ్ కాయిల్
Hybrid computer,హైబ్రిడ్ కంప్యూటర్
Hybrid integrated  Circuit,హైబ్రిడ్ ఇంటిగ్రేటెడ్  సర్క్యూట్
Hybrid interface,హైబ్రిడ్ ఇంటర్ఫేస్
Hybrid  Programming,హైబ్రిడ్  ప్రోగ్రామింగ్
Hybrid set,హైబ్రిడ్ సెట్
Hybrid system,హైబ్రిడ్ వ్యవస్థ
Hyphen drop,హైఫెన్ డ్రాప్
Identification  Division,గుర్తింపు  విభజన
Identifier,ఐడెంటిఫైయర్
Identifier word,ఐడెంటిఫైయర్ పదం
Identity,గుర్తింపు
Identity element,గుర్తింపు మూలకం
Identity gate,గుర్తింపు గేట్
Identity operation,గుర్తింపు ఆపరేషన్
Identity unit,గుర్తింపు యూనిట్
Idle character,పనిలేకుండా అక్షరం
Idle line,ఐడిల్ లైన్
Idle line  Termination,ఐడిల్ లైన్  ముగింపు
Idle link,ఐడిల్ లింక్
IF-AND-ONLY-  IF Element,ఉంటే మరియు మాత్రమే-  మూలకం ఉంటే
IF-AND-ONLY-  IF Gate,ఉంటే మరియు మాత్రమే-  గేట్ ఉంటే
IF-AND-ONLY-  IF Operation,ఉంటే మరియు మాత్రమే-  ఆపరేషన్ ఉంటే
IF repeater,రిపీటర్ ఉంటే
IF statement,స్టేట్మెంట్ ఉంటే
IF-THEN element,If-theen మూలకం
IF-THEN-ELSE,If-then-else
IF-THEN gate,If-theen గేట్
IF-THEN   Operation,If-then  ఆపరేషన్
Ignore,పట్టించుకోకుండా
Ignore character,పాత్రను విస్మరించండి
Illegal character,అక్రమ పాత్ర
Illegal operation,అక్రమ ఆపరేషన్
Image,చిత్రం
Image antenna,చిత్ర యాంటెన్నా
Image area,చిత్ర ప్రాంతం
Image dissector,ఇమేజ్ డిసెక్టర్
Image graphics,చిత్ర గ్రాఫిక్స్
Image printer,చిత్ర ప్రింటర్
Image processing,బొమ్మ లేదా చిత్రం సరి చేయడం
Image sensor,చిత్ర సెన్సార్
Image space,చిత్ర స్థలం
Immediate access,తక్షణ ప్రాప్యత
Immediate access  Storage,తక్షణ ప్రాప్యత  నిల్వ
Immediate address,తక్షణ చిరునామా
Immediate  Addressing,వెంటనే  చిరునామా
Immediate data,తక్షణ డేటా
Immediate  Instruction,వెంటనే  సూచన
Immediate  Processing,వెంటనే  ప్రాసెసింగ్
Immediate task,తక్షణ పని
Impact paper,ఇంపాక్ట్ పేపర్
Impact printer,ఇంపాక్ట్ ప్రింటర్
Imperative  Macroinstruction,అత్యవసరం  మాక్రోఇన్స్ట్రక్షన్
Imperative operation,అత్యవసరమైన ఆపరేషన్
Imperative   Statement,అత్యవసరం  ప్రకటన
Implication,చిక్కు
Implicit address,అవ్యక్త చిరునామా
Implicit  Declaration,అవ్యక్త  ప్రకటన
Implied addressing,చిరునామా సూచించింది
Imprinter,INTINTER
Imprinting,ముద్రణ
Imprint position,ముద్రణ స్థానం
Improved mobile  Telephone service,మెరుగైన మొబైల్  టెలిఫోన్ సేవ
Impulse,ప్రేరణ
Impulse noise,ప్రేరణ శబ్దం
Inactive link,నిష్క్రియాత్మక లింక్
Inactive node,నిష్క్రియాత్మక నోడ్
Inactive station,నిష్క్రియాత్మక స్టేషన్
Inband signalling,ఇన్బ్యాండ్ సిగ్నలింగ్
Incidential time,సంఘటన సమయం
Incipient failure,ప్రారంభ వైఫల్యం
In-circuit  Emulation,ఇన్-సర్క్యూట్  ఎమ్యులేషన్
Inclusion,చేర్చడం
Inclusive-NOR  Operation,కలుపుకొని లేదు  ఆపరేషన్
Inclusive-OR Element,కలుపుకొని లేదా మూలకం
Inclusive-OR gate,కలుపుకొని లేదా గేట్
Inclusive-OR  Operation,కలుపుకొని లేదా  ఆపరేషన్
Inclusive reference,కలుపుకొని సూచన
Inclusive segment,కలుపుకొని ఉన్న విభాగం
Incoming message,ఇన్‌కమింగ్ సందేశం
Incoming trunk,ఇన్కమింగ్ ట్రంక్
Inconnector,అసంబద్ధమైన
Increment,ఇంక్రిమెంట్
Incremental  Compiler,పెరుగుతున్న  కంపైలర్
Incremental  Computer,పెరుగుతున్న  కంప్యూటర్
Incremental  Execution,పెరుగుతున్న  అమలు
Incremental  Integrator,పెరుగుతున్న  ఇంటిగ్రేటర్
Incremental  Representation,పెరుగుతున్న  ప్రాతినిథ్యం
Incremental vector,పెరుగుతున్న వెక్టర్
Incrementer,ఇంక్రిమెంటర్
Increment size,ఇంక్రిమెంట్ పరిమాణం
Indegree,ఇండిగ్రీ
Indent,ఇండెంట్
Indent tab  Character,ఇండెంట్ టాబ్  పాత్ర
Indeterminate  System,అనిశ్చిత  వ్యవస్థ
Indeterminate (X)  State,అనిశ్చిత (x)  రాష్ట్రం
Index build,సూచిక నిర్మాణం
Index character,సూచిక అక్షరం
Index data item,సూచిక డేటా అంశం
Indexed address,ఇండెక్స్డ్ చిరునామా
Indexed data name,ఇండెక్స్డ్ డేటా పేరు
Indexed data set,ఇండెక్స్డ్ డేటా సెట్
Indexed file,ఇండెక్స్డ్ ఫైల్
Indexed sequential  Access method,ఇండెక్స్డ్ సీక్వెన్షియల్  యాక్సెస్ పద్ధతి
Indexed sequential  Data set,ఇండెక్స్డ్ సీక్వెన్షియల్  డేటా సెట్
Indexed sequential  Organization,ఇండెక్స్డ్ సీక్వెన్షియల్  సంస్థ
Index entry,సూచిక ప్రవేశం
Index file,సూచిక ఫైల్
Index hole,సూచిక రంధ్రం
Indexing,ఇండెక్సింగ్
Indexing and  Abstracting,ఇండెక్సింగ్ మరియు  సంగ్రహించడం
Index name,సూచిక పేరు
Index plan,సూచిక ప్రణాళిక
Index register,సూచిక రిజిస్టర్
Index return  Character,సూచిక తిరిగి  పాత్ర
Index sequential  File,సూచిక సీక్వెన్షియల్  ఫైల్
Index sequential  Method,సూచిక సీక్వెన్షియల్  విధానం
Index slot,సూచిక స్లాట్
Index term,సూచిక పదం
Index word,సూచిక పదం
Indicator,సూచిక
Indirect access,పరోక్ష ప్రాప్యత
Indirect address,పరోక్ష చిరునామా
Indirect addressing,పరోక్ష చిరునామా
Indirect instruction,పరోక్ష సూచన
Individual line  Service,వ్యక్తిగత లైన్  సేవ
Inference engine,అనుమితి ఇంజిన్
Inferior (= Subscript),నాసిరకం (= సబ్‌స్క్రిప్ట్)
Infinite pad method,అనంతమైన ప్యాడ్ పద్ధతి
Infix notation,ఇన్ఫిక్స్ సంజ్ఞామానం
Infix operation,ఇన్ఫిక్స్ ఆపరేషన్
Informatics,ఇన్ఫర్మేటిక్స్
Information,సమాచారం
Information-  Bearer channel,సమాచారం-  బేరర్ ఛానల్
Information bit,సమాచార బిట్
Information  Channel,సమాచారం  ఛానెల్
Information  Content,సమాచారం  విషయము
Information  Content binary  Unit,సమాచారం  కంటెంట్ బైనరీ  యూనిట్
Information  Content decimal  Unit,సమాచారం  కంటెంట్ దశాంశం  యూనిట్
Information  Content natural  Unit,సమాచారం  సహజమైన కంటెంట్  యూనిట్
Information cost,సమాచార ఖర్చు
Information  Feedback system,సమాచారం  అభిప్రాయ వ్యవస్థ
Information flow  Analysis,సమాచార ప్రవాహం  విశ్లేషణ
Information  Function,సమాచారం  ఫంక్షన్
Information  Interchange,సమాచారం  ఇంటర్‌చేంజ్
Information  Measure,సమాచారం  కొలత
Information  Processing,సమాచారం  ప్రాసెసింగ్
Information rate,సమాచార రేటు
Information  Retrieval,సమాచారం  తిరిగి పొందడం
Information  Retrieval system,సమాచారం  తిరిగి పొందే వ్యవస్థ
Information  Separator,సమాచారం  సెపరేటర్
Information sink,ఇన్ఫర్మేషన్ సింక్
Information  Source,సమాచారం  మూలం
Information  Technology,సమాచారం  సాంకేతికం
Information theory,సమాచార సిద్ధాంతం
Information  Transfer module,సమాచారం  బదిలీ మాడ్యూల్
Information word,సమాచార పదం
Inherent  Transparency,స్వాభావిక  పారదర్శకత
Inherited error,వారసత్వ లోపం
Inhibited input,నిరోధిత ఇన్పుట్
Inhibited state,నిరోధిత రాష్ట్రం
Inhibiting signal,నిరోధించే సిగ్నల్
Inhibit pulse,పల్స్ నిరోధించండి
In-house line,అంతర్గత రేఖ
In-house system,అంతర్గత వ్యవస్థ
Initial address,ప్రారంభ చిరునామా
Initial condition  Mode,ప్రారంభ పరిస్థితి  మోడ్
Initial instruction,ప్రారంభ సూచన
Initialization,ప్రారంభించడం
Initialize,ప్రారంభించండి
Initializer routine,ప్రారంభ దినచర్య
Initial order,ప్రారంభ క్రమం
Initial procedure,ప్రారంభ విధానం
Initial program  Load,ప్రారంభ ప్రోగ్రామ్  లోడ్
Initial program  Loader,ప్రారంభ ప్రోగ్రామ్  లోడర్
Initiator procedure,ఇనిషియేటర్ విధానం
Initiator task,ఇనిషియేటర్ టాస్క్
Initiator/termi-  Nator,ఇనిషియేటర్/టెర్మి-  నాటర్
Inking,ఇంకింగ్
Ink jet printer,ఇంక్ జెట్ ప్రింటర్
Ink uniformity,సిరా ఏకరూపత
In-line code,ఇన్-లైన్ కోడ్
In-line procedure,ఇన్-లైన్ విధానం
In-line processing,ఇన్-లైన్ ప్రాసెసింగ్
In-line recovery,ఇన్-లైన్ రికవరీ
In-line subrutine,ఇన్-లైన్ సబ్యుటిన్
Inner code,లోపలి కోడ్
Inner  Macroinstruction,లోపలి  మాక్రోఇన్స్ట్రక్షన్
Inoperable time,పనిచేయలేని సమయం
In-plant system  (= Inhouse  System),మొక్కల వ్యవస్థ  (= ఇన్హౌస్  వ్యవస్థ)
Input area,ఇన్పుట్ ప్రాంతం
Input block,ఇన్పుట్ బ్లాక్
Input blocking Factor,ఇన్పుట్ నిరోధించడం కారకం
Input buffer  Register,ఇన్పుట్ బఫర్  రిజిస్టర్
Input channel,ఇన్పుట్ ఛానెల్
Input data  Validation,ఇన్పుట్ డేటా  ధ్రువీకరణ
Input field,ఇన్పుట్ ఫీల్డ్
Input instruction  Code,ఇన్పుట్ సూచన  కోడ్
Input job stream,ఇన్పుట్ జాబ్ స్ట్రీమ్
Input limited  Program,ఇన్పుట్ లిమిటెడ్  ప్రోగ్రామ్
Input loading,ఇన్పుట్ లోడింగ్
Input output board,ఇన్పుట్ అవుట్పుట్ బోర్డ్
Input output  Buffer,ఇన్పుట్ అవుట్పుట్  బఫర్
Input output  Controller,ఇన్పుట్ అవుట్పుట్  నియంత్రిక
Input output  Control system,ఇన్పుట్ అవుట్పుట్  నియంత్రణ వ్యవస్థ
Input output cycle,ఇన్పుట్ అవుట్పుట్ చక్రం
Input output  Device,ఇన్పుట్ అవుట్పుట్  పరికరం
Input output  Interruption,ఇన్పుట్ అవుట్పుట్  అంతరాయం
Input-output (I/O),ఇన్పుట్-అవుట్పుట్ (I/O)
Input output  Library,ఇన్పుట్ అవుట్పుట్  గ్రంధాలయం
Input output  Limited operation,ఇన్పుట్ అవుట్పుట్  పరిమిత ఆపరేషన్
Input output  Processor,ఇన్పుట్ అవుట్పుట్  ప్రాసెసర్
Input output  Referencing,ఇన్పుట్ అవుట్పుట్  ప్రస్తావించడం
Input output  Register,ఇన్పుట్ అవుట్పుట్  రిజిస్టర్
Input output  Routine,ఇన్పుట్ అవుట్పుట్  దినచర్య
Input output  Section,ఇన్పుట్ అవుట్పుట్  విభాగం
Input output  Statement,ఇన్పుట్ అవుట్పుట్  ప్రకటన
Input output  Switching,ఇన్పుట్ అవుట్పుట్  మారడం
Input output unit,ఇన్పుట్ అవుట్పుట్ యూనిట్
Input process,ఇన్పుట్ ప్రక్రియ
Input program,ఇన్పుట్ ప్రోగ్రామ్
Input reader,ఇన్పుట్ రీడర్
Input referance,ఇన్పుట్ రిఫరెన్స్
Input routine,ఇన్పుట్ రొటీన్
Input section,ఇన్పుట్ విభాగం
Input state,ఇన్పుట్ స్థితి
Input station,ఇన్పుట్ స్టేషన్
Input storage,ఇన్పుట్ నిల్వ
Input stream,ఇన్పుట్ స్ట్రీమ్
Input translator,ఇన్పుట్ అనువాదకుడు
Input unit,ఇన్పుట్ యూనిట్
Input validation,ఇన్పుట్ ధ్రువీకరణ
Inquiry and   Transaction  Processing,విచారణ మరియు  లావాదేవీ  ప్రాసెసింగ్
Inquiry character,విచారణ పాత్ర
Inquiry display  Terminal,విచారణ ప్రదర్శన  టెర్మినల్
Inquiry/reply,విచారణ/ప్రత్యుత్తరం
Inquiry/response  Operation,విచారణ/ప్రతిస్పందన  ఆపరేషన్
Inquiry station,విచారణ స్టేషన్
Inquiry transaction,విచారణ లావాదేవీ
Inquiry unit,విచారణ యూనిట్
Inscribe,లిఖితం
Insert,చొప్పించండి
Insertion picture  Character,చొప్పించే చిత్రం  పాత్ర
Insertion sort,చొప్పించడం క్రమబద్ధీకరణ
Inside plant,మొక్క లోపల
In spool area,స్పూల్ ప్రాంతంలో
Installation charge,సంస్థాపనా ఛార్జ్
Installation processing control,సంస్థాపనా ప్రాసెసింగ్ నియంత్రణ
Installation tape  Number,సంస్థాపనా టేప్  సంఖ్య
Installation time,సంస్థాపనా సమయం
In-stream procedure,ఇన్-స్ట్రీమ్ విధానం
Instruction,సూచన
Instruction address,సూచన చిరునామా
Instruction address  Register,సూచన చిరునామా  రిజిస్టర్
Instruction address  Stop,సూచన చిరునామా  ఆపు
Instruction area,బోధనా ప్రాంతం
Instruction code,ఇన్స్ట్రక్షన్ కోడ్
Instruction  Constant,సూచన  స్థిరాంకం
Instruction control  Unit,సూచన నియంత్రణ  యూనిట్
Instruction counter,ఇన్స్ట్రక్షన్ కౌంటర్
Instruction deck instruction decoder,ఇన్స్ట్రక్షన్ డెక్ ఇన్స్ట్రక్షన్ డీకోడర్
Instruction format,ఇన్స్ట్రక్షన్ ఫార్మాట్
Instruction mix,ఇన్స్ట్రక్షన్ మిక్స్
Instruction   Modifier,సూచన  మాడిఫైయర్
Instruction pack,ఇన్స్ట్రక్షన్ ప్యాక్
Instruction register,ఇన్స్ట్రక్షన్ రిజిస్టర్
Instruction   Repertoire,సూచన  కచేరీలు
Instruction set,ఇన్స్ట్రక్షన్ సెట్
Instruction   Statement,సూచన  ప్రకటన
Instruction storage,సూచనల నిల్వ
Instruction word,సూచన పదం
Integer constant,పూర్ణాంక స్థిరాంకం
Integer  Programming,పూర్ణ సంఖ్య  ప్రోగ్రామింగ్
Integer variable,పూర్ణాంక వేరియబుల్
Integral boundary,సమగ్ర సరిహద్దు
Integrated adapter,ఇంటిగ్రేటెడ్ అడాప్టర్
Integrated  Attachment,ఇంటిగ్రేటెడ్  అటాచ్మెంట్
Integrated  Communication  Adapter,ఇంటిగ్రేటెడ్  కమ్యూనికేషన్  అడాప్టర్
Integrated data  Base,ఇంటిగ్రేటెడ్ డేటా  బేస్
Integrated data  Processing,ఇంటిగ్రేటెడ్ డేటా  ప్రాసెసింగ్
Integrated digital  Network,ఇంటిగ్రేటెడ్ డిజిటల్  నెట్‌వర్క్
Integrated disk,ఇంటిగ్రేటెడ్ డిస్క్
Integrated  Emulator,ఇంటిగ్రేటెడ్  ఎమ్యులేటర్
Integrated file  Adapter,ఇంటిగ్రేటెడ్ ఫైల్  అడాప్టర్
Integrated modem,ఇంటిగ్రేటెడ్ మోడెమ్
Integrated  Software,ఇంటిగ్రేటెడ్  సాఫ్ట్‌వేర్
Integrated word  Processing,ఇంటిగ్రేటెడ్ పదం  ప్రాసెసింగ్
Integrated word  Processing  Equipment,ఇంటిగ్రేటెడ్ పదం  ప్రాసెసింగ్  పరికరాలు
Integrating motor,మోటారును సమగ్రపరచడం
Intelligent  Controller,తెలివైన  నియంత్రిక
Intelligent copier,ఇంటెలిజెంట్ కాపీయర్
Intelligent  Terminal,తెలివైన  టెర్మినల్
Intelligible cross  Talk,అర్థమయ్యే క్రాస్  చర్చ
Interaction,పరస్పర చర్య
Interactive  Graphics,పరస్పర  గ్రాఫిక్స్
Interactive  Keyboard printer,పరస్పర  కీబోర్డ్ ప్రింటర్
Interactive routine,ఇంటరాక్టివ్ రొటీన్
Interactive system,ఇంటరాక్టివ్ సిస్టమ్
Interblock gap,ఇంటర్‌బ్లాక్ గ్యాప్
Intercepted  Terminal,అడ్డగించబడింది  టెర్మినల్
Intercepting trunk,ట్రంక్ అడ్డగించడం
Intercept operator,ఇంటర్‌సెప్ట్ ఆపరేటర్
Intercept service,సేవ సేవ
Intercommunication system,ఇంటర్‌కమ్యూనికేషన్ సిస్టమ్
Intercom service,ఇంటర్‌కామ్ సేవ
Interconnecting  Unit,ఇంటర్‌కనెక్టింగ్  యూనిట్
Intercycle,ఇంటర్ సైకిల్
Interexchange  Channel,ఇంటర్‌ఎక్స్‌చేంజ్  ఛానెల్
Interface,ఇంటర్ఫేస్
Interface   Processor,ఇంటర్ఫేస్  ప్రాసెసర్
Interface routine,ఇంటర్ఫేస్ రొటీన్
Interface  Specification,ఇంటర్ఫేస్  స్పెసిఫికేషన్
Interfix,ఇంటర్‌ఫిక్స్
Interior label,ఇంటీరియర్ లేబుల్
Interlanguage,ఇంటర్లాంగేజ్
Interleave,ఇంటర్‌లీవ్
Interleaved array,ఇంటర్‌లీవ్డ్ శ్రేణి
Interleaved  Subscript,ఇంటర్‌లీవ్డ్  సబ్‌స్క్రిప్ట్
Interleaving,ఇంటర్‌లీవింగ్
Interlude,అంతరాయ
Intermediate  Buffer,ఇంటర్మీడియట్  బఫర్
Intermediate  Distributing  Frame,ఇంటర్మీడియట్  పంపిణీ  ఫ్రేమ్
Intermediate  Equipment,ఇంటర్మీడియట్  పరికరాలు
Intermediate node,ఇంటర్మీడియట్ నోడ్
Intermediate pass  (Sorting),ఇంటర్మీడియట్ పాస్  (సార్టింగ్)
Intermediate total,ఇంటర్మీడియట్ మొత్తం
Intermediate delay,ఇంటర్మీడియట్ ఆలస్యం
Intermittent error,అడపాదడపా లోపం
Intermix tape,ఇంటర్‌మిక్స్ టేప్
Internal block,అంతర్గత బ్లాక్
Internal format,అంతర్గత ఆకృతి
Internal  Fragmentation,అంతర్గత  ఫ్రాగ్మెంటేషన్
Internal interrupt,అంతర్గత అంతరాయం
Internal label,అంతర్గత లేబుల్
Internal memory,అంతర్గత జ్ఞాపక శక్తి
Internal model,అంతర్గత మోడల్
Internal name,అంతర్గత పేరు
Internal procedure,అంతర్గత విధానం
Internal reader,అంతర్గత రీడర్
Internal schema,అంతర్గత స్కీమా
Internal sort,అంతర్గత విధమైన
Internal storage,అంతర్గత నిల్వ
Internal text,అంతర్గత వచనం
Internal timer,అంతర్గత టైమర్
Internal writer,అంతర్గత రచయిత
International  Algebraic  Language,అంతర్జాతీయ  బీజగణితం  భాష
International  Direction distance  Dialing,అంతర్జాతీయ  దిశ దూరం  డయలింగ్
International  Organization for  Standardization  (ISO),అంతర్జాతీయ  సంస్థ కోసం  ప్రామాణీకరణ  (ISO)
International  Record carrier,అంతర్జాతీయ  రికార్డ్ క్యారియర్
Interoffice trunk,ఇంటర్‌ఆఫీస్ ట్రంక్
Interpositioning,ఇంటర్‌పోజిషన్
Interposition trunk,ఇంటర్‌పోజిషన్ ట్రంక్
Interpreter,వ్యాఖ్యాత
Interpreter code,ఇంటర్ప్రెటర్ కోడ్
Interpretive code,ఇంటర్‌ప్రెటివ్ కోడ్
Interpretive  Execution,వ్యాఖ్యాన  అమలు
Interpretive  Program,వ్యాఖ్యాన  ప్రోగ్రామ్
Interpretive  Routine,వ్యాఖ్యాన  దినచర్య
Interpretive trace  Program,ఇంటర్‌ప్రెటివ్ ట్రేస్  ప్రోగ్రామ్
Interrecord gap,ఇంటర్‌కార్డ్ గ్యాప్
Interrobang,ఇంటర్‌రోబాంగ్
Interrogating,ప్రశ్నించడం
Interrogation,విచారణ
Interrogator,ప్రశ్నించేది
Interrput request  Signal,ఇంటర్‌ఆర్ట్‌పుట్ అభ్యర్థన  సిగ్నల్
Interrupt driver,అంతరాయం డ్రైవర్
Interrupt handler,అంతరాయ హ్యాండ్లర్
Interruptible  Routine,అంతరాయం  దినచర్య
Interruptible System,అంతరాయం వ్యవస్థ
Interruption  Network,అంతరాయం  నెట్‌వర్క్
Interrupt latency,అంతరాయం జాప్యం
Interrupt linkage,అంతరాయం అనుసంధానం
Interrupt mask,అంతరాయ ముసుగు
Interrupt priority,అంతరాయం ప్రాధాన్యత
Interrupt stacking,అంతరాయ స్టాకింగ్
Interrupt trap,అంతరాయ ఉచ్చు
Interrupt trigger  Signal,అంతరాయ ట్రిగ్గర్  సిగ్నల్
Interrupt vector,అంతరాయం వెక్టర్
Intersatellite link,ఇంటర్‌సాటెలైట్ లింక్
Interstage  Punching,అంతరాష్ట్రం  గుద్దడం
Intersymbol  Interference,ఇంటర్‌సింబోల్  జోక్యం
Interval service  Value,విరామ సేవ  విలువ
Interval timer,విరామ టైమర్
Interworking,ఇంటర్‌వర్కింగ్
Intimate,సన్నిహిత
Intrastate toll,ఇంట్రాస్టేట్ టోల్
Intrusion tone,చొరబాటు స్వరం
Invalid character,చెల్లని పాత్ర
Invalid exclusive  Reference,చెల్లని ఎక్స్‌క్లూజివ్  సూచన
Invalid key  Condition,చెల్లని కీ  కండిషన్
Inventory master  File,ఇన్వెంటరీ మాస్టర్  ఫైల్
Invert,విలోమం
Inverted file,విలోమ ఫైల్
Inverter,ఇన్వర్టర్
Invitation list,ఆహ్వాన జాబితా
Invocation,ఆహ్వానం
Invoke,సహాయం కోరు
Invoked procedure,ఇన్వోక్డ్ విధానం
Invoking block,ఇన్వోకింగ్ బ్లాక్
Ionterrupt signal,అయాంటరెంట్ సిగ్నల్
Irrecoverable  Error,తిరిగి పొందలేనిది  లోపం
Irrelevance,అసంబద్ధత
Irreversible   Magnetic process,కోలుకోలేని  అయస్కాంత ప్రక్రియ
Isolated location,వివిక్త స్థానం
ISO size,ISO పరిమాణం
ISO standard,ISO ప్రమాణం
Item advance,అంశం అడ్వాన్స్
Item count,అంశం గణన
Item size,అంశం పరిమాణం
Iterate,మళ్ళి
Iteration,మరల
Iteration factor,పునరావృత కారకం
Iteration routine,పునరావృత దినచర్య
Iterative do-group,పునరుక్తి డూ-గ్రూప్
Iterative operation,పునరుక్తి ఆపరేషన్
Iversion notation,IVERSION సంజ్ఞామానం
Jitter,జిట్టర్
Job batch,జాబ్ బ్యాచ్
Job class,జాబ్ క్లాస్
Job control,ఉద్యోగ నియంత్రణ
Job control  Language,ఉద్యోగ నియంత్రణ  భాష
Job control  Statement,ఉద్యోగ నియంత్రణ  ప్రకటన
Job definition,ఉద్యోగ నిర్వచనం
Job-flow control,జాబ్-ఫ్లో కంట్రోల్
Job input device,ఉద్యోగ ఇన్పుట్ పరికరం
Job input file,జాబ్ ఇన్పుట్ ఫైల్
Job input stream,ఉద్యోగ ఇన్పుట్ స్ట్రీమ్
Job library,జాబ్ లైబ్రరీ
Job management,ఉద్యోగ నిర్వహణ
Job name,ఉద్యోగ పేరు
Job-oriented  Language,ఉద్యోగ-ఆధారిత  భాష
