Kannada,English
ಮಾನವ ಶಕ್ತಿ,Man-power
ಮ್ಯಾನುಮಿಷನ್,Manumission
ಮನುಮಿತ್,Manumit
ಹಸ್ತಪ್ರತಿ,Manuscript
ಹಸ್ತಪ್ರತಿ,Manuscript
ಹಸ್ತಪ್ರತಿ,Manuscript
ಮಾರೌಡರ್,Marauder
ಕಡಲ ಬೆಲ್ಟ್,Maritime belt
ಕಡಲ ನಾಗರಿಕತೆ,Maritime civilization
ಕಡಲ ಧ್ವಜ,Maritime flag
ಕಡಲ ಶಕ್ತಿಗಳು,Maritime powers
ಕಡಲ ಸಾರ್ವಭೌಮತ್ವ,Maritime soverignty
ಕಡಲ ಯುದ್ಧ,Maritime war
ಮಾರ್ಕ್ವಿಸ್,Marquis
ಮಾರ್ಕ್ವಿಸೇಟ್,Marquisate
ಸಮರ ಕಾನೂನು,Martial law
ಸಮರ ಜನಾಂಗಗಳು,Martial races
ಹುತಾತ್ಮ,Martyr
ಹತ್ಯಾಕಾಂಡ,Massacre
ಕುಶಲ ಸಮೂಹ,Mass of manoeuvre
ಮಾಸ್ಟರ್-ಅಟ್-ಆರ್ಮ್ಸ್,Master-at-arms
ಕಾರ್ಯಕ್ರಮ ನಿರ್ವಾಹಕ,Master of ceremonies
ಮನೆಯ ಯಜಮಾನ,Master of Household
ಮಾಸ್ಟರ್ ಆಫ್ ದಿ ಹಾರ್ಸ್,Master of the Horse
ರೋಲ್ಸ್ ಮಾಸ್ಟರ್,Master of the Rolls
ಹೊಂದಾಣಿಕೆ,Match
ಹೊಂದಾಣಿಕೆ,Match
ಮ್ಯಾಚ್‌ಲಾಕ್,Matchlock
ವೈವಾಹಿಕ ಮೈತ್ರಿ,Matrimonial alliance
ಮೆಡಿಟರೇನಿಯನ್ ಶಕ್ತಿಗಳು,Mediterranian powers
ಮೆನ್ಶೆವಿಕ್,Menshevik
ಕೂಲಿ ಸೈನ್ಯ,Mercenary army
ಕೂಲಿ ಸೈನಿಕ,Mercenary soldier
ವ್ಯಾಪಾರಿ,Merchantman
ಮಧ್ಯ ವಯಸ್ಸು,Middle ages
ಮಧ್ಯ ಪೂರ್ವ,Middle East
ಮಧ್ಯದ ಹಾದಿ,Middle passage
ಮಧ್ಯಮ ಮಾರ್ಗ,Middle path
ಮಧ್ಯಮ ಮಾರ್ಗ (=ಮಧ್ಯಮ ಕೋರ್ಸ್),Middle way (=middle course)
ವಲಸೆಗಾರ,Migrant
ವಲಸೆ,Migration
ವಲಸೆ,Migration
ವಲಸೆ,Migration
ಮಿಲಿಟರಿಸಂ,Militarism
ಮಿಲಿಟರಿಸಂ,Militarism
ಮಿಲಿಟರಿಸಂ,Militarism
ಮಿಲಿಟರಿಸಂ,Militarism
ಮಿಲಿಟರಿವಾದಿ,Militarist
ಮಿಲಿಟರಿವಾದಿ,Militarist
ಮಿಲಿಟರಿಕರಣ,Militarization
ಮಿಲಿಟರಿಕರಣ,Militarization
ಮಿಲಿಟರಿಕರಣ,Militarization
ಮಿಲಿಟರಿ ತಂತ್ರಗಾರ (=ತಂತ್ರಜ್ಞ),Military tactician (=tactician)
ಮಿಲಿಟರಿ ತಂತ್ರಗಾರ (=ತಂತ್ರಜ್ಞ),Military tactician (=tactician)
ಮಿಲಿಟರಿ ತಂತ್ರಗಳು (=ತಂತ್ರಗಳು),Military tactics (=tactics)
ಮಿಲಿಟಿಯಾ,Militia
ಮಿಲಿಟಿಯಾ,Militia
ದುರಾಡಳಿತ,Misrule
ಲಿಂಕ್ ಕಾಣೆಯಾಗಿದೆ,Missing link
ಮಿಷನ್,Mission
ಮಿಷನ್,Mission
ಮಿಷನ್,Mission
ಮಿಶ್ರ ಜನಾಂಗ,Mixed race
ಆಧುನಿಕ ಇತಿಹಾಸ,modern history
ವಿಧಾನ ವಿವೆಂಡಿ,Modus vivendi
ಮೊನಾಕಿಸಂ,Monachism
ರಾಜ,Monarch
ರಾಜ,Monarch
ರಾಜಪ್ರಭುತ್ವ,Monarchism
ರಾಜಪ್ರಭುತ್ವ,Monarchism
ರಾಜಪ್ರಭುತ್ವವಾದಿ,Monarchist
ರಾಜಪ್ರಭುತ್ವ,Monarchy
ಮಠ,Monastery
ಮಠ,Monastery
ಮಠ,Monastery
ಸನ್ಯಾಸತ್ವ,Monasticism
ಸನ್ಯಾಸತ್ವ,Monasticism
ಸನ್ಯಾಸಿ,Monk
ಮಾತೃ ದೇಶ,Mother country
ಮಾತೃಭೂಮಿ,Motherland
ಸಂಸತ್ತಿನ ತಾಯಿ,Mother of Parliaments
ಮುಕ್ರೇಕರ್ಸ್,Muckrakers
ಮಮ್ಮಿ,Mummy
ವಸ್ತುಸಂಗ್ರಹಾಲಯ,Museum
ಮಸ್ಕೆಟ್,Musket
ಮಸ್ಕಿಟೀರ್,Musketeer
ಮಸ್ಕೆಟ್ರಿ,Musketry
ಮಸ್ಕೆಟ್ರಿ,Musketry
ಮಸ್ಟರ್ ಮಾಸ್ಟರ್,Muster master
ಮಸ್ಟರ್-ರೋಲ್,Muster-roll
ಮಸ್ಟರ್-ರೋಲ್,Muster-roll
ದಂಗೆ,Mutiny
ದಂಗೆ ಕಾಯಿದೆ,Mutiny Act
ರಹಸ್ಯ ಹಡಗು,Mystery ship
ನಿರೂಪಣೆ,Narrative
ರಾಷ್ಟ್ರ,Nation
ಸ್ಥಳೀಯ,Native
ಸ್ಥಳೀಯ ರಾಜ್ಯ,Native state
ನೈಸರ್ಗಿಕತೆ,Naturalism
ನೈಸರ್ಗಿಕ ಹಕ್ಕುಗಳು,Natural rights
ನಾಜಿ,Nazi
ನಾಜಿ ಕ್ರಾಂತಿ,Nazi revolution
ನಾಜಿಸಂ,Nazism
ಪೂರ್ವದ ಹತ್ತಿರ,Near East
ನೀಗ್ರೋ,Negro
ನೀಗ್ರೋಫಿಲ್,Negrophil
ನೀಗ್ರೋಫಿಲಿಸಮ್,Negrophilism
ನೀಗ್ರೋಫೋಬಿಯಾ,Negrophobia
ತಟಸ್ಥ,Neutral
ತಟಸ್ಥ ದೇಶ,Neutral country
ಹೊಸ ಒಪ್ಪಂದ,New Deal
ಹೊಸ ಪ್ರಪಂಚ,New World
ಉದಾತ್ತತೆ,Nobility
ಉದಾತ್ತ,Noble
ಉದಾತ್ತ,Noble
ಅಲೆಮಾರಿ,Nomad
ಅಲೆಮಾರಿ ಗುಂಪು,Nomadic horde
ಅಲೆಮಾರಿ ಧರ್ಮ,Nomadism
ಆಕ್ರಮಣ ರಹಿತ ಒಪ್ಪಂದ,Non-aggression pact
ಆಕ್ರಮಣ ರಹಿತ ಒಪ್ಪಂದ,Non-aggression treaty
ಯುದ್ಧಮಾಡದ ರಾಜ್ಯ,Non-belligerent state
ಅಸಹಕಾರ,Non-co-operation
ಅಸಹಕಾರ ಚಳುವಳಿ,Non co-operation movement
ಮುಖಮುಖ,Obverse
ಮುಖಮುಖ,Obverse
ಓಕ್ಲೋಕ್ರಸಿ (=ಮೊಬೊಕ್ರಸಿ),Ochlocracy (=mobocracy)
ಓಕ್ಲೋಕ್ರಾಟ್,Ochlocrat
ಅಧಿಕೃತ ದಾಖಲೆ,Official document
ಹಳೆಯ ಪ್ರಪಂಚ,Old world
ಒಲಿಗಾರ್ಕಿ,Oligarchy
ಹಲ್ಲೆ,Onslaught
ಮುಕ್ತ ಮಾತುಕತೆ,Open negotiation
ಪ್ರಶ್ನೆಯನ್ನು ತೆರೆಯಿರಿ,Open question
ದಾಖಲೆಗಳನ್ನು ತೆರೆಯಿರಿ,Open records
ಓರಿಯಂಟ್,Orient
ಓರಿಯಂಟಲಿಸಂ,Orientalism
ಓರಿಯಂಟಲಿಸಂ,Orientalism
ಓರಿಯಂಟಲಿಸ್ಟ್,Orientalist
ಮೂಲ,Origin
ಮೂಲ,Origin
ಆರ್ಥೋಗ್ರಫಿ,Orthography
ಹಗೆತನದ ಏಕಾಏಕಿ,Outbreak of hostilities
ಔಟ್-ಪೋಸ್ಟ್,Out-post
ಅತಿ-ಪ್ರಭು,Over-lord
ಓವರ್-ರೈಡ್,Over-ride
ಓವರ್-ರೈಡ್,Over-ride
ಪೇಗನ್,Pagan
ಪೇಗನ್,Pagan
ಪೇಗನಿಸಂ,Paganism
ಪೇಗನಿಸಂ,Paganism
ಪಗೋಡ,Pagoda
ಪಗೋಡ,Pagoda
ಪಗೋಡ,Pagoda
ಅರಮನೆಯ ಒಳಸಂಚುಗಳು,Palace intrigues
ಪ್ಯಾಲಟಿನೇಟ್,Palatinate
ತಾಳೆ ಎಲೆ,Palm-leaf
ಪಾಮ್ ಭಾನುವಾರ,Palm Sunday
ಪ್ಯಾನೆಜಿರಿಸ್ಟ್,Panegyrist
ದಿಗಿಲು,Panic
ದಿಗಿಲು,Panic
ಗಾಬರಿ ಹುಟ್ಟಿಸುವವನು,Panic-monger
ಪಪಾಸಿ,Papacy
ಪಪಾಸಿ,Papacy
ಪಪಾಸಿ,Papacy
ಪಪಾಸಿ,Papacy
ಪಾಪಲ್ ಬುಲ್,Papal bull
ಪಾಪಲಿಸಂ,Papalism
ಪಾಪಲಿಸಂ,Papalism
ಪಾಪಲಿಸ್ಟ್,Papalist
ಪಾಪಲ್ ರಾಜ್ಯ,Papal state
ಪ್ಯಾಪಿಸಂ (=ಪ್ಯಾಪಿಸ್ಟ್ರಿ),Papism (=papistry)
ಪಾಪಿಸ್ಟ್,Papist
ಪಪೈರಸ್,Papyrus
ಉಪಮೆ,Parable
ಪ್ಯಾರಾಮೌಂಟ್,Paramount
ಪರಮಾಪ್ತತೆ (=ಪರಮ ಶಕ್ತಿ),Paramountcy (=paramount power)
ಪ್ಯಾರಾಮೌಂಟ್ ಮಹಿಳೆ,Paramount lady
ಪರಮ ಪ್ರಭು,Paramount lord
ಚರ್ಮಕಾಗದ,Parchment
ಚರ್ಮಕಾಗದ,Parchment
ಚರ್ಮಕಾಗದ,Parchment
ಕ್ಷಮಿಸು,Pardon
ಪಾರ್ಲಿಗಳು,Parleys
ಪಾರ್ಲಿಗಳು,Parleys
ಸಂಸತ್ತು (=ಸಂಸತ್ತು),Parliament (=parlement)
ಸಂಸತ್ತು,Parliament
ಸಂಸತ್ತು,Parliament
ಸಂಸತ್ತು,Parliament
ಸಂಸತ್ ಕಾಯಿದೆ,Parliament Act
ಸಂಸದೀಯ,Parliamentarian
ಸಂಸದೀಯ,Parliamentarian
ಸಂಸದೀಯ ಏಜೆಂಟ್,Parliamentary agent
ಪಾರ್ನೆಲಿಸಮ್,Parnellism
ಪೆರೋಲ್,Parole
ಪೆರೋಲ್,Parole
ಪ್ಯಾರಿಸೈಡ್,Parricide
ಪ್ಯಾರಿಸೈಡ್,Parricide
ಪಕ್ಷಪಾತಿ,Partisan
ಪಕ್ಷಪಾತಿ,Partisan
ಪಕ್ಷಪಾತಿ,Partisan
ಉತ್ತೀರ್ಣ,Pass
ಪಾಸ್ ವರ್ಡ್ (=ವಾಚ್ ವರ್ಡ್),Pass word (=watch word)
ಪಿತೃಪ್ರಧಾನ,Patriarch
ಕುಲಪತಿಗಳು,Patriarchs
ಪೆಟ್ರೀಷಿಯನ್,Patrician
ಪಿತೃತ್ವ,Patrimony
ಪ್ಯಾಕ್ಸ್ ಬ್ರಿಟಾನಿಕಾ,Pax Britannica
ಪ್ಯಾಕ್ಸ್ ರೊಮಾನಾ,Pax Romana
ವಂಶಾವಳಿ,Pedigree
ವಂಶಾವಳಿ,Pedigree
ವಂಶಾವಳಿಯ ವ್ಯಕ್ತಿ,Pedigreed person
ಪೀರ್,Peer
ಪೀರ್,Peer
ಪೀರೇಜ್,Peerage
ಪೀರೇಜ್,Peerage
ಪೀರೇಜ್,Peerage
ಐರ್ಲೆಂಡ್‌ನ ಗೆಳೆಯರು,Peers of Ireland
ಸ್ಕಾಟ್ಲೆಂಡ್ನ ಗೆಳೆಯರು,Peers of Scotland
ಪೆನಿನ್ಸುಲರ್ ಅಭಿಯಾನ,Peninsular Campaign
ಪೆನಿನ್ಸುಲರ್ ಯುದ್ಧ,Peninsular war
ಪೆನ್ನಂಟ್,Pennant
ಜನರ ಸನ್ನದು (=ರಾಷ್ಟ್ರೀಯ ಚಾರ್ಟರ್),People's Charter (=National Charter)
ಪೀಪಲ್ಸ್ ಫ್ರಂಟ್ (=ಜನಪ್ರಿಯ ಮುಂಭಾಗ),People's front (=popular front)
ದ್ರೋಹ,Perfidy
ಅವಧಿ,Period
ಅವಧಿ,Period
ಪರಿಧಿ,Periphery
ಶಾಶ್ವತ ವಸಾಹತು,Permanent Settlement
ಶಾಶ್ವತ ಫೈಫ್,Perpetual fief
ಫ್ಯಾಲ್ಯಾಂಕ್ಸ್,Phalanx
ಫ್ಯಾಲ್ಯಾಂಕ್ಸ್,Phalanx
ಫೇರೋ,Phraoh
ಪಿಕ್ಟೋಗ್ರಾಮ್,Pictogram
ಪಿಕ್ಟೋಗ್ರಾಫ್,Pictograph
ಪಿಕ್ಟೋಗ್ರಾಫ್,Pictograph
ಯಾತ್ರಿಕ,Pilgrim
ಯಾತ್ರಿ ಪಿತಾಮಹರು,Pilgrim fathers
ಸುಲಿಗೆ,Pillage
ಸುಲಿಗೆ,Pillage
ಕಂಬ,Pillar
ಸ್ತಂಭ ಶಾಸನಗಳು (ಅಶೋಕನ),Pillar Edicts (of Ashoka)
ಸ್ತಂಭ ಶಾಸನಗಳು (ಅಶೋಕನ),Pillar Edicts (of Ashoka)
ಸ್ತಂಭ ಶಾಸನಗಳು (ಅಶೋಕನ),Pillar Edicts (of Ashoka)
ಪೈರೇಟ್,Pirate
ಪೈರೇಟ್,Pirate
ಪಿಚ್ಡ್ ಯುದ್ಧ,Pitched battle
ಕಥಾವಸ್ತು,Plot
ಪೋಲಿಸ್,Polis
ಪೋಲಿಸ್,Polis
ಪೊಲಿಟಾರ್ಚ್,Politarch
ರಾಜಕೀಯ ಏಜೆಂಟ್,Political Agent
ರಾಜಕೀಯ ಆಶ್ರಯ,Political asylum
ರಾಜಕೀಯ ನಿವಾಸಿ,Political Resident
ರಾಜಕೀಯ ಭಯೋತ್ಪಾದನೆ,Political terrorism
ಚುನಾವಣಾ ತೆರಿಗೆ,Poll tax
ಪಾಂಟೂನ್,Pontoon
ಪ್ರೀಮಿಯರ್,Premier
ಪ್ರೀಮಿಯರ್,Premier
ಪ್ರೀಮಿಯರ್‌ಶಿಪ್,Premiership
ಅಧ್ಯಕ್ಷತೆ,Presidency
ಅಧ್ಯಕ್ಷತೆ,Presidency
ಅಧ್ಯಕ್ಷರು,President
ಅಧ್ಯಕ್ಷರು,President
ಪ್ರೆಸಿಡಿಯಮ್,Presidium
ಪ್ರಧಾನ ಮಂತ್ರಿ,Prime Minister
ಪ್ರೈಮೊಜೆನಿಚರ್,Primogeniture
ರಾಜಕುಮಾರ,Prince
ರಾಜಕುಮಾರ,Prince
ಪ್ರಿನ್ಸ್ ಬಿಷಪ್,Prince Bishop
ಪ್ರಿನ್ಸ್ ಕನ್ಸೋರ್ಟ್,Prince Consort
ಪ್ರಿನ್ಸ್ ರೀಜೆಂಟ್,Prince Regent
ಪಿನ್ಸ್ ರೆಗ್ನೆಂಟ್,Pince regnant
ಪ್ರಿನ್ಸೆಸ್ ರೀಜೆಂಟ್,Princess Regent
ರಾಜಕುಮಾರಿ ರಾಯಲ್,Princess Royal
ಪ್ರಿನ್ಸಿಪಾಲಿಟಿ,Principality
ಪ್ರಿನ್ಸಿಪಾಲಿಟಿ,Principality
ಪ್ರಿನ್ಸಿಪಾಲಿಟಿ,Principality
ಬಹುಮಾನ,Prize
ಬಹುಮಾನ,Prize
ಪ್ರಶಸ್ತಿ ಹಣ,Prize money
ವೃತ್ತಿಪರ ಸೈನಿಕ,Professional soldier
ಭರವಸೆ,Promise
ಮುಂಚೂಣಿ ಕೋಟೆ,Promontory fort
ರಕ್ಷಿಸಿ,Protectorate
ರಕ್ಷಿಸಿ,Protectorate
ರಕ್ಷಿಸಿ,Protectorate
ಆಶ್ರಿತ,Protégé
ಮೂಲತತ್ವ,Provenance
ಮೂಲತತ್ವ,Provenance
ಮೂಲ ವ್ಯವಸ್ಥೆ,Provenance system
ಪರ-ಜಿಯೋನಿಸ್ಟ್,Pro-zionist
ಸಾರ್ವಜನಿಕ ಶತ್ರು,Public enemy
ಸಾರ್ವಜನಿಕ ಶತ್ರು,Public enemy
ಪಂಕ್ಟೇಶನ್ಸ್,Punctations
ಪ್ಯೂನಿಕ್ ಯುದ್ಧಗಳು,Punic wars
ಪ್ಯೂರಿಟನ್,Puritan
ಪುಟ್ಚ್,Putsch
ಕ್ವಾಡ್ರಿಗಾ,Quadriga
ಕ್ವಾಡ್ರುಪಲ್ ಮೈತ್ರಿ,Quadruple alliance
ಕ್ವೇಕರ್,Quaker
ರಾಣಿ,Queen
ರಾಣಿ ಪತ್ನಿ,Queen consort
ರಾಣಿ ವರದಕ್ಷಿಣೆ,Queen dowager
ಕ್ವೀಂಡಮ್,Queendom
ಕ್ವೀಂಡಮ್,Queendom
ರಾಣಿ ತಾಯಿ,Queen mother
ರಾಣಿ ರೆಗ್ನೆಂಟ್,Queen regnant
ಕ್ವಿಸ್ಲಿಂಗ್,Quisling
ಕ್ವಿಸ್ಲಿಂಗ್,Quisling
ಬಾಡಿಗೆ ಬಿಟ್ಟು,Quit rent
ಬತ್ತಳಿಕೆ,Quiver
ಕ್ವೊ ವಾರೆಂಟೊ,Quo warranto
ಜನಾಂಗ,Race
ಜನಾಂಗೀಯ ಮೇಲುಗೈ,Racial supremacy
ರ್ಯಾಕ್,Rack
ರ್ಯಾಕ್,Rack
ದಾಳಿ,Raid
ದಾಳಿ,Raid
ರಾಂಪಾರ್ಟ್,Rampart
ರಾಂಪಾರ್ಟ್,Rampart
ದರೋಡೆಕೋರರು,Ransack
ರಾನ್ಸಮ್,Ransom
ರಾನ್ಸಮ್,Ransom
ರಾವೇಜ್,Ravage
ರಾವಜಸ್,Ravages
ಸಾಮ್ರಾಜ್ಯ,Realm
ಹಿಂದಿನ ಸಿಬ್ಬಂದಿ,Rear guard
ಹಿಂದಿನ ಸಿಬ್ಬಂದಿ ಕ್ರಮ,Rear guard action
ಬಂಡಾಯಗಾರ,Rebel
ಬಂಡಾಯ,Rebellion
ಬಂಡಾಯದ ಗುರುತಿಸುವಿಕೆ,Recognition of insurgency
ಪುನರ್ನಿರ್ಮಾಣ,Reconduction
ವಿಚಕ್ಷಣ,Reconnaissance
ಪುನರ್ನಿರ್ಮಾಣ,Reconstruction
ರೆಕಾರ್ಡ್ ಮಾಡಿ,Record
ದಾಖಲೆ ಕಚೇರಿ,Record office
ರೆಕಾರ್ಡ್ ನಿವೃತ್ತಿ,Record retirement
ಕೆಂಪು ಶರ್ಟ್‌ಗಳು,Red shirts
ಸುಧಾರಣೆ,Reformation
ನಿರಾಶ್ರಿತ,Refugee
ರೆಗಾಲಿಯಾ,Regalia
ರೆಗಾಲಿಯಾ,Regalia
ರೆಗಾಲಿಯಾ,Regalia
ರೀಜೆನ್ಸಿ,Regency
ರಾಜಪ್ರತಿನಿಧಿ,Regent
ರಾಜಪ್ರತಿನಿಧಿ ರಾಣಿ,Regent queen
ರೆಜಿಸೈಡ್,Regicide
ರೆಜಿಸೈಡ್ಗಳು,Regicides
ಆಡಳಿತ,Regime
ಆಡಳಿತ,Regime
ಪ್ರದೇಶ,Region
ರೆಗ್ನಲ್ ವರ್ಷ,Regnal year
ರೆಗ್ನೆಂಟ್,Regnant
ರೆಗ್ನಮ್,Regnum
ರೀಚ್,Reich
ಆಳ್ವಿಕೆ,Reign
ಆಳ್ವಿಕೆ,Reign
ಆಳುವ ಕುಟುಂಬ,Reigning family
ಭಯೋತ್ಪಾದನೆಯ ಆಳ್ವಿಕೆ,Reign of terror
ಭಯೋತ್ಪಾದನೆಯ ಆಳ್ವಿಕೆ,Reign of terror
ಬಲಪಡಿಸಲು,Reinforce
ಬಲವರ್ಧನೆ,Reinforcement
ಮರುಸ್ಥಾಪನೆ,Reinstatement
ಮರುಹೂಡಿಕೆ ಮಾಡಿ,Reinvest
ರಿಲೇ ಪೋಸ್ಟ್,Relay post
ರಿಲೇ ಮಾರ್ಗ,Relay route
ರಿಲೇ ಸಿಸ್ಟಮ್,Relay system
ಬಿಡುಗಡೆ,Release
ಬಿಡುಗಡೆ,Release
ತ್ಯಜಿಸುವಿಕೆ,Renunciation
ತ್ಯಜಿಸುವಿಕೆ,Renunciation
ರೆಪರ್ಟರಿ (=ದಾಸ್ತಾನು),Repertory (=inventory)
ಭಂಡಾರ,Repository
ಭಂಡಾರ,Repository
ಗಣರಾಜ್ಯ,Republic
ಗಣರಾಜ್ಯೋತ್ಸವ,Republic Day
ರೆಸ್ಕ್ರಿಪ್ಟ್,Rescript
ರೆಸ್ಕ್ರಿಪ್ಟ್,Rescript
ನಿವಾಸಿ,Resident
ಪುನಃಸ್ಥಾಪನೆ,Restoration
ಪುನರುತ್ಥಾನ,Resurrection
ಪುನರುತ್ಥಾನ,Resurrection
ಹಿಮ್ಮೆಟ್ಟುವಿಕೆ,Retreat
ಹಿಮ್ಮುಖ (ನಾಣ್ಯದ),Reverse (of a coin)
ದಂಗೆ,Revolt
ಕ್ರಾಂತಿ,Revolution
"ಕ್ರಾಂತಿ, ಫ್ರೆಂಚ್","Revolution, French"
ಕ್ರಾಂತಿ ಗ್ಲೋರಿಯಸ್,Revolution Glorious
"ಕ್ರಾಂತಿ, ಕೈಗಾರಿಕಾ","Revolution, Industrial"
ಏರುತ್ತಿದೆ,Rising
ರಾಟನ್-ಬರೋ,Rotten-borough
ರಫ್ ರೈಡರ್ಸ್,Rough Riders
ರೌಂಡ್-ಹೆಡ್ಸ್,Round-heads
ರೂಟ್,Rout
ರಾಯಲ್ ಪ್ರೇಕ್ಷಕರು,Royal audience
ರಾಯಲ್ ಚಾರ್ಟರ್,Royal charter
ರಾಯಲ್ ಕ್ರೆಸ್ಟ್,Royal crest
ರಾಯಲ್ ಕ್ರೆಸ್ಟ್,Royal crest
ರಾಯಲ್ ತೀರ್ಪು,Royal decree
ರೂಬ್ರಿಕ್,Rubric
ಅವಶೇಷಗಳು,Ruins
ಓಟಗಾರ,Runner
ವಿಧ್ವಂಸಕತೆ,Sabotage
ಸೇಬರ್,Sabre
ಸೇಬರ್ಸ್,Sabres
ತ್ಯಾಗ,Sacrifice
ತ್ಯಾಗ,Sacrifice
ತ್ಯಾಗ,Sacrifice
ಸುರಕ್ಷಿತ ನಡವಳಿಕೆ,Safe conduct
ರಕ್ಷಿಸಲು,Safeguard
ರಕ್ಷಿಸಲು,Safeguard
ಸಂರಕ್ಷಣಾ ಕರ್ತವ್ಯಗಳು,Safeguarding duties
ಸ್ಯಾಲಿ,Sally
ಸ್ಯಾಲಿ-ಪೋರ್ಟ್,Sally-port
ರಾಜದಂಡ,Sceptre
ಸ್ಕಿಮಿಟರ್,Scimitar
ಎರಡನೇ ಎಸ್ಟೇಟ್,Second estate
ಪಂಥ,Sect
ಪಂಥ,Sect
ಸೆಳವು,Seizure
ಸೆಳವು,Seizure
ಸೆನೆಟ್,Senate
ಸೆನೆಟ್,Senate
ಸೆನೆಟ್,Senate
ಸೆನೆಟ್,Senate
ಸೆರ್ಫ್ (=ಬೋರ್ಡಾರ್ ಅಥವಾ ವಿಲನ್),Serf (=bordar or villein)
ಸೆರ್ಫ್ (=ಬೋರ್ಡಾರ್ ಅಥವಾ ವಿಲನ್),Serf (=bordar or villein)
ಜೀತಪದ್ಧತಿ (ಸೆರ್ಫಡ್ ಅಥವಾ ಜೀತದಾಳು,Serfdom (serfhood or serfage)
ಜೀತಪದ್ಧತಿ (ಸರ್ಫೂಡ್ ಅಥವಾ ಜೀತದಾಳು,Serfdom (serfhood or serfage)
ನೆರಳು ರಾಜ,Shadow king
ಶಿಪ್ ಮನಿ,Ship Money
ಆಘಾತ ಪಡೆಗಳು (=ಚಂಡಮಾರುತ ಪಡೆಗಳು),Shock troops (=storm troops)
ಸಂಕ್ಷಿಪ್ತ ಸಂಸತ್ತು,Short Parliament
ಚಕಮಕಿ,Skirmish
ಗುಲಾಮ,Slave
ಗುಲಾಮಗಿರಿ,Slavery
ಗುಲಾಮಗಿರಿ,Slavery
ಸೈನಿಕ ರಾಜನೀತಿಜ್ಞ,Soldier statesman
ಈಟಿ,Spear
ಈಟಿ-ತಲೆ,Spear-head
ಗೋಳ,Sphere
ಸ್ಫ್ರಾಜಿಸ್ಟಿಕ್ಸ್,Sphragistics
ವ್ಯವಸ್ಥೆಯನ್ನು ಹಾಳುಮಾಡುತ್ತದೆ,Spoils system
ಸ್ಕ್ವೈರ್,Squire
ಸ್ಕ್ವೈರ್,Squire
ಸ್ಕ್ವೈರಿಯಾರ್ಕಿ,Squirearchy
ಸ್ಕ್ವೈರಿಯಾರ್ಕಿ,Squirearchy
ಪ್ರಮಾಣಿತ,Standard
ಪ್ರಮಾಣಿತ-ಧಾರಕ,Standard-bearer
ನಿಂತಿರುವ ಸೈನ್ಯ,Standing army
ಸ್ಥಾಯಿ ಆದೇಶಗಳು,Standing orders
ಸ್ಥಾಯಿ ಆದೇಶಗಳು,Standing orders
ಸ್ಟೇಟ್ಸ್ಮನ್,Statesman
ಕಲ್ಲಿನ ಶಾಸನ,Stone inscription
ಚಂಡಮಾರುತದ ಪಡೆಗಳು,Storm troops
ತಂತ್ರಗಾರಿಕೆ,Stratagem
ತಂತ್ರ,Strategy
ತಂತ್ರ,Strategy
ತಂತ್ರ,Strategy
ಸ್ಟ್ರಾಟೋಕ್ರಸಿ,Stratocracy
ಕಲಹ,Strife
ಕಲಹ,Strife
ಬಲವಾದ ಹಿಡಿತ,Strong hold
ಬಲವಾದ ಹಿಡಿತ,Strong hold
ಅಧೀನ ಟ್ಯಾಲಿಯನ್ಸ್,Subsidiary talliance
ಉತ್ತರಾಧಿಕಾರ,Succession
ಉತ್ತರಾಧಿಕಾರಿ,Successor
ಮತದಾನದ ಹಕ್ಕು,Suffrage
ಮತದಾರ,Suffragist
ಸುಲ್ತಾನರು,Sultanate
ಸುಲ್ತಾನರ ಕಾಲ,Sultanate period
ಶರಣಾಗತಿ,Surrender
ಸುಜರೈನ್,Suzerain
ಸುಜರೈನ್ ರಾಜ್ಯ,Suzerain state
ಖಡ್ಗಧಾರಿ,Swordsman
ತಮ್ಮನಿ ಸೊಸೈಟಿ,Tammany Society
ಟೆಂಪರ್ಡ್ ಕತ್ತಿ,Tempered sword
ಬಾಡಿಗೆದಾರ,Tenant
ಬಾಡಿಗೆದಾರ,Tenant
ಪ್ರಾಂತ್ಯ,Territory
ಪ್ರಾಂತ್ಯ,Territory
ಪ್ರದೇಶದ ಸರ್ಕಾರ,Territory government
ಭಯೋತ್ಪಾದನೆ,Terrorism
ಮೂರನೇ ಎಸ್ಟೇಟ್,Third estate
ಮೂರು ಎಸ್ಟೇಟ್ಗಳು,Three estates
ಟೋಲ್,Toll
ಸುಂಕದ ಮನೆ,Toll house
ಸಮಾಧಿ,Tomb
ಟೋರಿ,Tory
ಟೋಟೆಮ್,Totem
ಗೋಪುರ,Tower
ಗೋಪುರ,Tower
ವಿಜಯದ ಗೋಪುರ,Tower of victory
ದೇಶದ್ರೋಹಿ,Traitor
ವಿಶ್ವಾಸಘಾತುಕತನ,Treachery
ದೇಶದ್ರೋಹ,Treason
ಒಪ್ಪಂದ,Treaty
ಯುದ್ಧದ ಮೂಲಕ ಪ್ರಯೋಗ (=ಯುದ್ಧದ ಮೂಲಕ ಜಾಡು),Trial by battle (=trail by combat)
ಶ್ರದ್ಧಾಂಜಲಿ,Tribute
ಶ್ರದ್ಧಾಂಜಲಿ,Tribute
ಗೌರವ ಭೂಮಿ,Tribute land
ಟ್ರಿಪಲ್ ಮೈತ್ರಿ,Triple alliance
