Hindi,English
अणु पैरामीटर,Molecular parameter
आण्विक भौतिकी,Molecular physics
आण्विक ध्रुवण,Molecular polarization
आण्विक पम्प,Molecular pump
आण्विक पुनर्विन्यास,Molecular rearrangement
आण्विक अपवर्तन,Molecular refraction
ग्राम-अणुक घूर्णन,Molecular rotation
आण्विक सैन्डविच,Molecular sandwich
आण्विक प्रकीर्णन,Molecular scattering
"अणु बौछार, अणु वर्षण",Molecular shower
अणु का साइज,Molecular size
"आण्विक आकाश, अणु निर्देशाकाश",Molecular space
अणु जाति,Molecular species
आण्विक स्पेक्ट्रमिकी,Molecular spectroscopy
आण्विक स्पेक्ट्रम,Molecular spectrum
अणु की चाल,Molecular speed
आण्विक स्थायित्व,Molecular stabililty
आण्विक अवस्था,Molecular state
आण्विक निरोधी क्षमता,Molecular stopping power
आण्विक अभिस्रवण,Molecular streaming
आण्विक संरचना,Molecular structure
अणु-पृष्ठीय ऊर्जा,Molecular surface energy
आण्विक ताप,Molecular temperature
अणु-रूपांतरण,Molecular transformation
आण्विक वेग,Molecular velocity
आण्विक तरंग दैर्घ्य,Molecular wavelength
"अणु भार, आण्विक भार",Molecular weight
आण्विक लब्धि,Molecular yield
अणुसंख्याता,Molecularity
अणु,Molecule
अणु इलैक्ट्रॉनिकी,Molelectronics
आघूर्ण,Moment
आघूर्ण भुजा,Moment arm
आघूर्ण गुणांक,Moment coefficient
आघूर्ण बंटन फलन,Moment distribution function
आघूर्णजनक फलन,Moment generating function
बलयुग्म का आघूर्ण,Moment of a couple
बल का आघूर्ण,Moment of a force
विक्षेपण का आघूर्ण,Moment of dispersion
बारंबारता-बंटन का आघूर्ण,Moment of frequency distribution
जड़त्व आघूर्ण,Moment of inertia
संवेग आघूर्ण,Moment of momentum
आघूर्ण संकारक,Moment operator
क्षणिक,Momentary
संवेगाभ,Momentoid
संवेग,Momentum
संवेग परिसीमा पृष्ठ,Momentum boundary layer
संवेग घटक,Momentum component
संवेग संरक्षण,Momentum conservation
संवेग वितरण,Momentum distribution
संवेग-समीकरण,Momentum equation
संवेग फ़िल्टर,Momentum filter
संवेग-प्रवाह-प्रदिश,Momentum flow tensor
संवेग फ़्लक्स,Momentum flux
संवेग अभिवाह घनत्व,Momentum flux density
संवेग-वर्जित,Momentum forbidden
संवेग संकारक,Momentum operator
पार्य संवेग बैंड,Momentum pass band
संवेग निरूपण,Momentum representation
संवेग-प्रमेय,Momentum theorem
संवेगी प्रणोद,Momentum thrust
संवेग-स्थानांतरण-सिद्धांत,Momentum transfer theory
संवेग सदिश,Momentum vector
एकपरमाण्विक,Monatomic
एकपरमाणु परत,Monatomic layer
एककर्णी श्रवण,Monaural listening
"मॉनीटर, मॉनीटर करना, गतिक विश्लेषक",Monitor
मानीटर गणित्र,Monitor counter
नियंत्रण नेमका,Monitor routine
मानीटर प्रकीर्णक,Monitor scatterer
मानीटर पद्धति,Monitor system
मानीटर दूरदर्शक,Monitor telescope
मानीटरन,Monitoring
मानीटर प्रवर्धक,Monitoring amplifier
मानीटर ऐन्टेना,Monitoring antenna
मानीटरन-युक्ति,Monitoring device
मानीटरन धारामापी,Monitoring galvanometer
मानीटर-नलिका,Monitoring tube
समोर्जी,Mono-energetic
समोर्ज विकिरण,Mono-energetic radiation
"एकाणुक परत, एकाणुक स्तर, एक स्तर, एकल परत",Mono-layer
"एकपरमाणुक, एकपरमाण्विक",Monoatomic (=monatomic)
एकपरमाणुक गैस,Monoatomic gas
एकपरमाणु रैखिक जालक,Monoatomic llinear lattice
"मोनोमीटर, स्वारमापी",Monochord
"एकवर्णी विकिरण, एकावृति विकिरण",Monochromated radiation
एकवर्णी,Monochromatic
एकवर्णी किरण पुंज,Monochromatic beam
एकवर्णी प्रकाश,Monochromatic light
एकवर्णी तापक्रम,Monochromatic temperature scale
"एकवर्णी कंपन, एकावृत्तिक कंपन",Monochromatic vibrations
"एकवर्णी एक्स किरण, समांगी एक्स-किरण",Monochromatic X-rays
"मोनोक्रोमेटर, एकवर्णित्र",Monochromator
एकवर्ण अभिग्राही,Monochrome receiver
एकवर्ण संचरण,Monochrome transmission
एकवर्णी,Monochromic
एकनताक्ष,Monoclinic
पृष्ठी दृढ़ता वायु फ्रेम,Monocoque
एकाकी क्रिस्टल,Monocrystal
एकनेत्री सूक्ष्मदर्शी,Monocular microscope
समापकीर्ण तंत्र,Monodisperse system
समोर्जी किरणपुंज,Monoenergetic beam
समोर्जी बीटा किरणें,Monoenergetic beta rays
"एकोर्जीय न्यूट्रॉन, सम-ऊर्जी न्यूट्रॉन",Monoenergetic neutrons
समोर्जी प्रोटॉन,Monoenergetic proton
मोनोफायर,Monofier
एक प्रावस्था प्रणोदक,Monogole (monopropellant)
समवेगी कण,Monokinetic particles
एकीकृत परिपथ,Monolithic circuit (=integrated circuit)
एकाकारी,Monomorph
"एकरूपता, एकैक समाकारिता",Monomorphism
एकप्रावस्था प्रणोदक,Monopellant
एकपथ ध्वनि व्यवस्था,Monophonic sound system
एकपंखी विमान,Monoplane
एकध्रुव,Monopole
एकध्रुवी ऐन्टेना,Monopole antenna
"एकध्रुव आवेश, एकध्रुवी चार्ज",Monopole charge
एकध्रुव आघूर्ण,Monopole movement
एकध्रुव-सामर्थ्य,Monopole strength
एगाधिगृध नियंत्रण,Monopolistic control
एकस्पंदी रेडार,Monopulse radar
मोनोट्रॉन परीक्षण,Monoron test
मोनोस्कोप,Monoscope
एकस्थितिक बहुकंपित्र,Monostable multivibrator
एकस्थितिक बहुकंपित्र परिपथ,Monostable multivibrator circuit
एकस्थितिक कालद,Monostable time
एकस्थितिक रेडार,Monostatic radar
एकदिष्ट अनुक्रिया,Monotionic response
एकदिष्ट,Monotone
एकदिष्ट वर्ग,Monotone class
एकदिष्ट फलन,Monotonic function
एकदिष्ट अनुक्रम,Monotonic sequence
मोनोट्रॉन,Monotron
"एकरूपी, एकानुवर्ती",Monotropic
एकवेगी किरणपुंच,Monovelocity beam
मोंताज,Montage
चंद्र धनुष,Moon bow
चंद्र भ्रम,Moon illusion
मोपा,Mopa
मोर्स समीकरण,Morse equation
मोर्स कुंजी,Morse key
मोर्स विभव,Morse ppotential
मोर्स ध्वनित्र,Morse sounder
धातु ऑक्साइड अर्धचालक,MOS (=metal oxide semiconductor)
"मोज़ेक-क्रिस्टल, मोज़ेक स्फाटक",Mosaic crystal
मोज़ेक इलेक्ट्रोड,Mosaic electrode
मोस डायोड,Mosdiode
"मोस्फेट, धातु आक्साइड अर्धचालक",Mosfet
मोस्फील्ड प्रभाव ट्रांजिस्टर,Mosfield effect transisstor
मोज़्ले-आरेख,Mosley diagram
प्रायिकतम,Most probable
प्रायितकम प्रावस्था-बंटन,Most probable phase distribution
प्रायिकतम वेग,Most probable velocity
मातृ क्रिस्टल,Mother crystal
जनक साँचा,Mother shell
मोटिफ़ सूत्र,Motif formula
"अनुदूरीक रूपांतरण, गति",Motion
सापेक्ष जड़त्व की गति,Motion of relative inertia
चल चित्र,Motion picture
चल चित्र कैमरा,Motion picture camera
चलचित्र प्रक्षेपी,Motion projector
चल चित्र पिकअप,Motion-picture pick up
गतिक विद्युत् वाहक बल,Motional electromotive force
गतिज प्रतिबाधा,Motional impedance
गतिज प्रेरण,Motional induction
"गतिहीन, अचल",Motionless
गति सतर्कता,Motionmindedness
अभिप्रेरक बल,Motivating force
"गतिदायी शक्ति, गामक शक्ति",Motive power
"गतिदायकता, गामकता",Motivity
"प्रेरक, मोटर",Motor
मोटर जनित्र,Motor generator
मोटर लांच सर्विस,Motor launch service
"मोटर नौका, फटफटाना",Motorboat
फटफटी-कम्पन,Motorboating
मॉट प्रकीर्णन,Mott scattering
मॉट प्रकीर्मन सूत्र,Mott scattering formula
"आरोपण, आरोह, धारक, आरोप्य, पहाड़ी",Mount
"मुख, मुँह",Mouth
"मुखिका, प्रवक्ता",Mouth piece
सर्पी संपर्कक,Movable contact
सर्पी संपर्कक,Movable jockey
चल घिरनी,Movable pully
चलन गति,Movement of locomotion
चलचित्र,Movie
चलचित्र-कैमरा,Movie camera
मूवीटोन,Movietone
गतिमान,Moving
गतिमान अक्ष,Moving axis
गतिमान पिंड,Moving body
गतिमान कोटर,Moving cavity
गतिमान आवेश,Moving charge
गतिमान गुच्छ लंबन,Moving cluster parallax
"चल कुंडली-धारामापी, चल कुंडली-गैल्वैनोमीटर",Moving coil galvanometer
चल कुंडली यंत्र,Moving coil instrument
चल कुंडली माइक्रोफोन,Moving coil microphone
चल कुंडली पिक अप,Moving coil pick up
गतिमान चालक,Moving conductor
गतिमान चालक विद्युत् चुम्बकीय भूकम्पलेखी,Moving conductor electromagnetic seismograph
गतिमान नियत बल,Moving constant force
गतिमान निर्देश-तंत्र,Moving coordinate system
गतिमान द्विध्रुव,Moving dipole
गतिमान विक्षोभ,Moving disturbance
गतिमान अवयव,Moving element
गतिमान तंत्र,Moving frame
चललोह धारामापी,Moving iron galvanometer
"चल जाग क्रियाविधि, चल प्लुति क्रिया-विधि",Moving jog mechanism
चल लोड,Moving load
चल चुंबक धारामापी,Moving magnet galvanometer
चल चुंबक वर्गीय,Moving magnet type
गतिमान द्रव्य,Moving material
"गतिमान माध्यम, गतिमान प्रेक्षक",Moving medium
गतिमान प्रेक्षक,Moving observer
गतिमान प्रेक्षक विधि,Moving observer technique
गतिमान बिंदु,Moving point
गतिमान बिंदु आवेश,Moving point charge
गतिमान स्पंदमान बल,Moving pulsating force
गतिमान परिसर-संचित्र,Moving range chart
"चल स्क्रू प्रभ्रंश, चल पेंच प्रभंश",Moving screw dislocation
गतिमान ऋतुनिष्ठ विचरण,Moving seasonal variation
गतिमान निकाय,Moving system
चलटेप प्रेषित्र,Moving tape transmitter
चल लक्ष्य सूचक रेडार,Moving target indicator
गतिमान भार,Moving weight
मोर्स फलन,Mrse function
प्रधान तुल्यकालक स्पंद,Mster synchronisation pulse
म्यू,Mu
म्यू गुणांक,Mu factor
"म्यू धातु, M-धातु",Mu metal
म्यू-नलिका,Mu tube
"म्यू-मेसॉन, M-मेसॉन",Mu-(M) meson
म्यूलर वृत्त,Muler circle
मूलर पद्धति,Muller's method
बहु संसाधन,Multi processing
बहुवर्ग मॉडल,Multi-group model
बहुपता,Multiaddress
बहु ऐनोडी नलिका,Multianode tube
बहुछिद्री युक्ति,Multiaperture device
"मल्टीअर, आयाम तुलनित्र",Multiar
बहुबैंड ऐन्टेना,Multiband antenna
बहुकोटर क्लाइस्ट्रॉन प्रवर्धक,Multicavity klystron amplifier
बहुकोटर क्लाइस्ट्रॉन नलिका,Multicavity klystron tube
बहुकोशी शृंग,Multicellular horn
बहुकोशी वोल्टतामापी,Multicellular voltmeter
बहु चैनल स्पंद उच्चता विश्लेषक,Multichannel pulse height analyser
बहु चैनल रेडियोप्रेषित्र,Multichannel radio transmitter
बहु चैनली स्टीरियो,Multichannel stereo
बहुचैनली टेलीफोन संचार,Multichannel telephone communication
बहुचैनलन,Multichanneling
बहु चिप्पी परिपथ,Multichip circuit
बहुपरिपथ,Multicircuit
बहुघटक,Multicomponent
बहुसंपर्क कालद,Multicontact timer
बहुतारी केबल,Multicore cable
बहुयुग्मक,Multicoupler
बहुगत निर्णय-समस्या,Multidecision problem
बहुइलेक्ट्रोडी वाल्व,Multielectrode valves
बहु-अवयव व्यूह,Multielement array
अनेक उत्सर्जक ट्रांजिस्टर,Multiemitter transistor
बहुविनिमय तंत्र,Multiexchange system
बहु आवृत्ति प्रेषित्र,Multifrequency transmitter
बहुग्रिडी परिवर्तित्र,Multigrid converter
बहुछिद्री युग्मक,Multihole coupler
बहु प्लुति संचरण,Multihop transmission
बहुलमापी,Multimeter
बहुविधा संचरण,Multimode propagation
बहुविधाकरण,Multimoding
मल्टीपेक्टर,Multipactor
मल्टीपेक्टर अंतराल लोडन,Multipactor gap loading
बहु पार,Multipass
बहुपार छांट,Multipass sort
बहुपथी निरसन,Multipath cancellation
बहुपथी अभिग्रहण,Multipath reception
बहुपथी संचरण,Multipath transmission
बहुकला धारा,Multiphase current
बहुचरण माध्यम,Multiphase medium
बहुचरण प्रतिचयन,Multiphase sampling
बहुकलीय ट्रांसफार्मर,Multiphase transformer
बहुफोटॉन अवशोषण,Multiphoton absorption
बहुफोटॉन आयनन,Multiphoton ionization
बहुछत्री,Multipileate
बहुपट्टिका-अभ्रकोष्ठ,Multiplate cloud chamber
बहुगुणित अधिशोषण,Multiple absorption
बहु पता,Multiple address (=multi address)
बहुपता कोड,Multiple address code
बहुपता अनुदेश,Multiple address instruction
बहुल कोण,Multiple angle
बहुकिरणपुंज व्यतिकरणमापी,Multiple beam I nter-ferometer
बहु परिपथ,Multiple circuit
बहुल संपात,Multiple coincidence
"बहुसंस्पर्श, बहुसंपर्क",Multiple contact
बहुतारी केवल,Multiple cord
बहुविद क्षय,Multiple decay
बहुविद विघटन,Multiple disintegration
बहुलित प्रतिध्वनि,Multiple echo
बहु भरण,Multiple feed
बहुफ्रेम,Multiple frame
बहु गेटन,Multiple gating
बहु शृंग,Multiple horns
बहु आयनन,Multiple ionization
बहु संपर्क जैक,Multiple jack
बहुक स्तर,Multiple level
बहुल मापन,Multiple metering
बहुगुण मॉडुलन,Multiple modulation
बहुन्यूट्रॉन निवेशन,Multiple neutron addition
बहुकेन्द्रक सिद्धान्त,Multiple nuclei theory
बहुकार्य प्रचालन,Multiple operation
बहु युग्मक,Multiple pair
बहुक संक्रमण,Multiple passage
बहुपथ घटना,Multiple path phenomenon
बहु छिद्रण,Multiple perforation
बहु-प्वासाँ-बंटन,Multiple Poisson distribution
बहुक परिशुद्धता,Multiple precision
बहुक आदिम कोष्ठिका,Multiple primitive cell
बहुक प्रिज्म,Multiple prism
बहु क्रमदेशन,Multiple programming
बहु छिद्रण,Multiple punching
बहु परासी सूचक,Multiple range indicator
बहुगुण अभिक्रिया,Multiple reaction
बहुलित परावर्तन,Multiple refection
बहुअनुनादी तंत्र,Multiple resonant system
बहुलित प्रकीर्णन,Multiple scattering
भूकंपमापी पुंज,Multiple seismometer
बहु बिन्दु क्रमवीक्षण,Multiple spot scanning
बहुक तारा,Multiple star
बहुकार्य स्विच,Multiple switch
बहु लक्ष्य तंत्र,Multiple target system
"बहुपरीक्षण सज्जा, बहुपरीक्षण संभार",Multiple test outfit
बहुपथ परिसर,Multiple track range
बहुलित गमन,Multiple transit
बहुखेप प्रतिध्वनि,Multiple trip echo
बहुसमस्वरित ऐन्टेना,Multiple tuned antenna
बहु-समस्वरित एन्टेना,Multiple tuned antenna
"बहुयमलन, बहुयमल",Multiple twinning
बहुमानी फलन,Multiple valued function
बहुमानी विभव,Multiple valued potential
बहुसंस्पर्श विधि,Multiple-contact method
बहुइलेक्ट्रोड प्रतिरोधकता संलेखन,Multiple-electrode rresistivity logging
बहु पदी किरण संचरण,Multiple-hop ray transmission
बहुक,Multiplet
बहुक संरचना,Multiplet structure
मल्टीप्लेक्स,Multiplex
मल्टीप्लेक्स उपस्कर,Multiplex equipment
मल्टीप्लेक्स होलोग्राफी,Multiplex holography
बहुसंकेतक,Multiplexer
बहुसंकेतन,Multiplexing
मल्टीप्लेक्स मशीन,Multiplexing machine
गुणन,Multiplication
गुणनांक,Multiplication constant
गुणन कारक,Multiplication factor
गुणन काल,Multiplication time
गुणनात्मक प्रभाव,Multiplicative effect
गुणज मिश्रण,Multiplicative mixing
संवर्धनी वर्षण,Multiplicative shower
"गुणन लंबाई, गुणन दैर्घ्य",Multiplicaton length
गुणक,Multiplicator
बहुकता,Multiplicity
गुणक,Multiplier
गुणक त्वरक प्रणाली,Multiplier accelerator system
गुणक विश्लेषण,Multiplier analysis
गुणक घटक,Multiplier component
गुणक समीकरण,Multiplier equation
गुणक सूत्र,Multiplier formula
"गुणक प्रकाशनली, गुणक फोटोनली",Multiplier phototube
गुणक मान,Multiplier value
संवर्धनी संघट्ट,Multiplilcative collision
"गुणा करना, संवर्धन",Multiply
बहुसंबंधित अतिचालक,Multiply connected superconductor
बहु आयनित,Multiply ionised
"गुणन यंत्र, गुणन छेदन",Multiplying punch
बहुध्रुवी,Multipolar
बहुध्रुवी आर्मेचर,Multipolar armature
बहुध्रुवी महीन,Multipolar machine
बहुध्रुव,Multipole
बहुध्रुव प्रसार,Multipole expansion
बहुध्रुव आक्षेत्र,Multipole figld
बहुध्रुव-आघूर्ण,Multipole moment
बहुध्रुव क्रम,Multipole order
बहुध्रवी विकिरण,Multipole radiation
बहुध्रुवी निरूपण,Multipole representation
बहुध्रुवी संक्रमण,Multipole transition
बहु-क्रमादेशन,Multiprogramming
बहु-क्रमादेश पर्यवेक्षक,Multiprogramming supervisor
बहु-प्रावस्था प्रणोदक,Multipropellant
बहुउद्देशीय परावर्तनमापी,Multipurpose reflectometer
बहुदरमापी,Multirate meter
बहु अनुनादी लाइन,Multiresonant line
"बहुचरणी, बहुपदी",Multistage
बहुपदी प्रवर्धक,Multistage amplifier
बहुपद प्रक्रम,Multistage process
बहुचरणी पंक्तीकरण,Multistage queuing
"बहुक्रम राकेट, बहुचरणी राकेट",Multistage rocket
बहुपद एकस्वरित प्रवर्धक,Multistage single tuned amplifier
बहुधारी तंतु,Multistrand filament
बहुपथी अभिलेखन तंत्र,Multitrack recording system
बहु एकक ऐन्टेना,Multiunit antenna
अनेकमानी,Multivalued
अनेकमानिता,Multivaluedness
बहुवाल्वी प्रवर्धक,Multivalve amplifier
बहुसदिश,Multivector
बहुकंपित्र,Multivibrator
बहुकंपित्र दोलित्र,Multivibrator oscillator
बहुवोल्टता मापी,Multivoltmenter
बहुतार ऐन्टेना,Multiwire antenna
"म्यूऑन, म्यूमेसॉन",Muon
"म्यूआनी चार्ज, म्यूआनी आवेश",Muonic charge
म्युओनियम,Muonium
मूसा ऐन्टेना,Musa antenna
मश,Mush
बाघा क्षेत्र पथ क्षेत्र,Mush area
मश कुंडली,Mush coil
मशन त्रुटि,Mushing error
संगीत,Music
संगीतिक स्वरूप,Music quality
संगीत कक्ष,Music room
स्वर ग्राम,Music scale
"संगीत, संगीतिक",Musical
संगीत ध्वनिकी,Musical acoustics
संगीत ध्वानिकी,Musical acoustics
संगीत पेटी,Musical box
सुस्वर प्रतिध्वनि,Musical echo
गायक ज्वाला,Musical flame
"वाद्य, साज, बाजा",Musical instrument
स्वरान्तराल,Musical interval
सुस्वर ध्वनि,Musical sound
स्वर लिपि,Musicalnotation
संगीतिक स्वर,Musicalnote
परिवर्ती ध्रुवण घूर्णन,Mutarotation
चुपकरण,Muting
चुपकारी नियंत्रण,Muting control
चुपकरण सुग्राहिता,Muting sensitivity
चुपकारी स्विच,Muting switch
चुपकारी तंत्र,Muting systems
"पारस्परिक, अन्योन्य",Mutual
पारस्परिक दिगंश,Mutual azimuth
अन्योन्य चालकत्व,Mutual conductance
पारस्परिक प्रतिबाधा,Mutual impedance
अन्योन्य प्रेरकत्व,Mutual inductance
अन्योन्य प्रेरण,Mutual induction
पारस्परिक स्थितिज ऊर्जा,Mutual potential energy
पारस्परिक प्रतिसार,Mutual recession
परस्पर अपवर्जी,Mutually exclusive
परस्पर अपवर्जी घटनाएँ,Mutually exclusive events
परस्पर क्षेप्य कूर्चिकाएँ,Mutually projective pencil
परस्पर समाधेय पथ,Mutually reconcilable path
परस्पर विचित्र माप,Mutually singular measure
मुजिक,Muzhik
नाल मुखी वेग,Muzzle velocity
mv नलिका,Mv tube
माइलर संधारित्र,Mylar capacitor
"निकट दृष्टि, मायोपिया",Myopia
मीरियाफोन,Myriaphone
N इलेक्ट्रॉन,N electron
अविम आघूर्ण गुणांक,N ondimensional coefficient of moment
N-कोश,N shell
n-पिंड समस्या,N-body problem
N-प्रदर्श,N-display
n-p-i-n ट्रांजिस्टर,N-p-i-n transisstor
n-p-i-n ट्रायोड ट्रांजिस्टर,N-p-i-n triode tranasistor
n-विस्थापन,N-shift
n-विस्थापन नियम,N-shift rule
n-प्रकार की चालकता,N-type conductivity
n-प्ररूपी अर्ध चालक,N-type semiconductor
संचालनीय ग्रह,Naigational planet
"नख, कील",Nail
कील शीर्षी बंध,Nail head bond
तथा पूरक,NAND
तथा पूरक द्वार,NAND gate
नैनो,Nano
नैनोग्राम (मात्रक),Nanogram (unit)
नैनोमीटर,Nanometer
नैनो-सेकंड,Nanosecond
संकीर्ण बैंड अक्ष,Narrow band axis
संकीर्ण किरणपुंज अवशोषण,Narrow beam absorption
"संकुचित नाक, संकुचित नासिका",Narrow nose
संकीर्ण अवरोध,Narrow obstacle
"संकीर्ण-अंतराल स्फुलिंग कोष्ठ, कक्ष",Narrow-gap spark chamber
अनुनासिकन,Nasallisation
प्राकृतिक बाहुल्य,Natural abundance
प्राकृतिक सक्रियता,Natural activity
स्वाभाविक प्रवेश्यता,Natural admittance
स्वाभाविक ऐन्टेना-आवृत्ति,Natural antenna frequency
प्राकृतिक पृष्ठभूमीय विकिरण,Natural background radiation
प्राकृतिक बीटा किरण स्पेक्ट्रम,Natural beta ray spectra
प्राकृतिक परिसीमा प्रतिबंध,Natural boundary condition
"स्वाभाविक चौड़ाई, नैज चौड़ाई",Natural breadth (of spectral lines)
प्राकृतिक पृथुलन,Natural broadening
प्राकृतिक वर्ण अभिग्रहण,Natural colour reception
स्वाभाविक संवहन,Natural convection
स्वाभाविक प्रवात,Natural draft
"स्वाभाविक आवृत्ति, प्राकृतिक आवृत्ति",Natural frequency
प्राकृतिक ईधन,Natural fuel
प्राकृतिक गामाविकिरण तीव्रता,Natural gamma-radiation intensity
"प्राकृत गैस, प्राकृतिक गैस",Natural gas
स्वाभाविक रेखा पृथुलता,Natural line width
प्राकृतिक चुंबक,Natural magnet
प्राकृतिक ध्रुवण घूर्णकता,Natural optical activity
"प्राकृतिक दोलन, स्वाभाविक दोलन",Natural oscillation
स्वाभाविक आवर्तकाल,Natural period
प्राकृतिक विकिरण,Natural radiation
स्वाभाविक अनुनाद,Natural resonance
प्राकृतिक अवस्था,Natural state
सहज प्रणाली,Natural system
स्वाभाविक सहन सीमा,Natural tolerance limit
स्वाभाविक सहन परिसर,Natural tolerance range
प्राकृतिक त्रिफलक,Natural trihedral
प्राकृतिक प्ररूपण,Natural typification
प्राकृतिक यूरेनियम रिऐक्टर,Natural uranium reactor
"स्वाभाविक कंपन, प्राकृतिक कंपन",Natural vibrations
स्वाभाविक तरंग-दैर्घ्य,Natural wavelength
सहज श्मश्रु,Natural whisker
प्रकाश का स्वरूप,Nature of light
दिक्-काल का स्वरूप,Nature of space time
नाविक चेन (फुट),Nautical chain
समुद्री मील,Nautical mile
"नाटिकल सांध्यप्रकाश, नाटिकल द्वाभा",Nautical twilight
नेवाग्लाइड,Navaglide
"नेवार, नौसंचालन-परासन",Navar
नेवारो,Navarho
नैवारदर्शी,Navascope
"संचालन, नौसंचालन",Navigation
संचालन सहाय,Navigation aid
संचालन-संकट,Navigation hazad
नौसंचालन-चिह्न,Navigation mark
संचालन माइक्रोफिल्म प्रक्षेपित्र,Navigational microfilm projector
नौसंचालक,Navigator
निकलसन बोरवाद,Nciholson Bohr theory
निकट-प्रतिध्वनि,Near echo
निकट अंत अप्रासंगित सिग्नल,Near end cross talk
निकट क्षेत्र,Near field
निकट अवरक्त,Near infra-red
अणीचूक,Near miss
(आंख का) निकट बिन्दु,Near point (of the eye)
बिंदुप्राय स्रोत,Near point source
अनुनाद प्राय,Near resonance
समीप समुच्चय,Near set
निकट पराबैंगनी,Near ultraviolet
निकटतम उपगमन,Nearest approach
निकटतम प्रतिवेशी,Nearest neighbour
वृत्तीयप्राय कक्षा,Nearly circular orbit
पूर्णप्राय क्रिस्टल,Nearly perfect crystal
गौण श्रेणी,Neben series
नीहारिका,Nebula
नीहारिका बंटन,Nebular distribution
नीहारिका-परिकल्पना,Nebular hypothesis
नीहारिका-विकिरण,Nebular radiation
नीहारिका स्पेक्ट्रम,Nebular spectrum
नीहारिका-सिद्धांत,Nebular theory
नीहारिकीय चरकांति तारा,Nebular variable (star)
"सुई, सूची",Needle
"सुई छड़, नीडल बार",Needle bar
सूची ध्वनि,Needle chatter
संकेतक विचलन,Needle deviation
सूच्याकार मंदाकिनी,Needle shaped galaxy
"पिन वाल्व, सूची वाल्व",Needle valve
नील भित्ति,Neel wall
नील-सिद्धांत,Neel's theory
"ऋण, ऋणात्मक, नेगेटिव",Negative
ऋणात्मक अवशोषण,Negative absorption
ऋणात्मक एन्टिप्रोटान,Negative anti-proton
ऋणात्मक अभिवर्धक,Negative booster
ऋणात्मक शाखा,Negative branch
"ऋण आवेश, ऋण चार्ज",Negative charge
ऋण आवेश वाहक,Negative charge carrier
"ऋण इंगिता, ऋण किरेलिटी",Negative chirality
ऋण गुणांक,Negative coefficient
ऋण अनुवृत्ति,Negative compliance
ऋणात्मक चालक,Negative conductor
ऋणात्मक सहसंबंध,Negative correlation
ऋण युग्मन,Negative coupling
ऋणात्मक क्रिस्टल,Negative crystal
ऋण क्रिस्टलन,Negative crystallization
ऋण वक्रता,Negative curvature
ऋणात्मक अवमंदन,Negative damping
ऋणात्मक विसर्जन,Negative discharge
ऋणात्मक गतिक प्रतिरोध,Negative dynamic resistance
"ऋणात्मक विद्युत् आवेश, ऋणात्मक विद्युत् चार्ज",Negative electric charge
ऋणात्मक विद्युत,Negative electricity
ऋण इलेक्ट्रोड,Negative electrode
ऋण इलेक्ट्रॉन,Negative electron
ऋणात्मक दीर्घीकरण,Negative elongation
ऋणात्मक ऊर्जा,Negative energy
ऋणात्मक प्रविष्टियाँ,Negative entries
ऋणात्मक अशुद्धि,Negative error
"नकारात्मक साक्ष्य, नकारात्मक सबूत, नकारात्मक प्रमाण",Negative evidence
ऋणात्मक पुनर्भरण,Negative feed back
ऋण क्षेत्र,Negative field
ऋणात्मक गुरूत्वानुचलन,Negative geotaxis
ऋण दीप्ति,Negative glow
व्युत्क्रम प्रतिबिंब,Negative image
ऋण प्रतिबाधा,Negative impedance
ऋणात्मक परस्परक्रिया,Negative interaction
ऋण आयन,Negative ion
"ऋणात्मक लेन्स, ऋण लेन्स",Negative lens
ऋणात्मक लेन्स तंत्र,Negative lens system
ऋणात्मक चुम्बकत्वी विरूपण,Negative magnetostriction
ऋणात्मक द्रव्यमान,Negative mass
ऋणात्मक आव्यूहन,Negative matrix
"ऋणात्मक मॉडुलन, नेगेटिव मॉडुलन",Negative modulation
ऋण आघूर्ण,Negative moemtn
ऋणात्मक नोडीय बिंदु,Negative nodal point
ऋण संख्या,Negative number
ऋण शिखर मॉडुलन,Negative peak modulation
नेगेटिव चित्र मॉडुलन,Negative picture modulation
नेगेटिव चित्र कला,Negative picture phase
ऋण पायन,Negative pion
नेगेटिव प्लेट,Negative plate
नेगेटिव प्लेटवाला,Negative plate keeper
ऋणध्रुव,Negative pole
प्रति मुख्य तल,Negative principal plane
ऋणात्मक मुख्य बिंदु,Negative principal point
ऋण प्रोटॉन,Negative proton
ऋणात्मक दाब,Negative prssure
ऋण राशि,Negative quantity
ऋण प्रतिरोध,Negative resistance
(प्रतिरोध का) ऋणताप गुणांक,Negative resistance temperature coefficient
"ऋण अनुक्रिया, ऋण प्रतिचेष्टा",Negative response
नकारात्मक परिणाम,Negative result
नेगेटिव-अनुशोधक,Negative retoucher
ऋणात्मक घूर्णनी स्तर,Negative rotational level
ऋण पक्ष,Negative side
ऋण ताप-गुणांक,Negative temperature coeffecient
ऋण तापायन,Negative thermion
ऋणात्मक टाम्सन प्रभाव,Negative thomson effect
ऋणात्मक अन्योन्य चालकता दोलित्र,Negative transconductance oscillator
"ऋण टर्मिनल, सिरा",Negative trerminal
ऋण आवेशी कण,Negatively charged particle
नियोडिमियम काच लेसर,Neodymium glass laser
निऑन-हीलियम लेसर,Neon-helium laser
नेन्सर्ट सेतु,Nernst bridge
नेन्सर्ट दीप्तिकार,Nernst glower
नेट प्रवाह,Net flow
नेट लाभ,Net gain
