Abatement,"ਉਪਸ਼ਮਨ, ਘਾਟ"
Next of kin,ਨਿਕਟ ਸੰਬੰਧੀ
Night duty,ਰਾਤ ਦੀ ਡਿਊਟੀ
Nil report,ਸਿਫ਼ਰ ਰਿਪੋਰਟ
No admission,"ਪ੍ਰਵੇਸ਼ ਨਿਸ਼ਧ, ਅੰਦਰ ਆਣਾ ਮਨਾ ਹੈ"
No demand certificate,"ਬੇਬਾਕੀ ਪ੍ਰਮਾਣ ਪੱਤਰ, ਬੇਦਾਅਵੀ ਪ੍ਰਮਾਣ ਪੱਤਰ"
Nomenclature,"ਨਾਮਕਰਣ, ਨਾਮਾਵਲੀ, ਨਾਮਸੂਚੀ"
Nominal cost,"ਨਾਂਮਾਤਰ ਲਾਗਤ, ਮਾਮੂਲੀ ਲਾਗਤ"
Nominal value,ਅੰਕਿਤ ਮੁਲ
Nominate,ਮਨੋਨੀਤ ਕਰਨਾ
Nomination,"ਨਾਮਜ਼ਦਗੀ, ਮਨੋਨੀਰ ਕਰਨਾ ਨਾਮਜਦ ਕੀਤਾ ਮਨੁੱਖ"
Nominee,ਮਨੋਨੀਤ ਵਿਅਕਤੀ
Non-age,"ਨਾਬਾਲਿਗ, ਬਾਲਪਨ"
Non-contributory,ਗੈਰ ਯੋਗਦਾਨ
Non-essential,ਗੈਰ ਜ਼ਰੂਰੀ
Non-gazetted,"ਅੲਗਿਜ਼ਟੀ, ਰਾਜ ਪ੍ਰੱਤਿਕਾ ਵਿਚ ਅਵਘੋਸ਼ਿਤ"
Non-interest bearing,"ਵਿਆਜ਼ ਰਹਿਤ, ਅਵਿਆਜ਼ੀ"
Non-judicial,ਗੈਰ ਅਦਾਲਤੀ
Non-ministrial,ਬਿਨਾ ਵਜ਼ਾਰਤ ਦੇ
Non-negotiable,ਬਿਨ੍ਹਾਂ ਸਮਝੋਤੇ ਦੇ
Non-official,ਗੈਰ ਸਰਕਾਰੀ
Non-payment,"ਗੈਰ ਅਦਾਇਗੀ, ਭੁਗਤਾਨ ਨਾ ਕਰਨਾ"
Non-payment certificate,ਗੈਰ ਅਦਾਇਗੀ ਪ੍ਰਮਾਣਪੱਤਰ
Non-practising allowance,ਗੈਰ ਅਭਿਆਸੀ ਭੱਤਾ
Non-recurring expenditure,ਅਣ ਅਵਰਤੀ ਖਰਚਾ
Non-refundable,ਅਣਪਰਤਾਵੀ
Non-statutory,ਗ਼ੈਰਕਾਨੂੰਨੀ
Non-taxable income,ਗੈਰ ਕਰਯੋਗ ਆਮਦਨ
Non-technical post,ਗੈਰ ਤਕਨੀਕੀ ਪਦ
Non-traditional,"ਅਣਪਰੰਪਰਕ, ਗੈਰ ਪਰੰਪਰਕ"
Non-verbal communication,ਅਭਾਸ਼ਕ ਸੰਚਾਰ
No objection certificate,ਅਣਇਤਰਾਜ਼ੀ ਪ੍ਰਮਾਣਪੱਤਰ
"No profit, no loss",ਨ ਲਾਭ ਨ ਹਾਨੀ
Norm,ਪ੍ਰਤਿਮਾਨਕ
Normal,ਸਾਧਰਣ
No smoking,ਸਿਗਰਟ ਪੀਣਾ ਮਨਾ ਹੈ
Notable,"ਮਹਤੱਵਪੂਰਨ, ਉੱਲੇਖਨੀ, ਵਿਸ਼ੇਸ਼"
Not applicable (N/A),ਲਾਗੂ ਨਹੀ
Not available (N/A),ਅਨਉਪਲਬਧ
Note,"ਟਿਪੱਣੀ, ਨੋਟ"
Notice,"ਸੂਚਨਾ, ਨੋਟਿਸ"
Noticeable,"ਉੱਲੇਖਨੀ, ਧਿਆਨ ਦੇਣ ਯੋਗ"
Notification,"ਐਲਾਨ ਨਾਮਾ, ਸੂਚਨਾ ਪੱਤਰ"
Notified area,ਅੱਲਾਨਸ਼ੁਦਾ ਖੇਤਰ
Noting and drafting,ਟਿਪੱਣੀ ਅਤੇ ਆਲੇਖਨ
Notional pay,ਕਲਪਿਤ ਵੇਤਨ(ਤਨਖਾਹ)
Not negotiable,"ਸਮਝੋਤੇ ਵਿਹੂਣਾ, ਅਪਰਾਕ੍ਰਮੀ"
Not negotiable instrument,"ਮਨਸੂਖ, ਗੈਰ ਕਨੂੰਨੀ"
Nucleus,"ਕੇਂਦਰੀ, ਕੇਂਦਰਬਿੰਦੂ"
Null,ਵਿਅਰਥ ਅਤੇ ਸੁੰਨ
Null and void,"ਸੰਖਿਆ, ਗਿਣਤੀ"
Number,"ਸੰਖਿਆ, ਗਿਣਤੀ"
Numbering,"ਅੰਕਣ, ਸੰਖਿਆ ਪਾਣਾ"
Numeral,"ਸੰਖਿਆ, ਅੰਕ"
Oath,"ਸੌਹ, ਕਸਮ"
Oath of allegiance,ਨਿਸ਼ਠਾ ਸੌਂਹ
Oath of office,ਪਦ ਸੌਂਹ
Obedience,ਆਗਿਆਪਾਲਨ
Obituary,ਮੌਤ ਦੀ ਖਬਰ
Object,"ਵਸਤੁ, ਇਤਹਾਸ ਕਰਨਾ"
Objection,ਇਤਰਾਜ
Objective,"ਉਦੇਸ਼, ਵਸਤੂਪਰਕ, ਵਿਸ਼ਾਪਰਕ"
Objects and reasons,ਉਦੇਸ਼ ਤੇ ਕਾਰਣ
Obligatory,"ਅੱਵਸ਼, ਜਰੂਰੀ"
Obscene,ਅਸ਼ਲੀਲ
Obscene gesture,ਅਸ਼ਲੀਲ ਹਾਵ-ਭਾਵ
Observer,"ਵੇਖਣ ਵਾਲਾ, ਨਿਗੀਖਿੳਕ"
Obsolete,"ਅਪ੍ਰਚਲਤ, ਅਵਿਹਾਰੀ"
Obstruction,"ਅੜਿੱਕਾ, ਬਾਧਾ"
Obvious,ਸਪਸ਼ਟ
Occasional,"ਕਦੇ-ਕਦੇ, ਅਨਿਯਮਤ"
Occupancy,"ਦਖਲ, ਕਬਜਾ"
Occupant,"ਦਖਲ ਦੇਣ ਵਾਲਾ, ਕਾਬਿਜ਼"
Occupation,"ਵਿਵਸਾਇ, ਧੰਧਾ, ਕਾਰੋਬਾਰ"
Occupy,"ਦਖਲ ਕਰਨਾ, ਕਬਜਾ ਕਰਾ, ਥਾਂ ਮਲਣਾ"
Octroi duty,ਚੁੰਗੀ
Off day,ਛੁੱਟੀ ਦਾ ਦਿਨ
Off duty,"ਕੰਮ ਦੇ ਬਾਦ, ਕੰਮ ਤੇ ਨਾ ਹੋਣਾ, ਖਾਲੀ ਦਿਨ"
Offensive,"ਆਕ੍ਰਾਮਕ, ਖਰਵਾਂ, ਬਦਬੂਦਾਰ"
Offer,"ਪ੍ਰਸਤਾਵ, ਦੇਣਾ"
Offer of appointment,ਨਿਯੁਕਤੀ ਪ੍ਰਸਤਾਵ
Office,"ਦਫਤਰ, ਪਦ"
Office of profit,ਲਾਭ ਦਾ ਪਦ
Official,"ਅਹੁਦੇਦਾਰ, ਸਰਕਾਰੀ, ਸ਼ਾਸਕੀ, ਅਧਿਕਾਰਿਕ"
Officialdom,"ਅਧਿਕਾਰੀ ਵਰਗ, ਅਫਸਰਸ਼ਾਹੀ"
Official duty,"ਪਦ ਦਰਤਵ, ਸਰਕਾਰੀ ਕੰਮ"
Officialese,ਦਫਤਰੀ ਭਾਸ਼ਾ
Official language,ਰਾਜ ਭਾਸ਼ਾ
Officially,"ਸਰਕਾਰੀ ਤੌਰ ਤੇ, ਅਧਿਕਾਰਿਕ ਤੌਰ ਤੇ"
Official report,ਸਰਕਾਰੀ ਰਿਪੋਰਟ
Official version,"ਸਰਕਾਰੀ ਕਥਨ, ਅਧਿਕਾਰਿਕ ਕਥਨ"
Officiating,ਇਵਜੀ
Off the record,ਰਿਕਾਰਡ ਤੌ ਬਾਹਰ
Okay (O.K.; okey),"ਠੀਕ ਹੈ, ਸਮਰਥਨਕਰਨਾ"
Ombudsman,ਲੋਕਪਾਲ
On account grant,"ਲੇਖਾਗਤ, ਅਨੁਦਾਨ"
On demand,ਮੰਗਣ ਤੇ
On duty,"ਕੰਮ ਤੇ, ਡਯੂਤੀ ਤੇ"
One sided,ਇਕਪੱਖੀ
On line,"ਲਾਈਨ ਤੇ, ਲਾਈਨ ਤੇ ਲੱਗਿਆ"
On-special duty,"ਖਾਸ ਡਯੂਟੀ ਤੇ, ਖਾਸ ਕੰਮ ਤੇ"
On the job training,ਕੰਮ ਕਰਦਿਆਂ ਸਿਖਲਾਈ (ਟੈਨਿੰਗ)
Onus,"ਭਾਰ, ਜਿੰਮੇਦਾਰੀ, ਫ਼ਰਜ਼"
Open day,"ਕਾਰਜ ਦਿਵਸ, ਮੁਕਤ ਦਿਵਸ"
Open system,ਮੁਕਤ ਵਿਵਸਥਾ
Opening,"ਉਦਘਾਟਨ, ਆਰੰਭ ਕਰਨਾ ਦੀ ਕ੍ਰਿਆ, ਅਵਸਰ, ਖਾਲੀ ਥਾਂ"
Opening balance,ਬਾਕੀ ਬਕਾਇਆ
Opening hours,ਖੁੱਲੇ ਰਹਿਣ ਦਾ ਸਮਾਂ
Open learning,"ਖੁੱਲਾ ਗਿਆਨ, ਖੁੱਲੀ ਪੜ੍ਹਾਈ"
Open letter,"ਖੁੱਲਾ ਪੱਤਰ, ਖੁੱਲੀ ਪੜ੍ਹਾਈ"
Open university,ਖੁੱਲਾ ਵਿਸ਼ਵਿਦਿਆਲਾ
Operating cost,ਕਾਰਜਕਾਰੀ ਲਾਗਤ
Operating staff,"ਕਾਰਜਕਾਰੀ ਸਟਾਫ, ਕਾਰਜਕਾਰੀ ਅਮਲਾ"
Operation,"ਕਾਰਵਾਈ, ਕ੍ਰਿਆ-ਪ੍ਰਣਾਲੀ"
Operative,"ਕਰਮੀ, ਚਲਾਉਣ ਵਾਲਾ, ਕਾਰਜਸ਼ੀਲ, ਫਲਦਾਇਕ, ਪ੍ਰਭਾਵਸ਼ੀਲ"
Opinion,"ਰਾਇ, ਮਤ"
Opposition,"ਵਿਰੋਧ, ਵਿਰੋਧੀ ਦਲ, ਪਾਰਟੀ"
Option,ਵਿਕਲਪ
Oral,"ਮੌਖਿਕ, ਜਬਾਨੀ"
Order,"ਹੁਕਮ, ਆਗਿਆ, ਆਦੇਸ਼, ਵਿਵਸਥਾ, ਕ੍ਰਮ"
Order cheque,ਆਦੇਸ਼ ਚੈਕ
Order of reservation,ਰਾਖਣਾਂ-ਕ੍ਰਮ
Ordinance,"ਅਧਿਆਦੇਸ਼, ਆਰਡੀਨੈਂਸ"
Organization,"ਸੰਗਠਨ, ਸੰਧਧਾ, ਆਯੋਜਨ"
Organization chart,ਸੰਗਠਨ ਚਾਰਟ
Organizer,"ਆਯੋਜਕ, ਸੰਦਠਨ ਕਰਤਾ"
Oriented,ਉਨਮੁੱਖ
Original,"ਮੂਲਪ੍ਰਤਿ, ਮੂਲ, ਮੌਲਿਕ, ਆਰੰਭਦਾ"
Original department,ਮੂਲ ਵਿਭਾਗ
Original sale deed,"ਮੂਲ ਵਿਕਰੀ ਵਿਲੇਖ, ਮੂਲ ਬੈਨਾਮਾ"
Ostensible owner,ਪ੍ਰਤੱਖ ਮਾਲਿਕ(ਸੁਆਮੀ)
Outbreak,"ਅਚਾਨਕ ਆਰੰਭ, ਭੜਕ ਉਠਣਾ, ਵਿਦਰੋਹ, ਰੋਗ ਦਾ ਉਭਾਰ"
Outfit allowance,ਸਾਜ਼ ਸਾਮਾਨ ਦਾ ਭੱਤਾ
Outgoing member,ਬਾਹਰ ਗਿਆ ਸਦੱਸ (ਮੈਂਬਰ)
Outgoing file,ਜਾਣ ਵਾਲੀ ਫਾਈਲ
Outlay,"ਲਾਗਤ, ਖਰਚ, ਖਾਨਾ"
Outlet,"ਨਿਕਾਸ, ਜਾਰੀ ਕਰਨਾ, ਵਿਕਰੀ ਕੇਂਦ੍ਰ"
Outline,"ਰੂਪ ਰੇਖਾ, ਖਾਨਾ"
Outlook,"ਜ਼ਰੀਆ, ਦ੍ਰਿਸ਼ਟੀਕੋਣ"
Out of court,ਅਦਾਲਤ ਤੌਂ ਬਾਹਰ
Out of date,"ਅਪ੍ਰਚਲਿਤ, ਪੁਰਾਨਾ"
Out of order,"ਖ੍ਹਰਾਬ, ਚਾਲੂ ਨਹੀਂ, ਅਵਿਵਸਥਿਤ"
Out of print,"ਪ੍ਰਕਾਸ਼ਨਾ ਬਾਹਰੀ, ਅਨ-ਉਪਲੱਬਧ, ਅ-ਪ੍ਰਾਪਤ"
Out of turn,ਬਿਨਾ ਵਾਰੀ ਦੇ
Out of turn allotment,ਬਿਨਾ ਵਾਰੀ ਦੇ ਵੰਡ
Outpost,ਸੀਮਾ ਚੌਕੀ
Output,"ਉਤਪਾਦਨ, ਉਤਪਾਦ, ਨਿਕਾਸ, ਕੁਲ ਪੈਦਾਵਾਰ"
Outright purchase,ਇਕਸੁਸ਼ਤ ਸਰੋਤ
Outsource,ਬਾਹਰੀ ਸਰੋਤ
Outstanding,"ਬਕਾਇਆ, ਬਾਕੀ, ਅਸਧਾਰਨ, ਵਿਸ਼ੇਸ਼"
Over age,"ਵੱਡੀ ਉਮਰ, ਜਿਆਦਾ ਉਮਰਵਾਲਾ"
Overall,"ਹਲ, ਸਾਰੇ, ਸਮਸਤ"
Overall deficit,"ਕੁਲਘਾਟਾ, ਸਮੁੱਚਾ ਘਾਟਾ"
Overall billing,ਵੱਧਿਆ ਹੋਇਆ ਬਿਲ ਬਣਾਨਾ
Overcharge,ਅਧਿਪ੍ਰਭਾਰ
Overdue,"ਮਿਆਦ ਪੁੱਗਿਆ, ਪੁਰਾਨਾ, ਬਕਾਇਆ"
Overestimate,"ਅਤਿ ਗਿਣਤੀ, ਅਤਿ ਅਨੁਮਾਨ, ਅਧਿਕ ਅੰਕਣਾ"
Overhead charge,ਉਪਰੀਪ੍ਰਭਾਹ
Overlapping,ਅਤਿ ਵਿਆਪੀ
Overriding priority,ਉੱਚ ਪ੍ਰਾਥਮਿਕਤਾ
Over-rule,"ਉਲਟਣਾ, ਵਿਰੁੱਧ ਵਿਵਸਥਾ ਦੇਣਾ"
Oversight,"ਚੂਕ, ਅਸਾਵਧਾਨੀ"
Overtime pay,ਅਧਿ ਸਮਾਂਵੇਤਨ
Overvaluation,ਅਤਿਅਧਿਕ ਮੁੱਲ
Ownership,"ਮਲਕੀਅਤ, ਮਾਲਕੀ"
Package,"ਪੈਕੇਜ, ਇਕੱਠ"
Package deal,"ਪੈਕੇਜ ਸੌਦਾ, ਇਕੱਠ ਸੌਦਾ"
Packing and marking,ਪੈਕ ਕਰਨਾ ਤੇ ਚਿੰਨ੍ਹ ਲਗਾਣਾ
Packing list,ਪੈਕਿੰਗ ਸੂਚੀ
Pact,ਸਮਝੋਤਾ
Paid,"ਦਿੱਤਾ ਹੋਇਆ, ਵੈਤਨਿਕ, ਭੁਗਤਾਨ ਕੀਤਾ, ਚੁਕਤਾ"
Paid up capital,ਚੁਕਤੀ ਪੂੰਜੀ
Pamphlet,"ਪੁਸਤਿਕਾ, ਪੈਂਮਫਲਿਟ"
Panel,"ਨਾਵਾਂ ਦੀ ਸੂਚੀ, ਪੈਨਲ"
Paper,"ਕਾਗ, ਪੱਤਰ, ਕਾਗਜ ਪੱਤਰ, ਲੇਖ, ਸਮਾਚਾਰ ਪੱਤਰ, ਪ੍ਰਸ਼ਨ ਪੱਤਰ"
Para,"ਪੈਰਾ, ਪੈਰਾਗ੍ਰਾਫ"
Paramount,"ਉੱਚਤਮ, ਸਰਬ ਸ੍ਰੇਸ਼ਟ, ਪਰਮ"
Parent,"ਮਾਂ-ਪਿਉ, ਮਾਤਾ ਪਿਤਾ, ਮੂਲ"
Parental,ਪੈਤ੍ਰਿਕ
Parent office,ਮੂਲ ਦਫਤਰ
Par excellence,"ਉੱਚਤਮ, ਪਰਮ ਉਤਕ੍ਰਿਸ਼ਟ"
Pari passu,"ਸਮਾਨ ਗਤੀ ਨਾਲ, ਸਮਰੂਪ"
Parity,"ਸਮਾਨਤਾ, ਅਨੁਰੂਪਤਾ"
Parliament,"ਸੰਸਦ, ਪਾਰਲੀਮੈਂਟ"
Part,"ਹਿੱਸਾ, ਅੰਸ਼, ਪਾਰਟ, ਰੋਲ, ਭੂਮਿਕਾ, ਪੁਰਜਾ"
Part file,"ਖੰਡ ਫਾਈਲ, ਖੰਡ ਮਿਸਿਲ"
Partial,"ਆਂਸ਼ਿਕ, ਪਖਪਾਤ ਪੂਰਨ"
Participate,ਹਿੱਸਾ ਲੈਣਾ
Particular,"ਖਾਸ, ਵਿਸ਼ੇਸ਼"
Particulars,"ਵੇਰਵਾ, ਵਿਵਰਣ"
Partition,"ਬਟਵਾਰਾ, ਵਿਭਾਜਨ, ਵੰਡ"
Partner,"ਸਾਂਝੀਦਾਰ, ਭਾਈਵਾਲ, ਹਿੱਸੇਦਾਰ"
Partnership deed,ਸਾਂਝੇਦਾਰੀ ਪੱਟਾ(ਇਕਰਾਰਨਾਮਾ)
Part payment,ਆਸ਼ਿਕ ਭਗਤਾਨ
Part-time,ਅੰਸ਼ਕਾਲਿਕ
Party,"ਪੱਖ, ਪਖਦਾਰ, ਪਾਰਟੀ, ਦਲ, ਪ੍ਰੀਤੀ ਭੋਜ, ਦਾਵਤ"
Par value,ਸਮ-ਮੁੱਲ(ਕੀਮਤ)
Pass,"ਪਾਸ, ਪ੍ਰਵੇਸ਼ ਪੱਤਰ, ਬਿਲ ਪਾਸ ਹੋਣਾ, ਪਾਸ ਕਰਨਾ. ਪਾਰ ਜਾਣਾ, ਗੁਜਰਨਾ, ਸਫ਼ਲ ਹੋਣਾ(ਇਮਤਿਹਾਨ)"
Passage,"ਰਸਤਾ, ਗਲੀ, ਬਰਾਮਦਾ, ਵਗੰਡਾ, ਅੰਸ਼, ਲੇਖ ਅੰਸ਼, ਪਰਿਛੇਦ, ਜਾਤਰਾ, ਜਾਤਰਾ ਖਰਚਾ"
Password,"ਗੁਪਤ ਸੰਕੇਤ, ਪਾਸ ਵਰਡ"
Patent,"ਕਾਢ ਦਾ ਅਧਿਕਾਰ, ਪੈਟੰਟ"
Patron,"ਸਰਪ੍ਰਸਤ, ਨਿੱਤ ਦਾ ਗਾਹਕ"
Pay,"ਵੇਤਨ, ਤਨਖਾਹ"
Pay bill,ਵੇਤਨ ਬਿਲ
Pay certificate,ਵੇਤਨ ਪ੍ਰਮਾਣ ਪੱਤਰ
Pay day,ਵੇਤਨ ਦਿਵਸ
Payee,"ਲੈਣ ਵਾਲਾ, ਪ੍ਰਾਪਤ ਕਰਤਾ"
Payer,"ਭੁਗਤਾਨ ਕਰਤਾ, ਅਦਾ ਕਰਤਾ"
Payment,ਭੁਗਤਾਨ ਅਦਾਇਗੀ
Pay off,ਚੁਕਤਾ ਕਰਨਾ
Pay order,ਅਦਾਇਗੀ ਆਦੇਸ਼
Pay roll,ਵੇਤਨ-ਸੂਚੀ
Pay scale,ਵੇਤਨ-ਮਾਨ
Pecuniary,"ਧਨ ਸੰਬੰਧੀ, ਮਾਲੀ"
Penal,ਢੰਡਿਕ ਕਾਰਵਾਈ
Penal code,ਢੰਡ-ਸੰਹਿਤਾ
Penal interest,ਢੰਡ ਸਰੂਪ ਵਿਆਜ
Penalize,"ਸਜਾ ਦੇਣਾ, ਦੰਡ ਦੇਣਾ"
Penalty,"ਦੰਡ, ਜੁਰਮਾਨਾ, ਹਰਜਾਨਾ"
Pending,"ਲੰਬਮਾਨ, ਲੰਬਿਤ ਵਿਚਾਰ ਅਧੀਨ, ਰੁਕਿਆ ਹੋਇਆ, ਤਕ, ਉਪਰੰਤ(ਸਮੇਂ)"
Pen down strike,ਕਲਮ ਰੋਕੋ ਹੜਤਾਲ
Pension,ਪੇਂਸਨ
Pensionable,ਪੇਂਸਨੀ
Pensioner,"ਪੇਂਸਨ ਭੌਗੀ, ਪੇਂਸਨ ਲੈਣ ਵਾਲਾ"
Pension scheme,ਪੇਂਸਨ ਯੋਜਨਾ
Per annum,"ਹਰ ਸਾਲ, ਵਾਰਸ਼ਿਕ, ਸਾਲਾਨਾ"
Per bearer,ਵਾਹਕ ਦੁਆਰਾ
Per capita (=per head),ਪ੍ਰਤਿ ਵਿਅਕਤੀ
Percent,ਪ੍ਰਤਿਸ਼ਤ ਫੀਸਦੀ
Perennial,"ਚਿਰ ਸਥਾਈ, ਬਾਰਾ ਮਾਹੀ"
Preferential purchase,ਤਰਜ਼ੀਹੀ ਖਰੀਦ
Perform,"ਪਾਲਨ ਕਰਨਾ, ਨਿਸ਼ਪਾਦਨ ਕਰਨਾ"
Performance,"ਨਿਸ਼ਪਾਦਨ, ਪਾਲਨ"
Period,"ਅਉਧੀ, ਕਾਲ-ਚੱਕਰ"
Periodical,"ਪੱਤਰ, ਮੈਗਜ਼ੀਨ, ਸਾਮਯਿਕ ਪੱਤਰ, ਕਾਲਿਕ ਮੈਗਜ਼ੀਨ, ਸਮੇਂ ਸਮੇਂ ਤੇ ਨਿਕਲਜ਼ ਵਾਲਾ ਰਿਸਾਲਾ"
Period under review,ਸਮੀਖਿਆ ਅਧੀਨ ਅਵਧੀ
Perjury,ਝੂਠੀ ਗਵਾਹੀ
Perks,ਵਾਧੂ ਲਭਤ
Permanent,ਸਥਾਈ
Per mensem,"ਪ੍ਰਤੀਮਾਸ, ਮਾਸਿਕ, ਮਾਹਵਾਰ"
Permissible,"ਮੁਨਾਸਿਬ, ਜਾਇਜ"
Permission,"ਆਸਿਆ, ਅਨੁਮਤੀ, ਸਵੀਕ੍ਰਿਤੀ"
Permit,"ਅਨੁੱਗਿਆ ਪੱਤਰ, ਪਰਮਿਟ, ਅਨੁੱਗਿਆ ਦੇਣਾ, ਅਨੁਮਤੀ ਦੇਨਾ"
Permitted,"ਅਨੁਮਤ, ਅਨੁਮਤੀ ਪ੍ਰਾਪਤ, ਅਨੁੱਗਿਆ ਦਿੱਤੀ"
Perpetual,"ਸਨਾਤਨ, ਨਿਰੰਤਰ, ਚਿਰ"
Perpetuity,"ਸਨਾਤਨਤਾ, ਨਿੱਤਤਾ"
Perquisites (=perks),ਵਾਧੂ ਲਭਤ
Personal,ਵਿਅਕਤਿਕ
Personal assets,ਵਿਅਕਤਿਕ ਸੰਪੱਤੀ
Personal bond,"ਮੁਚਲਕਾ, ਵਿਅਕਤਿਕ ਬਾਂਡ"
Personality,"ਵਿਅਕਤਿਤਣ, ਸਖਸੀਅਤ"
Persona non grata,ਅਣਚਾਹਿਆ ਵਿਅਕਤੀ
Personnel,ਕਰਮਚਾਰੀ
Personnel policy,ਕਰਮਚਾਰੀ ਨੀਤੀ
Perspective,ਪਰਿਪ੍ਰੇਖ
Persuasion,"ਸਮਝਾਣਾ-ਬੁਝਾਨਾ, ਮਨਾਨਾ, ਬੈਨਤੀ"
Pertinent,"ਸੰਗਤ, ਪ੍ਰਾਸੰਗਿਕ"
Perusal,"ਅਵਲੋਕਨ, ਵੇਖਣਾ"
Petition,ਯਾਚਿਕਾ
Petitioner,"ਜਾਚਕ, ਅਰਜੀ ਦੇ ਵਾਲਾ"
Phase,"ਅਵਸਆ, ਚਰਣ"
Photograph,ਫੋਟੋ
Photostat,ਫੋਟੋ ਸਟੈਟ
Physical checking,ਪ੍ਰਤੱਖ ਜਾਂਚ
Physical defect,ਸ਼ਰੀਰਕ ਦੋਸ਼
Physical education,ਸ਼ਰੀਰਕ ਸਿਖਿਆ
Physically handicapped,ਸ਼ਰੀਰਕ ਅਪੰਗਤਾ
Physical verification,ਪ੍ਰਤੱਖਤਸਦੀਕ
Piecemeal,"ਥੋੜਾ ਥੋੜਾ ਕਰਕੇ, ਟੁਕੜਿਆ ਵਿਚ"
Piece rate,ਉਸਰਤੀ ਦਰ
Pilgrim,ਤੀਰਥ ਜਾਤਰੀ
Pilot programme,"ਪਾਯਲਟ ਕਾਰਜ ਕਰਮ, ਪ੍ਰਾਯੋਗਿਕ ਕਾਰਜ ਕ੍ਰਮ"
PIN (postal index number),ਪਿਨ
Placement service,ਨੌਕਰੀ ਦਿਵਾਉਣ ਸੇਵਾ
Place of birth,ਜਨਮ-ਸਥਾਨ
Place of work,ਕਾਰਜ ਸਥਲ
Plaintiff,ਵਾਦੀ
Plan,"ਵਿਉਂਤ, ਯੋਜਨਾ"
Planning,"ਵਿਉਂਤ ਬੰਦੀ, ਯੋਜਨਾ ਬੰਦੀ"
Plant,"ਮਸ਼ੀਨ, ਜੰਤਰ ਪੌਦਾ, ਬੂਟਾ"
Player,"ਵਜੰਤਰੀ, ਖਿਡਾਰੀ"
Plea,"ਤਰਕ, ਦਲੀਲ, ਪ੍ਰਤਿਵਾਦ"
Pleader,"ਪਲੀਡਰ, ਸੰਗ੍ਰਹਿ"
Plebiscite,ਜਨਮਤ ਸੰਗ੍ਰਹਿ
Pledge,"ਗਹਿਣੇ ਰੱਖੀ ਵਸਤੂ, ਪ੍ਰਤਿਗਿਆ ਕਰਨਾ"
Plenary session,ਪੂਰਾ ਅਧਿਵੇਸ਼ਨ
Plenipotentiary,ਪੂਰੇ ਅਧਿਕਾਰਾਂ ਵਾਲਾ
Plinth area,ਛੱਤਿਆ ਖੇਤਰਫੇਲ
Policy,"ਨੀਤੀ, ਪਾੱਲਿਸੀ(ਬੀਮਾ)"
Political activity,"ਰਾਜਨੀਤਿਕ ਸਰਗਰਮੀ, ਗਜਨੀਤਿਕ ਹਲਚਲ"
Poll,ਮਤਦਾਨ
Pollution,ਪ੍ਰਸੂਸ਼ਨ
Political,ਰਾਜਨੀਤਿਕ
Pool,"ਪੂਲ, ਸੀਝ ਫੰਡ"
Portfolio (of a minister),"ਵਿਭਾਗ, ਪੋਰਟਫੋਲਿਉ"
Position,"ਸਥਿਤੀ, ਸਥਾਨ, ਅਹੁਦਾ"
Positive,"ਸਕਾਰਾਤਮਕ, ਨਿਸ਼ਚਿਤ, ਨਿਸਚੈਆਤਮਕ"
Post,"ਪਦ, ਡਾਕ, ਕੇਂਦ੍ਰ, ਚੌਕੀ"
Post-dated,ਆਗਾਮੀ ਮਿਤੀਵਾਲਾ
Post-facto sanction,ਕਾਰਜ-ਉਤੱਰ ਮੰਜੂਰੀ
Post graduate,ਪੋਸਟ ਗ੍ਰੇਜੁਐਟ
Posthumous,ਮਰਨ ਤੌਂ ਬਾਦ
Posting,ਤੈਨਾਤੀ
Post mortem examination,ਸ਼ਵ ਪਰੀਖਿਆ
Postpone,"ਸਥਗਿਤ ਕਰਨਾ, ਮੁਲਤਵੀ ਕਰਨਾ"
Postscript (P.S.),"ਪਿੱਛੋਂ ਜੋੜੀ ਲਿਖਤ, ਮਗਰੋਂ ਮੁੜਿਆ"
Power,"ਸ਼ਕਤੀ, ਅਧਿਕਾਰ, ਬਿਜਲੀ"
Power of attorney,ਮੁਖਤਾਰਨਾਮਾ
Practicable,ਵਿਵਹਾਰਿਕ
Practice,"ਵਿਵਸਾਅ, ਪੇਸ਼ਾ, ਪ੍ਰਥਾ, ਪੱਧਤੀ"
Pre-audit,"ਪੂਰਣ, ਲੇਖਾ ਪਰੀਖਿਆ"
Precaution,"ਪੂਰਣ ਅਵਧਾਨ, ਇਹਤਿਆਤ, ਪੂਰਣ ਉਪਾਉ"
Precedent,"ਪੂਰਣ ਉਦਾਹਰਣ, ਨਜ਼ੀਰ"
Precis,ਸਾਰਲੇਖ
Precise,"ਠੀਕ-ਠੀਕ ਵਾਸਤਵਿਕ, ਯਥਾਰਥ"
Preclude,"ਰੋਕ ਦੇਣਾ, ਉਪੇਖਿਆ ਕਰਨੀ, ਦੂਰ ਰਖਣਾ"
Preconception,"ਪੂਰਣ ਕਲਪਨਾ, ਪੂਰਣ ਧਾਰਣਾ"
Predecessor,ਪੂਰਣ ਵਰਤੀ
Predominant,"ਪ੍ਰਧਾਨ, ਪ੍ਰਬਲ"
Preface,"ਪ੍ਰਸਤਾਵਨਾ, ਮੁਖ ਬੰਧ"
Prefer,ਤਰਜ਼ੀਹ ਦੇਣਾ
