Bengali,Marathi
অনুভূমিক ব্ল্যাঙ্কিং,क्षैतिज ब्लँकिंग
অনুভূমিক সংজ্ঞা (অনুভূমিক রেজোলিউশন),क्षैतिज व्याख्या (क्षैतिज रिझोल्यूशन)
অনুভূমিক ডিফ্লেশন দোলন,क्षैतिज विक्षेपण दोलन
অনুভূমিক রেখা,क्षैतिज रेखा
অনুভূমিক বিভাগ,क्षैतिज विभाग
অনুভূমিক সুইপ সার্কিট,क्षैतिज स्वीप सर्किट
হর্ন লাউডস্পিকার,हॉर्न लाऊडस्पीकर
হোস্ট,होस्ट
হট স্পট,हॉट स्पॉट
গৃহস্থালি,घरपट्टी
হাব,हब
হিউ,ह्यू
হাফম্যান কোডিং,हफमन कोडिंग
হুম,हम
মানব অডিও উপলব্ধি,मानवी ऑडिओ समज
মানব অডিও সিস্টেম,मानवी ऑडिओ सिस्टम
মানব শ্রবণ ব্যবস্থা,मानवी श्रवण यंत्रणा
মানব ভিডিও উপলব্ধি,मानवी व्हिडिओ समज
আর্দ্রতা,आर्द्रता
হাইব্রিড,संकरित
হাইব্রিড সার্কিট,संकरित सर्किट
হাইব্রিড ইন্টারগ্রেটেড সার্কিট,हायब्रीड इंटरग्रेटेड सर्किट
হাইড্রোমিটার,हायड्रोमीटर
হাইপার,उच्च
হাইপার মিডিয়া,हायपर मीडिया
হাইপার টেক্সট,अति मजकूर
হাইপারলিঙ্ক,हायपरलिंक
আইকন,चिन्ह
পরিচয়,ओळख
সনাক্তকারী,अभिज्ञापक
প্রজ্বলিত,प्रज्वलित करा
ইগনিশন,प्रज्वलन
আলোকসজ্জা,प्रकाश
আলোকসজ্জা,प्रदीपन
চিত্র,प्रतिमा
চিত্র অ্যান্টেনা,प्रतिमा अँटेना
চিত্র ক্যাপচার,प्रतिमा कॅप्चर
চিত্র আইকনোস্কোপ,प्रतिमा आयकॉनोस्कोप
চিত্র মানচিত্র,प्रतिमा नकाशा
চিত্র orthicon,प्रतिमा ऑर्थिकॉन
চিত্র প্রক্রিয়াকরণ,प्रतिमा प्रक्रिया
চিত্র সেটার,प्रतिमा सेटर
কাল্পনিক,काल्पनिक
প্রতিবন্ধকতা,प्रतिबाधा
প্রতিবন্ধকতা ম্যাচিং,प्रतिबाधा जुळणारी
প্রতিবন্ধকতা ম্যাচিং সার্কিট,प्रतिबाधा जुळणारे सर्किट
প্রতিবন্ধকতা অমিল,प्रतिबाधा जुळत नाही
মুক্ত স্থান প্রতিবন্ধক,मोकळ्या जागेची प्रतिबाधा
প্রতিবন্ধকতা রূপান্তর,प्रतिबाधा परिवर्तन
আমদানি,आयात
গর্ভবতী,गर्भवती
ইমপ্রেস ভোল্টেজ,व्होल्टेज प्रभावित करा
প্ররোচিত,प्रेरणा
আবেগের প্রতিক্রিয়া,आवेग प्रतिसाद
অপরিষ্কার পরিবাহিতা,अशुद्धता चालकता
অপরিষ্কার অর্ধপরিবর্তন,अशुद्धता सेमीकंडक्शन
নিষ্ক্রিয়,निष्क्रिय
নিষ্ক্রিয় উইন্ডো,निष्क्रिय विंडो
শ্রবণযোগ্য,ऐकण्यायोग्य नाही
উদ্বিগ্নতা,हल्ल
ঘটনা রে,घटना किरण
অন্তর্ভুক্তি,समावेश
আগত সংকেত,इनकमिंग सिग्नल
সূচক,सूचक
আদিবাসী,देशी
আনয়ন,प्रेरणा
ইনডাকটিভ-রিঅ্যাক্ট্যান্স,प्रेरक-प्रतिक्रिया
প্রদাহজনক উপাদান,ज्वलनशील सामग्री
ইনফোর প্যাচ,इन्फॉर पॅच
তথ্য,माहिती
তথ্য আর্কিটেকচার,माहिती आर्किटेक्चर
তথ্য বিট,माहिती बिट
তথ্য অঙ্ক,माहिती अंक
তথ্য কিওস্ক,माहिती कियोस्क
তথ্য প্রক্রিয়া,माहिती प्रक्रिया
তথ্য প্রযুক্তি,माहिती तंत्रज्ञान
ইনফোটেইনমেন্ট,इन्फोटेनमेंट
ইনফ্রারেড বিকিরণ,इन्फ्रारेड रेडिएशन
অবকাঠামো,पायाभूत सुविधा
ইনজেস্ট,अंतर्ग्रहण
উপাদান,साहित्य
সূচনা শব্দ (আইডাব্লু),आरंभिक शब्द (आयडब्ल्यू)
অভ্যন্তরীণ কোড,अंतर्गत कोड
উদ্ভাবন,नवीनता
ইনপুট,इनपुट
ইনপুট লাইন,इनपुट लाइन
ইনপুট ইউনিট,इनपुट युनिट
ইনপুট ভোল্টেজ,इनपुट व्होल्टेज
ইনপুট আউটপুট,इनपुट-आउटपुट
.োকান,घाला
সন্নিবেশ ক্ষতি,अंतर्भूत तोटा
স্থাপন,स्थापना
তাত্ক্ষণিক ভোল্টেজ,त्वरित व्होल्टेज
নির্দেশ,सूचना
অন্তরক উপাদান,इन्सुलेट सामग्री
নিরোধক,इन्सुलेशन
নিরোধক প্রতিরোধ,इन्सुलेशन प्रतिकार
ইনসুলেটর,इन्सुलेटर
সমন্বিত বর্তনী,एकात्मिक सर्किट
একীভূত নেটওয়ার্ক,समाकलित नेटवर्क
ইন্টিগ্রেটার,इंटिग्रेटर
বুদ্ধি,बुद्धिमत्ता
তীব্রতা,तीव्रता
বক্তৃতা তীব্রতা,बोलण्याची तीव्रता
আন্তঃ চ্যানেল হস্তক্ষেপ,इंटर चॅनेल हस्तक्षेप
ইন্টারলিভ,इंटरलीव्ह
মিথষ্ক্রিয়া,परस्परसंवाद
ইন্টারেক্টিভিটি,परस्परसंवादीता
ইন্টারকম,इंटरकॉम
আন্তঃসংযোগ,इंटरकनेक्टिव्हिटी
ইন্টারফেস,इंटरफेस
ইন্টারফেস স্ক্যানিং,इंटरफेस स्कॅनिंग
হস্তক্ষেপ,हस्तक्षेप
হস্তক্ষেপ অঞ্চল,हस्तक्षेप झोन
হস্তক্ষেপ চ্যানেল,हस्तक्षेप चॅनेल
হস্তক্ষেপ ফ্রিকোয়েন্সি,हस्तक्षेप वारंवारता
রেডিও ফ্রিকোয়েন্সি সিগন্যাল হস্তক্ষেপ,हस्तक्षेप रेडिओ फ्रिक्वेन्सी सिग्नल
ইন্টারফ্রেম,इंटरफ्रेम
ইন্টারলিভ,इंटरलीव्ह
ইন্টারলিভড,इंटरलीव्ह
ইন্টারলিভড স্ট্রিম,अंतर्देशीय प्रवाह
ইন্টারলিভার,इंटरलीव्हर
ইন্টারলিভিং,इंटरलीव्हिंग
ইন্টারলিভিং,इंटरलीव्हिंग
ইন্টারলিভিং পিরিয়ড,इंटरलीव्हिंग कालावधी
ইন্টারলক সার্কিট,इंटरलॉक सर्किट
ইন্টারলক সুইচ,इंटरलॉक स्विच
ইন্টারলকিং,इंटरलॉकिंग
মধ্যবর্তী ব্যর্থতা,दरम्यानचे अपयश
মধ্যবর্তী ফ্রিকোয়েন্সি,दरम्यानचे वारंवारता
মধ্যবর্তী ফ্রিকোয়েন্সি দোলক,इंटरमीडिएट फ्रिक्वेन्सी ऑसीलेटर
বিরতি,अधूनमधून
মাঝে মাঝে বর্তমান,अधूनमधून चालू
ইন্টারমোডুলেশন,इंटरमोड्युलेशन
ইন্টারমোডুলেশন বিকৃতি,इंटरमोड्युलेशन विकृती
ইন্টারমোডুলেশন নির্গমন,इंटरमोड्युलेशन उत्सर्जन
ইন্টারমোডুলেশন পরীক্ষা,इंटरमोड्युलेशन चाचणी
ইন্টারনেট,इंटरनेट
ইন্টারনেট সম্প্রচার,इंटरनेट प्रसारण
ইন্টারনেট চ্যাট,इंटरनेट चॅटिंग
ইন্টারনেট প্রোটোকল স্ট্যাক,इंटरनेट प्रोटोकॉल स्टॅक
ইন্টারনেট রেডিও,इंटरनेट रेडिओ
ইন্টারনেট স্ট্রিমিং,इंटरनेट प्रवाह
ইন্টারনেট ভিডিও,इंटरनेट व्हिडिओ
আন্তঃব্যবহারযোগ্যতা,इंटरऑपरेबिलिटी
ইন্টারপোলেশন,इंटरपोलेशन
দোভাষী,दुभाषे
বাধা,व्यत्यय
বাধা,व्यत्यय
বাধা,व्यत्यय आणणारा
অন্তর,मध्यांतर
ইন্ট্রাকোডিং,इंट्राकोडिंग
ইন্ট্রাফ্রেম,इंट्राफ्रेम
ইন্ট্রানেট,इंट्रानेट
অন্তঃসত্ত্বা,इंट्रॅपिक्चर
অন্তঃসত্ত্বা,इंट्रावेब
অভ্যন্তরীণ অর্ধপরিবাহী,आंतरिक सेमीकंडक्टर
বিপরীতমুখী,व्यस्त करंट
বিপরীত স্থানিক পরিচালনা,व्यस्त स्थानिक ऑपरेट
উল্টানো,उलटा
উল্টানো এল অ্যান্টেনা,इनव्हर्टेड एल ten न्टीना
উল্টানো ভি অ্যান্টেনা,इनव्हर्टेड व्ही अँटेना
বৈদ্যুতিন সংকেতের মেরু বদল,इनव्हर्टर
অনিয়মিত,अनियमित
অপ্রাসঙ্গিক উপাদান,असंबद्ध घटक
বিচ্ছিন্ন নেটওয়ার্ক,अलगाव नेटवर्क
বিচ্ছিন্ন,पृथक
জামার,जैमर
জ্যামিং,जामिंग
জারগন ফাইল,जर्गॉन फाइल
জাভা স্ক্রিপ্ট,जावा स्क्रिप्ट
জিংল,जिंगल
জিটার,जिटर
যোগদানকারী,जॉइनर
যৌথ,संयुक्त
সংযুক্ত,जोडलेले
জাম্পার,जम्पर
জাঙ্ক,कंन
আজাইরা মেইল,निरुपयोगी पत्र
কার্নেল,कर्नल
চাবি,की
কীবোর্ড,कीबोर्ड
কীয়ার,कीर
মূল বক্তব্য,कीनोट
কিলোসাইকেল,किलोसायकल
কিলোভোল্ট,किलोवॉल्ट
কিলোওয়াট,किलोवॅट
গতিবিজ্ঞান,किनेमॅटिक्स
হাঁটু পয়েন্ট ভোল্টেজ,गुडघा पॉईंट व्होल्टेज
গিঁট,नॉब
জ্ঞানভিত্তিক,पायाभूत माहिती
জ্ঞান উপস্থাপনা,ज्ञान प्रतिनिधित्व
L নেটওয়ার্ক,एल नेटवर्क
এল বিভাগ ফিল্টার,एल विभाग फिल्टर
ল্যাগ এবং সীসা,अंतर आणि आघाडी
পিছিয়ে থাকা বর্তমান,चालू आहे
পিছিয়ে থাকা পাওয়ার ফ্যাক্টর,उर्जा घटक मागे पडत आहे
স্তরিত,लॅमिनेटेड
প্রদীপ,दिवा
ল্যাপটপ,लॅपटॉप
লেজার ফ্রিকোয়েন্সি,लेसर वारंवारता
সুপ্ত ত্রুটি,सुप्त त्रुटी
সুপ্ত তাপ,सुप्त उष्णता
অক্ষাংশ,अक्षांश
স্তর,थर
বিন্যাস,लेआउट
বিন্যাস পরিকল্পনা,लेआउट योजना
নেতৃত্ব,आघाडी
শীর্ষস্থানীয় পর্ব,अग्रगण्य टप्पा
ছিদ্র নিরোধক,गळती पुरावा
ফুটো,गळती
ইজারা সার্কিট,लीज्ड सर्किट
লেন্স,लेन्स
স্তর সূচক,स्तर निर्देशक
আলো নিয়ন্ত্রণ,प्रकाश नियंत्रण
হালকা কলম,हलकी पेन
বিজলীদণ্ড,लाइटनिंग एरेस्टर
সীমাবদ্ধ,लिमिटर
পরিবর্ধক সীমাবদ্ধ,एम्पलीफायर मर्यादित करणे
লাইন ক্ষতি,ओळ तोटा
লাইন শব্দ,लाइन आवाज
দর্শন লাইন,दृष्टीक्षेप
লাইন পর্ব,लाइन फेज
লাইন সংক্রমণ,लाइन ट्रान्समिशन
লাইন আনলোড,लाइन अनलोड केलेली
লিনিয়ার কোয়ান্টিজার,रेखीय क्वांटिझर
লিনিয়ারিটি,रेषात्मकता
লাইন-কোঅ্যাক্সিয়াল,लाइन-कॉक्सियल
লাইন-সমতুল্য,लाइन-इक्वलिझर
লাইন-ফ্রিকোয়েন্সি,लाइन-फ्रिक्वेन्सी
লাইন-ইমিডেন্স,लाइन-इम्पेडन्स
লাইন-কোয়ার্টারের তরঙ্গদৈর্ঘ্য,लाइन-क्वार्टर तरंगलांबी
লিঙ্ক,दुवा
লিঙ্কার,लिंकर
লিপ-মাইক্রোফোন,लिप-मायक्रोफोन
সরাসরি সম্প্রচার,थेट प्रसारण
লাইভ সার্কিট,थेट सर्किट
লাইভ প্রোগ্রাম,थेट कार्यक्रम
ভার,लोड
ধারণ ক্ষমতা,भार क्षमता
বহন ক্ষমতা লোড,भार वाहून नेण्याची क्षमता
লোড বৈশিষ্ট্য,लोड वैशिष्ट्य
লোড প্রতিবন্ধকতা,लोड प्रतिबाधा
লোড,भारित
লোডার,लोडर
লোড হচ্ছে,लोड करीत आहे
লোডিং কয়েল,लोडिंग कॉइल
লোড পরীক্ষা,लोड-चाचणी
লব,लोब
লোব অ্যান্টেনা,लोब अँटेना
স্থানীয় নেটওয়ার্ক,स्थानिक नेटवर्क
স্থানীয় ব্যাটারি,स्थानिक बॅटरी
স্থানীয় দোলক,स्थानिक ऑसीलेटर
লগ,लॉग
লগ বই,लॉग बुक
লগ ইন (লগ অন),लॉग इन (लॉग ऑन)
লগ অফ (লগ আউট),लॉग ऑफ (लॉग आउट)
লগ শিট,लॉग पत्रक
লগারিদম,लॉगरिदम
লগারিদমিক পরিবর্ধক,लॉगरिथमिक एम्पलीफायर
লগারিদমিক অনুপাত,लॉगरिथमिक गुणोत्तर
লগারিদমিক প্রতিক্রিয়া,लॉगरिथमिक प्रतिसाद
লগারিদমিক স্কেল,लॉगरिथमिक स्केल
লগিং,लॉगिंग
যুক্তি,तर्कशास्त्र
লজিক গেট,लॉजिक गेट
যুক্তি অপারেশন,तर्कशास्त्र ऑपरेशन
যৌক্তিক,तार्किक
যৌক্তিক ফ্রেম,तार्किक फ्रेम
লোগো সন্নিবেশ,लोगो घालणारा
দ্রাঘিমাংশ,रेखांश
লুপ,लूप
লুপ অ্যান্টেনা,लूप अँटेना
লুপ লাভ,लूप गेन
লুপ পরীক্ষা,लूप चाचणी
আলগা যোগাযোগ,सैल संपर्क
আলগা সংযোজন,सैल कपलिंग
লসলেস অ্যান্টেনা,लॉसलेस अँटेना
ক্ষতিহীন সংকোচনের,लॉसलेस कॉम्प्रेशन
ক্ষতিগ্রস্থ সংকোচনের,लॉसि कॉम्प्रेशन
জোরে (শব্দ),मोठा आवाज (आवाज)
লাউডস্পিকার,लाऊडस्पीकर
কম কম্পাঙ্ক,कमी वारंवारता
নিম্ন স্তরের ভাষা,निम्न स्तरीय भाषा
কম লোকসান ফিডার,कमी तोटा फीडर
কম লোকসান নমনীয় কোক্সিয়াল কেবল,कमी तोटा लवचिक कोएक्सियल केबल
কম শব্দ রিসিভার,कमी आवाज रिसीव्हर
কম কক্ষপথ স্যাটেলাইট,कमी फिरणारी उपग्रह
লো পাস ফিল্টার,लो पास फिल्टर
কম রিঅ্যাক্ট্যান্স আর্থিং,कमी प्रतिक्रिया मिळवणे
কম প্রতিরোধের পথ,कमी प्रतिकार मार्ग
লগ,Lug
আলোকসজ্জা,ल्युमिनेन्स
লম্পট,गठ्ठा
ম্যাক্রো ব্লক,मॅक्रो ब्लॉक
ম্যাক্রো সংজ্ঞা,मॅक्रो व्याख्या
ম্যাক্রো ভিশন,मॅक्रो व्हिजन
ম্যাজিক আই,जादू डोळा
চৌম্বক,चुंबक
চৌম্বক ক্ষেত্র,चुंबकीय क्षेत्र
চৌম্বকীয় প্রবাহ,चुंबकीय प्रवाह
চৌম্বকীয় মেরু,चुंबकीय खांब
চৌম্বকীয় ঝড়,चुंबकीय वादळ
চৌম্বকীয় সুইচ,चुंबकीय स्विच
চৌম্বকীয় টেপ,चुंबकीय टेप
চৌম্বকীয়তা,चुंबकत्व
মেইল মার্জ,मेल विलीनीकरण
মেইলিং তালিকা,पत्रव्यवहाराची यादी
প্রধান ক্যারিয়ার,मुख्य वाहक
রক্ষণাবেক্ষণ,देखभाल
রক্ষণাবেক্ষণ,देखभाल
রক্ষণাবেক্ষণ দল,देखभाल कार्यसंघ
সংখ্যাগরিষ্ঠ ক্যারিয়ার,बहुसंख्य वाहक
যোগাযোগ রিলে করুন,संपर्क रिले बनवा
মেক-অ্যান্ড-ব্রেক সুইচ,मेक-अँड ब्रेक स्विच
পুরুষ সংযোগকারী,नर-कनेक्टर
মানুষ শব্দ করেছে,माणसाने आवाज केला
পরিচালন তথ্য সিস্টেম (এমআইএস),व्यवस्थापन माहिती प्रणाली (एमआयएस)
ম্যানিপুলেটেড,हाताळले
মূল নিয়ন্ত্রণ,मॅन्युअल नियंत्रण
ম্যানুয়াল পদ্ধতি,व्यक्तिचलित पद्धत
সুরক্ষা সতর্কতা ম্যানুয়াল,सुरक्षिततेची खबरदारी
ম্যানুয়ালি পরিচালিত,व्यक्तिचलितपणे ऑपरेट केले
প্রস্তুতকারক,निर्माता
মুখোশ,मुखवटा
মাসকি,मस्की
মাস্কার,मास्कर
মাস্কিং,मास्किंग
মাস্কিং আচরণ,मास्किंग वर्तन
অডিওর মাস্কিং প্রভাব,ऑडिओचा मास्किंग प्रभाव
থ্রেশহোল্ড মাস্কিং,मास्किंग थ्रेशोल्ड
মাস্কিং টোন,मास्किंग टोन
মাস্ট,मास्ट
মাস্ট রেডিয়েটার,मास्ट रेडिएटर
মাস্টার নিয়ন্ত্রণ,मास्टर कंट्रोल
মাস্টার অসিলট্রোর,मास्टर ऑसिलॅटरर
ম্যাচ-ইমিডেন্স,सामना-प्रतिबिंब
ম্যাচিং নেটওয়ার্ক,मॅचिंग नेटवर्क
ম্যাচিং স্টাব,मॅचिंग स्टब
ম্যাচিং ট্রান্সফর্মার,मॅचिंग ट्रान्सफॉर्मर
জিনিষ পত্র সরবরাহ,साहित्य-प्रक्रिया
ম্যাট্রিক্স,मॅट्रिक्स
সর্বাধিককরণ,जास्तीत जास्त
সর্বাধিক চাহিদা সূচক,जास्तीत जास्त मागणी निर्देशक
সর্বাধিক শক্তি ঘনত্ব,जास्तीत जास्त उर्जा घनता
সর্বাধিক সংবেদনশীলতা,जास्तीत जास्त संवेदनशीलता
সর্বাধিক তাপমাত্রা,जास्तीत जास्त तापमान
সর্বাধিক ব্যবহারযোগ্য ফ্রিকোয়েন্সি,जास्तीत जास्त वापरण्यायोग्य वारंवारता
সর্বোচ্চ মূল্য,कमाल मूल्य
ব্যর্থতার গড় সময়,अयशस्वी होण्याचा अर्थ
গড় মান,म्हणजे मूल्य
পরিমাপ সংকেত,मोजलेले सिग्नल
মাপা,मोजमाप
পরিমাপ যন্ত্র,डिव्हाइस मोजत आहे
পরিমাপ সরঞ্জাম,मोजण्याचे उपकरणे
পরিমাপক যন্ত্রপাতি,मोजण्याचे साधन
ক্ষেত্রের শক্তি পরিমাপের সরঞ্জাম,फील्ड सामर्थ्याचे मोजमाप
পরিমাপের ফিতা,मोजपट्टी
পদ্ধতি,यंत्रणा
মিডিয়া সার্ভার,मीडिया सर्व्हर
মধ্যম,मध्यम
মাঝারি ফ্রিকোয়েন্সি,मध्यम वारंवारता
মাঝারি ফ্রিকোয়েন্সি তরঙ্গ,मध्यम वारंवारता लाट
মাঝারি তরঙ্গ (মেগাওয়াট),मध्यम लाट (मेगावॅट)
মেগা-ওহম,मेगा-ओहम
মেগার,मेगर
স্মৃতি,मेमरी
পরামর্শদাতা,मार्गदर्शक
মেনু বার,मेनू बार
বুধ সুইচ,बुध स्विच
মার্জিং,विलीनीकरण
বার্তা,संदेश
মেটাডেটা,मेटाडेटा
ধাতব অক্সাইড সেমিকন্ডাক্টর ডায়োড,मेटल-ऑक्साईड सेमीकंडक्टर डायोड
ধাতব-শেথযুক্ত কেবল,मेटल-शीथ केबल
মিটার,मीटर
মিটারিং প্যানেল,मीटरिंग पॅनेल
মিকা,मीका
মাইকা-ইনসুলেশন,मीका-इन्सुलेशन
ক্ষুদ্র-,सूक्ष्म-
মাইক্রো উপাদান,सूक्ष्म घटक
মাইক্রো কম্পিউটার,सूक्ष्म संगणक
মাইক্রো-কন্ট্রোলার,मायक्रो-कंट्रोलर
মাইক্রো-ইলেক্ট্রনিক্স,मायक्रो-इलेक्ट्रॉनिक्स
মাইক্রোফোন,मायक्रोफोन
মাইক্রোফোনিক্স,मायक्रोफोनिक्स
মাইক্রোপ্রসেসর,मायक्रोप्रोसेसर
মাইক্রো-ভোল্ট (এমভি),मायक्रो-व्होल्ट (एमव्ही)
মাইক্রোওয়েভ,मायक्रोवेव्ह
মাইক্রোওয়েভ অ্যান্টেনা,मायक्रोवेव्ह अँटेना
মাইক্রোওয়েভ মরীচি,मायक्रोवेव्ह बीम
মিড-ব্যান্ড,मिड-बँड
স্থানান্তর,स्थलांतर
মাইগ্রেশন পাথ,स्थलांतर मार्ग
ক্ষুদ্রাকার,सूक्ष्म
মিনিয়েচারাইজড,लघुलेखित
সর্বনিম্ন,किमान
ন্যূনতম তাপমাত্রা,किमान तापमान
সর্বনিম্ন ব্যবহারযোগ্য ক্ষেত্র শক্তি,किमान वापरण्यायोग्य फील्ड सामर्थ्य
সংখ্যালঘু ক্যারিয়ার,अल्पसंख्याक वाहक
ভুল,गैरसमज
মিশ্রণ,मिसळा
মিশ্রিত ফাঁকা,मिश्रित ब्लँकिंग
মিশ্র সিঙ্ক,मिश्रित समक्रमण
মিক্সার,मिक्सर
মিক্সার টিউব,मिक्सर ट्यूब
মিশ্রণ,मिसळणे
মিশ্রণ সার্কিট,मिक्सिंग सर्किट
স্মৃতিচারণ,मेमोनिक
স্মৃতিসৌধ,मेमोनोनिक्स
মুঠোফোন,मोबाईल
মোবাইল মাল্টিমিডিয়া অ্যাপ্লিকেশন,मोबाइल मल्टीमीडिया अनुप्रयोग
মোবাইল টিভি,मोबाइल टीव्ही
মোড,मोड
ব্যর্থতার মোড,अपयशाची पद्धत
প্রচারের পদ্ধতি,प्रसार मोड
মডেল,मॉडेल
মডেম,मॉडेम
আধুনিক এফএম ট্রান্সমিটার,आधुनिक एफएम ट्रान्समीटर
আধুনিক প্রবণতা,आधुनिक ट्रेंड
কনফিগারেশন মোড,कॉन्फिगरेशनचे मोड
সংশোধন করুন,सुधारित करा
মডুলেটেড অবিচ্ছিন্ন তরঙ্গ,मॉड्युलेटेड सतत लाट
মোডুলেটেড সিগন্যাল,मॉड्युलेटेड सिग्नल
মডুলেটেড ওয়েভফর্ম,मॉड्युलेटेड वेव्हफॉर्म
মড্যুলেশন,मॉड्यूलेशन
মড্যুলেশন প্রশস্ততা,मॉड्यूलेशन मोठेपणा
মড্যুলেশন ক্ষমতা,मॉड्युलेशन क्षमता
মড্যুলেশন ফ্রিকোয়েন্সি,मॉड्युलेशन वारंवारता
মড্যুলেশন সূচক,मॉड्युलेशन इंडेक्स
মড্যুলেশন লিনিয়ারিটি,मॉड्यूलेशन रेषात्मकता
মড্যুলেশন মিটার,मॉड्युलेशन मीटर
মড্যুলেশন মনিটর,मॉड्युलेशन मॉनिटर
মড্যুলেশন শতাংশ,मॉड्युलेशन टक्केवारी
মডুলেটর,मॉड्युलेटर
মডিউল,मॉड्यूल
আর্দ্রতা,ओलावा
গতি,चालना
মনিটর,मॉनिटर
পর্যবেক্ষণ,देखरेख
পর্যবেক্ষণ এবং বিশ্লেষণ কৌশল,देखरेख आणि विश्लेषण तंत्र
পর্যবেক্ষণ এবং নিয়ন্ত্রণ,देखरेख आणि नियंत्रण
মনিটরিং স্টেশন,देखरेख स्टेशन
একরঙা,मोनोक्रोम
মনোফোনিক সংক্রমণ,मोनोफोनिक ट्रान्समिशन
মরফ,मॉर्फ
মরফিং,मॉर्फिंग
মরফিজম,मॉर्फिझम
মোজাইক,मोज़ेक
মাদারবোর্ড,मदरबोर्ड
গতি ক্ষতিপূরণ,मोशन भरपाई
গতি অনুমান,गती अंदाज
গতি ভেক্টর,मोशन वेक्टर
গতি ভিডিও,मोशन व्हिडिओ
মোটর,मोटर
মোটর অপারেটর,मोटर ऑपरेटर
মোটর স্টার্টার,मोटर स्टार्टर
মাউন্ট,माउंट
মাউস,माउस
মাউস ইন্টারফেস,माउस इंटरफेस
আন্দোলন,हालचाल
মাল্টি চ্যানেল এক্সটেনশন,मल्टी चॅनेल विस्तार
মাল্টিকাস্টিং,मल्टीकास्टिंग
মাল্টিচ্যানেল সংকেত,मल्टीचेनेल सिग्नल
মাল্টিডাইরেকশনাল মাইক্রোফোন,मल्टीडायरेक्शनल मायक्रोफोन
বহুভাষিক ভাষ্য,बहुभाषिक भाष्य
মাল্টিমিডিয়া,मल्टीमीडिया
মাল্টিমিডিয়া কিওস্ক,मल्टीमीडिया कियोस्क
মাল্টিমিটার,मल्टीमीटर
মাল্টিথ,मल्टीपाथ
মাল্টিথ রিসেপশন,मल्टीपाथ रिसेप्शन
মাল্টিপেজ,मल्टीफेस
একাধিক,एकाधिक
একাধিক অ্যাক্সেস সিস্টেম,एकाधिक प्रवेश प्रणाली
মাল্টিপ্লেক্স,मल्टीप्लेक्स
মাল্টিপ্লেক্সার,मल्टीप्लेक्सर
মাল্টিপ্লেক্সিং,मल्टीप्लेक्सिंग
মাল্টিস্টেজ পরিবর্ধক,मल्टीस्टेज एम्पलीफायर
মাল্টিটাস্কিং,मल्टीटास्किंग
মাল্টিভাইবারেটর,मल्टीव्हिब्रेटर
নিঃশব্দ,निःशब्द
পারস্পরিক আচরণ,परस्पर आवाहन
পারস্পরিক প্রতিবন্ধকতা,परस्पर प्रतिबाधा
পারস্পরিক আবেশাঙ্ক,परस्पर इंडक्टन्स
পারস্পরিক হস্তক্ষেপ,परस्पर हस्तक्षेप
ন্যানো-টেকনোলজি,नॅनो-टेक्नॉलॉजी
সংকীর্ণ,अरुंदबँड
সংকীর্ণতা,अरुंदकास्टिंग
প্রাকৃতিক খসড়া,नैसर्गिक मसुदा
নেভিগেটর,नेव्हिगेटर
নেতিবাচক,नकारात्मक
নেতিবাচক পক্ষপাত,नकारात्मक पूर्वाग्रह
নেতিবাচক চার্জ,नकारात्मक शुल्क
নেতিবাচক প্রতিক্রিয়া,नकारात्मक अभिप्राय
নেতিবাচক শিখর,नकारात्मक शिखर
নেতিবাচক প্রতিরোধ,नकारात्मक प्रतिकार
নেট লাভ,निव्वळ फायदा
নেট ক্ষতি,निव्वळ तोटा
নেটটিকেট,नेटिक्वेट
অন্তর্জাল,नेटवर्क
নেটওয়ার্ক বিশ্লেষক,नेटवर्क विश्लेषक
নেটওয়ার্ক ফাইল সিস্টেম,नेटवर्क फाइल सिस्टम
নেটওয়ার্ক পরিকল্পনা,नेटवर्क नियोजन
নেটওয়ার্ক সমাপ্তি,नेटवर्क टर्मिनेशन
নেটওয়ার্কিং,नेटवर्किंग
নিরপেক্ষ,तटस्थ
নিরপেক্ষ,तटस्थीकरण
নিউজ রুম অটোমেশন,न्यूज रूम ऑटोमेशन
নিবল,Nebe
কুলুঙ্গি,कोनाडा
কোনও লোড পরীক্ষা নেই,लोड चाचणी नाही
নোড,नोड
শব্দ,आवाज
শব্দ চিত্র,आवाज आकृती
শব্দ পরিশোধন,आवाज फिल्टर
শব্দ মেঝে,आवाज मजला
শব্দ গেট,आवाज गेट
গোলমাল অনাক্রম্যতা,आवाज प्रतिकारशक्ती
শব্দ কিলার,आवाज किलर
শব্দ স্তর,आवाजाची पातळी
শব্দ শক্তি,आवाज शक्ती
শব্দ শেপিং কোয়ান্টাইজার,ध्वनी आकाराचे क्वांटिझर
শব্দ উত্স,आवाज स्रोत
শব্দ দমন সার্কিট,आवाज दडपशाही सर्किट
শব্দ দমনকারী,आवाज सप्रेसर
শব্দের তাপমাত্রা,आवाज तापमान
শব্দের তাপমাত্রা,आवाज तापमान
শব্দ ত্রিভুজ,आवाज त्रिकोण
শব্দ ভোল্টেজ,आवाज व्होल्टेज
গোলমাল,गोंगाट
শোনা যায় না কোডিং,गोंगाट नसलेले कोडिंग
গোলমাল অভ্যর্থনা,गोंगाट करणारा रिसेप्शन
নামমাত্র ব্যবহারযোগ্য ক্ষেত্র শক্তি,नाममात्र वापरण्यायोग्य फील्ड सामर्थ्य
