Marathi,Gujarati
सामान्य  क्रमवारी/विलीन करा  कार्यक्रम,વ્યાપક  છટણી/મર્જ કરવું  કાર્યક્રમ
सामान्य  सबरूटिन,વ્યાપક  Subલટ
सामान्य मतदान,સામાન્ય મતદાન
सामान्य कार्यक्रम,સામાન્ય કાર્યક્રમ
सामान्य हेतू  संगणक,સામાન્ય હેતુ  કોમ્પ્યુટર
सामान्य हेतू  इंग्रजी,સામાન્ય હેતુ  ભાષા
सामान्य हेतू  ऑपरेटिंग सिस्टम,સામાન્ય હેતુ  કાર્યરત પદ્ધતિ
सामान्य हेतू  पेपर कार्ड,સામાન્ય હેતુ  કાગળ -કાર્ડ
सामान्य हेतू  नोंदणी करा,સામાન્ય હેતુ  નોંધણી કરવી
सामान्य हेतू  सिस्टम  सिम्युलेटर,સામાન્ય હેતુ  સિસ્ટમો  સિદ્ધ
सामान्य नोंदणी,સામાન્ય રજિસ્ટર
सामान्य दिनचर्या,સામાન્ય નિત્યક્રમ
सामान्य उपयुक्तता  कार्य,સામાન્ય ઉપયોગિતા  કાર્ય
व्युत्पन्न पत्ता,ઉત્પન્ન સરનામું
व्युत्पन्न कॅरी,ઉત્પન્ન વહન
व्युत्पन्न त्रुटी,ઉત્પન્ન ભૂલ
व्युत्पन्न कार्य,ઉત્પન્ન કાર્ય
व्युत्पन्न डेटा  गट,ઉધરેલી માહિતી  સમૂહ
पिढी डेटा  सेट,જનરેશન ડેટા  સમૂહ
पिढी  क्रमांक,નિર્માણ  નંબર
सामान्य नाव,સામાન્ય નામ
जेनेरिक प्रोग्राम,સામાન્ય કાર્યક્રમ
भौगोलिक स्टेशनरी,ભૂ-સ્થાયી
गिब्सन मिक्स,ગિબ્સન મિશ્રણ
ग्लिच,ભૂલ
ग्लोबल कोड,વૈશ્વિક સંહિતા
ग्लोबल लॉक,વિશ્વવ્યાપક
जागतिक शोध,વૈશ્વિક શોધ
जागतिक सेवा,વિશ્વ સેવા
ग्लोबल व्हेरिएबल,વૈશ્વિક ચલ
ग्लोबल व्हेरिएबल  चिन्ह,વૈશ્વિક ચલ  પ્રતીક
शब्दकोष कार्य,ગાળો -કાર્ય
जा-पुढे टोन,આગળનો અવાજ
गॉथिक कॅरेक्टर  सेट,ગોથિક  સમૂહ
मोहक  अधोगती,મનોરંજક  અધોગતિ
श्रेणीबद्ध निर्देशांक फायबर,ક્રમાંકિત અનુક્રમણિકા રેસા
सेवेचा ग्रेड,ગાળો
व्याकरण,વ્યાકરણ
आजोबा टेप,દાદા ટેપ
आलेख अनुयायी,આલેખ અનુયાયી
ग्राफिक वर्ण,આલેખક
ग्राफिक डेटा  कपात,ગ્રાફિક માહિતી  ઘટાડો
ग्राफिक डेटा रचना,ગ્રાફિક માહિતી માળખું
ग्राफिक प्रदर्शन  कार्यक्रम,ગ્રાફિક પ્રદર્શન  કાર્યક્રમ
ग्राफिक प्रदर्शन  ठराव,ગ્રાફિક પ્રદર્શન  ઠરાવ
ग्राफिक प्रदर्शन  युनिट,ગ્રાફિક પ્રદર્શન  એકમ
ग्राफिक  दस्तऐवजीकरण,ગ્રાજક  દસ્તાવેજીકરણ
ग्राफिक फाइल  देखभाल,ગ્રાફિક ફાઇલ  જાળવણી
ग्राफिक जॉब  प्रोसेसर,ગ્રાફિક કામ  પ્રોસેસર
ग्राफिक भाषा,ગ્રાફિક ભાષા
ग्राफिक पॅनेल,ગ્રાફિક પેનલ
ग्राफिक्स  परिघीय,ગ્રાજક  ઉપસર્ગ
ग्राफिक्स प्लॉटर,ગ્રાહક કાવતરું
ग्राफिक्स रूटीन,ગ્રાફિક્સ રૂટીન
ग्राफिक्स टॅब्लेट,ગ્રાફિક ટેબ્લેટ
राखाडी कोड,ગ્રે સંહિતા
ग्रीड चार्ट,ગ્રિડ ચાર્ટ
एकूण वजा,એકંદર બાદબાકી
ग्रॉस प्लस,એકંદર વત્તા
ग्राउंड रिटर्न  सर्किट,જમીન પરત ફરવું  સરકીટ
ग्राउंड प्रारंभ,પ્રારંભ
गट पत्ता,જૂથ -સંબોધન
गट प्राधिकरण,સમૂહ અધિકારી
गट वितरण  फ्रेम,સમૂહ -વિતરણ  ક્રમાંક
गटबद्ध रेकॉर्ड,જૂથ -વિક્રમ
गट सूचित,જૂથ સૂચવે છે
रेकॉर्डचे गटबद्ध करणे,જૂથબંધી
गटाचे नाव,સમૂહનું નામ
गट मतदान,સમૂહ -મતદાન
गट मुद्रण,સમૂહ મુદ્રણ
गट विभाजक,સમૂહ -વિભાગક
गार्ड बँड,બચાવેલા પટ્ટા
गार्ड सिग्नल,રક્ષક સિધ્ધાંત
मार्गदर्शन कोड,માર્ગ -સંહિતા
मार्गदर्शक मार्जिन,માર્ગદર્શિકાનો ગાળો
गल्ली,Gીલું
अर्ध्या कॅरी,અર્ધ-બાંધકામ
अर्धा-डुप्लेक्स,અંધકારમય
अर्धा-डुप्लेक्स  चॅनल,અંધકારમય  માર્ગ
अर्धा-डुप्लेक्स सर्किट,અર્ધ-ડુપ્લેક્સ સર્કિટ
अर्धा-डुप्लेक्स  ऑपरेशन,અંધકારમય  સંચાલન
अर्धा-डुप्लेक्स सेवा,અર્ધ-ડુપ્લેક્સ
अर्धा-डुप्लेक्स  संसर्ग,અંધકારમય  ટ્રાન્સમિશન
अर्धा सूचना,અર્ધ -સૂચના
अर्धा तीव्रता,અર્ધ તીવ્રતા
अर्धा -पथ,અર્ધ -પથ
अर्धा गती,અર્ધ-ગતિ
अर्धा-सबट्रॅक्टर,સાવડો પ્રતિનિધિ
हाफटोन प्लॉटिंग,હાફટોન કાવતરું
अर्धा शब्द,અર્ધ-શબ્દ
हॅमिंग कोड,હેમિંગ કોડ
हॅमिंग अंतर,હેમિંગ અંતર
हँड-फीड पंच,હસ્તાક્ષર
हाताने  कॅल्क्युलेटर,હાથે પકડવું  ગણક
हाताळणी,હાથરિયો
हात बंद,કિલ્લેબંધી કરવી
हाताने  पार्श्वभूमी,હથિયાર પર  પૃષ્ઠભૂમિ
हात सेट,હાથ
हात थरथरणे,હાથ ધ્રુજારી
हार्ड कॉपी,હાર્ડ કોપી
हार्ड-कॉपी लॉग,સખત કાવતરાં
हार्ड-कॉपी व्हिडिओ  इंटरफेस,સખત વીડિયો વિડિઓ  પ્રસારણ
हार्ड डिस्क,હાર્ડ ડિસ્ક
कठोर त्रुटी,સખત ભૂલ
हार्ड सेक्टरिंग,હાર્ડ સેક્ટરિંગ
हार्ड स्टॉप,સખત અટકાયત
हार्डवेअर,હાર્ડવેર
हार्डवेअर तपासणी,હાર્ડવેર તપાસ
हार्डवेअर त्रुटी  पुनर्प्राप्ती,હાર્ડવેર ભૂલ  પુન: પ્રાપ્તિ
हार्डवेअर भाषा,હાર્ડવેર ભાષા
हार्डवेअर दर,હાર્ડવેર
हार्ड-वायर्ड,સખત વાયરવાળું
हार्डवायरिंग,સખત મહેનત
हार्मोनिक  विकृती,સુનિશ્ચિત  વિકૃતિ
हार्मोनिक  टेलिफोन रिंगर,સુનિશ્ચિત  ટેલિફોન કથન
हॅश,એક જાત
हॅश इंडेक्स,હેશ
हॅशिंग,હસવું
हॅशिंग अल्गोरिदम,હસિંગ અલ્ગોરિધમનો
हॅशिंग फंक्शन,હસિંગ ફંક્શન
हॅशिंग तंत्र,હસિંગ તકનીક
एकूण हॅश,હજ
हॅश मूल्य,હેશી મૂલ્ય
शीर्षलेख,ખડક
शीर्षलेख कार्ड,મુખ્ય કાર્ડ
शीर्षलेख लेबल,મુખ્ય મથક
शीर्षलेख विभाग,મથાળું ક્ષેત્ર
शीर्षलेख पत्रक,મથારી
डोके अंतर,માથાનો વિસ્તાર
शीर्षक,મથાળું
शीर्षक नोंदी,મથાળા રેકોર્ડ
ओव्हर ओव्हर,હારી
Hecition,ખચકાટ
हेटरोडिन  रिसेप्शन,વિજાતીય  સ્વાગત
हेटरोडिन  पुनरावृत्ती करणारा,વિજાતીય  પુનરાવર્તન કરનાર
विषम  मल्टीप्लेक्स,વિજાતીય  અનેકગણું
विषम  नेटवर्क,વિજાતીય  નેટવર્ક
ह्युरिस्टिक,ઉપદ્રવને લગતું
ह्युरिस्टिक पद्धत,Heંચી પદ્ધતિ
हेक्साडेसिमल,હેક્સાડેસીલ
हेक्साडेसिमल  स्थिर,હેક્સાડેસીલ  સતત
हेक्साडेसिमल  नोटेशन,હેક્સાડેસીલ  સંકેત
हेक्स पॅड,હેક્સ પેડ
लपलेली ओळ,છુપાયેલ રેખા
लपलेली ओळ  काढणे,છુપાયેલ રેખા  દૂર કરવું તે
श्रेणीबद्ध  वर्गीकरण,પત્રવ્યવહાર  વર્ગીકરણ
श्रेणीबद्ध  संगणक  नेटवर्क,પત્રવ્યવહાર  કોમ્પ્યુટર  નેટવર્ક
श्रेणीबद्धपणे  समक्रमित  नेटवर्क,વંશવેલી રીતે  સમકાલીન  નેટવર્ક
श्रेणीबद्ध  नेटवर्क,પત્રવ્યવહાર  નેટવર્ક
श्रेणीबद्ध  रचना,પત્રવ્યવહાર  માળખું
पदानुक्रम,હાયરાર્કી
पदानुक्रम  ऑपरेशन्स,વંશવેલો  કામગીરી
उच्च पत्ता,ઉચ્ચ સરનામું
उच्च बाइट,Highંચું બાઇટ
उच्च घनता,ઉચ્ચ ઘનતા
उच्च वारंवारता  वितरण  फ्रेम,ઉચ્ચ આવર્તન  વિતરણ  ક્રમાંક
उच्च स्तरीय कंपाईलर,ઉચ્ચ કક્ષાના સંકલનકર્તા
उच्च स्तरीय डेटा दुवा नियंत्रण,ઉચ્ચ કક્ષાના ડેટા લિંક નિયંત્રણ
उच्चस्तरीय  असेंबलर,ઉચ્ચ સ્તર  ભેગા કરનાર
उच्च स्तरीय स्त्रोत  कोड,ઉચ્ચ કક્ષાના સાધન  સંહિતા
उच्च प्रकाश,ઉચ્ચ પ્રકાશ
उच्च ऑर्डर  स्थिती,રાજવંશ  પદ
उच्च पास,ઉચ્ચ પાસ
उच्च कार्यक्षमता  उपकरणे,સારો પ્રદ્સન  સામાન
उच्च पंच,ઉચ્ચ પંચ
हाय स्पीड कॅरी,ઉચ્ચ ગતિ
हाय स्पीड रीडर,સઘન વાચક
उच्च वापर गट,ઉચ્ચ ઉપયોગ જૂથ
महामार्ग,ધોરીમાર્ગ
हाय-लो टॅरिफ,હાય-લો ટેરિફ
हिरागाना,હિરાગના
इतिहास फाईल,ઇતિહાસ ફાઇલ
इतिहास चालवा,ઇતિહાસ ચલાવો
दाबा,ફટકો
माशीवर दाबा  प्रिंटर,ફ્લાય પર હિટ  મુદ્રક
लाइनवर दाबा,લાઈન પર હિટ
हिट रेशो,હડ પ્રમાણ
सुविधा होल्ड करा,પકડવાની સુવિધા
बीम होल्डिंग,હોલ્ડિંગ બીમ
होल्डिंग वेळ,સમયનો હોલ્ડિંગ સમય
सूचना धरा,સૂચના
पॅटर्न होल्ड करा,પ patternિયન્ટ
होलेरिथ कार्ड,Hંચા
होलेरिथ कोड,ગાલરીથ કોડ
होलोग्राम,યહૂદી
होलोग्राफिक आधारित  प्रणाली,સ્વધનક્ષુક્ત આધારિત  પદ્ધતિ
घरचा पत्ता,ઘરનું સરનામું
मुख्यपृष्ठ की,ઘરની ચાવી
होम लूप,ઘરની લૂપ
मुख्यपृष्ठ क्रमांक  योजना क्षेत्र,ઘરની સંખ્યા  યોજના વિસ્તાર
होमिओस्टॅटिस,હોમિયોસ્ટેટ
मुख्यपृष्ठ,દેશી પદ
मुख्यपृष्ठ रेकॉर्ड,ઘરગથ્થુ વિજેતા
एकसंध  नेटवर्क,સમાન  નેટવર્ક
हॉपर,ઘૂંટણ
क्षैतिज फीड,આડી ફીડ
क्षैतिज रास्टर  गणना,આડી રાસ્ટર  ગણતરી
क्षैतिज प्रणाली,આડી પદ્ધતિ
क्षैतिज सारणी,આડી કોષ્ટક
क्षैतिज  टॅब्युलेशन  वर्ण,આડા  કોઠા  પાત્ર
क्षैतिज  भोवती गुंडाळा,આડા  આજુબાજુ વીંટાળો
होस्ट,યજમાન
होस्ट अनुप्रयोग  कार्यक्रम,યજમાનની અરજી  કાર્યક્રમ
होस्ट संगणक,યજમાન
होस्ट इंटरफेस,યજમાન ઇન્ટરફેસ
होस्ट नोड,યજમાન
होस्ट स्विच,યજમાન
होस्ट सिस्टम,યજમાન
हॉट चेसिस,ગરમ ચેસિસ
गरम उभे,ગરમ standingભું
हॉट झोन,ગરમ ક્ષેત્ર
घरपट्टी,ગૃહ રાખવાનું
घरपट्टी  ऑपरेशन,ગૃહ રાખવાનું  સંચાલન
हब,હબ
हब लेआउट,હબ લેઆઉટ
मानवी सहाय्य  मशीन  अनुवाद,માનવ સહાયતા  મશીન  ભાષાંતર
मानवीभिमुख  इंग्रजी,માનવી  ભાષા
शिकार,શિકાર
हायब्रीड कॉइल,સંકર
संकरित संगणक,સંકર કમ્પ્યુટર
संकरित समाकलित  सर्किट,સંકર એકીકૃત  સરકીટ
संकरित इंटरफेस,સંકર
संकरित  प्रोग्रामिंग,સંકર  કાર્યક્રમ
संकरित सेट,સંકર સમૂહ
संकरित प्रणाली,સંકર પદ્ધતિ
हायफन ड्रॉप,વર્ણસંકર
ओळख  विभागणी,ઓળખ  ભાગ
अभिज्ञापक,ઓળખકર્તા
अभिज्ञापक शब्द,ઓળખ -શબ્દ
ओळख,ઓળખ
ओळख घटक,ઓળખ તત્વ
ओळख गेट,ઓળખ દ્વાર
ओळख ऑपरेशन,ઓળખ -કામગીરી
ओळख युनिट,ઓળખ એકમ
निष्क्रिय वर्ण,નિષ્ક્રિય
निष्क्रिय ओळ,નિષ્ક્રિય રેખા
निष्क्रिय ओळ  समाप्ती,નિષ્ક્રિય રેખા  સમાપ્તિ
निष्क्रिय दुवा,નિષ્ક્રિય કડી
फक्त आणि केवळ आणि फक्त-  जर घटक,જો અને ફક્ત-  જો તત્ત્વ
फक्त आणि केवळ आणि फक्त-  जर गेट,જો અને ફક્ત-  જો
फक्त आणि केवळ आणि फक्त-  ऑपरेशन तर,જો અને ફક્ત-  જો ઓપરેશન
जर रीपीटर,જો પુનરાવર્તિત
जर विधान,જો
तर-नंतर घटक,તો પછી તત્વ
If-Then-else,જો
जर-त्यानंतर गेट,જો પછીનો દરવાજો
जर तर  ऑपरेशन,તો પછી  સંચાલન
दुर्लक्ष करा,અવગણવું
वर्णांकडे दुर्लक्ष करा,પાત્રને અવગણો
बेकायदेशीर पात्र,ગેરકાયદે પાત્ર
बेकायदेशीर ऑपरेशन,ગેરકાયદે કામગીરી
प्रतिमा,તસવીર
प्रतिमा अँटेना,છબી
प्रतिमा क्षेत्र,છબી ક્ષેત્ર
प्रतिमा विच्छेदक,છબી
प्रतिमा ग्राफिक्स,છબીનો ગ્રાફિક્સ
प्रतिमा प्रिंटर,છબી મુદ્રક
प्रतिमा प्रक्रिया,તસવીર
प्रतिमा सेन्सर,સદી
प्रतिमा जागा,છબીની જગ્યા
त्वरित प्रवेश,તાત્કાલિક પ્રવેશ
त्वरित प्रवेश  संचयन,તાત્કાલિક પ્રવેશ  સંગ્રહ
त्वरित पत्ता,તાત્કાલિક સંબોધન
त्वरित  पत्ता,તાત્કાલિક  સંબોધન
त्वरित डेटा,તત્કાલ ડેટા
त्वरित  सूचना,તાત્કાલિક  સૂચના
त्वरित  प्रक्रिया,તાત્કાલિક  પ્રક્રિયા
त्वरित कार्य,તાત્કાલિક કાર્ય
प्रभाव पेपर,અસર -કાગળ
प्रभाव प्रिंटर,અસર
अत्यावश्यक  मॅक्रोइन्स्ट्रक्शन,અનિવાર્ય  સંસ્કાર
अत्यावश्यक ऑपरेशन,આવશ્યક કામગીરી
अत्यावश्यक  विधान,અનિવાર્ય  નિવેદન
परिणाम,ફસાવવું તે
अंतर्भूत पत्ता,ગર્ભિત સરનામું
पूर्ण  घोषणा,ગર્ભિત  જાહેરાત
अंतर्भूत पत्ता,ગર્ભિત સંબોધન
इंट्रिंटर,અસર કરનાર
ठसा,છાપવાળું
छाप स्थिती,છાપ સ્થિતિ
सुधारित मोबाइल  दूरध्वनी सेवा,મોબાઈલ  દૂરભાષ સેવા
प्रेरणा,આવેશ
आवेग आवाज,આનો અવાજ
निष्क्रिय दुवा,નિષ્ક્રિય કડી
निष्क्रिय नोड,નિષ્ક્રિય નોડ
निष्क्रिय स्टेशन,નિષ્ક્રિય મથક
इनबँड सिग्नलिंग,બેન્ડ સિગ્નલ
जजित वेळ,અસહાય સમય
अनिवार्य अपयश,અનિવાર્ય નિષ્ફળતા
सर्किट इन  अनुकरण,સર્ક્યુટ  ઉતાવળ
समावेश,સમાવેશ
समावेशक-नॉर  ऑपरेशन,સમાવિષ્ટ  સંચાલન
समावेशक-किंवा घटक,સમાવિષ્ટ તત્ત્વ
समावेशक-किंवा गेट,સમાવિષ્ટ-ગેટ
समावेशक-किंवा  ऑपरेशन,સમાવિષ્ટ  સંચાલન
सर्वसमावेशक संदर्भ,પ્રેશીત સંદર્ભ
समावेशक विभाग,સમાવેશરૂપ ક્ષેત્ર
येणारा संदेश,આવતો સંદેશો
इनकमिंग ट्रंक,આગામી થડ
इनकॉनक्टर,અસંગત
वाढ,વધારો
वाढीव  कंपाईलर,બિનથી વધુ પ્રમાણમાં  સંકલન કરનાર
वाढीव  संगणक,બિનથી વધુ પ્રમાણમાં  કોમ્પ્યુટર
वाढीव  अंमलबजावणी,બિનથી વધુ પ્રમાણમાં  અમલ
वाढीव  इंटिग्रेटर,બિનથી વધુ પ્રમાણમાં  સંક્રમક
वाढीव  प्रतिनिधित्व,બિનથી વધુ પ્રમાણમાં  પ્રતિનિધિત્વ
वाढीव वेक्टर,ઇન્ક્રી -વેક્ટર
वाढीव,ઇન્ક્રીટેર
वाढीचा आकार,ઉપણા કદ
Endegree,અનિવાર્ય
इंडेंट,માંગ
इंडेंट टॅब  वर्ण,માંગ -ટેબ  પાત્ર
अनिश्चित  प्रणाली,અનિશ્ચિત  પદ્ધતિ
अनिश्चित (एक्स)  राज्य,અનિશ્ચિત (x)  રાજ્ય
निर्देशांक बिल्ड,અનુક્રમણિકા
अनुक्रमणिका वर्ण,અનુક્રમણિકા
निर्देशांक डेटा आयटम,અનુક્રમ માહિતી વસ્તુ
अनुक्रमित पत्ता,અનુક્રમિત સરનામું
अनुक्रमित डेटा नाव,અનુક્રમિત ડેટા નામ
अनुक्रमित डेटा सेट,અનુક્રમિત ડેટા સમૂહ
अनुक्रमित फाईल,અનુક્રમિત ફાઇલ
अनुक्रमित अनुक्रमिक  प्रवेश पद्धत,ક્રમિક  પ્રવેશ પદ્ધતિ
अनुक्रमित अनुक्रमिक  डेटा सेट,ક્રમિક  આંકડા
अनुक्रमित अनुक्रमिक  संस्था,ક્રમિક  સંગઠન
अनुक्रमणिका प्रवेश,સૂચિ નોંધ
अनुक्रमणिका फाइल,સૂચિ
अनुक्रमणिका भोक,અનુક્રમણિકા
अनुक्रमणिका,અનુક્રમણિકા
अनुक्रमणिका आणि  अमूर्त,અનુક્રમણિકા અને  યોગ્યતા
अनुक्रमणिका नाव,સૂચકાનું નામ
निर्देशांक योजना,સૂચિ યોજના
अनुक्रमणिका नोंदणी,સૂચિ રજિસ્ટર
अनुक्रमणिका परत  वर्ण,અનુક્રમ વળતર  પાત્ર
अनुक्रमे अनुक्रमे  फाईल,અનુક્રમણિકા  ફાઈલ
अनुक्रमे अनुक्रमे  पद्धत,અનુક્રમણિકા  પદ્ધતિ
अनुक्रमणिका स्लॉट,સૂચિ -ઘુસી
निर्देशांक संज्ञा,સૂચિ મુદત
अनुक्रमणिका शब्द,સૂચિ શબ્દ
सूचक,સૂચક
अप्रत्यक्ष प्रवेश,પરોક્ષ પ્રવેશ
अप्रत्यक्ष पत्ता,પરોક્ષ સરનામું
अप्रत्यक्ष पत्ता,પરોક્ષ સંબોધન
अप्रत्यक्ष सूचना,પરોક્ષ સૂચના
वैयक्तिक ओळ  सेवा,વ્યક્તિગત રેખા  સેવા
अनुमान इंजिन,અનુમાન એન્જિન
निकृष्ट (= सबस्क्रिप्ट),ઉષ્ણતા (= સબસ્ક્રિપ્ટ)
अनंत पॅड पद्धत,અનંત પેડ પદ્ધતિ
इन्फिक्स नोटेशन,ઈન્ફિક્સ સંકેત
इन्फिक्स ऑपरेशन,આરણમૂલક કામગીરી
माहितीशास्त्र,માહિતી
माहिती,જાણ
माहिती-  वाहक चॅनेल,માહિતી  ધારક
माहिती बिट,માહિતી
माहिती  चॅनल,જાણ  માર્ગ
माहिती  सामग्री,જાણ  સંતુષ્ટ
माहिती  सामग्री बायनरी  युनिट,જાણ  દ્વિસંગી  એકમ
माहिती  सामग्री दशांश  युनिट,જાણ  દશાંશ  એકમ
माहिती  सामग्री नैसर्गिक  युनिट,જાણ  પ્રાકૃતિક  એકમ
माहिती किंमत,માહિતી ખર્ચ
माहिती  अभिप्राय प्रणाली,જાણ  પ્રતિસાદ પદ્ધતિ
माहिती प्रवाह  विश्लेषण,માહિતી પ્રવાહ  વિશ્લેષણ
माहिती  कार्य,જાણ  કાર્ય
माहिती  इंटरचेंज,જાણ  વિનિમય
माहिती  उपाय,જાણ  માપ
माहिती  प्रक्रिया,જાણ  પ્રક્રિયા
माहिती दर,માહિતી દર
माहिती  पुनर्प्राप्ती,જાણ  પુનઃપ્રાપ્તિ
माहिती  पुनर्प्राप्ती प्रणाली,જાણ  પુનર્મ્રશેક પદ્ધતિ
माहिती  विभाजक,જાણ  વિભાજક
माहिती सिंक,સુશોભિત માહિતી
माहिती  स्त्रोत,જાણ  મૂળ
माहिती  तंत्रज्ञान,જાણ  પ્રાતળતા
माहिती सिद्धांत,માહિતી સિદ્ધાંત
माहिती  हस्तांतरण मॉड्यूल,જાણ  તબદીલી મોડ્યુલ
माहिती शब्द,માહિતી શબ્દ
अंतर्निहित  पारदर्शकता,અંતર્ગત  પારદર્શકતા
वारसा त्रुटी,વારસામાં મળેલ ભૂલ
इनपुट इनपुट,ઇનપુટ ઇનપુટ
प्रतिबंधित राज्य,અટકાવેલું રાજ્ય
सिग्नल इनहिबेटिंग,અવરોધ
नाडी प्रतिबंधित करा,પલ્સ અટકાવે છે
इन-हाऊस लाइन,ઘરની લાઇન
इन-हाऊस सिस्टम,ઘરની પદ્ધતિ
प्रारंभिक पत्ता,પ્રારંભિક સરનામું
प्रारंभिक स्थिती  मोड,પ્રારંભિક શરત  પદ્ધતિ
प्रारंभिक सूचना,પ્રારંભિક સૂચના
आरंभ,પ્રારંભિક
आरंभ करा,પ્રારંભ કરવો
आरंभिक दिनचर्या,પ્રારંભિક નિત્યક્રમ
प्रारंभिक ऑर्डर,પ્રારંભિક હુકમ
प्रारंभिक प्रक्रिया,પ્રારંભિક કાર્યપદ્ધતિ
प्रारंभिक कार्यक्रम  लोड,પ્રારંભિક કાર્યક્રમ  બોજો
प्रारंभिक कार्यक्रम  लोडर,પ્રારંભિક કાર્યક્રમ  લોહિયો
आरंभिक प्रक्रिया,આરંભ કરનાર કાર્યપદ્ધતિ
आरंभिक कार्य,પહેલ કરનાર
आरंभकर्ता/मुदत-  Nater,આરંભ કરનાર/ટર્મિ-  નેટર
शाई,શાખા
शाई जेट प्रिंटर,શાહી જેટ પ્રિન્ટર
शाई एकरूपता,શાહી એકરૂપતા
इन-लाइन कोड,ન્યા-યોજના
इन-लाइन प्रक्रिया,ન inં
इन-लाइन प्रक्रिया,ના -રેખા પ્રક્રિયા
इन-लाइन रिकव्हरी,Recoveryબ પુન recoveryપ્રાપ્તિ
इन-लाइन सब्रूटिन,અવયવો
अंतर्गत कोड,આંતરિક સંકેત
आतील  मॅक्रोइन्स्ट्रक्शन,આંતરિક  સંસ્કાર
अक्षम्य वेळ,અપૂર્ણ સમય
इन-प्लांट सिस्टम  (= इनहाउस  प्रणाली),વાવેતર પદ્ધતિ  (= ઇનહાઉસ  સિસ્ટમ)
इनपुट क्षेत्र,ઇનપુટ વિસ્તાર
इनपुट ब्लॉक,ઇનપુટ અવરોધ
इनपुट अवरोधित करणे घटक,ઇનપુટ અવરોધ પરિબળ
इनपुट बफर  नोंदणी करा,ઇનપુટ બફર  નોંધણી કરવી
इनपुट चॅनेल,ઇનપુટ માટા
इनपुट डेटा  प्रमाणीकरण,ઇનપાર ડેટા  માન્યતા આપવી તે
इनपुट फील्ड,ઇનપુટ ક્ષેત્ર
इनपुट सूचना  कोड,ઇનપુટ સૂચના  સંહિતા
इनपुट जॉब स्ट्रीम,ઇનપુટ જોબ સ્ટ્રીમ
इनपुट मर्यादित  कार्यक्रम,ઇનપુટ લિમિટેડ  કાર્યક્રમ
इनपुट लोडिंग,ઇનપુટ લોડ કરવા
इनपुट आउटपुट बोर्ड,ઇનપુટ આઉટપુટ બોર્ડ
इनपुट आउटपुट  बफर,ઇનપુટ આઉટપુટ  બફર
इनपुट आउटपुट  नियंत्रक,ઇનપુટ આઉટપુટ  નિયંત્રક
इनपुट आउटपुट  नियंत्रण यंत्रणा,ઇનપુટ આઉટપુટ  નિયંત્રણ પદ્ધતિ
इनपुट आउटपुट सायकल,ઇનપુટ આઉટપુટ ચક્ર
इनपुट आउटपुट  साधन,ઇનપુટ આઉટપુટ  સાધન
इनपुट आउटपुट  व्यत्यय,ઇનપુટ આઉટપુટ  અટકાયત
इनपुट-आउटपुट (आय/ओ),ઇનપુટ-આઉટપુટ (I/O)
इनपुट आउटपुट  लायब्ररी,ઇનપુટ આઉટપુટ  પુસ્તકાલય
इनपुट आउटपुट  मर्यादित ऑपरेशन,ઇનપુટ આઉટપુટ  મર્યાદિત કામગીરી
इनपुट आउटपुट  प्रोसेसर,ઇનપુટ આઉટપુટ  પ્રોસેસર
इनपुट आउटपुट  संदर्भ,ઇનપુટ આઉટપુટ  સંદર્ભ
इनपुट आउटपुट  नोंदणी करा,ઇનપુટ આઉટપુટ  નોંધણી કરવી
इनपुट आउटपुट  दिनचर्या,ઇનપુટ આઉટપુટ  રોજિંદા
इनपुट आउटपुट  विभाग,ઇનપુટ આઉટપુટ  વિભાગ
इनपुट आउटपुट  विधान,ઇનપુટ આઉટપુટ  નિવેદન
इनपुट आउटपुट  स्विचिंग,ઇનપુટ આઉટપુટ  ફેરબદલ
इनपुट आउटपुट युनिट,ઇનપુટ આઉટપુટ એકમ
इनपुट प्रक्रिया,ઇનપુટ પ્રક્રિયા
इनपुट प्रोग्राम,ઇનપુટ કાર્યક્રમ
इनपुट रीडर,ઇનપુટ વાચક
इनपुट संदर्भ,ઇનપુટ સંદર્ભ
इनपुट नित्यक्रम,ઇનપુટ નિત્યક્રમ
इनपुट विभाग,ઇનપુટ અનુભાગ
इनपुट राज्य,ઇનપુટ રાજ્ય
इनपुट स्टेशन,ઇનપુટ સ્ટેશન
इनपुट स्टोरेज,ઇનપુટ સંગ્રહ
इनपुट प्रवाह,ઇનપુટ સ્ટ્રીમ
इनपुट अनुवादक,ઇનપુટ અનુવાદક
इनपुट युनिट,ઇનપુટ એકમ
इनपुट प्रमाणीकरण,ઇનપુટ માન્યતા
चौकशी आणि  व्यवहार  प्रक्रिया,તપાસ  સોદા  પ્રક્રિયા
चौकशी वर्ण,તપાસનું પાત્ર
चौकशी प्रदर्शन  टर्मिनल,તપાસ  અંતિમ
चौकशी/उत्तर,પૂછપરછ/જવાબ
चौकशी/प्रतिसाद  ऑपरेशन,તપાસ/પ્રતિસાદ  સંચાલન
चौकशी स्टेशन,તપાસ કેન્દ્ર
चौकशी व्यवहार,તપાસ
चौकशी युनिट,તપાસ એકમ
लिखित,લખવું
घाला,દાખલ કરવું
अंतर्भूत चित्र  वर्ण,નિવેશ ચિત્ર  પાત્ર
अंतर्भूत क्रमवारी,સંક્ષિપ્ત રૂપ
आत वनस्पती,અંદરનો છોડ
स्पूल क्षेत्रात,સ્પૂલ વિસ્તારમાં
