Telugu,Bengali
లీజుకు తీసుకున్న వసతి,লিজড আবাসন
లీజుహోల్డ్,লিজহোল্ড
లీజుహోల్డర్,ইজারাদার
లీజింగ్,ইজারা
వదిలి,ছেড়ে দিন
ఎన్‌క్యాష్‌మెంట్ వదిలివేయండి,নগদীকরণ ছেড়ে
జీతం వదిలేయండి,বেতন ছেড়ে দিন
ఖాళీని వదిలివేయండి,শূন্যস্থান ছেড়ে দিন
చెల్లింపు లేకుండా వదిలివేయండి,পারিশ্রমিক বিহীন ছুটি
పేతో వదిలివేయండి,বেতন দিয়ে ছেড়ে দিন
లెక్చర్ హాల్,বক্তৃতা হল
లెడ్జర్,খাতা
లెడ్జర్ సంతులనం,লেজার ভারসাম্য
లెగసీ,উত্তরাধিকার
చట్టపరమైన,আইনী
చట్టబద్ధత,বৈধতা
చట్టబద్ధత,আইনীকরণ
చట్టబద్ధంగా,আইনত
చట్టపరమైన అభ్యాసం,আইনগত কর্মকান্ড
లెగటీ,লেগেটে
స్పష్టంగా,সুস্পষ্ট
శాసనసభ,বিধানিক
శాసనసభ వ్యాపారం,আইনী ব্যবসা
శాసనసభ,আইনসভা
చట్టబద్ధత,বৈধতা
చట్టబద్ధమైనది,বৈধ
విశ్రాంతి,অবসর
సానుకూలత,লেন্সি
అద్దెదారు,লিজি
లేఖ,চিঠি
లెటర్ ప్యాడ్,চিঠি প্যাড
లెవీ,লেভি
బాధ్యత,দায়বদ্ধতা
బాధ్యత,দায়ী
అనుసంధానం,মৈত্রী
గ్రంధాలయం,গ্রন্থাগার
లైసెన్స్,লাইসেন্স
లైసెన్స్ హోల్డర్,লাইসেন্সধারী
లైసెన్స్,লাইসেন্স
లైసెన్సు,লাইসেন্সদাতা
లియన్,লিয়েন
జీవిత ధృవీకరణ పత్రం,জীবন শংসাপত্র
పరిమితి,সীমা
పరిమితి,সীমাবদ্ধতা
పరిమితం,সীমাবদ্ধ
పరిమిత ఆందోళన,সীমিত উদ্বেগ
పరిమిత బాధ్యత,সীমিত দায়
పరిమిత టెండర్,সীমিত টেন্ডার
లింక్,লিঙ্ক
లింక్ చేయబడింది,সংযুক্ত
లింక్డ్ ఫైల్,লিঙ্কযুক্ত ফাইল
లింక్ భాష,লিঙ্ক ভাষা
లిక్విడేటెడ్ నష్టాలు,তরল ক্ষয়ক্ষতি
లిక్విడేషన్,তরলকরণ
లిక్విడేటర్,লিকুইডেটর
జాబితా,তালিকা
వ్యాపార జాబితా,ব্যবসায়ের তালিকা
అక్షరాస్యులు,সাক্ষর
వ్యాజ్యం,মামলা -মোকদ্দমা
వ్యాజ్యం,মামলা মোকদ্দমা
లివరీ భత్యం,লিভারি ভাতা
పశువులు,পশুসম্পত্তি
జీవన ప్రమాణం,জীবনযাত্রার মান
జీవన వేతనం,জীবিত মজুরি
లోడ్,লোড হচ্ছে
ఋణం,Loan ণ
రుణగ్రహీత,Lo ণদানকারী
రుణాల విభాగం,Loan ণ বিভাগ
లాబీ,লবি
లాబీయింగ్,তদবির
వ్యవధిలో లాక్ చేయండి,পিরিয়ড লক
లాక్ అవుట్,লক আউট
లోకస్ స్టాండి,লোকাস স্ট্যান্ডি
బస,থাকার ব্যবস্থা
లాగ్ బుక్,লগ বই
లాజిక్,যুক্তি
లోగో,লোগো
సుదూర కాల్,দীর্ঘ দূরত্ব কল
పొడవాటి చేతి,লম্বা হাত
చాలా,অনেক
తక్కువ,নিম্ন
అత్యల్ప రేటు,সর্বনিম্ন হার
తక్కువ శ్రేణి,নিম্ন মানের
లాయల్,অনুগত
మొత్తం మొత్తం,একটি একক সমষ্টিগত অর্থ
లంప్సమ్ గ్రాంట్,লম্পসাম গ্রান্ট
యంత్రాలు,যন্ত্রপাতি
ప్రభుత్వ యంత్రాలు,সরকারের যন্ত্রপাতি
పత్రిక,ম্যাগাজিন
మెయిలింగ్ జాబితా,মেইলিং তালিকা
నిర్వహించండి,রক্ষণাবেক্ষণ
నిర్వహణ,রক্ষণাবেক্ষণ
ప్రధాన,মেজর
మెజారిటీ,সংখ্যাগরিষ্ঠ
ప్రధాన రచనలు,প্রধান কাজ
మేకప్,আপ
దుర్వినియోగం,ম্যালাডজাস্টমেন্ট
అనారోగ్యం,ম্যালাডমিনিস্ট্রেশন
మాలాఫైడ్,মালাফাইড
దుర్మార్గం,ম্যালিস
దుర్వినియోగం,অসৎ আচরণ
దుర్వినియోగం,ম্যাল্ট্রেটমেন্ট
నిర్వహణ,পরিচালনা
నిర్వాహకుడు,ম্যানেজার
ఆదేశం,ম্যান্ডেট
తప్పనిసరి,বাধ্যতামূলক
మండేలు,ম্যান্ডেস
పనిగంటలు,মানুষ ঘন্টা
మానిఫెస్టో,ঘোষণাপত্র
తారుమారు,হেরফের
యుక్తి,চালাকি
మానవశక్తి,জনশক্তি
మ్యాన్-టు-మ్యాన్ ర్యాంకింగ్,ম্যান-টু-ম্যান র‌্যাঙ্কিং
మాన్యువల్,ম্যানুয়াল
మాన్యువల్ లేబర్,কায়িক শ্রম
తయారీ,উত্পাদন
తయారీదారు,প্রস্তুতকারক
మాన్యుస్క్రిప్ట్,পাণ্ডুলিপি
మ్యాప్,মানচিত্র
మార్జిన్,মার্জিন
ఉపాంత,প্রান্তিক
వైవాహిక స్థితి,বৈবাহিক অবস্থা
మార్కెటింగ్,বিপণন
మార్కెటింగ్ ఎకానమీ,বিপণন অর্থনীতি
మార్క్,চিহ্ন
గణాంకాల పట్టి,নাম্বার শিট
వచ్చిన మార్కులు,মার্কস প্রাপ্ত
మాస్,ভর
సామూహిక కమ్యూనికేషన్,গণ যোগাযোগ
సామూహిక వినియోగం,ভর খরচ
సామూహిక రోగనిరోధకత,ভর টিকাদান
మాస్ మీడియా,গণমাধ্যম
భారీ ఉత్పత్తి,গণউৎপাদন
మాస్టర్ ఫైల్,প্রধান নথি
వేడుకల మాస్టర్,অনুষ্ঠান - এর গুরু
మాస్టర్ ప్లాన్,প্রধান পরিকল্পনা
మ్యాచింగ్ గ్రాంట్,ম্যাচিং গ্রান্ট
పదార్థం,উপাদান
ప్రసూతి,প্রসূতি
ప్రసూతి సెలవు,মাতৃত্বকালীন ছুটি
మెట్రిక్యులేట్,ম্যাট্রিক
మ్యాట్రిమోనియల్,বৈবাহিক
పరిపక్వత,পরিপক্ক
పరిపక్వత తేదీ,পরিপক্কতার তারিখ
గరిష్టంగా,সর্বাধিক
అంటే,অর্থ
కొలత,পরিমাপ করা
కొలత,মাপা
కొలమానాలను,ব্যবস্থা
మెకానిక్,যান্ত্রিক
యాంత్రిక,যান্ত্রিক
విధానం,পদ্ধতি
మీడియా,মিডিয়া
మధ్యవర్తిత్వం,মধ্যস্থতা
మెడికల్,চিকিৎসা
వైద్య ప్రయోజనం,চিকিত্সা সুবিধা
వైద్య పరీక్ష,মেডিকেল পরীক্ষা
మెడికో-లీగల్,মেডিকো-আইনী
మధ్యస్థం,মধ্যম
కెమెరాలో సమావేశం,ক্যামেরায় সভা
సభ్యుడు,সদস্য
మెమో,মেমো
స్మారక చిహ్నం,স্মৃতিসৌধ
మానసిక సామర్థ్యం,মানসিক দক্ষতা
మెను,তালিকা
విలీనం,মার্জার
మెరిట్,যোগ্যতা
మెరిట్ జాబితా,যোগ্যতা তালিকা
మెరిటోరియస్,মেধাবী
యోగ్యత,যোগ্যতা
మెరిట్ స్కాలర్‌షిప్,মেধা বৃত্তি
సందేశం,বার্তা
విధానం,পদ্ধতি
పద్దతి,পদ্ধতি
మెట్రోపాలిటన్ ప్రాంతం,মহানগর এলাকা
మధ్య ఆదాయ సమూహం,মধ্য আয় গ্রুপ
మిడిల్మాన్,মধ্যস্থতাকারী
మిడ్‌వైఫరీ,মিডওয়াইফারি
వలస,অভিবাসী
మైలేజ్,মাইলেজ
మిలిటెన్సీ,জঙ্গিবাদ
మిలీనియం,মিলেনিয়াম
సూక్ష్మ,ক্ষুদ্রাকার
కనిష్ట,সর্বনিম্ন
గనుల తవ్వకం,খনির
మంత్రి,মন্ত্রী
మంత్రిత్వ శాఖ,মন্ত্রণালয়
మైనర్,গৌণ
మైనారిటీ,নাবালকত্ব
చిన్న పనులు,ছোটখাটো কাজ
నిమిషాలు,মিনিট
దుర్వినియోగం,অপব্যবহার
దుర్వినియోగం,দুর্ব্যবহার
న్యాయం యొక్క గర్భస్రావం,আইনের অপপ্রয়োগের
ఇతరాలు,বিবিধ
అల్లరి,দুষ্টুমি
మిస్‌క్లాసిఫికేషన్,ভুল শ্রেণিবদ্ধকরণ
దుష్ప్రవర్తన,অসদাচরণ
తప్పుదారి పట్టించేది,বিভ্রান্ত
దుర్వినియోగం,অব্যবস্থাপনা
తప్పుగా పేర్కొనడం,ভুল উপস্থাপনা
వాస్తవాలను తప్పుగా గుర్తించడం,সত্যের ভুল ধারণা
అపార్థం,ভুল বুঝা
దుర్వినియోగం,অপব্যবহার
మిశ్రమ ఆర్థిక వ్యవస్థ,মিশ্র অর্থনীতি
మాబ్,জনতা
మొబైల్,মুঠোফোন
మొబిలిటీ,গতিশীলতা
మోడ్,মোড
మోడల్,মডেল
మోడరేటర్,মডারেটর
మార్పు,পরিবর্তন
కార్యనిర్వహణ పద్ధతి,কার্যপ্রণালী
ద్రవ్య మంజూరు,আর্থিক অনুদান
డబ్బు,টাকা
మానిటర్,মনিটর
ఏకస్వామ్యం,মনোগামি
మోనోగ్రామ్,মনোগ্রাম
గుత్తాధిపత్యం,একচেটিয়া
మోనోటోనీ,একঘেয়েমি
నెలవారీ టూర్ డైరీ,মাসিক ট্যুর ডায়েরি
నెల నుండి నెల,মাস থেকে মাস
నైతికత,নৈতিক
ధైర్యం,মনোবল
నైతిక టర్పిట్యూడ్,নৈতিক স্খলন জনিত
తాత్కాలిక నిషేధం,স্থগিতাদেশ
మరణాలు,মৃত্যুহার
తాకట్టు,বন্ধক
చాలా రహస్య,সবচেয়ে গোপনীয়
మాతృ భాష,মাতৃভাষা
కదలిక,গতি
చలన అధ్యయనం,গতি অধ্যয়ন
ప్రేరణ,অনুপ্রেরণা
ఉద్దేశ్యం,উদ্দেশ্য
నినాదం,নীতিবাক্য
మౌత్‌పీస్,মুখপত্র
కదిలే,অস্থাবর
కదలిక,সরানো
ఉద్యమం,আন্দোলন
బహుళ,বহুমুখী
బహుళార్ధసాధక,বহুমুখী
మునిసిపల్ పన్ను,পৌর কর
మ్యూజియం,যাদুঘর
మస్టర్ రోల్,মাস্টার রোল
మ్యుటేషన్,মিউটেশন
ముటాటిస్ ముటాండిస్,মুতাটিস মুটান্দিস
పరస్పర అవగాహన,পারস্পরিক সমঝোতা
పేరును చూపించే కార్డు,নাম ফলক
మాదకద్రవ్య,মাদক
కథనం మదింపు,আখ্যান মূল্যায়ন
కథకుడు,বর্ণনাকারী
దేశం,জাতি
జాతీయ,জাতীয়
జాతీయవాదం,জাতীয়তাবাদ
జాతీయత,জাতীয়তা
జాతీయం,জাতীয়করণ
జాతీయ భాష,জাতীয় ভাষা
నేషనల్ సేవింగ్స్ సర్టిఫికేట్,জাতীয় সঞ্চয় শংসাপত্র
స్థానిక,স্থানীয়
సహజ,প্রাকৃতিক
నాచురలైజేషన్,প্রাকৃতিককরণ
నావికా శక్తి,নৌবাহিনী
నావిగేబుల్,নাব্যযোগ্য
నావిగేషన్,নেভিগেশন
Nayes,নায়েস
అవసరమైన చర్య,প্রয়োজনীয় ব্যবস্থা
అవసరం,প্রয়োজনীয়
ప్రతికూల,নেতিবাচক
నిర్లక్ష్యం,অবহেলা
నిర్లక్ష్యం,অবহেলা
అతితక్కువ,নগণ্য
చర్చల చర్చ,আলোচনার
చర్చించదగిన పరికరం,আলোচনা সাপেক্ষে উপকরণ
చర్చలు,আলাপ - আলোচনা
సంధానకర్త,আলোচক
నేపాటిజం,নেপোটিজম
నెట్,নেট
నికర పెట్టుబడి,নিট বিনিয়োগ
తటస్థ,নিরপেক্ষ
వార్తలు,খবর
వార్తాలేఖ,নিউজলেটার
వార్తాపత్రిక,সংবাদপত্র
న్యూస్ రీడర్,নিউজ রিডার
బంధువు తదుపరి,নিকটতম আত্মীয়
నైట్ డ్యూటీ,রাতে দায়িত্ব
నిల్ రిపోర్ట్,নিল রিপোর্ট
ప్రవేశం లేదు,কোন ভর্তি
డిమాండ్ సర్టిఫికేట్ లేదు (= బకాయి సర్టిఫికేట్ లేదు),কোনও চাহিদা শংসাপত্র নেই (= কোনও বকেয়া শংসাপত্র নেই)
నామకరణం,নামকরণ
నామమాత్రపు ఖర్చు,নামমাত্র ব্যয়
నామమాత్రపు విలువ (= ముఖ విలువ),নামমাত্র মান (= মুখের মান)
నామినేట్,মনোনীত
నామినేషన్,মনোনয়ন
నామినీ,মনোনীত
నాన్-ఏజ్,অ-বয়স
నాన్-కాంట్రిబ్యూటరీ,অ-অবদান
అనవసరమైనది,অপ্রয়োজনীয়
గెజిటెడ్ కానిది,অ-গেজেটেড
వడ్డీ లేని బేరింగ్,অ-সুদযুক্ত ভারবহন
న్యాయ-కాని,অ-বিচারিক
నాన్-మిస్టీరియల్,অ-মন্ত্রমুগ্ধ
చర్చించలేనిది,অ-আলোচনাযোগ্য
నాన్-ఆఫీషియల్,অ - দাপ্তরিক
"ఎగవేత, చెల్లింపులో వైఫల్యం",অ-অর্থ প্রদান
పేమెంట్ కాని సర్టిఫికేట్,অর্থ প্রদান শংসাপত্র
ప్రాక్టీస్ కాని భత్యం,অনুশীলন ভাতা
పునరావృతం కాని వ్యయం,পুনরাবৃত্তি ব্যয়
తిరిగి ఇవ్వబడదు,অফেরতযোগ্য
నాన్-స్టాట్యూటరీ,অবিচ্ছিন্ন
టాక్సబుల్ కాని ఆదాయం,ট্যাক্সেবল আয়
నాన్-టెక్నికల్ పోస్ట్,অ-প্রযুক্তিগত পোস্ট
సాంప్రదాయేతర,অপ্রচলিত
అశాబ్దిక కమ్యూనికేషన్,লিখিত যোগাযোগ
అభ్యంతర ధృవీకరణ పత్రం లేదు,কোনও আপত্তি শংসাপত্র
"లాభం లేదు, నష్టం లేదు","কোন লাভ, কোনও ক্ষতি নেই"
ప్రమాణం,আদর্শ
సాధారణ,সাধারণ
పొగ త్రాగరాదు,ধূমপান নিষেধ
గుర్తించదగినది,উল্লেখযোগ্য
వర్తించదు (N.A.),প্রযোজ্য নয় (এন.এ.)
అందుబాటులో లేదు (N.A.),উপলভ্য নয় (এন.এ.)
గమనిక,বিঃদ্রঃ
నోటీసు,বিজ্ঞপ্তি
గుర్తించదగినది,লক্ষণীয়
నోటిఫికేషన్,বিজ্ঞপ্তি
నోటిఫైడ్ ప్రాంతం,বিজ্ঞপ্তি অঞ্চল
గమనించడం మరియు ముసాయిదా,লক্ষ্য এবং খসড়া
నోషనల్ పే,ধারণাগত বেতন
బేరానికి వీలులేని,আলোচনা সাপেক্ষে না
చర్చించదగిన పరికరం కాదు,আলোচনা সাপেক্ষে নয়
న్యూక్లియస్,নিউক্লিয়াস
శూన్య,শূন্য
శూన్య మరియు శూన్యత,অকার্যকর
సంఖ్య,সংখ্যা
నంబరింగ్,সংখ্যা
సంఖ్య,সংখ্যা
ప్రమాణస్వీకారం,শপথ
విధేయత ప్రమాణం,আনুগত্যের শপথ
కార్యాలయ ప్రమాణం,অফিসের শপথ
విధేయత,আনুগত্য
సంస్మరణ,শ্রুতিমধুর
వస్తువు,অবজেক্ট
అభ్యంతరం,আপত্তি
లక్ష్యం,উদ্দেশ্য
వస్తువులు మరియు కారణాలు,বস্তু এবং কারণ
విధిగా,বাধ্যতামূলক
అశ్లీల,অশ্লীল
అశ్లీల సంజ్ఞ,অশ্লীল অঙ্গভঙ্গি
పరిశీలకుడు,পর্যবেক্ষক
వాడుకలో లేదు,অপ্রচলিত
అడ్డంకి,বাধা
స్పష్టంగా,সুস্পষ্ট
అప్పుడప్పుడు,মাঝে মাঝে
ఆక్యుపెన్సీ,দখল
యజమాని,দখলকারী
వృత్తి,পেশা
ఆక్రమించు,দখল করা
ఆక్ట్రోయి డ్యూటీ,Octroi শুল্ক
సెలవు,ছুটির দিন
ఆఫ్ డ్యూటీ,দায়িত্ব বন্ধ
ప్రమాదకరం,আপত্তিজনক
ఆఫర్,অফার
నియామకం ఆఫర్,অ্যাপয়েন্টমেন্ট অফার
కార్యాలయం,দপ্তর
లాభం యొక్క కార్యాలయం,লাভ অফিস
అధికారిక,দাপ্তরিক
అధికారికత,অফিসিয়ালডম
అధికారిక విధి,অফিসিয়াল ডিউটি
అధికారిక సభ్యులు,অফিসিয়াল
అధికారిక భాష,সরকারী ভাষা
అధికారికంగా,আনুষ্ঠানিকভাবে
అధికారిక నివేదిక,অফিসিয়াল রিপোর্ট
అధికారిక వెర్షన్,অফিসিয়াল সংস্করণ
ఆఫీషియేటింగ్,অফিসিয়াল
మనలో మనమాట,রেকর্ড বন্ধ
సరే (O.K.),ঠিক আছে (ও.কে.)
అంబుడ్స్‌మన్,ওম্বডসম্যান
ఖాతా మంజూరులో,অ্যাকাউন্টে অনুদান
కోరిక మేరకు,চাহিদা সাপেক্ষে
విధి నిర్వహణలో,কাজে আছি
ఏక పక్షంగా,একতরফা
లైన్‌లో,লাইনে
ఆన్-స్పెషల్ డ్యూటీ,অন-বিশেষ শুল্ক
ఉద్యోగ శిక్షణ లో,চাকরির প্রশিক্ষণ - এর ওপরে
ఓనస్,Ownus
ఓపెన్ డే,কার্য দিবস
ఓపెన్ సిస్టమ్,মুক্ত ব্যবস্থা
తెరవడం,খোলার
ప్రారంభ నిల్వ,খোলার ভারসাম্য
తెరచు వేళలు,খোলার সময়
ఓపెన్ లెర్నింగ్,খোলা শেখা
ఓపెన్ లెటర్,খোলা চিঠি
ఓపెన్ యూనివర్శిటీ,উন্মুক্ত বিশ্ববিদ্যালয়
నిర్వహణ ఖర్చు,পরিচালনা খরচ
ఆపరేటింగ్ సిబ్బంది,অপারেটিং স্টাফ
ఆపరేషన్,অপারেশন
ఆపరేటివ్,অপারেটিভ
అభిప్రాయం,মতামত
వ్యతిరేకత,বিরোধী দল
ఎంపిక,বিকল্প
నోటి,মৌখিক
ఆర్డర్,অর্ডার
ఆర్డర్ చెక్,অর্ডার চেক
రిజర్వేషన్ క్రమం,রিজার্ভেশন অর্ডার
నిర్ణయం,অধ্যাদেশ
సంస్థ,সংগঠন
వ్యవశ్థాపక పట్టిక,সংস্থার চার্ট
నిర్వాహకుడు,সংগঠক
ఆధారిత,ভিত্তিক
అసలైన,আসল
అసలు విభాగం,মূল বিভাগ
ఒరిజినల్ సేల్ డీడ్,মূল বিক্রয় দলিল
అనియంత్రిత యజమాని,অদম্য মালিক
అకస్మాత్తుగా వ్యాపించడం,প্রাদুর্ভাব
దుస్తులను భత్యం,সাজসজ্জা ভাতা
అవుట్గోయింగ్ సభ్యుడు,বহির্গামী সদস্য
అవుట్గోయింగ్ ఫైల్,বহির্গামী ফাইল
వ్యయం,ব্যয়
అవుట్లెట్,আউটলেট
రూపురేఖలు,রূপরেখা
Lo ట్లుక్,দৃষ্টিভঙ্গি
కోర్టు నుండి,আদালতের বাইরে
కాలాంతరం చెందింది,তারিখের বাইরে
పనిచేయటంలేదు,আদেশের বাইরে
ముద్రణ నుండి,ছাপার বাইরে
మలుపు తిరిగింది,পালার বাহিরে
మలుపు కేటాయింపు,পালা বরাদ্দের বাইরে
అవుట్‌పోస్ట్,ফাঁড়ি
అవుట్పుట్,আউটপুট
పూర్తిగా కొనుగోలు,সরাসরি ক্রয়
Our ట్‌సోర్స్,আউটসোর্স
అసాధారణ,অসামান্য
వయస్సు కంటే ఎక్కువ,বয়সেরও বেশি
మొత్తం,সামগ্রিকভাবে
మొత్తం లోటు,সামগ্রিক ঘাটতি
ఓవర్ బిల్లింగ్,বিলিং ওভার
అధిక ఛార్జ్,ওভারচার্জ
మీరిన,অতিরিক্ত
అతిగా అంచనా,অত্যধিক
ఓవర్ హెడ్ ఛార్జ్,ওভারহেড চার্জ
అతివ్యాప్తి,ওভারল্যাপিং
ప్రాధాన్యతను అధిగమించడం,অগ্রাধিকার অগ্রাধিকার
ఓవర్-రూల్,ওভার-বিধি
పర్యవేక్షణ,তদারকি
ఓవర్ టైం పే,অতিরিক্ত কাজের বেতন
ఓవర్‌వాల్యుయేషన్,অতিরিক্ত মূল্যায়ন
యాజమాన్యం,মালিকানা
ప్యాకేజీ,প্যাকেজ
ప్యాకేజీ ఒప్పందం,প্যাকেজ চুক্তি
ప్యాకింగ్ మరియు మార్కింగ్,প্যাকিং এবং চিহ্নিত
ప్యాకింగ్ జాబితా,প্যাকিং তালিকা
ఒప్పందం,চুক্তি
చెల్లించిన,প্রদত্ত
చెల్లింపుల మూలధనం,পরিশোধিত মূলধন
కరపత్రం,পামফলেট
ప్యానెల్,প্যানেল
కాగితం,কাগজ
పారా,প্যারা
పారామౌంట్,প্যারামাউন্ট
తల్లిదండ్రులు,পিতামাতা
తల్లిదండ్రుల,পিতামাতার
మాతృ కార్యాలయం,অভিভাবক অফিস
అత్యద్బుతము,সমাবস্থা শ্রেষ্ঠত্ব
పారి పాసు,যুগপত্
పారిటీ,সমতা
పార్లమెంటు,সংসদ
భాగం,অংশ
పార్ట్ ఫైల్,অংশ ফাইল
పాక్షికం,আংশিক
పాల్గొనండి,অংশগ্রহণ
ప్రత్యేకించి,বিশেষ
వివరాలు,বিশদ বিবরণ
విభజన,পার্টিশন
భాగస్వామి,অংশীদার
భాగస్వామ్య దస్తావేజు,অংশীদারিত্ব দলিল
పార్ట్ చెల్లింపు,অংশ পেমেন্ট
పార్ట్ టైమ్,খন্ডকালীন
పార్టీ,পার্টি
సమాన విలువ,সমান মান
పాస్,পাস
పాసేజ్,উত্তরণ
పాస్వర్డ్,পাসওয়ার্ড
పేటెంట్,পেটেন্ট
పోషకుడు,পৃষ্ঠপোষক
చెల్లించండి,পে
చెల్లించే బిల్లు,বিল পরিশোধ করুন
పే సర్టిఫికేట్,বেতন শংসাপত্র
పే రోజు,দিন দিন
చెల్లింపుదారు,পে
చెల్లింపుదారు,প্রদানকারী
చెల్లింపు,অর্থ প্রদান
చెల్లించండి,পরিশোধ
పే ఆర్డర్,বেতন আদেশ
పేరోల్,পে রোল
పే స్కేల్,বেতন কাঠামো
ధనవి,অদ্ভুত
శిక్ష,দণ্ড
శిక్షా స్మృతి,দন্ড বিধি
శిక్షా వడ్డీ,শাস্তিমূলক সুদ
జరిమానా విధించండి,শাস্তি
పెనాల్టీ,জরিমানা
పెండింగ్‌లో ఉంది,বিচারাধীন
పెన్ డౌన్ సమ్మె,কলম স্ট্রাইক
పెన్షన్,পেনশন
పెన్షనబుల్,পেনশনযোগ্য
పెన్షనర్,পেনশনার
పెన్షన్ పథకం,পেনশন স্কীম
ఏడాదికి,প্রতি বছর
ప్రతి బేరర్‌కు,বাহক প্রতি
తలసరి (= తలకి),মাথাপিছু (= প্রতি মাথা)
శాతం,শতাংশ
శాశ్వత,বহুবর্ষজীবী
ప్రిఫరెన్షియల్ కొనుగోలు,অগ্রাধিকার ক্রয়
ప్రదర్శించండి,পারফর্ম
పనితీరు,কর্মক্ষমতা
కాలం,পিরিয়ড
ఆవర్తన,সাময়িকী
సమీక్షలో ఉన్న కాలం,পর্যালোচনা অধীনে সময়কাল
పెర్జరీ,মিথ্যা
ప్రోత్సాహకాలు,পার্কস
శాశ్వత,স্থায়ী
ప్రతి మెన్సెం,প্রতি মেনসেম
అనుమతించదగినది,অনুমোদনযোগ্য
అనుమతి,অনুমতি
అనుమతి,অনুমতি
అనుమతి,অনুমোদিত
శాశ్వత,চিরস্থায়ী
శాశ్వతత్వం,চিরস্থায়ী
Perquisites (= ప్రోత్సాహకాలు),Perquisites (= perks)
వ్యక్తి,ব্যক্তিগত
వ్యక్తిగత ఆస్తులు,ব্যাক্তিগত সম্পদ
వ్యక్తిగత బంధం,ব্যক্তিগত বন্ড
వ్యక్తిత్వం,ব্যক্তিত্ব
Persona non grata,একজন অগ্রহণযোগ্য ব্যক্তি
సిబ్బంది,কর্মী
సిబ్బంది విధానం,কর্মী নীতি
దృష్టికోణం,দৃষ্টিভঙ্গি
పర్సుయేషన్,প্ররোচনা
సంబంధిత,প্রাসঙ্গিক
పెరెసల్,পড়ন
పిటిషన్,পিটিশন
పిటిషనర్,পিটিশনার
దశ,পর্যায়
ఛాయాచిత్రం,আলোকচিত্র
ఫోటోస్టాట్,ফটোস্ট্যাট
భౌతిక తనిఖీ,শারীরিক চেকিং
శారీరక లోపం,শারীরিক ত্রুটি
శారీరక విద్య,শারীরিক শিক্ষা
శారీరకంగా వికలాంగులు,শারীরিক প্রতিবন্ধী
భౌతిక ధృవీకరణ,শারীরিক যাচাইকরণ
పీస్‌మీల్,পিসিমিয়াল
ముక్క రేటు,টুকরা হার
యాత్రికుడు,তীর্থযাত্রী
పైలట్ ప్రోగ్రామ్,পাইলট প্রোগ্রাম
పిన్,পিন
ప్లేస్‌మెంట్ సేవ,প্লেসমেন্ট পরিষেবা
పుట్టిన స్థలం,জন্মস্থান
పనిచేసే ప్రదేశం,কাজের জায়গা
వాది,বাদী
ప్రణాళిక,পরিকল্পনা
ప్రణాళిక,পরিকল্পনা
మొక్క,উদ্ভিদ
ప్లేయర్,খেলোয়াড়
అభ్యర్ధన,আবেদন
ప్లీడర్,আবেদনকারী
ప్రజాభిప్రాయ సేకరణ,প্লেবিসাইট
ప్రతిజ్ఞ,প্রতিশ্রুতি
హాజరు కావలసిన సభాసమావేశం,পূর্ণাঙ্গ অধিবেশনে
ప్లీనిపోటెన్షియరీ,প্লেনিপোটেনটিরি
పునాది ప్రాంతం,প্লিন্থ অঞ্চল
విధానం,নীতি
రాజకీయ కార్యకలాపాలు,রাজনৈতিক ক্রিয়াকলাপ
ఎన్నికలో,পোল
కాలుష్యం,দূষণ
రాజకీయ,রাজনৈতিক
పూల్,পুল
పోర్ట్‌ఫోలియో,পোর্টফোলিও
స్థానం,অবস্থান
అనుకూల,ইতিবাচক
పోస్ట్,পোস্ট
పోస్ట్ డేటెడ్,পোস্ট তারিখ
ఫాక్టో అనంతర అనుమతి,পোস্ট-ফ্যাক্টো অনুমোদন
పోస్ట్ గ్రాడ్యుయేట్,স্নাতকোত্তর
మరణానంతర,মরণোত্তর
పోస్టింగ్,পোস্টিং
పోస్ట్ మార్టం పరీక్ష,পোস্ট মর্টেম পরীক্ষা
వాయిదా,স্থগিত করা
పోస్ట్‌స్క్,পোস্টস্ক্রিপ্ট (পি.এস.)
శక్తి,শক্তি
పవర్ ఆఫ్ అటార్నీ,মোক্তারনামা
ఆచరణీయమైనది,অনুশীলনযোগ্য
ప్రాక్టీస్,অনুশীলন করা
ప్రీ-ఆడిట్,প্রাক-নিরীক্ষা
ముందు జాగ్రత్త,সতর্কতা
పూర్వదర్శనం,নজির
Precis,প্রিসিস
ఖచ్చితమైనది,সুনির্দিষ্ট
మూసివేయు,বিরত
ముందస్తు భావన,পূর্ব ধারণা
పూర్వీకుడు,পূর্বসূরী
ప్రధానమైనది,প্রাধান্য
ముందుమాట,মুখবন্ধ
ఇష్టపడండి,পছন্দ
పక్షపాతం,কুসংস্কার
ప్రాథమిక,প্রাথমিক
అకాల,অকাল
ప్రాంగణం,প্রাঙ্গণ
ప్రీమియం,প্রিমিয়াম
ప్రీపెయిడ్,প্রিপেইড
ప్రీపెయిడ్ కార్డ్,প্রিপেইড কার্ড
ముందే ప్రణాళిక,প্রাক-পরিকল্পিত
ప్రిపోన్,প্রিপেন
ముందే రియోటెడ్ బిల్లు,প্রাক-গ্রহণযোগ্য বিল
హక్కు,প্রিগ্রেটিভ
సూచించండి,প্রেসক্রিপশন
సూచించబడింది,নির্ধারিত
సూచించిన రూపం,নির্ধারিত ফর্ম
ప్రదర్శన,উপস্থাপনা
అధ్యక్షత,সভাপতিত্ব
అధ్యక్షుడు,রাষ্ট্রপতি
