Gujarati,Odiya
મેઇલ દ્વારા સર્વેક્ષણ,ମେଲ ଦ୍ୱାରା ସର୍ଭେ |
ઓવરહેડ મર્યાદા,ଓଭରହେଡ୍ ସୀମା |
લાંબી ચાપ,ଲମ୍ବା ଆର୍କ
બંધાયેલ સમૂહ,ବନ୍ଧା ସେଟ୍ |
બહુમૂલ્ય કાર્ય,ବହୁମୁଖୀ କାର୍ଯ୍ୟ
"નકશો, નકશો, નકશો","ମାନଚିତ୍ର, ମାନଚିତ୍ର, ମାନଚିତ୍ର"
સેટમાં મેપિંગ,ସେଟ୍ ରେ ମ୍ୟାପିଙ୍ଗ୍ |
સેટનું મેપિંગ,ସେଟ୍ ମାନଚିତ୍ର
સીમાંત સંભાવના,ସାଂଘାତିକ ସମ୍ଭାବନା |
ગાણિતિક વિશ્લેષણ,ଗାଣିତିକ ବିଶ୍ଳେଷଣ |
અંકગણિત તર્ક,ଗାଣିତିକ ତର୍କ
ગાણિતિક કેન્દ્ર,ଗାଣିତିକ କେନ୍ଦ୍ର
ગાણિતિક જટિલતા,ଗାଣିତିକ ଜଟିଳତା |
ગાણિતિક અર્થશાસ્ત્ર,ଗାଣିତିକ ଅର୍ଥନୀତି
ગાણિતિક અપેક્ષા,ଗାଣିତିକ ଆଶା
ગાણિતિક સ્વરૂપ,ଗାଣିତିକ ରୂପ |
"મેથેમેટિકલ ફોર્મેટ, મેથેમેટિકલ ફોર્મેટ","ଗାଣିତିକ ସୂତ୍ର, ଗାଣିତିକ ଫର୍ମାଟ୍ |"
ગાણિતિક ઓળખ,ଗାଣିତିକ ପରିଚୟ
"ગાણિતિક તર્ક, ગાણિતિક તર્ક","ଗାଣିତିକ ତର୍କ, ଗାଣିତିକ ତର୍କ |"
ગાણિતિક મોડેલ,ଗାଣିତିକ ମଡେଲ୍ |
ગાણિતિક ઉદ્દેશ,ଗାଣିତିକ ଉଦ୍ଦେଶ୍ୟ |
મેટ્રિક્સ કર્ણકરણ,ମ୍ୟାଟ୍ରିକ୍ସ ଡାଇଗୋନାଲାଇଜେସନ୍ |
મેટ્રિક્સ વ્યસ્ત,ମ୍ୟାଟ୍ରିକ୍ସ ଓଲଟା |
મેટ્રિક્સ વ્યુત્ક્રમ,ମ୍ୟାଟ୍ରିକ୍ସ ଓଲଟା |
મેટ્રિક્સ પુનરાવર્તિત પદ્ધતિ,ମ୍ୟାଟ୍ରିକ୍ସ ପୁନରାବୃତ୍ତି ପଦ୍ଧତି |
મેટ્રિક્સ પદ્ધતિ,ମ୍ୟାଟ୍ରିକ୍ସ ପଦ୍ଧତି |
મેટ્રિક્સ ગુણાકાર,ମ୍ୟାଟ୍ରିକ୍ସ ଗୁଣନ |
સ્થિરાંકોનું મેટ્રિક્સ,ସ୍ଥିର ମାଟ୍ରିକ୍ସ |
પ્રભાવશાળી મેટ્રિક્સ,ପ୍ରାଧାନ୍ୟ ମ୍ୟାଟ୍ରିକ୍ସ |
મેટ્રિક્સ ઓપરેટર,ମ୍ୟାଟ୍ରିକ୍ସ ଅପରେଟର୍ |
મેટ્રિક્સ બહુપદી,ମ୍ୟାଟ୍ରିକ୍ସ ବହୁଭୂତ |
મેટ્રિક્સ પ્રિન્ટીંગ,ମ୍ୟାଟ୍ରିକ୍ସ ପ୍ରିଣ୍ଟିଙ୍ଗ୍ |
મેટ્રિક્સ ઉત્પાદન,ମ୍ୟାଟ୍ରିକ୍ସ ଉତ୍ପାଦ |
મહત્તમ,ସର୍ବାଧିକ
"મહત્તમ, મહત્તમ, સર્વોચ્ચ","ସର୍ବାଧିକ, ସର୍ବାଧିକ, ସର୍ବାଧିକ"
મહત્તમ નિરપેક્ષ મૂલ્ય,ସର୍ବାଧିକ ସଂପୂର୍ଣ୍ଣ ମୂଲ୍ୟ |
મહત્તમ F- ગુણોત્તર,ସର୍ବାଧିକ F- ଅନୁପାତ |
મહત્તમ સંભવિત,ସର୍ବାଧିକ ସମ୍ଭାବନା |
મહાલપિસ્તા,ମହଲପିସ୍ତା
મહાન નિષ્કર્ષ,ଉତ୍ତମ ସିଦ୍ଧାନ୍ତ
કાર્યની મહત્તમ,ଫଙ୍କସନ୍ ର ସର୍ବାଧିକ
મેક્સવેલ-બોલ્ટ્સમેન સ્ટેટિસ્ટિક્સ,ମ୍ୟାକ୍ସୱେଲ-ବୋଲ୍ଟସମ୍ୟାନ୍ ପରିସଂଖ୍ୟାନ |
સરેરાશ વિચલન,ଅର୍ଥ ବିଚ୍ୟୁତି |
વિચલન સ્ક્વેર મીન,ବିଚ୍ୟୁତି ସ୍କୋୟାର ଅର୍ଥ |
ચોરસ સરેરાશ ભૂલ,ବର୍ଗ ଅର୍ଥ ତ୍ରୁଟି |
"સરેરાશ, સરેરાશ મૂલ્ય","ଅର୍ଥ, ଅର୍ଥ ମୂଲ୍ୟ"
સરેરાશ પ્રમેય,ଅର୍ଥ ତତ୍ତ୍। |
બબલી માપન,ବବୁଲି ମାପ |
"મધ્ય, મધ્ય, મધ્ય, મધ્ય","ମଧ୍ୟମା, ମଧ୍ୟମ, ମଧ୍ୟମା, ମଧ୍ୟମା |"
મધ્ય કેન્દ્ર,ମଧ୍ୟମ କେନ୍ଦ୍ର |
મધ્ય વળાંક,ମଧ୍ୟମ ବକ୍ର
મેસોથેલિયોમા,ମେସୋଥେଲିଓମା |
સંદેશ,ବାର୍ତ୍ତା |
"કસ્ટમ, પદ્ધતિ","କଷ୍ଟମ୍, ପଦ୍ଧତି"
કાઢી નાખવાની પદ્ધતિ,ବିଲୋପ ପଦ୍ଧତି
વ્યુત્ક્રમ પદ્ધતિ,ଓଲଟା ପଦ୍ଧତି |
પુનરાવર્તન પદ્ધતિ,ପୁନରାବୃତ୍ତି ପଦ୍ଧତି |
ઓછામાં ઓછો ચોરસ,ସର୍ବନିମ୍ନ ବର୍ଗ
ટોર્ક પદ્ધતિ,ଟର୍କ ପଦ୍ଧତି |
સમાન ત્રિકોણ પદ્ધતિ,ସମାନ ତ୍ରିରଙ୍ଗା ପଦ୍ଧତି |
ઢાળ ઉતરવાની પદ્ધતિ,ope ୁଲା ଅବତରଣ ପଦ୍ଧତି |
સંકલન પદ્ધતિ,ସଂକଳନ ପଦ୍ଧତି |
અનિર્ધારિત ગુણાંક પદ્ધતિ,ନିର୍ଦ୍ଦିଷ୍ଟ କୋଏଫିସିଏଣ୍ଟ୍ ପଦ୍ଧତି |
અંતર વસ્તી,ଦୂରତା ଜନସଂଖ୍ୟା |
મેટ્રિક સિસ્ટમ,ମେଟ୍ରିକ୍ ସିଷ୍ଟମ୍ |
મેટ્રિક એકમ,ମେଟ୍ରିକ୍ ୟୁନିଟ୍ |
સૂક્ષ્મ સિદ્ધાંત,ମାଇକ୍ରୋ ସିଦ୍ଧାନ୍ତ |
મધ્ય,ମଧ୍ୟମ
મધ્ય,ମଧ୍ୟମ
કેન્દ્રીય બિંદુ,କେନ୍ଦ୍ରୀୟ ବିନ୍ଦୁ |
મધ્યબિંદુ સૂત્ર,ମଧ୍ୟମ ବିନ୍ଦୁ ସୂତ୍ର |
ન્યૂનતમ બહુપદી,ସର୍ବନିମ୍ନ ବହୁଭୂତ |
લઘુત્તમ સિદ્ધાંત,ମିନିମା ସିଦ୍ଧାନ୍ତ |
"ન્યૂનતમ, સૌથી નીચો, સૌથી નીચો","ସର୍ବନିମ୍ନ, ସର୍ବନିମ୍ନ, ସର୍ବନିମ୍ନ"
નીચા બિંદુ,ନିମ୍ନ ବିନ୍ଦୁ |
ઓછામાં ઓછા બહુપદી,ସର୍ବନିମ୍ନ ବହୁଭାଷୀ |
કાર્યનું ન્યૂનતમ,କାର୍ଯ୍ୟର ସର୍ବନିମ୍ନ
ટૂંકા ચાપ,କ୍ଷୁଦ୍ର ଆର୍କ
ટૂંકો પત્ર,କ୍ଷୁଦ୍ର ଅକ୍ଷର
બાઉન્ડેડ સબસેટ,ସୀମାବଦ୍ଧ ଉପସେଟ |
"માઈનસ, દેવું","ମାଇନସ୍, debt ଣ"
બાદબાકીનું ચિહ્ન,ମାଇନସ୍ ଚିହ୍ନ
મિશ્ર અપૂર્ણાંક,ମିଶ୍ରିତ ଭଗ୍ନାଂଶ |
વૈકલ્પિક ઉપકરણ,ବିକଳ୍ପ ଉପକରଣ
"મોડ, મોડ, પદ્ધતિ, પદ્ધતિ, સિસ્ટમ, મોડ","ମୋଡ୍, ମୋଡ୍, ପଦ୍ଧତି, ପଦ୍ଧତି, ସିଷ୍ଟମ୍, ମୋଡ୍ |"
"મોડ્યુલસ, મોડ્યુલસ","ମଡ୍ୟୁଲସ୍, ମଡ୍ୟୁଲସ୍"
જટિલ સંખ્યાનું મોડ્યુલસ,ଜଟିଳ ସଂଖ୍ୟାର ମଡ୍ୟୁଲସ୍ |
ક્ષણ,ମୁହୂର୍ତ୍ତ
ટોર્ક કાર્ય,ଟର୍କ କାର୍ଯ୍ୟ
બળની ક્ષણ,ବଳର ମୁହୂର୍ତ୍ତ
આવર્તન-વિતરણ ક્ષણ,ଆବୃତ୍ତି-ବଣ୍ଟନ ମୁହୂର୍ତ୍ତ |
જડત્વની ક્ષણ,ନିଷ୍କ୍ରିୟତାର ମୁହୂର୍ତ୍ତ |
મોમેન્ટમ ક્ષણ,ମୁହୂର୍ତ୍ତ
આવેગ,ପ୍ରେରଣା |
એક પોસ્ટ,ଏକ ପୋଷ୍ଟ
એકલ સંકલન,ଏକକ ଏକୀକରଣ
"એકરૂપતા, મોનોમોર્ફિઝમ","ଏକତା, ମନୋମୋର୍ଫିଜିମ୍ |"
મોનોક્યુલર,ମୋନୋକୁଲାର୍ |
દિશાહીન ચડતો ક્રમ,ଏକପାଖିଆ ଆରୋହଣ କ୍ରମ |
સંપૂર્ણ,ଖୋଲାଖୋଲି |
દિશાહીન રીતે અર્ધચંદ્રાકાર મેશ,ଏକତରଫା ଭାବରେ କ୍ରେସେଣ୍ଟ୍ ଜାଲ୍ |
મોનોટિકલી વધતો ક્રમ,ଏକମାତ୍ର ବୃଦ୍ଧି କ୍ରମ |
અવિભાજ્ય કાર્ય,ଅଲଗା କାର୍ଯ୍ୟ
મોન્ટે-કાર્લો ગણતરી,ମୋଣ୍ଟେ-କାର୍ଲୋ ଗଣନା |
મોન્ટે-કાર્લો પદ્ધતિ,ମୋଣ୍ଟେ-କାର୍ଲୋ ପଦ୍ଧତି |
મોરા (રમત),ମୋରା (କ୍ରୀଡା)
મૃત્યુના આંકડા,ମୃତ୍ୟୁ ପରିସଂଖ୍ୟାନ
મોટે ભાગે,ବହୁତ ସମ୍ଭାବନା
ગતિ,ଗତି
મૂવિંગ મીન,ଗତିଶୀଳ ଅର୍ଥ |
M-વસ્તી,M- ଜନସଂଖ୍ୟା |
એમ-ટેસ્ટ ઓફ ઇન્ટિગ્રલ,ଅବିଚ୍ଛେଦ୍ୟର M- ପରୀକ୍ଷା |
બહુવિધ નિર્ણય-સમસ્યા,ଏକାଧିକ ନିଷ୍ପତ୍ତି-ସମସ୍ୟା |
બહુપદી સામાન્ય વિતરણ,ବହୁଭାଷୀ ସାଧାରଣ ବଣ୍ଟନ |
બહુપદી રેન્ડમ ચલ,ପଲିନୋମିଆଲ୍ ରାଣ୍ଡମ୍ ଭେରିଏବଲ୍ |
મલ્ટિપ્લેક્સ પરિવહન સમસ્યા,ମଲ୍ଟିପ୍ଲେକ୍ସ ପରିବହନ ସମସ୍ୟା |
બહુપદી,ବହୁଭୂତ
બહુપદી વિતરણ,ବହୁଭୂତ ବଣ୍ଟନ |
"બહુવિધ, બહુવિધ, બહુવિધ, ઘણા (વિ.), બહુવિધ, પ્રત્યાવર્તન (એન.)","ଏକାଧିକ, ଏକାଧିକ, ଏକାଧିକ, ଅନେକ (v।), ଏକାଧିକ, ପ୍ରତିକ୍ରିୟାଶୀଳ (n।)"
બહુવિધ પસંદગીની સમસ્યા,ଏକାଧିକ ପସନ୍ଦ ସମସ୍ୟା |
સંઘીય પ્રાંતો,ସମ୍ମିଳିତ ପ୍ରଦେଶଗୁଡିକ |
બહુવિધ સહસંબંધ,ଏକାଧିକ ସମ୍ପର୍କ
બહુવિધ આવર્તન કોષ્ટક,ଏକାଧିକ ଫ୍ରିକ୍ୱେନ୍ସି ଟେବୁଲ୍ |
બહુવિધ અભિન્ન,ଏକାଧିକ ଅବିଚ୍ଛେଦ୍ୟ |
બહુવિધ એકીકરણ,ଏକାଧିକ ଏକୀକରଣ
બહુવિધ રીગ્રેસન,ଏକାଧିକ ରିଗ୍ରେସନ୍ |
બહુવિધ રીગ્રેસન વિશ્લેષણ,ଏକାଧିକ ରିଗ୍ରେସନ୍ ଆନାଲିସିସ୍ |
બહુવિધ રીગ્રેશન ગુણાંક,ଏକାଧିକ ରିଗ୍ରେସନ୍ କୋଏଫିସିଏଣ୍ଟ୍ |
બહુવિધ રીગ્રેસન સમીકરણ,ଏକାଧିକ ରିଗ୍ରେସନ୍ ସମୀକରଣ |
બહુમૂળ,ଏକାଧିକ ମୂଳ
ગુણાકાર,ଗୁଣନ
(નિર્ધારકનું) સ્તંભાકાર ગુણાકાર,(ନିର୍ଣ୍ଣୟକାରୀ) ସ୍ତମ୍ଭ ଗୁଣନ |
(નિર્ધારકનું) રેખીય ગુણાકાર,(ନିର୍ଣ୍ଣୟକାରୀ) ର ar ଖ୍ୟ ଗୁଣନ |
ગુણાકાર પરિબળ,ଗୁଣନ କାରକ |
ગુણાકાર કાર્ય,ଗୁଣାତ୍ମକ କାର୍ଯ୍ୟ
ગુણાત્મક જૂથ,ଗୁଣାତ୍ମକ ଗୋଷ୍ଠୀ |
ગુણાકાર વ્યસ્ત,ବହୁଗୁଣ ଓଲଟା |
બહુમતી,ବହୁବଚନତା |
બહુમતી,ବହୁବଚନତା |
શૂન્યની ગુણાકાર,ଶୂନ୍ୟର ଗୁଣ
ગુણક,ଗୁଣକ
"ગુણાકાર, ગુણાકાર","ଗୁଣ କର, ଗୁଣ କର |"
બહુવિધ વિતરણ,ଏକାଧିକ ବଣ୍ଟନ |
બહુવિધ સામાન્ય વિતરણ,ଏକାଧିକ ସାଧାରଣ ବଣ୍ଟନ |
બહુવિધ વસ્તી,ବହୁବିଧ ଜନସଂଖ୍ୟା |
"પરસ્પર, પરસ્પર","ପାରସ୍ପରିକ, ପାରସ୍ପରିକ"
નાબલા,ନାବଲା |
નાપીરીયા,ନାପିରିଆ |
"નેપિયર લઘુગણક, નેપિયર લઘુગણક","napier logarithm, napier logarithm |"
"કુદરતી લઘુગણક, કુદરતી લઘુગણક","ପ୍ରାକୃତିକ ଲୋଗାରିଦମ୍, ପ୍ରାକୃତିକ ଲୋଗାରିଦମ୍ |"
"ધન પૂર્ણાંક, ધન પૂર્ણાંક","ପଜିଟିଭ୍ ଇଣ୍ଟିଜର୍, ପଜିଟିଭ୍ ଇଣ୍ଟିଜର୍"
નોટિકલ માઇલ,ନାଟିକାଲ୍ ମାଇଲ୍ |
n-vim,n-vim
n-vim વેક્ટર-સ્પેસ,n-vim ଭେକ୍ଟର-ସ୍ପେସ୍ |
જરૂરી અને પર્યાપ્ત પ્રતિબંધો,ଆବଶ୍ୟକ ଏବଂ ପର୍ଯ୍ୟାପ୍ତ ପ୍ରତିବନ୍ଧକ |
જરૂરી પ્રતિબંધો,ଆବଶ୍ୟକ ପ୍ରତିବନ୍ଧକ |
પ્રતિબંધ,ନିଷେଧ |
"નકારાત્મક, નકારાત્મક, નકારાત્મક","ନକାରାତ୍ମକ, ନକାରାତ୍ମକ, ନକାରାତ୍ମକ"
ક્રેડિટ વક્રતા,କ୍ରେଡିଟ୍ ବକ୍ରତା
નકારાત્મક ચોક્કસ એકરૂપતા,ନକାରାତ୍ମକ ନିର୍ଦ୍ଦିଷ୍ଟ ସମଲିଙ୍ଗୀତା |
નકારાત્મક નિશ્ચિત મેટ્રિક્સ,ନକାରାତ୍ମକ ସ୍ଥିର ମ୍ୟାଟ୍ରିକ୍ସ |
નકારાત્મક અર્ધનિશ્ચિત સજાતીય,ନକାରାତ୍ମକ ଅର୍ଦ୍ଧସାମରିକ ସମଲିଙ୍ଗୀତା |
"પડોશ, નિકટતા","ପଡ଼ୋଶୀ, ନିକଟତର"
"મલ્ટિપલ સેમ્પલિંગ, ઇન્ક્લુઝિવ સેમ્પલિંગ","ଏକାଧିକ ନମୁନା ସଂଗ୍ରହ, ଅନ୍ତର୍ଭୂକ୍ତ ନମୁନା ସଂଗ୍ରହ |"
ચોખ્ખો જન્મ દર,ନିଟ୍ ଜନ୍ମ ହାର
ન્યૂટેની મિકેનિક્સ,ନ୍ୟୁଟାନି ମେକାନିକ୍ସ |
ન્યુટનનું વિભાજિત તફાવત સૂત્ર,ନ୍ୟୁଟନ୍ ର ବିଭାଜିତ ଭିନ୍ନତା ସୂତ୍ର |
ન્યુટનના ગતિના નિયમો,ନ୍ୟୁଟନ୍ ଗତିର ନିୟମ |
નામ સોંપણી,ନାମ ଆସାଇନମେଣ୍ଟ
નેઇમન-પિયર્સન-સિદ્ધાંત,ନେମାନ-ପିଆରସନ-ନୀତି |
શૂન્ય સંભવિત તત્વ,ଶୂନ୍ୟ ସମ୍ଭାବ୍ୟ ଉପାଦାନ |
શૂન્ય સંભવિત મેટ્રિક્સ,ଶୂନ୍ୟ ସମ୍ଭାବ୍ୟ ମ୍ୟାଟ୍ରିକ୍ସ |
"નોડ, નોડ, પર્ણ, નિબ, ફિલ્ટર","ନୋଡ୍, ନୋଡ୍, ପତ୍ର, ଆଉଟପୁଟ୍, ଫିଲ୍ଟର୍ |"
એન-અબેલી જૂથ,ଏକ-ଆବେଲି ଗୋଷ୍ଠୀ |
રિલેટિવિસ્ટિક કન્વર્જન્સ,ଆପେକ୍ଷିକ ସମ୍ମିଶ୍ରଣ |
ગુણાતીત,ଟ୍ରାନ୍ସେଣ୍ଡେଣ୍ଟାଲ୍ |
અશુદ્ધ,ଦୁର୍ନୀତିଗ୍ରସ୍ତ
અનકરપ્ટેડ બેઝિસ કોન્સ્ટન્ટ સોલ્યુશન,ଦୁର୍ନୀତିଗ୍ରସ୍ତ ଭିତ୍ତିଭୂମି ସ୍ଥିର ସମାଧାନ |
અઘાન,aghan
ગાઢ એકંદર,ଘନ ଏଗ୍ରିଗେଟ୍ |
પોઈન્ટની અગણિત અનંતતા,ପଏଣ୍ଟଗୁଡିକର ଅସଂଖ୍ୟ ଅସୀମତା |
અસંખ્ય સમૂહ,ଅଗଣିତ ସେଟ୍ |
અજોડ,ତୁଳନାତ୍ମକ
બિન-સબસેટ,ଅଣ-ଉପସେଟ |
યુક્લિડિયન ભૂમિતિ,ଇଉକ୍ଲିଡିଆନ୍ ଜ୍ୟାମିତି |
"અપ્રમાણસર, અપ્રમાણસર","ଅନୁପଯୁକ୍ତ, ଅନୁପଯୁକ୍ତ"
બિન છેદાય છે,ବିଚ୍ଛେଦ ନୁହେଁ |
બિન-રેખીય બીજગણિત સમીકરણો,ଅଣ-ର ar ଖ୍ୟ ବୀଜ ବର୍ଣ୍ଣିତ ସମୀକରଣ |
બિન-રેખીય વિભેદક સમીકરણ,ଅଣ-ର ar ଖ୍ୟ ଭିନ୍ନକ୍ଷମ ସମୀକରଣ |
બિન-રેખીય સમીકરણ,ଅଣ-ର ar ଖିକ ସମୀକରଣ |
બિન-રેખીય પ્રોગ્રામિંગ,ଅଣ-ର ar ଖ୍ୟ ପ୍ରୋଗ୍ରାମିଂ |
બિન-રેખીય રીગ્રેસન,ଅଣ-ରେଖା ରିଗ୍ରେସନ୍ |
બિન-રેખીય સંબંધ,ଅଣ-ର ar ଖିକ ସମ୍ପର୍କ |
બિન ઋણ પૂર્ણાંક બિન નકારાત્મક પૂર્ણાંક,ଅଣ ନେଗେଟିଭ୍ ଇଣ୍ଟିଜର୍ ନନ୍ ନେଗେଟିଭ୍ ଇଣ୍ଟିଜର୍
બિન-નેગેટિવ ચલ,ଅଣ ନେଗେଟିଭ୍ ଭେରିଏବଲ୍ |
બિન-પેરામેટ્રિક પરીક્ષણ,ଅଣ-ପାରାମେଟ୍ରିକ୍ ପରୀକ୍ଷା |
બિન-સંભવિત અભિગમ,ଅଣ-ସମ୍ଭାବ୍ୟ ଆଭିମୁଖ୍ୟ |
વ્યસ્ત મેટ્રિક્સ,ଓଲଟା ମ୍ୟାଟ୍ରିକ୍ସ |
અસમપ્રમાણ મેટ્રિક્સ,ଅସୀମେଟ୍ରିକ୍ ମ୍ୟାଟ୍ରିକ୍ସ |
નજીવા,ଅମୂଳକ
બિન-શૂન્ય નિર્ણાયક,ଶୂନ୍ୟ ନଥିବା ନିର୍ଣ୍ଣୟକାରୀ |
ખાલી,ଖାଲି
બિન-સબસેટ,ଅଣ-ଉପସେଟ |
બિન-શૂન્ય નિર્ણાયક,ଶୂନ୍ୟ ନଥିବା ନିର୍ଣ୍ଣୟକାରୀ |
અથવા પૂરક દરવાજા,କିମ୍ବା ସଂପୃକ୍ତ ଫାଟକ |
"સામાન્ય, કુદરતી, પ્રમાણભૂત, સામાન્ય, સામાન્ય, સામાન્ય, સામાન્ય","ସାଧାରଣ, ପ୍ରାକୃତିକ, ମାନକ, ସାଧାରଣ, ସାଧାରଣ, ସାଧାରଣ, ସାଧାରଣ |"
સામાન્ય પ્રવેગક,ସାଧାରଣ ତ୍ୱରଣ |
સામાન્ય કોણ,ସାଧାରଣ କୋଣ
સામાન્ય વળાંક,ସାଧାରଣ ବକ୍ର
સામાન્ય ઘનતા કાર્ય,ସାଧାରଣ ଘନତା କାର୍ଯ୍ୟ
સામાન્ય વિતરણ,ସାଧାରଣ ବଣ୍ଟନ |
સામાન્ય વિતરણ કાર્ય,ସାଧାରଣ ବଣ୍ଟନ କାର୍ଯ୍ୟ
મેટ્રિક્સનું સામાન્ય સ્વરૂપ,ମାଟ୍ରିକ୍ସର ସାଧାରଣ ରୂପ |
સામાન્ય આવર્તન,ସାଧାରଣ ଫ୍ରିକ୍ୱେନ୍ସି |
સામાન્યકૃત વળાંક,ସାଧାରଣ ବକ୍ର
સામાન્ય ફ્લોટિંગ પોઈન્ટ નંબર,ସ୍ flo ାଭାବିକ ଭାସମାନ ବିନ୍ଦୁ ସଂଖ୍ୟା |
નોર્મલાઇઝર,ନର୍ମାଲାଇଜର୍
સામાન્ય મેટ્રિક્સ,ସାଧାରଣ ମ୍ୟାଟ୍ରିକ୍ସ |
સામાન્ય સંભાવના વળાંક,ସାଧାରଣ ସମ୍ଭାବ୍ୟତା ବକ୍ର
સામાન્ય સંભાવના વિતરણ,ସାଧାରଣ ସମ୍ଭାବନା ବଣ୍ଟନ |
"સામાન્ય પેટાજૂથ, ચોક્કસ પેટાજૂથ","ସାଧାରଣ ସବ୍ ଗ୍ରୁପ୍, ନିର୍ଦ୍ଦିଷ୍ଟ ସବ୍ ଗ୍ରୁପ୍ |"
પ્રમાણિત રેખીય જગ્યા,ମାନକ ର line ଖ୍ୟ ସ୍ଥାନ |
વેક્ટર ધોરણ,ଭେକ୍ଟର ମାନକ
"ગેટ નહીં, ગેટ નહીં","ଗେଟ୍ ନୁହେଁ, ଗେଟ୍ ନୁହେଁ |"
નિશાચર ગાઢ એકંદર,ରାତିର ଘନ ଏଗ୍ରିଗେଟ୍ |
નલ પૂર્વધારણા,ଶୂନ୍ୟ ଅନୁମାନ
શૂન્ય મેટ્રિક્સ,ଶୂନ୍ୟ ମ୍ୟାଟ୍ରିକ୍ସ
ખાલી સેટ,ଖାଲି ସେଟ୍ |
શૂન્ય વેક્ટર,ଶୂନ୍ୟ ଭେକ୍ଟର |
સંખ્યા,ସଂଖ୍ୟା
સંખ્યા અક્ષ,ସଂଖ୍ୟା ଅକ୍ଷ
સંખ્યા પદ્ધતિ,ସଂଖ୍ୟା ସିଷ୍ଟମ୍ |
"સંખ્યાત્મક (વિ.), સંખ્યાત્મક (વિ.)","ସାଂଖ୍ୟିକ (ନା), ସାଂଖ୍ୟିକ (V.)"
"નંબર માટે, નંબર માટે","ସଂଖ୍ୟାକୁ, ସଂଖ୍ୟାକୁ"
ભાગ,ଭାଗ
સંખ્યાત્મક ગુણાંક,ସାଂଖ୍ୟିକ ଗୁଣବତ୍ତା
સંખ્યાત્મક ગણતરી,ସାଂଖ୍ୟିକ ଗଣନା
સંખ્યાત્મક તફાવત,ସାଂଖ୍ୟିକ ଭିନ୍ନତା |
સંખ્યાત્મક પદ્ધતિ,ସାଂଖ୍ୟିକ ପଦ୍ଧତି |
"n-વેક્ટર, n-વેક્ટર","n- ଭେକ୍ଟର୍, n- ଭେକ୍ଟର୍ |"
n-વેક્ટર જગ્યા,n- ଭେକ୍ଟର୍ ସ୍ପେସ୍ |
"પદાર્થ, શરીર, પદાર્થ","ବସ୍ତୁ, ଶରୀର, ବସ୍ତୁ"
ઉદ્દેશ્ય કાર્ય,ଅବଜେକ୍ଟିଭ୍ ଫଙ୍କସନ୍
"ત્રાંસુ, ત્રાંસુ","oblique, oblique"
ત્રાંસી એસિમ્પ્ટોટ,oblique asymptote |
ત્રાંસી અક્ષ,oblique axis
"ક્રોસ સેક્શન, ક્રોસ સેક્શન","କ୍ରସ୍ ବିଭାଗ, କ୍ରସ୍ ବିଭାଗ |"
અવલોકન,ପର୍ଯ୍ୟବେକ୍ଷଣ
અવલોકન કરેલ આવર્તન,ବାରମ୍ବାର ଦେଖାଯାଏ |
અસ્પષ્ટ કોણ,ଅବ୍ଟ୍ୟୁଜ୍ କୋଣ |
અષ્ટકોણ,ଅଷ୍ଟାଙ୍ଗ
અષ્ટકોણ,ଅଷ୍ଟାଙ୍ଗ
ઓક્ટલ સિસ્ટમ,ଅକ୍ଟାଲ୍ ସିଷ୍ଟମ୍ |
અષ્ટક,ଅଷ୍ଟାଣ୍ଟ
એકી,ଓଡିଆ
અસમપ્રમાણ વળાંક,ଅସୀମିତ ବକ୍ର
એકી સંખ્યા,ଅଦ୍ଭୁତ ସଂଖ୍ୟା
વિચિત્ર ક્રમચય,ଅଦ୍ଭୁତ ଅନୁମତି
વિચિત્ર બહુપદી,ଅଦ୍ଭୁତ ବହୁଭୂତ |
"ઓગિવ, તોરણ","ogive, pylon"
એકાંત સંગઠન,ଏକାକୀ ସଙ୍ଗଠନ |
એક-એક કાર્ય,ଗୋଟିଏ-ଗୋଟିଏ କାର୍ଯ୍ୟ
એક નકશો,ଏକକ ମାନଚିତ୍ର
એક-માર્ગી વર્ગીકરણ,ଏକପାଖିଆ ବର୍ଗୀକରଣ |
ઓવરલેપ નકશો,ଓଭରଲପ୍ ମାନଚିତ୍ର
"ખુલ્લું, ખુલ્લું (v.)","ଖୋଲା, ଖୋଲା (v।)"
ખુલ્લો ગોળો,ଖୋଲା କ୍ଷେତ୍ର
ખુલ્લું અંતરાલ,ଖୋଲା ବ୍ୟବଧାନ
ઓપન સેમિલાઇન,ସେମିଲିନ୍ ଖୋଲନ୍ତୁ |
ઓપન સેટ,ଖୋଲା ସେଟ୍ |
સંચાલન,ଅପରେଟିଂ
ઓપરેશન વિજ્ઞાન,ଅପରେସନ୍ ସାଇନ୍ସ |
ઓપરેશન વિજ્ઞાન,ଅପରେସନ୍ ସାଇନ୍ସ |
"ઓપરેટર, ઓપરેટર, ઓપરેટર","ଅପରେଟର୍, ଅପରେଟର୍, ଅପରେଟର୍ |"
વિરોધી કોણ,ବିପରୀତ କୋଣ |
વિપરીત ઘટના,ବିପରୀତ ଘଟଣା |
શ્રેષ્ઠ આધાર સુસંગત ઉકેલ,ଉତ୍କୃଷ୍ଟ ଆଧାର ସ୍ଥିର ସମାଧାନ |
શ્રેષ્ઠ સ્થિતિ,ସର୍ବୋତ୍କୃଷ୍ଟ ଅବସ୍ଥା
શ્રેષ્ઠ આઉટપુટ કદ,ସର୍ବୋତ୍କୃଷ୍ଟ ଫଳାଫଳ ଆକାର
