Tamil,Assamese
மாறாத,অপৰিৱৰ্তনীয়
சரக்கு முக்கிய கோப்பு,তথ্যৰ মূল ফাইল
தலைகீழ் மல்டிபிளெக்சர்,ইনভাৰ্ছ মাল্টিপ্লেক্সাৰ
தலைகீழ் ஸ்கேனிங்,বিপৰীত স্কেনিং
தலைகீழ் கோப்பு,ওলোটা ফাইল
தலைகீழ் பட்டியல் கோப்பு,ওলোটা তালিকা নথিপত্ৰ
தலைகீழ் பக்க அட்டவணை,বিপৰীত পৃষ্ঠা টেবুল
"1. பரிமாற்றம் செய்பவர், 2. சின்னம்","১.বিনিময়কাৰী, ২.প্ৰতীক"
பணி மேலாண்மை,কাৰ্য্য ব্যৱস্থাপনা
செயல் சார்ந்த மொழி,কাৰ্য্যমুখী ভাষা
பணி முன்னுரிமை,কাৰ্য্যৰ অগ্ৰাধিকাৰ
வேலை திட்டமிடல்,চাকৰিৰ সময়সূচী
பணி வரிசைப்படுத்துதல்,কাৰ্য্য ক্ৰমবিন্যাস
வேலை திட்டம்,কৰ্মসূচী
செருகல்,সন্নিৱিষ্ট কৰা
கூட்டு புகைப்படக் குழு (JPG),যৌথ ফটোগ্ৰাফী গোট (JPG)
இதழ்,আলোচনী
மகிழ்ச்சி குச்சி,জয় লাঠি
"1.மதிப்பீடு, 2.முடிவு","১.মূল্যায়ন কৰা, ২.সিদ্ধান্ত লোৱা"
குதிக்க,জাপ মৰা
குதிக்கும் அறிவுறுத்தல்,জাম্প নিৰ্দেশনা
குதிப்பவர்,জাম্পাৰ
"1. சங்கமம், 2. ஒப்பந்தம், 3. கூட்டு","১/ সংগম, ২. সন্ধি, ৩. যৌথ"
குப்பை,আৱৰ্জনা
நியாயப்படுத்துதல்,ন্যায্যতা প্ৰদান কৰা
கிலோ பைட்,কিলো বাইট
கர்னாஃப் வரைபடம்,কাৰ্নফ মানচিত্ৰ
கர்னாஃப் படம்,karnoff ছবি
KB (கிலோகிராம் பைட்),KB (কিলোগ্ৰাম বাইট)
"1. அஸ்தி, 2. கர்னல்கள், 3. கர்னல்","১.অষ্টি, ২.কেৰ্ণেল, ৩.কৰ্ণেল"
எட்டு முறை,আঠটা মোড
பழக்கப்படுத்துதல்,অভ্যস্ততা
முக்கிய,চাবি
விசைப்பலகை,কিবৰ্ড
"1.விசை துள்ளல், 2.விசை நிராகரிப்பு","1.কী বাউন্স, 2.কী প্ৰত্যাখ্যান"
முக்கிய கிளிக்,কি ক্লিক কৰক
முக்கிய சுருக்கம்,কি সংকোচন
"1.விசை வட்டு, 2.விசை வட்டு","1.কী ডিস্ক, 2.কী ডিস্ক"
முக்கிய குறியாக்கம்,কী এনকোডিং
முக்கிய பகுதி,মূল অঞ্চল
"1.விசை கோப்பு, 2.விசை கோப்பு","1.key ফাইল, 2.key ফাইল"
முக்கிய கட்டமைப்பு,মূল গঠন
முக்கிய மேலாண்மை,কী ব্যৱস্থাপনা
முக்கிய திண்டு,কী পেড
முக்கிய திண்டு,কী পেড
முக்கிய சொற்றொடர்,মূল বাক্যাংশ
முக்கிய துடிப்பு,কী পালছ
முக்கிய பஞ்சர்,কী পাঞ্চাৰ
முக்கிய வகை,key সজাই পৰাই তোলা
"1.கீ ஸ்ட்ரோக், 2. கீ ஸ்ட்ரோக், 3. கீ பிரஷர்","1.কী ষ্ট্ৰ&#39;ক, 2.কী ষ্ট্ৰ&#39;ক, 3.কী চাপ"
முகவரி பரிமாற்ற விசை,ঠিকনা স্থানান্তৰ কি&#39;
"1. வட்டு விசை, 2. வட்டு விசை","1. ডিস্ক কি&#39;, 2. ডিস্ক কি&#39;"
நெகிழ் விசை,ফ্লপি কি&#39;
டேப் சாவி,টেপ কি&#39;
முக்கிய சொல்,মূল শব্দ
"1.உதை, 2.தும்பு","১.কিক, ২.থাম্প"
குடிசை,কুটি
கிலோ பிட்,কিলো বিট
முடிச்சு,গাঁঠি
அறிவு சார்ந்த தகவல் சேவைகள்,জ্ঞান ভিত্তিক তথ্য সেৱা
அறிவு தேடல்,জ্ঞান অভিযান
அறிவு தேடல் தரவுத்தளம்,জ্ঞান অনুসন্ধান ডাটাবেছ
அறிவு பொறியியல்,জ্ঞান অভিযান্ত্ৰিকী
அறிவு மேலாண்மை,জ্ঞান ব্যৱস্থাপনা
அறிவு பணியாளர்,জ্ঞান কৰ্মী
லான் அடாப்டர்,lan এডাপ্টাৰ
"1.LAN சர்வர், 2.LAN சர்வர்","1.LAN চাৰ্ভাৰ, 2.LAN চাৰ্ভাৰ"
LAN பணியிடம்,LAN কৰ্মস্থলী
கிடைமட்ட படம்,অনুভূমিক ছবি
"1.கிடைமட்ட படம், 2.நிலப்பரப்பு","1.অনুভূমিক ছবি, 2.লেণ্ডস্কেপ"
மொழி,ভাষা
மொழி பயிற்றுவிப்பாளர்,ভাষা প্ৰশিক্ষক
மொழி செயலி,ভাষা প্ৰচেছৰ
"1.மொழி மாற்றுபவர், 2.மொழி மொழிபெயர்ப்பாளர்","1.ভাষা Transferr, 2.ভাষা অনুবাদক"
மடிக்கணினி,লেপটপ
விரிவான ஒருங்கிணைப்பு (LSI),ব্যাপক সংহতি (LSI)
வெகுஜன ஒருங்கிணைப்பு (LSI),গণ সংহতি (LSI)
லேசர்,লেজাৰ
லேசர் அச்சுப்பொறி,লেজাৰ প্ৰিন্টাৰ
கடைசி உள்ளீடு முதல் வெளியீடு (LIFO),শেষৰ ইনপুট প্ৰথম সংখ্যা (LIFO)
அடுக்கு,কোট
"வரைபடம், தளவமைப்பு","ব্লুপ্ৰিণ্ট, বিন্যাস"
"1. இலைகள், 2. இலைகள், 3. கடிதம்","১.পাত, ২.পাত, ৩. চিঠি"
இலை முனை,পাতৰ ন&#39;ড
இலைப்புள்ளி,পাতৰ দাগ
குத்தகை,লীজ
"1.லீஸ் சேனல், 2.லீஸ் சிஸ்டம்","1.লিজ চেনেল, 2.লিজ ব্যৱস্থা"
"1.கோடு,2.லீஷ் லைன்","১.লাইন, ২.লিছ লাইন"
குறைந்தபட்ச அர்த்தமுள்ள பிட் ஷெல்.எஸ்பி),নূন্যতম অৰ্থপূৰ্ণ বিট shell.sb)
குறைந்த குறிப்பிடத்தக்க மதிப்பெண்,কম উল্লেখযোগ্য নম্বৰ
"1. பரம்பரை அமைப்பு, 2. பரம்பரை அமைப்பு","1. উত্তৰাধিকাৰী ব্যৱস্থা, 2. উত্তৰাধিকাৰী ব্যৱস্থা"
"1. லெமா, 2. தேற்றம்","১.লেমা, ২.উপাপাদ্য"
கடிதத்தின் தரம் (LQ),চিঠিৰ মানদণ্ড (LQ)
வார்த்தைகளால்,শব্দাংশ
அகராதியியல்,অভিধানবিজ্ঞান
"1.காப்பகம்,2.நூலகம்","১.আৰ্কাইভ, ২.লাইব্ৰেৰী"
"1.நூலக திட்டம், 2.காப்பக நிரலாக்கம்","১.লাইব্ৰেৰী প্ৰগ্ৰেম, ২.আৰ্কাইভ প্ৰগ্ৰেমিং"
நூலக அடைவு,লাইব্ৰেৰী ডাইৰেকটৰী
"1. உரிம ஒப்பந்தம், 2. உரிம ஒப்பந்தம்","১/ অনুজ্ঞাপত্ৰ চুক্তি, ২/ অনুজ্ঞাপত্ৰ চুক্তি"
ஒளி உமிழும் டையோட்கள் (எல்இடி),লাইট ইমিটিং ডাইঅ&#39;ড (LEDs)
லேசான துப்பாக்கி,লাইট বন্দুক
ஒளி பேனா,লাইট পেন
நேரியல் அடாப்டர்,ৰৈখিক এডাপ্টাৰ
வரி எடிட்டிங்,শাৰী সম্পাদনা
"1.லைன் பிரிண்டர், 2.லைன் பிரிண்டர்","1.লাইন প্ৰিন্টাৰ, 2.লাইন প্ৰিন্টাৰ"
"1.நேரியல், 2.நேரியல்","১.ৰৈখিক, ২.ৰৈখিক"
நிமிடத்திற்கு வரிகள் (LPM),প্ৰতি মিনিটত লাইন (LPM)
"1. இணைப்பு, இணைப்பு, 2. சங்கிலி ,3. பத்திரம்","1. লিংক, লিংক, 2. শৃংখল, 3. বান্ধোন"
சங்கிலியால் பிணைக்கப்பட்ட பட்டியல்,শৃংখলাবদ্ধ তালিকা
லினக்ஸ்,লিনাক্স
"1.லிக்விட் கிரிஸ்டல் டிஸ்ப்ளே, 2.லிக்விட் கிரிஸ்டல் டிஸ்ப்ளே (எல்சிடி)","1.লিকুইড স্ফটিক প্ৰদৰ্শন, 2.তৰল স্ফটিক প্ৰদৰ্শন (এলচিডি)"
பட்டியல் செயலாக்கம்,তালিকা প্ৰক্ৰিয়াকৰণ
"1.எழுத்து, 2.எழுத்து","১.চিঠি, ২.আক্ষৰিক"
"1. செயலில், 2. வாழும், 3. மின், 4. நகரும்","1. সক্ৰিয়, 2. জীৱিত, 3. বৈদ্যুতিক, 4. গতিশীল"
நேரடி முடிச்சு,জীৱন্ত গাঁঠি
"1.ஏற்றுதல், 2.ஏற்றுதல்","1.লোড, 2.লোড"
"1.load module, 2.load modulator","1.লোড মডিউল, 2.লোড মডুলেটৰ"
"1.உள்ளூர், 2.உள்ளூர்","১.স্থানীয়, ২.স্থানীয়"
உள்ளூர் அணுகல்,স্থানীয় প্ৰৱেশ
லோக்கல் ஏரியா நெட்வொர்க் (LAN),স্থানীয় এলেকা নেটৱাৰ্ক (LAN)
உள்ளூர் தெளிவு,স্থানীয় স্পষ্টতা
"1. உள்ளூர் நெட்வொர்க், 2. உள்ளூர் மையம் 3. உள்ளூர் பரிமாற்றம்","1. স্থানীয় নেটৱৰ্ক, 2. স্থানীয় কেন্দ্ৰ 3. স্থানীয় বিনিময়"
உள்ளூர் நினைவகம்,স্থানীয় স্মৃতিশক্তি
உள்ளூர் முறை,স্থানীয় ধৰণ
உள்ளூர் மாறி,স্থানীয় চলক
"வளைய, பூட்டு","লুপ, লক"
லூப் கோப்பு,লুপ ফাইল
அமர்வு ஆரம்பம்,অধিবেশন আৰম্ভ
கால முடிவு,term end
எழுதுதல்,লেখক
தர்க்க பகுப்பாய்வி,যুক্তি বিশ্লেষক
தர்க்க வெடிகுண்டு,লজিক বোমা
தர்க்க அட்டை,লজিক কাৰ্ড
தர்க்க விளக்கப்படம் (பாய்வு விளக்கப்படம்),লজিক চাৰ্ট (ফ্ল&#39;চাৰ্ট)
தர்க்க சுற்று,লজিক বৰ্তনী
தர்க்க வடிவமைப்பு,লজিক ডিজাইন
தர்க்க வரைபடம்,লজিক ডায়েগ্ৰাম
தருக்க பாய்வு விளக்கப்படம்,লজিকেল ফ্ল&#39;চাৰ্ট
தர்க்க செயல்பாடு,লজিক ফাংচন
தர்க்க வாயில்,লজিক গেট
"1. லாஜிக் புரோகிராமிங், 2. லாஜிக் புரோகிராமிங்","1. লজিক প্ৰগ্ৰেমিং, 2. লজিক প্ৰগ্ৰেমিং"
தர்க்க இடப்பெயர்ச்சி,লজিক বিচ্যুতি
தர்க்க நிலை,লজিক অৱস্থা
தர்க்க சுவிட்ச்,লজিক চুইচ
தர்க்க அலகு,লজিক ইউনিট
தருக்க,যুক্তিসংগত
தருக்க இணைப்பு,যুক্তিসংগত সংযোগ
தருக்க தரவு அமைப்பு,লজিকেল ডাটা গঠন
தருக்க வரைபடம்,লজিকেল ডায়েগ্ৰাম
தருக்க வெளிப்பாடு,লজিকেল এক্সপ্ৰেচন
தருக்க பாய்வு விளக்கப்படம்,লজিকেল ফ্ল&#39;চাৰ্ট
தருக்க IF (லாஜிக்கல் என்றால்),লজিকেল IF (লজিকেল যদি)
பகுத்தறிவு செயல்பாடு,যুক্তিসংগত কাৰ্য্য
பகுத்தறிவு இயக்குபவர்,যুক্তিসংগত অপাৰেটৰ
பகுத்தறிவு இணைப்பு,যুক্তিসংগত সংযোগ
தர்க்கரீதியான திட்டம்,যুক্তিসংগত পৰিকল্পনা
"1. பகுத்தறிவு தன்மை, 2. தருக்க தன்மை","1. যুক্তিবাদী চৰিত্ৰ, 2. যুক্তিসংগত চৰিত্ৰ"
தருக்க முறை,যুক্তিসংগত আৰ্হি
தருக்க மதிப்பு,লজিকেল মান
தருக்க மாறி,লজিকেল ভেৰিয়েবল
கண்ணோட்டத்தை அடைந்தது,অভাৰভিউ লাভ কৰা হৈছে
முன்னோட்ட தொகுப்பு,পূৰ্বদৰ্শন ছেট
கவனிப்பு,পৰ্যবেক্ষণ
"1.லூப், 2.லூப்","১.লুপ, ২.লুপ"
வளைய கட்டுப்பாடு,লুপ নিয়ন্ত্ৰণ
வளைய துவக்கம்,লুপ আৰম্ভণি
வளைய மாறுபாடு,লুপৰ তাৰতম্য
"1.லூப் நெட்வொர்க், 2.லூப் நெட்வொர்க்","1.লুপ নেটৱৰ্ক, 2.লুপ নেটৱৰ্ক"
வளைய துவக்கம்,লুপ আৰম্ভণি
வளைய-முடிவு,লুপ-এণ্ডিং
எதிர்-லூப் சோதனை,কাউণ্টাৰ-লুপ পৰীক্ষা
தளர்வாக இணைக்கப்பட்டது,শিথিলভাৱে সংযুক্ত
இழப்பற்ற சுருக்கம்,ক্ষতিহীন সংকোচন
ஹஸ்ஸே சுருக்கம்,হাছে কম্প্ৰেছন
குறைந்த பைட்,কম বাইট
குறைந்த அளவிலான மொழி,নিম্নস্তৰৰ ভাষা
குறைந்த பாஸ் வடிகட்டி,লো পাছ ফিল্টাৰ
"1.குறைந்த நிலை, 2. கீழே பிணைக்கப்பட்டுள்ளது","1.নিম্ন কণ্ডিচনেড, 2. তলত বান্ধি থোৱা আছে"
"1.MAC நெறிமுறை, 2.MAC நெறிமுறைகள் (நடுத்தர அணுகல் கட்டுப்பாடு)","1.MAC প্ৰটোকল, 2.MAC নৈতিকতা (মধ্যমীয়া প্ৰৱেশ নিয়ন্ত্ৰণ)"
"1. இயந்திரம், 2. இயந்திரம்","১.যন্ত্ৰ, ২.যন্ত্ৰ"
இயந்திர முகவரி,মেচিনৰ ঠিকনা
"1. இயந்திரக் குறியீடு, 2. இயந்திரக் குறியீடு","১.মেচিন ক’ড, ২.মেচিন ক’ড"
இயந்திர சக்கரம்,মেচিনৰ চকা
இயந்திரமயமாக்கப்பட்ட மொழி,যান্ত্ৰিক ভাষা
இயந்திர மென்பொருள்,যান্ত্ৰিক চফ্টৱেৰ
சாதன பிழை,ডিভাইচৰ ভুল
இயந்திரம் செயலற்ற நேரம்,মেচিনৰ অচল সময়
இயந்திர மொழி,মেচিন ভাষা
கையேடு,হাতপুথি
இயந்திர உணர்வு,মেচিন চেন্স
"1.இயந்திர மொழி, 2.இயந்திர மொழி","১.মেচিন লেংগুৱেজ, ২.মেচিন লেংগুৱেজ"
இயந்திர வழி கற்றல்,মেচিন লাৰ্নিং
இயந்திர செயல்பாடு,মেচিন অপাৰেচন
இயந்திர மொழி,মেচিন ভাষা
இயந்திர செயல்திறன்,মেচিনৰ পৰিৱেশন
இயந்திர உருவகப்படுத்துதல்,মেচিন চিমুলেচন
இயந்திர கடத்தல் நேரம்,মেচিন হাইজেকিং সময়
இயந்திர மொழிபெயர்ப்பு,মেচিন অনুবাদ
இயந்திர வார்த்தைகள்,মেচিন শব্দ
மேக்ரோ அறிவுறுத்தல்,মেক্ৰ&#39; নিৰ্দেশনা
மேக்ரோ அளவுகோல்,মেক্ৰ&#39; স্কেল
வெகுஜன அசெம்பிளிங் திட்டம்,গণ সমাবেশ কাৰ্যসূচী
மொத்த அழைப்பு,স্থূল কল
"1.மேக்ரோ குறியீடு, 2.மேக்ரோ குறியீடு","১.মেক্ৰ’ ক’ড, ২.মেক্ৰ’ ক’ড"
மேக்ரோ கட்டளை,মেক্ৰ&#39; কমাণ্ড
மேக்ரோ பிரகடனம்,মেক্ৰ&#39; ঘোষণা
மேக்ரோ வரையறை,মেক্ৰ&#39; সংজ্ঞা
மேக்ரோ ஓட்ட விளக்கப்படம்,মেক্ৰ&#39; ফ্ল&#39; চাৰ্ট
மேக்ரோ ஜெனரேட்டர்,মেক্ৰ&#39; জেনেৰেটৰ
மேக்ரோ அறிவுறுத்தல்,মেক্ৰ&#39; নিৰ্দেশনা
மொத்த மொழி,স্থূল ভাষা
மேக்ரோ நூலகம்,মেক্ৰ&#39; লাইব্ৰেৰী
மேக்ரோ அளவுரு,মেক্ৰ&#39; প্ৰাচল
மேக்ரோ செயலாக்கம்,মেক্ৰ&#39; প্ৰচেছিং
"1.மேக்ரோ செயலி, 2. மேக்ரோப்ராசசர்","1.মেক্ৰ&#39; প্ৰচেছৰ, 2. মেক্ৰ&#39;প্ৰচেছৰ"
மேக்ரோ நிரலாக்க,মেক্ৰ&#39; প্ৰগ্ৰেমিং
மொத்த முன்மாதிரி,স্থূল প্ৰট&#39;টাইপ
"1.மேக்ரோ என்கோடிங், 2.மேக்ரோ கோடிங்","1.মেক্ৰ&#39; এনকোডিং, 2.মেক্ৰ&#39; ক&#39;ডিং"
மெகாபைட் (MB),মেগাবাইট (MB)
மந்திர சின்னம்,যাদুৰ চিহ্ন
மந்திர எண்,যাদু সংখ্যা
காந்த குமிழி நினைவகம்,চুম্বকীয় বুদবুদ স্মৃতিশক্তি
காந்த அட்டை,চুম্বকীয় কাৰ্ড
"1.காந்த செல், 2.காந்த செல்","১.চুম্বকীয় কোষ, ২.চুম্বকীয় কোষ"
காந்த சின்னம்,চুম্বকীয় চিহ্ন
காந்த மைய சேமிப்பு,চুম্বকীয় কোৰ সংৰক্ষণ
"1.காந்த வட்டு, 2. காந்த வட்டு","1.চুম্বকীয় ডিস্ক, 2. চুম্বকীয় ডিস্ক"
காந்த வட்டு முகவரி,চুম্বকীয় ডিষ্কৰ ঠিকনা
காந்த வட்டு நினைவகம்,চুম্বকীয় ডিস্ক মেমৰি
காந்த டிரம்,চুম্বকীয় ড্ৰাম
"1.காந்த குறியாக்கம், 2.காந்தக் குறியீட்டு முறை, 3.காந்தக் குறியீட்டு முறை","1.চুম্বকীয় এনকোডিং, 2.চুম্বকীয় ক&#39;ডিং, 3.চুম্বকীয় ক&#39;ডিং"
காந்த மேல்,চুম্বকীয় শীৰ্ষ
காந்த மை,চুম্বকীয় চিয়াঁহী
காந்த மை எழுத்து அங்கீகாரம் (MICR),চুম্বকীয় চিয়াঁহী আখৰ চিনাক্তকৰণ (MICR)
காந்த ஊடகம்,চুম্বকীয় মাধ্যম
காந்த வாசிப்பு,চুম্বকীয় পঢ়া
காந்த பதிவு,চুম্বকীয় ৰেকৰ্ডিং
காந்த சேமிப்பு,চুম্বকীয় সংৰক্ষণ
காந்தப் பட்டை,চুম্বকীয় ৰেখা
காந்த நாடா,চুম্বকীয় টেপ
காந்த நாடா கெட்டி,চুম্বকীয় টেপ কাৰ্টিজ
காந்த நாடா இயக்கி,চুম্বকীয় টেপ ড্ৰাইভ
காந்த நாடா முன்னோடி,চুম্বকীয় টেপ পূৰ্বসূৰী
காந்த நாடா நூலகர்,চুম্বকীয় টেপ লাইব্ৰেৰিয়ান
காந்த நாடா அணுகல்,চুম্বকীয় টেপ প্ৰৱেশ
காந்த நாடா அலகு,চুম্বকীয় টেপ ইউনিট
"1.காந்த மெல்லிய அடுக்கு, 2.காந்த மெல்லிய படலம்","1.চুম্বকীয় পাতল স্তৰ, 2.চুম্বকীয় পাতল ফিল্ম"
காந்த பாதை,চুম্বকীয় পথ
காந்த ஒளியியல் சேமிப்பு,চুম্বকীয় আলোকীয় সংৰক্ষণ
"1.காந்த அச்சுப்பொறி, 2.காந்த அச்சுப்பொறி","1.চুম্বক প্ৰিন্টাৰ, 2.চুম্বক প্ৰিন্টাৰ"
காந்த விலகல்,চুম্বকীয় বিকৃতি
காந்தமாக சிதைக்கக்கூடிய மாத்திரை,চুম্বকীয়ভাৱে বিকৃত কৰিব পৰা টেবলেট
"1. அஞ்சல் பெட்டி, 2. அஞ்சல் பெட்டி","১.মেইল বক্স, ২.মেইল বক্স"
அஞ்சல் இணைப்பு,মেইল মাৰ্জ কৰক
"1. தலைமைக் கட்டுப்பாட்டுப் பிரிவு, 2. தலைமைக் கட்டுப்பாட்டுப் பிரிவு","১.মুখ্য নিয়ন্ত্ৰণ একক, ২.মুখ্য নিয়ন্ত্ৰণ একক"
முக்கிய சட்டகம்,মূল ফ্ৰেম
"1.முதன்மை சட்ட அமைப்பு, 2.முதன்மை சட்ட அமைப்பு","1.মূল ফ্ৰেম ব্যৱস্থা, 2.মূল ফ্ৰেম ব্যৱস্থা"
"1.முதன்மை நினைவகம், 2.முதன்மை நினைவகம்","১.মূল স্মৃতি, ২.মূল স্মৃতি"
"1.முதன்மை திட்டம், 2.முதன்மை திட்டம்","১.মূল কাৰ্যসূচী, ২.মূল কাৰ্যসূচী"
முக்கிய சேமிப்பு,মূল সংৰক্ষণ
"1.மெயின் ஸ்விட்ச், 2.மெயின் ஸ்விட்ச்","১.মেইন চুইচ, ২.মেইন চুইচ"
"1.பராமரிப்பு, 2.பராமரிப்பு","1.ৰক্ষণাবেক্ষণ, 2.ৰক্ষণাবেক্ষণ"
பராமரிப்பு குழு,ৰক্ষণাবেক্ষণ পেনেল
பராமரிப்பு நேரம்,ৰক্ষণাবেক্ষণৰ সময়
பெரிய வட்டம்,ডাঙৰ বৃত্ত
முக்கிய சாதனம்,কী ডিভাইচ
முக்கிய விசை,মূল চাবি
முக்கியமான கட்டம்,মূল মঞ্চ
முக்கிய கட்டமைப்பு,মূল গঠন
முக்கிய வேலை,মূল কাম
பெரும்பான்மை கூறு,সংখ্যাগৰিষ্ঠ উপাদান
பெரும்பான்மை வாயில்,সংখ্যাগৰিষ্ঠতা গেট
பெரும்பான்மை செயல்பாடு,সংখ্যাগৰিষ্ঠতা অপাৰেচন
திருப்பிச் செலுத்தும் காலம்,ৰিইম্বৰ্চেমেণ্টৰ সময়সীমা
தவறான நடைமுறை,মিছঅপাৰেচন ৰুটিন
மேலாண்மை வளர்ச்சி,ব্যৱস্থাপনা বিকাশ
மேலாண்மை தகவல் அமைப்பு (எம்ஐஎஸ்),ব্যৱস্থাপনা তথ্য ব্যৱস্থা (MIS)
மேலாண்மை அறிவியல்,ব্যৱস্থাপনা বিজ্ঞান
மான்செஸ்டர் குறியாக்கம்,মানচেষ্টাৰ এনকোডিং
பெருக்கல்,গুণন
மதிப்பிடப்பட்ட மாறி,অনুমান কৰা চলক
மதிப்பிடப்பட்ட குறியீடு,আনুমানিক সূচকাংক
மனித இயந்திர உருவகப்படுத்துதல்,মানৱ যন্ত্ৰৰ অনুকৰণ
கையேடு முகவரி சுவிட்ச்,মেনুৱেল ঠিকনা চুইচ
கையேடு பகுப்பாய்வு,হাতৰ দ্বাৰা বিশ্লেষণ কৰা
கைமுறை அழைப்பு,মেনুৱেল কল
கைமுறை நுழைவு,হাতৰ দ্বাৰা প্ৰৱেশ কৰা
"1. கையேடு மையம், 2. கையேடு மையம்","১.মেনুৱেল চেণ্টাৰ, ২.মেনুৱেল চেণ্টাৰ"
"1. கைமுறை உள்ளீடு, 2. கைமுறை உள்ளீடு","1. মেনুৱেল ইনপুট, 2. মেনুৱেল ইনপুট"
கைமுறை செயல்பாடு,মেনুৱেল অপাৰেচন
பல-பல உறவு,বহুতৰ লগত বহুতৰ সম্পৰ্ক
பல குறிவிலக்கி,মাল্টি-ডিকোডাৰ
வரைபட முறை,মানচিত্ৰ পদ্ধতি
விவரணையாக்கம்,মেপিং
விளிம்பு,প্ৰান্ত
விளிம்பு பிழை,প্ৰান্তীয় ভুল
விளிம்பு விசாரணை,প্ৰান্তীয় অনুসন্ধান
விளிம்பு சோதனை,প্ৰান্তীয় পৰীক্ষা
சின்னம் கண்டறிதல்,চিহ্ন ধৰা পেলোৱা
கையெழுத்து வாசிப்பு,চিন পঢ়া
சின்னம் ஸ்கேனிங்,চিহ্ন স্কেনিং
அடையாள உணர்வு,sign sense
குறிப்பான்,মাৰ্কাৰ
குறிக்கும்,চিহ্নিত কৰা
மார்க்கர் அலை,মাৰ্কাৰ তৰংগ
மார்க்கோவ் சங்கிலி,মাৰ্কভ শৃংখল
மார்க்கோவ் ஆதாரம்,মাৰ্কভ উৎস
மார்க்அப் மொழி,markup ভাষা
மேசர்,maser
மேசர்,maser
"1.முகமூடி, 2.முக்காடு, 3.முக்காடு","১.মাস্ক, ২.অভাৰ, ৩.অভাৰ"
"1. கவர் பிட், 2. கவர் பிட், 3. முகமூடி இரட்டை இலக்கங்கள்","1. কভাৰ বিট, 2. কভাৰ বিট, 3. মাস্ক দুটা অংক"
முகமூடி நிரல்படுத்தக்கூடிய சாதனம்,মাস্ক প্ৰগ্ৰেমেবল ডিভাইচ
கவர் பதிவு,কভাৰ ৰেজিষ্টাৰ
"1. கவர் ரோம், 2. கவர் ரோம்","1. কভাৰ ৰম, 2. কভাৰ ৰম"
கவர்,আৱৰণ
பெரிய புள்ளிவிவரங்கள்,বিশাল পৰিসংখ্যা
"1. நிறை நினைவகம், 2. நிறை நினைவகம்","1.মাছ মেমৰি, 2.মাছ মেমৰি"
பெருமளவில் இணையாக,বৃহৎ পৰিমাণে সমান্তৰাল
தலைவன்,মুখীয়াল
முதன்மை அட்டை,মাষ্টাৰ কাৰ্ড
"1.ஹெட் வாட்ச், 2.கண்ட்ரோல் வாட்ச்","1.হেড ঘড়ী, 2.নিয়ন্ত্ৰক ঘড়ী"
முக்கிய பணியகம்,মূল ক&#39;ন্সোল
முதன்மை தரவு,প্ৰাইম ডাটা
முதன்மை வரைபடம்,মাষ্টাৰ ডায়েগ্ৰাম
முதன்மை கோப்பு,মাষ্টাৰ ফাইল
முதன்மை குழு,প্ৰধান গোট
முதன்மை விசை,মাষ্টাৰ কি&#39;
முக்கிய நூலக நாடாக்கள்,মূল লাইব্ৰেৰীৰ টেপসমূহ
முதன்மை செயலி,প্ৰাইম প্ৰচেছৰ
முதன்மை திட்டம்,ফ্লেগশ্বিপ প্ৰগ্ৰেম
முக்கிய மையம்,হেড চেণ্টাৰ
"1.மாஸ்டர் டேப், 2.மாஸ்டர் டேப்","১.মাষ্টাৰ টেপ, ২.মাষ্টাৰ টেপ"
"1.முதன்மை முனையம், 2.முதன்மை முனையம்","১.প্ৰিন্সিপাল টাৰ্মিনেল, ২.মেইন টাৰ্মিনেল"
முதன்மை துணை சாதனம்,প্ৰধান অধীনস্থ যন্ত্ৰ
முதன்மை துணை அமைப்பு,প্ৰধান অধীনস্থ ব্যৱস্থা
"1. போட்டி, 2. போட்டி, 3. சந்திப்பு","১.মেচ, ২.মেচ, ৩.মিল"
பொருத்துக,মিল থকা
கணித நிரலாக்க,গাণিতিক প্ৰগ্ৰেমিং
கணித உருவகப்படுத்துதல்,গাণিতিক অনুকৰণ
"1.அணி, 2.அணி","১.মেট্ৰিক্স, ২.মেট্ৰিক্স"
"1.மேட்ரிக்ஸ் பிரிண்டர், 2.மேட்ரிக்ஸ் பிரிண்டர்","1.মেট্ৰিক্স প্ৰিন্টাৰ, 2.মেট্ৰিক্স প্ৰিন্টাৰ"
அணி சுவிட்ச்,মেট্ৰিক্স চুইচ
அணி அட்டவணை,মেট্ৰিক্স টেবুল
அதிகபட்ச கணினி,maxi কম্পিউটাৰ
அதிகபட்ச கணினி,maxi কম্পিউটাৰ
உச்ச உறுப்பு,শিখৰ মৌল
யோகாபேட்,যোগপদ
மேக்ஸ்வெல் டாமன்,মেক্সৱেল ডেমন
"1.அர்த்தம், 2.அர்த்தம்","১.গড়, ২.গড়"
மீட்பு நேரம் என்று பொருள்,গড় আৰোগ্যৰ সময়
தோல்வி நேரம் என்று அர்த்தம்,বিফলতাৰ অৰ্থ সময়
தோல்வி சராசரி நேரம் (m t b f),বিফলতাৰ মধ্যম সময় (m t b f)
தோல்விக்கான நேரம் என்று அர்த்தம்,বিফলতাৰ সময় বুজাইছে
பழுது சராசரி நேரம்,মেৰামতিৰ অৰ্থ সময়
சரிசெய்தல் சராசரி நேரம் (MTTR),সংশোধনৰ গড় সময় (MTTR)
