abatement,অবসান
layoff,বসিয়েদেওয়া
layout,"নকশা, সজ্জাপরিকল্পনা"
leader,"নেতা, নায়ক, অগ্রণী, প্রমুখ"
leadership quality,নেতৃত্বেরগুণাবলী
leaflet,প্রচারপত্র
leak,"ক্ষয়, ছিদ্র, ফাঁসহয়েযাওয়া"
leap year,অধিবর্ষ
learning,"শিক্ষণীয়বিষয়, শিক্ষাগ্রহণ"
lease,"পাট্টা, ইজারা, মেয়াদিবন্দোবস্ত"
leased accommodation,মেয়াদিআবাস
leasehold,পাট্টা/ইজারামেয়াদ
leaseholder,"পাট্টাধারী, ইজারাদার"
leasing,"পাট্টাদেওয়া, ইজারাদেওয়া"
leave,"ছুটি, অবকাশ, অনুমতি"
leave encashment,"ছুটিনগদীকরণ, ছুটিরবদলেটাকা"
leave salary,ছুটিরবেতন
leave vacancy,আবকাশিকশূন্যপদ
leave with pay,সবেতনছুটি
leave without pay,বিনাবেতনেছুটি
lecture hall,বক্তৃতাকক্ষ/গৃহ
ledger,খতিয়ান
ledger balance,"খতিয়ান-উদ্‌বর্ত, খতিয়ানেরবাকিকাটা"
legacy,"দায়, উত্তরাধিকার"
legal,"বৈধ, আইনসম্মত, বিধিসঙ্গত"
legal practice,"ওকালতি, আইনব্যবসা"
legality,বৈধতা
legalization,বৈধীকরণ
legally,"আইনত, বৈধরূপে"
legatee,যাকেউইলকরেসম্পত্তিদেওয়াহয়
legible,পাঠসাধ্য
legislative,"বিধানবিষয়ক, বিধানিক"
legislative business,বিধানিককার্য
legislature,বিধানমন্ডল
legitimacy,"বৈধতা, ঔচিত্যপূর্ণতা"
legitimate,বৈধ
leisure,"অবসর, অবকাশ"
leniency,"ক্ষমাশীলতা, কোমলতা, আরামপ্রদতা, উপশমকারিতা"
lessee,"পাট্টাদার, ইজারাদার"
letter,"পত্র, চিঠি"
letter pad,লেখারপ্যাড
levy,ধার্যকরা
liability,"দায়, দেনা"
liable,"দায়ী, দ্বায়িত্ব"
liaison,"সংযোগ, সম্পর্ক"
library,গ্রন্থাগার
licence,"অনুজ্ঞাপত্র, লাইসেন্স"
licence holder,"অনুজ্ঞাধারী, লাইসেন্সধারী"
licensed,"অনুজ্ঞাপ্রাপ্ত, লাইসেন্সপ্রাপ্ত"
licensee,অনুজ্ঞাপক
lien,পূর্বস্বত্ব
life certificate,জীবনপ্রমাণপত্র
limit,"সীমা, কাষ্ঠা, অবধি"
limitation,"মেয়াদ, পরিসীমা"
limited,"সীমিত, সসীম"
limited concern,সীমিতঅবহিতি/চিন্তা
limited liability,সীমিতদায়
limited tender,সীমিতদরপত্র/মুল্যজ্ঞাপন/টেন্ডারপত্র
link,"শৃঙ্খলা, সংযোগ"
link language,সম্পর্কভাষা
linked,"শৃঙ্খলিত, সংযুক্ত"
linked file,সংলগ্ন/সংযুক্তনথি
liquidated damages,অবলোপনক্ষতি
liquidation,অবলুপ্তি
liquidator,অবলোপনআধিকারিক
list,"সূচি, তালিকা, ফর্দ"
list of business,কার্যসূচি
literate,সাক্ষর
litigant,মামলাকারী
litigation,মামলা
livery allowance,পরিচ্ছদ/পোষাকভাতা
livestock,পশুসম্পদ
living standard,জীবনযাত্রারমান
living wage,নির্বাহমজুরি/বেতন
loading,"(মালপত্র)বোঝাই/চড়ানো, প্রক্রিয়ারপ্রস্তুতি"
loan,"ঋণ, ধার, দেনা"
loaner,ঋণগ্রহীতা
loaning department,লোনবিভাগ
lobby,"উপশালা, বারান্দা"
lobbying,"সমর্থনজোগাড়, গোপনপ্রভাববিস্তারকরা"
lock in period,আবদ্ধকাল/অবধি
lock out,"তালাবন্ধ, কারবারস্থগিত"
locus standi,"স্থিত্যধিকার, মধ্যস্থতাকরারঅধিকার"
lodging,"আবাস, অস্থায়ী/ভাড়াটেবাস"
log book,"দিনখাতা, লগবই"
logic,"তর্কশাস্ত্র, তর্ক, যুক্তিবিদ্যা, ন্যায়শাস্ত্র"
logo,"নামচিত্র, লোগো"
long distance call,দূরবর্তী(দূরভাষ)কথোপকথন
long hand,"হস্তলেখা, হাতেরলেখা"
lot,"ভাগ, অংশ, গুচ্ছ, অনেক"
low grade,"নিম্নশ্রেণী, নিম্নমান"
lower,"অধস্তন, নিম্নতর"
lowest rate,নিম্নতমহার/দাম/মূল্য
loyal,"অনুগত, কর্তব্যনিষ্ঠ"
lump sum,"এককালীনকিস্তি, থোকটাকা"
lumpsum grant,এককালীনঅনুদান
machinery,"ব্যবস্থা, যন্ত্রপাতি"
machinery of government,সরকারীশাসন
magazine,"কার্তুজবন্ধনী, কার্তুজরক্ষণী, পত্রিকা"
mailing list,"ডাকসূচী, ঠিকানাসূচী"
maintain,"রক্ষণাবেক্ষণকরা, বহালরাখা, চালুরাখা"
maintenance,"রক্ষণ, রক্ষণাবেক্ষণ, ভরণপোষণ"
major,"মুখ্য, প্রধান, সাবালক"
major works,"প্রধানকর্ম/গবেষণা, বড়োকাজ, ভারীনির্মাণ"
majority,"সংখ্যাগরিষ্ঠতা, সাবালকত্ব, পূর্ণবয়স্কতা"
make up,"স্থিরকরা, সামালদেওয়া"
maladjustment,"অসমন্বয়ন, কুসমন্বয়ন"
maladministration,কুশাসন
malafide,"দুর্ভাবনা, অসদ্ভাবপূর্ণ"
malice,বিদ্বেষ
malpractice,"অপকর্ম, অন্যায়আচরণ"
maltreatment,দুর্ব্যবহার
man-to-man ranking,ব্যক্তিশ্রেণীকরণ
management,"পরিচালন, অধ্যক্ষতা, ব্যবস্থাপন, পরিচালকবর্গ"
manager,"ব্যবস্থাপক, পরিচালক, কর্মাধ্যক্ষ"
mandate,"আজ্ঞা, আদেশ"
mandatory,আজ্ঞাধীন
mandays,শ্রমদিন
manhours,শ্রমঘন্টা
manifesto,ঘোষণাপত্র
manipulation,"কারসাজি, কারচুপি"
manoeuvre,"কৌশল, পরিচালনকৌশল"
manpower,"জনবল, লোকবল, শ্রমশক্তি"
manual,"সারগ্রন্থ, নির্দেশিকা, কায়িক"
manual labour,"শারীরিকশ্রম, শ্রমিক"
manufacture,"নির্মানকরা, তৈরীকরা, প্রস্তুতকরা, শিল্পোৎপাদন"
manufacturer,"নির্মাতা, প্রস্তুতকারক"
manuscript,পাণ্ডুলিপি
map,মানচিত্র
margin,"প্রান্তরেখা, উপান্ত"
marginal,প্রান্তিক
marital status,বৈবাহিকঅবস্থান
mark,"চিহ্ণ, লক্ষণ"
marketing,বিপণন
marketing economy,বাজারঅর্থনীতি
marks obtained,প্রাপ্তঅঙ্ক
marksheet,মূল্যাঙ্কণপত্র
mass,"গণ, জনসমূহ"
mass communication,জনসঞ্চার
mass consumption,জনউপভোগ
mass immunization,জনপ্রতিরক্ষা
mass media,গণমাধ্যম
mass production,অধিকমাত্রায়উৎপাদণ
master file,"প্রধাননথি, মাস্টারফাইল"
master of ceremonies,প্রধানসমারোহ
master plan,মহা-পরিকল্পনা
matching grant,অনুরূপঅনুদান
material,"দ্রব্যসামগ্রী, মাল-মশলা"
maternity,"প্রসূতি, মাতৃত্ব"
maternity leave,প্রসূতিছুটি/অবকাশ
matriculate,ম্যাট্রিকপাস
matrimonial,"বৈবাহিক, বিবাহসংক্রান্ত"
mature,"পরিণত, পরিপক্ক, প্রবীণ"
maturity date,"পূর্ণপরিণতিতারিখ, মেয়াদপূরণতারিখ"
maximum,"সর্বোচ্চ, গরিষ্ঠ"
means,"উপায়, পন্থা"
measure,"পরিমাপ, মাপা"
measurement,"পরিমাপ, মাপ"
measures,"উপায়, পদক্ষেপ"
mechanic,"যন্ত্রী, মিস্ত্রী, কারিগর"
mechanical,যান্ত্রিক
mechanism,"ক্রিয়া-কৌশল, ক্রিয়াবিধি"
media,"মাধ্যম, জনসঞ্চারমাধ্যম"
mediate,মধ্যস্থতাকরা
medical,চিকিৎসা
medical benefit,চিকিৎসাসুবিধা
medical examination,স্বাস্থ্যপরীক্ষা
medico-legal,চিকিৎসাওআইনসংক্রান্তবিধি
medium,মাধ্যম
meeting in camera,রুদ্ধদ্বারবৈঠক/অধিবেশন
member,সদস্য
memo,"জ্ঞাপন, স্মারক, মেমো"
memorial,স্মারক
mental ability,"গুণ, যোগ্যতা"
menu,"সূচী, মেনু"
merger,"বিলয়, বিমিশ্রণ"
merit,"গুণ, যোগ্যতা"
merit list,যোগ্যতানুসারীতালিকা
merit scholarship,যোগ্যতানুসারীছাত্রবৃত্তি
meritorious,"গুণসম্পন্ন, গুণী"
merits,গুণাবলী
message,"বার্তা, বাণী"
method,"প্রণালী, পদ্ধতি"
methodology,"কার্যপ্রণালী, প্রণালীতত্ত্ব"
metropolitan area,মহানগরঅঞ্চল/ক্ষেত্র
middle income group,মধ্যআয়গোষ্ঠী
middleman,"মধ্যস্থতাকারী, দালাল"
midwifery,"ধাত্রীবিদ্যা, প্রসূতিতন্ত্র"
migrant,পরিযায়ী
mileage,"মাইল-দুরত্ব, লাভ"
militancy,"যুদ্ধবৃত্তি, লড়াকু"
millennium,সহস্রাব্দ
miniature,"লঘু, ক্ষুদ্র"
minimum,"ন্যুনতম, লঘিষ্ঠ, নিম্নতম"
mining,খনন
ministerial,মন্ত্রনালয়সংক্রান্ত
ministry,মন্ত্রনালয়
minor,"নাবালক, অল্পবয়স্ক, গৌণ"
minor works,"লঘুকর্ম/গবেষণা, ছোটকাজ, লঘুনির্মাণ"
minority,সংখ্যালঘু
minutes,কার্যবিবরণ
misappropriation,"আত্মসাৎকরণ, তছরূপ"
misbehaviour,"অসদাচরণ, দুর্ব্যবহার, অনুচিতআচরণ"
miscarriage of justice,"ন্যায়-এরহত্যা, আইনেরঅবমাননা"
miscellaneous,বিবিধ
mischief,"উপদ্রব, উৎপাত"
misclassification,ভ্রান্তবর্গীকরণ
misconduct,"দুরাচরণ, অনুচিতআচরণ, অনুচিতআচরণ"
mislead,"বিভ্রান্তকরা, ভুলপথেপ্রেরিতকরা"
mismanagement,অব্যবস্থা
misrepresentation,ভ্রান্তউপস্থাপন
misstatement of facts,"তথ্যেরভ্রান্তবিবৃতি, তথ্যেরঅপব্যাখ্যা"
misunderstanding,ভুলবোঝাবুঝি
misuse,অপব্যবহার
mixed economy,মিশ্রঅর্থনীতি
mob,"উচ্ছৃঙ্খলজনতা, জনতা"
mobile,"চলমান, চলাফেরা, চলমানদূরভাষযন্ত্র/মোবাইল"
mobility,গতিশীলতা
mode,"প্রক্রিয়া, প্রকার, রীতি"
model,"আদর্শ, মডেল"
moderator,"সঞ্চালক, নিয়ামক"
modification,"পরিবর্তন, সংশোধন, অদল-বদল"
modus operandi,কার্যপ্রণালী
monetary grant,আর্থিকঅনুদান
money,"ধন, অর্থ, মুদ্রা"
monitor,"অনুবীক্ষক, নিরীক্ষক, নজর, দৃশ্যমানপর্দা(কম্পিউটারস্ক্রীন)"
monogamy,একবিবাহ(প্রথা)
monogram,"মোহর, মুদ্রাক্ষর"
monopoly,একচেটিয়া
monotony,একঘেয়ে
month to month,"মাসেমাসে, মাসথেকেমাসে"
monthly tour diary,মাসিকপরিভ্রমণখাতা
moral,"নৈতিক, নৈতিকতা, সুনীতি"
moral turpitude,"নৈতিকঅধঃপতন, চরিত্রদোষ, নৈতিকভ্রষ্টাচার"
morale,"মনোবল, আত্মবিশ্বাস"
moratorium,স্থিতাদেশ
mortality,মৃত্যু-হার
mortgage,বন্ধক
most confidential,অতিগোপনীয়
mother tongue,মাতৃভাষা
motion,"প্রস্তাব, গতি"
motion study,গতিঅধ্যয়ন
motivation,"অনুপ্রেরণা, উৎসাহ"
motive,"উদ্দেশ্য, মতলব"
motto,"উদ্দেশ্য, আদর্শ"
mouthpiece,"মুখপাত্র, কথাবলারযন্ত্র"
movable,অস্থাবর
move,"পদক্ষেপ, চাল, প্রসঙ্গউত্থাপন"
movement,"আন্দোলন, গতিবিধি, চলাচল"
multifarious (duties),বহুবিধদ্বায়িত্ব
multipurpose,বহুউদ্দেশ্যমূলক
municipal tax,পৌরকর
museum,"প্রদর্শশালা, সংগ্রহশালা, জাদুঘর"
muster roll,নামেরতালিকা
mutation,"নামান্তরকরণ, নামজারিকরণ"
mutatis mutandis,"যথাবশ্যকপরিবর্তনসহ, প্রয়োজনমতোপরিবর্তনসহ"
mutual understanding,"আপসসমঝোতা, বোঝাপড়া"
name card,"নামকার্ড, নামফলক"
narcotic,মাদক
narrative appraisal,বিবরণাত্মকমূল্যাঙ্কন/প্রশস্তি
narrator,"বিবরণকারী, কথক"
nation,রাষ্ট্র
national,"রাষ্ট্রীয়, জাতীয়"
national language,রাষ্ট্রভাষা
national savings certificate,রাষ্ট্রীয়সঞ্চয়পত্র
nationalism,"জাতীয়তাবাদ, রাষ্ট্রবাদ"
nationality,"জাতীয়তা, রাষ্ট্রীয়তা"
nationalization,"জাতীয়করণ, রাষ্ট্রীয়করণ"
native,"মূলনিবাসী, প্রাকৃতিক, দেশীয়"
natural,"প্রাকৃতিক, স্বাভাবিক"
naturalization,"দেশীয়করণ, নাগরিকীকরণ"
naval force,"নৌ-শক্তি, নৌ-বল"
navigable,"নৌবাহযোগ্য, নৌ-গম্য"
navigation,নৌবাহ
nayes,‘না’পক্ষ
necessary action,"আবশ্যকব্যবস্থা, প্রয়োজনীয়ব্যবস্থা/পদক্ষেপ"
needful,"আবশ্যক, প্রয়োজনীয়, যথাকরণীয়"
negative,"নঞর্থক, না-সূচক, নেতিবাচক"
neglect,"উপেক্ষা, অবহেলা"
negligence,"অসাবধানতা, অবহেলা"
negligible,"নগন্য, উপেক্ষনীয়"
negotiability,"হস্তান্তরযোগ্যতা, সম্প্রদেয়তা"
negotiable instrument,"কথাবার্তারউপকরণ, হস্তান্তরযোগ্যদলিল, সম্প্রদেয়পত্র"
negotiation,"(আপোষবারফারজন্য)আলাপআলোচনা, কথাবার্তা"
negotiator,বার্তাকার
nepotism,স্বজনপোষণ
net,"শুদ্ধ, মূল, জাল"
net investment,শুদ্ধবিনিয়োগ
neutral,নিরপেক্ষ
news,"সংবাদ, খবর, বার্তা"
news reader,সংবাদপাঠক
newsletter,বার্তাপত্র
newspaper,সংবাদপত্র
next of kin,নিকটতমসম্বন্ধীয়
night duty,"রাত্রিকালীনদ্বায়িত্ব, নৈশদ্বায়িত্ব"
nil report,শূন্যপ্রতিবেদন/রিপোর্ট
no admission,প্রবেশনিষিদ্ধ
no demand certificate,অদেয়তাপ্রমানপত্র
no objection certificate,অনাপত্তিপ্রমাণপত্র
"no profit, no loss",লাভ-ক্ষতিহীন
no smoking,ধূমপাননিষেধ
nomenclature,"সংজ্ঞা, পদ্ধতি, নামকরণ"
nominal cost,নামমাত্রব্যয়/খরচ
nominal value,নামমাত্রমূল্য
nominate,"মনোনীতকরা, মনোনয়নকরা"
nomination,মনোনয়ন
nominee,"মনোনীতক, মনোনীতব্যক্তি"
non-age,অবয়স্ক
non-contributory,অনবদানমূলক
non-essential,অপ্রয়োজনীয়
non-gazetted,(রাজপত্রে)অঘোষিতকর্মচারীবৃন্দ
non-interest bearing,সুদবিহীণ
non-judicial,অনাদালতি
non-ministrial,মন্ত্রনালয়সংক্রান্তনয়
non-negotiable,"অহস্তান্তরযোগ্য, অসম্প্রদেয়"
non-official,কার্যালয়সংক্রান্তনয়
non-payment,অপরিশোধ
non-payment certificate,অপরিশোধপ্রমানপত্র
non-practising allowance,অব্যবহারিকভাতা
non-recurring expenditure,অনাবর্তীব্যয়
non-refundable,অফেরতযোগ্য
non-statutory,অসাংবিধানিক
non-taxable income,আয়করযোগ্যরোজগারনয়
non-technical post,"অ-কারিগরিপদ, অপ্রযুক্তিকপদ"
non-traditional,পরম্পরাগতনয়
non-verbal communication,মৌখিককথোপকথননয়
norm,"নিয়মাচার, আদর্শ, মান"
normal,"স্বভাবী, স্বভাবিক, সাধারণ"
not applicable (N/A),প্রযোজ্যনয়
not available (N/A),উপলব্ধনয়
not negotiable,"হস্তান্তর-অযোগ্য, অযোগ্য-সম্প্রদেয়"
not negotiable instrument,"হস্তান্তর-অযোগ্যলেখ্যআইন, অযোগ্য-সম্প্রদেয়পত্রআইন"
notable,"উল্লেখনীয়, বিশেষ, গুরুত্বপূর্ণ"
note,মন্তব্য
notice,"বিজ্ঞপ্তি, প্রজ্ঞাপন, নোটিশ"
noticeable,"উল্লেখনীয়, উল্লেখযোগ্য"
notification,প্রজ্ঞাপন
notified area,প্রজ্ঞাপিতঅঞ্চল
noting and drafting,লিপিবদ্ধকরণওপূর্বলেখ
notional pay,কল্পিতবেতন
nucleus,"কেন্দ্রমূল, কেন্দ্রবিন্দু"
null,"বাতিল, খারিজ"
null and void,খারিজএবংবাতিল
number,"সংখ্যা, নম্বর"
numbering,"সংখ্যায়িতকরা, সংখ্যাঙ্কণকরা"
numeral,"সংখ্যাঙ্ক, অঙ্ক"
oath,শপথ
oath of allegiance,আনুগত্যেরশপথ
oath of office,পদাধিষ্ঠানেরশপথ
obedience,আনুগত্য
obituary,"শোকলিপি, প্রয়াণলেখ"
object,"বস্তু, আপত্তিকরা"
objection,আপত্তি
objective,"উদ্দেশ্য, লক্ষ্য, বস্তুনিষ্ঠ, বিষয়নিষ্ঠ"
objects and reasons,উদ্দেশ্যএবংকারণ
obligatory,"বাধ্যতামূলক, অবশ্যকর্তব্য"
obscene,অশ্লীল
obscene gesture,অশ্লীলআচরণ
observer,"পর্যবেক্ষক, দ্রষ্টা"
obsolete,"অপ্রচলিত, সেকেলে"
obstruction,"বাধা, প্রতিবন্ধক, প্রতিবন্ধ"
obvious,স্পষ্ট
occasional,"উপলক্ষ, নিমিত্ত, কদাচ"
occupancy,"ভোগস্বত্ব, দখলিস্বত্ব"
occupant,"দখলদারী, দখলদার"
occupation,"পেশা, বৃত্তি, উপজীবিকা, দখল, ভোগ"
occupy,"দখলকরা, অধিকারকরা"
octroi duty,"চুঙ্গিকর, পণ্যপ্রবেশকর"
off day,ছুটিরদিন
off duty,"কাজেরপরে, কাজেনাআসা"
off the record,"অনথিভুক্ত, রেকর্ডবহির্ভূত"
offensive,আক্রমণাত্মক
offer,"প্রস্তাব, দেওয়া"
offer of appointment,নিয়োগপ্রস্তাব
office,"কার্যালয়, অফিস, দপ্তর, করণ"
office of profit,লাভদায়কপদ
official,"সরকারি, অফিসসংক্রান্ত, পদস্থকর্মচারী"
official duty,"সরকারিকাজ, প্রাতিষ্ঠানিককর্তব্য"
official language,রাজভাষা
official report,সরকারিপ্রতিবেদন/রিপোর্ট
official version,সরকারিভাষ্য/কথন
officialdom,"অধিকারীবর্গ, উচ্চাধিকারিকগণ"
officialese,কার্যালয়ভাষা
officially,"সরকারিভাবে, প্রাতিষ্ঠানিকভাবে"
officiating,"ভারপ্রাপ্ত, স্থাপন, অস্থায়ী"
okay (O.K.; okey),"সমর্থনকরা, ঠিকআছে"
ombudsman,"লোকপাল, অম্বড্‌স্‌মান"
on account grant,"বশতঅনুদান, দরুনমঞ্জুরি"
on demand,"চাহিদাঅনুসারে, চাওয়ামাত্র"
on duty,কার্যেরত
on line,"অপেক্ষাকরা, দুরভাষসংযোগেঅপেক্ষাকরা"
on the job training,কার্যগতপ্রশিক্ষণ
on-special duty,বিশেষকার্যেরত
one sided,"একপক্ষীয়, একপাক্ষিক"
onus,"ভার, দায়"
open day,"কার্যদিবস, খোলাদিন"
open learning,"মুক্তঅধিগম, মুক্তশিক্ষাগ্রহণ"
open letter,"মুক্তপত্র, খোলাচিঠি"
open system,মক্তব্যবস্থা
open university,মুক্তবিশ্ববিদ্যালয়
opening,"উদ্ঘাটন, শুভারম্ভ, অবসর, খালিজায়গা"
opening balance,প্রারম্ভিকস্থিতি
opening hours,"কার্যকাল, খোলাথাকারসময়"
operating cost,প্রারম্ভিকব্যায়/খরচ
operating staff,প্রচালনকর্মচারী
operation,"প্রচালন, অস্ত্রোপচার, চালনা, দলযাত্রা, যুদ্ধযাত্রা"
operative,"কার্যকর, প্রবর্তনশীল, কর্মী, প্রবর্তী"
opinion,"মত, রায়"
opposition,"বিরোধীপক্ষ, বিপক্ষ"
option,"ইচ্ছা, বিকল্প"
oral,মৌখিক
order,"আদেশ, ক্রম"
order cheque,"আদিষ্টচেক, আদেশবলেচেক"
order of reservation,আরক্ষণক্রম
ordinance,অধ্যাদেশ
organization,"সংগঠন, প্রতিষ্ঠান"
organization chart,"সাংগঠনিকচিত্র/ছক, প্রাতিষ্ঠানিকচিত্র/ছক"
organizer,"আয়োজক, সংগঠনকর্তা"
oriented,"অভিমূখীন, অভিবিন্যস্ত"
original,"মূল, আসল, আদিম"
original department,মূলবিভাগ
original sale deed,মূলবিক্রয়দলিল
ostensible owner,"বাহ্যমালিকানা, প্রকাশ্যমালিকানা"
out of court,"আদালতেরবহির্ভূত, ন্যায়ালয়েরবাইরে"
out of date,"অপ্রচলিত, সেকেলে"
out of order,"বিকল, অকেজো, ক্রমভঙ্গ"
out of print,"মুদ্রিতনেই, ছাপানেই"
out of turn,ক্রমবহির্ভূতভাবে
out of turn allotment,ক্রমবহির্ভূতভাবেআবণ্টন/প্রদান
outbreak,"হটাৎআরম্ভ, ক্ষিপ্তহয়েওঠা, বিদ্রোহ"
outfit allowance,"পরিধানভাতা, উর্দিভাতা"
outgoing file,বহির্গামীনথি/ফাইল
outgoing member,"বিদায়ীসদস্য, বহির্গামীসদস্য"
outlay,"ব্যয়, বিনিয়োগ"
outlet,নিকাশি
outline,"রূপরেখা, পরিলেখ, আকাররেখা"
outlook,দৃষ্টিকোণ
outpost,"সীমাচৌকি/থানা, ফাঁড়ি"
output,উৎপাদন
outright purchase,"সরাসরিক্রয়, সরাসরিখরিদ"
outsource,বাহ্যউৎস(থেকেপরিষেবানেওয়া)
outstanding,"অনিষ্পন্ন, বাকি, বকেয়া, অসামান্য"
over age,বয়সোত্তীর্ণ
over billing,বর্ধিতমূল্যপত্র/বিল
over-rule,"বাতিলকরা, খারিজকরা"
overall,"সামগ্রিক, সর্বোপরি"
overall deficit,সামগ্রিকক্ষতি
overcharge,উপরিব্যয়
overdue,মেয়াদউত্তীর্ণ
overestimate,অতিপ্রাক্‌কলন/মূল্যানুমান
overhead charge,"উপরিব্যয়, উপরিস্থিতব্যয়, স্থিরব্যয়"
overlapping,"অধিক্রমণ, প্রাবরণ"
overriding priority,অধিভাবীঅগ্রাধিকার
oversight,"দৃষ্টিএড়ানো, চোখএড়িয়েযাওয়া"
overtime pay,বাড়তিসময়েরবেতন
overvaluation,অতিমূল্যায়ণ
ownership,"মালিকানা, স্বত্বাধিকার"
package,"সামগ্রিক, গুচ্ছ"
package deal,"সামগ্রিকচুক্তি, গুচ্ছপ্রস্তাব/চুক্তি"
packing and marking,পুলিন্দাবাঁধাএবংচিহ্ণাঙ্কিতকরা(প্যাকিংওদাগদেওয়া)
packing list,প্যাকিংসূচী
pact,চুক্তি
paid,পরিশোধিত
paid up capital,"প্রাপ্তমূলধন, আদায়কৃতমূলধন"
pamphlet,পুস্তিকা
panel,"নামসূচী, নামতালিকা"
paper,"কাগজ, দস্তাবেজ"
par excellence,"সর্বোপরি, সর্বোত্তম"
par value,সমমূল্য
para,অনুচ্ছেদ
paramount,"পরম, অতীব"
parent,"মূল, মাতা-পিতা"
parent office,মূলকার্যালয়
parental,পৈত্রিক
pari passu,"সমরূপ, সমানগতিতে"
parity,সমতা
parliament,সংসদ
part,"অংশ, ভাগ"
part file,খন্ডফাইল/নথি
part payment,আংশিকপরিশোধ
part-time,"খণ্ডকালীন, আংশিকসময়"
partial,"আংশিক, পক্ষপাতপূর্ণ"
participate,অংশগ্রহণ
particular,"বিশেষ, নির্দিষ্ট"
particulars,"বিশেষবিবরণ, জ্ঞতব্যবিষয়, খুঁটিনাটি"
partition,"ভাগ, বাটোয়ারা"
partner,"অংশী, অংশীদার"
partnership deed,অংশীদারিদলিল
party,"পক্ষ, দল"
pass,"অনুমতিপত্র, ছাড়পত্র"
passage,"পথ, মার্গ, অংশ, উদাহরণ"
password,সংকেতশব্দ
patent,"কৃতিস্বত্ব, অসপত্নঅধিকার"
patron,"পৃষ্ঠপোষক, গ্রাহক, সংরক্ষক"
pay,বেতন
pay bill,"বেতনবিল, বেতনদেয়ক"
pay certificate,বেতনপ্রমাণপত্র
pay day,"বেতনেরদিন, বেতনদিবস"
pay off,পরিশোধকরা
pay order,"পরিশোধআদেশ, প্রদানআদেশ"
pay roll,বেতনপত্রক/সূচি
pay scale,বেতনমান
payee,প্রাপক
payer,"প্রদানকর্তা, বেতনদানকারী"
payment,"পরিশোধ, অর্থপ্রদান"
pecuniary,"ধনসম্বন্ধী, আর্থিকস্বার্থ"
pen down strike,কলমধর্মঘট
penal,দণ্ডমূলক
penal code,দণ্ডসংহিতা
penal interest,শাস্তমূলকসুদ
penalize,দণ্ডিতকরা
penalty,"দণ্ড, শাস্তি"
pending,"অপেক্ষমান, মুলতুবি, বকেয়া"
pension,অবসরভাতা
pension scheme,অবসরভাতাপরিকল্প
pensionable,অবসরভাতাযোগ্য
pensioner,অবসরভাতাভোগী
per annum,"বার্ষিক, প্রতিবৎসর"
per bearer,"বাহকদ্বারা/মারফৎ, লোকযোগে"
per capita (=per head),মাথাপিছু
per mensem,"প্রতিমাসে, মাসিক"
percent,"শতাংশ, শতকরা"
perennial,"দীর্ঘকালীন, চিরজীবী, বরাবরের"
perform,"পালনকরা, সম্পন্নকরা"
performance,"অনুষ্ঠান, কাজকর্ম"
period,"কাল, কালপর্ব"
period under review,সমীক্ষাধীনপর্ব
periodical,"সাময়িকপত্র, সাময়িকী"
perjury,মিথ্যাসাক্ষ্য
perks,"উপরিপাওনা, ভাতা, দস্তুরি"
permanent,স্থায়ী
permissible,"আজ্ঞাযোগ্য, মঞ্জুরযোগ্য"
permission,অনুমতি
permit,"অনুমোদন, অনুজ্ঞা, অনুমতিপত্র"
permitted,"অনুমতিপ্রাপ্ত, অনুজ্ঞাপ্রাপ্ত"
perpetual,"শাশ্বত, চিরস্থায়ী"
perpetuity,"চিরস্থায়িত্ব, বিরামহীনতা, অনন্তকাল"
perquisites (=perks),"প্রান্তিকসুবিধা, আনুষঙ্গিকসুবিধা"
persona non grata,অবাঞ্ছিতব্যক্তি
personal,"ব্যক্তিগত, স্বকীয়"
personal assets,ব্যক্তিগতসম্পদ/সম্পত্তি
personal bond,ব্যক্তিগতমুচলেকা
personality,ব্যক্তিত্ব
personnel,কর্মচারীবৃন্দ
personnel policy,"কর্মনীতি, কার্মিকনীতি"
perspective,পরিপ্রেক্ষিত
persuasion,"অনুনয়করা, বোঝানো, সম্মতকরা"
pertinent,"প্রাসঙ্গিক, সঙ্গত"
perusal,"অবলোকন, পর্যবেক্ষণ"
petition,"আর্জি, দরখাস্ত"
petitioner,দরখাস্তকারী
phase,"পর্যায়, চরণ"
photograph,"আলোকচিত্র, ফটো"
photostat,প্রতিলিপি
physical checking,প্রত্যক্ষনিরীক্ষা/অনুসন্ধান
physical defect,শারীরিকদোষ/ত্রুটি
physical education,শারীর-শিক্ষা
physical verification,প্রত্যক্ষসত্যতাপ্রমাণ/যাচাই
physically handicapped,শারীরিকভাবেবিকলাঙ্গ/অক্ষম
piece rate,"ঠিকাহার, ফুরনহার"
piecemeal,"খণ্ডাকারে, টুকরো"
pilgrim,তীর্থযাত্রী
pilot programme,অগ্রণীকার্যক্রম
PIN (postal index number),পিন
place of birth,জন্মস্থান
place of work,কর্মস্থল
placement service,স্থানন্তরপরিষেবা
plaintiff,"বাদী, ফরিয়াদি"
plan,"পরিকল্পনা, যোজনা"
planning,"পরিকল্পনা, যোজনা"
plant,"উৎপাদনাগার, কারখানা"
player,"বাদক, খেলোয়াড়"
plea,"অজুহাত, আবেদন"
pleader,"উকিল, আবেদক"
plebiscite,"গণভোট, জনমতসংগ্রহ"
pledge,"অঙ্গীকার, শপথ"
plenary session,পূর্ণঅধিবেশন
plenipotentiary,পূর্ণাধিকারী
