ab initio,"ಹೊಸತಾಗಿ, ಮೊದಲಿನಿಂದ"
knowledgeable,ತಿಳುವಳಿಕೆಯುಳ್ಳ
labour,"ಶ್ರಮ, ಶ್ರಮಿಕ, ಹೆರಿಗೆ"
labour charges,ಮಜೂರಿ
labour contract,"ಕಾರ್ಮಿಕ ಗುತ್ತಿಗೆ, ಕಾರ್ಮಿಕ ಕರಾರು"
labour court,ಕಾರ್ಮಿಕ ನ್ಯಾಯಾಲಯ
labour dispute,ಕಾರ್ಮಿಕ ವಿವಾದ
labour force,"ಕಾರ್ಮಿಕ ಬಲ, ಕಾರ್ಮಿಕ ಪಡೆ"
labour laws,"ಕಾರ್ಮಿಕ ಕಾನೂನು, ಕಾರ್ಮಿಕ ಶಾಸನ"
labour room,ಹೆರಿಗೆ ಕೋಣೆ
labour union,ಕಾರ್ಮಿಕ ಸಂಘ
labour welfare,ಕಾರ್ಮಿಕ ಕಲ್ಯಾಣ
land aquisition,ಭೂಸ್ವಾಧೀನ
land mark,"ಹೆಗ್ಗುರುತು, ಮೈಲಿಗಲ್ಲು"
land records,"ಭೂದಾಖಲೆ, ಜಮೀನು ದಾಖಲೆ"
land reforms,ಭೂ ಸುಧಾರಣೆ
land revenue,ಭೂ ಕಂದಾಯ
land settlement,ಭೂ ಇತ್ಯರ್ಥ
land tenure  land use certificate,"ಭೂಮಿಗೇಣಿ, ಭೂ ಧಾರಣ ಪದ್ಧತಿ  ಭೂ ಬಳಕೆ ಪ್ರಮಾಣ ಪತ್ರ"
Lapse,"ಲೋಪ, ಕೈತಪ್ಪಿ ಹೋಗು"
large scale,ಬೃಹತ್ ಪ್ರಮಾಣದ
last date,ಅಂತಿಮ ದಿನಾಂಕ
last payment,"ಕೊನೆಯ ಪಾವತಿ, ಅಂತಿಮ ಪಾವತಿ"
lasting,"ಬಹುಕಾಲ ಬಾಳಿಕೆಗೆ ಬರುವ, ಶಾಶ್ವತ"
lastly,"ಕೊನೆಯದಾಗಿ, ಅಂತಿಮವಾಗಿ"
late,ವಿಳಂಬ
late attendance statement,ತಡವಾದ ಹಾಜರಿ ವಿವರ ಪತ್ರ
late duty,"ತಡವಾದ ಶುಲ್ಕ, ತಡವಾದ ಕರ್ತವ್ಯ"
late payment,ವಿಳಂಬ ಪಾವತಿ
latest,ಇತ್ತೀಚಿನ
laudable,"ಮೆಚ್ಚತಕ್ಕ, ಪ್ರಶಂಸನೀಯ"
launch,"ಪ್ರಾರಂಭಿಸು, ಉಡಾಯಿಸು"
law,ಕಾನೂನು
law and order,ಕಾನೂನು ಮತ್ತು ಸುವ್ಯವಸ್ಥೆ
law breaker,ಕಾನೂನು ಭಂಗ ಮಾಡುವವನು
law court (=court of law),ಕಾನೂನು ನ್ಯಾಯಾಲಯ
lawsuit,"ದಾವೆ, ಮೊಕದ್ದಮೆ"
lawyer,"ವಕೀಲ, ಲಾಯರು, ನ್ಯಾಯವಾದಿ"
layoff,"ವಜಾ ಮಾಡುವದು, ತಾಕ್ಕಾಲಿಕ ವಿಸರ್ಜನೆ, ವಜಾ ಅವಧಿ"
layout,"ರೂಪುರೇಖೆ, ನಕ್ಷೆ, ವಿನ್ಯಾಸ, ಹೊಸಬಡಾವಣೆ"
leader,"ನಾಯಕ, ಸಭಾನಾಯಕ"
leadership quality,ನಾಯಕತ್ವದ ಯೋಗ್ಯತೆ
leaflet,"ಹಸ್ತ ಪತ್ರಿಕೆ, ಸಣ್ಣ ಹಾಳೆ"
leak,"ಸೋರು, ಹೊರಬೀಳು, ಒಳತೂರು"
leap year,ಅಧಿಕ ವರ್ಷ
learning,"ಕಲಿ, ತಿಳಿದುಕೊ"
lease,"ಗುತ್ತಿಗೆ, ಗೇಣಿ"
leased accommodation,ಗುತ್ತಿಗೆಗೆ ನೀಡಲಾದ ವಸತಿ
leasehold,ಗುತ್ತಿಗೆ ಹಿಡುವಳಿ
leaseholder,ಗುತ್ತಿಗೆಗೆ ನೀಡಿರುವಾತ
leasing,"ಗುತ್ತಿಗೆಗೆ ನೀಡುವ, ನೀಡಿರುವ"
leave,"ರಜೆ, ಅನುಮತಿ, ಬಿಡು"
leave encashment,ರಜಾ ನಗದೀಕರಣ
leave salary,ರಜಾ ಸಂಬಳ
leave vacancy,ರಜಾಕಾಲದ ಖಾಲಿ ಹುದ್ದೆ
leave with pay,ವೇತನ ಸಹಿತ ರಜೆ
leave without pay,ವೇತನ ರಹಿತ ರಜೆ
lecture hall,ಉಪನ್ಯಾಸ ಸಭಾಂಗಣ
ledger,"ಖಾತೆ, ಕಿರ್ದಿಪುಸ್ತಕ"
ledger balance,ಖಾತಾ ಶುಲ್ಕ
legacy,"ಪೂರ್ವಾರ್ಜಿತ ಆಸ್ತಿ, ಪಿತ್ರಾರ್ಜಿತ ಆಸ್ತಿ"
legal,ಕಾನೂನಿನ
legal practice,ವಕೀಲಿ ವೃತ್ತಿ
legality,ಕಾನೂನು ಸಮ್ಮತಿ
legalization,ಶಾಸನ ರಚನೆ
legally,ಕಾನೂನು ಸಮ್ಮತವಾಗಿ
legatee,ಮರಣ ಶಾಸನದ ಮೂಲಕ ಸ್ವತ್ತನ್ನು ಪಡೆದವ
legible,"ಸ್ಫುಟ, ಸ್ಪಷ್ಟವಾದ"
legislative,"ವಿಧಾಯೀ, ಕಾನೂನಿನನ್ವಯ"
legislative business,"ವಿಧಾನ ಸಭೆಯ ವ್ಯವಹಾರ, ಶಾಸನಸಭೆಯ ವ್ಯವಹಾರ"
legislature,ವಿಧಾನಮಂಡಲ
legitimacy,"ಔರಸತ್ವ, ಕಾನೂನುಸಮ್ಮತಿ"
legitimate,"ಕಾನೂನು ಸಮ್ಮತ, ವಿಧಾಯೀ, ಔರಸ"
leisure,"ವಿರಾಮ, ಬಿಡುವು, ಪುರುಸತ್ತು"
lenicncy,ಉದಾರ
lessee,"ಗೇಣಿದಾರ, ಗುತ್ತಿಗೆದಾರ, ಬಾಡಿಗೆದಾರ"
letter,"ಪತ್ರ, ಅಕ್ಷರ"
letter pad,ಲೆಟರ್ ಪ್ಯಾಡ್
levy,"ವಿಧಿಸು, ವಸೂಲು ಮಾಡು"
liability,"ಹೊಣೆಗಾರಿಕೆ, ಹೊಣೆ"
liable,"ಬಾಧ್ಯ, ಹೊಣೆಯಾದ, ಗುರಿಯಾದ"
liaison,ಸಂಪರ್ಕ
library,"ಗ್ರಂಥಾಲಯ, ಪುಸ್ತಕ ಭಂಡಾರ"
licence,"ಅನುಮತಿ, ಅನುಜ್ಞಾಪತ್ರ"
licence holder,ಪರವಾನಗಿ ಹೊಂದಿದವನು
licensed,ಪರವಾನಗಿ ಪಡೆದ
licensee,ಲೈಸೆನ್ಸುದಾರ
lien,ಧಾರಣಾಧಿಕಾರ
life certificate,ಜೀವಿತಪ್ರಮಾಣಪತ್ರ
limit,"ಪರಿಮಿತಿ, ಮಿತಿ"
limitation,"ಎಲ್ಲೆ, ಕಾಲಪರಿಮಿತಿ, ನಿರ್ಬಂಧ"
limited,"ನಿಯಮಿತ, ಪರಿಮಿತ, ಸೀಮಿತ"
limited concern,"ನಿಯಮಿತ ಕಂಪನಿ, ಸಂಸ್ಥೆ"
limited liability,"ಪರಿಮಿತವಾದ, ಕಡಿಮೆ, ಸೀಮಿತ, ಹೊಣೆ"
limited tender,"ಪರಿಮಿತ, ಸೀಮಿತಟೆಂಡರು"
link,"ಸಂಬಂಧ, ಸಂಪರ್ಕ, ಕೊಂಡಿ, ಕುಣಿಕೆ"
link language,ಸಂಪರ್ಕಭಾಷೆ
linked,"ಸಂಪರ್ಕಿತ, ಜೊತೆಗೂಡಿದ"
linked file,"ಜೊತೆಗೂಡಿದ ಕಡತ, ಸಂಬಂಧಪಟ್ಟಕಡತ"
liquidated damages,ನಿಗದಿತ ಹಾನಿ ಪರಿಹಾರ
liquidation,"ಪರಿಸಮಾಪ್ತಿ, ಸಮಾಪನ, ಋಣವಿಮೋಚನ"
liquidator,ಋಣ ವಿಮೋಚಕ
list,"ಯಾದಿ, ಪಟ್ಟಿ, ಪಟ್ಟಿಮಾಡು"
list of business,ಕಾರ್ಯಸೂಚಿ
literate,"ಸಾಕ್ಷರನಾದವನು, ಅಕ್ಷರಸ್ಥ"
litigant,"ವಿವಾದದಲ್ಲಿ ತೊಡಗಿಕೊಂಡವನು, ವಿವಾದಿ, ಕಕ್ಷಿಗಾರ"
litigation,"ವ್ಯಾಜ್ಯ, ಮೊಕದ್ದಮೆ"
livery allowance,"ಪೋಷಾಕು, ಉಡುಪಿನ ಭತ್ಯೆ"
livestock,"ಜಾನುವಾರು, ಪಶುಸಂಪತ್ತು"
living standard,ಜೀವನ ಮಟ್ಟ
living wage,ಜೀವನ ಮಜೂರಿ
loading,"ಹೇರುವುದು, ಬಂದೂಕಿಗೆ ಗುಂಡು ತುಂಬುವುದು"
loan,"ಸಾಲ, ಕಡ, ಎರವಲು"
loaner,ಸಾಲ ಕೊಡುವವನು
loaning department,ಸಾಲ ನೀಡುವ ವಿಭಾಗ
lobby,"ಒಲಿಸು, ಪ್ರಭಾವ ಬೀರು, ಮೊಗಸಾಲೆ"
lobbying,"ಲಾಬಿಮಾಡುವುದು, ತನ್ನ ಪರವಾಗಿ ಗುಂಪು ಜೊತೆಗೂಡಿಸುವುದು"
lock in period,ಬೀಗ ಬಂಧದ ಅವಧಿ
lock out,ಬೀಗ ಮುದ್ರೆ
locus standi,ಸ್ಥಾನಾಧಿಕಾರ
lodging,ವಸತಿ
log book,"ಪ್ರಯಾಣದ, ವಾಹನದ ದಿನಚರಿ"
logic,"ತರ್ಕಶಾಸ್ತ್ರ, ನ್ಯಾಯಶಾಸ್ತ್ರ"
logo,"ಪ್ರತೀಕ ಚಿಹ್ನೆ, ಲೋಗೊ"
long distance call,ದೂರ ಸಂಪರ್ಕ ಕರೆ
long hand,"ಕೈಬರಹ, ಹಸ್ತ ಲೇಖನ"
lot,"ತುಂಬ, ಬಹಳ, ಚೀಟಿ ಎತ್ತುವುದು, ರಾಶಿ"
low grade,ಕೆಳ ದರ್ಜೆ
lower,"ಕೆಳ ಮಟ್ಟದ, ಕೆಳಗಿನ"
lowest rate,ಕನಿಷ್ಠ ಬೆಲೆ
loyal,"ಪ್ರಾಮಾಣಿಕ, ನಿಷ್ಠೆಯಿಂದ ಕೂಡಿದ"
lump sum,"ಒಟ್ಟು ಮೊತ್ತ, ಇಡಿಗಂಟು"
lumpsum grant,ಒಟ್ಟುಮೊತ್ತದ ಅನುದಾನ
machinery,"ಯಂತ್ರಸಲಕರಣೆ, ಯಂತ್ರ ಭಾಗಗಳು, ಆಡಳಿತ ವ್ಯವಸ್ಥೆ"
machinery of government,ಸರ್ಕಾರಿ ಆಡಳಿತ ವ್ಯವಸ್ಥೆ
magazine,"ಪತ್ರಿಕೆ, ನಿಯತಕಾಲಿಕೆ"
mailing list,"ಅಂಚೆ ಪಟ್ಟಿ, ಟಪ್ಪಾಲು ಪಟ್ಟಿ"
maintain,"ಪೋಷಿಸು, ನಿರ್ವಹಿಸು, ಬೆಂಬಲಕೊಡು"
maintenance,"ನಿರ್ವಹಣೆ, ಪೋಷಣೆ, ಜೀವನಾಂಶ"
major,"ಪ್ರಧಾನ, ಪ್ರಮುಖ, ಮುಖ್ಯ, ವಯಸ್ಕ, ಸೈನ್ಯಾಧಿಕಾರಿ"
major works,"ಭಾರಿಕಾಮಗಾರಿಗಳು, ಮುಖ್ಯಕಾಮಗಾರಿಗಳು"
majority,"ಬಹುಮತ, ಬಹು ಸಂಖ್ಯೆಯ, ಪ್ರಾಪ್ತವಯಸ್ಕ"
make up,"ಭರ್ತಿ ಮಾಡು, ನಷ್ಟ ಸರಿಪಡಿಸಿಕೊಡು, ಅಲಂಕರಿಸಿಕೊ"
maladjustment,ತಪ್ಪು ಹೊಂದಾಣಿಕೆ
maladministration,ದುರಾಡಳಿತ
malafide,ದುರುದ್ದೇಶದ
malice,"ದುರ್ಭಾವನೆ, ವೈರ, ಮತ್ಸರ"
malpractice,"ದುರಾಚರಣೆ, ಅಕಾರ್ಯ, ತಪ್ಪುಕೆಲಸ, ದುರ್ವ್ಯವಹಾರ"
maltreatment,"ಹಿಂಸೆ, ಪೀಡೆ"
man-to-man ranking,ವ್ಯಕ್ತಿಗತ ಶ್ರೇಣೀಕರಣ
management,"ವ್ಯವಸ್ಥೆ, ನಿರ್ವಹಣೆ, ಆಡಳಿತ ವ್ಯವಸ್ಥೆ"
manager,"ವ್ಯವಸ್ಥಾಪಕ, ನಿರ್ವಾಹಕ"
mandate,"ಕಟ್ಟಾಜ್ಞೆ, ಅಧ್ಯಾದೇಶ"
mandatory,"ಆದೇಶಕ, ಆಜ್ಞಾಪಕ, ಅನಿವಾರ್ಯ, ಕಡ್ಡಾಯದ, ನಿರ್ಧಾರಿತ"
mandays,ದುಡಿಮೆಯ ದಿನಗಳು
manhours,"ಮಾನವ ಗಂಟೆಗಳು, ದುಡಿಮೆಯ ಗಂಟೆಗಳು"
manifesto,ಘೋಷಣಾ ಪತ್ರ
manipulation,"ಕೈವಾಡ, ಕೈಚಳಕ"
manoeuvre,ಯುಕ್ತಿಯಿಂದ ನಿರ್ವಹಿಸುವುದು
manpower,"ಮಾನವಶಕ್ತಿ, ಜನಶಕ್ತಿ, ಮಾನವ ಸಂಪನ್ಮೂಲ"
manual,"ಶಾರೀರಿಕ, ದೈಹಿಕ ಶ್ರಮದ, ಕೈಪಿಡಿ"
manual labour,"ದೈಹಿಕ ದುಡಿಮೆ, ಶಾರೀರಿಕ ಶ್ರಮ"
manufacture,"ತಯಾರಿಕೆ, ನಿರ್ಮಾಣ, ತಯಾರಿಸು"
manufacturer,"ತಯಾರಿಸುವವನು, ನಿರ್ಮಾತೃ"
manuscript,"ಹಸ್ತಪ್ರತಿ, ಕೈಬರಹದ ಪ್ರತಿ"
map,ನಕ್ಷೆ
margin,"ಪಾರ್ಶ್ವ, ಬದಿ, ಅಂಚು"
marginal,"ಅಂಚಿನ, ಪಾರ್ಶ್ವದ"
marital status,ವೈವಾಹಿಕ ಸ್ಥಿತಿ
mark,"ಚಿಹ್ನೆ, ಗುರುತು"
marketing,ವ್ಯಾಪಾರವಹಿವಾಟು
marketing economy,ವ್ಯಾಪಾರವಹಿವಾಟು ಆರ್ಥಿಕತೆ
marks obtained,ಪಡೆದಿರುವ ಅಂಕಗಳು
marksheet,ಅಂಕ ಪಟ್ಟಿ
mass,"ಸಮೂಹ, ರಾಶಿ, ಜನಸಮೂಹ"
mass communication,ಸಮೂಹ ಸಂವಹನ
mass consumption,ಸಾಮೂಹಿಕಬಳಕೆ
mass immunization,"ಸಾಮೂಹಿಕ ನಿರೋಧ, ಸಮೂಹನಿರೋಧ"
mass media,ಸಮೂಹಮಾಧ್ಯಮ
mass production,ಸಾಮೂಹಿಕ ಉತ್ಪಾದನೆ
master file,"ಪ್ರಧಾನ, ಮುಖ್ಯಕಡತ"
master of ceremonies,ಸಮಾರಂಭಗಳ ಸಮಾಯೋಜಕ
master plan,ಬೃಹತ್ಯೋಜನೆ
matching grant,ಅನುರೂಪದ ಅನುದಾನ
material,"ಸರಕು, ವಸ್ತು, ಭೌತಿಕ, ವಿಷಮಿತ, ಐಹಿಕ"
maternity,"ಹೆರಿಗೆಯ, ಪ್ರಸವದ"
maternity leave,ಹೆರಿಗೆ ರಜೆ
matriculate,ಮೆಟ್ರಿಕ್ ಪಾಸಾದವನು
matrimonial,ವೈವಾಹಿಕ
mature,"ಪರಿಪಕ್ವ, ಪೂರ್ಣ, ಅವಧಿ ಮುಗಿದ"
maturity date,"ಮುಕ್ತಾಯ ದಿನಾಂಕ, ಅವಧಿ ಮುಗಿದ ದಿನಾಂಕ"
maximum,ಗರಿಷ್ಠ
means,"ಸಾಧನ ಸಲಕರಣೆ, ಸಾಮಗ್ರಿ ಆದಾಯ"
measure,"ಕ್ರಮ, ಉಪಾಯ, ಅಳತೆ, ಮಾನ"
measurement,ಅಳತೆ
measures,ಕ್ರಮಗಳು
mechanic,"ಯಾಂತ್ರಿಕ, ಯಂತ್ರಶಿಲ್ಪ, ಯಂತ್ರಶಾಸ್ತ್ರಜ್ಞ"
mechanical,ಯಾಂತ್ರಿಕ
mechanism,"ಯಂತ್ರ ರಚನೆ, ಯಂತ್ರ ಶಿಲ್ಪ, ಯಂತ್ರಿಗ"
media,"ಮಾಧ್ಯಮ, ಸಂಪರ್ಕ, ಮಾಧ್ಯಮ"
mediate,ಮಧ್ಯಸ್ಥಿಕೆವಹಿಸು
medical,ವೈದ್ಯಕೀಯ
medical benefit,"ವೈದ್ಯಕೀಯನೆರವು, ವೈದ್ಯಕೀಯಲಾಭ"
medical examination,ವೈದ್ಯಕೀಯ ಪರೀಕ್ಷೆ
medico-legal,ವೈದ್ಯ-ನ್ಯಾಯಿಕ
medium,ಮಾಧ್ಯಮ
meeting in camera,"ರಹಸ್ಯ ಸಭೆ, ಗುಪ್ತಸಭೆ"
member,ಸದಸ್ಯ
memo,ಜ್ಞಾಪನ
memorial,"ಸ್ಮಾರಕ, ಸ್ಮರಣೀಯ"
mental ability,"ಮಾನಸಿಕ ಅರ್ಹತೆ, ಯೋಗ್ಯತೆ"
menu,"ಸಾಮಗ್ರಿ ಪಟ್ಟಿ, ಸೂಚಿ"
merger,ವಿಲಯನ
merit,"ಅರ್ಹತೆ, ಗುಣ"
merit list,ಅರ್ಹತಾ ಪಟ್ಟಿ
merit scholarship,ಅರ್ಹತಾ ವಿದ್ಯಾರ್ಥಿ ವೇತನ
meritorious,"ಶ್ರೇಷ್ಠ, ಹೆಚ್ಚಿನ ಗುಣಮಟ್ಟದ ಶ್ಲಾಘ್ಯ"
merits,ಅರ್ಹತೆಗಳು
message,ಸಂದೇಶ
method,ವಿಧಾನ
methodology,"ವೈಧಾನಿಕ, ಕಾರ್ಯಪ್ರಣಾಲಿ"
metropolitan area,ಮಹಾನಗರ ಪ್ರದೇಶ
middle income group,ಮಧ್ಯಮ ಆದಾಯ ವರ್ಗ
middleman,ಮಧ್ಯವರ್ತಿ
midwifery,"ಸೂಲಗಿತ್ತಿ ತನ, ಪ್ರಸೂತಿ ವಿದ್ಯೆ"
migrant,ವಲಸೆಬಂದ
mileage,"ಮೈಲಿ ಭತ್ಯೆ, ದೂರ, ಲಾಭ"
militancy,ಹೋರಾಟದ ಸ್ವಭಾವ
millennium,ಸಹಸ್ರ ಮಾನ
miniature,"ಕಿರು ರೂಪ, ಚಿಕ್ಕ ಪ್ರತಿರೂಪ"
minimum,ಕನಿಷ್ಠ
mining,ಗಣಿಗಾರಿಕೆ
ministerial,ಲಿಪಿಕ ವರ್ಗದ
ministry,"ಮಂತ್ರಿ ಮಂಡಲ, ಸಚಿವಾಲಯ"
minor,"ಅಪ್ರಾಪ್ತ ವಯಸ್ಸಿನ, ಅಪ್ರಧಾನ, ಸಣ್ಣ, ಒಳ"
minor works,ಸಣ್ಣಕಾಮಗಾರಿಗಳು
minority,"ಅಲ್ಪ ಸಂಖ್ಯಾತ, ಅಪ್ರಾಪ್ತ ವಯಸ್ಕತೆ"
minutes,"ಸಂಕ್ಷಿಪ್ತ ಟಿಪ್ಪಣಿಗಳು, ಸೂಚ್ಯಾದೇಶ"
misappropriation,ದುರುಪಯೋಗ
misbehaviour,"ದುರ್ವರ್ತನೆ, ಅಸಭ್ಯವರ್ತನೆ"
miscarriage of justice,ನ್ಯಾಯ ವಿಫಲತೆ
miscellaneous,"ಸಂಕೀರ್ಣ, ಇತರೆ, ವಿವಿಧ"
mischief,"ಕೀಟಲೆ, ತುಂಟ, ಕುಚೋದ್ಯ"
misclassification,ತಪ್ಪಾಗಿ ವರ್ಗೀಕರಿಸುವುದು
misconduct,ದುರ್ನಡತೆ
mislead,ತಪ್ಪುದಾರಿಗೆ ಎಳೆ
mismanagement,ಅವ್ಯವಸ್ಥೆಯಿಂದ ನಡೆಸು
misrepresentation,ತಪ್ಪಾಗಿ ನಿರೂಪಿಸುವುದು
misstatement of facts,ವಿಷಯವನ್ನು ಸರಿಯಾಗಿ ಹೇಳದಿರುವುದು
misunderstanding,"ತಪ್ಪು ಗ್ರಹಿಕೆ, ಮನಸ್ತಾಪ, ತಪ್ಪು ತಿಳುವಳಿಕೆ"
misuse,"ದುರ್ಬಳಕೆ, ದುರುಪಯೋಗಮಾಡು"
mixed economy,"ಮಿಶ್ರ ಆರ್ಥಿಕತೆ, ಮಿಶ್ರಅರ್ಥವ್ಯವಸ್ಥೆ"
mob,"ಗುಂಪು, ಜನಜಂಗುಳಿ, ದೊಂಬಿ, ಗಲಭೆ"
mobile,"ಸಂಚಾರಿ, ಚಲಿಸುವ"
mobility,"ಚಲನೆ, ಸಂಚಾರ"
mode,"ಪದ್ಧತಿ, ರೂಢಿ, ರೀತಿ, ವಿಧಾನ, ಕ್ರಮ"
model,"ಮಾದರಿ, ಆಕೃತಿ, ಪ್ರತಿರೂಪ, ರೂಪದರ್ಶಿ, ಮೇಲ್ಪಂಕ್ತಿ, ಆದರ್ಶ"
moderator,"ಚರ್ಚಾನಿರ್ವಾಹಕ, ಮಧ್ಯಸ್ಥಗಾರ, ಸೌಮ್ಯವ್ಯಕ್ತಿ"
modification,"ಮಾರ್ಪಾಡು, ಬದಲಾವಣೆ, ಪರಿಷ್ಕರಣ"
modus operandi,"ಕಾರ್ಯರೀತಿ, ವಿಧಾನ"
monetary grant,"ವಿತ್ತ ಅನುದಾನ, ಆರ್ಥಿಕ ಅನುದಾನ"
money,"ಹಣ, ನಾಣ್ಯ, ಕಾಗದದ ಹಣ"
monitor,"ಮುಖಂಡ, ವೀಕ್ಷಣೆ ಮಾಡುವವನು, ಮಾನಿಟರ್ (ಕಂಪ್ಯೂಟರ್) ಮೇಲ್ವಿಚಾರಕ"
monogamy,"ಏಕ ಪತ್ನಿತ್ವ, ಏಕ ವಿವಾಹ"
monogram,ಏಕಮಾನಕ
monopoly,ಏಕಸ್ವಾಮ್ಯ
monotony,"ಒಂದೇರಾಗ, ನೀರಸತೆ, ಏಕಧ್ವನಿ"
month to month,ತಿಂಗಳಿನಿಂದ ತಿಂಗಳಿಗೆ
monthly tour diary,ಮಾಸಿಕ ಪ್ರವಾಸಿ ದಿನಚರಿ
moral,"ನೈತಿಕ, ಒಳ್ಳೆಯನಡತೆ"
moral turpitude,"ನೈತಿಕ ಪತನ, ನೀತಿಗೆಡುವುದು"
morale,"ಮಾನೋಬಲ, ಮನೋಸ್ಥೈರ್ಯ, ನೈತಿಕ ಉತ್ಸಾಹ"
moratorium,"ಅಧಿಕೃತ ಮುಂದೂಡಿಕೆ, ನಿಲುಗೆ, ಸ್ಥಗಿತತೆ"
mortality,"ಮರಣ, ಸಾವು, ನಶ್ವರತೆ"
mortgage,"ಅಡವು, ಅಡಮಾನ, ಗಿರವಿ ಇಡು, ಒತ್ತೆ"
most confidential,ಅತ್ಯಂತ ರಹಸ್ಯದ
mother tongue,ಮಾತೃಭಾಷೆ
motion,"ಚಲನೆ, ಸೂಚನೆ, ಪ್ರಸ್ತಾಪ, ಗೊತ್ತುವಳಿ"
motion study,ಗೊತ್ತುವಳಿ ಅಧ್ಯಯನ
motivation,ಪ್ರೇರಣೆ
motive,"ಉದ್ದೇಶ, ಕಾರಣ"
motto,"ಧ್ಯೇಯವ್ಯಾಕ್ಯ, ಧ್ಯೇಯೋಕ್ತಿ, ಉದ್ದೇಶ"
mouthpiece,ಮುಖನಾಣಿ
movable,"ಚರ, ಚಲನೀಯ"
move,"ಸಂಚರಿಸು, ಚಲಿಸು, ವಿನಂತಿಸು"
movement,"ಚಳುವಳಿ, ಆಂದೋಲನ, ಸಂಚಲನ"
multifarious (duties),ನಾನಾ ವಿಧವಾದ
multipurpose,ವಿವಿಧೋದ್ದೇಶದ
municipal tax,"ಪುರಸಭಾ ತೆರಿಗೆ, ಮುನಿಸಿಪಲ್ ತೆರಿಗೆ, ಪೌರಕರ"
museum,ವಸ್ತು ಸಂಗ್ರಹಾಲಯ
muster roll,ಹಾಜರಿಪಟ್ಟಿ
mutation,"ಪರಿವರ್ತನೆ, ಬದಲಾವಣೆ"
mutatis mutandis,ಉಚಿತ ವ್ಯತ್ಯಾಸಗಳೊಂದಿಗೆ
mutual understanding,ಪರಸ್ಪರ ತಿಳುವಳಿಕೆ
name card,ಹೆಸರಿನ ಕಾರ್ಡ್
narcotic,"ನಿದ್ರಾಜನಕ, ಮಂಪರು ಬರಿಸುವ"
narrative apporaisal,ನಿವರಣಾತ್ಮಕ ಮೌಲ್ಯನಿರ್ಧಾರಣ
narrator,"ನಿರೂಪಕ, ಹೇಳುವವನು"
nation,ರಾಷ್ಟ್ರ
national,ರಾಷ್ಟ್ರೀಯ
national language,ರಾಷ್ಟ್ರ ಭಾಷೆ
national savings certificate,ರಾಷ್ಟ್ರೀಯಉಳಿತಾಯ ಪತ್ರ
nationalism,ರಾಷ್ಟ್ರೀಯತೆ
nationality,ರಾಷ್ಟ್ರೀಯತೆ
nationalization,ರಾಷ್ಟ್ರೀಕರಣ
native,"ದೇಶೀಯ, ಸ್ಥಳೀಯ"
natural,"ಪ್ರಾಕೃತಿಕ, ಸಹಜ, ನೈಸರ್ಗಿಕ, ನೈಜ"
naturalization,"ಸ್ವಾಭಾವೀಕರಣ, ನೈಸರ್ಗಿಕರಣ, ದೇಶೀಕರಣ ಸುಗಮ ಹೊಂದಾಣಿಕೆ"
naval force,ನೌಕಾ ಪಡೆ
navigable,ನೌಕಾಯಾನಮಾಡಬಹುದಾದ
navigation,"ಸಮುದ್ರಮಾನ, ಹಡಗುಸಂಚಾರ"
nayes,ಇಲ್ಲ-ಪಕ್ಷ
necessary action,ಅಗತ್ಯಕ್ರಮ
needful,ಅಗತ್ಯವಾದ
negative,"ನಿಷೇಧಾತ್ಮಕ, ಋಣಾತ್ಮಕ"
neglect,"ಅಲಕ್ಷಿಸು, ನಿರ್ಲಕ್ಷಿಸು"
negligence,"ಅಲಕ್ಷ್ಯ, ನಿರ್ಲಕ್ಷ್ಯ"
negligible,ನಗಣ್ಯ
negotiability,"ವರ್ಗಾವಣೀಯತೆ, ವರ್ಗಾಯಿಸಬಹುದಾದ, ಕ್ಷಮಿಸಲರ್ಹವಾದ"
negotiable instrument,"ವರ್ಗಾವಣೀಯ, ಲಿಖಿತ"
negotiation,"ವರ್ಗಾವಣಾ ವ್ಯವಹಾರ, ಮಾತುಕತೆ"
negotiator,"ಸಂಧಾನಕಾರ, ಮಾತುಕತೆ ನಡೆಸುವವ"
nepotism,ಸ್ವಜನ ಪಕ್ಷಪಾತ
net,"ಒಟ್ಟು, ನಿವ್ವಳ, ಜಾಲ, ಬಲೆ"
net investment,ನಿವ್ವಳ ಹೂಡಿಕೆ
neutral,"ತಟಸ್ಥ, ನಿಷ್ಪಕ್ಷಪಾತದ"
news,"ವರ್ತಮಾನ, ಸುದ್ಧಿ, ಸಮಾಚಾರ, ವಾರ್ತೆ"
news reader,"ವಾರ್ತಾ ವಾಚಕ, ಸುದ್ದಿ ಓದುವವನು"
newsletter,ವಾರ್ತಾಪತ್ರ
newspaper,"ಸಮಾಚಾರ ಪತ್ರ, ವೃತ್ತಪತ್ರಿಕೆ, ಪತ್ರಿಕೆ"
next of kin,ಬಂಧುವಿಗೆಸಮೀಪವಾದವನುನಿಕಟ ಬಂಧುಗಳು
night duty,ರಾತ್ರಿ ಕರ್ತವ್ಯ
nil report,ಶೂನ್ಯ ವರದಿ
no admission,ಪ್ರವೇಶವಿಲ್ಲ
no demand certificate,"ತಗಾದೆ, ಮಾಗಣೆ ಇಲ್ಲ ಎಂಬ ಪ್ರಮಾಣಪತ್ರ"
no objection certificate,ನಿರಾಕ್ಷೇಪಣಾ ಪತ್ರ
