Punjabi,Assamese
ਅੰਤਰਜਾਮੀ,মধ্যস্থতাকাৰী
ਵਿਚੋਲਾ,মধ্যস্থতাকাৰী
ਅੰਤਰਰਾਸ਼ਟਰੀਵਾਦ,আন্তৰ্জাতিকতাবাদ
ਅੰਤਰਰਾਸ਼ਟਰੀਵਾਦ,আন্তৰ্জাতিকতাবাদ
ਅੰਤਰਰਾਸ਼ਟਰੀਵਾਦੀ,আন্তৰ্জাতিকতাবাদী
ਇੰਟਰਸੀਨ ਯੁੱਧ,আন্তঃসংযোগী যুদ্ধ
ਇੰਟਰਨੀ,ইণ্টাৰনী
ਇੰਟਰਨੀ,ইণ্টাৰনী
ਇੰਟਰਨੀ ਕੈਂਪ,ইণ্টাৰনী শিবিৰ
ਨਜ਼ਰਬੰਦੀ,আৱদ্ধ কৰি ৰখা
ਨਜ਼ਰਬੰਦੀ,আৱদ্ধ কৰি ৰখা
ਨਜ਼ਰਬੰਦੀ,আৱদ্ধ কৰি ৰখা
ਇੰਟਰਨਨਸੀਓ,Internuncio
ਦੁਭਾਸ਼ੀਏ,ব্যাখ্যাকৰোতা
ਦੁਭਾਸ਼ੀਏ,ব্যাখ্যাকৰোতা
ਦੁਭਾਸ਼ੀਏ,ব্যাখ্যাকৰোতা
ਦਖਲ,হস্তক্ষেপ
ਅੰਤਰਜਾਮੀ,ইনটেষ্টেচি
ਇੰਟੇਸਟੇਟ,ইনটেষ্টেট
ਸਾਜ਼ਸ਼,কুটিলতা
ਘੁਸਪੈਠੀਏ,অনুপ্ৰৱেশকাৰী
ਘੁਸਪੈਠੀਏ,অনুপ্ৰৱেশকাৰী
ਘੁਸਪੈਠ,অনুপ্ৰৱেশ
ਹਮਲਾ,আক্ৰমণ
ਹਮਲਾ,আক্ৰমণ
ਨਿਵੇਸ਼ ਕਰੋ,বিনিয়োগ কৰা
ਨਿਵੇਸ਼ ਕਰੋ,বিনিয়োগ কৰা
ਨਿਵੇਸ਼ ਕਰੋ,বিনিয়োগ কৰা
ਨਿਵੇਸ਼ ਕਰੋ,বিনিয়োগ কৰা
ਨਿਵੇਸ਼,বিনিয়োগ
ਨਿਵੇਸ਼,বিনিয়োগ
ਨਿਵੇਸ਼,বিনিয়োগ
ਨਿਵੇਸ਼ ਸਮਾਰੋਹ,বিনিয়োগ অনুষ্ঠান
ਕੌਮੀਅਤ ਦੇ ਨਾਲ ਨਿਵੇਸ਼ ਕਰੋ,জাতীয়তাৰ সৈতে বিনিয়োগ কৰক
ਅਜਿੱਤ ਆਰਮਾਡਾ,অজেয় আৰ্মাডা
ਅਸਹਿਣਸ਼ੀਲਤਾ (ਰਾਜ ਦੀ),অলংঘনীয়তা (ৰাষ্ট্ৰৰ)
ਉਲੰਘਣਾ ਰਾਜ,অলংঘিত অৱস্থা
ਅਭੁੱਲ ਕਿਲ੍ਹਾ,অক্ষম দুৰ্গ
ਲੋਹੇ ਦੀ ਉਮਰ,লোৰ যুগ
ਲੋਹੇ ਦਾ ਪਰਦਾ,লোহাৰ পৰ্দা
ਆਇਰਨ ਗਾਰਡ,লোহাৰ ৰক্ষক
ਲੋਹੇ ਦੇ ਰਾਸ਼ਨ,লোহাৰ ৰেচন
ਲੋਹੇ ਦੇ ਪਾਸੇ,লোহাৰ কাষ
ਲੋਹੇ ਵਾਲਾ ਤੀਰ,লোহাৰ টিপযুক্ত কাঁড়
ਇਸਥਮੀਅਨ ਗੇਮਾਂ,ইষ্টমিয়ান খেল
ਜੈਨੀਸਰੀ,জেনিছাৰী
ਦਰਬਾਨ,জেনিটৰ
ਦਰਬਾਨ,জেনিটৰ
ਜੈਵਲਿਨ,জেভেলিন
ਜਿਮ ਕਰੋ ਕਾਨੂੰਨ,জিম ক&#39;ৰ&#39; ল&#39;ছ
ਜਿੰਗੋ,জিংগো
ਜਿੰਗੋ,জিংগো
ਜਿੰਗੋ,জিংগো
ਜਿੰਗੋਇਜ਼ਮ,জিংগোবাদ
ਸਾਂਝੀ ਕਾਰਵਾਈ,যৌথ ব্যৱস্থা
ਸੰਯੁਕਤ ਕੰਟਰੋਲ,যৌথ নিয়ন্ত্ৰণ
ਸੰਯੁਕਤ ਕਬਜ਼ਾ,যৌথ দখল
ਜਿਊਰੀ,জুৰী
ਹੁਣੇ ਹੀ ਕਾਰਨ,মাত্ৰ কাৰণ
ਰੱਖੋ,ৰাখক
ਪੁਰਾਲੇਖ ਦੇ ਰੱਖਿਅਕ,আৰ্কাইভৰ ৰক্ষক
ਕੇਤਲੀ-ਡਰੰਮ,কেটলি-ড্ৰাম
ਮੁੱਖ ਸ਼ਬਦ,মূল শব্দ
ਰਾਜਾ,ৰজা
ਰਾਜ,ৰাজ্য
ਕਿੰਗਲੇਟ,কিংলেট
ਕਿੰਗ ਮੇਕਰ,ৰজা নিৰ্মাতা
ਬਾਦਸ਼ਾਹਤ,ৰজাৰ পদ
ਬਾਦਸ਼ਾਹਤ,ৰজাৰ পদ
ਰਸੋਈ ਦੀ ਕੈਬਨਿਟ,পাকঘৰৰ কেবিনেট
ਨਾਈਟ,ৰজা
ਬਾਦਸ਼ਾਹਤ,ৰজাৰত্ব
ਕਿੰਗਹਟਸ ਹਸਪਤਾਲ ਵਾਲੇ,Kinghts হস্পিতালৰ লোক
ਸੇਂਟ ਜੌਨ ਦੇ ਨਾਈਟਸ,নাইটছ অৱ চেণ্ট জন
ਨਾਈਟ ਟੈਂਪਲਰ,নাইট টেম্পলাৰ
Ku Klux Klan (KKK),কু ক্লাক্স ক্লান (KKK)
ਕੁਮਿੰਟੰਗ,কুমিনতাং
ਲੋਕਾਈ,লেইটি
ਲਾਂਸ,লেন্স
ਲੈਂਸਰ,লেন্সাৰ
ਬਾਅਦ ਵਿਚ ਗੁਪਤਾ,পিছলৈ গুপ্তাছ
ਕਾਨੂੰਨੀ ਵਾਰਸ,বৈধ উত্তৰাধিকাৰী
ਕੁਧਰਮ (=ਵਿਕਾਰ),আইন-শৃংখলাহীনতা (=বিকাৰ)
ਕੁਧਰਮ (=ਵਿਕਾਰ),আইন-শৃংখলাহীনতা (=বিকাৰ)
ਕਾਨੂੰਨ ਦੇ ਮਾਲਕ,আইন প্ৰভুসকল
ਪਵਿੱਤਰਤਾ ਦਾ ਕਾਨੂੰਨ,ধৰ্মপৰায়ণতাৰ নিয়ম
ਰਾਸ਼ਟਰ ਦੀ ਲੀਗ,লীগ অৱ নেচনছ
ਵਿਰਾਸਤ (= ਵਸੀਅਤ),লিগেচি (=উইল)
ਵਿਰਾਸਤ (= ਵਸੀਅਤ),লিগেচি (=উইল)
ਕਾਨੂੰਨੀ ਵਾਰਸ,আইনী উত্তৰাধিকাৰী
ਕਾਨੂੰਨੀ,লেগেট
ਕਾਨੂੰਨੀ,লেগেট
ਕਾਨੂੰਨੀ,লেগেট
ਦੰਤਕਥਾ,কিংবদন্তী
ਦੰਤਕਥਾ,কিংবদন্তী
ਫੌਜ,লিজিয়ন
ਫੌਜ,লিজিয়ন
ਲੀਜਨ ਆਫ਼ ਆਨਰ,লিজিয়ন অৱ অনাৰ
Lese majesty (= Lese majeste),লেচে মহিমা (=lese majeste)
ਘੱਟ ਰਾਜ,ক্ষুদ্ৰ ৰাজ্য
ਭਰੋਸੇ ਦੇ ਪੱਤਰ,বিশ্বাসযোগ্যতাৰ পত্ৰ
ਲੀਗ-ਪ੍ਰਭੂ,লিয়েজ-লৰ্ড
ਲੀਗ ਆਦਮੀ,লিয়েজ মানুহ
ਲੀਗ ਆਦਮੀ,লিয়েজ মানুহ
ਉਮਰ ਕੈਦ,আজীৱন কাৰাদণ্ড
ਵੰਸ਼,বংশ
ਲਿਟਲ ਇੰਗਲੈਂਡਰ,লিটিল ইংলেণ্ডৰ
ਛੋਟਾ ਵਾਹਨ (= ਘੱਟ ਵਾਹਨ),লিটল ভেহিকেল (=ক্ষুদ্ৰ বাহন)
ਲਿਟੋਰਲ ਰਾਜ,উপকূলীয় অৱস্থা
ਲੀਟੁਰਜੀ,লিটাৰ্জী
ਲਿਟੁਰਜੀ,লিটাৰ্জী
ਸਥਾਨਕ ਵਫ਼ਾਦਾਰੀ,স্থানীয় আনুগত্য
ਸਥਾਨਕ-ਸਵੈ ਸਰਕਾਰ,স্থানীয়-আত্ম চৰকাৰ
ਲੰਬੀ ਸੰਸਦ,দীঘলীয়া সংসদ
ਨੀਵੇਂ ਦੇਸ਼,নিম্ন দেশ
ਵਫ਼ਾਦਾਰ,অনুগত
ਵਫ਼ਾਦਾਰੀ,আনুগত্য
ਮੈਕਿਆਵੇਲੀਅਨ ਨੀਤੀ,মেকিয়াভেলিয়ান নীতি
ਮੈਗਨਾ ਕਾਰਟਾ,মেগনা কাৰ্টা
ਮੈਗਨਮ ਕਨਸਿਲੀਅਮ,মেগনাম কনচিলিয়াম
ਮਲਮ ਮਨਾਹੀ,মালুম প্ৰহিবিটাম
ਮੰਦਾਮਸ,মাণ্ডামছ
ਆਦੇਸ਼,আদেশ
"ਹੁਕਮ, ਕਲਾਸ &#39;ਏ&#39;","আদেশ, ক্লাছ &#39;ক&#39;।"
"ਹੁਕਮ, ਕਲਾਸ &#39;ਬੀ&#39;","আদেশ, ক্লাছ &#39;খ&#39;।"
"ਹੁਕਮ, ਕਲਾਸ &#39;ਸੀ&#39;","আদেশ, শ্ৰেণী &#39;গ&#39;।"
ਆਦੇਸ਼ ਪ੍ਰਣਾਲੀ,আদেশ ব্যৱস্থা
ਲਾਜ਼ਮੀ ਰਾਜ,বাধ্যতামূলক ৰাজ্য
ਮੰਗੋਨਲ,মেংগোনেল
ਮੈਨੀਫੈਸਟੋ,ইস্তাহাৰ
ਚਾਲਾਂ,কৌশল
ਜੰਗ ਦਾ ਮਨੁੱਖ,যুদ্ধৰ মানুহ
ਮਨੋਰ,মেন&#39;ৰ
ਮਨੋਰ,মেন&#39;ৰ
ਮਨੁੱਖ-ਸ਼ਕਤੀ,মানুহ-শক্তি
ਮਨੁੱਖ-ਸ਼ਕਤੀ,মানুহ-শক্তি
ਮੈਨੂਮਿਸ਼ਨ,মানুমিচন
ਮਨੁਮਿਤ,মনুমিত
ਹੱਥ-ਲਿਖਤ,পাণ্ডুলিপি
ਹੱਥ-ਲਿਖਤ,পাণ্ডুলিপি
ਹੱਥ-ਲਿਖਤ,পাণ্ডুলিপি
ਲੁਟੇਰਾ,মাৰাউডাৰ
ਸਮੁੰਦਰੀ ਪੱਟੀ,সামুদ্ৰিক বেল্ট
ਸਮੁੰਦਰੀ ਸਭਿਅਤਾ,সামুদ্ৰিক সভ্যতা
ਸਮੁੰਦਰੀ ਝੰਡਾ,সামুদ্ৰিক পতাকা
ਸਮੁੰਦਰੀ ਸ਼ਕਤੀਆਂ,সামুদ্ৰিক শক্তিসমূহ
ਸਮੁੰਦਰੀ ਪ੍ਰਭੂਸੱਤਾ,সামুদ্ৰিক সাৰ্বভৌমত্ব
ਸਮੁੰਦਰੀ ਯੁੱਧ,সামুদ্ৰিক যুদ্ধ
ਮਾਰਕੁਇਸ,মাৰ্কিছ
ਮਾਰਕਿਸੇਟ,মাৰ্কিজেট
ਮਾਰਸ਼ਲ ਲਾਅ,সামৰিক আইন
ਮਾਰਸ਼ਲ ਦੌੜ,যুদ্ধ দৌৰ
ਸ਼ਹੀਦ,শ্বহীদ
ਕਤਲੇਆਮ,হত্যাকাণ্ড
ਚਾਲ ਦਾ ਪੁੰਜ,কৌশলৰ ভৰ
ਮਾਸਟਰ-ਐਟ-ਆਰਮਸ,মাষ্টাৰ-এট-আৰ্মছ
ਰਸਮਾਂ ਦਾ ਮਾਲਕ,অনুষ্ঠানৰ মাষ্টাৰ
ਘਰ ਦਾ ਮਾਲਕ,মাষ্টাৰ অৱ হাউচহ’ল্ড
ਘੋੜੇ ਦਾ ਮਾਸਟਰ,ঘোঁৰাৰ মাষ্টাৰ
ਰੋਲਸ ਦੇ ਮਾਸਟਰ,মাষ্টাৰ অৱ দ্য ৰোলছ
ਮੈਚ,মিল থকা
ਮੈਚ,মিল থকা
ਮੈਚਲਾਕ,মেচলক
ਵਿਆਹੁਤਾ ਗਠਜੋੜ,বৈবাহিক মিত্ৰতা
ਮੈਡੀਟੇਰੀਅਨ ਸ਼ਕਤੀਆਂ,ভূমধ্যসাগৰীয় শক্তিসমূহ
ਮੇਨਸ਼ੇਵਿਕ,মেনশ্বেভিক
ਭਾੜੇ ਦੀ ਫੌਜ,ভাড়াতীয়া সেনাবাহিনী
ਕਿਰਾਏਦਾਰ ਸਿਪਾਹੀ,ভাড়াতীয়া সৈনিক
ਵਪਾਰੀ,ব্যৱসায়ী
ਵਿਚਕਾਰਲਾ ਯੁੱਗ,মধ্যযুগ
ਮਧਿਅਪੂਰਵ,মৈদ্ধ পূৰ্ব
ਮੱਧ ਬੀਤਣ,মধ্যম অংশ
ਮੱਧ ਮਾਰਗ,মধ্যম পথ
ਮੱਧ ਰਸਤਾ (= ਮੱਧ ਕੋਰਸ),মধ্যম পথ (=মধ্যম পথ)
ਪਰਵਾਸੀ,প্ৰব্ৰজনকাৰী
ਪਰਵਾਸ,প্ৰব্ৰজন
ਪਰਵਾਸ,প্ৰব্ৰজন
ਪਰਵਾਸ,প্ৰব্ৰজন
ਮਿਲਟਰੀਵਾਦ,সামৰিকতাবাদ
ਮਿਲਟਰੀਵਾਦ,সামৰিকতাবাদ
ਮਿਲਟਰੀਵਾਦ,সামৰিকতাবাদ
ਮਿਲਟਰੀਵਾਦ,সামৰিকতাবাদ
ਫੌਜੀ,সামৰিকবাদী
ਫੌਜੀ,সামৰিকবাদী
ਫੌਜੀਕਰਨ,সামৰিককৰণ
ਫੌਜੀਕਰਨ,সামৰিককৰণ
ਫੌਜੀਕਰਨ,সামৰিককৰণ
ਫੌਜੀ ਰਣਨੀਤਕ (= ਰਣਨੀਤਕ),সামৰিক কৌশলবিদ (=কৌশলবিদ)
ਫੌਜੀ ਰਣਨੀਤਕ (= ਰਣਨੀਤਕ),সামৰিক কৌশলবিদ (=কৌশলবিদ)
ਫੌਜੀ ਰਣਨੀਤੀ (= ਰਣਨੀਤੀ),সামৰিক কৌশল (=কৌশল)
ਮਿਲੀਸ਼ੀਆ,মিলিচীয়া
ਮਿਲੀਸ਼ੀਆ,মিলিচীয়া
ਕੁਸ਼ਾਸਨ,অপশাসন
ਗੁੰਮ ਲਿੰਕ,লিংক হেৰাই গৈছে
ਮਿਸ਼ਨ,উদ্দেশ্য
ਮਿਸ਼ਨ,উদ্দেশ্য
ਮਿਸ਼ਨ,উদ্দেশ্য
ਮਿਸ਼ਰਤ ਦੌੜ,মিশ্ৰ জাতিৰ
ਆਧੁਨਿਕ ਇਤਿਹਾਸ,আধুনিক ইতিহাস
ਵਿਧੀ ਵਿਵੇਂਡੀ,মডাছ ভিভেণ্ডি
ਮੋਨਾਚਿਜ਼ਮ,মনাচিজম
ਮੋਨਾਰਕ,মনাৰ্ক
ਮੋਨਾਰਕ,মনাৰ্ক
ਰਾਜਸ਼ਾਹੀਵਾਦ,ৰাজতন্ত্ৰবাদ
ਰਾਜਸ਼ਾਹੀਵਾਦ,ৰাজতন্ত্ৰবাদ
ਰਾਜਸ਼ਾਹੀ,ৰাজতন্ত্ৰবাদী
ਰਾਜਸ਼ਾਹੀ,ৰাজতন্ত্ৰ
ਮੱਠ,মঠ
ਮੱਠ,মঠ
ਮੱਠ,মঠ
ਮੱਠਵਾਦ,মঠ-মন্দিৰ
ਮੱਠਵਾਦ,মঠ-মন্দিৰ
ਭਿਕਸ਼ੂ,সন্ন্যাসী
ਮਾਤਾ ਦੇਸ਼,মাতৃ দেশ
ਮਾਤ ਭੂਮੀ,মাতৃভূমি
ਸੰਸਦਾਂ ਦੀ ਮਾਂ,সংসদৰ মাতৃ
ਮੁਕਰਕਰਸ,মাকৰেকাৰছ
ਮੰਮੀ,মামী
ਅਜਾਇਬ ਘਰ,সংগ্ৰাহালয়
ਮਸਕਟ,মাস্কেট
ਮਸਕਟੀਅਰ,মাস্কেটিয়াৰ
ਮਸਕੈਟਰੀ,মাস্কেট্ৰি
ਮਸਕੈਟਰੀ,মাস্কেট্ৰি
ਮਾਸਟਰ ਮਾਸਟਰ,মাষ্টাৰ মাষ্টাৰ
ਮਸਟਰ-ਰੋਲ,মাষ্টাৰ-ৰোল
ਮਸਟਰ-ਰੋਲ,মাষ্টাৰ-ৰোল
ਬਗਾਵਤ,বিদ্ৰোহ
ਬਗਾਵਤ ਐਕਟ,বিদ্ৰোহ আইন
ਰਹੱਸਮਈ ਜਹਾਜ਼,ৰহস্য জাহাজ
ਬਿਰਤਾਂਤ,বৰ্ণনা
ਕੌਮ,জাতি
ਮੂਲ,স্থানীয়
ਮੂਲ ਰਾਜ,থলুৱা ৰাজ্য
ਕੁਦਰਤਵਾਦ,প্ৰকৃতিবাদ
ਕੁਦਰਤੀ ਅਧਿਕਾਰ,প্ৰাকৃতিক অধিকাৰ
ਨਾਜ਼ੀ,নাজী
ਨਾਜ਼ੀ ਇਨਕਲਾਬ,নাজী বিপ্লৱ
ਨਾਜ਼ੀਵਾਦ,নাজীবাদ
ਪੂਰਬ ਦੇ ਨੇੜੇ,পূবৰ ওচৰত
ਨੀਗਰੋ,নিগ্ৰো
ਨੇਗਰੋਫਿਲ,নেগ্ৰ&#39;ফিল
ਨੇਗਰੋਫਿਲਿਜ਼ਮ,নিগ্ৰোফিলিজম
ਨੇਗਰੋਫੋਬੀਆ,নিগ্ৰোফ’বিয়া
ਨਿਰਪੱਖ,নিৰপেক্ষ
ਨਿਰਪੱਖ ਦੇਸ਼,নিৰপেক্ষ দেশ
ਨਵੀਂ ਡੀਲ,নিউ ডিল
ਨਵੀਂ ਦੁਨੀਆਂ,নতুন পৃথিৱী
ਕੁਲੀਨਤਾ,আভিজাত্য
ਨੇਕ,নোবেল
ਨੇਕ,নোবেল
ਨਾਮਵਰ,যাযাবৰী
ਖਾਨਾਬਦੋਸ਼ ਭੀੜ,যাযাবৰী গোট
ਖਾਨਾਬਦੋਸ਼,যাযাবৰীতা
ਗੈਰ-ਹਮਲਾਵਰ ਸਮਝੌਤਾ,অ-আগ্ৰাসন চুক্তি
ਗੈਰ-ਹਮਲਾਵਰ ਸੰਧੀ,অ-আগ্ৰাসন চুক্তি
ਗੈਰ ਜੁਝਾਰੂ ਰਾਜ,অযুদ্ধপ্ৰায় অৱস্থা
ਅਸਹਿਯੋਗ,অসহযোগিতা
ਅਸਹਿਯੋਗ ਅੰਦੋਲਨ,অসহযোগ আন্দোলন
ਉਲਟ,আগফালৰ অংশ
ਉਲਟ,আগফালৰ অংশ
ਲੋਕਤੰਤਰ (=ਲੋਕਸ਼ਾਹੀ),অক্ল&#39;ক্ৰেচি (=মব&#39;ক্ৰেচি)
ਓਕਲੋਕ੍ਰੇਟ,অক্লক্ৰেট
ਅਧਿਕਾਰਤ ਦਸਤਾਵੇਜ਼,চৰকাৰী নথি
ਪੁਰਾਣੀ ਦੁਨੀਆਂ,পুৰণি পৃথিৱী
ਕੁਲੀਨਤਾ,অলিগাৰ্চি
ਹਮਲਾ,আক্ৰমণ
ਖੁੱਲ੍ਹੀ ਗੱਲਬਾਤ,মুকলি আলোচনা
ਖੁੱਲ੍ਹਾ ਸਵਾਲ,মুকলি প্ৰশ্ন
ਰਿਕਾਰਡ ਖੋਲ੍ਹੋ,ৰেকৰ্ডসমূহ খোলা
ਪੂਰਬੀ,অৰিয়েণ্ট
ਪੂਰਬੀਵਾਦ,প্ৰাচ্যবাদ
ਪੂਰਬੀਵਾਦ,প্ৰাচ্যবাদ
ਪੂਰਬੀ,প্ৰাচ্যবিদ
ਮੂਲ,মূলত
ਮੂਲ,মূলত
ਆਰਥੋਗ੍ਰਾਫੀ,অৰ্থগ্ৰাফী
ਦੁਸ਼ਮਣੀ ਦਾ ਪ੍ਰਕੋਪ,শত্ৰুতাৰ প্ৰাদুৰ্ভাৱ
ਆਊਟ-ਪੋਸਟ,আউট-পোষ্ট
ਅਪਰ-ਪ੍ਰਭੂ,অভাৰ-লৰ্ড
ਓਵਰ-ਰਾਈਡ,অভাৰ-ৰাইড
ਓਵਰ-ਰਾਈਡ,অভাৰ-ৰাইড
ਮੂਰਤੀ,পৌত্তলিক
ਮੂਰਤੀ,পৌত্তলিক
ਮੂਰਤੀਵਾਦ,পৌত্তলিকতাবাদ
ਮੂਰਤੀਵਾਦ,পৌত্তলিকতাবাদ
ਪਗੋਡਾ,পেগোডা
ਪਗੋਡਾ,পেগোডা
ਪਗੋਡਾ,পেগোডা
ਮਹਿਲ ਸਾਜ਼ਿਸ਼ਾਂ,প্ৰাসাদৰ কুটিলতা
ਪੈਲੇਟਿਨੇਟ,পেলেটিনেট
ਤਾੜ-ਪੱਤੀ,কল-পাত
ਪਾਮ ਐਤਵਾਰ,পাম দেওবাৰ
ਪੈਨੇਗਰਿਸਟ,পেনেগিৰিষ্ট
ਘਬਰਾਹਟ,ত্ৰাস
ਘਬਰਾਹਟ,ত্ৰাস
ਘਬਰਾਉਣ ਵਾਲਾ,আতংক-মংগাৰ
ਪੋਪਸੀ,পোপৰ পদ
ਪੋਪਸੀ,পোপৰ পদ
ਪੋਪਸੀ,পোপৰ পদ
ਪੋਪਸੀ,পোপৰ পদ
ਪਾਪਲ ਬਲਦ,পোপৰ ম&#39;হ
ਪੋਪਵਾਦ,পোপবাদ
ਪੋਪਵਾਦ,পোপবাদ
ਪੋਪਵਾਦੀ,পোপবাদী
ਪੋਪ ਰਾਜ,পোপৰ ৰাজ্য
ਪੈਪਿਜ਼ਮ (=ਪੈਪਿਸਟ੍ਰੀ),পেপিজম (=পেপিষ্ট্ৰি)
ਪਾਪੀ,পেপিষ্ট
ਪਪਾਇਰਸ,পেপিৰাছ
ਦ੍ਰਿਸ਼ਟਾਂਤ,দৃষ্টান্ত
ਸਰਬੋਤਮ,পেৰামাউণ্ট
ਸਰਵਉੱਚਤਾ (=ਸਰਵ ਸ਼ਕਤੀ),Paramountcy (=পৰম শক্তি)
ਸਰਬੋਤਮ ਇਸਤਰੀ,পেৰামাউণ্ট লেডী
ਪਰਮ-ਪ੍ਰਭੂ,পৰম প্ৰভু
ਪਰਚਮ,পাৰ্চমেণ্ট
ਪਰਚਮ,পাৰ্চমেণ্ট
ਪਰਚਮ,পাৰ্চমেণ্ট
ਮਾਫ਼ ਕਰਨਾ,ক্ষমা কৰিব
ਪਾਰਲੇ,পাৰ্লিছ
ਪਾਰਲੇ,পাৰ্লিছ
ਸੰਸਦ (=ਸੰਸਦ),সংসদ (=সংসদ)
ਸੰਸਦ,সংসদ
ਸੰਸਦ,সংসদ
ਸੰਸਦ,সংসদ
ਸੰਸਦ ਐਕਟ,সংসদ আইন
ਸੰਸਦ ਮੈਂਬਰ,সংসদ সদস্য
ਸੰਸਦ ਮੈਂਬਰ,সংসদ সদস্য
ਸੰਸਦੀ ਏਜੰਟ,সংসদীয় এজেণ্ট
ਪਾਰਨੇਲਿਜ਼ਮ,পাৰ্নেলিজম
ਪੈਰੋਲ,পেৰ’ল
ਪੈਰੋਲ,পেৰ’ল
ਪੈਰੀਸਾਈਡ,পেৰিচাইড
ਪੈਰੀਸਾਈਡ,পেৰিচাইড
ਪੱਖਪਾਤੀ,পাৰ্টিছান
ਪੱਖਪਾਤੀ,পাৰ্টিছান
ਪੱਖਪਾਤੀ,পাৰ্টিছান
ਪਾਸ,উত্তীৰ্ণ
ਪਾਸ ਸ਼ਬਦ (= ਵਾਚ ਸ਼ਬਦ),পাছ ৱৰ্ড (=watch word)
ਪਤਿਤ,পেট্ৰিয়াৰ্ক
ਪਤਿਤ,পিতৃপুৰুষসকল
ਪੈਟਰੀਸ਼ੀਅਨ,পেট্ৰিচিয়ান
ਪਤਿਤ,পৈতৃকত্ব
ਪੈਕਸ ਬ੍ਰਿਟੈਨਿਕਾ,পেক্স ব্ৰিটানিকা
ਪੈਕਸ ਰੋਮਾਣਾ,পেক্স ৰোমানা
ਵੰਸ਼,বংশবৃক্ষ
ਵੰਸ਼,বংশবৃক্ষ
ਵੰਸ਼ ਪ੍ਰਾਪਤ ਵਿਅਕਤੀ,বংশবৃক্ষ ব্যক্তি
ਪੀਰ,সহকৰ্মী
ਪੀਰ,সহকৰ্মী
ਪੀਰੇਜ,পিৰেজ
ਪੀਰੇਜ,পিৰেজ
ਪੀਰੇਜ,পিৰেজ
ਆਇਰਲੈਂਡ ਦੇ ਹਾਣੀ,আয়াৰলেণ্ডৰ সমনীয়া
ਸਕਾਟਲੈਂਡ ਦੇ ਹਾਣੀ,স্কটলেণ্ডৰ সমনীয়া
ਪ੍ਰਾਇਦੀਪ ਦੀ ਮੁਹਿੰਮ,উপদ্বীপীয় অভিযান
ਪ੍ਰਾਇਦੀਪ ਯੁੱਧ,উপদ্বীপীয় যুদ্ধ
ਪੈਨੈਂਟ,পেনেণ্ট
ਲੋਕ ਚਾਰਟਰ (=ਰਾਸ਼ਟਰੀ ਚਾਰਟਰ),জনসাধাৰণৰ চনদ (=ৰাষ্ট্ৰীয় চনদ)
ਲੋਕਾਂ ਦਾ ਮੋਰਚਾ (= ਪ੍ਰਸਿੱਧ ਫਰੰਟ),জনমূখ (=জনপ্ৰিয় ফ্ৰণ্ট)
ਧੋਖਾਧੜੀ,পাৰ্ফিডি
ਮਿਆਦ,সময়কাল
ਮਿਆਦ,সময়কাল
ਪਰੀਫੇਰੀ,পেৰিফেৰী
ਸਥਾਈ ਬੰਦੋਬਸਤ,স্থায়ী বন্দোবস্ত
ਸਦੀਵੀ ਜਾਗੀਰ,চিৰন্তন ফিফ
ਫਾਲੈਂਕਸ,ফালানক্স
ਫਲੈਂਕਸ,ফালানক্স
ਫਰੌਨ,ফ্ৰাউন
ਪਿਕਟੋਗ੍ਰਾਮ,চিত্ৰচিত্ৰ
ਪਿਕਟੋਗ੍ਰਾਫ,পিক্টোগ্ৰাফ
ਪਿਕਟੋਗ੍ਰਾਫ,পিক্টোগ্ৰাফ
ਤੀਰਥ,তীৰ্থযাত্ৰী
ਸ਼ਰਧਾਲੂ ਪਿਤਾ,তীৰ্থযাত্ৰী পিতৃসকল
ਲੁੱਟ,লুটপাত
ਲੁੱਟ,লুটপাত
ਥੰਮ੍ਹ,স্তম্ভ
ਥੰਮ੍ਹ ਦੇ ਹੁਕਮ (ਅਸ਼ੋਕ ਦੇ),স্তম্ভ আদেশ (অশোকৰ)
ਥੰਮ੍ਹ ਦੇ ਹੁਕਮ (ਅਸ਼ੋਕ ਦੇ),স্তম্ভ আদেশ (অশোকৰ)
ਥੰਮ੍ਹ ਦੇ ਹੁਕਮ (ਅਸ਼ੋਕ ਦੇ),স্তম্ভ আদেশ (অশোকৰ)
ਸਮੁੰਦਰੀ ਡਾਕੂ,পাইৰেট
ਸਮੁੰਦਰੀ ਡਾਕੂ,পাইৰেট
ਖੜੀ ਲੜਾਈ,পিটচড যুদ্ধ
ਪਲਾਟ,পটভূমি
ਪੋਲਿਸ,পলিছ
ਪੋਲਿਸ,পলিছ
ਰਾਜਨੀਤਿਕ,পলিটাৰ্চ
ਸਿਆਸੀ ਏਜੰਟ,ৰাজনৈতিক এজেন্ট
ਸਿਆਸੀ ਸ਼ਰਨ,ৰাজনৈতিক আশ্ৰয়
ਰਾਜਨੀਤਿਕ ਨਿਵਾਸੀ,ৰাজনৈতিক আৱাসী
ਸਿਆਸੀ ਅੱਤਵਾਦ,ৰাজনৈতিক সন্ত্ৰাসবাদ
ਪੋਲ ਟੈਕਸ,ভোটগ্ৰহণ কৰ
ਪੋਂਟੂਨ,পণ্টুন
ਪ੍ਰੀਮੀਅਰ,প্ৰধানমন্ত্ৰী
ਪ੍ਰੀਮੀਅਰ,প্ৰধানমন্ত্ৰী
