ab initio,"ആദ്യം മുതല്‍ക്ക്, ആരംഭത്തിലെ"
part payment,ഭാഗികമായ പണം കൊടുക്കൽ
part-time,"പാര്‍ട്ട് ടൈം, പകുതി സമയ"
partial,ഭാഗികമായ
participate,പങ്കെടുക്കുക
particular,"വിവരം, വിശേഷവിവരം"
particulars,"വിവരങ്ങൾ, വിശേഷവിവരങ്ങൾ"
partition,"പങ്കിടൽ, വിഭജനം, ഭാഗം"
partner,പങ്കാളി
partnership deed,പങ്കുടമയാധാരം
party,"പാര്‍ട്ടി, കക്ഷി"
pass,"പാസ്, പാസാക്കുക, അംഗീകരിക്കുക, അനുവദിക്കുക"
passage,"വഴി, മാര്‍ഗം, അംഗം, ഉദ്ധരണം യാത്ര, യാത്രച്ചെലവ്"
password,"പാസ് വേഡ്, അടയാളവാക്ക്"
patent,"പേറ്റന്‍റ്, പ്രകടമായ, ഏകസ്വം"
patron,"രക്ഷാധികാരി, സംരക്ഷക"
pay,"ശമ്പളം, വേതനം"
pay bill,ശമ്പളബിൽ
pay certificate,ശമ്പള സര്ട്ടിഫിക്കറ്റ്
pay day,ശമ്പളദിനം
pay off,കൊടുത്തു തീര്‍ക്കുക
pay order,"പേ ഓര്‍ഡര്‍, ശമ്പള ഓര്ഡര്‍"
pay roll,"പേ റോൾ, ശമ്പളപ്പട്ടിക"
pay scale,ശമ്പള സ്കെയിൽ
payee,"പണം കൈപ്പറ്റുന്ന ആൾ, ആദാതാവ്, ഗ്രഹിതാവ്"
payer,ദാതാവ്
payment,"ഒടുക്ക്, പണം കൊടുക്കൽ"
pecuniary,ധനപരമായ
pen down strike,പെന്‍ ഡൌണ്‍ പണിമുടക്ക്
penal,പേന്‍
penal code,ശിക്ഷാനിയമം
penal interest,പിഴപ്പലിശ
penalize,ശിക്ഷിക്കുക
penalty,"പിഴ, പ്രായശ്ചിത്തം"
pending,"അനിര്‍ണിതം, ആലോചനയിലിരിക്കുന്ന, നിലവിലുള്ള, തീര്‍പ്പാകാത്ത"
pension,"പെന്‍ഷന്‍, നിവൃത്തി വേതനം, വിരാമവേതനം"
pension scheme,പെന്‍ഷന്‍ പദ്ധതി
pensionable,"പെന്‍ഷന്‍ ഉള്ള, പെന്‍ഷന്‍ കിട്ടാവുന്ന"
pensioner,പെന്‍ഷന്‍കാരന്‍
per annum,പ്രതിവര്‍ഷം
per bearer,"വാഹകദ്വാരാ, വാഹകന്‍മുഖേന"
per capita (=per head),പ്രതിശീര്‍ഷം
per mensem,പ്രതിമാസം
percent,ശതമാനം
perennial,"അനവരതമായ, അക്ഷയമായ"
perform,"പാലിക്കുക, നിഷ്പാദം ചെയ്ക"
performance,"കാര്യ നിഷ്പാദനം, പാലനം"
period,"കാലാവധി, അവധി, കാലം"
period under review,സമീക്ഷാധീനമായ കാലാവധി
periodical,"നിയതകാലികം, ആനുകാലികപ്രസിദ്ധീകരണം"
perjury,"കള്ളസാക്ഷ്യം, കള്ളസത്യ വാങ്മൂലം"
perks,"പെര്‍ക്ക്സ്, അനുലഭ്യങ്ങൾ"
permanent,"സ്ഥിരം, സ്ഥിരമായ, സ്ഥായിയായ"
permissible,അനുവദനീയമായ
permission,"അനുമതി, അനുവാദം"
permit,"പെര്‍മിറ്റ്, അനുമതി"
permitted,അനുമതി നല്‍കിയ
perpetual,സ്ഥിരമായ
perpetuity,ശാശ്വതത
perquisites (=perks),അനുലഭ്യങ്ങൾ (പെര്‍ക്ക്സ്)
persona non grata,പെഴ്സനൽ ബോണ്ട്
personal,"പെഴ്സനൽ, വ്യക്തിപരമായ"
personal assets,വ്യക്തിപരമായ ആസ്ഥികൾ
personal bond,പെഴ്സനൽ ബോണ്ട്
personality,ആത്മവൈശിഷ്ട്യം
personnel,"ജോലിക്കാര്‍, കാര്‍മ്മികര്‍"
personnel policy,"കാര്‍മ്മിക നയം, ജിവനക്കാരെ സംബന്ധിച്ചനയം"
perspective,"വീക്ഷണം, പരിപ്രേക്ഷ്യം"
persuasion,"അനുനയം, പ്രോത്സാഹനം, പ്രേരണ"
pertinent,സംഗതമായ
perusal,"വായന, പഠനം"
petition,"ഹര്‍ജി, ആവേദനം"
petitioner,"ഹര്‍ജിക്കാരന്‍, അപേക്ഷകന്‍, ആവേദകന്‍"
phase,"ഘട്ടം, പ്രാവസ്ഥ"
photograph,ഫോട്ടോഗ്രാഫര്‍
photostat,ഫോട്ടോസ്റ്റാറ്റ്
physical checking,നേരിട്ടുള്ള പരിശോധന
physical defect,"കായികമായ വൈകല്യം, ശാരീരിക വൈകല്യം"
physical education,കായിക വിദ്യാഭ്യാസം
physical verification,നേരിട്ടുള്ള
physically handicapped,"അംഗവൈകല്യമുള്ളവന്‍, വികലാംഗന്‍"
piece rate,മാത്രാനുപാതമായ നിരക്ക്/വീതം
piecemeal,പ്ളേസ്മെന്‍റ്
pilgrim,തീര്‍ഥാടകര്‍
pilot programme,പൈലറ്റ് പരിപാടി
PIN (postal index number),പിന്‍ (പോസ്റ്റൽ ഇന്‍ഡക്സ് നമ്പര്‍)
place of birth,ജനന തീയതി
place of work,ജോലിസ്ഥലം
placement service,പ്ളേസ്മെന്‍റ സര്‍വീസ്
plaintiff,വാദി
plan,"പ്ലാന്‍, വദ്ധതി, ആസുത്രണം"
planning,ആസുത്രണം
plant,"പ്ലാന്‍റ്, യന്ത്രസാമഗ്രി, യന്ത്രോപകരണം, സസ്യം നടുക"
player,"കളിക്കാരന്‍, സ്പോര്‍ട്ട്സ്മാന്‍"
plea,"വാദം, സമാധാനം"
Pleader,"പ്ലീഡര്‍, വക്കീൽ"
plebiscite,"ഹിതാന്വേഷണം, ഹിതപരിശോധന"
pledge,"പണയം, ഈട്, പ്രതിജ്ഞ, ഈടുകൊടുക്കുക, പണയം വയ്ക്കുക"
plenary session,പൂര്‍ണസമ്മേളനം
plenipotentiary,പൂര്‍ണാധികാരി
plinth area,പ്ളിന്ത് ഏരിയാ
policy,"നയം, പോളിസി"
political,രാഷ്ടീയ
political activity,രാഷ്ട്രിയ പ്രവര്‍ത്തനങ്ങൾ
poll,"പോൾ, സമ്മതിദാനം"
pollution,"മലിനീകരണം, നശിപ്പിക്കൽ"
pool,"മത്സരക്കളി, പര്യരുടെയും കഴിവുകൾ സംഭരിക്കുക, ചെറുകുളം"
portfolio (of a minister),വകുപ്പ് (മന്തിയുടെ)
position,"സ്ഥിതി, സ്ഥാനം, സ്ഥലം"
positive,"യഥാര്‍ത്ഥമായ, പരമമായ"
post,"പോസ്റ്റ്, തസ്തിക, തപാൽ, നിയമിക്കുക"
post mortem examination,മരണശേഷം പരിശോധന
post-dated,പിന്‍ തീയതിയിട്ട
post-facto sanction,കാര്യാത്തര സ്വീകൃതി
Post-graduate,ബിരുദാനന്തരപഠനത്തെ സംബന്ധിച്ച
posthumous,മരണാനന്തര
posting,പോസ്റ്റിങ്
postpone,മാറ്റിവയ്ക്കൽ
postscript (P.S.),"പിന്‍ കുറിപ്പ്, അനുലേഖവം"
power,"അധികാരം, വിദ്യുച്ഛക്തി"
power of attorney,"മുക്തിയാര്‍നാമാ, പവര്‍ ഓഫ് അട്ടര്‍ണി"
practicable,പ്രാവര്‍ത്തികമായ
practice,"പ്രാക്റ്റീസ്, പതിവ്, വൃത്തി"
pre-audit,"പ്രീആഡിറ്റ്, മുൻ ആഡിറ്റ്"
pre-planned,മുന്‍കൂട്ടി പദ്ധതിയിട്ട
pre-receipted bill,മുന്‍രസീതുള്ള ബില്ല്
precaution,മുന്‍കരുതൽ
precedent,"കഴിഞ്ഞ, മുന്‍പുള്ള"
precis,"സംഗ്രഹം, ചുരുക്കം"
precise,"സൂക്ഷ്മമായ, ശരിക്കും"
preclude,"തടയുക, അകറ്റി നിര്‍ത്തുക, ഒഴിച്ചുനിര്‍ത്തുക"
preconception,"പൂര്‍വധാരണ, മുന്‍വിധി, മുന്‍സങ്കല്യം"
predecessor,"മുന്‍ഗാമി, പൂര്‍വഗാമി"
predominant,"സര്‍വപ്രബലമായ, ശക്തിമത്തായ"
preface,ആമുഖം
prefer,"സമര്‍പ്പിക്കുക, മുന്‍ഗണനകിട്ടുക, ബോധിപ്പിക്കുക"
preferential purchase,മുന്‍ഗണനാപരമായ ക്രയം
prejudice,"ഹാനി, ദൂഷ്യം"
preliminary,"പ്രാരംഭമായ, ആദ്യകാര്യം"
premature,"അകാലം, മൂപ്പെത്താത്ത, സമയത്തിനുമുമ്പേയുള്ള"
premises,"പരിസരം, വളപ്പുകൾ പുരയിടം"
premium,പ്രീമിയം
prepaid,മുന്‍കൂട്ടിക്കൊടുത്ത
prepaid card,മുന്‍കൂട്ടി (ചാര്‍ജ്) അടച്ച കാര്ഡ്
prepone,"മുന്നിലേയ്ക്ക് മാറ്റുക, മുന്‍തിയതിക്ക്മാറ്റുക"
prerogative,പ്രത്യേകാധികാരം
prescribe,നിര്‍ദേശിക്കുക
prescribed,നിര്‍ദിഷ്ടമായ
prescribed form,നിര്‍ദിഷ്ടഫോറം
presentation,പ്രസ്തുതീകരണം
preside,ആധ്യക്ഷ്യം വഹിക്കുക
president,"പ്രസിഡന്‍റ്, രാഷ്ട്രപതി, അദ്ധ്യക്ഷന്‍"
press,"പ്രസ്സ്, അച്ചുകൂടം, വര്‍ത്തമാന"
press copy,പ്രസ്സ് കോപ്പി
press gallery,പ്രസ്സ് ഗ്യാലറി
presumed,"അനുമാനിക്കുക, കരുത്തുക"
presumptive pay,അനുമാനിക ശമ്പളം
presupposed,മുന്‍കൂട്ടി സങ്കല്പിച്ച/ ഉദ്ദേശിച്ച
pretext,വ്യാജം
prevail,പ്രചലിതമാവുക
prevent,"നിരോധിക്കുക, നിവാരണം ചെയ്ക"
prevention,"നിവാരണം, നിരോധം"
preventive,"കരുതൽ, നിരോധക"
price fluctuation (=price movements),വില ഏറ്റക്കുറച്ചിൽ
pricing,വില
prima facie,പ്രഥമദൃഷ്ട്യം
primarily,പ്രാഥമികമായി
primary,"പ്രൈമറി, പ്രാഥമിക"
primary receipt,പ്രാഥമിക വരവ്/ കടലാസ്
principal,പ്രിന്‍സിപ്പൽ
principal debtor,മുഖ്യകടക്കാരന്‍
printer,പ്രിന്‍റര്‍
printing,അച്ചടി
prior indication,മുന്‍ സൂചന
priority grading,പ്രാഥമിക ശ്രേണീകരണം
prison,ജയിൽ
prisoner,തടവുകാരന്‍
privacy,ഏകാന്തത
private and confidential,സ്വകാര്യവും ഗോപ്യവും
privilege,"വിശേഷാധികാരം, പ്രത്യേകാധികാരം"
privilege committee,"വിശേഷാധികാര സമിതി, പ്രിവിലേജ് കമ്മിറ്റി"
prize,സമ്മാനം
pro-rata,ആനുപാദികമായി
pro-rata quota,ആനുപാതികമായ ക്വോട്ട
probability,സംഭാവ്യത
probate,പ്രൊബേറ്റ്
probation,"പ്രൊബേഷന്‍, പരിവീക്ഷ"
probationary,പ്രൊബേഷനറി
probationer,പ്രൊബേഷണര്‍
probe,"അന്വേഷണം, സൂക്ഷ്മ പരിശോധന"
procedural rules,നടപടിച്ചട്ടങ്ങൾ
procedure,"നടപടിക്രമം, നടപടി"
proceedings,നടപടികൾ
process,"പ്രക്രിയ, പ്രോസസ്സ്"
processing,പ്രോസസ്സിങ്
procession,"തൊഴിൽ, വൃത്തി"
proclaim,പ്രഖ്യാപിക്കുക
proclamation,പ്രഖ്യാപനം
procurement,"ആദാനം, സംഭരണം"
product,"വിളവ്, ഉല്‍പന്നം"
production,"ഉത്പന്നം, വിളവ്, ഹാജരാക്കൽ"
profession,"തൊഴിൽ, വൃത്തി"
professional achievement,തൊഴിൽപരമായ
proficiency certificate,പ്രവീണതാ പത്രം
profile,"സംക്ഷിപ്ത വിവരണം, പ്രൊഫൈൽ"
profit,ലാഭം
programme,പരിപാടി
programme schedule,"കാര്യക്രമപ്പട്ടിക, പ്രോഗ്രാം ഷെഡ്യൂൾ"
programming,പരിപാടി
progress,പുരോഗതി
progressive,"ക്രമപ്രവൃദ്ധമായ, വര്‍ധമാനമായ"
prohibited,നിരോധിച്ച
prohibited area,നിരോധന മേഖല
prohibition,"നിരോധനം, മദ്യനിരോധനം, നിഷേധം"
prohibitory order,നിരോധനാജ്ഞ
project,പ്രോജക്റ്റ്
projection,പ്രക്ഷേപണം
prominent,പ്രമുഖമായ
promise,"പ്രതിജ്ഞ, വാഗ്ദാനം ചെയ്യുക, വാഗ്ദാനം"
promissory note (pronote),"പ്രോനോട്ട്, വാഗ്ദാനപത്രം"
promote,അഭിവര്‍ധനം ചെയ്യുക
promoter,"പ്രൊമോട്ടര്‍, അഭിവര്‍ധകന്‍"
promotion,"പ്രൊമോഷന്‍, ഉദ്യോഗക്കയറ്റം"
promt,ഉടനടി
promulgate,പ്രഖ്യാപിക്കുക
pronounce,പ്രസ്താവിക്കുക
pronouncement,പ്രസ്താവം
proof,"പ്രൂഫ്, തെളിവ്, തെളിയിക്കുന്നത്, തൊളിയിക്കൽ"
proof of despatch,അയച്ചതിനുള്ള തെളിവ്
proof reading,പ്രൂഫ് റീഡിംഗ്
propagate,പ്രചരിപ്പിക്കുക
propagation,പ്രചരണം
proper,ഉചിതമായ
property,"വസ്തു, സ്വത്ത്, സ്വത്ത്വം"
proposal,"ശിപാര്‍ശ, നിര്‍ദേശം"
propose,"നിര്‍ദേശിക്കുക, ഉന്നയിക്കുക"
propound,പ്രതിപാദിക്കുക
proprietary,ഉടമസ്ഥാവകാശമുള്ള
propriety,ഉടമാവകാശം
prorogue,സമ്മേളനം അവസാനിപ്പിക്കുക
pros and cons,പക്ഷ വിപക്ഷം
proscribe,നിരോധിക്കുക
prosecution,"പ്രോസിക്യൂഷന്‍, ശിക്ഷാനടപടി, വാദിഭാഗം"
prospectus,"പ്രൊസ്പെക്ടസ്, വിവരണപ്പത്രിക"
protempore appointment,അല്പകാലിക നിയമനം
protocol,ന്യായാചരണം
prove,തെളിയിക്കുക
provided,"എന്നാൾ, വ്യവസ്ഥപ്പെടുത്തിയ, തയ്യാറാക്കിയ"
provident fund,"പ്രോവിഡന്‍റ് ഫണ്ട്, ഭവിഷ്യനിധി"
provision,"വകുപ്പ്, വിഭവം, വ്യവസ്ഥ, ഭക്ഷ്യപദാര്‍ഥം"
provisional,"പ്രൊവിഷണൽ, താല്‍ക്കാലികം"
provisional list,"പ്രൊവിഷണൽ ലിസ്റ്റ്, താല്‍ക്കാലികലിസ്റ്റ്"
proviso,പരിമിതവ്യവസ്ഥ
proximity,സാമീപ്യം
proxy,"പകരക്കാരന്‍, പ്രതിപുരുഷന്‍"
public,പൊതുജനം
public duty,പൊതുകര്‍ത്തവ്യം
public interest litigation (PIL),പൊതു താത്പര്യ വ്യവഹാരം
publication,"പ്രകാശനം, പ്രസിദ്ധീകരണം"
publicity,"പ്രസിദ്ധി, പ്രസിദ്ധീകരണം, പ്രചാരം"
publish,പ്രസിദ്ധപ്പെടുത്തുക
punctual,സമയനിഷ്ഠയുള്ള
punishment,ശിക്ഷ
purchase,"നേടുക, വാങ്ങുക"
purely temporary,തിക്കച്ചും താല്‍ക്കാലികം
purpose,"ഉദ്ദേശ്യം, ആവശ്യം"
pursue,"പിന്തുടരുക, കിട്ടുവാന്‍ ശ്രമിക്കുക"
pursuit,"അന്വേഷം, തേടൽ, പ്രയത്നം"
purview,കാര്യക്ഷേത്രം
put up,മുന്‍പെവയ്ക്കുക
put-up slip,"അവതരണക്കുറിപ്പ്, പുട്ടപ്പ്സ്ലിപ്പ്"
qualification,യോഗ്യത
qualified candidate,"യോഗ്യതയുള്ള സ്ഥാനാര്‍ഥി, യോഗ്യതയുള്ള അപേക്ഷകന്‍"
qualify,യോഗ്യത നേടുക
qualifying examination,യോഗ്യത കൊടുക്കുന്ന പരീക്ഷ
qualifying test,യോഗ്യത കൊടുക്കുന്ന പരീക്ഷ
qualitative techniques,ഗുണാത്മക സങ്കേതങ്ങൾ/ ടെക്നിക്കുകൾ
quality,"ഗുണം, വിശേഷക, ക്വാളിറ്റി"
quality control,ഗുണ നിയന്ത്രണം
quantity,"അളവ്, മാത്ര, പരിമാണം"
quarantine leave,ക്യാറന്‍റൈൽ അവധി
quarterly,ത്രൈമാസികം
quash,അസ്ഥിരപ്പെടുത്തുക
quasi,അര്‍ധ
quasi-permanency,"അര്‍ധ സ്ഥിരമായ, സ്ഥിരകല്പമായ"
query,"ക്വെറി, ചോദ്യം"
question,"പ്രശ്നം, ചോദ്യം"
question hour,ചോദ്യോത്തരസമയം
questionable,"ചോദ്യം, ചെയ്യാവുന്ന"
questionnaire,പ്രശ്നാവലി
quit,പുറത്തുകടക്കുക (കംപ്യൂട്ടര്‍)
quorum,"കോറം, ഗണപൂര്‍ത്തി"
quota,"ക്വോട്ട, നിയതാംശം, നിശ്ചിതാംശം"
quotation,"ക്വൊട്ടേഷന്‍, ഉദ്ധരണം, നിരക്ക്"
quote,"ക്വോട്ട് ചെയ്യുക, ഉദ്ധരിക്കുക"
race,വംശം
racial discrimination,വംശാടിസ്ഥാന വിവേചനം
rack,"റാക്ക്, പലകത്തട്ട്"
raid,മിന്നല്‍പരിശോധന
railway,"റയില്‍വേ, റയില്‍മാര്‍ഗം, തീവണ്ട‍പ്പാത"
raise (pay),"ഉന്നയിക്കുക, ആരംഭിക്കുക"
random,"യാദൃച്ഛികം, ഉദ്ദേശ്യരഹിതം"
random sampling,"യാദൃച്ഛികം, സാബ്ലിംങ്"
range,"റേഞ്ച്, വനഭാഗം, വിസ്തൃതി"
rank,"റാങ്ക്, പദവി"
rank and file,സാമാന്യജനങ്ങൾ
ranking,ശ്രേണീകരണം
rapid action force (RAF),റാപ്പിഡ് ആക്ഷന്‍ ഫോഴ്സ്
rare,"അപൂര്വ്വമായ, ലോഹമണൽ"
rash,സാഹസികമായ
ratable value,കരം ചുമത്താവുന്ന മൂല്യം
rate,"വീതം, റേറ്റ്, നിരക്ക്"
rate contract,നിറക്ക് കോണ്‍ട്രാക്ട്
rate list,വീതം ലിസ്റ്റ്
ratification,"അംഗീകരണം, ശരിവയ്ക്കൽ, ദൃഢീകരിക്കൽ"
rating,"തരംതിരിക്കൽ, സ്ഥാനക്രമം"
ratio,അംശബന്ധം
ration,റേഷന്‍
ration allowance,റേഷന്‍ ബത്ത
rational,യുക്തിക്തമായ
rationalization,യുക്തീകരണം
raw material,അസംസ്കൃത സാധനങ്ങൾ
raw product,അസംസ്കൃത ഉത്പന്നം
re-employment,പുനര്‍നിയമനം
re-entry,പുനര്‍പ്രവേശം
reaction,പ്രതിക്രിയ
reading,"വായനശാല, വായനമുറി"
readjust,പുന:ക്രമീകരണം ചെയ്യുക
ready reckoner,റെഡിറക്കണര്‍
ready-made plan,റെഡി-മെയ്ഡ് പ്ലാന്‍
real,റിയൽ
real earning,യഥാര്‍ഥ സമ്പാദ്യം
real estate,"റിയൽ എസ്റ്റേറ്റ്, ഭൂസ്വത്ത്"
reality,യാഥാര്‍‌ഥ്യം
realization,വസൂലാക്കൽ
realize,"വസൂലാക്കുക, അനുഭവപ്പെടുക, സാധിക്കുക"
reappointment,പുനര്‍നിയമനം
reappropriation,പുനര്‍വിനിയോഗം
reason,"ഹേതു, കാരണം, യുക്തി"
reassessment,വീണ്ട‍ും ഏല്‍പ്പിക്കൽ
rebate,"റിബേറ്റ്, കിഴിവ്, കിഴിവുതുക"
recall,തിരികെ വിളിക്കുക
recede,"മടക്കിക്കൊടുക്കുക, പിന്നൊട്ടു മാറുക"
receipt,"രസീത്, വരവ്"
receipt book,രസീതുബുക്
receipts and disbursements,വരവു ചെലവുകൾ
receive,കൈപ്പറ്റുക
receiver,"റിസീവര്‍, ആദാതാവ്, സ്വീകരിക്കുന്നയാൾ"
recent,അടുത്ത കാലത്ത്
reception,സ്വീകരണം
receptive,ഗ്രഹിക്കുന്ന
recess,"വിശ്രമം, വിശ്രമസ്ഥലം"
recipient,"ആദാതാവ്, സ്വീകരിക്കുന്നുയാൾ"
reciprocal,പരസ്പര
reciprocal demand,പരസ്പര ഡിമാന്‍ഡ്
reciprocate,ആദാനപ്രദാനം ചെയ്യുന്ന
reciprocity,"അന്യോന്യത, പാരസ്പരികത"
reckless,"ശ്രദ്ധയില്ലാത്ത, കരുതലില്ലാത്ത"
reckon,"ഗണിക്കുക, മതിക്കുക, വില മതിക്കുക"
reckonable service,ഗണനീയ സേവനം
reclamation,ഭൂമി നികത്തിയെടുക്കൽ
recognition,"അംഗീകാരം, തിരിച്ചറിയൽ"
recognized,അംഗീകൃത
recollect,ഓര്‍മിക്കുക
recommend,ശിപാര്‍ശ ചെയ്യുക
recommendation,ശിപാര്‍ശ
recommendatory letter,ശിപാര്‍ശക്കത്ത്
reconcile,ഒത്തുതീരുക
reconciliation,"ഒത്തുത്തീര്‍പ്പ്, അനുരഞ്ജനം"
reconsideration,പുനരാലോചന
reconstitution,"പുനഃസംഘടന, പുനഃസംവിധാനം"
reconstruction,"പുനര്‍നിര്‍മാണം, പുനരുദ്ധാരണം"
reconstruction of file,ഫയൽ പുനരുദ്ധരിക്കുക
record,റിക്കാര്‍ഡ് ഗുമസ്തന്‍
record book,റിക്കാര്‍ഡ് ബുക്ക്
record of service,"സര്‍വീസ് റിക്കാര്‍ഡ്, സേവനറിക്കാര്‍ഡ്"
recourse,"ഉപാശ്രയം, ശുശ്രൂഷ, പിന്‍തിരിഞ്ഞു പോകൽ"
recover,"വീണെ്‍ടടുക്കുക, വസൂലാക്കുക"
recovery,"വീണ്ടെടുക്കൽ, വസൂലാക്കൽ, ഈടാക്കൽ"
recreation,മനോവിനോദം
recruit,"റിക്രൂട്ട്, ചേര്‍ക്കുക, അംഗമാക്കുക"
recruiting authority,റിക്രൂട്ടിങ് അഥാറിറ്റി
recruitment,"റിക്രൂട്ട്മെന്‍റ്, ആളെടുപ്പ്"
recruitment rules,റിക്രൂട്ട്മെന്‍റ് നിയമങ്ങൾ
rectification,തെറ്റുതിരുത്തൽ
recurring,"ആവര്‍ത്തകം, ആവര്‍ത്തന സ്വഭാവമുള്ള"
red-tapism,ചുവപ്പുനാട സമ്പ്രദായം
redeem,"വീണ്ടെടുക്കുക, ഒഴിപ്പിക്കുക"
redemption,ഒറ്റി ഒഴിപ്പിക്കൽ
redirected,തിരികെ അയച്ച
redress,പരിഹാരം ഉണ്ടാക്കുക
redressal,പരിഹാരം
reduction,"കുറയ്ക്കൽ, കുറവ്, കിഴിവ്"
redundant,ആവശ്യത്തിലധികമായ
refer,"റഫര്‍ചെയ്യുക, പരാമര്‍ശിക്കുക, നോക്കുക"
reference,"റഫറി, മധ്യസ്ഥന്‍"
referral,പരാമര്‍ശി
refixation of pay,ശംബള പുനര്‍ നിര്‍ണയം
reform,പരിഷ്കാരം
refrain from,"പ്രവൃത്തിയിൽ നിന്ന് ഒഴിയുക, വിരതനാകുക"
refreshment,"ലഘുഭക്ഷണം, ഉപാഹാരം"
refund,"തിരിയെ അടയ്ക്കുക, മടക്കിക്കൊടുക്കൽ"
refundable,തിരിയെ കൊടുക്കാവുന്ന
refusal,"നിരസതം, വിസമ്മതം"
refuse,"തിരസ്കരിക്കുക, വിസമ്മതിക്കുക"
refused leave,നിരസിച്ച അവധി
refutation,"ഖണ്ഡനം, നിഷേധിക്കൽ"
regard,"അദരം, പരിഗണന, പരിഗണിക്കുക"
region,മേഖല
regional,മേഖല–പ്രാദേശിക
register,"രജിസ്റ്റര്‍, രജിസ്റ്റര്‍ചെയ്യുക, പതിക്കുക"
registered,"രജിസ്ടേര്‍ഡ്, രജിസ്റ്റര്‍ചെയ്ത"
registered office,റജിസ്റ്റര്‍ ചെയ്ത ആഫീസ്
registering authority,റജിസ്റ്റര്‍ ചെയ്യുന്ന അധികാരി
registration form,റജിസ്ട്രേഷന്‍ ഫോറം
registrtion fee,റജിസ്ട്രേഷന്‍ ഫീസ്
registry,"രജിസ്റ്റര്‍കച്ചേരി, രജിസ്റ്റര്‍ആക്കൽ"
regret,"വേദിക്കുക, വേദം"
regrouping,പുനര്‍വര്‍ഗീകരണം
regular,"നിയത, നിയമിത"
regular cadre,റഗുലര്‍കേഡര്‍
regular service,റഗുലര്‍ സര്‍വീസ്
regularization,"ക്രമീകരണം, നിയതമാക്കൽ"
regulations,"റഗുലേഷന്‍, വിനിയമങ്ങൾ"
rehabilitation,പുനരധിവാസം
rehearsal,"റിഹേഴ്സൽ, പൂര്‍വാഭ്യാസം"
reimburse,"പണം തിരിച്ചടയ്ക്കൽ, പ്രതിപൂരണം"
reinstate,"പുനഃസ്ഥാപിക്കുക, വീണ്ടും ജോലിയില്‍പ്രവേശിപ്പിക്കുക"
reiterate,തിരസ്കരിക്കുക
reject,തിരസ്കാരം
rejection,"നിരാകരണം, തിരസ്കരിക്കൽ"
rejoinder,പ്രത്യുത്തരം
relation,"സംബന്ധം, ബന്ധം"
relative,ബന്ധു
relative valuation,സാപേക്ഷികമായ വിലയിരുത്തൽ
relaxation,അയവ്
relaxation of rules,നിയമങ്ങളിൽ അയവ്
release,"മുക്തി, മോചനം, ഒഴിമുറി, വിതരണം"
release date,"വിമോചന തീയതി, പ്രകാശനം ചെയ്യുന്ന തീയതി"
relevant,"പ്രസക്തമായ, സംഗതം"
relevant papers,പ്രസക്തമ്യ കടലാസുകൾ
reliable,വിശ്വാസയോഗ്യമായ
relief,"സഹായം, ആശ്വാസം, ദുരിതാശ്വാസം, നിവൃത്തി, കാര്യമോചനം"
relief and rehabilitation,ദുരിതാശ്വാസവും പുനരധിവാസവും
relief list,ദുരിതാശ്വാസ സൂചി
relief works,ദുരിതാശ്വാസ പ്രവര്‍ത്തനങ്ങൾ
relieve,"റിലീവ് ചെയ്യുക, കാര്യമുക്തിനല്‍കുക"
reliever,റിലീവ് ചെയ്യുന്ന ഉദ്യോഗസ്ഥ൯
relinquishment,"വിട്ടൊഴിയൽ, കൈവിട്ടത്‍"
relinquishment of charge,ചാര്‍ജ് വിട്ടൊഴിയൽ
relocation,"പുന:സ്ഥാപനം, വേറോരിടത്ത് സ്ഥാപിക്കുക"
reluctance,അനിച്ഛ
remark,"അഭിപ്രായപ്പെടുക, കുറിപ്പ്"
remarks column,റിമാര്‍ക്ക് കോളം
remedial action,പരിഹാര പ്രവര്‍ത്തനങ്ങൾ
remedial measures,പരിഹാരനടപടികൾ
remedial transfer,"പരിഹാരപരമായ സ്ഥലംമാറ്റം, പ്രതിവിധിയായ"
reminder,"റിമൈന്‍ഡര്‍, ഓര്‍മക്കുറിപ്പ്"
remission,"ഇളവ്, കിഴിവനുവദിക്കൽ, പരിഹാരം, വിട്ടുകൊടുക്കൽ, പിന്‍വലിക്കൽ"
remit,"ഒടുക്കുക, പണം, അടയ്ക്കുക"
remitee,"റെമിറ്റി, പണം അയച്ചു കിട്ടിയവന്‍"
remittance,"പണം ഒടുക്ക്, അളവ്, അടച്ച തുക"
remote,"വിദൂര, വിദൂരത്തില്‍നിന്ന്, പരോക്ഷമായി"
remote control,വിദൂര നിയന്ത്രണം
removal,"നിഷ്കാസനം, നീക്കുക"
remuneration,"വേതനം, പ്രതിഫലം"
render,"കൊടുക്കുക, സമര്‍പ്പിക്കുക, തര്‍ജുമ ചെയ്യുക"
renewal,"നവീകരണം, പൊളിച്ചെഴുത്ത്, പുതുക്കൽ"
renewal of demand,ഡിമാന്‍ഡ് നവീകരണം
renounce,പരിത്യജിക്കുക
renovation,"പുതുക്കൽ, പുതുക്കിപ്പണിയൽ"
rent,"വാടക, വാട്ടം, വാരം"
rented space,വാടക സ്ഥലം
reopening,പുനരാരാംഭം
reorganization,പുനഃസംഘടന
reorientation,നവീകരണം
repairable,കേടുപാട് തീര്‍ക്കാവുന്ന
repatriate,ദേശപ്രത്യാവര്‍ത്തനം ചെയ്ക
repatriation of services,സേവന പ്രത്യാവര്‍ത്തനം
repay,"വീടുക, തിരിയെകൊടുക്കുക"
