English,Malayalam
Extraction pump,എക്സ്ട്രാക്ഷൻ പമ്പ്
Extrados,എക്സ്ട്രാഡോസ്
Extrasensation,എക്സ്ട്രാസെൻസേഷൻ
Extreme,അങ്ങേയറ്റം
Extrinsic conduction,ബാഹ്യ ചാലകം
Extrinsic energy,ബാഹ്യ ഊർജ്ജം
Extruded shape,പുറംതള്ളപ്പെട്ട രൂപം
Extrusion,എക്സ്ട്രൂഷൻ
Extrusion process,എക്സ്ട്രൂഷൻ പ്രക്രിയ
Eye bolt,ഐ ബോൾട്ട്
Eye lid,കണ്ണ് മൂടി
Fabrication department,ഫാബ്രിക്കേഷൻ വകുപ്പ്
Face board,ഫേസ് ബോർഡ്
Face centred,മുഖം കേന്ദ്രീകരിച്ചു
Face cutter,മുഖം കട്ടർ
Face mill,മുഖം മിൽ
Face of web,വെബിന്റെ മുഖം
Face plate,ഫെയ്സ് പ്ലേറ്റ്
Face width (gear),മുഖത്തിന്റെ വീതി (ഗിയർ)
Facial clearance,ഫേഷ്യൽ ക്ലിയറൻസ്
Facing sand,മണലിന് അഭിമുഖമായി
Facing,അഭിമുഖീകരിക്കുന്നു
Factor,ഘടകം
Factory,ഫാക്ടറി
Factory act,ഫാക്ടറി നിയമം
Fade,മങ്ങുക
Fade down,മങ്ങുക
Fade in,മങ്ങുക
Fade out,ഫേഡ് ഔട്ട്
Fade out,ഫേഡ് ഔട്ട്
Fail-safe operation,പരാജയപ്പെടാത്ത പ്രവർത്തനം
Failure mechanism,പരാജയ സംവിധാനം
Fair drawing,ന്യായമായ ഡ്രോയിംഗ്
Fan bolt,ഫാൻ ബോൾട്ട്
Fan draught,ഫാൻ ഡ്രാഫ്റ്റ്
Fan in,ഫാൻ ഇൻ
Fan out,ഫാൻ ഔട്ട്
Fast and loose pulley,വേഗമേറിയതും അയഞ്ഞതുമായ പുള്ളി
Fast coupling,വേഗത്തിലുള്ള സംയോജനം
Fast helix,ഫാസ്റ്റ് ഹെലിക്സ്
Fast needle,വേഗത്തിലുള്ള സൂചി
Fast pulley,വേഗത്തിലുള്ള പുള്ളി
Fast spiral,വേഗത്തിലുള്ള സർപ്പിളം
Fasten,ഉറപ്പിക്കുക
Fastner,ഫാസ്റ്റ്നർ
Fastening,ഉറപ്പിക്കുന്നു
Fastening,ഉറപ്പിക്കുന്നു
Fatigue,ക്ഷീണം
Fatigue crack,ക്ഷീണം വിള്ളൽ
Fault,തെറ്റ്
Fault test,തെറ്റ് പരിശോധന
Feather,തൂവൽ
Feather edge file,ഫെതർ എഡ്ജ് ഫയൽ
Feather key,തൂവൽ താക്കോൽ
Feed,ഫീഡ്
Feedback,പ്രതികരണം
Feed box,ഫീഡ് ബോക്സ്
Feed check value,ഫീഡ് ചെക്ക് മൂല്യം
Feed finger,വിരൽ തീറ്റുക
Feed heather,ഹീതറിന് ഭക്ഷണം കൊടുക്കുക
Feed mechanism,ഫീഡ് മെക്കാനിസം
Feed pump,ഫീഡ് പമ്പ്
Feed rod,തീറ്റ വടി
Feed shaft,ഫീഡ് ഷാഫ്റ്റ്
Feed time,തീറ്റ സമയം
Feed water,വെള്ളം കൊടുക്ക്
Felt jacket,തോന്നിയ ജാക്കറ്റ്
Female component,സ്ത്രീ ഘടകം
Ferrous scrap foundary,ഫെറസ് സ്ക്രാപ്പ് ഫൗണ്ടറി
Field weld,ഫീൽഡ് വെൽഡ്
File,ഫയൽ
File,ഫയൽ
File,ഫയൽ
Filing machine,ഫയലിംഗ് മെഷീൻ
Fillet,ഫില്ലറ്റ്
Fillet curve,ഫില്ലറ്റ് കർവ്
Fillet radius,ഫില്ലറ്റ് ആരം
Fillet weld,ഫില്ലറ്റ് വെൽഡ്
Film cooling,ഫിലിം കൂളിംഗ്
Film lubricant,ഫിലിം ലൂബ്രിക്കന്റ്
Filter,ഫിൽട്ടർ ചെയ്യുക
Fin efficiency,ഫിൻ കാര്യക്ഷമത
Fin superheater,ഫിൻ സൂപ്പർഹീറ്റർ
Fin,ഫിൻ
Fine finish,ഫൈൻ ഫിനിഷ്
Fine sand,നല്ല മണൽ
Fine screw thread,നല്ല സ്ക്രൂ ത്രെഡ്
Fine solder,നല്ല സോൾഡർ
Finger clamp,ഫിംഗർ ക്ലാമ്പ്
Finish cast,കാസ്റ്റ് പൂർത്തിയാക്കുക
Finish rolling,റോളിംഗ് പൂർത്തിയാക്കുക
Finishing tool,ഫിനിഷിംഗ് ഉപകരണം
Finite combustion rate,പരിമിതമായ ജ്വലന നിരക്ക്
Fire alarm,അഗ്നിബാധയറിയിപ്പ്
Fire door,അഗ്നി വാതിൽ
Fire hazard,അഗ്നി അപകടം
Fire proof,അഗ്നി തെളിവ്
Fire tube boiler,ഫയർ ട്യൂബ് ബോയിലർ
Firmer chisel,ഉറച്ച ഉളി
Fish bolt,ഫിഷ് ബോൾട്ട്
Fish eye,മീൻ കണ്ണ്
Fit,അനുയോജ്യം
Fitting allowance,ഫിറ്റിംഗ് അലവൻസ്
Fitting shop,ഫിറ്റിംഗ് ഷോപ്പ്
Fittings,ഫിറ്റിംഗ്സ്
Five canted file,അഞ്ച് കാൻഡ് ഫയൽ
Fixed blade,സ്ഥിരമായ ബ്ലേഡ്
Fixed nozzle,നിശ്ചിത നോസൽ
Fixed vane,നിശ്ചിത വാൻ
Fixture,ഫിക്സ്ചർ
Fixture,ഫിക്സ്ചർ
Flake,അടരുകളായി
Flame,തീജ്വാല
Flame annealing,ഫ്ലേം അനീലിംഗ്
Flame front,ഫ്ലേം ഫ്രണ്ട്
Flame hardening,ജ്വാല കാഠിന്യം
Flame hardening blow pipe,ഫ്ലേം ഹാർഡനിംഗ് ബ്ലോ പൈപ്പ്
Flame ignition,ജ്വാല ജ്വലനം
Flame normalising,ഫ്ലേം നോർമലൈസേഷൻ
Flame plating,ഫ്ലേം പ്ലേറ്റിംഗ്
Flame priming,ഫ്ലേം പ്രൈമിംഗ്
Flame welding,ഫ്ലേം വെൽഡിംഗ്
Flange coupling,ഫ്ലേഞ്ച് കപ്ലിംഗ്
Flanged joint,ഫ്ലാംഗഡ് ജോയിന്റ്
"Flank, clearing","ഫ്ലാങ്ക്, ക്ലിയറിംഗ്"
Flash,ഫ്ലാഷ്
Flash,ഫ്ലാഷ്
Flash boiler,ഫ്ലാഷ് ബോയിലർ
Flash gas,ഫ്ലാഷ് ഗ്യാസ്
Flash welding,ഫ്ലാഷ് വെൽഡിംഗ്
Flat chisel,പരന്ന ഉളി
Flat drill,ഫ്ലാറ്റ് ഡ്രിൽ
Flexibility,വഴക്കം
Flexible coupling,ഫ്ലെക്സിബിൾ കപ്ലിംഗ്
Float value,ഫ്ലോട്ട് മൂല്യം
Flow,ഒഴുക്ക്
Flow curve,ഫ്ലോ കർവ്
Flow diagram,ഫ്ലോ ഡയഗ്രം
Flow energy,ഫ്ലോ ഊർജ്ജം
Fluctuation,ഏറ്റക്കുറച്ചിലുകൾ
Fluid,ദ്രാവകം
Fluid clutch,ഫ്ലൂയിഡ് ക്ലച്ച്
Fluid coupling,ഫ്ലൂയിഡ് കപ്ലിംഗ്
Fluid drive,ഫ്ലൂയിഡ് ഡ്രൈവ്
Fluid mechanics,ദ്രാവക മെക്കാനിക്സ്
Flume,ഫ്ലൂം
Flush,ഫ്ലഷ്
Flush weld,ഫ്ലഷ് വെൽഡ്
Flux,ഫ്ലക്സ്
Flux,ഫ്ലക്സ്
Flux,ഫ്ലക്സ്
Flux oil,ഫ്ലക്സ് ഓയിൽ
Flywheel,ഫ്ലൈ വീൽ
Flywheel,ഫ്ലൈ വീൽ
Follower,അനുയായി
Foot brake,കാൽ ബ്രേക്ക്
Foot valve,കാൽ വാൽവ്
Force,ശക്തിയാണ്
Force diagram,ഫോഴ്സ് ഡയഗ്രം
Forced convection boiling,നിർബന്ധിത സംവഹന തിളപ്പിക്കൽ
Forced draft,നിർബന്ധിത ഡ്രാഫ്റ്റ്
Forced vortex,നിർബന്ധിത ചുഴി
Forced-air cooled,നിർബന്ധിത വായു തണുപ്പിച്ചു
Forced pump,നിർബന്ധിത പമ്പ്
Forehand welding,ഫോർഹാൻഡ് വെൽഡിംഗ്
Foreman,ഫോർമാൻ
Forge,ഫോർജ്
Forge,ഫോർജ്
Forge,ഫോർജ്
Forge welding,ഫോർജ് വെൽഡിംഗ്
Forge crank,ഫോർജ് ക്രാങ്ക്
Forging,കെട്ടിച്ചമയ്ക്കൽ
Forging machine,വ്യാജ യന്ത്രം
Forging machine die,ഫോർജിംഗ് മെഷീൻ ഡൈ
Forging press,ഫോർജിംഗ് പ്രസ്സ്
Forging temperature,കെട്ടിച്ചമച്ച താപനില
Form cutter,ഫോം കട്ടർ
Form dye,ഫോം ഡൈ
Form factor,ഫോം ഘടകം
Forming,രൂപീകരിക്കുന്നു
Form tool,ഫോം ടൂൾ
Form-turning,ഫോം-ടേണിംഗ്
Forward axle,ഫോർവേഡ് ആക്സിൽ
Foundation bolt,ഫൗണ്ടേഷൻ ബോൾട്ട്
Foundary,ഫൗണ്ടറി
Foundary work,അടിസ്ഥാന പ്രവർത്തനം
Four bar chain,നാല് ബാർ ചെയിൻ
Four cylinder petrol engine,നാല് സിലിണ്ടർ പെട്രോൾ എഞ്ചിൻ
Four jaw chuck,നാല് താടിയെല്ല്
Four stroke cycle engine,നാല് സ്ട്രോക്ക് സൈക്കിൾ എഞ്ചിൻ
Four stroke engine,നാല് സ്ട്രോക്ക് എഞ്ചിൻ
Four wheel drive,നാല് വീൽ ഡ്രൈവ്
Frame,ഫ്രെയിം
Frame,ഫ്രെയിം
Free expansion,സ്വതന്ത്ര വിപുലീകരണം
Free fit,സൗജന്യ ഫിറ്റ്
Free piston engine,സ്വതന്ത്ര പിസ്റ്റൺ എഞ്ചിൻ
Free wheel,സ്വതന്ത്ര ചക്രം
Freezing,മരവിപ്പിക്കുന്നത്
Freight Locomotive,ചരക്ക് ലോക്കോമോട്ടീവ്
French curve,ഫ്രഞ്ച് വക്രം
Frequency converter,ഫ്രീക്വൻസി കൺവെർട്ടർ
Frequency of vibration,വൈബ്രേഷന്റെ ആവൃത്തി
Frequency response curve,ഫ്രീക്വൻസി പ്രതികരണ വക്രം
Friction clutch,ഫ്രിക്ഷൻ ക്ലച്ച്
Friction coupling,ഘർഷണ സംയോജനം
Friction drive,ഫ്രിക്ഷൻ ഡ്രൈവ്
Friction force,ഘർഷണ ശക്തി
Friction head,ഘർഷണ തല
Friction horse power,ഘർഷണ കുതിരശക്തി
Friction loss,ഘർഷണ നഷ്ടം
Friction wheel,ഘർഷണ ചക്രം
Frictional contect,ഘർഷണ സമ്പർക്കം
Frictional damper,ഘർഷണപരമായ ഡാംപർ
Frictional drag,ഘർഷണപരമായ ഡ്രാഗ്
Front drive axle,ഫ്രണ്ട് ഡ്രൈവ് ആക്സിൽ
Front suspension,ഫ്രണ്ട് സസ്പെൻഷൻ
Fuel air ratio,ഇന്ധന വായു അനുപാതം
Fuel injection,ഇന്ധന കുത്തിവയ്പ്പ്
Fuel injection equipment,ഇന്ധന കുത്തിവയ്പ്പ് ഉപകരണങ്ങൾ
Fuel injection system,ഇന്ധന കുത്തിവയ്പ്പ് സംവിധാനം
Fuel pump,ഇന്ധന പമ്പ്
Fulcrum,ഫുൾക്രം
Full depth tooth,മുഴുവൻ ആഴത്തിലുള്ള പല്ല്
Fuller,ഫുള്ളർ
Furance,ഫ്യൂറൻസ്
Furance slag,ഫ്യൂറൻസ് സ്ലാഗ്
Fuselage,ഫ്യൂസ്ലേജ്
Fusible alloy,ഫ്യൂസിബിൾ അലോയ്
Fusion,ഫ്യൂഷൻ
Fusion,ഫ്യൂഷൻ
Fusion point,ഫ്യൂഷൻ പോയിന്റ്
Gadget,ഗാഡ്ജെറ്റ്
Galvanise,ഗാൽവാനൈസ് ചെയ്യുക
Galvanised sheet,ഗാൽവാനൈസ്ഡ് ഷീറ്റ്
Galvanising,ഗാൽവനൈസിംഗ്
Gang milling,ഗാംഗ് മില്ലിംഗ്
Gantry crane,ഗാൻട്രി ക്രെയിൻ
Gas burner,ഗ്യാസ് ബർണർ
Gas chromatography analyser,ഗ്യാസ് ക്രോമാറ്റോഗ്രാഫി അനലൈസർ
Gas engine,ഗ്യാസ് എഞ്ചിൻ
Gas turbine,ഗ്യാസ് ടർബൈൻ
Gas welding,ഗ്യാസ് വെൽഡിംഗ്
Gasket,ഗാസ്കറ്റ്
Gasoline,ഗാസോലിന്
Gauge,ഗേജ്
Gauge,ഗേജ്
Gauge pressure,മർദ്ദം അളക്കുക
Gear,ഗിയര്
Gear,ഗിയര്
Gear blank,ഗിയർ ശൂന്യം
Gear box,ഗിയർ ബോക്സ്
Gear case,ഗിയർ കേസ്
Gear cutter,ഗിയർ കട്ടർ
Gear cutting,ഗിയർ കട്ടിംഗ്
Gear hob,ഗിയർ ഹോബ്
Geared lathe,സജ്ജീകരിച്ച ലാത്ത്
Gear oil,ഗിയർ ഓയിൽ
Gear pump,ഗിയർ പമ്പ്
Gear ratio,ഗിയർ അനുപാതം
Gear teeth,ഗിയർ പല്ലുകൾ
Gear train,ഗിയർ ട്രെയിൻ
Gear wheel,ഗിയർ വീൽ
Geras in mesh,മെഷിൽ ജെറസ്
Gib,ജിബ്
Gib and cotter joint,ജിബ് ആൻഡ് കോട്ടർ ജോയിന്റ്
Gib headed key,ജിബ് ഹെഡ്ഡ് കീ
Gibb's free energy,ഗിബ്ബിന്റെ സ്വതന്ത്ര ഊർജ്ജം
Girder,ഗർഡർ
Girder bridge,ഗർഡർ പാലം
Gland,ഗ്രന്ഥി
Gland bush,ഗ്രന്ഥി മുൾപടർപ്പു
Glass wool,ഗ്ലാസ് കമ്പിളി
Glaze,ഗ്ലേസ്
Glaze,ഗ്ലേസ്
Gooseneck clamp,Gooseneck clamp
Gooseneck punch,Gooseneck പഞ്ച്
Gordon-Rankine formula,ഗോർഡൻ-റാങ്കൈൻ ഫോർമുല
Gouging,ഗൗഗിംഗ്
Government of turbine,ടർബൈൻ സർക്കാർ
Governor,ഗവർണർ
Governor ball,ഗവർണർ പന്ത്
Governor effort,ഗവർണറുടെ ശ്രമം
Governor hunting,ഗവർണർ വേട്ട
Governor power,ഗവർണർ അധികാരം
Grade,ഗ്രേഡ്
Grade,ഗ്രേഡ്
Grade,ഗ്രേഡ്
Grade of wheel,ചക്രത്തിന്റെ ഗ്രേഡ്
Gradual expansion,ക്രമാനുഗതമായ വികാസം
Graduated drum,ബിരുദം നേടിയ ഡ്രം
Grain,ധാന്യം
Grain size,ധാന്യത്തിന്റെ വലിപ്പം
Grand total heat,വലിയ മൊത്തം ചൂട്
Graph,ഗ്രാഫ്
Grate bar,താമ്രജാലം ബാർ
Gravimetric analyser,ഗ്രാവിമെട്രിക് അനലൈസർ
Gravity control,ഗുരുത്വാകർഷണ നിയന്ത്രണം
Gravity mould casting,ഗ്രാവിറ്റി മോൾഡ് കാസ്റ്റിംഗ്
Grease,ഗ്രീസ്
Grease cup,ഗ്രീസ് കപ്പ്
Grease gun,ഗ്രീസ് തോക്ക്
Grease nipple,ഗ്രീസ് മുലക്കണ്ണ്
Grease retainer,ഗ്രീസ് നിലനിർത്തുന്നയാൾ
Greasing,നെയ്യും
Green core,പച്ച കോർ
Green sand,പച്ച മണൽ
Green sand mould,പച്ച മണൽ പൂപ്പൽ
Grey cast iron,ഗ്രേ കാസ്റ്റ് ഇരുമ്പ്
Grinder,ഗ്രൈൻഡർ
Grinding coolant,ഗ്രൈൻഡിംഗ് കൂളന്റ്
Grinding machine,അരക്കൽ യന്ത്രം
Grinding wheel,അരക്കൽ ചക്രം
Groove,ഗ്രോവ്
Grooved pulley,തോപ്പുള്ള പുള്ളി
Gross head,മൊത്തത്തിലുള്ള തല
Gross horsepower,മൊത്തം കുതിരശക്തി
Gross strength,മൊത്തത്തിലുള്ള ശക്തി
Group techonology,ഗ്രൂപ്പ് ടെക്നോളജി
Grub screw,ഗ്രബ് സ്ക്രൂ
Guide bar,ഗൈഡ് ബാർ
Guide blade,ഗൈഡ് ബ്ലേഡ്
Guide pin,ഗൈഡ് പിൻ
Guide plate,ഗൈഡ് പ്ലേറ്റ്
Guide pulley,ഗൈഡ് പുള്ളി
Guide wheel,ഗൈഡ് വീൽ
Gun metal,തോക്ക് ലോഹം
Gun metal bush,തോക്ക് മെറ്റൽ ബുഷ്
Gun powder,തോക്ക് പൊടി
Gun,തോക്ക്
Gun,തോക്ക്
Guy worm drive,ഗയ് വേം ഡ്രൈവ്
H. Section,എച്ച് വിഭാഗം
Hack saw,ഹാക്ക് കണ്ടു
Hacksaw blade,ഹാക്സോ ബ്ലേഡ്
Hair crack,മുടി പൊട്ടൽ
Hair line crack,ഹെയർ ലൈൻ ക്രാക്ക്
Half lap joint,ഹാഫ് ലാപ് ജോയിന്റ്
Half  round chisel,പകുതി വൃത്താകൃതിയിലുള്ള ഉളി
Half round file,പകുതി വൃത്താകൃതിയിലുള്ള ഫയൽ
Half section,പകുതി വിഭാഗം
Hand brake,ഹാൻഡ് ബ്രേക്ക്
Hand chipping,കൈ ചിപ്പിംഗ്
Hand drill,ഹാൻഡ് ഡ്രിൽ
Hand feeding,കൈ ഭക്ഷണം
Hand file,കൈ ഫയൽ
Hand hammer,കൈ ചുറ്റിക
Hand mill,ഹാൻഡ് മിൽ
Hand operated device,കൈകൊണ്ട് പ്രവർത്തിക്കുന്ന ഉപകരണം
Hand press,കൈ അമർത്തുക
Hand saw,കൈവാള്
Hand welding,കൈ വെൽഡിംഗ്
Hand wheel,കൈ ചക്രം
Handling,കൈകാര്യം ചെയ്യുന്നു
Hanger,ഹാംഗർ
Hanger bolt,ഹാംഗർ ബോൾട്ട്
Hard drawn,കഠിനമായി വരച്ചു
Hard solder,ഹാർഡ് സോൾഡർ
Hardenability,കാഠിന്യം
Hardened steel,കഠിനമാക്കിയ ഉരുക്ക്
Hardening,കാഠിന്യം
Hardware,ഹാർഡ്‌വെയർ
Harmonic analyser,ഹാർമോണിക് അനലൈസർ
Harmonic analysis,ഹാർമോണിക് വിശകലനം
Harmonic distortion,ഹാർമോണിക് വക്രീകരണം
Hartnell governor,ഹാർട്ട്നെൽ ഗവർണർ
Haulage divice,ചരക്ക് വിഭജനം
Hauling equipment,കയറ്റുമതി ഉപകരണങ്ങൾ
Head,തല
Head,തല
Head race,തല ഓട്ടം
Head stock,ഹെഡ് സ്റ്റോക്ക്
Heading die,തല ചായ്ക്കുന്നു
Hearth,അടുപ്പ്
Heat,ചൂട്
Heat accumulator,ഹീറ്റ് അക്യുമുലേറ്റർ
Heat balance,ചൂട് ബാലൻസ്
Heat balance sheet,ചൂട് ബാലൻസ് ഷീറ്റ്
Heat bath,ചൂട് കുളി
Heat content,ചൂട് ഉള്ളടക്കം
Heat control,ചൂട് നിയന്ത്രണം
Heat convection,താപ സംവഹനം
Heat dissipation,താപ വിസർജ്ജനം
Heat dissipation,താപ വിസർജ്ജനം
Heat drop,ചൂട് ഡ്രോപ്പ്
Heat engine,ചൂട് എഞ്ചിൻ
Heat equivalent,ചൂട് തുല്യമാണ്
Heat exchanger,ചൂട് എക്സ്ചേഞ്ചർ
Heat flux,താപസംവഹനത്തെ
Heat gain,താപ നേട്ടം
Heating flame,ചൂടാക്കൽ ജ്വാല
Heat loss,താപ നഷ്ടം
Heat of combustion,ജ്വലനത്തിന്റെ ചൂട്
Heat of dilution,നേർപ്പിക്കുന്ന ചൂട്
Heat of evaporation,ബാഷ്പീകരണത്തിന്റെ ചൂട്
Heat of fusion,സംയോജനത്തിന്റെ ചൂട്
Heat proof,ചൂട് തെളിവ്
Heat pump,ചൂട് പമ്പ്
Heat rejection,ചൂട് നിരസിക്കൽ
Heat reservoir,ചൂട് റിസർവോയർ
Heat sink,ഹീറ്റ് സിങ്ക്
Heat source,താപ സ്രോതസ്സ്
Heat transfer coefficient,താപ കൈമാറ്റ ഗുണകം
Heat treatment,ചൂട് ചികിത്സ
Heavey duty drilling machine,ഹെവി ഡ്യൂട്ടി ഡ്രില്ലിംഗ് മെഷീൻ
Heavy duty machine,ഹെവി ഡ്യൂട്ടി യന്ത്രം
Heavy duty oil,കനത്ത എണ്ണ
Heavy metal,കനത്ത ലോഹം
Heel,കുതികാൽ
Helical cutter,ഹെലിക്കൽ കട്ടർ
Helical gear,ഹെലിക്കൽ ഗിയർ
Helieal spring,ഹീലിയൽ സ്പ്രിംഗ്
Helix,ഹെലിക്സ്
Helper spring,സഹായ വസന്തം
Hexagon nut,ഷഡ്ഭുജ നട്ട്
High compression,ഉയർന്ന കംപ്രഷൻ
High explosive,ഉയർന്ന സ്ഫോടകവസ്തു
High finish,ഉയർന്ന ഫിനിഷ്
High pressure chamber,ഉയർന്ന മർദ്ദം മുറി
High pressure cylinder,ഉയർന്ന മർദ്ദമുള്ള സിലിണ്ടർ
High speed engine,ഉയർന്ന വേഗതയുള്ള എഞ്ചിൻ
High tensile steel,ഉയർന്ന ടെൻസൈൽ സ്റ്റീൽ
High vacuum jet condenser,ഉയർന്ന വാക്വം ജെറ്റ് കണ്ടൻസർ
Higher pair,ഉയർന്ന ജോഡി
Hinge,ഹിഞ്ച്
Hob,ഹോബ്
Hobbing machine,ഹോബിംഗ് മെഷീൻ
Hobbing,ഹോബിംഗ്
Hoist,ഉയർത്തുക
Hoisting drum,ഉയർത്തുന്ന ഡ്രം
Hoistion motor,ഹോയിഷൻ മോട്ടോർ
Hoist line,ഹോസ്റ്റ് ലൈൻ
Holding down bolt,ബോൾട്ട് അമർത്തിപ്പിടിക്കുന്നു
Hole,ദ്വാരം
Hole,ദ്വാരം
Hollow piston,പൊള്ളയായ പിസ്റ്റൺ
Hollow piston rod,പൊള്ളയായ പിസ്റ്റൺ വടി
Hollow shaft,പൊള്ളയായ ഷാഫ്റ്റ്
Homogeneous yielding,ഏകതാനമായ വിളവ്
Hone,ഹോൺ
Honing,ബഹുമാനിക്കുന്നു
Honing machine,ഹോണിംഗ് മെഷീൻ
Hook bolt,ഹുക്ക് ബോൾട്ട്
Hook gauge,ഹുക്ക് ഗേജ്
Hooke's law,ഹുക്കിന്റെ നിയമം
Hook's joint,ഹുക്കിന്റെ ജോയിന്റ്
Hoop stress,ഹൂപ്പ് സമ്മർദ്ദം
Hopper,ഹോപ്പർ
Horizontal boring machine,തിരശ്ചീന ബോറടിപ്പിക്കുന്ന യന്ത്രം
Horizontal drive,തിരശ്ചീന ഡ്രൈവ്
Horizontal pull,തിരശ്ചീനമായി വലിക്കുക
Horn,കൊമ്പ്
Horse power,കുതിരശക്തി
Hot air engine,ഹോട്ട് എയർ എഞ്ചിൻ
Hot bed,ചൂടുള്ള കിടക്ക
Hot chisel,ചൂടുള്ള ഉളി
Hot cutting,ചൂടുള്ള കട്ടിംഗ്
Hot die steel,ഹോട്ട് ഡൈ സ്റ്റീൽ
Hot drawing,ചൂടുള്ള ഡ്രോയിംഗ്
Hot forging,ചൂടുള്ള ഫോർജിംഗ്
Hot forming,ചൂടുള്ള രൂപീകരണം
Hot junction,ചൂടുള്ള ജംഗ്ഷൻ
Hot machining,ചൂടുള്ള മെഷീനിംഗ്
Hot plate,ചൂടുള്ള പ്ലേറ്റ്
Hot quenching,ചൂട് കെടുത്തൽ
Hot rolled,ഹോട്ട് റോൾഡ്
Hot rolling,ചൂടുള്ള റോളിംഗ്
Hot spot,ഹോട്ട് സ്പോട്ട്
Hot tool hardness,ഹോട്ട് ടൂൾ കാഠിന്യം
Hot working process,ചൂടുള്ള പ്രവർത്തന പ്രക്രിയ
Humidity,ഈർപ്പം
Hunting,വേട്ടയാടൽ
Hunting of governor,ഗവർണറെ വേട്ടയാടുന്നു
Hydraulic accumulator,ഹൈഡ്രോളിക് അക്യുമുലേറ്റർ
Hydraulic brake,ഹൈഡ്രോളിക് ബ്രേക്ക്
Hydraulic clutch,ഹൈഡ്രോളിക് ക്ലച്ച്
Hydraulic coupling,ഹൈഡ്രോളിക് കപ്ലിംഗ്
Hydraulic crane,ഹൈഡ്രോളിക് ക്രെയിൻ
Hydraulic cylinder,ഹൈഡ്രോളിക് സിലിണ്ടർ
Hydraulic drive,ഹൈഡ്രോളിക് ഡ്രൈവ്
Hydraulic horse power,ഹൈഡ്രോളിക് കുതിരശക്തി
Hydraulic machine,ഹൈഡ്രോളിക് യന്ത്രം
Hydraulic motor,ഹൈഡ്രോളിക് മോട്ടോർ
Hydraulic pressure,ഹൈഡ്രോളിക് മർദ്ദം
Hydraulic shaper,ഹൈഡ്രോളിക് ഷേപ്പർ
Hydrodynamic brake,ഹൈഡ്രോഡൈനാമിക് ബ്രേക്ക്
Hydrodynamic lubrication,ഹൈഡ്രോഡൈനാമിക് ലൂബ്രിക്കേഷൻ
Hydrodynamics,ഹൈഡ്രോഡൈനാമിക്സ്
Hydrofuel,ജല ഇന്ധനം
Hydromechanical brake,ഹൈഡ്രോമെക്കാനിക്കൽ ബ്രേക്ക്
Hydropress,ഹൈഡ്രോപ്രസ്സ്
Hyperbolic expansion,ഹൈപ്പർബോളിക് വികാസം
Hypocycloid,ഹൈപ്പോസൈക്ലോയിഡ്
Hypoid bevel gear,ഹൈപ്പോയിഡ് ബെവൽ ഗിയർ
Hypothetical cycle,സാങ്കൽപ്പിക ചക്രം
Hysteresis coefficient,ഹിസ്റ്റെറിസിസ് കോഫിഫിഷ്യന്റ്
Hysteresis damping,ഹിസ്റ്റെറിസിസ് ഡാംപിംഗ്
I. C. engine,ഐസി എഞ്ചിൻ
I-beam,ഐ-ബീം
Ideal air capacity,അനുയോജ്യമായ വായു ശേഷി
Ideal air cycle,അനുയോജ്യമായ വായുചക്രം
Ideal cycle,ഐഡിയൽ സൈക്കിൾ
Ideal diagram,അനുയോജ്യമായ ഡയഗ്രം
Ideal gas,അനുയോജ്യമായ വാതകം
Ideal regenerative cycle,അനുയോജ്യമായ പുനരുൽപ്പാദന ചക്രം
Ideal reversible cycle,അനുയോജ്യമായ റിവേഴ്സിബിൾ സൈക്കിൾ
Idle cycle,നിഷ്ക്രിയ ചക്രം
Idle equipment,നിഷ്ക്രിയ ഉപകരണങ്ങൾ
Idle time,നിഷ്ക്രിയ സമയം
Idler gear,നിഷ്ക്രിയ ഗിയർ
Idler pulley,ഇഡ്‌ലർ പുള്ളി
Idling,നിഷ്ക്രിയത്വം
Ignition advance,ഇഗ്നിഷൻ അഡ്വാൻസ്
Ignition gear,ഇഗ്നിഷൻ ഗിയർ
Ignition lag,ഇഗ്നിഷൻ ലാഗ്
Ignition lead,ഇഗ്നിഷൻ ലീഡ്
Ignition,ജ്വലനം
Immersible apparatus,മുങ്ങിപ്പോകാവുന്ന ഉപകരണം
Impact,ആഘാതം
Impact bending,ഇംപാക്ട് ബെൻഡിംഗ്
Impact extrusion,ഇംപാക്ട് എക്സ്ട്രൂഷൻ
Impact loss,ആഘാത നഷ്ടം
Impact noise,ആഘാത ശബ്ദം
Impact strength,സ്വാധീന ശക്തി
Impact test,ഇംപാക്ട് ടെസ്റ്റ്
Impact testing machine,ഇംപാക്ട് ടെസ്റ്റിംഗ് മെഷീൻ
Impeller,ഇംപെല്ലർ
Impeller eye,ഇംപെല്ലർ കണ്ണ്
Impulse,പ്രേരണ
Impulse,പ്രേരണ
Impulse blade,ഇംപൾസ് ബ്ലേഡ്
Impulse reaction turbine,ഇംപൾസ് റിയാക്ഷൻ ടർബൈൻ
Impulse wheel,ഇംപൾസ് വീൽ
Incipient combustion,പ്രാരംഭ ജ്വലനം
Inclined shaft,ചെരിഞ്ഞ ഷാഫ്റ്റ്
Incomplete thread,അപൂർണ്ണമായ ത്രെഡ്
Incompressible,അപ്രസക്തമായ
Incumbustibility,ഇൻക്യുംബസ്റ്റിബിലിറ്റി
Indentation,ഇൻഡന്റേഷൻ
