Punjabi,English
ਕਾਉਂਸਲਿੰਗ,Counselling
ਕਾ counter ਂਟਰ,Counter
ਕਾ counter ਂਟਰ ਐਕਸ਼ਨ,Counter action
ਜਵਾਬੀ ਹਲਫੀਆ ਬਿਆਨ,Counter affidavit
ਕਾ counter ਂਟਰ ਚਾਰਜ,Counter charge
ਕਾ counter ਂਟਰ ਦਾ ਦਾਅਵਾ,Counter claim
ਨਕਲੀ ਕਰੰਸੀ,Counterfeit currency
ਨਕਲੀ,Counterfeiting
ਕਾਉਂਟਰਫਾਇਲ,Counterfoil
ਵਿਰੋਧੀ ਪੇਸ਼ਕਸ਼,Counter offer
ਕਾ toud ਂਟਰਸਾਈਨ,Countersign
ਕੂੜਾ,Coup
ਕੂਪਨ,Coupon
ਕੋਰੀਅਰ,Courier
ਕੋਰੀਅਰ ਸੇਵਾ,Courier service
ਕੋਰਸ,Course
ਅਧਿਐਨ ਦੇ ਕੋਰਸ,Courses of study
ਕੋਰਟ ਕੇਸ,Court case
ਸ਼ਿਸ਼ਟਾਚਾਰ,Courtesy
ਛੋਟੇ ਕਾਰਨਾਂ ਦੀ ਅਦਾਲਤ,Court of small causes
ਨੇਮ,Covenant
ਕਵਰ,Cover
ਕਵਰੇਜ,Coverage
ਪੱਤਰ ਨੂੰ covering ੱਕਣਾ,Covering letter
ਮੀਮੋ ਨੂੰ covering ੱਕਣਾ,Covering memo
ਨੋਟਿੰਗ ਨੋਟ,Covering note
ਕਰੈਸ਼ ਪ੍ਰੋਗਰਾਮ,Crash programme
ਕਰੀਮੀ ਪਰਤ,Creamy layer
ਸ੍ਰਿਸ਼ਟੀ,Creation
ਰਚਨਾਤਮਕ,Creative
ਰਚਨਾਤਮਕਤਾ,Creativity
ਕਰੈਕ,Creche
ਪ੍ਰਮਾਣ ਪੱਤਰ,Credentials committe
ਭਰੋਸੇਯੋਗਤਾ,Credibility
ਕ੍ਰੈਡਿਟ,Credit
ਕ੍ਰੈਡਿਟਯੋਗ,Creditable
ਕ੍ਰੈਡਿਟ ਸਲਾਹ,Credit advice
ਕ੍ਰੈਡਿਟ ਅਤੇ ਥ੍ਰਿਫਟ ਸੁਸਾਇਟੀ,Credit and thrift society
ਕਰੇਡਿਟ ਕਾਰਡ,Credit card
ਕ੍ਰੈਡਿਟ ਸਹੂਲਤਾਂ,Credit facilities
ਕ੍ਰੈਡਿਟ ਇੰਦਰਾਜ਼,Credit entry
ਕਰੈਡਿਟ ਸੂਚਨਾ,Credit note
ਲੈਣਦਾਰ,Creditor
ਸਸਕਾਰ,Cremation
ਸਸਕਾਰ ਗਰਾਉਂਡ,Cremation ground
ਚਾਲਕ ਦਲ,Crew
ਅਪਰਾਧ,Crime
ਅਪਰਾਧ ਦੀ ਉਲੰਘਣਾ ਦੀ ਉਲੰਘਣਾ,Criminal breach of trust
ਅਪਰਾਧਿਕ ਅਦਾਲਤ,Criminal court
ਅਪਰਾਧਿਕ ਲਾਪਰਵਾਹੀ,Criminal negligence
ਅਪਰਾਧਿਕ ਅਪਰਾਧ,Criminal offence
ਅਪਰਾਧਿਕ ਪ੍ਰਕਿਰਿਆ ਕੋਡ,Criminal procedure code
ਸੰਕਟ,Crisis
ਸੰਕਟ ਪ੍ਰਬੰਧਨ,Crisis management
ਮਾਪਦੰਡ,Criterion
ਆਲੋਚਨਾ,Criticism
ਕਰਾਸ,Cross
ਕਰਾਸ ਨਸਲ,Cross breed
ਕਰਾਸ ਚੈਕਿੰਗ,Cross checking
ਕ੍ਰਾਸਡ ਚੈੱਕ,Crossed cheque
ਕਰਾਸ ਪ੍ਰੀਖਿਆ,Cross examination
ਕਰਾਸ ਦਾ ਹਵਾਲਾ,Cross reference
ਕਰਾਸ ਵੋਟ,Cross voting
ਮਹੱਤਵਪੂਰਨ ਤਾਰੀਖ,Crucial date
ਕੱਚਾ,Crude
ਦੋਸ਼ੀ ਹਾਈਡਾਈਡ,Culpable homicide
ਦੋਸ਼ੀ,Culprit
ਕਾਸ਼ਤ,Cultivation
ਸਭਿਆਚਾਰਕ ਵਟਾਂਦਰੇ ਦਾ ਪ੍ਰੋਗਰਾਮ,Cultural exchange programme
ਸੰਚਤ,Cumulative
ਮੁਦਰਾ,Currency
ਮੁਦਰਾ ਐਕਸਚੇਂਜ,Currency exchange
ਮੁਦਰਾ ਨੋਟ,Currency note
ਮੌਜੂਦਾ,Current
ਮੌਜੂਦਾ ਖਾਤਾ,Current account
ਮੌਜੂਦਾ ਡਿ duties ਟੀਆਂ,Current duties
ਮੌਜੂਦਾ ਸੈਸ਼ਨ,Current session
ਬਾਔਡੇਟਾ,Curriculum vitae
ਕਰਟੈਲ,Curtail
ਰਖਵਾਲਾ,Custodian
ਹਿਰਾਸਤ,Custody
ਪ੍ਰਥਾ,Custom
ਪ੍ਰਥਾ,Custom
ਰਿਵਾਜ,Customary
ਰਿਵਾਜ ਵਿਧੀ,Customary procedure
ਕਸਟਮ ਡਿ duty ਟੀ,Custom duty
ਗਾਹਕ,Customer
ਗਾਹਕ ਦੋਸਤਾਨਾ,Customer friendly
ਕਸਟਮ ਇਮਤਿਹਾਨ,Custom examination
ਘਟਾਓੁਣਾ,Cut down
ਮੋਸ਼ਨ ਕੱਟ,Cut motion
ਤਾਰੀਖ ਕੱਟ,Cut off date
ਚੱਕਰ,Cycle
ਰੋਜ਼ਾਨਾ,Daily
ਰੋਜ਼ਾਨਾ ਭੱਤਾ,Daily allowance
ਰੋਜ਼ਾਨਾ ਡਾਇਰੀ,Daily diary
ਰੋਜ਼ਾਨਾ ਰਜਿਸਟਰ,Daily register
ਰੋਜਾਨਾ ਰਿਪੋਰਟ,Daily report
ਰੋਜ਼ਾਨਾ ਰੁਟੀਨ,Daily routine
ਰੋਜ਼ਾਨਾ ਤਨਖਾਹ,Daily wages
ਡੀਕ ਪੜਾਅ,Dak stage
ਡਕ ਟਰੇ,Dak tray
ਨੁਕਸਾਨ,Damage
ਨੁਕਸਾਨ,Damages
ਖਤਰਨਾਕ,Dangerous
ਹਿੰਮਤ,Daring
ਡਾਟਾ,Data
ਡਾਟਾ ਬੈਂਕ,Data bank
ਡਾਟਾ ਬੇਸ,Data base
ਡਾਟਾ ਇਕੱਠਾ ਕਰਨ,Data collection
ਡਾਟਾ ਫੀਡਿੰਗ,Data feeding
ਡਾਟਾ ਪ੍ਰੋਸੈਸਿੰਗ,Data processing
ਤਾਰੀਖ਼,Date
ਪਹੁੰਚਣ ਦੀ ਤਾਰੀਖ,Date of arrival
ਜਨਮ ਤਾਰੀਖ,Date of birth
ਰਵਾਨਗੀ ਦੀ ਤਾਰੀਖ,Date of departure
ਡਿਸਚਾਰਜ ਦੀ ਮਿਤੀ,Date of discharge
ਮਿਆਦ ਪੂਰੀ ਹੋਣ ਦੀ ਮਿਤੀ,Date of maturity
ਰਸੀਦ ਦੀ ਮਿਤੀ,Date of receipt
ਮਿਤੀ ਸਟੈਂਪ,Date stamp
ਦਿਵਸ ਸਕਾਲਰ,Day scholar
ਦਿਵਸ ਸ਼ਿਫਟ,Day shift
ਕਿਰਪਾ ਦੇ ਦਿਨ,Days of grace
ਦਿਨ ਦਾ ਕੰਮ,Day to day work
ਮਰੇ ਖਾਤਾ,Dead account
ਮਰੇ ਲਾਈਨ,Dead line
ਡੈੱਡਲਾਕ,Deadlock
ਡੈੱਡ ਸਟਾਕ ਰਜਿਸਟਰ,Dead stock register
ਮਰੇ ਭਾਰ,Dead weight
ਸੌਦਾ,Deal
ਸਹਾਇਕ ਦਾ ਸੌਦਾ ਕਰਨਾ,Dealing assistant
ਨਜਿੱਠਣਾ,Dealing
ਮੌਤ ਦੀ ਵਰ੍ਹੇਗੰ,Death anniversary
ਪਿਆਰੇ ਭੱਤਾ,Dearness allowance
ਮੌਤ ਦਾ ਲਾਭ,Death benefit
ਮੌਤ-ਰਿਟਾਇਰਮੈਂਟ ਗ੍ਰੈਚੁਟੀ,Death-cum-retirement gratuity
ਸੇਵਾ ਵਿਚ ਮੌਤ,Death in service
ਡੀਅਥੋਰਾਈਜ਼ੈਟਿਓਇਨ,Deauthorizatioin
ਡੈਬਾਰ,Debar
ਡੈਬਿਟ,Debit
ਡੈਬਿਟ ਸਲਾਹ,Debit advice
ਕਰਜ਼ਾ,Debt
ਡੈਬਟ ਮੈਨੇਜਮੈਂਟ,Debt management
ਕਰਜ਼ਦਾਰ,Debtor
ਮ੍ਰਿਤਕ,Deceased
ਸ਼ਿਸ਼ਟਾਚਾਰ,Decency
ਵਿਕੇਂਦਰੀਕਰਣ,Decentralization
ਫੈਕਟਰ ਦਾ ਫੈਸਲਾ ਕਰਨਾ,Deciding factor
ਫੈਸਲਾ,Decision
ਫੈਸਲਾ ਲੈਣਾ,Decision making
ਫੈਸਲਾ ਲੈਣ ਦੀ ਪ੍ਰਕਿਰਿਆ,Decision making process
ਘੋਸ਼ਣਾ,Declaration
ਆਮਦਨੀ ਦਾ ਐਲਾਨ,Declaration of income
ਘੋਸ਼ਿਤ ਮੁੱਲ,Declared value
ਸਹੁੰ ਬਾਰੇ ਐਲਾਨ ਕਰੋ,Declare on oath
ਡੀਕੋਡ,Decode
ਡੀਕੋਡ੍ਰੋਲ,Decontrol
ਸਜਾਵਟ,Decorum
ਕਮੀ,Decrease
ਫ਼ਰਮਾਨ,Decree
ਸਮਰਪਣ,Dedication
ਕਟੌਤੀਯੋਗ,Deductible
ਕਟੌਤੀ,Deduction
ਸਰੋਤ 'ਤੇ ਕਟੌਤੀ,Deduction at source
ਤਨਖਾਹ ਤੋਂ ਕਟੌਤੀ,Deduction from salary
ਡੀਡ,Deed
ਗਿਰਵੀਨਾਮੇ ਦਾ ਕੰਮ,Deed of mortgage
ਮੰਨਿਆ ਗਿਆ ਯੂਨੀਵਰਸਿਟੀ,Deemed university
ਖਰਾਬ,Deface
ਹਕ਼ੀਕ਼ੀ,De facto
Defalcation,Defalcation
ਮਾਣਹਾਨੀ,Defamation
ਮੂਲ,Default
ਡਿਫਾਲਟਰ,Defaulter
ਨੁਕਸਦਾਰ,Defective
ਬਚਾਅ,Defence
ਬਚਾਅ ਪੱਖ,Defence counsel
ਰੱਖਿਆ ਉਤਪਾਦਨ,Defence production
ਬਚਾਓ ਪੱਖ,Defendant
ਮੁਲਤਵੀ,Defer
ਮੁਲਤਵੀ ਖਰਚੇ,Deferred expenditure
ਉਲੰਘਣਾ,Defiance
ਘਾਟਾ,Deficit
ਘਾਟਾ ਬਜਟ,Deficit budget
ਪ੍ਰਭਾਸ਼ਿਤ,Define
ਮੁਲਤਵੀ,Defy
ਨਿਘਾਰ,Degradation
ਡਿਗਰੀ,Degree
ਡੀਜੂਰ,Dejure
ਦੇਰੀ,Delay
ਡੈਲੀਗੇਟ,Delegate
ਸੌਂਪਿਆ ਅਥਾਰਟੀ,Delegated authority
ਵਫਦ,Delegation
ਸ਼ਕਤੀਆਂ ਦਾ ਵਫਦ ਹੋਣਾ,Delegation of powers
ਮਿਟਾਓ,Delete
ਹਟਾਉਣਾ,Deletion
ਜਾਣਬੁੱਝ ਕੇ,Deliberately
ਵਿਚਾਰ ਵਟਾਂਦਰੇ,Deliberation
ਕਮੀ,Delicencing
ਸੀਮਾ,Delimitation
ਸਪੁਰਦ ਕਰੋ,Deliver
ਡਿਲਿਵਰੀ,Delivery
ਮੰਗ,Demand
ਮੰਗ ਨੋਟ,Demand note
ਹੱਦਬੰਦੀ,Demarcation
ਡੈਮੀ-ਅਧਿਕਾਰੀ,Demi-official
ਲੋਕਤੰਤਰ,Democracy
ਪ੍ਰਦਰਸ਼ਨ,Demonstration
ਨਿਰਾਸ਼ਾ,Demoralization
ਕਬਰਸਤਾਨ,Demurrage
ਇਨਕਾਰ,Denial
ਸੰਜੋਗ,Denomination
Do ਨੂਵੋ,De novo
ਇਨਕਾਰ,Deny
ਰਵਾਨਾ,Depart
ਵਿਭਾਗ,Department
ਵਿਭਾਗੀ ਵਿਭਾਗ,Departmental
ਵਿਭਾਗੀ ਕਾਰਵਾਈ,Departmental action
ਵਿਭਾਗੀ ਜਾਂਚ,Departmental enquiry
ਵਿਭਾਗੀ ਜਾਂਚ,Departmental investigation
ਵਿਭਾਗੀ ਬੇਨਿਯਮਤਾ,Departmental irregularity
ਵਿਭਾਗੀ ਲਾਇਬ੍ਰੇਰੀ,Departmental library
ਵਿਭਾਗੀ ਲਾਪਰਵਾਹੀ,Departmental negligence
ਵਿਭਾਗੀ ਅਧਿਕਾਰ,Departmental permission
ਵਿਭਾਗੀ ਯੋਗਤਾ ਪ੍ਰੀਖਿਆ,Departmental qualifying examination
ਰਵਾਨਗੀ,Departure
ਨਿਰਭਰਤਾ ਸਰਟੀਫਿਕੇਟ,Dependency certificate
ਨਿਰਭਰ,Dependent
ਨਿਰਭਰ ਬੱਚੇ,Dependent children
ਤੈਨੁਸ਼,Deploy
ਡੀਪੋਨੈਂਟ,Deponent
ਦੇਸ਼ ਨਿਕਾਲੇ,Deportation
ਅਪਗ੍ਰੇਡ,Depose
ਜਮ੍ਹਾ,Deposit
ਡਿਪੂ,Depot
ਕਮੀ,Depreciation
ਉਦਾਸ ਕਲਾਸ,Depressed class
ਵਾਂਝੇ,Deprive
ਡੈਪੂਟੇਸ਼ਨ,Deputation
ਡੈਪੂਟੇਸ਼ਨ ਭੱਤਾ,Deputation allowance
ਡਿਪਟੀ,Deputy
ਡੀਰ ਰਜਿਸਟਰ,Deregistered
ਡਿ duty ਟੀ ਦੀ ਘਾਟ,Dereliction of duty
ਦਰੇਰਾ,Dereservation
ਡੈਗੋਗੇਸ਼ਨ,Derogation
ਅਪਮਾਨਜਨਕ,Derogatory
ਅਪਾਰੋਕਰੀ ਟਿੱਪਣੀ,Derogatory remark
ਵੰਸ਼ਜ,Descendant
ਵੇਰਵਾ,Description
ਯੋਗ,Deserving
ਡਿਜ਼ਾਇਨ,Design
ਮਨੋਨੀਤ,Designate
ਅਹੁਦਾ,Designation
ਭੇਜਣਾ,Despatch
ਡਿਸਪੈਚ ਨੋਟ,Despatch note
ਡੈਪਿਪਰ ਰਜਿਸਟਰ,Despatch register
ਮੰਜ਼ਿਲ,Destination
ਵਿਖਾਵਾ,Destitute
ਵੇਰਵਾ,Detail
ਵੇਰਵਾ,Detailed
ਖੋਜਿਆ,Detect
ਨਜ਼ਰਬੰਦੀ,Detention
ਉਚਾਰੇ ਹੋਏ,Detenu
ਦ੍ਰਿੜਤਾ,Determination
ਨਿਘਾਰ,Deterrence
ਨੁਕਸਾਨ,Detriment
ਨੁਕਸਾਨਦੇਹ,Detrimental
ਦੀ ਘਾਟ,Devaluation
ਤਬਾਹੀ,Devastation
ਵਿਕਾਸ,Development
ਭਟਕਣਾ,Deviate
ਜੰਤਰ,Device
ਸ਼ਰਧਾ,Devotion
ਨਿਦਾਨ,Diagnose
ਚਿੱਤਰ,Diagram
ਡਾਇਰੀ,Diary
ਹੁਕਮ,Dictation
ਮਰਦਾ ਨਹੀ,Dies non
ਖੁਰਾਕ,Diet
ਹਜ਼ਮ,Digest
ਮਨਘੜਤ,Dignified
ਮਾਣ,Dignity
ਡਿਜਸ਼ਨ,Digression
Dilatory,Dilatory
ਦੁਬਿਧਾ,Dilemma
ਮਿਹਨਤੀ,Diligent
ਮਾਪ,Dimension
ਡਿਪਲੋਮਾ,Diploma
ਕੂਟਨੀਤੀ,Diplomacy
ਕੂਟਨੀਤਕ ਛੋਟ,Diplomatic immunity
ਸਿੱਧਾ,Direct
ਸਿੱਧਾ ਮੁਕਾਬਲਾ,Direct competition
ਸਿੱਧਾ ਇੰਟਰਵਿ.,Direct interview
ਦਿਸ਼ਾ,Direction
ਡਾਇਰੈਕਟਰੀ,Directory
ਸਿੱਧੀ ਭਰਤੀ,Direct recruit
ਅਸਵੀਕਾਰ ਕਰੋ,Disallow
ਅਪਾਹਜਤਾ,Disability
ਅਯੋਗ ਵਿਅਕਤੀ,Disabled person
ਅਯੋਗਤਾ ਲਾਭ,Disablement benefit
ਨੁਕਸਾਨ,Disadvantage
ਅਸਹਿਮਤ,Disagree
ਅਸਵੀਕਾਰ ਕੀਤਾ,Disallowed
ਅਸਵੀਕਾਰ,Disapproval
ਤਬਾਹੀ,Disaster
ਤਬਾਹੀ ਪ੍ਰਬੰਧਨ,Disaster management
ਭਾਂਡੇ,Disband
ਵੰਡ,Disbursement
ਰੱਦ,Discard
ਡਿਸਚਾਰਜ,Discharge
ਡਿਸਚਾਰਜ ਸਲਿੱਪ,Discharge slip
ਅਨੁਸ਼ਾਸਨੀ ਕਾਰਵਾਈ,Disciplinary action
ਅਨੁਸ਼ਾਸਨੀ ਵਿਧੀ,Disciplinary procedure
ਅਨੁਸ਼ਾਸਨ,Discipline
ਵਿਗਾੜ,Disclaim
ਖੁਲਾਸਾ,Disclosure
ਅਸੰਤੁਸ਼ਟ,Discontent
ਬੰਦ,Discontinuance
ਬੰਦ ਕਰੋ,Discontinue
ਵਿਵਾਦ,Discord
ਛੂਟ,Discount
ਖੋਜ ਕਰੋ,Discover
ਬਦਨਾਮੀ,Discredit
ਅੰਤਰ,Discrepancy
ਵਿਵੇਕ,Discretion
ਵਿਵੇਕਸ਼ੀਲ ਗ੍ਰਾਂਟ,Discretionary grant
ਵਿਵੇਕਸ਼ੀਲ ਸ਼ਕਤੀ,Discretionary power
ਵਿਤਕਰਾ,Discrimination
ਵਿਚਾਰ ਵਟਾਂਦਰੇ,Discussion
ਬੇਈਮਾਨ,Dishonest
ਬੇਇੱਜ਼ਤੀ,Dishonour
ਵਿਗਾੜ,Disintegration
ਡਿਸਕ,Disk
ਉਜਾੜਾ,Dislocation
ਬੇਵਫ਼ਾ,Disloyal
ਖਾਰਜ,Dismiss
ਬਰਖਾਸਤਗੀ,Dismissal
ਬਰਖਾਸਤ ਕਰਨ ਦੀ ਪ੍ਰਕਿਰਿਆ,Dismissal procedure
ਅਣਆਗਿਆਕਾਰੀ,Disobey
ਵਿਕਾਰ,Disorder
ਅਸੰਗਤ,Disorganise
ਅਸਮਾਨਤਾ,Disparity
ਡਿਸਪੈਚ ਸੈਕਸ਼ਨ,Dispatch section
ਡਿਸਪੈਂਸਬਲ,Dispensable
ਫੈਲਾਓ,Disperse
ਉਜਾੜੇ,Displaced
ਡਿਸਪਲੇਅ,Display
ਨਾਰਾਜ਼ਗੀ,Displeasure
ਨਿਪਟਾਰਾ,Disposal
ਦਾ ਿਨਪਟਾਰਾ,Dispose of
ਸੁਭਾਅ,Disposition
ਡਿਸਪੋਸੈਸ,Dispossess
ਵਿਵਾਦ,Dispute
ਅਯੋਗਤਾ,Disqualification
ਅਣਡਿੱਠ,Disregard
ਵਿਘਨ,Disruption
ਅਸੰਤੁਸ਼ਟੀ,Dissatisfaction
ਅਸਹਿਮਤੀ,Dissent
ਵਿਗਾੜ,Disservice
ਭਿੰਨ ਭਿੰਨ,Dissociate
ਭੰਗ,Dissolution
ਭੰਗ,Dissolve
ਦੂਰੀ ਸਿੱਖਣ,Distance learning
ਡਿਸਟਿਲਰੀ,Distillery
ਵੱਖਰਾ,Distinct
ਵੱਖ ਕਰਨਾ,Distinguish
ਭਟਕਣਾ,Distortion
ਪ੍ਰੇਸ਼ਾਨੀ,Distress
ਵੰਡ,Distribute
ਵੰਡ,Distribution
ਜ਼ਿਲ੍ਹਾ,District
ਜ਼ਿਲ੍ਹਾ ਕੇਂਦਰ,District centre
ਪਰੇਸ਼ਾਨੀ,Disturbance
Ditto,Ditto
ਡਾਇਵਰਸ਼ਨ,Diversion
ਲਾਭਅੰਸ਼,Dividend
ਵੰਡ,Division
ਤਲਾਕ,Divorce
ਡੌਕੇਟ,Docket
ਡਾਕਟਰ,Doctor
ਦਸਤਾਵੇਜ਼,Document
ਦਸਤਾਵੇਜ਼ੀ ਸਬੂਤ,Documentary evidence
ਦਸਤਾਵੇਜ਼,Documentation
ਨਿਵਾਸ,Domicile
ਨਿਵਾਸ ਸਰਟੀਫਿਕੇਟ,Domicile certificate
ਪ੍ਰਭਾਵਸ਼ਾਲੀ,Dominant
ਦਾਨ,Donation
ਡੌਸੀਅਰ,Dossier
ਸ਼ੱਕੀ,Doubtful
ਡੋਵ ਟੇਲਿੰਗ,Dove tailing
ਡਾਉਨ ਗ੍ਰੇਡ,Down grade
ਡਰਾਫਟ,Draft
ਖਰੜਾ ਜਵਾਬ,Draft reply
ਸਖਤ ਉਪਾਅ,Drastic measure
ਡਰਾਅ ਕਰੋ,Draw
ਦਰਾਜ਼,Drawer
ਡਰਾਇੰਗ,Drawing
ਸੋਕੇ,Drought
ਖੁਸ਼ਕ ਪ੍ਰਚਾਰ,Dry promotion
ਦੋਹਰਾ ਚਾਰਜ,Dual charge
ਦੋਹਰੀ ਨਾਗਰਿਕਤਾ,Dual citizenship
ਬਕਾਇਆ,Due
ਦੁਏ ਦਿਲਿਗੇਨ C ਏ,Due diligence
ਬਕਾਏ,Dues
ਵਿਧੀਵੱਧ,Duly
ਡੁਪਲਿਕੇਟ,Duplicate
ਅਵਧੀ,Duration
ਗੜਬੜ,Duress
ਡਿ uty ਟੀ,Duty
ਡਿ uty ਟੀ ਭੱਤਾ,Duty allowance
ਡਿ duty ਟੀ ਚਾਰਟ,Duty chart
ਡਿ duty ਟੀ ਛੁੱਟੀ,Duty leave
ਡਿ uty ਟੀ ਕਮਰਾ,Duty room
ਮਰਨ ਦਾ ਐਲਾਨ,Dying declaration
ਗਤੀਸ਼ੀਲਤਾ,Dynamics
ਈਅਰਮਾਰਕ,Earmark
ਕਮਾਈ ਛੁੱਟੀ,Earned leave
ਕਮਾਈ,Earnings
ਈਕੋ-ਦੋਸਤਾਨਾ,Eco-friendly
ਵਾਤਾਵਰਣ,Ecology
ਆਰਥਿਕ,Economic
ਆਰਥਿਕ ਸ਼ੋਸ਼ਣ,Economical exploitation
ਆਰਥਿਕਤਾ,Economy
ਆਰਥਿਕਤਾ ਕਲਾਸ,Economy class
ਸੰਪਾਦਨ,Editing
ਐਡੀਸ਼ਨ,Edition
ਸੰਪਾਦਕੀ,Editorial
ਸਿੱਖਿਆ,Education
ਐਜੂਕੇਸ਼ਨਲ ਕੈਰੀਅਰ,Educational career
ਵਿਦਿਅਕ ਸੰਸਥਾ,Educational institute
ਵਿੱਦਿਅਕ ਯੋਗਤਾ,Educational qualification
ਪ੍ਰਭਾਵ,Effect
ਅਸਰਦਾਰ,Effective
ਪ੍ਰਭਾਵਸ਼ਾਲੀ ਤਾਰੀਖ,Effective date
ਪ੍ਰਭਾਵ,Effects
ਕੁਸ਼ਲਤਾ,Efficacy
ਕੁਸ਼ਲਤਾ,Efficiency
ਅਸਰਦਾਰ,Efficient
ਬਾਹਰ ਕੱ .ਣ,Ejectment
ਵਿਸਤ੍ਰਿਤ,Elaborate
Elapse,Elapse
ਚੁਣੇ ਗਏ ਨੁਮਾਇੰਦੇ,Elected representative
ਚੋਣ,Election
ਚੋਣ ਕਾਲਜ,Electoral college
ਵੋਟਰਾਂ,Electorate
ਬਿਜਲੀ,Electrification
ਇਲੈਕਟ੍ਰਾਨਿਕ ਮੀਡੀਆ,Electronic media
ਐਲੀਮੈਂਟਰੀ,Elementary
ਯੋਗਤਾ,Eligibility
ਯੋਗਤਾ ਟੈਸਟ,Eligibility test
ਖਾਤਮੇ,Elimination
ਭਾਸ਼ਣ,Eloquence
ਸ਼ਰਮਿੰਦਾ,Embarrass
ਗਬਨ,Embezzlement
ਚਿੰਨ੍ਹ,Emblem
ਮੋਹਿੰਗ ਮੋਹਰ,Embossing seal
ਐਮਰਜੈਂਸੀ,Emergency
ਐਮਰਜੈਂਸੀ ਰਾਹਤ,Emergency relief
ਸੰਕਟਕਾਲੀਨ,Emergent
ਪਰਵਾਸ,Emigration
ਜਲਦਬਾਜ਼ੀ,Emoluments
ਅਵਿਸ਼ਵਾਸੀ,Empanelment
ਹਮਦਰਦੀ,Empathy
ਨੌਕਰੀ,Employ
ਕਰਮਚਾਰੀ,Employee
ਕਰਮਚਾਰੀ ਭਾਗੀਦਾਰੀ,Employee participation
ਕਰਮਚਾਰੀ ਦਾ ਯੋਗਦਾਨ,Employee’s contribution
ਕਰਮਚਾਰੀ ਦਾ ਪ੍ਰੋਵੀਡੈਂਟ ਫੰਡ,Employee’s provident fund
ਮਾਲਕ,Employer
ਰੁਜ਼ਗਾਰ,Employment
ਰੁਜ਼ਗਾਰ ਦਾ ਵਟਾਂਦਰਾ,Employment exchange
ਰੁਜ਼ਗਾਰ ਨੋਟਿਸ,Employment notice
ਰੁਜ਼ਗਾਰ ਦਫਤਰ,Employment office
ਸ਼ਕਤੀਕਰਨ,Empower
ਸਸ਼ਕਤੀਕਰਨ,Empowerment
ਦਾ ਵੇਰਵਾ,Enact
ਲਾਗੂ ਕਰਨ,Enactment
En ਬਲਬ,En bloc
ਨ੍ਰਿਤ,Encash
ਬੰਦ,Enclose
ਹੌਂਸਲਾ ਅਫ਼ਜ਼ਾਈ,Encouragement
ਘ੍ਰਿਣਾਯੋਗ,Encroachment
ਪ੍ਰੇਸ਼ਾਨ,Encumbrance
ਸਮਰਥਨ,Endorse
ਐਂਡੋਮੈਂਟ,Endowment
ਅੰਤ ਉਤਪਾਦ,End product
Energy ਰਜਾ,Energy
ਲਾਗੂ ਕਰੋ,Enforce
ਰੁੱਝੇ ਹੋਏ,Engage
ਵਾਧਾ,Enhancement
ਦਾਖਲਾ,Enjoin
En ਮਾਸੀ,En masse
ਪੜਤਾਲ,Enquiry
ਦਾਖਲਾ,Enrol
ਦਾਖਲਾ (= ਦਾਖਲਾ),Enrolment (=enrollment)
ਦਾਖਲਾ ਨੰਬਰ,Enrolment number
ਰਸਤੇ ਵਿੱਚ,Enroute
ਹੋਂਦ,Ensuing
ਯਕੀਨੀ ਬਣਾਓ,Ensure
ਦਾਖਲ ਕਰੋ,Enter
ਉੱਦਮ,Enterprise
ਮਨੋਰੰਜਨ,Entertain
ਮਨੋਰੰਜਨ,Entertainment
ਹੱਕਦਾਰ,Entitle
ਹੱਕਦਾਰ,Entitled
ਇੰਟਾਈਟਲਮੈਂਟ,Entitlement
ਪਰਵੇਸ਼,Entrance
ਪ੍ਰਵੇਸ਼ ਕਰਨ ਵਾਲੇ,Entrant
ਦਾਖਲਾ,Entry
ਦਾਖਲੇ ਪੱਧਰ ਦੀ ਨੌਕਰੀ,Entry level job
ਗਣਨਾ,Enumeration
ਵਾਤਾਵਰਣ,Environment
ਰਾਜਦੂਤ,Envoy
ਮਹਾਂਮਾਰੀ,Epidemic
ਐਪੀਟੋਮ,Epitome
ਸਮਾਨਤਾ,Equality
ਸੰਤੁਲਨ,Equilibrium
ਉਪਕਰਣ,Equipment
ਇਕੁਇਟੀ,Equity
ਬਰਾਬਰ,Equivalent
ਬਰਾਬਰ,Equivocal
ਖਰਾਬੀ,Eradicate
ਇਰੱਟਾ,Errata
ਗਲਤੀ,Error
ਚੜ੍ਹਨਾ,Escalation
ਐਸਕਾਰਟ,Escort
ਜ਼ਰੂਰੀ,Essential
ਸਥਾਪਨਾ,Establishment
ਅੰਦਾਜ਼ਾ ਲਗਾਓ,Estimate
ਅਨੁਮਾਨਤ ਲਾਗਤ,Estimated cost
ਨੈਤਿਕਤਾ,Ethics
Itiquette,Etiquette
ਨਿਕਾਸੀ,Evacuation
ਪਹਿਲਾਂ,Evade
ਮੁਲਾਂਕਣ,Evaluation
ਇਥੋਂ ਤਕ ਕਿ ਨੰਬਰ,Even number
ਆਖਰਕਾਰ,Eventual
ਬੇਦਖਲੀ,Eviction
ਸਬੂਤ,Evidence
ਵਿਕਸਿਤ,Evolve
ਬਿਲਕੁਲ,Exact
ਇਮਤਿਹਾਨ,Examination
ਪ੍ਰੀਖਿਆ,Examinee
ਪ੍ਰੀਖਿਅਕ,Examiner
ਉਦਾਹਰਣ,Example
