Telugu,Assamese
ఓపెన్ ప్రశ్న,মুকলি প্ৰশ্ন
రికార్డులను తెరవండి,ৰেকৰ্ডসমূহ খোলা
ఓరియంట్,অৰিয়েণ্ট
ఓరియంటలిజం,প্ৰাচ্যবাদ
ఓరియంటలిజం,প্ৰাচ্যবাদ
ఓరియంటలిస్ట్,প্ৰাচ্যবিদ
మూలం,মূলত
మూలం,মূলত
ఆర్థోగ్రఫీ,অৰ্থগ্ৰাফী
శత్రుత్వాలు చెలరేగడం,শত্ৰুতাৰ প্ৰাদুৰ্ভাৱ
అవుట్-పోస్ట్,আউট-পোষ্ট
పైగా ప్రభువు,অভাৰ-লৰ্ড
ఓవర్ రైడ్,অভাৰ-ৰাইড
ఓవర్ రైడ్,অভাৰ-ৰাইড
పాగన్,পৌত্তলিক
పాగన్,পৌত্তলিক
పాగనిజం,পৌত্তলিকতাবাদ
పాగనిజం,পৌত্তলিকতাবাদ
పగోడా,পেগোডা
పగోడా,পেগোডা
పగోడా,পেগোডা
ప్యాలెస్ కుట్రలు,প্ৰাসাদৰ কুটিলতা
పాలటినేట్,পেলেটিনেট
తాటి ఆకు,কল-পাত
పామ్ ఆదివారం,পাম দেওবাৰ
పానెజిరిస్ట్,পেনেগিৰিষ্ট
భయాందోళనలు,ত্ৰাস
భయాందోళనలు,ত্ৰাস
భయాందోళనలు కలిగించేవాడు,আতংক-মংগাৰ
పాపసీ,পোপৰ পদ
పాపసీ,পোপৰ পদ
పాపసీ,পোপৰ পদ
పాపసీ,পোপৰ পদ
పాపల్ ఎద్దు,পোপৰ ম&#39;হ
పాపాలిజం,পোপবাদ
పాపాలిజం,পোপবাদ
పాపాలిస్ట్,পোপবাদী
పాపల్ రాష్ట్రం,পোপৰ ৰাজ্য
పాపిజం (=పాపిస్ట్రీ),পেপিজম (=পেপিষ্ট্ৰি)
పాపిస్ట్,পেপিষ্ট
పాపిరస్,পেপিৰাছ
ఉపమానం,দৃষ্টান্ত
పారామౌంట్,পেৰামাউণ্ট
పారామౌంట్సీ (=పారామౌంట్ పవర్),Paramountcy (=পৰম শক্তি)
పారామౌంట్ లేడీ,পেৰামাউণ্ট লেডী
పరమ ప్రభువు,পৰম প্ৰভু
పార్చ్మెంట్,পাৰ্চমেণ্ট
పార్చ్మెంట్,পাৰ্চমেণ্ট
పార్చ్మెంట్,পাৰ্চমেণ্ট
క్షమించు,ক্ষমা কৰিব
పార్లేస్,পাৰ্লিছ
పార్లేస్,পাৰ্লিছ
పార్లమెంట్ (=పార్లమెంట్),সংসদ (=সংসদ)
పార్లమెంట్,সংসদ
పార్లమెంట్,সংসদ
పార్లమెంట్,সংসদ
పార్లమెంట్ చట్టం,সংসদ আইন
పార్లమెంటేరియన్,সংসদ সদস্য
పార్లమెంటేరియన్,সংসদ সদস্য
పార్లమెంటరీ ఏజెంట్,সংসদীয় এজেণ্ট
పార్నెలిజం,পাৰ্নেলিজম
పెరోల్,পেৰ’ল
పెరోల్,পেৰ’ল
పారిసిడ్,পেৰিচাইড
పారిసిడ్,পেৰিচাইড
పక్షపాతం,পাৰ্টিছান
పక్షపాతం,পাৰ্টিছান
పక్షపాతం,পাৰ্টিছান
పాస్,উত্তীৰ্ণ
పాస్ వర్డ్ (=వాచ్ వర్డ్),পাছ ৱৰ্ড (=watch word)
జాతిపిత,পেট্ৰিয়াৰ্ক
పితృదేవతలు,পিতৃপুৰুষসকল
పాట్రిషియన్,পেট্ৰিচিয়ান
పితృస్వామ్యం,পৈতৃকত্ব
పాక్స్ బ్రిటానికా,পেক্স ব্ৰিটানিকা
పాక్స్ రొమానా,পেক্স ৰোমানা
పూర్వీకుల నుండి వంశక్రమము,বংশবৃক্ষ
పూర్వీకుల నుండి వంశక్రమము,বংশবৃক্ষ
వంశపారంపర్య వ్యక్తి,বংশবৃক্ষ ব্যক্তি
పీర్,সহকৰ্মী
పీర్,সহকৰ্মী
పీరేజ్,পিৰেজ
పీరేజ్,পিৰেজ
పీరేజ్,পিৰেজ
ఐర్లాండ్ సహచరులు,আয়াৰলেণ্ডৰ সমনীয়া
స్కాట్లాండ్ సహచరులు,স্কটলেণ্ডৰ সমনীয়া
పెనిన్సులర్ ప్రచారం,উপদ্বীপীয় অভিযান
ద్వీపకల్ప యుద్ధం,উপদ্বীপীয় যুদ্ধ
పెన్నెంట్,পেনেণ্ট
పీపుల్స్ చార్టర్ (=నేషనల్ చార్టర్),জনসাধাৰণৰ চনদ (=ৰাষ্ট্ৰীয় চনদ)
పీపుల్స్ ఫ్రంట్ (=పాపులర్ ఫ్రంట్),জনমূখ (=জনপ্ৰিয় ফ্ৰণ্ট)
అపవిత్రత,পাৰ্ফিডি
కాలం,সময়কাল
కాలం,সময়কাল
పెరిఫెరీ,পেৰিফেৰী
శాశ్వత పరిష్కారం,স্থায়ী বন্দোবস্ত
శాశ్వత ఫైఫ్,চিৰন্তন ফিফ
ఫాలాంక్స్,ফালানক্স
ఫాలాంక్స్,ফালানক্স
ఫారో,ফ্ৰাউন
పిక్టోగ్రామ్,চিত্ৰচিত্ৰ
పిక్టోగ్రాఫ్,পিক্টোগ্ৰাফ
పిక్టోగ్రాఫ్,পিক্টোগ্ৰাফ
యాత్రికుడు,তীৰ্থযাত্ৰী
యాత్రికుల తండ్రులు,তীৰ্থযাত্ৰী পিতৃসকল
దోపిడీ,লুটপাত
దోపిడీ,লুটপাত
పిల్లర్,স্তম্ভ
స్తంభ శాసనాలు (అశోకుని),স্তম্ভ আদেশ (অশোকৰ)
స్తంభ శాసనాలు (అశోకుని),স্তম্ভ আদেশ (অশোকৰ)
స్తంభ శాసనాలు (అశోకుని),স্তম্ভ আদেশ (অশোকৰ)
పైరేట్,পাইৰেট
పైరేట్,পাইৰেট
పిచ్ యుద్ధం,পিটচড যুদ্ধ
ప్లాట్లు,পটভূমি
పోలిస్,পলিছ
పోలిస్,পলিছ
రాజనీతిజ్ఞుడు,পলিটাৰ্চ
రాజకీయ ఏజెంట్,ৰাজনৈতিক এজেন্ট
రాజకీయ ఆశ్రయం,ৰাজনৈতিক আশ্ৰয়
రాజకీయ నివాసి,ৰাজনৈতিক আৱাসী
రాజకీయ ఉగ్రవాదం,ৰাজনৈতিক সন্ত্ৰাসবাদ
ఎన్నికల పన్ను,ভোটগ্ৰহণ কৰ
పాంటూన్,পণ্টুন
ప్రీమియర్,প্ৰধানমন্ত্ৰী
ప్రీమియర్,প্ৰধানমন্ত্ৰী
ప్రీమియర్‌షిప్,প্ৰিমিয়াৰ লীগ
ప్రెసిడెన్సీ,ৰাষ্ট্ৰপতিত্ব
ప్రెసిడెన్సీ,ৰাষ্ট্ৰপতিত্ব
అధ్యక్షుడు,ৰাষ্ট্ৰপতি
అధ్యక్షుడు,ৰাষ্ট্ৰপতি
ప్రెసిడియం,প্ৰেচিডিয়াম
ప్రధాన మంత్రి,প্ৰধানমন্ত্ৰী
ప్రిమోజెనిచర్,প্ৰাইমোজেনিচাৰ
యువరాజు,প্ৰিন্স
యువరాజు,প্ৰিন্স
ప్రిన్స్ బిషప్,প্ৰিন্স বিচপ
ప్రిన్స్ కన్సార్ట్,প্ৰিন্স কনচৰ্ট
ప్రిన్స్ రీజెంట్,প্ৰিন্স ৰিজেণ্ট
పిన్స్ రెగ్నెంట్,পিন্স ৰেগনেণ্ট
ప్రిన్సెస్ రీజెంట్,ৰাজকুমাৰী ৰিজেণ্ট
ప్రిన్సెస్ రాయల్,ৰাজকুমাৰী ৰয়েল
ప్రిన్సిపాలిటీ,প্ৰিন্সিপালিটি
ప్రిన్సిపాలిటీ,প্ৰিন্সিপালিটি
ప్రిన్సిపాలిటీ,প্ৰিন্সিপালিটি
బహుమతి,পুৰষ্কাৰ
బహుమతి,পুৰষ্কাৰ
నగదు బహుమతి,পুৰস্কাৰৰ ধন
వృత్తిపరమైన సైనికుడు,পেছাদাৰী সৈনিক
ప్రామిస్,প্ৰতিশ্ৰুতি
ప్రమోన్టరీ కోట,প্ৰমন্টৰী দুৰ্গ
రక్షించు,প্ৰটেক্টৰেট
రక్షించు,প্ৰটেক্টৰেট
రక్షించు,প্ৰটেক্টৰেট
ఆశ్రితుడు,Protégé
మూలాధారం,উৎপত্তিস্থল
మూలాధారం,উৎপত্তিস্থল
మూలాధార వ్యవస్థ,প্ৰভেনেন্স ব্যৱস্থা
ప్రో-జియోనిస్ట్,জিয়নিষ্ট সমৰ্থক
ప్రజా శత్రువు,ৰাজহুৱা শত্ৰু
ప్రజా శత్రువు,ৰাজহুৱা শত্ৰু
పంక్టేషన్స్,বিৰাম চিহ্ন
ప్యూనిక్ యుద్ధాలు,পুনিক যুদ্ধ
ప్యూరిటన్,পিউৰিটান
పుట్చ్,পুচ্চ
చతుర్భుజం,কোৱাড্ৰিগা
చతుర్భుజ కూటమి,চতুৰ্ভুজ মিত্ৰতা
క్వేకర్,কোৱাকাৰ
రాణి,ৰাণী
రాణి భార్య,ৰাণী কনচৰ্ট
క్వీన్ వరుడు,ৰাণী বিধৱা
క్వీన్డమ్,কুইনডম
క్వీన్డమ్,কুইনডম
రాణి తల్లి,ৰাণী মা
రాణి రాణి,ৰাণী ৰাজত্ব কৰা
క్విస్లింగ్,কুইছলিং
క్విస్లింగ్,কুইছলিং
అద్దె మానేయండి,ভাড়া এৰি দিয়ক
వణుకు,কুইভাৰ
వారెంటో,Quo warranto
జాతి,জাতি
జాతి ఆధిపత్యం,বৰ্ণবাদী আধিপত্য
ర్యాక్,ৰেক
ర్యాక్,ৰেক
రైడ్,অভিযান
రైడ్,অভিযান
ప్రాకారము,ৰেমপাৰ্ট
ప్రాకారము,ৰেমপাৰ্ট
దోపిడీ,ৰেনছাক
విమోచన క్రయధనం,মুক্তিপণ
విమోచన క్రయధనం,মুক্তিপণ
విధ్వంసం,ৰেভেজ
విధ్వంసం,ৰেভেজ
రాజ్యం,ৰাজ্য
వెనుక గార్డు,ৰিয়াৰ গাৰ্ড
వెనుక రక్షణ చర్య,ৰিয়াৰ গাৰ্ডৰ একচন
తిరుగుబాటుదారుడు,বিদ্ৰোহী
తిరుగుబాటు,বিদ্ৰোহ
తిరుగుబాటుకు గుర్తింపు,বিদ্ৰোহৰ স্বীকৃতি
రీకండక్షన్,পুনৰ পৰিবাহী
నిఘా,গোপনীয়তা
పునర్నిర్మాణం,পুনৰ্গঠন
రికార్డ్ చేయండి,নথিভুক্ত
రికార్డు కార్యాలయం,ৰেকৰ্ড অফিচ
రికార్డ్ రిటైర్మెంట్,অৱসৰৰ অভিলেখ
ఎర్ర చొక్కాలు,ৰঙা চাৰ্ট
సంస్కరణ,সংস্কাৰ
శరణార్థ,শৰণাৰ্থী
రెగాలియా,ৰেগালিয়া
రెగాలియా,ৰেগালিয়া
రెగాలియా,ৰেগালিয়া
రీజెన్సీ,ৰিজেন্সি
రీజెంట్,ৰিজেণ্ট
రీజెంట్ రాణి,ৰিজেণ্ট কুইন
రెజిసైడ్,ৰেজিচাইড
రెజిసైడ్లు,ৰেজিচাইড
పాలన,শাসন ব্যৱস্থা
పాలన,শাসন ব্যৱস্থা
ప్రాంతం,অঞ্চল
రెగ్నల్ సంవత్సరం,ৰেগনাল বছৰ
రెగ్నెంట్,ৰেগনেণ্ট
రెగ్నమ్,ৰেগনাম
రీచ్,ৰাইচ
పాలన,ৰাজত্ব কৰক
పాలన,ৰাজত্ব কৰক
పాలించే కుటుంబం,ৰাজত্ব কৰা পৰিয়াল
భయానక పాలన,আতংকৰ ৰাজত্ব
భయానక పాలన,আতংকৰ ৰাজত্ব
బలపరచు,শক্তিশালী কৰক
అదనపుబల o,শক্তিবৰ্ধক
పునఃస్థాపన,পুনৰ নিযুক্তি
తిరిగి పెట్టుబడి పెట్టండి,পুনৰ বিনিয়োগ কৰক
రిలే పోస్ట్,ৰিলে পোষ্ট
రిలే మార్గం,ৰিলেৰ পথ
రిలే వ్యవస్థ,ৰিলে ব্যৱস্থা
విడుదల,মুক্তি দিয়া
విడుదల,মুক্তি দিয়া
త్యజించుట,ত্যাগ
త్యజించుట,ত্যাগ
రెపర్టరీ (=ఇన్వెంటరీ),ৰেপাৰ্টৰী (=ইনভেণ্টৰী)
రిపోజిటరీ,ভঁৰাল
రిపోజిటరీ,ভঁৰাল
రిపబ్లిక్,ৰিপাব্লিক
గణతంత్ర దినోత్సవం,গণৰাজ্য দিৱস
రిస్క్రిప్ట్,পুনৰ লিপিবদ্ধ কৰক
రిస్క్రిప్ట్,পুনৰ লিপিবদ্ধ কৰক
నివాసి,বাসিন্দা
పునరుద్ధరణ,পুনৰুদ্ধাৰ
పునరుత్థానం,পুনৰুত্থান
పునరుత్థానం,পুনৰুত্থান
తిరోగమనం,পশ্চাদপসৰণ
రివర్స్ (నాణెం),ওলোটা (এটা মুদ্ৰাৰ)
తిరుగుబాటు,বিদ্ৰোহ
విప్లవం,বিপ্লৱ
"విప్లవం, ఫ్రెంచ్","বিপ্লৱ, ফৰাচী"
విప్లవం గ్లోరియస్,বিপ্লৱ গৌৰৱময়
"విప్లవం, పారిశ్రామిక","বিপ্লৱ, ঔদ্যোগিক"
రైజింగ్,ৰাইজিং
రాటెన్-బరో,পচি যোৱা-বৰো
రఫ్ రైడర్స్,ৰাফ ৰাইডাৰ
గుండ్రని తలలు,ঘূৰণীয়া মূৰ
రూట్,ৰাউট
రాయల్ ప్రేక్షకులు,ৰয়েল দৰ্শক
రాయల్ చార్టర్,ৰয়েল চাৰ্টাৰ
రాయల్ క్రెస్ట్,ৰয়েল ক্ৰেষ্ট
రాయల్ క్రెస్ట్,ৰয়েল ক্ৰেষ্ট
రాయల్ డిక్రీ,ৰয়েল ডিক্রী
రూబ్రిక్,ৰুব্ৰীক
శిథిలాలు,ধ্বংসাৱশেষ
రన్నర్,দৌৰবিদ
విధ్వంసం,ভেঙুচালি কৰা
సాబెర్,ছাবেৰ
సాబర్స్,চেব্ৰেছ
త్యాగం,ত্যাগ
త్యాగం,ত্যাগ
త్యాగం,ত্যাগ
సురక్షితమైన ప్రవర్తన,নিৰাপদ আচৰণ
రక్షణ,সুৰক্ষা
రక్షణ,সুৰক্ষা
రక్షణ విధులు,সুৰক্ষাৰ কৰ্তব্য
సాలీ,চেলি
సాలీ-పోర్ట్,চেলি-পৰ্ট
రాజదండం,ৰাজদণ্ড
స్కిమిటార్,স্কিমিটাৰ
రెండవ ఎస్టేట్,দ্বিতীয় বাগিচা
శాఖ,পন্থা
శాఖ,পন্থা
నిర్భందించటం,বাজেয়াপ্ত
నిర్భందించటం,বাজেয়াপ্ত
సెనేట్,চেনেট
సెనేట్,চেনেট
సెనేట్,চেনেট
సెనేట్,চেনেট
సెర్ఫ్ (=బోర్డార్ లేదా విల్లెన్),Serf (=bordar বা villein)
సెర్ఫ్ (=బోర్డార్ లేదా విల్లెన్),Serf (=bordar বা villein)
సెర్ఫోడమ్ (సెర్ఫ్‌హుడ్ లేదా సెర్ఫేజ్),দাসত্ব (serfhood বা serfage)
సెర్ఫోడమ్ (సెర్ఫ్‌హుడ్ లేదా సెర్ఫేజ్),দাসত্ব (serfhood বা serfage)
నీడ రాజు,ছাঁ ৰজা
షిప్ మనీ,জাহাজৰ ধন
షాక్ దళాలు (=తుఫాను దళాలు),শ্বক সৈন্য (=ধুমুহা সৈন্য)
పొట్టి పార్లమెంట్,চুটি সংসদ
వాగ్వివాదం,স্কিমিছ
బానిస,দাস
బానిసత్వం,দাসত্ব
బానిసత్వం,দাসত্ব
సైనిక రాజనీతిజ్ఞుడు,সৈনিক ৰাষ্ট্ৰনেতা
ఈటె,বৰশী
ఈటె-తల,বৰশীৰ মূৰ
గోళము,গোলক
స్ఫ్రాగిస్టిక్స్,স্ফ্ৰেজিষ্টিকছ
వ్యవస్థను పాడు చేస్తుంది,ব্যৱস্থা নষ্ট কৰে
స్క్వైర్,স্কোৱায়াৰ
స్క్వైర్,স্কোৱায়াৰ
Squirearchy,স্কুয়াৰআৰ্চি
Squirearchy,স্কুয়াৰআৰ্চি
ప్రామాణికం,মানদণ্ড
స్టాండర్డ్ బేరర్,ষ্টেণ্ডাৰ্ড-বাহক
స్టాండింగ్ ఆర్మీ,থিয় হৈ থকা সেনাবাহিনী
స్టాండింగ్ ఆర్డర్లు,ষ্টেণ্ডিং অৰ্ডাৰ
స్టాండింగ్ ఆర్డర్లు,ষ্টেণ্ডিং অৰ্ডাৰ
రాజనీతిజ్ఞుడు,ৰাষ্ট্ৰনেতা
రాతి శాసనం,শিলৰ শিলালিপি
తుఫాను దళాలు,ধুমুহাৰ সৈন্য
వ్యూహం,কৌশল
వ్యూహం,কৌশল
వ్యూహం,কৌশল
వ్యూహం,কৌশল
స్ట్రాటోక్రసీ,ষ্ট্ৰেট’ক্ৰেচি
కలహాలు,বিবাদ
కలహాలు,বিবাদ
బలమైన పట్టు,শক্তিশালী ধৰি ৰখা
బలమైన పట్టు,শক্তিশালী ধৰি ৰখা
అనుబంధ టాలయన్స్,সহযোগী টেলায়েন্স
వారసత్వం,উত্তৰাধিকাৰ
వారసుడు,উত্তৰাধিকাৰী
ఓటు హక్కు,ভোটাধিকাৰ
ఓటు హక్కుదారుడు,ভোটাধিকাৰী
సుల్తానేట్,চুলতানত্ব
సుల్తానేట్ కాలం,চুলতানত্বৰ যুগ
లొంగిపో,সমৰ্পণ
సుజెరైన్,চুজেৰেইন
సుజరైన్ రాష్ట్రం,চুজেৰেইন ৰাজ্য
ఖడ్గవీరుడు,তৰোৱালধাৰী
తమ్మనీ సొసైటీ,টামমানী ছ&#39;চাইটি
కోపముగల కత్తి,টেম্পাৰড তৰোৱাল
అద్దెదారు,ভাড়াতীয়া
అద్దెదారు,ভাড়াতীয়া
భూభాగం,অঞ্চল
భూభాగం,অঞ্চল
భూభాగం ప్రభుత్వం,টেৰিটৰী চৰকাৰ
తీవ్రవాదం,সন্ত্ৰাসবাদ
థర్డ్ ఎస్టేట్,তৃতীয় বাগিচা
మూడు ఎస్టేట్లు,তিনিটা বাগিচা
టోల్,টোল
టోల్ హౌస్,টোল হাউচ
సమాధి,সমাধিস্থল
టోరీ,ট&#39;ৰী
టోటెమ్,টটেম
టవర్,টাৱাৰ
టవర్,টাৱাৰ
విజయ టవర్,বিজয়ৰ টাৱাৰ
దేశద్రోహి,বিশ্বাসঘাতক
ద్రోహం,বিশ্বাসঘাতকতা
రాజద్రోహం,দেশদ্ৰোহ
సంధి,সন্ধি
యుద్ధం ద్వారా విచారణ (=యుద్ధం ద్వారా కాలిబాట),যুদ্ধৰ দ্বাৰা পৰীক্ষা (=যুদ্ধৰ দ্বাৰা ট্ৰেইল)
నివాళి,শ্ৰদ্ধাঞ্জলি
నివాళి,শ্ৰদ্ধাঞ্জলি
నివాళి భూమి,শ্ৰদ্ধাঞ্জলি ভূমি
ట్రిపుల్ కూటమి,ট্ৰিপল এলায়েন্স
ట్రిపుల్ entente,ট্ৰিপল এণ্টেণ্ট
విజయం,জয়লাভ
విజయం,জয়লাভ
అలజడి,অস্থিৰতা
నిరంకుశ హత్య,অত্যাচাৰী হত্যা
నిరంకుశ హత్య,অত্যাচাৰী হত্যা
దౌర్జన్యం,অত্যাচাৰ
దౌర్జన్యం,অত্যাচাৰ
నిరంకుశుడు,অত্যাচাৰী
ఉహ్లాన్,উহলান
ఉకాసే,উকাচে
ఉకాసే,উকাচে
ఉలేమా,উলেমা
అల్టిమేటం,আলটিমেটাম
అల్టిమేటం,আলটিমেটাম
సామ్ మామయ్య,ককাক ছেম
అండర్-కింగ్,আণ্ডাৰ-কিং
యునైటెడ్ ఐరిష్ మెన్,ইউনাইটেড আইৰিছমেন
ఐక్యరాజ్యసమితి,যুক্তৰাষ্ট্ৰ
యునైటెడ్ ప్రావిన్స్,সংযুক্ত প্ৰভিন্স
యునైటెడ్ ప్రావిన్స్,সংযুক্ত প্ৰভিন্স
అసమానమైన కోట,ইউনিভেলেটেড দুৰ্গ
సార్వత్రిక చక్రవర్తి,সাৰ্বজনীন ৰজা
సార్వత్రిక ఓటు హక్కు,সাৰ্বজনীন ভোটাধিকাৰ
తిరుగుబాటు,বিদ্ৰোহ
దోపిడీ,দখল কৰা
దోపిడీదారుడు,দখলদাৰী
ఆదర్శధామం,ইউটোপিয়া
విధ్వంసం,ভাণ্ডাল
విధ్వంసం,ভাঙি-ছিঙি পেলোৱা
వాన్గార్డ్,ভ্যানগাৰ্ড
వాన్గార్డ్,ভ্যানগাৰ্ড
వాన్గార్డ్,ভ্যানগাৰ্ড
వరంజియన్,ভাৰংগিয়ান
వరంజియన్ గార్డు,ভাৰংগিয়ান গাৰ্ড
వాసల్,ভেছাল
వాసల్,ভেছাল
వాసల్ రాష్ట్రం,ভেছাল অৱস্থা
వాటికన్ కౌన్సిల్,ভেটিকান কাউন্সিল
ఓడ,পাত্ৰ
ఓడ,পাত্ৰ
ఓడ,পাত্ৰ
ఉపరాజు,উপ-ৰজা
వైస్రాయ్,ভাইচৰয়
వైస్రాయిల్టీ=వైస్రాయ్‌షిప్,ভাইচৰয়লিটি=ভাইচৰয়শ্বিপ
విక్టర్,ভিক্টৰ
విజయం,বিজয়
విలన్,ভিলেইন
సముద్రయానం,জলপথে গমন
దుర్బలమైన కోట,দুৰ্বল দুৰ্গ
వాల్ పెయింటింగ్,ৱাল পেইন্টিং
వాల్ పెయింటింగ్,ৱাল পেইন্টিং
యుద్ధం,যুদ্ধ
యుద్ధ ప్రభువు,যুদ্ধ-প্ৰভু
యోధుడు,যোদ্ধা
యోధుడు,যোদ্ধা
యోధుడు,যোদ্ধা
యుద్ధనౌక,যুদ্ধজাহাজ
వాచ్-వర్డ్,ৱাচ-ৱৰ্ড
సంక్షేమ రాజ్యం,কল্যাণকামী ৰাষ্ট্ৰ
సంక్షేమ పనులు,কল্যাণমূলক কাম
విగ్,হুইগ
తెల్ల జెండా,বগা পতাকা
తెల్లవారి భారం,বগা মানুহৰ বোজা
ప్రపంచ సామ్రాజ్యం,বিশ্ব সাম্ৰাজ্য
ప్రపంచ ఉద్యమం,বিশ্ব আন্দোলন
ప్రపంచ రాజకీయాలు,বিশ্ব ৰাজনীতি
ప్రపంచ శక్తి,বিশ্ব শক্তি
ప్రపంచ యుద్ధం,বিশ্বযুদ্ধ
వ్రేకర్,ৰেকাৰ
ధ్వంసమైన సవరణ,ধ্বংসাত্মক সংশোধনী
జెనెలాసిస్,জেনেলাচিছ
జెనోఫోబియా,বিদেশী ঘৃণা
యాంకీ,য়েংকি
పసుపు రంగు గల చొక్కా,হালধীয়া জেকেট
పసుపు మనిషి,হালধীয়া মানুহ
పసుపు ప్రమాదం,হালধীয়া বিপদ
పసుపు ప్రెస్,হালধীয়া প্ৰেছ
యంగ్ టర్క్స్,যুৱ তুৰ্কী
జ్యూస్,জিউছ
జియోనిజం,জায়নিজম
జొరాస్ట్రియనిజం,জৰদস্তি ধৰ্ম
