Gujarati,Punjabi
1. એગ લેઇંગ 2. એગ ફોર્સ,1. ਅੰਡਾ ਦੇਣਾ 2. ਅੰਡੇ ਦੀ ਤਾਕਤ
સૂકું ઘાસ,ਸੁੱਕਾ ਘਾਹ
શુષ્ક ફીડ,ਸੁੱਕੀ ਫੀਡ
ગંજી,ਗੰਜੀ
ઝાકળ,ਧੁੰਦ
ધૂંધળું,ਧੁੰਦਲਾ
1. બાલી 2. સિત્ત 3. મુંડક 4. ટોપ 5. હેડ 6. સિરા,1. ਬਲੀ 2. ਸੀਤਾ 3. ਮੁੰਡਕ 4. ਸਿਖਰ 5. ਸਿਰ 6. ਸਿਰਾ
ખાંચનો અંત,ਝਰੀ ਦਾ ਅੰਤ
ટોચ કાપણી,ਚੋਟੀ ਦੀ ਛਾਂਟੀ
વાડ,ਵਾੜ
કસ્ટડીમાં,ਹਿਰਾਸਤ
કુંડલિની,ਕੁੰਡਲਨੀ
હેમેટાઇટ,hematite
1. ઔષધિ 2. ઔષધિ,1. ਜੜੀ ਬੂਟੀ 2. ਜੜੀ ਬੂਟੀ
1.બોટનિકલ કલેક્શન 2.બોટનિકલ મ્યુઝિયમ,1.ਬੋਟੈਨੀਕਲ ਕਲੈਕਸ਼ਨ 2.ਬੋਟੈਨੀਕਲ ਮਿਊਜ਼ੀਅਮ
હર્બિસાઇડ,ਜੜੀ-ਬੂਟੀਆਂ ਨਾਸ਼ਕ
આનુવંશિકતા,ਖ਼ਾਨਦਾਨੀ
આનુવંશિકતા,ਖ਼ਾਨਦਾਨੀ
ઉભયલિંગી,ਲਿੰਗੀ
હેટરોક્રોમેટિક,heterochromatic
હેટરોફર્ટિલાઇઝેશન,heterofertilization
1. હાઇબ્રિડોઝ 2. હેટેરોસિસ,1. ਹਾਈਬ੍ਰਿਡੋਜ਼ 2. ਹੇਟਰੋਸਿਸ
લૈંગિક રંગસૂત્રો,ਸੈਕਸਕ੍ਰੋਮੋਸੋਮ
ઉછેર,ਪਾਲਣ ਪੋਸ਼ਣ
હેક્સાડેસિમલ,ਹੈਕਸਾਡੈਸੀਮਲ
ઠંડી નિષ્ક્રિયતા,ਠੰਡੀ ਸੁਸਤਤਾ
ઉચ્ચ ઘનતા વાવેતર,ਉੱਚ ਘਣਤਾ ਲਾਉਣਾ
1. પિંડલક 2. ટેકરી (ડાંગર),1. ਪਿਂਡਲਕ 2. ਪਹਾੜੀ (ਝੋਨਾ)
હિસ્ટોગ્રામ,ਹਿਸਟੋਗ੍ਰਾਮ
ઉચ્ચ તકનીકી બાગાયત,ਉੱਚ ਤਕਨੀਕੀ ਬਾਗਬਾਨੀ
1. દહીં 2. મધપૂડો,1. ਦਹੀਂ 2. ਛਪਾਕੀ
1. નીંદણ 2. નીંદણ,1. ਨਦੀਨ 2. ਨਦੀਨ
હોલ્ડિંગ,ਹੋਲਡ
ખાનગી ફાર્મ,ਪ੍ਰਾਈਵੇਟ ਫਾਰਮ
હોમિયોસ્ટેસિસ,ਹੋਮਿਓਸਟੈਸਿਸ
વતન,ਵਤਨ
એકરૂપતા,ਸਮਰੂਪਤਾ
1. સજાતીય 2. સજાતીય,1. ਸਮਰੂਪ 2. ਸਮਰੂਪ
સહાનુભૂતિશીલ,ਹਮਦਰਦ
સજાતીય,ਸਮਰੂਪ
1. ઘુર્લિકા 2. ખાદ્યપદાર્થો 3. હાપર,1. ਖੁਰਲਿਕਾ 2. ਭੋਜਨ ਦਾ ਡੱਬਾ 3. ਹੈਪਰ
1. સ્તર 2. ક્ષિતિજ,1. ਪਰਤ 2. ਹੋਰਾਈਜ਼ਨ
બાગાયતી પાક,ਬਾਗਬਾਨੀ ਫਸਲ
1. બાગાયત 2. બાગાયત 3. બાગાયત 4. બાગાયત,1. ਬਾਗਬਾਨੀ 2. ਬਾਗਬਾਨੀ 3. ਬਾਗਬਾਨੀ 4. ਬਾਗਬਾਨੀ
