Gujarati,Punjabi
વિપરીત સૂચિ ફાઇલ,ਉਲਟ ਸੂਚੀ ਫਾਇਲ
વિપરીત પૃષ્ઠ કોષ્ટક,ਉਲਟ ਪੰਨਾ ਸਾਰਣੀ
"1. ઇન્ટરચેન્જર, 2. પ્રતીક","1. ਇੰਟਰਚੇਂਜਰ, 2. ਪ੍ਰਤੀਕ"
કાર્ય વ્યવસ્થાપન,ਕਾਰਜ ਪ੍ਰਬੰਧਨ
ક્રિયા લક્ષી ભાષા,ਕਾਰਵਾਈ ਅਧਾਰਿਤ ਭਾਸ਼ਾ
કાર્ય અગ્રતા,ਕੰਮ ਦੀ ਤਰਜੀਹ
નોકરીનું સમયપત્રક,ਨੌਕਰੀ ਦੀ ਸਮਾਂ-ਸਾਰਣੀ
કાર્ય ક્રમ,ਕਾਰਜ ਕ੍ਰਮ
કાર્ય શેડ્યૂલ,ਕੰਮ ਦਾ ਕਾਰਜਕ੍ਰਮ
ઉમેરવુ,ਸੰਮਿਲਨ
જોઈન્ટ ફોટોગ્રાફી ગ્રુપ (JPG),ਜੁਆਇੰਟ ਫੋਟੋਗ੍ਰਾਫੀ ਗਰੁੱਪ (JPG)
મેગેઝિન,ਮੈਗਜ਼ੀਨ
આનંદની લાકડી,ਖੁਸ਼ੀ ਦੀ ਸੋਟੀ
"1.આકારણી, 2.નિર્ણય","1. ਮੁਲਾਂਕਣ, 2. ਫੈਸਲਾ"
કૂદી,ਛਾਲ
કૂદવાની સૂચના,ਛਾਲ ਮਾਰਨ ਦੀ ਹਦਾਇਤ
જમ્પર,ਜੰਪਰ
"1. સંગમ, 2. સંધિ, 3. સંયુક્ત","1. ਸੰਗਮ, 2. ਸੰਧੀ, 3. ਸੰਯੁਕਤ"
કચરો,ਰੱਦੀ
વાજબીપણું,ਜਾਇਜ਼
કિલો બાઈટ,ਕਿਲੋ ਬਾਈਟ
Karnoff નકશો,Karnoff ਨਕਸ਼ਾ
કાર્નોફ ચિત્ર,karnoff ਤਸਵੀਰ
KB (કિલોગ્રામ બાઈટ),KB (ਕਿਲੋਗ੍ਰਾਮ ਬਾਈਟ)
"1. અષ્ટી, 2. કર્નલ, 3. કર્નલ","1. ਅਸ਼ਟਿ, 2. ਕਰਨਲ, 3. ਕਰਨਲ"
આઠ મોડ,ਅੱਠ ਮੋਡ
અનુકૂલન,ਅਨੁਕੂਲਤਾ
કી,ਕੁੰਜੀ
કીબોર્ડ,ਕੀਬੋਰਡ
"1.કી બાઉન્સ, 2.કી રિજેક્ટ","1.ਕੁੰਜੀ ਉਛਾਲ, 2.ਕੁੰਜੀ ਅਸਵੀਕਾਰ"
કી ક્લિક કરો,ਕੁੰਜੀ ਕਲਿੱਕ
કી કમ્પ્રેશન,ਕੁੰਜੀ ਕੰਪਰੈਸ਼ਨ
"1.કી ડિસ્ક, 2.કી ડિસ્ક","1.ਕੁੰਜੀ ਡਿਸਕ, 2.ਕੀ ਡਿਸਕ"
કી એન્કોડિંગ,ਕੁੰਜੀ ਇੰਕੋਡਿੰਗ
મુખ્ય વિસ્તાર,ਮੁੱਖ ਖੇਤਰ
"1.કી ફાઇલ, 2.કી ફાઇલ","1.ਕੁੰਜੀ ਫਾਈਲ, 2.ਕੁੰਜੀ ਫਾਈਲ"
મુખ્ય માળખું,ਮੁੱਖ ਬਣਤਰ
કી મેનેજમેન્ટ,ਕੁੰਜੀ ਪ੍ਰਬੰਧਨ
કી પેડ,ਕੁੰਜੀ ਪੈਡ
કી પેડ,ਕੁੰਜੀ ਪੈਡ
મુખ્ય શબ્દસમૂહ,ਮੁੱਖ ਵਾਕਾਂਸ਼
કી પલ્સ,ਕੁੰਜੀ ਨਬਜ਼
કી પંચર,ਕੁੰਜੀ puncher
કી પ્રકાર,ਕੁੰਜੀ ਲੜੀਬੱਧ
"1.કી સ્ટ્રોક, 2.કી સ્ટ્રોક, 3.કી પ્રેશર","1.ਕੁੰਜੀ ਸਟ੍ਰੋਕ, 2.ਕੀ ਸਟ੍ਰੋਕ, 3.ਕੀ ਦਬਾਅ"
સરનામું ટ્રાન્સફર કી,ਪਤਾ ਟ੍ਰਾਂਸਫਰ ਕੁੰਜੀ
"1. ડિસ્ક કી, 2. ડિસ્ક કી","1. ਡਿਸਕ ਕੁੰਜੀ, 2. ਡਿਸਕ ਕੁੰਜੀ"
ફ્લોપી કી,ਫਲਾਪੀ ਕੁੰਜੀ
ટેપ કી,ਟੇਪ ਕੁੰਜੀ
મુખ્ય શબ્દ,ਮੁੱਖ ਸ਼ਬਦ
"1.લાત, 2.થમ્પ","1.ਲੱਤੀ, 2.ਥੰਪ"
ઝૂંપડી,ਝੌਂਪੜੀ
કિલો બીટ,ਕਿਲੋ ਬਿੱਟ
ગાંઠ,ਗੰਢ
જ્ઞાન આધારિત માહિતી સેવાઓ,ਗਿਆਨ ਅਧਾਰਤ ਜਾਣਕਾਰੀ ਸੇਵਾਵਾਂ
જ્ઞાનની શોધ,ਗਿਆਨ ਦੀ ਖੋਜ
જ્ઞાન શોધ ડેટાબેઝ,ਗਿਆਨ ਖੋਜ ਡੇਟਾਬੇਸ
જ્ઞાન ઇજનેરી,ਗਿਆਨ ਇੰਜੀਨੀਅਰਿੰਗ
જ્ઞાન વ્યવસ્થાપન,ਗਿਆਨ ਪ੍ਰਬੰਧਨ
જ્ઞાન કાર્યકર,ਗਿਆਨ ਕਰਮਚਾਰੀ
લેન એડેપ્ટર,ਲੈਨ ਅਡਾਪਟਰ
"1.LAN સર્વર, 2.LAN સર્વર","1.LAN ਸਰਵਰ, 2.LAN ਸਰਵਰ"
LAN કાર્યસ્થળ,LAN ਕੰਮ ਵਾਲੀ ਥਾਂ
આડું ચિત્ર,ਖਿਤਿਜੀ ਤਸਵੀਰ
"1.આડી છબી, 2.લેન્ડસ્કેપ","1. ਹਰੀਜੱਟਲ ਚਿੱਤਰ, 2. ਲੈਂਡਸਕੇਪ"
ભાષા,ਭਾਸ਼ਾ
ભાષા પ્રશિક્ષક,ਭਾਸ਼ਾ ਸਿੱਖਿਅਕ
ભાષા પ્રોસેસર,ਭਾਸ਼ਾ ਪ੍ਰੋਸੈਸਰ
"1.ભાષા ટ્રાન્સફર, 2.ભાષા અનુવાદક","1.Language Transferr, 2.Language Translator"
લેપટોપ,ਲੈਪਟਾਪ
વ્યાપક એકીકરણ (LSI),ਵਿਆਪਕ ਏਕੀਕਰਣ (LSI)
માસ ઇન્ટિગ્રેશન (LSI),ਪੁੰਜ ਏਕੀਕਰਣ (LSI)
લેસર,ਲੇਜ਼ਰ
લેસર પ્રિન્ટર,ਲੇਜ਼ਰ ਪ੍ਰਿੰਟਰ
લાસ્ટ ઇનપુટ ફર્સ્ટ ઇશ્યુ (LIFO),ਆਖਰੀ ਇਨਪੁਟ ਪਹਿਲਾ ਅੰਕ (LIFO)
સ્તર,ਪਰਤ
"બ્લુ પ્રિન્ટ, લેઆઉટ","ਖਾਕਾ, ਖਾਕਾ"
"1. પાંદડા, 2. પાંદડા, 3. પત્ર","1. ਪੱਤੇ, 2. ਪੱਤੇ, 3. ਪੱਤਰ"
લીફ નોડ,ਪੱਤਾ ਨੋਡ
પાંદડાની જગ્યા,ਪੱਤਾ ਸਪਾਟ
લીઝ,ਲੀਜ਼
"1.લીઝ ચેનલ, 2.લીઝ સિસ્ટમ","1.ਲੀਜ਼ ਚੈਨਲ, 2.ਲੀਜ਼ ਸਿਸਟਮ"
"1.લાઇન,2.લીશ લાઇન","1.ਲਾਈਨ, 2.ਲੀਸ਼ ਲਾਈਨ"
ન્યૂનતમ અર્થપૂર્ણ બીટ shell.sb),ਘੱਟੋ-ਘੱਟ ਅਰਥਪੂਰਨ ਬਿੱਟ shell.sb)
ઓછામાં ઓછો નોંધપાત્ર સ્કોર,ਘੱਟੋ-ਘੱਟ ਮਹੱਤਵਪੂਰਨ ਸਕੋਰ
"1. વારસાગત સિસ્ટમ, 2. વારસાગત સિસ્ટમ","1. ਵਿਰਾਸਤੀ ਪ੍ਰਣਾਲੀ, 2. ਵਿਰਾਸਤੀ ਪ੍ਰਣਾਲੀ"
"1. લેમા, 2. પ્રમેય","1. ਲੇਮਾ, 2. ਪ੍ਰਮੇਯ"
અક્ષરની ગુણવત્તા (LQ),ਅੱਖਰ ਗੁਣਵੱਤਾ (LQ)
શબ્દશઃ,ਸ਼ਬਦਾਵਲੀ
લેક્સિકોલોજી,ਕੋਸ਼ ਵਿਗਿਆਨ
"1.આર્કાઇવ, 2.લાઇબ્રેરી","1.ਆਰਕਾਈਵ, 2.ਲਾਇਬ੍ਰੇਰੀ"
"1.લાઇબ્રેરી પ્રોગ્રામ, 2.આર્કાઇવ પ્રોગ્રામિંગ","1.ਲਾਇਬ੍ਰੇਰੀ ਪ੍ਰੋਗਰਾਮ, 2.ਆਰਕਾਈਵ ਪ੍ਰੋਗਰਾਮਿੰਗ"
પુસ્તકાલય નિર્દેશિકા,ਲਾਇਬ੍ਰੇਰੀ ਡਾਇਰੈਕਟਰੀ
"1. લાઇસન્સ એગ્રીમેન્ટ, 2. લાઇસન્સ એગ્રીમેન્ટ","1. ਲਾਇਸੈਂਸ ਇਕਰਾਰਨਾਮਾ, 2. ਲਾਇਸੈਂਸ ਇਕਰਾਰਨਾਮਾ"
લાઇટ એમિટીંગ ડાયોડ્સ (LEDs),ਲਾਈਟ ਐਮੀਟਿੰਗ ਡਾਇਡਸ (LEDs)
હળવી બંદૂક,ਹਲਕਾ ਬੰਦੂਕ
હળવી પેન,ਹਲਕਾ ਕਲਮ
રેખીય એડેપ્ટર,ਰੇਖਿਕ ਅਡਾਪਟਰ
રેખા સંપાદન,ਲਾਈਨ ਸੰਪਾਦਨ
"1.લાઇન પ્રિન્ટર, 2.લાઇન પ્રિન્ટર","1.ਲਾਈਨ ਪ੍ਰਿੰਟਰ, 2.ਲਾਈਨ ਪ੍ਰਿੰਟਰ"
"1.રેખીય, 2.રેખીય","1.ਰੇਖਿਕ, 2.ਰੇਖਿਕ"
લાઇન્સ પ્રતિ મિનિટ (LPM),ਲਾਈਨਾਂ ਪ੍ਰਤੀ ਮਿੰਟ (LPM)
"1. લિંક, લિંક, 2. સાંકળ,3. બોન્ડ","1. ਲਿੰਕ, ਲਿੰਕ, 2. ਚੇਨ, 3. ਬਾਂਡ"
સાંકળો યાદી,ਜੰਜੀਰੀ ਸੂਚੀ
Linux,ਲੀਨਕਸ
"1.લિક્વિડ ક્રિસ્ટલ ડિસ્પ્લે, 2.લિક્વિડ ક્રિસ્ટલ ડિસ્પ્લે (LCD)","1.ਤਰਲ ਕ੍ਰਿਸਟਲ ਡਿਸਪਲੇ, 2.ਲਿਕਵਿਡ ਕ੍ਰਿਸਟਲ ਡਿਸਪਲੇ (LCD)"
યાદી પ્રક્રિયા,ਸੂਚੀ ਦੀ ਕਾਰਵਾਈ
"1.અક્ષર, 2.શાબ્દિક","1. ਅੱਖਰ, 2. ਸ਼ਾਬਦਿਕ"
"1. સક્રિય, 2. જીવંત, 3. ઇલેક્ટ્રિકલ, 4. મૂવિંગ","1. ਕਿਰਿਆਸ਼ੀਲ, 2. ਜੀਵਤ, 3. ਬਿਜਲੀ, 4. ਚਲਦਾ"
જીવંત ગાંઠ,ਲਾਈਵ ਗੰਢ
"1.લોડ, 2.લોડ","1. ਲੋਡ, 2. ਲੋਡ"
"1.લોડ મોડ્યુલ, 2.લોડ મોડ્યુલેટર","1.ਲੋਡ ਮੋਡਿਊਲ, 2.ਲੋਡ ਮੋਡਿਊਲੇਟਰ"
"1.સ્થાનિક, 2.સ્થાનિક","1.ਸਥਾਨਕ, 2.ਸਥਾਨਕ"
સ્થાનિક ઍક્સેસ,ਸਥਾਨਕ ਪਹੁੰਚ
લોકલ એરિયા નેટવર્ક (LAN),ਲੋਕਲ ਏਰੀਆ ਨੈੱਟਵਰਕ (LAN)
સ્થાનિક સ્પષ્ટતા,ਸਥਾਨਕ ਸਪੱਸ਼ਟਤਾ
"1. સ્થાનિક નેટવર્ક, 2. સ્થાનિક કેન્દ્ર 3. સ્થાનિક વિનિમય","1. ਸਥਾਨਕ ਨੈੱਟਵਰਕ, 2. ਸਥਾਨਕ ਕੇਂਦਰ 3. ਸਥਾਨਕ ਮੁਦਰਾ"
સ્થાનિક મેમરી,ਸਥਾਨਕ ਮੈਮੋਰੀ
સ્થાનિક મોડ,ਸਥਾਨਕ ਮੋਡ
સ્થાનિક ચલ,ਸਥਾਨਕ ਵੇਰੀਏਬਲ
"લૂપ, તાળું","ਲੂਪ, ਲਾਕ"
લૂપ ફાઇલ,ਲੂਪ ਫਾਈਲ
સત્રની શરૂઆત,ਸੈਸ਼ਨ ਸ਼ੁਰੂ
મુદતનો અંત,ਮਿਆਦ ਦੇ ਅੰਤ
લેખન,ਲੇਖਕ
તર્ક વિશ્લેષક,ਤਰਕ ਵਿਸ਼ਲੇਸ਼ਕ
તર્ક બોમ્બ,ਤਰਕ ਬੰਬ
લોજિક કાર્ડ,ਤਰਕ ਕਾਰਡ
લોજિક ચાર્ટ (ફ્લોચાર્ટ),ਤਰਕ ਚਾਰਟ (ਫਲੋਚਾਰਟ)
લોજિક સર્કિટ,ਤਰਕ ਸਰਕਟ
તર્ક ડિઝાઇન,ਤਰਕ ਡਿਜ਼ਾਈਨ
લોજિક ડાયાગ્રામ,ਤਰਕ ਚਿੱਤਰ
લોજિકલ ફ્લોચાર્ટ,ਲਾਜ਼ੀਕਲ ਫਲੋਚਾਰਟ
તર્ક કાર્ય,ਤਰਕ ਫੰਕਸ਼ਨ
તર્ક દ્વાર,ਤਰਕ ਗੇਟ
"1. લોજિક પ્રોગ્રામિંગ, 2. લોજિક પ્રોગ્રામિંગ","1. ਤਰਕ ਪ੍ਰੋਗਰਾਮਿੰਗ, 2. ਤਰਕ ਪ੍ਰੋਗਰਾਮਿੰਗ"
તર્ક વિસ્થાપન,ਤਰਕ ਵਿਸਥਾਪਨ
તર્કની સ્થિતિ,ਤਰਕ ਸਥਿਤੀ
તર્ક સ્વીચ,ਤਰਕ ਸਵਿੱਚ
તર્ક એકમ,ਤਰਕ ਇਕਾਈ
તાર્કિક,ਲਾਜ਼ੀਕਲ
તાર્કિક જોડાણ,ਲਾਜ਼ੀਕਲ ਜੋੜ
લોજિકલ ડેટા માળખું,ਲਾਜ਼ੀਕਲ ਡਾਟਾ ਬਣਤਰ
લોજિકલ ડાયાગ્રામ,ਲਾਜ਼ੀਕਲ ਚਿੱਤਰ
તાર્કિક અભિવ્યક્તિ,ਲਾਜ਼ੀਕਲ ਸਮੀਕਰਨ
લોજિકલ ફ્લોચાર્ટ,ਲਾਜ਼ੀਕਲ ਫਲੋਚਾਰਟ
લોજિકલ IF (લોજિકલ જો),ਲਾਜ਼ੀਕਲ IF (ਲਾਜ਼ੀਕਲ ਜੇ)
તર્કસંગત કામગીરી,ਤਰਕਸੰਗਤ ਕਾਰਵਾਈ
તર્કસંગત ઓપરેટર,ਤਰਕਸ਼ੀਲ ਆਪਰੇਟਰ
તર્કસંગત જોડાણ,ਤਰਕਸ਼ੀਲ ਕੁਨੈਕਸ਼ਨ
તાર્કિક યોજના,ਲਾਜ਼ੀਕਲ ਯੋਜਨਾ
"1. તર્કસંગત પાત્ર, 2. તાર્કિક પાત્ર","1. ਤਰਕਸ਼ੀਲ ਅੱਖਰ, 2. ਤਰਕਸ਼ੀਲ ਅੱਖਰ"
લોજિકલ પેટર્ન,ਲਾਜ਼ੀਕਲ ਪੈਟਰਨ
તાર્કિક મૂલ્ય,ਲਾਜ਼ੀਕਲ ਮੁੱਲ
લોજિકલ ચલ,ਲਾਜ਼ੀਕਲ ਵੇਰੀਏਬਲ
પ્રાપ્ત વિહંગાવલોકન,ਸੰਖੇਪ ਜਾਣਕਾਰੀ ਪ੍ਰਾਪਤ ਕੀਤੀ
પૂર્વાવલોકન સેટ,ਝਲਕ ਸੈੱਟ
અવલોકન,ਨਿਰੀਖਣ
"1.લૂપ, 2.લૂપ","1.ਲੂਪ, 2.ਲੂਪ"
લૂપ નિયંત્રણ,ਲੂਪ ਕੰਟਰੋਲ
લૂપ આરંભ,ਲੂਪ ਸ਼ੁਰੂਆਤ
લૂપ વિવિધતા,ਲੂਪ ਪਰਿਵਰਤਨ
"1.લૂપ નેટવર્ક, 2.લૂપ નેટવર્ક","1. ਲੂਪ ਨੈੱਟਵਰਕ, 2. ਲੂਪ ਨੈੱਟਵਰਕ"
લૂપ આરંભ,ਲੂਪ ਸ਼ੁਰੂਆਤ
લૂપ-સમાપ્તિ,ਲੂਪ-ਐਂਡ
કાઉન્ટર-લૂપ ટેસ્ટ,ਵਿਰੋਧੀ-ਲੂਪ ਟੈਸਟ
ઢીલી રીતે જોડાયેલી,ਢਿੱਲੀ ਜੋੜੀ
લોસલેસ કમ્પ્રેશન,ਨੁਕਸਾਨ ਰਹਿਤ ਸੰਕੁਚਨ
હાસે કમ્પ્રેશન,ਹੈਸ ਕੰਪਰੈਸ਼ਨ
ઓછી બાઈટ,ਘੱਟ ਬਾਈਟ
નિમ્ન સ્તરની ભાષા,ਹੇਠਲੇ ਪੱਧਰ ਦੀ ਭਾਸ਼ਾ
નીચા પાસ ફિલ્ટર,ਘੱਟ ਪਾਸ ਫਿਲਟਰ
"1.ઓછી કન્ડિશન્ડ, 2. નીચે બંધાયેલ","1. ਘੱਟ ਕੰਡੀਸ਼ਨਡ, 2. ਹੇਠਾਂ ਬੰਨ੍ਹਿਆ ਹੋਇਆ ਹੈ"
"1.MAC પ્રોટોકોલ, 2.MAC એથિક્સ (મિડલ એક્સેસ કંટ્રોલ)","1.MAC ਪ੍ਰੋਟੋਕੋਲ, 2.MAC ਨੈਤਿਕਤਾ (ਮਿਡਲ ਐਕਸੈਸ ਕੰਟਰੋਲ)"
"1. મશીન, 2. મશીન","1. ਮਸ਼ੀਨ, 2. ਮਸ਼ੀਨ"
મશીન સરનામું,ਮਸ਼ੀਨ ਦਾ ਪਤਾ
"1. મશીન કોડ, 2. મશીન કોડ","1. ਮਸ਼ੀਨ ਕੋਡ, 2. ਮਸ਼ੀਨ ਕੋਡ"
મશીન વ્હીલ,ਮਸ਼ੀਨ ਦਾ ਚੱਕਰ
યાંત્રિક ભાષા,ਮਸ਼ੀਨੀ ਭਾਸ਼ਾ
યાંત્રિક સોફ્ટવેર,ਮਕੈਨੀਕਲ ਸਾਫਟਵੇਅਰ
ઉપકરણ ભૂલ,ਜੰਤਰ ਗਲਤੀ
મશીન નિષ્ક્રિય સમય,ਮਸ਼ੀਨ ਦਾ ਵਿਹਲਾ ਸਮਾਂ
મશીન ભાષા,ਮਸ਼ੀਨ ਭਾਸ਼ਾ
મેન્યુઅલ,ਮੈਨੁਅਲ
મશીન સેન્સ,ਮਸ਼ੀਨ ਦੀ ਭਾਵਨਾ
"1.મશીન લેંગ્વેજ, 2.મશીન લેંગ્વેજ","1.ਮਸ਼ੀਨ ਭਾਸ਼ਾ, 2.ਮਸ਼ੀਨ ਭਾਸ਼ਾ"
મશીન લર્નિંગ,ਮਸ਼ੀਨ ਸਿਖਲਾਈ
મશીન કામગીરી,ਮਸ਼ੀਨ ਦੀ ਕਾਰਵਾਈ
મશીન ભાષા,ਮਸ਼ੀਨ ਭਾਸ਼ਾ
મશીન કામગીરી,ਮਸ਼ੀਨ ਦੀ ਕਾਰਗੁਜ਼ਾਰੀ
મશીન સિમ્યુલેશન,ਮਸ਼ੀਨ ਸਿਮੂਲੇਸ਼ਨ
મશીન હાઇજેક કરવાનો સમય,ਮਸ਼ੀਨ ਅਗਵਾ ਕਰਨ ਦਾ ਸਮਾਂ
મશીન અનુવાદ,ਮਸ਼ੀਨ ਅਨੁਵਾਦ
મશીન શબ્દો,ਮਸ਼ੀਨ ਸ਼ਬਦ
મેક્રો સૂચના,ਮੈਕਰੋ ਹਦਾਇਤ
મેક્રો સ્કેલ,ਮੈਕਰੋ ਸਕੇਲ
માસ એસેમ્બલીંગ પ્રોગ્રામ,ਮਾਸ ਅਸੈਂਬਲਿੰਗ ਪ੍ਰੋਗਰਾਮ
કુલ કૉલ,ਕੁੱਲ ਕਾਲ
"1.મેક્રો કોડ, 2.મેક્રો કોડ","1.ਮੈਕਰੋ ਕੋਡ, 2.ਮੈਕਰੋ ਕੋਡ"
મેક્રો આદેશ,ਮੈਕਰੋ ਕਮਾਂਡ
મેક્રો ઘોષણા,ਮੈਕਰੋ ਘੋਸ਼ਣਾ
મેક્રો વ્યાખ્યા,ਮੈਕਰੋ ਪਰਿਭਾਸ਼ਾ
મેક્રો ફ્લો ચાર્ટ,ਮੈਕਰੋ ਫਲੋ ਚਾਰਟ
મેક્રો જનરેટર,ਮੈਕਰੋ ਜਨਰੇਟਰ
મેક્રો સૂચના,ਮੈਕਰੋ ਹਦਾਇਤ
સ્થૂળ ભાષા,ਕੁੱਲ ਭਾਸ਼ਾ
મેક્રો લાઇબ્રેરી,ਮੈਕਰੋ ਲਾਇਬ੍ਰੇਰੀ
મેક્રો પરિમાણ,ਮੈਕਰੋ ਪੈਰਾਮੀਟਰ
મેક્રો પ્રોસેસિંગ,ਮੈਕਰੋ ਪ੍ਰੋਸੈਸਿੰਗ
"1.મેક્રો પ્રોસેસર, 2. મેક્રોપ્રોસેસર","1.ਮੈਕਰੋ ਪ੍ਰੋਸੈਸਰ, 2. ਮੈਕਰੋਪ੍ਰੋਸੈਸਰ"
મેક્રો પ્રોગ્રામિંગ,ਮੈਕਰੋ ਪ੍ਰੋਗਰਾਮਿੰਗ
કુલ પ્રોટોટાઇપ,ਕੁੱਲ ਪ੍ਰੋਟੋਟਾਈਪ
"1.મેક્રો એન્કોડિંગ, 2.મેક્રો કોડિંગ","1.ਮੈਕਰੋ ਏਨਕੋਡਿੰਗ, 2.ਮੈਕਰੋ ਕੋਡਿੰਗ"
મેગાબાઈટ (MB),ਮੈਗਾਬਾਈਟ (MB)
જાદુઈ પ્રતીક,ਜਾਦੂ ਦਾ ਪ੍ਰਤੀਕ
જાદુઈ સંખ્યા,ਮੈਜਿਕ ਨੰਬਰ
ચુંબકીય બબલ મેમરી,ਚੁੰਬਕੀ ਬੁਲਬੁਲਾ ਮੈਮੋਰੀ
ચુંબકીય કાર્ડ,ਚੁੰਬਕੀ ਕਾਰਡ
"1.મેગ્નેટિક સેલ, 2.મેગ્નેટિક સેલ","1.ਮੈਗਨੈਟਿਕ ਸੈੱਲ, 2.ਮੈਗਨੈਟਿਕ ਸੈੱਲ"
ચુંબકીય પ્રતીક,ਚੁੰਬਕੀ ਪ੍ਰਤੀਕ
ચુંબકીય કોર સંગ્રહ,ਚੁੰਬਕੀ ਕੋਰ ਸਟੋਰੇਜ਼
"1.મેગ્નેટિક ડિસ્ક, 2. ચુંબકીય ડિસ્ક","1.ਮੈਗਨੈਟਿਕ ਡਿਸਕ, 2. ਚੁੰਬਕੀ ਡਿਸਕ"
ચુંબકીય ડિસ્ક સરનામું,ਚੁੰਬਕੀ ਡਿਸਕ ਪਤਾ
ચુંબકીય ડિસ્ક મેમરી,ਚੁੰਬਕੀ ਡਿਸਕ ਮੈਮੋਰੀ
ચુંબકીય ડ્રમ,ਚੁੰਬਕੀ ਡਰੱਮ
"1.મેગ્નેટિક એન્કોડિંગ, 2.મેગ્નેટિક કોડિંગ, 3.મેગ્નેટિક કોડિંગ","1.ਮੈਗਨੈਟਿਕ ਏਨਕੋਡਿੰਗ, 2.ਮੈਗਨੈਟਿਕ ਕੋਡਿੰਗ, 3.ਮੈਗਨੈਟਿਕ ਕੋਡਿੰਗ"
ચુંબકીય ટોચ,ਚੁੰਬਕੀ ਸਿਖਰ
ચુંબકીય શાહી,ਚੁੰਬਕੀ ਸਿਆਹੀ
મેગ્નેટિક ઇંક કેરેક્ટર રેકગ્નિશન (MICR),ਚੁੰਬਕੀ ਸਿਆਹੀ ਅੱਖਰ ਪਛਾਣ (MICR)
ચુંબકીય માધ્યમ,ਚੁੰਬਕੀ ਮਾਧਿਅਮ
ચુંબકીય વાંચન,ਚੁੰਬਕੀ ਰੀਡਿੰਗ
ચુંબકીય રેકોર્ડિંગ,ਚੁੰਬਕੀ ਰਿਕਾਰਡਿੰਗ
ચુંબકીય સંગ્રહ,ਚੁੰਬਕੀ ਸਟੋਰੇਜ਼
ચુંબકીય પટ્ટી,ਚੁੰਬਕੀ ਪੱਟੀ
ચુંબકીય ટેપ,ਚੁੰਬਕੀ ਟੇਪ
ચુંબકીય ટેપ કારતૂસ,ਚੁੰਬਕੀ ਟੇਪ ਕਾਰਤੂਸ
ચુંબકીય ટેપ ડ્રાઇવ,ਚੁੰਬਕੀ ਟੇਪ ਡਰਾਈਵ
ચુંબકીય ટેપ પુરોગામી,ਚੁੰਬਕੀ ਟੇਪ ਪੂਰਵਗਾਮੀ
ચુંબકીય ટેપ ગ્રંથપાલ,ਚੁੰਬਕੀ ਟੇਪ ਲਾਇਬ੍ਰੇਰੀਅਨ
ચુંબકીય ટેપ ઍક્સેસ,ਚੁੰਬਕੀ ਟੇਪ ਪਹੁੰਚ
ચુંબકીય ટેપ એકમ,ਚੁੰਬਕੀ ਟੇਪ ਯੂਨਿਟ
"1.મેગ્નેટિક થિન લેયર, 2.મેગ્નેટિક થિન ફિલ્મ","1.ਮੈਗਨੈਟਿਕ ਪਤਲੀ ਪਰਤ, 2.ਮੈਗਨੈਟਿਕ ਪਤਲੀ ਫਿਲਮ"
ચુંબકીય માર્ગ,ਚੁੰਬਕੀ ਮਾਰਗ
ચુંબકીય ઓપ્ટિકલ સંગ્રહ,ਚੁੰਬਕੀ ਆਪਟੀਕਲ ਸਟੋਰੇਜ਼
"1.મેગ્નેટ પ્રિન્ટર, 2.મેગ્નેટ પ્રિન્ટર","1.ਮੈਗਨੇਟ ਪ੍ਰਿੰਟਰ, 2.ਮੈਗਨੇਟ ਪ੍ਰਿੰਟਰ"
ચુંબકીય વિકૃતિ,ਚੁੰਬਕੀ ਵਿਗਾੜ
ચુંબકીય રીતે વિકૃત ટેબ્લેટ,ਚੁੰਬਕੀ ਤੌਰ &#39;ਤੇ ਖਰਾਬ ਹੋਣ ਵਾਲੀ ਟੈਬਲੇਟ
"1. મેઈલ બોક્સ, 2. મેઈલ બોક્સ","1. ਮੇਲ ਬਾਕਸ, 2. ਮੇਲ ਬਾਕਸ"
મેલ મર્જ,ਮੇਲ ਅਭੇਦ
"1. મુખ્ય નિયંત્રણ એકમ, 2. મુખ્ય નિયંત્રણ એકમ","1. ਚੀਫ਼ ਕੰਟਰੋਲ ਯੂਨਿਟ, 2. ਚੀਫ਼ ਕੰਟਰੋਲ ਯੂਨਿਟ"
મુખ્ય ફ્રેમ,ਮੁੱਖ ਫਰੇਮ
"1.મુખ્ય ફ્રેમ સિસ્ટમ, 2.મુખ્ય ફ્રેમ મિકેનિઝમ","1. ਮੁੱਖ ਫਰੇਮ ਸਿਸਟਮ, 2. ਮੁੱਖ ਫਰੇਮ ਵਿਧੀ"
"1. મુખ્ય મેમરી, 2. મુખ્ય મેમરી","1. ਮੁੱਖ ਮੈਮੋਰੀ, 2. ਮੁੱਖ ਮੈਮੋਰੀ"
"1.મુખ્ય કાર્યક્રમ, 2.મુખ્ય કાર્યક્રમ","1.ਮੁੱਖ ਪ੍ਰੋਗਰਾਮ, 2.ਮੁੱਖ ਪ੍ਰੋਗਰਾਮ"
મુખ્ય સંગ્રહ,ਮੁੱਖ ਸਟੋਰੇਜ਼
"1.મુખ્ય સ્વિચ, 2.મુખ્ય સ્વિચ","1. ਮੁੱਖ ਸਵਿੱਚ, 2. ਮੁੱਖ ਸਵਿੱਚ"
"1. જાળવણી, 2. જાળવણી","1. ਮੇਨਟੇਨੈਂਸ, 2. ਮੇਨਟੇਨੈਂਸ"
