Marathi,Bengali
काउंटर-लूप चाचणी,পাল্টা লুপ পরীক্ষা
सैलपणे जोडलेले,ঢিলেঢালাভাবে মিলিত
दोषरहित कॉम्प्रेशन,ক্ষতিহীন কম্প্রেশন
हॅसे कॉम्प्रेशन,হ্যাসে কম্প্রেশন
कमी बाइट,কম বাইট
निम्न पातळीची भाषा,নিম্ন স্তরের ভাষা
कमी पास फिल्टर,কম পাস ফিল্টার
"1.कमी कंडिशन, 2. खाली बांधलेले","1.নিম্ন শর্তযুক্ত, 2. নীচে আবদ্ধ"
"1.MAC प्रोटोकॉल, 2.MAC नीतिशास्त्र (मध्यम प्रवेश नियंत्रण)","1.MAC প্রোটোকল, 2.MAC নীতিশাস্ত্র (মিডল অ্যাক্সেস কন্ট্রোল)"
"1. मशीन, 2. मशीन","1. মেশিন, 2. মেশিন"
मशीन पत्ता,মেশিন ঠিকানা
"1. मशीन कोड, 2. मशीन कोड","1. মেশিন কোড, 2. মেশিন কোড"
मशीन चाक,মেশিন চাকা
यांत्रिक भाषा,যান্ত্রিক ভাষা
यांत्रिक सॉफ्टवेअर,যান্ত্রিক সফ্টওয়্যার
डिव्हाइस त्रुटी,ডিভাইস ত্রুটি
मशीन निष्क्रिय वेळ,মেশিন অলস সময়
मशीन भाषा,মেশিন ভাষা
मॅन्युअल,ম্যানুয়াল
मशीन सेन्स,মেশিন সেন্স
"1.मशीन लँग्वेज, 2.मशीन लँग्वेज","1.মেশিন ল্যাঙ্গুয়েজ, 2.মেশিন ল্যাঙ্গুয়েজ"
मशीन लर्निंग,মেশিন লার্নিং
मशीन ऑपरेशन,মেশিন অপারেশন
मशीन भाषा,মেশিন ভাষা
मशीन कामगिरी,মেশিন কর্মক্ষমতা
मशीन सिम्युलेशन,মেশিন সিমুলেশন
मशीन अपहरण वेळ,মেশিন হাইজ্যাকিং সময়
मशीन भाषांतर,যন্ত্রানুবাদ
मशीन शब्द,মেশিন শব্দ
मॅक्रो सूचना,ম্যাক্রো নির্দেশ
मॅक्रो स्केल,ম্যাক্রো স্কেল
मास असेंबलिंग कार्यक्रम,গণ সমাবেশ কর্মসূচি
एकूण कॉल,স্থূল কল
"1.मॅक्रो कोड, 2.मॅक्रो कोड","1.ম্যাক্রো কোড, 2.ম্যাক্রো কোড"
मॅक्रो कमांड,ম্যাক্রো কমান্ড
मॅक्रो घोषणा,ম্যাক্রো ঘোষণা
मॅक्रो व्याख्या,ম্যাক্রো সংজ্ঞা
मॅक्रो फ्लो चार्ट,ম্যাক্রো ফ্লো চার্ট
मॅक्रो जनरेटर,ম্যাক্রো জেনারেটর
मॅक्रो सूचना,ম্যাক্রো নির্দেশ
ढोबळ भाषा,স্থূল ভাষা
मॅक्रो लायब्ररी,ম্যাক্রো লাইব্রেরি
मॅक्रो पॅरामीटर,ম্যাক্রো প্যারামিটার
मॅक्रो प्रक्रिया,ম্যাক্রো প্রক্রিয়াকরণ
"1.मॅक्रो प्रोसेसर, 2. मॅक्रोप्रोसेसर","1.ম্যাক্রো প্রসেসর, 2. ম্যাক্রোপ্রসেসর"
मॅक्रो प्रोग्रामिंग,ম্যাক্রো প্রোগ্রামিং
एकूण प्रोटोटाइप,স্থূল প্রোটোটাইপ
"1.मॅक्रो एन्कोडिंग, 2.मॅक्रो कोडिंग","1.ম্যাক্রো এনকোডিং, 2.ম্যাক্রো কোডিং"
मेगाबाइट (MB),মেগাবাইট (MB)
जादूचे प्रतीक,জাদু প্রতীক
जादूची संख्या,জাদু সংখ্যা
चुंबकीय बबल मेमरी,চৌম্বকীয় বুদ্বুদ মেমরি
चुंबकीय कार्ड,চৌম্বক কার্ড
"1.मॅग्नेटिक सेल, 2.चुंबकीय सेल","1.ম্যাগনেটিক সেল, 2.ম্যাগনেটিক সেল"
चुंबकीय चिन्ह,চৌম্বকীয় প্রতীক
चुंबकीय कोर स्टोरेज,চৌম্বকীয় কোর স্টোরেজ
"1.चुंबकीय डिस्क, 2. चुंबकीय डिस्क","1. ম্যাগনেটিক ডিস্ক, 2. চৌম্বকীয় ডিস্ক"
चुंबकीय डिस्क पत्ता,চৌম্বকীয় ডিস্ক ঠিকানা
चुंबकीय डिस्क मेमरी,চৌম্বকীয় ডিস্ক মেমরি
चुंबकीय ड्रम,চৌম্বক ড্রাম
"1.मॅग्नेटिक एन्कोडिंग, 2.मॅग्नेटिक कोडिंग, 3.मॅग्नेटिक कोडिंग","1. ম্যাগনেটিক এনকোডিং, 2. ম্যাগনেটিক কোডিং, 3. ম্যাগনেটিক কোডিং"
चुंबकीय शीर्ष,চৌম্বক শীর্ষ
चुंबकीय शाई,চৌম্বক কালি
मॅग्नेटिक इंक कॅरेक्टर रेकग्निशन (MICR),ম্যাগনেটিক ইঙ্ক ক্যারেক্টার রিকগনিশন (MICR)
चुंबकीय माध्यम,চৌম্বক মাধ্যম
चुंबकीय वाचन,চৌম্বকীয় পড়া
चुंबकीय रेकॉर्डिंग,চৌম্বকীয় রেকর্ডিং
चुंबकीय संचयन,চৌম্বকীয় স্টোরেজ
चुंबकीय पट्टी,তরিৎ - চৌম্বকীয় ফিতা
चुंबकीय टेप,চৌম্বকীয় টেপ
चुंबकीय टेप काडतूस,চৌম্বক টেপ কার্তুজ
चुंबकीय टेप ड्राइव्ह,চৌম্বকীয় টেপ ড্রাইভ
चुंबकीय टेप अग्रदूत,চৌম্বক টেপ অগ্রদূত
चुंबकीय टेप ग्रंथपाल,চৌম্বক টেপ গ্রন্থাগারিক
चुंबकीय टेप प्रवेश,চৌম্বকীয় টেপ অ্যাক্সেস
चुंबकीय टेप युनिट,চৌম্বকীয় টেপ ইউনিট
"1.चुंबकीय पातळ थर, 2.चुंबकीय पातळ फिल्म","1.চৌম্বকীয় পাতলা স্তর, 2.চৌম্বকীয় পাতলা ফিল্ম"
चुंबकीय मार्ग,চৌম্বক পথ
चुंबकीय ऑप्टिकल स्टोरेज,চৌম্বক অপটিক্যাল স্টোরেজ
"1.चुंबक प्रिंटर, 2.मॅग्नेट प्रिंटर","1. চুম্বক প্রিন্টার, 2. চুম্বক প্রিন্টার"
चुंबकीय विकृती,চৌম্বকীয় বিকৃতি
चुंबकीय विकृत टॅबलेट,চৌম্বকীয়ভাবে বিকৃত ট্যাবলেট
"1. मेल बॉक्स, 2. मेल बॉक्स","1. মেইল বক্স, 2. মেইল বক্স"
मेल विलीनीकरण,মেইল মার্জ
"1. मुख्य नियंत्रण एकक, 2. मुख्य नियंत्रण एकक","1. প্রধান নিয়ন্ত্রণ ইউনিট, 2. প্রধান নিয়ন্ত্রণ ইউনিট"
मुख्य चौकट,প্রধান ফ্রেম
"1.मुख्य फ्रेम प्रणाली, 2.मुख्य फ्रेम यंत्रणा","1. মেইন ফ্রেম সিস্টেম, 2. মেইন ফ্রেম মেকানিজম"
"1.मुख्य मेमरी, 2.मुख्य मेमरी","1. প্রধান মেমরি, 2. প্রধান মেমরি"
"1.मुख्य कार्यक्रम, 2.मुख्य कार्यक्रम","1. প্রধান প্রোগ্রাম, 2. প্রধান প্রোগ্রাম"
मुख्य स्टोरेज,প্রধান স্টোরেজ
"1.मुख्य स्विच, 2.मुख्य स्विच","1. প্রধান সুইচ, 2. প্রধান সুইচ"
"1. देखभाल, 2. देखभाल","1. রক্ষণাবেক্ষণ, 2. রক্ষণাবেক্ষণ"
देखभाल पॅनेल,রক্ষণাবেক্ষণ প্যানেল
देखभाल वेळ,রক্ষণাবেক্ষণ সময়
मोठे वर्तुळ,বড় বৃত্ত
की डिव्हाइस,কী ডিভাইস
मुख्य की,প্রধান কী
प्रमुख मंच,মূলমঞ্চ
मुख्य रचना,প্রধান কাঠামো
मुख्य काम,প্রধান কাজ
बहुसंख्य घटक,সংখ্যাগরিষ্ঠ উপাদান
बहुसंख्य गेट,সংখ্যাগরিষ্ঠ গেট
बहुसंख्य ऑपरेशन,সংখ্যাগরিষ্ঠ অপারেশন
परतफेड कालावधी,প্রতিদান সময়কাল
चुकीचे ऑपरेशन नित्यक्रम,ভুল অপারেশন রুটিন
व्यवस्थापन विकास,ব্যবস্থাপনা উন্নয়ন
व्यवस्थापन माहिती प्रणाली (MIS),ম্যানেজমেন্ট ইনফরমেশন সিস্টেম (MIS)
व्यवस्थापन विज्ञान,ব্যবস্থাপনা বিজ্ঞান
मँचेस्टर एन्कोडिंग,ম্যানচেস্টার এনকোডিং
गुणाकार,গুণ
अंदाजे चल,আনুমানিক পরিবর্তনশীল
अनुमानित निर्देशांक,অনুমানমূলক সূচক
मानवी मशीन सिम्युलेशन,মানুষের মেশিন সিমুলেশন
मॅन्युअल पत्ता स्विच,ম্যানুয়াল ঠিকানা সুইচ
मॅन्युअल विश्लेषण,ম্যানুয়াল বিশ্লেষণ
मॅन्युअल कॉल,ম্যানুয়াল কল
मॅन्युअल एंट्री,ম্যানুয়াল এন্ট্রি
"1.मॅन्युअल सेंटर, 2.मॅन्युअल सेंटर","1.ম্যানুয়াল সেন্টার, 2.ম্যানুয়াল সেন্টার"
"1. मॅन्युअल इनपुट, 2. मॅन्युअल इनपुट","1. ম্যানুয়াল ইনপুট, 2. ম্যানুয়াল ইনপুট"
मॅन्युअल ऑपरेशन,সংক্ষিপ্ত কাজ
अनेक ते अनेक संबंध,বহু থেকে বহু সম্পর্ক
मल्टी-डिकोडर,মাল্টি-ডিকোডার
नकाशा पद्धत,মানচিত্র পদ্ধতি
मॅपिंग,ম্যাপিং
समास,মার্জিন
किरकोळ त्रुटी,প্রান্তিক ত্রুটি
किरकोळ चौकशी,প্রান্তিক তদন্ত
किरकोळ चाचणी,প্রান্তিক পরীক্ষা
चिन्ह ओळख,প্রতীক সনাক্তকরণ
साइन वाचन,সাইন রিডিং
चिन्ह स्कॅनिंग,প্রতীক স্ক্যানিং
चिन्ह अर्थ,সাইন সেন্স
मार्कर,চিহ্নিতকারী
चिन्हांकित करणे,চিহ্নিত করা
मार्कर लाट,মার্কার তরঙ্গ
मार्कोव्ह साखळी,মার্কভ চেইন
मार्कोव्ह स्त्रोत,মার্কভ উৎস
मार्कअप भाषा,মার্কআপ ভাষা
maser,maser
maser,maser
"1. मुखवटा, 2. बुरखा, 3. बुरखा","1. মুখোশ, 2. পর্দা, 3. পর্দা"
"1. कव्हर बिट, 2. कव्हर बिट, 3. मास्क दुहेरी अंक","1. কভার বিট, 2. কভার বিট, 3. মাস্ক ডবল ডিজিট"
मास्क प्रोग्राम करण्यायोग्य डिव्हाइस,মাস্ক প্রোগ্রামেবল ডিভাইস
कव्हर रजिस्टर,কভার রেজিস্টার
"1. कव्हर रॉम, 2. कव्हर रॉम","1. কভার রম, 2. কভার রম"
कव्हर,আবরণ
प्रचंड डेटा,বিশাল পরিসংখ্যান
"1.मास मेमरी, 2.मास मेमरी","1. ভর মেমরি, 2. ভর মেমরি"
मोठ्या प्रमाणात समांतर,ব্যাপকভাবে সমান্তরাল
सरदार,প্রধান
मास्टर कार्ड,মাস্টার কার্ড
"1.हेड घड्याळ, 2.नियंत्रित घड्याळ","1.মাথা ঘড়ি, 2.কন্ট্রোলার ঘড়ি"
मुख्य कन्सोल,প্রধান কনসোল
प्राइम डेटा,প্রধান তথ্য
मुख्य आकृती,মাস্টার ডায়াগ্রাম
मास्टर फाइल,প্রধান নথি
प्रमुख गट,প্রধান গ্রুপ
गुरुकिल्ली,প্রধান চাবি
मुख्य लायब्ररी टेप्स,প্রধান লাইব্রেরি টেপ
प्राइम प्रोसेसर,প্রাইম প্রসেসর
प्रमुख कार्यक्रम,ফ্ল্যাগশিপ প্রোগ্রাম
मुख्य केंद्र,প্রধান কেন্দ্র
"1.मास्टर टेप, 2.मास्टर टेप","1.মাস্টার টেপ, 2.মাস্টার টেপ"
"1.प्रिन्सिपल टर्मिनल, 2.मुख्य टर्मिनल","1.প্রিন্সিপাল টার্মিনাল, 2.প্রধান টার্মিনাল"
मुख्य अधीनस्थ उपकरण,প্রধান অধস্তন ডিভাইস
मुख्य अधीनस्थ प्रणाली,প্রধান অধস্তন ব্যবস্থা
"1. जुळणी, 2. जुळणी, 3. भेट","1. মিল, 2. মিল, 3. দেখা"
जुळणे,ম্যাচ
गणितीय प्रोग्रामिंग,গাণিতিক প্রোগ্রামিং
गणितीय अनुकरण,গাণিতিক সিমুলেশন
"1.मॅट्रिक्स, 2.मॅट्रिक्स","1.ম্যাট্রিক্স, 2.ম্যাট্রিক্স"
"1.मॅट्रिक्स प्रिंटर, 2.मॅट्रिक्स प्रिंटर","1.ম্যাট্রিক্স প্রিন্টার, 2.ম্যাট্রিক্স প্রিন্টার"
मॅट्रिक्स स्विच,ম্যাট্রিক্স সুইচ
मॅट्रिक्स सारणी,ম্যাট্রিক্স টেবিল
मॅक्सी संगणक,ম্যাক্সি কম্পিউটার
मॅक्सी संगणक,ম্যাক্সি কম্পিউটার
शिखर घटक,শীর্ষ উপাদান
योगपॅड,যোগপ্যাড
मॅक्सवेल डेमन,ম্যাক্সওয়েল ড্যামন
"1.मीन, 2.मीन","1.মান, 2.অর্থ"
म्हणजे पुनर्प्राप्ती वेळ,মানে পুনরুদ্ধারের সময়
अपयश म्हणजे वेळ,ব্যর্থতা মানে সময়
अयशस्वी सरासरी वेळ (m t b f),ব্যর্থতার মধ্যবর্তী সময় (mt b f)
म्हणजे अपयशाची वेळ,ব্যর্থতার সময় মানে
दुरुस्ती सरासरी वेळ,মেরামতের গড় সময়
सुधारणा सरासरी वेळ (MTTR),সংশোধন গড় সময় (MTTR)
मीडियम स्केल इंटिग्रेशन (MSI),মিডিয়াম স্কেল ইন্টিগ্রেশন (MSI)
मध्यम एकत्रीकरण (MSI),মিডিয়াম ইন্টিগ্রেশন (MSI)
मीन टर्म स्टोरेज डिव्हाइस,মানে টার্ম স্টোরেজ ডিভাইস
मेगा बिट प्रति सेकंद (Mbps),প্রতি সেকেন্ডে মেগা বিটস (Mbps)
घटक ऑब्जेक्ट,উপাদান বস্তু
घटक रेकॉर्ड,উপাদান রেকর্ড
"1.मेमरी, 2.मेमरी","1.স্মৃতি, 2.স্মৃতি"
"1.मेमरी अॅरे, 2.मेमरी अॅरे","1.মেমরি অ্যারে, 2.মেমরি অ্যারে"
"1. मेमरी फंड, 2. मेमरी बँक","1. মেমরি ফান্ড, 2. মেমরি ব্যাংক"
"1.मेमरी बफर रजिस्टर, 2.मेमरी बफर रजिस्टर","1.মেমরি বাফার রেজিস্টার, 2.মেমরি বাফার রেজিস্টার"
"1.मेमरी बस, 2. मेमरी बस","1.মেমরি বাস, 2. মেমরি বাস"
मेमरी कार्ड,মেমরি কার্ড
मेमरी सेल,মেমরি সেল
स्मृती भ्रंश,স্মৃতিশক্তি হ্রাস
"1.मेमरी कोर, 2.मेमरी कोर","1.মেমরি কোর, 2.মেমরি কোর"
स्मृती चक्र,মেমরি চক্র
"1.मेमरी डेटा रजिस्टर, 2.मेमरी डेटा रजिस्टर","1.মেমরি ডেটা রেজিস্টার, 2.মেমরি ডেটা রেজিস্টার"
"1.मेमरी डंप,2.मेमरी डंप","1.মেমরি ডাম্প, 2.মেমরি ডাম্প"
"1.मेमरी एक्सचेंज, 2.मेमरी एक्सचेंज","1.মেমরি এক্সচেঞ্জ, 2.মেমরি এক্সচেঞ্জ"
"1.मेमरी पदानुक्रम, 2.मेमरी पदानुक्रम","1.মেমরি অনুক্রম, 2.মেমরি অনুক্রম"
मेमरी सूचना,মেমরি নির্দেশনা
"1.मेमरी व्यवस्थापन, 2.मेमरी व्यवस्थापन","1.মেমরি ম্যানেজমেন্ট, 2.মেমরি ম্যানেজমেন্ট"
"1.मेमरी नकाशा, 2.मेमरी नकाशा","1.মেমরি ম্যাপ, 2.মেমরি ম্যাপ"
"1. मेमरी मॅप केलेले आउटपुट, 2. इनपुट, 3. मेमरी मॅप केलेले I/O","1. মেমরি ম্যাপ করা আউটপুট, 2. ইনপুট, 3. মেমরি ম্যাপ করা I/O"
"1.मेमरी मॉडेल, 2.मेमरी मॉडेल, 3.मेमरी मॉडेल","1.মেমরি মডেল, 2.মেমরি মডেল, 3.মেমরি মডেল"
"1.मेमरी मॉड्यूल, 2.मेमरी मॉड्यूल","1.মেমরি মডিউল, 2.মেমরি মডিউল"
"1.मेमरी इंडेक्स रजिस्टर, 2.मेमरी इंडेक्स रजिस्टर","1.মেমরি ইনডেক্স রেজিস্টার, 2.মেমরি ইনডেক্স রেজিস্টার"
स्मृती शक्ती,স্মৃতি শক্তি
मेमरी संरक्षण,মেমরি সুরক্ষা
"1.मेमरी संदर्भ सूचना, 2.मेमरी संदर्भ सूचना","1.মেমরি রেফারেন্স নির্দেশ, 2.মেমরি রেফারেন্স নির্দেশ"
"1.मेमरी प्रोग्राम, 2.मेमरी प्रोग्राम","1.মেমরি প্রোগ্রাম, 2.মেমরি প্রোগ্রাম"
"1.मेमरी युनिट, 2.मेमरी युनिट","1.মেমরি ইউনিট, 2.মেমরি ইউনিট"
मेनू,তালিকা
मेनू बार,মেনু বার
मेनू चालवलेला,মেনু চালিত
मेनू निवड,মেনু নির্বাচন
मुख्य-चालित कार्यक्रम,প্রধান চালিত প্রোগ্রাম
"1.निहित, 2.विलीन","1. অন্তর্নিহিত, 2. একত্রিত"
विलीनीकरण एक्सचेंज क्रमवारी,মার্জার এক্সচেঞ্জ বাছাই
"1. वर्गीकरण विलीनीकरण, 2. कॅटलॉग निवड","1. একত্রীকরণ বাছাই, 2. ক্যাটালগ নির্বাচন"
"1. विलीनीकरण, 2. विलीनीकरण","1. একত্রীকরণ, 2. একত্রীকরণ"
जाळीचे जाळे,জালি নেটওয়ার্ক
संदेशवहन,মেসেজিং
संदेश,বার্তা
संदेश प्रमाणीकरण,বার্তা প্রমাণীকরণ
संदेश सेल,বার্তা সেল
संदेश सर्किट,বার্তা সার্কিট
संदेश स्वरूप,বার্তা বিন্যাস
संदेश शीर्षलेख,বার্তা পোর্ট
संदेश मोड,বার্তা মোড
संदेशवहन,মেসেজিং
"1.संदेश वर्गीकरण, 2.संदेश वर्गीकरण","1.বার্তা বাছাই, 2.বার্তা বাছাই"
संदेश ओळ,বার্তা লাইন
संदेश स्विच,বার্তা সুইচ
संदेश मजकूर,বার্তার পাঠ্য
संदेश हस्तांतरण एजंट,বার্তা স্থানান্তর এজেন্ট
सुपर असेंबलर,সুপার অ্যাসেম্বলার
मेटाक्लास,মেটাক্লাস
"1. अधिक संकलन, 2. अधिक व्याख्या","1. আরও সংকলন, 2. আরও ব্যাখ্যা"
"1. अधिक दुभाषी, 2. अधिक संकलक","1. আরও দোভাষী, 2. আরও কম্পাইলার"
बोली,উপভাষা
"1.मेटा नेटवर्क, 2.मेटा नेटवर्क","1.মেটা নেটওয়ার্ক, 2.মেটা নেটওয়ার্ক"
हुकूमशाही,একনায়কত্ব
प्रक्रिया,প্রক্রিয়া
मेट्रोपॉलिटन एरिया नेटवर्क (MAN),মেট্রোপলিটন এরিয়া নেটওয়ার্ক (ম্যান)
सूक्ष्म,মাইক্রো
"1.मायक्रोकोड,2.मायक्रोकोड","1.মাইক্রোকোড, 2.মাইক্রোকোড"
मायक्रो कॉम्प्युटर,মাইক্রোকম্পিউটার
सूक्ष्म नियंत्रक,মাইক্রো কন্ট্রোলার
सूक्ष्म सायकल,মাইক্রো চক্র
मायक्रोइलेक्ट्रॉनिक मेकॅनिकल मेकॅनिझम (MEMS),মাইক্রোইলেক্ট্রনিক মেকানিক্যাল মেকানিজম (MEMS)
सूक्ष्म इलेक्ट्रॉनिक्स,মাইক্রো ইলেকট্রনিক্স
सूक्ष्म सूक्ष्मीकरण,মাইক্রো মিনিয়েচারাইজেশন
सूक्ष्म ऑर्डर,মাইক্রো অর্ডার
"1.मायक्रो, 2.मेनफ्रेम लिंक","1.মাইক্রো, 2.মেনফ্রেম লিঙ্ক"
मायक्रो चिप,মাইক্রো চিপ
सूक्ष्म कोबोल,মাইক্রো কোবল
सूक्ष्म कोड,মাইক্রো কোড
"1.मायक्रोफाइल, 2.मायक्रोफिश, 3.मायक्रोफाइल","1.মাইক্রোফাইল, 2.মাইক্রোফিশ, 3.মাইক্রোফাইল৷"
मायक्रो फ्लॉपी,মাইক্রো ফ্লপি
मायक्रोफॉर्म वाचन यंत्र,মাইক্রোফর্ম রিডিং ডিভাইস
सूक्ष्म फ्रेम,মাইক্রো ফ্রেম
मायक्रोग्राफिक्स,মাইক্রোগ্রাফিক্স
मायक्रोफोन,মাইক্রোফোন
मायक्रोफोटोग्राफ,মাইক্রোফটোগ্রাফ
"1.मायक्रोप्रोसेसिंग युनिट, 2.मायक्रोप्रोसेसिंग युनिट","1.মাইক্রোপ্রসেসিং ইউনিট, 2.মাইক্রোপ্রসেসিং ইউনিট"
मायक्रोप्रोसेसर,মাইক্রোপ্রসেসর
मायक्रोप्रोसेसर चिप,মাইক্রোপ্রসেসর চিপ
मायक्रोप्रोसेसर दुभाषी,মাইক্রোপ্রসেসর ইন্টারপ্রেটার
मायक्रो प्रोसेसर युनिट (MPU),মাইক্রো প্রসেসর ইউনিট (MPU)
"1. मायक्रोप्रोग्राम, 2. मायक्रो प्रोग्राम","1. মাইক্রোপ্রোগ্রাম, 2. মাইক্রো প্রোগ্রাম"
सूक्ष्म क्रम,মাইক্রো ক্রম
मायक्रोसॉफ्ट,মাইক্রোসফট
मायक्रोसॉफ्ट विंडोज,মাইক্রোসফট উইন্ডোজ
सूक्ष्म लहर,মাইক্রো তরঙ্গ
मायक्रो वेव्ह लिंक,মাইক্রো ওয়েভ লিঙ্ক
मायक्रोवेव्ह ट्रान्समिशन,মাইক্রোওয়েভ ট্রান্সমিশন
मध्यम व्यवस्थापन,মধ্যম ব্যবস্থাপনা
"1.मिडलवेअर, 2. मधली भांडी","1.মিডলওয়্যার, 2. মধ্যম জিনিসপত্র"
मिडी संगणक,মিডি কম্পিউটার
मध्यवर्ती बिंदू,কেন্দ্রীয় বিন্দু
मध्यक,মধ্যমা
स्थलांतर मार्ग,মাইগ্রেশন রুট
प्रति सेकंद दशलक्ष सूचना (MIPS),প্রতি সেকেন্ডে মিলিয়ন নির্দেশনা (MIPS)
मिनी संगणक,মিনি কম্পিউটার
लहान डिस्केट,ছোট ডিস্কেট
"1.लहान कोलन, 2.लिटल ऍश","1.ছোট কোলন, 2.Little Asht"
किमान उत्पादन,সর্বনিম্ন পণ্য
विरळ झाड,বিক্ষিপ্ত গাছ
"1.मिनिमॅक्स अल्गोरिदम, 2.अल्गोरिदम","1.মিনিম্যাক্স অ্যালগরিদম, 2.অ্যালগরিদম৷"
सूक्ष्मीकरण प्रक्रिया,ক্ষুদ্রকরণ প্রক্রিয়া
सर्वात कमी किमतीचे विस्तार झाड,সর্বনিম্ন খরচ এক্সটেনশন গাছ
"1.कमी लेटन्सी एन्कोडिंग, 2.कमी लेटन्सी कोडिंग","1.লো লেটেন্সি এনকোডিং, 2.লো লেটেন্সি কোডিং৷"
लहान साधन,সংক্ষিপ্ত ডিভাইস
"1. गुणाकार, 2. गुणाकार, 3. गुणाकार पद","1. গুণ, 2. গুণ, 3. গুণের পদ"
क्रेडीट कार्ड,ক্রেডিট কার্ড
क्रेडीट कार्ड,ক্রেডিট কার্ড
क्रेडिट क्षेत्र,ক্রেডিট এলাকা
मिरर केलेली डिस्क,মিররড ডিস্ক
"1. मिरर स्पॉट, 2. फोटोकॉपी, 3. मिरर कॉपी","1. মিরর স্পট, 2. ফটোকপি, 3. মিরর কপি"
मिश्र मूलांक नोटेशन,মিশ্র রেডিক্স স্বরলিপি
मिक्सर,মিক্সার
स्मृतीविषयक,স্মৃতিসংক্রান্ত
मेमोनिक पत्ता,স্মৃতির ঠিকানা
संस्मरणीय,স্মরণীয়
"1.मोबाइल, 2.जंगम","1.মোবাইল, 2.চলবে"
"1. मोबाईल संगणन, 2. मोबाईल संगणन","1. মোবাইল কম্পিউটিং, 2. মোবাইল কম্পিউটিং"
"1.मॉडेल, 2.मॉडेल","1.মডেল, 2.মডেল"
मोडलेस संपादक,মডেলহীন সম্পাদক
"1. मॉडेलिंग, 2. मॉडेलिंग","1. মডেলিং, 2. মডেলিং"
मोडेम,মডেম
"1.साधारण, 2.सामान्य, 3.सामान्य","1. সরল গড়, 2. স্বাভাবিক, 3. গড়"
विमानमंडन,বিমানন্দন
नियंत्रक,মডারেটর
सुधारित सूचना,পরিবর্তিত নির্দেশ
सुधारक,সংশোধক
सुधारक बिट,সংশোধক বিট
सुधारणा,পরিবর্তন
मॉड्यूलर,মডুলার
"1. मॉड्यूलरिटी, 2. मॉड्यूलरिटी","1.সততা, 2.মডুলারিটি"
मॉड्यूलेशन,মড্যুলেশন
मॉड्यूल,মডিউল
मॉड्यूलर रचना,মডুলার গঠন
मॉनिटर,মনিটর
"1.मॉनिटर प्रोग्राम, 2.मॉनिटर प्रोग्राम","1.মনিটর প্রোগ্রাম, 2.মনিটর প্রোগ্রাম"
मोनोक्रोमॅटिक डिस्प्ले,একরঙা প্রদর্শন
मोनोलिथिक इंटिग्रेटेड सर्किट,মনোলিথিক ইন্টিগ্রেটেড সার্কিট
मोनोलिथिक तंत्रज्ञान,মনোলিথিক প্রযুক্তি
सिंगल स्पेस फॉन्ट,একক স্থান ফন্ট
एक स्थितीय,একটি অবস্থানগত
नीरसपणा,একঘেয়েমি
"1. आकार, 2. फॉर्म","1. আকৃতি, 2. ফর্ম"
फॉर्म,ফর্ম
आकार,আকৃতি
"1. गहाण, 2. गहाण, गहाण","1. বন্ধক, 2. বন্ধক, বন্ধক"
MOSFET (MOSFET),MOSFET (MOSFET)
"1. सर्वोच्च दोन अंक, 2. सर्वोच्च बिट","1. সর্বোচ্চ দুই সংখ্যা, 2. সর্বোচ্চ বিট"
मदर बोर्ड,মাদার বোর্ড
आई नोंदणी,মা নিবন্ধন
चित्रपट,সিনেমা
चित्रपट तज्ञ गट (MPEG),ফিল্ম এক্সপার্ট গ্রুপ (MPEG)
माउंट,মাউন্ট
"1.माऊस, 2.माऊस","1.মাউস, 2.মাউস"
"1.जंगम, 2.विस्थापन","1. অস্থাবর, 2. স্থানচ্যুতি"
हलणारे चिन्ह,চলমান প্রতীক
एमएस-डॉस,MS-DOS
एमएस-विंडोज,এমএস-উইন্ডোজ
एकाधिक अभिमुखता,একাধিক অভিযোজন
मल्टी प्रोसेसर,মাল্টি প্রসেসর
"1.मल्टीप्रोग्रामिंग, 2.मल्टीप्रोग्रामिंग","1.মাল্টিপ্রোগ্রামিং, 2.মাল্টিপ্রোগ্রামিং"
मल्टीटास्किंग,মাল্টিটাস্কিং
बाहुबस,বাহুবাস
प्रसारण,সম্প্রচার
बहुरूपी पत्ता,বহুরূপী ঠিকানা
प्रसारण,সম্প্রচার
मल्टीचिप,মাল্টিচিপ
multix,মাল্টিক্স
मल्टीटास्किंग ऑपरेशन,মাল্টিটাস্কিং অপারেশন
"1.मल्टीलेव्हल मेमरी, 2. बहुस्तरीय मेमरी","1.মাল্টিলেভেল মেমরি, 2. বহুস্তর মেমরি"
"1.मल्टीमीडिया तंत्रज्ञान, 2.मल्टीमीडिया तंत्रज्ञान","1.মাল্টিমিডিয়া প্রযুক্তি, 2.মাল্টিমিডিয়া প্রযুক্তি"
बहुविधता,বহুগুণ
अनेक,একাধিক
"1.प्रिसिजन, 2.मल्टी खात्री","1.নির্ভুলতা, 2.মাল্টি জামিন"
एकाधिक प्रतिगमन,একাধিক সংশ্লেষণ
"1.मल्टीप्लेक्स, 2.मल्टीप्लेक्स","1.মাল্টিপ্লেক্স, 2.মাল্টিপ্লেক্স"
मल्टिप्लेक्स मोड,মাল্টিপ্লেক্স মোড
मल्टिप्लेक्सर,মাল্টিপ্লেক্সার
"1. मल्टिप्लेक्सिंग, 2. मल्टीप्लेक्सिंग","1. মাল্টিপ্লেক্সিং, 2. মাল্টিপ্লেক্সিং"
