Gujarati,Assamese
અવાજ ગુણક,শব্দ বহুগুণক
નોઈઝ રિઇન્વેસ્ટમેન્ટ એમ્પ્લીફાયર,শব্দ পুনৰ বিনিয়োগ এম্প্লিফায়াৰ
રાવણક,ৰভাংক
અવાજ અપ્રભાવિત,শব্দ অপ্ৰভাৱিত
ઘોંઘાટીયા આવેગ,কোলাহলপূৰ্ণ ইমপালছ
અવાજ મર્યાદિત કરનાર,শব্দ সীমিতকাৰী
અવાજ માર્જિન,শব্দৰ প্ৰান্ত
અવાજ માપન,শব্দ জোখা
અવાજ વિભાગ,শব্দ বিভাজন
અવાજ પરિમાણ,শব্দ কোৱাণ্টাইজেচন
"અવાજ ઘટાડો, અવાજ ઘટાડો","শব্দ হ্ৰাস, শব্দ হ্ৰাস"
અવાજ પ્રતિકાર,শব্দ প্ৰতিৰোধ ক্ষমতা
અવાજનું પ્રતિનિધિત્વ,শব্দৰ প্ৰতিনিধিত্ব
અવાજ સ્પાઇક,শব্দ স্পাইক
અવાજનું તાપમાન,শব্দৰ উষ্ণতা
ફ્લોપી ડિસ્ક ડ્રાઇવ,ফ্লপি ডিষ্ক ড্ৰাইভ
નજીવી અવબાધ,নামমাত্ৰ ইম্পিডেন্স
ફોકલ મૂલ્ય,ফোকাচ মূল্য
બિન-રેખીય વિકૃતિ,অৰৈখিক বিকৃতি
અવિચલ,অচল
ગેરસમજ,অনুৰণিত
બિન-રેઝોનન્ટ એન્ટેના,নন-ৰেজোনেণ্ট এন্টেনা
વળતર વિનાનું ઓપરેશનલ એમ્પ્લીફાયર,ক্ষতিপূৰণহীন কাৰ্য্যকৰী পৰিবৰ্ধক
બિન-પૂરક,অ-পৰিপূৰক
ડાઇલેક્ટ્રિક,ডাইলেক্ট্ৰিক
જોડાયેલ ડેટા માળખું,সংলগ্ন তথ্য গঠন
આક્રમક રન,আক্ৰমণাত্মক ৰান
ડાયવર્ઝન મોડ,ডাইভাৰচন মোড
અવિનાશી વાંચન,অক্ষয় পঢ়া
ડોસલેસ પાર્ટીશન સંદેશ,dosless বিভাজন বাৰ্তা
અચોક્કસ નિવેદન,অসঠিক বক্তব্য
નબળી કામગીરી,দুৰ্বল প্ৰদৰ্শন
assanghat mutrak,অসমীয়া মুত্ৰক
બિન ઇન્ડક્શન જન્માક્ષર,নন ইণ্ডাকচন ৰাশিফল
નોન-રીટર્ન એમ્પ્લીફાયર,নন-ৰিটাৰ্ণ এম্প্লিফায়াৰ
વ્યસ્ત સરેરાશ એમ્પ્લીફાયર,বিপৰীত গড় পৰিবৰ্ধক
વ્યસ્ત બફર,বিপৰীত বাফাৰ
વ્યસ્ત તુલનાકારો,বিপৰীত তুলনাকাৰী
વ્યસ્ત રૂપરેખાંકન,বিপৰীত বিন্যাস
વ્યસ્ત કમ્પાઇલર એમ્પ્લીફાયર,ইনভাৰ্ছ কম্পাইলাৰ এম্প্লিফায়াৰ
વ્યસ્ત વોલ્ટેજ,বিপৰীত ভল্টেজ
બિન-રેખીય,অৰৈখিক
બિન-રેખીય કેપેસિટર,অৰৈখিক কেপাচিটৰ
બિન-રેખીય સર્કિટ વિશ્લેષણ,অৰৈখিক বৰ্তনী বিশ্লেষণ
બિન-રેખીય ઘટક,অৰৈখিক উপাদান
બિન-રેખીય લોડ લાઇન,অৰৈখিক লোড লাইন
બિન-રેખીય મોડ્યુલેશન,অৰৈখিক মডুলেচন
બિન-રેખીય પ્રતિકાર,অৰৈখিক ৰেজিষ্টেন্স
બિન-રેખીય સિસ્ટમ,অৰৈখিক ব্যৱস্থা
બિન-રેખીયતા,অৰৈখিকতা
બિન-રેખીયતા ભૂલ,অৰৈখিকতা ভুল
સામાન્ય આવર્તન,স্বাভাৱিক কম্পাঙ্ক
નોન રિકરિંગ,non recurring
પ્રતિભાવવિહીન ભાષા,অসন্তুষ্ট ভাষা
પુનરાવર્તિત સિસ્ટમ,পুনৰাবৃত্তিমূলক ব্যৱস্থা
સિસ્ટમલેસ ડિસ્ક,চিস্টেমবিহীন ডিষ্ক
સીરીયલ કોડ,ছিৰিয়েল ক&#39;ড
બિન-સપાટી,অ-পৃষ্ঠীয়
બિન-અસ્થિર સંગ્રહ,অস্বাভাৱিক সংৰক্ষণ
નોર,ন&#39;ৰ
knorr કાર્ય,knorr ফাংচন
ન તો દરવાજો,নতুবা গেট
નોર લેચ,knorr লেচ
નોર ઓપરેશન,knorr অপাৰেচন
સામાન્ય ઘનતા કાર્ય,স্বাভাৱিক ঘনত্বৰ কাৰ্য্য
ફફડાટનો અવાજ,flutter শব্দ
સામાન્ય નમૂના,সাধাৰণ নমুনা সংগ্ৰহ কৰা
સામાન્ય ઘૂંસપેંઠ,স্বাভাৱিক অনুপ্ৰৱেশ
સામાન્ય રીતે બંધ મોસ્ફેટ,সাধাৰণতে বন্ধ mosfet
ન તો નેટવર્ક,ন&#39;ৰ-ন&#39;ৰ নেটৱৰ্ক
નોર્ટન મોડલ્સ,নৰ্টন মডেল
ઉત્તર ચુંબકીય ધ્રુવ,উত্তৰ চুম্বকীয় মেৰু
નોર્ટન પ્રા.,নৰ্টন প্ৰাইভেট লিমিটেড।
નોર્ટન એમ્પ્લીફાયર,নৰ্টন এম্প্লিফায়াৰ
નોર્ટન સર્કિટ,নৰ্টন বৰ্তনী
નોર્ટન ડી.ડી.,নৰ্টন ডি.ডি.
નોર્ટન સમકક્ષ સર્કિટ,নৰ্টন সমতুল্য বৰ্তনী
નોર્ટન વ્યસ્ત અને વ્યસ્ત,নৰ্টন বিপৰীত আৰু বিপৰীত
નોર્ટન ઓપરેશનલ એમ્પ્લીફાયર,নৰ্টন অপাৰেচনেল এম্প্লিফায়াৰ
નોર્ટન યુટિલિટી,নৰ্টন ইউটিলিটি
નથી,নহয়
કાર્ય નથી,কাৰ্য্য নহয়
દરવાજો નથી,গেট নহয়
ઓપરેશન નથી,অপাৰেচন নহয়
નોટેશન પદ્ધતિ,সংকেত পদ্ধতি
ગ્રુવ એન્ટેના,খাঁজ এন্টেনা
ગ્રુવ ફિલ્ટર,খাঁজ ফিল্টাৰ
npn ટ્રાન્ઝિસ્ટર,npn ট্ৰেঞ্জিষ্টৰ
NTSC ઈન્ટરફેસ,এনটিএছচি আন্তঃপৃষ্ঠ
n-પ્રકારની અશુદ્ધિઓ,n-ধৰণৰ অশুদ্ধি
n-પ્રકારની બાબત,n-ধৰণৰ পদাৰ্থ
ન્યુક્લિયસ,নিউক্লিয়াছ
શૂન્ય,শূন্য
ખાલી જગ્યા વર્તુળ,খালী পদৰ বৃত্ত
શૂન્ય ઓફસેટ વોલ્ટેજ,শূন্য অফছেট ভল্টেজ
ખાલી જગ્યા સૂચક,খালী পদৰ সূচক
સંખ્યા આધાર,সংখ্যাৰ ভিত্তি
સંખ્યા આધારિત રૂપાંતરણ,সংখ্যা ভিত্তিক ৰূপান্তৰ
પોઇન્ટ નુકસાન,পইণ্ট ক্ষতি
નંબર લૂપ કી,নম্বৰ লুপ কি&#39;
સંખ્યા પદ્ધતિ,সংখ্যা ব্যৱস্থা
સંખ્યાત્મક સહ-પ્રોસેસર,সংখ্যাগত সহ-প্ৰচেছৰ
આંકડાકીય કી પેડ,সংখ্যাগত কি পেড
સંખ્યાત્મક છિદ્ર,সংখ্যাগত এপাৰচাৰ
સંખ્યાત્મક અંતર,সংখ্যাগত দূৰত্ব
nuvicon,nuvicon
nyquist,nyquist
nyquist બેન્ડ એક્સ્ટેંશન,nyquist বেণ্ড সম্প্ৰসাৰণ
nyquist માપદંડ,nyquist মাপকাঠী
nyquist અંતરાલ,nyquist ব্যৱধান
nyquist પલ્સ,nyquist নাড়ী
nyquist દર,nyquist হাৰ
nyquist ટકાઉપણું માપદંડ,nyquist স্থায়িত্বৰ মাপকাঠী
nyquist પ્રમેય,nyquist উপপাদ্য
ઉદ્દેશ્ય મોડ્યુલ,উদ্দেশ্যমূলক মডিউল
ઉદ્દેશ્ય કાર્યક્રમ,বস্তুনিষ্ঠ কাৰ্যসূচী
ઉદ્દેશ્ય લેન્સ,বস্তুনিষ্ঠ লেন্স
ઑબ્જેક્ટ ઓરિએન્ટેડ પ્રોગ્રામિંગ,বস্তুমুখী প্ৰগ্ৰেমিং
ઓક્ટેવ,অষ্টক
એંસી બસ રીસીવર-રવાનગી,আশী বাছ ৰিচিভাৰ-প্ৰেৰণ কৰা
ઓક્ટલ નંબર સિસ્ટમ,অষ্টক সংখ্যা ব্যৱস্থা
ઓક્ટેવ,অষ্টক
વિચિત્ર કાર્ય,অদ্ভুত ফাংচন
"વિચિત્ર સમાનતા, વિચિત્ર સામ્યતા","অদ্ভুত সমতা, অদ্ভুত উপমা"
"ઓડોમીટર, પેથોમીટર","অড&#39;মিটাৰ, পেথ&#39;মিটাৰ"
બંધ લાઇન,অফ লাইন
બિન-મૌખિક પ્રતિભાવ,অ-মৌখিক সঁহাৰি
"વિસંગતતા, સરભર","বিজুতি, অফছেট"
ઓફસેટ કોણ,অফছেট কোণ
ઓફસેટ સ્ટ્રીમ,অফছেট ষ্ট্ৰিম
ઓફસેટ ભૂલ,অফছেট ভুল
ઓફસેટ ઓપ્ટિમાઇઝેશન,অফছেট অপ্টিমাইজেচন
ઓફસેટ વોલ્ટેજ,অফছেট ভল্টেজ
ઓમ,ওম
ઓમિક સંપર્ક,ওমিক সংস্পৰ্শ
ઓહ્મિક ક્ષેત્ર,ওমিক ফিল্ড
"ઓહ્મમીટર, ઓહ્મમીટર","ওমমিটাৰ, ওমমিটাৰ"
ઓહ્મનો કાયદો,ওমৰ নিয়ম
ઓહ્મ પ્રતિ વોલ્ટ,প্ৰতি ভল্টত ওম
તેલ સર્કિટ બ્રેકર,তেলৰ চাৰ্কিট ব্ৰেকাৰ
સર્વદિશ,সৰ্বদিশীয়
સર્વવ્યાપકતા,সৰ্বব্যাপী
OMR (ઓપ્ટિકલ કવર રીડિંગ),OMR (অপ্টিকেল কভাৰ ৰিডিং)
"પ્રતિકાર પર, પ્રતિકાર પર","অন ৰেজিষ্টেন্স, অন ৰেজিষ্টেন্স"
રાજ્ય પર,ৰাজ্যৰ ওপৰত
ચિપ ગર્ભિત ડીકોડર,চিপ ইম্প্লিচিট ডিকোডাৰ
એક શટ સ્ટેટિક મલ્ટિવાઇબ્રેટર,ৱান শ্বট ষ্টেটিক মাল্টিভাইব্ৰেটৰ
એક-પાસ એસેમ્બલર,ৱান-পাছ এছেম্বলাৰ
વર્તમાન પ્રતિકાર,কাৰেণ্ট ৰেজিষ্টেন্স
પ્રવાસી રજીસ્ટર,এটা ভ্ৰমণকাৰী পঞ্জীয়ন
ઓનલાઈન સિસ્ટમ,অনলাইন ব্যৱস্থা
"ચાલુ-બંધ નિયંત્રક, ચાલુ-બંધ નિયંત્રક","অন-অফ নিয়ন্ত্ৰক, অন-অফ নিয়ন্ত্ৰক"
ચાલુ-બંધ કીઇંગ,অন-অফ কী কৰা
ઓપરેશનલ એમ્પ્લીફાયર,কাৰ্য্যকৰী পৰিবৰ্ধক
ઓપરેટિંગ અર્થ એમ્પ્લીફાયર,অপাৰেটিং মিন এম্প্লিফায়াৰ
ઓપરેશનલ તુલનાકાર,কাৰ্য্যকৰী তুলনাকাৰী
ઓપરેશનલ એમ્પ્લીફાયર ગુણક,কাৰ্য্যকৰী পৰিবৰ্ধক বহুগুণক
ઓપરેશનલ સોફોની એમ્પ્લીફાયર,কাৰ্য্যকৰী ছফনি এম্প্লিফায়াৰ
ઓપન કલેક્ટર,মুকলি সংগ্ৰাহক
ખુલ્લું રોકાણ,মুক্ত বিনিয়োগ
ઓપન લૂપ ઓપન લૂપ,open loop খোলা লুপ
ઓપન વાયર લાઇન,খোলা তাঁৰৰ লাইন
ઓપન સર્કિટ પરિમાણ,মুক্ত বৰ্তনীৰ প্ৰাচল
ઓપન સર્કિટ અવબાધ,মুক্ত বৰ্তনীৰ ইম্পিডেন্স
ઓપન લૂપ ગેઇન,মুক্ত লুপ লাভ
ઓપરેન્ડ,অপাৰেণ্ড
સંચાલન કોણ,অপাৰেটিং এংগেল
સક્રિયકરણ મોડ,সক্ৰিয়কৰণ ধৰণ
સંચાલન બિંદુ,অপাৰেটিং পইণ্ট
લોજિસ્ટિક્સ,লজিষ্টিকছ
ઓપરેટિંગ આવર્તન,অপাৰেটিং ফ্ৰিকুৱেন্সি
"ઓપરેશન, ઓપરેશન","অপাৰেচন, অপাৰেচন"
ઓપરેશન કોડ,অপাৰেচন ক&#39;ড
ઓપરેશનલ એમ્પ્લીફાયર,কাৰ্য্যকৰী পৰিবৰ্ধক
ઓપરેટર,অপাৰেটৰজনক
ઓપ્ટિકલ બીમ,অপটিকেল বিম
ઓપ્ટિકલ સંચાર,অপটিকেল যোগাযোগ
ઓપ્ટિકલ ડિસ્ક,অপটিকেল ডিস্ক
ઓપ્ટિકલ કોડેક,অপটিকেল ক&#39;ডেক
ઓપ્ટીકલ ફાઈબર,অপটিকেল ফাইবাৰ
ઓપ્ટિકલ ઈન્જેક્શન,অপটিকেল ইনজেকচন
"ઓપ્ટિકલ થર્મોમીટર, પિરોમીટર","অপটিকেল থাৰ্মোমিটাৰ, পাইৰ’মিটাৰ"
ઓપ્ટિકલ રેકોર્ડર,অপটিকেল ৰেকৰ্ডাৰ
ઓપ્ટિકલ રેકોર્ડિંગ,অপটিকেল ৰেকৰ্ডিং
ઓપ્ટિકલ સ્કેનિંગ,অপটিকেল স্কেনিং
ઓપ્ટિકલ ચોરસ,অপটিকেল স্কোৱাৰ
ઓપ્ટિકલ સ્ટોરેજ ઉપકરણ,অপটিকেল সংৰক্ষণ ডিভাইচ
ઓપ્ટિકલ જોડી આઇસોલેટર,অপটিকেল কাপল্ড আইছ&#39;লেটৰ
"શ્રેષ્ઠ પૂર્વગ્રહ, શ્રેષ્ઠ પૂર્વગ્રહ","অনুকূল পক্ষপাতিত্ব, অনুকূল পক্ষপাতিত্ব"
શ્રેષ્ઠ ફિલ્ટર,অনুকূল ফিল্টাৰ
શ્રેષ્ઠ સિસ્ટમ,অনুকূল ব্যৱস্থা
શ્રેષ્ઠ કાર્યકારી આવર્તન,অনুকূল কামৰ কম্পাঙ্ক
ઓપ્ટિકલ કપ્લર,অপটিকেল কাপলাৰ
પ્રકાશ ઇલેક્ટ્રોનિક્સ ઉપકરણ,পোহৰৰ ইলেক্ট্ৰনিকছ ডিভাইচ
ઓપ્ટિકલ ઇલેક્ટ્રોનિક્સ,অপটিকেল ইলেক্ট্ৰনিক্স
અથવા દરવાજો,বা গেট
વર્ગ,শ্ৰেণী
ફિલ્ટર ક્રમ,ফিল্টাৰ ক্ৰম
સમીકરણનો ક્રમ,সমীকৰণৰ ক্ৰম
સરળ બીમ,সহজ ৰশ্মি
આર્થિક,অৰ্থনৈতিক
વર્ટિકલ ડાયનેમિક,উলম্ব গতিশীলতা
ઓર્થોગોનલ કોડ,অৰ্থগনেল ক&#39;ড
વિલંબ સિદ્ધાંત,লেটেন্সি নীতি
ઓસીલેટરી દ્વિધ્રુવ,দোলনীয় ডাইপোল
ઓસિલેટર,দোলক
ઓસિલેટર,দোলক
"ઓસિલોગ્રાફ, ઓસિલોગ્રાફ","অচিলোগ্ৰাফ, অচিলোগ্ৰাফ"
ઓસિલોસ્કોપ કેમેરા,অচিলোস্কোপ কেমেৰা
ઓસિલોસ્કોપ,অচিলোস্কোপ
બંધ બેન્ડ સિગ્નલ,অফ-বেণ্ড সংকেত প্ৰদান
મુદ્દો,সমস্যা
આઉટપુટ ઘૂંસપેંઠ,আউটপুট অনুপ্ৰৱেশ
આઉટપુટ બફર,আউটপুট বাফাৰ
આઉટપુટ લાક્ષણિકતાઓ,আউটপুট বৈশিষ্ট্যসমূহ
આઉટપુટ વાહકતા,আউটপুট পৰিবাহীতা
આઉટપુટ ઉપકરણ,আউটপুট ডিভাইচ
આઉટપુટ ઓફસેટ વોલ્ટેજ,আউটপুট অফছেট ভল্টেজ
પાવર આઉટપુટ,শক্তি উৎপাদন
આઉટપુટ પ્રતિકાર,আউটপুট ৰেজিষ্টেন্স
"એક્ઝિટ સ્ટેજ, એક્ઝિટ સ્ટેજ","প্ৰস্থান পৰ্যায়, প্ৰস্থান পৰ্যায়"
આઉટપુટ પ્રોમ્પ્ટ,আউটপুট প্ৰমপ্ট
આઉટપુટ ટ્રાન્સફોર્મર,আউটপুট ট্ৰেন্সফৰ্মাৰ
મિશ્રણ,মিশ্ৰণ
અત્યંત જોડી,অতি সংযুক্ত
હાયપરકપલિંગ,হাইপাৰকাপলিং
ઓવરકરન્ટ રિલે,অতিবিদ্যুৎ প্ৰবাহ ৰিলে
અતિશય હતાશ,অতি-হতাশগ্ৰস্ত
ઓપરેટિંગ ગુણક,অপাৰেটিং মাল্টিপ্লাইয়াৰ
અતિશય ઉત્તેજના,হাইপাৰষ্টিমুলেচন
ઓવરફ્લો,overflow
ઓવરલેપ જૂથ,ওভাৰলেপ গ্ৰুপ
ઓવરમોડ્યુલેશન,অভাৰমডুলেচন
શીખવાની ઍક્સેસ,শিক্ষণৰ প্ৰৱেশ
સેમ્પલિંગ ઉપર,নমুনা সংগ্ৰহৰ ওপৰত
ઓવરવોલ્ટેજ સબેબલ,অভাৰভোল্টেজ subable
ઓવરવોલ્ટેજ ડિટેક્ટર,অভাৰভোল্টেজ ডিটেক্টৰ
પ્રેરણા,প্ৰেৰণা
સંચાલિત એમ્પ્લીફાયર,শক্তিশালী এম্প্লিফায়াৰ
"ઓવરરનિંગ, ઓવર ઓપરેટિંગ","overrunning, অভাৰ অপাৰেটিং"
ઓવરલોડ,অভাৰলোড
ઓવરલોડ રક્ષણ,অভাৰলোড সুৰক্ষা
ઓવરલોડ પુનઃપ્રાપ્તિ સમય,অভাৰলোড পুনৰুদ্ধাৰৰ সময়
અતિક્રમણ,বেদখল
ઓવરટોન,অভাৰটোন
ઓવન બ્રિઝ,অভেন বতাহ
ઓક્સિડેશન,অক্সিডেচন
ઓક્સાઇડ ફ્રેક્ચર,অক্সাইড ভাঙন
ઓક્સાઇડ વિયોજન,অক্সাইড বিচ্ছিন্নতা
પી-ચેનલ ફેટ,পি-চেনেল ভাগ্য
પેકેજિંગ,পেকেজিং
સંકોચન ઘનતા,সংকোচন ঘনত্ব
પેડર,পেডাৰ
પેડ કેપેસિટર,পেড কেপাচিটৰ
પેડલ,পেডেল
પેડલ સ્વીચ,পেডেল চুইচ
પાનું,পৃষ্ঠা
નેવિગેશન કી,নেভিগেচন কি&#39;
ઉત્પત્તિ કી,প্ৰজন্মৰ চাবি
પૃષ્ઠ ક્રમાંકન,পৃষ্ঠাকৰণ
યુગલ,দম্পতি
કાગળ કેપેસિટર,কাগজৰ কেপাচিটৰ
પેરાબોલિક રિફ્લેક્ટર,পেৰাবলিক প্ৰতিফলক
સમાંતર કાઉન્ટર,সমান্তৰাল কাউণ্টাৰ
સમાંતર ડેટા ઇનપુટ,সমান্তৰাল তথ্য ইনপুট
સમાંતર ઈન્ટરફેસ,সমান্তৰাল আন্তঃপৃষ্ঠ
સમાંતર છિદ્ર,সমান্তৰাল এপাৰচাৰ
સમાંતર સંસાધન,সমান্তৰাল সম্পদ
સમાંતર પડઘો,সমান্তৰাল অনুনাদ
સમાંતર વિસ્થાપન,সমান্তৰাল বিচ্যুতি
સમાંતર ટ્યુન સર્કિટ,সমান্তৰাল টিউন কৰা বৰ্তনী
"સમાંતર-ઇનપુટ, સમાંતર-આઉટપુટ","সমান্তৰাল-ইনপুট, সমান্তৰাল-আউটপুট"
"સમાંતર-ઇનપુટ, ગ્રેડ-આઉટ","সমান্তৰাল-ইনপুট, গ্ৰেড-আউট"
પરિમાણ બરાબરી,প্ৰাচল সমতাকাৰী
પેરાબોલિક એમ્પ્લીફાયર,পেৰাবলিক এম্প্লিফায়াৰ
પરોપજીવી દિશા,পৰজীৱী দিশ
પરોપજીવી તત્વ,পৰজীৱী মৌল
પરોપજીવી ઉત્તેજના,পৰজীৱী উদ্দীপক
અનિચ્છનીય ઓસિલેશન,অবাঞ্চিত দোলন
પરોપજીવી પરાવર્તક,পৰজীৱী প্ৰতিফলক
સમાનતા,সমতা
સમાનતા રમત,সমতা খেলা
પેરિટી ટેસ્ટર,সমতা পৰীক্ষক
સમાનતા કોડક,parity কোডাক
સમાનતા જનરેટર,পেৰিটি জেনেৰেটৰ
વિભાગ,বিভাজন
"પારક બેન્ડ, પારક પટ્ટી","পৰক বেণ্ড, পৰক পট্টি"
નિષ્ક્રિય રિન્સિંગ પેડ,নিষ্ক্ৰিয় ৰিন্সিং পেড
નિષ્ક્રિય સર્કિટ,নিষ্ক্ৰিয় বৰ্তনী
"નિષ્ક્રિય ઘટકો, નિષ્ક્રિય ઘટકો","নিষ্ক্ৰিয় উপাদানসমূহ, নিষ্ক্ৰিয় উপাদানসমূহ"
નિષ્ક્રિય પાવર નેટવર્ક,নিষ্ক্ৰিয় শক্তি নেটৱৰ্ক
નિષ્ક્રિય ફિલ્ટર,নিষ্ক্ৰিয় ফিল্টাৰ
નિષ્ક્રિય ભાર,অচল বোজা
નિષ્ક્રિય સ્ખલન,নিষ্ক্ৰিয় স্খলন
"કનેક્ટર કોર્ડ, કોર્ડ","সংযোগকাৰী কৰ্ড, কৰ্ড"
જર્જરિત,জৰাজীৰ্ণ হোৱা
મોડેલ જનરેટર,মডেল জেনেৰেটৰ
મોડેલ,নমুনা
પ્રિન્ટેડ સર્કિટ બોર્ડ (PCB),প্ৰিণ্টেড চাৰ্কিট বৰ্ড (PCB)
p-ચેનલ,p-চেনেল
પીક ડિટેક્ટર,শিখৰ ডিটেক্টৰ
પીક-પીક,শিখৰ-শিখৰ
પીક-પીક પરિમાણ,শিখৰ-শিখৰ মাত্ৰা
ટોચનું સફેદ સ્તર,শিখৰ বগা স্তৰ
પીક ડિટેક્ટર,শিখৰ ডিটেক্টৰ
ટોચ પાછળ,শিখৰ ট্ৰেইলিং
શિખરન કુંડલી,শিখৰণ কুণ্ডলী
પીઅર મેસેજિંગ,সমনীয়া বাৰ্তা প্ৰেৰণ
પેડેસ્ટલ ઊંચાઈ,পেডেষ্টেল উচ্চতা
પેન્ટિયમ,পেন্টিয়াম
"સમસ્તર, પીયર","সমস্তৰ, সমনীয়া"
ટકાવારી નિયમન,শতাংশ নিয়ন্ত্ৰণ
ટકા ઊર્જા,শতাংশ শক্তি
નજીકનું બિંદુ,নিকটতম বিন্দু
ટર્નઓવર સમય,টাৰ্ণঅভাৰৰ সময়
સામયિક માપન,সময়ে সময়ে জোখ-মাখ কৰা
સામયિક તરંગ સ્વરૂપ,পুনৰাবৃত্তিমূলক তৰংগ ৰূপ
સીમાંત ટીપ્સ,প্ৰান্তীয় টিপছ
કાયમી ચુંબક,স্থায়ী চুম্বক
અભેદ્યતા,পাৰ্যমান্যতা
ડાઇલેક્ટ્રિક ઇન્ડેક્સ,ডাইলেক্ট্ৰিক পইণ্ট
વેક્યુમ ડાઇલેક્ટ્રિક,ভেকুৱাম ডাইলেক্ট্ৰিক
પેરાપ્લેક્સ ગ્લાસ,পেৰাপ্লেক্স গ্লাছ
દ્રશ્ય પ્રતિબંધ,দৃষ্টিশক্তিৰ নিষেধাজ্ঞা
બેકલાઇટ સ્ક્રીન,বেকলাইট পৰ্দা
પી-ગ્લાસ,পি-গ্লাছ
કલાની અસ્પષ્ટતા,শিল্প অস্পষ্টতা
કલા કોણ,শিল্প কোণ
કલા ફેરફાર રેકોર્ડિંગ,শিল্প পৰিৱৰ্তন ৰেকৰ্ডিং
કલા તુલનાત્મક,শিল্প তুলনাকাৰী
કલા સુધારક,শিল্প পৰিৱৰ্তক
તબક્કો વર્તમાન,ফেজ কাৰেণ্ট
કલા શોધક,আৰ্ট ডিটেক্টৰ
તબક્કા વિચલન સતત,ফেজ বিচ্যুতি ধ্ৰুৱক
કલા વૈવિધ્યકરણ પદ્ધતિ,শিল্প বৈচিত্ৰ্য পদ্ধতি
કલા વિકૃતિ,শিল্প বিকৃতি
કલા એન્કોડિંગ,শিল্প এনকোডিং
કલા બરાબરી,শিল্প সমতাকাৰী
વ્યસ્ત સર્કિટ,বিপৰীত বৰ্তনী
કલા ભૂતકાળ,শিল্প অতীত
કલા માર્જિન,শিল্পৰ প্ৰান্ত
કલા માર્જિન,শিল্পৰ প্ৰান্ত
કલા માપન,শিল্প জোখ-মাখ
કલા મોડ્યુલેશન,শিল্প মডুলেচন
કલા લેખ,শিল্প প্ৰবন্ধ
તબક્કાના વિસ્થાપન ગુણાંક,পৰ্যায় বিচ্যুতি সহগ
કલા વિસ્થાપન ઓસિલેટર,শিল্প বিচ্যুতি দোলক
કલા વિભાજક,শিল্প বিভাজনকাৰী
આર્ટ લેમિનેશન સર્કિટ,শিল্প লেমিনেচন বৰ্তনী
જમીન-સપાટીનું જોડાણ,মাটি-পৃষ্ঠৰ সংযোজন
આર્ટ-ટુ-આર્ટ કપલિંગ,আৰ্ট-টু-আৰ্ট কাপলিং
કલા વેગ,শিল্প বেগ
કલા ગોઠવણ,শিল্প সমন্বয়
ફેઝર,ফেজাৰ
ફાસર ડાયાગ્રામ,ফেজাৰ ডায়েগ্ৰাম
ફોન સંયોજક,ফোন সমন্বয়ক
ફોનોગ્રાફ,ফ&#39;ন&#39;গ্ৰাফ
ફોનન,ফ&#39;নন
ફોસ્ફર,ফছফৰ
સિંટિલેશન,চিন্টিলেচন
પ્રકાશિત કેથોડ,আলোকিত কেথ&#39;ড
ફોટો ડાયોડ,ফটো ডাইঅ&#39;ড
ફોટોોડિયોડ ડિટેક્ટર,ফটোডাইঅ&#39;ড ডিটেক্টৰ
પ્રકાશ ઉત્સર્જક સેન્સર,পোহৰ নিৰ্গত কৰা চেন্সৰ
ઓપ્ટિકલ ઉત્તેજના,আলোকীয় উদ্দীপনা
પ્રકાશ અવરોધ,পোহৰৰ বাধা
ફોટો SCR,ফটো SCR
ફોટોવોલ્ટેઇક અસર,ফটোভল্টিক প্ৰভাৱ
ફોટોકન્ડક્ટીંગ સેલ,আলোকপৰিবাহী কোষ
ઓપ્ટિકલ ડ્રાઈવર,অপটিকেল ড্ৰাইভাৰ
પ્રકાશ કપ્લર,লাইট কাপলাৰ
ફોટો ડાયોડ,ফটোডাইঅ&#39;ড
ફોટોડ્યુ ડાયોડ,ফটোডু ডাইঅ&#39;ড
ફોટોઇલેક્ટ્રિક અસર,আলোকবিদ্যুৎ প্ৰভাৱ
ફોટોઇલેક્ટ્રિક ઉત્પાદનો,ফটোইলেক্ট্ৰিক সামগ্ৰী
ઓપ્ટિકલ ઉત્તેજના,আলোকীয় উদ্দীপনা
ફોટોગ્રાફિક માસ્ક કમ્પોઝિશન,ফটোগ্ৰাফিক মাস্ক গঠন
ફોટોગ્રાફિક રેકોર્ડ,ফটোগ্ৰাফিক ৰেকৰ্ড
પ્રકાશિત ionization,প্ৰকাশিত আয়নীয়কৰণ
"ફોટોલિથોગ્રાફી, ફોટોલિથોગ્રાફી","ফটোলিথ&#39;গ্ৰাফী, ফটোলিথ&#39;গ্ৰাফী"
પ્રકાશ ગ્લો,পোহৰৰ গ্লো
ફોટોઈલેક્ટ્રોન એમ્પ્લીફાયર,ফটোইলেক্ট্ৰন এম্প্লিফায়াৰ
ફોટોન,ফ&#39;টন
ભૌતિક સરનામું,ভৌতিক ঠিকনা
ભૌતિક સતત ટેબલ,ভৌতিক ধ্ৰুৱক টেবুল
ભૌતિકશાસ્ત્ર મેમરી,পদাৰ্থ বিজ্ঞান স্মৃতিশক্তি
py-એટેન્યુએટર,পাই-এটেনুৱেটৰ
પીકો ફરાડ (-),পিকো ফাৰাড (-)
"ચિત્ર ઘટક, ચિત્ર ઘટક (પિક્સેલ)","ছবিৰ উপাদান, ছবিৰ উপাদান (পিক্সেল)"
ચિત્ર માહિતી,ছবিৰ তথ্য
