Odiya,Telugu
Jackfruit,జాక్‌ఫ్రూట్
ଜାମୁନ୍ |,జామున్
ଜସ୍ମିନ୍ |,జాస్మిన్
ଜାଟୀ ଖାଟ୍ଟି |,జట్టి ఖట్టి
ଜାଟ୍ରୋଫା |,జాట్రోఫా
ଜଟ୍ର,జనపనార
Jassids,జాసిడ్స్
କୋଲିନ୍ |,కయోలిన్
କୋଲିନାଇଟ୍,KAOLINITE
କୋଲିନାଇଟ୍,KAOLINITE
କରୀଚିମା |,కారింగైమా
ନିକ୍,కారియోడెస్మా
Karogamy,కార్యోగామి
Karogargram (idigromm),కర్ణభ్యాసనము
କାରୁକୋକିନାସ୍,కారియోకినిసిస్
ଖାରିଓଲୋଜି |,కార్యాలజీ
କାରିଓଲାଇସିସ୍,కారియోలిసిస్
କିଲୋନ,కారియన్
କାରିଓଟାଇପ୍,కార్యోటైప్
Kelp (algae),అల్గ
କେଲଭିନ ଚକ୍ର |,కెల్విన్ సైకిల్
କିରାଟିନ୍ |,కెరాటిన్
କର୍ଣ୍ଣଲ |,కెర్నల్
KHARA ରୋଗ,ఖైరా వ్యాధి
ଖାରିଫ୍ |,ఖరీఫ్
ମଜା କରିବା,తమాషా
ଗା intore ାଓକୋର,కైనెటోచోర్
ରୋଷେଇ ଘର ବଗିଚା |,వంటగది తోట
କ୍ଲିନଫିଲ୍ଟର ସିଣ୍ଡ୍ରୋମ |,క్లీన్ఫిల్టర్ సిండ్రోమ్
Klenow frogment,Klenow భాగం
ଗଣ୍ଠି ଦେଉଥିବା,ముడి
କୋଚ୍ ର ପୋଷ୍ଟଲେଟ୍ |,కోచ్ యొక్క పోస్టులేట్
କୋପେନଙ୍କ ବର୍ଗୀକରଣ (ଜଳବାୟୁ),కొరిమి
କର୍ଗଗୁଡିକ ଚକ୍ର,క్రెబ్స్ చక్రం
କୁର୍ଟୋସିସ୍,కుర్టోసిస్
Kvk (krishi vigyan kendra),KVK
କାଟାମ |,కడమ్
କଲାଲ,కాలే
କାନ୍ସ ଘାସ,కాన్స్ గడ్డి
Karonda,కరోండా
"କିଡନୀ ବିନ୍, ରାଜ୍ମା |","కిడ్నీ బీన్, రాజ్మా"
Kiwifriut,కివిఫ్రియుట్
ଗଣ୍ଠିର,నోల్ ఖోల్
କାଦୋମ୍ପୁଲୀ |,కోడాంపులి
କୋଡୋ ମିଲେଟ୍ |,కోడో మిల్లెట్
କୋକାମ ବଟର ଗଛ (ଆମାଙ୍ଗୋସୋଟେନ୍),కోకామ్ బటర్ ట్రీ (మాంగోస్టీన్)
ଖାପ୍ରା ବାଇଟଲ୍ |,ఖాప్రా బీటిల్
L.d.50 (ସାଂଘାତିକ ମାତ୍ରା 50),L.D.50 (ప్రాణాంతక మోతాదు 50)
ଲ୍ୟାବ ରୁ ଲ୍ୟାଣ୍ଡ,ల్యాబ్ టు ల్యాండ్
ଲାବାଇଲ୍,లేబుల్
ଶ୍ରମ,శ్రమ
ଲାକ୍ ଓପନ୍ ମଡେଲ୍ |,లాక్ ఒపెరాన్ మోడల్
ସ୍ତନ୍ୟପାନ,చనుబాలివ్వడం
ଲାକ୍ଟୋଜେନିକ୍ ହରମୋନ୍ (ପ୍ରୋଲାକ୍ଟିନ୍),క్షీరసమూరం
ଲାକ୍ଟୋଜ୍,లాక్టోస్
ଲେଗିଂ ଷ୍ଟାଣ୍ଡିଂ |,లాగింగ్ స్ట్రాండ్
ଲମ୍ବଡା କ୍ଲୋନିଂ ଭେକ୍ଟର |,లాంబ్డా క్లోనింగ్ వెక్టర్
ଲାମିନାର ଏୟାର ପ୍ରବାହ |,లామినార్ గాలి ప్రవాహం
ଲ୍ୟାମ୍ପ ବ୍ରଶ୍ କ୍ରୋମୋଜୋମ୍ |,దీపం బ్రష్ క్రోమోజోమ్
ଜମି,భూమి
ଜମି ସାମର୍ଥ୍ୟ ବର୍ଗୀକରଣ |,భూమి సామర్థ్య వర్గీకరణ
ଜମି କ୍ଷମତା ମାନଚିତ୍ର,భూమి సామర్థ్య పటం
ଜମି ଡିଗାଡ୍ |,భూమి క్షీణత
ଜମି ସମାନ ଅନୁପାତ |,భూమి సమాన నిష్పత్తి
ଭୂମି ସ୍ତର,ల్యాండ్ లెవలింగ్
ଭୂମି ପୁନରୁଦ୍ଧାର,భూమి పునరుద్ధరణ
ଲ୍ୟାଣ୍ଡସ୍କାପ୍,ల్యాండ్ స్కేపింగ్
ଭୂମି ଉପଯୁକ୍ତତା |,భూమి అనుకూలత
ଜମି ବ୍ୟବହାର pattern ାଞ୍ଚା |,భూ వినియోగ విధానం
ଲେଗେନହସ୍ ସେଲ୍ |,లాంగర్‌హాన్స్ కణాలు
ଲାପ୍ ଲାପ୍ ହାର |,లోపం రేటు
ଲାର୍ଭା |,లార్వా
ବିଳମ୍ବ,జాప్యం
ବର୍ଷା,గుప్త
ଲୁକ୍କାୟିତ ସଂକ୍ରମଣ |,గుప్త సంక్రమణ
ପାର୍ଶ୍ୱରେ |,పార్శ్వ
ଜୁଏଇଟ ମାଟି |,లాటరైట్ నేలలు
ଲାଟେକ୍ସ,రబ్బరు పాలు
ଲେଟିରିମ୍ |,లాథరిజం
ଲାଟିନ୍ ବର୍ଗ ଡିଜାଇନ୍ (lsd),లాటిన్ స్క్వేర్ డిజైన్ (ఎల్‌ఎస్‌డి)
ଲାଟାଇସ୍,లాటిస్
ଅସାଧାରଣ ଲାଭର ନିୟମ |,కంపన ప్రయోజనం యొక్క చట్టం
କ୍ରମାଗତ ରିଟର୍ନର ନିୟମ |,స్థిరమైన రాబడి యొక్క చట్టం
ରିଟର୍ନ ହ୍ରାସ କରିବାର ନିୟମ |,రాబడిని తగ్గించే చట్టం
ରିଡ୍ୟୁନ୍ ବ increasing ୁଥିବା ନିୟମ |,పెరుగుతున్న చట్టం
ଅଧ୍ୟାପକଙ୍କ ସୀମିତତାର ନିୟମ |,కారకాలు పరిమితం చేసే చట్టం
ସର୍ବନିମ୍ନ ନିୟମ,కనీస చట్టం
ପ୍ରତିସ୍ଥାପନର ନିୟମ,ప్రత్యామ్నాయ చట్టం
ଭେରିଏବଲ୍ ଅନୁପାତର ନିୟମ |,వేరియబుల్ నిష్పత్తుల చట్టం
ସ୍ତର,పొర
ଲେଆଉଟ୍ |,లేఅవుట్
ଲିଚେଟ୍ |,లీచేట్
ଲେକିଂ ଦକ୍ଷତା |,లీచింగ్ సామర్థ్యం
ଲେଚିଂ ଆବଶ୍ୟକତା,లీచింగ్ అవసరం
ଅଗ୍ରଣୀ ଷ୍ଟ୍ରାଣ୍ଡ |,ప్రముఖ స్ట్రాండ్
ପତ୍ର କ୍ଷେତ୍ର ଅବଧି |,ఆకు ప్రాంతం వ్యవధి
ପତ୍ର କ୍ଷେତ୍ର ସୂଚକାଙ୍କ |,ఆకు ప్రాంత సూచిక
ପତ୍ର କ୍ଷେତ୍ର ଅନୁପାତ |,ఆకు ప్రాంత నిష్పత్తి
ପତ୍ର ଖଣି,ఆకు మైనర్
ପତ୍ର ପରୀକ୍ଷା,ఆకు పరీక్ష
ପତ୍ର,ఆకు
ଲିଫଲେଟ୍ |,కరపత్రం
ଲିଜ୍,లీజు
ଲେମ୍ବୁ,చిక్కుళ్ళు
ଲେସା - (ନିମ୍ନ ଶକ୍ତି ଇନପୁଟ୍ ଇନପୁଟ୍ କୃଷି କୃଷି),లీసా - (తక్కువ శక్తి ఇన్పుట్ స్థిరమైన వ్యవసాయం)
ଅବଶ୍ୟ,లెంటిసెల్
ଲେନୋ କ୍ୟାପିଲାରୀ ପଏଣ୍ଟ |,లెంటో క్యాపిల్లరీ పాయింట్
ରେପୋନମା |,లెప్టోనెమా
ଲିପଟୋସପିରୋସିସ୍ |,లెప్టోస్పిరోసిస్
ଲେରୋ-ମର୍ଫିକ୍ |,లెరో-మార్ఫిక్
କ୍ଷତ,గాయం
ସାଂଘାତିକ ଗଣିତ |,ప్రాణాంతక మ్యుటేషన్
ବିନ୍ଦୁ,ల్యూకోప్లాస్ట్
ସ୍ତରୀୟ ଟେରସ୍ |,స్థాయి టెర్రేస్
ଲିଭର୍ (ଲିଭର୍),లెవెలర్
ସ୍ତର (ଜମିର),స్థాయి స్థాయికిట
Ley ଚାଷ,లే వ్యవసాయం
Liebig ର ସର୍ବନିମ୍ନ ନିୟମ |,లైబిగ్ యొక్క కనీస చట్టం
ଲସେକ୍ସ,లిగేషన్
ହାଲୁକା କ୍ଷତିପୂରଣ ବିନ୍ଦୁ |,తేలికపాటి పరిహారం పాయింట్
ହାଲୁକା ଶନିବାର ତୀବ୍ରତା |,కాంతి సంతృప్త తీవ్రత
ହାଲୁକା ଟ୍ରାନ୍ସମିସନ ଅନୁପାତ |,కాంతి ప్రసార నిష్పత్తి
ହାଲୁକା ଜାଲ |,లైట్ ట్రాప్
ଅଙ୍ଗ,పరిమితి
ସୀମା,పరిమితి
ସୀମା ସୀମିତ କରିବା |,పరిమితం చేసే కారకం
ଲିମୋନାଇଟ୍ |,లిమోనైట్
ରେଖା,లైన్
ରେଖା ପ୍ରତିକ୍ରିୟା |,సరళ ప్రతిస్పందన
ଲିଙ୍କ୍,అనుసంధానం
ଲିଙ୍କ୍ ଗୋଷ୍ଠୀ,అనుసంధాన సమూహం
ଲିନର,లింకర్
ଲିନଟ୍ ଇଣ୍ଡେକ୍ସ |,లింట్ ఇండెక్స్
ଲିନବାସୀ |,Linters
ଲିପିଡ୍,లిపిడ్
ଲିପୋଲୋଜି,లిపోలిసిస్
ବାତିଲ,లిక్విడేషన్
ତାଲିକା,లిస్టర్
ତାଲିକା,లిస్టర్
ତାଲିକା,జాబితా
ଲିଥୋସେଫର୍ |,లిథోస్పియర్
ଲିଟର,లిట్టర్
ଲାଇଭ୍ ମଲେଚ୍ |,లైవ్ మల్చెస్
ଲିଭରୱର୍ଟ |,లివర్‌వోర్ట్
ପଶୁପଲ,పశువులు
ଲୋକାଲ୍ ନିୟନ୍ତ୍ରଣ,స్థానిక నియంత్రణ
ଲାକ୍ସ,లోకస్
ପଙ୍ଗପାଳ |,మిడుత
ଲଜିଂ (କ୍ରପ୍ ଲଜିଂ),బస (పంట బస)
Ladiicule,లోడిక్యూల్
ପ୍ରେମୀଶା,Wheess
ଲୋଗୀବସିମିକ୍ ରୂପାନ୍ତର |,లోగార్తిమిక్ పరివర్తన
ଲମ୍ବା - ଦିନ ଉଦ୍ଭିଦ |,లాంగ్ - డే మొక్క
ଲମ୍ବା ତରଙ୍ଗ ବିକିରଣ |,లాంగ్ వేవ్ రేడియేషన్
ଲୁପ୍ |,లూప్
ଚାପି ଚାଇବା |,లాపింగ్
କାଠ,కలప
ଲକ୍ସ,లక్స్
ବିଳାସପୂର୍ଣ୍ଣ ବ୍ୟବହାର (ପୁଷ୍ଟିକର),లగ్జరీ వినియోగం (పోషకం)
ବିଳାସପୂର୍ଣ୍ଣ ଜିନ୍ |,లగ్జరీ జన్యువులు
ଲାଇକୋଲିଅନ୍ |,లైకోపీన్
ଲିସାନ,శోషరస
ଲିଆସିମିଟର |,లైసిమీటర్
କକ୍ଷର ଲସିସିସ୍ |,సెల్ యొక్క లైసిస్
ଲିସୋଜେନି,లైసోజెని
ଲାଇସୋମ୍,లైసోజోమ్
ଲିଆଜାଇମ୍,లైసోజైమ్
ଲାକ ଗଛ,లాక్ ట్రీ
ଲକ୍ଷ,లక్ష
"ଲେଡିଙ୍କ ଆଙ୍ଗୁଠି, ଓକ୍ରା |","లేడీ ఫింగర్, ఓక్రా"
ଜମି କାଲ୍ଟ୍ରୋପ୍ |,భూమి కాల్‌ట్రోప్‌లు
ଲାଣ୍ଟାନା,లాంటానా
ଲେଟିନସ୍,లాథైరస్
ଲେକ,లీక్
ଲେମ୍ବୁ ଘାସ |,నిమ్మ గడ్డి
ଲେମ୍ବୁ |,నిమ్మకాయ
ମ ents ଼ିଦିଅ,కాయధాన్యం
Lequeorice,లెక్వోరిస్
ଲେଥୁସ୍ |,పాలకూర
ଲିଲି,లిల్లీ
ଚୂନ,సున్నం
ଲିନ୍ସେଡ୍ |,లిన్సీడ్
ଲିଚି |,లిట్చి
ଲିଟିଲ୍ ମିଲେଟ୍ |,సామలు
ଲମ୍ବା ତରଭୁଜ |,పొడవైన పుచ్చకాయ
ଲମ୍ବା ହଳଦୀ |,పొడవైన మిరియాలు
ଲୋୟାଟ୍ |,లోక్వాట్
ଲୋଟସ୍,లోటస్
Lourerne,లార్సెర్న్
ଲାକ୍ କୀଟ,లాక్ క్రిమి
ଲେଡି ପକ୍ଷୀ ବିଟଲ୍ |,లేడీ బర్డ్ బీటిల్
ପତ୍ର ଖଣି,ఆకు మైనర్
ପତ୍ର ରୋଲର୍ |,ఆకు రోలర్
ପତ୍ର ୱେବର |,ఆకు వెబ్బర్
ପଙ୍ଗପାଳ |,మిడుత
ମାକ୍ରୋ ବିବର୍ତ୍ତନ |,స్థూల పరిణామం
ମାକ୍ରୋକ୍ଲିଅମ୍ |,మాక్రోక్లైమేట్
ମାକ୍ରୋମୋଲେକ୍ |,స్థూల కణాలు
ମାକମରୁଟେସନ୍ |,స్థూల
ମାକ୍ରୋନ୍ରିଏଣ୍ଟ୍ |,మాక్రోన్యూట్రియంట్
ମାକ୍ରୋପୋରସ୍,మాక్రోపోర్స్
ମାଗଟ୍,మాగ్గోట్
ମ୍ୟାଗମା |,మాగ్మా
ମ୍ୟାନ୍ସେସିଆ |,మెగ్నీషియా
ମ୍ୟାଗ୍ନେସିୟମ୍,మెగ్నీషియం
ଚୁମ୍ବକୀୟ ଷ୍ଟିରର୍ |,మాగ్నెటిక్ స్టిరర్
ତିକ୍ତ,పరిమాణం
Mahoha cake,మహువా కేక్
ମେନିନାଇନର୍ ଲାଇନ୍ |,మెయింటెనర్ లైన్
ରକ୍ଷଣାବେକ୍ଷଣ,నిర్వహణ
ମାଟର,మొక్కజొన్న షెల్లర్
ପୁରୁଷ ନିର୍ଜଳ |,మగ శుభ్రత
ଅସମ୍ମାନ,వైకల్యం
ଅସମ୍ମାନ,ప్రాణాంతకత
ପୁଷ୍ପ,పోషకాహార లోపం
ଦୁଷ୍କର୍ମ,దుర్వినియోగం
ମାଲଂ,మాల్టింగ్
ହାଲୁକା,మాంగర్
ମାଙ୍ଗ୍ରୋଭସ୍ |,మడ అడవులు
ମନୋମିଟର |,మనోమీటర్
ମନୋମିଟର |,మనోమీటర్
ମାନିସାସା (ଲୋଗାରିଥମ୍ ର),మాంటిస్సా (లోగారిథం యొక్క)
ଖତ,ఎరువు
ସ୍ନାୟୁ,ఎరువు
ମାର୍ଜିନାଲ୍,ఉపాంత
ମାର୍ଜିନାଲ୍ ମୂଲ୍ୟ,ఉపాంత వ్యయం
ମାର୍ଜିନାଲ୍ ଜମି |,ఉపాంత భూమి
ମାର୍ଜିନାଲ୍ ଉତ୍ପାଦ |,ఉపాంత ఉత్పత్తి
ମାର୍ଜିନାଲ୍ ରିଟର୍ନ |,ఉపాంత రాబడి
ସାମୁଦ୍ରିକ,మెరైన్
ମାର୍କର (ଜେନେଟିକ୍),గుర్తు
ବଜାର,సంత
ମାର୍କେଟେବଲ୍ |,విక్రయించదగినది
ମାର୍କେଟେବଲ୍ ସରପ୍ଲସ୍ |,విక్రయించదగిన మిగులు
ମାର୍କେଟେଡ୍ ସରପ୍ଲସ୍ |,మార్కెట్ మిగులు
ମାର୍କେଟିଂ |,మార్కెటింగ్
ମାର୍ଶ,మార్ష్
ଜନ ପ୍ରବାହ,ద్రవ్యరాశి ప్రవాహం
ଜନ ଚୟନ,సామూహిక ఎంపిక
ଜନ-ସ୍ପେକ୍ଟ୍ରୋମିଟର |,మాస్-స్పెక్ట్రోమీటర్
ମାଷ୍ଟ,మాస్ట్
ମାନବର ଉତ୍ତରାଧିକାରୀ,తల్లి వారసత్వం
ମିଳନ,సంభోగం
ମାଟ୍ରିକ୍ ସମ୍ଭାବନା,మెట్రిక్ సంభావ్యత
ଚିକିତ୍ସା,పరిపక్వత
ପରିପକ୍ୱତା (ଫସଲ),పరిపక్వత (పంట)
ସର୍ବାଧିକ ଉପଲବ୍ଧ ଜଳ |,గరిష్టంగా అందుబాటులో ఉన్న నీరు
ସର୍ବାଧିକ କ୍ରପ୍ |,గరిష్ట పంట
ସର୍ବାଧିକ ଅବଶିଷ୍ଟ ସୀମା |,గరిష్ట అవశేష పరిమితి
ସର୍ବାଧିକ ସ୍ଥାୟୀ ଅମଳ |,గరిష్ట స్థిరమైన దిగుబడి
ସର୍ବାଧିକ ଥର୍ମୋମିଟର |,గరిష్ట థర్మామీటర్
ସର୍ବାଧିକ ଜଳ ଶୋ '|,గరిష్ట నీటి హోల్డింగ్ సామర్థ్యం
ମଟର ବଗିଚା |,మేడో ఆర్చర్డింగ్
ମିଆଦେଖା |,మీలీ
ଅର୍ଥ ବିଚ୍ୟୁତି |,సగటు విచలనం
ଅର୍ଥ ହେଉଛି ଜୀବନ (ପରମାଣୁ),సగటు జీవితం (అణు)
ଅର୍ଥ ସମୁଦ୍ର ପତ୍ତନ |,సముద్ర మట్టం సగటు
ହାରାହାରି ବର୍ଗ |,చదరపు అర్థం
ମାପ,కొలత
ମାପ,కొలత
ଯାନ୍ତ୍ରିକ,యాంత్రిక
ଯାନ୍ତ୍ରିକ ବିଶ୍ଳେଷଣ (ମାଟି),యాంత్రిక విశ్లేషణ
ଯାନ୍ତ୍ରିକ ପ୍ରତିରୋପଣ |,యాంత్రిక ఇంపెడెన్స్
ଯାନ୍ତ୍ରିକ ଚାଷ,యాంత్రిక వ్యవసాయం
ମଧ୍ୟମ,మధ్యస్థ
Medic ଷଧୀୟ ଉଦ୍ଭିଦ |,Plant షధ మొక్క
ଭୂମଧ୍ୟସାଗରୀୟ ଜଳବାୟୁ |,మధ్యధరా వాతావరణం
MegaGaGamescesiesis,మెగాగామెటోజెనిసిస్
MeasgPorangia,మెగాస్పోరంగియా
ମେଗାସପୋର (ମାକ୍ରୋସପୋର),మహశితుడు
Megasporogeresis,మెగాస్పోరోజెనిసిస్
ମିଆଏସୋଇସ୍,మియోసిస్
ମେଲୋ ମାଟି |,మెలో నేల
DNA ର ତରଳିବା |,DNA యొక్క ద్రవీభవన
ମେମ୍ବ୍ରେନ୍ ଫିଲ୍ଟର୍ |,మెంబ్రేన్ ఫిల్టర్
ମେଣ୍ଡେଲିଆନ୍ ଉତ୍ତରାଧିକାରୀ |,మెండెలియన్ వారసత్వం
ମେଣ୍ଡେଲିଜିମ୍ |,మెండెలిజం
ମେଣ୍ଡେଲଙ୍କ ଉତ୍ତରାଧିକାରର ନିୟମ |,మెండెల్ యొక్క వారసత్వ చట్టం
ବାଣିଜ୍ୟ,సరుకుల
ମର୍କୁରୀ,మెర్క్యురీ
ମେରିସମରଣ,మెరిస్టెమ్
ମିଆଁଲାକରଣ,మెసోక్లిమేట్
ମେସୋଡର୍ମ,మీసోడెర్మ్
ମେସୋଫିଲ୍ |,మెసోఫిల్
ମେସୋଫାଇଟ୍ |,మెసోఫైట్
ମେସୋସ୍-ପୋରସ୍ |,మీసో-పోర్స్
ମେସୋସସେର୍ |,మెసోస్పియర్
ମେସେଞ୍ଜର rna (m-rna),దూత
ମେଟାବୋଲିଜିମ୍ |,జీవక్రియ
ମେଟାବୋଲାଇଟ୍ |,జీవక్రియలు
ଧାତୁ ଡ୍ୟାମ୍,మెటల్ డ్యామ్
ମେଟାମୋର୍ଫିକ୍ ପଥର |,మెటామార్ఫిక్ రాళ్ళు
ମେଟାମୋର୍ଫୋସିସ୍ |,మెటామార్ఫోసిస్
Metatafse,మెటాఫేస్
ମେଟାଷ୍ଟ୍ରସ୍,మెటాస్ట్రస్
ମେଟାକ୍ସେନିଆ |,మెటాక్సేనియా
ପାଣିପାଗ ବିଜ୍ଞାନ,వాతావరణ శాస్త్రం
Methamemoblabinemia,మెథెమోగ్లోబినేమియా
ପଦ୍ଧତି ପ୍ରଦର୍ଶନ,పద్ధతి ప్రదర్శన
ମିକା,మైకా
ମାଇକ୍ରୋ ବେସନ |,మైక్రో బేసిన్
ମାଇକ୍ରୋ ଫୁନା |,మైక్రో జంతుజాలం
ମାଇକ୍ରୋବେକ୍ |,సూక్ష్మజీవి
ମାଇକ୍ରୋବିଆଲ୍ ବାୟୋମାସ୍ କାର୍ବନ |,సూక్ష్మజీవుల బయోమాస్ కార్బన్
ମାଇକ୍ରୋବାୟଲ୍ ଅବନତି |,సూక్ష్మజీవుల క్షీణత
ମାଇକ୍ରୋବିଆଲ୍ କୀଟନାଶକ |,సూక్ష్మజీవుల పురుగుమందు
ମାଇକ୍ରୋବାୟୋଲୋଜି |,మైక్రోబయాలజీ
ମାଇକ୍ରୋବାୟୋଟିକ୍ |,సూక్ష్మజీవి
ମାଇକ୍ରୋକମେଣ୍ଟ |,మైక్రోక్లైమేట్
ମାଇକ୍ରୋନିଭ୍ରଏନସନ୍ |,సూక్ష్మ పర్యావరణం
ମାଇକ୍ରୋଫ୍ଲୋରା |,మైక్రోఫ్లోరా
ମାଇକ୍ରୋଗମେତିଟେଜେଞ୍ଜେସିସ୍ |,మైక్రోగామెటోజెనిసిస్
ମାଇକ୍ରୋରିଣ୍ଡେସନ୍ |,మైక్రోర్రిగేషన్
ମାଇକ୍ରୋମେଟ୍ରାକୋଲୋଜି |,మైక్రోమెటొరాలజీ
ମାଇକ୍ରୋନ୍ୟୁଟ୍ରାଇନ୍ଏଣ୍ଟ୍ |,మైక్రోన్యూట్రియంట్
ମାଇକ୍ରୋପ୍ଲଟ୍ |,మైక్రోప్లాట్
ମାଇକ୍ରୋପୋର,మైక్రోపోర్
ମାଇକ୍ରୋପାଇଲ୍ |,మైక్రోపైల్
ମାଇକ୍ରୋସ୍କୋପି |,మైక్రోస్కోపీ
ମାଇକ୍ରୋସପୋରାଙ୍ଗସିୟମ୍ |,మైక్రోస్పోరింగియం
ମାଇକ୍ରୋସପୋର ସଂସ୍କୃତି |,మైక్రోస్పోర్ సంస్కృతి
ମାଇକ୍ରୋସପୋର ମାତା କକ୍ଷ |,మైక్రోస్పోర్ మదర్ సెల్
ମାଇକ୍ରୋସପୋର |,మైక్రోస్పోర్
ମାଇକ୍ରୋଟୋମେ |,మైక్రోటోమ్
ମାଇକ୍ରୋଟୋପୋଗ୍ରାଫି |,మైక్రోటోపోగ్రఫీ
ମଧ୍ୟମ ସିଜନ୍ ସଂଶୋଧନ |,మిడ్-సీజన్ దిద్దుబాటు
ସ୍ଥାନାନ୍ତରଣ,వలస
କ୍ଷୀର ଶସ୍ୟ ପର୍ଯ୍ୟାୟ |,పాలు ధాన్యం దశ
ମିଲଲେପେଡେ |,మిల్లెపెడ్
ମିଲେଟ୍ |,మిల్లట్లు
ମିଲିଂ ପୁନରୁଦ୍ଧାର,మిల్లింగ్ రికవరీ
ମିଲ୍ କରିବା,మిల్లింగ్
ମିନେରାଲ୍ ପୁଷ୍ଟିକର |,ఖనిజ పోషణ
ଖଣିଜ ମାଟି |,ఖనిజ నేల
ଖଜୁରୀ,ఖనిజీకరణ
ଖଣିଜ ପଦାର୍ଥ,ఖనిజాలు
ସର୍ବନିମ୍ନ ଥର୍ମୋମିଟର |,కనిష్ట థర్మామీటర్
ସର୍ବନିମ୍ନ ଟିଲଗ୍ |,కనీస పండించడం
ଛୋଟ ଫସଲ,చిన్న పంటలు
ମାଇଟୋିକ୍ ଇଣ୍ଡେକ୍ସ |,మియోటిక్ ఇండెక్స్
ମିସିସନ୍ ମ୍ୟୁଟେସନ୍ |,మిస్సెన్స్ మ్యుటేషన్
କୁହୁଡି ଜଳସେଚନ |,పొగమంచు నీటిపారుదల
କୁହୁଡି,పొగమంచు
Mitochonrial,మైటోకాండ్రియా
ମିଟୋସାଇସ୍ |,మైటోసిస్
ମିଟର୍ଲିଚଙ୍କ ନିୟମ |,మిత్చెర్లిచ్ యొక్క చట్టం
ମିଶ୍ରିତ କ୍ରପ୍ |,మిశ్రమ పంట
ମିଶ୍ରିତ ଚାଷ,మిశ్రమ వ్యవసాయం
ମିଶ୍ରିତ ସାର,మిశ్రమ ఎరువులు
ମିଶ୍ରିତ ଚରିବା |,మిశ్రమ మేత
ମିଶ୍ରିତ ସୁଇପ୍ |,మిశ్రమ స్వార్డ్
ମଡେଲ୍,మోడల్
ମଡେଲିଂ,మోడలింగ్
ପରିବର୍ତ୍ତିତ ବାତାବରଣ ପ୍ୟାକେଜିଂ |,సవరించిన వాతావరణ ప్యాకేజింగ్
ଆର୍ଦ୍ରତା ଉପଲବ୍ଧତା ସୂଚକାଙ୍କ |,తేమ లభ్యత సూచిక
ଆର୍ଦ୍ରତା ଅଭାବ ସୂଚକାଙ୍କ |,తేమ లోటు సూచిక
ଆର୍ଦ୍ରତା ସମାନ |,తేమ సమానమైనది
ଆର୍ଦ୍ର ଶାସନ |,తేమ పాలన
ଆର୍ଦ୍ରତା ରିଲିଜ୍ ବକ୍ର |,తేమ విడుదల కర్వ్
ଆର୍ଦ୍ରତା ଧାରଣ,తేమ నిలుపుదల
ଆର୍ଦ୍ରତା ଚାପ |,తేమ ఒత్తిడి
ଆର୍ଦ୍ରତା ଟେନସନ |,తేమ ఉద్రిక్తత
ଆର୍ଦ୍ରତା,తేమ
ମୋଲାର ସମାଧାନ,మోలార్ ద్రావణం
ଗୁଣ୍ଡ,మొలాసిస్
ମଲେ ଡ୍ରେନେଜ୍ |,మోల్ డ్రైనేజ్
ମଲିକୁଲାର୍ ଜୀବବିଜ୍ଞାନ |,అణు జీవశాస్త్రం
ମଲିକୁଲାର୍ ପ୍ରଜନନ |,పరమాణు పెంపకం
ମଲିକୁଲାର ହାଇବ୍ରିଡାଇଜେସନ୍ |,మాలిక్యులర్ హైబ్రిడైజేషన్
ମଲୁସିସିଏସ୍ |,మొలస్సిసైడ్
ମୁଦ୍ରା ସୁବିଧା ସୂଚକାଙ୍କ (MAI),ద్రవ్య అడ్వాంటేజ్ సూచిక (MAI)
ମୋନୋକ୍ଲୋନାଲ୍ ଆଣ୍ଟିବଡି |,మోనోక్లోనల్ యాంటీబాడీ
Monocotyledlondon,మోనోకోటిలెడాన్స్
ମୋନୋକ୍ରୋପ୍ (ମନୋବୃତ୍ତି),మోటుకలు
ମୋନୋମିୟର୍ |,మోనోసియస్
ମୋନୋଗେସିସ୍,మోనోజెనిసిస్
ମୋନୋହାଇବ୍ରାଇଡ୍ |,మోనోహైబ్రిడ్
ମୋନୋଜି ଗ୍ଲାଜିଟିକ୍ |,మోనోజైగోటిక్
ମ so ସୁମୀ |,రుతుపవనాలు
ମଣ୍ଟମୋରିଲିୟନାଇଟ୍ |,మోంట్మోరిల్లోనైట్
ମୋର୍,మూర్
ମଦିନ ସକାଳ,మోర్
ମୋର୍ଗାନ୍ ୟୁନିଟ୍ |,మోర్గాన్ యూనిట్
Morphogenesis,మోర్ఫోజెనిసిస్
Morphological ଆଡାପ୍ଟେସନ୍ |,పదనిర్మాణ అనుసరణ
Morphology,పదనిర్మాణ శాస్త్రం
ବନ୍ଧକ,తాకట్టు
ମୋଟର,మోటిల్
ଚଟାଣିବା,మోట్లింగ్
ଛାଞ୍ଚ,అచ్చు
ମୁକାବିଲା,మౌల్టింగ్
ମୁଣ୍ଡ ସଂସ୍କୃତି |,మట్టిదిబ్బ సంస్కృతి
ମାଉଣ୍ଡ ଲେଜର |,మట్టిదిబ్బ పొరలు
ମରୁଡ଼ି,మొవర్
କାଟିବା,మొవింగ్
ମୁକିଲଜ୍ |,శ్లేష్మం
ମକ୍ ମୃତ୍ତିକା |,చెత్త నేల
କାଦୁଅ,మడ్డీ
ମଫଲ,మఫిల్
ମଲଚ ଚାଷ,రక్షక కవచం వ్యవసాయం
ମଲଚ୍ ଟିଲଗେଜ୍ |,రక్షక కవచం పండించడం
ମଲଚ,రక్షక కవచం
