Marathi,English
होस्ट सेल,Host cell
होस्ट-पॅरासेटिक संबंध,Host-parasitic relationship
होस्ट विशिष्टता,Host specificity
गरम वाळवंट,Hot desert
गरम पातळ सूप,Hot dilute soup
हॉट स्पॉट,Hot spot
घरपट्टीचे कार्य,House keeping function
घरगुती जनुक,House-keeping gene
मानवी शरीर,Human body
मानवी कोरिओनिक गोनाडोट्रोपिन (एचसीजी),Human chorionic gonadotropin (HCG)
मानवी लोकसंख्याशास्त्र,Human demography
मानवी जीनोम,Human genome
मानवी वाढ संप्रेरक (एचजीएच),Human growth hormone (HGH)
मानवी यजमान,Human host
मानवी इम्युनोडेफिशियन्सी व्हायरस (एचआयव्ही),Human immunodeficiency virus (HIV)
मानवी ल्यूकोसाइटिक प्रतिजन,Human leucocytic antigen
मानवी ल्युकोसाइट अँटीग्ने कॉम्प्लेक्स,Human leukocyte antigne complex
मानवी प्लेसेंटल लैक्टोजेन,Human placental lactogen
मानवी लोकसंख्या दबाव,Human population pressure
मानव वंश,Human race
ह्यूमरस,Humerus
ह्यूमिक acid सिड,Humic acid
दमट,Humid
आर्द्रता,Humidity
नम्रता,Humification
विनोद,Humor
बुरशी,Humus
हंटिंगडन रोग,Huntingdon's disease
हायसिंथ,Hyacinth
हायलिन,Hyaline
हायलिन कूर्च,Hyaline cartilage
हायल्यूरोनिडेस,Hyaluronidase
संकरित,Hybrid
संकरित इनव्हिलिटी,Hybrid inviability
एफ 1 बियाणे संकरित,Hybrid of f1 seeds
संकरित वंध्यत्व,Hybrid sterility
संकरित वाहन तंत्रज्ञान,Hybrid vehicle technology
हायड्रार्क सक्सेसेशन,Hydrarch sucession
हायड्रेशन शेल,Hydration shell
हायड्रिक,Hydric
हायड्रिला,Hydrilla
हायड्रोजन बॉन्ड,Hydrogen bond
हायड्रोजन सायनाइड,Hydrogen cyanide
हायड्रोजन न्यूक्लियस,Hydrogen nucleus
हायड्रोलेज,Hydrolase
हायड्रोलॉजिकल चक्र,Hydrological cycle
हायड्रोलायझिंग,Hydrolysing
हायड्रोलाइटिक क्लेवेज,Hydrolytic cleavage
हायड्रोनॅस्टी,Hydronasty
हायड्रोफिलिक,Hydrophilic
हायड्रोफिली,Hydrophily
हायड्रोफिली,Hydrophily
हायड्रोफोबिक,Hydrophobic
हायड्रोफाइट,Hydrophyte
हायड्रोपोनिक्स,Hydroponics
हायड्रोस्फीअर,Hydrosphere
हायड्रोस्टॅटिक दबाव,Hydrostatic pressure
हायड्रोथर्मल इकोसिस्टम,Hydrothermal ecosystem
हायड्रोथर्मल व्हेंट,Hydrothermal vent
हायड्रॉक्सिल ग्रुप,Hydroxyl group
हायग्रिक,Hygric
हिला (ट्री फ्रॉग),Hyla (tree frog)
हायमेन,Hymen
हायॉइड,Hyoid
हायड हाड,Hyoid bone
हायपॅन्थोडियम,Hypanthodium
हायपर कोलेस्टेरोलिया,Hyper cholesterolemia
हायपरग्लाइसीमिया,Hyperglycemia
हायपरकेराटोसिस,Hyperkeratosis
हायपरपॅराथायरॉईडीझम,Hyperparathyroidism
हायपरप्लासिया,Hyperplasia
अतिसंवेदनशीलता,Hypersensitivity
उच्च रक्तदाब,Hypertension
हायपरथायरॉईडीझम,Hyperthyroidism
हायपरटोनिक,Hypertonic
हायफा,Hypha
हायफेन,Hyphaene
हायपोकॉन्ड्रिया,Hypochondria
हायपोकोटाइल,Hypocotyl
हायपोग्लाइसीमिया,Hypoglycemia
हायपगोनाडिझम,Hypgonadism
हायपोगिनस,Hypogynous
हायपॉजीनी,Hypogyny
हायपोलिमिनियन,Hypolimnion
हायपोपेराथायरॉईडीझम,Hypoparathyroidism
हायपोफॅरिन्क्स,Hypopharynx
हायपोस्टोम,Hypostome
हायपोस्टोम,Hypostome
हायपोथालेमस,Hypothalamus
हायपोथेसिस,Hypothesis
हायपोथेटिकल chordate,Hypothetical chordate
काल्पनिक प्रस्ताव,Hypothetical proposition
हायपोथायरॉईडीझम,Hypothyroidism
हायपोटोनिक,Hypotonic
हायपोटोनिक सोल्यूशन,Hypotonic solution
हायराकोथेरियम,Hyracotherium
हिमयुग,Ice age
Ichthyophis,Ichthyophis
ओळख,Identification
इडिओग्राम,Idiogram
इडिओग्राम,Idiogram
इगुआना,Iguana
इलियम,Ileum
प्रकाशमय नमुना,Illuminating sample
प्रदीपन,Illumination
प्रतिमा,Image
इम्बिबिशन प्रेशर,Imbibition pressure
इम्बिबिशन,Imbibition
इम्ब्रिकेट,Imbricate
Imbricate asestivation,Imbricate aestivation
परदेशातून कायमची वस्ती करण्यासाठी येणारा किंवा आलेला,Immigrant
इमिग्रेशन,Immigration
इमिग्रेशन,Immigration
अमरत्व,Immortalize
रोगप्रतिकारक प्रतिसाद,Immune response
रोगप्रतिकार प्रणाली,Immune system
रोगप्रतिकारक शक्ती डिसऑर्डर,Immune system disorder
प्रतिकारशक्ती,Immunity
इम्युनो-तडफड,Immuno-compromised
इम्यूनो कमतरता रोग,Immuno deficiency disease
इम्यूनो इलेक्ट्रोफोरेसीस,Immuno electrophoresis
इम्यूनो फ्लूरोसंट अँटीबॉडी लेबलिंग,Immuno fluorescent antibody labelling
इम्युनो सॉर्बेंट परख,Immuno sorbent assay
इम्युनो दडपशाही थेरपी,Immuno suppressive therapy
इम्युनो दडपशाही,Immuno suppressant
इम्युनोजेनिक,Immunogenic
इम्यूनोग्लोबुलिन,Immunoglobulin
इम्यूनोलॉजी,Immunology
इम्युनोमोड्युलेटर,Immunomodulator
इम्यूनोपोटेन्टिएशन थेरपी,Immunopotentiation therapy
इम्युनोसप्रेशिव्ह औषध,Immunosuppressive drug
इमुनोथेरपी,Imunotherapy
इम्पीरिपिननेट,Imparipinnate
इम्पाटाटा,Imperata
अभेद्य,Impermeable
रोपण,Implant
रोपण,Implantation
सुधारित बियाणे,Improved seed
सुधारित विविधता,Improved variety
परिस्थिती मध्ये,In situ
ग्लासमध्ये,In vitro
विट्रो फर्टिलायझेशन (आयव्हीएफ) मध्ये,In vitro fertilization (IVF)
व्हिव्हो मध्ये,In vivo
निष्क्रिय,Inactive
इनब्रेड लाइन,Inbred line
इनब्रीडिंग,Inbreeding
पुनर्बांधणीची घटना,Incidence of recombination
भस्मसात,Incineration
Incisor,Incisor
समावेश शरीर,Inclusion body
विसंगत वर्तन,Incoherent behaviour
विसंगतता,Incompatibility
विसंगतता,Incompatibility
अपूर्ण वर्चस्व,Incomplete dominance
इनक्यूबेटर,Incubator
उपस्थित,Incumbant
इनकस,Incus
अनिश्चित फळ,Indehiscent fruit
इंडेंट,Indented
स्वतंत्र वर्गीकरण,Independent assortment
स्वतंत्र जीन,Independent gene
भारतीय कृषी संशोधन परिषद,Indian council of agricultural research
भारतीय तांबूस पिवळट रंगाचा,Indian salmon
सूचक प्रजाती,Indicator species
स्वदेशी औषधाची व्यवस्था,Indigenous system of medicine
इंडिगोफेरा,Indigofera
घरातील प्रदूषण,Indoor pollution
प्रेरित चळवळ,Induced movement
प्रेरित उत्परिवर्तन,Induced mutation
प्रेरक,Inducer
इंड्यूसर जनुक,Inducer gene
अपरिवर्तनीय नियंत्रण,Inducible control
इंडिकिबल एंजाइम,Inducible enzyme
कर्करोगाचा समावेश,Induction of cancer
औद्योगिक मेलेनिझम,Industrial melanism
औद्योगिक प्रदूषण,Industrial pollution
औद्योगिक धूर,Industrial smoke
इनरफरन्स कॉन्ट्रास्ट मायक्रोस्कोपी,Inerference contrast microscopy
अक्षम्य संसाधने,Inexhaustible resources
संसर्गजन्य रोग,Infectious disease
संसर्ग,Infectivity
अनुमान,Inference
निकृष्ट सेरेबेलर पेडनकल,Inferior cerebellar peduncle
निकृष्ट मेसेन्ट्रिक गॅंग्लियन,Inferior mesentric ganglion
अनंत,Infinite
जळजळ,Inflammation
दाहक अडथळा,Inflammatory barrier
दाहक प्रतिक्रिया,Inflammatory reaction
दाहक प्रतिसाद,Inflammatory response
चलनवाढ,Inflation
फुलणे,Inflorescence
इन्फ्लूएंझा,Influenza
ओघ,Influx
इन्फ्रॉर्बिटल ग्रंथी,Infraorbital gland
इन्फंडिबुलम,Infundibulum
अंतर्भूत अन्न,Ingested food
अंतर्ग्रहण,Ingestion
इनगिनल कालवा,Inguinal canal
इनगिनल हर्निया,Inguinal hernia
वारसा,Inheritance
वारसा आण्विक रोग,Inherited molecular disease
प्रतिबंध,Inhibit
प्रतिबंधित,Inhibited
संप्रेरक प्रतिबंधित करणे,Inhibiting hormone
प्रतिबंध,Inhibition
प्रतिबंधात्मक पेप्टाइड,Inhibitory peptide
दीक्षा,Initiation
आरंभकर्ता,Initiator
इंजेक्शन,Injected
इजा,Injury
इनलेट,Inlet
जन्मजात प्रतिकारशक्ती,Innate immunity
अजैविक उत्क्रांती,Inorganic evolution
अजैविक सामग्री,Inorganic material
Inositoltriphoshate,Inositoltriphoshate
पौष्टिकतेचे इनपुट,Input of nutrient
कीटक,Insect
कीटक खाणे वॉरबलर,Insect eating warbler
कीटक कीटक,Insect pest
कीटक प्रतिकार,Insect resistance
कीटक,Insecta
कीटकनाशक प्रथिने,Insecticidal protein
कीटकनाशक,Insecticide
कीटक,Insectivore
कीटकनाशक वनस्पती,Insectivorous plant
गर्भाधान,Insemination
अंतर्भूत निष्क्रियता,Insertional inactivation
श्वसन क्षमता,Inspiratory capacity
श्वसन राखीव खंड,Inspiratory reserve volume
नैसर्गिक वाढीचा इन्स्ट्रिन्सिक दर,Instrinsic rate of natural increase
इन्सुलेशन,Insulate
इन्सुलिन,Insulin
अविभाज्य प्रथिने,Integral protein
समाकलित करा,Integrate
एकत्रीकरण,Integration
इंटिगमेंट,Integument
इंटेग्युमेंटरी नेफ्रिडियम,Integumentary nephridium
परस्परसंवाद,Interaction
नकारात्मक प्रभावासह संवाद,Interaction with negative effect
इंट्रेरियल सेप्टम,Interatrial septum
इंटरब्रीडिंग,Interbreeding
इंटरब्रीडिंग वैयक्तिक,Interbreeding individual
इंटरकॅलरी,Intercalary
इंटरकॅलेटेड डिस्क,Intercalated disc
इंटरसेल्युलर मॅट्रिक्स,Intercellular matrix
इंटरसेल्युलर स्पेस,Intercellular space
इंटरसेप्ट,Intercept
इंटरसेप्ट,Intercept
आंतर-साखळी बाँड,Inter-chain bond
इंटरडौब्लेट ब्रिगेड,Interdoublet brigade
इंटरफॅस्क्युलर कॅम्बियम,Interfascicular cambium
इंटरम्ब्रेन्स स्पेस,Intermembrance space
इंटरफेस,Interphase
इंटरफेस गुणसूत्र,Interphase chromosome
इंटरसमेंटल सेप्टम,Intersegmental septum
इंटरफॅस्क्युलर कॅम्बियम,Interfascicular cambium
हस्तक्षेप आरएनए,Interfering RNA
इंटरफेरॉन,Interferon
हस्तक्षेप,Interfertile
इंटरलेयूकिन,Interleukin
इंटरलॉक केलेले,Interlocked
इंटरमीडिएट डे प्लांट,Intermediate day plant
इंटरमीडिएट फिलामेंट,Intermediate filament
इंटरमीडिएट लोब,Intermediate lobe
इंटरमीडिएट जोडी,Intermediate pairing
अंतर्गत कान,Internal ear
अंतर्गत वातावरण,Internal environment
अंतर्गत गुळगुळीत शिरा,Internal jugular vein
अंतर्गत मॉर्फोलॉजी,Internal morphology
अंतर्गत पोषक सायकलिंग,Internal nutrient cycling
अंतर्गत लय,Internal rhythm
आंतरराष्ट्रीय कोड,International code
आंतरराष्ट्रीय मानवी जीनोम प्रकल्प,International human genome project
इंटर्नोड,Internode
इंटरप्लेनेटरी,Interplanetary
व्यत्यय जनुक,Interrupted gene
इंटरसेक्स,Intersex
छेदनबिंदू,Interspecific hybridisation
अंतर्देशीय सेल उत्तेजक संप्रेरक,Interstitial cell stimulating hormone
इंटरस्टिशियल सेल,Interstitial cell
इंटरस्टिशियल हटविणे,Interstitial deletion
इंटरस्टिशियल फ्ल्यूड,Interstitial fliud
इंटरव्हॅरिएटल हायब्रीडायझेशन,Intervarietal hybridisation
हस्तक्षेप अनुक्रम,Intervening sequence
आतड्यांसंबंधी किका,Intestinal caeca
आतड्यांसंबंधी रस,Intestinal juice
आतडे,Intestine
इंट्रासेल्युलर पचन,Intracellular digestion
इंट्रासाइटोप्लाझमिक शुक्राणू इंजेक्शन (आयसीएसआय),Intracytoplasmic sperm injection (ICSI)
इंट्राफास्क्युलर कॅम्बियम,Intrafascicular cambium
इंटेडमॅलेरी नेफ्रॉन,Intramedullary nephron
इंट्रास्पेसिफिक स्पर्धा,Intraspecific competition
इंट्रास्पेसिफिक विसंगतता,Intraspecific incompatibility
इंट्रास्पेसिफिक विसंगतता,Intraspecific incompatibility
इंट्राएस्टिक्युलर जननेंद्रियाच्या जेडीकक्ट सिस्टम,Intratesticular genital jduct system
इंट्रायूटरिन इन्सेमिनेम (आययूआय),Intrauterine insemination (IUI)
इंट्रायूटरिन ट्रान्सफर (आययूटी),Intrauterine transfer (IUT)
इंट्रिनिसिक प्रोटीन,Intrinisic protein
आंतरिक अडथळा,Intrinsic barrier
इंट्रोसेप्शन,Introception
इंट्रोन,Intron
छेदन,Introse
उलटा,Inversion
इनव्हर्टेज,Invertase
इन्व्हर्टेब्रेट्स,Invertebrates
अन्वेषक,Investigator
Incocre,Involucre
अनैच्छिक आणि नॉन-स्ट्रेटेड स्नायू,Involuntary and non-straited muscle
आयडोडिन,Idodine
आयोडोथिरोनिन,Iodothyronine
आयन,Ion
आयन चॅनेल,Ion channel
आयन एक्सचेंज क्रोमॅटोग्राफी,Ion exchange chromatography
आयनिक बाँड,Ionic bond
आयनिक संवाद,Ionic interaction
आयनोसाइट,Ionocyte
समाकलित कीटक व्यवस्थापन (आयपीएम),Integrated pest management (IPM)
इपोमोआ,Ipomoea
इरिडासी,Iridaceae
आयरिस,Iris
लोह तांदूळ तांदूळ,Iron fortified rice
लोह पोर्फिरिन,Iron porphyrin
लोह स्क्रॅप,Iron scrap
इरिडिएटेड सेल,Irradiated cell
इरिडिएशन,Irradiation
अनियमित,Irregular
अनियमित फूल,Irregular flower
अपरिवर्तनीय विघटन,Irreversible distension
आंतरराष्ट्रीय तांदूळ संशोधन संस्था,International rice research institute
चिडचिडे,Irritant
इचियम,Ischium
इचियम,Ischium
लॅन्गरहन्सचे आयलेट्स,Islets of Langerhans
आयसोएगग्लुटिनिन,Isoagglutinin
Isobailalleral लीफ,Isobilateral leaf
Isogamy,Isogamy
इसोग्राफ्ट,Isograft
पृथक,Isolated
वेगळ्या क्लोरोप्लास्ट,Isolated chloroplast
पृथक ऊतक,Isolated tissue
अलगीकरण,Isolation
आयसोमरस,Isomerous
आयसोपीक्निक सेंट्रीफ्यूगेशन,Isopycnic centrifugation
समस्थानिक,Isotonic
समस्थानिक,Isotope
समस्थानिक,Isotropic
समस्थानिक,Isotropic
समस्थानिक बँड,Isotropic band
Isthmus,Isthmus
इटाई-इटाई रोग,Itai-itai disease
आययूडीएस (औषधी),IUDs (medicated)
आययूडीएस (नॉन-मेडिकेटेड),IUDs (non-medicated)
जॅसिड,Jassid
जटरोफा,Jatropha
कावीळ,Jaundice
जबडा,Jaw
जावलेस मॉर्टेब्रेट,Jawless vertebrate
जेजुनम,Jejunum
जेली फिश,Jellyfish
झूम शेती,Jhum cultivation
संयुक्त वन व्यवस्थापन,Joint forest management
जोडलेले एक्सोस्केलेटन,Jointed exoskeleton
गुळगुळीत शिरा,Jugular vein
जंक डीएनए,Junk DNA
जुरासिक कालावधी,Jurassic period
जूट तंत्रज्ञान,Jute technology
किशोर संप्रेरक,Juvenile hormone
किशोर टप्पा,Juvenile phase
Justaglomerular उपकरण,Juxtaglomerular apparatus
काळबासु,Kalbasu
काळे,Kale
Kalmeg,Kalmegh
कानामाइसिन,Kanamycin
Karyogamy,Karyogamy
कॅरिओटाइप,Karyotype
कॅरिओटाइपिंग,Karyotyping
कौटिया,Kautia
कील,Keel
कील,Keel
केराटीनिझ्ड त्वचा सेल,Keratinised skin cell
केटोग्लुटरिक acid सिड,Ketoglutaric acid
केटोन,Ketone
केटोन गट,Ketone group
केटोनुरिया,Ketonuria
की,Key
कीस्टोन प्रजाती,Keystone species
खैर,Khair
खेसरी,Khesari
मूत्रपिंड डायलिसिस,Kidney dialysis
गतिज ऊर्जा,Kinetic energy
किनेटिन,Kinetin
किनेटोचोर,Kinetochore
राजा क्रॅब,King crab
राज्य,Kingdom
किंगफिशर,Kingfisher
किनोप्लाझम,Kinoplasm
स्वयंपाकघर कचरा,Kitchen waste
क्लाइनफेल्टर सिंड्रोम,Klinefelter's syndrome
गुडघा,Knee
क्रॅन्झ शरीरशास्त्र,Kranz anatomy
क्रेबचे चक्र,Kreb's cycle
लबिया मजोरा,Labia majora
लबिया मिनोरा,Labia minora
लॅबियल पॅल्प,Labial palp
लेबल,Labile
लॅबियम,Labium
लब्लाब,Lablab
लॅब्रम,Labrum
चक्रव्यूह,Labyrinth
लाख,Lac
लाख ऑपेरॉन,Lac operon
लॅसिफर,Laccifer
स्तनपान,Lactation
स्तनपानात्मक अमेनोरिया,Lactational amenorrhea
लैक्टट्रॉफ,Lactatroph
लैक्टोबॅसिलस,Lactobacillus
लैक्टोज मेटाबोलिझिंग एंजाइम,Lactose metabolizing enzyme
दुग्धशर्करा,Lactose
लॅक्टुका सॅटिवा,Lactuca sativa
लॅकुना,Lacuna
निसर्गाची शिडी,Ladder of nature
लॅगिंग स्ट्रँड,Lagging strand
लॅमला,Lamella
लॅमेलिडेन्स,Lamellidens
लॅमियासी,Lamiaceae
लॅमिलिस,Lamiales
लॅमिना प्रोप्रिया,Lamina propria
लॅमिना,Lamina
लॅमिनेरिया,Laminaria
दिवा ब्रश गुणसूत्र,Lamp brush chromosome
लान्सोलेट,Lanceolate
जमीन वनस्पती,Land plant
जमीन गोगलगाय,Lands snail
लँटाना कॅमारा,Lantana camara
लेप्रोस्कोप,Laparoscope
लॅपर्टिया,Lapartea
लॅप्स रेट,Lapse rate
लार्कस्पूर,Larkspur
लार्वा मृत्यू,Larval mortality
लॅंगोफॅरेन्क्स,Laryngopharynx
लेसर मायक्रोसर्जरी,Laser microsurgery
Lasiurus,Lasiurus
उशीरा ब्लाइट,Late blight
उशीरा विकसक,Late developer
उशीरा सक्कल प्रजाती,Late sucessional species
उशीरा लाकूड,Late wood
सुप्त उष्णता,Latent heat
बाजूकडील परिशिष्ट,Lateral appendage
बाजूकडील अंकुर,Lateral bud
बाजूकडील राखाडी हॉर्न,Lateral gray horn
बाजूकडील वेंट्रिकल,Lateral ventricle
लेटेक्स,Latex
लॅथिरस सॅटिव्हस,Lathyrus sativus
जाळी,Lattice
जाळीची रचना,Lattice structure
लॉरिनिया,Laurineae
स्वतंत्र वर्गीकरणाचा कायदा,Law of independent assortment
मर्यादित घटकांचा कायदा,Law of limiting factors
वारसा कायदा,Law of inheritance
विभाजन कायदा,Law of segregation
थर्मोडायनामिक्सचे कायदे,Laws of thermodynamics
लेयरिंग,Layering
लेयरिंग,Layering
खनिज पदार्थाची लीचिंग,Leaching of mineral matter
आघाडी,Lead
अग्रगण्य स्ट्रँड,Leading strand
पानांचे वय,Leaf age
पान आणि पट्टी गंज,Leaf and strip rust
लीफ ब्लेड,Leaf blade
लीफ कर्ल,Leaf curl
लीफ ओरिएंटेशन,Leaf orientation
पानांचे वेनेशन,Leaf venation
पान,Leaf
लीफ-ब्लेड,Leaf-blade
लीफलेस,Leafless
झेप,Leaping
चामड्याचे पान,Leathery leaf
डावी महाधमनी कमान,Left aortic arch
डावा ह्रदयाचा धमनी,Left cardiac artery
लेग्युमिनस प्लांट,Leguminous plant
शेंगा,Legume
गवती चहा,Lemon grass
लेमर,Lemur
लेन्स सेल,Lens cell
लेन्स,Lens
मसूर,Lentil
बिबट्या,Leopard
लेपस,Lepas
लेपिस्मा (सिल्व्हर फिश),Lepisma (silver fish)
कुष्ठरोगी,Leprosy
लेप्टोकोरिसा,Leptocorisa
लेपटोनमा,Leptonema
लेप्टोटेन,Leptotene
प्राणघातक,Lethal
प्राणघातक उत्परिवर्तन,Lethal mutation
ल्युकोसाइट,Leucocyte
ल्युकोडर्मा,Leucoderma
ल्युकोप्लास्ट,Leucoplast
ल्यूकेमिया,Leukemia
तरफ,Lever
लेयडिगचा सेल,Leydig's cell
लियाना,Liana
लियानस,Lianous
उवा,Lice
लिचेन,Lichen
जीवन चक्र,Life cycle
आयुर्मान,Life expectancy
जीवन जनुक,Life gene
जीवन इतिहास,Life history
जीवन सहाय्यक क्षमता,Life supportive capacity
लाइफ सपोर्टिंग सिस्टम,Life supporting system
निर्जीव,Lifeless
अस्थिबंधन,Ligament
लिगासे,Ligase
बंधन,Ligation
लिगर,Liger
हलकी इजा,Light injury
हलका सूक्ष्मदर्शक,Light microscope
लाइटनिंग,Lightening
लिग्निन,Lignin
लिग्युलेट,Ligulate
लिग्यूल,Ligule
लिलियासी,Liliaceae
लिलियम,Lilium
लिलम (लिलस),Lilum (lilus)
कमळ कुटुंब,Lily family
अंग,Limb
अंग,Limb
अंग,Limb
अंग हाड,Limb bone
लिंबिक लोब,Limbic lobe
लिंबिक सिस्टम,Limbic system
लिम्बेस उभयचर,Limbless amphibian
लिम्बस सरडे,Limbless lizard
लिंबस,Limbus
लिमनेटिक झोन,Limnetic zone
लिमनेटिक,Limnetic
लिमुलस,Limulus
ओळ,Line
ओळ,Line
वंश,Lineage
रेखीय क्रम,Linear sequence
रेखीय,Linear
लाइनराइज्ड प्लाझमिड,Lineraized plasmid
लिंक प्रजाती,Link species
दुवा,Linkage
लिपेस,Lipase
लिपिड,Lipid
लिपिड बिलेयर,Lipid bilayer
लिपिड शेपटी,Lipid tail
लिपोपोलिसेकेराइड,Lipopolysaccharide
लिपोप्रोटीनेसियस झिल्ली,Lipoproteinaceous membrane
लिक्विड थेंब,Liquid droplet
मद्य फोलिकुली,Liquor folliculi
लिथोफाइट,Lithophyte
लिथोस्फीयर,Lithosphere
कचरा,Litter
कचरा गडी बाद होण्याचा क्रम,Litter fall
लहान सेरेब्रम,Little cerebrum
लिटोरल झोन,Littoral zone
यकृत,Liver
यकृत फ्लू,Liver fluke
यकृत आकार,Liver shaped
यकृत वॉर्ट,Liver wort
जिवंत जीव,Living organism
जिवंत लोकसंख्या,Living population
जिवंत संसाधने,Living resources
जिवंत जग,Living world
एलएनजी - 20,LNG - 20
चिकणमाती (गाळ),Loam (silt)
लॉबस्टर,Lobster
लोब्युलरिया,Lobularia
लोकोमोशन,Locomotion
टोळ,Locust
Lodicule,Lodicule
लॉगरिथिमिक निसर्ग,Logarithemic nature
लॉजिस्टिक वाढ,Logistic growth
LOLIGO,Loligo
लॉग डे प्लांट,Log day plant
रेखांशाचा अक्ष,Longitudinal axis
रेखांशाचा बायनरी विखंडन,Longitudinal binary fission
रेखांशाचा विच्छेदन,Longitudinal fissure
लूप,Loop
लूप,Loop
लूप ट्रॅप,Loop trap
लोफियम,Lophium
Loranthaceae,Loranthaceae
लॉरॅन्थस,Loranthus
लोअर हात,Lower arm
खालचा जबडा,Lower jaw
लफा,Luffa
लंबर कशेरुका,Lumbar vertebrae
लाकूड,Lumbering
लंब्रिकस,Lumbricus
लुमेन,Lumen
लम्पर,Lumper
फुफ्फुस,Lung
ल्युपिन,Lupin
ल्युपिनस आर्कटिकस,Lupinus arcticus
ल्युटीनिझिंग हार्मोन (एलएच),Luteinizing hormone (LH)
लीझ,Lyase
लाइकोपोडियम,Lycopodium
लाइकोप्सिडा,Lycopsida
लायम्प जहाज,Lymp vessel
लिम्फ ग्रंथी,Lymph gland
लिम्फ नोड,Lymph node
लिम्फोसाइट,Lymphocyte
लिम्फोईड अवयव,Lymphoid organ
लिम्फोइड ऊतक,Lymphoid tissue
लिम्फोमा,Lymphoma
Liaute,Lyrate
Leysergic acid सिड डायथलामाइड (एल.एस.डी.),Lysergic acid diethlamide (L.S.D.)
लायसिन,Lysine
लायसोसोम,Lysosome
लायझोझाइम,Lysozyme
मकाका,Macaca
मॅक्रोब्रॅचियम,Macrobrachium
मॅक्रोइव्होल्यूशन,Macroevolution
मॅक्रोजेनेसिस,Macrogenesis
मॅक्रोमोलिक्युलर कोलोइड,Macromolecular colloid
मॅक्रोमोलिक्यूल,Macromolecule
मॅक्रोन्यूक्लियस,Macronucleus
मॅक्रोन्यूट्रिएंट,Macronutrient
मॅक्रोफेज (मोठा खाणारा),Macrophage (big eater)
मॅक्रोफॅगोसाइट,Macrophagocyte
मॅक्रोफॅगस,Macrophagous
मॅक्रोफॅगी,Macrophagy
मॅक्रोफाइट,Macrophyte
मॅक्रोपस,Macropus
मॅकुला,Macula
मॅकुला ल्यूटिया,Macula lutea
मॅग्नेशियम,Magnesium
चुंबकीय अनुनाद प्रतिमा,Magnetic resonance imaging
वाढ,Magnification
भव्य प्रतिमा,Magnified image
ग्लास मॅग्निफाइंग,Magnifying glass
मोठेपणाची शक्ती,Magnifying power
मॅग्नोलिया,Magnolia
मॅग्नोलियासी,Magnoliaceae
मगूर,Magur
मेडेन हेअर फर्न (अ‍ॅडिएंटम),Maiden hair fern (Adiantum)
प्रमुख खोबणी,Major groove
प्रमुख हिस्टोकॉम्पॅबिलिटी कॉम्प्लेक्स,Major histocompatibility complex
मेजर ओस्मोलिट,Major osmolyte
मुख्य शिखर,Major peak
नर,Male
नर शंकू,Male cone
नर गेमोफाइट,Male gametophyte
नर जननेंद्रियाचे छिद्र,Male genital aperture
नर प्रोन्यूक्लियस,Male pronucleus
विकृत पान,Malformed leaf
मालिक acid सिड,Malic acid
घातक सेल,Malignant cell
घातक ट्यूमर,Malignant tumour
मल्लार्ड,Mallard
मॅलेयस,Malleus
मालपिघियन कॉर्पसकल,Malpighian corpuscle
मालपिघियन ट्यूब्यूल,Malpighian tubule
माल्टोज,Maltose
मालवाले,Malvales
सस्तन प्राणी,Mammal
सस्तन प्राणी,Mammalia
स्तन गर्भ,Mammary foetus
स्तन ग्रंथी,Mammary gland
मम्मीफॉर्म,Mammiform
अनिवार्य,Mandible
मंडिब्युलर ग्रंथी,Mandibular gland
मॅंगनीज,Manganese
मंगिफेरा इंडिका,Mangifera indica
मॅनग्रोव्ह,Mangrove
मानवनिर्मित कृषी परिसंस्था,Man-made agricultural ecosystem
मानवनिर्मित अन्नधान्य,Man-made cereal
मन्नान,Mannan
आवरण,Mantle
मानुस,Manus
मॅपल,Maple
मार्चंटिया,Marchantia
सीमान्त,Marginal
मारिजुआना,Marijuana
सागरी जीवशास्त्र,Marine biology
सागरी पक्षी,Marine bird
सागरी समुदाय,Marine community
सागरी इन्व्हर्टेब्रेट्स,Marine invertebrates
मारिनो रॅम,Marino ram
मार्कर,Marker
बाजार कचरा,Market waste
मज्जा पोकळी,Marrow cavity
मार्श,Marsh
मार्श-मेडो स्टेज,Marsh-meadow stage
वनस्पतीशिवाय मार्श,Marsh without vegetation
मार्सुपियल तीळ,Marsupial mole
मार्सुपियल रेडिएशन,Marsupial radiation
मार्सुपियल रॅट,Marsupial rat
मार्सुपियम,Marsupium
वस्तुमान नामशेष,Mass extinction
मोठा प्रवाह,Mass flow
मास फ्लो गृहीतक,Mass flow hypothesis
रेडिओचा सेल,Mast cell
मास्टर अगर प्लेट,Master agar plate
मास्टर प्लेट,Master plate
माता मृत्यू दर,Maternal mortality rate
वीण,Mating
मॅट्रिक्स,Matrix
परिपक्व नोड्यूल,Mature nodule
मौवे रंग,Mauve color
मॅक्सिला,Maxilla
मॅक्सिलरी पॅल्प,Maxillary palp
जास्तीत जास्त वाहून क्षमता,Maximum carrying capacity
मेनड्रिना,Meandrina
वैद्यकीय विज्ञान,Medical science
गर्भधारणेची वैद्यकीय समाप्ती (एमटीपी),Medical termination of pregnancy (MTP)
वैद्यकीय लिप्यंतरण,Medical transcription
वैद्यकीयदृष्ट्या सहाय्य वितरण,Medically assisted delivery
औषध,Medicine
औषध,Medicine
औषध,Medicine
मेडुला,Medulla
