Hindi,Kannada
एकदिशिक संचरण,"ಏಕಮುಖ ಸಂಚಾರ
 ರೋಗ ಪ್ರಸಾರ"
एकदिशिक ट्रंक,ಏಕಮುಖ ಕಾಂಡ
"युगपत्, लाइन-आरूढ़",ಆನ್‌ಲೈನ್‌ನಲ್ಲಿ
युगपत् प्रचय संसाधन,"ಆನ್‌ಲೈನ್ ಬ್ಯಾಚ್
 ಸಂಸ್ಕರಣೆ"
लाइन आरूढ़ संचार,"ಆನ್‌ಲೈನ್‌ನಲ್ಲಿ
 ಸಂವಹನ"
लाइन आरूढ़ निदानिकी,ಆನ್-ಲೈನ್ ರೋಗನಿರ್ಣಯ
लाइन आरूढ़ उपकरण,ಆನ್-ಲೈನ್ ಉಪಕರಣಗಳು
लाइन आरूढ़ संशोधन,ಗೋಡೆಯ
युगपत् निवेश,ಆನ್-ಲೈನ್ ಇನ್ಪುಟ್
लाइन आरूढ़ विधा,ಆನ್-ಲೈನ್ ಮೋಡ್
लाइन आरूढ़ आलेखित्र,ಆನ್‌ಲೈನ್ ಪ್ಲಾಟರ್
लाइन आरूढ़ संसाधन,ಆನ್‌ಲೈನ್ ಸಂಸ್ಕರಣೆ
लाइन आरूढ़ क्रमादेश विकास,"ಆನ್‌ಲೈನ್ ಕಾರ್ಯಕ್ರಮ
 ಅಭಿವೃದ್ಧಿ"
लाइन आरूढ़ क्रमादेशन,"ಆನ್‌ಲೈನ್‌ನಲ್ಲಿ
 ಪ್ರೋಗ್ರಾಮಿಂಗ್"
युगपत् खोज,ಆನ್-ಲೈನ್ ಹುಡುಕಾಟ
लाइन आरूढ़ भंडारण,ಆನ್‌ಲೈನ್ ಸಂಗ್ರಹಣೆ
युगपत् तंत्र,ಆನ್‌ಲೈನ್ ವ್ಯವಸ್ಥೆಯ
युगपत् अंतक,ಟರ್ಮಿನಲ್
युगपत् अंतक परीक्षण,"ಟರ್ಮಿನಲ್
 ಪರೀಕ್ಷೆ"
युगपत् परीक्षण,ಆನ್‌ಲೈನ್ ಪರೀಕ್ಷೆ
युगपत् परीक्षण तंत्र,ಆನ್-ಲೈನ್ ಟೆಸ್ಟ್ ವ್ಯವಸ್ಥೆ
युगपत् एकक,ಆನ್‌ಲೈನ್ ಘಟಕ
आच्छादक फलन,ಕಾರ್ಯಕ್ಕೆ
विवृत पताभिगमन,ಮುಕ್ತ ವಿಳಾಸ
विवृत कूट,ತೆರೆದ ಸಂಕೇತ
विवृत संग्राही,ತೆರೆದ ಸಂಗ್ರಾಹಕ
विवृत संग्राही युक्ति,"ತೆರೆದ ಸಂಗ್ರಾಹಕ
 ಸಾಧನ"
विवृत संपर्क टोन,ಸಂಪರ್ಕ ಟೋನ್ ತೆರೆಯಿರಿ
विवृतांत,ತೆರೆದಿರುವ
विवृतांत लाइन,ತೆರೆದ-ಅಂತ್ಯದ ಸಾಲು
विवृत संचिका,ತೆರೆ
विवृत पाश नियंत्रण,ತೆರೆದ ಲೂಪ್ ನಿಯಂತ್ರಣ
विवृत पाश तंत्र,ತೆರೆದ ಲೂಪ್ ವ್ಯವಸ್ಥೆ
विवृत अंकन,ತೆರೆದ ಸಂಖ್ಯೆ
विवृत नेमका,ತೆರೆದ ದಿನಚರಿ
स्वयंसेवी व्यवस्था,ತೆರೆದ ಅಂಗಡಿ
स्वयंसेवी प्रचालन,"ತೆರೆದ ಅಂಗಡಿ
 ಕಾರ್ಯಾಚರಣೆ"
विवृत उपनेमका,ತೆರೆದ ಸಬ್‌ರುಟೈನ್
विवृत तंत्र,ತೆರೆದ ವ್ಯವಸ್ಥೆಯ
विवृत तंत्र आंतरसंबंधन,"ತೆರೆದ ವ್ಯವಸ್ಥೆಗಳು
 ಪರಸ್ಪರ ಸಂಪರ್ಕ"
विवृत तंत्र आंतर प्रचालन,"ತೆರೆದ ವ್ಯವಸ್ಥೆಗಳು
 ಅಂತರ ಕೆಲಸ"
"खुला ताल, नग्न तार",ತೆರೆದ ತಂತಿ
नग्न तार लाइन,ಓಪನ್ ವೈರ್ ಲೈನ್
संकार्य,ದತತ
संकार्य क्षेत्र,ಕಾರ್ಯಾಚರಣಾ ಕ್ಷೇತ್ರ
प्रचालन विधा,ಮೋಡ್ ಅನ್ನು ನಿರ್ವಹಿಸಿ
प्रचालन विलंब,ಕಾರ್ಯಾಚರಣಾ ವಿಳಂಬ
प्रचालन परिवेश,"ನಿರ್ವಹಣೆ
 ವಾತಾವರಣ"
प्रचालन परिसर,ನಿರ್ವಹಣಾ ವ್ಯಾಪ್ತಿ
प्रचालन अनुपात,ಕಾರ್ಯಾಚರಣಾ ಅನುಪಾತ
प्रचालन स्थल,ಕಾರ್ಯಕಾರಿ ಸ್ಥಳ
प्रचालन तंत्र,ಕಾರ್ಯಾಚರಣಾ ವ್ಯವಸ್ಥೆ
प्रचालन तंत्र फलन,"ಕಾರ್ಯಾಚರಣಾ ವ್ಯವಸ್ಥೆ
 ಕಾರ್ಯ"
प्रचालन अवधि,ಕಾರ್ಯಾಚರಣಾ ಸಮಯ
प्रचालन वोल्टता सूचक,"ಕಾರ್ಯಾಚರಣಾ ವೋಲ್ಟೇಜ್
 ಸೂಚನೆ"
"संक्रिया, प्रचालन",ಕಾರ್ಯಾಚರಣೆ
संक्रियात्मक संप्रतीक,"ಕಾರ್ಯಕಾರಿ
 ಪಾತ್ರ"
प्रचालनी विधा,ಕಾರ್ಯಾಚರಣೆಯ ಕ್ರಮ
संक्रिया चिह्‍न,ಕಾರ್ಯಾಚರಣೆಯ ಸಂಕೇತ
प्रचालनी एकक,ಕಾರ್ಯಾಚರಣೆಯ ಘಟಕ
संक्रियात्म शब्द,ಕಾರ್ಯಾಚರಣೆಯ ಪದ
संक्रिया कूट,ಕಾರ್ಯಾಚರಣೆ ಸಂಹಿತೆ
प्रचालन नियंत्रण भाषा,"ಕಾರ್ಯಾಚರಣೆ ನಿಯಂತ್ರಣ
 ಭಾಷೆ"
प्रचालन नियंत्रण कथन,"ಕಾರ್ಯಾಚರಣೆ ನಿಯಂತ್ರಣ
 ಹೇಳಿಕೆ"
प्रचालन चक्र,ಕಾರ್ಯಾಚರಣೆ ಚಕ್ರ
संक्रिया कूटवाचक,ಕಾರ್ಯಾಚರಣೆ ಡಿಕೋಡರ್
संक्रिया व्यंजक,"ಕಾರ್ಯಾಚರಣೆ
 ಅಭಿವ್ಯಕ್ತಿ"
संक्रिया क्षेत्र,ಕಾರ್ಯಾಚರಣೆ ಕ್ಷೇತ್ರ
संक्रिया संख्या,ಕಾರ್ಯಾಚರಣೆ ಸಂಖ್ಯೆ
संक्रिया भाग,ಕಾರ್ಯಾಚರಣೆ ಭಾಗ
संक्रिया अनुपात,ಕಾರ್ಯಾಚರಣೆ ಅನುಪಾತ
संक्रिया विज्ञान,"ಕಾರ್ಯಾಚರಣೆಗಳ ವಿಶ್ಲೇಷಣೆ
 (= ಕಾರ್ಯಾಚರಣೆಗಳು
 ಸಂಶೋಧನೆ))"
संक्रिया नियंत्रण,ಕಾರ್ಯಾಚರಣೆ ನಿಯಂತ್ರಣ
संक्रिया बहुकार्य,"ಕಾರ್ಯಾಚರಣೆ
 ಬಹು ಕಾರ್ಯ"
प्रचालनि काल,ಕಾರ್ಯಾಚರಣೆ ಸಮಯ
"प्रचालक, ऑपरेटर, संकारक",ನಿರ್ವಾಹಕ
प्रचालन प्राधिकारीकरण अभिलेखा,"ನಿರ್ವಾಹಕ
 ಅಧಿಕಾರ
 ದಾಖಲೆ"
प्रचालक समादेश,"ನಿರ್ವಾಹಕ
 ಸ ೦ ಧಿಗೆ"
प्रचालक कन्सोल,ಆಪರೇಟರ್ ಕನ್ಸೋಲ್
प्रचालक नियंत्रण भाषा,"ನಿರ್ವಾಹಕ ನಿಯಂತ್ರಣ
 ಭಾಷೆ"
प्रचालक नियंत्रण पट्टिका,"ನಿರ್ವಾಹಕ ನಿಯಂತ್ರಣ
 ಫಲಕ"
आपरेटर त्रुटि,ಆಪರೇಟರ್ ದೋಷ
आपरेटर मार्गदर्शन कूट,"ಆಪರೇಟರ್ ಮಾರ್ಗದರ್ಶನ
 ಸಂಹಿತೆ"
प्रचालक मध्यवर्ती अनुभाग,"ನಿರ್ವಾಹಕ
 ಹಸ್ತಕ್ಷೇಪ
 ವಿಭಾಗ"
ऑपरेटर संदेश,ಆಪರೇಟರ್ ಸಂದೇಶ
ऑपरेटर भाग,ನಿರ್ವಾಹಕ ಭಾಗ
ऑपरेटर ट्रंक,ನಿರ್ವಾಹಕ ಕಾಂಡ
संक्रिया पंजी,ಆಪ್ ರಿಜಿಸ್ಟರ್
प्रकाशिक द्विआधारी खोज तरु,"ಆತಂಕದ ಬೈನರಿ
 ಹುಡುಕಾಟ ಮರ"
प्रकाशिक संप्रतीक अभिज्ञान,"ದೃಗ್ಕ ಪಾತ್ರ
 ಗುರುತಿಸುವಿಕೆ"
प्रकाशिक फाइबर,ದ್ಯುತಿಕಾರಿ
प्रकाशिक फॉन्ट,ದೃಗ್ಟಿಕಲ್ ಫಾಂಟ್
प्रकाशिक चिह्‍न पाठ्यांक,"ದ್ಯುಷ್ಟಿಕ ಗುರುತು
 ಓದುವಿಕೆ"
प्रकाशीय स्मृति,ಪರಿಶುದ್ಧ ಸ್ಮರಣೆ
प्रकाशीय पठित्र,ದ್ಯುತಿ ರೀಡರ್
प्रकाशिक क्रमवीक्षक,ದೃ optವಾದಿ
प्रकाशिक क्रमवीक्षण,ದ್ಯುಚಾರಿ
प्रकाशिक प्रगाही,ದ್ಯುತಿಪೂರ್ವ ದಂಡ
इष्टतम विलय तरु,"ಆಪ್ಟಿಮಲ್ ವಿಲೀನ
 ಮರ"
इष्टमीकरण,ಉತ್ತಮೀಕರಣ
इष्टतम कूटलेखन,ಗರಿಷ್ಠ ಕೋಡಿಂಗ್
इष्टतमकारी प्रोग्रामन,"ಅತ್ಯುತ್ತಮ
 ಪ್ರೋಗ್ರಾಮಿಂಗ್"
विकल्प,ಆಯ್ಕೆ
वैकल्पिक विराम अनुदेश,"ಐಚ್ al ಿಕ ನಿಲುಗಡೆ
 ಸೂಚನಾ"
वैकल्पिक विराम अनुदेश,"ಐಚ್ al ಿಕ ವಿರಾಮ
 ಸೂಚನಾ"
वैकल्पिक पूर्णविराम अनुदेश,"ಐಚ್ al ಿಕ ನಿಲುಗಡೆ
 ಸೂಚನಾ"
वैकल्पिक शब्द,ಐಚ್ al ಿಕ ಪದ
विकल्प सूची,ಆಯ್ಕೆ ಪಟ್ಟಿ
प्रकाशीय युग्मक,ಕಪಾಟಿ
प्रकाश इलेक्ट्रॉनिकी,ದಿಕ್ಚ್ಯೆ
ऑप्टो इलेक्ट्रॉनिकीय प्रौद्योगिकी,"ದಿಕ್ಚೇರಿಯ
 ತಂತ್ರಜ್ಞಾನ"
प्रकाशीय पृथक्कारक,ದರ್ವಿ
अथवा',ಅಥವಾ
अथवा' परिपथ,ಅಥವಾ ಸರ್ಕ್ಯೂಟ್
क्रमित तरु,ಮರ
क्रमीकरण अभिनति,ಪಕ್ಷಪಾತವನ್ನು ಆದೇಶಿಸುವುದು
क्रम संबंध,ಆದೇಶ ಸಂಬಂಧ
क्रम सांख्यिकी,ಆದೇಶದ ಅಂಕಿಅಂಶಗಳು
आदेश परिपथ,"ತಂತಿ ಸರ್ಕ್ಯೂಟ್‌ಗಳನ್ನು ಆದೇಶಿಸಿ
 (= ಆರ್ಡರ್ ಸರ್ಕ್ಯೂಟ್)"
आदेश बहुसंकेतन,"ಸೋರ್ಸರ್
 ಬಹುಪರಣ"
साधारण प्रतीक,ಸಾಮಾನ್ಯ ಚಿಹ್ನೆ
अथवा' अवयव,ಅಥವಾ ಅಂಶ
संगठनात्मक सूचना-तंत्र,"ಸಾಂಸ್ಥಿಕ
 ಮಾಹಿತಿ
 ವ್ಯವಸ್ಥೆ"
अथवा' द्वार,ಅಥವಾ ಗೇಟ್
मूल भाषा,ಮೂಲ ಭಾಷೆ
अथवा' मिश्रक,ಅಥವಾ ಮಿಕ್ಸರ್
अथवा' संक्रिया,ಅಥವಾ ಕಾರ್ಯಾಚರಣೆ
लांबिक विश्लेषण,"ಶರೀರದ
 ವಿಶ್ಲೇಷಣೆ"
लांबिक आधार,ಶರತ್ಕಾಲದ ಆಧಾರದ ಮೇಲೆ
लांबिक सूची,ಸನ್ಯಾಸದ ಪಟ್ಟಿ
लांबिक स्मृति,"ಶರೀರದ
 ನೆನಪು"
"आर्थोनार्मल विश्लेषण, प्रसामान्य लांबिक विश्लेषण","ಸನ್ಯಾಸಿಗಳ
 ವಿಶ್ಲೇಷಣೆ"
दोलनी शाटन,ಆಂದೋಲನ ವಿಂಗಡಣೆ
बाह्‍य संबंधक,Out ಟ್ ಕನೆಕ್ಟರ್
बाह्‍य कोटि,Degreeಂದನ
बाह्‍य कूट,ಹೊರ ಕೋಡ್
बाह्‍य स्थूल अनुदेश,"ಹೊರಗಿನವನು
 ಬೃಹತ್ ಪ್ರಮಾಣದಲ್ಲಿ"
निर्गम,ಉತ್ಪಾದನೆ
निर्गम क्षेत्र,Output ಟ್ಪುಟ್ ಪ್ರದೇಶ
निर्गम निश्चयन,Output ಟ್‌ಪುಟ್ ಪ್ರತಿಪಾದನೆ
निर्गम खंडक,Output ಟ್ಪುಟ್ ಬ್ಲಾಕ್
निर्गम खंडक कारक,"Output ಟ್‌ಪುಟ್ ನಿರ್ಬಂಧಿಸುವುದು
 ಅಂಶ"
निर्गम समर्थता,Output ಟ್‌ಪುಟ್ ಸಾಮರ್ಥ್ಯ
निर्गम क्षमता,Output ಟ್‌ಪುಟ್ ಸಾಮರ್ಥ್ಯ
निर्गम प्रणाल,ಚಾನಲ್ ಚಾನಲ್
निर्गम आँकड़े,Output ಟ್ಪುಟ್ ಡೇಟಾ
निर्गम युक्ति,Output ಟ್ಪುಟ್ ಸಾಧನ
निर्गम संचिका,File ಟ್ಪುಟ್ ಫೈಲ್
निर्गम धारा,"Output ಟ್ಪುಟ್ ಉದ್ಯೋಗ ಸ್ಟ್ರೀಮ್
 (= Output ಟ್‌ಪುಟ್
 ಸ್ಟ್ರೀಮ್)"
निर्गम सीमित प्रक्रम,"Output ಟ್‌ಪುಟ್ ಲಿಮಿಟೆಡ್
 ಪ್ರಕ್ರಿಯೆ"
निर्गम सीमित तंत्र,"Output ಟ್‌ಪುಟ್ ಲಿಮಿಟೆಡ್
 ವ್ಯವಸ್ಥೆ"
निर्गम प्रतिरूपक,Out ಟ್ಪುಟ್ ಮಾಡ್ಯೂಲ್
निर्गम पूर्वग,Output ಟ್‌ಪುಟ್ ಪ್ರಾಚೀನ
निर्गम प्रक्रम,Output ಟ್‌ಪುಟ್ ಪ್ರಕ್ರಿಯೆ
निर्गम क्रमादेश,Output ಟ್ಪುಟ್ ಕಾರ್ಯಕ್ರಮ
निर्गम क्रमादेश प्रतिरूपक,"Output ಟ್ಪುಟ್ ಕಾರ್ಯಕ್ರಮ
 ಘಟಕ"
निर्गम छिद्रित्र,Output ಟ್‌ಪುಟ್ ಪಂಚ್
निर्गम पंक्ति,Output ಟ್‌ಪುಟ್ ಕ್ಯೂಯು
निर्गम पंजी,Output ಟ್ಪುಟ್ ರಿಜಿಸ್ಟರ್
निर्गम पंजी चयक,"Output ಟ್ಪುಟ್ ರಿಜಿಸ್ಟರ್
 ಬಫಲು"
निर्गम नेमका,Output ಟ್‌ಪುಟ್ ದಿನಚರಿ
निर्गम नेमका जनित्र,"Output ಟ್‌ಪುಟ್ ದಿನಚರಿ
 ಉತ್ಪಾದಕ"
निर्गम अवस्था,Output ಟ್ಪುಟ್ ಸ್ಥಿತಿ
निर्गम कथन,Output ಟ್ಪುಟ್ ಹೇಳಿಕೆ
निर्गम धारा,Output ಟ್ಪುಟ್ ಸ್ಟ್ರೀಮ್
निर्गम टेप शाटन,"Output ಟ್ಪುಟ
 ವಿಂಗಡಣೆ"
निर्गम एकक,Output ಟ್ಪುಟ್ ಘಟಕ
निर्गम कार्य पंक्ति,Output ಟ್‌ಪುಟ್ ಕೆಲಸದ ಕ್ಯೂ
निर्गम लेखित्र,Output ಟ್‌ಪುಟ್ ಬರಹಗಾರ
बहिः स्पूलन क्षेत्र,ಸ್ಪೂಲ್ ಪ್ರದೇಶ
अधि क्षमता,ಅತಿಯಾದ ಸಾಮರ್ಥ್ಯ
अधिप्रवाह,ಉಕ್ಕಿ ಹರಿಯುವುದು
अधिप्रवाह जाँच,ಉಕ್ಕಿ ಹರಿಯುವ ಪರಿಶೀಲನೆ
अधिप्रवाह दशा,ಉಕ್ಕಿ ಹರಿಯುವ ಸ್ಥಿತಿ
अधिप्रवाह त्रुटि,ಉಕ್ಕಿ ಹರಿಯುವ ದೋಷ
अधिप्रवाह अपवाद,ಉಕ್ಕಿ ಹರಿಯುವ ವಿನಾಯಿತಿ
अधिप्रवाह क्षेत्र,ಉಕ್ಕಿ ಹರಿಯುವ ಕ್ಷೇತ್ರ
अधिप्रवाह सूचक,ಉಕ್ಕಿ ಹರಿಯುವ ಸೂಚಕ
अधिप्रवाह स्थिति,ಉಕ್ಕಿ ಹರಿಯುವ ಸ್ಥಾನ
अधिप्रवाह अभिलेख,ಉಕ್ಕಿ ಹರಿಯುವ ದಾಖಲೆ
उपरि द्वयंक,ಓವರ್ಹೆಡ್ ಬಿಟ್
उपरि संक्रिया,"ಮೇಲೆ
 ಕಾರ್ಯಾಚರಣೆ"
उपरिशायी कुंजीपटल,ಕೀಬೋರ್ಡ್
उपरिशायी प्रतिरूपक,ಒವರ್ಲೆ ಮಾಡ್ಯೂಲ್
उपरिशायी पथ,ಅತಿಯಾದ ಹಾದಿ
उपरिशायी क्रमादेश,ಓವರ್ಲೆ ಕಾರ್ಯಕ್ರಮ
उपरिशायी प्रदेश,ಒವರ್ಲೆ ಪ್ರದೇಶ
उपरिशायी खंड,ಅತಿಕ್ರಮಣ ವಿಭಾಗ
उपरिशायी संरचना,ಅತಿಕ್ರಮಣ ರಚನೆ
उपरिशायी पर्यवक्षक,ಮೇಲ್ವಿಚಾರಣಾ ಮೇಲ್ವಿಚಾರಕ
उपरिशायी तरु,ಒವರ್ಲೆ ಮರ
अतिभार,ಮಿತಿಮೀರಿದ ಹೊರೆ
अतिभार अनुकारक,ಓವರ್ಲೋಡ್ ಸಿಮ್ಯುಲೇಟರ್
अतिमुद्रण,ಅತಿ ಮುದ್ರಣ
अति छिद्रण,ಅತಿರೇಕ
अध्यारोहण अंतरायन,ಅಡಚಣೆಯನ್ನು ಅತಿಕ್ರಮಿಸಿ
अतिधाव,ಓವರ್ ರನ್
अतिधाव त्रुटि,ಅತಿಕ್ರಮಣ ದೋಷ
निजी कूटलेखन,ಸ್ವಂತ ಕೋಡಿಂಗ್
स्वामी,ಮಾಲಿಕ
पदनिचयन,ಗತಕಾಲ
"संकुल, गड्डी",ಪ್ಯಾಕ್
"पैकग, संकुल",ಚಿರತೆ
संकुलित सरणी,ಚಿರತೆ
संकुलित संरूप,ರೂಪಕ
पैकट,ಪ್ಯಾರೆಟ್
पैकट कोडांतरक विकोंडातरक,"ಪ್ಯಾಕೆಟ್ ಅಸೆಂಬ್ಲರ್/-
 ದೂರವಿರು"
पैकट कोडांतरण,ಪ್ಯಾಕೆಟ್ ಜೋಡಣೆ
पैकट विकोंडातरण,"ಪ್ಯಾರೆಟ್
 ಡಿಸ್ಪೆಂಬರ್"
पैकट संरूप,ಪ್ಯಾಕೆಟ್ ಸ್ವರೂಪ
पैकेट परत सदेशाचार,"ಪ್ಯಾಕೆಟ್ ಪದರ
 ಶಿಷ್ಟಾಚಾರ"
पैकट विधा संक्रिया,"ಪ್ಯಾಕೆಟ್ ಕ್ರಮ
 ಕಾರ್ಯಾಚರಣೆ"
पैकट विधा अंतक,"ಪ್ಯಾಕೆಟ್ ಕ್ರಮ
 ಅಂತಿಮ"
पैकट रेडियो,ರೇಡಿಯೋ
पैकट अनुक्रमण,ಪ್ಯಾಕೆಟ್ ಅನುಕ್ರಮ
पैकट स्विचित आँकड़ा सेवा,"ಪ್ಯಾಕೆಟ್ ಸ್ವಿಚ್
 ದತ್ತಾಂಶ ಸೇವೆ"
पैकट स्विचन,ಪ್ಯಾಕೆಟ್ ಸ್ವಿಚಿಂಗ್
संकुलन,ಚಿರತೆ
संकुलन सघनता,ಪ್ಯಾಕಿಂಗ್ ಸಾಂದ್ರತೆ
संकुलनांक,ಚೂರುಪಾರು
संकुलन-अनुपात,ಭಾಗ
संकुलन-अनुक्रम,ಚಿರತೆ
"पैड, नियतमान क्षीणकारी",ಚೂರು
पैड संप्रतीक,ಕಡ್ಡಾಯ ಪಾತ್ರ
पैडन,ಚೂರು
पृष्ठ,ಪುಟ
पृष्ठ पताभिगमन,ಪುಟ ವಿಳಾಸ
पृष्ठ नियंत्रण,ಪುಟ ನಿಯಂತ್ರಣ
पृष्ठ आँकड़ा समुच्चय,ಪುಟ ಡೇಟಾ ಸೆಟ್
पृष्ठ गभीरता,ಪುಟದ ಆಳ
पृष्ठ गभीरता नियंत्रण,ಪುಟ ಆಳ ನಿಯಂತ್ರಣ
पृष्ठ प्रदर्श,ಪುಟ ಪ್ರದರ್ಶನ
पृष्ठित यंत्र,ಪೇದ ಯಂತ್ರ
पृष्ठित स्मृति,ಪೇಜ್ ಮೆಮೊರಿ
पृष्ठित स्मृतिबंध,"ಪೇಜ್ ಮೆಮೊರಿ
 ನಿರ್ವಹಣೆ"
पष्ठित विभाजन,"ಹರಿಯುವ
 ವಿಭಜನೆ"
पृष्ठ अंत्य संप्रीतक,"ಪುಟ ಅಂತ್ಯ
 ಪಾತ್ರ"
पृष्ठ नियतन,ಪುಟ ಫಿಕ್ಸಿಂಗ್
पृष्ठ पाद टिप्पण,ಪುಟದ ಕುಸಿತ
पृष्ठ फ्रेम,ಪುಟದ ಚೌಕಟ್ಟು
पृष्ठ शीर्षक,ಪುಟ ಶಿರೋನಾಮೆ
अन्तर्गत पृष्ठ,ಪುಟದಲ್ಲಿದೆ
पृष्ठ कुंजी,ಪುಟ ಕೀಲಿಯು
पृष्ठ तालक,ಪುಟ ಲಾಕ್
पृष्ठ तालकन,ಪುಟ ಲಾಕಿಂಗ್
बाहिर्गत पृष्ठ,ಪುಟ. ಟ್
पृष्ठ पूल,ಪುಟ ಪೂಲ್
पृष्ठ मुद्रित्र,ಪುಟ ಮುದ್ರಕ
पृष्ठ पठित्र,ಪುಟ ಓದುಗ
पृष्ठ हरण,ಪುಟ ಸೀಲಿಂಗ್
पृष्ठ विनिमय,ಪುಟ ವಿನಿಮಯ
पृष्ठ सारणी,ಪುಟ ಮೇಜು
पृष्ठ वर्तन,ಪುಟ ತಿರುವು
पृष्ठीकरण,ಪುಟ ವಿನ್ಯಾಸ
पृष्ठन,ಚಿರತೆ
पृष्ठन युक्ति,ಪೇಜಿಂಗ್ ಸಾಧನ
पृष्ठन ड्रम,ಪೇಜಿಂಗ್ ಡ್ರಮ್
पृष्ठन तकनीक,ಪೇಜಿಂಗ್ ತಂತ್ರ
पृष्ठन अंतक,ಪೇಜಿಂಗ್ ಟರ್ಮಿನಲ್
युग्मित केबल,ಜೋಡಿಯಾಗಿರುವ ಕೇಬಲ್
युग्म लब्धि,ಜೋಡಿ ಲಾಭ
"पैनल, पट्टिका",ಫಲಕ
पट्टिका आँकड़ा समुच्चय,ಫಲಕ ಡೇಟಾ ಸೆಟ್
पट्टिका परिभाषा क्रमादेश,"ಫಲಕ ವ್ಯಾಖ್ಯಾನ
 ಕಾರ್ಯಕ್ರಮ"
पट्टिका संख्या,ಫಲಕ ಸಂಖ್ಯೆ
कागज अग्रिम एकक,"ಕಾಗದದ ಮುಂಗಡ
 ಘಟಕ"
कागज अवरोध,ಕಾಗದದ
कागज संवेदन,ಕಾಗದದ ಸಂವೇದನೆ
कागज संवेदित्र,ಕಾಗದದ ಸಂವೇದಕ
कागज द्रुत घूर्णन,ಪೇಪರ್ ಸ್ಕಿಪ್
कागज टेप,ಕಾಗದದ ಟೇಪ್
कागज टेप प्रणाल,"ಕಾಗದದ ಟೇಪ್
 ಚಾನಲ್"
कागज टेप कूट,ಪೇಪರ್ ಟೇಪ್ ಕೋಡ್
कागज टेप निर्गम युक्ति,"ಪೇಪರ್ ಟೇಪ್ output ಟ್‌ಪುಟ್
 ಸಾಧನ"
कागज टेप पठित्र,ಪೇಪರ್ ಟೇಪ್ ರೀಡರ್
कागज टेप अभिलेखित्र,"ಕಾಗದದ ಟೇಪ್
 ರೆಕಾರ್ಡರ್"
कागज टेप चाल,ಪೇಪರ್ ಟೇಪ್ ವೇಗ
कागज टेप तंत्र,ಪೇಪರ್ ಟೇಪ್ ವ್ಯವಸ್ಥೆ
कागज टेप प्रकार,ಕಾಗದದ ಟೇಪ್ ಪ್ರಕಾರ
कागज द्रुत घूर्णन,"ಕಾಗದದ ಎಸೆತ
 (= ಪೇಪರ್ ಸ್ಕಿಪ್)"
परवलयाकार तश्तरी,ಕಪೋಲಿನ ಭಕ್ಷ್ಯ
परवलयाकार प्रोफाइल,ಪರವಾನಗಿ ಪ್ರೊಫೈಲ್
"पैराग्राफ, पैरा",ದಳ
पैराग्राफ कोडांतरण,"ದಳ
 ಸಭೆ"
पैराग्राफ प्रवेशिका,ಪ್ಯಾರಾಗ್ರಾಫ್ ಹೆಡರ್
पैराग्राफ कुंजी,ಪ್ಯಾರಾಗ್ರಾಫ್ ಕೀ
पैराग्राफ नाम,ಪ್ಯಾರಾಗ್ರಾಫ್ ಹೆಸರು
युगपत अभिगम,ಸಮಾನಾಂತರ ಪ್ರವೇಶ
युगपत् संकलन,ಸಮಾನಾಂತರ ಸೇರ್ಪಡೆ
युगपत् कलन-विधि,ಸಮಾನಾಂತರ ಅಲ್ಗಾರಿದಮ್
युगपत् अंकगणित,ಸಮಾನಾಂತರ ಅಂಕಗಣಿತ
युगपत् द्वि-आधारी योजक,"ಸಮಾನಾಂತರ ಅಂಕಗಣಿತ
 ಅಂಶ"
युगपत् द्वयंक संचरण,"ಸಮಾನಾಂತರ ಬೈನರಿ
 ಸೇರಿಸುವವನು"
द्वयंकता युगपत्,"ಸಮಾನಾಂತರ ಬಿಟ್
 ರೋಗ ಪ್ರಸಾರ"
संप्रतीकतः युगपत्,ಬಿಟ್‌ನಿಂದ ಸಮಾನಾಂತರವಾಗಿ
युगपत् अभिकलित्र,"ಇವರಿಂದ ಸಮಾನಾಂತರ
 ಪಾತ್ರ"
युगपत् आँकड़ा नियंत्रक,ಸಮಾನಾಂತರ ಕಂಪ್ಯೂಟರ್
युगपत् आँकड़ा माध्यम,"ಸಮಾನಾಂತರ ಡೇಟಾ
 ನಿಯಂತ್ರಕ"
युगपत् आँकड़ा माध्यम,"ಸಮಾನಾಂತರ ಡೇಟಾ
 ಮಾಧ್ಯಮ"
युगपत् निवेश युगपत् निर्गम,"ಸಮಾನಾಂತರವಾಗಿ ಸಮಾನಾಂತರವಾಗಿ
 ಹೊರಗಡೆ"
युगपत् निवेश/निर्गम,"ಸಮಾನಾಂತರವಾಗಿ
 ಇನ್ಪುಟ್/output ಟ್ಪುಟ್"
युगपत् निवेश अनुक्रमिक निर्गम,"ಸರಣಿಯಲ್ಲಿ ಸಮಾನಾಂತರವಾಗಿ
 ಹೊರಗಡೆ"
युगपत् अंतरापृष्ठ,ಸಮಾನಾಂತರ ಇಂಟರ್ಫೇಸ್
युगपत्ता,ಸಮಾನಾಂತರತೆ
युगपत् संक्रिया,ಸಮಾನಾಂತರ ಕಾರ್ಯಾಚರಣೆ
युगपत् संद्वार,ಸಮಾನಾಂತರ ಬಂದರು
युगपत् संसाधन,ಸಮಾನಾಂತರ ಸಂಸ್ಕರಣೆ
