Malayalam,Assamese
കീ ഫയൽ,কী ফাইল
കീ ഫ്രെയിം,কী ফ্ৰেম
പ്രധാന മാനേജ്മെന്റ്,কী ব্যৱস্থাপনা
കീ പാഡ്,কী পেড
കീ പാഡ്,কী পেড
പ്രധാന വാക്യം,মূল বাক্যাংশ
കീ പൾസ്,কী পালছ
കീ പഞ്ച്,কী পাঞ্চ
കീ വർഗ്ഗീകരണം,কী সজাই পৰাই তোলা
കീ സ്ട്രോക്ക്,কী ষ্ট্ৰ&#39;ক
പരിവർത്തനത്തെ അഭിസംബോധന ചെയ്യുന്നതിനുള്ള താക്കോൽ,ৰূপান্তৰক সম্বোধন কৰিবলৈ চাবিকাঠি
ഡിസ്കിലേക്കുള്ള കീ,ডিষ্কলৈ চাবি
ഫ്ലോപ്പിയുടെ താക്കോൽ,ফ্লপিলৈ কি&#39;
ടേപ്പിലേക്കുള്ള താക്കോൽ,টেপলৈ চাবি
പ്രധാന വാക്ക്,মূল শব্দ
തൊഴി,কিক
കൊല്ലുക,হত্যা
കിലോബിറ്റ്,কিলোবিট
കെട്ടുകൾ,গাঁঠি
അറിവ് അടിസ്ഥാനമാക്കിയുള്ള വിവര സേവനങ്ങൾ,জ্ঞান ভিত্তিক তথ্য সেৱা
അറിവ് കണ്ടെത്തൽ,জ্ঞান আৱিষ্কাৰ
വിജ്ഞാന കണ്ടെത്തൽ ഡാറ്റാബേസ് (KDD),জ্ঞান আৱিষ্কাৰ ডাটাবেছ (KDD)
വിജ്ഞാന എഞ്ചിനീയറിംഗ്,জ্ঞান অভিযান্ত্ৰিকী
വിജ്ഞാന മാനേജ്മെന്റ്,জ্ঞান ব্যৱস্থাপনা
വിജ്ഞാന പ്രവർത്തകൻ,জ্ঞান কৰ্মী
ലാൻ അഡാപ്റ്റർ,লেন এডাপ্টাৰ
ലാൻ സെർവർ,লান চাৰ্ভাৰ
LAN ജോലിസ്ഥലം,LAN কৰ্মস্থলী
ലാൻഡ്സ്കേപ്പ്,ভূচিত্ৰ
ലാൻഡ്സ്കേപ്പ്,ভূচিত্ৰ
ഭാഷ,ভাষা
ഭാഷാ വ്യാഖ്യാതാവ്,ভাষা দোভাষী
ഭാഷാ പ്രോസസ്സർ,ভাষা প্ৰচেছৰ
ഭാഷാ വിവർത്തകൻ,ভাষা অনুবাদক
ലാപ്ടോപ്പ്,লেপটপ
വലിയ തോതിലുള്ള ഏകീകരണം (എൽഎസ്ഐ),বৃহৎ পৰিসৰৰ সংহতি (lsi)
വലിയ തോതിലുള്ള ഏകീകരണം (LSI),বৃহৎ পৰিসৰৰ সংহতি (LSI)
ലേസർ,লেজাৰ
ലേസർ പ്രിന്റർ,লেজাৰ প্ৰিন্টাৰ
അവസാനം ആദ്യം പുറത്തായി (LIFO),লাষ্ট ইন ফাৰ্ষ্ট আউট (LIFO)
പാളി,স্তৰ
ലേഔട്ട്,গাঁথনি
ഇല,পাত
ഇല നോഡ്,পাতৰ ন&#39;ড
ഇല സൈറ്റ്,পাতৰ ঠাই
പാട്ടത്തിനെടുക്കുക,লীজ
പാട്ടത്തിനെടുത്ത ചാനൽ,লিজত দিয়া চেনেল
പാട്ടത്തിനെടുത്ത ലൈൻ,লিজড লাইন
ഏറ്റവും കുറഞ്ഞ ബിറ്റ് (എൽഎസ്ബി),কম গুৰুত্বপূৰ্ণ বিট (lsb)
ഏറ്റവും കുറഞ്ഞ അക്കം,কম গুৰুত্বপূৰ্ণ অংক
പൈതൃക വ്യവസ്ഥ,লিগেচি চিষ্টেম
ലെമ്മ,লেমা
അക്ഷര നിലവാരം (LQ),চিঠিৰ মান (LQ)
ലെക്സെം,লেক্সেম
ലെക്സിക്കോഗ്രാഫി,লেক্সিকোগ্ৰাফী
പുസ്തകശാല,পুথিভঁৰাল
ലൈബ്രറി പ്രോഗ്രാം,লাইব্ৰেৰী প্ৰগ্ৰেম
ലൈബ്രറി സബ്-റോട്ടീൻ,লাইব্ৰেৰী উপ-ৰুটিন
ലൈസൻസ് കരാർ,অনুজ্ঞাপত্ৰ চুক্তি
ലൈറ്റ് എമിറ്റർ ഡയോഡ് (എൽഇഡി),লাইট এমিটাৰ ডাইঅ&#39;ড (LED)
നേരിയ തോക്ക്,লাইট বন্দুক
നേരിയ പേന,লাইট পেন
ലൈൻ അഡാപ്റ്റർ,লাইন এডাপ্টাৰ
ലൈൻ എഡിറ്റിംഗ്,শাৰী সম্পাদনা
ലൈൻ പ്രിന്റർ,লাইন প্ৰিন্টাৰ
ലീനിയർ,ৰৈখিক
മിനിറ്റിലെ വരികൾ (LPM),প্ৰতি মিনিটত লাইন (LPM)
ലിങ്ക്,লিংক
ലിങ്ക് ചെയ്ത പട്ടിക,লিংক কৰা তালিকা
ലിനക്സ്,LINUX
ലിക്വിഡ് ക്രിസ്റ്റൽ ഡിസ്പ്ലേ (എൽസിഡി),লিকুইড ক্রিষ্টাল ডিছপ্লে (LCD)
ലിസ്റ്റ് പ്രോസസ്സിംഗ്,তালিকা প্ৰক্ৰিয়াকৰণ
അക്ഷരാർത്ഥം,আক্ষৰিক
തത്സമയം,জীয়াই থকা
ലൈവ് നോഡ്,লাইভ ন&#39;ড
ലോഡ് ചെയ്യുക,ভাৰ
ലോഡ് മൊഡ്യൂൾ,লোড মডিউল
പ്രാദേശിക,স্থানীয়
പ്രാദേശിക പ്രവേശനം,স্থানীয় প্ৰৱেশ
ലോക്കൽ ഏരിയ നെറ്റ്‌വർക്ക് (ലാൻ),স্থানীয় এলেকা নেটওয়ার্ক (Lan)
പ്രാദേശിക നിർവചനം,স্থানীয় সংজ্ঞা
പ്രാദേശിക കൈമാറ്റം,স্থানীয় বিনিময়
പ്രാദേശിക മെമ്മറി,স্থানীয় স্মৃতিশক্তি
പ്രാദേശിക മോഡ്,স্থানীয় ধৰণ
പ്രാദേശിക വേരിയബിൾ,স্থানীয় চলক
പൂട്ടുക,তলা
ലോക്ക് ചെയ്ത ഫയൽ,লক কৰা ফাইল
ലോഗിൻ=ലോഗിൻ ചെയ്യുക,লগ ইন=লগ অন কৰক
ലോഗ് ഓഫ്-ലോഗ് ഔട്ട്,লগ অফ-লগ আউট
ലോഗിംഗ്,লগিং
ലോജിക് അനലൈസർ,যুক্তি বিশ্লেষক
ലോജിക് ബോംബ്,লজিক বোমা
ലോജിക് കാർഡ്,লজিক কাৰ্ড
ലോജിക് ചാർട്ട് (ഫ്ലോ ചാർട്ട്),লজিক চাৰ্ট (ফ্ল&#39; চাৰ্ট)
ലോജിക് സർക്യൂട്ട്,লজিক বৰ্তনী
ലോജിക് ഡിസൈൻ,লজিক ডিজাইন
ലോജിക് ഡയഗ്രം,লজিক ডায়েগ্ৰাম
ലോജിക് ഫ്ലോ ചാർട്ട്,লজিক ফ্ল&#39; চাৰ্ট
ലോജിക് ഫംഗ്ഷൻ,লজিক ফাংচন
ലോജിക് ഗേറ്റ്,লজিক গেট
ലോജിക് പ്രോഗ്രാമിംഗ്,লজিক প্ৰগ্ৰেমিং
ലോജിക് ഷിഫ്റ്റ്,লজিক শিফ্ট
യുക്തിയുടെ അവസ്ഥ,লজিক অৱস্থা
ലോജിക് സ്വിച്ച്,লজিক চুইচ
ലോജിക് യൂണിറ്റ്,লজিক ইউনিট
ലോജിക്കൽ,যুক্তিসংগত
ലോജിക്കൽ കണക്ഷൻ,লজিকেল সংযোগ
ലോജിക്കൽ ഡാറ്റ ഘടന,লজিকেল ডাটা গঠন
ലോജിക്കൽ ഡയഗ്രം,লজিকেল ডায়েগ্ৰাম
ലോജിക്കൽ എക്സ്പ്രഷൻ,লজিকেল এক্সপ্ৰেচন
ലോജിക്കൽ ഫ്ലോ ചാർട്ട് (ഫ്ലോ ചാർട്ട്),লজিকেল ফ্ল&#39; চাৰ্ট (ফ্ল&#39; চাৰ্ট)
ലോജിക്കൽ IF,লজিকেল IF
ലോജിക്കൽ പ്രവർത്തനം,লজিকেল অপাৰেচন
ലോജിക്കൽ ഓപ്പറേറ്റർ,লজিকেল অপাৰেটৰ
ലോജിക്കൽ ബന്ധം,যুক্তিসংগত সম্পৰ্ক
ലോജിക്കൽ സ്കീം,যুক্তিসংগত আঁচনি
ലോജിക്കൽ ചിഹ്നം,যুক্তিসংগত চিহ্ন
ലോജിക്കൽ തരം,লজিকেল টাইপ
ലോജിക്കൽ മൂല്യം,লজিকেল মান
ലോജിക്കൽ വേരിയബിൾ,লজিকেল ভেৰিয়েবল
മുന്നോട്ട് നോക്കൂ,আগলৈ চাওক কঢ়িয়াই লৈ ফুৰে
മുന്നോട്ട് നോക്കൂ,look ahead set
തിരയൽ,চোৱা
ലൂപ്പ്,খান্দৰি
ലൂപ്പ് നിയന്ത്രണം,লুপ নিয়ন্ত্ৰণ
ലൂപ്പ് സമാരംഭം,লুপ আৰম্ভণি
ലൂപ്പ് പരിഷ്ക്കരണം,লুপ পৰিবৰ্তন
ലൂപ്പ് നെറ്റ്വർക്ക്,লুপ নেটৱাৰ্ক
ലൂപ്പ് ആരംഭം,লুপ আৰম্ভ
ലൂപ്പ് അവസാനിപ്പിക്കൽ,লুপ টাৰ্মিনেচন
ലൂപ്പ്-ബാക്ക് ടെസ്റ്റ്,লুপ-বেক পৰীক্ষা
അയഞ്ഞ കപ്പിൾഡ്,শিথিলভাৱে সংযুক্ত
നഷ്ടമില്ലാത്ത കംപ്രഷൻ,ক্ষতিহীন সংকোচন
നഷ്ടമായ കംപ്രഷൻ,ক্ষতিকাৰক সংকোচন
കുറഞ്ഞ ബൈറ്റ്,কম বাইট
താഴ്ന്ന നിലയിലുള്ള ഭാഷ,নিম্নস্তৰৰ ভাষা
കുറഞ്ഞ പാസ് ഫിൽട്ടർ,লো পাছ ফিল্টাৰ
താഴ്ന്ന പരിധി,নিম্ন সীমা
മാക് പ്രോട്ടോക്കോൾ (ഇടത്തരം പ്രവേശന നിയന്ത്രണം),mac প্ৰটোকল (মধ্যমীয়া অভিগম নিয়ন্ত্ৰণ)
യന്ത്രം,যন্ত্ৰ
മെഷീൻ വിലാസം,মেচিনৰ ঠিকনা
മെഷീൻ കോഡ്,মেচিন ক&#39;ড
മെഷീൻ സൈക്കിൾ,মেচিন চক্ৰ
യന്ത്രത്തെ ആശ്രയിക്കുന്ന ഭാഷ,মেচিন নিৰ্ভৰশীল ভাষা
മെഷീൻ ആശ്രിത സോഫ്റ്റ്വെയർ,মেচিন নিৰ্ভৰশীল চফ্টৱেৰ
യന്ത്ര പിശക്,মেচিনৰ ভুল
മെഷീൻ നിഷ്ക്രിയ സമയം,মেচিনৰ অচল সময়
യന്ത്ര സ്വതന്ത്ര ഭാഷ,মেচিন স্বাধীন ভাষা
യന്ത്ര നിർദ്ദേശം,মেচিনৰ নিৰ্দেশনা
യന്ത്ര ബുദ്ധി,মেচিন বুদ্ধিমত্তা
യന്ത്രഭാഷ,মেচিন ভাষা
യന്ത്ര പഠനം,মেচিন লাৰ্নিং
യന്ത്ര പ്രവർത്തനം,মেচিন অপাৰেচন
യന്ത്രാധിഷ്ഠിത ഭാഷ,যন্ত্ৰমুখী ভাষা
മെഷീൻ റൺ,মেচিন চলোৱা
മെഷീൻ സിമുലേഷൻ,মেচিন চিমুলেচন
മെഷീൻ കേടായ സമയം,মেচিন নষ্ট সময়
യന്ത്ര വിവർത്തനം,মেচিন অনুবাদ
യന്ത്ര വാക്ക്,মেচিন শব্দ
മാക്രോ (=മാക്രോ നിർദ്ദേശം),মেক্ৰ&#39; (=মেক্ৰ&#39; নিৰ্দেশনা)
മാക്രോ വാദം,মেক্ৰ&#39; যুক্তি
മാക്രോ അസംബ്ലി പ്രോഗ്രാം,মেক্ৰ&#39; সমাবেশ প্ৰগ্ৰেম
മാക്രോ കോൾ,মেক্ৰ&#39; কল
മാക്രോ കോഡ്,মেক্ৰ&#39; ক&#39;ড
മാക്രോ കമാൻഡ്,মেক্ৰ&#39; কমাণ্ড
മാക്രോ പ്രഖ്യാപനം,মেক্ৰ&#39; ঘোষণা
മാക്രോ നിർവചനം,মেক্ৰ&#39; সংজ্ঞা
മാക്രോ ഫ്ലോ ചാർട്ട്,মেক্ৰ&#39; ফ্ল&#39; চাৰ্ট
മാക്രോ ജനറേറ്റർ,মেক্ৰ&#39; জেনেৰেটৰ
മാക്രോ നിർദ്ദേശം,মেক্ৰ&#39; নিৰ্দেশনা
മാക്രോ ഭാഷ,মেক্ৰ&#39; ভাষা
മാക്രോ ലൈബ്രറി,মেক্ৰ&#39; লাইব্ৰেৰী
മാക്രോ പാരാമീറ്റർ,মেক্ৰ&#39; প্ৰাচল
മാക്രോ പ്രോസസ്സിംഗ്,মেক্ৰ&#39; প্ৰচেছিং
മാക്രോ പ്രൊസസർ,মেক্ৰ&#39; প্ৰচেছৰ
മാക്രോ പ്രോഗ്രാമിംഗ്,মেক্ৰ&#39; প্ৰগ্ৰেমিং
മാക്രോ പ്രോട്ടോടൈപ്പ്,মেক্ৰ&#39; প্ৰ&#39;ট&#39;টাইপ
മാക്രോ-കോഡിംഗ്,মেক্ৰ&#39;-ক&#39;ডিং
മാഗബൈറ്റ് (MB),মেগাবাইট (MB)
മാന്ത്രിക കഥാപാത്രം,যাদু চৰিত্ৰ
മാന്ത്രിക സംഖ്യ,যাদু সংখ্যা
കാന്തിക ബബിൾ മെമ്മറി,চুম্বকীয় বুদবুদ স্মৃতিশক্তি
കാന്തിക കാർഡ്,চুম্বকীয় কাৰ্ড
കാന്തിക കോശം,চুম্বকীয় কোষ
കാന്തിക സ്വഭാവം,চুম্বকীয় চৰিত্ৰ
കാന്തിക കോർ സംഭരണം,চুম্বকীয় কোৰ সংৰক্ষণ
കാന്തിക ഡിസ്ക്,চুম্বকীয় ডিস্ক
കാന്തിക ഡിസ്ക് വിലാസം,চুম্বকীয় ডিষ্কৰ ঠিকনা
മാഗ്നറ്റിക് ഡിസ്ക് മെമ്മറി,চুম্বকীয় ডিষ্ক মেমৰি
കാന്തിക ഡ്രം,চুম্বকীয় ড্ৰাম
കാന്തിക എൻകോഡിംഗ്,চুম্বকীয় এনকোডিং
കാന്തിക തല,চুম্বকীয় মূৰ
കാന്തിക മഷി,চুম্বকীয় চিয়াঁহী
കാന്തിക മഷി പ്രതീക തിരിച്ചറിയൽ (MICR),চুম্বকীয় চিয়াঁহী আখৰ চিনাক্তকৰণ (MICR)
കാന്തിക മാധ്യമം,চুম্বকীয় মাধ্যম
കാന്തിക വായന,চুম্বকীয় পঢ়া
കാന്തിക റെക്കോർഡിംഗ്,চুম্বকীয় ৰেকৰ্ডিং
കാന്തിക സംഭരണം,চুম্বকীয় সংৰক্ষণ
കാന്തിക സ്ട്രിപ്പ്,চুম্বকীয় ষ্ট্ৰিপ
കാന്തിക ടേപ്പ്,চুম্বকীয় টেপ
കാന്തിക ടേപ്പ് കാട്രിഡ്ജ്,চুম্বকীয় টেপ কাৰ্টিজ
കാന്തിക ടേപ്പ് ഡ്രൈവ്,চুম্বকীয় টেপ ড্ৰাইভ
കാന്തിക ടേപ്പ് തലക്കെട്ട്,চুম্বকীয় টেপ হেডাৰ
മാഗ്നറ്റിക് ടേപ്പ് ലൈബ്രേറിയൻ,চুম্বকীয় টেপ লাইব্ৰেৰিয়ান
കാന്തിക ടേപ്പ് ഗതാഗതം,চুম্বকীয় টেপ পৰিবহণ
കാന്തിക ടേപ്പ് യൂണിറ്റ്,চুম্বকীয় টেপ ইউনিট
കാന്തിക നേർത്ത ഫിലിം,চুম্বকীয় পাতল ফিল্ম
കാന്തിക ട്രാക്ക്,চুম্বকীয় ট্ৰেক
മാഗ്നെറ്റോ ഒപ്റ്റിക് സംഭരണം,চুম্বকীয় অপটিক সংৰক্ষণ
മാഗ്നെറ്റോഗ്രാഫിക് പ്രിന്റർ,চুম্বকীয় প্ৰিন্টাৰ
മാഗ്നെറ്റോസ്ട്രിക്ഷൻ,চুম্বকীয় ষ্ট্ৰিকচন
മാഗ്നെറ്റോസ്ട്രിക്റ്റീവ് ടാബ്ലറ്റ്,magnetostrictive টেবলেট
മെയിൽ ബോക്സ്,মেইল বাকচ
മെയിൽ ലയനം,মেইল মাৰ্জ কৰক
പ്രധാന നിയന്ത്രണ യൂണിറ്റ്,মূল নিয়ন্ত্ৰণ একক
പ്രധാന ഫ്രെയിം,মূল ফ্ৰেম
പ്രധാന ഫ്രെയിം സിസ്റ്റം,মূল ফ্ৰেম ব্যৱস্থা
പ്രധാന മെമ്മറി,মূল স্মৃতিশক্তি
പ്രധാന പ്രോഗ്രാം,মূল কাৰ্যসূচী
പ്രധാന സംഭരണം,মূল সংৰক্ষণ
പ്രധാന സ്വിച്ച്,মূল চুইচ
മെയിന്റനൻസ്,ব্যৱস্থাপনা
മെയിന്റനൻസ് പാനൽ,ৰক্ষণাবেক্ষণ পেনেল
അറ്റകുറ്റപ്പണി സമയം,ৰক্ষণাবেক্ষণৰ সময়
പ്രധാന ചക്രം,মুখ্য চক্ৰ
പ്രധാന ഉപകരണം,মুখ্য ডিভাইচ
പ്രധാന കീ,মুখ্য চাবি
പ്രധാന സംസ്ഥാനം,প্ৰধান ৰাজ্য
പ്രധാന ഘടന,মুখ্য গঠন
പ്രധാന ദൗത്യം,ডাঙৰ কাম
ഭൂരിപക്ഷ ഘടകം,সংখ্যাগৰিষ্ঠ উপাদান
ഭൂരിപക്ഷ ഗേറ്റ്,সংখ্যাগৰিষ্ঠতা গেট
ഭൂരിപക്ഷ പ്രവർത്തനം,সংখ্যাগৰিষ্ঠতা অপাৰেচন
മേക്കപ്പ് സമയം,মেকআপ সময়
തകരാർ പതിവ്,বিজুতিৰ ৰুটিন
മാനേജ്മെന്റ് വികസനം,ব্যৱস্থাপনা বিকাশ
മാനേജ്മെന്റ് ഇൻഫർമേഷൻ സിസ്റ്റം (എംഐഎസ്),ব্যৱস্থাপনা তথ্য ব্যৱস্থা (MIS)
മാനേജ്മെന്റ് സയൻസ്,ব্যৱস্থাপনা বিজ্ঞান
മാഞ്ചസ്റ്റർ കോഡിംഗ്,মানচেষ্টাৰ ক&#39;ডিং
മാനിഫോൾഡിംഗ്,মেনিফল্ডিং
കൃത്രിമ വേരിയബിൾ,হেতালি খেলা চলক
സൂചികയിൽ കൃത്രിമം കാണിക്കുന്നു,সূচীভুক্তকৰণত হেতালি খেলা
മനുഷ്യ-മെഷീൻ സിമുലേഷൻ,মানুহ-যন্ত্ৰৰ অনুকৰণ
സ്വമേധയാലുള്ള വിലാസ സ്വിച്ച്,মেনুৱেল ঠিকনা চুইচ
മാനുവൽ വിശകലനം,হাতৰ দ্বাৰা বিশ্লেষণ কৰা
മാനുവൽ ഉത്തരം,হাতৰ দ্বাৰা উত্তৰ দিয়া
മാനുവൽ എൻട്രി,হাতৰ দ্বাৰা প্ৰৱেশ কৰা
മാനുവൽ എക്സ്ചേഞ്ച്,মেনুৱেল এক্সচেঞ্জ
മാനുവൽ ഇൻപുട്ട്,মেনুৱেল ইনপুট
മാനുവൽ പ്രവർത്തനം,মেনুৱেল অপাৰেচন
പലതും പലതുമായ ബന്ധം,বহুতৰ পৰা বহুতৰ সম্পৰ্ক
പലതും ഒരു ഡീകോഡറും,বহুত এটা ডিকোডাৰলৈ
മാപ്പ് രീതി,মানচিত্ৰ পদ্ধতি
മാപ്പിംഗ്,মেপিং
മാർജിൻ,প্ৰান্ত
മാർജിൻ പിശക്,মাৰ্জিন ভুল
മാർജിനൽ ചെക്ക്,প্ৰান্তীয় পৰীক্ষা
മാർജിനൽ ടെസ്റ്റ്,প্ৰান্তীয় পৰীক্ষা
അടയാളം കണ്ടെത്തൽ,চিহ্ন ধৰা পেলোৱা
മാർക്ക് വായന,মাৰ্ক ৰিডিং
അടയാളം സ്കാനിംഗ്,স্কেনিং চিহ্নিত কৰক
മാർക്ക് സെൻസ്,মাৰ্ক চেন্স
മാർക്കർ,মাৰ্কাৰ
അടയാളപ്പെടുത്തുന്നു,চিহ্নিত কৰা
അടയാളപ്പെടുത്തൽ തരംഗം,চিহ্নিত কৰা তৰংগ
മാർക്കോവ് ചെയിൻ,মাৰ্কভ শৃংখল
മാർക്കോവ് ഉറവിടം,মাৰ্কভ উৎস
അടയാളപ്പെടുത്തൽ ഭാഷ,মাৰ্ক-আপ ভাষা
മാസർ,মাছেৰ
മാസർ,মাছেৰ
മുഖംമൂടി,মুখা
മുഖംമൂടി ബിറ്റ്,মাস্ক বিট
മാസ്ക് പ്രോഗ്രാമബിൾ ഉപകരണം,মাস্ক প্ৰগ্ৰেমেবল ডিভাইচ
മാസ്ക് രജിസ്റ്റർ,মাস্ক ৰেজিষ্টাৰ
മുഖംമൂടി ധരിച്ച റോം,মাস্ক কৰা ROM
മാസ്കിംഗ്,মাস্কিং
ബഹുജന ഡാറ്റ,গণ তথ্য
മാസ് മെമ്മറി,গণ স্মৃতিশক্তি
വൻതോതിൽ സമാന്തരമായി,বৃহৎ পৰিমাণে সমান্তৰাল
മാസ്റ്റർ,মাষ্টৰ
മാസ്റ്റർ കാർഡ്,মাষ্টাৰ কাৰ্ড
മാസ്റ്റർ ക്ലോക്ക്,মাষ্টাৰ ঘড়ী
മാസ്റ്റർ കൺസോൾ,মাষ্টাৰ কনছল
മാസ്റ്റർ ഡാറ്റ,মাষ্টাৰ ডাটা
മാസ്റ്റർ ഡയഗ്രം,মাষ্টাৰ ডায়েগ্ৰাম
മാസ്റ്റർ ഫയൽ,মাষ্টাৰ ফাইল
മാസ്റ്റർ ഗ്രൂപ്പ്,মাষ্টাৰ গ্ৰুপ
മാസ്റ്റർ കീ,মাষ্টাৰ কি&#39;
മാസ്റ്റർ ലൈബ്രറി ടേപ്പ്,মাষ্টাৰ লাইব্ৰেৰী টেপ
മാസ്റ്റർ പ്രൊസസർ,মাষ্টাৰ প্ৰচেছৰ
മാസ്റ്റർ പ്രോഗ്രാം,মাষ্টাৰ প্ৰগ্ৰেম
മാസ്റ്റർ സ്റ്റേഷൻ,মাষ্টাৰ ষ্টেচন
മാസ്റ്റർ ടേപ്പ്,মাষ্টাৰ টেপ
മാസ്റ്റർ ടെർമിനൽ,মাষ্টাৰ টাৰ্মিনেল
മാസ്റ്റർ/സ്ലേവ് ഉപകരണം,মাষ্টাৰ/স্লেভ ডিভাইচ
യജമാനൻ/അടിമ സംവിധാനം,মাষ্টাৰ/স্লেভ ব্যৱস্থা
പൊരുത്തം,মিল থকা
പൊരുത്തപ്പെടുന്നു,মিল থকা
ഗണിത പ്രോഗ്രാമിംഗ്,গাণিতিক প্ৰগ্ৰেমিং
ഗണിത അനുകരണം,গাণিতিক অনুকৰণ
മാട്രിക്സ്,মেট্ৰিক্স
മാട്രിക്സ് പ്രിന്റർ,মেট্ৰিক্স প্ৰিন্টাৰ
മാട്രിക്സ് സ്വിച്ച്,মেট্ৰিক্স চুইচ
മാട്രിക്സ് പട്ടിക,মেট্ৰিক্স টেবুল
പരമാവധി കമ്പ്യൂട്ടർ,maxi কম্পিউটাৰ
മാക്സികമ്പ്യൂട്ടർ,মেক্সিকম্পিউটাৰ
പരമാവധി ഘടകം,সৰ্বোচ্চ উপাদান
പരമാവധി (സാധാരണ തുക കാലാവധി),maxterm (মানক যোগফলৰ সময়সীমা)
മാക്സ്വെൽ ഡെമൺ,maxwell ডেমন
അർത്ഥം,অৰ্থ
അറ്റകുറ്റപ്പണി സമയം എന്നാണ് അർത്ഥമാക്കുന്നത്,গড় মেৰামতিৰ সময়
പരാജയത്തിന് ഇടയിലുള്ള ശരാശരി സമയം (MTBF),বিফলতাৰ মাজৰ গড় সময় (MTBF)
പരാജയത്തിന് ഇടയിലുള്ള ശരാശരി സമയം (MTBF),বিফলতাৰ মাজৰ গড় সময় (MTBF)
പരാജയത്തിന്റെ സമയം എന്നാണ് അർത്ഥമാക്കുന്നത്,বিফলতাৰ সময় বুজাইছে
നന്നാക്കാനുള്ള സമയം എന്നാണ് അർത്ഥമാക്കുന്നത്,মেৰামতিৰ বাবে সময়
നന്നാക്കാനുള്ള ശരാശരി സമയം (MTTR),মেৰামতিৰ বাবে গড় সময় (MTTR)
മീഡിയം സ്കെയിൽ ഇന്റഗ്രേഷൻ (എംഎസ്ഐ),মধ্যমীয়া পৰিসৰৰ সংহতি (MSI)
മീഡിയം സ്കെയിൽ ഇന്റഗ്രേഷൻ (എംഎസ്ഐ),মধ্যমীয়া পৰিসৰৰ সংহতি (MSI)
ഇടത്തരം സംഭരണ ഉപകരണം,মধ্যমকালীন সংৰক্ষণ ডিভাইচ
മെഗാബിറ്റ് പെർ സെക്കൻഡ് (MB Ps),প্ৰতি ছেকেণ্ডত মেগাবিট (MB Ps)
അംഗ വസ്തു,সদস্য বস্তু
അംഗ റെക്കോർഡ്,সদস্যৰ ৰেকৰ্ড
മെമ്മറി,স্মৃতি
മെമ്മറി അറേ,মেমৰি এৰে
മെമ്മറി ബാങ്ക്,মেমৰি বেংক
മെമ്മറി ബഫർ രജിസ്റ്റർ,মেমৰি বাফাৰ ৰেজিষ্টাৰ
മെമ്മറി ബസ്,মেমৰি বাছ
മെമ്മറി കാര്ഡ്,মেমৰি কাৰ্ড
മെമ്മറി സെൽ,স্মৃতিশক্তি কোষ
മെമ്മറി കോംപാക്ഷൻ,মেমৰি কম্পেকচন
മെമ്മറി കോർ,মেমৰি কোৰ
മെമ്മറി സൈക്കിൾ,স্মৃতি চক্ৰ
മെമ്മറി ഡാറ്റ രജിസ്റ്റർ,মেমৰি ডাটা ৰেজিষ্টাৰ
മെമ്മറി ഡംപ്,মেমৰি ডাম্প
മെമ്മറി എക്സ്ചേഞ്ച്,স্মৃতি বিনিময়
മെമ്മറി ശ്രേണി,স্মৃতিশক্তিৰ স্তৰ
മെമ്മറി നിർദ്ദേശം,স্মৃতিশক্তিৰ নিৰ্দেশনা
മെമ്മറി മാനേജ്മെന്റ്,স্মৃতিশক্তি ব্যৱস্থাপনা
മെമ്മറി മാപ്പ്,মেমৰি মেপ
മെമ്മറി മാപ്പ് ചെയ്ത I/O,মেমৰি মেপ কৰা I/O
മെമ്മറി മോഡൽ,মেমৰি মডেল
മെമ്മറി മൊഡ്യൂൾ,মেমৰি মডিউল
മെമ്മറി പോയിന്റർ രജിസ്റ്റർ,মেমৰি পইণ্টাৰ ৰেজিষ্টাৰ
ഓർമ്മ ശക്തി,মেমৰি শক্তি
മെമ്മറി സംരക്ഷണം,স্মৃতিশক্তি সুৰক্ষা
മെമ്മറി റഫറൻസ് നിർദ്ദേശം,মেমৰি ৰেফাৰেন্স নিৰ্দেশনা
മെമ്മറി റസിഡന്റ് പ്രോഗ്രാം,মেমৰি ৰেচিডেন্ট প্ৰগ্ৰেম
മെമ്മറി യൂണിറ്റ്,মেমৰি ইউনিট
മെനു,মেনু
മെനു ബാർ,মেনু বাৰ
മെനു ഡ്രൈവ്,মেনু ড্ৰাইভ
മെനു തിരഞ്ഞെടുക്കൽ,মেনু নিৰ্বাচন
മെനു അടിസ്ഥാനമാക്കിയുള്ള പ്രോഗ്രാം,মেনু-চালিত প্ৰগ্ৰেম
ലയിപ്പിക്കുക,মাৰ্জ কৰক
എക്സ്ചേഞ്ച് സോർട്ട് ലയിപ്പിക്കുക,মাৰ্জ এক্সচেঞ্জ sort
ലയിപ്പിക്കുക,merge sort
ലയിപ്പിക്കുന്നു,মাৰ্জিং কৰা
മെഷ് നെറ്റ്വർക്ക്,মেছ নেটৱৰ্ক
സന്ദേശമയയ്‌ക്കൽ,বাৰ্তা প্ৰেৰণ কৰা
സന്ദേശം,বাৰ্তা
സന്ദേശ പ്രാമാണീകരണം,বাৰ্তা প্ৰমাণীকৰণ
സന്ദേശ ബോക്സ്,বাৰ্তা বাকচ
സന്ദേശ സർക്യൂട്ട്,বাৰ্তা বৰ্তনী
സന്ദേശ ഫോർമാറ്റ്,বাৰ্তা বিন্যাস
