English,Odiya
file access method,ଫାଇଲ୍ ପ୍ରବେଶ ପଦ୍ଧତି |
file allocation table,ଫାଇଲ୍ ଆବଣ୍ଟନ ସାରଣୀ |
file compression,ଫାଇଲ୍ ସଙ୍କୋଚନ |
file copying,ଫାଇଲ୍ କପି
file layout,ଫାଇଲ୍ ଲେଆଉଟ୍ |
file merge,ଫାଇଲ୍ ମିଶ୍ରଣ |
file recovery,ଫାଇଲ୍ ପୁନରୁଦ୍ଧାର
file storage,ଫାଇଲ୍ ଷ୍ଟୋରେଜ୍ |
file structure,ଫାଇଲ୍ ଗଠନ
file system,ଫାଇଲ୍ ସିଷ୍ଟମ୍ |
file transfer,ଫାଇଲ୍ ସ୍ଥାନାନ୍ତର |
file transfer protocol (FTP),ଫାଇଲ୍ ସ୍ଥାନାନ୍ତର ପ୍ରୋଟୋକଲ୍ (FTP)
filter,ଫିଲ୍ଟର୍
final state,ଅନ୍ତିମ ଅବସ୍ଥା |
find,ଖୋଜ |
finite state machine,ସୀମିତ ରାଜ୍ୟ ଯନ୍ତ୍ର |
fire wall,ଅଗ୍ନି କାନ୍ଥ
firmware,ଫର୍ମୱେୟାର |
first come first serve,ପ୍ରଥମେ ସେବା କର |
first generation computer,ପ୍ରଥମ ପି generation ଼ିର କମ୍ପ୍ୟୁଟର |
first in first out (FIFO),ପ୍ରଥମରେ ପ୍ରଥମ (FIFO)
first order logic,ପ୍ରଥମ କ୍ରମ ତର୍କ |
first order theory,ପ୍ରଥମ କ୍ରମ ସିଦ୍ଧାନ୍ତ |
fixed partition,ସ୍ଥିର ବିଭାଜନ
flag,ପତାକା
flexible disk,ନମନୀୟ ଡିସ୍କ |
floppy disk,ଫ୍ଲପି ଡିସ୍କ |
flopy disk drive (Fdd),ଫ୍ଲପି ଡିସ୍କ ଡ୍ରାଇଭ (Fdd)
flow chart,ଫ୍ଲୋ ଚାର୍ଟ
flow of control,ନିୟନ୍ତ୍ରଣ ପ୍ରବାହ |
flush,ଫ୍ଲାଶ୍
folder,ଫୋଲ୍ଡର
font,ଫଣ୍ଟ
font family,ଫଣ୍ଟ ପରିବାର
foreign key,ବିଦେଶୀ ଚାବି |
form,ଫର୍ମ
formal language,ଆନୁଷ୍ଠାନିକ ଭାଷା |
formal system,ଆନୁଷ୍ଠାନିକ ବ୍ୟବସ୍ଥା |
format,ଫର୍ମାଟ୍
formatting,ଫର୍ମାଟିଂ
fortran,fortran
fortran programming,fortran ପ୍ରୋଗ୍ରାମିଂ |
forward slash,ଅଗ୍ରଗାମୀ ସ୍ଲାସ୍ |
fourth generation computer,ଚତୁର୍ଥ ପି generation ଼ିର କମ୍ପ୍ୟୁଟର |
fragment,ଖଣ୍ଡ
frame,ଫ୍ରେମ୍
free net,ମାଗଣା ଜାଲ
free software foundation,ମାଗଣା ସଫ୍ଟୱେର୍ ଫାଉଣ୍ଡେସନ୍ |
free storage,ମାଗଣା ସଂରକ୍ଷଣ
freeware,ମାଗଣା |
front end,ସାମନା ପ। ଖ
front panel,ଆଗ ପ୍ୟାନେଲ୍ |
function,କାର୍ଯ୍ୟ
function key,ଫଙ୍କସନ୍ କୀ
function reference,ଫଙ୍କସନ୍ ରେଫରେନ୍ସ
functional dependency,କାର୍ଯ୍ୟକ୍ଷମ ନିର୍ଭରଶୀଳତା |
functional testing,କାର୍ଯ୍ୟକ୍ଷମ ପରୀକ୍ଷଣ |
fuzzy logic,ଅସ୍ପଷ୍ଟ ତର୍କ
fuzzy set,ଅସ୍ପଷ୍ଟ ସେଟ୍ |
gain,ଲାଭ
game tree,ଖେଳ ବୃକ୍ଷ
gap character,ଫାଙ୍କ ବର୍ଣ୍ଣ
garbage,ଅଳିଆ
garbage collection,ଅଳିଆ ସଂଗ୍ରହ
garbage collection,ଅଳିଆ ସଂଗ୍ରହ
garbage in garbage out (GIGO),ଅଳିଆ ଆବର୍ଜନା (GIGO)
gate,ଫାଟକ
gateway,ଗେଟୱେ
general program,ସାଧାରଣ ପ୍ରୋଗ୍ରାମ୍
general program,ସାଧାରଣ ପ୍ରୋଗ୍ରାମ୍
general purpose computer,ସାଧାରଣ ଉଦ୍ଦେଶ୍ୟ କମ୍ପ୍ୟୁଟର |
general purpose computer,ସାଧାରଣ ଉଦ୍ଦେଶ୍ୟ କମ୍ପ୍ୟୁଟର |
general register,ସାଧାରଣ ରେଜିଷ୍ଟର |
generalization,ସାଧାରଣକରଣ
generalization,ସାଧାରଣକରଣ
general-purpose language,ସାଧାରଣ ଉଦ୍ଦେଶ୍ୟ ଭାଷା |
general-purpose operating sysem,ସାଧାରଣ ଉଦ୍ଦେଶ୍ୟ ଅପରେଟିଂ ସିସେମ୍ |
general-purpose regisgter,ସାଧାରଣ ଉଦ୍ଦେଶ୍ୟ ରେଜିଷ୍ଟର |
generated error,ସୃଷ୍ଟି ହୋଇଥିବା ତ୍ରୁଟି |
generating function,କାର୍ଯ୍ୟ ସୃଷ୍ଟି
generic class,ଜେନେରିକ୍ କ୍ଲାସ୍ |
generic function,ଜେନେରିକ୍ ଫଙ୍କସନ୍
generic name,ସାଧାରଣ ନାମ
gigo,ଜିଗୋ
global,ବିଶ୍ global ସ୍ତରୀୟ
global code,ଗ୍ଲୋବାଲ୍ କୋଡ୍
global lock,ଗ୍ଲୋବାଲ୍ ଲକ୍ |
global network,ଗ୍ଲୋବାଲ୍ ନେଟୱାର୍କ |
global network,ଗ୍ଲୋବାଲ୍ ନେଟୱାର୍କ |
global user,ବିଶ୍ global ବ୍ୟବହାରକାରୀ |
global variable,ଗ୍ଲୋବାଲ୍ ଭେରିଏବଲ୍ |
globalisation,ଜଗତୀକରଣ
gopher,ଗୋଫର୍
gopher client,ଗୋଫର୍ କ୍ଲାଏଣ୍ଟ |
gopher server,ଗୋଫର୍ ସର୍ଭର |
gopher site,ଗୋଫର୍ ସାଇଟ୍ |
gopher space,ଗୋଫର୍ ସ୍ପେସ୍ |
graceful degradation,ଅନୁଗୁଳ ଅବନତି |
grammar checker,ବ୍ୟାକରଣ ଯାଞ୍ଚକାରୀ |
grammar graceful exit,ବ୍ୟାକରଣ ଅନୁଗୁଳ ପ୍ରସ୍ଥାନ
grand total,ସର୍ବ ମୋଟ
graph,ଗ୍ରାଫ୍
graph plotting,ଗ୍ରାଫ୍ ପ୍ଲଟିଂ
graphic character,ଗ୍ରାଫିକ୍ ବର୍ଣ୍ଣ
graphic controller,ଗ୍ରାଫିକ୍ ନିୟନ୍ତ୍ରକ |
graphic data structure,ଗ୍ରାଫିକ୍ ଡାଟା ଗଠନ
graphic display program,ଗ୍ରାଫିକ୍ ପ୍ରଦର୍ଶନ ପ୍ରୋଗ୍ରାମ୍
graphic display resolution,ଗ୍ରାଫିକ୍ ପ୍ରଦର୍ଶନ ରେଜୋଲୁସନ
graphic language,ଗ୍ରାଫିକ୍ ଭାଷା
graphic language,ଗ୍ରାଫିକ୍ ଭାଷା
graphic panel,ଗ୍ରାଫିକ୍ ପ୍ୟାନେଲ୍ |
graphical animation,ଆଲେଖୀକ ଆନିମେସନ୍ |
graphical interface format (GIF),ଆଲେଖୀକ ଇଣ୍ଟରଫେସ୍ ଫର୍ମାଟ୍ (GIF)
graphical user interface (GUI),ଆଲେଖୀକ ବ୍ୟବହାରକାରୀ ଅନ୍ତରାପୃଷ୍ଠ (GUI)
graphics,ଗ୍ରାଫିକ୍ସ
graphics application,ଗ୍ରାଫିକ୍ସ ପ୍ରୟୋଗ |
graphics cursor,ଗ୍ରାଫିକ୍ସ କର୍ସର୍ |
graphics mode,ଗ୍ରାଫିକ୍ସ ମୋଡ୍ |
graphics package,ଗ୍ରାଫିକ୍ସ ପ୍ୟାକେଜ୍ |
graphics software,ଗ୍ରାଫିକ୍ସ ସଫ୍ଟୱେର୍ |
graphics software,ଗ୍ରାଫିକ୍ସ ସଫ୍ଟୱେର୍ |
graphics software package,ଗ୍ରାଫିକ୍ସ ସଫ୍ଟୱେର୍ ପ୍ୟାକେଜ୍ |
gray scale,ଧୂସର ସ୍କେଲ
greedy method,ଲୋଭୀ ପଦ୍ଧତି |
grep,grep
grid,ଗ୍ରୀଡ୍
grid chart,ଗ୍ରୀଡ୍ ଚାର୍ଟ |
grid computing,ଗ୍ରୀଡ୍ ଗଣନା
grid modulation,ଗ୍ରୀଡ୍ ମଡ୍ୟୁଲେସନ୍
ground wave,ଭୂତଳ ତରଙ୍ଗ |
group,ଗୋଷ୍ଠୀ
group address,ଗୋଷ୍ଠୀ ଠିକଣା
group code,ଗୋଷ୍ଠୀ କୋଡ୍
group communication,ଗୋଷ୍ଠୀ ଯୋଗାଯୋଗ |
group communication,ଗୋଷ୍ଠୀ ଯୋଗାଯୋଗ |
group identification,ଗୋଷ୍ଠୀ ପରିଚୟ
group name,ଗୋଷ୍ଠୀ ନାମ
groupware,ଗୋଷ୍ଠୀ ସଫ୍ଟୱେର୍ |
growth,ଅଭିବୃଦ୍ଧି |
guard,ରାକ୍ଷୀ
guided media,ଗାଇଡ୍ ମିଡିଆ |
gunzip,ବନ୍ଧୁକ
hack,ହ୍ୟାକ୍
hacker,ହ୍ୟାକର
hacker's dictionary,ହ୍ୟାକରର ଅଭିଧାନ |
half adder,ଅଧା ଆଡର୍ |
half bridge,ଅଧା ସେତୁ |
half duplex,ଅଧା ଡୁପ୍ଲେକ୍ସ |
half duplex line,ଅଧା ଡୁପ୍ଲେକ୍ସ ଲାଇନ |
half duplex mode,ଅଧା ଡୁପ୍ଲେକ୍ସ ମୋଡ୍ |
half intensity,ଅଧା ତୀବ୍ରତା |
half router,ଅଧା ରାଉଟର |
half subtracter,ଅଧା ସବଟ୍ରାକ୍ଟର |
half toning,ଅଧା ଟୋନିଂ |
half word,ଅଧା ଶବ୍ଦ |
hamiltonious cycle,ହାମିଲଟନ୍ ଚକ୍ର |
hamming code,ହାମିଂ କୋଡ୍ |
hand,ହାତ
hand copy,ହାତ କପି
handle,ନିୟନ୍ତ୍ରଣ
handling,ନିୟନ୍ତ୍ରଣ
hang,ଟାଙ୍ଗନ୍ତୁ |
happy net,ଖୁସି ଜାଲ
hard copy device,ହାର୍ଡ କପି ଉପକରଣ |
hard disk,ହାର୍ଡ ଡିସ୍କ
hard disk crash,ହାର୍ଡ ଡିସ୍କ କ୍ରାସ୍ |
hard error,କଠିନ ତ୍ରୁଟି |
hardware flow control,ହାର୍ଡୱେର ପ୍ରବାହ ନିୟନ୍ତ୍ରଣ |
harmonic,ହାରମୋନିକ୍ |
harmonic mean,ହାରମୋନିକ୍ ଅର୍ଥ |
hash,ହ୍ୟାସ୍
hash diagram,ହ୍ୟାସ୍ ଚିତ୍ର
hash table,ହ୍ୟାସ୍ ଟେବୁଲ୍ |
hashing technique,ହ୍ୟାସିଂ କ techni ଶଳ |
header,ଶୀର୍ଷଲେଖ
heap,ରାଶି
heap sort,ରାଶି ସର୍ଟ |
help,ସାହାଯ୍ୟ
help screen,ହେଲପ୍ ସ୍କ୍ରିନ୍ |
helpnet,ହେଲ୍ପନେଟ୍ |
hertz,hertz
heuristic,ହ୍ୟୁରିଷ୍ଟିକ୍ |
heuristic method,ହ୍ୟୁରିଷ୍ଟିକ୍ ପଦ୍ଧତି |
hexadecimal numbers,ଷୋଡଶମିକ ସଂଖ୍ୟା |
hidden line,ଲୁକ୍କାୟିତ ରେଖା |
hierarchical data base,କ୍ରମିକ ତଥ୍ୟ ଆଧାର |
hierarchical file system,କ୍ରମିକ ଫାଇଲ୍ ସିଷ୍ଟମ୍ |
hierarchical topography,କ୍ରମିକ ଟପୋଗ୍ରାଫି |
high level language,ଉଚ୍ଚ ସ୍ତରୀୟ ଭାଷା |
high memory area,ଉଚ୍ଚ ସ୍ମୃତି କ୍ଷେତ୍ର
high performance,ଉନ୍ନତ ପ୍ରର୍ଦଶନ
hit,ହିଟ୍
hit rate,ହିଟ୍ ହାର
hit ratio,ହିଟ୍ ଅନୁପାତ |
hole,ଗର୍ତ୍ତ
home directory,ହୋମ୍ ଡିରେକ୍ଟୋରୀ |
home page,ମୂଳପୃଷ୍ଠା |
homogeneous coordinate,ଏକମାତ୍ର ସମନ୍ୱୟ
hop,ହପ୍
hop count,ହପ୍ ଗଣନା
horn,ଶିଙ୍ଗ
host computer,ହୋଷ୍ଟ କମ୍ପ୍ୟୁଟର |
host computer,ହୋଷ୍ଟ କମ୍ପ୍ୟୁଟର |
host language,ହୋଷ୍ଟ ଭାଷା
hot key,ହଟ୍ କି |
hyper text markup language (HTML),ହାଇପର ଟେକ୍ସଟ୍ ମାର୍କଅପ୍ ଭାଷା (HTML)
hypothesis,ଅନୁମାନ
I pod,ମୁଁ ପୋଡ୍
I/O buffer,I / O ବଫର୍ |
I/O port,I / O ପୋର୍ଟ
I/O unit,I / O ୟୁନିଟ୍ |
identifier,ପରିଚାୟକ
identity,ପରିଚୟ
image,ପ୍ରତିଛବି
image sensor,ପ୍ରତିଛବି ସେନସର
impact printer,ପ୍ରଭାବ ପ୍ରିଣ୍ଟର୍
impedence,ପ୍ରତିବନ୍ଧକ
imperative programme language,ଅତ୍ୟାବଶ୍ୟକ ପ୍ରୋଗ୍ରାମ ଭାଷା |
imperative statement,ଜରୁରୀ ବକ୍ତବ୍ୟ
implicit address,ଅନ୍ତର୍ନିହିତ ଠିକଣା
impossible event,ଅସମ୍ଭବ ଘଟଣା |
inactive node,ନିଷ୍କ୍ରିୟ ନୋଡ୍ |
inconsistency,ଅସଙ୍ଗତି |
increment,ବୃଦ୍ଧି
index,ସୂଚକାଙ୍କ
index data item,ସୂଚକାଙ୍କ ଡାଟା ଆଇଟମ୍ |
index file,ଇଣ୍ଡେକ୍ସ ଫାଇଲ୍ |
index register,ଇଣ୍ଡେକ୍ସ ରେଜିଷ୍ଟର |
index sequential,ସୂଚକାଙ୍କ କ୍ରମିକ |
indexed addressing,ସୂଚୀବଦ୍ଧ ଠିକଣା
indexed language,ସୂଚୀବଦ୍ଧ ଭାଷା |
indexed sequence file,ସୂଚୀବଦ୍ଧ କ୍ରମ ଫାଇଲ୍ |
indexed sequential sccess method (ISAM),ସୂଚୀବଦ୍ଧ କ୍ରମିକ ସଫଳତା ପଦ୍ଧତି (ISAM)
indirect addressing,ପରୋକ୍ଷ ଠିକଣା
Informatics,ସୂଚନା
Information,ସୂଚନା
information bit,ସୂଚନା ବିଟ୍
information management,ସୂଚନା ପରିଚାଳନା
information management system (IMS),ସୂଚନା ପରିଚାଳନା ବ୍ୟବସ୍ଥା (IMS)
information retrieval,ସୂଚନା ପୁନରୁଦ୍ଧାର
information system,ସୂଚନା ପ୍ରଣାଳୀ
information technology (IT),ସୂଚନା ପ୍ରଯୁକ୍ତିବିଦ୍ୟା (IT)
infrastructure management,ଭିତ୍ତିଭୂମି ପରିଚାଳନା
Inheritance,ଉତ୍ତରାଧିକାରୀ |
inherited error,ଉତ୍ତରାଧିକାରୀ ତ୍ରୁଟି |
Initial,ପ୍ରାରମ୍ଭିକ
initial address,ପ୍ରାରମ୍ଭିକ ଠିକଣା
initial state,ପ୍ରାରମ୍ଭିକ ଅବସ୍ଥା
Initialization,ପ୍ରାରମ୍ଭିକରଣ
ink jet printer,ଇଙ୍କି ଜେଟ୍ ପ୍ରିଣ୍ଟର୍ |
Innumerable,ଅସଂଖ୍ୟ |
i-node table,i-node ଟେବୁଲ୍ |
inoperable time,କାର୍ଯ୍ୟକ୍ଷମ ସମୟ |
input buffer register,ଇନପୁଟ୍ ବଫର୍ ରେଜିଷ୍ଟର |
input output processor (I/O processor),ଇନପୁଟ୍ ଆଉଟପୁଟ୍ ସଞ୍ଚାଳକ (I / O ସଞ୍ଚାଳକ)
input output register (I/O register),ଇନପୁଟ୍ ଆଉଟପୁଟ୍ ରେଜିଷ୍ଟର (I / O ରେଜିଷ୍ଟର)
input output statement (I/O statement),ଇନପୁଟ୍ ଆଉଟପୁଟ୍ ଷ୍ଟେଟମେଣ୍ଟ (I / O ଷ୍ଟେଟମେଣ୍ଟ)
input/output (I/O),ଇନପୁଟ୍ / ଆଉଟପୁଟ୍ (I / O)
input/output buffer (I/O buffer),ଇନପୁଟ୍ / ଆଉଟପୁଟ୍ ବଫର୍ (I / O ବଫର୍)
input/output device (I/O device),ଇନପୁଟ୍ / ଆଉଟପୁଟ୍ ଉପକରଣ (I / O ଉପକରଣ)
Insert,ସନ୍ନିବେଶ କରନ୍ତୁ |
insertion sort,ସନ୍ନିବେଶ ସର୍ଟ |
installation time,ସ୍ଥାପନ ସମୟ
Instance,ଉଦାହରଣ
Instruction,ନିର୍ଦ୍ଦେଶ
instruction counter,ନିର୍ଦ୍ଦେଶ କାଉଣ୍ଟର
instruction cycle,ନିର୍ଦ୍ଦେଶ ଚକ୍ର |
instruction set,ନିର୍ଦ୍ଦେଶ ସେଟ୍ |
integer programming,ପୂର୍ଣ୍ଣ ପ୍ରୋଗ୍ରାମିଂ
integer variable,ଇଣ୍ଟିଜର୍ ଭେରିଏବଲ୍
integrated modem,ଇଣ୍ଟିଗ୍ରେଟେଡ୍ ମୋଡେମ୍ |
integrated services digital network (ISDN),ଏକୀକୃତ ସେବା ଡିଜିଟାଲ୍ ନେଟୱାର୍କ (ISDN)
Integrity,ଅଖଣ୍ଡତା
intelligent controller,ବୁଦ୍ଧିମାନ ନିୟନ୍ତ୍ରକ |
intelligent terminal,ବୁଦ୍ଧିମାନ ଟର୍ମିନାଲ୍ |
inter block,ଇଣ୍ଟର ବ୍ଲକ୍
inter block gap,ଇଣ୍ଟର ବ୍ଲକ୍ ଫାଙ୍କ |
inter communication system,ଆନ୍ତ communication ଯୋଗାଯୋଗ ବ୍ୟବସ୍ଥା |
Interaction,ପାରସ୍ପରିକ କ୍ରିୟା
interactive graphics,ଇଣ୍ଟରାକ୍ଟିଭ୍ ଗ୍ରାଫିକ୍ସ |
interactive keyboard printer,ଇଣ୍ଟରାକ୍ଟିଭ୍ କୀବୋର୍ଡ୍ ପ୍ରିଣ୍ଟର୍ |
intercom service,ଇଣ୍ଟରକମ୍ ସେବା |
Interface,ଇଣ୍ଟରଫେସ୍
Interleaving,ଆନ୍ତରିକତା
intermediate buffer,ମଧ୍ୟବର୍ତ୍ତୀ ବଫର୍ |
internal block,ଆଭ୍ୟନ୍ତରୀଣ ବ୍ଲକ
internal communication,ଆଭ୍ୟନ୍ତରୀଣ ଯୋଗାଯୋଗ |
internal fragmentation,ଆଭ୍ୟନ୍ତରୀଣ ବିଖଣ୍ଡନ |
internal memory,ଆଭ୍ୟନ୍ତରୀଣ ସ୍ମୃତି
internal sort,ଆଭ୍ୟନ୍ତରୀଣ ସର୍ଟ |
internal timer,ଆଭ୍ୟନ୍ତରୀଣ ସମୟ
international organization for standardization (ISO),ମାନକକରଣ ପାଇଁ ଆନ୍ତର୍ଜାତୀୟ ସଂଗଠନ (ISO)
international technical support organization,ଆନ୍ତର୍ଜାତୀୟ ବ technical ଷୟିକ ସହାୟତା ସଂଗଠନ |
Internet,ଇଣ୍ଟରନେଟ୍ |
internet engineering task force (IETF),ଇଣ୍ଟରନେଟ୍ ଇଞ୍ଜିନିୟରିଂ ଟାସ୍କ ଫୋର୍ସ (IETF)
internet explorer,ଇଣ୍ଟରନେଟ୍ ଏକ୍ସପ୍ଲୋରର |
internet hunt,ଇଣ୍ଟରନେଟ୍ ଶିକାର |
internet monthly report,ଇଣ୍ଟରନେଟ୍ ମାସିକ ରିପୋର୍ଟ |
internet packet exchange,ଇଣ୍ଟରନେଟ୍ ପ୍ୟାକେଟ୍ ବିନିମୟ |
internet protocol (IP),ଇଣ୍ଟରନେଟ୍ ପ୍ରୋଟୋକଲ୍ (IP)
internet protocol remove (IP),ଇଣ୍ଟରନେଟ୍ ପ୍ରୋଟୋକଲ୍ ଅପସାରଣ (IP)
internet relay chat (IRC),ଇଣ୍ଟରନେଟ୍ ରିଲେ ଚାଟ୍ (IRC)
internet service provider,ଇଣ୍ଟରନେଟ୍ ସେବା ପ୍ରଦାନକାରୀ |
internet services list,ଇଣ୍ଟରନେଟ୍ ସେବା ତାଲିକା |
internet society,ଇଣ୍ଟରନେଟ୍ ସୋସାଇଟି |
internet tools,ଇଣ୍ଟରନେଟ୍ ଉପକରଣଗୁଡିକ |
internet working,ଇଣ୍ଟରନେଟ୍ କାମ କରୁଛି |
internet working,ଇଣ୍ଟରନେଟ୍ କାମ କରୁଛି |
Interpolation,ଇଣ୍ଟରପୋଲେସନ୍ |
Interpret,ବ୍ୟାଖ୍ୟା କରନ୍ତୁ
Interpreter,ଅନୁବାଦକ
interprocess communication,ପାରସ୍ପରିକ ଯୋଗାଯୋଗ
Interrupt,ବାଧା
interrupt handler,ବାଧା ନିୟନ୍ତ୍ରକ |
interrupt mask,ବାଧା ମାସ୍କ |
interrupt signal,ବାଧା ସଙ୍କେତ
interrupt vector,ଭେକ୍ଟର ବାଧା
Interruption,ବାଧା
Intersect,ଛକ
Intranet,ଇଣ୍ଟରନେଟ୍ |
Invariant,ଅଦୃଶ୍ୟ
inventory master file,ଭଣ୍ଡାର ମାଷ୍ଟର ଫାଇଲ୍ |
inverse multiplexer,ଓଲଟା ମଲ୍ଟିପ୍ଲେକ୍ସର୍ |
inverse scanning,ଓଲଟା ସ୍କାନିଂ |
inverted file,ଓଲଟା ଫାଇଲ୍ |
inverted list file,ଓଲଟା ତାଲିକା ଫାଇଲ୍ |
inverted page table,ଓଲଟା ପୃଷ୍ଠା ସାରଣୀ |
Inverter,ଇନଭର୍ଟର
internet working,ଇଣ୍ଟରନେଟ୍ କାମ କରୁଛି |
Interpolation,ଇଣ୍ଟରପୋଲେସନ୍ |
Interpret,ବ୍ୟାଖ୍ୟା କରନ୍ତୁ
Interpreter,ଅନୁବାଦକ
interprocess communication,ପାରସ୍ପରିକ ଯୋଗାଯୋଗ
Interrupt,ବାଧା
interrupt handler,ବାଧା ନିୟନ୍ତ୍ରକ |
interrupt mask,ବାଧା ମାସ୍କ |
interrupt signal,ବାଧା ସଙ୍କେତ
interrupt vector,ଭେକ୍ଟର ବାଧା
Interruption,ବାଧା
Intersect,ଛକ
Intranet,ଇଣ୍ଟରନେଟ୍ |
Invariant,ଅଦୃଶ୍ୟ
inventory master file,ଭଣ୍ଡାର ମାଷ୍ଟର ଫାଇଲ୍ |
inverse multiplexer,ଓଲଟା ମଲ୍ଟିପ୍ଲେକ୍ସର୍ |
inverse scanning,ଓଲଟା ସ୍କାନିଂ |
inverted file,ଓଲଟା ଫାଇଲ୍ |
inverted list file,ଓଲଟା ତାଲିକା ଫାଇଲ୍ |
inverted page table,ଓଲଟା ପୃଷ୍ଠା ସାରଣୀ |
Inverter,ଇନଭର୍ଟର
job management,କାର୍ଯ୍ୟ ପରିଚାଳନା
job oriented language,ଚାକିରି ଭିତ୍ତିକ ଭାଷା |
job priority,ଚାକିରି ପ୍ରାଥମିକତା |
job scheduling,କାର୍ଯ୍ୟ ନିର୍ଘଣ୍ଟ
job sequencing,କାର୍ଯ୍ୟ କ୍ରମ
job table,ଚାକିରି ସାରଣୀ |
join (JOIN),ଯୋଗ ଦିଅନ୍ତୁ (JOIN)
joint photographic group (jpg),ମିଳିତ ଫଟୋଗ୍ରାଫିକ୍ ଗୋଷ୍ଠୀ (jpg)
Journal,ପତ୍ରିକା
joy stick,ଆନନ୍ଦ ବାଡ଼ି
Judgement,ବିଚାର
Jump,ଡେଇଁପଡ |
jump instruction,ଜମ୍ପ ନିର୍ଦ୍ଦେଶ
Jumper,ଜମ୍ପର୍ |
Junction,ଜଙ୍କସନ
Junk,ଜଙ୍କ୍ |
Justification,ଯଥାର୍ଥତା |
k bytes,k ବାଇଟ୍ |
karnaugh map,କର୍ନାଗ୍ ମାନଚିତ୍ର
karnaugh map,କର୍ନାଗ୍ ମାନଚିତ୍ର
KB (Kilo Byte),କେବି (କିଲୋ ବାଇଟ୍)
Kernel,କର୍ଣ୍ଣଲ |
kernel mode,କର୍ଣ୍ଣଲ ମୋଡ୍
Kerning,କର୍ନିଙ୍ଗ୍ |
Key,ଚାବି
key board,କି ବୋର୍ଡ |
key bounce,କି ବାଉନ୍ସ |
key click,କି କ୍ଲିକ୍ କରନ୍ତୁ |
key compression,କି ସଙ୍କୋଚନ |
key disk,କି ଡିସ୍କ
key encryption,କି ଏନକ୍ରିପସନ୍ |
key field,କି କ୍ଷେତ୍ର
key file,କି ଫାଇଲ୍ |
key frame,କି ଫ୍ରେମ୍
key management,କି ପରିଚାଳନା
key pad,କି ପ୍ୟାଡ୍ |
key pad,କି ପ୍ୟାଡ୍ |
key phrase,ମୁଖ୍ୟ ବାକ୍ୟାଂଶ |
key pulse,କି ନାଡ
key punch,କି ପିଚ୍ |
key sorting,କି ସର୍ଟିଂ
key stroke,କି ଷ୍ଟ୍ରୋକ୍
key to address transformation,ରୂପାନ୍ତର ଠିକଣା ପାଇଁ ଚାବି |
key to disk,ଡିସ୍କର ଚାବି |
key to floppy,ଫ୍ଲପି ପାଇଁ ଚାବି |
key to tape,ଟେପ୍ ର ଚାବି |
key word,ମୁଖ୍ୟ ଶବ୍ଦ |
Kick,କିକ୍
Kill,ହତ୍ୟା କର
Kilobit,କିଲୋବିଟ୍ |
Knots,ଗଣ୍ଠିଗୁଡିକ |
knowledge based information services,ଜ୍ଞାନ ଆଧାରିତ ସୂଚନା ସେବା |
knowledge discovery,ଜ୍ଞାନ ଆବିଷ୍କାର |
knowledge discovery database (KDD),ଜ୍ଞାନ ଆବିଷ୍କାର ଡାଟାବେସ୍ (KDD)
knowledge engineering,ଜ୍ଞାନ ଇଞ୍ଜିନିୟରିଂ
knowledge management,ଜ୍ଞାନ ପରିଚାଳନା
knowledge worker,ଜ୍ଞାନ କର୍ମୀ |
Lan adapter,ଲାନ୍ ଆଡାପ୍ଟର |
Lan server,ଲାନ୍ ସର୍ଭର |
LAN workplace,LAN କର୍ମକ୍ଷେତ୍ର |
Landscape,ଲ୍ୟାଣ୍ଡସ୍କେପ୍
Landscape,ଲ୍ୟାଣ୍ଡସ୍କେପ୍
Language,ଭାଷା
language interpreter,ଭାଷା ଅନୁବାଦକ
language processor,ଭାଷା ସଞ୍ଚାଳକ
language translator,ଭାଷା ଅନୁବାଦକ
Laptop,ଲାପଟପ୍
large scale integration (lsi),ବଡ଼ ଆକାରର ଏକୀକରଣ (lsi)
large scale integration (LSI),ବଡ଼ ଆକାରର ଏକୀକରଣ (LSI)
Laser,ଲେଜର
laser printer,ଲେଜର ପ୍ରିଣ୍ଟର୍ |
last in first out (LIFO),ଶେଷରେ ପ୍ରଥମ (LIFO)
Layer,ସ୍ତର
Layout,ଲେଆଉଟ୍
Leaf,ପତ୍ର |
leaf node,ପତ୍ର ନୋଡ୍ |
leaf site,ପତ୍ର ସାଇଟ୍ |
Lease,ଲିଜ୍
leased channel,ଲିଜ୍ ଚ୍ୟାନେଲ୍ |
leased line,ଲିଜ୍ ରେଖା
least significant bit (lsb),ସର୍ବନିମ୍ନ ଗୁରୁତ୍ୱପୂର୍ଣ୍ଣ ବିଟ୍ (lsb)
least significant digit,ସର୍ବନିମ୍ନ ଗୁରୁତ୍ୱପୂର୍ଣ୍ଣ ସଂଖ୍ୟା |
legacy system,ପୁରୁଣା ପ୍ରଣାଳୀ
Lemma ,ଲେମ୍ମା
letter quality (LQ),ଅକ୍ଷର ଗୁଣ (LQ)
Lexeme,ଲେକ୍ସେମ୍ |
Lexicography,ଲେକ୍ସିକୋଗ୍ରାଫି |
Library,ଲାଇବ୍ରେରୀ |
library program,ଲାଇବ୍ରେରୀ ପ୍ରୋଗ୍ରାମ୍ |
library sub-routine,ଲାଇବ୍ରେରୀ ଉପ-ରୁଟିନ୍ |
licence agrement,ଲାଇସେନ୍ସ ଚୁକ୍ତି
light emitter diode (LED),ହାଲୁକା ଏମିଟର ଡାୟୋଡ୍ (LED)
