English,Telugu
Mangifera indica,మాంగిఫెరా ఇండికా
Mangrove,మడ అడవులు
Man-made agricultural ecosystem,మానవ నిర్మిత వ్యవసాయ పర్యావరణ వ్యవస్థ
Man-made cereal,మానవ నిర్మిత తృణధాన్యాలు
Mannan,మన్నన్
Mantle,మాంటిల్
Manus,మనుస్
Maple,మాపుల్
Marchantia,మార్చాంటియా
Marginal,ఉపాంత
Marijuana,గంజాయి
Marine biology,మెరైన్ బయాలజీ
Marine bird,మెరైన్ బర్డ్
Marine community,సముద్ర సంఘం
Marine invertebrates,మెరైన్ అకశేరుకాలు
Marino ram,మారినో రామ్
Marker,మార్కర్
Market waste,మార్కెట్ వ్యర్థాలు
Marrow cavity,మజ్జ కుహరం
Marsh,మార్ష్
Marsh-meadow stage,మార్ష్-మీడో స్టేజ్
Marsh without vegetation,వృక్షసంపద లేకుండా మార్ష్
Marsupial mole,మార్సుపియల్ మోల్
Marsupial radiation,మార్సుపియల్ రేడియేషన్
Marsupial rat,మార్సుపియల్ ఎలుక
Marsupium,మార్సుపియం
Mass extinction,సామూహిక విలుప్తత
Mass flow,ద్రవ్యరాశి ప్రవాహం
Mass flow hypothesis,సామూహిక ప్రవాహ పరికల్పన
Mast cell,మాస్ట్ సెల్
Master agar plate,మాస్టర్ అగర్ ప్లేట్
Master plate,మాస్టర్ ప్లేట్
Maternal mortality rate,తల్లి మరణాల రేటు
Mating,సంభోగం
Matrix,మాతృక
Mature nodule,పరిపక్వ నాడ్యూల్
Mauve color,మావ్ కలర్
Maxilla,మాక్సిల్లా
Maxillary palp,మాక్సిలరీ పాల్ప్
Maximum carrying capacity,గరిష్ట మోసే సామర్థ్యం
Meandrina,మెన్డ్రినా
Medical science,వైద్య శాస్త్రం
Medical termination of pregnancy (MTP),గర్భం యొక్క వైద్య రద్దు (MTP)
Medical transcription,వైద్య లిప్యంతరీకరణ
Medically assisted delivery,వైద్యపరంగా సహాయక డెలివరీ
Medicine,ఔషధం
Medicine,ఔషధం
Medicine,ఔషధం
Medulla,మెడుల్లా
Medulla oblongata,మెడుల్లా ఆబ్లోంగటా
Medullary pyramid,మెడుల్లరీ పిరమిడ్
Medullated,మెడుటెడ్
Medusa,మెడుసా
Mega karyocyte,మెగా కార్యోసైట్
Megaplasmid,మెగాప్లాస్మిడ్
Megasporangium,మెగాస్పోరంగియం
Megasporophyll,మెగాస్పోరోఫిల్
Meibomian gland,మీబోమియన్ గ్రంథి
Meiocyte,మీయోసైట్
Meiosis,మియోసిస్
Metagenesis,మెటాజెనిసిస్
Melanic moth,మెలానిక్ చిమ్మట
Melanocyte,మెలనోసైట్
Melanocyte stimulating hormone (MSH),మెలనోసైట్ స్టిమ్యులేటింగ్ హార్మోన్ (MSH)
Melanocyte stimulating releasing hormone (MSRH),మెలనోసైట్ స్టిమ్యులేటింగ్ విడుదల హార్మోన్ (MSRH)
Melanoma,మెలనోమా
Meloidogyne incognita,మెలోయిడోజైన్ అజ్ఞాత
Membrane bound,పొర కట్టుబడి
Membrane lipid,మెంబ్రేన్ లిపిడ్
Membrane permeability,పొర పారగమ్యత
Membrane potential,పొర సంభావ్యత
Membranous labyrinth,పొర చిక్కైన
Membranous sheet,పొర షీట్
Memory cell,మెమరీ సెల్
Mendel's law,మెండెల్ యొక్క చట్టం
Mendelian disorder,మెండెలియన్ రుగ్మత
Meninge,మెనింగే
Meningitis,మెనింజైటిస్
Menstrual cycle,ఋతు చక్రం
Mental dearrangement,మానసిక ప్రియమైన
Mental retardation,మానసిక మాంద్యము
Mercury poisoning,మెర్క్యురీ పాయిజనింగ్
Meristem,మెరిస్టెమ్
Meristematic cell,మెరిస్టెమాటిక్ సెల్
Meristematic region,మెరిస్టెమాటిక్ ప్రాంతం
Meristematic growth,మెరిస్టెమాటిక్ పెరుగుదల
Merocrine gland,మెరోక్రిన్ గ్రంథి
Meromyosin,మెరోమియోసిన్
Merychippus,మెరిచిప్పస్
Mesarchium,మెస్మార్చియం
Mesencephalon,మెసెన్సెఫలాన్
Mesenchymal tissue,మెసెన్చైమల్ కణజాలం
Mesenteron,మెసెంటెరాన్
Mesentery,మెసెంటరీ
Mesic condition,మెసిక్ కండిషన్
Mesocarp,మీసోకార్ప్
Mesoderm,మీసోడెర్మ్
Mesogloea,మెసోగ్లోయా
Mesoheppus,మెసోహెప్పస్
Mesophyll cell,మెసోఫిల్ సెల్
Mesosome,మీసోసోమ్
Mesothoracic,మెసోథొరాసిక్
Mesothorax,మెసోథొరాక్స్
Mesovarium,మెసోవరియం
Mesozoic era,మెసోజోయిక్ శకం
Messenger RNA,మెసెంజర్ RNA
Metabolic flux,జీవక్రియ ప్రవాహం
Metabolic pathway,జీవక్రియ మార్గం
Metabolised,జీవక్రియ
Metabolism,జీవక్రియ
Metabolic assimilatory,జీవక్రియ అస్సిమిలేటరీ
Metacarpal,మెటాకార్పాల్
Metacentric,మెటాసెంట్రిక్
Metachromatic granule,మెటాక్రోమాటిక్ గ్రాన్యూల్
Metal needle,మెటల్ సూది
Metallic oxide,లోహ ఆక్సైడ్
Metamerism,మెటామెరిజం
Metamorphosis,మెటామార్ఫోసిస్
Metanephridium,మెటాన్‌ఫ్రిడియం
Metaphase,మెటాఫేస్
Metaphase plate,మెటాఫేస్ ప్లేట్
Metaphasic plate,మెటాఫాసిక్ ప్లేట్
Metapopulation,మెటాపోపులేషన్
Metastasis,మెటాస్టాసిస్
Metastasis,మెటాస్టాసిస్
Metatarsal,మెటాటార్సల్
Metathoracic,మెటాథొరాసిక్
Metathorax,మెటాథొరాక్స్
Metazoans,మెటాజోవాన్లు
Metaencephalon,మెటాఎన్సెఫలోన్
Metastasize,మెటాస్టాసైజ్
Methadone,మెథడోన్
Methaemoglobin,మెథెమోగ్లోబిన్
Methaemoglobinemia,మెథెమోగ్లోబినిమియా
Methane,మీథేన్
Methanobacterium,మిథనోబాక్టీరియం
Methanogen,మెథనోజెన్
Methyl mercury,మిథైల్ మెర్క్యురీ
Methylated cap,మిథైలేటెడ్ టోపీ
Methylene blue,మిథిలీన్ బ్లూ
Methylophilus,మిథైలోఫిలస్
Methylotrophus,మిథైలోట్రోఫస్
Micronutrient,మైక్రోన్యూట్రియంట్
Microorganism,సూక్ష్మజీవి
Micropropagation,మైక్రోప్రొపగేషన్
Microtechnique,మైక్రోటెక్నిక్
Microarchitectural deterioration,మైక్రోఆర్కిటెక్చరల్ క్షీణత
Microbe (microorganism),సూక్ష్మజీవుల సంపర్కము
Microbial cloning,సూక్ష్మజీవుల క్లోనింగ్
Microbial flora,సూక్ష్మజీవుల వృక్షజాలం
Microbiology,మైక్రోబయాలజీ
Microbody,మైక్రోబాడీ
Microclimate,మైక్రోక్లైమేట్
Microrevolution,మైక్రోస్పూషన్
Microfilament,మైక్రోఫిలమెంట్
Microfossil,మైక్రోఫొసిల్
Microinjection,మైక్రోఇన్జెక్షన్
Microorganism,సూక్ష్మజీవి
Methylotrophus,మిథైలోట్రోఫస్
Micronutrient,మైక్రోన్యూట్రియంట్
Microorganism,సూక్ష్మజీవి
Microphagous,మైక్రోఫాగస్
Microphagy,మైక్రోఫాగి
Micropylar end,మైక్రోపైలర్ ముగింపు
Micropyle,మైక్రోపైల్
Micropyle,మైక్రోపైల్
Micropyle,మైక్రోపైల్
Microsatellite,మైక్రోసాటిలైట్
Microscope,సూక్ష్మదర్శిని
Microscopy,మైక్రోస్కోపీ
Microspermae,మైక్రోస్పెర్మే
Microsphere,మైక్రోస్పియర్
Microsporangium,మైక్రోస్పోరింగియం
Microspore tetrad,మైక్రోస్పోర్ టెట్రాడ్
Microsporphyll,మైక్రోస్పోర్ఫిల్
Microsporum,మైక్రోస్పోరం
Microtome,మైక్రోటోమ్
Microtuble triplet,మైక్రోట్యూబుల్ ట్రిపుల్
Microtubule doublet,మైక్రోటూబ్యూల్ డబుల్
Microvilli,మైక్రోవిల్లి
Micturition,మిక్చురిషన్
Midbrain,మిడ్‌బ్రేన్
Middle cerebellar peduncle,మిడిల్ సెరెబెల్లార్ పెడన్కిల్
Middle ear,మధ్య చెవి
Middle lamella,మిడిల్ లామెల్లా
Midgut,మిడ్‌గట్
Midwife toad,మంత్రసాని టోడ్
Migrant,వలస
Migration,వలస
Milk sugar,పాలు చక్కెర
Milk-producing gland,పాలు ఉత్పత్తి చేసే గ్రంథి
Millet,మిల్లెట్
Milliosmole per liter,లీటరుకు మిల్లియోస్మోల్
Milvus,మిల్వస్
Mimicry,మిమిక్రీ
Minamata disease,మినామాటా వ్యాధి
Mineral,ఖనిజ
Mineral element,ఖనిజ మూలకం
Mineral nutrition,ఖనిజ పోషణ
Mineralisation,ఖనిజీకరణ
Mineralo corticoid,ఖనిజ కార్టికాయిడ్
Miniature magnet,సూక్ష్మ అయస్కాంతం
Mining operation,మైనింగ్ ఆపరేషన్
Minisatellite,మినిసాటెలైట్
Minor groove,మైనర్ గాడి
Miocene,మియోసిన్
Miohippus,మియోహిప్పస్
Mirabilis,మిరాబిలిస్
Mitigation,తీవ్రతను తగ్గించడం
Mitochondria,మైటోకాండ్రియా
Mitochondrial matrix,మైటోకాన్డ్రియల్ మ్యాట్రిక్స్
Mitosis,మైటోసిస్
Mitral valve (bicuspid valve),మిత్వసి
Mixed gland,మిశ్రమ గ్రంథి
Mixed nerves,మిశ్రమ నరాలు
Mixotrophic,మిక్సోట్రోఫిక్
Mobile carrier,మొబైల్ క్యారియర్
Mobile source,మొబైల్ మూలం
Mobility,మొబిలిటీ
Moderate injury,మితమైన గాయం
Modern medicine,ఆధునిక medicine షధం
Modern society,ఆధునిక సమాజం
Modifiability,సవరణ
Modified dihybird ratio,సవరించిన డైహీబర్డ్ నిష్పత్తి
Modified root,సవరించిన రూట్
Modulate,మాడ్యులేట్
Modulation of action,చర్య యొక్క మాడ్యులేషన్
Modulator substance,మాడ్యులేటర్ పదార్ధం
Moisture,తేమ
Moisture deficit,తేమ లోటు
Molar teeth,మోలార్ పళ్ళు
Molar,మోలార్
Mole,మోల్
Mole,మోల్
Mole,మోల్
Mole (mol),కన్నము
Molecular biology,అణు జీవశాస్త్రం
Molecular genetic analysis,పరమాణు జన్యు విశ్లేషణ
Molecular level,పరమాణు స్థాయి
Molecular messenger,మాలిక్యులర్ మెసెంజర్
Molecular motion,పరమాణు కదలిక
Molecular nitrogen gas,పరమాణు నత్రజని వాయువు
Molecular organization,మాలిక్యులర్ ఆర్గనైజేషన్
Molecular scissor,మాలిక్యులర్ కత్తెర
Molecular surgical approach,పరమాణు శస్త్రచికిత్స విధానం
Molecular suture,మాలిక్యులర్ కుట్టు
Molecule,అణువు
Mollusc,మొలస్క్
Molluscivorous,మొలస్సివరస్
Molybdenum,మాలిబ్డినం
Momordica,మోమోర్డికా
Monandria,మొనాండ్రియా
Monandry,మొనాండ్రీ
Monascus purpureus,మొనాస్కస్ పర్పురియస్
Monera,మోనెరా
Moniliform,మోనిలిఫార్మ్
Monitor,మానిటర్
Monitor,మానిటర్
Mono layer,మోనో పొర
Monoadelphous,మోనోఅడెల్ఫస్
Monobasic phosphate,మోనోబాసిక్ ఫాస్ఫేట్
Monoblastic,మోనోబ్లాస్టిక్
Monochacial,మోనోకాసియల్
Monochlamydeous,మోనోక్లామిడియస్
Monocistronic,మోనోసిస్ట్రోనిక్
Monoclonal antibody,మోనోక్లోనల్ యాంటీబాడీ
Monococcus,మోనోకాకస్
Monocotyledon,మోనోకోటిలెడాన్
Monocystic,మోనోసిస్టిక్
Monocystis,మోనోసిస్టిస్
Monocyte,మోనోసైట్
Monoecious,మోనోసియస్
Monograph,మోనోగ్రాఫ్
Monohybrid,మోనోహైబ్రిడ్
Monomer,మోనోమర్
Monomeric G-actin,మోనోమెరిక్ జి-ఆక్టిన్
Monosaccharide,మోనోసాకరైడ్
Monosodium salt,మోనోసోడియం ఉప్పు
Monosomic,మోనోసోమిక్
Monospermy,మోనోస్పెర్మీ
Monosporic development,మోనోస్పోరిక్ అభివృద్ధి
Monotropa,మోనోట్రోపా
Monozygotic identical twin,మోనోజైగోటిక్ ఒకేలాంటి జంట
Montreal treaty,మాంట్రియల్ ఒప్పందం
Mood disorder,మూడ్ డిజార్డర్
Moringa,మోరింగ
Morphallaxis (morphallactic),మర్మమైన ప్రేరకములు
Morphine,మార్ఫిన్
Morphogenesis,మోర్ఫోజెనిసిస్
Morphological adaptation,పదనిర్మాణ అనుసరణ
Morphology,పదనిర్మాణ శాస్త్రం
Morse code,మోర్స్ కోడ్
Mortality,మరణాలు
Mortality,మరణాలు
Mortality,మరణాలు
Mosaicism,మొజాయిసిజం
Mosaic vision,మొజాయిక్ విజన్
Moss,నాచు
Moth,చిమ్మట
Mother axis,తల్లి అక్షం
Motif,మూలాంశం
Motile form,మోటైల్ రూపం
Motile spore,మోటైల్ బీజాంశం
Motor fibre,మోటారు ఫైబర్
Motor neuron,మోటారు న్యూరాన్
Mould,అచ్చు
Movement,ఉద్యమం
Movement of locomotion,లోకోమోషన్ యొక్క కదలిక
M-phase promoting factor (MPF),M- ఫేజ్ ప్రమోటింగ్ ఫ్యాక్టర్ (MPF)
Mrigal,MRIGAL
Mucopeptide,మ్యూకోపెప్టైడ్
Mucoprotein,మ్యూకోప్రొటీన్
Mucor,శ్లేష్మ
Mucosa associated lymphoid tissue,శ్లేష్మ సంబంధిత కణ కణజలం
Mucosa membrane,శ్లేష్మం పొర
Mucous gland,శ్లేష్మ గ్రంధి
Mucous membrane (mucosa),శ్లేష్మపొర
Muffling noise,మఫ్లింగ్ శబ్దం
Mullerian mimicry,ముల్లెరియన్ మిమిక్రీ
Multicellular organism,మల్టీసెల్యులర్ జీవి
Multicolour fluorescence,మల్టీకోలూర్ ఫ్లోరోసెన్స్
Multicostate,మల్టీకాస్టేట్
Multifission,మల్టీఫిషన్
Multiload - 375,మల్టీలోడ్ - 375
Multinucleate,మల్టీన్యూక్లియేట్
Multiovulatae terrestress,మల్టీయోవ్యులాటే భూభాగం
Multiovulate,మల్టీయోవ్యులేట్
Multiparasitism,మల్టీపారాసిటిస్
Multiparous,మల్టీపరస్
Multiparous,మల్టీపరస్
Multiple allele,బహుళ యుగ్మ వికల్పం
Multiple allelism,బహుళ అల్లెలిజం
Multiple fission,బహుళ విచ్ఛిత్తి
Multiple ovulation embryo transfer technique (MOET),బహుళ అండోత్సర్గము పిండం బదిలీ సాంకేతికత (MOET)
Multiplication,గుణకారం
Multiplicative growth,గుణకార పెరుగుదల
Multipolar nerve cell,మల్టీపోలార్ నరాల కణం
Multipolar neuron,మల్టీపోలార్ న్యూరాన్
Multipurpose instrument,బహుళార్ధసాధక పరికరం
Mumps,గవదబిళ్ళ
Murein,మురేన్
Musca domestica,మస్కా డొమెస్టికా
Muscidae,మస్సిడే
Muscle fibre,కండరాల ఫైబర్
Muscle relaxtion,కండరాల సడలింపు
Muscle tissue,కండరాల కణజాలం
Muscular,కండర
Muscular dystrophy,కండరాల బలహీనత
Muscular dystrophy,కండరాల బలహీనత
Muscular foot,కండరాల పాదం
Muscular movement,కండరాల ఉద్యమం
Muscular tension,కండరాల ఉద్రిక్తత
Muscularis,మస్కులారిస్
Muscularis extrema,మస్కులారిస్ ఎక్స్‌ట్రీమా
Musculature,కండరాల
Mushroom,పుట్టగొడుగు
Mussel,ముస్సెల్
Mutagen,ముటాజెన్
Mutant allele,ఉత్పరివర్తన యుగ్మ వికల్పం
Mutation,మ్యుటేషన్
Mutation breeding,మ్యుటేషన్ పెంపకం
Mutation theory,మ్యుటేషన్ సిద్ధాంతం
Mutualism,పరస్పరవాదం
Mutually beneficial,పరస్పర లాభదాయకం
Myasthenia gravis,మస్తెనియా గ్రావిస్
Mycelium,మైసిలియం
Mycobacterium,మైకోబాక్టీరియం
Mycobiont,మైకోబియోంట్
Mycoic acid,మైకోయిక్ ఆమ్లం
Mycoplasma,మైకోప్లాస్మా
Mycorrhiza,మైకోరిజా
Mycorrhizal,మైకోరైజల్
Myelencephalon,మైలెన్సెఫలాన్
Myelin sheath,మైలిన్ కోశం
Myilinated,మైలినేటెడ్
Myocardial fibre,మయోకార్డియల్ ఫైబర్
Myocardial infarction,మయోకార్డియల్ ఇన్ఫార్క్షన్
Myocardium,మయోకార్డియం
Myoepithelium,మైయోపీథీలియం
Myofibril,మైయోఫిబ్రిల్
Myogenic mechanism,మయోజెనిక్ విధానం
Myoglobin,మయోగ్లోబిన్
Myometrium,మయోమెట్రియం
Myosin,మైయోసిన్
Myristicaceae,మైరిస్టికేసి
Myrmecophily,Myrmecophily
Myxomycetes member,మైక్సోమైసెట్స్ సభ్యుడు
Metatarsus,మెటాటార్సస్
N-acetyl galactosamine,ఎన్-ఎసిటైల్ గెలాక్టోసమైన్
Naja,నాజా
Nanogram,నానోగ్రామ్
Naphthalene,నాఫ్తలీన్
Napiform root,నేపిఫార్మ్ రూట్
Naravelia,నారవేలియా
Narcotic,మాదకద్రవ్య
Nasal sac,నాసికా శాక్
Nasopharynx,నాసోఫారింక్స్
Nastic (nastism),నాగరికత
Nastic type,నాస్టిక్ రకం
Natality (birth rate),పుట్టిన రేటు
National AIDS Contral Organisation (NACO),నేషనల్ ఎయిడ్స్ కాంట్రాల్ ఆర్గనైజేషన్ (నాకో)
National park,జాతీయ ఉద్యానవనం
National seed corporation (NSC),నేషనల్ విత్తన సంస్థ
Native antigen,స్థానిక యాంటిజెన్
Native rock,స్థానిక రాక్
Native species,స్థానిక జాతులు
Natural affinity,సహజ అనుబంధం
Natural ageing,సహజ వృద్ధాప్యం
Natural extinction,సహజ విలుప్తత
Natural increase,సహజ పెరుగుదల
Natural killer cell,సహజ కిల్లర్ సెల్
Natural pacemaker,సహజ పేస్‌మేకర్
Natural pest control,సహజ తెగులు నియంత్రణ
Natural science,సహజ శాస్త్రం
Natural selection,సహజమైన ఎన్నిక
Natural world,సహజమైన ప్రపంచం
Natural zone,సహజ జోన్
Naturalist,ప్రకృతి శాస్త్రవేత్త
Nausea,వికారం
Neck,మెడ
Neck,మెడ
Necrosis,నెక్రోసిస్
Nectar sucking,తేనె పీల్చటం
Nectarifarous,నెక్టరీఫారస్
Nectary,నెక్టరీ
Nectary,నెక్టరీ
Necturus,నెక్టరస్
Negative (inhibition) interaction,ప్రతికూల (నిరోధం) పరస్పర చర్య
Negative feed back,వ్యతిరేకమైన ఫీడ్ బ్యాక్
Negatively charged,ప్రతికూలంగా ఛార్జ్ చేయబడింది
Nemathaleminthes,నెమథాలెమింత్స్
Nematode,నెమటోడ్
Neoplasm,నియోప్లాజమ్
Neoplasm,నియోప్లాజమ్
Nepenthaceae,నేపెంటాసి
Nepenthes,నేపెంటెస్
Nephridia,నెఫ్రిడియా
Nephridial canal,నెఫ్రెడియల్ కెనాల్
Nephridiopore,నెఫ్రోడియోపోర్
Nephron,నెఫ్రాన్
Nephrostome,నెఫ్రోస్టోమ్
Neptune's cup,నెప్ట్యూన్ కప్
Nerium,నెరియం
Nerve cell,నాడీ కణాలు
Nerve impulse,నరాల ప్రేరణ
Nerve ring,నరాల ఉంగరం
Nervous system,నాడీ వ్యవస్థ
Nesoderm,నెసోడెర్మ్
Nesseria gonorrhoea,నెస్సేరియా గోనేరియా
Net charge,నికర ఛార్జ్
Net primary productivity,నికర ప్రాధమిక ఉత్పాదకత
Net production efficiency,నికర ఉత్పత్తి సామర్థ్యం
Network species,నెట్‌వర్క్ జాతులు
Neural plate,న్యూరల్ ప్లేట్
Neurasthenia,న్యూరాస్తెనియా
Neurilemma,న్యూరిలెమ్మ
Neuro hypophysis,న్యూరో హైపోఫిసిస్
Neuroendocrine system,న్యూరోఎండోక్రిన్ వ్యవస్థ
Neuroepithelium,న్యూరోపీథీలియం
Neuroglia cell,న్యూరోగ్లియా సెల్
Neurohypophysis,న్యూరోహైపోఫిసిస్
Neuromuscular function,న్యూరోమస్కులర్ ఫంక్షన్
Neuron,న్యూరాన్
Neurophysin-protein bond,న్యూరోఫిసిన్-ప్రోటీన్ బాండ్
Neurospora,న్యూరోస్పోరా
Neurosurgeon,న్యూరో సర్జన్
Neurotic anxiety,న్యూరోటిక్ ఆందోళన
Neurotic individual,న్యూరోటిక్ వ్యక్తి
Neurotransmitter,న్యూరోట్రాన్స్మిటర్
Neurulation,నాడీ
Neutralisation,తటస్థీకరణ
Neutrophil,న్యూట్రోఫిల్
New systematics,కొత్త సిస్టమాటిక్స్
Niacin,నియాసిన్
Niche specialisation,సముచిత స్పెషలైజేషన్
Niche,సముచితం
Nicotinamide adenine,నికోటినామైడ్ అడెనిన్
Nicotine,నికోటిన్
Nicotinic acid,నికోటినిక్ ఆమ్లం
Nictitating membrane,నిక్టిటేటింగ్ పొర
Nigella,నిగెల్లా
Night flower,రాత్రి పువ్వు
Nile perch,నైలు పెర్చ్
Nissl body,నిస్ల్ బాడీ
Nissl's granule,నిస్ల్ యొక్క కణిక
Nitric oxide,నైట్రిక్ ఆక్సైడ్
Nitrification,నైట్రిఫికేషన్
Nitrifying bacterium,నైట్రిఫైయింగ్ బాక్టీరియం
Nitrocellulose,నైట్రోసెల్యులోజ్
Nitrobacter,నైట్రోబాక్టర్
Nitrococcus,నైట్రోకాకస్
Nitrogen assimilation,నత్రజని సమీకరణ
Nitrogen fixing actinomycetes,నత్రజని ఫిక్సింగ్ ఆక్టినోమైసెట్స్
Nitrogen reduction,నత్రజని తగ్గింపు
Nitrogenase,నత్రజని
Nitrogenous waste,నత్రజని వ్యర్థాలు
Nitrosomonas,నైట్రోసోమోనాస్
Noccardia,నోకార్డియా
Noctiluca,నోక్టిలుకా
Nod gene,నోడ్ జీన్
Node,నోడ్
Nodule,నాడ్యూల్
Noise barrier,శబ్దం అవరోధం
Noise pollution,శబ్ద కాలుష్యం
Nomenclature,నామకరణం
Non-allelic level,అల్లర్లు కాని స్థాయి
Non-aqueous phase,నాన్-సజల దశ
Non-biodegradable,నాన్-బయోడిగ్రేడబుల్
Non-chordate and chordate,నాన్-కార్డేట్ మరియు కార్డేట్
Non-competitive inhibition,పోటీ లేని నిరోధం
Non-cyclic photophosphorylation,నాన్-సైక్లిక్ ఫోటోఫాస్ఫోరైలేషన్
Non-cytoplasmic area,నాన్-సైటోప్లాస్మిక్ ప్రాంతం
Non-disjunction,నాన్-డిస్జక్షన్
Nonendospermic,నాన్‌ఎండోస్పెర్మిక్
Non-enzymatic glycosylation (glycation),నాన్-ఎంజైమాటిక్ గ్లైకోసైలేషన్
Non-flammable,ఆగ్ని వ్యాప్తి చేయని
Non-flowering plant,పుష్పించే మొక్క
Non-functional,నాన్-ఫంక్షనల్
Non-green,గ్రీన్ కానిది
Non-histone chromosomal protein,నాన్-హిస్టోన్ క్రోమోజోమల్ ప్రోటీన్
Non-histone protein,నాన్-హిస్టోన్ ప్రోటీన్
Non-leguminous plant,నాన్-లెగమినస్ ప్లాంట్
Non-lignified,లిగ్నిఫైడ్
Non-limiting light,పరిమితం కాని కాంతి
Non-living resources,జీవించని వనరులు
Non-medullated,Wored హించనిది
Non-motile form,మోటైల్ కాని రూపం
Non-motile spore,మోటైల్ కాని బీజాంశం
Non-myelinated,నాన్-మైలినేటెడ్
Non-native species,స్థానికేతర జాతులు
Non-oxygenic,నాన్-ఆక్సిజెనిక్
Non-photosynthetic fungi,నాన్-ఫోటోసింథటిక్ శిలీంధ్రాలు
Non-point source,నాన్-పాయింట్ మూలం
Non-polar tail,ధ్రువ రహిత తోక
Non-quantitative observation,క్వాంటిటేటివ్ పరిశీలన
Non-reciprocal translocation,నాన్-రెసిప్రోకల్ ట్రాన్స్‌లోకేషన్
Non-reducing sugar,తగ్గించని చక్కెర
Non-sense RNA,నాన్-సెన్స్ RNA
Non-toxic,నాన్ టాక్సిక్
Non-venomous,విషం లేని
Non-vertebrate chordate,నాన్-టైబ్రేట్ కార్డేట్
Non-wood forest product,కలప కాని అటవీ ఉత్పత్తి
Noradrenaline,నోరాడ్రినలిన్
Noradrenalinergic,నోరాడ్రెనలినెర్జిక్
Nose piece,ముక్కు ముక్క
Nostoc,నోస్టాక్
Notochord,నోటోకార్డ్
Nourishment,పోషణ
Nucellus,న్యూసెల్లస్
Nuclear envelope,అణు ధార్మిక కవచం
Nuclear magnetic resonance,అణు అయస్కాంత ప్రతిధ్వని
Nuclear membrane,అణు పొర
Nuclear plant,అణు కర్మాగారం
Nucleic paid,న్యూక్లియిక్ చెల్లించారు
Nucleoid,న్యూక్లియోయిడ్
Nucleolar organizer,న్యూక్లియోలార్ ఆర్గనైజర్
Nucleolus,న్యూక్లియోలస్
Nucleoplasm,న్యూక్లియోప్లాజమ్
Nucleopolyhedrovirus,న్యూక్లియోపోలైహెడ్రోవైరస్
Nucleoside,న్యూక్లియోసైడ్
Nucleosome,న్యూక్లియోజోమ్
Nucleotide,న్యూక్లియోటైడ్
Nucleus,న్యూక్లియస్
Nudiflorae,నుడిఫ్లోరా
Nullifying,రద్దు చేయడం
Nullisomic,నల్లిసోమిక్
Numbat (anteater),నంబిక
Numbness of limbs,అవయవాల తిమ్మిరి
Numerical aperture (NA),ప్రసారం
Numerical taxonomy,సంఖ్యా వర్గీకరణ
Nuptial pad,వివాహ ప్యాడ్
Nut fleshy,గింజ కండరాలు
Nut,గింజ
Nutrient,పోషకం
Nutrient cycling,పోషక సైక్లింగ్
Nutrient immobilisation,పోషక స్థిరీకరణ
Nutrient poor,పోషక పేదలు
Nutrient solution,పోషక ద్రావణం
Nutrition,పోషణ
Nutritional quality,పోషక నాణ్యత
Nutritious,పోషకమైనది
Nutritive tissue,పోషక కణజాలం
Nutritive value,పోషక విలువ
Nux vomica,నక్స్ వోమికా
Nyctinasty,నైక్టినాస్టీ
Nymph,వనదేవత
Nymphaea,నిమ్ఫేయా
Oak,ఓక్
Obelia,ఒబెలియా
Objective,లక్ష్యం
Objective lens,ఆబ్జెక్టివ్ లెన్స్
Obligate parasite,పరాన్నజీవిని తొలగించండి
Oblique beam of light,కాంతి యొక్క వాలుగా ఉన్న పుంజం
Oblong,దీర్ఘచతురస్రాకార
Observation,పరిశీలన
Observatory,అబ్జర్వేటరీ
Obtuse,అబ్స్యూస్
Occipital condyle,ఆక్సిపిటల్ కండైల్
Occipital lobe,ఆక్సిపిటల్ లోబ్
Ocean animal,సముద్ర జంతువు
Ocean plant,ఓషన్ ప్లాంట్
Oceanic system,ఓషియానిక్ సిస్టమ్
Ocimum sanctum,ఓసిమమ్ గర్భగుడి
Octopus,ఆక్టోపస్
Ocular,ఓక్యులర్
Ocular lens,ఓక్యులర్ లెన్స్
Odourless,వాసన లేనిది
Oenothera lamarckiana,ఓనోథెరా లామార్కియానా
Oesophageal sphincter,ఓసోఫాగియల్ స్పింక్టర్
Oesophagous,ఓసోఫాగస్
Oestrus cycle,ఈస్ట్రస్ చక్రం
Offset,ఆఫ్‌సెట్
Offspring,సంతానం
Oil gland,చమురు గ్రంథి
Oil immersion objective,ఆయిల్ ఇమ్మర్షన్ ఆబ్జెక్టివ్
Oil spill,ఆయిల్ స్పిల్
Okazaki fragment,ఒకాజాకి భాగం
Olfactory bulb,ఘ్రాణ బల్బ్
Olfactory cortex,ఘ్రాణ కార్టెక్స్
Olfactory lobe,ఘ్రాణ లోబ్
Olfactory receptor,ఘ్రాణ గ్రాహక
Oligocene,ఒలిగోసిన్
Oligosaccharide,ఒలిగోసాకరైడ్
Oligosccharide chain,ఒలిగోస్కారిడ్ గొలుసు
Oligotrophic soil,ఓటియోట్రోఫిక్ నేల
Olocales,ఒలోకల్స్
Ommatidium,ఓమాటిడియం
Omnivore,సర్వశక్తులు
Omnivorous,సర్వశక్తులు
Oncogene,ఆంకోజీన్
Oncogenesis,ఆంకోజెనిసిస్
Oncogenic transformation,ఆంకోజెనిక్ పరివర్తన
One cistron one polypeptide,ఒక సిస్ట్రాన్ వన్ పాలీపెప్టైడ్
