ab initio,"आरंभत, प्रारंभापासून"
lock out,टाळेबंदी
locus standi,"सामाजिक स्थान, वैध स्थिति, अधिकृत स्थान"
lodging,"निवास, बिऱ्हाड"
log book,रोजवही
logic,"तर्क, युक्तिवाद"
logo,प्रतीक-चिह्‌न
long distance call,दूरस्थ-कॉल (संभाषा)
long hand,हस्तलेखन
lot,"संच, ढीग, नशीब, विपुलता"
low grade,निम्न श्रेणी
lower,"निम्न, खालचा, अवर"
lowest rate,न्यूनतमदर
loyal,"निष्‍ठ, निष्‍ठावंत, ईमानदार, विश्‍वासू"
lump sum,"ठोक रक्‍कम, एकरकम"
lumpsum grant,एकरकमी अनुदान
machinery,"यंत्रसामग्री, यंत्रणा, रचना"
machinery of government,शासनव्यवस्था
magazine,"शस्त्रागार, दारू-कोठार, मासपत्रिका, साप्‍ताहिक पत्रिका"
mailing list,"प्रेषण यादी, डाकसूचि"
maintain,"बाळगणे, ठेवणे, सांभाळणे, भागवणे, सुस्थितीत ठेवणे, प्रस्थापित करणे"
maintenance,"परिरक्षा, सुस्थितीत ठेवणे, पालन, निर्वाह"
major,1. सज्ञान 2. श्रेष्‍ठ3.सेनाधिकारी4.प्रतिज्ञा
major works,मोठे निर्माण कार्य
majority,"1. सज्ञानवयता 2. बहुमत, बहुसंख्या"
make up,"प्रसाधन, स्तंभरचना, पृष्‍ठबांधणी, स्वरूप"
maladjustment,"दुःसमायोजन, कुसमायोजन"
maladministration,कुप्रशासन
malafide,"असद्‌भावी, असद्‌भावपूर्वक, अप्रामाणिकपणे, दुष्टहेतूने"
malice,"द्वेष, मत्सर"
malpractice,"दुराचार, गैरमार्ग, गैरव्यवहार"
maltreatment,गैर वागवणूक
man-to-man ranking,व्यक्तिशःश्रेणीकरण
management,"व्यवस्था, व्यवस्थापन, व्यवस्थापक वर्ग, बंदोबस्त"
manager,व्यवस्थापक
mandate,"महादेश, परमाज्ञा, जनतादेश, वरिष्‍ठाची आज्ञा"
mandatory,1. महादेशक 2. अनिवार्य
mandays,श्रमदिन
manhours,श्रमतास
manifesto,जाहीरनामा
manipulation,"हातचलाखी, लबाडी"
manoeuvre,"डावपेच, युक्‍ती, हिकमत"
manpower,मनुष्‍यबळ
manual,"नियमपुस्‍तिका, हस्त, शरीर, हाताने केलेला"
manual labour,शारीरिक श्रम
manufacture,"निर्माण करणे, तयार करणे, उत्पादन करणे"
manufacturer,"यांत्रिक उत्पादक, निर्माणक, कारखानदार"
manuscript,"हस्तलिखित प्रत, हस्तलेख"
map,"नकाशा, बेत करणे"
margin,"समास, सीमा, माया, किफायत"
marginal,"सीमांतिक, समासात लिहिलेला"
marital status,वैवाहिकस्थिती
mark,"चिन्ह लावणे, खूण करणे, लक्ष देणे, लक्षात ठेवणे, गुण देणे"
marketing,"खरेदिविक्री, बाजार करणे, पणन"
marketing economy,बाजार अर्थव्यवस्था
marks obtained,"प्राप्‍तगुण, प्राप्‍तांक"
marksheet,गुणपत्रिका
mass,"रास, पुंज, समूह, द्रव्यमान, वस्तुमान, जनसमाज, व्यापक"
mass communication,जनसंसूचन
mass consumption,"जनोपयोग, व्यापक उपभोग"
mass immunization,व्यापक प्रतिरक्षण
mass media,"लोकसंचार माध्यम, जनसंचार माध्यम"
mass production,प्रचंड उत्पादन
master file,प्रधान फाईल
master of ceremonies,समारंभ अधिकारी
master plan,"बृहत योजना, मुख्य योजना"
matching grant,अनुरूप अनुदान
material,"1. सामान, साहित्य 2. भौतिक 3. विशेष"
maternity,मातृत्व
maternity leave,प्रसूति रजा
matriculate,मैट्रिक पास
matrimonial,"वैवाहिक, विवाह-विषयक"
mature,"1. परिपक्‍व होणे, परिणत होणे, परिपक्‍व, पोक्‍त2. सज्ञान"
maturity date,परिपक्वतादिनांक
maximum,"अधिकतम, कमाल, महत्तम"
means,"साधने, साधन"
measure,"माप, मोजने, अंदाज करणे"
measurement,"मापदंड, मोजमाप"
measures,"उपाय, उपाययोजना, मापे"
mechanic,"यांत्रिक, वीजतंत्री, यंत्रकारागीर, यंत्रज्ञ"
mechanical,"यांत्रिकी, यांत्रिक, यंत्र"
mechanism,"यंत्ररचना, कार्यतंत्र"
media,प्रसारमाध्यम
mediate,मध्यस्थता करणे
medical,"वैद्यकिय, वैद्यक"
medical benefit,वैद्यकिय लाभ
medical examination,वैद्यकीय तपासणी
medico-legal,न्यायवैद्यकीय
medium,"माध्यम, मध्यम"
meeting in camera,"गुप्‍तस्थळी बैठक, बंद खोलीत बैठक"
member,"1. सदस्य, सभासद 2. अवयव 3. व्यक्‍ति"
memo,"स्मरणपत्र, टाचण"
memorial,"स्मारक, विज्ञापन"
mental ability,मानसिक योग्यता
menu,"व्यंजन, मेनू"
merger,"विलीनीकरण, विलयन"
merit,"1. गुणवत्ता, योग्यता2. वर हक्क असणे"
merit list,योग्यता-क्रमसूची
merit scholarship,योग्यता-शिष्यवृत्ति
meritorious,"प्रशंसनीय, स्तुत्य"
merits,गुण
message,"संदेश, निरोप"
method,"पद्धति, विधि, प्रणाली"
methodology,"पद्धतिमीमांसा, पद्धति, कार्यप्रणाली"
metropolitan area,महानगर क्षेत्र
middle income group,"मध्यम मिळकत वर्ग, मध्यम उत्पन्न गट"
middleman,मध्यस्थ व्यक्ति
midwifery,प्रसूतिशास्त्र
migrant,"स्थलांतर करणारा, विस्थापित"
mileage,"मैल, अंतर"
militancy,"लढाऊपणा, लढाऊवृत्ति"
millennium,"सहस्‍त्रक, सहस्त्राब्दि, सुवर्णयुग"
miniature,"लघुचित्र, लघु प्रतिकृति"
minimum,"किमान मर्यादा, कमीत कमी"
mining,"खनिकर्म, खाणकाम, खनन"
ministerial,1. लिपिकवर्गीय 2. मंत्रालयीन 3. प्रशासकीय
ministry,मंत्रालय
minor,"लघु, गौण, किरकोळ"
minor works,लघु निर्माण कार्य
minority,"अवयस्कता, अल्पमत, अल्पसंख्या"
minutes,"कार्यवृत्त, टिप्पणी, सूक्ष्म"
misappropriation,"दुर्विनियोग करणे, अफरातफर"
misbehaviour,गैरवर्तन
miscarriage of justice,न्यायच्युती होणे
miscellaneous,"संकीर्ण, किरकोळ"
mischief,"अपकृत्य, अपाय, खोडी, नासधूस"
misclassification,चुकिचे वर्गिकरण
misconduct,गैरवर्तणूक करणे
mislead,दिशाभूल करणे
mismanagement,गैरव्यवस्थापन
misrepresentation,"विपर्यास, दुर्व्यषदेशन"
misstatement of facts,वस्तुस्थितीचे असत्कथन
misunderstanding,"गैरसमज, अपसमज"
misuse,"गैरवापर, दुरुपयोग"
mixed economy,मिश्रित अर्थव्यवस्था
mob,"झुंड, जमाव, दंगेखोरांचा जमाव, बेशिस्‍त लोकसमुदाय"
mobile,"फिरता, चल"
mobility,"चलता, चलनशीलता"
mode,"प्रकार, पद्धत, मार्ग"
model,"1. आदर्श 2. प्रतिमान, तयार करणे 3. नमुन्याचा"
moderator,नियामक
modification,1. रूपभेद 2. फेरबदल
modus operandi,कार्यपद्धति
monetary grant,आर्थिक अनुदान
money,"पैसा, धन, द्रव्य, मुद्रा, रक्‍कम"
monitor,"1. वर्गनायक, वर्गप्रमुख2.अनुश्रावक 3.वर्गप्रतिनिधी"
monogamy,"एकपत्‍नित्व, एकपतित्व"
monogram,"शिक्का, वैयक्तिक नावाचा शिक्का"
monopoly,"एकाधिकार, मक्तेदारी"
monotony,"वारंवारघडणारी, निरसता"
month to month,प्रतिमास
monthly tour diary,मासिक यात्रा नोंदवही
moral,"तात्पर्य, नैतिक"
moral turpitude,नैतिक अधोगति
morale,"नीति-धैर्य, मनोबल"
moratorium,पुढेढकण्याचाकायदेशीर अधिकार
mortality,मृत्युसंख्या
mortgage,"गहाण, खत"
most confidential,"अत्यंत गोपनीय, अत्यंत खाजगी, अति-गुप्त"
mother tongue,मातृभाषा
motion,"1. प्रस्ताव 2. गती3. समावेदन 4. ठराव, हालचाल"
motion study,"गतीअभ्यास, क्रिया अभ्यास, गतीअध्ययन"
motivation,प्रेरणा
motive,"निमित्त, हेतु"
motto,"ब्रीद, ब्रीदवाक्य, बोधपर वाक्य"
mouthpiece,"च्या वतीने बोलणारा, प्रवक्ता"
movable,"जंगम, चल"
move,"हालवणे, प्रचालित करणे, स्थलांतर करणे, हालवणे प्रस्ताव मांडणे"
movement,"1. हालचाल, स्थलांतर, ये-जा, स्पंदन, 2. चळवळ"
multifarious (duties),"बहुविध(कर्तव्य), नानाविध"
multipurpose,बहुउद्देशीय
municipal tax,नगरपालिका कर
museum,संग्रहालय
muster roll,"हजेरीपट, हजेरी-पत्रक, उपस्थिति-पत्रक"
mutation,"परिवर्तन, फेरफार, नोंदबदल"
mutatis mutandis,"योग्य ते बदल करून, योग्य त्या फेरफारांसह"
mutual understanding,व्यक्तिगत समज
name card,नाव कार्ड
narcotic,"मादक द्रव्य, आमली पदार्थ"
narrative apporaisal,संक्षिप्‍त विवरण पत्र
narrator,"वृत्तांत सांगणारा, आख्याता, कथाकथनकार"
nation,राष्‍ट्र
national,राष्‍‍ट्रीय
national language,राष्‍ट्रभाषा
national savings certificate,राष्‍ट्रीय बचतप्रमाण-पत्र
nationalism,"राष्‍ट्रवाद, राष्‍ट्रीयता"
nationality,"राष्‍ट्रीयता, राष्‍‌ट्रीयत्व, नागरिकता, नागरिक"
nationalization,राष्‍ट्रीयीकरण
native,"मूळचा रहिवाशी, स्थानिक, तद्‍देशीय"
natural,"नैसर्गिक, स्वाभाविक, अकृत्रिम"
naturalization,"नागरिकीकरण, स्वाभाविकीकरण"
naval force,नौ-सेना बल
navigable,"गलबती जहाज, गलबतयेण्याजाण्या जोगे"
navigation,"नौपरिवहन, नौकानयन, दिक्‌चालन"
nayes,नाही (नकाराचा पक्ष) नाकबुल
necessary action,आवश्यक कार्यवाही
needful,आवश्‍यक
negative,"1. नकारार्थी, नास्‍तिवाची 2. ऋण, व्यस्त"
neglect,"दुर्लक्ष करणे, हयगय करणे"
negligence,"निष्‍काळजीपणा, हयगय, दुर्लक्ष"
negligible,"उपेक्षणीय, क्षुल्लक"
negotiability,परकाम्यता
negotiable instrument,परकाम्य लेख
negotiation,वाटाघाटी
negotiator,मध्यस्थ
nepotism,"बंधुपक्षपात, रिश्‍तेबाजी"
net,"जाळे, जालक, जाळी"
net investment,रोखगुतंवणुक
neutral,"तटस्थ, प्रभावशून्य, उदासिनीकरण"
news,"वृत्त, बातमी"
news reader,"वृत्त वाचक, बातमी वाचणारा"
newsletter,बातमीपत्र
newspaper,वृत्तपत्र
next of kin,"निकटतम नातेवाईक, आप्‍त, नातलग"
night duty,रात्रपाळी
nil report,शुन्य अहवाल
no admission,"प्रवेश बंद, प्रवेश निषेध"
no demand certificate,ना मागणी प्रमाणपत्र
no objection certificate,ना हरकत प्रमाणपत्र
"no profit, no loss","ना नफा, ना तोटा"
no smoking,"धुम्रपान निषेध, धुम्रपान करण्याससक्तमनाई आहे"
nomenclature,"नाव, संज्ञा, संज्ञासूची, नाम-पद्धति"
nominal cost,"नाम मात्र परिव्यय, नाममात्र खर्च"
nominal value,"नाममात्र मूल्य, नाममात्र किंमत, नामित मूल्य"
nominate,नामनिर्देशित करणे
nomination,नामनिर्देशन
nominee,"नामनिर्देशित व्यक्‍ति, वारस"
non-age,अवयस्क
non-contributory,असहाय्यकारी
non-essential,"अनावश्‍यक, अवश्‍येत्तर"
non-gazetted,अराजपत्रित
non-interest bearing,व्याजरहित
non-judicial,अन्यायिक
non-ministrial,अलिपिकवर्गीक
non-negotiable,वाटाघाटीस अयोग्य
non-official,"बिन सरकारी, गैर-सरकारी"
non-payment,ना भरणा
non-payment certificate,ना भरणा प्रमाणपत्र
non-practising allowance,व्यवसाय रोधभत्ता
non-recurring expenditure,अनावर्ती खर्च
non-refundable,"विना परतावा, ना परतावा"
non-statutory,अवैधानिक
non-taxable income,कर रहितउत्पन्न
non-technical post,अतांत्रिक पद
non-traditional,अपारंपारिक
non-verbal communication,"अशाब्दिकसंप्रेषण, अशाब्दिक संवाद"
norm,प्रमाणक
normal,सामान्य
not applicable (N/A),लागू नाही
not available (N/A),अनुपलब्ध
not negotiable,परक्राम्य नाही
not negotiable instrument,अपरक्राम्यसामग्री
notable,"विशेष, विचारणीय"
note,"टीप, नोट, टिप्पणी"
notice,सूचना
noticeable,उल्लेखनीय
notification,अधिसूचना
notified area,अधिसूचित क्षेत्र
noting and drafting,"टिप्पणी आणिकच्चा मसुदा, टिप्पणी आणिप्रस्ताव"
notional pay,अंदाजेवेतन
nucleus,"केंद्र बिंदु, केंद्र"
null,"व्यर्थ, रद्‌द"
null and void,रद्‌दबातल
number,"संख्या, अंक, क्रमांक"
numbering,क्रमांकन
numeral,"अंक, संख्यांक, संख्यादर्शक"
oath,शपथ
oath of allegiance,"निष्‍ठेची शपथ, राजनिष्‍ठेची शपथ"
oath of office,पदग्रहणाची शपथ
obedience,"आज्ञापालन, पालन"
obituary,"मृत्युलेख, मृत्युची नोंद करणारा"
object,"1.आक्षेप घेणे, हरकत घेणे2.वस्तू3. उद्दिष्‍ट"
objection,"आक्षेप, हरकत"
objective,"वस्‍तुनिष्‍ठ, कर्मवाच्य"
objects and reasons,उद्दिष्‍टे व कारणे
obligatory,"आवश्‍यक, बंधनकारक"
obscene,अश्‍लील
obscene gesture,अश्‍लील वर्तन
observer,"निरीक्षण करणारा, वेध घेणारा"
obsolete,"अप्रचलित, लुप्‍तप्राय"
obstruction,"अडथळा, अडवणूक"
obvious,उघड
occasional,"प्रासंगिक, अधूनमधून, कधीकधी"
occupancy,"भोगवटा, वहिवाट"
occupant,"अधिवासी, राहणारा, भोगवटादार, वहिवाटदार"
occupation,"व्यवसाय, भोगवटा, ताबा"
occupy,"ताब्यात घेणे, व्यापणे, व्यग्र असणे"
octroi duty,जकात शुल्क
off day,सुट्‍टिचा दिवस
off duty,रिकामा दिवस
off the record,रेकॉर्ड च्या बाहेर
offensive,"चढाईचा, चढाईखोर, क्षोभक, घाण"
offer,"देऊ करणे, अर्पण करणे, प्रस्ताव करणे"
offer of appointment,"मनाजोगी नियुक्ती, नियुक्ति प्रस्ताव"
office,1. पद 2. कार्यालय
office of profit,लाभपद
official,"शासकीय, सरकारी, कार्यालयीन, पदीय"
official duty,"सरकारी कार्य, अधिकृत कार्य"
official language,राजभाषा
official report,कार्यालयीनअहवाल
official version,"सरकारी कथन, अधिकृत कथन"
officialdom,सर्व अधिकारी
officialese,कार्यालयीनभाषा
officially,अधिकृतपणे
officiating,स्थानापन्न
okay (O.K.; okey),"मंजुर असणे, मंजुरी देणे, अलिखित प्रमाण"
ombudsman,"लोकायुक्त, लोकपाल"
on account grant,लेखा अनुदान
on demand,च्या मागणीवर
on duty,"कर्तव्यार्थ, कामावर"
on line,"च्या धर्तिवर, लाईनवर"
on the job training,"कार्यांतर्गत प्रशिक्षण, कार्यगतशिबिर"
on-special duty,"विशिष्‍ट कार्यावर, विशेष कर्तव्यार्थ"
one sided,"एकांगी, एकतर्फी"
onus,"दायीत्व, कार्यभार, बोझा"
open day,कामाचादिवस
open learning,"मुक्त अर्जन, मुक्त अधिगम, दुरस्थ शिक्षण"
open letter,अनावृत पत्र
open system,खुली पद्धत
open university,मुक्त विद्यापीठ
opening,"1. उद्‌घाटन 2. छिद्र, द्वार3. मुख"
opening balance,"प्रारंभिक शिल्लक, शिल्लक"
opening hours,उघडण्याची वेळ
operating cost,लागत मूल्य
operating staff,कार्यकारी नौकर वर्ग
operation,"1. प्रवर्तन 2. चालवणे 3. कार्य, क्रिया, व्यवहार"
operative,1. परिणामकारक 2. प्रवर्ती 3. शस्त्रसाध्य
opinion,"मत, अभिप्राय"
opposition,1. विरोध 2. विरोधी पक्ष
option,"विकल्प, पर्याय"
oral,"1. तोंडी, मौखिक 2. मुख"
order,1. आदेश देणे 2. व्यवस्थालावणे 3. मागणी करणे
order cheque,नामजोगधनादेश
order of reservation,आरक्षण क्रम
ordinance,"अध्यादेश, वटहुकूम"
organization,1. संघटना 2. रचना
organization chart,संघटना तक्ता
organizer,"संघटक, व्यवस्थापक"
oriented,"अभिमुख, संरक्षणाभिमुख"
original,"1. मूळ, मूल, मौलिक2. मूळप्रत"
original department,मूळ विभाग
original sale deed,मूळ विक्री दस्तऐवज
ostensible owner,मूळ माल
out of court,न्यायालयाबाहेर
out of date,"1. कालबाह्‌य, कालविसंगत 2. जुनाट"
out of order,"बिघडलेला, नादुरूस्त"
out of print,"उपलब्ध नसलेला, अनुपलब्ध"
out of turn,क्रमबाह्य नियत
out of turn allotment,क्रमबाहय नियत वाटप
outbreak,उद्रेक
outfit allowance,साहित्य सामग्री भत्ता
outgoing file,जावक फाइल
outgoing member,मावळता सदस्य
outlay,"खर्च, व्यय"
outlet,"निर्गममार्ग, वाट"
outline,"आराखडा, आराखडा तयार करणे, रुपरेखा"
outlook,"1.दृष्‍टिकोन2.रागरंग, पुढिल देखावा"
outpost,सीमा छावणी
output,"निपज, उत्पादन, तयार माल"
outright purchase,एकमुश्तखरेदी
outsource,"बाह्य उगम, बाहय स्रोत"
outstanding,"बाकी, ऋण"
over age,"अतिरिक्त वय, जास्तीचे वय, वयाधिक"
over-rule,"नाकारणे, रदद करणे, नामंजूर करणे, अधिशून्य करणे"
overall,"सर्वसमावेशक, समग्र, संपूर्ण"
overall billing,"जास्तीचे बील बनवणे, सरासरी बिल"
overall deficit,"एकूण तोटा, एकूण नूकसान, तूट"
overcharge,अतिरिक्त भार
overdue,"1. थकलेला, थकित 2. वेळ टळलेला"
overestimate,1. अत्यधिक अंदाज करणे 2. अत्यधिक अंदाज 3. फाजील अंदाज
overhead charge,वरकड खर्च
overlapping,परस्परव्यापी
overriding priority,अभिभावी प्राथमीकता
oversight,"नजरचूक, चूक"
overtime pay,"अतीकालीक भत्ता वेतन, ओवर टाईम वेतन"
overvaluation,व्यतीरिक्त मूल्यांकन
ownership,"स्वामित्व, मालकी"
package,"पुडका, गठ्ठा"
package deal,सरसकट देवघेव
packing and marking,बांधणेव चिन्हितकरणे
packing list,"पैंकींग सूची, संवेष्ठन यादी"
pact,"करार, संधि, संकेत"
paid,"1. वेतनी, पगारी 2. चुकता, चुकता केलेला"
paid up capital,भरणा झालेले भांडवल
pamphlet,"पत्रक, पुस्तिका"
panel,1. नामिका 2. कमननामिका 3. तावदान
paper,"1. कागद 2. वृत्तपत्र 3. प्रश्‍नपत्रिका, निबंध"
par excellence,"सर्वोत्तम, सर्वोत्कृष्‍ट"
par value,सममूल्य
para,अनुच्छेद
paramount,"1. परमोच्च, सार्वभौम 2. सर्वश्रेष्‍ठ"
parent,"मातपितरे, आईवडिल, मूळ"
parent office,"मूळ कार्यालय, पैतृक कार्यालय"
parental,पैतृक
pari passu,"समानतया, एकसमयावच्छेदेकरून, एकसमयेकरून, बरोबरच"
parity,"तुल्यता, साम्य, बरोबरी"
parliament,"संसद, लोकसभा"
part,"भाग, अंश"
part file,"भागफाईल, खंड फार्दल"
part payment,आंशिक भरणा
part-time,अंशकालिक
partial,"थोडा, आंशिक, पक्षपाती"
participate,"भाग घेणे, वाटा उचलणे"
particular,"विशिष्‍ट, विशेष, खास, विशेष आस्था असलेला"
particulars,तपशील
partition,"विभाजन, वाटणी, फाळणी"
partner,"भागीदार, साथीदार"
partnership deed,भागीदारी दस्तऐवज
party,सत्तारूढ पक्ष
pass,"पास करणे, पास होणे, पार करणे, पार होणे, संमत करणे"
passage,"मार्ग, जाणे, प्रवास, मंजुरी, पास होणे"
password,"पारपत्र, गुप्त नंबर, खूणेचा शब्द"
patent,"1. व्यक्‍त, उघड 2. प्रकट"
patron,आश्रयदाता
pay,1. वेतन देणे 2. पैसे देणे 3. पैसे भरणे
pay bill,वेतन बिल
pay certificate,वेतन प्रमाणपत्र
pay day,वेतन दिन
pay off,"लाच, पूर्ण प्रदान, फेडी करणे, देऊनटाकणे"
pay order,प्रदानादेश
pay roll,"वेतनपट, वेतनपत्रक"
pay scale,वेतनमान
payee,"आदाता, पैसे घेणारा"
payer,"देणारा, पैसे देणारा"
payment,"भरणा, भरणे, भरणा करणे, प्रदान, देणे, चुकता करणे"
pecuniary,"आर्थिक, द्रव्य, धनविषयक, पैशाचा"
pen down strike,"लेखणी संप, बैठा संप"
penal,"शिक्षार्थ, दंडनीय"
penal code,दंड संहिता
penal interest,"शिक्षार्थ व्याज, अनिर्णित्त"
penalize,"दण्डार्ह, दंडास पात्र"
penalty,"दंड, अर्थ दंड, सजा, जुर्माना"
pending,"प्रलंबित, साचलेला"
pension,निवृत्तिवेतन
pension scheme,सेवानिवृत्तीयोजना
pensionable,"निवृत्तिवेतनी, निवृत्तिवेतनार्थ"
pensioner,निवृत्तिवेतनधारी
per annum,"प्रतिवर्षी, दर साल"
per bearer,घेवून येणाऱ्याबरोबर
per capita (=per head),"दरडोई, दर माणशी"
per mensem,दरमहा
percent,"दर शेकडा, प्रतिशत, -टक्के"
perennial,1. बारमाही 2. बहुवर्षजीवी
perform,"पालन करणे, पार पाडणे, तडिस नेणे"
performance,"पालन, संपादणूक, काम, कार्य"
period,"कालावधि, तास, कालखंड"
period under review,अवलोकनाधीन वेळ
periodical,नियतकालिक
perjury,खोटी साक्ष
perks,"वेतनेतरसुविधा, परिलब्धि, परिलाभ, वेतनेतर प्राप्ती"
permanent,"कायम, स्थायी"
permissible,"अनुज्ञेय, क्षम्य"
permission,"अनुज्ञा, परवानगी, संमती"
permit,"परवाना, परवानगी देणे, अनुज्ञा देणे"
permitted,"अनुज्ञात, मान्य"
perpetual,"अखंड, शाश्‍वत, चिरस्थायी"
perpetuity,"शाश्‍वतता, नित्यता"
perquisites (=perks),"परिलब्धि, वेतनेतर"
persona non grata,"अनभिमत व्यक्‍ति, मर्जीतून उतरलेली व्यक्‍ति"
personal,"स्वीय, वैयक्‍तिक, व्यक्‍तिविषयक"
personal assets,"स्वीय सामग्री, वैयक्तिक साहित्य"
personal bond,वैयक्तिक अनुबंध
personality,"व्यक्‍तिमत्व, व्यक्‍तित्व"
personnel,"कर्मचारी वर्ग, कामगार वर्ग, श्रमिक"
personnel policy,"कामगार नीति, श्रमीक नीति"
perspective,"परिप्रेक्ष्य, दृश्य"
persuasion,"पंथ, संप्रदाय, मन वळवणे"
pertinent,प्रसंगानुरूप
perusal,"लक्षपूर्वक वाचन, अवलोकन"
petition,"विनंतीअर्ज, लेखी विनंती अर्ज"
petitioner,विनंतीअर्जदार
phase,"टप्पा, अवस्था, कला"
photograph,"छायाचित्र, फोटो"
photostat,"लेखछायाचित्रक, लेखछायचित्र, छायांकितप्रति"
physical checking,प्रत्यक्ष तपासणी
physical defect,शारीरिक दोष
physical education,शारिरीकशिक्षण
physical verification,प्रत्यक्ष पडताळणी
physically handicapped,"अधू, शारिरीक विकलांग"
piece rate,"कंत्राटी दर, उक्त्या कामाचा दर"
piecemeal,"खंडित, तुकडे-तुकडे, खंडशः"
pilgrim,यात्रेकरू
pilot programme,पथदर्शककार्यक्रम
PIN (postal index number),"पीन नंबर, व्यक्तिगत ओळख संख्या"
place of birth,जन्मस्थान
place of work,कार्यस्थळ
placement service,रोजगार सेवा
plaintiff,"वादी, फिर्यादी"
plan,"योजना, मानचित्र, नकाशा"
planning,नियोजन
plant,"रोप, वनस्पति, संयंत्र"
player,खेळाडू
plea,"युक्‍तिवाद, प्रतिकथन, सबब"
Pleader,वकील
plebiscite,सार्वमत
pledge,"तारणे, वचनबद्ध, शपथ"
plenary session,समारोप सत्र
plenipotentiary,पूर्णाधिकारी
plinth area,"पायाक्षेत्र, पायाक्षेत्रफळ, पायामाप"
policy,"धोरण, विमापत्र, करारनामा"
political,राजकीय
political activity,राजकीय कार्यकलाप
poll,मतदान
pollution,प्रदुषण
pool,"संचय, संकोष, डबके"
portfolio (of a minister),"विभाग, मंत्र्याचे खाते"
position,"स्थान, दर्जा, स्थिति"
positive,"सकारात्मक, प्रत्याक्षानुसारी, प्रत्यक्ष, ठाम, निश्‍चित, साक्षात, भावरूप"
post,1. पद 2. जागा 3. खांब4. टपाल
post mortem examination,"शवपरीक्षा, शवपरीक्षण"
post-dated,"उत्तरदिनांकित, पुढिल तारखेचा"
post-facto sanction,कार्योत्तर मंजुरी
post-graduate,स्नातकोत्तर
posthumous,"मरणोत्तर, मरणोत्तरजात"
posting,"प्रेषण, पदस्थापन, खातेनोंद"
postpone,पूढे ढकलणे
postscript (P.S.),"पश्‍चलेख, ताजा कलम"
power,1.शक्‍ति 2. वीज 3. सत्ता
power of attorney,मुख्तीयारनामा
practicable,व्यवहार्य
practice,"प्रथा, रिवाज, प्रायोगिक अभ्यास, सराव"
pre-audit,पूर्वलेखापरीक्षा
pre-planned,"पूर्व-नियोजित, पूर्वयोजीत"
pre-receipted bill,पावती सहीत बील
precaution,सावधगिरी
precedent,"पूर्वोदाहरण, पूर्वदाखला, पूर्ववर्ती"
precis,"गोषवारा, सांराश"
precise,"नेमका, तंतोतंत, टाप-टिपीचा, रेखीव"
preclude,"1. अवरोधन करणे 2. बगळणे, प्रतिबंध करणे"
preconception,पूर्वकल्पना
predecessor,"पूर्वज, पूर्वाधिकारी"
predominant,"वर्चस्वी, वर्चस्व असणारा, प्रधान"
preface,"उपोद्‌घात, प्रस्तावना"
prefer,"दाखल करणे, पुढे ठेवणे, अधिमानणे, अधिक पसंत करणे"
preferential purchase,"पसंतीची खरेदी, प्राधान्यखरेदी"
prejudice,"पूर्वग्रह, बाध"
preliminary,"प्रारंभिक, पूर्व, प्रास्ताविक"
premature,"मुदतपूर्व, कालपूर्व, अकाली, अकालिक"
premises,1. जागा 2. पूर्वभाग
premium,"हप्ता, ज्यादा रक्कम"
prepaid,"प्रीपेड, पूर्वदत्त"
prepaid card,"प्रीपेड कार्ड, पूर्वदत्त कार्ड"
prepone,मागे घेणे
prerogative,"विशेषाधिकार, विशेष हक्क"
prescribe,"नियम घालुन देणे, ठरवणे, निश्‍चित करणे"
prescribed,"ठराविक, निश्‍चित"
prescribed form,"ठराविक प्रपत्र, विहित नमुना"
presentation,प्रस्तुतीकरण
preside,"अध्यक्षपद स्वीकारणे, अध्यक्ष होणे"
president,1. राष्‍ट्रपति 2. अध्यक्ष
press,"दडपण आणणे, दाबणे, जोरदारपणे मांडणे, मुद्रणालय"
press copy,मुद्रण प्रत
press gallery,"पत्रकारस्थान, कायदेमंडळात हजर असलेले वृत्तपत्रकार"
presumed,"गृहीतधरलेलेणकल्पित, मर्यादातिक्रम करणे"
presumptive pay,संभाव्य वेतन
presupposed,पूर्वकल्पना करणे
pretext,"बहाणा, निमित्त"
prevail,"अभिभावी होणे, चालू असणे, विजयी होणे"
prevent,प्रतिबंध करणे
prevention,प्रतिबंध
preventive,"प्रतिबंधक, निवारक"
price fluctuation (=price movements),"किंमत चढ़-उतार, मूल्य घट-वाढ़"
pricing,मूल्य निर्धारण
prima facie,प्रथमदर्शनी
primarily,"मुख्यतः, आद्यतः, प्रथमतः"
primary,"प्राथमिक, मूळ"
primary receipt,मूळ पावती
principal,"प्रमुख, प्राचार्य, मुख्याध्यापक"
principal debtor,मुख्य ऋणको
printer,मुद्रक
printing,"मुद्रण, छपाई"
prior indication,मूळखूण
priority grading,प्रथम संरक्षण
prison,कारागृह
prisoner,"कैदी, बंदीवान"
privacy,"एकांत, गोपनीयता"
private and confidential,खाजगी व गुप्‍त
privilege,विशेषाधिकार
privilege committee,विशेषाधिकार समिती
prize,"बक्षीस, पारितोषिक, किंमत"
pro-rata,"हिस्सेदार, भागीदार"
pro-rata quota,भागीदारी कोटा
probability,संभवनीयता
probate,मृत्युपत्र प्रमाण
probation,परि-वीक्षा काल
probationary,परिविक्षाविषयक
probationer,परिवीक्षाधीन
probe,"बारीक तपासणी, सूक्ष्म तपासणी"
procedural rules,"कार्य-पद्धती नियम, प्रक्रियात्मक नियम"
