Marathi,Punjabi
j रेकॉर्डर,j ਰਿਕਾਰਡਰ
स्त्री पुरुष संबंध,ਕੁੜੀ ਆਦਮੀ ਦਾ ਰਿਸ਼ਤਾ
गेमहो,ਗੇਮਹੋ
सामान्य पोर्ट्रेट,ਆਮ ਪੋਰਟਰੇਟ
व्यापक उद्देश संगणक,ਵਿਆਪਕ ਮਕਸਦ ਕੰਪਿਊਟਰ
सामान्य वापर रडार,ਆਮ ਵਰਤੋਂ ਵਾਲੇ ਰਾਡਾਰ
सामान्य सापेक्ष घसरण,ਆਮ ਰਿਸ਼ਤੇਦਾਰ ਗਿਰਾਵਟ
सर्वसमावेशक दिनचर्या,ਵਿਆਪਕ ਰੁਟੀਨ
"व्यापक सापेक्षतावाद, सापेक्षतेचा व्यापक सिद्धांत","ਵਿਆਪਕ ਸਾਪੇਖਵਾਦ, ਸਾਪੇਖਤਾ ਦਾ ਵਿਆਪਕ ਸਿਧਾਂਤ"
सामान्यीकरण,ਸਧਾਰਣਕਰਨ
सामान्य,ਜਨਰਲਾਈਜ਼ਡ
विस्तृत वर्तमान घनता,ਵਿਆਪਕ ਮੌਜੂਦਾ ਘਣਤਾ
सामान्यीकृत ट्रॅक्शन पोल,ਸਧਾਰਣ ਟ੍ਰੈਕਸ਼ਨ ਪੋਲ
सार्वत्रिक ऊर्जा,ਯੂਨੀਵਰਸਲ ਊਰਜਾ
सामान्यीकृत अभिव्यक्ती,ਆਮ ਸਮੀਕਰਨ
सामान्यीकृत शक्ती,ਆਮ ਬਲ
सामान्यीकृत आकृती,ਸਧਾਰਣ ਚਿੱਤਰ
सामान्यीकृत हुकचा नियम,ਜਨਰਲਾਈਜ਼ਡ ਹੁੱਕ ਦਾ ਨਿਯਮ
व्यापक सुप्त उष्णता,ਵਿਆਪਕ ਗੁਪਤ ਗਰਮੀ
सामान्यीकृत भार,ਆਮ ਲੋਡ
सामान्यीकृत गती,ਆਮ ਗਤੀ
सामान्यीकृत ओमचा कायदा,ਆਮ ਤੌਰ &#39;ਤੇ ਓਮ ਦਾ ਕਾਨੂੰਨ
Cowte चे सामान्यीकृत सपाट प्रवाह,Cowte ਦਾ ਵਿਆਪਕ ਫਲੈਟ ਵਹਾਅ
सामान्यीकृत विमान ताण,ਸਧਾਰਣ ਹਵਾਈ ਤਣਾਅ
विस्तृत क्षमता,ਵਿਆਪਕ ਸੰਭਾਵਨਾ
सर्वसमावेशक प्रतिसाद,ਵਿਆਪਕ ਜਵਾਬ
व्यापक कातरणे,ਵਿਆਪਕ ਸ਼ੀਅਰ
सामान्यीकृत विकृती,ਆਮ ਵਿਕਾਰ
सामान्यीकृत ताण,ਆਮ ਤਣਾਅ
सामान्यीकृत सर्किट सिद्धांत,ਆਮ ਸਰਕਟ ਥਿਊਰੀ
सामान्यीकृत वेग,ਸਧਾਰਣ ਗਤੀ
विस्तारित व्हॉल्यूम,ਫੈਲਾਇਆ ਵਾਲੀਅਮ
सामान्यीकृत कार्य,ਆਮ ਫੰਕਸ਼ਨ
सामान्यीकृत ट्रान्समिशन फंक्शन,ਆਮ ਪ੍ਰਸਾਰਣ ਫੰਕਸ਼ਨ
त्रुटी निर्माण झाली,ਗਲਤੀ ਤਿਆਰ ਕੀਤੀ ਗਈ
मूळ घटक,ਮੂਲ ਤੱਤ
पालक कार्य,ਮਾਪੇ ਫੰਕਸ਼ਨ
मूळ ओळ,ਮੂਲ ਲਾਈਨ
पालक मॅग्नेटोमीटर,ਮੂਲ ਮੈਗਨੇਟੋਮੀਟਰ
पालक दिनचर्या,ਮਾਪੇ ਰੁਟੀਨ
पालक सेट,ਮਾਤਾ-ਪਿਤਾ ਸੈੱਟ
कॅपेसिटर मॉड्यूलेटेड व्होल्टमीटर,ਕੈਪੇਸੀਟਰ ਮੋਡਿਊਲੇਟਿਡ ਵੋਲਟਮੀਟਰ
जंतू केंद्रक,ਜਰਮ ਨਿਊਕਲੀਅਸ
प्रजनन कर,ਪ੍ਰਜਨਨ ਟੈਕਸ
पुनरुत्पादक वय,ਪ੍ਰਜਨਨ ਦੀ ਉਮਰ
"पालक, जनरेटर","ਮਾਤਾ-ਪਿਤਾ, ਜਨਰੇਟਰ"
पालकांचा प्रतिकार,ਮਾਤਾ-ਪਿਤਾ ਦਾ ਵਿਰੋਧ
व्यापक संज्ञा,ਵਿਆਪਕ ਮਿਆਦ
"कुळ-नाव, वर्ग-नाव, जात-नाव","ਕਬੀਲੇ-ਨਾਮ, ਵਰਗ-ਨਾਮ, ਜਾਤੀ-ਨਾਮ"
वांशिकदृष्ट्या,ਨਸਲੀ ਤੌਰ &#39;ਤੇ
लोकसंख्या प्रभाव,ਆਬਾਦੀ ਪ੍ਰਭਾਵ
भू ध्वनीशास्त्र,ਭੂ ਧੁਨੀ ਵਿਗਿਆਨ
भूकेंद्रित रेखांश,ਭੂ-ਕੇਂਦਰੀ ਲੰਬਕਾਰ
"geocentric, geocentric","geocentric, geocentric"
भूकेंद्री आकर्षण,ਭੂ-ਕੇਂਦਰੀ ਆਕਰਸ਼ਣ
भूकेंद्रित अक्षीय द्विध्रुव,ਭੂ-ਕੇਂਦਰੀ ਧੁਰੀ ਡਾਈਪੋਲ
भूकेंद्रित खगोलशास्त्र,ਭੂ-ਕੇਂਦਰੀ ਖਗੋਲ ਵਿਗਿਆਨ
भूकेंद्रित समन्वय,ਭੂ-ਕੇਂਦਰਿਤ ਕੋਆਰਡੀਨੇਟਸ
भूकेंद्रित अंतर,ਭੂ-ਕੇਂਦਰੀ ਦੂਰੀ
भूकेंद्रीय प्रणाली,ਭੂ-ਕੇਂਦਰੀ ਸਿਸਟਮ
भूकेंद्रित अक्षांश,ਭੂ-ਕੇਂਦਰੀ ਵਿਥਕਾਰ
भूकेंद्रित गती,ਭੂ-ਕੇਂਦਰੀ ਗਤੀ
macrocentral parallax,macrocentral parallax
भूकेंद्रित स्थिती,ਭੂ-ਕੇਂਦਰਿਤ ਸਥਿਤੀ
भूकेंद्रित प्रणाली,ਭੂ-ਕੇਂਦਰੀ ਸਿਸਟਮ
भूकेंद्रित वेग,ਭੂ-ਕੇਂਦਰੀ ਵੇਗ
भूकेंद्री लंब,ਭੂ-ਕੇਂਦਰੀ ਲੰਬਵਤ
भूकेंद्री शिरोबिंदू,ਭੂ-ਕੇਂਦਰੀ ਸਿਖਰ
"पर्यायी, जिओडेसिक","ਵਿਕਲਪਿਕ, ਜੀਓਡੈਸਿਕ"
मधूनमधून पूर्ण करणे,ਰੁਕ-ਰੁਕ ਕੇ ਮੁਕੰਮਲ ਹੋਣਾ
पर्यायी समन्वय,ਵਿਕਲਪਕ ਧੁਰੇ
मधूनमधून अपूर्णता,ਰੁਕ-ਰੁਕ ਕੇ ਅਪੂਰਣਤਾ
पर्यायी गती,ਬਦਲਵੀਂ ਗਤੀ
समरूपता पृष्ठ,isomorphism ਸਫ਼ਾ
"समतापीय पृष्ठभाग, समतापीय पृष्ठभाग","isothermal ਸਤਹ, isothermal subsurface"
भूचुंबकीय,ਭੂ-ਚੁੰਬਕੀ
भूचुंबकीय क्रियाकलाप,ਭੂ-ਚੁੰਬਕੀ ਗਤੀਵਿਧੀ
भूचुंबकीय निर्देशांक,ਜਿਓਮੈਗਨੈਟਿਕ ਕੋਆਰਡੀਨੇਟਸ
भूचुंबकीय टर्मिनल,ਭੂ-ਚੁੰਬਕੀ ਟਰਮੀਨਲ
भूचुंबकीय द्विध्रुव,geomagnetic dipole
भूचुंबकीय अडथळा,ਭੂ-ਚੁੰਬਕੀ ਗੜਬੜ
भूचुंबकीय प्रभाव,ਭੂ-ਚੁੰਬਕੀ ਪ੍ਰਭਾਵ
भूचुंबकीय विषुववृत्त,ਭੂ-ਚੁੰਬਕੀ ਭੂਮੱਧ ਰੇਖਾ
भूचुंबकीय क्षेत्र,ਭੂ-ਚੁੰਬਕੀ ਖੇਤਰ
भूचुंबकीय अक्षांश,ਭੂ-ਚੁੰਬਕੀ ਵਿਥਕਾਰ
भूचुंबकीय रेखांश,ਭੂ-ਚੁੰਬਕੀ ਲੰਬਕਾਰ
भूचुंबकीय मेरिडियन,ਭੂ-ਚੁੰਬਕੀ ਮੈਰੀਡੀਅਨ
भूचुंबकीय ध्रुव,ਭੂ-ਚੁੰਬਕੀ ਧਰੁਵ
भूचुंबकीय पूर्वेक्षण,ਭੂ-ਚੁੰਬਕੀ ਸੰਭਾਵਨਾ
भूचुंबकीय उलट,ਭੂ-ਚੁੰਬਕੀ ਉਲਟਾ
भूचुंबकीय दीर्घकालीन भिन्नता,ਭੂ-ਚੁੰਬਕੀ ਲੰਮੀ ਮਿਆਦ ਦੀ ਪਰਿਵਰਤਨ
भूचुंबकीय वादळ,ਭੂ-ਚੁੰਬਕੀ ਤੂਫਾਨ
भूचुंबकीय वेळ,ਭੂ-ਚੁੰਬਕੀ ਸਮਾਂ
भूचुंबकीय भिन्नता,ਭੂ-ਚੁੰਬਕੀ ਵਿਭਿੰਨਤਾ
भूचुंबकत्व,geomagnetism
भौमितिक क्षीणन,ਜਿਓਮੈਟ੍ਰਿਕ ਧਿਆਨ
भौमितिक विकृती,ਜਿਓਮੈਟ੍ਰਿਕ ਵਿਗਾੜ
भौमितिक आयसोमर,ਜਿਓਮੈਟ੍ਰਿਕ ਆਈਸੋਮਰ
भौमितिक वस्तू,ਜਿਓਮੈਟ੍ਰਿਕ ਵਸਤੂ
भौमितिक प्रक्षेपण,ਜਿਓਮੈਟ੍ਰਿਕ ਪ੍ਰੋਜੈਕਸ਼ਨ
भौमितिक ध्वनीशास्त्र,ਜਿਓਮੈਟ੍ਰਿਕ ਧੁਨੀ ਵਿਗਿਆਨ
भौमितिक क्षमता,ਜਿਓਮੈਟ੍ਰਿਕ ਸਮਰੱਥਾ
"भौमितिक गुणांक, भौमितिक घटक","ਜਿਓਮੈਟ੍ਰਿਕ ਗੁਣਾਂਕ, ਜਿਓਮੈਟ੍ਰਿਕ ਫੈਕਟਰ"
खगोलीय क्षितीज,ਆਕਾਸ਼ੀ ਦੂਰੀ
भौमितिक घटना,ਜਿਓਮੈਟ੍ਰਿਕ ਘਟਨਾ
भौमितिक ऑप्टिक्स,ਜਿਓਮੈਟ੍ਰਿਕ ਆਪਟਿਕਸ
भौमितिक मार्ग,ਜਿਓਮੈਟ੍ਰਿਕ ਮਾਰਗ
भौमितिक खोली ध्वनीशास्त्र,ਜਿਓਮੈਟ੍ਰਿਕ ਰੂਮ ਧੁਨੀ ਵਿਗਿਆਨ
भौमितिक साधर्म्य,ਜਿਓਮੈਟ੍ਰਿਕ ਸਮਾਨਤਾ
"भूमिती, भूमिती","ਜਿਓਮੈਟਰੀ, ਰੇਖਾਗਣਿਤ"
जियान,ਜਿਆਨ
"जिओफोन, भूफोन","ਜੀਓਫੋਨ, ਭੂਫੋਨ"
भूभौतिक,ਭੂ-ਭੌਤਿਕ
भूभौतिक पूर्वेक्षण,ਭੂ-ਭੌਤਿਕ ਸੰਭਾਵਨਾ
भूभौतिक सर्वेक्षण,ਭੂ-ਭੌਤਿਕ ਸਰਵੇਖਣ
भूभौतिक साधने,ਭੂ-ਭੌਤਿਕ ਸੰਦ
भूभौतिकशास्त्रज्ञ,ਭੂ-ਭੌਤਿਕ ਵਿਗਿਆਨੀ
जिओफिजिक्स,ਭੂ-ਭੌਤਿਕ ਵਿਗਿਆਨ
पृथ्वीची संभाव्य उंची,ਧਰਤੀ ਸੰਭਾਵੀ ਉਚਾਈ
जिओडेटिक पृष्ठभाग,geodetic ਸਤਹ
पृथ्वी संभाव्य एकक,ਧਰਤੀ ਸੰਭਾਵੀ ਇਕਾਈ
भूमंडल,ਭੂਗੋਲ
भूवैज्ञानिक,ਭੂ-ਵਿਗਿਆਨਕ
समकालिक उपग्रह,ਸਮਕਾਲੀ ਸੈਟੇਲਾਈਟ
जिओडिफ्लेक्टर,geodeflector
जिओडेटिक अंदाजे,ਜੀਓਡੀਟਿਕ ਅਨੁਮਾਨ
जिओडेटिक कॅप्चर,geodetic ਕੈਪਚਰ
जिओडेसिक प्रवाह,geodesic ਮੌਜੂਦਾ
जिओडेटिक समीकरण,geodetic ਸਮੀਕਰਨ
भूगर्भीय संतुलन,ਭੂ-ਵਿਗਿਆਨਕ ਸੰਤੁਲਨ
जिओडेसिक प्रवाह,geodesic ਵਹਾਅ
भूऔष्णिक,ਭੂ-ਥਰਮਲ
भू-तापीय ग्रेडियंट,ਭੂ-ਥਰਮਲ ਗਰੇਡੀਐਂਟ
जिओथर्मोमीटर,ਜਿਓਥਰਮਾਮੀਟਰ
जिओथर्मोमेट्री,ਜਿਓਥਰਮਾਮੈਟਰੀ
जर्मन आर युनिट,ਜਰਮਨ ਆਰ ਯੂਨਿਟ
जर्मेनियम,ਜਰਮਨੀਅਮ
हलणारे दृश्य,ਚਲਦਾ ਸੀਨ
मिळवणारा,ਪ੍ਰਾਪਤ ਕਰਨ ਵਾਲਾ
विगासक,ਵਿਗਾਸਕ
विगासक,ਵਿਗਾਸਕ
विगासॅक आयन पंप,ਵਿਗਾਸੈਕ ਆਇਨ ਪੰਪ
"गॅटर प्लेक, गॅस्ट्रिक प्लेक","ਗੈਟਰ ਪਲੇਕ, ਗੈਸਟਰਿਕ ਪਲੇਕ"
"gateran, गॅस ग्रहण","gateran, ਗੈਸ ਗ੍ਰਹਿਣ"
Gav (गीगा इलेक्ट्रॉन व्होल्ट),Gav (ਗੀਗਾ ਇਲੈਕਟ੍ਰੋਨ ਵੋਲਟ)
क्षीण क्रिस्टल,ਮਾਮੂਲੀ ਕ੍ਰਿਸਟਲ
ट्राम लाइन,ਟਰਾਮ ਲਾਈਨ
फसवणूक मोड,ਧੋਖਾਧੜੀ ਮੋਡ
फसवणूक कण,ਧੋਖਾਧੜੀ ਦੇ ਕਣ
फसवणूक,ਧੋਖਾ
फसवणूक मूर्ती,ਧੋਖਾਧੜੀ ਦੀ ਮੂਰਤੀ
इच्छित प्रतिमा,ਲੋੜੀਦੀ ਤਸਵੀਰ
गायक-देबाई पद्धत,gyak-debai ਵਿਧੀ
गायक तापमान स्केल,ਗਾਇਕ ਤਾਪਮਾਨ ਦਾ ਪੈਮਾਨਾ
गिब्स,ਗਿਬਸ
अर्धा चंद्र,ਅੱਧਾ ਚੰਦ
गिब्स शोषण समीकरण,ਗਿਬਜ਼ ਸੋਸ਼ਣ ਸਮੀਕਰਨ
गिब्स शोषण इसोथर्म,ਗਿਬਜ਼ ਸੋਸ਼ਣ ਆਈਸੋਥਰਮ
गिब्स लवचिकता,ਗਿਬਜ਼ ਦੀ ਲਚਕੀਲਾਪਣ
गिब्स फंक्शन,ਗਿਬਸ ਫੰਕਸ਼ਨ
गिब्स हेल्महोल्ट्ज समीकरण,ਗਿਬਸ ਹੈਲਮਹੋਲਟਜ਼ ਸਮੀਕਰਨ
गिब्स फेज कायदा,ਗਿਬਸ ਪੜਾਅ ਕਾਨੂੰਨ
गिब्स पॉइंटिंग समीकरण,ਗਿਬਸ ਪੁਆਇੰਟਿੰਗ ਸਮੀਕਰਨ
गिब्स रेशो,ਗਿਬਸ ਅਨੁਪਾਤ
गिब्स कायदा,ਗਿਬਸ ਲਾਅ
गिब्स-डुहेम समीकरण,ਗਿਬਸ-ਡੂਹੇਮ ਸਮੀਕਰਨ
गिगा,ਗੀਗਾ
गिगा सायकल,ਗੀਗਾ ਚੱਕਰ
गिगा इलेक्ट्रॉन व्होल्ट,ਗੀਗਾ ਇਲੈਕਟ੍ਰੋਨ ਵੋਲਟ
गिगाहर्ट्झ,gigahertz
गिगावॅट,ਗੀਗਾਵਾਟ
हिग्ज बोसॉन,ਹਿਗਸ ਬੋਸੋਨ
गिगोम,gigom
गिल्बर्ट,ਗਿਲਬਰਟ
जिलेट,ਜਿਲੇਟ
"गिल, क्लोम, गिल अर्पट","ਗਿੱਲ, ਕਲੋਮ, ਗਿੱਲ ਅਰਪੱਟ"
"gimbal, अंगठ्या","gimbal, ਰਿੰਗ"
"द्विभाज्य मर्यादा, जिम्बल मर्यादा","ਦੋ-ਪੱਖੀ ਪਾਬੰਦੀ, ਜਿੰਬਲ ਪਾਬੰਦੀ"
gimbal चढाई,gimbal ਚੜ੍ਹਾਈ
जिम्बल मोटर,gimbal ਮੋਟਰ
नौटंकी,ਨੌਟੰਕੀ
काउंट-प्रेस्टन झोन,ਕਾਊਂਟ-ਪ੍ਰੈਸਟਨ ਜ਼ੋਨ
Ginzburg Landau Superconductivity Theory,Ginzburg Landau ਸੁਪਰਕੰਡਕਟੀਵਿਟੀ ਥਿਊਰੀ
गिन्झबर्ग लँडौ सिद्धांत,Ginzburg Landau ਥਿਊਰੀ
जॉर्जी प्रणाली,ਜਾਰਜੀ ਸਿਸਟਮ
गर्डलर नैसर्गिक वायू शुद्धीकरण प्रक्रिया,ਗਿਰਡਲਰ ਨੈਚੁਰਲ ਗੈਸ ਰਿਫਾਈਨਿੰਗ ਪ੍ਰਕਿਰਿਆ
सभोवतालचे गियर,ਆਲੇ-ਦੁਆਲੇ ਦੇ ਗੇਅਰ
ग्लॅडस्टोन डेल नियम,ਗਲੈਡਸਟੋਨ ਡੇਲ ਨਿਯਮ
मागे कोन,ਪਿੱਛੇ ਕੋਣ
उलट छेदनबिंदू,ਰਿਵਰਸ ਇੰਟਰਸੈਕਸ਼ਨ
"तीक्ष्णता, तेज","ਤਿੱਖਾਪਨ, ਚਮਕ"
ग्लास कॅलरीमीटर,ਗਲਾਸ ਕੈਲੋਰੀਮੀਟਰ
काचेचे इलेक्ट्रोड,ਕੱਚ ਇਲੈਕਟ੍ਰੋਡ
काचेचे विखंडन डिटेक्टर,ਕੱਚ ਦੇ ਟੁਕੜੇ ਡਿਟੈਕਟਰ
ग्लास लेसर,ਗਲਾਸ ਲੇਜ਼ਰ
ग्लास सील,ਕੱਚ ਦੀ ਮੋਹਰ
काचेचे स्विच,ਗਲਾਸ ਸਵਿੱਚ
काचेचे संक्रमण,ਕੱਚ ਦੀ ਤਬਦੀਲੀ
ग्लास ट्यूब बॅरोमीटर,ਗਲਾਸ ਟਿਊਬ ਬੈਰੋਮੀਟਰ
सच्छिद्र नसलेले चलन,ਗੈਰ-ਪੋਰਸ ਮੁਦਰਾ
काचेचे संक्रमण,ਕੱਚ ਦੀ ਤਬਦੀਲੀ
"शरणागती, आत्मसमर्पण","ਸਮਰਪਣ, ਸਮਰਪਣ"
रांगणे दिशा,ਘੁੰਮਣ ਦੀ ਦਿਸ਼ਾ
स्लाइडिंग लाइन,ਸਲਾਈਡਿੰਗ ਲਾਈਨ
रांगणे गती,ਘੁੰਮਣ ਦੀ ਗਤੀ
आत्मसमर्पण,ਸਮਰਪਣ
सरकणारा मार्ग,ਸਲਾਈਡਿੰਗ ਮਾਰਗ
रांगणे मार्ग कोन,ਕ੍ਰੀਪ ਮਾਰਗ ਕੋਣ
प्रसार मार्ग सुविधा,ਪ੍ਰਸਾਰ ਮਾਰਗ ਦੀ ਸਹੂਲਤ
रांगणे मार्ग सूचक,ਕ੍ਰੀਪ ਮਾਰਗ ਸੂਚਕ
रांगणे मार्ग लँडिंग पद्धत,ਕ੍ਰੀਪ ਪਾਥ ਲੈਂਡਿੰਗ ਵਿਧੀ
स्लिप पथ केंद्र,ਸਲਿੱਪ ਮਾਰਗ ਕੇਂਦਰ
रांगणे मार्ग ट्रान्समीटर,ਕ੍ਰੀਪ ਮਾਰਗ ਟ੍ਰਾਂਸਮੀਟਰ
सरकणारे विमान,ਸਲਾਈਡਿੰਗ ਜਹਾਜ਼
रांगणे प्रमाण,ਕ੍ਰੀਪ ਅਨੁਪਾਤ
साप प्रतिबिंब,ਸੱਪ ਪ੍ਰਤੀਬਿੰਬ
रांगणे कोन,ਕ੍ਰੀਪ ਕੋਣ
रांगणे मार्गक्रमण,ਕ੍ਰੀਪ ਟ੍ਰੈਜੈਕਟਰੀ
साप हस्तांतरण,ਸੱਪ ਦਾ ਤਬਾਦਲਾ
रांगणारा वाहक,ਕ੍ਰੀਪ ਕੈਰੀਅਰ
ग्लायडर,ਗਲਾਈਡਰ
"विस्परन (सं.), विस्परपी (वि.)","ਵਿਸਪਰਨ (ਐਡੀ.), ਵਿਸਪਰਪੀ (ਵੀ.)"
रांगणे कोन,ਕ੍ਰੀਪ ਕੋਣ
झगमगाट उड्डाण,ਚਮਕਦਾਰ ਉਡਾਣ
सरकता मजला,ਸਲਾਈਡਿੰਗ ਮੰਜ਼ਿਲ
"प्रसफुरान (सं.), प्रसफुरन (वि.)","ਪ੍ਰਸਫੁਰਨ (ਐਡੀ.), ਪ੍ਰਸਫੁਰਨ (ਵੀ.)"
चमक,ਚਮਕ
समर्पित,ਸਮਰਪਿਤ
रेक्सेटिव्ह दोष,ਪਿਛੇਤੀ ਨੁਕਸ
"चकाकी, शैलमाळवा","ਚਮਕੀਲਾ, ਸ਼ੈਲਮਾਲਵਾ"
सार्वत्रिक हायपरबोला,ਯੂਨੀਵਰਸਲ ਹਾਈਪਰਬੋਲਾ
फायरबॉल,ਅੱਗ ਦਾ ਗੋਲਾ
गोलाकार तारा क्लस्टर,ਗੋਲਾਕਾਰ ਤਾਰਾ ਸਮੂਹ
"globule, pundhani, globule","globule, pundhani, globule"
ग्लोब,ਗਲੋਬ
रंगश्री (ब्रोकन स्पेक्टर),ਰੰਗਾਸ਼੍ਰੀ (ਬ੍ਰੋਕਨ ਸਪੈਕਟਰ)
तुळई भोक,ਬੀਮ ਮੋਰੀ
"तेज, तेज, तेज","ਚਮਕ, ਚਮਕ, ਚਮਕ"
रेडिओमीटर,ਰੇਡੀਓਮੀਟਰ
चमकदार,ਚਮਕਦਾਰ
"हातमोजा बॉक्स, हातमोजा बॉक्स","ਦਸਤਾਨੇ ਬਾਕਸ, ਦਸਤਾਨੇ ਬਾਕਸ"
तेज,ਚਮਕ
तेजस्वी विसर्जन,ਚਮਕਦਾਰ ਇਮਰਸ਼ਨ
ब्रिलियंस विसर्जन व्होल्टेज रेग्युलेटर,ਬਰੀਲੈਂਸ ਇਮਰਸ਼ਨ ਵੋਲਟੇਜ ਰੈਗੂਲੇਟਰ
तप्त झाल्यावर प्रकाशमान होणारा दिवा,ਚਮਕਦਾਰ ਲੈਂਪ
स्पॅनल प्लग,ਸਪੈਂਗਲ ਪਲੱਗ
चमकदार क्षमता,ਚਮਕਦਾਰ ਸੰਭਾਵਨਾ
स्प्लेंडर हीट स्विच,ਸ਼ਾਨਦਾਰ ਗਰਮੀ ਸਵਿੱਚ
ग्लुग,ਗਲੂਗ
ग्लुऑन (कण),ਗਲੂਓਨ (ਕਣ)
हरभरा,ਗ੍ਰਾਮ
"GM Mathematics, Geiger Muller Mathematics","ਜੀਐਮ ਗਣਿਤ, ਗੀਗਰ ਮੂਲਰ ਗਣਿਤ"
"जमीन, भूत","ਜ਼ਮੀਨ, ਭੂਤ"
स्मृती प्रक्षेपण,ਮੈਮੋਨਿਕ ਪ੍ਰੋਜੈਕਸ਼ਨ
गाय (युनिट),ਗਊ (ਯੂਨਿਟ)
goydel जग,goydel ਸੰਸਾਰ
पृथ्वीची क्षमता,ਧਰਤੀ ਦੀ ਸੰਭਾਵਨਾ
भूभौतिक स्थिरांक,ਭੂ-ਭੌਤਿਕ ਸਥਿਰ
गोल सेल,ਗੋਲਾ ਸੈੱਲ
"सोने, सोने","ਸੋਨਾ, ਸੋਨਾ"
गोल्ड पेपर इलेक्ट्रोस्कोप,ਸੋਨੇ ਦੇ ਕਾਗਜ਼ ਇਲੈਕਟ੍ਰੋਸਕੋਪ
सोनेरी खूण,ਗੋਲਡਮਾਰਕ
सोन्याचे तापमान,ਸੋਨੇ ਦਾ ਤਾਪਮਾਨ
सोनेरी त्रिकोण,goldhaber ਤਿਕੋਣ
Goldschmidt नियम,goldschmidt ਨਿਯਮ
गोल्डस्टोन बोसॉन,ਗੋਲਡਸਟੋਨ ਬੋਸੋਨ
"vane-prongometer, goniometer","ਵੈਨ-ਪ੍ਰੋਂਗੋਮੀਟਰ, ਗੋਨੀਓਮੀਟਰ"
पँटोमोमीटर,ਪੈਂਟੋਮੋਮੀਟਰ
चांगला कंडक्टर,ਚੰਗਾ ਕੰਡਕਟਰ
सुक्रिस्टल,sucrystal
परिपूर्ण भौमितिक कॉन्फिगरेशन,ਸੰਪੂਰਣ ਜਿਓਮੈਟ੍ਰਿਕ ਸੰਰਚਨਾ
सर्वोत्तम प्रतिबिंब,ਵਧੀਆ ਪ੍ਰਤੀਬਿੰਬਤਾ
उत्कृष्ट दृश्यमानता,ਸ਼ਾਨਦਾਰ ਦਿੱਖ
जोडप्याकडे जा,ਜੋੜੇ ਨੂੰ ਜਾਓ
गती नियंत्रित करा,ਕੰਟਰੋਲ ਗਤੀ
नियामक,ਰੈਗੂਲੇਟਰ
नियंत्रण पोस्ट,ਕੰਟਰੋਲ ਪੋਸਟ
पृथ्वी संभाव्य एकक,ਧਰਤੀ ਸੰਭਾਵੀ ਇਕਾਈ
"धान्य, स्थूल, गुरुत्वाकर्षण, श्रेणी","ਅਨਾਜ, ਸਕਲ, ਗੰਭੀਰਤਾ, ਦਰਜਾ"
"श्रेणी, श्रेणी, श्रेणी, क्रम (सं.) श्रेणी","ਗ੍ਰੇਡ, ਰੈਂਕ, ਗ੍ਰੇਡ, ਆਰਡਰ (ਨੰਬਰ) ਗ੍ਰੇਡ"
"उतार, प्रतवारी, प्रतवारी, संतुलित","ਢਲਾਣ ਵਾਲਾ, ਦਰਜਾ ਦਿੱਤਾ ਗਿਆ, ਦਰਜਾ ਦਿੱਤਾ ਗਿਆ, ਸੰਤੁਲਿਤ"
सीरियल बेस ट्रान्झिस्टर,ਸੀਰੀਅਲ ਬੇਸ ਟਰਾਂਜ਼ਿਸਟਰ
अनुक्रमांक फिल्टर,ਸੀਰੀਅਲ ਫਿਲਟਰ
उतार इन्सुलेशन,sloped ਇਨਸੂਲੇਸ਼ਨ
सीरियल जंक्शन ट्रान्झिस्टर,ਸੀਰੀਅਲ ਜੰਕਸ਼ਨ ਟਰਾਂਜ਼ਿਸਟਰ
"उतार, ग्रेडियंट","ਢਲਾਨ, ਢਲਾਣ"
ग्रेडियंट कपलिंग,ਗਰੇਡੀਐਂਟ ਕਪਲਿੰਗ
"ग्रेडियंट हायड्रोफोन, ग्रेडियंट हायड्रोफोन","ਗਰੇਡੀਐਂਟ ਹਾਈਡਰੋਫੋਨ, ਗਰੇਡੀਐਂਟ ਹਾਈਡਰੋਫੋਨ"
ग्रेडियंट मायक्रोफोन,ਗਰੇਡੀਐਂਟ ਮਾਈਕ੍ਰੋਫੋਨ
ओळ उतार,ਲਾਈਨ ਢਲਾਨ
वेग ग्रेडियंट,ਵੇਗ ਗਰੇਡੀਐਂਟ
उतार वेग,ਢਲਾਨ ਦੀ ਗਤੀ
वारा निरीक्षण,ਨਿਗਰਾਨੀ ਹਵਾ
"ग्रेडिओमीटर, ग्रेडिओमीटर","ਗ੍ਰੈਡੀਓਮੀਟਰ, ਗ੍ਰੈਡੀਓਮੀਟਰ"
कॅलिब्रेटेड,ਕੈਲੀਬਰੇਟ ਕੀਤਾ
grits संख्या,grits ਨੰਬਰ
ग्रॅहम प्रसार कायदा,ਗ੍ਰਾਹਮ ਫੈਲਾਅ ਕਾਨੂੰਨ
ग्रॅहम पेंडुलम,ਗ੍ਰਾਹਮ ਪੈਂਡੂਲਮ
"धान्य, धान्य, धान्य, धान्य, रेणू, धान्य, कासे, लाकूड","ਅਨਾਜ, ਅਨਾਜ, ਅਨਾਜ, ਅਨਾਜ, ਰੇਣੂ, ਅਨਾਜ, ਲੇਵੇ, ਲੱਕੜ"
"दाना मर्यादा, रेणू मर्यादा","ਦਾਣਾ ਸੀਮਾ, ਰੇਣੁ ਸੀਮਾ"
