Bengali,Gujarati
লুপ পরিবর্তন,લૂપ ફેરફાર
লুপ নেটওয়ার্ক,લૂપ નેટવર્ક
লুপ শুরু,લૂપ શરૂઆત
লুপ সমাপ্তি,લૂપ સમાપ્તિ
লুপ-ব্যাক পরীক্ষা,લૂપ-બેક ટેસ્ટ
ঢিলেঢালাভাবে মিলিত,ઢીલી રીતે જોડાયેલી
ক্ষতিহীন কম্প্রেশন,લોસલેસ કમ્પ્રેશન
ক্ষতিকর কম্প্রেশন,નુકસાનકારક કમ્પ્રેશન
কম বাইট,ઓછી બાઈટ
নিম্ন স্তরের ভাষা,નિમ્ન સ્તરની ભાષા
কম পাস ফিল্টার,નીચા પાસ ફિલ્ટર
নিম্ন সীমা,ના જેટલું કે તેનાથી ઓછું
ম্যাক প্রোটোকল (মাঝারি অ্যাক্সেস নিয়ন্ত্রণ),મેક પ્રોટોકોલ (મધ્યમ ઍક્સેસ નિયંત્રણ)
মেশিন,મશીન
মেশিন ঠিকানা,મશીન સરનામું
মেশিন কোড,મશીન કોડ
মেশিন চক্র,મશીન ચક્ર
মেশিন নির্ভর ভাষা,મશીન આધારિત ભાષા
মেশিন নির্ভর সফটওয়্যার,મશીન આધારિત સોફ્ટવેર
মেশিন ত্রুটি,મશીનની ભૂલ
মেশিন অলস সময়,મશીન નિષ્ક્રિય સમય
মেশিন স্বাধীন ভাষা,મશીન સ્વતંત્ર ભાષા
মেশিনের নির্দেশনা,મશીન સૂચના
মেশিন বুদ্ধিমত্তা,મશીન બુદ્ધિ
মেশিন ভাষা,મશીન ભાષા
মেশিন লার্নিং,મશીન લર્નિંગ
মেশিন অপারেশন,મશીન કામગીરી
মেশিন ওরিয়েন্টেড ভাষা,મશીન લક્ષી ભાષા
মেশিন চালানো,મશીન ચલાવવું
মেশিন সিমুলেশন,મશીન સિમ્યુલેશન
মেশিন নষ্ট সময়,મશીનનો સમય બગડ્યો
যন্ত্রানুবাদ,મશીન અનુવાદ
মেশিন শব্দ,મશીન શબ્દ
ম্যাক্রো (= ম্যাক্রো নির্দেশ),મેક્રો (=મેક્રો સૂચના)
ম্যাক্রো যুক্তি,મેક્રો દલીલ
ম্যাক্রো সমাবেশ প্রোগ্রাম,મેક્રો એસેમ્બલી પ્રોગ્રામ
ম্যাক্রো কল,મેક્રો કોલ
ম্যাক্রো কোড,મેક્રો કોડ
ম্যাক্রো কমান্ড,મેક્રો આદેશ
ম্যাক্রো ঘোষণা,મેક્રો ઘોષણા
ম্যাক্রো সংজ্ঞা,મેક્રો વ્યાખ્યા
ম্যাক্রো ফ্লো চার্ট,મેક્રો ફ્લો ચાર્ટ
ম্যাক্রো জেনারেটর,મેક્રો જનરેટર
ম্যাক্রো নির্দেশ,મેક્રો સૂચના
ম্যাক্রো ভাষা,મેક્રો ભાષા
ম্যাক্রো লাইব্রেরি,મેક્રો લાઇબ્રેરી
ম্যাক্রো প্যারামিটার,મેક્રો પરિમાણ
ম্যাক্রো প্রক্রিয়াকরণ,મેક્રો પ્રોસેસિંગ
ম্যাক্রো প্রসেসর,મેક્રો પ્રોસેસર
ম্যাক্রো প্রোগ্রামিং,મેક્રો પ્રોગ્રામિંગ
ম্যাক্রো প্রোটোটাইপ,મેક્રો પ્રોટોટાઇપ
ম্যাক্রো-কোডিং,મેક્રો-કોડિંગ
ম্যাগাবাইট (এমবি),મેગાબાઈટ (MB)
জাদু চরিত্র,જાદુઈ પાત્ર
জাদু সংখ্যা,જાદુઈ સંખ્યા
চৌম্বকীয় বুদ্বুদ মেমরি,ચુંબકીય બબલ મેમરી
চৌম্বক কার্ড,ચુંબકીય કાર્ડ
চৌম্বক কোষ,ચુંબકીય કોષ
চৌম্বক চরিত্র,ચુંબકીય પાત્ર
চৌম্বকীয় কোর স্টোরেজ,ચુંબકીય કોર સંગ્રહ
চৌম্বকীয় ডিস্ক,ચુંબકીય ડિસ્ક
চৌম্বকীয় ডিস্ক ঠিকানা,ચુંબકીય ડિસ્ક સરનામું
চৌম্বকীয় ডিস্ক মেমরি,ચુંબકીય ડિસ્ક મેમરી
চৌম্বক ড্রাম,ચુંબકીય ડ્રમ
চৌম্বকীয় এনকোডিং,ચુંબકીય એન્કોડિંગ
চৌম্বকীয় মাথা,ચુંબકીય વડા
চৌম্বক কালি,ચુંબકીય શાહી
চৌম্বক কালি অক্ষর স্বীকৃতি (MICR),ચુંબકીય શાહી અક્ષર ઓળખ (MICR)
চৌম্বক মিডিয়া,ચુંબકીય માધ્યમ
চৌম্বকীয় পড়া,ચુંબકીય વાંચન
চৌম্বকীয় রেকর্ডিং,ચુંબકીય રેકોર્ડિંગ
চৌম্বকীয় সঞ্চয়স্থান,ચુંબકીય સંગ્રહ
চৌম্বক ফালা,ચુંબકીય પટ્ટી
চৌম্বকীয় টেপ,ચુંબકીય ટેપ
চৌম্বক টেপ কার্তুজ,ચુંબકીય ટેપ કારતૂસ
চৌম্বকীয় টেপ ড্রাইভ,ચુંબકીય ટેપ ડ્રાઇવ
চৌম্বকীয় টেপ হেডার,ચુંબકીય ટેપ હેડર
চৌম্বক টেপ গ্রন্থাগারিক,ચુંબકીય ટેપ ગ્રંથપાલ
চৌম্বকীয় টেপ পরিবহন,ચુંબકીય ટેપ પરિવહન
চৌম্বকীয় টেপ ইউনিট,ચુંબકીય ટેપ એકમ
চৌম্বকীয় পাতলা ফিল্ম,ચુંબકીય પાતળી ફિલ્મ
চৌম্বক ট্র্যাক,ચુંબકીય ટ્રેક
ম্যাগনেটো অপটিক স্টোরেজ,મેગ્નેટો ઓપ્ટિક સ્ટોરેજ
ম্যাগনেটোগ্রাফিক প্রিন্টার,મેગ્નેટોગ્રાફિક પ્રિન્ટર
ম্যাগনেটোস্ট্রিকশন,મેગ્નેટોસ્ટ્રિક્શન
ম্যাগনেটোস্ট্রিকটিভ ট্যাবলেট,મેગ્નેટોસ્ટ્રેક્ટિવ ટેબ્લેટ
মেইল বক্স,મેઈલ બોક્સ
মেইল মার্জ,મેલ મર્જ
প্রধান নিয়ন্ত্রণ ইউনিট,મુખ્ય નિયંત્રણ એકમ
প্রধান ফ্রেম,મુખ્ય ફ્રેમ
প্রধান ফ্রেম সিস্টেম,મુખ્ય ફ્રેમ સિસ્ટમ
প্রধান স্মৃতি,મુખ્ય મેમરી
প্রধান প্রোগ্রাম,મુખ્ય કાર્યક્રમ
প্রধান স্টোরেজ,મુખ્ય સંગ્રહ
প্রধান সুইচ,મુખ્ય સ્વીચ
রক্ষণাবেক্ষণ,જાળવણી
রক্ষণাবেক্ষণ প্যানেল,જાળવણી પેનલ
রক্ষণাবেক্ষণ সময়,જાળવણી સમય
প্রধান চক্র,મુખ્ય ચક્ર
প্রধান ডিভাইস,મુખ્ય ઉપકરણ
প্রধান কী,મુખ્ય ચાવી
প্রধান রাষ্ট্র,મુખ્ય રાજ્ય
প্রধান কাঠামো,મુખ્ય માળખું
প্রধান কাজ,મુખ્ય કાર્ય
সংখ্যাগরিষ্ঠ উপাদান,બહુમતી તત્વ
সংখ্যাগরিষ্ঠ গেট,બહુમતી દરવાજો
সংখ্যাগরিষ্ঠ অপারেশন,બહુમતી કામગીરી
মেকআপ সময়,મેકઅપ સમય
ত্রুটিপূর্ণ রুটিন,ખામીયુક્ત નિયમિત
ব্যবস্থাপনা উন্নয়ন,સંચાલન વિકાસ
ব্যবস্থাপনা তথ্য সিস্টেম (MIS),મેનેજમેન્ટ ઇન્ફોર્મેશન સિસ્ટમ (MIS)
ব্যবস্থাপনা বিজ্ঞান,મેનેજમેન્ટ વિજ્ઞાન
ম্যানচেস্টার কোডিং,માન્ચેસ્ટર કોડિંગ
ম্যানিফোল্ডিং,મેનીફોલ્ડિંગ
চালিত পরিবর্তনশীল,મેનિપ્યુલેટેડ ચલ
ম্যানিপুলেটিং ইনডেক্সিং,ઇન્ડેક્સીંગની હેરફેર
ম্যান-মেশিন সিমুলেশন,મેન-મશીન સિમ્યુલેશન
ম্যানুয়াল ঠিকানা সুইচ,મેન્યુઅલ એડ્રેસ સ્વીચ
ম্যানুয়াল বিশ্লেষণ,મેન્યુઅલ વિશ્લેષણ
ম্যানুয়াল উত্তর,મેન્યુઅલ જવાબો
ম্যানুয়াল এন্ট্রি,મેન્યુઅલ એન્ટ્રી
ম্যানুয়াল বিনিময়,મેન્યુઅલ વિનિમય
হস্ত পরিচালিত,મેન્યુઅલ ઇનપુટ
সংক্ষিপ্ত কাজ,મેન્યુઅલ કામગીરી
অনেক থেকে অনেক সম্পর্ক,ઘણા થી ઘણા સંબંધ
অনেক থেকে এক ডিকোডার,ઘણા થી એક ડીકોડર
মানচিত্র পদ্ধতি,નકશા પદ્ધતિ
ম্যাপিং,મેપિંગ
মার্জিন,માર્જિન
মার্জিন ত্রুটি,માર્જિન ભૂલ
প্রান্তিক চেক,સીમાંત ચેક
প্রান্তিক পরীক্ষা,સીમાંત કસોટી
চিহ্ন সনাক্তকরণ,માર્ક શોધ
পড়া চিহ্নিত করুন,માર્ક વાંચન
মার্ক স্ক্যানিং,માર્ક સ્કેનિંગ
মার্ক সেন্স,માર્ક સેન્સ
মার্কার,માર્કર
চিহ্নিত করা,માર્કિંગ
চিহ্নিত তরঙ্গ,ચિહ્નિત તરંગ
মার্কভ চেইন,માર્કોવ સાંકળ
মার্কভ উৎস,માર્કોવ સ્ત્રોત
মার্কআপ ভাষা,માર્ક-અપ ભાષા
মাসার,મેસર
মাসার,મેસર
মুখোশ,મહોરું
মাস্ক বিট,માસ્ક બીટ
মাস্ক প্রোগ্রামেবল ডিভাইস,માસ્ક પ્રોગ્રામેબલ ઉપકરણ
মাস্ক রেজিস্টার,માસ્ક રજીસ્ટર
মুখোশযুক্ত রম,માસ્ક કરેલ ROM
মাস্কিং,માસ્કીંગ
ভর তথ্য,માસ ડેટા
ভর মেমরি,માસ મેમરી
ব্যাপকভাবে সমান্তরাল,મોટા પાયે સમાંતર
ওস্তাদ,માસ્ટર
মাস্টার কার্ড,માસ્ટર કાર્ડ
মাস্টার ঘড়ি,મુખ્ય ઘડિયાળ
মাস্টার কনসোল,માસ્ટર કન્સોલ
মূল তথ্য,મુખ્ય ડેટા
মাস্টার ডায়াগ্রাম,માસ્ટર ડાયાગ્રામ
প্রধান নথি,માસ્ટર ફાઇલ
মাস্টার গ্রুপ,મુખ્ય જૂથ
প্রধান চাবি,મુખ્ય કી
মাস্টার লাইব্রেরি টেপ,માસ્ટર લાઇબ્રેરી ટેપ
মাস্টার প্রসেসর,મુખ્ય પ્રોસેસર
মাস্টার প্রোগ্রাম,માસ્ટર પ્રોગ્રામ
মাস্টার স্টেশন,મુખ્ય સ્ટેશન
মাস্টার টেপ,મુખ્ય ટેપ
মাস্টার টার্মিনাল,મુખ્ય ટર્મિનલ
মাস্টার/দাস ডিভাইস,માસ્ટર/સ્લેવ ઉપકરણ
প্রভু/দাস ব্যবস্থা,માસ્ટર/સ્લેવ સિસ્ટમ
ম্যাচ,મેચ
ম্যাচিং,મેચિંગ
গাণিতিক প্রোগ্রামিং,ગાણિતિક પ્રોગ્રામિંગ
গাণিতিক সিমুলেশন,ગાણિતિક સિમ્યુલેશન
ম্যাট্রিক্স,મેટ્રિક્સ
ম্যাট্রিক্স প্রিন্টার,મેટ્રિક્સ પ્રિન્ટર
ম্যাট্রিক্স সুইচ,મેટ્રિક્સ સ્વીચ
ম্যাট্রিক্স টেবিল,મેટ્રિક્સ ટેબલ
ম্যাক্সি কম্পিউটার,મેક્સી કમ્પ્યુટર
ম্যাক্সিকম্পিউটার,મેક્સિકોમ્પ્યુટર
সর্বাধিক উপাদান,મહત્તમ તત્વ
সর্বোচ্চ মেয়াদ (প্রমিত সমষ্টি পদ),મહત્તમ (પ્રમાણભૂત રકમ શબ્દ)
ম্যাক্সওয়েল ডেমন,મેક્સવેલ ડિમન
মানে,મીન
মানে মেরামতের সময়,અર્થ સમારકામ સમય
ব্যর্থতার মধ্যবর্তী সময় (MTBF),નિષ્ફળતા વચ્ચેનો સરેરાશ સમય (MTBF)
ব্যর্থতার মধ্যবর্তী সময় (MTBF),નિષ્ફળતા વચ્ચેનો સરેરાશ સમય (MTBF)
ব্যর্থতার সময় মানে,નિષ્ફળતાનો સમય
মেরামত করার সময় মানে,સમારકામ માટેનો સમય
মেরামতের গড় সময় (MTTR),સમારકામ માટેનો સરેરાશ સમય (MTTR)
মিডিয়াম স্কেল ইন্টিগ্রেশন (MSI),મધ્યમ પાયે એકીકરણ (MSI)
মিডিয়াম স্কেল ইন্টিগ্রেশন (MSI),મધ્યમ પાયે એકીકરણ (MSI)
মাঝারি মেয়াদী স্টোরেজ ডিভাইস,મધ્યમ ગાળાના સંગ્રહ ઉપકરણ
প্রতি সেকেন্ডে মেগাবিট (এমবি পিএস),મેગાબીટ પ્રતિ સેકન્ડ (MB Ps)
সদস্য বস্তু,સભ્ય પદાર્થ
সদস্য রেকর্ড,સભ્ય રેકોર્ડ
স্মৃতি,મેમરી
মেমরি অ্যারে,મેમરી એરે
মেমরি ব্যাংক,મેમરી બેંક
মেমরি বাফার রেজিস্টার,મેમરી બફર રજિસ્ટર
মেমরি বাস,મેમરી બસ
মেমরি কার্ড,મેમરી કાર્ડ
মেমরি সেল,મેમરી સેલ
মেমরি কম্প্যাকশন,મેમરી કોમ્પેક્શન
মেমরি কোর,મેમરી કોર
মেমরি চক্র,મેમરી ચક્ર
মেমরি ডেটা রেজিস্টার,મેમરી ડેટા રજિસ્ટર
মেমরি ডাম্প,મેમરી ડમ્પ
মেমরি বিনিময়,મેમરી વિનિમય
মেমরি অনুক্রম,મેમરી વંશવેલો
মেমরি নির্দেশনা,મેમરી સૂચના
স্মৃতি ব্যবস্থাপনা,મેમરી મેનેજમેન્ટ
মেমরি মানচিত্র,મેમરી નકશો
মেমরি ম্যাপ করা I/O,મેમરી મેપ કરેલ I/O
মেমরি মডেল,મેમરી મોડેલ
মেমরি মডিউল,મેમરી મોડ્યુલ
মেমরি পয়েন্টার রেজিস্টার,મેમરી પોઇન્ટર રજીસ્ટર
স্মৃতি শক্তি,મેમરી પાવર
মেমরি সুরক্ষা,મેમરી રક્ષણ
মেমরি রেফারেন্স নির্দেশনা,મેમરી સંદર્ભ સૂચના
মেমরি আবাসিক প্রোগ্রাম,મેમરી નિવાસી કાર્યક્રમ
মেমরি ইউনিট,મેમરી યુનિટ
তালিকা,મેનુ
মেনু বার,મેનુ બાર
মেনু ড্রাইভ,મેનુ ડ્રાઈવ
মেনু নির্বাচন,મેનુ પસંદગી
মেনু-চালিত প্রোগ্রাম,મેનુ આધારિત કાર્યક્રમ
একত্রিত করা,મર્જ કરો
একত্রিত বিনিময় সাজানোর,વિનિમય સૉર્ટ મર્જ કરો
মার্জ সাজান,મર્જ સૉર્ટ
মার্জিং,મર્જિંગ
জাল নেটওয়ার্ক,જાળીદાર નેટવર્ક
মেসেজিং,મેસેજિંગ
বার্তা,સંદેશ
বার্তা প্রমাণীকরণ,સંદેશ પ્રમાણીકરણ
বার্তা বাক্স,સંદેશ બોક્સ
বার্তা সার্কিট,સંદેશ સર્કિટ
বার্তা বিন্যাস,સંદેશ ફોર્મેટ
বার্তা শীর্ষ,સંદેશ હેડર
বার্তা মোড,સંદેશ મોડ
বার্তা পাস,સંદેશ પસાર
বার্তা পোলিং,સંદેશ મતદાન
বার্তা সারি,સંદેશ કતાર
বার্তা সুইচ,સંદેશ સ્વીચ
বার্তার পাঠ্য,સંદેશ ટેક્સ્ટ
বার্তা স্থানান্তর এজেন্ট,સંદેશ ટ્રાન્સફર એજન્ટ
মেটা অ্যাসেম্বলার,મેટા એસેમ્બલર
মেটা ক্লাস,મેટા વર્ગ
মেটা সংকলন,મેટા સંકલન
মেটা কম্পাইলার,મેટા કમ્પાઇલર
মেটা ভাষা,મેટા ભાષા
মেটা নেটওয়ার্ক,મેટા નેટવર્ક
মেটা সিস্টেম,મેટા સિસ્ટમ
পদ্ধতি,પદ્ધતિ
মেট্রোপলিটন এরিয়া নেটওয়ার্ক (ম্যান),મેટ્રોપોલિટન એરિયા નેટવર્ક (MAN)
মাইক্রো,સૂક્ષ્મ
মাইক্রো কোড,માઇક્રો કોડ
মাইক্রো কম্পিউটার,માઇક્રો કમ્પ્યુટર
মাইক্রো কন্ট্রোলার,માઇક્રો કંટ્રોલર
মাইক্রো চক্র,સૂક્ષ્મ ચક્ર
মাইক্রো ইলেকট্রনিক মেকানিক্যাল সিস্টেম (MEMS),માઇક્રો ઇલેક્ટ્રોનિક મિકેનિકલ સિસ્ટમ (MEMS)
মাইক্রো ইলেকট্রনিক্স,માઇક્રો ઇલેક્ટ્રોનિક્સ
ক্ষুদ্র ক্ষুদ্র অনুমোদন,સૂક્ષ્મ લઘુ અધિકૃતતા
মাইক্রো অর্ডার,માઇક્રો ઓર્ડર
মাইক্রো/মেনফ্রেম লিঙ্ক,માઇક્રો/મેઇનફ્રેમ લિંક
মাইক্রোচিপ,માઇક્રોચિપ
মাইক্রোকোবল,માઇક્રોકોબોલ
মাইক্রোকোড,માઇક્રોકોડ
মাইক্রোফিচ,માઇક્રોફિચે
মাইক্রোফ্লপি,માઇક્રોફ્લોપી
মাইক্রোফর্ম রিডার,માઇક્રોફોર્મ રીડર
মাইক্রোফ্রেম,માઇક્રોફ્રેમ
মাইক্রোগ্রাফিক্স,માઈક્રોગ્રાફિક્સ
মাইক্রোফোন,માઇક્રોફોન
মাইক্রোফটোগ্রাফ,માઇક્રોફોટોગ્રાફ
মাইক্রোপ্রসেসিং ইউনিট,માઇક્રોપ્રોસેસિંગ એકમ
মাইক্রোপ্রসেসর,માઇક્રોપ્રોસેસર
মাইক্রোপ্রসেসর চিপ,માઇક્રોપ્રોસેસર ચિપ
মাইক্রোপ্রসেসর কম্পাইলার,માઇક્રોપ્રોસેસર કમ્પાઇલર
মাইক্রোপ্রসেসর ইউনিট (MPU),માઇક્રોપ્રોસેસર યુનિટ (MPU)
মাইক্রোপ্রোগ্রাম,માઇક્રોપ્રોગ્રામ
মাইক্রোসিকোয়েন্স,માઇક્રોસિક્વન્સ
মাইক্রোসফট,માઈક્રોસોફ્ટ
মাইক্রোসফট উইন্ডোজ,માઇક્રોસોફ્ટ વિન્ડોઝ
মাইক্রোওয়েভ,માઇક્રોવેવ
মাইক্রোওয়েভ লিঙ্ক,માઇક્રોવેવ લિંક
মাইক্রোওয়েভ প্রচার,માઇક્રોવેવ પ્રચાર
মধ্যম ব্যবস্থাপনা,મધ્યમ સંચાલન
মিডলওয়্যার,મિડલવેર
মিডিকম্পিউটার,મિડીકોમ્પ્યુટર
মধ্যবিন্দু,મધ્યબિંદુ
মিডটার্ম,મધ્યસત્ર
অভিবাসন পথ,સ્થળાંતરનો માર્ગ
প্রতি সেকেন্ডে মিলিয়ন নির্দেশাবলী (MIPS),મિલિયન સૂચના પ્રતિ સેકન્ડ (MIPS)
মিনিকম্পিউটার,મિની કોમ્પ્યુટર
মিনিডিস্কেট,મિનિડિસ્કેટ
ন্যূনতম কার্নেল,ન્યૂનતમ કર્નલ
সর্বনিম্ন পণ্য,ન્યૂનતમ ઉત્પાદન
সর্বনিম্ন গাছ,ન્યૂનતમ વૃક્ષ
minimax (মিনিম্যাক্স-সর্বোচ্চ) অ্যালগরিদম,મિનિમેક્સ (ન્યૂનતમ-મહત્તમ) અલ્ગોરિધમ
minimax পদ্ধতি,ન્યૂનતમ પ્રક્રિયા
ন্যূনতম খরচ বিস্তৃত গাছ,લઘુત્તમ ખર્ચ ફેલાયેલા વૃક્ષ
ন্যূনতম লেটেন্সি কোডিং,ન્યૂનતમ લેટન્સી કોડિંગ
ছোট ডিভাইস,નાનું ઉપકરણ
মিন্টেরিম,મિન્ટેરિમ
বিয়োগ পতাকা,માઈનસ ધ્વજ
বিয়োগ পতাকা,માઈનસ ધ્વજ
মাইনাস জোন,માઈનસ ઝોન
আয়না,અરીસો
মিরর সাইট,મિરર સાઇટ
মিশ্র-রেডিক্স স্বরলিপি,મિશ્ર-મૂલક સંકેત
মিক্সার,મિક્સર
স্মৃতিসংক্রান্ত,નેમોનિક
স্মৃতির ঠিকানা,નેમોનિક સરનામું
স্মৃতিবিদ্যা,નેમોનિક્સ
মুঠোফোন,મોબાઈલ
মোবাইল কম্পিউটিং,મોબાઇલ કમ્પ્યુટિંગ
মডেল,મોડલ
মডেলহীন সম্পাদক,મોડલેસ એડિટર
মডেলিং,મોડેલિંગ
মডেম,મોડેમ
পরিমিত,માધ્યમ
সংযম,મધ્યસ્થતા
মডারেটর,મધ્યસ્થી
পরিবর্তিত নির্দেশ,સંશોધિત સૂચના
পরিবর্তনকারী,મોડિફાયર
সংশোধক বিট,મોડિફાયર બીટ
পরিবর্তন করুন,ફેરફાર કરો
মডুলার,મોડ્યુલર
মডুলারিটি,મોડ્યુલારિટી
মড্যুলেশন,મોડ્યુલેશન
মডিউল,મોડ્યુલ
মডিউল আর্কিটেকচার,મોડ્યુલ આર્કિટેક્ચર
মনিটর,મોનીટર
পর্যবেক্ষণ প্রোগ্রাম,મોનીટરીંગ કાર્યક્રમ
মনোক্রোম প্রদর্শন,મોનોક્રોમ ડિસ્પ્લે
মনোলিথিক ইন্টিগ্রেটেড সার্কিট,મોનોલિથિક ઇન્ટિગ્રેટેડ સર્કિટ
মনোলিথিক প্রযুক্তি,મોનોલિથિક ટેકનોલોજી
মনোস্পেস ফন্ট,મોનોસ્પેસ ફોન્ટ
একচেটিয়া,મોનોસ્ટેબલ
একঘেয়েমি,મોનોટોરિસિટી
মর্ফ,મોર્ફ
মরফিম,મોર્ફીમ
মর্ফিজম,મોર્ફિઝમ
বন্ধক,ગીરો
mosfet (MOSFET),mosfet (MOSFET)
সবচেয়ে উল্লেখযোগ্য বিট,સૌથી નોંધપાત્ર બીટ
মাদার বোর্ড,મધર બોર્ડ
মা নিবন্ধন,માતા રજીસ્ટર
চলচ্চিত্র,ગતિ ચિત્ર
মোশন পিকচার এক্সপার্টস গ্রুপ (MPEG),મોશન પિક્ચર એક્સપર્ટ્સ ગ્રુપ (MPEG)
মাউন্ট,માઉન્ટ
মাউস,માઉસ
সরান,ચાલ
চরিত্র সরান,પાત્ર ખસેડો
MS-DOS,MS-DOS
এমএস-উইন্ডোজ,એમએસ-વિન્ડોઝ
বহু দিক,બહુવિધ પાસું
মাল্টি প্রসেসর,મલ્ટી પ્રોસેસર
মাল্টি প্রোগ্রামিং,મલ્ટી પ્રોગ્રામિંગ
মাল্টি টাস্কিং,બહુવિધ કાર્ય
মাল্টিবাস,મલ્ટીબસ
মাল্টিকাস্ট,મલ્ટિકાસ્ટ
মাল্টিকাস্ট ঠিকানা,મલ્ટિકાસ્ટ સરનામું
মাল্টিকাস্টিং,મલ્ટીકાસ્ટિંગ
মাল্টিচিপ,મલ્ટીચીપ
মাল্টিক্স,મલ્ટિક્સ
বহু কাজের অপারেশন,મલ્ટિ-જોબ કામગીરી
বহুস্তর মেমরি,બહુસ્તરીય મેમરી
মাল্টিমিডিয়া প্রযুক্তি,મલ્ટીમીડિયા ટેકનોલોજી
মাল্টিমোড,મલ્ટિમોડ
একাধিক,બહુવિધ
একাধিক নির্ভুলতা,બહુવિધ ચોકસાઇ
একাধিক সংশ্লেষণ,બહુવિધ રીગ્રેસન
মাল্টিপ্লেক্স,મલ્ટિપ્લેક્સ
মাল্টিপ্লেক্স মোড,મલ્ટિપ્લેક્સ મોડ
মাল্টিপ্লেক্সার,મલ્ટિપ્લેક્સર
মাল্টিপ্লেক্সিং,મલ્ટિપ્લેક્સિંગ
মাল্টিপয়েন্ট নেটওয়ার্ক,મલ્ટિપોઇન્ટ નેટવર્ક
মাল্টিপ্রসেসিং,મલ્ટિપ્રોસેસિંગ
মাল্টিপ্রসেসর সিস্টেম,મલ્ટિપ્રોસેસર સિસ્ટમ
বহুমুখী ইন্টারনেট মেইল এক্সটেনশন (MIME),બહુહેતુક ઇન્ટરનેટ મેલ એક્સટેન્શન (MIME)
মাল্টিসিডিউল,મલ્ટિશેડ્યૂલ
মাল্টিস্টেশন,મલ્ટીસ્ટેશન
মাল্টিথ্রেডিং,મલ્ટિથ્રેડીંગ
বহুমূল্যযুক্ত যুক্তি,બહુમૂલ્યવાળું તર્ક
বহুচলকীয় বিশ্লেষণ,બહુવિધ વિશ્લેષણ
মাল্টিভাইব্রেটর,મલ્ટિવાઇબ્રેટર
পারস্পরিক বর্জন,પરસ્પર બાકાત
পারস্পরিক তথ্য,પરસ્પર માહિતી
নিষ্পাপ ব্যবহারকারী,નિષ્કપટ વપરાશકર્તા
নাম সার্ভার,નામ સર્વર
NAND অপারেশন,NAND ઓપરેશન
ন্যানো,નેનો
সংকীর্ণ ব্যান্ড,સાંકડી બેન્ડ
জাতীয় তথ্য অবকাঠামো,રાષ્ટ્રીય માહિતી ઈન્ફ્રાસ્ટ્રક્ચર
ন্যাশনাল ইনফরমেশন স্ট্যান্ডার্ড অর্গানাইজেশন (NAND NISO),નેશનલ ઇન્ફોર્મેશન સ્ટાન્ડર્ડ ઓર્ગેનાઇઝેશન (NAND NISO)
নেটিভ কোড,મૂળ કોડ
নেটিভ কম্পাইলার,મૂળ કમ્પાઇલર
নেটিভ সফটওয়্যার,મૂળ સોફ્ટવેર
প্রাকৃতিক কম্পাইলার,કુદરતી કમ્પાઇલર
স্বাভাবিক ভাষা প্রক্রিয়াকরণ,કુદરતી ભાષા પ્રક્રિયા
প্রাকৃতিক ভাষা প্রশ্ন,કુદરતી ભાષા ક્વેરી
স্বাভাবিক সংখ্যা,કુદરતી સંખ્યા
নেভিগেশন,સંશોધક
নেভিগেটর,નેવિગેટર
নেতিবাচক যুক্তি,નકારાત્મક તર્ક
নেস্টেড লুপ,નેસ્ટેડ લૂપ
নেস্টেড ম্যাক্রো,નેસ્ટેડ મેક્રો
নেট,નેટ
নেট ঠিকানা,ચોખ્ખું સરનામું
নেট নাগরিক,ચોખ્ખો નાગરિક
নেটস্কেপ নেভিগেটর,નેટસ્કેપ નેવિગેટર
নেটওয়ার্ক অ্যাক্সেস নিয়ন্ত্রণ,નેટવર્ક ઍક્સેસ નિયંત્રણ
নেটওয়ার্ক আর্কিটেকচার,નેટવર્ક આર્કિટેક્ચર
নেটওয়ার্ক ফাইল সিস্টেম (NFS),નેટવર્ક ફાઇલ સિસ્ટમ (NFS)
নেটওয়ার্ক অখণ্ডতা,નેટવર્ક અખંડિતતા
নেটওয়ার্ক আন্তঃসংযোগ,નેટવર્ક ઇન્ટરકનેક્શન
নেটওয়ার্ক স্তর,નેટવર્ક સ્તર
নেটওয়ার্ক ব্যবস্থাপনা,નેટવર્ક મેનેજમેન્ટ
নেটওয়ার্ক টপোলজি,નેટવર્ક ટોપોલોજી
নেটওয়ার্ক ভার্চুয়াল টার্মিনাল,નેટવર્ક વર્ચ્યુઅલ ટર્મિનલ
নিরপেক্ষ রিলে,તટસ્થ રિલે
নিরপেক্ষ সংক্রমণ,તટસ્થ ટ્રાન્સમિશન
নতুন লাইন চরিত্র,નવી રેખા પાત્ર
নতুন সিঙ্ক,નવું સમન્વયન
NFS/নেটওয়ার্ক ফাইল,NFS/નેટવર્ક ફાઇલ
নিবল,નિબલ
নাইন এর পরিপূরক,નવના પૂરક
নোড,નોડ
গোলমাল,ઘોંઘાટ
শব্দ মোড,અવાજ મોડ
শব্দহীন কোডিং,અવાજ વિનાનું કોડિંગ
অনির্ধারণবাদ,બિન-નિર્ધારણવાદ
অ বিতরণকারী,બિન વિતરણ
খালি সেট না,ખાલી સેટ નથી
অ প্রধান,બિન પ્રાઇમ
অ-ইন্টারেক্টিভ,બિન-અરસપરસ
অ-টার্মিনাল সিস্টেম,બિન-ટર્મિનલ સિસ્ટમ
অনুদ্বায়ী মেমরি,બિન-અસ્થિર મેમરી
