Kannada,Bengali
ಐವರ್ಸಿಯನ್ ಸಂಕೇತ,আইভারশন স্বরলিপি
ಗಲಿಬಿಲಿ,জিটার
ಜಾಬ್ ಬ್ಯಾಚ್,জব ব্যাচ
ಉದ್ಯೋಗ ವರ್ಗ,কাজের ক্লাস
ಉದ್ಯೋಗ ನಿಯಂತ್ರಣ,চাকরি নিয়ন্ত্রণ
"ಉದ್ಯೋಗ ನಿಯಂತ್ರಣ
 ಭಾಷೆ","চাকরি নিয়ন্ত্রণ
 ভাষা"
"ಉದ್ಯೋಗ ನಿಯಂತ್ರಣ
 ಹೇಳಿಕೆ","চাকরি নিয়ন্ত্রণ
 বিবৃতি"
ಕೆಲಸ ವ್ಯಾಖ್ಯಾನ,কাজের সংজ্ঞা
ಉದ್ಯೋಗದ ಹರಿವಿನ ನಿಯಂತ್ರಣ,চাকরি-প্রবাহ নিয়ন্ত্রণ
ಉದ್ಯೋಗ ಇನ್ಪುಟ್ ಸಾಧನ,জব ইনপুট ডিভাইস
ಉದ್ಯೋಗ ಇನ್ಪುಟ್ ಫೈಲ್,জব ইনপুট ফাইল
ಉದ್ಯೋಗ ಇನ್ಪುಟ್ ಸ್ಟ್ರೀಮ್,কাজের ইনপুট স্ট্রিম
ಕೆಲಸ ಗ್ರಂಥಾಲಯ,জব লাইব্রেরি
ಉದ್ಯೋಗ ನಿರ್ವಹಣೆ,চাকরি ব্যবস্থাপনা
ಉದ್ಯೋಗದ ಹೆಸರು,কাজের নাম
"ಉದ್ಯೋಗ ಆಧಾರಿತ
 ಭಾಷೆ","চাকরিমুখী
 ভাষা"
"ಉದ್ಯೋಗ ಆಧಾರಿತ
 ಅಂತಿಮ","চাকরিমুখী
 টার্মিনাল"
ಉದ್ಯೋಗ ಉತ್ಪಾದನೆ ಸಾಧನ,কাজের আউটপুট ডিভাইস
ಉದ್ಯೋಗ ಉತ್ಪಾದನೆ ಫೈಲ್,কাজের আউটপুট ফাইল
ಉದ್ಯೋಗ ಉತ್ಪಾದನೆ ಸ್ಟ್ರೀಮ್,কাজের আউটপুট স্ট্রিম
ಜಾಬ್ ಪ್ಯಾಕ್ ಪ್ರದೇಶ,জব প্যাক অঞ্চল
ಉದ್ಯೋಗದ ಆದ್ಯತೆ,কাজের অগ্রাধিকার
ಉದ್ಯೋಗ ಸಂಸ್ಕರಣೆ,কাজের প্রক্রিয়াজাতকরণ
ಉದ್ಯೋಗ ಕಾರ್ಯಕ್ರಮ ಮೋಡ್,জব প্রোগ্রাম মোড
"ಉದ್ಯೋಗ ಮರುಪಡೆಯುವಿಕೆ
 ಕಂಟ್ರೋಲ್ ಫೈಲ್","চাকরি-পুনরুদ্ধার
 ফাইল নিয়ন্ত্রণ করুন"
ಉದ್ಯೋಗ ವಿಭಜಕ ಪುಟ,চাকরি বিভাজক পৃষ্ঠা
ಉದ್ಯೋಗ ಹೇಳಿಕೆ,কাজের বিবৃতি
ಕೆಲಸದ ಹೆಜ್ಜೆ,কাজের পদক্ষেপ
ಉದ್ಯೋಗ ಹಂತದ ದೀಕ್ಷೆ,কাজের পদক্ষেপ দীক্ষা
ಉದ್ಯೋಗ ಹಂತ ಮರುಪ್ರಾರಂಭಿಸಿ,কাজের পদক্ষেপ পুনঃসূচনা
ಜಾಬ್ ಕೋಲು,জব স্টিক
ಜಾಬ್ ಸ್ಟ್ರೀಮ್,কাজের স্ট্রিম
ಉದ್ಯೋಗ ಬೆಂಬಲ ಕಾರ್ಯ,কাজ সমর্থন টাস্ক
ಜಗ್ಗದ,জগল
ಸೇರಿಸು,যোগ দিন
ಜಂಟಿ ಪ್ರವೇಶ ವೆಚ್ಚ,যৌথ অ্যাক্সেস ব্যয়
ಜಂಟಿ ಮಾಹಿತಿ ವಿಷಯ,যৌথ তথ্য সামগ্রী
ಜೋಸೆಫ್ಸನ್ ಜಂಕ್ಷನ್,জোসেফসন জংশন
ಪತ್ರ,জার্নাল
ಜರ್ನಲಿಂಗ್,জার্নালিং
ಜರ್ನಲ್ ವರದಿ,জার্নাল রিপোর্ট
ಜರ್ನಲ್ ಟೇಪ್,জার্নাল টেপ
ಜಂಬೋ ಗುಂಪು,জাম্বো গ্রুপ
ಜಿಗಿತಗಾರ,জাম্পার
ಜಿಗಿತಗಾರನನ್ನು ಆಯ್ಕೆಮಾಡಬಲ್ಲ,জাম্পার নির্বাচনযোগ্য
ಜಂಪಿ ಸೂಚನೆ,জাম্প নির্দেশ
ಕಸಕ,Junktor
ಮಂಜುಗಡ್ಡ,জাঙ্ক
ಸಮರ್ಥನೆ,ন্যায্যতা
ಸಮರ್ಥನೆ ವ್ಯಾಪ್ತಿ,ন্যায়সঙ্গত পরিসীমা
ಸಮರ್ಥನೀಯ ಅಂಚು,ন্যায়সঙ্গত মার্জিন
ಕರ್ನಾಗ್ ನಕ್ಷೆ,কর্নহো মানচিত্র
ಕಕ್ಷ,কাতাকনা
ಕಸಾಯಿಖಾನೆ,কার্নিং
ಕೀಲಿ ಹಲಗೆ,কীবোর্ড
"ಕೀಲಿ ಹಲಗೆ
 ಕಂಪ್ಯೂಟರ್","কীবোর্ড
 কম্পিউটার"
ಕೀಬೋರ್ಡ್ ಪ್ರವೇಶ,কীবোর্ড এন্ট্রি
ಕೀಬೋರ್ಡ್ ವಿಚಾರಣೆ,কীবোর্ড তদন্ত
ಕೀಲಿ ಹಲಗೆಯ ಬೀಗಯಿಡ,কীবোর্ড লকআউট
"ಕೀಲಿ ಹಲಗೆ
 ರಂಧ್ರ ಮಾಡುವವನು","কীবোর্ড
 ছিদ্রকারী"
ಕೀಲಿ ಹಲಗೆ,কীবোর্ড পাঞ্চ
"ಕೀಲಿ ಹಲಗೆ
 ಕಳುಹಿಸಿ/ಸ್ವೀಕರಿಸಿ","কীবোর্ড
 পাঠান এবং গ্রহন করা"
ಕೀ ಕ್ಲಿಕ್,কী ক্লিক করুন
ಕೀ ಕ್ಲಿಕ್ ಫಿಲ್ಟರ್,কী-ক্লিক ফিল্টার
ಕೀಲಿಮಾಳೆಯ,কী চালিত
"ಕೀಲಿಯ ನೇರ
 ಪ್ರವೇಶ","চাবি প্রত্যক্ষ
 অ্যাক্সেস"
ಕೀ-ಎನ್‌ಕ್ರಿಪ್ಟಿಂಗ್ ಕೀ,কী-এনক্রিপ্টিং কী
ಕೀಲಿ ಪ್ರವೇಶ,কী এন্ট্রি
"ಕೀ ಮಡಿಸುವಿಕೆ =
 ಹ್ಯಾಷಿ","কী ভাঁজ =
 হ্যাশিং"
ಕೀಯಿಂಗ್ ಚಿರ್ಪ್,চেইং চিপ
ಕೀಯಿಂಗ್ ತರಂಗ,কীিং তরঙ্গ
ಕೀಲಿ ಚಾಪೆ,কী মাদুর
ಕೀಲಿ ಕರಿ,কী প্যাড
ಪ್ರಮುಖ ಹಂತ,মূল পর্ব
ಕೀಲು,কী পালস
ಕೀ-ಪಲ್ಸಿಂಗ್ ಸಂಕೇತ,কী-পালসিং সিগন্যাল
ಕೀ ಪಂಚ್,কী পাঞ্চ
ಪ್ರಮುಖ ವಿಂಗಡಣೆ,কী বাছাই
ಕೀಲಿ ಹೊಡೆತ,কী স্ট্রোক
"ಕೀಲಿ ಹೊಡೆತ
 ಪರಿಶೀಲನೆ","কী স্ট্রোক
 প্রতিপাদন"
ಕೀಲಿ ಟೇಪ್,কী টেপ
ಪ್ರಮುಖ ದೂರವಾಣಿ ಸೆಟ್,কী টেলিফোন সেট
"ಪ್ರಮುಖ ದೂರವಾಣಿ
 ವ್ಯವಸ್ಥೆ","কী টেলিফোন
 পদ্ধতি"
ಕೀಲಿಗೆ ತುತ್ತಾಗುವ,কী-টু-ডিস্ক
ಫ್ಲಾಪಿಗೆ ಕೀ,ফ্লপি কী
ಟೇಪ್‌ಗೆ ಕೀ,টেপের কী
ಕೀ ರೂಪಾಂತರ,মূল রূপান্তর
"ಪ್ರಮುಖ ಪದ
ಸನ್ನಿವೇಶ","মূল শব্দ
প্রসঙ্গ"
"ಪ್ರಮುಖ ಪದ
 ನಿಯತಾಂಕ","কী-শব্দ
 প্যারামিটার"
ಕಿಲೋಬೌಡ್,কিলোবাউড
ಕಿಲೋಬೈಟ್,কিলোবাইট
ಕಿಲೋಮೆಗಾ,কিলোমেগা
ಕೆಐಪಿಎಸ್ (ಕಿಲೋಇನ್‌ಸ್ಟ್ರಕ್ಷನ್-ಪೆರ್ಸೆಕೆಂಡ್),কিপস (কিলোইনস্ট্রাকশনস-পার্সেকেন্ড)
ಲೇಬಲ್ ಸ್ಥಿರ,ধ্রুবক লেবেল
ಸಾಮಾನ್ಯ ಎಂದು ಲೇಬಲ್ ಮಾಡಲಾಗಿದೆ,সাধারণ লেবেল
ಲೇಬಲ್ ಮಾಡುವುದು,লেবেলিং
ಲೇಬಲ್ ಪಟ್ಟಿ,লেবেল তালিকা
ಲೇಬಲ್ ರೆಕಾರ್ಡೆ,লেবেল রেকর্ড
ಲೇಬಲ್ ವೇರಿಯಬಲ್,লেবেল পরিবর্তনশীল
ಕಸೀದಡಿ,লেসড কার্ড
ಭೂ ಸಾಲಿನ ಸೌಲಭ್ಯ,ল্যান্ড-লাইন সুবিধা
ಭಾಷೆ (ಕೋಬರ್),ভাষা (সিওবিএল)
"ಭಾಷೆ
 ಪರಿವರ್ತಕ","ভাষা
 রূপান্তরকারী"
"ಭಾಷೆ
 ವ್ಯಾಖ್ಯಾನಕಾರ","ভাষা
 দোভাষী"
"ಭಾಷೆ
 ಸಂಸ್ಕರಕ","ভাষা
 প্রসেসর"
"ಭಾಷೆ
 ಹೇಳಿಕೆ","ভাষা
 বিবৃতি"
ಭಾಷಾ ಉಪವಿಭಾಗ,ভাষা উপসেট
"ಭಾಷೆ
 ಭಾಷಾಂತರ
 ವೈಶಿಷ್ಟ್ಯ","ভাষা
 অনুবাদ
 বৈশিষ্ট্য"
"ಭಾಷೆ
 ಭಾಷಾಂತರಕಾರ","ভাষা
 অনুবাদক"
"ದೊಡ್ಡ ಪ್ರಮಾಣ
 ಏಕೀಕರಣ","বড় স্কেল
 মিশ্রণ"
"ಸುಗಮ
 ಸಂವಹನ","লেজার
 যোগাযোগ"
"ಲೇಸರ್ ಎಮಲ್ಷನ್
 ಸಂಗ್ರಹಣೆ","লেজার ইমালসন
 স্টোরেজ"
ಲೇಸರ್ ಜೆಟ್ ಮುದ್ರಕ,লেজার জেট প্রিন্টার
ಪಟ,ল্যাচ
ಪೇಚಾಟ,ল্যাচিং
ಸುಪ್ತತೆ (ಸಮಯ),বিলম্ব (সময়)
"ಪಾರ್ಶ್ವದ ಪುನರುಕ್ತಿ
 ಪರಿಶೀಲನೆ","পার্শ্বীয় অপ্রয়োজনীয়তা
 পরীক্ষা করুন"
ಪಾರ್ಶ್ವ ಹಿಮ್ಮುಖ,পার্শ্বীয় বিপরীত
ನಾಯಕ,নেতা
ಲೀಡರ್ ರೆಕಾರ್ಡ್,নেতা রেকর্ড
ಪ್ರಮುಖ ನಿಯಂತ್ರಣ,শীর্ষস্থানীয় নিয়ন্ত্রণ
ಪ್ರಮುಖ,শীর্ষস্থানীয় সিদ্ধান্ত
ಮುನ್ನಡೆ,অগ্রণী শেষ
ಪ್ರಮುಖ ಗ್ರಾಫಿಕ್ಸ್,শীর্ষস্থানীয় গ্রাফিক্স
ಪ್ರಮುಖ ಶೂನ್ಯ,শীর্ষস্থানীয় শূন্য
ಜಿಗಿಯುವ ಪರೀಕ್ಷೆ,লিপফ্রোগ পরীক্ষা
ಗುತ್ತಿಗೆ ಚಾನೆಲ್,ইজারা চ্যানেল
"ಗುತ್ತಿಗೆ ಸರ್ಕ್ಯೂಟ್
 ದತ್ತಾಂಶ ವರ್ಗಾವಣೆ
 ಸೇವಕ","ইজারা সার্কিট
 ডেটা-সংক্রমণ
 পরিষেবা"
ಗುತ್ತಿಗೆ ಸಾಲು,লিজড লাইন
ಗುತ್ತಿಗೆ,ইজারা
"ಕನಿಷ್ಠ ಆಗಾಗ್ಗೆ
 ಬಳಸಿದ ಮೆಮೊರಿ","কমপক্ষে ঘন ঘন
 ব্যবহৃত স্মৃতি"
"ಕನಿಷ್ಠ ಇತ್ತೀಚೆಗೆ ಬಳಸಲಾಗುತ್ತದೆ
 ನೆನಪು","কমপক্ষে সম্প্রতি ব্যবহৃত
 স্মৃতি"
ಕನಿಷ್ಠ ಮಹತ್ವ,কম গুরুত্বপূর্ণ
"ಕನಿಷ್ಠ ಮಹತ್ವ
 ಪಾತ್ರ","কম গুরুত্বপূর্ণ
 চরিত্র"
"ಕನಿಷ್ಠ ಮಹತ್ವ
 ಅಂಕ","কম গুরুত্বপূর্ণ
 অঙ্ক"
"ಎಡಗೈ
 ಇಸತ್","বাম হাতের মার্জিন
 ইন্ডেন্ট"
ಎಡ ಸಮರ್ಥನೆ,বাম ন্যায্যতা
ಕಾಲು,পা
ಉದ್ದ,দৈর্ঘ্য
"ಉದ್ದ
 ನಿರ್ದಿಷ್ಟತೆ","দৈর্ঘ্য
 স্পেসিফিকেশন"
ಪತ್ರ,চিঠি
ಅಕ್ಷರ ಸಂಹಿತೆ,চিঠি কোড
ಪತ್ರ,চিঠি আউট
ಪತ್ರದ ಗುಣಮಟ್ಟ,চিঠির গুণমান
ಅಕ್ಷರ ವರ್ಗಾವಣೆ,চিঠি শিফট
ಸಮಾಧಿ,স্তর
ಮಟ್ಟದ ಸರಿದೂಗಕ,স্তর ক্ষতিপূরণকারী
ಸಮಗ್ರ ಸೂಚಕ,স্তর সূচক
ಮಟ್ಟದ ಸಂಖ್ಯೆ,স্তর সংখ্যা
ಪ್ರವೇಶದ ಮಟ್ಟ,অ্যাক্সেস স্তর
ವಿಳಾಸದ ಮಟ್ಟ,সম্বোধনের স্তর
ಮಟ್ಟದ ಮಟ್ಟ,স্তর-এক পরিবর্তনশীল
ಮಟ್ಟಸಾಧ್ಯತೆ,স্তর আদেশ
ಮಟ್ಟದ ಮಿತಿಮೀರಿದ ಹೊರೆ,স্তর ওভারলোড
"ಮಟ್ಟಸ
 ಭಾಷೆ","স্তর উত্স
 ভাষা"
"ಸಮಾಧಿಯ
 ನೋಂದಣಿ","স্তর রাজ্য
 নিবন্ধন"
ಪದಕ,লেক্সেমে
ನಿಘಂಟು,অভিধান
ಗ್ರಂಥಪಾಲಕ,গ্রন্থাগারিক
ಗ್ರಂಥಪಾಲಕ ಕಾರ್ಯಕ್ರಮ,গ্রন্থাগারিক প্রোগ্রাম
ಗ್ರಂಥಾಲಯ,গ্রন্থাগার
ಗ್ರಂಥಾಲಯ ನಿರ್ದೇಶಕ,গ্রন্থাগার ডিরেক্টরি
ಗ್ರಂಥಾಲಯ ಸೌಲಭ್ಯ,গ্রন্থাগার সুবিধা
ಗ್ರಂಥಾಲಯ ಫೈಲ್ ಸಂಪಾದಕ,গ্রন্থাগার ফাইল সম্পাদক
ಗ್ರಂಥಾಲಯ ಕಾರ್ಯಕ್ರಮ,গ্রন্থাগার প্রোগ্রাম
ಗ್ರಂಥಾಲಯದ ದಿನಚರಿ,গ্রন্থাগার রুটিন
ಗ್ರಂಥಾಲಯದ ಸಬ್‌ರುಟೀನ್,লাইব্রেরি সাবরুটাইন
ಗ್ರಂಥಾಲಯದ ಟೇಪ್,গ্রন্থাগার টেপ
ಗ್ರಂಥಾಲಯದ ಟ್ರ್ಯಾಕ್,গ্রন্থাগার ট্র্যাক
"ಪರವಾನಗಿ ಪಡೆದ
 ದಸ್ತಾವತಿ","লাইসেন্স
 ডকুমেন্টেশন"
"ಪರವಾನಗಿ ಪಡೆದ
 ಪ್ರಕಟಣೆ","লাইসেন্স
 প্রকাশনা"
ಹಗುರ ಬಟನ್,হালকা বোতাম
ಹಗುರವಾದ ಮಾರ್ಗ,হালকা জলবাহী
"ಲಘು-ಹೊರಸೂಸುವ
 ಡಯೀಡೆ","হালকা-নির্গমন
 ডায়োড"
"ಲಘು-ಹೊರಸೂಸುವ
 ಡಯೋಡ್ ಪ್ರದರ್ಶನ","হালকা-নির্গমন
 ডায়োড প্রদর্শন"
ಲಘು ಮಾರ್ಗದರ್ಶಿ,হালকা গাইড
ಲಘು ಕೋರೆ,হালকা বন্দুক
ತಿಳಿ ಪೆನ್ನು,হালকা কলম
ಲೈಟ್ ಪೆನ್ ಗಮನ,হালকা কলমের মনোযোগ
ಲಘು ಪೆನ್ ಪತ್ತೆ,হালকা কলম সনাক্তকরণ
ಲಘು ಪೆನ್ ಹಿಟ್,হালকা কলম আঘাত
ಲೈಟ್ ಪೆನ್ ಸ್ಟ್ರೈಕ್,হালকা কলম ধর্মঘট
ಲೈಟ್ ಪೆನ್ ಟ್ರ್ಯಾಕಿಂಗ್,হালকা কলম ট্র্যাকিং
ಲಘು ಸ್ಥಿರತೆ,হালকা স্থিতিশীলতা
ಮಿತಿಮೀರಿದ ಪರಿಶೀಲನೆ,সীমাবদ্ধ চেক
"ನಿವ್ವಳ
 ಅಳವಡಗಾರ","সীমিত দূরত্ব
 অ্যাডাপ্টার"
ಮಿತಿಗೊಳಿಸು,সীমাবদ্ধ
ಮಿತಿ ಸರ್ಕ್ಯೂಟ್,সীমাবদ্ধ সার্কিট
ರೇಖೆ,লাইন
ಸಾಲಿನ ಅಡಾಪ್ಟರ್,লাইন অ্যাডাপ্টার
ಸಾಲಿನ ಅಡಾಪ್ಟರ್ ಘಟಕ,লাইন অ্যাডাপ্টার ইউনিট
"ರೇಖೀಯ ಗಡಿ
 ಆಟೊಮಾಟಾ","লিনিয়ার সীমাবদ্ধ
 অটোমেটা"
ರೇಖಾ ಸಂಯೋಜಕ,লিনিয়ার কম্বিনার
ರೇಖಾ ಅಸ್ಪಷ್ಟತೆ,লিনিয়ার বিকৃতি
"ರೇಖೀಯ ಸಂಯೋಜಿತ
 ಸುತ್ತಾಟ","লিনিয়ার ইন্টিগ্রেটেড
 সার্কিট"
ರೇಖಾತ್ವ,লিনিয়ারিটি
ರೇಖೀಯ ಭಾಷೆ,লিনিয়ার ভাষা
ರೇಖೀಯ ಪಟ್ಟಿ,লিনিয়ার তালিকা
ರೇಖೀಯ ಆಪ್ಟಿಮೈಸೇಶನ್,লিনিয়ার অপ্টিমাইজেশন
"ರೇಖೆಯ
 ಪ್ರೋಗ್ರಾಮಿಂಗ್","লিনিয়ার
 প্রোগ্রামিং"
ರೇಖೀಯ ನಿಯಂತ್ರಕ,লিনিয়ার নিয়ন্ত্রক
"ರೇಖೆಯ
 ನಿರೂಪಣೆ","লিনিয়ার
 প্রতিনিধিত্ব"
ರೇಖಾ ಹುಡುಕಾಟ,লিনিয়ার অনুসন্ধান
ರೇಖೀಯ ಆಯ್ಕೆ,লিনিয়ার নির্বাচন
ರೇಖೀಯ ಘಟಕ,লিনিয়ার ইউনিট
"ಸಮಯಕ್ಕೆ ತಕ್ಕಂತೆ
 ಮುದ್ರಕ (= ಸಾಲು
 ಮುದ್ರಕ)","লাইন-এ-এ-টাইম
 প্রিন্টার (= লাইন)
 প্রিন্টার)"
ಸಾಲು ಪಾತ್ರ,লাইন চরিত্র
ಸಾಲು ಸಂಹಿತೆ,লাইন কোড
ರೇಖೆಯ ಏಕಾಗ್ರತೆ,লাইন ঘনত্ব
ಸಾಲು ನಿಯಂತ್ರಣ,লাইন নিয়ন্ত্রণ
ಸಾಲು ನಿಯಂತ್ರಣ ಬ್ಲಾಕ್,লাইন নিয়ন্ত্রণ ব্লক
"ಸಾಲು ನಿಯಂತ್ರಣ
 ಶಿಸ್ತು (= ಸಾಲು
 ಶಿಷ್ಟಾಚಾರ)","লাইন নিয়ন্ত্রণ
 শৃঙ্খলা (= লাইন
 প্রোটোকল)"
ಸಾಲದ ಕೌಂಟರ್ ಮತ್ತು ಸಾಲದ ಕೌಂಟರ್ -ಕೌಂಟರ್ ಸ್ಥಾನ,লাইন কাউন্টার
ಲೈನ್ ಡೇಟಾ ಸೆಟ್,লাইন ডেটা সেট
ಸಾಲಿನ ಅಳತೆ ಚಿಹ್ನೆ,লাইন মুছুন প্রতীক
"ಸಾಲು ಅಳಿಸುವಿಕೆ
 ಪಾತ್ರ","লাইন মুছে ফেলা
 চরিত্র"
"ಸಾಲು ಶಿಸ್ತು
 (= ಲೈನ್ ಪ್ರೋಟೋಕಾಲ್)","লাইন শৃঙ্খলা
 (= লাইন প্রোটোকল)"
"ರೇಖನ ರೇಖೆ
 ಪ್ರದರ್ಶನ","রেখাচিত্র
 প্রদর্শন"
ರೇಖಾ ಚಾಲಕ,লাইন ড্রাইভার
ಸಾಲು ಸಂಪಾದನೆ,লাইন সম্পাদনা
"ಸಾಲು ಅಂತ್ಯ
 ಹೊಂದಾಣಿಕೆ","লাইন-এন্ড
 সামঞ্জস্য"
"ಸಾಲು-ಅಂತ್ಯದ ನಿಯಂತ್ರಣ
 ಕೀಲಿ","লাইন-শেষ নিয়ন্ত্রণ
 চাবি"
ಸಾಲಿನ ಅಂತ್ಯದ ವಲಯ,লাইন-শেষ অঞ্চল
ರೇಖಾ ತುದಿ,লাইন-এন্ড জোন
ಸಾಲು ಸಲಕರಣೆ,লাইন সরঞ্জাম
ಸಾಲು ಆಹಾರ,লাইন ফিড
ಲೈನ್ ಫೀಡ್ ಅಕ್ಷರ,লাইন ফিড চরিত্র
ಲೈನ್ ಫಿಲ್ಟರ್ ಬ್ಯಾಲೆನ್ಸ್,লাইন ফিল্টার ভারসাম্য
ಸಾಲು ಶೋಧಕ,লাইন সন্ধানকারী
ಸಾಲಿನ ಉತ್ಪಾದಕ,লাইন জেনারেটর
ಸಾಲು ಗುಂಪು,লাইন গ্রুপ
ಹಿಟ್,লাইন হিট
ರೇಖೆಯ ಪ್ರತಿರೋಧ,লাইন প্রতিবন্ধকতা
ಸಾಲು ಸೂಚಕ,লাইন সূচক
ಲೈನ್ ಇಂಟರ್ಫೇಸ್ ಬೇಸ್,লাইন ইন্টারফেস বেস
ಸಾಲು ಕೀಲ,লাইন কী
ಸಾಲು ಮಟ್ಟ,লাইন স্তর
ಲೈನ್ ಲಿಂಕ್ ಪಲ್ಸಿಂಗ್,লাইন লিঙ্ক পালসিং
ರೇಖೆಯ ಹೊರೆ,লাইন লোড
ಸಾಲು ಲೂಪ,লাইন লুপ
"ಸಾಲು ಲೂಪ
 ಪ್ರತಿರೋಧ","লাইন লুপ
 প্রতিরোধ"
"ರೇಖೆ
 ತಪ್ಪುಗ್ರಹಿಕೆ","লাইন
 ভুল নিবন্ধন"
"ಸಾಲಿನ ಮೋಡ್, ಸ್ವಿಚಿಂಗ್","লাইন মোড, স্যুইচিং"
ರೇಖೆಯ ಶಬ್ದ,লাইন শব্দ
ಸಾಲಿನ ಸಂಖ್ಯೆ,লাইন সংখ্যা
"ಸಾಲಿನ ಸಂಖ್ಯೆ
 ಸಂಪಾದನೆ","লাইন সংখ্যা
 সম্পাদনা"
ಸಾಲು ಮುದ್ರಕ,লাইন প্রিন্টার
ಸಾಲು ಮುದ್ರಣ,লাইন মুদ্রণ
ಸಾಲು ಪ್ರೋಟೋಕಾಲ್,লাইন প্রোটোকল
ಸಾಲು ರಿಲೇ,লাইন রিলে
"ಸಾಲಿನ ಪ್ರತಿಕ್ರಿಯೆ
 ಕ್ರಮ","লাইন প্রতিক্রিয়া
 মোড"
ಸಾಲು ಓರೆ,লাইন স্কিউ
ರೇಖೆಯ ವೇಗ,লাইন গতি
ಪ್ರತಿ ಇಂಚಿಗೆ ಸಾಲುಗಳು,লাইন-প্রতি ইঞ্চি
ಸಾಲಿನ ಸ್ಥಾನ,লাইন স্থিতি
ರೇಖೆಯ ಹಿಗ್ಗಿಸುವ ಯಂತ್ರ,লাইন স্ট্রেচার
ರೇಖೆಯ ಉಲ್ಬಣ,লাইন সার্জ
ಸಾಲು ಸ್ವಿಚಿಂಗ್,লাইন স্যুইচিং
ರೇಖೆಯ ದಟ್ಟಣೆ,লাইন ট্র্যাফিক
ಮರ,লিঙ্ক
ಸಂಬಂಧ,লিঙ্কেজ
ಸಂಪರ್ಕ ಸಂಪಾದಕ,লিঙ্কেজ সম্পাদক
ಸಂಪರ್ಕ ವಿಭಾಗ,লিঙ্কেজ বিভাগ
ಲಗತ್ತಿಸಲಾದ,লিঙ্ক-সংযুক্ত
"ಲಗತ್ತಿಸಲಾದ
 ನಿಲ್ದಾಣ","লিঙ্ক-সংযুক্ত
 স্টেশন"
"ಲಗತ್ತಿಸಲಾದ
 ಅಂತಿಮ","লিঙ্ক-সংযুক্ত
 টার্মিনাল"
ಬಿಟ್,লিঙ্ক বিট
"ಲಿಂಕ್ ಬೈ
 ಸಂಕೇತಗೊಳಿಸುವುದು","লিঙ্ক বাই লিঙ্ক
 সংকেত"
ಸಂಪರ್ಕ ಸಂಪರ್ಕ,লিঙ্ক সংযোগ
ನಿಯಂತ್ರಣ,লিঙ্ক নিয়ন্ত্রণ
"ನಿಯಂತ್ರಣ
 ವಿಧಾನ","লিঙ্ক নিয়ন্ত্রণ
 পদ্ধতি"
ಲಿಂಕ್ ಸಂಪಾದಿಸು,লিঙ্ক সম্পাদনা
"ಲಿಂಕ್ಡ್ ಅನುಕ್ರಮ
 ಕಲೆ","লিঙ্কযুক্ত ক্রম
 ফাইল"
ಲಿಂಕ್ಡ್ ಸಬ್‌ರುಟೈನ್,লিঙ্কযুক্ত সাবরুটাইন
ಕೊಂಡಿ,লিঙ্কার
ಸುಗಂಧ ದಳ,লিঙ্ক গ্রুপ
ಲೋಡರ್ ಲಿಂಕ್ ಮಾಡಲಾಗುತ್ತಿದೆ,লিঙ্কিং লোডার
"ಲೋಡರ್ ಲಿಂಕ್ ಮಾಡಲಾಗುತ್ತಿದೆ
 ಉಪಯೋಗಕ","লিঙ্কিং লোডার
 কার্যনির্বাহী"
ಲಿಂಕ್ ಪ್ರೋಟೋಕಾಲ್,লিঙ্ক প্রোটোকল
"ಲಿಸ್ಪ್ (ಪಟ್ಟಿ
 ಪ್ರಕ್ರಿಯೆ))","লিস্প (তালিকা
 প্রক্রিয়াজাতকরণ)"
"ಪಟ್ಟಣ ನಿರ್ದೇಶನದ
 ರೋಗ ಪ್ರಸಾರ","তালিকা নির্দেশিত
 সংক্রমণ"
ಆಲಿಸುವ ವಿಧಾನ,শ্রবণ মোড
"ಪಟ್ಟಿ ನಿರ್ವಹಣೆ
 ಹೇಳಿಕೆ","হ্যান্ডলিং তালিকা
 বিবৃতি"
ಪಟ್ಟಿ,তালিকা
ಪಟ್ಟಿ ಸಂಸ್ಕರಣೆ,তালিকা প্রক্রিয়াজাতকরণ
ಪಟ್ಟಿ ಸಂಸ್ಕರಣಾ ಭಾಷೆ,প্রসেসিং ভাষা তালিকা
"ಪಟ್ಟಿ ಸಂಸ್ಕರಣೆ
 ಕಾರ್ಯಕ್ರಮ","তালিকা প্রক্রিয়াজাতকরণ
 কার্যক্রম"
ಪಟ್ಟಿ ರಚನೆ,তালিকা কাঠামো
ಅಕ್ಷರಶಃ,আক্ষরিক
ಅಕ್ಷರಶಃ ಕಾರ್ಯಾಚರಣೆಯ,আক্ষরিক অপারেন্ড
ಅಕ್ಷರಶಃ ಕೊಳ,আক্ষরিক পুল
ಅಕ್ಷರಶಃ ಹುಡುಕಾಟ,আক্ষরিক অনুসন্ধান
ಸಾಹಿತ್ಯ ಹುಡುಕಾಟ,সাহিত্য অনুসন্ধান
ಕೀಬೋರ್ಡ್ ಲೈವ್,লাইভ কীবোর্ড
ಹೊರೆ,ভার
ಹೊರೆ ಸಮತೋಲನೆ,ভারসাম্য লোড
ಚೀಟಿ,লোড কার্ড
ಸುರುಳಿ,লোড কয়েল
ಲೋಡ್ ಮಾಡಿದ ರೇಖೆ,লোড লাইন
ಲೋಡ್ ಮಾಡಿದ ಮೂಲ,লোড উত্স
ತುಂಬುವವನು,লোডার
