Odiya,Hindi
ଇମିଗ୍ରେସନ,आप्रवास
ଇମିଗ୍ରେସନ,आप्रवासन
ଅମରୋଗାଲାଇଜ୍ |,अविनाशी होना
ପ୍ରତିରକ୍ଷା ପ୍ରତିକ୍ରିୟା |,प्रतिरक्षा अनुक्रिया
ରୋଗପ୍ରତିରୋଧକ ପ୍ରଣାଳୀ,प्रतिरक्षा तंत्र
ପ୍ରତିରକ୍ଷା ପ୍ରଣାଳୀ ବ୍ୟାଧି |,प्रतिरक्षा तंत्र विकार
ରୋଗ ପ୍ରତିରୋଧକ ଶକ୍ତି |,प्रतिरक्षा
ଇମୁନୋ-ଆପୋଷ ବୁ .ାମଣା |,प्रतिरक्षा समंजित
ଇମ୍ପୁନୋ ଅଭାବ ରୋଗ |,प्रतिरक्षा न्यूनता रोग
ଇମେନୋ ଇଲେକ୍ଟ୍ରୋଫୋରସ୍ |,प्रतिरक्षी वैद्युतकण संचलन
ଇମେନୋ ଫ୍ଲୋରୋସେଣ୍ଟ୍ ଆଣ୍ଟିବଡି ଲେବଲ୍ |,प्रतिरक्षा प्रतिदीप्ति प्रतिपिंड लेबलन
ଇମ୍ପୁନୋ ଓକେଣ୍ଟ୍ ଆସେ |,प्रतिरक्षा शोषक आमापन
ଇମୁନୋ ଦମନକାରୀ ଥେରାପି |,प्रतिरक्षा दमनक चिकित्सा
ଇମ୍ପୁନୋ ଦମନକାରୀ |,प्रतिरक्षा- निरोधक
ଇମ୍ୟୁନୋଜେନିକ୍ |,प्रतिरक्षाजनी
ଇମ୍ୟୁନୋଗ୍ଲୋଲମ୍ବୁଲ୍ |,"इम्यूनोग्लोब्युलिन, प्रतिरक्षाग्लोब्युलिन"
ଇମୁନୋଲୋଜି |,प्रतिरक्षाविज्ञान
ଇମେନୁନୋଡୁଲେଟର |,प्रतिरक्षा मॉडुलक
ଇମୁନୋଟୋଲେସନ୍ ଥେରାପି |,प्रतिरक्षा क्षमतावर्धन चिकित्सा
ଇମ୍ୟୁନୋସୁପ୍ରେସିଭ୍ drug ଷଧ |,प्रतिरक्षा निरोधी औषधि
ଇମ୍ୟୁଥେରାପି |,प्रतिरक्षा चिकित्सा
ଉଦାରିପିନେଟେଟ୍ |,विषमपिच्छकी
ଇମ୍ପେରାଟା |,इम्पेरैटा
ଅକ୍ଷୟ,अपारगम्य
ପ୍ରତିରୋପଣ,अंतर्रोप
ପ୍ରତିରୋପଣ,अंतर्रोपण
ଉନ୍ନତ ବିହନ,उन्नत बीज
ଉନ୍ନତ ବିବିଧତା |,उन्नत किस्म
ସ୍ଥିତିରେ |,स्वस्थाने
ଭିଟ୍ରୋରେ |,पात्रे
ଭିଟ୍ରୋ ଫର୍ଟିଲାଇଜେସନ୍ (IVF) ରେ |,पात्रे निषेचन
ଭିଭୋରେ,जीवे
ନିଷ୍କ୍ରିୟ |,निष्क्रिय
ଇନବ୍ରେଡ୍ ଲାଇନ୍ |,अंतःप्रजात क्रम
ଅଯଥା,अंतःप्रजनन
ପ୍ରତ୍ୟାହାରର ଘଟଣା,पुनर्योजन आपतन
ପ୍ରବଳ,भस्मीकरण
ଇନସିଷ୍ଟର୍,कृंतक (दंत)
ଅନ୍ତର୍ଭୂକ୍ତ କୂଳ,"अंतर्विष्ट पिंड, अंतर्वेशकाय"
ଅସଙ୍ଗତ ଆଚରଣ |,असंबद्ध व्यवहार
ଅସଙ୍ଗତତା,असंगतता
ଅସଙ୍ଗତତା,अनिषेच्यता
ଅସମ୍ପୂର୍ଣ୍ଣ ପ୍ରାଧାନ୍ୟ |,अपूर्ण प्रभाविता
ଇନକ୍ୟୁବେଟର,ऊष्मायित्र
ଅବିବାହିତ,आश्रयी
ଭୋଗୁସ୍,"स्थूण, इन्कस"
ଚତୁର ଫଳ |,अस्फुटनशील फल
ଇଣ୍ଡେଣ୍ଟ୍ |,दांतेदार
ସ୍ independent ାଧୀନ ପ୍ରକାର,स्वतंत्र अपव्यूहन
ସ୍ independent ାଧୀନ ଜିନ୍,स्वतंत्र जीन
ଇଣ୍ଡିଆନ୍ କାଉନସିଲ୍ ଅଫ୍ କୃଷି ଅନୁସନ୍ଧାନ |,भारतीय कृषि अनुसंधान परिषद्
ଭାରତୀୟ ସଲମାନ |,"रवस, बामीन"
ସୂଚକ ପ୍ରଜାତିଗୁଡିକ |,सूचक जाति
Medicine ଷଧର ସ୍ୱଦେଶୀ ସିଷ୍ଟମ୍ |,देशी चिकित्सा पद्धति
ଇନ୍ଦିଗୋଫେରା |,इंडिगोफेरा
ଇନଡୋର ପ୍ରଦୂଷଣ |,"अंतःकक्ष प्रदूषण, आंतरिक प्रदूषण"
ପ୍ରେରିତ ଆନ୍ଦୋଳନ |,प्रेरित गति
ପ୍ରେରିତ ମ୍ୟୁଟେସନ୍ |,प्रेरित उत्परिवर्तन
ଇନ୍ଦୁସର୍,प्रेरक
ଇନ୍ଦୁସର୍ ଜିନ୍ |,प्रेरक जीन
ନିରବଚ୍ଛିନ୍ନ ନିୟନ୍ତ୍ରଣ |,प्रेरणीय नियंत्रण
ନିର୍ବିଶନୀୟ ଏନଜାଇମ୍ |,प्रेरणी एंजाइम
କର୍କଟ ରୋଗର ପରିବର୍ତ୍ତନ,कैन्सर-प्रेरण
ଶିଳ୍ପ ମେଲାନଜିମ୍ |,औद्योगिक अतिकृष्ण
ଶିଳ୍ପ ପ୍ରଦୂଷଣ |,औद्योगिक प्रदूषण
ଶିଳ୍ପ ଧୂଆଁ |,औद्योगिक धुआँ
ଆଚରଣ ମାଇକ୍ରୋସ୍କୋପି |,व्यतिकरण विपर्यास सूक्षमदर्शिकी
ଅବିସ୍ମରଣୀୟ ଉତ୍ସଗୁଡିକ |,अक्षय संसाधन
ସଂକ୍ରାମକ ରୋଗ,संक्रामक रोग
ସଂକ୍ରମଣ,संक्रामकता
ସୂଚନାଯୋଗ୍ୟ,अनुमान
ନିମ୍ନମାନର ସେର୍ବେଲଲର ପେଡୁନଭେଲ୍ |,अधःअनुमस्तिष्क-वृंतक
ନିମ୍ନ ମାନସେଣ୍ଟ୍ରିକ୍ ଗ୍ୟାଙ୍ଗଲିଅନ୍ |,अधर आंत्रयोजनी गुच्छका
ଅସୀମ,"अनंत, अपरिमित"
ପ୍ରଦାହ,शोथ
ପ୍ରଦାହଜନକ ପ୍ରତିବନ୍ଧକ |,शोथज रोध
ପ୍ରଦାହଜନକ ପ୍ରତିକ୍ରିୟା |,शोथ प्रतिक्रिया
ପ୍ରଦାହଜନକ ପ୍ରତିକ୍ରିୟା |,शोथज अनुक्रिया
ମୁଦ୍ରାସ୍ଫୀତି,स्फीति
ଅସ୍ତ୍ରଶସ୍ତ୍ର,पुष्पक्रम
ସ୍ୱାଇନ୍ ଫ୍ଲୁ,इन्फ्लुएंजा
ପ୍ରବାହ,अंतर्वाह
ଇନଫ୍ରିବଟାଲ୍ ଗ୍ରନ୍ଥି |,अवनेत्रकोटर ग्रंथि
ଇନଫଣ୍ଡିବୁଲମ୍ |,"कीपक, इफंडीबुलम"
ଖାଦ୍ୟ ଖାଇବା |,अंतर्गृहीत भोजन
ସମ୍ବନ୍ଧୀୟତା,अंतर्ग्रहण
In ତୁନିନାଲ୍ କେନାଲ୍ |,वंक्षण नाल
In ତୁଲିନ୍ ହର୍ନିଆ |,वंक्षण हर्निया
ଉତ୍ତରାଧିକାରୀ,वंशागति
ଉତ୍ତରାଧିକାରୀ ମଲିକୁଲାର୍ ରୋଗ |,वंशागत आण्विक रोग
ପ୍ରତିରୋଧ,संदमन करना
ନିଷ୍କ୍ରିୟ,संदमित
ହରମୋନ୍ ପ୍ରତିରୋପଣ |,संदमक हॉर्मोन
ପ୍ରତିବନ୍ଧକ,संदमन
ପ୍ରତିବନ୍ଧକ ପେପ୍ଟାଇଡ୍ |,संदमनी पेप्टाइड
ଆରମ୍ଭ,प्रारंभन
ପ୍ରାରମ୍ଭିକ,प्रारंभक
ଇଞ୍ଜେକ୍ସନ,अंतःक्षेपित
କ୍ଷତ,क्षति
ଇନଲେଟ୍,अंतर्गम
ଅନ୍ତର୍ନିହିତ ରୋଗୀତା |,सहज प्रतिरक्षा
ଇନୋରଗାନିକ୍ ବିବର୍ତ୍ତନ |,अजैव विकास
ଇନୋରଗାନିକ୍ ସାମଗ୍ରୀ |,अकार्बनिक पदार्थ
ଇନୋସାଇଟୋସ୍ରୋସ୍ରଫୋସେଟ୍ |,इनॉसिटॉलट्राइफॉस्फेट
ପୁଷ୍ଟିକର ଇନପୁଟ୍ |,पोषक का निवेश
କୀଟ,कीट
କୀଟନାଶକ ଚେତାବନୀ |,कीटाहारी फुदकी (पक्षी)
କୀଟପତଙ୍ଗ ପୋକ,कीट पीड़क
କୀଟପତଙ୍ଗ ପ୍ରତିରୋଧ |,कीट प्रतिरोध
କୀଟନାଶକା,"कीटवर्ग, इन्सेक्टा"
କୀଟନାଶକ ପ୍ରୋଟିନ୍ |,कीटनाशी प्रोटीन
କୀଟନାଶକ,कीटनाशी
କୀଟନାଶକ,कीटाहारी
କୀଟନାଶକ ଉଦ୍ଭିଦ |,कीटाहारी पादप
କ୍ରିୟା,वीर्यसेचन
ସନ୍ନିବେଶ ନିଷ୍କ୍ରିୟତା |,अंतर्विष्ट निष्क्रियण
ପ୍ରେରଣାଦାୟକ କ୍ଷମତା |,अंतःश्वसन क्षमता
ପ୍ରେରଣାଦାୟୀ ସଂରକ୍ଷଣ ଭଲ୍ୟୁମ୍ |,अंतःश्वसनी निचित आयतन
ପ୍ରାକୃତିକ ବୃଦ୍ଧିର ଇନଷ୍ଟ୍ରିନ୍ସିକ୍ ହାର |,प्राकृतिक वृद्धि की आंतर दर
ଇନସୁଲେଟ୍ କରନ୍ତୁ |,रोधित करना
ଇନସୁଲିନ୍ |,इन्सुलिन
ଇଣ୍ଟିଗ୍ରାଲ୍ ପ୍ରୋଟିନ୍ |,अभिन्न प्रोटीन
ଏକତ୍ର କର,समाकलन करना
ଏକୀକରଣ,समाकलन
ପୂର୍ଣ୍ଣ,अध्यावरण
ଆନ୍ତ am ତନ୍ତ୍ର ନେଫାଇଡିୟମ୍ |,अध्यवरणी वृक्कक
ପାରସ୍ପରିକ କ୍ରିୟା,पारस्परिक क्रिया
ନକାରାତ୍ମକ ପ୍ରଭାବ ସହିତ ପାରସ୍ପରିକ କ୍ରିୟା |,नकारात्मक प्रभाव वाली पारस्परिक क्रिया
ପାରସ୍ପରିକ ସେପ୍ଟମ୍ |,अंतरा अलिंद पट
ଆନ୍ତରିକତାର ସହିତ,अंतःप्रजनन
ନିୟନ୍ତ୍ରିତ ବ୍ୟକ୍ତିଗତ |,अंतःप्रजननी व्यष्टि
ଆନ୍ତ a,"अंतर्वेशी, अंतार्विष्ट"
ଇଣ୍ଟର୍କାଚ୍ ହୋଇଥିବା ଡିସ୍କ |,अंतर्विष्ट बिंब
ଇଣ୍ଟରସେଲାର୍ ମ୍ୟାଟ୍ରିକ୍ସ |,अंतःकोशिकीय आधात्री
ଇଣ୍ଟରସେଲୁଲାର୍ ସ୍ପେସ୍ |,अंतराकोशिकीय स्थान
ବାଧା,अपरोधन
ବାଧା,अंतखंड
ଇଣ୍ଟର-ଚେନ୍ ବଣ୍ଡ |,अंतरा-शृंखला आबंध
ଇଣ୍ଟରର୍ଡୋବଲ୍ ବ୍ରିଗେଡ୍ |,अंतर्द्विक ब्रिगेड
ଇଣ୍ଟରଫାସ୍କିକୁଲାର କାମ୍ବିୟମ୍ |,अंतरापूलीय एधा
ଆନ୍ତ ାଦଶବତା ସ୍ଥାନ |,अंतर कला अवकाश
ଆନ୍ତରିକ,अंतरावस्था
ଇଣ୍ଟରଫେଜ୍ କ୍ରୋମୋଜୋମ୍ |,अंतरावस्था गुणसूत्र
ବିପର୍ଟାଲ୍ ସେପ୍ଟମ୍ |,अंतराखंडीय पट
ଇଣ୍ଟରଫାସ୍କିକୁଲାର କାମ୍ବିୟମ୍ |,अंतरापूलीय एधा
ରନେଫର୍ କରିବା,व्यतिकारी आर. एन. ए.
ବାଧା,इंटरफेरॉन
ବାଧା,"अंतरजननक्षम, अंतरउर्वर"
ଇଣ୍ଟରଲୁକିନ୍ |,इंटरल्यूकिन
ହସ୍ତକ୍ଷେପ,अंतःपाशित
ମଧ୍ୟବର୍ତ୍ତୀ ଦିନ ଉଦ୍ଭିଦ |,मध्यवर्ती प्रदीप्ति पादप
ମଧ୍ୟବର୍ତ୍ତୀ ଚାବି |,मध्यवर्ती तंतु
ମଧ୍ୟବର୍ତ୍ତୀ ଲୋବେ,मध्यवर्ती पालि
ମଧ୍ୟବର୍ତ୍ତୀ ଯୋଡି |,माध्यवर्ती युग्मन
ଆନ୍ତରିକ କାନ,आंतरिक कर्ण
ଆଭ୍ୟନ୍ତରୀଣ ପରିବେଶ,आंतरिक पर्यावरण
ଆଭ୍ୟନ୍ତରୀଣ ଜୁଗଲାର ଶିରା |,आंतरिक युज्ञ शिरा
ଆଭ୍ୟନ୍ତରୀଣ ମର୍ଫୋଲୋଜି |,आंतरिक आकारिकी
ଆଭ୍ୟନ୍ତରୀଣ ପୁଷ୍ଟିକର ସାଇକେଲ ଚଲାଇବା |,आंतरिक पोषक चक्रण
ଆଭ୍ୟନ୍ତରୀଣ ରିମ୍,आंतरिक लय
ଆନ୍ତର୍ଜାତୀୟ କୋଡ୍ |,अंतरराष्ट्रीय कोड
ଆନ୍ତର୍ଜାତୀୟ ମାନବ ଜେନୋଜ୍ ପ୍ରୋଜେକ୍ଟ |,अंतरराष्ट्रीय मानव जीनोम परियोजना
ଆଭେଜର |,पोर
ଆନ୍ତ p,अंतराग्रही
ବାଧାପ୍ରାପ୍ତ ଜିନ୍ |,अंतरायित जीन
ଆନ୍ତରିକ,मध्यलिंगी
ଅନ୍ତର୍ନିହିତ ହାଇବ୍ରିସିଡେସନ୍ |,अंतर्जातीय संकरण
ଆନ୍ତ st ରାଜ୍ୟ ସେଲ୍ ହରମୋନ୍ ଉତ୍ସାହିତ କରେ |,अंतराली कोशिका उद्दीपक हॉर्मोन
ଆନ୍ତ st ରାଜ୍ୟ କକ୍ଷ,"अंतराली कोशिका, अंतराकाशी कोशिका"
ଆନ୍ତ st ରାଜ୍ୟ ବିଲୋପ,अंतराली विलोपन
ଆନ୍ତ st ରାଜ୍ୟ FLIUD |,अंतराली तरल
ଆନ୍ତରିକ ହାଇବ୍ରିଡିସନ୍ |,अंतःउपजातीय संकरण
ହସ୍ତକ୍ଷେପ କ୍ରମରେ |,मध्यवर्ती अनुक्रम
ଅନ୍ତନଳୀ କାସିଆ |,आंत्र अंधनाल
ଅନ୍ତନଳୀ ରସ,आंत्र रस
ଅନ୍ତନଳୀ,"आंत्र, आंत"
ଇଣ୍ଟ୍ରାସେଲୁଲାର୍ ହଜମ |,अंतःकोशिकी पाचन
ଇଣ୍ଟ୍ରାକାଇଟୋଲାପସମିକ୍ ଶୁକ୍ରାଣୁ ଇଞ୍ଜେକ୍ସନ୍ (icsi),आंतरकोशिका द्रव्य शुक्राणु अंतःक्षेपण
Intrfasciculical Cambium |,अंतःपूलीय एधा
ଇଣ୍ଟ୍ରାମମଣ୍ଡଲେରା ନେଫ୍ରନ୍ |,मज्जासन्न वृक्काणु
ଇଣ୍ଟ୍ରାସୀଙ୍କ ପ୍ରତିଯୋଗିତା |,अंतरजाति स्पर्धा
ଇଣ୍ଟ୍ରାସିପେକାଇସିଫିକ୍ ଅସଙ୍ଗତି |,आंतरजातीय असंगतता
ଇଣ୍ଟ୍ରାସିପେକାଇସିଫିକ୍ ଅସଙ୍ଗତି |,आंतरजातीय अनिषेच्यता
ଅନ୍ତତାଣଳର ବୃହତ ଜଟିଳ ବ୍ୟବସ୍ଥା |,आंतर वृषण जनन वाहिनी तंत्र
ଇଣ୍ଟ୍ରାଉଟର୍ନ୍ ଇନସିନିଟି (IUI),अंतर्गर्भाशयी वीर्यसेचन
ଇଣ୍ଟ୍ରାଟର୍ାଇନ୍ ଟ୍ରାନ୍ସଫର (IUT),अंतर्गभाशय अंतरण
ଅନ୍ତର୍ନିହିତ ପ୍ରୋଟିନ୍ |,आंतर प्रोटीन
ଅନ୍ତର୍ନିହିତ ପ୍ରତିବନ୍ଧକ |,आंतर अवरोध
ଅନ୍ତେବାସୀ,अंतरवगम
ଇଣ୍ଟ୍ରୋନ୍ |,"अव्यक्तेक, इंट्रॉन"
ଇଣ୍ଟ୍ରୋଜ୍ |,अंतर्मुखी
ଓଲଟା |,प्रतिलोमन
ଅନ୍ଭାଇଟି,इनवर्टेज
ଓଭରଟେବ୍ରାଟ୍ସ |,अकशेरुकी प्राणी
ଅନୁସନ୍ଧାନକାରୀ,अन्वेषक
ଜଡିତ,सहपत्रचक्र
ଅନିଚ୍ଛାକୃତ ଏବଂ ଅଣ-ଷ୍ଟ୍ରେଟେଡ୍ ମାଂସପେଶୀ |,अनैच्छिक और अरेखित पेशी
ଅଡାଦିନ,आयोडीन
Iodotyrontine,आयोडोथाइरोनिन
ଆୟନ,आयन
Ion ଚ୍ୟାନେଲ |,आयन चैनल
ଆଇନ୍ ଏକ୍ସଚେଞ୍ଜ୍ କ୍ରୋମାଟୋଗ୍ରାଫି |,आयन विनिमय वर्णलेखन
Ionic bond,आयनी आबंध
ଆଇଓନିକ୍ ପାରସ୍ପରିକ କ୍ରିୟା |,आयनी पारस्परिक क्रिया
Ionocyte |,आयनाणु (आयनोसाइट)
ଇଣ୍ଟିଗ୍ରେଟେଡ୍ ପେଷ୍ଟ ପରିଚାଳନା (ipm),एकीकृत पीड़क प्रबंधन (आई.पी.एम.)
Ipoomea,आइपोमिया
Iredaceae,इरीडेसी
ଆଇସିଛି,"परितारिका, आइरिस"
ଲୁହା ଦୁର୍ଗର ଚାଉଳ |,लौह पुष्टीकृत चावल
ଆଇରନ୍ ପୋରିଫିରିନ୍ |,लौह पॉर्फिरिन
ଲୁହା ସ୍କ୍ରାପ୍ |,लौह खुरचन
ଅସାଧାରଣ କକ୍ଷ |,किरण
ବିକଶିତତା |,किरणित कोशिका
ଅନିୟମିତ |,अनियमित
ଅନିୟମିତ ଫୁଲ |,असममित पुष्प
ଅପୂରଣୀୟ ବିକୃତ |,अनुत्क्रमणीय फैलाव
ଆନ୍ତର୍ଜାତୀୟ ଚଉଡା ଅନୁସନ୍ଧାନ ପ୍ରତିଷ୍ଠାନ |,अंतर्रार्ष्ट्रीय चावन अनुसंधान संस्थान
ବିରଗୀ,उत्तेजक
ଇସିୟମ୍,आसनास्थि
ଇସିୟମ୍,श्रोणिखंड
ଲେନମ୍ୟାନ୍ଙ୍କ ଆଇଲେଟ୍ |,लैंगरहैन्स द्वीप समूह
Isoagglutinin,"समआश्लेषिन, आइसोएग्लूटिनिन"
Isobilatal ପତ୍ର |,समद्विपार्श्विक पर्ण
ଆଇସୋଗାମି |,"समयुग्मकता, समयुग्मन"
IsoSgraft,समनिरोप
ଅଲଗା,विलगित
ଅଲଗା କ୍ଲୋରୋପ୍ଲାଷ୍ଟ |,पृथक्कृत हरितलवक
ବିଚ୍ଛିନ୍ନ ଟିସୁ |,विलगित ऊतक
ବିଚ୍ଛିନ୍ନତା |,"विलगन, वियोजन, पृथक्करण"
Isomers ରଦ୍ଦ,समावयवी
Isopycncnic ସେଣ୍ଟ୍ରିଫୁଗେସନ୍ |,समघनत्व अपकेंद्रण
ଇସୋନୋଟୋିକ୍ |,समपरासारी
ଇସୋଟୋପ୍,समस्थानिक
Isotropico,समानुवर्ती
Isotropico,समदैशिक
Isotropic ବ୍ୟାଣ୍ଡ |,समदैशिक पट्ट
Isthmus,"तनुयोजी, इस्थमस"
ITAI-ITAI ରୋଗ |,इटाई-इटाई रोग
Iuds (medic ଷଧ),अंतरा गर्भाशय युक्ति (औषध)
Iuds (ଅଣ-ମେସିଫିକ୍),अंतरा गर्माशय युक्ति (औषध-हीन)
ଜାସିଡ୍ |,जैसिड
ଜୋଟ୍ରୋଫା |,जैट्रोफा
ଜଣ୍ଡିସ,पीलिया
ଜହ୍ନ,जबड़ा
ଜହ୍ନହୀନ ମେରୁଦଣ୍ଡ |,जबड़ारहित कशेरुकी
ଜେଜୁନମ୍ |,"अग्रक्षुद्रांत्र, जेजूनम"
ଜେଲିଫିସ୍ |,जेलीफिश
Jhum ଚାଷ,"झूम कृषि, स्थानांतरी खेती"
ମିଳିତ ଜଙ୍ଗଲ ପରିଚାଳନା,संयुक्त वन प्रबंधन
ESSORSKELLOTOTOTOTON |,संधित बहिःकंकाल
ଜୁଗୁଲାର୍ ଶିରା |,युज्ञ शिरा
ଜଙ୍କ ଡିନା |,अनुपयोगी डी.एन.ए.
ଜୁରାସିକ୍ ଅବଧି,जुरैसिक कल्प
ଜିଟ୍ ଟେକ୍ନୋଲୋଜି |,जूट प्रौद्योगिकी
ଜୁଭେନାଇଲ୍ ହରମୋନ୍ |,किशोर हॉर्मोन
ନାବାଳକ ଚେଜ୍ |,किशोरावस्था
JuxtAGlomerular aparatus |,गुच्छासन्न उपकरण
କଲବାସୁ |,कलबासु
କଲାଲ,केल
କାଲମେଗ,कालमेघ
କାନାମାଇକିନ୍ |,कैनेमाइसिन
Karogamy,केंद्रकसंलयन
କାରିଓଟାଇପ୍,गुणसूत्रप्ररूप
Kararotyping,गुणसूत्र-प्ररूपण
କାଉଆୟା,काउटिया
କିଲ,कूटक
କିଲ,नौतल
କ୍ୟାରାଭେନ୍ସିଡ୍ ଚର୍ମ ସେଲ୍ |,केरेटिनित त्वक् कोशिका
କେଟୋଗ୍ଲୁଟାଲ୍ୟୁଟ୍ରିକ୍ ଏସିଡ୍ |,कीटोग्लूटैरिक अम्ल
କେଟୋନ୍,कीटोन
କେଟୋନ୍ ଗ୍ରୁପ୍ |,कीटोन समूह
କେଟୋଟୋର୍ଜିଆ,कीटोनमेह
ଚାବି,कुंजी
କିଷ୍ଟୋନ ପ୍ରଜାତିଗୁଡିକ |,प्रमुखतम जाति
ଖିରର,खैर
କାଥାରି |,खेसरी
କିଡନୀ ଡାଏଲିସିସ୍ |,"वृक्क अपोहन, वृक्क डायालिसिस"
ଗତିଜ ଶକ୍ତି,गतिज ऊर्जा
କିନେଟିନ୍,काइनेटिन
ଗା intore ାଓକୋର,"गतिबिंदु, काइनेटोकोर"
ରାଜା କ୍ରାବ୍ |,राजकर्कट
ରାଜ୍ୟ,जगत्
କିଙ୍ଗଫିସର,"किलकिला, मीनरंक"
କିନୋଭ୍ଲପ୍ମାସ୍,काइनोप्लाज्म
ରୋଷେଇ ଘର ବର୍ଜ୍ୟବସ୍ତୁ |,रसोई अपशिष्ट
Klinfler ର ସିଣ୍ଡ୍ରୋମ |,क्लाइनफेल्टर संलक्षण
ଆଣ୍ଠୁ,घुटना
କ୍ରାନଜ୍ ଆନାଟୋମି |,क्रन्ज शरीर
କରେବଙ୍କ ଚକ୍ର |,क्रेब चक्र
LABIA MAJORA,बृहद् भगोष्ठ
LABIA MICARO |,लघु भगोष्ठ
ଲାବିଆଲ୍ ପାଲ୍ |,अधरोष्ठ स्पर्शक
ଲାବାଇଲ୍,अस्थिर
ଲାବିୟମ୍,अधरोष्ठ
ଲାବଲାବ୍ |,लबलब (बीन)
ଲାବ୍ରମ୍,ऊर्ध्व ओष्ठ
ଲାବିରିନ୍ଥ |,"गहन, भ्रमिका, लैबिरिंथ"
ଲକ୍ଷ,लैक
ଲାକ୍ ଓପନ୍ |,"लैक प्रचालेक, लैक ऑपेरॉन"
ଲାକ୍ତୀ,लैसीफर
ସ୍ତନ୍ୟପାନ,स्तन्यस्रवण
ଶତାବୃତ୍ତ ଆବାସବାଣୀ,स्तन्यस्रवण अनार्तव
ଲାକ୍ଟାଟ୍ରୋଫ୍ |,दुग्धपोषी
ଲାକ୍ଟୋବାକିଲ୍ସ୍ |,लैक्टोबैसीलस
ଲାକ୍ଟୋଜ୍ ମେଟାବୋଲିଜିଂ ଏନଜାଇଜ୍ |,लैक्टोज उपापचयी एंजाइम
ଲାକ୍ଟୋଜ୍,"दुग्ध शर्करा, लैक्टोस"
ଲାକକ୍ଟୁକା ସତତା |,लैकटूका सैटाइवा
ଲାକୁନା |,रिक्तिका
ପ୍ରକୃତିର ସିଡ଼ି |,प्रकृति-सोपान
ଲେଗିଂ ଷ୍ଟାଣ୍ଡିଂ |,पश्च रज्जुक
ଲାମେଲା,पटलिका
ଲାମେଲାଇଡ୍ |,लेमेलीडेन्स
ଲାମିଆସିଆ,लैमिएसी
ଲାମିଆଲେସ୍,लैमिएलीज
ଲାମିନା ପ୍ରପପିଆ |,यथार्थ पटल
ଲାମିନା |,"पटल, स्तरिका"
ଲମିନିୟା,लैमिनेरिया
ଲ୍ୟାମ୍ପ ବ୍ରଶ୍ କ୍ରୋମୋଜୋମ୍ |,लैंपब्रुश गुणसूत्र
ଲାନ୍ସୋଲେଟ୍ |,भालाकार
ଜମି ଉଦ୍ଭିଦ,स्थलपादप
ଜମିର ସ୍ନେଲ୍ |,"स्थल घोंघा, थल शंबुक"
ଲାଣ୍ଟାନା କାମାରା |,लेन्टाना कैमेरा
ଲାସେରୋସ୍ସ୍କୋପ୍ |,लैपेरोस्कोप
ଲାପାର୍ଟେୟା,लेपारटिआ
ଲାପ୍ ଲାପ୍ ହାର |,"ह्रासदर, च्युतिदर"
ଲାର୍କପୁର |,लार्कस्पर
ଲାର୍ଭାଲ୍ ମୃତ୍ୟୁହାର |,डिंभकीय मर्त्यता
ଲାରନିଙ୍ଗୋଫ୍ରିନକ୍ସ |,कंठ-ग्रसनी
ଲେଜର ମାଇକ୍ରୋସର୍ଜସି |,लेसर सूक्ष्म शल्यचिकित्सा
ଅଳସୁଆସ୍ |,लैस्यूरस
ବିଳମ୍ବିତ ବ୍ଲାଇଟ୍ |,विलंबित अंगमारी
ବିଳମ୍ବିତ ଡେଭଲପର୍ |,विलंबित विकासी
ବିଳମ୍ବିତ ପ୍ରଜାତି |,उत्तर अनुक्रमिक जाति
ବିଳମ୍ବିତ କାଠ,"पश्च काष्ठ, उत्तर काष्ठ"
ଅହଂତ୍ତତା,गुप्त ऊष्मा
ଲାଟେରାଲ୍ ଆବେଦନ,पार्श्व उपांग
ଲାଟେରାଲ୍ ଗୁଡ୍ |,पार्श्व कलिका
ପାର୍ଶ୍ୱ ଧୂସର ଶିଙ୍ଗ |,पार्श्व धूसर शृंग
ଲାଟେରାଲ୍ ଭେଣ୍ଟ୍ରିକଲ୍ |,"पार्श्व वेंट्रिकल, पार्श्व मस्तिष्कनिलय"
ଲାଟେକ୍ସ,"रबड़क्षीर, लेटेक्स"
ଲେଟ୍ରସ୍ ସତୀଶ,लेथाइरस सैटाइवस
ଲାଟାଇସ୍,जालक
ଲାଟାଇସ୍ ଗଠନ |,जालक संरचना
ଲୁରିନେତା |,लॉरिनी
ସ୍ independent ାଧୀନ ସମୁଦ୍ରର ନିୟମ,स्वतंत्र अपव्यूहन नियम
ଅଧ୍ୟାପକଙ୍କ ସୀମିତତାର ନିୟମ |,सीमाकारी कारक नियम
ଉତ୍ତରାଧିକାରର ନିୟମ,वंशागति नियम
ପୃଥକତାର ନିୟମ |,विसंयोजन नियम
ଥର୍ମୋଡାଇନାମିକ୍ସର ନିୟମ |,ऊष्मागतिकी नियम
ସ୍ତର,परतन
ସ୍ତର,दाब लगाना
ଖଣିଜ ପଦାର୍ଥର ଲେକ୍ଡିଂ |,खनिज पदार्थो का निक्षालन
ସୀସା |,"सीसा, लेड"
ଅଗ୍ରଣୀ ଷ୍ଟ୍ରାଣ୍ଡ |,अग्र रज्जुक
ପତ୍ର ବୟସ,पर्ण आयु
ପତ୍ର ଏବଂ ଷ୍ଟ୍ରିପ୍ କଳଙ୍କିତ |,पर्ण और धारी किट्ट रोग
