ab initio,அடி முதலே
miscarriage of justice,நீதி தவறுகை
miscellaneous,"பல்பொருள், பலவகை"
mischief,"தீங்கு, குறும்பு, ஊறுபாடு"
misclassification,தவறான வகைப்படுத்தல்
misconduct,தவறான நடத்தை
mislead,தவறாக வழிநடத்து
mismanagement,திறமையற்ற செயலாண்மை
misrepresentation,தவறான பிரதிநிதித்துவம்
misstatement of facts,உண்மையைத் திரித்துக் கூறல்
misunderstanding,"தப்பெண்ணம், தவறான பொருள் கொள், மனவேறுபாடு"
misuse,தவறான பயன்பாடு
mixed economy,கலவைப் பொருளாதாரம்
mob,கும்பல்
mobile,நடமாடும்
mobility,இடம்பெயர் ஆற்றல்
mode,"முறை, செய்முறை"
model,"1. எடுத்துக்காட்டு 2. சிற்றுரு, மாதிரிப் படிவம்"
moderator,நடுவர்
modification,"மாற்றம், திருத்தம்"
modus operandi,"செயல் வகை, செயல்முறை"
monetary grant,பண மானியம்
money,பணம்
monitor,1. கண்காணிப்பாளர் 2. கண்காணித்தல் 3. கணினித் திரை
monogamy,ஒரு துணை மனம்
monogram,சின்னம்
monopoly,தனியுரிமை
monotony,"ஒரேவகையான, மாற்றமற்ற"
month to month,மாதாமாதம்
monthly tour diary,மாதாந்திரப் பயண அறிக்கை
moral,"நீதிநெறி, படிப்பினை"
moral turpitude,ஒழுக்க ஈனம்
morale,"ஒழுங்குணர்வு, கட்டுப்பாட்டமைதி"
moratorium,"கடனை காலம் தாழ்த்தித் தீர்ப்பதற்கான சட்ட இசைவு, கடன் தவணையுரிமை"
mortality,"மரணம், சாவு"
mortgage,"அடைமானம், ஒற்றி"
most confidential,மிக இரகசியம்
mother tongue,தாய்மொழி
motion,"தீர்மானம், கோரிக்கை"
motion study,தீர்மானம் மீதான பரிசீலனை
motivation,"செயல்நோக்கம், ஊக்கமளித்தல்"
motive,"நோக்கம், உட்கருத்து"
motto,"இலட்சிய நோக்கம், வழிகாட்டிக் கொள்கை"
mouthpiece,"தூம்புகுழல், சார்புக்குரல்"
movable,"அசையும், இடம் பெயரும்"
move,"அசை, இயக்கு, நகர்த்து, முன்வை"
movement,"இயக்கம், நடமாட்டம்"
multifarious (duties),பல்வேறு வகைப்பட்ட(கடமைகள்)
multipurpose,பல்நோக்கு
municipal tax,நகராட்சி வரி
museum,அருங்காட்சியகம்
muster roll,பணியாளர் வருகைப் பட்டியல்
mutation,"மாற்றம், மாறுபாடு"
mutatis mutandis,வேண்டிய மாறுதல்களுடன்
mutual understanding,ஒருவருக்கொருவர் புரிந்துகொள்ளல்
name card,பெயர்ச் சீட்டு
narcotic,மயக்கமருந்து
narrative appraisal,விவரண மதிப்பீடு
narrator,நிகழ்ச்சி உரையாளர்
nation,நாடு
national,தேசிய
national language,தேசிய மொழி
national savings certificate,தேசிய சேமிப்புச் சான்றிதழ்
nationalism,"நாட்டுப்பற்று, தேசியம்"
nationality,நாட்டினம்
nationalization,நாட்டுடைமையாக்கல்
native,"பிறப்பிடம், பிறப்பு உரிமையான"
natural,"இயல்பான, இயற்கையான"
naturalization,குடியுரிமை வழங்கல்
naval force,கடல்படை
navigable,கப்பல் செல்லத்தக்க
navigation,"கடற்பயணம், நீர்வழிச் செலவு"
nayes,(வாக்கெடுப்பில்) மறுப்புகள் பக்கம்
necessary action,இன்றியமையாத நடவடிக்கை
needful,"தேவைப்படுகிற, இன்றியமையாத"
negative,"எதிர்மறை, எதிர்மறையான, மறுதலையான"
neglect,"புறக்கணிப்பு, புறக்கணி"
negligence,"கருத்தின்மை, கவனக்குறைவு"
negligible,"கருத்தின்மையான, கவனக்குறைவான"
negotiability,பேரப் பேச்சுக்கு ஏற்றமை
negotiable instrument,செலாவணி முறி
negotiation,"பேரப் பேச்சு, ஒப்பந்தப் பேச்சு"
negotiator,பேரம் பேசுபவர்
nepotism,உறவினர்க்களிக்கும் தனிச்சலுகை
net,"வலை, நிகர"
net investment,நிகர முதலீடு
neutral,நடுநிலை
news,செய்தி
news reader,செய்தி வாசிப்பவர்
newsletter,"செய்திமடல், செய்திக் கதிர்"
newspaper,"செய்தித்தாள், நாளிதழ்"
next of kin,அடுத்த வாரிசு
night duty,இரவுநேரப் பணி
nil report,இன்மையறிக்கை
no admission,அனுமதி இல்லை
no demand certificate,நிலுவை இன்மைச் சான்று
no objection certificate,"மறுப்பின்மைச் சான்றிதழ், இசைவுச் சான்றிதழ்"
"no profit, no loss","லாபமும் இல்லை, நட்டமும் இல்லை"
no smoking,புகைத்தல் கூடாது
nomenclature,"இடுபெயர்த் தொகுதி, சொல்வழக்கு, வழக்காற்றுச் சொல்"
nominal cost,பெயரளவு விலை
nominal value,பெயரளவு மதிப்பு
nominate,"நியமி, பெயர் குறிப்பிடு"
nomination,வேட்பு மனு
nominee,"நியமிக்கப்பட்டவர், பெயர் குறிப்பிடப்பட்டவர்"
non-age,உரிய வயது எய்தாமை
non-contributory,பங்களிப்பற்ற
non-essential,அத்தியாவசியம் இல்லாத
non-gazetted,அரசிதழ் பதிவு பெறாத
non-interest bearing,வட்டி இல்லாத
non-judicial,நீதிமன்றம் சாராத
non-ministrial,அமைச்சு சாராத
non-negotiable,"செலாவணியாகா, மாற்றத்தகாத"
non-official,அலுவல் சார்பற்ற
non-payment,தொகை செலுத்தாமை
non-payment certificate,செலுத்தாமைச் சான்றிதழ்
non-practising allowance,(சொந்தமாய்)பணி செய்யாமைக்கான படி
non-recurring expenditure,தொடராச் செலவினம்
non-refundable,திரும்பப் பெறத் தகாத
non-statutory,சட்டமுறையில் அல்லாத
non-taxable income,வரிக்கு உட்படாத வருவாய்
non-technical post,தொழில்நுட்பம் சாராத பதவி
non-traditional,மரபுசாராத
non-verbal communication,பேச்சுமுறை அல்லாத தகவல் தொடர்பு
norm,"நெறிமுறை, விதிமுறை"
normal,"இயல்பான, வழக்கமான"
not applicable (N/A),பொருந்தாது
not available (N/A),கிடைக்கப் பெறவில்லை
not negotiable,மாற்றத் தக்கதல்ல
not negotiable instrument,செலாவணி முறியற்ற ஆவணம்
notable,"குறிப்பிடத்தக்க, சிறப்புடைய"
note,"1. குறிப்பு, 2. கவனி, குறி 3. பணத்தாள்"
notice,அறிவிப்பு
noticeable,கவனிக்கத் தக்க
notification,அறிவிக்கை
notified area,அறிவிக்கை செய்யப்பட்ட பகுதி
noting and drafting,குறிப்பு எடுத்தலும் வரைவும்
notional pay,கருத்தளவிலான ஊதியம்
nucleus,மையக் கரு
null,"ஏதுமற்ற, இல்லாத"
null and void,"இல்லா நிலையது, சட்ட வலிவற்றது, முற்றிலும் செல்லாதது"
number,"1. எண், எண்ணிக்கை, இலக்கம் 2. எண்ணு, எண்ணிக்கையிடு"
numbering,எண்ணிடல்
numeral,எண்ணில் அமைந்த
oath,உறுதிமொழி
oath of allegiance,பதவியேற்பு உறுதிமொழி
oath of office,பதவி மற்றும் மறைகாப்பு உறுதிமொழி
obedience,கீழ்ப்படிதல்
obituary,"இறப்புச் செய்தி, இறப்பு அறிவிப்பு"
object,1. பொருள் 2. மறுப்புக்கூறு
objection,"மறுப்பு, தடை"
objective,"கொள்குறி, நோக்கம், மெய்யான"
objects and reasons,மறுப்புகளும் காரணங்களும்
obligatory,கடமைப்பாடு
obscene,"கீழ்மையான, நயமற்ற"
obscene gesture,ஆபாச சைகை
observer,"பார்வையாளர், கருத்தறிவிப்பவர்"
obsolete,"வழக்கொழிந்த, வழக்கற்றுப்போன"
obstruction,"தடை, முட்டுக்கட்டை"
obvious,"வெளிப்படையான, தெளிவான"
occasional,"எப்போதாவது, சிற்சில சமயங்களில்"
occupancy,"குடியிருக்கை, உடைமையாட்சி"
occupant,"குடியிருப்பவர், தங்கி வாழ்பவர்"
occupation,1. வாழ்க்கைத் தொழில் 2. குடியிருக்கை
occupy,"அகப்படுத்து, குடியிரு, பதவி அல்லது இடத்தைப் பிடி"
octroi duty,"நகர சுங்கத்தீர்வை, வெளிமாநில வரி"
off day,ஓய்வு நாள்
off duty,அலுவல்முறை ஓய்வு
off the record,ஆதாரமாய்க் கொள்ளக்கூடாத(சொல்)
offensive,குற்றமுள்ள
offer,1. விருப்பறிவிப்பு 2. இசைவு தெரிவி 3. கொடு
offer of appointment,வேலைநியமன வழங்கல்
office,"அலுவலகம், பதவி"
office of profit,ஊதியமுள்ள அலுவல்
official,1. அலுவல் பற்றிய 2. அலுவலர்
official duty,அலுவல்முறைப் பணி
official language,அலுவல் மொழி
official report,அலுவல்முறை அறிக்கை
official version,அதிகாரபூர்வ வடிவம்
officialdom,அலுவல்முறை சார்ந்த
officialese,அலுவலக மொழிசார்ந்த
officially,அலுவல்முறையாக
officiating,பதவிப் பொறுப்பாற்றுதல்
okay (O.K.; okey),சரி
ombudsman,நடுவர்
on account grant,கணக்கில் சேரும் மானியம்
on demand,கோரலின் அடிப்படையில்
on duty,"பணியில், பணிநிமித்தம்"
on line,இணையவழியில்
on the job training,பணிசார் பயிற்சி
on-special duty,சிறப்புப் பணிநிமித்தம்
one sided,ஒரு சார்பான
onus,"பொறுப்பு, பளு, கடமை"
open day,"வேலை நாள், இலவச நாள்"
open learning,திறந்த கல்வி
open letter,பகிரங்கக் கடிதம்
open system,திறப்பான முறை
open university,திறந்தநிலைப் பல்கலைக்கழகம்
opening,"முதலாவதான, தொடக்கத்தில் உள்ள"
opening balance,தொடக்க இருப்பு
opening hours,அலுவல் நேரம்
operating cost,நடைமுறை ஆக்கச்செலவு
operating staff,செயல்படும் பணியாளர் தொகுதி
operation,"அறுவை இயங்குமுறை, செயல் முறை"
operative,"செயல்முறை சார்ந்த, நடைமுறையில் உள்ள"
opinion,"கருத்து, கருத்துரை, எண்ணம்"
opposition,"எதிர்ப்பு, பகைமை, எதிர்க்கட்சி"
option,"விருப்பத் தேர்வு, தேர்வுரிமை"
oral,வாய்மொழி
order,1. ஆணை 2. ஒழுங்கு 3. வரிசைமுறை
order cheque,ஆணையிட்ட காசோலை
order of reservation,இட ஒதுக்கீட்டு ஆணை
ordinance,அவசரச் சட்டம்
organization,"அமைப்பு, சங்கம், நிறுவனம்"
organization chart,நிறுவன அமைப்பு வரைபடம்
organizer,அமைப்பாளர்
oriented,ஆற்றுப்படுத்தும் திட்டம்
original,"மூலம், அசல்"
original department,முதல்நிலைத் துறை
original sale deed,மூல விற்பனை ஒப்பாவணம்
ostensible owner,வெளித்தெரியும் உரிமையாளர்
out of court,நீதிமன்றத்துக்கு வெளியே
out of date,காலத்திற்குப் பொருந்தாத
out of order,"இயங்கா நிலை, சீர்குலைவாக, பழுதுபட்ட"
out of print,அச்சிட்ட படிகள் இல்லை
out of turn,முறை மீறிய
out of turn allotment,முறை மீறிய ஒதுக்கீடு
outbreak,திடீர்த் தோன்றல்
outfit allowance,தளவாடங்கள் படி
outgoing file,அனுப்பும் கோப்பு
outgoing member,வெளியேறும் உறுப்பினர்
outlay,முதலீடு
outlet,"1. வடிகால், வெளிச்செல் வழி 2. விற்பனை நிலையம்"
outline,"1. எல்லைக்கோடு 2. சுருக்கம், உருவரைக் குறிப்பு"
outlook,"எதிர்கால வாய்ப்பு, மனநிலைச் சார்பு"
outpost,புறக்காவல் நிலையம்
output,"உற்பத்தி, விளைவளவு, வேலை அளவு"
outright purchase,நேரடி கொள்முதல்
outsource,(வேலையை)வெளியாருக்கு ஒப்படைத்தல்
outstanding,1. தலைசிறந்த 2. நிலுவை
over age,வயது வரம்பு கடந்த
over-rule,"மறுத்து உத்தரவிடல், மறுத்தழித்தல்"
overall,"ஒட்டுமொத்த, மொத்த"
overall billing,ஒட்டுமொத்த விலைப்பட்டியிடல்
overall deficit,ஒட்டுமொத்த பற்றாக்குறை
overcharge,மிகு கட்டணம்
overdue,தவணை கடந்த நிலுவை
overestimate,மிகை மதிப்பீடு
overhead charge,அலுவலகச் செலவு
overlapping,செய்ததைச் செய்தல்
overriding priority,மிகமுக்கிய முன்னிரிமை
oversight,கவனக் குறைவு
overtime pay,மிகைநேர ஊதியம்
overvaluation,மிகை மதிப்பீடு
ownership,"சொந்தம், உடைமை, உரிமை"
package,சிப்பம்
package deal,"கூட்டு ஒப்பந்தம், ஒட்டுமொத்த பேரம்"
packing and marking,சிப்பமாக்கி குறியிடுதல்
packing list,சிப்பம் கட்டிய பட்டியல்
pact,உடன்படிக்கை
paid,செலுத்தப்பட்ட
paid up capital,செலுத்திய மூலதனம்
pamphlet,"சிறு வெளியீடு, துண்டு வெளியீடு"
panel,தேர்ந்த பெயர்ப்பட்டியல்
paper,"தாள், காகிதம்"
par excellence,எல்லாவற்றிற்கும் மேம்பட்டு
par value,"முகப்பு விலை, பொருளுக்கான அல்லது இடத்துக்கான விலை"
para,பத்தி
paramount,"தலையாய, முதன்மையான"
parent,பெற்றோர்
parent office,தாய் அலுவலகம்
parental,பெற்றோருக்குரிய
pari passu,"ஒரே நேரத்தில், இணையாக"
parity,"இணை, சமம்"
parliament,நாடாளுமன்றம்
part,"கூறு, பகுதி, பாகம்"
part file,"பகுதிக்கோப்பு, பாகமாக வந்த கோப்பு"
part payment,"பாகம் கொடுத்தல், பகுதி செலுத்துதல்"
part-time,பகுதிநேரம்
partial,"ஒருதலையான, அரைகுறையான"
participate,பங்குபெறு
particular,"குறிப்பிட்ட, தனிப்பட்ட"
particulars,விவரங்கள்
partition,"பிரிவினை, இடைத் தடுப்பு"
partner,"கூட்டாளி, துணைவர்"
partnership deed,"கூட்டாளுமை முறி, கூட்டு நிர்வாக ஆவணம்"
party,1. கட்சி 2. உடந்தையாளர் 3. விருந்து
pass,"1. தேர்ச்சி 2. கட, கடத்து 3. கணவாய் 4. அனுமதி, அனுமதிச் சீட்டு 5. இற 6. நிறைவேற்று 7. அனுப்பு, வழங்க"
passage,செல்வழி
password,கடவுச்சொல்
patent,"தனியுரிமைச் சான்றிதழ், உரிமைக் காப்பு"
patron,"புரவலர், காப்பாளர்"
pay,1. சம்பளம் 2. கொடு
pay bill,சம்பளப் பட்டி
pay certificate,சம்பளச் சான்று
pay day,சம்பள நாள்
pay off,தொகை கொடுத்து முடித்தல்
pay order,பணக் கொடுப்பாணை
pay roll,சம்பளப் பதிவேடு
pay scale,சம்பள ஏற்றமுறை
payee,பணம் பெறுபவர்
payer,"பணம் தருபவர், பணம் செலுத்துநர்"
payment,கொடுப்பு
pecuniary,பணம் சார்ந்த
pen down strike,அலுவலர் பணி முடக்குப் போராட்டம்
penal,தண்டம்
penal code,தண்டனைச் சட்ட விதித் தொகுப்பு
penal interest,தண்ட வட்டி
penalize,தண்டி
penalty,"தண்டம், தண்டத் தொகை"
pending,"முடிவாகாத, பண் கொடுபடா"
pension,ஓய்வூதியம்
pension scheme,ஓய்வூதியத் திட்டம்
pensionable,"ஓய்வூதியம் அளிக்கத்தக்க, ஓய்வூதியம் பெறத்தக்க"
pensioner,ஓய்வூதியர்
per annum,ஓராண்டிற்கு
per bearer,கொணரும் ஒவ்வொருவருக்கும்
per capita (=per head),"தலைக்கு, ஒவ்வொருவருக்கு"
per mensem,"திங்களொன்றிற்கு, மாதமொன்றிற்கு"
percent,"சதவிகிதம், விழுக்காடு"
perennial,"வற்றாத, நிலைத்திருக்கிற"
perform,"நடத்து, நிகழ்த்து, நிறைவேற்று"
performance,"1. செயலாக்கம், நிறைவேற்றம் 2. நிகழ்ச்சி"
period,"கால அளவு, பருவம்"
period under review,"ஆய்விற்குட்பட்ட கால அளவு, மறு ஆய்விற்குட்பட்ட காலவரம்பு"
periodical,கால முறை
perjury,பொய்ச்சான்று
perks,ஊதியத்துடன் மேல் சலுகைகள்
permanent,"நிலை, நிலையான"
permissible,"அனுமதிக்கத்தக்க, இசைவளிக்கத்தக்க, ஏற்கத்தக்க"
permission,"இசைவு, அனுமதி"
permit,1. அனுமதிச் சீட்டு 2. அனுமதி கொடு
permitted,அனுமதிக்கப்பட்ட
perpetual,"நிலையான, தொடர்ந்து வரும்"
perpetuity,நிலைத்தன்மை
perquisites (=perks),மேற்படிகள்
persona non grata,வேண்டப்படாத நபர்
personal,தனிப்பட்ட
personal assets,சொந்தச் சொத்துகள்
personal bond,"ஆள் தரும் முறி, சொந்த நபர் ஜாமீன் பொறுப்பில் எழுதித் தருதல்"
personality,ஆளுமை
personnel,பணியாளர்
personnel policy,பணியாளர் கொள்கை
perspective,"தொலைநோக்கு, கருதுகோள்"
persuasion,"இசையச்செய்தல், இணங்கச் செய்தல்"
pertinent,"ஏற்புடைய, பொருத்தமான"
perusal,பார்வையிடல்
petition,மனு
petitioner,மனுச் செய்பவர்
phase,நிலைமை
photograph,நிழற்படம்
photostat,ஒளிப்படம்
physical checking,உடல் பரிசோதனை
physical defect,உடல் ஊனம்
physical education,உடல் கல்வி
physical verification,பொருள்களை எண்ணிச் சரிபார்த்தல்
physically handicapped,உடல் ஊனமுற்றோர்
piece rate,"துண்டு விலை, சில்லரை விலை விகிதம்"
piecemeal,"துண்டு துண்டான, சிறிது சிறிதாக"
pilgrim,"சமயச்செலவர், யாத்திரிகர்"
pilot programme,முன்னோடித் திட்டம்
PIN (postal index number),அஞ்சல் குறியீடு
place of birth,பிறப்பிடம்
place of work,பணியிடம்
placement service,வேலைவாய்ப்பு சேவை
plaintiff,"வாதி, முறையீட்டாளர்"
plan,"1. திட்டம், திட்ட வரைபடம் 2. திட்டமிடு"
planning,திட்டம் அமைத்தல்
plant,"1. செடி 2. தொழிற்சாலை, இயந்திர நிலையம்"
player,விளையாடுபவர்
plea,"வழக்கு, வாதம், வேண்டுகோள்"
pleader,வழக்குரைஞர்
plebiscite,பொது வாக்கெடுப்பு
pledge,"1. அடைமானம், ஈடு 2. உறுதிமொழி"
plenary session,முழுமையான அமர்வு
plenipotentiary,முழு அதிகாரமளிக்கப்பட்ட அரசுத்தூதர்
plinth area,கட்டிடப் பரப்பு
policy,1. கோட்பாடு 2. ஈட்டுறுதி ஆவணம்
political,அரசியல் சார்ந்த
political activity,அரசியல் நடவடிக்கை
poll,1. வாக்கெடு 2. வாக்கெடுப்பு
pollution,"தூய்மைக் கேடு, மாசு"
pool,"1. சிறு குளம், மடு 2. பொதுச் சேர்மம்"
portfolio (of a minister),அமைச்சர் அலுவல்துறை
position,நிலைமை
positive,"உறுதியான, தெளிவான"
post,1. அஞ்சல் 2. பணியிடம் 3. கம்பம்
post mortem examination,பிணப் பரிசோதனை
post-dated,பின் தேதியிடப்பட்ட
post-facto sanction,பணி முடிந்தபின் அளிக்கும் ஒப்பளிப்பு
posthumous,இறந்தபின்
posting,நியமன ஆணை
postpone,ஒத்திவைப்பு
postscript (P.S.),"பின்குறிப்பு, பின்னுரை"
power,"1. ஆற்றல், சக்தி 2. எண்ணின் பெருக்கடுக்கு 3. விசையாற்றல்"
power of attorney,பகராள் செயலுரிமை ஆவணம்
practicable,செயல்படுத்தத் தக்க
practice,"1. வழக்கம் 2. பயிற்சி 3. (மருத்துவர், வழக்குரைஞரின்) தொழில்"
pre-audit,முன் தணிக்கை
pre-planned,முன்திட்டமிட்ட
pre-receipted bill,முன்பற்றுச்சீட்டு அளித்த விலைப்பட்டி
precaution,முன்னெச்சரிக்கை
precedent,"முன் நிகழ்வு, முற்கோள்"
precis,சுருக்கம்
precise,திட்டவட்டமான
preclude,"விலக்கு, தவிர்"
preconception,"முன்பே உய்த்துணர்தல், அறியுமுன் கருத்துக்கொள்ளல்"
predecessor,1. மூதாதை 2. பதவியில் முன்னிருந்தவர்
predominant,"மேலோங்கிய, மிகச்செல்வாக்கான, ஆளுமையுடயை"
preface,முன்னுரை
prefer,"தேர்வு செய், விரும்பு, கோரு, முன்னிடு"
preferential purchase,"சலுகை விலையில் வாங்கு, முன்னுரிமை விலையில் வாங்கு"
prejudice,"தப்பெண்ணம், முற்கோள்"
preliminary,முதனிலை
premature,"உரிய காலத்துக்கு முந்தைய, முடியாத நிலை"
premises,வளாகம்
premium,"1. தவணைக் கட்டணம் 2. பரிசில், ஊக்க ஊதியம்"
prepaid,முன்செலுத்தப்பட்ட
prepaid card,முன்பணம் செலுத்திய அட்டை
prepone,முன்தேதிக்கு மாற்றுதல்
prerogative,"தனிச் சிறப்புரிமை, மேதகு உரிமை"
prescribe,"1. மருந்து குறிப்பிடு 2. அறுதியிடு, குறிப்பிடு"
prescribed,"குறிப்பிட்ட, உரிய"
prescribed form,"முறைப்படியான படிவம், உரிய படிவம்"
presentation,"1. அன்பளிப்பு 2. முன்னிலைப்படுத்தல், அறிமுகப்படுத்தல்"
preside,தலைமை வகி
president,தலைவர்
press,"1. அச்சுப்பொறி, அச்சகம் 2. இதழ் 3. வற்புறுத்து, அழுத்து, அமுக்கு"
press copy,அச்சகப் படி
press gallery,செய்தியாளர் மாடம்
presumed,"ஊகிக்கப்பட்ட, அனுமானிக்கப்பட்ட"
presumptive pay,"இன்றைய நிலைச்சம்பளம், வாங்கியதாகக் கருதப்படும் அடிப்படைச் சம்பளம்"
presupposed,இருப்பதாகக் கருதப்படும் பொருள்
pretext,"பொய்க்காரணம், சாக்குப்போக்கு"
prevail,"இணங்கச்செய், மேலோங்கு"
prevent,தடு
prevention,தடுத்தல்
preventive,தடுப்பு
price fluctuation (=price movements),விலை ஏற்ற இறக்கம்
pricing,விலை குறித்தல்
prima facie,முதல் நோக்கில்
primarily,"அடிப்படையாக, முதல்நிலையான"
primary,"முதல் நிலை, தொடக்கம், முதல் நிலையான, அடிப்படையான"
primary receipt,"முதன்மை ரசீது, அசல் ரசீது"
principal,"1. அசல், முதல் 2. முதல்வர்"
principal debtor,தலைக்கடனாளி
printer,"அச்சுக்கருவி, அச்சகம்"
printing,அச்சிடுதல்
prior indication,"முன்னதாக எச்சரித்தல், குறிப்புக் காட்டுதல்"
priority grading,முன்னுரிமைப்படி தரம் பிரித்தல்
prison,"சிறை, காவற்கூடம்"
prisoner,கைதி
privacy,"தனிமை, மறைப்பு நிலை"
private and confidential,"தனிப்பட்ட மற்றும் ரகசியமான, மறைகாப்பு மந்தணம்"
privilege,"சிறப்புரிமை, தனிச் சலுகை"
privilege committee,சிறப்புரிமைக் குழு
prize,பரிசு
pro-rata,"சரிசம வீதப்படியான, தகவுக்கேற்ற"
pro-rata quota,சரிசம வீதப்படியான ஒதுக்கீடு
probability,"இயலக்கூடியது, நிகழ்தகவு"
probate,ஐயமற்றதென நிரூபித்தல்
probation,தகுதிகாண் பருவம்
probationary,"தகுதிகாண் பருவகால, தகுதிகாண் பருவநிலை"
probationer,தகுதிகாண் பருவத்தினர்
probe,"நுண்ணாய்வு, நன்றாக சோதி"
procedural rules,நடைமுறை விதிகள்
procedure,நடைமுறை
proceedings,செயல்முறை ஆணை
process,1. செய்முறை 2. இயக்கம் 3. செயல்படுத்து 4.(சட்ட)செயல்முறை
processing,பதனிடுதல்
procession,ஊர்வலம்
proclaim,1. பறை சாற்று 2. அதிகாரபூர்வ அறிவிப்பு
proclamation,"அரசு சாற்றாணை, அரசுப் பொது அறிவிப்பு"
procurement,கொள்முதல்
product,"உற்பத்திப் பொருள், செய்பொருள், தயாரிப்பு"
production,"1. உற்பத்தி, விளைவாக்கம் 2. தாக்கல் செய்தல், அளித்தல்"
profession,வாழ்க்கைத் தொழில்
professional achievement,தொழில்சார்ந்த சாதனை
proficiency certificate,செயல்திறமைச் சான்றிதழ்
profile,விவரம்
profit,"ஆதாயம், லாபம்"
programme,"1. நிகழ்ச்சி நிரல், திட்டம் 2. கணினி செயல்நிரல்"
programme schedule,"நிகழ்ச்சியைத் திட்டமிடுதல், நிகழ்ச்சியைப் பட்டியலிடுதல்"
programming,திட்டமிடுதல்
progress,முன்னேற்றம்
progressive,"முற்போக்கான, முன்னேறுகிற"
prohibited,தடை செய்யப்பட்ட
prohibited area,தடைசெய்யப்பட்ட பகுதி
prohibition,"விலக்கு, மதுவிலக்கு"
prohibitory order,தடையாணை
project,திட்டம்
projection,1. திட்ட மதிப்பீடு 2. துருத்திக் கொண்டிருத்தல் 3. திரையிடல்
prominent,"முக்கியமான, முதன்மையான"
promise,1. வாக்குறுதி 2. வாக்களி
promissory note (pronote),கடன் உறுதி ஆவணம்
promote,உயர்த்தல்
promoter,1. ஆதரவு தருபவர் 2. பதவி உயர்த்துபவர்
promotion,பதவி உயர்வு
prompt,"1. உடனடியாக, காலம் தாழ்த்தாமல் 2. தூண்டிவிடுதல்"
promulgate,"அறிவி, வெளியிடு, பறைசாற்று"
pronounce,"சாற்று, தீர்ப்பு வழங்கு"
pronouncement,"பகர்தல், அறிவித்தல், கூறுதல்"
proof,"1. ஒப்பச்சு, பார்வைப்படி 2. எண்பிப்பு, சான்று"
proof of despatch,அனுப்பியதற்கான சான்று
proof reading,பிழை திருத்தல்
propagate,"பரப்பு, பிரச்சாரம் செய்"
propagation,"பரப்புதல், பரப்புகை"
proper,"சரியான, முறையான, பொருத்தமான, நேரிய"
property,"சொத்து, உடைமை"
proposal,"கருத்துரு, செயற்குறிப்பு"
propose,முன்மொழி
propound,முன் எடுத்துரை
proprietary,"உடைமை உரிமையுடைய, தனியுடைமையுடைய"
propriety,"1. மரியாதை, தகுதியுடைமை, 2. நியாயமான"
prorogue,ஒத்திவைப்பு (சட்டப்பேரவையை ஆளுநர் ஒத்திவைத்தல்)
pros and cons,"சாதக பாதகக் கருத்துகள், எதிர்ப்பும் ஆதரவான கூறுகளும்"
proscribe,தடை செய்
prosecution,1. குற்ற வழக்குத் தொடர்வு 2. அரசுத்தரப்பு
prospectus,தகவல் தொகுப்பீடு
protempore appointment,தற்காலிக நியமனம்
protocol,1. அரசு விழா குறித்து மரபுச் சீர்முறை 2.(இருநாடுகளுக்கு இடையிலான) நடைமுறை நெறிமுறைகள்
prove,"மெய்ப்பி, நிரூபி"
provided,"இருப்பினும், இருந்தபோதிலும், நிபந்தனையின் பேரில்"
provident fund,வருங்கால வைப்பு நிதி
provision,"1. ஏற்பாடு, ஒதுக்கீடு, வழிவகை 2. காப்புரை 3. மளிகைப் பொருள்"
provisional,"தற்காலிகமான, அப்போதைக்கான"
provisional list,தற்காலிகப் பட்டியல்
proviso,"விலக்குக் கூறு, காப்புரை"
proximity,"அண்மை, நெருக்கம்"
proxy,"அதிகாரமளிக்கப்பெற்ற மாற்றாள், பதிலான"
public,"பொது, பொது மக்கள்"
public duty,பொதுப் பணி
public interest litigation (PIL),பொதுநல வழக்கு
publication,"வெளியீடு, பதிப்பு"
publicity,விளம்பரம்
publish,வெளியிடு
punctual,காலம் தவறாத
punishment,தண்டனை
purchase,"1. வாங்குதல் 2. வாங்கு, கொள்முதல் செய்"
purely temporary,முற்றிலும் தற்காலிகமான
purpose,நோக்கம்
pursue,"தொடர்ந்து செய், தொடர்ந்து செல், பின்பற்று"
pursuit,"1. நாட்டம், தேடல் 2. தொழில் 3. பின்தொடர்கை"
purview,"அகப்பாட்டெல்லை, உள்ளீடெல்லை"
put up,வைத்திடுக
put-up slip,துண்டுச்சீட்டு வை
qualification,தகுதி
qualified candidate,"தகுதியுடைய வேட்பாளர், தேர்வு நாடுநர்"
qualify,"தரம், தன்மை"
qualifying examination,"தகுதிகாண் தேர்வு, தகுதி கோரும் விசாரணை"
qualifying test,தகுதிபெறு சோதனை
qualitative techniques,தரமான உத்திகள்
quality,"தரம், தன்மை, பண்பு"
quality control,தரக்கட்டுப்பாடு
quantity,அளவு
quarantine leave,தொற்றுநோய்த் தடுப்பு விடுப்பு
quarterly,காலாண்டுதோறும்
quash,"1. இல்லையாக்கு, அகற்று, ஒழித்தழி 2. செல்லுபடி அற்றதென விலக்கு"
quasi,"போன்ற, போல்வு, அரையளவான"
quasi-permanency,"நிரந்தர நிலை போன்ற, போல்வுநிலை"
query,1. வினா 2. கேளவிக்குறி
question,"வினா, ஆய்வுப் பொருள்"
question hour,கேள்வி நேரம்
questionable,"ஐயத்துக்குரிய, வாதத்திற்கிடமான, வினாவிற்குரிய"
