Assamese,English
আইন,law
বেগ যোগ কৰাৰ নিয়ম,law of adding velocities
যোগকৰণৰ নিয়ম,law of additivity
হ্ৰাস পোৱা লাভৰ নিয়ম,law of diminishing return
মহাকৰ্ষণৰ নিয়ম,law of gravitation
গোটৰ বাবে সমৰূপতাৰ নিয়ম,law of homomorphism for groups
আঙঠিৰ বাবে সমৰূপতাৰ নিয়ম,law of homomorphism for rings
খৰচ বৃদ্ধিৰ আইন,law of increasing costs
সূচকাংকৰ নিয়ম,law of indices
জড়তাৰ নিয়ম,law of inertia
বৃহৎ সংখ্যাৰ নিয়ম,law of large numbers
সম্ভাৱনাৰ নিয়ম,law of probability
পাপৰ নিয়ম,law of sines
সূচকৰ নিয়ম,laws of exponents
গতিৰ নিয়ম,laws of motion
স্তৰ,layer
লিডিং সহগ,leading coefficient
লিডিং তিৰ্যক,leading diagonal
লিডিং চাবমেট্ৰিক্স,leading submatrix
লিডিং টাৰ্ম,leading term
সবাতোকৈ কম,least
নূন্যতম সাধাৰণ বহুগুণ (LCM),least common multiple (LCM)
নূন্যতম মৌল,least element
নূন্যতম বৰ্গক্ষেত্ৰ,least square
সৰ্বনিম্ন ওপৰৰ সীমা,least upper bound
বাওঁফালৰ coset,left coset
বাওহাতেৰে,left handed
বাওঁহাতৰ স্ক্ৰু,left handed screw
বাওঁফালৰ বিপৰীত,left inverse
বাওঁফালৰ গুণন,left multiplication
লেইবনিটজৰ সূত্ৰ,Leibnitz formula
দৈৰ্ঘ্য,length
লেপটকুৰ্টিক,leptokurtic
লেপটকুৰ্টিক বক্ৰ,leptokurtic curve
লেপটকুৰ্ট&#39;ছিছ,leptokurtosis
স্তৰৰ বক্ৰ,level curve
আত্মবিশ্বাসৰ স্তৰ,level of confidence
তাৎপৰ্য্যৰ স্তৰ,level of significance
আভিধানিকভাৱে,lexicographically
অভিধানৰ ক্ৰম,lexicographical order
সম্ভাৱনা ফলন,likelihood function
সম্ভাৱনা অনুপাত পৰীক্ষা,likelihood ratio test
সীমা,limit
সীমিত কৰা,limiting
সীমিত মূল্য,limiting value
সীমিত বেগ,limiting velocity
গড়ত সীমাবদ্ধতা,limit in mean
সংহতিৰ সীমা,limit of integration
ক্ৰমৰ সীমা,limit of sequence
সীমা বিন্দু (=থুপ বিন্দু),limit point (=cluster point)
সীমিত বেগ,limit velocity
ৰেখা,line
ৰৈখিক,linear
ৰৈখিক বীজগণিতীয়,linear algebraic
ৰৈখিক বীজগণিতীয় সমীকৰণ,linear algebraic equation
ৰৈখিক আনুমানিককৰণ,linear approximation
ৰৈখিক এছিম্পট&#39;ট,linear asymptote
ৰৈখিক সহগ,linear coefficient
ৰৈখিক সংমিশ্ৰণ,linear combination
ৰৈখিক বাধাসমূহ,linear constraints
ৰৈখিক নিৰ্ভৰশীলতা,linear dependence
ৰৈখিক অৱভেদ্য সমীকৰণ,linear differential equation
ৰৈখিক মাত্ৰা,linear dimension
ৰৈখিক সমীকৰণ,linear equation
ৰৈখিক ৰূপ,linear form
ৰৈখিক ভগ্নাংশ ৰূপান্তৰ,linear fractional transformation
ৰৈখিক ফলন,linear function
ৰৈখিক কাৰ্য্যকৰী,linear functional
ৰৈখিক গোট,linear group
ৰৈখিক স্বাধীনতা,linear independence
ৰৈখিক স্বাধীন সম্পৰ্ক,linear independent relation
ৰৈখিক বৈষম্য,linear inequality
ৰৈখিক অসমতাপূৰ্ণ অৱভেদ্য সমীকৰণ,linear inhomogeneous differential equation
ৰৈখিক অখণ্ড সমীকৰণ,linear integral equation
ৰৈখিক আন্তঃপ্ৰক্ষেপণ,linear interpolation
ৰৈখিক নূন্যতম বৰ্গ ৰিগ্ৰেছন বিশ্লেষণ,linear least square regression analysis
ৰৈখিকতা,linearity
ৰৈখিকভাৱে নিৰ্ভৰশীল,linearly dependent
ৰৈখিকভাৱে স্বাধীন,linearly independent
ৰৈখিক মেপিং,linear mapping
ৰৈখিক ক্ৰম,linear order
ৰৈখিক ক্ৰমবিন্যাস,linear ordering
ৰৈখিক প্ৰগ্ৰেমিং,linear programming
ৰৈখিক প্ৰগ্ৰেমিং এলগৰিদম,linear programming algorithm
ৰৈখিক প্ৰগ্ৰেমিং সমস্যা,linear programming problem
ৰৈখিক ৰিগ্ৰেছন,linear regression
ৰৈখিক ৰিগ্ৰেছন সহগ,linear regression coefficient
ৰৈখিক সম্পৰ্ক,linear relation
ৰৈখিক স্থান (=ভেক্টৰ স্থান),linear space (=vector space)
ৰৈখিক উপস্থান,linear subspace
ৰৈখিক ৰূপান্তৰ,linear transformation
ৰৈখিক ধাৰা,linear trend
ৰৈখিক নিৰপেক্ষ অনুমান,linear unbiased estimate
ৰৈখিক বেগ,linear velocity
ৰেখাৰ অবিচ্ছেদ্য,line integral
ছেদক ৰেখা,line of intersection
ৰিগ্ৰেছনৰ ৰেখা,line of regression
স্থানীয়কৃত ভেক্টৰ,localised vector
স্থানীয় অনুকূল,local optimum
locus,locus
কুণ্ডা,log
লগাৰিদমিক,logarithmic
লগাৰিদমিক সঠিকতা,logarithmic accuracy
লগাৰিদমিক গণনা,logarithmic calculation
লগাৰিদমিক বক্ৰ,logarithmic curve
লগাৰিদমিক ডেৰাইভেটিভ,logarithmic derivative
লগাৰিদমিক পাৰ্থক্য,logarithmic differentiation
লগাৰিদমিক ফলন,logarithmic function
লগাৰিদমিক গড় (=জ্যামিতিক গড়),logarithmic mean (=geometric mean)
লগাৰিদমিক স্বাভাৱিক বিতৰণ,logarithmic normal distribution
লগাৰিদমিক সম্পৰ্ক,logarithmic relationship
লগাৰিদমিক স্কেল,logarithmic scale
লগাৰিদমিক শৃংখলা,logarithmic series
লগাৰিদমিক সৰ্পিল (সমকোণীয় সৰ্পিল),logarithmic spiral (equiangular spiral)
লগাৰিদমিক টেবুল (=লগ টেবুল),logarithmic table (=log table)
লগাৰিদম (log),logarithm (log)
তর্ক শাস্ত্র,logic
যুক্তিগতভাৱে সমতুল্য,logically equivalent
লজিষ্টিক বক্ৰ,logistic curve
lognormal বিতৰণ,lognormal distribution
দ্ৰাঘিমাংশ,longitude
খান্দৰি,loop
লটাৰী,lottery
তলৰ বাৰ,lower bar
নিম্ন সীমা,lower bound
নিম্ন Riemann অখণ্ড,lower Riemann integral
কম যোগফল,lower sum
তলৰ ত্ৰিকোণীয় মেট্ৰিক্স,lower triangular matrix
মেকল’ৰিনৰ সম্প্ৰসাৰণ,Maclaurin's expansion
যাদু সংখ্যা,magic number
যাদু বৰ্গক্ষেত্ৰ,magic square
মাত্ৰা সীমা (=সীমিত পৰিমাণ),magnitude limit (=limiting magnitude)
মেইল কৰা প্ৰশ্নাৱলী,mailed questionnaire
মেইল জৰীপ,mail survey
majorant (উপৰ সীমা),majorant (upper bound)
মুখ্য চাপ,major arc
majorised ছেট,majorised set
বহুতো মূল্যৱান কাৰ্য্য,many valued function
মানচিত্ৰ,map
চেটটোত মেপ কৰক,map into the set
এটা গোটৰ মেপিং,mapping of a set
প্ৰান্তীয় সম্ভাৱনা,marginal probability
গাণিতিক বিশ্লেষণ,mathematical analysis
গাণিতিক যুক্তি,mathematical argument
গাণিতিক কেন্দ্ৰ,mathematical centre
গাণিতিক জটিলতা,mathematical complexity
গাণিতিক অৰ্থনীতি,mathematical economics
গাণিতিক প্ৰত্যাশা,mathematical expectation
গাণিতিক ৰূপ,mathematical form
গাণিতিক প্ৰণয়ন,mathematical formulation
গাণিতিক পৰিচয়,mathematical identity
গাণিতিক যুক্তি,mathematical logic
গাণিতিক আৰ্হি,mathematical model
গাণিতিক ধাৰণা,mathematical notion
মেট্ৰিক্স ডাইগনালাইজেচন,matrix digonalisation
মেট্ৰিক্স বিপৰীত,matrix inverse
মেট্ৰিক্স ওলোটা,matrix inversion
মেট্ৰিক্স পুনৰাবৃত্তিমূলক পদ্ধতি,matrix iterative method
মেট্ৰিক্স পদ্ধতি,matrix method
মেট্ৰিক্স গুণন,matrix multiplication
ধ্ৰুৱকসমূহৰ মেট্ৰিক্স,matrix of constants
ফলপ্ৰসূতাৰ মেট্ৰিক্স,matrix of effectiveness
মেট্ৰিক্স অপাৰেটৰ,matrix operator
মেট্ৰিক্স বহুপদ,matrix polynomial
মেট্ৰিক্স প্ৰিন্টিং,matrix printing
মেট্ৰিক্স উৎপাদন,matrix product
সৰ্বাধিক কৰা হৈছে,maximized
নিচেই সৰহ ভাগ,maximum
সৰ্বোচ্চ নিৰপেক্ষ মান,maximum absolute value
সৰ্বোচ্চ F-অনুপাত,maximum F-ratio
সৰ্বোচ্চ সম্ভাৱনা,maximum likelihood
maxmin,maxmin
maxmin মাপকাঠী,maxmin criterian
এটা ফাংচনৰ সৰ্বোচ্চ,max of a function
মেক্সৱেল-বল্টজমেনৰ পৰিসংখ্যা,Maxwell-Boltzmann statistics
গড় বিচ্যুতি,mean deviation
গড় বৰ্গ বিচ্যুতি,mean square deviation
গড় বৰ্গ ভুল,mean square error
গড় মূল্য,mean value
গড় মূল্য উপপাদ্য,mean value theorem
কুৰ্ট&#39;ছিছৰ পৰিমাপ,measure of kurtosis
মধ্যমীয়া,median
মধ্যম কেন্দ্ৰ,median centre
mesokurtic বক্ৰ,mesokurtic curve
mesokurtosis,mesokurtosis
বাৰ্তা,message
প্রণালী,method
নিষ্কাশনৰ পদ্ধতি,method of elimination
ওলোটা পদ্ধতি,method of inversion
পুনৰাবৃত্তিৰ পদ্ধতি,method of iteration
নূন্যতম বৰ্গৰ পদ্ধতি,method of least squares
ক্ষণৰ পদ্ধতি,method of moments
একেধৰণৰ ত্ৰিভুজৰ পদ্ধতি,method of similar triangles
ঠেকতম অৱতৰণৰ পদ্ধতি,method of steepest descent
যোগফলৰ পদ্ধতি,method of summation
অনিৰ্দিষ্ট সহগ পদ্ধতি,method of undetermined coefficient
মেট্ৰিক স্থান,metric space
মেট্ৰিক ব্যৱস্থা,metric system
মেট্ৰিক একক,metric unit
মাইক্ৰ’ তত্ত্ব,micro theory
মাজ,middle
মধ্যকালীন কাৰ্যকাল,middle term
মিড পইণ্ট,mid point
মিড পইণ্ট সূত্ৰ,mid point formula
নূন্যতম বহুপদ,minimal polynomial
minimax নীতি,minimax principle
নূন্যতম,minimum
নূন্যতম বিন্দু (বক্ৰৰ),minimum point (of curve)
নূন্যতম বহুপদ,minimum polynomial
এটা ফাংচনৰ min,min of a function
ক্ষুদ্ৰ চাপ,minor arc
ক্ষুদ্ৰ অক্ষ,minor axis
ক্ষুদ্ৰকৃত উপগোট,minorised subset
বিয়োগ,minus
বিয়োগ চিহ্ন,minus sign
মিশ্ৰিত ভগ্নাংশ,mixed fraction
মিশ্ৰিত কৌশল,mixed strategy
ধৰণ,mode
মডুলাছ,modulus
এটা জটিল সংখ্যাৰ মডুলাছ,modulus of a complex number
মুহূৰ্ত,moment
মুহূৰ্ত সৃষ্টিকাৰী ফলন,moment generating function
এটা বলৰ মুহূৰ্ত,moment of a force
কম্পাঙ্ক বিতৰণৰ মুহূৰ্ত,moment of frequency distribution
জড়তাৰ মুহূৰ্ত,moment of inertia
গতিবেগৰ মুহূৰ্ত,moment of momentum
গতিবেগ,momentum
monomial,monomial
একৰূপী,monomorphic
একৰূপতা,monomorphism
monotone,monotone
একস্বৰ বৃদ্ধি কৰা ক্ৰম,monotone increasing sequence
monotonically,monotonically
একঘেয়ামীভাৱে বৃদ্ধি কৰা নেট,monotonically increasing net
একস্বৰত বৃদ্ধি কৰা ক্ৰম,monotonically increasing sequence
একঘেয়ামী কাৰ্য্য,monotonic function
মন্টে কাৰ্লো গণনা,Monte Carlo calculation
মণ্টে কাৰ্লো পদ্ধতি,Monte Carlo method
morra (খেল),morra (game)
মৃত্যুৰ পৰিসংখ্যা,mortality statistics
আটাইতকৈ সম্ভাৱ্য,most probable
গতি,motion
চলন্ত গড়,moving average
এম-স্পেচ,M-space
অখণ্ডৰ বাবে M-পৰীক্ষা,M-test for integral
বহু সিদ্ধান্তৰ সমস্যা,multidecision problem
বহুমাত্ৰিক স্বাভাৱিক বিতৰণ,multidimensional normal distribution
বহুমাত্ৰিক যাদৃচ্ছিক চলক,multidimensional random variable
বহু-সূচকাংক পৰিবহণ সমস্যা,multi-index transportation problem
বহুপদ,multinomial
বহুপদ বিতৰণ,multinomial distribution
একাধিক,multiple
বহু পছন্দৰ সমস্যা,multiple choice problem
একাধিক সংযুক্ত ডমেইন,multiple connected domain
একাধিক সম্পৰ্ক,multiple correlation
একাধিক কম্পাঙ্ক টেবুল,multiple frequency table
একাধিক অখণ্ড,multiple integral
একাধিক সংহতি,multiple integration
বহুবিধ ৰিগ্ৰেছন,multiple regression
বহুবিধ ৰিগ্ৰেছন বিশ্লেষণ,multiple regression analysis
বহুবিধ ৰিগ্ৰেছন সহগ,multiple regression coefficient
বহুবিধ ৰিগ্ৰেছন সমীকৰণ,multiple regression equation
একাধিক মূল,multiple root
গুণন,multiplication
স্তম্ভৰ দ্বাৰা গুণন (নিৰ্ধাৰণকাৰীৰ),multiplication by columns (of determinant)
শাৰীৰে গুণন (নিৰ্ণায়কৰ),multiplication by rows (of determinant)
গুণন গুণক,multiplication factor
গুণনীয়ক ফলন,multiplicative function
বহুগুণী গোট,multiplicative group
বহুগুণী বিপৰীতমুখী,multiplicative inverse
বহুগুণতা,multiplicity
মূলৰ বহুগুণতা,multiplicity of roots
শূন্যৰ বহুগুণতা,multiplicity of zero
বহুগুণক,multiplier
গুণ কৰা,multiply
বহুচলকীয় বিতৰণ,multivariate distribution
বহুচলকীয় স্বাভাৱিক বিতৰণ,multivariate normal distribution
বহুবিকল্পিত জনসংখ্যা,multivariate population
উমৈহতীয়া,mutual
নবলা,nabla
নেপিয়াৰিয়ান,Napierian
নেপিয়াৰিয়ান লগাৰিদম,Napierian logarithm
প্ৰাকৃতিক লগাৰিদম,natural logarithm
প্ৰাকৃতিক সংখ্যা,natural number
নটিকেল মাইল,nautical mile
n-মাত্ৰিক,n-dimensional
n-মাত্ৰিক ভেক্টৰ স্থান,n-dimensional vector space
প্ৰয়োজনীয় আৰু পৰ্যাপ্ত চৰ্ত,necessary and sufficient condition
প্ৰয়োজনীয় চৰ্ত,necessary condition
অস্বীকাৰ কৰা,negation
ঋণাত্মক,negative
ঋণাত্মক বক্ৰতা,negative curvature
ঋণাত্মক নিৰ্দিষ্ট ৰূপ,negative definite form
ঋণাত্মক নিৰ্দিষ্ট মেট্ৰিক্স,negative definite matrix
ঋণাত্মক অৰ্ধনিৰ্দিষ্ট ৰূপ,negative semi-definite form
ওৰচ চুবুৰি,neighbourhood
নেষ্টেড নমুনা সংগ্ৰহ কৰা,nested sampling
নেট প্ৰজনন হাৰ,net reproduction rate
নিউটনৰ বলবিজ্ঞান,Newtonian mechanics
নিউটনৰ বিভক্ত পাৰ্থক্যৰ সূত্ৰ,Newton's divided difference formula
নিউটনৰ গতিৰ নিয়ম,Newton's laws of motion
নেইমেন আবণ্টন,Neyman allocation
নেইমেন পিয়ৰচন তত্ত্ব,Neyman Pearson theory
nilpotent মৌল,nilpotent element
nilpotent মেট্ৰিক্স,nilpotent matrix
ন&#39;ড,node
অ-এবেলিয়ান গোট,non-Abelian group
অনিৰপেক্ষ অভিসৰণ,non-absolute convergence
অবীজগণিতীয়,non-algebraic
অ-অৱক্ষয়ী,non-degenerate
অ-অৱক্ষয়ী মৌলিক সম্ভাৱ্য সমাধান,non-degenerate basic feasible solution
অঘন,non-dense
অঘন গোট,non-dense set
বিন্দুৰ অসংখ্য অসীমতা,non-denumerable infinity of points
অসংখ্যাযোগ্য গোট,non-denumerable set
অবিভাজনযোগ্য,non-differentiable
খালী নহয় উপগোট,non empty subset
অ-ইউক্লিডীয় জ্যামিতি,non-Euclidean geometry
অসমজাতীয়,non-homogeneous
অ-ছেদক,non-intersecting
অৰৈখিক বীজগণিতীয় সমীকৰণ,non-linear algebraic equation
অৰৈখিক অৱভেদ্য সমীকৰণ,non-linear differential equation
অৰৈখিক সমীকৰণ,non-linear equation
অৰৈখিক প্ৰগ্ৰেমিং,non-linear programming
অৰৈখিক ৰিগ্ৰেছন,non-linear regression
অৰৈখিক সম্পৰ্ক,non-linear relationship
অঋণাত্মক পূৰ্ণসংখ্যা,non-negative integer
অঋণাত্মক চলক,non-negative variable
নন-পেৰামেট্ৰিক পৰীক্ষা,non-parametric test
অ-সম্ভাৱ্যতাবাদী পদ্ধতি,non-probabilistic approach
অ-একক মেট্ৰিক্স,non-singular matrix
অ-প্ৰতিসম মেট্ৰিক্স,non-symmetric matrix
অতুচ্ছ,non-trivial
অবিলোপহীন নিৰ্ণায়ক,non-vanishing determinant
অশূন্য,non-void
অ-শূন্য উপগোট,non-void subset
অ-শূন্য নিৰ্ণায়ক,non-zero determinant
NOR গেট,NOR gate
স্বাভাৱিক,normal
স্বাভাৱিক ত্বৰণ,normal acceleration
স্বাভাৱিক কোণ,normal angle
স্বাভাৱিক বক্ৰ,normal curve
স্বাভাৱিক ঘনত্বৰ কাৰ্য্য,normal density function
স্বাভাৱিক বিতৰণ,normal distribution
স্বাভাৱিক বিতৰণ ফলন,normal distribution function
মেট্ৰিক্সৰ বাবে স্বাভাৱিক ৰূপ,normal form for the matrix
স্বাভাৱিক কম্পাঙ্ক,normal frequency
স্বাভাৱিক বক্ৰ,normalized curve
স্বাভাৱিককৃত ভাসমান বিন্দু সংখ্যা,normalized floating point number
নৰ্মেলাইজাৰ,normalizer
স্বাভাৱিক মেট্ৰিক্স,normal matrix
সাধাৰণ সম্ভাৱনা বক্ৰ,normal probability curve
স্বাভাৱিক সম্ভাৱনা বিতৰণ,normal probability distribution
সাধাৰণ উপগোট (=বিশিষ্ট উপগোট),normal subgroup (=distinguished subgroup)
ৰৈখিক স্থান,normed linear space
এটা ভেক্টৰৰ নিয়ম,norm of a vector
গেট নহয়,NOT gate
ক&#39;তো ঘন গোট নাই,nowhere dense set
শূন্য অনুমান,null hypothesis
শূন্য মেট্ৰিক্স,null matrix
শূন্য ছেট,null set
শূন্য ভেক্টৰ,null vector
সংখ্যা,number
সংখ্যা অক্ষ,number axis
সংখ্যা ব্যৱস্থা,number system
সংখ্যাৰ,numeral
সংখ্যাকৰণ,numeration
লৱ,numerator
সংখ্যাগত সহগ,numerical coefficient
সংখ্যাগত গণনা,numerical computation
সংখ্যাগত পাৰ্থক্য,numerical differentiation
সংখ্যাগত পদ্ধতি,numerical method
n-ভেক্টৰ,n-vector
n-ভেক্টৰ স্থান,n-vector space
বস্তু,object
বস্তুনিষ্ঠ কাৰ্য্য,objective function
তিৰ্যক,oblique
তিৰ্যক asymptote,oblique asymptote
তিৰ্যক অক্ষ,oblique axis
তিৰ্যক অংশ,oblique section
পৰ্যবেক্ষণ,observation
পৰ্যবেক্ষণ কৰা কম্পাঙ্ক,observed frequency
obtuse কোণ,obtuse angle
অষ্টভুজ,octagon
অষ্টভুজ,octahedron
অক্টল ব্যৱস্থা,octal system
অক্টেন্ট,octant
অস্বাভাৱিক,odd
অদ্ভুত বক্ৰ,odd curve
অদ্ভুত সংখ্যা,odd number
অদ্ভুত ক্ৰমবিন্যাস,odd permutation
অদ্ভুত বহুপদ,odd polynomial
ogive,ogive
এটাৰ পৰা এটালৈ চিঠিপত্ৰ,one to one correspondence
এটাৰ পৰা এটালৈ কাৰ্য্য,one to one function
এটাৰ পৰা এটালৈ মানচিত্ৰ,one to one map
একমুখী শ্ৰেণীবিভাজন,one-way classification
মানচিত্ৰত,onto map
খোলা,open
মুকলি বল,open ball
মুকলি ব্যৱধান,open interval
মুকলি ৰশ্মি,open ray
খোলা ছেট,open set
সঞ্চালন,operation
কাৰ্য্যকৰী গৱেষণা,operational research
অপাৰেচন ৰিচাৰ্চ,operations research
অপাৰেটৰ,operator
বিপৰীত কোণ,opposite angle
বিপৰীত পৰিঘটনা,opposite event
অনুকূল মৌলিক সম্ভৱপৰ সমাধান,optimal basic feasible solution
অনুকূল অৱস্থা,optimal condition
অনুকূল লটৰ আকাৰ,optimal lot size
অনুকূল মূল্য,optimal value
অনুকূল,optimum
কক্ষপথ,orbit
ক্ৰম,order
অৰ্ডাৰ দিয়া জোৰা,ordered pair
অৰ্ডাৰ কৰা ছেট,ordered set
অৰ্ডাৰ দিয়া,ordering
এটা নিৰ্ণায়কৰ ক্ৰম,order of a determinant
এটা গোটৰ ক্ৰম,order of a group
এটা মেট্ৰিক্সৰ ক্ৰম,order of a matrix
এটা গোটৰ এটা মৌলৰ ক্ৰম,order of an element in a group
অৱভেদ্য সমীকৰণৰ ক্ৰম,order of differential equation
কাৰ্য্যৰ ক্ৰম,order of operation
শূন্যৰ ক্ৰম,order of zero
ক্ৰমিক সংখ্যা,ordinal number
সাধাৰণ অৱভেদ্য সমীকৰণ,ordinary differential equation
ordinate,ordinate
oreintability,oreintability
অভিবিন্যাস,orientation
পৃষ্ঠৰ অৱস্থান,orientation of surface
মূলত,origin
স্থানাংকৰ উৎপত্তি,origin of coordinates
অৰ্থকেন্দ্ৰ,orthocentre
অৰ্থগনেল,orthogonal
অৰ্থগনেল অক্ষ,orthogonal axes
অৰ্থোগনেল পৰিয়াল,orthogonal family
অৰ্থগ&#39;নেল গোট,orthogonal group
অৰ্থগনেলিটি অৱস্থা,orthogonality condition
অৰ্থগনালাইজেচন,orthogonalization
অৰ্থগনেল মেট্ৰিক্স,orthogonal matrix
অৰ্থনৰ্মেল,orthonormal
অৰ্থনৰ্মেল ভিত্তি,orthonormal basis
দোলন,oscillation
এটা ফলনৰ দোলন,oscillation of a function
দোলনীয় কাৰ্য্য,oscillatory function
অস্কুলেটিং,osculating
বাহিৰৰ উৎপাদন,outer product
আউটপুট,output
অতি নিৰ্ধাৰিত ব্যৱস্থা,overdetermined system
যোৰযুক্ত তুলনা,paired comparision
যোৰভিত্তিক বিচ্ছিন্নতা,pairwise disjoint
যোৰভিত্তিক স্বাধীন,pairwise independent
সমান্তৰাল বল,parallel forces
সমান্তৰাল চতুৰ্ভুজ,parallelogram
বলৰ সমান্তৰাল চতুৰ্ভুজ,parallelogram of forces
বেগৰ সমান্তৰাল চতুৰ্ভুজ,parallelogram of velocities
সমান্তৰাল,parallelopiped
প্ৰাচল,parameter
প্ৰাচল মুক্ত (=nonparametric),parameter free (=nonparametric)
বিতৰণৰ প্ৰাচল,parameter of distribution
পেৰামেট্ৰিক,parametric
পেৰামেট্ৰিক স্থানাংক,parametric coordinate
পেৰামেট্ৰিক বক্ৰ,parametric curve
পেৰামেট্ৰিক সমীকৰণ,parametric equation
পেৰামেট্ৰিক ৰৈখিক প্ৰগ্ৰেমিং,parametric linear programming
পেৰামেট্ৰিক পদ্ধতি,parametric method
পেৰামেট্ৰিক উদ্দেশ্যমূলক ফলন,parametric objective function
পেৰামেট্ৰিক প্ৰগ্ৰেমিং,parametric programming
পেৰামেট্ৰিক উপস্থাপন,parametric representation
পেৰামিটাৰাইজেচন,parametrization
বন্ধনী,parenthesis
বন্ধনী সংকেত,parenthesis notation
অভিভাৱক জনসংখ্যা,parent population
পেৰেটো বক্ৰ,Pareto curve
সমতা পৰীক্ষা,parity check
আংশিক বিভ্ৰান্তিকৰ,partial confounding
আংশিক সম্পৰ্ক,partial correlation
আংশিক ব্যুৎপত্তি,partial derivative
আংশিক অৱভেদ্য সমীকৰণ,partial differential equation
আংশিক পাৰ্থক্য,partial differentiation
আংশিক ভগ্নাংশ,partial fraction
আংশিক সংহতি,partial integration
আংশিকভাৱে অৰ্ডাৰ দিয়া হৈছে,partially ordered
আংশিকভাৱে অৰ্ডাৰ কৰা ছেট,partially ordered set
আংশিক ক্ৰম,partial order
আংশিক ৰিগ্ৰেছন সহগ,partial regression coefficient
আংশিক যোগফল,partial sum
কণা,particle
বিশেষ ক্ষেত্ৰত,particular case
বিশেষ অখণ্ড,particular integral
বিশেষ সমাধান,particular solution
বিভাজন,partition
মেট্ৰিক্সসমূহৰ বিভাজন,partitioning of matrices
বিভাজন মান,partition value
পাস্কেল ত্ৰিভুজ,Pascal triangle
নমুনা,pattern
পেটাৰ্ণ ফাংচন,pattern function
আৰ্হি সমস্যা,pattern problem
পেলোডৰ বেগ,payload velocity
পেঅফ ফাংচন,payoff function
পেঅফ মেট্ৰিক্স,payoff matrix
p-ভিত্তিক,p-basis
পি-চাৰ্ট,p-chart
Peano বক্ৰ,Peano curve
Peano স্থান,Peano space
পেডেল সমীকৰণ,pedal equation
শতাংশ,percent
শতাংশ,percentage
শতাংশ ভুল,percentage error
শতাংশ কম্পাঙ্ক,percentage frequency
শতাংশ বৃদ্ধি,percentage increase
ভুলৰ শতাংশ,percentage of error
শতাংশ হ্ৰাস পায়,percent decrease
শতাংশ,percentile
নিখুঁত ঘনক,perfect cube
নিখুঁত গেছ,perfect gas
নিখুঁত সংখ্যা,perfect number
নিখুঁত চেট,perfect set
নিখুঁত বৰ্গক্ষেত্ৰ,perfect square
নিখুঁত বৰ্গ অভিব্যক্তি,perfect square expression
পৰিধি,perimeter
সময়কাল,period
সময়কালীন বক্ৰ,periodic curve
সময়ে সময়ে হোৱা বিক্ষিপ্ততা,periodic disturbances
সময়কালীন ফলন,periodic function
সময়কালীন গতি,periodic motion
বিপ্লৱৰ সময়,period of revolution
ঘূৰ্ণনৰ সময়সীমা,period of rotation
পিৰিয়ড&#39;গ্ৰাম,periodogram
পেৰিফেৰেল,peripheral
অনুমোদিত,permissible
ভুলৰ অনুমোদিত সীমা,permissible limit of error
ক্ৰমবিন্যাস,permutation
ক্ৰমবিন্যাস গোট,permutation group
ক্ৰমবিন্যাস মেট্ৰিক্স,permutation matrix
ক্ৰমবিন্যাস পদ্ধতি,permutation method
লম্ব,perpendicular
লম্বতা,perpendicularity
লম্বভাৱে,perpendicularly
লম্ব সমতল,perpendicular plane
কৰ্মী-নিযুক্তিৰ সমস্যা,personnel-assignment problem
PERT (কাৰ্যসূচী মূল্যায়ন পৰ্যালোচনা কৌশল),PERT (program evaluation review technique)
বিক্ষিপ্ততা,perturbation
বিক্ষিপ্ততা সমস্যা,perturbation problem
বিক্ষিপ্ত সমস্যা,perturbed problem
স্তৰ,phase
ফেজ কোণ,phase angle
পৰ্যায়ৰ পাৰ্থক্য,phase difference
পৰ্যায় বিচ্যুতি,phase displacement
ভৌতিক জ্যোতিৰ্বিজ্ঞান,physical astronomy
ভৌতিক ধ্ৰুৱক,physical constant
ভৌতিক প্ৰাচল,physical parameter
ভৌতিক পেণ্ডুলাম,physical pendulum
ভৌতিক পৰিমাণ,physical quantity
ভৌতিক বিজ্ঞান,physical sciences
pictograph,pictograph
pictor,pictor
টুকুৰা টুকুৰকৈ অবিৰত কাৰ্য্য,piecewise continuous function
টুকুৰা টুকুৰকৈ ৰৈখিক,piecewise linear
টুকুৰাভিত্তিক ৰৈখিক ফলন,piecewise linear function
টুকুৰা টুকুৰকৈ মসৃণ,piecewise smooth
পাই ডায়েগ্ৰাম,pie diagram
পাইলট লোকপিয়ল,pilot census
পাইলট জৰীপ,pilot survey
পিভট,pivot
মূল উপাদান,pivotal element
প্লেংকৰ ধ্ৰুৱক,Planck's constant
প্লেংকৰ নিয়ম,Planck's law
বাহন,plane
সমতল কোণ,plane angle
সমতলৰ সীমা,plane boundary
সমতল বক্ৰ,plane curve
প্লেন ফিগাৰ,plane figure
সমতল জ্যামিতি,plane geometry
সমতলৰ গতি,plane motion
প্ৰক্ষেপণৰ সমতল,plane of projection
ৰেফাৰেন্সৰ সমতল,plane of reference
প্ৰতিসমতাৰ সমতল,plane of symmetry
গ্ৰহ,planet
প্লেনেটেৰিয়াম,planetarium
গ্ৰহৰ গতি,planetary motion
গ্ৰহ ব্যৱস্থা,planetary system
সমতল ত্ৰিকোণমিতি,plane trigonometry
সমতল তৰংগ,plane wave
পৰিকল্পনা দিগন্ত,planning horizon
প্লাজমা,plasma
প্লাষ্টিক,plastic
