Telugu,Marathi
ఇన్సులేషన్,इन्सुलेशन
ఇన్సులేషన్ నిరోధకత,इन्सुलेशन प्रतिकार
ఇన్సులేటర్,इन्सुलेटर
ఇంటిగ్రేటెడ్ సర్క్యూట్,एकात्मिक सर्किट
నెట్‌వర్క్‌ను సమగ్రపరచడం,समाकलित नेटवर्क
ఇంటిగ్రేటర్,इंटिग्रेटर
ఇంటెలిజెన్స్,बुद्धिमत्ता
తీవ్రత,तीव्रता
ప్రసంగం యొక్క తీవ్రత,बोलण्याची तीव्रता
ఇంటర్ ఛానల్ జోక్యం,इंटर चॅनेल हस्तक्षेप
ఇంటర్‌లీవ్,इंटरलीव्ह
పరస్పర చర్య,परस्परसंवाद
ఇంటరాక్టివిటీ,परस्परसंवादीता
ఇంటర్‌కామ్,इंटरकॉम
ఇంటర్కనెక్టివిటీ,इंटरकनेक्टिव्हिटी
ఇంటర్ఫేస్,इंटरफेस
ఇంటర్ఫేస్ స్కానింగ్,इंटरफेस स्कॅनिंग
జోక్యం,हस्तक्षेप
జోక్యం జోన్,हस्तक्षेप झोन
జోక్యం చేసుకునే ఛానెల్,हस्तक्षेप चॅनेल
జోక్యం చేసుకునే ఫ్రీక్వెన్సీ,हस्तक्षेप वारंवारता
రేడియో ఫ్రీక్వెన్సీ సిగ్నల్ జోక్యం చేసుకుంటుంది,हस्तक्षेप रेडिओ फ्रिक्वेन्सी सिग्नल
ఇంటర్‌ఫ్రేమ్,इंटरफ्रेम
ఇంటర్‌లీవ్,इंटरलीव्ह
ఇంటర్‌లీవ్డ్,इंटरलीव्ह
ఇంటర్‌లీవ్డ్ స్ట్రీమ్,अंतर्देशीय प्रवाह
ఇంటర్‌లీవర్,इंटरलीव्हर
ఇంటర్‌లీవింగ్,इंटरलीव्हिंग
ఇంటర్‌లీవింగ్,इंटरलीव्हिंग
ఇంటర్‌లీవింగ్ కాలం,इंटरलीव्हिंग कालावधी
ఇంటర్‌లాక్ సర్క్యూట్,इंटरलॉक सर्किट
ఇంటర్‌లాక్ స్విచ్,इंटरलॉक स्विच
ఇంటర్‌లాకింగ్,इंटरलॉकिंग
ఇంటర్మీడియట్ వైఫల్యం,दरम्यानचे अपयश
ఇంటర్మీడియట్ ఫ్రీక్వెన్సీ,दरम्यानचे वारंवारता
ఇంటర్మీడియట్ ఫ్రీక్వెన్సీ ఓసిలేటర్,इंटरमीडिएट फ्रिक्वेन्सी ऑसीलेटर
అడపాదడపా,अधूनमधून
అడపాదడపా కరెంట్,अधूनमधून चालू
ఇంటర్‌మోడ్యులేషన్,इंटरमोड्युलेशन
ఇంటర్మోడ్యులేషన్ వక్రీకరణ,इंटरमोड्युलेशन विकृती
ఇంటర్‌మోడ్యులేషన్ ఉద్గారం,इंटरमोड्युलेशन उत्सर्जन
ఇంటర్‌మోడ్యులేషన్ పరీక్ష,इंटरमोड्युलेशन चाचणी
అంతర్జాలం,इंटरनेट
ఇంటర్నెట్ ప్రసారం,इंटरनेट प्रसारण
ఇంటర్నెట్ చాటింగ్,इंटरनेट चॅटिंग
ఇంటర్నెట్ ప్రోటోకాల్ స్టాక్,इंटरनेट प्रोटोकॉल स्टॅक
ఇంటర్నెట్ రేడియో,इंटरनेट रेडिओ
ఇంటర్నెట్ స్ట్రీమింగ్,इंटरनेट प्रवाह
ఇంటర్నెట్ వీడియో,इंटरनेट व्हिडिओ
ఇంటర్‌పెరాబిలిటీ,इंटरऑपरेबिलिटी
ఇంటర్‌పోలేషన్,इंटरपोलेशन
వ్యాఖ్యాత,दुभाषे
అంతరాయం,व्यत्यय
అంతరాయం,व्यत्यय
అంతరాయం,व्यत्यय आणणारा
విరామం,मध्यांतर
ఇంట్రాకోడింగ్,इंट्राकोडिंग
ఇంట్రాఫ్రేమ్,इंट्राफ्रेम
ఇంట్రానెట్,इंट्रानेट
ఇంట్రాపికర్,इंट्रॅपिक्चर
ఇంట్రావేబ్,इंट्रावेब
అంతర్గత సెమీకండక్టర్,आंतरिक सेमीकंडक्टर
విలోమ కరెంట్,व्यस्त करंट
విలోమ ప్రాదేశిక ఆపరేట్,व्यस्त स्थानिक ऑपरेट
విలోమ,उलटा
విలోమ ఎల్ యాంటెన్నా,इनव्हर्टेड एल ten न्टीना
విలోమ V యాంటెన్నా,इनव्हर्टेड व्ही अँटेना
ఇన్వర్టర్,इनव्हर्टर
సక్రమంగా,अनियमित
అసంబద్ధమైన మూలకం,असंबद्ध घटक
ఐసోలేషన్ నెట్‌వర్క్,अलगाव नेटवर्क
ఐసోలేటర్,पृथक
జామర్,जैमर
జామింగ్,जामिंग
పరిభాష ఫైల్,जर्गॉन फाइल
జావా స్క్రిప్ట్,जावा स्क्रिप्ट
జింగిల్,जिंगल
జిట్టర్,जिटर
జాయినర్,जॉइनर
ఉమ్మడి,संयुक्त
జాయింటెడ్,जोडलेले
జంపర్,जम्पर
జంక్,कंन
చెత్త మెయిల్,निरुपयोगी पत्र
కెర్నల్,कर्नल
కీ,की
కీబోర్డ్,कीबोर्ड
KEEER,कीर
కీనోట్,कीनोट
కిలోసైకిల్,किलोसायकल
కిలోవోల్ట్,किलोवॉल्ट
కిలోవాట్,किलोवॅट
కైనమాటిక్స్,किनेमॅटिक्स
మోకాలి పాయింట్ వోల్టేజ్,गुडघा पॉईंट व्होल्टेज
నాబ్,नॉब
జ్ఞాన స్థావరం,पायाभूत माहिती
జ్ఞాన ప్రాతినిధ్యం,ज्ञान प्रतिनिधित्व
L నెట్‌వర్క్,एल नेटवर्क
L సెక్షన్ ఫిల్టర్,एल विभाग फिल्टर
లాగ్ మరియు సీసం,अंतर आणि आघाडी
లాగింగ్ కరెంట్,चालू आहे
లాగింగ్ పవర్ ఫ్యాక్టర్,उर्जा घटक मागे पडत आहे
లామినేటెడ్,लॅमिनेटेड
దీపం,दिवा
ల్యాప్‌టాప్,लॅपटॉप
లేజర్ ఫ్రీక్వెన్సీ,लेसर वारंवारता
గుప్త లోపం,सुप्त त्रुटी
గుప్త వేడి,सुप्त उष्णता
అక్షాంశం,अक्षांश
పొర,थर
లేఅవుట్,लेआउट
లేఅవుట్ ప్రణాళిక,लेआउट योजना
సీసం,आघाडी
ప్రముఖ దశ,अग्रगण्य टप्पा
లీక్ ప్రూఫ్,गळती पुरावा
లీకేజ్,गळती
లీజుకు ఇచ్చిన సర్క్యూట్,लीज्ड सर्किट
లెన్స్,लेन्स
స్థాయి సూచిక,स्तर निर्देशक
కాంతి నియంత్రణ,प्रकाश नियंत्रण
లైట్ పెన్,हलकी पेन
మెరుపు అరెస్టర్,लाइटनिंग एरेस्टर
పరిమితి,लिमिटर
పరిమితం చేసే యాంప్లిఫైయర్,एम्पलीफायर मर्यादित करणे
లైన్ నష్టం,ओळ तोटा
లైన్ శబ్దం,लाइन आवाज
దృష్టి రేఖను,दृष्टीक्षेप
పంక్తి దశ,लाइन फेज
లైన్ ట్రాన్స్మిషన్,लाइन ट्रान्समिशन
పంక్తి అన్‌లోడ్ చేయబడింది,लाइन अनलोड केलेली
లీనియర్ క్వాంటిజర్,रेखीय क्वांटिझर
సరళత,रेषात्मकता
లైన్-కోక్సియల్,लाइन-कॉक्सियल
లైన్-ఈక్వలైజర్,लाइन-इक्वलिझर
లైన్-ఫ్రీక్వెన్సీ,लाइन-फ्रिक्वेन्सी
లైన్-ఇంపెడెన్స్,लाइन-इम्पेडन्स
లైన్-క్వార్టర్ తరంగదైర్ఘ్యం,लाइन-क्वार्टर तरंगलांबी
లింక్,दुवा
లింకర్,लिंकर
లిప్-మైక్రోఫోన్,लिप-मायक्रोफोन
ప్రత్యక్ష ప్రసారం,थेट प्रसारण
లైవ్ సర్క్యూట్,थेट सर्किट
ప్రత్యక్ష కార్యక్రమం,थेट कार्यक्रम
లోడ్,लोड
లోడ్ సామర్థ్యం,भार क्षमता
లోడ్ మోసే సామర్థ్యం,भार वाहून नेण्याची क्षमता
లోడ్ లక్షణం,लोड वैशिष्ट्य
లోడ్ ఇంపెడెన్స్,लोड प्रतिबाधा
లోడ్ చేయబడింది,भारित
లోడర్,लोडर
లోడ్,लोड करीत आहे
కాయిల్ లోడ్ అవుతోంది,लोडिंग कॉइल
లోడ్-టెస్ట్,लोड-चाचणी
లోబ్,लोब
లోబ్ యాంటెన్నా,लोब अँटेना
లోకల్ ఏరియా నెట్వర్క్,स्थानिक नेटवर्क
స్థానిక బ్యాటరీ,स्थानिक बॅटरी
స్థానిక ఓసిలేటర్,स्थानिक ऑसीलेटर
లాగ్,लॉग
లాగ్ బుక్,लॉग बुक
లాగిన్ (లాగిన్ అవ్వండి),लॉग इन (लॉग ऑन)
లాగ్ ఆఫ్ (లాగ్ అవుట్),लॉग ऑफ (लॉग आउट)
లాగ్ షీట్,लॉग पत्रक
లోగరిథం,लॉगरिदम
లోగరిథమిక్ యాంప్లిఫైయర్,लॉगरिथमिक एम्पलीफायर
లోగరిథమిక్ నిష్పత్తి,लॉगरिथमिक गुणोत्तर
లోగరిథమిక్ ప్రతిస్పందన,लॉगरिथमिक प्रतिसाद
లోగరిథమిక్ స్కేల్,लॉगरिथमिक स्केल
లాగింగ్,लॉगिंग
లాజిక్,तर्कशास्त्र
లాజిక్ గేట్,लॉजिक गेट
లాజిక్ ఆపరేషన్,तर्कशास्त्र ऑपरेशन
తార్కిక,तार्किक
తార్కిక ఫ్రేమ్,तार्किक फ्रेम
లోగో ఇన్సర్టర్,लोगो घालणारा
రేఖాంశం,रेखांश
లూప్,लूप
లూప్ యాంటెన్నా,लूप अँटेना
లూప్ లాభం,लूप गेन
లూప్ పరీక్ష,लूप चाचणी
వదులుగా పరిచయం,सैल संपर्क
వదులుగా కలపడం,सैल कपलिंग
లాస్‌లెస్ యాంటెన్నా,लॉसलेस अँटेना
లాస్‌లెస్ కంప్రెషన్,लॉसलेस कॉम्प्रेशन
లాస్సీ కంప్రెషన్,लॉसि कॉम्प्रेशन
లౌడ్నెస్ (ధ్వని),मोठा आवाज (आवाज)
లౌడ్‌స్పీకర్,लाऊडस्पीकर
తక్కువ పౌన .పున్యం,कमी वारंवारता
తక్కువ స్థాయి భాష,निम्न स्तरीय भाषा
తక్కువ నష్టం ఫీడర్,कमी तोटा फीडर
తక్కువ నష్టం సౌకర్యవంతమైన ఏకాక్షక కేబుల్,कमी तोटा लवचिक कोएक्सियल केबल
తక్కువ శబ్దం రిసీవర్,कमी आवाज रिसीव्हर
తక్కువ కక్ష్య ఉపగ్రహ,कमी फिरणारी उपग्रह
తక్కువ పాస్ ఫిల్టర్,लो पास फिल्टर
తక్కువ ప్రతిచర్య ఎర్తింగ్,कमी प्रतिक्रिया मिळवणे
తక్కువ నిరోధక మార్గం,कमी प्रतिकार मार्ग
లగ్,Lug
ప్రకాశం,ल्युमिनेन्स
ముద్ద,गठ्ठा
స్థూల బ్లాక్,मॅक्रो ब्लॉक
స్థూల నిర్వచనం,मॅक्रो व्याख्या
స్థూల దృష్టి,मॅक्रो व्हिजन
మేజిక్ కన్ను,जादू डोळा
అయస్కాంతం,चुंबक
అయిస్కాంత క్షేత్రం,चुंबकीय क्षेत्र
అయస్కాంత ప్రవాహం,चुंबकीय प्रवाह
అయస్కాంత ధ్రువం,चुंबकीय खांब
అయస్కాంత తుఫాను,चुंबकीय वादळ
మాగ్నెటిక్ స్విచ్,चुंबकीय स्विच
అయస్కాంత టేప్,चुंबकीय टेप
అయస్కాంతత్వం,चुंबकत्व
మెయిల్ విలీనం,मेल विलीनीकरण
మెయిలింగ్ జాబితా,पत्रव्यवहाराची यादी
ప్రధాన క్యారియర్,मुख्य वाहक
నిర్వహించండి,देखभाल
నిర్వహణ,देखभाल
నిర్వహణ బృందం,देखभाल कार्यसंघ
మెజారిటీ క్యారియర్,बहुसंख्य वाहक
కాంటాక్ట్ రిలే చేయండి,संपर्क रिले बनवा
మేక్-అండ్-బ్రేక్ స్విచ్,मेक-अँड ब्रेक स्विच
మగ-కనెక్టర్,नर-कनेक्टर
మనిషి శబ్దం చేశాడు,माणसाने आवाज केला
నిర్వహణ సమాచార వ్యవస్థ (తప్పు),व्यवस्थापन माहिती प्रणाली (एमआयएस)
మార్చబడింది,हाताळले
మాన్యువల్ నియంత్రణ,मॅन्युअल नियंत्रण
మాన్యువల్ పద్ధతి,व्यक्तिचलित पद्धत
ముందు జాగ్రత్త యొక్క మాన్యువల్,सुरक्षिततेची खबरदारी
మానవీయంగా పనిచేస్తుంది,व्यक्तिचलितपणे ऑपरेट केले
తయారీదారు,निर्माता
ముసుగు,मुखवटा
మాస్కీ,मस्की
మాస్కర్,मास्कर
మాస్కింగ్,मास्किंग
మాస్కింగ్ ప్రవర్తన,मास्किंग वर्तन
ఆడియో యొక్క మాస్కింగ్ ప్రభావం,ऑडिओचा मास्किंग प्रभाव
మాస్కింగ్ థ్రెషోల్డ్,मास्किंग थ्रेशोल्ड
మాస్కింగ్ టోన్,मास्किंग टोन
మాస్ట్,मास्ट
మాస్ట్ రేడియేటర్,मास्ट रेडिएटर
మాస్టర్ కంట్రోల్,मास्टर कंट्रोल
మాస్టర్ ఓసిల్లట్రార్,मास्टर ऑसिलॅटरर
మ్యాచ్-ఇంపెడెన్స్,सामना-प्रतिबिंब
సరిపోయే నెట్‌వర్క్,मॅचिंग नेटवर्क
మ్యాచింగ్ స్టబ్,मॅचिंग स्टब
మ్యాచింగ్ ట్రాన్స్ఫార్మర్,मॅचिंग ट्रान्सफॉर्मर
మెటీరియల్-ప్రోక్వర్,साहित्य-प्रक्रिया
మాతృక,मॅट्रिक्स
గరిష్టీకరణ,जास्तीत जास्त
గరిష్ట డిమాండ్ సూచిక,जास्तीत जास्त मागणी निर्देशक
గరిష్ట శక్తి సాంద్రత,जास्तीत जास्त उर्जा घनता
గరిష్ట సున్నితత్వం,जास्तीत जास्त संवेदनशीलता
గరిష్ట ఉష్ణోగ్రత,जास्तीत जास्त तापमान
గరిష్టంగా ఉపయోగపడే ఫ్రీక్వెన్సీ,जास्तीत जास्त वापरण्यायोग्य वारंवारता
గరిష్ట విలువ,कमाल मूल्य
వైఫల్యానికి సగటు సమయం,अयशस्वी होण्याचा अर्थ
సగటు విలువ,म्हणजे मूल्य
కొలిచిన సిగ్నల్,मोजलेले सिग्नल
కొలత,मोजमाप
కొలిచే పరికరం,डिव्हाइस मोजत आहे
కొలిచే పరికరాలు,मोजण्याचे उपकरणे
కొలత పరికరం,मोजण्याचे साधन
క్షేత్ర బలం యొక్క కొలత పరికరం,फील्ड सामर्थ्याचे मोजमाप
కొలిచే టేప్,मोजपट्टी
విధానం,यंत्रणा
మీడియా సర్వర్,मीडिया सर्व्हर
మధ్యస్థం,मध्यम
మధ్యస్థ పౌన frequency పున్యం,मध्यम वारंवारता
మీడియం ఫ్రీక్వెన్సీ వేవ్,मध्यम वारंवारता लाट
మీడియం వేవ్ (MW),मध्यम लाट (मेगावॅट)
మెగా-ఓహెచ్,मेगा-ओहम
మెగర్,मेगर
మెమరీ,मेमरी
మార్గదర్శకత్వం,मार्गदर्शक
మెనూ పట్టిక,मेनू बार
మెర్క్యురీ స్విచ్,बुध स्विच
విలీనం,विलीनीकरण
సందేశం,संदेश
మెటాడేటా,मेटाडेटा
మెటల్-ఆక్సైడ్ సెమీకండక్టర్ డయోడ్,मेटल-ऑक्साईड सेमीकंडक्टर डायोड
మెటల్-షీట్డ్ కేబుల్,मेटल-शीथ केबल
మీటర్,मीटर
మీటరింగ్ ప్యానెల్,मीटरिंग पॅनेल
మైకా,मीका
మైకా-ఇన్సులేషన్,मीका-इन्सुलेशन
సూక్ష్మ-,सूक्ष्म-
మైక్రో కాంపోనెంట్,सूक्ष्म घटक
మైక్రో కంప్యూటర్,सूक्ष्म संगणक
మైక్రో కంట్రోలర్,मायक्रो-कंट्रोलर
మైక్రో-ఎలక్ట్రానిక్స్,मायक्रो-इलेक्ट्रॉनिक्स
మైక్రోఫోన్,मायक्रोफोन
మైక్రోఫోనిక్స్,मायक्रोफोनिक्स
మైక్రోప్రాసెసర్,मायक्रोप्रोसेसर
కీ సూక్ష్మ వోల్ట్,मायक्रो-व्होल्ट (एमव्ही)
మైక్రోవేవ్,मायक्रोवेव्ह
మైక్రోవేవ్ యాంటెన్నా,मायक्रोवेव्ह अँटेना
మైక్రోవేవ్ బీమ్,मायक्रोवेव्ह बीम
మిడ్-బ్యాండ్,मिड-बँड
వలస,स्थलांतर
వలస మార్గం,स्थलांतर मार्ग
సూక్ష్మ,सूक्ष्म
సూక్ష్మీకరించినది,लघुलेखित
కనిష్ట,किमान
కనీస ఉష్ణోగ్రత,किमान तापमान
కనిష్టంగా ఉపయోగపడే క్షేత్ర బలం,किमान वापरण्यायोग्य फील्ड सामर्थ्य
మైనారిటీ క్యారియర్,अल्पसंख्याक वाहक
తప్పు,गैरसमज
కలపండి,मिसळा
మిశ్రమ బ్లాంకింగ్,मिश्रित ब्लँकिंग
మిశ్రమ సమకాలీకరణ,मिश्रित समक्रमण
మిక్సర్,मिक्सर
మిక్సర్ ట్యూబ్,मिक्सर ट्यूब
మిక్సింగ్,मिसळणे
మిక్సింగ్ సర్క్యూట్,मिक्सिंग सर्किट
జ్ఞాపకశక్తి,मेमोनिक
జ్ఞాపకశక్తి,मेमोनोनिक्स
మొబైల్,मोबाईल
మొబైల్ మల్టీమీడియా అప్లికేషన్,मोबाइल मल्टीमीडिया अनुप्रयोग
మొబైల్ టీవీ,मोबाइल टीव्ही
మోడ్,मोड
వైఫల్య మోడ్,अपयशाची पद्धत
ప్రచార మోడ్,प्रसार मोड
మోడల్,मॉडेल
మోడెమ్,मॉडेम
ఆధునిక FM ట్రాన్స్మిటర్,आधुनिक एफएम ट्रान्समीटर
ఆధునిక పోకడలు,आधुनिक ट्रेंड
కాన్ఫిగరేషన్ మోడ్‌లు,कॉन्फिगरेशनचे मोड
సవరించండి,सुधारित करा
మాడ్యులేటెడ్ నిరంతర వేవ్,मॉड्युलेटेड सतत लाट
మాడ్యులేటెడ్ సిగ్నల్,मॉड्युलेटेड सिग्नल
మాడ్యులేటెడ్ వేవ్‌ఫార్మ్,मॉड्युलेटेड वेव्हफॉर्म
మాడ్యులేషన్,मॉड्यूलेशन
మాడ్యులేషన్ యాంప్లిట్యూడ్,मॉड्यूलेशन मोठेपणा
మాడ్యులేషన్ సామర్ధ్యం,मॉड्युलेशन क्षमता
మాడ్యులేషన్ ఫ్రీక్వెన్సీ,मॉड्युलेशन वारंवारता
మాడ్యులేషన్ సూచిక,मॉड्युलेशन इंडेक्स
మాడ్యులేషన్ లీనియారిటీ,मॉड्यूलेशन रेषात्मकता
మాడ్యులేషన్ మీటర్,मॉड्युलेशन मीटर
మాడ్యులేషన్ మానిటర్,मॉड्युलेशन मॉनिटर
మాడ్యులేషన్ శాతం,मॉड्युलेशन टक्केवारी
మాడ్యులేటర్,मॉड्युलेटर
మాడ్యూల్,मॉड्यूल
తేమ,ओलावा
ఊపందుకుంటున్నది,चालना
మానిటర్,मॉनिटर
పర్యవేక్షణ,देखरेख
పర్యవేక్షణ మరియు విశ్లేషణ పద్ధతులు,देखरेख आणि विश्लेषण तंत्र
పర్యవేక్షణ మరియు నియంత్రణ,देखरेख आणि नियंत्रण
పర్యవేక్షణ స్టేషన్,देखरेख स्टेशन
మోనోక్రోమ్,मोनोक्रोम
మోనోఫోనిక్ ట్రాన్స్మిషన్,मोनोफोनिक ट्रान्समिशन
మార్ఫ్,मॉर्फ
మార్ఫింగ్,मॉर्फिंग
మార్ఫిజం,मॉर्फिझम
మొజాయిక్,मोज़ेक
మదర్‌బోర్డు,मदरबोर्ड
చలన పరిహారం,मोशन भरपाई
చలన అంచనా,गती अंदाज
మోషన్ వెక్టర్,मोशन वेक्टर
మోషన్ వీడియో,मोशन व्हिडिओ
మోటారు,मोटर
మోటారు ఆపరేటర్,मोटर ऑपरेटर
మోటార్ స్టార్టర్,मोटर स्टार्टर
మౌంట్,माउंट
మౌస్,माउस
మౌస్ ఇంటర్ఫేస్,माउस इंटरफेस
ఉద్యమం,हालचाल
మల్టీ ఛానల్ పొడిగింపు,मल्टी चॅनेल विस्तार
మల్టీకాస్టింగ్,मल्टीकास्टिंग
మల్టీచానెల్ సిగ్నల్స్,मल्टीचेनेल सिग्नल
మల్టీడైరెక్షనల్ మైక్రోఫోన్,मल्टीडायरेक्शनल मायक्रोफोन
బహుభాషా వ్యాఖ్యానం,बहुभाषिक भाष्य
మల్టీమీడియా,मल्टीमीडिया
మల్టీమీడియా కియోస్క్,मल्टीमीडिया कियोस्क
మల్టీమీటర్,मल्टीमीटर
మల్టీపాత్,मल्टीपाथ
మల్టీపాత్ రిసెప్షన్,मल्टीपाथ रिसेप्शन
మల్టీఫేస్,मल्टीफेस
బహుళ,एकाधिक
బహుళ యాక్సెస్ సిస్టమ్,एकाधिक प्रवेश प्रणाली
మల్టీప్లెక్స్,मल्टीप्लेक्स
మల్టీప్లెక్సర్,मल्टीप्लेक्सर
మల్టీప్లెక్సింగ్,मल्टीप्लेक्सिंग
మల్టీస్టేజ్ యాంప్లిఫైయర్,मल्टीस्टेज एम्पलीफायर
మల్టీ టాస్కింగ్,मल्टीटास्किंग
మల్టీవిబ్రేటర్,मल्टीव्हिब्रेटर
మ్యూట్,निःशब्द
పరస్పర ప్రవర్తన,परस्पर आवाहन
పరస్పర ఇంపెడెన్స్,परस्पर प्रतिबाधा
పరస్పర ఇండక్టెన్స్,परस्पर इंडक्टन्स
పరస్పర జోక్యం,परस्पर हस्तक्षेप
నానో-టెక్నాలజీ,नॅनो-टेक्नॉलॉजी
సన్నని ఊచ,अरुंदबँड
ఇరుకైన కాస్టికింగ్,अरुंदकास्टिंग
సహజ ముసాయిదా,नैसर्गिक मसुदा
నావిగేటర్,नेव्हिगेटर
ప్రతికూల,नकारात्मक
ప్రతికూల పక్షపాతం,नकारात्मक पूर्वाग्रह
ప్రతికూల ఛార్జ్,नकारात्मक शुल्क
వ్యతిరేకమైన ఫీడ్ బ్యాక్,नकारात्मक अभिप्राय
ప్రతికూల శిఖరం,नकारात्मक शिखर
ప్రతికూల నిరోధకత,नकारात्मक प्रतिकार
నికర లాభం,निव्वळ फायदा
నికర నష్టం,निव्वळ तोटा
నెటెకెట్,नेटिक्वेट
నెట్‌వర్క్,नेटवर्क
నెట్‌వర్క్ ఎనలైజర్,नेटवर्क विश्लेषक
నెట్‌వర్క్ ఫైల్ సిస్టమ్,नेटवर्क फाइल सिस्टम
నెట్‌వర్క్ ప్లానింగ్,नेटवर्क नियोजन
నెట్‌వర్క్ ముగింపు,नेटवर्क टर्मिनेशन
నెట్‌వర్కింగ్,नेटवर्किंग
తటస్థ,तटस्थ
తటస్థీకరణ,तटस्थीकरण
న్యూస్ రూమ్ ఆటోమేషన్,न्यूज रूम ऑटोमेशन
నిబ్బెల్,Nebe
సముచితం,कोनाडा
లోడ్ పరీక్ష లేదు,लोड चाचणी नाही
నోడ్,नोड
శబ్దం,आवाज
శబ్దం ఫిగర్,आवाज आकृती
శబ్దం వడపోత,आवाज फिल्टर
శబ్దం అంతస్తు,आवाज मजला
శబ్దం గేట్,आवाज गेट
శబ్దం రోగనిరోధక శక్తి,आवाज प्रतिकारशक्ती
శబ్దం కిల్లర్,आवाज किलर
శబ్ద స్థాయి,आवाजाची पातळी
శబ్దం శక్తి,आवाज शक्ती
శబ్దం ఆకారపు క్వాంటైజర్,ध्वनी आकाराचे क्वांटिझर
శబ్దం మూలం,आवाज स्रोत
శబ్దం అణచివేత సర్క్యూట్,आवाज दडपशाही सर्किट
శబ్దం అణచివేత,आवाज सप्रेसर
శబ్దం ఉష్ణోగ్రత,आवाज तापमान
శబ్దం ఉష్ణోగ్రత,आवाज तापमान
శబ్దం త్రిభుజం,आवाज त्रिकोण
శబ్దం వోల్టేజ్,आवाज व्होल्टेज
శబ్దం లేనిది,गोंगाट
శబ్దం లేని కోడింగ్,गोंगाट नसलेले कोडिंग
ధ్వనించే రిసెప్షన్,गोंगाट करणारा रिसेप्शन
నామమాత్రపు ఉపయోగపడే క్షేత్ర బలం,नाममात्र वापरण्यायोग्य फील्ड सामर्थ्य
నాన్-డైరెసిటోనల్ మైక్రోఫోన్,डायरेसिटोनल मायक्रोफोन
ప్రేరేపించని లోడ్,नॉन-इंडिक्वक्टिव्ह लोड
ప్రేరణ లేని నిరోధకత,नॉन-इंडिक्टिव्ह प्रतिकार
సినోసోయిడల్ వేవ్,नॉन-सिनोसॉइडल वेव्ह
అస్థిర జ్ఞాపకశక్తి,नॉन-अस्थिर मेमरी
గేట్ లేదా గేట్,किंवा गेट
సాధారణ వేగం,सामान्य वेग
సాధారణ సరఫరా,सामान्य पुरवठा
గీత,खाच
నాచ్ ఫిల్టర్,नॉच फिल्टर
సంఖ్యా,संख्यात्मक
సంఖ్యాపరంగా నియంత్రిత ఓసిలేటర్,संख्यात्मक नियंत्रित ऑसीलेटर
గింజ-బోల్ట్,नट-बोल्ट
నైక్విస్ట్-షానన్ సిద్ధాంతం,Nyquist-shannon प्रमेय
ఆబ్జెక్ట్ ఓరియంటెడ్,ऑब्जेक्ट-देणारं
అష్ట,ऑक्टल
ఫ్రీక్వెన్సీ యొక్క అష్టపది,वारंवारतेचा अष्टक
ఆక్టేట్,ऑक्टेट
ఆఫ్-లైన్,ऑफ-लाइन
ఆఫ్‌సెట్,ऑफसेट
ఓం,ओहम
ఓం మీటర్,ओम मीटर
ఆయిల్ సర్క్యూట్ బ్రేకర్,तेल सर्किट ब्रेकर
ఆయిల్ ఫిల్టర్,तेलाची गाळणी
చమురు మునిగిపోయింది,तेल बुडले
చమురు స్థాయి గేజ్,तेल पातळी गेज
ఓమ్ని-డైరెక్షనల్ యాంటెన్నా,ओमनी-दिशात्मक ten न्टीना
ఓమ్ని-డైరెక్షనల్ మైక్రోఫోన్,ओमनी-दिशात्मक मायक्रोफोन
కోరిక మేరకు,मागणीवर
ఆన్-డిమాండ్ స్ట్రీమింగ్,ऑन-डिमांड स्ट्रीमिंग
ఆన్-లైన్ (ఆన్‌లైన్),ऑनलाईन (ऑनलाइन)
ఆన్‌లైన్ విశ్లేషణాత్మక ప్రాసెసింగ్,ऑनलाइन विश्लेषणात्मक प्रक्रिया
ఆఫ్,चालु बंद
ఆన్-ఆఫ్ కీయింగ్ మాడ్యులేషన్,ऑन-ऑफ कीिंग मॉड्यूलेशन
ఓపెన్ సర్క్యూట్,ओपन सर्किट
ఓపెన్ సోర్స్,मुक्त स्रोत
ఓపెన్ సిస్టమ్,ओपन सिस्टम
ఆపరేటింగ్ ఫ్రీక్వెన్సీ,ऑपरेटिंग वारंवारता
ఆపరేటింగ్ సిస్టమ్,ऑपरेटिंग सिस्टम
ఆపరేషన్,ऑपरेशन
ఆపరేటర్,ऑपरेटर
ఆప్టికల్ ఫైబర్,ऑप्टिकल फायबर
ఆప్టికల్ ఫ్రీక్వెన్సీ,ऑप्टिकल वारंवारता
ఆప్టికల్ తగ్గింపు,ऑप्टिकल कपात
ఆప్టికల్ రిజల్యూషన్,ऑप्टिकल रेझोल्यूशन
ఆప్టికల్ ట్రాక్,ऑप्टिकल ट्रॅक
వాంఛనీయ పని పౌన .పున్యం,इष्टतम कार्य वारंवारता
ఆప్టోకౌప్లర్,ऑप्टोकॉप्लर
ఆప్టోఎలక్ట్రానిక్స్,ऑप्टोइलेक्ट्रॉनिक्स
లేదా గేట్,किंवा गेट
కక్ష్య,कक्षा
ఓసిలేటర్,ऑसीलेटर
ఓసిల్లోగ్రామ్,ऑसिलोग्राम
ఓసిల్లోగ్రాఫ్,ऑसिलोग्राफ
ఓసిల్లోస్కోప్,ऑसिलोस्कोप
బాహ్య ఇంటర్‌సీవర్,बाह्य इंटरलीव्हर
అవుట్గోయింగ్ ఫీడర్,आउटगोइंग फीडर
అవుట్పుట్,आउटपुट
