Assamese,Telugu
মুকলি প্ৰশ্ন,ఓపెన్ ప్రశ్న
ৰেকৰ্ডসমূহ খোলা,రికార్డులను తెరవండి
অৰিয়েণ্ট,ఓరియంట్
প্ৰাচ্যবাদ,ఓరియంటలిజం
প্ৰাচ্যবাদ,ఓరియంటలిజం
প্ৰাচ্যবিদ,ఓరియంటలిస్ట్
মূলত,మూలం
মূলত,మూలం
অৰ্থগ্ৰাফী,ఆర్థోగ్రఫీ
শত্ৰুতাৰ প্ৰাদুৰ্ভাৱ,శత్రుత్వాలు చెలరేగడం
আউট-পোষ্ট,అవుట్-పోస్ట్
অভাৰ-লৰ্ড,పైగా ప్రభువు
অভাৰ-ৰাইড,ఓవర్ రైడ్
অভাৰ-ৰাইড,ఓవర్ రైడ్
পৌত্তলিক,పాగన్
পৌত্তলিক,పాగన్
পৌত্তলিকতাবাদ,పాగనిజం
পৌত্তলিকতাবাদ,పాగనిజం
পেগোডা,పగోడా
পেগোডা,పగోడా
পেগোডা,పగోడా
প্ৰাসাদৰ কুটিলতা,ప్యాలెస్ కుట్రలు
পেলেটিনেট,పాలటినేట్
কল-পাত,తాటి ఆకు
পাম দেওবাৰ,పామ్ ఆదివారం
পেনেগিৰিষ্ট,పానెజిరిస్ట్
ত্ৰাস,భయాందోళనలు
ত্ৰাস,భయాందోళనలు
আতংক-মংগাৰ,భయాందోళనలు కలిగించేవాడు
পোপৰ পদ,పాపసీ
পোপৰ পদ,పాపసీ
পোপৰ পদ,పాపసీ
পোপৰ পদ,పాపసీ
পোপৰ ম&#39;হ,పాపల్ ఎద్దు
পোপবাদ,పాపాలిజం
পোপবাদ,పాపాలిజం
পোপবাদী,పాపాలిస్ట్
পোপৰ ৰাজ্য,పాపల్ రాష్ట్రం
পেপিজম (=পেপিষ্ট্ৰি),పాపిజం (=పాపిస్ట్రీ)
পেপিষ্ট,పాపిస్ట్
পেপিৰাছ,పాపిరస్
দৃষ্টান্ত,ఉపమానం
পেৰামাউণ্ট,పారామౌంట్
Paramountcy (=পৰম শক্তি),పారామౌంట్సీ (=పారామౌంట్ పవర్)
পেৰামাউণ্ট লেডী,పారామౌంట్ లేడీ
পৰম প্ৰভু,పరమ ప్రభువు
পাৰ্চমেণ্ট,పార్చ్మెంట్
পাৰ্চমেণ্ট,పార్చ్మెంట్
পাৰ্চমেণ্ট,పార్చ్మెంట్
ক্ষমা কৰিব,క్షమించు
পাৰ্লিছ,పార్లేస్
পাৰ্লিছ,పార్లేస్
সংসদ (=সংসদ),పార్లమెంట్ (=పార్లమెంట్)
সংসদ,పార్లమెంట్
সংসদ,పార్లమెంట్
সংসদ,పార్లమెంట్
সংসদ আইন,పార్లమెంట్ చట్టం
সংসদ সদস্য,పార్లమెంటేరియన్
সংসদ সদস্য,పార్లమెంటేరియన్
সংসদীয় এজেণ্ট,పార్లమెంటరీ ఏజెంట్
পাৰ্নেলিজম,పార్నెలిజం
পেৰ’ল,పెరోల్
পেৰ’ল,పెరోల్
পেৰিচাইড,పారిసిడ్
পেৰিচাইড,పారిసిడ్
পাৰ্টিছান,పక్షపాతం
পাৰ্টিছান,పక్షపాతం
পাৰ্টিছান,పక్షపాతం
উত্তীৰ্ণ,పాస్
পাছ ৱৰ্ড (=watch word),పాస్ వర్డ్ (=వాచ్ వర్డ్)
পেট্ৰিয়াৰ্ক,జాతిపిత
পিতৃপুৰুষসকল,పితృదేవతలు
পেট্ৰিচিয়ান,పాట్రిషియన్
পৈতৃকত্ব,పితృస్వామ్యం
পেক্স ব্ৰিটানিকা,పాక్స్ బ్రిటానికా
পেক্স ৰোমানা,పాక్స్ రొమానా
বংশবৃক্ষ,పూర్వీకుల నుండి వంశక్రమము
বংশবৃক্ষ,పూర్వీకుల నుండి వంశక్రమము
বংশবৃক্ষ ব্যক্তি,వంశపారంపర్య వ్యక్తి
সহকৰ্মী,పీర్
সহকৰ্মী,పీర్
পিৰেজ,పీరేజ్
পিৰেজ,పీరేజ్
পিৰেজ,పీరేజ్
আয়াৰলেণ্ডৰ সমনীয়া,ఐర్లాండ్ సహచరులు
স্কটলেণ্ডৰ সমনীয়া,స్కాట్లాండ్ సహచరులు
উপদ্বীপীয় অভিযান,పెనిన్సులర్ ప్రచారం
উপদ্বীপীয় যুদ্ধ,ద్వీపకల్ప యుద్ధం
পেনেণ্ট,పెన్నెంట్
জনসাধাৰণৰ চনদ (=ৰাষ্ট্ৰীয় চনদ),పీపుల్స్ చార్టర్ (=నేషనల్ చార్టర్)
জনমূখ (=জনপ্ৰিয় ফ্ৰণ্ট),పీపుల్స్ ఫ్రంట్ (=పాపులర్ ఫ్రంట్)
পাৰ্ফিডি,అపవిత్రత
সময়কাল,కాలం
সময়কাল,కాలం
পেৰিফেৰী,పెరిఫెరీ
স্থায়ী বন্দোবস্ত,శాశ్వత పరిష్కారం
চিৰন্তন ফিফ,శాశ్వత ఫైఫ్
ফালানক্স,ఫాలాంక్స్
ফালানক্স,ఫాలాంక్స్
ফ্ৰাউন,ఫారో
চিত্ৰচিত্ৰ,పిక్టోగ్రామ్
পিক্টোগ্ৰাফ,పిక్టోగ్రాఫ్
পিক্টোগ্ৰাফ,పిక్టోగ్రాఫ్
তীৰ্থযাত্ৰী,యాత్రికుడు
তীৰ্থযাত্ৰী পিতৃসকল,యాత్రికుల తండ్రులు
লুটপাত,దోపిడీ
লুটপাত,దోపిడీ
স্তম্ভ,పిల్లర్
স্তম্ভ আদেশ (অশোকৰ),స్తంభ శాసనాలు (అశోకుని)
স্তম্ভ আদেশ (অশোকৰ),స్తంభ శాసనాలు (అశోకుని)
স্তম্ভ আদেশ (অশোকৰ),స్తంభ శాసనాలు (అశోకుని)
পাইৰেট,పైరేట్
পাইৰেট,పైరేట్
পিটচড যুদ্ধ,పిచ్ యుద్ధం
পটভূমি,ప్లాట్లు
পলিছ,పోలిస్
পলিছ,పోలిస్
পলিটাৰ্চ,రాజనీతిజ్ఞుడు
ৰাজনৈতিক এজেন্ট,రాజకీయ ఏజెంట్
ৰাজনৈতিক আশ্ৰয়,రాజకీయ ఆశ్రయం
ৰাজনৈতিক আৱাসী,రాజకీయ నివాసి
ৰাজনৈতিক সন্ত্ৰাসবাদ,రాజకీయ ఉగ్రవాదం
ভোটগ্ৰহণ কৰ,ఎన్నికల పన్ను
পণ্টুন,పాంటూన్
প্ৰধানমন্ত্ৰী,ప్రీమియర్
প্ৰধানমন্ত্ৰী,ప్రీమియర్
প্ৰিমিয়াৰ লীগ,ప్రీమియర్‌షిప్
ৰাষ্ট্ৰপতিত্ব,ప్రెసిడెన్సీ
ৰাষ্ট্ৰপতিত্ব,ప్రెసిడెన్సీ
ৰাষ্ট্ৰপতি,అధ్యక్షుడు
ৰাষ্ট্ৰপতি,అధ్యక్షుడు
প্ৰেচিডিয়াম,ప్రెసిడియం
প্ৰধানমন্ত্ৰী,ప్రధాన మంత్రి
প্ৰাইমোজেনিচাৰ,ప్రిమోజెనిచర్
প্ৰিন্স,యువరాజు
প্ৰিন্স,యువరాజు
প্ৰিন্স বিচপ,ప్రిన్స్ బిషప్
প্ৰিন্স কনচৰ্ট,ప్రిన్స్ కన్సార్ట్
প্ৰিন্স ৰিজেণ্ট,ప్రిన్స్ రీజెంట్
পিন্স ৰেগনেণ্ট,పిన్స్ రెగ్నెంట్
ৰাজকুমাৰী ৰিজেণ্ট,ప్రిన్సెస్ రీజెంట్
ৰাজকুমাৰী ৰয়েল,ప్రిన్సెస్ రాయల్
প্ৰিন্সিপালিটি,ప్రిన్సిపాలిటీ
প্ৰিন্সিপালিটি,ప్రిన్సిపాలిటీ
প্ৰিন্সিপালিটি,ప్రిన్సిపాలిటీ
পুৰষ্কাৰ,బహుమతి
পুৰষ্কাৰ,బహుమతి
পুৰস্কাৰৰ ধন,నగదు బహుమతి
পেছাদাৰী সৈনিক,వృత్తిపరమైన సైనికుడు
প্ৰতিশ্ৰুতি,ప్రామిస్
প্ৰমন্টৰী দুৰ্গ,ప్రమోన్టరీ కోట
প্ৰটেক্টৰেট,రక్షించు
প্ৰটেক্টৰেট,రక్షించు
প্ৰটেক্টৰেট,రక్షించు
Protégé,ఆశ్రితుడు
উৎপত্তিস্থল,మూలాధారం
উৎপত্তিস্থল,మూలాధారం
প্ৰভেনেন্স ব্যৱস্থা,మూలాధార వ్యవస్థ
জিয়নিষ্ট সমৰ্থক,ప్రో-జియోనిస్ట్
ৰাজহুৱা শত্ৰু,ప్రజా శత్రువు
ৰাজহুৱা শত্ৰু,ప్రజా శత్రువు
বিৰাম চিহ্ন,పంక్టేషన్స్
পুনিক যুদ্ধ,ప్యూనిక్ యుద్ధాలు
পিউৰিটান,ప్యూరిటన్
পুচ্চ,పుట్చ్
কোৱাড্ৰিগা,చతుర్భుజం
চতুৰ্ভুজ মিত্ৰতা,చతుర్భుజ కూటమి
কোৱাকাৰ,క్వేకర్
ৰাণী,రాణి
ৰাণী কনচৰ্ট,రాణి భార్య
ৰাণী বিধৱা,క్వీన్ వరుడు
কুইনডম,క్వీన్డమ్
কুইনডম,క్వీన్డమ్
ৰাণী মা,రాణి తల్లి
ৰাণী ৰাজত্ব কৰা,రాణి రాణి
কুইছলিং,క్విస్లింగ్
কুইছলিং,క్విస్లింగ్
ভাড়া এৰি দিয়ক,అద్దె మానేయండి
কুইভাৰ,వణుకు
Quo warranto,వారెంటో
জাতি,జాతి
বৰ্ণবাদী আধিপত্য,జాతి ఆధిపత్యం
ৰেক,ర్యాక్
ৰেক,ర్యాక్
অভিযান,రైడ్
অভিযান,రైడ్
ৰেমপাৰ্ট,ప్రాకారము
ৰেমপাৰ্ট,ప్రాకారము
ৰেনছাক,దోపిడీ
মুক্তিপণ,విమోచన క్రయధనం
মুক্তিপণ,విమోచన క్రయధనం
ৰেভেজ,విధ్వంసం
ৰেভেজ,విధ్వంసం
ৰাজ্য,రాజ్యం
ৰিয়াৰ গাৰ্ড,వెనుక గార్డు
ৰিয়াৰ গাৰ্ডৰ একচন,వెనుక రక్షణ చర్య
বিদ্ৰোহী,తిరుగుబాటుదారుడు
বিদ্ৰোহ,తిరుగుబాటు
বিদ্ৰোহৰ স্বীকৃতি,తిరుగుబాటుకు గుర్తింపు
পুনৰ পৰিবাহী,రీకండక్షన్
গোপনীয়তা,నిఘా
পুনৰ্গঠন,పునర్నిర్మాణం
নথিভুক্ত,రికార్డ్ చేయండి
ৰেকৰ্ড অফিচ,రికార్డు కార్యాలయం
অৱসৰৰ অভিলেখ,రికార్డ్ రిటైర్మెంట్
ৰঙা চাৰ্ট,ఎర్ర చొక్కాలు
সংস্কাৰ,సంస్కరణ
শৰণাৰ্থী,శరణార్థ
ৰেগালিয়া,రెగాలియా
ৰেগালিয়া,రెగాలియా
ৰেগালিয়া,రెగాలియా
ৰিজেন্সি,రీజెన్సీ
ৰিজেণ্ট,రీజెంట్
ৰিজেণ্ট কুইন,రీజెంట్ రాణి
ৰেজিচাইড,రెజిసైడ్
ৰেজিচাইড,రెజిసైడ్లు
শাসন ব্যৱস্থা,పాలన
শাসন ব্যৱস্থা,పాలన
অঞ্চল,ప్రాంతం
ৰেগনাল বছৰ,రెగ్నల్ సంవత్సరం
ৰেগনেণ্ট,రెగ్నెంట్
ৰেগনাম,రెగ్నమ్
ৰাইচ,రీచ్
ৰাজত্ব কৰক,పాలన
ৰাজত্ব কৰক,పాలన
ৰাজত্ব কৰা পৰিয়াল,పాలించే కుటుంబం
আতংকৰ ৰাজত্ব,భయానక పాలన
আতংকৰ ৰাজত্ব,భయానక పాలన
শক্তিশালী কৰক,బలపరచు
শক্তিবৰ্ধক,అదనపుబల o
পুনৰ নিযুক্তি,పునఃస్థాపన
পুনৰ বিনিয়োগ কৰক,తిరిగి పెట్టుబడి పెట్టండి
ৰিলে পোষ্ট,రిలే పోస్ట్
ৰিলেৰ পথ,రిలే మార్గం
ৰিলে ব্যৱস্থা,రిలే వ్యవస్థ
মুক্তি দিয়া,విడుదల
মুক্তি দিয়া,విడుదల
ত্যাগ,త్యజించుట
ত্যাগ,త్యజించుట
ৰেপাৰ্টৰী (=ইনভেণ্টৰী),రెపర్టరీ (=ఇన్వెంటరీ)
ভঁৰাল,రిపోజిటరీ
ভঁৰাল,రిపోజిటరీ
ৰিপাব্লিক,రిపబ్లిక్
গণৰাজ্য দিৱস,గణతంత్ర దినోత్సవం
পুনৰ লিপিবদ্ধ কৰক,రిస్క్రిప్ట్
পুনৰ লিপিবদ্ধ কৰক,రిస్క్రిప్ట్
বাসিন্দা,నివాసి
পুনৰুদ্ধাৰ,పునరుద్ధరణ
পুনৰুত্থান,పునరుత్థానం
পুনৰুত্থান,పునరుత్థానం
পশ্চাদপসৰণ,తిరోగమనం
ওলোটা (এটা মুদ্ৰাৰ),రివర్స్ (నాణెం)
বিদ্ৰোহ,తిరుగుబాటు
বিপ্লৱ,విప్లవం
"বিপ্লৱ, ফৰাচী","విప్లవం, ఫ్రెంచ్"
বিপ্লৱ গৌৰৱময়,విప్లవం గ్లోరియస్
"বিপ্লৱ, ঔদ্যোগিক","విప్లవం, పారిశ్రామిక"
ৰাইজিং,రైజింగ్
পচি যোৱা-বৰো,రాటెన్-బరో
ৰাফ ৰাইডাৰ,రఫ్ రైడర్స్
ঘূৰণীয়া মূৰ,గుండ్రని తలలు
ৰাউট,రూట్
ৰয়েল দৰ্শক,రాయల్ ప్రేక్షకులు
ৰয়েল চাৰ্টাৰ,రాయల్ చార్టర్
ৰয়েল ক্ৰেষ্ট,రాయల్ క్రెస్ట్
ৰয়েল ক্ৰেষ্ট,రాయల్ క్రెస్ట్
ৰয়েল ডিক্রী,రాయల్ డిక్రీ
ৰুব্ৰীক,రూబ్రిక్
ধ্বংসাৱশেষ,శిథిలాలు
দৌৰবিদ,రన్నర్
ভেঙুচালি কৰা,విధ్వంసం
ছাবেৰ,సాబెర్
চেব্ৰেছ,సాబర్స్
ত্যাগ,త్యాగం
ত্যাগ,త్యాగం
ত্যাগ,త్యాగం
নিৰাপদ আচৰণ,సురక్షితమైన ప్రవర్తన
সুৰক্ষা,రక్షణ
সুৰক্ষা,రక్షణ
সুৰক্ষাৰ কৰ্তব্য,రక్షణ విధులు
চেলি,సాలీ
চেলি-পৰ্ট,సాలీ-పోర్ట్
ৰাজদণ্ড,రాజదండం
স্কিমিটাৰ,స్కిమిటార్
দ্বিতীয় বাগিচা,రెండవ ఎస్టేట్
পন্থা,శాఖ
পন্থা,శాఖ
বাজেয়াপ্ত,నిర్భందించటం
বাজেয়াপ্ত,నిర్భందించటం
চেনেট,సెనేట్
চেনেট,సెనేట్
চেনেট,సెనేట్
চেনেট,సెనేట్
Serf (=bordar বা villein),సెర్ఫ్ (=బోర్డార్ లేదా విల్లెన్)
Serf (=bordar বা villein),సెర్ఫ్ (=బోర్డార్ లేదా విల్లెన్)
দাসত্ব (serfhood বা serfage),సెర్ఫోడమ్ (సెర్ఫ్‌హుడ్ లేదా సెర్ఫేజ్)
দাসত্ব (serfhood বা serfage),సెర్ఫోడమ్ (సెర్ఫ్‌హుడ్ లేదా సెర్ఫేజ్)
ছাঁ ৰজা,నీడ రాజు
জাহাজৰ ধন,షిప్ మనీ
শ্বক সৈন্য (=ধুমুহা সৈন্য),షాక్ దళాలు (=తుఫాను దళాలు)
চুটি সংসদ,పొట్టి పార్లమెంట్
স্কিমিছ,వాగ్వివాదం
দাস,బానిస
দাসত্ব,బానిసత్వం
দাসত্ব,బానిసత్వం
সৈনিক ৰাষ্ট্ৰনেতা,సైనిక రాజనీతిజ్ఞుడు
বৰশী,ఈటె
বৰশীৰ মূৰ,ఈటె-తల
গোলক,గోళము
স্ফ্ৰেজিষ্টিকছ,స్ఫ్రాగిస్టిక్స్
ব্যৱস্থা নষ্ট কৰে,వ్యవస్థను పాడు చేస్తుంది
স্কোৱায়াৰ,స్క్వైర్
স্কোৱায়াৰ,స్క్వైర్
স্কুয়াৰআৰ্চি,Squirearchy
স্কুয়াৰআৰ্চি,Squirearchy
মানদণ্ড,ప్రామాణికం
ষ্টেণ্ডাৰ্ড-বাহক,స్టాండర్డ్ బేరర్
থিয় হৈ থকা সেনাবাহিনী,స్టాండింగ్ ఆర్మీ
ষ্টেণ্ডিং অৰ্ডাৰ,స్టాండింగ్ ఆర్డర్లు
ষ্টেণ্ডিং অৰ্ডাৰ,స్టాండింగ్ ఆర్డర్లు
ৰাষ্ট্ৰনেতা,రాజనీతిజ్ఞుడు
শিলৰ শিলালিপি,రాతి శాసనం
ধুমুহাৰ সৈন্য,తుఫాను దళాలు
কৌশল,వ్యూహం
কৌশল,వ్యూహం
কৌশল,వ్యూహం
কৌশল,వ్యూహం
ষ্ট্ৰেট’ক্ৰেচি,స్ట్రాటోక్రసీ
বিবাদ,కలహాలు
বিবাদ,కలహాలు
শক্তিশালী ধৰি ৰখা,బలమైన పట్టు
শক্তিশালী ধৰি ৰখা,బలమైన పట్టు
সহযোগী টেলায়েন্স,అనుబంధ టాలయన్స్
উত্তৰাধিকাৰ,వారసత్వం
উত্তৰাধিকাৰী,వారసుడు
ভোটাধিকাৰ,ఓటు హక్కు
ভোটাধিকাৰী,ఓటు హక్కుదారుడు
চুলতানত্ব,సుల్తానేట్
চুলতানত্বৰ যুগ,సుల్తానేట్ కాలం
সমৰ্পণ,లొంగిపో
চুজেৰেইন,సుజెరైన్
চুজেৰেইন ৰাজ্য,సుజరైన్ రాష్ట్రం
তৰোৱালধাৰী,ఖడ్గవీరుడు
টামমানী ছ&#39;চাইটি,తమ్మనీ సొసైటీ
টেম্পাৰড তৰোৱাল,కోపముగల కత్తి
ভাড়াতীয়া,అద్దెదారు
ভাড়াতীয়া,అద్దెదారు
অঞ্চল,భూభాగం
অঞ্চল,భూభాగం
টেৰিটৰী চৰকাৰ,భూభాగం ప్రభుత్వం
সন্ত্ৰাসবাদ,తీవ్రవాదం
তৃতীয় বাগিচা,థర్డ్ ఎస్టేట్
তিনিটা বাগিচা,మూడు ఎస్టేట్లు
টোল,టోల్
টোল হাউচ,టోల్ హౌస్
সমাধিস্থল,సమాధి
ট&#39;ৰী,టోరీ
টটেম,టోటెమ్
টাৱাৰ,టవర్
টাৱাৰ,టవర్
বিজয়ৰ টাৱাৰ,విజయ టవర్
বিশ্বাসঘাতক,దేశద్రోహి
বিশ্বাসঘাতকতা,ద్రోహం
দেশদ্ৰোহ,రాజద్రోహం
সন্ধি,సంధి
যুদ্ধৰ দ্বাৰা পৰীক্ষা (=যুদ্ধৰ দ্বাৰা ট্ৰেইল),యుద్ధం ద్వారా విచారణ (=యుద్ధం ద్వారా కాలిబాట)
শ্ৰদ্ধাঞ্জলি,నివాళి
শ্ৰদ্ধাঞ্জলি,నివాళి
শ্ৰদ্ধাঞ্জলি ভূমি,నివాళి భూమి
ট্ৰিপল এলায়েন্স,ట్రిపుల్ కూటమి
ট্ৰিপল এণ্টেণ্ট,ట్రిపుల్ entente
জয়লাভ,విజయం
জয়লাভ,విజయం
অস্থিৰতা,అలజడి
অত্যাচাৰী হত্যা,నిరంకుశ హత్య
অত্যাচাৰী হত্যা,నిరంకుశ హత్య
অত্যাচাৰ,దౌర్జన్యం
অত্যাচাৰ,దౌర్జన్యం
অত্যাচাৰী,నిరంకుశుడు
উহলান,ఉహ్లాన్
উকাচে,ఉకాసే
উকাচে,ఉకాసే
উলেমা,ఉలేమా
আলটিমেটাম,అల్టిమేటం
আলটিমেটাম,అల్టిమేటం
ককাক ছেম,సామ్ మామయ్య
আণ্ডাৰ-কিং,అండర్-కింగ్
ইউনাইটেড আইৰিছমেন,యునైటెడ్ ఐరిష్ మెన్
যুক্তৰাষ্ট্ৰ,ఐక్యరాజ్యసమితి
সংযুক্ত প্ৰভিন্স,యునైటెడ్ ప్రావిన్స్
সংযুক্ত প্ৰভিন্স,యునైటెడ్ ప్రావిన్స్
ইউনিভেলেটেড দুৰ্গ,అసమానమైన కోట
সাৰ্বজনীন ৰজা,సార్వత్రిక చక్రవర్తి
সাৰ্বজনীন ভোটাধিকাৰ,సార్వత్రిక ఓటు హక్కు
বিদ্ৰোহ,తిరుగుబాటు
দখল কৰা,దోపిడీ
দখলদাৰী,దోపిడీదారుడు
ইউটোপিয়া,ఆదర్శధామం
ভাণ্ডাল,విధ్వంసం
ভাঙি-ছিঙি পেলোৱা,విధ్వంసం
ভ্যানগাৰ্ড,వాన్గార్డ్
ভ্যানগাৰ্ড,వాన్గార్డ్
ভ্যানগাৰ্ড,వాన్గార్డ్
ভাৰংগিয়ান,వరంజియన్
ভাৰংগিয়ান গাৰ্ড,వరంజియన్ గార్డు
ভেছাল,వాసల్
ভেছাল,వాసల్
ভেছাল অৱস্থা,వాసల్ రాష్ట్రం
ভেটিকান কাউন্সিল,వాటికన్ కౌన్సిల్
পাত্ৰ,ఓడ
পাত্ৰ,ఓడ
পাত্ৰ,ఓడ
উপ-ৰজা,ఉపరాజు
ভাইচৰয়,వైస్రాయ్
ভাইচৰয়লিটি=ভাইচৰয়শ্বিপ,వైస్రాయిల్టీ=వైస్రాయ్‌షిప్
ভিক্টৰ,విక్టర్
বিজয়,విజయం
ভিলেইন,విలన్
জলপথে গমন,సముద్రయానం
দুৰ্বল দুৰ্গ,దుర్బలమైన కోట
ৱাল পেইন্টিং,వాల్ పెయింటింగ్
ৱাল পেইন্টিং,వాల్ పెయింటింగ్
যুদ্ধ,యుద్ధం
যুদ্ধ-প্ৰভু,యుద్ధ ప్రభువు
যোদ্ধা,యోధుడు
যোদ্ধা,యోధుడు
যোদ্ধা,యోధుడు
যুদ্ধজাহাজ,యుద్ధనౌక
ৱাচ-ৱৰ্ড,వాచ్-వర్డ్
কল্যাণকামী ৰাষ্ট্ৰ,సంక్షేమ రాజ్యం
কল্যাণমূলক কাম,సంక్షేమ పనులు
হুইগ,విగ్
বগা পতাকা,తెల్ల జెండా
বগা মানুহৰ বোজা,తెల్లవారి భారం
বিশ্ব সাম্ৰাজ্য,ప్రపంచ సామ్రాజ్యం
বিশ্ব আন্দোলন,ప్రపంచ ఉద్యమం
বিশ্ব ৰাজনীতি,ప్రపంచ రాజకీయాలు
বিশ্ব শক্তি,ప్రపంచ శక్తి
বিশ্বযুদ্ধ,ప్రపంచ యుద్ధం
ৰেকাৰ,వ్రేకర్
ধ্বংসাত্মক সংশোধনী,ధ్వంసమైన సవరణ
জেনেলাচিছ,జెనెలాసిస్
বিদেশী ঘৃণা,జెనోఫోబియా
য়েংকি,యాంకీ
হালধীয়া জেকেট,పసుపు రంగు గల చొక్కా
হালধীয়া মানুহ,పసుపు మనిషి
হালধীয়া বিপদ,పసుపు ప్రమాదం
হালধীয়া প্ৰেছ,పసుపు ప్రెస్
যুৱ তুৰ্কী,యంగ్ టర్క్స్
জিউছ,జ్యూస్
জায়নিজম,జియోనిజం
জৰদস্তি ধৰ্ম,జొరాస్ట్రియనిజం
