Assamese,Marathi
ঋণাত্মক প্ৰতিৰোধ ক্ষমতা,नकारात्मक प्रतिकार
ঋণাত্মক প্ৰতিৰোধ মণ্ডল,नकारात्मक प्रतिकार क्षेत्र
ঋণাত্মক যোগান,नकारात्मक पुरवठा
ঋণাত্মক উষ্ণতা,नकारात्मक तापमान
ঋণাত্মক উষ্ণতা সহগ,नकारात्मक तापमान गुणांक
ঋণাত্মক সংক্ৰমণ,नकारात्मक प्रसार
ঋণাত্মক গছ,नकारात्मक झाड
ঋণাত্মক সুৰংগ ডাইঅ&#39;ড,नकारात्मक बोगदा डायोड
ঋণাত্মক মিছা,नकारात्मक खोटे
নেতিবাচক সত্য,नकारात्मक सत्य
নগণ্য,उपेक्षणीय
নেমেটিক তৰল স্ফটিক,नेमॅटिक फ्लुइड क्रिस्टल
ঋণাত্মক ধৰণ,नकारात्मक मोड
নিয়ন লেম্প,निऑन दिवा
নেপাৰ,नॅपर
নেষ্টেড শাখা,नेस्टेड शाखा
নেষ্টেড ৱৰ্ক চিন,नेस्टेड कामाचे चिन्ह
বাহ সজা,घरटे
নিৰপেক্ষ অশুদ্ধিৰ ঘনত্ব,पूर्ण अशुद्धता एकाग्रता
নেট তালিকা,निव्वळ यादी
"নেটৱাৰ্ক, নেটৱাৰ্ক","नेटवर्क, नेटवर्क"
নে&#39;টৱৰ্ক ড্ৰাইভ,नेटवर्क ड्राइव्ह
নেটৱৰ্ক অপাৰেটৰ,नेटवर्क ऑपरेटर
নেটৱাৰ্ক মডেল,नेटवर्क मॉडेल
নে&#39;টৱৰ্ক অপাৰেটিং চিস্টেম,नेटवर्क ऑपरेटिंग सिस्टम
নে&#39;টৱৰ্ক চাৰ্ভাৰ,नेटवर्क सर्व्हर
নেটৱাৰ্ক গঠন,नेटवर्क संरचना
নেটৱৰ্ক তত্ত্ব,नेटवर्क सिद्धांत
নে&#39;টৱৰ্ক টপোলজি,नेटवर्क टोपोलॉजी
নিস্তেজ,मूडी
নিৰপেক্ষ ৰেখা,तटस्थ रेषा
ডিপ্ৰেছড জ&#39;ন,उदासीन क्षेत्र
নিষ্ক্ৰিয়কৰণ বৰ্তনী,तटस्थीकरण सर्किट
নিষ্ক্ৰিয়কৰণ,तटस्थीकरण
নিউট্ৰন,न्यूट्रॉन
পৰৱৰ্তী প্ৰজন্মৰ CPU,नेक्स्ट जनरेशन CPU
নতুন শাৰী আখৰ,नवीन ओळ वर्ण
নিউজিলেণ্ড ভাইৰাছ,न्यूझीलंड व्हायरस
পৰৱৰ্তী পৰ্যায়,पुढील टप्पा
পৰৱৰ্তী পৰ্যায়ৰ সমীকৰণ,पुढील टप्पा समीकरण
পৰৱৰ্তী পৰ্যায়ৰ টেবুল,पुढील स्टेज टेबल
nibble,कुरतडणे
nibble মেমৰি চিপ,निबल मेमरी चिप
nibble মাল্টিপ্লেক্সাৰ,निबल मल्टीप्लेक्सर
nicholas চাৰ্ট,निकोलस चार्ट
ৰাতিৰ প্ৰভাৱ,रात्रीचा प्रभाव
নটা পথ টেপ,नऊ पथ टेप
ন&#39;ৰ পৰিপূৰক,नऊचे पूरक
en moss,en moss
en moss বিপৰীতমুখী,मॉस उलटा
গণ প্ৰক্ৰিয়া,सामूहिक प्रक्रिया
en moss গঠন,मॉस रचना
en moss ট্ৰেঞ্জিষ্টৰ,मॉस ट्रान्झिस्टर
শূন্য লোড কাৰেণ্ট,शून्य भार प्रवाह
crimped কেবল,crimped केबल
নোডুলাৰ,नोड्युलर
"ন&#39;ড, ন&#39;ড","नोड, नोड"
ন&#39;ডৰ অৱক্ষয়,नोड खराब होणे
হুলস্থূল,आवाज
শব্দ হিমস্খলন,आवाज हिमस्खलन
শব্দ বেণ্ড সম্প্ৰসাৰণ,आवाज बँड विस्तार
শব্দ ফাটি গ’ল,आवाज फुटणे
শব্দ বাতিল কৰা মাইক্ৰ&#39;ফোন,आवाज रद्द करणारा मायक्रोफोन
শব্দ বহুগুণক,आवाज गुणक
শব্দ পুনৰ বিনিয়োগ এম্প্লিফায়াৰ,नॉइज रिइन्व्हेस्टमेंट अॅम्प्लीफायर
ৰভাংক,रावणक
শব্দ অপ্ৰভাৱিত,आवाज अप्रभावित
কোলাহলপূৰ্ণ ইমপালছ,गोंगाट करणारा आवेग
শব্দ সীমিতকাৰী,आवाज मर्यादित करणारा
শব্দৰ প্ৰান্ত,आवाज मार्जिन
শব্দ জোখা,आवाज मोजमाप
শব্দ বিভাজন,आवाज विभागणी
শব্দ কোৱাণ্টাইজেচন,आवाज परिमाणीकरण
"শব্দ হ্ৰাস, শব্দ হ্ৰাস","आवाज कमी करणे, आवाज कमी करणे"
শব্দ প্ৰতিৰোধ ক্ষমতা,आवाज प्रतिकार
শব্দৰ প্ৰতিনিধিত্ব,आवाज प्रतिनिधित्व
শব্দ স্পাইক,आवाज स्पाइक
শব্দৰ উষ্ণতা,आवाज तापमान
ফ্লপি ডিষ্ক ড্ৰাইভ,फ्लॉपी डिस्क ड्राइव्ह
নামমাত্ৰ ইম্পিডেন্স,नाममात्र प्रतिबाधा
ফোকাচ মূল্য,फोकल मूल्य
অৰৈখিক বিকৃতি,नॉन-रेखीय विकृती
অচল,अपरिवर्तनीय
অনুৰণিত,अनुनाद
নন-ৰেজোনেণ্ট এন্টেনা,नॉन-रेझोनंट अँटेना
ক্ষতিপূৰণহীন কাৰ্য্যকৰী পৰিবৰ্ধক,भरपाई न केलेले ऑपरेशनल अॅम्प्लिफायर
অ-পৰিপূৰক,गैर-पूरक
ডাইলেক্ট্ৰিক,डायलेक्ट्रिक
সংলগ্ন তথ্য গঠন,संलग्न डेटा संरचना
আক্ৰমণাত্মক ৰান,आक्रमक धाव
ডাইভাৰচন মোড,वळव मोड
অক্ষয় পঢ়া,अविनाशी वाचन
dosless বিভাজন বাৰ্তা,dosless विभाजन संदेश
অসঠিক বক্তব্য,अस्पष्ट विधान
দুৰ্বল প্ৰদৰ্শন,खराब कामगिरी
অসমীয়া মুত্ৰক,assanghat mutrak
নন ইণ্ডাকচন ৰাশিফল,आगमनात्मक कुंडली
নন-ৰিটাৰ্ণ এম্প্লিফায়াৰ,नॉन-रिटर्न एम्पलीफायर
বিপৰীত গড় পৰিবৰ্ধক,इनव्हर्स मीन एम्पलीफायर
বিপৰীত বাফাৰ,व्यस्त बफर
বিপৰীত তুলনাকাৰী,व्यस्त तुलनाकर्ते
বিপৰীত বিন্যাস,व्यस्त कॉन्फिगरेशन
ইনভাৰ্ছ কম্পাইলাৰ এম্প্লিফায়াৰ,व्यस्त कंपाइलर अॅम्प्लिफायर
বিপৰীত ভল্টেজ,व्यस्त व्होल्टेज
অৰৈখিক,नॉन-रेखीय
অৰৈখিক কেপাচিটৰ,नॉन-लाइनर कॅपेसिटर
অৰৈখিক বৰ্তনী বিশ্লেষণ,नॉन-लिनियर सर्किट विश्लेषण
অৰৈখিক উপাদান,नॉन-रेखीय घटक
অৰৈখিক লোড লাইন,नॉन-लिनियर लोड लाइन
অৰৈখিক মডুলেচন,नॉन-लिनियर मॉड्युलेशन
অৰৈখিক ৰেজিষ্টেন্স,नॉन-रेखीय प्रतिकार
অৰৈখিক ব্যৱস্থা,नॉन-लिनियर सिस्टम
অৰৈখিকতা,नॉन-लाइनरिटी
অৰৈখিকতা ভুল,नॉन-लाइनरिटी त्रुटी
স্বাভাৱিক কম্পাঙ্ক,सामान्यीकृत वारंवारता
non recurring,आवर्ती नाही
অসন্তুষ্ট ভাষা,प्रतिसाद न देणारी भाषा
পুনৰাবৃত্তিমূলক ব্যৱস্থা,पुनरावृत्ती प्रणाली
চিস্টেমবিহীন ডিষ্ক,सिस्टमलेस डिस्क
ছিৰিয়েল ক&#39;ড,अनुक्रमांक
অ-পৃষ্ঠীয়,पृष्ठभाग नसलेला
অস্বাভাৱিক সংৰক্ষণ,अस्थिर संचयन
ন&#39;ৰ,नॉर
knorr ফাংচন,knorr कार्य
নতুবা গেট,ना गेट
knorr লেচ,knorr कुंडी
knorr অপাৰেচন,knorr ऑपरेशन
স্বাভাৱিক ঘনত্বৰ কাৰ্য্য,सामान्य घनता कार्य
flutter শব্দ,फडफड आवाज
সাধাৰণ নমুনা সংগ্ৰহ কৰা,सामान्य नमुना
স্বাভাৱিক অনুপ্ৰৱেশ,सामान्यीकृत प्रवेश
সাধাৰণতে বন্ধ mosfet,साधारणपणे बंद mosfet
ন&#39;ৰ-ন&#39;ৰ নেটৱৰ্ক,ना-ना नेटवर्क
নৰ্টন মডেল,नॉर्टन मॉडेल्स
উত্তৰ চুম্বকীয় মেৰু,उत्तर चुंबकीय ध्रुव
নৰ্টন প্ৰাইভেট লিমিটেড।,नॉर्टन प्रा.
নৰ্টন এম্প্লিফায়াৰ,नॉर्टन अॅम्प्लीफायर
নৰ্টন বৰ্তনী,नॉर्टन सर्किट
নৰ্টন ডি.ডি.,नॉर्टन डी.डी.
নৰ্টন সমতুল্য বৰ্তনী,नॉर्टन समतुल्य सर्किट
নৰ্টন বিপৰীত আৰু বিপৰীত,नॉर्टन व्यस्त आणि व्यस्त
নৰ্টন অপাৰেচনেল এম্প্লিফায়াৰ,नॉर्टन ऑपरेशनल एम्पलीफायर
নৰ্টন ইউটিলিটি,नॉर्टन युटिलिटी
নহয়,नाही
কাৰ্য্য নহয়,कार्य नाही
গেট নহয়,गेट नाही
অপাৰেচন নহয়,ऑपरेशन नाही
সংকেত পদ্ধতি,नोटेशन पद्धत
খাঁজ এন্টেনা,खोबणी अँटेना
খাঁজ ফিল্টাৰ,खोबणी फिल्टर
npn ট্ৰেঞ্জিষ্টৰ,एनपीएन ट्रान्झिस्टर
এনটিএছচি আন্তঃপৃষ্ঠ,NTSC इंटरफेस
n-ধৰণৰ অশুদ্ধি,n-प्रकारची अशुद्धता
n-ধৰণৰ পদাৰ্থ,n-प्रकारची बाब
নিউক্লিয়াছ,केंद्रक
শূন্য,शून्य
খালী পদৰ বৃত্ত,रिक्त जागा
শূন্য অফছেট ভল্টেজ,शून्य ऑफसेट व्होल्टेज
খালী পদৰ সূচক,रिक्तता सूचक
সংখ্যাৰ ভিত্তি,संख्या आधार
সংখ্যা ভিত্তিক ৰূপান্তৰ,संख्या आधारित रूपांतरण
পইণ্ট ক্ষতি,गुणांचे नुकसान
নম্বৰ লুপ কি&#39;,नंबर लूप की
সংখ্যা ব্যৱস্থা,संख्या प्रणाली
সংখ্যাগত সহ-প্ৰচেছৰ,संख्यात्मक सह-प्रोसेसर
সংখ্যাগত কি পেড,अंकीय की पॅड
সংখ্যাগত এপাৰচাৰ,संख्यात्मक छिद्र
সংখ্যাগত দূৰত্ব,संख्यात्मक अंतर
nuvicon,nuvicon
nyquist,nyquist
nyquist বেণ্ড সম্প্ৰসাৰণ,nyquist बँड विस्तार
nyquist মাপকাঠী,nyquist निकष
nyquist ব্যৱধান,nyquist मध्यांतर
nyquist নাড়ী,nyquist नाडी
nyquist হাৰ,nyquist दर
nyquist স্থায়িত্বৰ মাপকাঠী,nyquist टिकाऊपणा निकष
nyquist উপপাদ্য,nyquist प्रमेय
উদ্দেশ্যমূলক মডিউল,वस्तुनिष्ठ मॉड्यूल
বস্তুনিষ্ঠ কাৰ্যসূচী,वस्तुनिष्ठ कार्यक्रम
বস্তুনিষ্ঠ লেন্স,वस्तुनिष्ठ लेन्स
বস্তুমুখী প্ৰগ্ৰেমিং,ऑब्जेक्ट ओरिएंटेड प्रोग्रामिंग
অষ্টক,अष्टक
আশী বাছ ৰিচিভাৰ-প্ৰেৰণ কৰা,ऐंशी बस रिसिव्हर-पाठवल्या
অষ্টক সংখ্যা ব্যৱস্থা,ऑक्टल संख्या प्रणाली
অষ্টক,अष्टक
অদ্ভুত ফাংচন,विषम कार्य
"অদ্ভুত সমতা, অদ্ভুত উপমা","विषम समता, विषम समानता"
"অড&#39;মিটাৰ, পেথ&#39;মিটাৰ","ओडोमीटर, पॅथोमीटर"
অফ লাইন,ऑफ लाइन
অ-মৌখিক সঁহাৰি,गैर-मौखिक प्रतिसाद
"বিজুতি, অফছেট","विसंगती, ऑफसेट"
অফছেট কোণ,ऑफसेट कोन
অফছেট ষ্ট্ৰিম,ऑफसेट प्रवाह
অফছেট ভুল,ऑफसेट त्रुटी
অফছেট অপ্টিমাইজেচন,ऑफसेट ऑप्टिमायझेशन
অফছেট ভল্টেজ,ऑफसेट व्होल्टेज
ওম,ओम
ওমিক সংস্পৰ্শ,ओमिक संपर्क
ওমিক ফিল্ড,ओमिक फील्ड
"ওমমিটাৰ, ওমমিটাৰ","ohmmeter, ohmmeter"
ওমৰ নিয়ম,ओमचा कायदा
প্ৰতি ভল্টত ওম,ohms प्रति व्होल्ट
তেলৰ চাৰ্কিট ব্ৰেকাৰ,तेल सर्किट ब्रेकर
সৰ্বদিশীয়,सर्व दिशात्मक
সৰ্বব্যাপী,सर्वव्यापीता
OMR (অপ্টিকেল কভাৰ ৰিডিং),OMR (ऑप्टिकल कव्हर वाचन)
"অন ৰেজিষ্টেন্স, অন ৰেজিষ্টেন্স","ON resistance, ON resistance"
ৰাজ্যৰ ওপৰত,राज्यावर
চিপ ইম্প্লিচিট ডিকোডাৰ,चिप निहित डीकोडर
ৱান শ্বট ষ্টেটিক মাল্টিভাইব্ৰেটৰ,वन शट स्टॅटिक मल्टीव्हायब्रेटर
ৱান-পাছ এছেম্বলাৰ,एक-पास असेंबलर
কাৰেণ্ট ৰেজিষ্টেন্স,वर्तमान प्रतिकार
এটা ভ্ৰমণকাৰী পঞ্জীয়ন,प्रवासी नोंदणी
অনলাইন ব্যৱস্থা,ऑनलाइन प्रणाली
"অন-অফ নিয়ন্ত্ৰক, অন-অফ নিয়ন্ত্ৰক","ऑन-ऑफ कंट्रोलर, ऑन-ऑफ कंट्रोलर"
অন-অফ কী কৰা,ऑन-ऑफ कीिंग
কাৰ্য্যকৰী পৰিবৰ্ধক,ऑपरेशनल एम्पलीफायर
অপাৰেটিং মিন এম্প্লিফায়াৰ,ऑपरेटिंग मीन एम्पलीफायर
কাৰ্য্যকৰী তুলনাকাৰী,ऑपरेशनल तुलनाकर्ता
কাৰ্য্যকৰী পৰিবৰ্ধক বহুগুণক,ऑपरेशनल अॅम्प्लीफायर गुणक
কাৰ্য্যকৰী ছফনি এম্প্লিফায়াৰ,ऑपरेशनल सोफोनी अॅम्प्लिफायर
মুকলি সংগ্ৰাহক,खुले कलेक्टर
মুক্ত বিনিয়োগ,खुली गुंतवणूक
open loop খোলা লুপ,ओपन लूप ओपन लूप
খোলা তাঁৰৰ লাইন,ओपन वायर लाइन
মুক্ত বৰ্তনীৰ প্ৰাচল,ओपन सर्किट पॅरामीटर
মুক্ত বৰ্তনীৰ ইম্পিডেন্স,ओपन सर्किट प्रतिबाधा
মুক্ত লুপ লাভ,ओपन लूप लाभ
অপাৰেণ্ড,ऑपरेंड
অপাৰেটিং এংগেল,ऑपरेटिंग कोन
সক্ৰিয়কৰণ ধৰণ,सक्रियकरण मोड
অপাৰেটিং পইণ্ট,ऑपरेटिंग पॉइंट
লজিষ্টিকছ,रसद
অপাৰেটিং ফ্ৰিকুৱেন্সি,ऑपरेटिंग वारंवारता
"অপাৰেচন, অপাৰেচন","ऑपरेशन, ऑपरेशन"
অপাৰেচন ক&#39;ড,ऑपरेशन कोड
কাৰ্য্যকৰী পৰিবৰ্ধক,ऑपरेशनल एम्पलीफायर
অপাৰেটৰজনক,ऑपरेटर
অপটিকেল বিম,ऑप्टिकल बीम
অপটিকেল যোগাযোগ,ऑप्टिकल संप्रेषण
অপটিকেল ডিস্ক,ऑप्टिकल डिस्क
অপটিকেল ক&#39;ডেক,ऑप्टिकल कोडेक
অপটিকেল ফাইবাৰ,ऑप्टिकल फायबर
অপটিকেল ইনজেকচন,ऑप्टिकल इंजेक्शन
"অপটিকেল থাৰ্মোমিটাৰ, পাইৰ’মিটাৰ","ऑप्टिकल थर्मामीटर, पायरोमीटर"
অপটিকেল ৰেকৰ্ডাৰ,ऑप्टिकल रेकॉर्डर
অপটিকেল ৰেকৰ্ডিং,ऑप्टिकल रेकॉर्डिंग
অপটিকেল স্কেনিং,ऑप्टिकल स्कॅनिंग
অপটিকেল স্কোৱাৰ,ऑप्टिकल चौरस
অপটিকেল সংৰক্ষণ ডিভাইচ,ऑप्टिकल स्टोरेज डिव्हाइस
অপটিকেল কাপল্ড আইছ&#39;লেটৰ,ऑप्टिकल जोडलेले पृथक्करण
"অনুকূল পক্ষপাতিত্ব, অনুকূল পক্ষপাতিত্ব","इष्टतम पूर्वाग्रह, इष्टतम पूर्वाग्रह"
অনুকূল ফিল্টাৰ,इष्टतम फिल्टर
অনুকূল ব্যৱস্থা,इष्टतम प्रणाली
অনুকূল কামৰ কম্পাঙ্ক,इष्टतम काम वारंवारता
অপটিকেল কাপলাৰ,ऑप्टिकल युग्मक
পোহৰৰ ইলেক্ট্ৰনিকছ ডিভাইচ,हलके इलेक्ट्रॉनिक्स उपकरण
অপটিকেল ইলেক্ট্ৰনিক্স,ऑप्टिकल इलेक्ट्रॉनिक्स
বা গেট,किंवा गेट
শ্ৰেণী,वर्ग
ফিল্টাৰ ক্ৰম,फिल्टर क्रम
সমীকৰণৰ ক্ৰম,समीकरणाचा क्रम
সহজ ৰশ্মি,साधे तुळई
অৰ্থনৈতিক,आर्थिक
উলম্ব গতিশীলতা,अनुलंब डायनॅमिक
অৰ্থগনেল ক&#39;ড,ऑर्थोगोनल कोड
লেটেন্সি নীতি,विलंब तत्त्व
দোলনীয় ডাইপোল,दोलन द्विध्रुव
দোলক,ऑसिलेटर
দোলক,ऑसिलेटर
"অচিলোগ্ৰাফ, অচিলোগ্ৰাফ","oscillograph, oscillograph"
অচিলোস্কোপ কেমেৰা,ऑसिलोस्कोप कॅमेरा
অচিলোস্কোপ,ऑसिलोस्कोप
অফ-বেণ্ড সংকেত প্ৰদান,बंद बँड सिग्नल
সমস্যা,समस्या
আউটপুট অনুপ্ৰৱেশ,आउटपुट प्रवेश
আউটপুট বাফাৰ,आउटपुट बफर
আউটপুট বৈশিষ্ট্যসমূহ,आउटपुट वैशिष्ट्ये
আউটপুট পৰিবাহীতা,आउटपुट चालकता
আউটপুট ডিভাইচ,आउटपुट डिव्हाइस
আউটপুট অফছেট ভল্টেজ,आउटपुट ऑफसेट व्होल्टेज
শক্তি উৎপাদন,पॉवर आउटपुट
আউটপুট ৰেজিষ্টেন্স,आउटपुट प्रतिकार
"প্ৰস্থান পৰ্যায়, প্ৰস্থান পৰ্যায়","बाहेर पडण्याचा टप्पा, बाहेर पडण्याचा टप्पा"
আউটপুট প্ৰমপ্ট,आउटपुट प्रॉम्प्ट
আউটপুট ট্ৰেন্সফৰ্মাৰ,आउटपुट ट्रान्सफॉर्मर
মিশ্ৰণ,मिश्रण
অতি সংযুক্ত,अत्यंत जोडलेले
হাইপাৰকাপলিং,हायपरकपलिंग
অতিবিদ্যুৎ প্ৰবাহ ৰিলে,ओव्हरकरंट रिले
অতি-হতাশগ্ৰস্ত,अति नैराश्य
অপাৰেটিং মাল্টিপ্লাইয়াৰ,ऑपरेटिंग गुणक
হাইপাৰষ্টিমুলেচন,अतिउत्तेजना
overflow,ओव्हरफ्लो
ওভাৰলেপ গ্ৰুপ,ओव्हरलॅप गट
অভাৰমডুলেচন,ओव्हरमॉड्युलेशन
শিক্ষণৰ প্ৰৱেশ,शिकण्याचा प्रवेश
নমুনা সংগ্ৰহৰ ওপৰত,प्रती सॅम्पलिंग
অভাৰভোল্টেজ subable,overvoltage subable
অভাৰভোল্টেজ ডিটেক্টৰ,ओव्हरव्होल्टेज डिटेक्टर
প্ৰেৰণা,प्रेरणा
শক্তিশালী এম্প্লিফায়াৰ,समर्थित अॅम्प्लीफायर
"overrunning, অভাৰ অপাৰেটিং","overrunning, overoperating"
অভাৰলোড,ओव्हरलोड
অভাৰলোড সুৰক্ষা,ओव्हरलोड संरक्षण
অভাৰলোড পুনৰুদ্ধাৰৰ সময়,ओव्हरलोड पुनर्प्राप्ती वेळ
বেদখল,अतिक्रमण
অভাৰটোন,ओव्हरटोन
অভেন বতাহ,ओव्हन ब्रीझ
অক্সিডেচন,ऑक्सिडेशन
অক্সাইড ভাঙন,ऑक्साइड फ्रॅक्चर
অক্সাইড বিচ্ছিন্নতা,ऑक्साईड पृथक्करण
পি-চেনেল ভাগ্য,पी-चॅनल प्राक्तन
পেকেজিং,पॅकेजिंग
সংকোচন ঘনত্ব,आकुंचन घनता
পেডাৰ,पॅडर
পেড কেপাচিটৰ,पॅड कॅपेसिटर
পেডেল,पेडल
পেডেল চুইচ,पेडल स्विच
পৃষ্ঠা,पान
নেভিগেচন কি&#39;,नेव्हिगेशन की
প্ৰজন্মৰ চাবি,पिढी की
পৃষ্ঠাকৰণ,पृष्ठांकन
দম্পতি,जोडी
কাগজৰ কেপাচিটৰ,पेपर कॅपेसिटर
পেৰাবলিক প্ৰতিফলক,पॅराबॉलिक परावर्तक
সমান্তৰাল কাউণ্টাৰ,समांतर काउंटर
সমান্তৰাল তথ্য ইনপুট,समांतर डेटा इनपुट
সমান্তৰাল আন্তঃপৃষ্ঠ,समांतर इंटरफेस
সমান্তৰাল এপাৰচাৰ,समांतर छिद्र
সমান্তৰাল সম্পদ,समांतर संसाधन
সমান্তৰাল অনুনাদ,समांतर अनुनाद
সমান্তৰাল বিচ্যুতি,समांतर विस्थापन
সমান্তৰাল টিউন কৰা বৰ্তনী,समांतर ट्यून केलेले सर्किट
"সমান্তৰাল-ইনপুট, সমান্তৰাল-আউটপুট","समांतर-इनपुट, समांतर-आउटपुट"
"সমান্তৰাল-ইনপুট, গ্ৰেড-আউট","समांतर-इनपुट, ग्रेड-आउट"
প্ৰাচল সমতাকাৰী,पॅरामीटर तुल्यकारक
পেৰাবলিক এম্প্লিফায়াৰ,पॅराबॉलिक अॅम्प्लीफायर
পৰজীৱী দিশ,परजीवी दिशा
পৰজীৱী মৌল,परजीवी घटक
পৰজীৱী উদ্দীপক,परजीवी उत्तेजना
অবাঞ্চিত দোলন,अवांछित दोलन
পৰজীৱী প্ৰতিফলক,परजीवी परावर्तक
সমতা,समता
সমতা খেলা,समानता खेळ
সমতা পৰীক্ষক,समता परीक्षक
parity কোডাক,पॅरिटी कोडक
পেৰিটি জেনেৰেটৰ,पॅरिटी जनरेटर
বিভাজন,विभागणी
"পৰক বেণ্ড, পৰক পট্টি","परक बँड, परक बंदी"
নিষ্ক্ৰিয় ৰিন্সিং পেড,अक्रिय rinsing पॅड
নিষ্ক্ৰিয় বৰ্তনী,निष्क्रिय सर्किट
"নিষ্ক্ৰিয় উপাদানসমূহ, নিষ্ক্ৰিয় উপাদানসমূহ","निष्क्रिय घटक, निष्क्रिय घटक"
নিষ্ক্ৰিয় শক্তি নেটৱৰ্ক,निष्क्रिय पॉवर नेटवर्क
নিষ্ক্ৰিয় ফিল্টাৰ,निष्क्रिय फिल्टर
অচল বোজা,निष्क्रिय भार
নিষ্ক্ৰিয় স্খলন,निष्क्रीय स्खलन
"সংযোগকাৰী কৰ্ড, কৰ্ড","कनेक्टर कॉर्ड, कॉर्ड"
জৰাজীৰ্ণ হোৱা,जीर्ण होणे
মডেল জেনেৰেটৰ,मॉडेल जनरेटर
নমুনা,मॉडेल
প্ৰিণ্টেড চাৰ্কিট বৰ্ড (PCB),मुद्रित सर्किट बोर्ड (पीसीबी)
p-চেনেল,p-चॅनेल
শিখৰ ডিটেক্টৰ,पीक डिटेक्टर
শিখৰ-শিখৰ,शिखर
শিখৰ-শিখৰ মাত্ৰা,शिखर-शिखर परिमाण
শিখৰ বগা স্তৰ,शिखर पांढरी पातळी
শিখৰ ডিটেক্টৰ,पीक डिटेक्टर
শিখৰ ট্ৰেইলিং,पीक ट्रेलिंग
শিখৰণ কুণ্ডলী,शिखरन कुंडली
সমনীয়া বাৰ্তা প্ৰেৰণ,पीअर मेसेजिंग
পেডেষ্টেল উচ্চতা,पेडेस्टल उंची
পেন্টিয়াম,पेंटियम
"সমস্তৰ, সমনীয়া","समस्तर, पीर"
শতাংশ নিয়ন্ত্ৰণ,टक्केवारी नियमन
শতাংশ শক্তি,टक्के ऊर्जा
নিকটতম বিন্দু,सर्वात जवळचा बिंदू
টাৰ্ণঅভাৰৰ সময়,उलाढाल वेळ
সময়ে সময়ে জোখ-মাখ কৰা,नियतकालिक मोजमाप
পুনৰাবৃত্তিমূলক তৰংগ ৰূপ,नियतकालिक लहरी स्वरूप
প্ৰান্তীয় টিপছ,किरकोळ टिपा
স্থায়ী চুম্বক,कायम चुंबक
পাৰ্যমান্যতা,पारगम्यता
ডাইলেক্ট্ৰিক পইণ্ট,डायलेक्ट्रिक निर्देशांक
ভেকুৱাম ডাইলেক্ট্ৰিক,व्हॅक्यूम डायलेक्ट्रिक
পেৰাপ্লেক্স গ্লাছ,पॅराप्लेक्स ग्लास
দৃষ্টিশক্তিৰ নিষেধাজ্ঞা,व्हिज्युअल निर्बंध
বেকলাইট পৰ্দা,बॅकलाइट स्क्रीन
পি-গ্লাছ,पी-काच
শিল্প অস্পষ্টতা,कला अपारदर्शकता
শিল্প কোণ,कला कोन
শিল্প পৰিৱৰ্তন ৰেকৰ্ডিং,कला बदल रेकॉर्डिंग
শিল্প তুলনাকাৰী,कला तुलनाकर्ता
শিল্প পৰিৱৰ্তক,कला सुधारक
ফেজ কাৰেণ্ট,फेज वर्तमान
আৰ্ট ডিটেক্টৰ,कला शोधक
ফেজ বিচ্যুতি ধ্ৰুৱক,फेज विचलन स्थिर
শিল্প বৈচিত্ৰ্য পদ্ধতি,कला विविधीकरण पद्धत
শিল্প বিকৃতি,कला विकृती
শিল্প এনকোডিং,कला एन्कोडिंग
শিল্প সমতাকাৰী,कला तुल्यकारक
বিপৰীত বৰ্তনী,व्यस्त सर्किट
শিল্প অতীত,कला भूतकाळ
শিল্পৰ প্ৰান্ত,कला मार्जिन
শিল্পৰ প্ৰান্ত,कला मार्जिन
শিল্প জোখ-মাখ,कला मोजमाप
শিল্প মডুলেচন,कला मॉड्युलेशन
শিল্প প্ৰবন্ধ,कला लेख
পৰ্যায় বিচ্যুতি সহগ,फेज विस्थापन गुणांक
শিল্প বিচ্যুতি দোলক,कला विस्थापन ऑसिलेटर
শিল্প বিভাজনকাৰী,कला स्प्लिटर
শিল্প লেমিনেচন বৰ্তনী,आर्ट लॅमिनेशन सर्किट
মাটি-পৃষ্ঠৰ সংযোজন,ग्राउंड-सर्फेस कपलिंग
আৰ্ট-টু-আৰ্ট কাপলিং,कला-टू-कला जोडणी
শিল্প বেগ,कला वेग
শিল্প সমন্বয়,कला समायोजन
ফেজাৰ,फेसर
ফেজাৰ ডায়েগ্ৰাম,फासर आकृती
ফোন সমন্বয়ক,फोन समन्वयक
ফ&#39;ন&#39;গ্ৰাফ,फोनोग्राफ
ফ&#39;নন,फोनन
ফছফৰ,फॉस्फर
চিন্টিলেচন,सिंटिलेशन
আলোকিত কেথ&#39;ড,प्रकाशित कॅथोड
ফটো ডাইঅ&#39;ড,फोटो डायोड
ফটোডাইঅ&#39;ড ডিটেক্টৰ,फोटोडायोड डिटेक्टर
পোহৰ নিৰ্গত কৰা চেন্সৰ,प्रकाश उत्सर्जक सेन्सर
আলোকীয় উদ্দীপনা,ऑप्टिकल उत्तेजना
পোহৰৰ বাধা,प्रकाश अडथळा
ফটো SCR,फोटो SCR
ফটোভল্টিক প্ৰভাৱ,फोटोव्होल्टेइक प्रभाव
আলোকপৰিবাহী কোষ,फोटोकंडक्टिंग सेल
অপটিকেল ড্ৰাইভাৰ,ऑप्टिकल ड्रायव्हर
লাইট কাপলাৰ,प्रकाश युग्मक
ফটোডাইঅ&#39;ড,फोटोडिओड
ফটোডু ডাইঅ&#39;ড,फोटोड्यू डायोड
