Odiya,Gujarati
ଷ୍ଟ୍ରିଙ୍ଗ୍ ପାଠ୍ୟକ୍ରମ,શબ્દમાળા કોર્સ
ଗଠନ କାରକ |,માળખું પરિબળ
ସଂରଚନା ସୂଚକାଙ୍କ |,સ્ટ્રક્ચર ઇન્ડેક્સ
ଷ୍ଟୁକୋ |,સાગોળ
ଅଧ୍ୟୟନ |,સંવર્ધન
ଷ୍ଟାଇଲୋବେଟ୍ |,સ્ટાયલોબેટ
ଉପ ମାଟି |,સબ માટી
ଉପ ଗଠନ,પેટા માળખું
ସମୀକରଣ ବକ୍ର,સમીકરણ વળાંક
ସୂର୍ଯ୍ୟ ମିକା |,સૂર્ય અભ્રક
ସୁପର ଗଠନ,સુપર સ્ટ્રક્ચર
ସର୍ବେକ୍ଷଣକାରୀ |,સર્વેયર
S- ମୂଲ୍ୟ,એસ-મૂલ્ય
ଚୋରାମାଲ,સ્વેગ
ସ୍ an ାନ୍ ବେକ,હંસની ગરદન
ତମ୍ବୁ,ટેબરનેકલ
ଟେବୁଲ୍ ହ୍ୟାଣ୍ଡ ମୋଲିଡିଂ |,ટેબલ હેન્ડ મોલ્ડિંગ
ଟ୍ୟାଙ୍କିଂ |,ટેન્કીંગ
ଟେମ୍ପିଏଟୋ |,ટેમ્પીએટ્ટો
ତାପମାତ୍ରା,ટેમ્પરિંગ
ଟେମ୍ପଲେଟ୍ |,ઢાંચો
ଟେମ୍ପଲେଟ୍ |,ઢાંચો
ଟେପିଡାରିୟମ୍ |,ટેપિડેરિયમ
ଟେରାକୋଟା |,ટેરાકોટા
ଟେରା ରୋସା |,ટેરા રોઝા
ଟେରାଜଜୋ |,ટેરાઝો
ଟେଟ୍ରା ଶ style ଳୀ,ટેટ્રા શૈલી
ସୀମା ସୀମା ମୂଲ୍ୟ,થ્રેશોલ્ડ મર્યાદા મૂલ્ય
ଗଳା,ગળું
ପଥର ମାଧ୍ୟମରେ |,પથ્થર દ્વારા
ଜୁଆର ବେସିନ |,ભરતી બેસિન
ଟାଇ ବାର୍ |,ટાઈ બાર
ବିମ୍ ବାନ୍ଧ |,ટાઈ બીમ
ବାଡ଼ି ବାନ୍ଧ |,સળિયો બાંધો
ତିରସ୍,તિર્સ
ସହନଶୀଳତା |,સહનશીલતા
ଦାନ୍ତ,ટૂથિંગ
ଉପର ମାଟି କିମ୍ବା ଭୂପୃଷ୍ଠ ମାଟି |,ટોચની માટી અથવા સપાટીની માટી
ସମୁଦାୟ ପୋରୋସିଟି |,કુલ છિદ્રાળુતા
ଟ୍ରେସରୀ,ટ્રેસરી
ଟ୍ରେନ୍ ପ୍ରତିରୋଧ |,ટ્રેન પ્રતિકાર
ଟ୍ରାନ୍ସସେପ୍ଟ,ટ્રાન્સેપ્ટ
ଗତିଶୀଳ ମାଟି |,ટ્રાન્ઝિશનલ માટી
ଟ୍ରାନ୍ସମ୍ |,ટ્રાન્સમ
ପରିବହନ ମାଟି |,પરિવહન માટી
ଉପନଦୀ,ઉપનદી
ଟ୍ରାଇଫୋରିୟମ୍ |,ટ્રાઇફોરિયમ
ଟ୍ରାଇଗ୍ଲିଫ୍ |,ટ્રાઇગ્લિફ
କଟା ମାଟି |,કાપેલી માટી
ଅଶାନ୍ତ ପ୍ରବାହ |,તોફાની પ્રવાહ
ଟୁରେଟ୍ |,સંઘાડો
ଟାଇମ୍ପର୍ ନମ୍,ટાઇમ્પર નંબર
ଅନ୍ତିମ ବହନ କ୍ଷମତା |,અંતિમ બેરિંગ ક્ષમતા
ଅନ୍ତିମ ph,અલ્ટીમેટ પીએચ
ଅଣସଂରକ୍ଷିତ ରାଣ୍ଡମ ପଥର ନିର୍ମାଣ |,અનકોર્સ્ડ રેન્ડમ રોડાં ચણતર
ଅଣସଂରକ୍ଷିତ ସ୍କ୍ୱାର୍ଡ ଅଳିଆ ଆବର୍ଜନା |,અનકોર્સ્ડ ચોરસ રોડાં ચણતર
ଅଣ୍ଡରକ୍ରଫ୍ଟ |,અન્ડરક્રોફ્ટ
ଅସମ୍ପୂର୍ଣ୍ଣ ପୋରୋସିଟି |,અપૂર્ણ છિદ્રાળુતા
ୟୁନିଫର୍ମ ପ୍ରବାହ |,સમાન પ્રવાહ
ୟୁନିଟ୍ ଫ୍ରେମ୍ ପ୍ରକାର ସ୍କାଫୋଲ୍ଡ |,એકમ ફ્રેમ પ્રકાર પાલખ
ଅଣ-ଉତ୍ପାଦନ କାର୍ଯ୍ୟ |,બિનઉત્પાદક કાર્ય
ଅସନ୍ତୁଷ୍ଟ ମାଟି |,અસંતૃપ્ત માટી
ଅସ୍ଥିର ପ୍ରବାହ |,અસ્થિર પ્રવાહ
ଉପର ପ୍ଲାଷ୍ଟିକ୍ ସୀମା |,ઉચ્ચ પ્લાસ્ટિક મર્યાદા
ଉପତ୍ୟକା,ખીણ ગટર
ଭାଲ୍ଟ |,વૉલ્ટ
ଭେଟାରିୟମ୍ |,વેટેરિયમ
ଭେଣ୍ଟିଲେସନ୍ |,વેન્ટિલેશન
ଭେଣ୍ଟିଲେଟର,વેન્ટિલેટર
ଭେରାମଦା,વેરામદાહ
ଭେଷ୍ଟିବୁଲ୍ |,વેસ્ટિબ્યુલ
ଭିଲ୍ଲା,વિલા
