Tamil,Odiya
இன்சுலேட்டர்,ଇନସୁଲେଟର
வியர்வை எதிர்ப்பு,ଆଣ୍ଟିପରସ୍ପିରାଣ୍ଟ |
INT சமிக்ஞை,INT ସଙ୍କେତ
INTA சமிக்ஞை,INTA ସଙ୍କେତ |
INTE சமிக்ஞை,INTE ସଙ୍କେତ |
ஒருங்கிணைந்த சுற்று (IC),ଇଣ୍ଟିଗ୍ରେଟେଡ୍ ସର୍କିଟ୍ (ଆଇସି)
ஒருங்கிணைந்த சுற்று (IC),ଇଣ୍ଟିଗ୍ରେଟେଡ୍ ସର୍କିଟ୍ (ଆଇସି)
ஒருங்கிணைந்த ஊசி தர்க்கம்,ଇଣ୍ଟିଗ୍ରେଟେଡ୍ ଇଞ୍ଜେକ୍ସନ୍ ଲଜିକ୍ |
ஒருங்கிணைப்பாளர்,ଇଣ୍ଟିଗ୍ରେଟର୍
தீவிரப்படுத்தி,ତୀବ୍ରତା
வேறுபட்ட மின்மாற்றி,ଭିନ୍ନକ୍ଷମ ଟ୍ରାନ୍ସଡର
இடை மின்முனை கொள்ளளவு,ଇଣ୍ଟରଲେକ୍ଟ୍ରୋଡ୍ କ୍ୟାପିସିଟାନ୍ସ |
இடைமுகம்,ଇଣ୍ଟରଫେସ୍
இடைமுக கட்டணம்,ଇଣ୍ଟରଫେସ୍ ଚାର୍ଜ |
இடைமுக இணைப்பு,ଇଣ୍ଟରଫେସ୍ କପଲିଂ |
இடைமுக சுற்று,ଇଣ୍ଟରଫେସ୍ ସର୍କିଟ୍ |
குறுக்கீடு குறைதல்,ହସ୍ତକ୍ଷେପ ଆଘାତ
குறுக்கீடு வடிகட்டி,ବାଧା ଫିଲ୍ଟର୍ |
சினாப்ஸ் ஸ்கேனிங்,ସିନେପ୍ସ ସ୍କାନିଂ |
ஒத்திசைவு,ସିନେପ୍ସ୍ |
இன்டர்பந்தன் கை குலுக்கல்,ଇଣ୍ଟରବନ୍ଦନ ହାତ ହଲାଇବା |
இடைநிலை அதிர்வெண் (IF),ମଧ୍ୟବର୍ତ୍ତୀ ଫ୍ରିକ୍ୱେନ୍ସି (IF)
நடு அதிர்வெண்,ମଧ୍ୟମ ଫ୍ରିକ୍ୱେନ୍ସି |
இடைப்பட்ட தோல்வி,ମଧ୍ୟବର୍ତ୍ତୀ ବିଫଳତା |
இடைநிலை,ଇଣ୍ଟରମୋଡ୍ୟୁଲେସନ୍ |
இடைநிலை சிதைவு (IMD),ଇଣ୍ଟରମୋଡ୍ୟୁଲେସନ୍ ବିକୃତି (IMD)
உள் அதிர்வெண் இழப்பீடு,ଆଭ୍ୟନ୍ତରୀଣ ଆବୃତ୍ତି କ୍ଷତିପୂରଣ |
மொழிபெயர்ப்பாளர்,ଅନୁବାଦକ
குறுக்கீடு,ବାଧା
குறுக்கீடு,ବାଧା
தொடர்ச்சியற்ற தொடர் அலை (ICW),ବିଚ୍ଛିନ୍ନ କ୍ରମାଗତ ତରଙ୍ଗ (ICW)
இன்டர் சிம்பல் குறுக்கீடு (ஐஎஸ்ஐ),ଇଣ୍ଟର ସଙ୍କେତ ହସ୍ତକ୍ଷେପ (ISI)
குறுக்கீடு பதிவு,ରେଜିଷ୍ଟର ବାଧା ଦିଅନ୍ତୁ |
குறுக்கீடு சமிக்ஞை,ବାଧା ସଙ୍କେତ
பொருள் பணம்,ବାସ୍ତୁଶାସ୍ତ୍ର
தலைகீழ் ஃபோரியர் மாற்றம் (IFT),ଓଲଟା ଫୋରିଅର୍ ଟ୍ରାନ୍ସଫର୍ମ (IFT)
தலைகீழ் அடுக்கு,ଓଲଟା ସ୍ତର |
தலைகீழ் மின்சாரம்,ଓଲଟା ବିଦ୍ୟୁତ୍ ଯୋଗାଣ |
தலைகீழ்,ଓଲଟା
தலைகீழ்,ଓଲଟା
தலைகீழ் சேர்ப்பான்,ଓଲଟା ଆଡର୍ |
தலைகீழ் பெருக்கி,ଓଲଟା ଏମ୍ପ୍ଲିଫାୟର୍ |
தலைகீழ் பெருக்கி,ଓଲଟା ଏମ୍ପ୍ଲିଫାୟର୍ |
தலைகீழ் முதலீடு,ଓଲଟା ବିନିଯୋଗ |
Io/M சமிக்ஞை,Io / M ସଙ୍କେତ
Io/R சமிக்ஞை,Io / R ସଙ୍କେତ
தண்ணீர் ladsr,water ladsr
அயனி,ଆୟନ
அயன் நடவு,ଆୟନ ରୋପଣ |
அயன் நடவு,ଆୟନ ରୋପଣ |
அயனி அதிர்வு உறிஞ்சுதல்,ଆୟନ ରିଜୋନାନ୍ସ ଅବଶୋଷଣ |
அயனியாக்கம்,ଆୟନାଇଜେସନ୍ |
அயனியாக்கம்,ଆୟନାଇଜେସନ୍ |
அயனியாக்கம் மின்னோட்டம்,ଆୟନାଇଜେସନ୍ କରେଣ୍ଟ୍ |
அயனோஸ்பியர் பரிமாற்றம்,ଆୟନୋସାଇଫର୍ ସଂକ୍ରମଣ
அயனோஸ்பியர் பரிமாற்றம்,ଆୟନୋସାଇଫର୍ ସଂକ୍ରମଣ
இரும்பு கோர்,ଲୁହା କୋର |
இரும்பு வேன் மீட்டர்,ଲୁହା ଭେନ ମିଟର |
ISA பேருந்து,ISA ବସ୍ |
தனிமைப்படுத்தும் பெருக்கி,ଏମ୍ପ୍ଲିଫାୟର୍ ବିଚ୍ଛିନ୍ନ କରିବା |
பிரிப்பான்,ବିଚ୍ଛିନ୍ନକର୍ତ୍ତା |
ஐசோடோபிக் கதிர்வீச்சு,ଆଇସୋଟୋପିକ୍ ବିକିରଣ |
J/S விகிதம்,J / S ଅନୁପାତ |
பலா,ଜ୍ୟାକ୍
பலா பிளக்,ଜ୍ୟାକ୍ ପ୍ଲଗ୍ |
j-டிஸ்ப்ளே,j- ପ୍ରଦର୍ଶନ
ஒப்பந்த விதி,ଚୁକ୍ତି ଭାଗ୍ୟ
நடுக்கம்,ଜିଟର୍ |
ஜேகே ஃபிளிப்-ஃப்ளாப்ஸ்,ଜେ.କେ ଫ୍ଲିପ୍-ଫ୍ଲପ୍ |
ஜான்சன் குறியீடு,ଜୋନ୍ସନ୍ କୋଡ୍ |
ஜான்சன் அடித்தவர்,ଜୋନ୍ସନ୍ ସ୍କୋରର |
ஜான்சன் ரேவ்,ଜୋନ୍ସନ୍ ରେଭ୍ |
மண்டல வெட்டுதல் சுற்று,ଜୋନ୍ କାଟିବା ସର୍କିଟ୍ |
j-ஆபரேட்டர்,j- ଅପରେଟର୍ |
ஜோசப்சன் ஒப்பந்தம்,ଜୋସେଫସନ ଚୁକ୍ତି |
ஜாய்ஸ்டிக்,ଆନନ୍ଦ
கண் சிமிட்டும்,ink ଲକ
ஒப்பந்தம்,ଚୁକ୍ତି
ஒப்பந்தம் வைத்தல்,ଚୁକ୍ତିନାମା
சந்திப்பு டையோடு,ଜଙ୍କସନ୍ ଡାୟୋଡ୍ |
ஒப்பந்தப் பிரிப்பு,ଚୁକ୍ତି ପୃଥକତା |
கூட்டு வெப்பம்,ଗଣ୍ଠି ଉତ୍ତାପ |
சந்திப்பு டிரான்சிஸ்டர்,ଜଙ୍କସନ୍ ଟ୍ରାନଜିଷ୍ଟର |
கார்னோ வரைபடம்,କାର୍ନୋ ମାନଚିତ୍ର
கார்ன்ரோ வரைதல்,କର୍ଣ୍ଣୋ ଚିତ୍ର
கெல் குணகம்,କେଲ୍ କୋଏଫିସିଏଣ୍ଟ୍ |
கெல்வின் இரட்டை பாலம்,କେଲଭିନ ଡବଲ୍ ବ୍ରିଜ୍ |
கெல்வின் வார்ஸ் மின்னழுத்த பிரிப்பான்,କେଲଭିନ ଯୁଦ୍ଧ ଭୋଲଟେଜ୍ ଡିଭାଇଡର୍ |
ker செல்,କର୍ ସେଲ୍
விசைப்பலகை,କି ବୋର୍ଡ |
விசைப்பலகை,କି ବୋର୍ଡ |
முக்கிய சேமிப்பு பதிவு,କି ଷ୍ଟୋରେଜ୍ ରେଜିଷ୍ଟର |
விசைப்பலகை,କୀବୋର୍ଡ୍
விசைப்பலகை,କୀବୋର୍ଡ୍
விசை ஏஜிசி,AGC ଚାବି
எதிர் காயம்,କାଉଣ୍ଟର ଆଘାତ
கிலோ ஹெர்ட்ஸ்,କିଲୋ ହେର୍ଟଜ୍ |
கிர்ச்சோஃப் பிரிவின் சட்டம்,କିର୍ଚଫ୍ ବିଭାଗର ନିୟମ |
kirchhoff மின்னழுத்த சட்டம்,kirchhoff ଭୋଲଟେଜ୍ ନିୟମ |
மின்னழுத்தம் தெரியும்,ଭୋଲଟେଜ୍ ଜାଣ |
கேவிகே ரேட்டர்,KVK Rater
ஆய்வக மின்சாரம்,ଲାବୋରେଟୋରୀ ବିଦ୍ୟୁତ୍ ଯୋଗାଣ |
ஆய்வக தரநிலை,ଲାବୋରେଟୋରୀ ମାନକ |
லாவிரிந்த் செருகல்,ଲାଭିରିଣ୍ଟ୍ ସନ୍ନିବେଶ |
பிரலக்ஷ் செயல்முறை,pralaksh ପ୍ରକ୍ରିୟା |
உயர்த்தப்பட்ட D/A மாற்றி,ଉଚ୍ଚତର D / A କନଭର୍ଟର |
தவம்,ଅନୁତାପ
பின் இழப்பீடு மறுமுதலீட்டு பெருக்கி,ବ୍ୟାକ୍ କ୍ଷତିପୂରଣ ପୁନ in ନିବେଶ ଆମ୍ପ୍ଲିଫାୟର୍ |
லம்பேர்ட்டின் கொசைன் விதி,ଲାମବର୍ଟଙ୍କ କୋସାଇନ୍ ନିୟମ |
விளக்கு ரீசார்ஜ்,ଦୀପ ରିଚାର୍ଜ
உள்ளூர் பிணைய மேலாளர்,ସ୍ଥାନୀୟ ନେଟୱାର୍କ ପରିଚାଳକ |
கவர் பகுதி,କଭର୍ ଏରିଆ |
இயற்கை முறை,ଲ୍ୟାଣ୍ଡସ୍କେପ୍ ମୋଡ୍
இயற்கை மானிட்டர்,ଲ୍ୟାଣ୍ଡସ୍କେପ୍ ମନିଟର |
மொழி கூட்டம்,ଭାଷା ଏକତ୍ର କରିବା |
மொழி செயலி,ଭାଷା ସଞ୍ଚାଳକ
மொழி அதிர்வு நிரலாக்கம்,ଭାଷା ରିଜୋନାନ୍ସ ପ୍ରୋଗ୍ରାମିଂ |
பொதுவான,ସାଧାରଣ
லாப்ளேஸ் சமன்பாடு,ଲାପ୍ଲେସ୍ ସମୀକରଣ |
லாப்லேஸ் உருமாற்றம்,ଲାପ୍ଲେସ୍ ଟ୍ରାନ୍ସଫର୍ମ |
லேப்எம்,LAPM
மடிக்கணினி,ଲାପଟପ୍ କମ୍ପ୍ୟୁଟର
லாரம்,LARAM
பெரிய சட்டகம்,ବଡ଼ ଫ୍ରେମ୍ |
பெரிய ஆரம் லேபிளிங்,ବଡ଼ ବ୍ୟାଡ୍ୟୁସ୍ ଲେବେଲିଂ |
"எல்எஸ்ஐ எல்எஸ்ஐ, பாரிய ஒருங்கிணைப்பு","LSI LSI, ବୃହତ ଏକୀକରଣ |"
வெகுஜன ஒருங்கிணைப்பு (LSI),ମାସ ଏକୀକରଣ (LSI)
நீண்ட சமிக்ஞை பெருக்கி,ଲମ୍ବା ସଙ୍କେତ ଏମ୍ପ୍ଲିଫାୟର୍ |
லார்மோர் சுத்திகரிப்பான்,larmore purifier
லேசர்,ଲେଜର
லேசர் டையோடு,ଲେଜର ଡାୟୋଡ୍ |
லேசர் இயந்திரம்,ଲେଜର ଇଞ୍ଜିନ୍ |
லேசர் அச்சுப்பொறி,ଲେଜର ପ୍ରିଣ୍ଟର୍ |
லேசர் சேமிப்பு,ଲେଜର ସଂରକ୍ଷଣ
லேசர் சன்னல்,ଲେଜର ସିଲ୍ |
கடைசி நுழைவு வெளியேறு,ଶେଷ ପ୍ରବେଶ ପ୍ରସ୍ଥାନ
தாழ்ப்பாளை,ଲ୍ୟାଚ୍
தாழ்ப்பாள்,ଲଚ୍ ଅଫ୍ |
கடைசல் வெட்டுதல்,ଲେଥ୍ କାଟିବା |
செயலற்ற நிலை,ଶୋଇବା
பக்க வெட்டுதல் அமைப்பு,ପାର୍ଶ୍ୱ କାଟିବା ପ୍ରଣାଳୀ |
பக்கவாட்டு பரவல்,ପାର୍ଶ୍ୱ ବିସ୍ତାର |
பக்கவாட்டு PNP டிரான்சிஸ்டர்,ଲାଟେରାଲ୍ PNP | ଟ୍ରାନଜିଷ୍ଟର
பக்க டிரான்சிஸ்டர்,ପାର୍ଶ୍ୱ ଟ୍ରାନଜିଷ୍ଟର |
நான் தணிக்கிறேன்,l attenuating
ஒப்பந்த விதி,ଚୁକ୍ତି ନିୟମ |
அடுக்கு,ସ୍ତର
அடுக்கு இடைமுகம்,ସ୍ତର ଇଣ୍ଟରଫେସ୍
அயனி மண்டல அடுக்கு,ଆୟନୋସ୍ପେରିକ୍ ସ୍ତର |
அடுக்கு,ସ୍ତର
கோடிட்டு,ବାହ୍ୟରେଖା
டெம்ப்ளேட் டெம்ப்ளேட்,ଟେମ୍ପଲେଟ୍ ଟେମ୍ପଲେଟ୍ |
விண்ணப்ப மதிப்பீடு,ପ୍ରୟୋଗ ମୂଲ୍ୟାଙ୍କନ |
LC,LC
LCALL வழிமுறைகள்,LCALL ନିର୍ଦ୍ଦେଶାବଳୀ |
ld,ld
"முன்னணி, முன்னணி","ସୀସା, ସୀସା |"
முன்னுரிமை ஈடுசெய்யப்பட்ட ரீசார்ஜ் பெருக்கி,ପ୍ରାଥମିକତା କ୍ଷତିପୂରଣ ରିଚାର୍ଜ ଆମ୍ପ୍ଲିଫାୟର୍ |
முன் கோர்,ସାମ୍ନା କୋର୍ |
அரிப்பு அனலாக் மாறுதல்,କରୋସନ୍ ଆନାଗଲ୍ ସୁଇଚ୍ |
அரிப்பு ஃப்ளக்ஸ்,କ୍ଷୟ ପ୍ରବାହ |
அரிப்பு முறை,କ୍ଷୟ ମୋଡ୍ |
பேடாக் புல்லாங்குழல் பெருக்கி,ପ୍ୟାଡକ୍ ବଂଶୀ ଏମ୍ପ୍ଲିଫାୟର୍ |
பேடாக் புளுட்டி சோதனை,ପ୍ୟାଡକ୍ ପ୍ଲୁଟି ପରୀକ୍ଷା |
கற்றல் வளைவு,ଶିଖିବା ବକ୍ର
குத்தகைக்கு விடப்பட்ட வரி மோடம்,ଲିଜ୍ ରେଖା ମୋଡେମ୍ |
குத்தகை நேரம்,ଲିଜ୍ ସମୟ
குறைந்த அர்த்தமுள்ள விளையாட்டு,ସର୍ବନିମ୍ନ ଅର୍ଥପୂର୍ଣ୍ଣ ଖେଳ |
லெக்லாஞ்ச் உலர் செல்,ଲେକ୍ଲେଞ୍ଚ ଶୁଖିଲା କୋଷ |
ஒளி உமிழும் டையோடு,ହାଲୁକା ନିର୍ଗତ ଡାୟୋଡ୍ |
LED காட்டி,LED ସୂଚକ |
எதிரெதிர் துருவமுனைப்பு,ଘଣ୍ଟା ବିପରୀତ ପୋଲାରାଇଜେସନ୍ |
இடது நியாயம்,ବାମ ଯଥାର୍ଥତା |
புராண,କିମ୍ବଦନ୍ତୀ
லாங்கின் சட்டம்,lange ର ନିୟମ |
லியோ பிரிண்டர்,ଲିଓ ପ୍ରିଣ୍ଟର୍
கடிதத்தின் தரம்,ଅକ୍ଷର ଗୁଣ
நிலை செயலில் முதலீடு,ସ୍ତରର ସକ୍ରିୟ ବିନିଯୋଗ |
நிலை குறியீட்டு முறை,ସ୍ତରୀୟ କୋଡିଂ
நிலை மாற்றி,ସ୍ତର ସ୍ଥାନାନ୍ତର |
நிலை பரிமாற்றம்,ସ୍ତର ସ୍ଥାନାନ୍ତର
அடுக்குப்படுத்தல்,ସ୍ତରକରଣ
நிலை உணர்திறன் அந்தரயம்,ସ୍ତର ସେନସାରି ଆଣ୍ଟାରାୟମ୍ |
உண்மையில் ஷஹான்,ଆକ୍ଷରିକ ଶାହନ୍ |
அகராதி,ଅଭିଧାନ
லைடன் ஜாடி,ଲେଡେନ ପାତ୍ର |
மொழிபெயர்ப்பாளர் சேகரிப்பு,ଅନୁବାଦକ ସଂଗ୍ରହ
கேரியர் வயது,ବାହକ ବୟସ |
ஒளி,ଆଲୋକ
ஒளி வளைவு,ହାଲୁକା ବକ୍ର
ஒளி உமிழும் டையோடு (LED),ହାଲୁକା ନିର୍ଗତ ଡାୟୋଡ୍ (LED)
ஒளி ஆதாயம்,ହାଲୁକା ଲାଭ
போட்டோமீட்டர்,ଫୋଟୋମିଟର |
ஒளி எழுத்தாணி,ହାଲୁକା ଷ୍ଟାଇଲସ୍ |
ஒளி குழாய்,ହାଲୁକା ଟ୍ୟୁବ୍ |
வரம்பு,ସୀମା
விளிம்பு கதிர்வீச்சு,ମାର୍ଜିନାଲ ବିକିରଣ |
லிண்டெமன் எலக்ட்ரோமீட்டர்,lindemann ଇଲେକ୍ଟ୍ରୋମିଟର |
வரி குறியீடு,ରେଖା କୋଡ୍
வரி கட்டுப்பாடு,ରେଖା ପ୍ରତିବନ୍ଧକ |
வரி இயக்கி,ରେଖା ଡ୍ରାଇଭର |
வரி கையாளுபவர்,ରେଖା ନିୟନ୍ତ୍ରକ |
வரி இடைமுகம்,ରେଖା ଇଣ୍ଟରଫେସ୍ |
வரி வெளியீடு மின்மாற்றி,ରେଖା ଆଉଟପୁଟ୍ ଟ୍ରାନ୍ସଫର୍ମର |
வரி நிறமாலை,ରେଖା ସ୍ପେକ୍ଟ୍ରମ୍ |
வரி ஒத்திசைவு SMPS,ରେଖା ସିଙ୍କ୍ SMPS |
வரி அலை வடிவம்,ରେଖା ତରଙ୍ଗ ଫର୍ମ |
நேரியல் பெருக்கி,ର line ଖ୍ୟ ଏମ୍ପ୍ଲିଫାୟର୍ |
நேரியல் வரிசை,ର line ଖ୍ୟ ଆରେ |
நேரியல் தொடர்பு குணகம்,ର line ଖିକ ସମ୍ପର୍କ କୋଏଫିସିଣ୍ଟେଣ୍ଟ |
நேரியல் சிதைவு,ର line ଖିକ ବିକୃତି |
நேரியல் சரிவு சந்திப்பு,ର line ଖିକ ope ୁଲା ଜଙ୍କସନ |
நேரியல் தலையீடு,ର line ଖ୍ୟ ହସ୍ତକ୍ଷେପ |
நேரியல் மாடுலேஷன் முறை,ରେଖା ମଡ୍ୟୁଲେସନ୍ ପଦ୍ଧତି |
நேரியல் கலை வடிகட்டி,ର line ଖ୍ୟ କଳା ଫିଲ୍ଟର୍ |
நேரியல் துருவமுனைப்பு,ର line ଖ୍ୟ ପୋଲାରାଇଜେସନ୍ |
நேரியல் பகுதி,ରେଖା କ୍ଷେତ୍ର |
நேரியல் கட்டுப்படுத்தி,ର line ଖ୍ୟ ନିୟନ୍ତ୍ରକ |
நேரியல் இயக்கம்,ର line ଖ୍ୟ ଗତି |
நேரியல் மாறுதல்,ର line ଖିକ ସୁଇଚ୍ |
நேரியல் அலைவீச்சு பண்பேற்றப்பட்ட அமைப்பு,ର line ଖ୍ୟ ପ୍ରଶସ୍ତିକରଣ ମଡ୍ୟୁଲେଡ୍ ସିଷ୍ଟମ୍ |
"இணைப்பு அடுக்கு, சங்கிலி அடுக்கு","ଲିଙ୍କ୍ ସ୍ତର, ଶୃଙ୍ଖଳା ସ୍ତର |"
தொடர் நிரல்,କ୍ରମିକ ପ୍ରୋଗ୍ରାମ୍ |
இணைக்கும் வரம்பு,ସଂଯୋଗ ସୀମା
உதடு ஒலிவாங்கி,ଓଠ ମାଇକ୍ରୋଫୋନ୍ |
லிசாஜு உருவம்,ଲିସାଜୁ ଚିତ୍ର
லிசாஜஸ் முறை,ଲିସାଜୋସ୍ ପଦ୍ଧତି |
பார்வையாளர்கள்,ଦର୍ଶକ |
பார்வையாளர்களின் சோர்வு,ଦର୍ଶକଙ୍କ ଥକ୍କା |
ஹெட்ஃபோன் கேட்கிறது,ହେଡଫୋନ୍ ଶୁଣିବା |
லித்தியம் முதன்மை பேட்டரி,ଲିଥିୟମ୍ ପ୍ରାଥମିକ ବ୍ୟାଟେରୀ |
லித்தோகிராபி,ଲିଥୋ ପ୍ରିଣ୍ଟିଙ୍ଗ୍ |
பாறை அச்சிடுதல்,ପଥର ମୁଦ୍ରଣ |
நேரடி இசை,ଲାଇଭ୍ ମ୍ୟୁଜିକ୍ |
லாயிட் ஃபிஷர் காந்த சதுக்கம்,ଓଲିଉଡ ଫିସର ଚୁମ୍ବକୀୟ ସ୍କୋୟାର |
ஏற்றவும்,ଲୋଡ୍ କର |
சுமை காரணி,ଲୋଡ୍ ଫ୍ୟାକ୍ଟର୍ |
சுமை மின்தடை,ଲୋଡ୍ ପ୍ରତିରୋଧ
லிஃப்ட் வரி,ଲିଫ୍ଟ ଲାଇନ
சுமை,ଲୋଡ୍
மடல் வான்வழி,ଲୋବ ଏରିଆଲ୍ |
ஸ்பேஷியல் நெட்வொர்க் (LAN),ସ୍ଥାନିକ ନେଟୱାର୍କ (LAN)
உள்ளூர் பேருந்து,ସ୍ଥାନୀୟ ବସ୍
உள்ளூர் பஸ் வீடியோ அமைப்பு,ସ୍ଥାନୀୟ ବସ୍ ଭିଡିଓ ସିଷ୍ଟମ୍ |
உள்ளூர் பரிமாற்ற பேருந்து,ସ୍ଥାନୀୟ ଟ୍ରାନ୍ସମିସନ୍ ବସ୍ |
உள்ளூர் பேச்சு,ସ୍ଥାନୀୟ କଥାବାର୍ତ୍ତା |
ஒதுக்கீட்டு பெருக்கி,ଆସାଇନମେଣ୍ଟ ଏମ୍ପ୍ଲିଫାୟର୍ |
பாதுகாவலர்,ରକ୍ଷକ
கட்டுப்பாட்டு வளையம்,ସୀମିତ ଲୁପ୍ |
அமர்வு ஆரம்பம்,ଅଧିବେଶନ ଆରମ୍ଭ
மடக்கை அதிர்வெண் ஆண்டெனா,ଲୋଗାରିଥମିକ୍ ଫ୍ରିକ୍ୱେନ୍ସି ଆଣ୍ଟେନା |
விளம்பர எழுத்து,ପ୍ରଚାର ଲେଖା
தர்க்க பகுப்பாய்வி,ତର୍କ ବିଶ୍ଳେଷଣକାରୀ |
தர்க்க செல் வரிசை,ଲଜିକ୍ ସେଲ୍ ଆରେ |
தர்க்க சுற்று,ଲଜିକ୍ ସର୍କିଟ୍ |
வாத நுழைவு,ଆର୍ଗୁମେଣ୍ଟ୍ ଏଣ୍ଟ୍ରି
வாதம் மொத்தம்,ଯୁକ୍ତି ସମୁଦାୟ
தர்க்கக் கணக்கீடு,ତର୍କ ଗଣନା
தர்க்க வாயில்,ତାର୍କିକ ଫାଟକ
தர்க்க பகுப்பாய்வு,ତର୍କ ବିଶ୍ଳେଷଣ |
மக்கள்,ଲୋକମାନେ
மடக்கை பெருக்கி,ଲୋଗାରିଥମିକ୍ ଏମ୍ପ୍ଲିଫାୟର୍ |
மடக்கை பெருக்கி,ଲୋଗାରିଥମିକ୍ ଏମ୍ପ୍ଲିଫାୟର୍ |
மடக்கை வானிலை,ଲୋଗାରିଥମିକ୍ ପାଣିପାଗ |
மடக்கை அளவுகோல்,ଲୋଗାରିଥମିକ୍ ସ୍କେଲ୍ |
நீள்வட்ட ஜோடி,ଏଲିପସଏଡାଲ୍ ଯୋଡି |
பெரிய வார்த்தை,ବଡ ଶବ୍ଦ |
"ஒலிபெருக்கி, பெருக்கி சாதனம்","ଲାଉଡ ସ୍ପିକର, ବର୍ଦ୍ଧିତ ଉପକରଣ |"
குறைந்த அதிர்வெண் இழப்பீடு,କମ୍ ଫ୍ରିକ୍ୱେନ୍ସି କ୍ଷତିପୂରଣ |
குறைந்த அதிர்வெண் சத்தம்,କମ୍ ଫ୍ରିକ୍ୱେନ୍ସି ଶବ୍ଦ |
குறைந்த அதிர்வெண் பள்ளம் வடிகட்டி,କମ୍ ଫ୍ରିକ୍ୱେନ୍ସି ଗ୍ରୀଭ୍ ଫିଲ୍ଟର୍ |
குறைந்த அதிர்வெண் பரிமாற்றம்,କମ୍ ଫ୍ରିକ୍ୱେନ୍ସି ଟ୍ରାନ୍ସମିସନ୍ |
குறைந்த அதிர்வெண் மின்மாற்றி,କମ୍ ଫ୍ରିକ୍ୱେନ୍ସି ଟ୍ରାନ୍ସଫର୍ମର |
"குறைந்த நிலை, அனலாக் சிக்னல்",ନିମ୍ନ ସ୍ତରର ଆନାଗଲ୍ ସଙ୍କେତ |
குறைந்த இரைச்சல்,କମ୍ ଶବ୍ଦ
குறைந்த இரைச்சல் கேபிள்,କମ୍ ଶବ୍ଦ କେବୁଲ୍ |
குறைந்த பாஸ் வடிகட்டி,ନିମ୍ନ ପାସ୍ ଫିଲ୍ଟର୍ |
குறைந்த பாஸ் வடிகட்டி,ନିମ୍ନ ପାସ୍ ଫିଲ୍ଟର୍ |
குறைந்த சக்தி RC சுற்று,ନିମ୍ନ ଶକ୍ତି RC ସର୍କିଟ |
குறைந்த வரம்பு தர்க்கம்,ନିମ୍ନ ଥ୍ରେସହୋଲ୍ଡ ତର୍କ |
குறைந்த மின்னழுத்த சக்தி ஆதாரம்,ଲୋ ଭୋଲଟେଜ୍ ଶକ୍ତି ଉତ୍ସ |
குறைந்த பின்னணி அதிர்வெண்,କମ୍ ପ୍ଲେକ୍ ଫ୍ରିକ୍ୱେନ୍ସି |
குறைந்த பின்னணி அதிர்வெண்,କମ୍ ପ୍ଲେକ୍ ଫ୍ରିକ୍ୱେନ୍ସି |
எல்பி ஸ்லாட்,LP ସ୍ଲଟ୍ |
எல்பி பதிவு,LP ରେକର୍ଡ |
எல்எஸ் மின்னழுத்த ஆஃப்செட் பாதுகாப்பு,LS ଭୋଲଟେଜ୍ ଅଫସେଟ୍ ସୁରକ୍ଷା |
குறைந்த அர்த்தமுள்ள விளையாட்டு,ସର୍ବନିମ୍ନ ଅର୍ଥପୂର୍ଣ୍ଣ ଖେଳ |
குறைந்த குறிப்பிடத்தக்க மதிப்பெண்,ସର୍ବନିମ୍ନ ଗୁରୁତ୍ୱପୂର୍ଣ୍ଣ ସ୍କୋର |
பாரிய ஒருங்கிணைப்பு,ବୃହତ ଏକୀକରଣ
குறைந்த திறன்,କମ୍ ସମ୍ଭାବନା |
பார்,ଦେଖ |
லுமன்,ଲୁମେନ |
lumen மணி நேரம்,lumen ଘଣ୍ଟା |
ஒளிர்வு,ଉଜ୍ଜ୍ୱଳତା
வெளிச்சம் அடையாளம்,ଆଲୋକୀକରଣ ଚିହ୍ନ
சுடர் ஓட்டம்,ଅଗ୍ନି ପ୍ରବାହ
லுமர்-பிரோதன் போட்டோமீட்டர்,ଲୁମାର-ବ୍ରୋଡାନ୍ ଫୋଟୋମିଟର |
உள்ளூர்மயமாக்கப்பட்ட கூறு மாதிரி,ସ୍ଥାନୀୟ ଉପାଦାନ ମଡେଲ୍ |
லீனியர் வோல்டேஜ் டிஃபெரன்ஷியல் டிரான்ஸ்ஃபார்மர்,ର Line ଖ୍ୟ ଭୋଲଟେଜ୍ ଭିନ୍ନକ୍ଷମ ଟ୍ରାନ୍ସଫର୍ମର |
இயந்திர சுழற்சி,ମେସିନ୍ ଚକ୍ର |
இயந்திர மொழி,ମେସିନ୍ ଭାଷା
macitosh கணினி,ମାକିଟୋସ୍ କମ୍ପ୍ୟୁଟର |
மந்திர தேநீர்,ମ୍ୟାଜିକ୍ ଚା
காந்தம்,ଚୁମ୍ବକ
காந்த பெருக்கி,ଚୁମ୍ବକୀୟ ଏମ୍ପ୍ଲିଫାୟର୍ |
காந்த குமிழி நினைவகம்,ଚୁମ୍ବକୀୟ ବବୁଲ୍ ସ୍ମୃତି
காந்த கோர்,ଚୁମ୍ବକୀୟ କୋର |
காந்த இணைப்பு,ଚୁମ୍ବକୀୟ ଯୋଡି |
காந்த தரவு சேமிப்பு,ଚୁମ୍ବକୀୟ ତଥ୍ୟ ସଂରକ୍ଷଣ
காந்த விலகல்,ଚୁମ୍ବକୀୟ ବିଘ୍ନ
காந்த வட்டு,ଚୁମ୍ବକୀୟ ଡିସ୍କ |
