Hindi,Tamil
अपूर्ण गामा-फलन,முழுமையற்ற காமா செயல்பாடு
असंगतता,முரண்பாடு
"असंगत, विरोधी",சீரற்ற
असंगत प्रतिदर्शज,சீரற்ற புள்ளிவிவரம்
असंगत निकाय ,சீரற்ற அமைப்பு
"अशुद्‌ध, गलत ",தவறான
गलत निर्ण य,தவறான முடிவு
वृद्‌धि,அதிகரி
वर्धमान फलन,செயல்பாடு அதிகரிக்கும்
वृद्‌धि,அதிகரிப்பு
अनिश्चित,காலவரையற்ற
अनिश्चित रूप,காலவரையற்ற வடிவம்
अनिश्चित समाकल,காலவரையற்ற ஒருங்கிணைப்பு
अनिश्चित आव्यूह,காலவரையற்ற அணி
अनिश्चित द्विधाती समघात,காலவரையற்ற இருபடி வடிவம்
स्वातंत्र्य,சுதந்திரம்
स्वतंत्र घटना,சுயாதீன நிகழ்வு
स्वतंत्र फलन,சுயாதீன செயல்பாடு
स्वतंत्र यादृच्छिक चर,சுயாதீன சீரற்ற மாறி
स्वतंत्र चर,சார்பற்ற மாறி
स्वतंत्र विचर,சுயாதீன மாறுபாடு
अनिर्धार्यता,உறுதியின்மை
" अनिर्धारित, अनिर्धार्य , अनिश्चित , अपरिमि त",உறுதியற்ற
अनिर्धार्य समीकरण,உறுதியற்ற சமன்பாடு
"अनिर्धारित रूप, अनिर्धार्य रूप",உறுதியற்ற வடிவம்
" घातांक , सूचक , सूचकांक , निर्देशक, सूचक (वि.)",குறியீட்டு
समुच्चय से सूचित,ஒரு தொகுப்பால் குறியிடப்பட்டது
सूचित परिवार,குறியிடப்பட்ட குடும்பம்
सूचकांक,குறியீட்டு எண்
उपसमूह का सूचकांक,துணைக்குழுவின் குறியீடு
सूचक समुच्चय,குறியீட்டு தொகுப்பு
द्‌योतिका,குறிகாட்டி
घातांकी समीकरण,குறியீட்டு சமன்பாடு
उदासीनता वक्र,அலட்சியம் வளைவு
परोक्ष अवकलन,மறைமுக வேறுபாடு
परोक्ष प्रमाण,மறைமுக ஆதாரம்
अभाज्य,பிரிக்க முடியாதது
"आगमन, प्रेरण, विप्रेरण",தூண்டல்
आगमनिक,தூண்டல்
आगमनिक कल्पना,தூண்டல் அனுமானம்
आगमनिक परिभाषा,தூண்டல் வரையறை
आगमनिक अनुमान,தூண்டல் அனுமானம்
"असमता, असमिका",சமத்துவமின்மை
असमता प्रतिबंध,சமத்துவமின்மை கட்டுப்பாடு
असमिका,சமன்பாடு
जड़त्व,செயலற்ற தன்மை
जड़त्व बल,inrtia சக்தி
जड़त्वीय,செயலற்ற
अयथार्थ अवकल,துல்லியமற்ற வேறுபாடு
नतिपरिवर्तन बिंदु,வளைவு புள்ளிகள்
"निम्नक, महत्तम निम्न परिबंध",திறமையற்ற
"अनंत, अपरिमित",எல்லையற்ற
अनंतविम,எல்லையற்ற பரிமாணம்
अनंतविम सदिश समष्टि,எல்லையற்ற பரிமாண திசையன் வெளி
अपरिमित खेल,எல்லையற்ற விளையாட்டு
अनंत समूह,எல்லையற்ற குழு
अनंत समाकल,எல்லையற்ற ஒருங்கிணைந்த
अपरिमित समष्टि,எல்லையற்ற மக்கள் தொகை
अनंत श्रेणी,எல்லையற்ற தொடர்
अनंत समुच्चय,எல்லையற்ற தொகுப்பு
"अनंत सूक्ष्म, अत्यणु",எல்லையற்ற
अत्यणु अवयव,எல்லையற்ற உறுப்பு
अनंत समष्टि,எல்லையற்ற இடம்
"अनंत, अनंतियाँ",முடிவிலி
"अनंत, अनंती",முடிவிலி
स्फीति गुणक,பணவீக்க காரணி
नतिपरिवर्ती स्पर्शरेखा,ஊடுருவல் தொடுகோடு
नतिपरिवर्ती फोकसन,ஊடுருவல் கவனம்
नति परिवर्तन,வளைவு
फलन का निम्नक,ஒரு செயல்பாட்டின் inf
अवगम आव्यूह,தகவல் அணி
सूचना संसाधन,தகவல் செயலாக்கம்
सूचना विज्ञान,தகவல் அறிவியல்
" असमांगी , असमघाती",ஒத்திசைவற்ற
असमघाती समीकरण,ஒத்திசைவற்ற சமன்பாடு
असमघात निकाय,சீரற்ற அமைப்பு
"आदि, आरंभिक, प्रारंभिक",ஆரம்ப
"प्रारंभिक स्थिति, प्रारंभिक प्रतिबंध",ஆரம்ப நிலை
प्रारंभिक रेखा,ஆரம்ப வரி
प्रारंभिक बिंदु,ஆரம்ப புள்ளி
प्रारंभिक हल,ஆரம்ப தீர்வு
प्रारंभिक वेग,ஆரம்ப வேகம்
एकैकी प्रतिचित्र,ஊசி வரைபடம்
एकैकी प्रतिचित्रण,ஊசி மேப்பிங்
आंतर गुणन,உள் பெருக்கம்
आंतरिक बिंदु,உள் புள்ளி
आंतर गुणनफल्,உள் தயாரிப்பு
"निवेश (सं.), निविष्ट (वि.)",உள்ளீடு
निविष्ट आंकड़े,உள்ளீடு தரவு
निवेश द्वार,உள்ளீட்டு வாயில்
निवेश निर्गत विश्लेषण,உள்ளீடு வெளியீடு பகுப்பாய்வு
निवेश निर्गत नियंत्रण पद्धति,உள்ளீடு வெளியீடு கட்டுப்பாட்டு அமைப்பு
निवेश निर्गत प्रणाली,உள்ளீடு வெளியீடு அமைப்பு
निवेश मात्रा,உள்ளீடு அளவு
"निवेश रजिस्टर, निवेश पंजिका",உள்ளீடு பதிவு
निवेशी टर्मिनल,உள்ளீடு முனையம்
"अंतर्दृत, अंतर्गतवृत",பொறிக்கப்பட்ட வட்டம்
क्षण,உடனடி
"तात्क्षणिक, तात्कालिक",உடனடி
तात्क्षणिक त्वरण,உடனடி முடுக்கம்
तात्क्षणिक घुर्णनाक्ष,சுழற்சியின் உடனடி அச்சு
तात्क्षणिक केंद्र,உடனடி மையம்
तात्क्षणिक वेग,உடனடி வேகம்
तात्क्षणिक आयतन,உடனடி தொகுதி
"पूर्ण संख्या, पूर्णांक",முழு
पूर्णांक रैखिक प्रोग्रामन,முழு எண் நேரியல் நிரலாக்கம்
समाकलनीयता,ஒருங்கிணைப்பு
समाकलनीय,ஒருங்கிணைந்த
समाकलनीय अवकल समीकरण,ஒருங்கிணைந்த வேறுபாடு சமன்பாடு
समाकलनीय समीकरण,ஒருங்கிணைந்த சமன்பாடு
समाकलनीय फलन,ஒருங்கிணைந்த செயல்பாடு
" समाकल , पूर्णांकीय",ஒருங்கிணைந்த
"समाकलन-गणित, इंटीग्रल कैलकुलस",ஒருங்கிணைந்த கால்குலஸ்
समाकल वक्र,ஒருங்கிணைந்த வளைவு
पूर्णींकीय प्रांत,ஒருங்கிணைந்த களம்
समाकल समीकरण,ஒருங்கிணைந்த சமன்பாடு
"पूर्ण संख्या, पूर्णांक",ஒருங்கிணைந்த எண்
प्रथम प्रकार का समाकल,முதல் வகையான ஒருங்கிணைந்த
समाकल निरूपण,ஒருங்கிணைந்த பிரதிநிதித்துவம்
समाकल चिह्न,ஒருங்கிணைந்த அடையாளம்
समाकलन करना,ஒருங்கிணைக்க
समाकलित अवशोषण गुणांक,ஒருங்கிணைந்த உறிஞ்சுதல் குணகம்
समाकलन गुणक,ஒருங்கிணைக்கும் காரணி
समाकलन,ஒருங்கிணைப்பு
अवकलन दूवारा समाकलन,வேறுபாடு மூலம் ஒருங்கிணைப்பு
खंडशः समाकलन,பாகங்கள் மூலம் ஒருங்கிணைப்பு
परिमेयकरण दूवारा समाकलन,பகுத்தறிவு மூலம் ஒருங்கிணைப்பு
प्रतिस्थापन दूवारा समाकलन,மாற்று மூலம் ஒருங்கிணைப்பு
उत्तरोत्तर समानयन दूवारा समाकलन,தொடர்ச்சியான குறைப்பு மூலம் ஒருங்கிணைப்பு
श्रेणीबद्ध समाकलन,தொடர் மூலம் ஒருங்கிணைப்பு
सदिश का समाकलन,திசையன் ஒருங்கிணைப்பு
संवृत पृष्ठ पर समाकलन,ஒரு மூடிய மேற்பரப்பில் ஒருங்கிணைப்பு
समाकलक,ஒருங்கிணைப்பாளர்
समाकलक घटक,ஒருங்கிணைப்பு கூறு
समाकल-अवकल समीकरण,ஒருங்கிணைந்த - வேறுபட்ட சமன்பாடு
" अंतः खंड , अपरोधन",இடைமறிக்க
विनिमेय संक्रिया,பரிமாற்றக்கூடிய செயல்பாடு
"विनिमेय, व्यतिहार",பரிமாற்றம்
अंतर्वर्ग सहसंबंध,வகுப்புகளுக்கு இடையேயான தொடர்பு
परस्पर सहसंबंध,இடை தொடர்பு
परस्पर सहसंबंध गुणांक,தொடர்பு குணகம்
"परस्पर निर्भरता, अन्योन्याश्रय",ஒன்றுக்கொன்று சார்ந்திருத்தல்
अन्योन्याश्रित,ஒன்றையொன்று சார்ந்தது
ब्याज,ஆர்வம்
"अंतरपृष्ठ, पार्थक्य पृष्ठ",இடைமுகம்
अंतरफलक कोण,இடைமுக கோணம்
समाकल्य,ஒருங்கிணைந்த
समाकलित,ஒருங்கிணைக்கப்பட்டது
"अभ्यंतर, अंतरंग, अंतः (सं.), अंतर्गूढ़, आंतरिक,अंतःस्थ (वि.)",உட்புறம்
अंतः कोण,உள்துறை கோணம்
अंतः क्षेत्र,உள்துறை பகுதி
अंतः प्रांत,உள்துறை களம்
आंतरिक अवयव,உள்துறை உறுப்பு
समुच्चय का अभ्यंतर,ஒரு தொகுப்பின் உட்புறம்
अभिमुख अंतः कोण,உட்புறம் எதிர் கோணம்
अंतर्गह,உட்புற கிரகம்
आंतरिक बिंदु,உள்துறை புள்ளி
"मध्यवर्ती, माध्यमिक, मध्य, मध्यक",இடைநிலை
मध्यवर्ती बिंदु,இடைநிலை புள்ளி
मध्यवर्ती मान प्रमेय,இடைநிலை மதிப்பு தேற்றம்
आंतरिक द्‌विभाजक,உள் இருவகை
अंतर्वेशन,இடைச்செருகல்
अंतर्वेशन-सूत्र,இடைக்கணிப்பு சூத்திரம்
प्रतिच्छेदी,வெட்டும்
प्रतिच्छेदी वक्र,வெட்டும் வளைவுகள்
प्रतिच्छेदी रेखाएँ,வெட்டும் கோடுகள்
" प्रतिच्छेदन, प्रतिच्छेद , सर्वनिष्ठ",குறுக்குவெட்டு
प्रतिच्छेद वक्र,வெட்டும் வளைவு
वक्रों का प्रतिच्छेद,வளைவுகளின் குறுக்குவெட்டு
समुच्चयों का सर्वनिष्ठ,தொகுப்புகளின் குறுக்குவெட்டு
"अंतराल, अंतर",இடைவெளி
अंतराल आकल,இடைவெளி மதிப்பீடு
अंतराल आकलन,இடைவெளி மதிப்பீடு
अंतराल मध्य बिंदु,இடைவெளி நடுப்புள்ளி
"खंडांतर्गत प्रभाव, अंतः खंड प्रभाव",உள்-தடுப்பு விளைவு
अंतरावर्ग सहसंबंध,உள்வகுப்பு தொடர்பு
निश्चरता,மாறாத தன்மை
निश्चर,மாறாத
निश्चर तंत्र,மாறாத அமைப்பு
तालिका,சரக்கு
तालिका नियतन,சரக்கு ஒதுக்கீடு
तालिका नियंत्रण,சரக்கு கட்டுப்பாடு
तालिका नियंत्रण निदर्श,சரக்கு கட்டுப்பாட்டு மாதிரி
तालिका नियंत्रण प्रणाली,சரக்கு கட்டுப்பாட்டு அமைப்பு
तालिका चक्र,சரக்கு சுழற்சி
तालिका धारण लागत,சரக்கு வைத்திருக்கும் செலவு
तालिका बिंदु,சரக்கு புள்ளி
तालिका नीति,சரக்கு கொள்கை
तालिका  स्थिति,சரக்கு நிலைமை
"प्रतित्रोम, व्युत्क्रम, विपरीत",தலைகீழ்
प्रतिलोम सहसंबंध,தலைகீழ் தொடர்பு
प्रतिलोम फलन,தலைகீழ் செயல்பாடு
प्रति लोम अतिपरवलयिक फलन,தலைகீழ் ஹைபர்போலிக் செயல்பாடு
व्युत्क्रमानुपाती,நேர்மாறான விகிதாசார
व्युत्क्रम प्रतिचित्र ण,தலைகீழ் மேப்பிங்
व्युत्क्रम संख्या,தலைகீழ் எண்
व्युत्क्रम आव्यूह,மேட்ரிக்ஸின் தலைகீழ்
प्रतिलोम क्रमचय,தலைகீழ் வரிசைமாற்றம்
व्युत्क्रमानुपात,தலைகீழ் விகிதம்
प्रतिलोम त्रिकोणमितीय फलन,தலைகீழ் முக்கோணவியல் செயல்பாடு
प्रतिलोमन-सूत्र,தலைகீழ் சூத்திரம்
क्रम का प्रति लोमन,ஒழுங்கின் தலைகீழ்
व्युत्क्रमणीय आव्यूह,தலைகீழான அணி
व्युत्क्रमणीय रूपांतरण,தலைகீழான மாற்றம்
अपरिमेय,பகுத்தறிவற்ற
अपरिमेय समीकरण,பகுத்தறிவற்ற சமன்பாடு
अपरिमेय व्यंजक,பகுத்தறிவற்ற வெளிப்பாடு
अपरिमेय संख्या,பகுத்தறிவற்ற எண்
अपरिमेय मूल,பகுத்தறிவற்ற வேர்
" अखंडनीय , अलघुकरणीय , असमानेय",குறைக்க முடியாதது
अघूर्णी सदिश,எரிச்சலூட்டும் திசையன்
अघूर्णी सदिश फलन,எரிச்சலூட்டும் திசையன் செயல்பாடு
अघूर्णी वेग,எரிச்சலூட்டும் வேகம்
तुल्यकोणी (वि.) समदिक्पा ती रेखा (सं),சமகோணமானது
समककुदता,ஐசோகுர்டோசிஸ்
वियुक्त अनिवार्य विचित्रता,தனிமைப்படுத்தப்பட்ட அத்தியாவசிய ஒருமைப்பாடு
वियुक्त बिंदु,தனிமைப்படுத்தப்பட்ட புள்ளி
"समदूरीक, त्रिसमलंबाक्ष, घनीय, आइसोमेट्रिक",ஐசோமெட்ரிக்
समद्विबाहु विन्यास,ஐசோசெல்ஸ் கட்டமைப்பு
पुनरावृत्त समाकल,மீண்டும் மீண்டும் ஒருங்கிணைந்த
पुनरावृत्त अंतर्वेशन,மீண்டும் மீண்டும் இடைச்செருகல்
पुनरावृत्ति,மறு செய்கை
पुनरावृत्ति सूत्र,மறு செய்கை சூத்திரம்
पुनरावर्ती समाकलन सूत्र,மறுமுறை ஒருங்கிணைப்பு சூத்திரம்
पुनरावर्ती क्रि याविधि,மீண்டும் செயல்முறை
पुनरावर्ती विधि,மீண்டும் செய்யும் நுட்பம்
जैकोबियन,ஜேக்கபியன்
जैकोबी सारणिक,ஜேக்கபியன் தீர்மானிப்பான்
जैकोबी आव्यूह,ஜேக்கபியன் அணி
समुच्चयों का सम्मिलन,தொகுப்புகளின் இணைப்பு
"जोड़, संधि (सं.) संयुक्त(वि.)",கூட்டு
संयुक्त घनत्व फलन,கூட்டு அடர்த்தி செயல்பாடு
संयुक्त बारंबारता फलन,கூட்டு அதிர்வெண் செயல்பாடு
संयुक्ततः आश्रित चर,கூட்டு சார்ந்து மாறி
संयुक्त प्रायिकता,கூட்டு நிகழ்தகவு
सम्मिलन,சேரவும் (=தொழிற்சங்கம்)
"कुदान, जंप, प्लुति",குதிக்க
प्लुति असांतत्य,ஜம்ப் இடைநிறுத்தம்
"न्यायसंगति, औचित्य",நியாயப்படுத்துதல்
औचित्य बताना,நியாயப்படுத்த
कारनाफ मानचित्र,கர்னாக் வரைபடம்
"गुठली, अष्टि",கர்னல்
प्रतिचित्रण की अष्टि,மேப்பிங்கின் கர்னல்
"शुदूधगति विज्ञान, शुदूध गतिकी",இயக்கவியல்
गतिज ऊर्जा,இயக்க ஆற்றல்
"बलगति विज्ञान, बलगतिकी",இயக்கவியல்
कोल्मोगोरोफ-स्मिरनोव परीक्षण,கோல்மோகோரோஃப் ஸ்மிர்னோவ் சோதனை
क्रोनेकर डेल्टा,குரோனெக்கர் டெல்டா
ककुदता,குர்டோசிஸ்
लग्रांज फलन,Lagrange இன் செயல்பாடு
लग्रांज गुणक,Lagrange இன் பெருக்கிகள்
"स्तरिका, पटल",லேமினா
लाप्लास रूपांतर,லாப்லேஸ் உருமாற்றம்
बृहत संख्या,பெரிய எண்ணிக்கை
अभिलक्षणिक मूल,மறைந்த வேர் (=பண்பு வேர்)
पार्श्व पृष्ठ,பக்கவாட்டு மேற்பரப்பு
लैटिन वर्ग,லத்தீன் சதுரம்
"नाभिलंब, लैटस रैक्टम",லேடஸ் மலக்குடல்
"नियम, सिद्धांत",சட்டம்
वेग संयोजन नियम,வேகங்களைச் சேர்க்கும் சட்டம்
संकलनीयता नियम,சேர்க்கை சட்டம்
ह्नासमान प्रतिफल नियम,குறைந்த வருவாய் சட்டம்
गुरुत्वाकर्षण नियम,ஈர்ப்பு விதி
समूह के लिए समाकारिता नियम,குழுக்களுக்கான ஹோமோமார்பிஸத்தின் சட்டம்
वलयों के लिए समाकारिता नियम,மோதிரங்களுக்கான ஹோமோமார்பிஸத்தின் சட்டம்
बढ़ती लागत का नियम,செலவுகளை அதிகரிக்கும் சட்டம்
घातांक नियम,குறியீடுகளின் சட்டம்
जड़त्व नियम,செயலற்ற சட்டம்
बृहत्‌ संख्याओं का नियम,பெரிய எண்களின் சட்டம்
प्रायिकता-नियम,நிகழ்தகவு சட்டம்
"ज्या नियम, साइन नियम",சைன்களின் சட்டம்
घातांको के नियम,அடுக்குகளின் சட்டங்கள்
गति नियम,இயக்க விதிகள்
"परत, स्तर",அடுக்கு
अग्रग गुणांक,முன்னணி குணகம்
अग्रग विकर्ण,முன்னணி மூலைவிட்டம்
अग्रग उप-आव्यूह,முன்னணி துணை அணி
अग्रग पद,முன்னணி கால
"न्यूनतम, अल्पतम, लघुतम",குறைந்தது
लघुतम समापवर्त्य (LCM),குறைந்த பொதுவான பல (LCM)
न्यूनतम अवयव,குறைந்தபட்ச உறுப்பு
न्यूनतम वर्ग,குறைந்தபட்ச சதுரம்
न्यूनतम उपरि परिबंध,குறைந்தபட்ச மேல் எல்லை
वाम सहसमुच्चय,இடது கோசெட்
वामावर्त,இடது கை
वामावर्ती पेच,இடது கை திருகு
वाम प्रतिलोम,இடது தலைகீழ்
वाम गुणन,இடது பெருக்கல்
लाइबनिटस सूत्र,லீப்னிட்ஸ் சூத்திரம்
लंबाई,நீளம்
तुंगककुदी,லெப்டோகுர்டிக்
तुंगककुदी वक्र,லெப்டோகுர்டிக் வளைவு
तुंगककुदता,லெப்டோகுர்டோசிஸ்
स्तर वक्र,நிலை வளைவு
विश्वास्यता स्तर,நம்பிக்கை நிலை
सार्थकता का स्तर,முக்கியத்துவம் நிலை
कोशक्रमानुसार,அகராதி ரீதியாக
कोश क्रम,அகராதி ஒழுங்கு
संभाविता फलन,வாய்ப்பு செயல்பாடு
संभाविता अनुपात परिक्षण,நிகழ்தகவு விகித சோதனை
" सीमा , सीमांत",அளவு
"सीमांत, चरम",மட்டுப்படுத்துதல்
सीमांत मान,வரம்புக்குட்பட்ட மதிப்பு
सीमांत वेग,கட்டுப்படுத்தும் வேகம்
माध्य में सीमा,சராசரி வரம்பு
समाकलन की सीमा,ஒருங்கிணைப்பின் வரம்பு
अनुक्रम सीमा,வரிசையின் வரம்பு
"गुच्छ बिंदु, सीमा बिंदु",வரம்பு புள்ளி (=கிளஸ்டர் புள்ளி)
सीमांत वेग,வரம்பு வேகம்
" रेखा , लाइन , दीर्घतंतु",வரி
"रेखीय, रैखिक, रेखाकार",நேரியல்
रैखिक बीजावल्ली,நேரியல் இயற்கணிதம்
रैखिक बीजीय समीकरण,நேரியல் இயற்கணித சமன்பாடு
रैखिक सन्निकटन,நேரியல் தோராயம்
रैखिक अनंतस्पर्शी,நேரியல் அறிகுறி
रैखिक गुणांक,நேரியல் குணகம்
एकघात संचय,நேரியல் கலவை
एकघात प्रतिबंध,நேரியல் கட்டுப்பாடுகள்
रैखिक आश्रितता,நேரியல் சார்பு
रैखिक अवकलन समीकरण,நேரியல் வேறுபாடு சமன்பாடு
" रैखिक विमा , रैखिक माप , रैखिक लंबाई-चौड़ाई",நேரியல் பரிமாணம்
"रैखिक समीकरण, एकघात समीकरण",நேரியல் சமன்பாடு
रैखिक समघात,நேரியல் வடிவம்
रैखिक भिन्नात्मक रूपांतरण,நேரியல் பகுதி மாற்றம்
रैखिक फलन,நேரியல் செயல்பாடு
रैखिक फलनक,நேரியல் செயல்பாட்டு
रैखिक समूह,நேரியல் குழு
रैखिक स्वतंत्रता,நேரியல் சுதந்திரம்
रैखिक स्वतंत्र संबंध,நேரியல் சுயாதீன உறவு
रैखिक असमिका,நேரியல் சமத்துவமின்மை
रैखिक असमघाती अवकल समीकरण,நேரியல் சீரற்ற வேறுபாடு சமன்பாடு
रैखिक समाकल समीकरण,நேரியல் ஒருங்கிணைந்த சமன்பாடு
रैखिक अंतर्वेशन,நேரியல் இடைச்செருகல்
रैखिक न्यूनतम वर्ग समाश्रयण विश्लेषण,நேரியல் குறைந்தபட்ச சதுர பின்னடைவு பகுப்பாய்வு
" एकघाततः , रैखिकतः",நேர்கோட்டுத்தன்மை
रैखिकतः परतंत्र,நேரியல் சார்ந்தது
रैखिकतः स्वतंत्र,நேரியல் சார்பற்றது
रैखिक प्रतिचित्रण,நேரியல் மேப்பிங்
रैखिक क्रम,நேரியல் வரிசை
रैखिक क्रमीकरण,நேரியல் வரிசைப்படுத்துதல்
रैखिक प्रोग्रामन,நேரியல் நிரலாக்க
रैखिक प्रोग्रामन कलन-विधि,நேரியல் நிரலாக்க அல்காரிதம்
रैखिक प्रोग्रामन समस्या,நேரியல் நிரலாக்க சிக்கல்
रैखिक समाश्रयण,நேரியல் பின்னடைவு
रैखिक समाश्रयण गुणांक,நேரியல் பின்னடைவு குணகம்
"रैखिक संबंध, एकघाती संबंध",நேரியல் உறவு
रैखिक समष्टि,நேரியல் வெளி (=வெக்டார் ஸ்பேஸ்)
रैखिक उपसमष्टि,நேரியல் துணைவெளி
रैखिक रूपांतरण,நேரியல் மாற்றம்
रैखिक उपनति,நேரியல் போக்கு
रैखिक अनभिनत आकल,நேரியல் சார்பற்ற மதிப்பீடு
रैखिक वेग,நேரியல் வேகம்
रेखा समाकल,ஒருங்கிணைந்த வரி
प्रतिच्छेद-रेखा,வெட்டும் கோடு
समाश्रयण-रेखा,பின்னடைவு வரி
स्थानगत सदिश,உள்ளூர்மயமாக்கப்பட்ட திசையன்
स्थानीय इष्टतम,உள்ளூர் உகந்தது
"बिन्दुपथ, रेखापथ",இடம்
"लॉग, लठठा, संलेख",பதிவு
"लघुगणकीय, लॉगेरिथ्मीय",மடக்கை
लघुगणकीय यथार्थता,மடக்கை துல்லியம்
लॉगेरिथ्मीय परिकलन,மடக்கை கணக்கீடு
"लॉगेरिथ्मीय वक्र, लघुगणकीय वक्र",மடக்கை வளைவு
लघुगणकीय अवकलज,மடக்கை வழித்தோன்றல்
लघुगणकीय अवकलन,மடக்கை வேறுபாடு
"लॉगेरिथ्मीय फलन, लघुगणकीय फलन",மடக்கை செயல்பாடு
"लघुगणकीय माध्य, गुणोत्तर माध्य",மடக்கை சராசரி (= வடிவியல் சராசரி)
लघुगणकीय प्रसामान्य बंटन,மடக்கை இயல்பான பரவல்
लघुगणकीय संबंध,மடக்கை உறவு
लघुगणकीय मापक्रम,மடக்கை அளவுகோல்
"लॉगेरिथ्मीय श्रेणी, लघुगणकीय श्रेणी",மடக்கை தொடர்
"लॉगेरिथ्मीय सर्पिल, लघुगणकीय सर्पिल",மடக்கை சுழல் (சமகோண சுழல்)
"लॉगेरिथ्मीय सारणी, लघुगणकीय सारणी",மடக்கை அட்டவணை (=பதிவு அட்டவணை)
"लॉगेरिथ्म, लघुगणक",மடக்கை (பதிவு)
तर्क,தர்க்கம்
तर्कत: तुल्य,தர்க்கரீதியாக சமமானது
"वृद्धिघात वक्र, पर्ल-रीड वक्र",தளவாட வளைவு
"लघुगणक प्रसामान्य बंटन, लॉग प्रसामान्य बंटन",lognormal விநியோகம்
" रेखांश , देशांतर",தீர்க்கரேகை
" पाश, ल्रूप, फंदा (सं.) पाशन (क्रि.) , प्रस्पंद",வளைய
" प्रचयन , प्रचायिका, लॉटरी",லாட்டரி
अधोरेखा,கீழ் பட்டை
निम्न परिबंध,குறைந்த எல்லை
निम्न रीमान-समाकल,கீழ் ரீமான் ஒருங்கிணைந்த
निम्न योगफल,குறைந்த தொகை
निम्न त्रिभुजीय आव्यूह,கீழ் முக்கோண அணி
मैक्लारिन प्रसार,மெக்லாரின் விரிவாக்கம்
"माया संख्या , मैजिक संख्या , स्थायित्व संख्या",மந்திர எண்
मैजिक वर्ग,மந்திர சதுரம்
कांतिमान-सीमा,அளவு வரம்பு (=வரையறுக்கும் அளவு)
डाक प्रेषित प्रश्नावली,அனுப்பப்பட்ட கேள்வித்தாள்
डाक द्वारा सर्वेक्षण,அஞ்சல் ஆய்வு
उपरि परिबंध,பிரதான (மேல் எல்லை)
दीर्घ चाप,பெரிய வில்
उपरिबद्‌ध समुच्चय,பெரிதாக்கப்பட்ட தொகுப்பு
बहुमान फलन,பல மதிப்புமிக்க செயல்பாடு
"नक्शा , मानचित्र , प्रतिचित्र",வரைபடம்
समुच्चय में प्रतिचित्रित करना,தொகுப்பில் வரைபடம்
समुच्चय का प्रतिचित्रण,ஒரு தொகுப்பின் மேப்பிங்
उपांत प्रायिकता,விளிம்பு நிகழ்தகவு
गणितीय विश्लेषण,கணித பகுப்பாய்வு
गणितीय तर्क,கணித வாதம்
गणितीय केंद्र,கணித மையம்
गणितीय जटिलता,கணித சிக்கலானது
गणितीय अर्थशास्त्र,கணித பொருளாதாரம்
गणितीय प्रत्याशा,கணித எதிர்பார்ப்பு
गणितीय रूप,கணித வடிவம்
"गणितीय संरूपण, गणितीय संरूप",கணித உருவாக்கம்
गणितीय सर्वसमिका,கணித அடையாளம்
"गणितीय तर्कशास्त्र ,गणितीय तर्क",கணித தர்க்கம்
गणितीय निदर्श,கணித மாதிரி
गणितीय आशय,கணிதக் கருத்து
मैट्रिक्स विकर्णन,அணி digonalization
आव्यूह-व्युत्क्रम,அணி தலைகீழ்
आव्यूह-व्युत्क्रमण,அணி தலைகீழ்
आव्यूह पुनरावर्ती विधि,அணி மறுசெயல் முறை
मैट्रिक्स पद्‌धति,அணி முறை
आव्यूह गुणन,அணி பெருக்கல்
अचरों का आव्यूह,மாறிலிகளின் அணி
प्रभाविता आव्यूह,செயல்திறன் அணி
आव्यूह संकारक,மேட்ரிக்ஸ் ஆபரேட்டர்
आव्यूह बहुपद,அணி பல்லுறுப்புக்கோவை
आव्यूह मुद्रण,அணி அச்சிடுதல்
आव्यूह-गुणनफल,அணி தயாரிப்பு
अधिकतमीकृत,அதிகபட்சம்
"महत्तम, अधिकतम, उच्चतम",அதிகபட்சம்
अधिकतम निरपेक्ष मान,அதிகபட்ச முழுமையான மதிப்பு
महत्तम F-अनुपात,அதிகபட்ச F- விகிதம்
अधिकतम संभाविता,அதிகபட்ச வாய்ப்பு
महाल्पिष्ठ,அதிகபட்சம்
महाल्पिष्ठ निकष,அதிகபட்ச அளவுகோல்
फलन का अधिकतम,ஒரு செயல்பாட்டின் அதிகபட்சம்
मैक्सवेल-बोल्ट्समान सांख्यिकी,மேக்ஸ்வெல்-போல்ட்ஸ்மேன் புள்ளிவிவரங்கள்
माध्य विचलन,விலகல் என்று பொருள்
विचलन वर्ग माध्य,சதுர விலகல் என்று பொருள்
वर्ग माध्य त्रुटि,சதுரப் பிழை என்று பொருள்
"माध्यमान, औसत मान",சராசரி மதிப்பு
माध्यमान प्रमेय,சராசரி மதிப்பு தேற்றம்
ककुदता माप,குர்டோசிஸின் அளவுகோல்
" मध्य, मध्यस्थ , माध्यिका, मीडियन",சராசரி
माध्यिका केंद्र,சராசரி மையம்
मध्यककुदी वक्र,மீசோகர்டிக் வளைவு
मध्यककुदता,மீசோகுர்டோசிஸ்
संदेश,செய்தி
"रीति , विधि",முறை
विलोपन विधि,நீக்கும் முறை
प्रतिलोमन-विधि,தலைகீழ் முறை
पुऩरावृत्ति विधि,மறு செய்கை முறை
न्यूनतम वर्ग विधि,குறைந்தபட்ச சதுர முறை
आघूर्ण विधि,தருணங்களின் முறை
समरूप त्रिभुज विधि,ஒத்த முக்கோணங்களின் முறை
प्रवणतम अवरोहण विधि,செங்குத்தான வம்சாவளியின் முறை
संकलन-विधि,கூட்டு முறை
