Tamil,Bengali
தருக்க IF,যৌক্তিক IF
தருக்க செயல்பாடு,যৌক্তিক অপারেশন
தருக்க ஆபரேட்டர்,লজিক্যাল অপারেটর
தர்க்கரீதியான உறவு,যৌক্তিক সম্পর্ক
தருக்க திட்டம்,যৌক্তিক স্কিম
தருக்க சின்னம்,যৌক্তিক প্রতীক
தருக்க வகை,লজিক্যাল টাইপ
தருக்க மதிப்பு,যৌক্তিক মান
தருக்க மாறி,যৌক্তিক পরিবর্তনশীল
முன்னே பார்,এগিয়ে তাকান বহন
முன்னே பார்,সামনে সেট দেখুন
பார்-அப்,খুঁজে দেখো
லூப்,লুপ
வளைய கட்டுப்பாடு,লুপ নিয়ন্ত্রণ
வளைய துவக்கம்,লুপ ইনিশিয়ালাইজেশন
வளைய மாற்றம்,লুপ পরিবর্তন
வளைய நெட்வொர்க்,লুপ নেটওয়ার্ক
வளைய தொடக்கம்,লুপ শুরু
லூப் முடித்தல்,লুপ সমাপ্তি
லூப்-பேக் சோதனை,লুপ-ব্যাক পরীক্ষা
தளர்வாக இணைக்கப்பட்டது,ঢিলেঢালাভাবে মিলিত
இழப்பற்ற சுருக்கம்,ক্ষতিহীন কম্প্রেশন
இழப்பு சுருக்கம்,ক্ষতিকর কম্প্রেশন
குறைந்த பைட்,কম বাইট
குறைந்த அளவிலான மொழி,নিম্ন স্তরের ভাষা
குறைந்த பாஸ் வடிகட்டி,কম পাস ফিল্টার
குறைந்த எல்லை,নিম্ন সীমা
மேக் நெறிமுறை (நடுத்தர அணுகல் கட்டுப்பாடு),ম্যাক প্রোটোকল (মাঝারি অ্যাক্সেস নিয়ন্ত্রণ)
இயந்திரம்,মেশিন
இயந்திர முகவரி,মেশিন ঠিকানা
இயந்திர குறியீடு,মেশিন কোড
இயந்திர சுழற்சி,মেশিন চক্র
இயந்திரம் சார்ந்த மொழி,মেশিন নির্ভর ভাষা
இயந்திரம் சார்ந்த மென்பொருள்,মেশিন নির্ভর সফটওয়্যার
இயந்திர பிழை,মেশিন ত্রুটি
இயந்திரம் செயலற்ற நேரம்,মেশিন অলস সময়
இயந்திர சுயாதீன மொழி,মেশিন স্বাধীন ভাষা
இயந்திர அறிவுறுத்தல்,মেশিনের নির্দেশনা
இயந்திர நுண்ணறிவு,মেশিন বুদ্ধিমত্তা
இயந்திர மொழி,মেশিন ভাষা
இயந்திர வழி கற்றல்,মেশিন লার্নিং
இயந்திர செயல்பாடு,মেশিন অপারেশন
இயந்திரம் சார்ந்த மொழி,মেশিন ওরিয়েন্টেড ভাষা
இயந்திர ஓட்டம்,মেশিন চালানো
இயந்திர உருவகப்படுத்துதல்,মেশিন সিমুলেশন
இயந்திரம் கெட்டுப்போன நேரம்,মেশিন নষ্ট সময়
இயந்திர மொழிபெயர்ப்பு,যন্ত্রানুবাদ
இயந்திர வார்த்தை,মেশিন শব্দ
மேக்ரோ (=மேக்ரோ அறிவுறுத்தல்),ম্যাক্রো (= ম্যাক্রো নির্দেশ)
மேக்ரோ வாதம்,ম্যাক্রো যুক্তি
மேக்ரோ சட்டசபை திட்டம்,ম্যাক্রো সমাবেশ প্রোগ্রাম
மேக்ரோ அழைப்பு,ম্যাক্রো কল
மேக்ரோ குறியீடு,ম্যাক্রো কোড
மேக்ரோ கட்டளை,ম্যাক্রো কমান্ড
மேக்ரோ பிரகடனம்,ম্যাক্রো ঘোষণা
மேக்ரோ வரையறை,ম্যাক্রো সংজ্ঞা
மேக்ரோ ஓட்ட விளக்கப்படம்,ম্যাক্রো ফ্লো চার্ট
மேக்ரோ ஜெனரேட்டர்,ম্যাক্রো জেনারেটর
மேக்ரோ அறிவுறுத்தல்,ম্যাক্রো নির্দেশ
மேக்ரோ மொழி,ম্যাক্রো ভাষা
மேக்ரோ நூலகம்,ম্যাক্রো লাইব্রেরি
மேக்ரோ அளவுரு,ম্যাক্রো প্যারামিটার
மேக்ரோ செயலாக்கம்,ম্যাক্রো প্রক্রিয়াকরণ
மேக்ரோ செயலி,ম্যাক্রো প্রসেসর
மேக்ரோ நிரலாக்க,ম্যাক্রো প্রোগ্রামিং
மேக்ரோ முன்மாதிரி,ম্যাক্রো প্রোটোটাইপ
மேக்ரோ-குறியீடு,ম্যাক্রো-কোডিং
மாகாபைட் (MB),ম্যাগাবাইট (এমবি)
மந்திர பாத்திரம்,জাদু চরিত্র
மந்திர எண்,জাদু সংখ্যা
காந்த குமிழி நினைவகம்,চৌম্বকীয় বুদ্বুদ মেমরি
காந்த அட்டை,চৌম্বক কার্ড
காந்த செல்,চৌম্বক কোষ
காந்த தன்மை,চৌম্বক চরিত্র
காந்த மைய சேமிப்பு,চৌম্বকীয় কোর স্টোরেজ
காந்த வட்டு,চৌম্বকীয় ডিস্ক
காந்த வட்டு முகவரி,চৌম্বকীয় ডিস্ক ঠিকানা
காந்த வட்டு நினைவகம்,চৌম্বকীয় ডিস্ক মেমরি
காந்த டிரம்,চৌম্বক ড্রাম
காந்த குறியாக்கம்,চৌম্বকীয় এনকোডিং
காந்த தலை,চৌম্বকীয় মাথা
காந்த மை,চৌম্বক কালি
காந்த மை எழுத்து அங்கீகாரம் (MICR),চৌম্বক কালি অক্ষর স্বীকৃতি (MICR)
காந்த ஊடகம்,চৌম্বক মিডিয়া
காந்த வாசிப்பு,চৌম্বকীয় পড়া
காந்த பதிவு,চৌম্বকীয় রেকর্ডিং
காந்த சேமிப்பு,চৌম্বকীয় সঞ্চয়স্থান
காந்தப் பட்டை,চৌম্বক ফালা
காந்த நாடா,চৌম্বকীয় টেপ
காந்த நாடா கெட்டி,চৌম্বক টেপ কার্তুজ
காந்த நாடா இயக்கி,চৌম্বকীয় টেপ ড্রাইভ
காந்த நாடா தலைப்பு,চৌম্বকীয় টেপ হেডার
காந்த நாடா நூலகர்,চৌম্বক টেপ গ্রন্থাগারিক
காந்த நாடா போக்குவரத்து,চৌম্বকীয় টেপ পরিবহন
காந்த நாடா அலகு,চৌম্বকীয় টেপ ইউনিট
காந்த மெல்லிய படலம்,চৌম্বকীয় পাতলা ফিল্ম
காந்த பாதை,চৌম্বক ট্র্যাক
காந்த ஒளி சேமிப்பு,ম্যাগনেটো অপটিক স্টোরেজ
காந்தவியல் அச்சுப்பொறி,ম্যাগনেটোগ্রাফিক প্রিন্টার
காந்தத்தடுப்பு,ম্যাগনেটোস্ট্রিকশন
காந்தத்தடுப்பு மாத்திரை,ম্যাগনেটোস্ট্রিকটিভ ট্যাবলেট
அஞ்சல் பெட்டி,মেইল বক্স
அஞ்சல் இணைப்பு,মেইল মার্জ
முக்கிய கட்டுப்பாட்டு அலகு,প্রধান নিয়ন্ত্রণ ইউনিট
முக்கிய சட்டகம்,প্রধান ফ্রেম
முக்கிய சட்ட அமைப்பு,প্রধান ফ্রেম সিস্টেম
முதன்மை நினைவகம்,প্রধান স্মৃতি
முக்கிய திட்டம்,প্রধান প্রোগ্রাম
முக்கிய சேமிப்பு,প্রধান স্টোরেজ
முக்கிய சுவிட்ச்,প্রধান সুইচ
பராமரிப்பு,রক্ষণাবেক্ষণ
பராமரிப்பு குழு,রক্ষণাবেক্ষণ প্যানেল
பராமரிப்பு நேரம்,রক্ষণাবেক্ষণ সময়
முக்கிய சுழற்சி,প্রধান চক্র
முக்கிய சாதனம்,প্রধান ডিভাইস
முக்கிய விசை,প্রধান কী
முக்கிய மாநிலம்,প্রধান রাষ্ট্র
முக்கிய கட்டமைப்பு,প্রধান কাঠামো
முக்கிய பணி,প্রধান কাজ
பெரும்பான்மை உறுப்பு,সংখ্যাগরিষ্ঠ উপাদান
பெரும்பான்மை வாயில்,সংখ্যাগরিষ্ঠ গেট
பெரும்பான்மை செயல்பாடு,সংখ্যাগরিষ্ঠ অপারেশন
ஒப்பனை நேரம்,মেকআপ সময়
செயலிழப்பு வழக்கமான,ত্রুটিপূর্ণ রুটিন
மேலாண்மை வளர்ச்சி,ব্যবস্থাপনা উন্নয়ন
மேலாண்மை தகவல் அமைப்பு (எம்ஐஎஸ்),ব্যবস্থাপনা তথ্য সিস্টেম (MIS)
மேலாண்மை அறிவியல்,ব্যবস্থাপনা বিজ্ঞান
மான்செஸ்டர் குறியீட்டு முறை,ম্যানচেস্টার কোডিং
பன்மடங்கு,ম্যানিফোল্ডিং
கையாளப்பட்ட மாறி,চালিত পরিবর্তনশীল
குறியீட்டு முறையை கையாளுதல்,ম্যানিপুলেটিং ইনডেক্সিং
மனிதன்-இயந்திர உருவகப்படுத்துதல்,ম্যান-মেশিন সিমুলেশন
கையேடு முகவரி சுவிட்ச்,ম্যানুয়াল ঠিকানা সুইচ
கையேடு பகுப்பாய்வு,ম্যানুয়াল বিশ্লেষণ
கைமுறை பதில்,ম্যানুয়াল উত্তর
கைமுறை நுழைவு,ম্যানুয়াল এন্ট্রি
கையேடு பரிமாற்றம்,ম্যানুয়াল বিনিময়
கைமுறை உள்ளீடு,হস্ত পরিচালিত
கைமுறை செயல்பாடு,সংক্ষিপ্ত কাজ
பல பல உறவுகள்,অনেক থেকে অনেক সম্পর্ক
பல ஒரு குறிவிலக்கி,অনেক থেকে এক ডিকোডার
வரைபட முறை,মানচিত্র পদ্ধতি
விவரணையாக்கம்,ম্যাপিং
விளிம்பு,মার্জিন
விளிம்பு பிழை,মার্জিন ত্রুটি
விளிம்பு சோதனை,প্রান্তিক চেক
விளிம்பு சோதனை,প্রান্তিক পরীক্ষা
குறி கண்டறிதல்,চিহ্ন সনাক্তকরণ
குறி வாசிப்பு,পড়া চিহ্নিত করুন
குறி ஸ்கேனிங்,মার্ক স্ক্যানিং
குறி உணர்வு,মার্ক সেন্স
குறிப்பான்,মার্কার
குறியிடுதல்,চিহ্নিত করা
குறிக்கும் அலை,চিহ্নিত তরঙ্গ
மார்க்கோவ் சங்கிலி,মার্কভ চেইন
மார்க்கோவ் ஆதாரம்,মার্কভ উৎস
குறி மொழி,মার্কআপ ভাষা
மாசர்,মাসার
மாசர்,মাসার
முகமூடி,মুখোশ
முகமூடி பிட்,মাস্ক বিট
முகமூடி நிரல்படுத்தக்கூடிய சாதனம்,মাস্ক প্রোগ্রামেবল ডিভাইস
முகமூடி பதிவு,মাস্ক রেজিস্টার
முகமூடி ROM,মুখোশযুক্ত রম
மறைத்தல்,মাস্কিং
வெகுஜன தரவு,ভর তথ্য
நிறை நினைவகம்,ভর মেমরি
பெருமளவில் இணையாக,ব্যাপকভাবে সমান্তরাল
குரு,ওস্তাদ
முதன்மை அட்டை,মাস্টার কার্ড
முதன்மை கடிகாரம்,মাস্টার ঘড়ি
மாஸ்டர் கன்சல்,মাস্টার কনসোল
பிரதான தரவு,মূল তথ্য
முதன்மை வரைபடம்,মাস্টার ডায়াগ্রাম
முதன்மை கோப்பு,প্রধান নথি
முதன்மை குழு,মাস্টার গ্রুপ
முதன்மை விசை,প্রধান চাবি
முதன்மை நூலக நாடா,মাস্টার লাইব্রেরি টেপ
முதன்மை செயலி,মাস্টার প্রসেসর
முதன்மை திட்டம்,মাস্টার প্রোগ্রাম
முதன்மை நிலையம்,মাস্টার স্টেশন
மாஸ்டர் டேப்,মাস্টার টেপ
முதன்மை முனையம்,মাস্টার টার্মিনাল
மாஸ்டர்/அடிமை சாதனம்,মাস্টার/দাস ডিভাইস
எஜமானர்/அடிமை முறை,প্রভু/দাস ব্যবস্থা
பொருத்துக,ম্যাচ
பொருத்தம்,ম্যাচিং
கணித நிரலாக்கம்,গাণিতিক প্রোগ্রামিং
கணித உருவகப்படுத்துதல்,গাণিতিক সিমুলেশন
மேட்ரிக்ஸ்,ম্যাট্রিক্স
அணி அச்சுப்பொறி,ম্যাট্রিক্স প্রিন্টার
அணி சுவிட்ச்,ম্যাট্রিক্স সুইচ
அணி அட்டவணை,ম্যাট্রিক্স টেবিল
அதிகபட்ச கணினி,ম্যাক্সি কম্পিউটার
அதிகபட்ச கணினி,ম্যাক্সিকম্পিউটার
அதிகபட்ச உறுப்பு,সর্বাধিক উপাদান
அதிகபட்சம் (நிலையான தொகை),সর্বোচ্চ মেয়াদ (প্রমিত সমষ্টি পদ)
மேக்ஸ்வெல் டீமான்,ম্যাক্সওয়েল ডেমন
சராசரி,মানে
பழுதுபார்க்கும் நேரம் என்று பொருள்,মানে মেরামতের সময়
தோல்விக்கு இடையிலான சராசரி நேரம் (MTBF),ব্যর্থতার মধ্যবর্তী সময় (MTBF)
தோல்விக்கு இடையிலான சராசரி நேரம் (MTBF),ব্যর্থতার মধ্যবর্তী সময় (MTBF)
தோல்விக்கான நேரம் என்று அர்த்தம்,ব্যর্থতার সময় মানে
பழுதுபார்க்கும் நேரம்,মেরামত করার সময় মানে
பழுதுபார்ப்பதற்கான சராசரி நேரம் (MTTR),মেরামতের গড় সময় (MTTR)
நடுத்தர அளவிலான ஒருங்கிணைப்பு (MSI),মিডিয়াম স্কেল ইন্টিগ্রেশন (MSI)
நடுத்தர அளவிலான ஒருங்கிணைப்பு (MSI),মিডিয়াম স্কেল ইন্টিগ্রেশন (MSI)
நடுத்தர கால சேமிப்பு சாதனம்,মাঝারি মেয়াদী স্টোরেজ ডিভাইস
ஒரு வினாடிக்கு மெகாபிட் (எம்பி பிஎஸ்),প্রতি সেকেন্ডে মেগাবিট (এমবি পিএস)
உறுப்பினர் பொருள்,সদস্য বস্তু
உறுப்பினர் பதிவு,সদস্য রেকর্ড
நினைவு,স্মৃতি
நினைவக வரிசை,মেমরি অ্যারে
நினைவக வங்கி,মেমরি ব্যাংক
நினைவக இடையக பதிவு,মেমরি বাফার রেজিস্টার
நினைவக பேருந்து,মেমরি বাস
மெமரி கார்டு,মেমরি কার্ড
நினைவக செல்,মেমরি সেল
நினைவக சுருக்கம்,মেমরি কম্প্যাকশন
நினைவக கோர்,মেমরি কোর
நினைவக சுழற்சி,মেমরি চক্র
நினைவக தரவு பதிவு,মেমরি ডেটা রেজিস্টার
நினைவக திணிப்பு,মেমরি ডাম্প
நினைவக பரிமாற்றம்,মেমরি বিনিময়
நினைவக படிநிலை,মেমরি অনুক্রম
நினைவக அறிவுறுத்தல்,মেমরি নির্দেশনা
நினைவக மேலாண்மை,স্মৃতি ব্যবস্থাপনা
நினைவக வரைபடம்,মেমরি মানচিত্র
நினைவக வரைபட I/O,মেমরি ম্যাপ করা I/O
நினைவக மாதிரி,মেমরি মডেল
நினைவக தொகுதி,মেমরি মডিউল
நினைவக சுட்டி பதிவு,মেমরি পয়েন্টার রেজিস্টার
ஞாபக சக்தி,স্মৃতি শক্তি
நினைவக பாதுகாப்பு,মেমরি সুরক্ষা
நினைவக குறிப்பு வழிமுறை,মেমরি রেফারেন্স নির্দেশনা
நினைவக குடியிருப்பு திட்டம்,মেমরি আবাসিক প্রোগ্রাম
நினைவக அலகு,মেমরি ইউনিট
பட்டியல்,তালিকা
மெனு பார்,মেনু বার
மெனு டிரைவ்,মেনু ড্রাইভ
மெனு தேர்வு,মেনু নির্বাচন
மெனு-உந்துதல் நிரல்,মেনু-চালিত প্রোগ্রাম
ஒன்றிணைக்கவும்,একত্রিত করা
பரிமாற்ற வரிசையை ஒன்றிணைத்தல்,একত্রিত বিনিময় সাজানোর
ஒன்றிணைக்கும் வகை,মার্জ সাজান
இணைத்தல்,মার্জিং
கண்ணி நெட்வொர்க்,জাল নেটওয়ার্ক
செய்தி அனுப்புதல்,মেসেজিং
செய்தி,বার্তা
செய்தி அங்கீகாரம்,বার্তা প্রমাণীকরণ
செய்தி பெட்டி,বার্তা বাক্স
செய்தி சுற்று,বার্তা সার্কিট
செய்தி வடிவம்,বার্তা বিন্যাস
செய்தி தலைப்பு,বার্তা শীর্ষ
செய்தி முறை,বার্তা মোড
செய்தி அனுப்புதல்,বার্তা পাস
செய்தி வாக்கெடுப்பு,বার্তা পোলিং
செய்தி வரிசை,বার্তা সারি
செய்தி சுவிட்ச்,বার্তা সুইচ
செய்தி உரை,বার্তার পাঠ্য
செய்தி பரிமாற்ற முகவர்,বার্তা স্থানান্তর এজেন্ট
மெட்டா அசெம்பிளர்,মেটা অ্যাসেম্বলার
மெட்டா வகுப்பு,মেটা ক্লাস
மெட்டா தொகுப்பு,মেটা সংকলন
மெட்டா கம்பைலர்,মেটা কম্পাইলার
மெட்டா மொழி,মেটা ভাষা
மெட்டா நெட்வொர்க்,মেটা নেটওয়ার্ক
மெட்டா அமைப்பு,মেটা সিস্টেম
முறை,পদ্ধতি
பெருநகரப் பகுதி நெட்வொர்க் (MAN),মেট্রোপলিটন এরিয়া নেটওয়ার্ক (ম্যান)
மைக்ரோ,মাইক্রো
மைக்ரோ குறியீடு,মাইক্রো কোড
மைக்ரோ கணினி,মাইক্রো কম্পিউটার
நுண் கட்டுப்படுத்தி,মাইক্রো কন্ট্রোলার
நுண் சுழற்சி,মাইক্রো চক্র
மைக்ரோ எலக்ட்ரானிக் மெக்கானிக்கல் சிஸ்டம் (MEMS),মাইক্রো ইলেকট্রনিক মেকানিক্যাল সিস্টেম (MEMS)
மைக்ரோ எலக்ட்ரானிக்ஸ்,মাইক্রো ইলেকট্রনিক্স
மைக்ரோ சிறிய அங்கீகாரம்,ক্ষুদ্র ক্ষুদ্র অনুমোদন
மைக்ரோ ஆர்டர்,মাইক্রো অর্ডার
மைக்ரோ/மெயின்பிரேம் இணைப்பு,মাইক্রো/মেনফ্রেম লিঙ্ক
மைக்ரோசிப்,মাইক্রোচিপ
மைக்ரோகோபோல்,মাইক্রোকোবল
மைக்ரோகோட்,মাইক্রোকোড
மைக்ரோஃபிச்,মাইক্রোফিচ
மைக்ரோஃப்ளாப்பி,মাইক্রোফ্লপি
மைக்ரோஃபார்ம் ரீடர்,মাইক্রোফর্ম রিডার
மைக்ரோஃப்ரேம்,মাইক্রোফ্রেম
மைக்ரோகிராபிக்ஸ்,মাইক্রোগ্রাফিক্স
ஒலிவாங்கி,মাইক্রোফোন
மைக்ரோஃபோட்டோகிராஃப்,মাইক্রোফটোগ্রাফ
நுண்செயலி அலகு,মাইক্রোপ্রসেসিং ইউনিট
நுண்செயலி,মাইক্রোপ্রসেসর
நுண்செயலி சிப்,মাইক্রোপ্রসেসর চিপ
நுண்செயலி தொகுப்பி,মাইক্রোপ্রসেসর কম্পাইলার
நுண்செயலி அலகு (MPU),মাইক্রোপ্রসেসর ইউনিট (MPU)
நுண் நிரல்,মাইক্রোপ্রোগ্রাম
நுண்வரிசை,মাইক্রোসিকোয়েন্স
மைக்ரோசாப்ட்,মাইক্রোসফট
மைக்ரோசாஃப்ட் ஜன்னல்கள்,মাইক্রোসফট উইন্ডোজ
மைக்ரோவேவ்,মাইক্রোওয়েভ
நுண்ணலை இணைப்பு,মাইক্রোওয়েভ লিঙ্ক
நுண்ணலை பரப்புதல்,মাইক্রোওয়েভ প্রচার
நடுத்தர மேலாண்மை,মধ্যম ব্যবস্থাপনা
மிடில்வேர்,মিডলওয়্যার
மிடிகம்ப்யூட்டர்,মিডিকম্পিউটার
நடுப்புள்ளி,মধ্যবিন্দু
இடைக்காலம்,মিডটার্ম
இடம்பெயர்வு பாதை,অভিবাসন পথ
ஒரு வினாடிக்கு மில்லியன் வழிமுறைகள் (MIPS),প্রতি সেকেন্ডে মিলিয়ন নির্দেশাবলী (MIPS)
சிறிய கணினி,মিনিকম্পিউটার
மினிடிஸ்கெட்,মিনিডিস্কেট
குறைந்தபட்ச கர்னல்,ন্যূনতম কার্নেল
குறைந்தபட்ச தயாரிப்பு,সর্বনিম্ন পণ্য
குறைந்தபட்ச மரம்,সর্বনিম্ন গাছ
minimax (min-max) அல்காரிதம்,minimax (মিনিম্যাক্স-সর্বোচ্চ) অ্যালগরিদম
குறைந்தபட்ச செயல்முறை,minimax পদ্ধতি
குறைந்தபட்ச செலவு பரந்த மரம்,ন্যূনতম খরচ বিস্তৃত গাছ
குறைந்தபட்ச தாமதக் குறியீட்டு முறை,ন্যূনতম লেটেন্সি কোডিং
சிறிய சாதனம்,ছোট ডিভাইস
மின்டெரிம்,মিন্টেরিম
கழித்தல் கொடி,বিয়োগ পতাকা
கழித்தல் கொடி,বিয়োগ পতাকা
கழித்தல் மண்டலம்,মাইনাস জোন
கண்ணாடி,আয়না
கண்ணாடி தளம்,মিরর সাইট
கலப்பு-ரேடிக்ஸ் குறியீடு,মিশ্র-রেডিক্স স্বরলিপি
கலவை,মিক্সার
நினைவாற்றல்,স্মৃতিসংক্রান্ত
நினைவு முகவரி,স্মৃতির ঠিকানা
நினைவாற்றல்,স্মৃতিবিদ্যা
கைபேசி,মুঠোফোন
மொபைல் கம்ப்யூட்டிங்,মোবাইল কম্পিউটিং
மாதிரி,মডেল
முறையற்ற ஆசிரியர்,মডেলহীন সম্পাদক
மாடலிங்,মডেলিং
மோடம்,মডেম
மிதமான,পরিমিত
நிதானம்,সংযম
மதிப்பீட்டாளர்,মডারেটর
மாற்றியமைக்கப்பட்ட அறிவுறுத்தல்,পরিবর্তিত নির্দেশ
மாற்றியமைப்பவர்,পরিবর্তনকারী
மாற்றி பிட்,সংশোধক বিট
மாற்றியமைக்கவும்,পরিবর্তন করুন
மட்டு,মডুলার
மாடுலாரிட்டி,মডুলারিটি
பண்பேற்றம்,মড্যুলেশন
தொகுதி,মডিউল
தொகுதி கட்டமைப்பு,মডিউল আর্কিটেকচার
கண்காணிக்கவும்,মনিটর
கண்காணிப்பு திட்டம்,পর্যবেক্ষণ প্রোগ্রাম
மோனோக்ரோம் காட்சி,মনোক্রোম প্রদর্শন
ஒற்றைக்கல் ஒருங்கிணைந்த சுற்று,মনোলিথিক ইন্টিগ্রেটেড সার্কিট
ஒற்றைக்கல் தொழில்நுட்பம்,মনোলিথিক প্রযুক্তি
மோனோஸ்பேஸ் எழுத்துரு,মনোস্পেস ফন্ট
மோனோஸ்டபிள்,একচেটিয়া
மோனோடோரிசிட்டி,একঘেয়েমি
மார்பு,মর্ফ
மார்பிம்,মরফিম
மார்பிசம்,মর্ফিজম
அடமானம்,বন্ধক
mosfet (MOSFET),mosfet (MOSFET)
மிக முக்கியமான பிட்,সবচেয়ে উল্লেখযোগ্য বিট
தாய் பலகை,মাদার বোর্ড
அம்மா பதிவு,মা নিবন্ধন
இயக்க படம்,চলচ্চিত্র
மோஷன் பிக்சர் நிபுணர்கள் குழு (MPEG),মোশন পিকচার এক্সপার্টস গ্রুপ (MPEG)
மவுண்ட்,মাউন্ট
சுட்டி,মাউস
நகர்வு,সরান
பாத்திரத்தை நகர்த்தவும்,চরিত্র সরান
MS-DOS,MS-DOS
MS-விண்டோஸ்,এমএস-উইন্ডোজ
பல அம்சம்,বহু দিক
பல செயலி,মাল্টি প্রসেসর
பல நிரலாக்க,মাল্টি প্রোগ্রামিং
பல பணி,মাল্টি টাস্কিং
மல்டிபஸ்,মাল্টিবাস
மல்டிகாஸ்ட்,মাল্টিকাস্ট
மல்டிகாஸ்ட் முகவரி,মাল্টিকাস্ট ঠিকানা
மல்டிகாஸ்டிங்,মাল্টিকাস্টিং
மல்டிசிப்,মাল্টিচিপ
மல்டிக்ஸ்,মাল্টিক্স
பல வேலை செயல்பாடு,বহু কাজের অপারেশন
பல நிலை நினைவகம்,বহুস্তর মেমরি
மல்டிமீடியா தொழில்நுட்பம்,মাল্টিমিডিয়া প্রযুক্তি
மல்டிமோட்,মাল্টিমোড
பல,একাধিক
பல துல்லியம்,একাধিক নির্ভুলতা
பல பின்னடைவு,একাধিক সংশ্লেষণ
மல்டிபிளக்ஸ்,মাল্টিপ্লেক্স
மல்டிபிளக்ஸ் முறை,মাল্টিপ্লেক্স মোড
மல்டிபிளெக்சர்,মাল্টিপ্লেক্সার
மல்டிபிளெக்சிங்,মাল্টিপ্লেক্সিং
பலமுனை நெட்வொர்க்,মাল্টিপয়েন্ট নেটওয়ার্ক
பல செயலாக்கம்,মাল্টিপ্রসেসিং
பல்செயலி அமைப்பு,মাল্টিপ্রসেসর সিস্টেম
பல்நோக்கு இணைய அஞ்சல் விரிவாக்கம் (MIME),বহুমুখী ইন্টারনেট মেইল এক্সটেনশন (MIME)
பல அட்டவணை,মাল্টিসিডিউল
மல்டிஸ்டேஷன்,মাল্টিস্টেশন
மல்டித்ரெடிங்,মাল্টিথ্রেডিং
பல மதிப்புள்ள தர்க்கம்,বহুমূল্যযুক্ত যুক্তি
பன்முக பகுப்பாய்வு,বহুচলকীয় বিশ্লেষণ
மல்டிவிபிரேட்டர்,মাল্টিভাইব্রেটর
பரஸ்பர விலக்கல்,পারস্পরিক বর্জন
பரஸ்பர தகவல்,পারস্পরিক তথ্য
அப்பாவி பயனர்,নিষ্পাপ ব্যবহারকারী
பெயர் சேவையகம்,নাম সার্ভার
NAND செயல்பாடு,NAND অপারেশন
நானோ,ন্যানো
குறுகிய இசைக்குழு,সংকীর্ণ ব্যান্ড
தேசிய தகவல் உள்கட்டமைப்பு,জাতীয় তথ্য অবকাঠামো
தேசிய தகவல் தரநிலை அமைப்பு (NAND NISO),ন্যাশনাল ইনফরমেশন স্ট্যান্ডার্ড অর্গানাইজেশন (NAND NISO)
சொந்த குறியீடு,নেটিভ কোড
சொந்த தொகுப்பாளர்,নেটিভ কম্পাইলার
சொந்த மென்பொருள்,নেটিভ সফটওয়্যার
இயற்கை தொகுப்பி,প্রাকৃতিক কম্পাইলার
இயற்கை மொழி செயலாக்கம்,স্বাভাবিক ভাষা প্রক্রিয়াকরণ
இயற்கை மொழி வினா,প্রাকৃতিক ভাষা প্রশ্ন
இயற்கை எண்,স্বাভাবিক সংখ্যা
வழிசெலுத்தல்,নেভিগেশন
நேவிகேட்டர்,নেভিগেটর
எதிர்மறை தர்க்கம்,নেতিবাচক যুক্তি
உள்ளமை வளையம்,নেস্টেড লুপ
உள்ளமைக்கப்பட்ட மேக்ரோக்கள்,নেস্টেড ম্যাক্রো
நிகர,নেট
நிகர முகவரி,নেট ঠিকানা
நிகர குடிமகன்,নেট নাগরিক
நெட்ஸ்கேப் நேவிகேட்டர்,নেটস্কেপ নেভিগেটর
பிணைய அணுகல் கட்டுப்பாடு,নেটওয়ার্ক অ্যাক্সেস নিয়ন্ত্রণ
பிணைய கட்டமைப்பு,নেটওয়ার্ক আর্কিটেকচার
பிணைய கோப்பு முறைமை (NFS),নেটওয়ার্ক ফাইল সিস্টেম (NFS)
பிணைய ஒருமைப்பாடு,নেটওয়ার্ক অখণ্ডতা
பிணைய இணைப்பு,নেটওয়ার্ক আন্তঃসংযোগ
பிணைய அடுக்கு,নেটওয়ার্ক স্তর
பிணைய மேலாண்மை,নেটওয়ার্ক ব্যবস্থাপনা
பிணைய இடவியல்,নেটওয়ার্ক টপোলজি
நெட்வொர்க் மெய்நிகர் முனையம்,নেটওয়ার্ক ভার্চুয়াল টার্মিনাল
நடுநிலை ரிலே,নিরপেক্ষ রিলে
நடுநிலை பரிமாற்றம்,নিরপেক্ষ সংক্রমণ
புதிய வரி எழுத்து,নতুন লাইন চরিত্র
புதிய ஒத்திசைவு,নতুন সিঙ্ক
NFS/நெட்வொர்க் கோப்பு,NFS/নেটওয়ার্ক ফাইল
நிப்பிள்,নিবল
ஒன்பது நிரப்பு,নাইন এর পরিপূরক
முனை,নোড
சத்தம்,গোলমাল
இரைச்சல் முறை,শব্দ মোড
சத்தமில்லாத குறியீட்டு முறை,শব্দহীন কোডিং
நிர்ணயம் இல்லாதது,অনির্ধারণবাদ
விநியோகிக்காதது,অ বিতরণকারী
காலியாக இல்லாத தொகுப்பு,খালি সেট না
முதன்மை அல்லாத,অ প্রধান
ஊடாடாதது,অ-ইন্টারেক্টিভ
முனையமற்ற அமைப்பு,অ-টার্মিনাল সিস্টেম
நிலையற்ற நினைவகம்,অনুদ্বায়ী মেমরি
ஆவியாகாத ராம்,অ-উদ্বায়ী রাম
எடையற்ற குறியீடு,নন-ওয়েটেড কোড
NOP அறிவுறுத்தல்,NOP নির্দেশনা
NOR,NOR
